metrist |A maker of verses. Bale. Spenser was no mere metrist, but a great composer. Lowell.
mince |1. To cut into very small pieces; to chop fine; to hash; as, to mince meat. Bacon. 2. To suppress or weaken the force of; to extenuate; to palliate; to tell by degrees, instead of directly and frankly; to clip, as words or expressions; to utter half and keep back half of. I know no ways to mince it in love, but directly to say -- \"I love you.\" Shak. Siren, now mince the sin, And mollify damnation with a phrase. Dryden. If, to mince his meaning, I had either omitted some part of what he said, or taken from the strength of his expression, I certainly had wronged him. Dryden. 3. To affect; to make a parade of. [R.] Shak.\n\n1. To walk with short steps; to walk in a prim, affected manner. The daughters of Zion are haughty, and walk with stretched forth necks and wanton eyes,... mincing as they go. Is. iii. 16. I 'll... turn two mincing steps Into a manly stride. Shak. 2. To act or talk with affected nicety; to affect delicacy in manner.\n\nA short, precise step; an affected manner.
mince pie |A pie made of mince-meat.
mince-meat |Minced meat; meat chopped very fine; a mixture of boiled meat, suet, apples, etc., chopped very fine, to which spices and raisins are added; -- used in making mince pie.
mincer |One who minces.
mincing |That minces; characterized by primness or affected nicety.
mincingly |In a mincing manner; not fully; with affected nicety.
mind |1. The intellectual or rational faculty in man; the understanding; the intellect; the power that conceives, judges, or reasons; also, the entire spiritual nature; the soul; -- often in distinction from the body. By the mind of man we understand that in him which thinks, remembers, reasons, wills. Reid. What we mean by mind is simply that which perceives, thinks, feels, wills, and desires. Sir W. Hamilton. Let every man be fully persuaded in his own mind. Rom. xiv. 5. The mind shall banquet, though the body pine. Shak. 2. The state, at any given time, of the faculties of thinking, willing, choosing, and the like; psychical activity or state; as: (a) Opinion; judgment; belief. A fool uttereth all his mind. Prov. xxix. 11. Being so hard to me that brought your mind, I fear she'll prove as hard to you in telling her mind. Shak. (b) Choice; inclination; liking; intent; will. If it be your minds, then let none go forth. 2 Kings ix. 15. (c) Courage; spirit. Chapman. 3. Memory; remembrance; recollection; as, to have or keep in mind, to call to mind, to put in mind, etc. To have a mind or great mind, to be inclined or strongly inclined in purpose; -- used with an infinitive. \"Sir Roger de Coverly... told me that he had a great mind to see the new tragedy with me.\" Addison. -- To lose one's mind, to become insane, or imbecile. -- To make up one's mind, to come to an opinion or decision; to determine. -- To put in mind, to remind. \"Regard us simply as putting you in mind of what you already know to be good policy.\" Jowett (Thucyd. ).\n\n1. To fix the mind or thoughts on; to regard with attention; to treat as of consequence; to consider; to heed; to mark; to note. \"Mind not high things, but condescend to men of low estate.\" Rom. xii. 16. My lord, you nod: you do not mind the play. Shak. 2. To occupy one's self with; to employ one's self about; to attend to; as, to mind one's business. Bidding him be a good child, and mind his book. Addison. 3. To obey; as, to mind parents; the dog minds his master. 4. To have in mind; to purpose. Beaconsfield. I mind to tell him plainly what I think. Shak. 5. To put in mind; to remind. [Archaic] M. Arnold. He minded them of the mutability of all earthly things. Fuller. I do thee wrong to mind thee of it. Shak. Never mind, do not regard it; it is of no consequence; no matter. Syn. -- To notice; mark; regard; obey. See Attend.\n\nTo give attention or heed; to obey; as, the dog minds well.
minded |Disposed; inclined; having a mind. Joseph... was minded to put her away privily. Matt. i. 19. If men were minded to live virtuously. Tillotson. Note: Minded is much used in composition; as, high-minded, feeble- minded, sober-minded, double-minded.
minder |1. One who minds, tends, or watches something, as a child, a machine, or cattle; as, a minder of a loom. 2. One to be attended; specif., a pauper child intrusted to the care of a private person. [Eng.] Dickens.
mindful |Bearing in mind; regardful; attentive; heedful; observant. What is man, that thou art mindful of him Ps. viii. 4. I promise you to be mindful of your admonitions. Hammond. -- Mind\"ful*ly, adv. -- Mind\"ful*ness, n.
minding |Regard; mindfulness.
mindless |1. Not indued with mind or intellectual powers; stupid; unthinking. 2. Unmindful; inattentive; heedless; careless. Cursed Athens, mindless of thy worth. Shak.
mine |See Mien. [Obs.]\n\nBelonging to me; my. Used as a pronominal to me; my. Used as a pronominal adjective in the predicate; as, \"Vengeance is mine; I will repay.\" Rom. xii. 19. Also, in the old style, used attributively, instead of my, before a noun beginning with a vowel. I kept myself from mine iniquity. Ps. xviii. 23. Note: Mine is often used absolutely, the thing possessed being understood; as, his son is in the army, mine in the navy. When a man deceives me once, says the Italian proverb, it is his fault; when twice, it is mine. Bp. Horne. This title honors me and mine. Shak. She shall have me and mine. Shak.\n\n1. To dig a mine or pit in the earth; to get ore, metals, coal, or precious stones, out of the earth; to dig in the earth for minerals; to dig a passage or cavity under anything in order to overthrow it by explosives or otherwise. 2. To form subterraneous tunnel or hole; to form a burrow or lodge in the earth; as, the mining cony.\n\n1. To dig away, or otherwise remove, the substratum or foundation of; to lay a mine under; to sap; to undermine; hence, to ruin or destroy by slow degrees or secret means. They mined the walls. Hayward. Too lazy to cut down these immense trees, the spoilers... had mined them, and placed a quantity of gunpowder in the cavity. Sir W. Scott. 2. To dig into, for ore or metal. Lead veins have been traced... but they have not been mined. Ure. 3. To get, as metals, out of the earth by digging. The principal ore mined there is the bituminous cinnabar. Ure.\n\n1. A subterranean cavity or passage; especially: (a) A pit or excavation in the earth, from which metallic ores, precious stones, coal, or other mineral substances are taken by digging; -- distinguished from the pits from which stones for architectural purposes are taken, and which are called quarries. (b) (Mil.) A cavity or tunnel made under a fortification or other work, for the purpose of blowing up the superstructure with some explosive agent. 2. Any place where ore, metals, or precious stones are got by digging or washing the soil; as, a placer mine.gold mine 3. Fig.: A rich source of wealth or other good. Shak. Mine dial, a form of magnetic compass used by miners. -- Mine pig, pig iron made wholly from ore; in distinction from cinder pig, which is made from ore mixed with forge or mill cinder. Raymond.
miner |1. One who mines; a digger for metals, etc.; one engaged in the business of getting ore, coal, or precious stones, out of the earth; one who digs military mines; as, armies have sappers and miners. 2. (Zoöl.) (a) Any of numerous insects which, in the larval state, excavate galleries in the parenchyma of leaves. They are mostly minute moths and dipterous flies. (b) The chattering, or garrulous, honey eater of Australia (Myzantha garrula). Miner's elbow (Med.), a swelling on the black of the elbow due to inflammation of the bursa over the olecranon; -- so called because of frequent occurrence in miners. -- Miner's inch, in hydraulic mining, the amount of water flowing under a given pressure in a given time through a hole one inch in diameter. It is a unit for measuring the quantity of water supplied.
mineral |1. An inorganic species or substance occurring in nature, having a definite chemical composition and usually a distinct crystalline form. Rocks, except certain glassy igneous forms, are either simple minerals or aggregates of minerals. 2. A mine. [Obs.] Shak. 3. Anything which is neither animal nor vegetable, as in the most general classification of things into three kingdoms (animal, vegetable, and mineral).\n\n1. Of or pertaining to minerals; consisting of a mineral or of minerals; as, a mineral substance. 2. Impregnated with minerals; as, mineral waters. Mineral acids (Chem.), inorganic acids, as sulphuric, nitric, phosphoric, hydrochloric, acids, etc., as distinguished from the organic acids. -- Mineral blue, the name usually given to azurite, when reduced to an impalpable powder for coloring purposes. -- Mineral candle, a candle made of paraffine. -- Mineral caoutchouc, an elastic mineral pitch, a variety of bitumen, resembling caoutchouc in elasticity and softness. See Caoutchouc, and Elaterite. -- Mineral chameleon (Chem.) See Chameleon mineral, under Chameleon. -- Mineral charcoal. See under Charcoal. -- Mineral cotton. See Mineral wool (below). -- Mineral green, a green carbonate of copper; malachite. -- Mineral kingdom (Nat. Sci.), that one of the three grand divisions of nature which embraces all inorganic objects, as distinguished from plants or animals. -- Mineral oil. See Naphtha, and Petroleum. -- Mineral paint, a pigment made chiefly of some natural mineral substance, as red or yellow iron ocher. -- Mineral patch. See Bitumen, and Asphalt. -- Mineral right, the right of taking minerals from land. -- Mineral salt (Chem.), a salt of a mineral acid. -- Mineral tallow, a familiar name for hatchettite, from its fatty or spermaceti-like appearance. -- Mineral water. See under Water. -- Mineral wax. See Ozocerite. -- Mineral wool, a fibrous wool-like material, made by blowing a powerful jet of air or steam through melted slag. It is a poor conductor of heat.
mineralist |One versed in minerals; mineralogist. [R.]
mineralization |1. The process of mineralizing, or forming a mineral by combination of a metal with another element; also, the process of converting into a mineral, as a bone or a plant. 2. The act of impregnating with a mineral, as water. 3. (Bot.)  The conversion of a cell wall into a material of a stony nature.
mineralize |1. To transform into a mineral. In these caverns the bones are not mineralized. Buckland. 2. To impregnate with a mineral; as, mineralized water.\n\nTo go on an excursion for observing and collecting minerals; to mineralogize.
mineralizer |An element which is combined with a metal, thus forming an ore. Thus, in galena, or lead ore, sulphur is a mineralizer; in hematite, oxygen is a mineralizer.
mineralogical |Of or pertaining to mineralogy; as, a mineralogical table.
mineralogically |According to the principles of, or with reference to, mineralogy.
mineralogist |1. One versed in mineralogy; one devoted to the study of minerals. 2. (Zoöl.)  A carrier shell (Phorus).
mineralogize |To study mineralogy by collecting and examining minerals. Miss Edgeworth.
mineralogy |1. The science which treats of minerals, and teaches how to describe, distinguish, and classify them. 2. A treatise or book on this science.
minerva |The goddess of wisdom, of war, of the arts and sciences, of poetry, and of spinning and weaving; -- identified with the Grecian Pallas Athene.
minette |The smallest of regular sizes of portrait photographs.
minever |Same as Miniver.
minge |To mingle; to mix. [Obs.]\n\nA small biting fly; a midge. [Local, U. S.]
mingle |1. To mix; intermix; to combine or join, as an individual or part, with other parts, but commonly so as to be distinguishable in the product; to confuse; to confound. There was... fire mingled with the hail. Ex. ix. 24. 2. To associate or unite in society or by ties of relationship; to cause or allow to intermarry; to intermarry. The holy seed have mingled themselves with the people of those lands. Ezra ix. 2. 3. To deprive of purity by mixture; to contaminate. A mingled, imperfect virtue. Rogers. 4. To put together; to join. [Obs.] Shak. 5. To make or prepare by mixing the ingredients of. [He] proceeded to mingle another draught. Hawthorne.\n\nTo become mixed or blended.\n\nA mixture. [Obs.] Dryden.
mingle-mangle |To mix in a disorderly way; to make a mess of. [Obs.] Udall.\n\nA hotchpotch. [Obs.] Latimer.
mingleable |That can be mingled. Boyle.
mingledly |Confusedly.
minglement |The act of mingling, or the state of being mixed.
mingler |One who mingles.
minglingly |In a mingling manner.
miniaceous |Of the color of minium or red lead; miniate.
miniard |Migniard. [Obs.]
miniardize |To render delicate or dainty. [Obs.] Howell.
miniate |To paint or tinge with red lead or vermilion; also, to decorate with letters, or the like, painted red, as the page of a manuscript. T. Wharton.\n\nOf or pertaining to the color of red lead or vermilion; painted with vermilion.
miniature |1. Originally, a painting in colors such as those in mediæval manuscripts; in modern times, any very small painting, especially a portrait. 2. Greatly diminished size or form; reduced scale. 3. Lettering in red; rubric distinction. [Obs.] 4. A particular feature or trait. [Obs.] Massinger.\n\nBeing on a small; much reduced from the reality; as, a miniature copy.\n\nTo represent or depict in a small compass, or on a small scale.
miniaturist |A painter of miniatures.
minibus |A kind of light passenger vehicle, carrying four persons.
minie ball |A conical rifle bullet, with a cavity in its base plugged with a piece of iron, which, by the explosion of the charge, is driven farther in, expanding the sides to fit closely the grooves of the barrel.
minie rifle |A rifle adapted to minie balls.
minify |1. To make small, or smaller; to diminish the apparent dimensions of; to lessen. 2. To degrade by speech or action.
minikin |1. A little darling; a favorite; a minion. [Obs.] Florio. 2. A little pin. [Obs.]\n\nSmall; diminutive. Shak.
minim |1. Anything very minute; as, the minims of existence; -- applied to animalcula; and the like. 2. The smallest liquid measure, equal to about one drop; the sixtieth part of a fluid drachm. 3. (Zoöl.)  A small fish; a minnow. [Prov. Eng.] 4. A little man or being; a dwarf. [Obs.] Milton. 5. (Eccl. Hist.)  One of an austere order of mendicant hermits of friars founded in the 15th century by St. Francis of Paola. 6. (Mus.)  A time note, formerly the shortest in use; a half note, equal to half a semibreve, or two quarter notes or crotchets. 7. A short poetical encomium. [Obs.] Spenser.\n\nMinute. \"Minim forms.\" J. R. Drake.
minimal |Of, pertaining to, or having a character of, a minim or minimum; least; smallest; as, a minimal amount or value.
miniment |A trifle; a trinket; a token. [Obs.] Spenser.
minimization |The act or process of minimizing. Bentham.
minimize |To reduce to the smallest part or proportion possible; to reduce to a minimum. Bentham.
minimum |The least quantity assignable, admissible, or possible, in a given case; hence, a thing of small consequence; -- opposed to Ant: maximum.
minimum thermometer |, a thermometer for recording the lowest temperature since its last adjustment.
minimus |1. A being of the smallest size. [Obs.] Shak. 2. (Anat.)  The little finger; the fifth digit, or that corresponding to it, in either the manus or pes.
mining |The act or business of making mines or of working them.\n\nOf or pertaining to mines; as, mining engineer; mining machinery; a mining region. Mining engineering. See the Note under Engineering.
minion |Minimum. [Obs.] Burton.\n\n1. A loved one; one highly esteemed and favored; -- in a good sense. [Obs.] God's disciple and his dearest minion. Sylvester. Is this the Athenian minion whom the world Voiced so regardfully Shak. 2. An obsequious or servile dependent or agent of another; a fawning favorite. Sir J. Davies. Go, rate thy minions, proud, insulting boy! Shak. 3. (Print.)  A small kind of type, in size between brevier and nonpareil. This line is printed in minion type. 4. An ancient form of ordnance, the caliber of which was about three inches. [Obs.] Beau. & Fl.\n\nFine; trim; dainty. [Obs.] \"Their... minion dancing.\" Fryth.
minionette |Small; delicate. [Obs.] \"His minionette face.\" Walpole.\n\nA size of type between nonpareil and minion; -- used in ornamental borders, etc.
minioning |Kind treatment. [Obs.]
minionize |To flavor. [Obs.]
minionlike |Like a minion; daintily. Camden.
minionly |Like a minion; daintily. Camden.
minionship |State of being a minion. [R.]
minious |Of the color of red or vermilion. [Obs.] Sir T. Browne.
minish |To diminish; to lessen. The living of poor men thereby minished. Latimer.
minishment |The act of diminishing, or the state of being diminished; diminution. [Obs.]
minister |1. A servant; a subordinate; an officer or assistant of inferior rank; hence, an agent, an instrument. Moses rose up, and his minister Joshua. Ex. xxiv. 13. I chose Camillo for the minister, to poison My friend Polixenes. Shak. 2. An officer of justice. [Obs.] I cry out the on the ministres, quod he, That shoulde keep and rule this cité. Chaucer. 3. One to whom the sovereign or executive head of a government intrusts the management of affairs of state, or some department of such affairs. Ministers to kings, whose eyes, ears, and hands they are, must be answerable to God and man. Bacon. 4. A representative of a government, sent to the court, or seat of government, of a foreign nation to transact diplomatic business. Note: Ambassadors are classed (in the diplomatic sense) in the first rank of public ministers, ministers plenipotentiary in the second. \"The United States diplomatic service employs two classes of ministers, -- ministers plenipotentiary and ministers resident.\" Abbott. 5. One who serves at the altar; one who performs sacerdotal duties; the pastor of a church duly authorized or licensed to preach the gospel and administer the sacraments. Addison. Syn. -- Delegate; official; ambassador; clergyman; parson; priest.\n\nTo furnish or apply; to afford; to supply; to administer. He that ministereth seed to the sower. 2 Cor. ix. 10. We minister to God reason to suspect us. Jer. Taylor.\n\n1. To act as a servant, attendant, or agent; to attend and serve; to perform service in any office, sacred or secular. The Son of man came not to be ministered unto, but to minister. Matt. xx. 28. 2. To supply or to things needful; esp., to supply consolation or remedies. Matt. xxv. 44. Canst thou not minister to a mind diseased Shak.
ministerial |1. Of or pertaining to ministry or service; serving; attendant. Enlightening spirits and ministerial flames. Prior. 2. Of or pertaining to the office of a minister or to the ministry as a body, whether civil or sacerdotal. \"Ministerial offices.\" Bacon. \"A ministerial measure.\" Junius. \"Ministerial garments.\" Hooker. 3. Tending to advance or promote; contributive. \"Ministerial to intellectual culture.\" De Quincey. The ministerial benches, the benches in the House of Commons occupied by members of the cabinet and their supporters; -- also, the persons occupying them. \"Very solid and very brilliant talents distinguish the ministerial benches.\" Burke. Syn. -- Official; priestly; sacerdotal; ecclesiastical.
ministerialist |A supporter of the ministers, or the party in power.
ministerially |In a ministerial manner; in the character or capacity of a minister.
ministery |See Ministry. Milton.
ministracy |Ministration. [Obs.]
ministral |Ministerial. [Obs.] Johnson.
ministrant |Performing service as a minister; attendant on service; acting under command; subordinate. \"Princedoms and dominations ministrant.\" Milton. -- n.  One who ministers.
ministration |The act of ministering; service; ministry. \"The days of his ministration.\" Luke i. 23.
ministrative |Serving to aid; ministering.
ministress |A woman who ministers. Akenside.
ministry |1. The act of ministering; ministration; service. \"With tender ministry.\" Thomson. 2. Hence: Agency; instrumentality. The ordinary ministry of second causes. Atterbury. The wicked ministry of arms. Dryden. 3. The office, duties, or functions of a minister, servant, or agent; ecclesiastical, executive, or ambassadorial function or profession. 4. The body of ministers of state; also, the clergy, as a body. 5. Administration; rule; term in power; as, the ministry of Pitt.
ministryship |The office of a minister. Swift.
minium |A heavy, brilliant red pigment, consisting of an oxide of lead, Pb3O4, obtained by exposing lead or massicot to a gentle and continued heat in the air. It is used as a cement, as a paint, and in the manufacture of flint glass. Called also red lead.
miniver |A fur esteemed in the Middle Ages as a part of costume. It is uncertain whether it was the fur of one animal only or of different animals.
minivet |A singing bird of India of the family Campephagidæ.
mink |A carnivorous mammal of the genus Putorius, allied to the weasel. The European mink is Putorius lutreola. The common American mink (P. vison) varies from yellowish brown to black. Its fur is highly valued. Called also minx, nurik, and vison.
minnesinger |A love-singer; specifically, one of a class of German poets and musicians who flourished from about the middle of the twelfth to the middle of the fourteenth century. They were chiefly of noble birth, and made love and beauty the subjects of their verses.
minnow |1. (Zoöl.)  A small European fresh-water cyprinoid fish (Phoxinus lævis, formerly Leuciscus phoxinus); sometimes applied also to the young of larger kinds; -- called also minim and minny. The name is also applied to several allied American species, of the genera Phoxinus, Notropis, or Minnilus, and Rhinichthys. 2. (Zoöl.)  Any of numerous small American cyprinodont fishes of the genus Fundulus, and related genera. They live both in fresh and in salt water. Called also killifish, minny, and mummichog.mummichog
minny |A minnow.
mino bird |An Asiatic bird (Gracula musica), allied to the starlings. It is black, with a white spot on the wings, and a pair of flat yellow wattles on the head. It is often tamed and taught to pronounce words.
minor |1. Inferior in bulk, degree, importance, etc.; less; smaller; of little account; as, minor divisions of a body. 2. (Mus.)  Less by a semitone in interval or difference of pitch; as, a minor third. Asia Minor (Geog.), the Lesser Asia; that part of Asia which lies between the Euxine, or Black Sea, on the north, and the Mediterranean on the south. -- Minor mode (Mus.), that mode, or scale, in which the third and sixth are minor, -- much used for mournful and solemn subjects. -- Minor orders (Eccl.), the rank of persons employed in ecclesiastical offices who are not in holy orders, as doorkeepers, acolytes, etc. -- Minor scale (Mus.) The form of the minor scale is various. The strictly correct form has the third and sixth minor, with a semitone between the seventh and eighth, which involves an augmented second interval, or three semitones, between the sixth and seventh, as, 6\/F, 7\/G#, 8\/A. But, for melodic purposes, both the sixth and the seventh are sometimes made major in the ascending, and minor in the descending, scale, thus: --See Major. -- Minor term of syllogism (Logic), the subject of the conclusion.\n\n1. A person of either sex who has not attained the age at which full civil rights are accorded; an infant; in England and the United States, one under twenty-one years of age. Note: In hereditary monarchies, the minority of a sovereign ends at an earlier age than of a subject. The minority of a sovereign of Great Britain ends upon the completion of the eighteenth year of his age. 2. (Logic)  The minor term, that is, the subject of the conclusion; also, the minor premise, that is, that premise which contains the minor term; in hypothetical syllogisms, the categorical premise. It is the second proposition of a regular syllogism, as in the following: Every act of injustice partakes of meanness; to take money from another by gaming is an act of injustice; therefore, the taking of money from another by gaming partakes of meanness. 3. A Minorite; a Franciscan friar.
minorat |A custom or right, analogous to borough-English in England, formerly existing in various parts of Europe, and surviving in parts of Germany and Austria, by which certain entailed estates, as a homestead and adjacent land, descend to the youngest male heir.
minorate |To diminish. [R.] Sir T. Browne.
minoration |A diminution. [R.] Sir T. Browne.
minoress |See Franciscan Nuns, under Franciscan, a.
minorite |A Franciscan friar.
minority |1. The state of being a minor, or under age. 2. State of being less or small. [Obs.] Sir T. Browne. 3. The smaller number; -- opposed to Ant: majority; as, the minority must be ruled by the majority.
minos |A king and lawgiver of Crete, fabled to be the son of Jupiter and Europa. After death he was made a judge in the Lower Regions.
minotaur |A fabled monster, half man and half bull, confined in the labyrinth constructed by Dædalus in Crete.
minow |See Minnow.
minster |A church of a monastery. The name is often retained and applied to the church after the monastery has ceased to exist (as Beverly Minster, Southwell Minster, etc.), and is also improperly used for any large church. Minster house, the official house in which the canons of a cathedral live in common or in rotation. Shipley.
minstrel |In the Middle Ages, one of an order of men who subsisted by the arts of poetry and music, and sang verses to the accompaniment of a harp or other instrument; in modern times, a poet; a bard; a singer and harper; a musician. Chaucer.
minstrelsy |1. The arts and occupation of minstrels; the singing and playing of a minstrel. 2. Musical instruments. [Obs.] Chaucer. 3. A collective body of minstrels, or musicians; also, a collective body of minstrels' songs. Chaucer. \"The minstrelsy of heaven.\" Milton.
mint |The name of several aromatic labiate plants, mostly of the genus Mentha, yielding odoriferous essential oils by distillation. See Mentha. Note: Corn mint is Mentha arvensis. -- Horsemint is M. sylvestris, and in the United States Monarda punctata, which differs from the true mints in several respects. -- Mountain mint is any species of the related genus Pycnanthemum, common in North America. -- Peppermint is M. piperita. -- Spearmint is M. viridis. -- Water mint is M. aquatica. Mint camphor. (Chem.) See Menthol. -- Mint julep. See Julep. -- Mint sauce, a sauce flavored with spearmint, for meats.\n\n1. A place where money is coined by public authority. 2. Hence: Any place regarded as a source of unlimited supply; the supply itself. A mint of phrases in his brain. Shak.\n\n1. To make by stamping, as money; to coin; to make and stamp into money. 2. To invent; to forge; to fabricate; to fashion. Titles... of such natures as may be easily minted. Bacon. Minting mill, a coining press.
mint sauce |1. A sauce of vinegar and sugar flavored with spearmint leaves. 2.  Money. [Slang, Eng.]
mint-master |The master or superintendent of a mint. Also used figuratively.
mintage |1. The coin, or other production, made in a mint. Stamped in clay, a heavenly mintage. Sterling. 2. The duty paid to the mint for coining.
minter |One who mints.
mintman |One skilled in coining, or in coins; a coiner.
minuend |The number from which another number is to be subtracted.
minuet |1. A slow graceful dance consisting of a coupee, a high step, and a balance. 2. (Mus.)  A tune or air to regulate the movements of the dance so called; a movement in suites, sonatas, symphonies, etc., having the dance form, and commonly in 3-4, sometimes 3-8, measure.
minum |1. A small kind of printing type; minion. 2. (Mus.)  A minim.
minus |Less; requiring to be subtracted; negative; as, a minus quantity. Minus sign (Math.), the sign [-] denoting minus, or less, prefixed to negative quantities, or quantities to be subtracted. See Negative sign, under Negative.
