crinosity |Hairiness. [R.]
crumb |1. A small fragment or piece; especially, a small piece of bread or other food, broken or cut off. Desiring to be fed with the crumbs which fell from the rich man's table. Luke xvi. 21. 2. Fig.: A little; a bit; as, a crumb of comfort. 3. The soft part of bread. Dust unto dust, what must be, must; If you can't get crumb, you'd best eat crust. Old Song. Crumb brush, a brush for sweeping crumbs from a table. -- To a crum, with great exactness; completely.\n\nTo break into crumbs or small pieces with the fingers; as, to crumb bread. [Written also crum.]
crumbcloth |A cloth to be laid under a dining table to receive falling fragments, and keep the carpet or floor clean. [Written also crumcloth.]
crumble |To break into small pieces; to cause to fall in pieces. He with his bare wand can unthread thy joints, And crumble all thy sinews. Milton.\n\nTo fall into small pieces; to break or part into small fragments; hence, to fall to decay or ruin; to become disintegrated; to perish. If the stone is brittle, it will crumble and pass into the form of gravel. Arbuthnot. The league deprived of its principal supports must soon crumble to pieces. Prescott.
crumbly |EAsily crumbled; friable; brittle. \"The crumbly soil.\" Hawthorne.
crumenal |A purse. [Obs.] Dr. H. More.
crummable |Capable of being crumbed or broken into small pieces.
crummy |1. Full of crumb or crumbs. 2. Soft, as the crumb of bread is; not crusty.
crump |1. Crooked; bent. [Obs.] Crooked backs and crump shoulders. Jer. Taylor. 2. Hard or crusty; dry baked; as, a crump loaf. [Prov. Eng. & Scot.] Hallivell.
crumpet |A kind of large. thin muffin or cake, light and spongy, and cooked on a griddle or spider.
crumple |To draw or press into wrinkles or folds to crush together; to rumple; as, to crumple paper. They crumpled it into all shapes, and diligently scanned every wrinkle that could be made. Addison.\n\nTo contract irregularly; to show wrinkless after being crushed together; as, leaves crumple.
crumpy |Brittle; crisp. Wright.
crunch |1. To chew with force and noise; to craunch. And their white tusks crunched o'er the whiter skull. Byron. 2. To grind or press with violence and noise. The ship crunched through the ice. Kane. 3. To emit a grinding or craunching noise. The crunching and ratting of the loose stones. H. James.\n\nTo crush with the teeth; to chew with a grinding noise; to craunch; as, to crunch a biscuit.
crunk |To cry like a crane. [Obs.] \"The crane crunketh.\" Withals (1608).
crunkle |To cry like a crane. [Obs.] \"The crane crunketh.\" Withals (1608).
crunodal |Possessing, or characterized by, a crunode; -- used of curves.
crunode |A point where one branch of a curve crosses another branch. See Double point, under Double, a.
cruor |The coloring matter of the blood; the clotted portion of coagulated blood, containing the coloring matter; gore.
cruorin |The coloring matter of the blood in the living animal; hæmoglobin.
crup |Short; brittle; as, crup cake. Todd.\n\nSee Croup, the rump of a horse.
crupper |1. The buttocks or rump of a horse. 2. A leather loop, passing under a horse's tail, and buckled to the saddle to keep it from slipping forwards.\n\nTo fit with a crupper; to place a crupper upon; as, to crupper a horse.
crura |See Crus.
crural |Of or pertaining to the thigh or leg, or to any of the parts called crura; as, the crural arteries; crural arch; crural canal; crural ring.
crus |(a) That part of the hind limb between the femur, or thigh, and the ankle, or tarsus; the shank. (b) Often applied, especially in the plural, to parts which are supposed to resemble a pair of legs; as, the crura of the diaphragm, a pair of muscles attached to it; crura cerebri, two bundles of nerve fibers in the base of the brain, connecting the medulla and the forebrain.
crusade |1. Any one of the military expeditions undertaken by Christian powers, in the 11th, 12th, and 13th centuries, for the recovery of the Holy Land from the Mohammedans. 2. Any enterprise undertaken with zeal and enthusiasm; as, a crusade against intemperance. 3. A Portuguese coin. See Crusado.\n\nTo engage in a crusade; to attack in a zealous or hot-headed manner. \"Cease crusading against sense.\" M. Green.
crusader |One engaged in a crusade; as, the crusaders of the Middle Ages. Azure-eyed and golden-haired, Forth the young crusaders fared. Longfellow.
crusading |Of or pertaining to a crusade; as, a crusading spirit.
crusado |An old Portuguese coin, worth about seventy cents. [Written also cruade.] Shak.
cruse |1. A cup or dish. Take with thee . . . a cruse of honey. 1 Kings xiv. 3. 2. A bottle for holding water, oil, honey, etc. So David took . . . the cruse of water. 1 Sam. xxvi. 12.
cruset |A goldsmith's crucible or melting pot.
crush |1. To press or bruise between two hard bodies; to squeeze, so as to destroy the natural shape or integrity of the parts, or to force together into a mass; as, to crush grapes. Ye shall not offer unto the Lord that which is bruised, or crushed, or broken, or cut. Lev. xxii. 24. The ass . . . thrust herself unto the wall, and crushed Balaam's foot against the wall. Num. xxii. 25. 2. To reduce to fine particles by pounding or grinding; to comminute; as, to crush quartz. 3. To overwhelm by pressure or weight; to beat or force down, as by an incumbent weight. To crush the pillars which the pile sustain. Dryden. Truth, crushed to earth, shall rise again. Bryant. 4. To oppress or burden grievously. Thou shalt be only oppressed and crushed alway. Deut. xxviii. 33. 5. To overcome completely; to subdue totally. Speedily overtaking and crushing the rebels. Sir. W. Scott. To crush a cup, to drink. [Obs.] -- To crush out. (a) To force out or separate by pressure, as juice from grapes. (b) To overcome or destroy completely; to suppress.\n\nTo be or become broken down or in, or pressed into a smaller compass, by external weight or force; as, an eggshell crushes easily.\n\n1. A violent collision or compression; a crash; destruction; ruin. The wreck of matter, and the crush of worlds. Addison. 2. Violent pressure, as of a crowd; a crowd which produced uncomfortable pressure; as, a crush at a peception. Crush hat, a hat which collapses, and can be carried under the arm, and when expanded is held in shape by springs; hence, any hat not injured by compressing. -- Crush room, a large room in a theater, opera house, etc., where the audience may promenade or converse during the intermissions; a foyer. Politics leave very little time for the bow window at White's in the day, or for the crush room of the opera at night. Macualay.
crusher |One who, or that which, crushes. Crusher gauge, an instrument for measuring the explosive force of gunpowder, etc., by its effect in compressing a piece of metal.
crushing |That crushes; overwhelming. \"The blow must be quick and crushing.\" Macualay.
crust |1. The hard external coat or covering of anything; the hard exterior surface or outer shell; an incrustation; as, a crust of snow. I have known the statute of an emperor quite hid under a crust of dross. Addison. Below this icy crust of conformity, the waters of infidelity lay dark and deep as ever. Prescott. 2. (Cookery) (a) The hard exterior or surface of bread, in distinction from the soft part or crumb; or a piece of bread grown dry or hard. (b) The cover or case of a pie, in distinction from the soft contents. (c) The dough, or mass of doughy paste, cooked with a potpie; -- also called dumpling. Th' impenetrable crust thy teeth defies. Dryden. He that keeps nor crust nor crumb. Shak. They . . . made the crust for the venison pasty. Macualay. 3. (Geol.)  The exterior portion of the earth, formerly universally supposed to inclose a molten interior. 4. (Zoöl.)  The shell of crabs, lobsters, etc. 5. (Med.)  A hard mass, made up of dried secretions blood, or pus, occurring upon the surface of the body. 6. An incrustation on the interior of wine bottles, the result of the ripening of the wine; a deposit of tartar, etc. See Beeswing.\n\nTo cover with a crust; to cover or line with an incrustation; to incrust. The whole body is crusted over with ice. Boyle. And now their legs, and breast, and bodies stood Crusted with bark. Addison. Very foul and crusted bottles. Swift. Their minds are crusted over, like diamonds in the rock. Felton.\n\nTo gather or contract into a hard crust; to become incrusted. The place that was burnt . . . crusted and healed. Temple.
crusta |1. A crust or shell. 2. A gem engraved, or a plate embossed in low relief, for inlaying a vase or other object.
crustacea |One of the classes of the arthropods, including lobsters and crabs; -- so called from the crustlike shell with which they are covered. Note: The body usually consists of an anterior part, made up of the head and thorax combined, called the cephalothorax, and of a posterior jointed part called the abdomen, postabdomen, and (improperly) tail. They breathe by means of gills variously attached to some of the limbs or to the sides the body, according to the group. They are divisible into two subclasses, Entomostraca and Malacostraca, each of which includes several orders.
crustacean |Of or pertaining to the Crustacea; crustaceous. -- n.  An animal belonging to the class Crustacea.
crustaceological |Pertaining to crustaceology.
crustaceologist |One versed in crustaceology; a crustalogist.
crustaceology |That branch of Zoölogy which treats of the Crustacea; malacostracology; carcinology.
crustaceous |1. Pertaining to, or of the nature of, crust or shell; having a crustlike shell. 2. (Zoöl.)  Belonging to the Crustacea; crustacean.
crustaceousness |The state or quality of being crustaceous or having a crustlike shell.
crustal |Relating to a crust.
crustalogical |Pertaining to crustalogy.
crustalogist |One versed in crustalogy.
crustalogy |Crustaceology.
crustated |Covered with a crust; as, crustated basalt.
crustation |An adherent crust; an incrustation. Pepys.
crusted |Incrusted; covered with, or containing, crust; as, old, crusted port wine.
crustific |Producing or forming a crust or skin. [R.]
crustily |In a crusty or surly manner; morosely.
crustiness |1. The state or quality of having crust or being like crust; hardness. 2. The quality of being crusty or surly. Old Christy forgot his usual crustiness. W. Irving.
crusty |1. Having the nature of crust; pertaining to a hard covering; as, a crusty coat; a crusty surface or substance. 2. Etym: [Possibly a corruption of cursty. Cf. Curst, Curstness.]  Having a hard exterior, or a short, rough manner, though kind at heart; snappish; peevish; surly. Thou crusty batch of nature, what's the news Shak.
crut |The rough, shaggy part of oak bark.
crutch |1. A staff with a crosspiece at the head, to be placed under the arm or shoulder, to support the lame or infirm in walking. I'll lean upon one crutch, and fight with the other. Shak. Rhyme is a crutch that lifts the weak alone. H. Smith. 2. A form of pommel for a woman's saddle, consisting of a forked rest to hold the leg of the rider. 3. (Naut.) (a) A knee, or piece of knee timber. (b) A forked stanchion or post; a crotch. See Crotch.\n\nTo support on crutches; to prop up. [R.] Two fools that crutch their feeble sense on verse. Dryden.
crutched |1. Supported upon crutches. 2. Etym: [See Crouch, v. t., and Crouched, a. ]  Marked with the sign of the cross; crouched. Crutched friar (Eccl.), one of a religious order, so called because its members bore the sign of the cross on their staves and habits; -- called also crossed friar and crouched friar.
cruth |See 4th Crowd.
crux |Anything that is very puzzling or difficult to explain. Dr. Sheridan. The perpetual crux of New Testament chronologists. Strauss.
crux ansata |A cross in the shape of the ankh.
cruzado |A coin. See Crusado.
crwth |See 4th Crowd.
cry |1. To make a loud call or cry; to call or exclaim vehemently or earnestly; to shout; to vociferate; to proclaim; to pray; to implore. And about the ninth hour, Jesus cried with a loud voice. Matt. xxvii. 46. Clapping their hands, and crying with loud voice. Shak. Hear the voice of my supplications when I cry unto thee. Ps. xxviii. 2. The voice of him that crieth in the wilderness, Prepare ye the way of the Lord. Is. xl. 3. Some cried after him to return. Bunyan. 2. To utter lamentations; to lament audibly; to express pain, grief, or distress, by weeping and sobbing; to shed tears; to bawl, as a child. Ye shall cry for sorrow of heart. Is. lxv. 14. I could find it in my heart to disgrace my man's apparel and to cry like a woman. Shak. 3. To utter inarticulate sounds, as animals. The young ravens which cry. Ps. cxlvii. 9. In a cowslip's bell I lie There I couch when owls do cry. Shak. To cry on or upon, to call upon the name of; to beseech.\"No longer on Saint Denis will we cry.\" Shak. -- To cry out. (a) To exclaim; to vociferate; to scream; to clamor. (b) To complain loudly; to lament. -- To cry out against, to complain loudly of; to censure; to blame. -- To cry out on or upon, to denounce; to censure. \"Cries out upon abuses.\" Shak. -- To cry to, to call on in prayer; to implore. -- To cry you mercy, to beg your pardon. \"I cry you mercy, madam; was it you\" Shak.\n\n1. To utter loudly; to call out; to shout; to sound abroad; to declare publicly. All, all, cry shame against ye, yet I 'll speak. Shak. The man . . . ran on,crying, Life! life! Eternal life! Bunyan. 2. To cause to do something, or bring to some state, by crying or weeping; as, to cry one's self to sleep. 3. To make oral and public proclamation of; to declare publicly; to notify or advertise by outcry, especially things lost or found, goods to be sold, ets.; as, to cry goods, etc. Love is lost, and thus she cries him. Crashaw. 4. Hence, to publish the banns of, as for marriage. I should not be surprised if they were cried in church next Sabbath. Judd. To cry aim. See under Aim. -- To cry down, to decry; to depreciate; to dispraise; to condemn. Men of dissolute lives cry down religion, because they would not be under the restraints of it. Tillotson. -- To cry out, to proclaim; to shout.\"Your gesture cries it out.\" Shak. -- To cry quits, to propose, or declare, the abandonment of a contest. -- To cry up, to enhance the value or reputation of by public and noisy praise; to extol; to laud publicly or urgently.\n\n1. A loud utterance; especially, the inarticulate sound produced by one of the lower animals; as, the cry of hounds; the cry of wolves. Milton. 2. Outcry; clamor; tumult; popular demand. Again that cry was found to have been as unreasonable as ever. Macaulay. 3. Any expression of grief, distress, etc., accompanied with tears or sobs; a loud sound, uttered in lamentation. There shall be a great cry throughout all the land. Ex. xi. 6. An infant crying in the night, An infant crying for the light; And with no language but a cry. Tennyson. 4. Loud expression of triumph or wonder or of popular acclamation or favor. Swift. The cry went once on thee. Shak. 5. Importunate supplication. O, the most piteous cry of the poor souls. Shak. 6. Public advertisement by outcry; proclamation, as by hawkers of their wares. The street cries of London. Mayhew. 7. Common report; fame. The cry goes that you shall marry her. Shak. 8. A word or phrase caught up by a party or faction and repeated for effect; as, the party cry of the Tories. All now depends upon a good cry. Beaconsfield. 9. A pack of hounds. Milton. A cry more tunable Was never hollaed to, nor cheered with horn. Shak. 10. A pack or company of persons; -- in contempt. Would not this . . . get me a fellowship in a cry of players Shak. 11. The cracklling noise made by block tin when it is bent back and forth. A far cry, a long distance; -- in allusion to the sending of criers or messengers through the territory of a Scottish clan with an announcement or summons.
cryal |The heron [Obs.] Ainsworth.
cryer |The female of the hawk; a falcon-gentil.
crying |Calling for notice; compelling attention; notorious; heinous; as, a crying evil. Too much fondness for meditative retirement is not the crying sin of our modern Christianity. I. Taylor.
cryohydrate |A substance, as salt, ammonium chloride, etc., which crystallizes with water of crystallization only at low temperatures, or below the freezing point of water. F. Guthrie.
cryolite |A fluoride of sodium and aluminum, found in Greenland, in white cleavable masses; -- used as a source of soda and alumina.
cryophorus |An instrument used to illustrate the freezing of water by its own evaporation. The ordinary form consist of two glass bulbs, connected by a tube of the same material, and containing only a quantity of water and its vapor, devoid of air. The water is in one of the bulbs, and freezes when the other is cooled below 32º Fahr.
crypt |1. A vault wholly or partly under ground; especially, a vault under a church, whether used for burial purposes or for a subterranean chapel or oratory. Priesthood works out its task age after age, . . . treasuring in convents and crypts the few fossils of antique learning. Motley. My knees are bowed in crypt and shrine. Tennyson. 2. (Anat.)  A simple gland, glandular cavity, or tube; a follicle; as, the cryps of Lieberk.
cryptal |Of or pertaining to crypts.
cryptic |Hidden; secret; occult. \"Her [nature's] more cryptic ways of working.\" Glanvill.
cryptical |Hidden; secret; occult. \"Her [nature's] more cryptic ways of working.\" Glanvill.
cryptically |Secretly; occultly.
cryptidine |One of the quinoline bases, obtained from coal tar as an oily liquid, C11H11N; also, any one of several substances metameric with, and resembling, cryptidine proper.
cryptobranchiata |(a) A division of the Amphibia; the Derotremata. (b) A group of nudibranch mollusks.
cryptobranchiate |Having concealed or rudimentary gills.
cryptocrystalline |Indistinctly crystalline; -- applied to rocks and minerals, whose state of aggregation is so fine that no distinct particles are visible, even under the microscope.
cryptogam |A plant belonging to the Cryptogamia. Henslow.
cryptogamia |The series or division of flowerless plants, or those never having true stamens and pistils, but propagated by spores of various kinds. Note: The subdivisions have been variously arranged. The following arrangement recognizes four classes: --I. Pteridophyta, or Vascular Acrogens. These include Ferns, Equiseta or Scouring rushes, Lycopodiaceæ or Club mosses, Selaginelleæ, and several other smaller orders. Here belonged also the extinct coal plants called Lepidodendron, Sigillaria, and Calamites. II. Bryophita, or Cellular Acrogens. These include Musci, or Mosses, Hepaticæ, or Scale mosses and Liverworts, and possibly Characeæ, the Stoneworts. III. Algæ, which are divided into Florideæ, the Red Seaweeds, and the orders Dictyoteæ, Oösporeæ, Zoösporeæ, Conjugatæ, Diatomaceæ, and Cryptophyceæ. IV. Fungi. The molds, mildews, mushrooms, puffballs, etc., which are variously grouped into several subclasses and many orders. The Lichenes or Lichens are now considered to be of a mixed nature, each plant partly a Fungus and partly an Alga.
cryptogamian |Of or pertaining to the series Cryptogamia, or to plants of that series.
cryptogamic |Of or pertaining to the series Cryptogamia, or to plants of that series.
cryptogamist |One skilled in cryptogamic botany.
cryptogamous |Of or pertaining to the series Cryptogamia, or to plants of that series.
cryptogram |A cipher writing. Same as Cryptograph.
cryptograph |Cipher; something written in cipher. \"Decipherers of cryptograph.\" J. Earle.
cryptographal |Pertaining to cryptography; cryptographical. Boyle.
cryptographer |One who writes in cipher, or secret characters.
cryptographic |Relating to cryptography; written in secret characters or in cipher, or with sympathetic ink.
cryptographical |Relating to cryptography; written in secret characters or in cipher, or with sympathetic ink.
cryptographist |Same as Cryptographer.
cryptography |The act or art of writing in secret characters; also, secret characters, or cipher.
cryptology |Secret or enigmatical language. Johnson.
cryptonym |A secret name; a name by which a person is known only to the initiated.
cryptopine |A colorless crystalline alkaloid obtained in small quantities from opium.
crypturi |An order of flying, dromTinamou.
crystal |1. (Chem. & Min.)  The regular form which a substance tends to assume in solidifying, through the inherent power of cohesive attraction. It is bounded by plane surfaces, symmetrically arranged, and each species of crystal has fixed axial ratios. See Crystallization. 2. The material of quartz, in crystallization transparent or nearly so, and either colorless or slightly tinged with gray, or the like; - - called also rock crystal. Ornamental vessels are made of it. Cf. Smoky quartz, Pebble; also Brazilian pebble, under Brazilian. 3. A species of glass, more perfect in its composition and manufacture than common glass, and often cut into ornamental forms. See Flint glass. 4. The glass over the dial of a watch case. 5. Anything resembling crystal, as clear water, etc. The blue crystal of the seas. Byron. Blood crystal. See under Blood. -- Compound crystal. See under Compound. -- Iceland crystal, a transparent variety of calcite, or crystallized calcium carbonate, brought from Iceland, and used in certain optical instruments, as the polariscope. -- Rock crystal, or Mountain crystal, any transparent crystal of quartz, particularly of limpid or colorless quartz.\n\nConsisting of, or like, crystal; clear; transparent; lucid; pellucid; crystalline. Through crystal walls each little mote will peep. Shak. By crystal streams that murmur through the meads. Dryden. The crystal pellets at the touch congeal, And from the ground rebounds the ratting hail. H. Brooks.
crystallin |See Gobulin.
crystalline |1. Consisting, or made, of crystal. Mount, eagle, to my palace crystalline. Shak. 2. Formed by crystallization; like crystal in texture. Their crystalline structure. Whewell. 3. Imperfectly crystallized; as, granite is only crystalline, while quartz crystal is perfectlly crystallized. 4. Fig.: Resembling crystal; pure; transparent; pellucid. \"The crystalline sky.\" Milton. Crystalline heavens, or Crystalline spheres, in the Ptolemaic system of astronomy, two transparent spheres imagined to exist between the region of the fixed stars and the primum mobile (or outer circle of the heavens, which by its motion was supposed to carry round all those within it), in order to explain certain movements of the heavently bodies. -- Crystalline lens (Anat.), the capsular lenslike body in the eye, serving to focus the rays of light. It consists of rodlike cells derived from the external embryonic epithelium.\n\n1. A crystalline substance. 2. See Aniline. [Obs.]
crystallite |A minute mineral form like those common in glassy volcanic rocks and some slags, not having a definite crystalline outline and not referable to any mineral species, but marking the first step in the crystallization process. According to their form crystallites are called trichites, belonites, globulites, etc.
crystallizable |Capable of being crystallized; that may be formed into crystals.
crystallization |1. (Chem. & Min.)  The act or process by which a substance in solidifying assumes the form and sructure of a crystal, or becomes crystallized. 2. The body formed by crystallizing; as, silver on precipitation forms arborescent crystallizations. Note: The systems of crystallization are the several classes to which the forms are mathematically referable. They are most simply described according to the relative lengths and inclinations of certain assumed lines called axes; but the real distinction is the degree of symmetry characterizing them. 1. The Isometric, or Monometric, system has the axes all equal, as in the cube, octahedron, etc. 2. The Tetragonal, or Dimetric, system has a varying vertical axis, while the lateral are equal, as in the right square prism. 3. The Orthorhombic, or Trimetric, system has the three axes unequal, as in the rectangular and rhombic prism. In this system, the lateral axes are called, respectively, macrodiagonal and brachydiagonal. -- The preceding are erect forms, the axes intersecting at right angles. The following are oblique. 4. The Monoclinic system, having one of the intersections oblique, as in the oblique rhombic prism. In this system, the lateral axes are called respectively, clinodiagonal and orthodiagonal. 5. The Triclinic system, having all the three intersections oblique, as in the oblique rhomboidal prism. There is also: 6. The Hexagonal system (one division of which is called Rhombohedral), in which there are three equal lateral axes, and a vertical axis of variable length, as in the hexagonal prism and the rhombohedron. Note: The Diclinic system, sometimes recognized, with two oblique intersections, is only a variety of the Triclinic.
crystallize |To cause to form crystals, or to assume the crystalline form.\n\nTo be converted into a crystal; to take on a crystalline form, through the action of crystallogenic or cohesive attraction.
crystallogenic |Pertaining to the production of crystals; crystal-producing; as, crystallogenic attraction.
crystallogenical |Pertaining to the production of crystals; crystal-producing; as, crystallogenic attraction.
crystallogeny |The science which pertains to the production of crystals.
crystallographer |One who describes crystals, or the manner of their formation; one versed in crystallography.
crystallographic |Pertaining to crystallography.
crystallographical |Pertaining to crystallography.
crystallographically |In the manner of crystallography.
crystallography |1. The doctrine or science of crystallization, teaching the system of forms among crystals, their structure, and their methods of formation. 2. A discourse or treatise on crystallization.
crystalloid |Crystal-like; transparent like crystal.\n\n1. (Chem.)  A body which, in solution, diffuses readily through animal membranes, and generally is capable of being crystallized; -- opposed to colloid. 2. (Bot.)  One of the microscopic particles resembling crystals, consisting of protein matter, which occur in certain plant cells; -- called also protein crystal.
crystallology |The science of the crystalline structure of inorganic bodies.
crystallomancy |Divination by means of a crystal or other transparent body, especially a beryl.
crystallometry |The art of measuring crystals.
crystallurgy |Crystallizaton.
ctenocyst |An organ of the Ctenophora, supposed to be sensory.
ctenoid |(a) Having a comblike margin, as a ctenoid scale. (b) Pertaining to the Ctenoidei. -- n.  A ctenoidean.
ctenoidean |Relating to the Ctenoidei. -- n.  One of the Ctenoidei.
ctenoidei |A group of fishes, established by Agassiz, characterized by having scales with a pectinated margin, as in the perch. The group is now generally regarded as artificial.
ctenophora |A class of Coelenterata, commonly ellipsoidal in shape, swimming by means of eight longitudinal rows of paddles. The separate paddles somewhat resemble combs.
ctenophore |(Zoöl.) One of the Ctenophora.
ctenophoric |Of or pertaining to the Ctenophora.
ctenophorous |Of or pertaining to the Ctenophora.
ctenostomata |A suborder of Bryozoa, usually having a circle of bristles below the tentacles.
cub |1. A young animal, esp. the young of the bear. 2. Jocosely or in contempt, a boy or girl, esp. an awkward, rude, illmannered boy. O, thuo dissembling cub! what wilt thou be When time hath sowed a drizzle on thy case Shak.\n\nTo bring forth; -- said of animals, or in contempt, of persons. \"Cubb'd in a cabin.\" Dryden.\n\n1. A stall for cattle. [Obs.] I would rather have such . . . .in cubor kennel than in my closet or at my table. Landor. 2. A cupboard. [Obs.] Laud.\n\nTo shut up or confine. [Obs.] Burton.
cuban |Of or pertaining to Cuba or its inhabitants. -- n.  A native or an inhabitant of Cuba.
cubation |The act of lying down; a reclining. [Obs.]
cubatory |Lying down; recumbent. [R.]
cubature |The process of determining the solid or cubic contents of a body.
cubbridge-head |A bulkhead on the forecastle and half deck of a ship.
cubby |A snug or confined place.
cubbyhole |A snug or confined place.
cubdrawn |Sucked by cubs. [R.] This night, wherein the cub-drawn bear would couch. Shak.
cube |1. (Geom.)  A regular solid body, with six equal square sides. 2. (Math.)  The product obtained by taking a number or quantity three times as a factor; as, 4x4=16, and 16x4=64, the cube of 4. Cube ore (Min.), pharmacosiderite. It commonly crystallizes in cubes of a green color. -- Cube root. (Math.), the number or quantity which, multiplied into itself, and then into the product, produces the given cube; thus, 3 is the cube root of 27, for 3x3x3 = 27. -- Cube spar (Min.), anhydrite; anhydrous calcium sulphate.\n\nTo raise to the third power; to obtain the cube of.
cubeb |The small, spicy berry of a species of pepper (Piper Cubeba; in med., Cubeba officinalis), native in Java and Borneo, but now cultivated in various tropical countries. The dried unripe fruit is much used in medicine as a stimulant and purgative.
cubebic |Pertaining to, or derived from, cubebs; as, cubebic acid (a soft olive-green resin extracted from cubebs).
cubhood |The state of being a cub. [Jocose] \"From cubhood to old age.\" W. B. Dawkins.
cubic |1. Having the form or properties of a cube; contained, or capable of being contained, in a cube. 2. (Crystallog.)  Isometric or monometric; as, cubic cleavage. See Crystallization. Cubic equation, an equation in which the highest power of the unknown quantity is a cube. -- Cubic foot, a volume equivalent to a cubical solid which measures a foot in each of its dimensions. -- Cubic number, a number produced by multiplying a number into itself, and that product again by the same number. See Cube. -- Cubical parabola (Geom.), two curves of the third degree, one plane, and one on space of three dimensions.\n\nA curve of the third degree. Circular cubic. See under Circular.
cubical |1. Having the form or properties of a cube; contained, or capable of being contained, in a cube. 2. (Crystallog.)  Isometric or monometric; as, cubic cleavage. See Crystallization. Cubic equation, an equation in which the highest power of the unknown quantity is a cube. -- Cubic foot, a volume equivalent to a cubical solid which measures a foot in each of its dimensions. -- Cubic number, a number produced by multiplying a number into itself, and that product again by the same number. See Cube. -- Cubical parabola (Geom.), two curves of the third degree, one plane, and one on space of three dimensions.
cubically |In a cubical method.
cubicalness |The quality of being cubical.
cubicle |A loding room; esp., a sleeping place partitioned off from a large dormitory.
cubicular |Belonging to a chamber or bedroom. [Obs.] Howell.
cubiform |Of the form of a cube.
cubile |The lowest course of stones in a building.
cubilose |A mucilagenous secretion of certain birds found as the characteristic ingredient of edible bird's-nests.
cubism |A movement or phase in post-impressionism (which see, below). - - Cu\"bist (#), n.
cubit |1. (Anat.)  The forearm; the ulna, a bone of the arm extending from elbow to wrist. [Obs.] 2. A measure of length, being the distance from the elbow to the extremity of the middle finger. Note: The cubit varies in length in different countries, the Roman cubit being 17,47 inches, the Greek 18,20, the Hebrew somewhat longer, and the English 18 inches.
cubital |1. Of or pertaining to the cubit or ulna; as, the cubital nerve; the cubital artery; the cubital muscle. 2. Of the length of a cubit. Sir. T. Browne.\n\nA sleeve covering the arm from the elbow to the hand. Crabb.
cubited |Having the measure of a cubit.
cubless |Having no cubs. Byron.
cubo-octahedral |Presenting a combination of a cube and an octahedron.
cubo-octahedron |A combination of a cube and octahedron, esp. one in which the octahedral faces meet at the middle of the cubic edges.
cuboid |Cube-shaped, or nearly so; as, the cuboid bone of the foot. -- n. (Anat.)  The bone of the tarsus, which, in man and most mammals, supports the metatarsals of the fourth and fifth toes.
cuboidal |Cuboid.
cuca |See Coca.
cucking stool |A kind of chair formerly used for punishing scolds, and also dishonest tradesmen, by fastening them in it, usually in front of their doors, to be pelted and hooted at by the mob, but sometimes to be taken to the water and ducked; -- called also a castigatory, a tumbrel, and a trebuchet; and often, but not so correctly, a ducking stool. Sir. W. Scott.
cuckold |1. A man whose wife is unfaithful; the husband of an adulteress. Shak. 2. (Zoöl.) (a) A West Indian plectognath fish (Ostracion triqueter). (b) The cowfish.\n\nTo make a cuckold of, as a husband, by seducing his wife, or by her becoming an adulteress. Shak.
cuckoldize |To cuckold. Dryden.
cuckoldly |Having the qualities of a cuckold; mean-spirited; sneaking. Shak.
cuckoldom |The state of a cuckold; cuckolds, collectively. Addison.
cuckoldry |The state of being a cuckold; the practice of making cuckolds. CUCKOLD'S KNOT Cuck\"old's knot` (kk\"ldz nt`). (Naut.)  A hitch or knot, by which a rope is secured to a spar, the two parts of the rope being crossed and seized together; -- called also cuckold's neck. Ham. Nav. Encyc.
cuckoo |A bird belonging to Cuculus, Coccyzus, and several allied genera, of many species. Note: The European cuckoo (Cuculus canorus) builds no nest of its own, but lays its eggs in the nests of other birds, to be hatched by them. The American yellow-billed cuckoo (Coccyzus Americanus) and the black-billed cuckoo (C. erythrophthalmus) build their own nests. Cuckoo bee (Zool.), a bee, parasitic in the larval stage in the nests of other bees, feeding either upon their food or larvae. They belong to the genera Nomada, Melecta, Epeolus, and others. -- Cuckoo clock, a clock so constructed that at the time for striking it gives forth sounds resembling the cry of the cuckoo. -- Cuckoo dove (Zoöl.), a long-tailed pigeon of the genus Macropygia. Many species inhabit the East Indies. -- Cuckoo fish (Zoöl.), the European red gurnard (Trigla cuculus). The name probably alludes to the sound that it utters. -- Cuckoo falcon (Zoöl.), any falcon of the genus Baza. The genus inhabits Africa and the East Indies. -- Cuckoo maid (Zoöl.), the wryneck; -- called also cuckoo mate. -- Cuckoo ray (Zoöl.), a British ray (Raia miraletus). -- Cuckoo spit, or Cuckoo spittle. (a) A frothy secretion found upon plants, exuded by the larvae of certain insects, for concealment; -- called also toad spittle and frog spit. (b) (Zoöl.) A small hemipterous insect, the larva of which, living on grass and the leaves of plants, exudes this secretion. The insects belong to Aphrophora, Helochara, and allied genera. -- Ground cuckoo, the chaparral cock.
cuckoobud |A species of Ranunculus (R. bulbosus); -- called also butterflower, buttercup, kingcup, goldcup. Shak.
cuckooflower |A species of Cardamine (C. pratensis), or lady's smock. Its leaves are used in salads. Also, the ragged robin (Lychnis Flos- cuculi).
cuckoopint |A plant of the genus Arum (A. maculatum); the European wake- robin.
cucquean |A woman whose husband is unfaithful to her. [Obs.]
cucujo |The fire beetle of Mexico and the West Indies.
