neoplatonic |Of, pertaining to, or resembling, Neoplatonism or the Neoplatonists.
nile |The great river of Egypt. Nile bird. (Zoöl.) (a) The wryneck. [Prov. Eng.] (b) The crocodile bird. -- Nile goose (Zoöl.), the Egyptian goose. See Note under Goose, 2.
nilgau |see Nylghau.
nill |Not to will; to refuse; to reject. [Obs.] Certes, said he, I nill thine offered grace. Spenser.\n\nTo be unwilling; to refuse to act. The actions of the will are \"velle\" and \"nolle,\" to will and nill. Burton. Will he, nill he, whether he wills it or not.\n\n1. Shining sparks thrown off from melted brass. 2. Scales of hot iron from the forge. Knight.
nilometer |An instrument for measuring the rise of water in the Nile during its periodical flood.
niloscope |A Nilometer.
nilotic |Of or pertaining to the river Nile; as, the Nilotic crocodile.
nilt |Wilt not. [Obs.]
nim |To take; to steal; to filch. [Obs.] This canon it in his hand nam. Chaucer.
nimbiferous |Serving to bring clouds or stormy weather.
nimble |Light and quick in motion; moving with ease and celerity; lively; swift. Through the mid seas the nimble pinnace sails. Pope. Note: Nimble is sometimes used in the formation of self-explaining compounds; as, nimble-footed, nimble-pinioned, nimble-winged, etc. Nimble Will (Bot.), a slender, branching, American grass (Muhlenbergia diffusa), of some repute for grazing purposes in the Mississippi valley. Syn. -- Agile; quick; active; brisk; lively; prompt.
nimbleness |The quality of being nimble; lightness and quickness in motion; agility; swiftness.
nimbless |Nimbleness. [Obs.] Spenser.
nimbly |In a nimble manner; with agility; with light, quick motion.
nimbose |Cloudy; stormy; tempestuous.
nimbus |1. (Fine Arts)  A circle, or disk, or any indication of radiant light around the heads of divinities, saints, and sovereigns, upon medals, pictures, etc.; a halo. See Aureola, and Glory, n., 5. Note: \"The nimbus is of pagan origin.\" \"As an atribute of power, the nimbus is often seen attached to the heads of evil spirits.\" Fairholl. 2. (Meteor.)  A rain cloud; one of the four principal varieties of clouds. See Cloud.
nimiety |State of being in excess. [R.] There is a nimiety, a too-muchess, in all Germans. Coleridge.
nimious |Excessive; extravagant; inordinate. [Obs.]
nimmer |A thief. [Obs.]
nin |Not in. [Obs.] Chaucer.
nincompoop |A fool; a silly or stupid person. [Law] An old ninnyhammer, a dotard, a nincompoop, is the best language she can afford me. Addison.
nine |Eight and one more; one less than ten; as, nine miles. Nine men's morris. See Morris. -- Nine points circle (Geom.), a circle so related to any given triangle as to pass through the three points in which the perpendiculars from the angles of the triangle upon the opposite sides (or the sides produced) meet the sides. It also passes through the three middle points of the sides of the triangle and through the three middle points of those parts of the perpendiculars that are between their common point of meeting and the angles of the triangle. The circle is hence called the nine points or six points circle.\n\n1. The number greater than eight by a unit; nine units or objects. 2. A symbol representing nine units, as 9 or ix. The Nine, the nine Muses.
nine-bark |A white-flowered rosaceous shrub (Neillia, or Spiræa, opulifolia), common in the Northern United States. The bark separates into many thin layers, whence the name.
nine-eyes |The lamprey.
nine-killer |The northern butcher bird.
ninefold |Nine times repeated.
nineholes |A game in which nine holes are made in the ground, into which a ball is bowled.
ninepence |1. An old English silver coin, worth nine pence. 2. A New England name for the Spanish real, a coin formerly current in the United States, as valued at twelve and a half cents.
ninepins |A game played with nine pins, or pieces of wood, set on end, at which a wooden ball is bowled to knock them down; bowling. Note: In the United States, ten pins are used for this game, which is therefore often called tenpins.
ninescore |Nine times twenty, or one hundred and eighty. -- n.  The product of nine times twenty; ninescore units or objects.
nineteen |Nine and ten; eighteen and one more; one less than twenty; as, nineteen months.\n\n1. The number greater than eighteen by a unit; the sum of ten and nine; nineteen units or objects. 2. A symbol for nineteen units, as 19 or xix.
nineteenth |1. Following the eighteenth and preceding the twentieth; coming after eighteen others. 2. Constituting or being one of nineteen equal parts into which anything is divided.\n\n1. The quotient of a unit divided by nineteen; one of nineteen equal parts of anything. 2. The next in order after the eighteenth. 3. (Mus.)  An interval of two octaves and a fifth.
ninetieth |1. Next in order after the eighty-ninth. 2. Constituting or being one of ninety equal parts.\n\n1. The quotient of a unit divided by ninety; one of ninety equal parts of anything. 2. The next in order after the eighty-ninth.
ninety |Nine times ten; eighty-nine and one more; as, ninety men.\n\n1. The sum of nine times ten; the number greater by a unit than eighty-nine; ninety units or objects. 2. A symbol representing ninety units, as 90 or xc.
ninny |A fool; a simpleton. Shak.
ninnyhammer |A simpleton; a silly person. [Colloq.] Addison.
ninth |1. Following the eight and preceding the tenth; coming after eight others. 2. Constituting or being one of nine equal parts into which anything is divided.\n\n1. The quotient of one divided by nine; one of nine equal parts of a thing; the next after the eighth. 2. (Mus.) (a) An interval containing an octave and a second. (b) A chord of the dominant seventh with the ninth added.
ninthly |In the ninth place.
ninut |The magpie. [Prov. Eng.]
niobate |Same as Columbate.
niobe |The daughter of Tantalus, and wife of Amphion, king of Thebes. Her pride in her children provoked Apollo and Diana, who slew them all. Niobe herself was changed by the gods into stone.
niobic |Same as Columbic.
niobite |Same as Columbite.
niobium |A later name of columbium. See Columbium.
niopo |A kind of snuff prepared by the natives of Venezuela from the roasted seeds of a leguminous tree (Piptadenia peregrina), thence called niopo tree.
nip |A sip or small draught; esp., a draught of intoxicating liquor; a dram.\n\n1. To catch and inclose or compress tightly between two surfaces, or points which are brought together or closed; to pinch; to close in upon. May this hard earth cleave to the Nadir hell, Down, down, and close again, and nip me flat, If I be such a traitress. Tennyson. 2. To remove by pinching, biting, or cutting with two meeting edges of anything; to clip. The small shoots ... must be nipped off. Mortimer. 3. Hence: To blast, as by frost; to check the growth or vigor of; to destroy. 4. To vex or pain, as by nipping; hence, to taunt. And sharp remorse his heart did prick and nip. Spenser. To nip in the bud, to cut off at the verycommencement of growth; to kill in the incipient stage.\n\n1. A seizing or closing in upon; a pinching; as, in the northern seas, the nip of masses of ice. 2. A pinch with the nails or teeth. 3. A small cut, or a cutting off the end. 4. A blast; a killing of the ends of plants by frost. 5. A biting sarcasm; a taunt. Latimer. 6. (Naut.)  A short turn in a rope. Nip and tuck, a phrase signifying equality in a contest. [Low, U.S.]
nipper |1. One who, or that which, nips. 2. A fore tooth of a horse. The nippers are four in number. 3. A satirist. [Obs.] Ascham. 4. A pickpocket; a young or petty thief. [Old Cant] 5. (Zoöl.) (a) The cunner. (b) A European crab (Polybius Henslowii).
nipperkin |A small cup. [Obs.]
nippers |1. Small pinchers for holding, breaking, or cutting. 2. (Mach.)  A device with fingers or jaws for seizing an object and holding or conveying it; as, in a printing press, a clasp for catching a sheet and conveying it to the form. 3. (Naut.)  A number of rope-yarns wound together, used to secure a cable to the messenger.
nipping |Biting; pinching; painful; destructive; as, a nipping frost; a nipping wind.
nippingly |In a nipping manner.
nippitate |Peculiary strong and good; -- said of ale or liquor. [Old Cant] 'T will make a cup of wine taste nippitate. Chapman.
nippitato |Strong liquor. [Old Cant] Beau. & Fl.
nipple |1. (Anat.)  The protuberance through which milk is drawn from the breast or mamma; the mammilla; a teat; a pap. 2. The orifice at which any animal liquid, as the oil from an oil bag, is discharged. [R.] Derham. 3. Any small projection or article in which there is an orifice for discharging a fluid, or for other purposes; as, the nipple of a nursing bottle; the nipple of a percussion lock, or that part on which the cap is put and through which the fire passes to the charge. 4. (Mech.)  A pipe fitting, consisting of a short piece of pipe, usually provided with a screw thread at each end, for connecting two other fittings. Solder nipple, a short pipe, usually of brass, one end of which is tapered and adapted for attachment to the end of a lead pipe by soldering.
nipplewort |A yellow-flowered composite herb (Lampsana communis), formerly used as an external application to the nipples of women; -- called also dock-cress.
nirvana |In the Buddhist system of religion, the final emancipation of the soul from transmigration, and consequently a beatific enfrachisement from the evils of wordly existence, as by annihilation or absorption into the divine. See Buddhism.
nis |Is not. [Obs.] Chaucer.
nisan |The first month of the jewish ecclesiastical year, formerly answering nearly to the month of April, now to March, of the Christian calendar. See Abib.
nisey |A simpleton. [Obs.]
nisi |Unless; if not. Note: In legal proceedings, this word is used to indicate that any order, etc., shall take effect at a given time, unless before that time the order, etc., in modified, or something else is done to prevent its taking effect. Continuance nisi is a conditional continuance of the case till the next term of the court, unless otherwise disposed of in the mean time. Nisi prius (Law), unless before; -- a phrase applied to terms of court, held generally by a single judge, with a jury, for the trial of civil causes. The term originated in a legal fiction. An issue of fact being made up, it is, according to the English practice, appointed by the entry on the record, or written proceedings, to be tried by a jury from the county of which the proceedings are dated, at Westminster, unless before the day appointed (nisi prius) the judges shall have come to the county in question (which they always do) and there try the cause. See In banc, under Banc.
niste |Wist not; knew not. [Obs.] Chaucer.
nisus |A striving; an effort; a conatus. A nisus or energizing towards a presented object. Hickok.
nit |The egg of a louse or other small insect. Nit grass (Bot.), a pretty annual European grass (Gastridium lendigerum), with small spikelets somewhat resembling a nit. It is also found in California and Chili.
nitency |Brightness; luster. [R.]\n\nEndeavor; rffort; tendency. [R.] Boyle.
niter |1. (Chem.)  A white crystalline semitransparent salt; potassium nitrate; saltpeter. See Saltpeter. 2. (Chem.)  Native sodium carbonate; natron. [Obs.] For though thou wash thee with niter, and take thee much soap, yet thine iniquity is marked before me. Jer. ii. 22. Cubic niter, a deliquescent salt, sodium nitrate, found as a native incrustation, like niter, in Peru and Chili, whence it is known also as Chili saltpeter. -- Niter bush (Bot.), a genus (Nitraria) of thorny shrubs bearing edible berries, and growing in the saline plains of Asia and Northern Africa.
nithing |See Niding.
nitid |1. Bright; lustrous; shining. [R.] Boyle. 2. Gay; spruce; fine; -- said of persons. [R.] T. Reeve.
nitranilic |Of, pertaining to, or designating, a complex organic acid produced as a white crystalline substance by the action of nitrous acid on hydroquinone.
nitraniline |Any one of a series of nitro derivatives of aniline. In general they are yellow crystalline substances.
nitrate |A salt of nitric acid. Nitrate of silver, a white crystalline salt (AgNO3), used in photography and as a cauterizing agent; -- called also lunar caustic.
nitrated |1. (Chem.)  Combined, or impregnated, with nitric acid, or some of its compounds. 2. (Photog.)  Prepared with nitrate of silver.
nitratine |A mineral occurring in transparent crystals, usually of a white, sometimes of a reddish gray, or lemon-yellow, color; native sodium nitrate. It is used in making nitric acid and for manure. Called also soda niter.
nitre |1. (Chem.)  A white crystalline semitransparent salt; potassium nitrate; saltpeter. See Saltpeter. 2. (Chem.)  Native sodium carbonate; natron. [Obs.] For though thou wash thee with niter, and take thee much soap, yet thine iniquity is marked before me. Jer. ii. 22. Cubic niter, a deliquescent salt, sodium nitrate, found as a native incrustation, like niter, in Peru and Chili, whence it is known also as Chili saltpeter. -- Niter bush (Bot.), a genus (Nitraria) of thorny shrubs bearing edible berries, and growing in the saline plains of Asia and Northern Africa.\n\nSee Niter.
nitriary |An artificial bed of animal matter for the manufacture of niter by nitrification. See Nitrification, 2.
nitric |Of, pertaining to, or containing, nitrogen; specifically, designating any one of those compounds in which, as contrasted with nitrous compounds, the element has a higher valence; as, nitric oxide; nitric acid. Nitric acid, a colorless or yellowish liquid obtained by distilling a nitrate with sulphuric acid. It is powerfully corrosive, being a strong acid, and in decomposition a strong oxidizer. -- Nitric anhydride, a white crystalline oxide of nitrogen (N2O5), called nitric pentoxide, and regarded as the anhydride of nitric acid. -- Nitric oxide, a colorless poisous gas (NO) obtained by treating nitric acid with copper. On contact with the air or with oxygen, it becomes reddish brown from the formation of nitric dioxide or peroxide.
nitride |A binary compound of nitrogen with a more metallic element or radical; as, boric nitride.
nitriferous |Bearing niter; yielding, or containing, niter.
nitrification |1. (Chem.) (a) The act, process, or result of combining with nitrogen or some of its compounds. (b) The act or process of oxidizing nitrogen or its compounds so as to form nitrous or nitric acid. 2. A process of oxidation, in which nitrogenous vegetable and animal matter in the presence of air, moisture, and some basic substances, as lime or alkali carbonate, is converted into nitrates. Note: The process is going on at all times in porous soils and in water contaminated with nitrogenous matter, and is supposed to be due to the presence of an organized ferment or ferments, called nitrification ferments. In former times the process was extensively made use of in the production of saltpeter.
nitrifier |An agent employed in nitrification.
nitrify |To combine or impregnate with nitrogen; to convert, by oxidation, into nitrous or nitric acid; to subject to, or produce by, nitrification.
nitrile |Any one of a series of cyanogen compounds; particularly, one of those cyanides of alcohol radicals which, by boiling with acids or alkalies, produce a carboxyl acid, with the elimination of the nitrogen as ammonia. Note: The nitriles are named with reference to the acids produced by their decomposition, thus, hydrocyanic acid is formic nitrile, and methyl cyanide is acetic nitrile.
nitrite |A salt of nitrous acid. Amyl nitrite, a yellow oily volatile liquid, used in medicine as a depressant and a vaso-dilator. Its inhalation produces an instantaneous flushing of the face.
nitro- |1. A combining form or an adjective denoting the presence of niter. 2. (Chem.)  A combining form (used also adjectively) designating certain compounds of nitrogen or of its acids, as nitrohydrochloric, nitrocalcite; also, designating the group or radical NO2, or its compounds, as nitrobenzene. Nitro group, the radical NO2; -- called also nitroxyl.
nitro-chloroform |Same as Chlorpicrin.
nitrobenzene |A yellow aromatic liquid (C6H5.NO2), produced by the action of nitric acid on benzene, and called from its odor imitation oil of bitter almonds, or essence of mirbane. It is used in perfumery, and is manufactured in large quantities in the preparation of aniline. Fornerly called also nitrobenzol.
nitrobenzol |See Nitrobenzene.
nitrobenzole |See Nitrobenzene.
nitrocalcite |Nitrate of calcium, a substance having a grayish white color, occuring in efforescences on old walls, and in limestone caves, especially where there exists decaying animal matter.
nitrocarbol |See Nitromethane.
nitrocellulose |See Gun cotton, under Gun.
nitroform |A nitro derivative of methane, analogous to chloroform, obtained as a colorless oily or crystalline substance, CH.(NO2)3, quite explosive, and having well-defined acid properties.
nitrogelatin |An explosive consisting of gun cotton and camphor dissolved in nitroglycerin. [Written also nitrogelatine.]
nitrogen |A colorless nonmetallic element, tasteless and odorless, comprising four fifths of the atmosphere by volume. It is chemically very inert in the free state, and as such is incapable of supporting life (hence the name azote still used by French chemists); but it forms many important compounds, as ammonia, nitric acid, the cyanides, etc, and is a constituent of all organized living tissues, animal or vegetable. Symbol N. Atomic weight 14. It was formerly regarded as a permanent noncondensible gas, but was liquefied in 1877 by Cailletet of Paris, and Pictet of Geneva.
nitrogenize |To combine, or impregnate, with nitrogen or its compounds.
nitrogenous |of, pertaining to, or resembling, nitrogen; as, a nitrogenous principle; nitrogenous compounds. Nitrogenous foods. See 2d Note under Food, n., 1.
nitroglycerin |A liquid appearing like a heavy oil, colorless or yellowish, and consisting of a mixture of several glycerin salts of nitric acid, and hence more properly called glycerin nitrate. It is made by the action of nitric acid on glycerin in the presence of sulphuric acid. It is extremely unstable and terribly explosive. A very dilute solution is used in medicine as a neurotic under the name of glonion. [Written also nitroglycerine.] Note: A great number of explosive compounds have been produced by mixing nitroglycerin with different substances; as, dynamite, or giant powder, nitroglycerin mixed with siliceous earth; lithofracteur, nitroglycerin with gunpowder, or with sawdust and nitrate of sodium or barium; Colonia powder, gunpowder with nitroglycerin; dualin, nitroglycerin with sawdust, or with sawdust and nitrate of potassium and some other substances; lignose, wood fiber and nitroglycerin.
nitrohydrochloric |Of, pertaining to, or containing, nitric and hydrochloric acids. Nitrohydrochloric acid, a mixture of nitric and hydrochloric acids, usually in the proportion of one part of the former to three of the latter, and remarkable for its solvent action on gold and platinum; -- called also nitromuriatic acid, and aqua regia.
nitrol |Any one of a series of hydrocarbons containing the nitro and the nitroso or isonitroso group united to the same carbon atom.
nitroleum |Nitroglycerin.
nitrolic |of, derived from, or designating, a nitrol; as, a nitrolic acid.
nitromagnesite |Nitrate of magnesium, a saline efflorescence closely resembling nitrate of calcium.
nitrometer |An apparatus for determining the amount of nitrogen or some of its compounds in any substance subjected to analysis; an azotometer.
nitromethane |A nitro derivative of methane obtained as a mobile liquid; -- called also nitrocarbol.
nitromuriatic |Of, pertaining to, or composed of, nitric acid and muriatic acid; nitrohydrochloric. See Nitrohydrochloric.
nitrophnol |Any one of a series of nitro derivatives of phenol. They are yellow oily or crystalline substances and have well-defined acid properties, as picric acid.
nitroprussic |Pertaining to, derived from, or designating, a complex acid called nitroprussic acid, obtained indirectly by the action of nitric acid on potassium ferrocyanide (yellow prussiate), as a red crystalline unstable substance. It forms salts called nitroprussides, which give a rich purple color with alkaline subphides.
nitroprusside |See Nitroprussic.
nitroquinol |A hypothetical nitro derivative of quinol or hydroquinone, not known in the free state, but forming a well defined series of derivatives.
nitrosaccharin |An explosive nitro derivative of certain sugars, analogous to nitroglycerin, gun cotton, etc.
nitrosalicylic |Of, pertaining to, or designating, a nitro derivative of salicylic acid, called also anilic acid.
nitrose |See Nitrous.
nitroso- |(. (Chem.) A prefix (also used adjectively) designating the group or radical NO, called the nitroso group, or its compounds.
nitrosyl |the radical NO, called also the nitroso group. The term is sometimes loosely used to designate certain nitro compounds; as, nitrosyl sulphuric acid. Used also adjectively.
nitrosylic |Of, pertaining to, or containing, nitrosyl; as, nitrosylic acid.
nitrous |1. Of, pertaining to, or containing, niter; of the quality of niter, or resembling it. 2. (Chem.)  Of, pertaining to, or designating, any one of those compounds in which nitrogen has a relatively lower valence as contrasted with nitric compounds. Nitrous acid (Chem.), a hypothetical acid of nitrogen HNO2, not known in the free state, but forming a well known series of salts, viz., the nitrites. -- Nitrous oxide. See Laughing gas.
nitroxyl |The group NO2, usually called the nitro group.
nitrum |Niter. Nitrum flammans Etym: [L., flaming niter] (Old Chem.), ammonium nitrate; -- probably so called because it deflagerates when suddenly heated.
nitry |Nitrous. [Obs.]
nitryl |A name sometimes given to the nitro group or radical.
nitter |The horselouse; an insect that deposits nits on horses.
nittily |Lousily. [Obs.] Haywar
nittings |The refuse of good ore. Raymond.
nitty |Full of nits. B. Jonson.\n\nShining; elegant; spruce. [Obs.] \"O sweet, nitty youth.\" Marston.
nival |Abounding with snow; snowy. [Obs.] Johnson.
niveous |Snowy; resembling snow; partaking of the qualities of snow. Sir T. Browne.
nivose |The fourth month of the French republican calendar [1792-1806]. It commenced December 21, and ended January 19. See VendÉmiaire.
nix |One of a class of water spirits, commonly described as of a mischievous disposition. The treacherous nixes who entice men to a watery death. Tylor.
nixie |See Nix.
nixie clerk |A post-office clerk in charge of the nixies.
nizam |The title of the native sovereigns of Hyderabad, in India, since 1719.
no |Not any; not one; none. Let there be no strife ... between me and thee. Gen. xiii. 8. That goodness is no name, and happiness no dream. Byron. Note: In Old England before a vowel the form non or noon was used. \"No man.\" \"Noon apothercary.\" Chaucer.\n\nNay; not; not at all; not in any respect or degree; -- a word expressing negation, denial, or refusal. Before or after another negative, no is emphatic. We do no otherwise than we are willed. Shak. I am perplx'd and doubtful whether or no I dare accept this your congratulation. Coleridge. There is none righteous, no, not one. Rom. iii. 10. No! Nay, Heaven forbid. Coleridge.\n\n1. A refusal by use of the wordd no; a denial. 2. A negative vote; one who votes in the negative; as, to call for the ayes and noes; the noes have it.
noachian |Of or pertaining to the patriarch Noah, or to his time.
noah |A patriarch of Biblical history, in the time of the Deluge. Noah's ark. (a) (Zoöl.) A marine bivalve shell (Arca Noæ), which somewhat resembles an ark, or ship, in form. (b) A child's toy, consisting of an ark-shaped box containing many different wooden animals.
nob |The head. [Low]\n\nA person in a superior position in life; a nobleman. [Slang]
nobbily |In a nobby manner. [Slang]
nobbler |A dram of spirits. [Australia]
nobby |Stylish; modish; elegant; showy; aristocratic; fashionable. [Slang]
nobel prizes |Prizes for the encouragement of men and women who work for the interests of humanity, established by the will of A. B. Nobel (1833- 96), the Swedish inventor of dynamite, who left his entire estate for this purpose. They are awarded yearly for what is regarded as the most important work during the year in physics, chemistry, medicine or physiology, idealistic literature, and service in the interest of peace. The prizes, averaging $40,000 each, were first awarded in 1901. NOBERT'S LINES No\"bert's lines. [After F. A. Nobert, German manufacturer in Pomerania.]  Fine lines ruled on glass in a series of groups of different closeness of line, and used to test the power of a microscope.
nobiliary |Of or pertaining to the nobility. Fitzed. Hall.\n\nA history of noble families.
nobilify |To make noble; to nobiliate. [Obs.] NOBILI'S RINGS No\"bi*li's rings. [After Leopoldo Nobili, an Italian physicist who first described them in 1826.] (Physics)  Colored rings formed upon a metal plate by the electrolytic disposition of copper, lead peroxide, etc. They may be produced by touching with a pointed zinc rod a silver plate on which is a solution of copper sulphate.
nobilitate |To make noble; to ennoble; to exalt. [Obs.]
nobilitation |The act of making noble. [Obs.] Dr. H. More.
nobility |1. The quality or state of being noble; superiority of mind or of character; commanding excellence; eminence. Though she hated Amphialus, yet the nobility of her courage prevailed over it. Sir P. Sidney. They thought it great their sovereign to control, And named their pride nobility of soul. Dryden. 2. The state of being of high rank or noble birth; patrician dignity; antiquity of family; distinction by rank, station, or title, whether inherited or conferred. I fell on the same argument of preferring virtue to nobility of blood and titles, in the story of Sigismunda. Dryden. 3. Those who are noble; the collictive body of nobles or titled persons in a stste; the aristocratic and patrician class; the peerage; as, the English nobility.
noble |1. Possessing eminence, elevation, dignity, etc.; above whatever is low, mean, degrading, or dishonorable; magnanimous; as, a noble nature or action; a noble heart. Statues, with winding ivy crowned, belong To nobler poets for a nobler song. Dryden. 2. Grand; stately; magnificent; splendid; as, a noble edifice. 3. Of exalted rank; of or pertaining to the nobility; distinguished from the masses by birth, station, or title; highborn; as, noble blood; a noble personage. Note: Noble is used in the formation of self-explaining compounds; as, noble-born, noble-hearted, noble-minded. Noble metals (Chem.), silver, gold, and platinum; -- so called from their freedom from oxidation and permanence in air. Copper, mercury, aluminium, palladium, rhodium, iridium, and osmium are sometimes included. Syn. -- Honorable; worthy; dignified; elevated; exalted; superior; sublime; great; eminent; illustrious; renowned; stately; splendid; magnificent; grand; magnanimous; generous; liberal; free.\n\n1. A person of rank above a commoner; a nobleman; a peer. 2. An English money of account, and, formerly, a gold coin, of the value of 6 s. 8 d. sterling, or about $1.61. 3. (Zoöl.)  A European fish; the lyrie.\n\nTo make noble; to ennoble. [Obs.] Thou nobledest so far forth our nature. Chaucer.
noble-minded |Having a noble mind; honorable; magnanimous. -- No\"ble-mind`ed*ness, n.
nobleman |One of the nobility; a noble; a peer; one who enjoys rank above a commoner, either by virtue of birth, by office, or by patent.
