evolutionism |The theory of, or belief in, evolution. See Evolution, 6 and 7.
exercise |1. The act of exercising; a setting in action or practicing; employment in the proper mode of activity; exertion; application; use; habitual activity; occupation, in general; practice. exercise of the important function confided by the constitution to the legislature. Jefferson. O we will walk this world, Yoked in all exercise of noble end. Tennyson. 2. Exertion for the sake of training or improvement whether physical, intellectual, or moral; practice to acquire skill, knowledge, virtue, perfectness, grace, etc. \"Desire of knightly exercise.\" Spenser. An exercise of the eyes and memory. Locke. 3. Bodily exertion for the sake of keeping the organs and functions in a healthy state; hygienic activity; as, to take exercise ob horseback. The wise for cure on exercise depend. Dryden. 4. The performance of an office, a ceremony, or a religious duty. Lewis refused even those of the church of England . . . the public exercise of their religion. Addison. To draw him from his holy exercise. Shak. 5. That which is done for the sake of exercising, practicing, training, or promoting skill, health, mental, improvement, moral discipline, etc.; that which is assigned or prescribed for such ebbs; hence, a disquisition; a lesson; a task; as, military or naval exercises; musical exercises; an exercise in composition. The clumsy exercises of the European tourney. Prescott. He seems to have taken a degree, and preformed public exercises in Cambridge, in 1565. Brydges. 6. That which gives practice; a trial; a test. Patience is more oft the exercise Of saints, the trial of their fortitude. Milton. Exercise bone (Med.), a deposit of bony matter in the soft tissues, produced by pressure or exertion.\n\n1. To set in action; to cause to act, move, or make exertion; to give employment to; to put in action habitually or constantly; to school or train; to exert repeatedly; to busy. Herein do I Exercise myself, to have always a conscience void of offence. Acts xxiv. 16. 2. To exert for the sake of training or improvement; to practice in order to develop; hence, also, to improve by practice; to discipline, and to use or to for the purpose of training; as, to exercise arms; to exercise one's self in music; to exercise troops. About him exercised heroic games The unarmed youth. Milton. 3. To occupy the attention and effort of; to task; to tax, especially in a painful or vexatious manner; harass; to vex; to worry or make anxious; to affect; to discipline; as, exercised with pain. Where pain of unextinguishable fire Must exercise us without hope of end. Milton. 4. To put in practice; to carry out in action; to perform the duties of; to use; to employ; to practice; as, to exercise authority; to exercise an office. I am the Lord which exercise loving-kindness, judgment, and righteousness in the earth. Jer. ix. 24. The people of the land have used oppression and exercised robbery. Ezek. xxii. 29.\n\nTo exercise one's self, as under military training; to drill; to take exercise; to use action or exertion; to practice gymnastics; as, to exercise for health or amusement. I wear my trusty sword, When I do exercise. Cowper.
exerciser |One who exercises.
exercisible |Capable of being exercised, employed, or enforced; as, the authority of a magistrate is exercisible within his jurisdiction.
exercitation |exercise; practice; use. [R.] Sir T. Browne.
exergue |The small space beneath the base line of a subject engraved on a coin or medal. It usually contains the date, place, engraver's name, etc., or other subsidiary matter. Fairholt.
exert |1. To thrust forth; to emit; to push out. [Obs.] So from the seas exerts his radiant head The star by whom the lights of heaven are led. Dryden. 2. To put force, ability, or anything of the nature of an active faculty; to put in vigorous action; to bring into active operation; as, to exert the strength of the body, limbs, faculties, or imagination; to exert the mind or the voice. 3. To put forth, as the result or exercise of effort; to bring to bear; to do or perform. When we will has exerted an act of command on any faculty of the soul or member of the body. South. To exert one's self, to use efforts or endeavors; to strive; to make an attempt.
exertion |The act of exerting, or putting into motion or action; the active exercise of any power or faculty; an effort, esp. a laborious or perceptible effort; as, an exertion of strength or power; an exertion of the limbs or of the mind; it is an exertion for him to move, to-day. Syn. -- Attempt; endeavor; effort; essay; trial. See Attempt.
exertive |Having power or a tendency to exert; using exertion.
exertment |Exertion. [R.]
exesion |The act of eating out or through. [Obs.] Sir T. Browne.
exestuate |To be agitated; to boil up; to effervesce. [Obs.]
exestuation |A boiling up; effervescence. [Obs.] Boyle.
exeunt |They go out, or retire from the scene; as, exeunt all except Hamlet. See 1st Exit.
exfetation |Imperfect fetation in some organ exterior to the uterus; extra- uterine fetation. Hoblyn.
exfoliate |1. To separate and come off in scales or laminæ, as pieces of carious bone or of bark. 2. (Min.)  To split into scales, especially to become converted into scales at the result of heat or decomposition.\n\nTo remove scales, laminæ, or splinters from the surface of.
exfoliation |The scaling off of a bone, a rock, or a mineral, etc.; the state of being exfoliated.
exfoliative |Having the power of causing exfoliation. -- n.  An exfoliative agent. Wiseman.
exhalable |Capable of being exhaled or evaporated. Boyle.
exhalant |Having the quality of exhaling or evaporating.
exhalation |1. The act or process of exhaling, or sending forth in the form of steam or vapor; evaporation. 2. That which is exhaled, or which rises in the form of vapor, fume, or steam; effluvium; emanation; as, exhalations from the earth or flowers, decaying matter, etc. Ye mists and exhalations, that now rise From hill or steaming lake. Milton. 3. A bright phenomenon; a meteor. I shall fall Like a bright exhalation in the evening. Shak.
exhale |1. To breathe out. Hence: To emit, as vapor; to send out, as an odor; to evaporate; as, the earth exhales vapor; marshes exhale noxious effluvia. Less fragrant scents the unfolding rose exhales. Pope. 2. To draw out; to cause to be emitted in vapor; as, the sum exhales the moisture of the earth.\n\nTo rise or be given off, as vapor; to pass off, or vanish. Their inspiration exhaled in elegies. Prescott.
exhalement |Exhalation. [Obs.]
exhalence |Exhalation. [R.]
exhaust |1. To draw or let out wholly; to drain off completely; as, to exhaust the water of a well; the moisture of the earth is exhausted by evaporation. 2. To empty by drawing or letting out the contents; as, to exhaust a well, or a treasury. 3. To drain, metaphorically; to use or expend wholly, or till the supply comes to an end; to deprive wholly of strength; to use up; to weary or tire out; to wear out; as, to exhaust one's strength, patience, or resources. A decrepit, exhausted old man at fifty-five. Motley. 4. To bring out or develop completely; to discuss thoroughly; as, to exhaust a subject. 5. (Chem.)  To subject to the action of various solvents in order to remove all soluble substances or extractives; as, to exhaust a drug successively with water, alcohol, and ether. Exhausted receiver. (Physics) See under Receiver. Syn. -- To spend; consume; tire out; weary.\n\n1. Drained; exhausted; having expended or lost its energy. 2. Pertaining to steam, air, gas, etc., that is released from the cylinder of an engine after having preformed its work. Exhaust draught, a forced draught produced by drawing air through a place, as through a furnace, instead of blowing it through. -- Exhaust fan, a fan blower so arranged as to produce an exhaust draught, or to draw air or gas out of a place, as out of a room in ventilating it. -- Exhaust nozzle, Exhaust orifice (Steam Engine), the blast orifice or nozzle. -- Exhaust pipe (Steam Engine), the pipe that conveys exhaust steam from the cylinder to the atmosphere or to the condenser. Exhaust port (Steam Engine), the opening, in the cylinder or valve, by which the exhaust steam escapes. -- Exhaust purifier (Milling), a machine for sorting grains, or purifying middlings by an exhaust draught. Knight. -- Exhaust steam (Steam Engine), steam which is allowed to escape from the cylinder after having been employed to produce motion of the piston. -- Exhaust valve (Steam Engine), a valve that lets exhaust steam escape out of a cylinder.\n\n1. The steam let out of a cylinder after it has done its work there. 2. The foul air let out of a room through a register or pipe provided for the purpose.
exhauster |One who, or that which, exhausts or draws out.
exhaustibility |Capability of being exhausted. I was seriously tormented by the thought of the exhaustibility of musical combinations. J. S. Mill.
exhaustible |Capable of being exhausted, drained off, or expended. Johnson.
exhausting |Producing exhaustion; as, exhausting labors. -- Ex*haust\"ing, adv.
exhaustion |1. The act of draining out or draining off; the act of emptying completely of the contents. 2. The state of being exhausted or emptied; the state of being deprived of strength or spirits. 3. (Math.)  An ancient geometrical method in which an exhaustive process was employed. It was nearly equivalent to the modern method of limits. Note: The method of exhaustions was applied to great variety of propositions, pertaining to rectifications and quadratures, now investigated by the calculus.
exhaustive |Serving or tending to exhaust; exhibiting all the facts or arguments; as, an exhaustive method. Ex*haust\"ive*ly, adv.
exhaustless |Not be exhausted; inexhaustible; as, an exhaustless fund or store.
exhaustment |Exhaustion; drain. [Obs.]
exhausture |Exhaustion. Wraxall.
exhedra |See Exedra.
exheredate |To disinherit. [R.] Huloet.
exheredation |A disinheriting; disherisor. [R.]
exhereditation |A disinheriting; disherison. [R.] E. Waterhouse.
exhibit |1. To hold forth or present to view; to produce publicly, for inspection; to show, especially in order to attract notice to what is interesting; to display; as, to exhibit commodities in a warehouse, a picture in a gallery. Exhibiting a miserable example of the weakness of mind and body. Pope. 2. (Law)  To submit, as a document, to a court or officer, in course of proceedings; also, to present or offer officially or in legal form; to bring, as a charge. He suffered his attorney-general to exhibit a charge of high treason against the earl. Clarendon. 3. (Med.)  To administer as a remedy; as, to exhibit calomel. To exhibit a foundation or prize, to hold it forth or to tender it as a bounty to candidates. -- To exibit an essay, to declaim or otherwise present it in public. [Obs.]\n\n1. Any article, or collection of articles, displayed to view, as in an industrial exhibition; a display; as, this exhibit was marked A; the English exhibit. 2. (Law)  A document produced and identified in court for future use as evidence.
exhibiter |One who exhibits; one who presents a petition, charge or bill. Shak.
exhibition |1. The act of exhibiting for inspection, or of holding forth to view; manifestation; display. 2. That which is exhibited, held forth, or displayed; also, any public show; a display of works of art, or of feats of skill, or of oratorical or dramatic ability; as, an exhibition of animals; an exhibition of pictures, statues, etc.; an industrial exhibition. 3. Sustenance; maintenance; allowance, esp. for meat and drink; pension. Specifically: (Eng. Univ.) Private benefaction for the maintenance of scholars. What maintenance he from his friends receives, Like exhibition thou shalt have from me. Shak. I have given more exhibitions to scholars, in my days, than to the priests. Tyndale. 4. (Med.)  The act of administering a remedy.
exhibitioner |One who has a pension or allowance granted for support. A youth who had as an exhibitioner from Christ's Hospital. G. Eliot.
exhibitive |Serving for exhibition; representative; exhibitory. Norris. -- Ex*hib\"it*ive*ly, adv.
exhibitor |One who exhibits.
exhibitory |Exhibiting; publicly showing. J. Warton.
exhilarant |Exciting joy, mirth, or pleasure. -- n.  That which exhilarates.
exhilarate |To make merry or jolly; to enliven; to animate; to gladden greatly; to cheer; as, good news exhilarates the mind; wine exhilarates a man.\n\nTo become joyous. [R.] Bacon.
exhilarating |That exhilarates; cheering; gladdening. -- Ex*hil\"a*ra`ting*ly, adv.
exhilaration |1. The act of enlivening the spirits; the act of making glad or cheerful; a gladdening. 2. The state of being enlivened or cheerful. Exhilaration hath some affinity with joy, though it be a much lighter motion. Bacon. Syn. -- Animation; joyousness; gladness; cheerfulness; gayety; hilarity; merriment; jollity.
exhort |To incite by words or advice; to animate or urge by arguments, as to a good deed or laudable conduct; to address exhortation to; to urge strongly; hence, to advise, warn, or caution. Examples gross as earth exhort me. Shak. Let me exhort you to take care of yourself. J. D. Forbes.\n\nTo deliver exhortation; to use words or arguments to incite to good deeds. With many other words did he testify and exhort. Acts ii. 40.\n\nExhortation. [Obs.] Pope.
exhortation |1. The act of practice of exhorting; the act of inciting to laudable deeds; incitement to that which is good or commendable. 2. Language intended to incite and encourage; advice; counsel; admonition. I'll end my exhortation after dinner. Shak.
exhortative |Serving to exhort; exhortatory; hortative. Barrow.
exhortatory |Of or pertaining to exhortation; hortatory. Holinshed.
exhorter |One who exhorts or incites.
exhumated |Disinterred. [Obs.]
exhumation |The act of exhuming that which has been buried; as, the exhumation of a body.
exhume |To dig out of the ground; to take out of a place of burial; to disinter. Mantell.
exiccate |See Exsiccate. [Obs.] Holland.
exiccation |See Exsiccation. [Obs.]
exigence |Exigency. Hooker.
exigency |The state of being exigent; urgent or exacting want; pressing necessity or distress; need; a case demanding immediate action, supply, or remedy; as, an unforeseen exigency. \"The present exigency of his affairs.\" Ludlow. Syn. -- Demand; urgency; distress; pressure; emergency; necessity; crisis.
exigendary |See Exigenter.
exigent |Exacting or requiring immediate aid or action; pressing; critical. \"At this exigent moment.\" Burke.\n\n1. Exigency; pressing necessity; decisive moment. [Obs.] Why do you cross me in this exigent Shak. 2. (o. Eng. Law)  The name of a writ in proceedings before outlawry. Abbott.
exigenter |An officer in the Court of King's Bench and Common Pleas whose duty it was make out exigents. The office in now abolished. Cowell.
exigible |That may be exacted; repairable. [R.] A. Smith.
exiguity |Scantiness; smallness; thinness. [R.] Boyle.
exiguous |Scanty; small; slender; diminutive. [R.] \"Exiguous resources.\" Carlyle. -- Ex*ig\"uous*ness, n. [R.]
exile |1. Forced separation from one's native country; expulsion from one's home by the civil authority; banishment; sometimes, voluntary separation from one's native country. Let them be recalled from their exile. Shak. 2. The person expelled from his country by authority; also, one who separates himself from his home. Thou art in exile, and thou must not stay. Shak. Syn. -- Banishment; proscription; expulsion.\n\nTo banish or expel from one's own country or home; to drive away. \"Exiled from eternal God.\" Tennyson. Calling home our exiled friends abroad. Shak. Syn. -- See Banish.\n\nSmall; slender; thin; fine. [Obs.] \"An exile sound.\" Bacon.
exilement |Banishment. [R.] Sir. H. Wotton.
exilic |Pertaining to exile or banishment, esp. to that of the Jews in Babylon. Encyc. Dict.
exilition |A sudden springing or leaping out. [Obs.] Sir T. Browne.
exility |Smallness; meagerness; slenderness; fineness, thinness. [R.] Paley.
eximious |Select; choice; hence, extraordinary, excellent. [Obs.] The eximious and arcane science of physic. Fuller.
exinanite |To make empty; to render of no effect; to humble. [Obs.] Bp. Pearson.
exinanition |n. [L. exinanitio.] An emptying; an enfeebling; exhaustion; humiliation. [Obs.] Fastings to the exinanition of spirits. Jer. Taylor.
exist |1. To be as a fact and not as a mode; to have an actual or real being, whether material or spiritual. Who now, alas! no more is missed Than if he never did exist. Swift. To conceive the world . . . to have existed from eternity. South. 2. To be manifest in any manner; to continue to be; as, great evils existed in his reign. 3. To live; to have life or the functions of vitality; as, men can not exist water, nor fishes on land. Syn. -- See Be.
existence |1. The state of existing or being; actual possession of being; continuance in being; as, the existence of body and of soul in union; the separate existence of the soul; immortal existence. The main object of our existence. Lubbock. 2. Continued or repeated manifestation; occurrence, as of events of any kind; as, the existence of a calamity or of a state of war. The existence therefore, of a phenomenon, is but another word for its being perceived, or for the inferred possibility of perceiving it. J. S. Mill. 3. That which exists; a being; a creature; an entity; as, living existences.
existency |Existence. [R.] Sir M. Hale.
existent |Having being or existence; existing; being; occurring now; taking place. The eyes and mind are fastened on objects which have no real being, as if they were truly existent. Dryden.
existential |Having existence. [Archaic] Bp. Barlow. --Ex`is*ten\"tial*ly, adv. [Archaic] Existentially as well as essentially intelligent. Colerige.
exister |One who exists.
existible |Capable of existence. Grew.
existimation |Esteem; opinion; reputation. [Obs.] Steele.
exit |He (or she ) goes out, or retires from view; as, exit Macbeth. Note: The Latin words exit (he or she goes out), and exeunt ( they go out), are used in dramatic writings to indicate the time of withdrawal from the stage of one or more of the actors.\n\n1. The departure of a player from the stage, when he has performed his part. They have their exits and their entrances. Shak. 2. Any departure; the act of quitting the stage of action or of life; death; as, to make one's exit. Sighs for his exit, vulgarly called death. Cowper. 3. A way of departure; passage out of a place; egress; way out. Forcing he water forth thought its ordinary exists. Woodward.
exitial |Destructive; fatal. [Obs.] \"Exitial fevers.\" Harvey.
exitious |Destructive; fatal. [Obs.] \"Exitial fevers.\" Harvey.
exmoor |1. One of a breed of horned sheep of Devonshire, England, having white legs and face and black nostrils. They are esp. valuable for mutton. 2.  A breed of ponies native to the Exmoor district.
exo |A prefix signifying out of, outside; as in exocarp, exogen, exoskeleton.
exo- |A prefix signifying out of, outside; as in exocarp, exogen, exoskeleton.
exocardiac |Situated or arising outside of the heat; as, exocardial murmurs; -- opposed to endocardiac.
exocardial |Situated or arising outside of the heat; as, exocardial murmurs; -- opposed to endocardiac.
exocarp |The outer portion of a fruit, as the flesh of a peach or the rind of an orange. See Illust. of Drupe.
exoccipital |Pertaining to a bone or region on each side of the great foremen of the skull. -- n.  The exoccipital bone, which often forms a part of the occipital in the adult, but is usually distinct in the young.
exocetus |A genus of fishes, including the common flying fishes. See Flying fish.
exocoetus |A genus of fishes, including the common flying fishes. See Flying fish.
exoculate |To deprive of eyes. [R.] W. C. Hazlitt.
exode |1. Departure; exodus; esp., the exodus of the Israelites from Egypt. [Obs.] L. Coleman. Bolingbroke. 2. (Gr. Drama)  The final chorus; the catastrophe. 3. (Rom. Antig.)  An afterpiece of a comic description, either a farce or a travesty.
exodic |Conducting influences from the spinal cord outward; -- said of the motor or efferent nerves. Opposed to esodic.
exodium |See Exode.
exodus |1. A going out; particularly (the Exodus), the going out or journey of the Israelites from Egypt under the conduct of Moses; and hence, any large migration from a place. 2. The second of the Old Testament, which contains the narrative of the departure of the Israelites from Egypt.
exody |Exodus; withdrawal. [Obs.] The time of the Jewish exody. Sir M. Hale.
exogamous |Relating to exogamy; marrying outside of the limits of one's own tribe; -- opposed to endogenous.
exogamy |The custom, or tribal law, which prohibits marriage between members of the same tribe; marriage outside of the tribe; -- opposed to endogamy. Lubbock.
exogen |A plant belonging to one of the greater part of the vegetable kingdom, and which the plants are characterized by having c wood bark, and pith, the wood forming a layer between the other two, and increasing, if at all, by the animal addition of a new layer to the outside next to the bark. The leaves are commonly netted-veined, and the number of cotyledons is two, or, very rarely, several in a whorl. Cf. Endogen. Gray.
exogenetic |Arising or growing from without; exogenous.
exogenous |1. (Bot.)  Pertaining to, or having the character of, an exogen; -- the opposite of endogenous. 2. (Biol.)  Growing by addition to the exterior. 3. (Anat.)  Growing from previously ossified parts; -- opposed to autogenous. Owen. Exogenous aneurism (Med.), an aneurism which is produced by causes acting from without, as from injury.
exogyra |A genus of Cretaceous fossil shells allied to oysters.
exolete |Obsolete; out of use; state; insipid. [Obs.]
exolution |See Exsolution. [Obs.] Sir T. Browne.
exolve |To loose; to pay. [Obs.]
exon |A native or inhabitant of Exeter, in England.\n\nAn officer of the Yeomen of the Guard; an Exempt. [Eng.]
exonerate |1. To unload; to disburden; to discharge. [Obs.] All exonerate themselves into one common duct. Ray. 2. To relieve, in a moral sense, as of a charge, obligation, or load of blame resting on one; to clear of something that lies upon oppresses one, as an accusation or imputation; as, to exonerate one's self from blame, or from the charge of avarice. Burke. 3. To discharge from duty or obligation, as a ball. Syn. - To absolve; acquit; exculpate. See Absolve.
exoneration |The act of disburdening, discharging, or freeing morally from a charge or imputation; also, the state of being disburdened or freed from a charge.
exonerative |Freeing from a burden or obligation; tending to exonerate.
exonerator |One who exonerates or frees from obligation.
exophthalmia |The protrusion of the eyeball so that the eyelids will not cover it, in consequence of disease.
exophthalmic |Of or pertaining to, or characterized by, exophthalmia. Exophthalmic golter. Same as Rasedow's disease.
exophthalmos |Same as Exophthalmia.
exophthalmus |Same as Exophthalmia.
exophthalmy |Exophthalmia.
exophyllous |Not sheathed in another leaf.
exoplasm |See Ectosarc, and Ectoplasm.
exopodite |The external branch of the appendages of Crustacea.
exoptable |Very desirable. [Obs.] Bailey.
exoptile |A name given by Lestiboudois to dicotyledons; -- so called because the plumule is naked.
exorable |Capable of being moved by entreaty; pitiful; tender. Milton.
exorate |To persuade, or to gain, by entreaty. [Obs.] Cockeram.
exoration |Entreaty. [R.] Beau. & Fl.
exorbitance |A going out of or beyond the usual or due limit; hence, enormity; extravagance; gross deviation from rule, right, or propriety; as, the exorbitances of the tongue or of deportment; exorbitance of demands. \"a curb to your exorbitancies.\" Dryden. The lamentable exorbitances of their superstitions. Bp. Hall.
exorbitancy |A going out of or beyond the usual or due limit; hence, enormity; extravagance; gross deviation from rule, right, or propriety; as, the exorbitances of the tongue or of deportment; exorbitance of demands. \"a curb to your exorbitancies.\" Dryden. The lamentable exorbitances of their superstitions. Bp. Hall.
exorbitant |1. Departing from an orbit or usual track; hence, deviating from the usual or due course; going beyond the appointed rules or established limits of right or propriety; excessive; extravagant; enormous; inordinate; as, exorbitant appetites and passions; exorbitant charges, demands, or claims. Foul exorbitant desires. Milton. 2. Not comprehended in a settled rule or method; anomalous. The Jews . . . [were] inured with causes exorbitant, and such as their laws had not provided for. Hooker.
exorbitantly |In an exorbitant, excessive, or irregular manner; enormously.
exorbitate |To go out of the track; to deviate. [Obs.] Bentley.
exorcise |1. To cast out, as a devil, evil spirits, etc., by conjuration or summoning by a holy name, or by certain ceremonies; to expel (a demon) or to conjure (a demon) to depart out of a person possessed by one. He impudently excorciseth devils in the church. Prynne. 2. To deliver or purify from the influence of an evil spirit or demon. Exorcise the beds and cross the walls. Dryden. Mr. Spectator . . . do all you can to exorcise crowds who are . . . processed as I am. Spectator.
exorciser |An exorcist.
exorcism |1. The act of exorcising; the driving out of evil spirits from persons or places by conjuration; also, the form of conjuration used. 2. Conjuration for raising spirits. [R.] Shak.
exorcist |1. One who expels evil spirits by conjuration or exorcism. Certain of the vagabond Jews, exorcists. Acts xix. 13. 2. A conjurer who can raise spirits. [R.] Thou, like an exorcist, hast conjured up My mortified spirit. Shak.
exordial |Pertaining to the exordium of a discourse: introductory. The exordial paragraph of the second epistle. I. Taylor.
exordium |A beginning; an introduction; especially, the introductory part of a discourse or written composition, which prepares the audience for the main subject; the opening part of an oration. \"The exordium of repentance.\" Jer. Taylor. \"Long prefaces and exordiums. \" Addison.
exorhiza |A plant Whose radicle is not inclosed or sheathed by the cotyledons or plumule. Gray.
exorhizal |Having a radicle which is not inclosed by the cotyledons or plumule; of or relating to an exorhiza.
exorhizous |Having a radicle which is not inclosed by the cotyledons or plumule; of or relating to an exorhiza.
exornation |Ornament; decoration; embellishment. [Obs.] Hyperbolical exornations . . . many much affect. Burton.
exortive |Rising; relating to the east. [R.]
exosculate |To kiss; especially, to kiss repeatedly or fondly. [Obs.]
exoskeletal |Pertaining to the exoskeleton; as exoskeletal muscles.
exoskeleton |The hardened parts of the external integument of an animal, including hair, feathers, nails, horns, scales, etc.,as well as the armor of armadillos and many reptiles, and the shells or hardened integument of numerous invertebrates; external skeleton; dermoskeleton.
exosmose |The passage of gases, vapors, or liquids thought membranes or porous media from within outward, in the phenomena of osmose; -- opposed to endosmose. See Osmose.
exosmosis |See Exosmose.
exosmotic |Pertaining to exosmose.
exospore |The extreme outer wall of a spore; the epispore.
exossate |To deprive of bones; to take out the bones of; to bone. [Obs.] Bailey.
exossation |A depriving of bone or of fruit stones. [Obs.] Bacon.
exosseous |Boneless. \"Exosseous animals. \" Sir T. Browne.
exostome |The small aperture or foremen in the outer coat of the ovule of a plant.
exostosis |1. (Med.)  Any protuberance of a bone which is not natural; an excrescence or morbid enlargement of a bone. Coxe. 2. (Bot.)  A knot formed upon or in the wood of trees by disease.
exoteric |External; public; suitable to be imparted to the public; hence, capable of being readily or fully comprehended; -- opposed to esoteric, or secret. The foppery of an exoteric and esoteric doctrine. De Quincey.
exoterical |External; public; suitable to be imparted to the public; hence, capable of being readily or fully comprehended; -- opposed to esoteric, or secret. The foppery of an exoteric and esoteric doctrine. De Quincey.
exoterics |The public lectures or published writings of Aristotle. See Esoterics.
exotery |That which is obvious, public, or common. Dealing out exoteries only to the vulgar. A. Tucker.
exotheca |The tissue which fills the interspaces between the costæ of many madreporarian corals, usually consisting of small transverse or oblique septa.
exothecium |The outer coat of the anther.
exothermic |Characterized by, or formed with, evolution of heat; as, an exothermic reaction; -- opposed to endothermic.
exotic |Introduced from a foreign country; not native; extraneous; foreign; as, an exotic plant; an exotic term or word. Nothing was so splendid and exotic as the ambassador. Evelyn.\n\nAnything of foreign origin; something not of native growth, as a plant, a word, a custom. Plants that are unknown to Italy, and such as the gardeners call exotics. Addison.
exotical |Foreign; not native; exotic. [R.] -- Ex*ot\"ic*al*ness, n.
exoticism |The state of being exotic; also, anything foreign, as a word or idiom; an exotic.
expand |1. To lay open by extending; to open wide; to spread out; to diffuse; as, a flower expands its leaves. Then with expanded wings he steers his flight. Milton. 2. To cause the particles or parts of to spread themselves or stand apart, thus increasing bulk without addition of substance; to make to occupy more space; to dilate; to distend; to extend every way; to enlarge; -- opposed to Ant: contract; as, to expand the chest; heat expands all bodies; to expand the sphere of benevolence. 3. (Math.)  To state in enlarged form; to develop; as, to expand an equation. See Expansion, 5.\n\nTo become widely opened, spread apart, dilated, distended, or enlarged; as, flowers expand in the spring; metals expand by heat; the heart expands with joy. Dryden.
expander |Anything which causes expansion esp. (Mech.) a tool for stretching open or expanding a tube, etc.
expanding |That expands, or may be expanded; extending; spreading; enlarging. Expanding bit, Expanding drill (Mech.), a bit or drill made adjustable for holes of various sizes; one which can be expanded in diameter while boring. -- Expanding pulley (Mach.), a pulley so made, as in sections, that its diameter can be increased or diminished.
expanse |That which is expanded or spread out; a wide extent of space or body; especially, the arch of the sky. \"The green expanse.\" Savage. Lights . . . high in the expanse of heaven. Milton. The smooth expanse of crystal lakes. Pope.\n\nTo expand. [Obs.] That lies expansed unto the eyes of all. Sir. T. Browne.
expansibility |The capacity of being expanded; as, the expansibility of air.
expansible |Capable of being expanded or spread out widely. Bodies are not expansible in proposition to their weight. Ex*pab\"si*ble*ness ,n. -Ex*pan\"si*bly ,adv.
expansile |Expansible. Ether and alcohol are more expansile than water. Brande & C.
expansion |1. The act of expanding or spreading out; the condition of being expanded; dilation; enlargement. 2. That which is expanded; expanse; extend surface; as the expansion of a sheet or of a lake; the expansion was formed of metal. The starred expansion of the skies. Beattie. 3. Space thought which anything is expanded; also, pure space. Lost in expansion, void and infinite. Blackmore. 4. (Com.)  Enlargement or extension of business transaction; esp., increase of the circulation of bank notes. 5. (Math.)  The developed result of an indicated operation; as, the expansion of (a + b)2 is a2 + 2ab + b2. 6. (Steam Ebgine)  The operation of steam in a cylinder after its communication with the boiler has been cut off, by which it continues to exert pressure upon the moving piston. 7. (Nav. Arch.)  The enlargement of the ship mathematically from a model or drawing to the full or building size, in the process of construction. Ham. Nav. Encyc. Note: Expansion is also used adjectively, as in expansion joint, expansion gear, etc. Expansion curve, a curve the coördinates of which show the relation between the pressure and volume of expanding gas or vapor; esp. (Steam engine), that part of an indicator diagram which shows the declining pressure of the steam as it expands in the cylinder. -- Expansion gear (Stream Engine). a cut-off gear. See Illust. of Link motion. -- Automatic expansion gear or cut-off, one that is regulated by the governor, and varies the supply of steam to the engine with the demand for power. -- Fixed expansion gear, or Fixed cut-off, one that always operates at the same fixed point of the stroke. -- Expansion joint, or Expansion coupling (Mech. & Engin.), a yielding joint or coupling for so uniting parts of a machine or structure that expansion, as by heat, is prevented from causing injurious strains; as by heat, is prevented from causing injurious strains; as: (a) A side or set of rollers, at the end of bridge truss, to support it but allow end play. (b) A telescopic joint in a steam pipe, to permit one part of the pipe to slide within the other. (c) A clamp for holding a locomotive frame to the boiler while allowing lengthwise motion. -- Expansion valve (Steam Engine), a cut-off valve, to shut off steam from the cylinder before the end of each stroke.
expansive |Having a capacity or tendency to expand or dilate; diffusive; of much expanse; wide-extending; as, the expansive force of heat; the expansive quality of air. A more expansive and generous compassion. Eustace. His forehead was broad and expansive. Prescott. -- Ex*pan\"sive*ly, adv. -Ex*pan\"sive*ness, n.
expansure |Expanse. [Obs.] \"Night's rich expansure.\",
  "handleable |Capable of being handled.
expatiate |1. To range at large, or without restraint. Bids his free soul expatiate in the skies. Pope. 2. To enlarge in discourse or writing; to be copious in argument or discussion; to descant. He expatiated on the inconveniences of trade. Addison.\n\nTo expand; to spread; to extend; to diffuse; to broaden. Afford art an ample field in which to expatiate itself. Dryden.
expatiation |Act of expatiating.
expatiatory |Expansive; diffusive. [R.]
