whobub |Hubbub. [Obs.] Beau. & Fl.
wind |1. To turn completely, or with repeated turns; especially, to turn about something fixed; to cause to form convolutions about anything; to coil; to twine; to twist; to wreathe; as, to wind thread on a spool or into a ball. Whether to wind The woodbine round this arbor. Milton. 2. To entwist; to infold; to encircle. Sleep, and I will wind thee in arms. Shak. 3. To have complete control over; to turn and bend at one's pleasure; to vary or alter or will; to regulate; to govern. \"To turn and wind a fiery Pegasus.\" Shak. In his terms so he would him wind. Chaucer. Gifts blind the wise, and bribes do please And wind all other witnesses. Herrick. Were our legislature vested in the prince, he might wind and turn our constitution at his pleasure. Addison. 4. To introduce by insinuation; to insinuate. You have contrived . . . to wind Yourself into a power tyrannical. Shak. Little arts and dexterities they have to wind in such things into discourse. Gov. of Tongue. 5. To cover or surround with something coiled about; as, to wind a rope with twine. To wind off, to unwind; to uncoil. -- To wind out, to extricate. [Obs.] Clarendon. -- To wind up. (a) To coil into a ball or small compass, as a skein of thread; to coil completely. (b) To bring to a conclusion or settlement; as, to wind up one's affairs; to wind up an argument. (c) To put in a state of renewed or continued motion, as a clock, a watch, etc., by winding the spring, or that which carries the weight; hence, to prepare for continued movement or action; to put in order anew. \"Fate seemed to wind him up for fourscore years.\" Dryden. \"Thus they wound up his temper to a pitch.\" Atterbury. (d) To tighten (the strings) of a musical instrument, so as to tune it. \"Wind up the slackened strings of thy lute.\" Waller.\n\n1. To turn completely or repeatedly; to become coiled about anything; to assume a convolved or spiral form; as, vines wind round a pole. So swift your judgments turn and wind. Dryden. 2. To have a circular course or direction; to crook; to bend; to meander; as, to wind in and out among trees. And where the valley winded out below, The murmuring main was heard, and scarcely heard, to flow. Thomson. He therefore turned him to the steep and rocky path which . . . winded through the thickets of wild boxwood and other low aromatic shrubs. Sir W. Scott. 3. To go to the one side or the other; to move this way and that; to double on one's course; as, a hare pursued turns and winds. The lowing herd wind Gray. To wind out, to extricate one's self; to escape. Long struggling underneath are they could wind Out of such prison. Milton.\n\nThe act of winding or turning; a turn; a bend; a twist; a winding.\n\n1. Air naturally in motion with any degree of velocity; a current of air. Except wind stands as never it stood, It is an ill wind that turns none to good. Tusser . Winds were soft, and woods were green. Longfellow. 2. Air artificially put in motion by any force or action; as, the wind of a cannon ball; the wind of a bellows. 3. Breath modulated by the respiratory and vocal organs, or by an instrument. Their instruments were various in their kind, Some for the bow, and some for breathing wind. Dryden. 4. Power of respiration; breath. If my wind were but long enough to say my prayers, I would repent. Shak. 5. Air or gas generated in the stomach or bowels; flatulence; as, to be troubled with wind. 6. Air impregnated with an odor or scent. A pack of dogfish had him in the wind. Swift. 7. A direction from which the wind may blow; a point of the compass; especially, one of the cardinal points, which are often called the four winds. Come from the four winds, O breath, and breathe upon these slain. Ezek. xxxvii. 9. Note: This sense seems to have had its origin in the East. The Hebrews gave to each of the four cardinal points the name of wind. 8. (Far.)  A disease of sheep, in which the intestines are distended with air, or rather affected with a violent inflammation. It occurs immediately after shearing. 9. Mere breath or talk; empty effort; idle words. Nor think thou with wind Of airy threats to awe. Milton. 10. (Zoöl.)  The dotterel. [Prov. Eng.] Note: Wind is often used adjectively, or as the first part of compound words. All in the wind. (Naut.) See under All, n. -- Before the wind. (Naut.) See under Before. -- Between wind and water (Naut.), in that part of a ship's side or bottom which is frequently brought above water by the rolling of the ship, or fluctuation of the water's surface. Hence, colloquially, (as an injury to that part of a vessel, in an engagement, is particularly dangerous) the vulnerable part or point of anything. -- Cardinal winds. See under Cardinal, a. -- Down the wind. (a) In the direction of, and moving with, the wind; as, birds fly swiftly down the wind. (b) Decaying; declining; in a state of decay. [Obs.] \"He went down the wind still.\" L'Estrange. -- In the wind's eye (Naut.), directly toward the point from which the wind blows. -- Three sheets in the wind, unsteady from drink. [Sailors' Slang] - - To be in the wind, to be suggested or expected; to be a matter of suspicion or surmise. [Colloq.] -- To carry the wind (Man.), to toss the nose as high as the ears, as a horse. -- To raise the wind, to procure money. [Colloq.] -- To take, or have, the wind, to gain or have the advantage. Bacon. -- To take the wind out of one's sails, to cause one to stop, or lose way, as when a vessel intercepts the wind of another. [Colloq.] -- To take wind, or To get wind, to be divulged; to become public; as, the story got wind, or took wind. -- Wind band (Mus.), a band of wind instruments; a military band; the wind instruments of an orchestra. -- Wind chest (Mus.), a chest or reservoir of wind in an organ. -- Wind dropsy. (Med.) (a) Tympanites. (b) Emphysema of the subcutaneous areolar tissue. -- Wind egg, an imperfect, unimpregnated, or addled egg. -- Wind furnace. See the Note under Furnace. -- Wind gauge. See under Gauge. -- Wind gun. Same as Air gun. -- Wind hatch (Mining), the opening or place where the ore is taken out of the earth. -- Wind instrument (Mus.), an instrument of music sounded by means of wind, especially by means of the breath, as a flute, a clarinet, etc. -- Wind pump, a pump moved by a windmill. -- Wind rose, a table of the points of the compass, giving the states of the barometer, etc., connected with winds from the different directions. -- Wind sail. (a) (Naut.) A wide tube or funnel of canvas, used to convey a stream of air for ventilation into the lower compartments of a vessel. (b) The sail or vane of a windmill. -- Wind shake, a crack or incoherence in timber produced by violent winds while the timber was growing. -- Wind shock, a wind shake. -- Wind side, the side next the wind; the windward side. [R.] Mrs. Browning. -- Wind rush (Zoöl.), the redwing. [Prov. Eng.] -- Wind wheel, a motor consisting of a wheel moved by wind. -- Wood wind (Mus.), the flutes and reed instruments of an orchestra, collectively.\n\n1. To expose to the wind; to winnow; to ventilate. 2. To perceive or follow by the scent; to scent; to nose; as, the hounds winded the game. 3. (a) To drive hard, or force to violent exertion, as a horse, so as to render scant of wind; to put out of breath. (b) To rest, as a horse, in order to allow the breath to be recovered; to breathe. To wind a ship (Naut.), to turn it end for end, so that the wind strikes it on the opposite side.\n\nTo blow; to sound by blowing; esp., to sound with prolonged and mutually involved notes. \"Hunters who wound their horns.\" Pennant. Ye vigorous swains, while youth ferments your blood, . . . Wind the shrill horn. Pope. That blast was winded by the king. Sir W. Scott.
wind signal |In general, any signal announcing information concerning winds, and esp. the expected approach of winds whose direction and force are dangerous to shipping, etc. The wind-signal system of the United States Weather Bureau consists of storm, information, hurricane, hot wind, and inland storm signals.
wind-break |To break the wind of; to cause to lose breath; to exhaust. [R.] 'T would wind-break a mule to vie burdens with her. Ford.\n\nA clump of trees serving for a protection against the force of wind. [Local, U. S.]
wind-broken |Having the power of breathing impaired by the rupture, dilatation, or running together of air cells of the lungs, so that while the inspiration is by one effort, the expiration is by two; affected with pulmonary emphysema or with heaves; -- said of a horse. Youatt.
wind-fertilized |Anemophilous; fertilized by pollen borne by the wind.
wind-plant |A windflower.
wind-rode |Caused to ride or drive by the wind in opposition to the course of the tide; -- said of a vessel lying at anchor, with wind and tide opposed to each other. Totten.
wind-shaken |Shaken by the wind; specif. (Forestry),  affected by wind shake, or anemosis (which see, above).
wind-sucker |1. (Far.) A horse given to wind-sucking Law. 2. (Zoöl.)  The kestrel. B. Jonson.
wind-sucking |A vicious habit of a horse, consisting in the swallowing of air; -- usually associated with crib-biting, or cribbing. See Cribbing, 4.
wind-up |Act of winding up, or closing; a concluding act or part; the end.
windage |1. (Gun.)  The difference between the diameter of the bore of a gun and that of the shot fired from it. 2. The sudden compression of the air caused by a projectile in passing close to another body.
windas |See 3d Windlass. [Obs.] Chaucer.
windbore |The lower, or bottom, pipe in a lift of pumps in a mine. Ansted.
windbound |prevented from sailing, by a contrary wind. See Weatherbound.
winder |1. One who, or that which, winds; hence, a creeping or winding plant. 2. An apparatus used for winding silk, cotton, etc., on spools, bobbins, reels, or the like. 3. (Arch.)  One in a flight of steps which are curved in plan, so that each tread is broader at one end than at the other; -- distinguished from flyer.\n\nTo fan; to clean grain with a fan. [Prov. Eng.]\n\nA blow taking away the breath. [Slang]\n\nTo wither; to fail. [Obs.] Holland.
windfall |1. Anything blown down or off by the wind, as fruit from a tree, or the tree itself, or a portion of a forest prostrated by a violent wind, etc. \"They became a windfall upon the sudden.\" Bacon. 2. An unexpected legacy, or other gain. He had a mighty windfall out of doubt. B. Jonson.
windfallen |Blown down by the wind.
windflower |The anemone; -- so called because formerly supposed to open only when the wind was blowing. See Anemone.
windgall |A soft tumor or synovial swelling on the fetlock joint of a horse; -- so called from having formerly been supposed to contain air.
windhover |The kestrel; -- called also windbibber, windcuffer, windfanner. [Prov. Eng.]
windiness |1. The quality or state of being windy or tempestuous; as, the windiness of the weather or the season. 2. Fullness of wind; flatulence. 3. Tendency to generate wind or gas; tendency to produce flatulence; as, the windiness of vegetables. 4. Tumor; puffiness. The swelling windiness of much knowledge. Brerewood.
winding |A call by the boatswain's whistle.\n\nTwisting from a direct line or an even surface; circuitous. Keble.\n\nA turn or turning; a bend; a curve; flexure; meander; as, the windings of a road or stream. To nurse the saplings tall, and curl the grove With ringlets quaint, and wanton windings wove. Milton.  A line- or ribbon-shaped material (as wire, string, or bandaging) wound around an object; as, the windings (conducting wires) wound around the armature of an electric motor or generator. Winding engine, an engine employed in mining to draw up buckets from a deep pit; a hoisting engine. -- Winding sheet, a sheet in which a corpse is wound or wrapped. -- Winding tackle (Naut.), a tackle consisting of a fixed triple block, and a double or triple movable block, used for hoisting heavy articles in or out of a vessel. Totten.
windingly |In a winding manner.
windjammer |1. (Naut.) A sailing vessel or one of its crew; -- orig. so called contemptuously by sailors on steam vessels. [Colloq.] 2.  An army bugler or trumpeter; any performer on a wind instrument. [Slang]
windlace |See Windlass. [Obs.] Two arblasts, . . . with windlaces and quarrels. Sir W. Scott.
windlass |A winding and circuitous way; a roundabout course; a shift.\n\nTo take a roundabout course; to work warily or by indirect means. [Obs.] Hammond.\n\n1. A machine for raising weights, consisting of a horizontal cylinder or roller moving on its axis, and turned by a crank, lever, or similar means, so as to wind up a rope or chain attached to the weight. In vessels the windlass is often used instead of the capstan for raising the anchor. It is usually set upon the forecastle, and is worked by hand or steam. 2. An apparatus resembling a winch or windlass, for bending the bow of an arblast, or crossbow. [Obs.] Shak. Chinese windlass. See Differential windlass, under Differential.\n\nTo raise with, or as with, a windlass; to use a windlass. The Century.
windle |1. A spindle; a kind of reel; a winch. 2. (Zoöl.)  The redwing. [Prov. Eng.]
windless |1. Having no wind; calm. 2. Wanting wind; out of breath.
windlestrae |A grass used for making ropes or for plaiting, esp. Agrostis Spica-ventis. [Prov. Eng. & Scot.] Shelley.
windlestraw |A grass used for making ropes or for plaiting, esp. Agrostis Spica-ventis. [Prov. Eng. & Scot.] Shelley.
windmill |A mill operated by the power of the wind, usually by the action of the wind upon oblique vanes or sails which radiate from a horizontal shaft. Chaucer.
windore |A window. [Obs.] Hudibras.
window |1. An opening in the wall of a building for the admission of light and air, usually closed by casements or sashes containing some transparent material, as glass, and capable of being opened and shut at pleasure. I leaped from the window of the citadel. Shak. Then to come, in spite of sorrow, And at my window bid good morrow. Milton. 2. (Arch.)  The shutter, casement, sash with its fittings, or other framework, which closes a window opening. 3. A figure formed of lines crossing each other. [R.] Till he has windows on his bread and butter. King. French window (Arch.), a casement window in two folds, usually reaching to the floor; -- called also French casement. -- Window back (Arch.), the inside face of the low, and usually thin, piece of wall between the window sill and the floor below. -- Window blind, a blind or shade for a window. -- Window bole, part of a window closed by a shutter which can be opened at will. [Scot.] -- Window box, one of the hollows in the sides of a window frame for the weights which counterbalance a lifting sash. -- Window frame, the frame of a window which receives and holds the sashes or casement. -- Window glass, panes of glass for windows; the kind of glass used in windows. -- Window martin (Zoöl.), the common European martin. [Prov. Eng.] - - Window oyster (Zoöl.), a marine bivalve shell (Placuna placenta) native of the East Indies and China. Its valves are very broad, thin, and translucent, and are said to have been used formerly in place of glass. -- Window pane. (a) (Arch.) See Pane, n., 3 (b). (b) (Zoöl.) See Windowpane, in the Vocabulary. -- Window sash, the sash, or light frame, in which panes of glass are set for windows. -- Window seat, a seat arranged in the recess of a window. See Window stool, under Stool. -- Window shade, a shade or blind for a window; usually, one that is hung on a roller. -- Window shell (Zoöl.), the window oyster. -- Window shutter, a shutter or blind used to close or darken windows. -- Window sill (Arch.), the flat piece of wood, stone, or the like, at the bottom of a window frame. -- Window swallow (Zoöl.), the common European martin. [Prov. Eng.] -- Window tax, a tax or duty formerly levied on all windows, or openings for light, above the number of eight in houses standing in cities or towns. [Eng.]\n\n1. To furnish with windows. 2. To place at or in a window. [R.] Wouldst thou be windowed in great Rome and see Thy master thus with pleach'd arms, bending down His corrigible neck Shak.
windowed |Having windows or openings. [R.] \"Looped and windowed raggedness.\" Shak.
windowless |Destitute of a window. Carlyle.
windowpane |1. (Arch.)  See Pane, n., (3) b. [In this sense, written also window pane.] 2. (Zoöl.)  A thin, spotted American turbot (Pleuronectes maculatus) remarkable for its translucency. It is not valued as a food fish. Called also spotted turbot, daylight, spotted sand flounder, and water flounder.
windowy |Having little crossings or openings like the sashes of a window. [R.] Donne.
windpipe |The passage for the breath from the larynx to the lungs; the trachea; the weasand. See Illust. under Lung.
windrow |1. A row or line of hay raked together for the purpose of being rolled into cocks or heaps. 2. Sheaves of grain set up in a row, one against another, that the wind may blow between them. [Eng.] 3. The green border of a field, dug up in order to carry the earth on other land to mend it. [Eng.]\n\nTo arrange in lines or windrows, as hay when newly made. Forby.
windsor |A town in Berkshire, England. Windsor bean. (Bot.) See under Bean. -- Windsor chair, a kind of strong, plain, polished, wooden chair. Simmonds. -- Windsor soap, a scented soap well known for its excellence.
windstorm |A storm characterized by high wind with little or no rain.
windtight |So tight as to prevent the passing through of wind. Bp. Hall.
windward |The point or side from which the wind blows; as, to ply to the windward; -- opposed to Ant: leeward. To lay an anchor to the windward, a figurative expression, signifying to adopt precautionary or anticipatory measures for success or security.\n\nSituated toward the point from which the wind blows; as, the Windward Islands.\n\nToward the wind; in the direction from which the wind blows.
windy |1. Consisting of wind; accompanied or characterized by wind; exposed to wind. \"The windy hill.\" M. Arnold. Blown with the windy tempest of my heart. Shak. 2. Next the wind; windward. It keeps on the windy side of care. Shak. 3. Tempestuous; boisterous; as, windy weather. 4. Serving to occasion wind or gas in the intestines; flatulent; as, windy food. 5. Attended or caused by wind, or gas, in the intestines. \"A windy colic.\" Arbuthnot. 6. Fig.: Empty; airy. \"Windy joy.\" Milton. Here's that windy applause, that poor, transitory pleasure, for which I was dishonored. South.
wine |1. The expressed juice of grapes, esp. when fermented; a beverage or liquor prepared from grapes by squeezing out their juice, and (usually) allowing it to ferment. \"Red wine of Gascoigne.\" Piers Plowman. Wine is a mocker, strong drink is raging, and whosoever is deceived thereby is not wise. Prov. xx. 1. Bacchus, that first from out the purple grape Crushed the sweet poison of misused wine. Milton. Note: Wine is essentially a dilute solution of ethyl alcohol, containing also certain small quantities of ethers and ethereal salts which give character and bouquet. According to their color, strength, taste, etc., wines are called red, white, spirituous, dry, light, still, etc. 2. A liquor or beverage prepared from the juice of any fruit or plant by a process similar to that for grape wine; as, currant wine; gooseberry wine; palm wine. 3. The effect of drinking wine in excess; intoxication. Noah awoke from his wine. Gen. ix. 24. Birch wine, Cape wine, etc. See under Birch, Cape, etc. -- Spirit of wine. See under Spirit. -- To have drunk wine of ape or wine ape, to be so drunk as to be foolish. [Obs.] Chaucer. -- Wine acid. (Chem.) See Tartaric acid, under Tartaric. [Colloq.] - - Wine apple (Bot.), a large red apple, with firm flesh and a rich, vinous flavor. -- Wine bag, a wine skin. -- Wine biscuit, a kind of sweet biscuit served with wine. -- Wine cask, a cask for holding wine, or which holds, or has held, wine. -- Wine cellar, a cellar adapted or used for storing wine. -- Wine cooler, a vessel of porous earthenware used to cool wine by the evaporation of water; also, a stand for wine bottles, containing ice.a drink composed of approximately equal parts of wine and some carbonated beverage (soda). Also called California cooler. -- Wine fly (Zoöl.), small two-winged fly of the genus Piophila, whose larva lives in wine, cider, and other fermented liquors. -- Wine grower, one who cultivates a vineyard and makes wine. -- Wine measure, the measure by which wines and other spirits are sold, smaller than beer measure. -- Wine merchant, a merchant who deals in wines. -- Wine of opium (Pharm.), a solution of opium in aromatized sherry wine, having the same strength as ordinary laudanum; -- also Sydenham's laudanum. -- Wine press, a machine or apparatus in which grapes are pressed to extract their juice. -- Wine skin, a bottle or bag of skin, used, in various countries, for carrying wine. -- Wine stone, a kind of crust deposited in wine casks. See 1st Tartar, 1. -- Wine vault. (a) A vault where wine is stored. (b) A place where wine is served at the bar, or at tables; a dramshop. Dickens. -- Wine vinegar, vinegar made from wine. -- Wine whey, whey made from milk coagulated by the use of wine.
wineberry |(a) The red currant. (b) The bilberry. (c) A peculiar New Zealand shrub (Coriaria ruscifolia), in which the petals ripen and afford an abundant purple juice from which a kind of wine is made. The plant also grows in Chili.
winebibber |One who drinks much wine. Prov. xxiii. 20. -- Wine\"bib`bing, n.
wineglass |A small glass from to drink wine.
wineglassful |As much as a wineglass will hold; enough to fill a wineglass. It is usually reckoned at two fluid ounces, or four tablespoonfuls.
wineless |destitute of wine; as, wineless life.
winery |A place where grapes are converted into wine.
winesap |A variety of winter apple of medium size, deep red color, and yellowish flesh of a rich, rather subacid flavor.
wing |1. One of the two anterior limbs of a bird, pterodactyl, or bat. They correspond to the arms of man, and are usually modified for flight, but in the case of a few species of birds, as the ostrich, auk, etc., the wings are used only as an assistance in running or swimming. As an eagle stirreth up her nest, fluttereth over her young, spreadeth abroad her wings, taketh them, beareth them on her wings. Deut. xxxii. 11. Note: In the wing of a bird the long quill feathers are in series. The primaries are those attached to the ulnar side of the hand; the secondaries, or wing coverts, those of the forearm: the scapulars, those that lie over the humerus; and the bastard feathers, those of the short outer digit. See Illust. of Bird, and Plumage. 2. Any similar member or instrument used for the purpose of flying. Specifically: (Zoöl.) (a) One of the two pairs of upper thoracic appendages of most hexapod insects. They are broad, fanlike organs formed of a double membrane and strengthened by chitinous veins or nervures. (b) One of the large pectoral fins of the flying fishes. 3. Passage by flying; flight; as, to take wing. Light thickens; and the crow Makes wing to the rooky wood. Shak. 4. Motive or instrument of flight; means of flight or of rapid motion. Fiery expedition be my wing. Shak. 5. Anything which agitates the air as a wing does, or which is put in winglike motion by the action of the air, as a fan or vane for winnowing grain, the vane or sail of a windmill, etc. 6. An ornament worn on the shoulder; a small epaulet or shoulder knot. 7. Any appendage resembling the wing of a bird or insect in shape or appearance. Specifically: (a) (Zoöl.)  One of the broad, thin, anterior lobes of the foot of a pteropod, used as an organ in swimming. (b) (Bot.) Any membranaceous expansion, as that along the sides of certain stems, or of a fruit of the kind called samara. (c) (Bot.) Either of the two side petals of a papilionaceous flower. 8. One of two corresponding appendages attached; a sidepiece. Hence: (a) (Arch.) A side building, less than the main edifice; as, one of the wings of a palace. (b) (Fort.) The longer side of crownworks, etc., connecting them with the main work. (c) (Hort.) A side shoot of a tree or plant; a branch growing up by the side of another. [Obs.] (d) (Mil.)  The right or left division of an army, regiment, etc. (e) (Naut.) That part of the hold or orlop of a vessel which is nearest the sides. In a fleet, one of the extremities when the ships are drawn up in line, or when forming the two sides of a triangle. Totten. (f) One of the sides of the stags in a theater. On the wing. (a) Supported by, or flying with, the wings another. -- On the wings of the wind, with the utmost velocity. -- Under the wing, or wings, of, under the care or protection of. -- Wing and wing (Naut.), with sails hauled out on either side; -- said of a schooner, or her sails, when going before the wind with the foresail on one side and the mainsail on the other; also said of a square-rigged vessel which has her studding sails set. Cf. Goosewinged. -- Wing case (Zoöl.), one of the anterior wings of beetles, and of some other insects, when thickened and used to protect the hind wings; an elytron; -- called also wing cover. -- Wing covert (Zoöl.), one of the small feathers covering the bases of the wing quills. See Covert, n., 2. -- Wing gudgeon (Mach.), an iron gudgeon for the end of a wooden axle, having thin, broad projections to prevent it from turning in the wood. See Illust. of Gudgeon. -- Wing shell (Zoöl.), wing case of an insect. -- Wing stroke, the stroke or sweep of a wing. -- Wing transom (Naut.), the uppermost transom of the stern; -- called also main transom. J. Knowles.\n\n1. To furnish with wings; to enable to fly, or to move with celerity. Who heaves old ocean, and whowings the storms. Pope. Living, to wing with mirth the weary hours. Longfellow. 2. To supply with wings or sidepieces. The main battle, whose puissance on either side Shall be well winged with our chiefest horse. Shak. 3. To transport by flight; to cause to fly. I, an old turtle, Will wing me to some withered bough. Shak. 4. To move through in flight; to fly through. There's not an arrow wings the sky But fancy turns its point to him. Moore. 5. To cut off the wings of; to wound in the wing; to disable a wing of; as, to wing a bird. To wing a flight, to exert the power of flying; to fly.
wing-footed |1. Having wings attached to the feet; as, wing-footed Mercury; hence, swift; moving with rapidity; fleet. Drayton. 2. (Zoöl.) (a) Having part or all of the feet adapted for flying. (b) Having the anterior lobes of the foot so modified as to form a pair of winglike swimming organs; -- said of the pteropod mollusks.
wing-handed |Having the anterior limbs or hands adapted for flight, as the bats and pterodactyls.
wing-leaved |Having pinnate or pinnately divided leaves.
wing-shell |(a) Any one of various species of marine bivalve shells belonging to the genus Avicula, in which the hinge border projects like a wing. (b) Any marine gastropod shell of the genus Strombus. See Strombus. (c) Any pteropod shell.
winged |1. Furnished with wings; transported by flying; having winglike expansions. 2. Soaring with wings, or as if with wings; hence, elevated; lofty; sublime. [R.] How winged the sentiment that virtue is to be followed for its own sake. J. S. Harford. 3. Swift; rapid. \"Bear this sealed brief with winged haste to the lord marshal.\" Shak. 4. Wounded or hurt in the wing. 5. (Bot.)  Furnished with a leaflike appendage, as the fruit of the elm and the ash, or the stem in certain plants; alate. 6. (Her.)  Represented with wings, or having wings, of a different tincture from the body. 7. Fanned with wings; swarming with birds. \"The winged air darked with plumes.\" Milton.
winger |One of the casks stowed in the wings of a vessel's hold, being smaller than such as are stowed more amidships. Totten.
wingfish |A sea robin having large, winglike pectoral fins. See Sea robin, under Robin.
wingless |Having no wings; not able to ascend or fly. Wingless bird (Zoöl.), the apteryx.
winglet |1. A little wing; a very small wing. 2. (Zoöl.)  A bastard wing, or alula.
wingmanship |Power or skill in flying. [R.] Duke of Argyll.
wingy |1. Having wings; rapid. With wingy speed outstrip the eastern wind. Addison. 2. Soaring with wings, or as if with wings; volatile airy. [Obs. or R.] Those wingy mysteries in divinity. Sir T. Browne.
wink |1. To nod; to sleep; to nap. [Obs.] \"Although I wake or wink.\" Chaucer. 2. To shut the eyes quickly; to close the eyelids with a quick motion. He must wink, so loud he would cry. Chaucer. And I will wink, so shall the day seem night. Shak. They are not blind, but they wink. Tillotson. 3. To close and open the eyelids quickly; to nictitate; to blink. A baby of some three months old, who winked, and turned aside its little face from the too vivid light of day. Hawthorne. 4. To give a hint by a motion of the eyelids, often those of one eye only. Wink at the footman to leave him without a plate. Swift. 5. To avoid taking notice, as if by shutting the eyes; to connive at anything; to be tolerant; -- generally with at. The times of this ignorance God winked at. Acts xvii. 30. And yet, as though he knew it not, His knowledge winks, and lets his humors reign. Herbert. Obstinacy can not be winked at, but must be subdued. Locke. 6. To be dim and flicker; as, the light winks. Winking monkey (Zoöl.), the white-nosed monkey (Cersopithecus nictitans).\n\nTo cause (the eyes) to wink.[Colloq.]\n\n1. The act of closing, or closing and opening, the eyelids quickly; hence, the time necessary for such an act; a moment. I have not slept one wink. Shak. I could eclipse and cloud them with a wink. Donne. 2. A hint given by shutting the eye with a significant cast. Sir. P. Sidney. The stockjobber thus from Change Alley goes down, And tips you, the freeman, a wink. Swift.
winker |1. One who winks. Pope. 2. A horse's blinder; a blinker.
winkingly |In a winking manner; with the eye almost closed. Peacham.
winkle |(a) Any periwinkle. Holland. (b) Any one of various marine spiral gastropods, esp., in the United States, either of two species of Fulgar (F. canaliculata, and F. carica). Note: These are large mollusks which often destroy large numbers of oysters by drilling their shells and sucking their blood. Sting winkle, a European spinose marine shell (Murex erinaceus). See Illust. of Murex.
winkle-hawk |A rectangular rent made in cloth; -- called also winkle-hole. [Local, U. S.] Bartlett.
winnard |The redwing. [Prov. Eng.]
winnebagoes |A tribe of North American Indians who originally occupied the region about Green Bay, Lake Michigan, but were driven back from the lake and nearly exterminated in 1640 by the IIlinnois.
winner |One who wins, or gains by success in competition, contest, or gaming.
winning |Attracting; adapted to gain favor; charming; as, a winning address. \"Each mild and winning note.\" Keble.\n\n1. The act of obtaining something, as in a contest or by competition. 2. The money, etc., gained by success in competition or contest, esp, in gambling; -- usually in the plural. Ye seek land and sea for your winnings. Chaucer. 3. (Mining) (a) A new opening. (b) The portion of a coal field out for working. Winning headway (Mining), an excavation for exploration, in post-and-stall working. -- Winning post, the post, or goal, at the end of a race.
winningly |In a winning manner.
winningness |The quality or state of being winning. \"Winningness in style.\" J. Morley.
winninish |The land-locked variety of the common salmon. [Canada]
winnow |1. To separate, and drive off, the chaff from by means of wind; to fan; as, to winnow grain. Ho winnoweth barley to-night in the threshing floor. Ruth. iii. 2. 2. To sift, as for the purpose of separating falsehood from truth; to separate, as had from good. Winnow well this thought, and you shall find This light as chaff that flies before the wind. Dryden. 3. To beat with wings, or as with wings.[Poetic] Now on the polar winds; then with quick fan Winnows the buxom air. Milton.\n\nTo separate chaff from grain. Winnow not with every wind. Ecclus. v. 9.
winnower |One who, or that which, winnows; specifically, a winnowing machine.
winnowing |The act of one who, or that which, winnows.
winrow |A windrow.
winsing |Winsome. [Obs.] Chaucer.
winsome |1. Cheerful; merry; gay; light-hearted. Misled by ill example, and a winsome nature. Jeffrey. 2. Causing joy or pleasure; gladsome; pleasant. Still plotting how their hungry ear That winsome voice again might hear. Emerson.
winsomeness |The characteristic of being winsome; attractiveness of manner. J. R. Green.
