peevishness |The quality of being peevish; disposition to murmur; sourness of temper. Syn. -- See Petulance.
perceivable |Capable of being perceived; perceptible. -- Per*ceiv\"a*bly, adv.
perceivance |Power of perceiving. [Obs.] \"The senses and common perceivance.\" Milton.
perceive |1. To obtain knowledge of through the senses; to receive impressions from by means of the bodily organs; to take cognizance of the existence, character, or identity of, by means of the senses; to see, hear, or feel; as, to perceive a distant ship; to perceive a discord. Reid. 2. To take intellectual cognizance of; to apprehend by the mind; to be convinced of by direct intuition; to note; to remark; to discern; to see; to understand. Jesus perceived their wickedness. Matt. xxii. 18. You may, fair lady, Perceive I speak sincerely. Shak. Till we ourselves see it with our own eyes, and perceive it by our own understandings, we are still in the dark. Locke. 3. To be affected of influented by. [R.] The upper regions of the air perceive the collection of the matter of tempests before the air here below. Bacon. Syn. -- To discern; distinguish; observe; see; feel; know; understand. -- To Perceive, Discern. To perceive a thing is to apprehend it as presented to the senses or the intellect; to discern is to mark differences, or to see a thing as distinguished from others around it. We may perceive two persons afar off without being able to discern whether they are men or women. Hence, discern is often used of an act of the senses or the mind involving close, discriminating, analytical attention. We perceive that which is clear or obvious; we discern that which requires much attention to get an idea of it. \"We perceive light, darkness, colors, or the truth or falsehood of anything. We discern characters, motives, the tendency and consequences of actions, etc.\" Crabb.
perceiver |One who perceives (in any of the senses of the verb). Milton.
percely |Parsley. [Obs.] Chaucer.
percentage |A certain rate per cent; the allowance, duty, rate of interest, discount, or commission, on a hundred.
percept |That which is perceived. Sir W. Hamilton. The modern discussion between percept and concept, the one sensuous, the other intellectual. Max Müller.
perceptibility |1. The quality or state of being perceptible; as, the perceptibility of light or color. 2. Perception. [R.] Dr. H. More.
perceptible |Capable of being perceived; cognizable; discernible; perceivable. With a perceptible blast of the air. Bacon. -- Per*cep\"ti*ble*ness, n. -- Per*cep\"ti*bly, adv.
perception |1. The act of perceiving; cognizance by the senses or intellect; apperhension by the bodily organs, or by the mind, of what is presented to them; discernment; apperhension; cognition. 2. (Metaph.)  The faculty of perceiving; the faculty, or peculiar part, of man's constitution by which he has knowledge through the medium or instrumentality of the bodily organs; the act of apperhending material objects or qualities through the senses; -- distinguished from conception. Sir W. Hamilton. Matter hath no life nor perception, and is not conscious of its own existence. Bentley. 3. The quality, state, or capability, of being affected by something external; sensation; sensibility. [Obs.] This experiment discovereth perception in plants. Bacon. 4. An idea; a notion. [Obs.] Sir M. Hale. Note: \"The word perception is, in the language of philosophers previous to Reid, used in a very extensive signification. By Descartes, Malebranche, Locke, Leibnitz, and others, it is employed in a sense almost as unexclusive as consciousness, in its widest signification. By Reid this word was limited to our faculty acquisitive of knowledge, and to that branch of this faculty whereby, through the senses, we obtain a knowledge of the external world. But his limitation did not stop here. In the act of external perception he distinguished two elements, to which he gave the names of perception and sensation. He ought perhaps to have called these perception proper and sensation proper, when employed in his special meaning.\" Sir W. Hamilton.
perceptive |Of or pertaining to the act or power of perceiving; having the faculty or power of perceiving; used in perception. \"His perceptive and reflective faculties.\" Motley.
perceptivity |The quality or state of being perceptive; power of perception. Locke.
percesoces |An order of fishes including the gray mullets (Mugil), the barracudas, the silversides, and other related fishes. So called from their relation both to perches and to pikes.
perch |1. Any fresh-water fish of the genus Perca and of several other allied genera of the family Percidæ, as the common American or yellow perch (Perca flavescens, or Americana), and the European perch (P. fluviatilis). 2. Any one of numerous species of spiny-finned fishes belonging to the Percidæ, Serranidæ, and related families, and resembling, more or less, the true perches. Black perch. (a) The black bass. (b) The flasher. (c) The sea bass. -- Blue perch, the cunner. -- Gray perch, the fresh-water drum. -- Red perch, the rosefish. -- Red-bellied perch, the long-eared pondfish. -- Perch pest, a small crustacean, parasitic in the mouth of the perch. -- Silver perch, the yellowtail. -- Stone, or Striped, perch, the pope. -- White perch, the Roccus, or Morone, Americanus, a small silvery serranoid market fish of the Atlantic coast.\n\n1. A pole; a long staff; a rod; esp., a pole or other support for fowls to roost on or to rest on; a roost; figuratively, any elevated resting place or seat. As chauntecleer among his wives all Sat on his perche, that was in his hall. Chaucer. Not making his high place the lawless perch Of winged ambitions. Tennyson. 2. (a) A measure of length containing five and a half yards; a rod, or pole. (b) In land or square measure: A square rod; the 160th part of an acre. (c) In solid measure: A mass 16 3. A pole connecting the fore gear and hind gear of a spring carriage; a reach.\n\nTo alight or settle, as a bird; to sit or roost. Wrens make prey where eagles dare not perch. Shak.\n\n1. To place or to set on, or as on, a perch. 2. To occupy as a perch. Milton.
perchance |By chance; perhaps; peradventure.
perchant |A bird tied by the foot, to serve as decoy to other birds by its fluttering.
percher |1. One who, or that which, perches. J. Burroughs. 2. One of the Insessores. 3. Etym: [From Perch a pole.]  A Paris candle anciently used in England; also, a large wax candle formerly set upon the altar. [Obs.] Bailey.
percheron |One of a breed of draught horses originating in Perche, an old district of France; -- called also Percheron-Norman.
perchlorate |A salt of perchloric acid.
perchloric |Pertaining to, or designating, the highest oxygen acid (HClO4), of chlorine; -- called also hyperchloric.
perchloride |A chloride having a higher proportion of chlorine than any other chloride of the same substance or series.
perchromic |Pertaining to, or designating, a certain one of the highly oxidized compounds of chromium, which has a deep blue color, and is produced by the action of hydrogen peroxide.
perciform |Pertaining to the Perciformes.
perciformes |An extensive tribe or suborder of fishes, including the true perches (Percidæ); the pondfishes (Centrarchidæ); the sciænoids (Sciænidæ); the sparoids (Sparidæ); the serranoids (Serranidæ), and some other related families.
percipience |The faculty, act or power of perceiving; perception. Mrs. Browning.
percipiency |The faculty, act or power of perceiving; perception. Mrs. Browning.
percipient |Having the faculty of perception; perceiving; as, a percipient being. Bentley. -- n.  One who, or that which, is percipient. Glanvill.
perclose |1. (Eccl. Arch.)  Same as Parclose. 2. Conclusion; end. [Obs.] Sir W. Raleigh.
percoid |Belonging to, or resembling, the perches, or family Percidæ. -- n.  Any fish of the genus Perca, or allied genera of the family Percidæ.
percoidea |Same as Perciformes.
percolate |To cause to pass through fine interstices, as a liquor; to filter; to strain. Sir M. Hale.\n\nTo pass through fine interstices; to filter; as, water percolates through porous stone.
percolation |The act or process of percolating, or filtering; filtration; straining. Specifically (Pharm.), the process of exhausting the virtues of a powdered drug by letting a liquid filter slowly through it.
percolator |One who, or that which, filters. \"[Tissues] act as percolators.\" Henfrey.
percomorphi |A division of fishes including the perches and related kinds.
perculaced |Latticed. See Lattice, n., 2.
percurrent |Running through the entire length.
percursory |Running over slightly or in haste; cursory. [R.]
percuss |To strike smartly; to strike upon or against; as, to percuss the chest in medical examination. Flame percussed by air giveth a noise. Bacon.\n\nTo strike or tap in an examination by percussion. See Percussion, 3. Quain.
percussion |1. The act of percussing, or striking one body against another; forcible collision, esp. such as gives a sound or report. Sir I. Newton. 2. Hence: The effect of violent collision; vibratory shock; impression of sound on the ear. The thunderlike percussion of thy sounds. Shak. 3. (Med.)  The act of tapping or striking the surface of the body in order to learn the condition of the parts beneath by the sound emitted or the sensation imparted to the fingers. Percussion is said to be immediate if the blow is directly upon the body; if some interventing substance, as a pleximeter, is, used, it is called mediate. Center of percussion. See under Center. -- Percussion bullet, a bullet containing a substance which is exploded by percussion; an explosive bullet. -- Percussion cap, a small copper cap or cup, containing fulminating powder, and used with a percussion lock to explode gunpowder. -- Percussion fuze. See under Fuze. -- Percussion lock, the lock of a gun that is fired by percussion upon fulminating powder. -- Percussion match, a match which ignites by percussion. -- Percussion powder, powder so composed as to ignite by slight percussion; fulminating powder. -- Percussion sieve, Percussion table, a machine for sorting ores by agitation in running water.
percussive |Striking against; percutient; as, percussive force.
percutient |Striking; having the power of striking. -- n.  That which strikes, or has power to strike. Bacon.
perdicine |Of or pertaining to the family Perdicidæ, or partridges.
perdie |See Parde. Spenser.
perdifoil |A deciduous plant; -- opposed to Ant: evergreen. J. Barton.
perdition |1. Entire loss; utter destruction; ruin; esp., the utter loss of the soul, or of final happiness in a future state; future misery or eternal death. The mere perdition of the Turkish fleet. Shak. If we reject the truth, we seal our own perdition. J. M. Mason. 2. Loss of diminution. [Obs.] Shak.
perditionable |Capable of being ruined; worthy of perdition. [R.] Pollok.
perdix |A genus of birds including the common European partridge. Formerly the word was used in a much wider sense to include many allied genera.
perdu |1. One placed on watch, or in ambush. 2. A soldier sent on a forlorn hope. Shak.\n\n1. Lost to view; in concealment or ambush; close. He should lie perdue who is to walk the round. Fuller. 2. Accustomed to, or employed in, desperate enterprises; hence, reckless; hopeless. \"A perdue captain.\" Beau. & Fl.
perdue |1. Lost to view; in concealment or ambush; close. He should lie perdue who is to walk the round. Fuller. 2. Accustomed to, or employed in, desperate enterprises; hence, reckless; hopeless. \"A perdue captain.\" Beau. & Fl.
perduellion |Treason.
perdulous |Lost; thrown away. [Obs.] Abp. Bramhall.
perdurability |Durability; lastingness. [Archaic] Chaucer.
perdurable |Very durable; lasting; continuing long. [Archaic] Chaucer. Shak. -- Per*dur\"a*bly, adv. [Archaic]
perdurance |Long continuance. [Archaic]
perduration |Long continuance. [Archaic]
perdure |To last or endure for a long time; to be perdurable or lasting. [Archaic] The mind perdures while its energizing may construct a thousand lines. Hickok.
perdy |Truly. See Parde. [Obs.] Ah, dame! perdy ye have not done me right. Spenser.
pere |A peer. [Obs.] Chaucer.
peregal |Fully equal. [Obs.] Chaucer. \"Peregal to the best.\" Spenser.
peregrinate |To travel from place to place, or from one country to another; hence, to sojourn in foreign countries.\n\nHaving traveled; foreign. [Obs.] Shak.
peregrination |A traveling from one country to another; a wandering; sojourn in foreign countries. \"His peregrination abroad.\" Bacon.
peregrinator |One who peregrinates; one who travels about.
peregrine |Foreign; not native; extrinsic or from without; exotic. [Spelt also pelegrine.] \"Peregrine and preternatural heat.\" Bacon. Peregrine falcon (Zoöl.), a courageous and swift falcon (Falco peregrinus), remarkable for its wide distribution over all the continents. The adult plumage is dark bluish ash on the back, nearly black on the head and cheeks, white beneath, barred with black below the throat. Called also peregrine hawk, duck hawk, game hawk, and great-footed hawk.\n\nThe peregrine falcon.
peregrinity |1. Foreignness; strangeness. [Obs.] \"Somewhat of a peregrinity in their dialect.\" Johnson. 2. Travel; wandering. [R.] Carlyle.
perel |Apparel. [Obs.] Chaucer.
perempt |To destroy; to defeat. [R.] Ayliffe.
peremption |A quashing; a defeating. [Obs.]
peremptorily |In a peremptory manner; absolutely; positively. Bacon.
peremptoriness |The quality of being peremptory; positiveness.
peremptory |1. Precluding debate or expostulation; not admitting of question or appeal; positive; absolute; decisive; conclusive; final. Think of heaven with hearty purposes and peremptory designs to get thither. Jer. Taylor. 2. Positive in opinion or judgment; decided; dictatorial; dogmatical. Be not too positive and peremptory. Bacon. Briefly, then, for we are peremptory. Shak. 3. Firmly determined; unawed. [Poetic] Shak. Peremptory challenge (Law) See under Challenge. -- Peremptory mandamus, a final and absolute mandamus. -- Peremptory plea, a plea by a defendant tending to impeach the plaintiff's right of action; a plea in bar. Syn. -- Decisive; positive; absolute; authoritative; express; arbitrary; dogmatical.
perennial |1. ing or continuing through the year; as, perennial fountains. 2. Continuing without cessation or intermission; perpetual; unceasing; never failing. The perennial existence of bodies corporate. Burke. 3. (Bot.)  Continuing more than two years; as, a perennial steam, or root, or plant. Syn. -- Perpetual; unceasing; never failing; enduring; continual; permanent; uninterrupted.\n\nA perennial plant; a plant which lives or continues more than two years, whether it retains its leaves in winter or not.
perennially |In a perennial manner.
perennibranchiata |Those Batrachia which retain their gills through life, as the menobranchus.
perennibranchiate |1. (Anat.)  Having branchæ, or gills, through life; -- said especially of certain Amphibia, like the menobranchus. Opposed to caducibranchiate. 2. (Zoöl.)  Belonging to the Perennibranchiata.
perennity |The quality of being perennial. [R.] Derham.
pererration |A wandering, or rambling, through various places. [R.] Howell.
perfect |1. Brought to consummation or completeness; completed; not defective nor redundant; having all the properties or qualities requisite to its nature and kind; without flaw, fault, or blemish; without error; mature; whole; pure; sound; right; correct. My strength is made perfect in weakness. 2 Cor. xii. 9. Three glorious suns, each one a perfect sun. Shak. I fear I am not in my perfect mind. Shak. O most entire perfect sacrifice! Keble. God made thee perfect, not immutable. Milton. 2. Well informed; certain; sure. I am perfect that the Pannonains are now in arms. Shak. 3. (Bot.)  Hermaphrodite; having both stamens and pistils; -- said of flower. Perfect cadence (Mus.), a complete and satisfactory close in harmony, as upon the tonic preceded by the dominant. -- Perfect chord (Mus.), a concord or union of sounds which is perfectly coalescent and agreeable to the ear, as the unison, octave, fifth, and fourth; a perfect consonance; a common chord in its original position of keynote, third, fifth, and octave. -- Perfect number (Arith.), a number equal to the sum of all its divisors; as, 28, whose aliquot parts, or divisors, are 14, 7, 4, 2, 1. See Abundant number, under Abundant. Brande & C. -- Perfect tense (Gram.), a tense which expresses an act or state completed. Syn. -- Finished; consummate; complete; entire; faultless; blameless; unblemished.\n\nThe perfect tense, or a form in that tense.\n\nTo make perfect; to finish or complete, so as to leave nothing wanting; to give to anything all that is requisite to its nature and kind. God dwelleth in us, and his love is perfect in us. 1 John iv. 12. Inquire into the nature and properties of the things, . . . and thereby perfect our ideas of their distinct species. Locke. Perfecting press (Print.), a press in which the printing on both sides of the paper is completed in one passage through the machine. Syn. -- To finish; accomplish; complete; consummate.
perfecter |One who, or that which, makes perfect. \"The . . . perfecter of our faith.\" Barrow.
perfectibilian |A perfectionist. [R.] Ed. Rev.
perfectibilist |A perfectionist. See also Illuminati, 2. [R.]
perfectibility |The quality or state of being perfectible.
perfectible |Capable of becoming, or being made, perfect.
perfection |1. The quality or state of being perfect or complete, so that nothing requisite is wanting; entire development; consummate culture, skill, or moral excellence; the highest attainable state or degree of excellence; maturity; as, perfection in an art, in a science, or in a system; perfection in form or degree; fruits in perfection. 2. A quality, endowment, or acquirement completely excellent; an ideal faultlessness; especially, the divine attribute of complete excellence. Shak. What tongue can her perfections tell Sir P. Sidney. To perfection, in the highest degree of excellence; perfectly; as, to imitate a model to perfection.\n\nTo perfect. [Obs.] Foote.
perfectional |Of or pertaining to perfection; characterized by perfection. [R.] Bp. Pearson.
perfectionate |To perfect. Dryden.
perfectionism |The doctrine of the Perfectionists.
perfectionist |One pretending to perfection; esp., one pretending to moral perfection; one who believes that persons may and do attain to moral perfection and sinlessness in this life. South.
perfectionment |The act of bringing to perfection, or the state of having attained to perfection. [R.] I. Taylor.
perfective |Tending or conducing to make perfect, or to bring to perfection; -- usually followed by of. \"A perfective alteration.\" Fuller. Actions perfective of their natures. Ray.
perfectively |In a perfective manner.
perfectly |In a perfect manner or degree; in or to perfection; completely; wholly; throughly; faultlessly. \"Perfectly divine.\" Milton. As many as touched were made perfectly whole. Matt. xiv. 36.
perfectness |The quality or state of being perfect; perfection. \"Charity, which is the bond of perfectness.\" Col. iii. 14.
perfervid |Very fervid; too fervid; glowing; ardent.
perficient |Making or doing throughly; efficient; effectual. [R.] Blackstone.\n\nOne who performs or perfects a work; especially, one who endows a charity. [R.]
perfidious |1. Guilty of perfidy; violating good faith or vows; false to trust or confidence reposed; teacherous; faithless; as, a perfidious friend. Shak. 2. Involving, or characterized by, perfidy. \"Involved in this perfidious fraud.\" Milton.
perfidiously |In a perfidious manner.
perfidiousness |The quality of being perfidious; perfidy. Clarendon.
perfidy |The act of violating faith or allegiance; violation of a promise or vow, or of trust reposed; faithlessness; teachery. The ambition and perfidy of tyrants. Macaulay. His perfidy to this sacred engagement. DeQuincey.
perfit |Perfect. [Obs.] Chaucer.
