defiatory |Bidding or manifesting defiance. [Obs.] Shelford.
demand |1. To ask or call for with authority; to claim or seek from, as by authority or right; to claim, as something due; to call for urgently or peremptorily; as, to demand a debt; to demand obedience. This, in our foresaid holy father's name, Pope Innocent, I do demand of thee. Shak. 2. To inquire authoritatively or earnestly; to ask, esp. in a peremptory manner; to question. I did demand what news from Shrewsbury. Shak. 3. To require as necessary or useful; to be in urgent need of; hence, to call for; as, the case demands care. 4. (Law)  To call into court; to summon. Burrill.\n\nTo make a demand; to inquire. The soldiers likewise demanded of him, saying, And what shall we do Luke iii. 14.\n\n1. The act of demanding; an asking with authority; a peremptory urging of a claim; a claiming or challenging as due; requisition; as, the demand of a creditor; a note payable on demand. The demand [is] by the word of the holy ones. Dan. iv. 17. He that has confidence to turn his wishes into demands will be but a little way from thinking he ought to obtain them. Locke. 2. Earnest inquiry; question; query. Shak. 3. A diligent seeking or search; manifested want; desire to posses; request; as, a demand for certain goods; a person's company is in great demand. In 1678 came forth a second edition [Pilgrim's Progress] with additions; and the demand became immense. Macaulay. 4. That which one demands or has a right to demand; thing claimed as due; claim; as, demands on an estate. 5. (Law) (a) The asking or seeking for what is due or claimed as due. (b) The right or title in virtue of which anything may be claimed; as, to hold a demand against a person. (c) A thing or amount claimed to be due.
demandable |That may be demanded or claimed. \"All sums demandable.\" Bacon.
demandant |One who demands; the plaintiff in a real action; any plaintiff.
demander |One who demands.
demandress |A woman who demands.
demantoid |A yellow-green, transparent variety of garnet found in the Urals. It is valued as a gem because of its brilliancy of luster, whence the name.
demarcate |To mark by bounds; to set the limits of; to separate; to discriminate. Wilkinson.
demarcation |The act of marking, or of ascertaining and setting a limit; separation; distinction. The speculative line of demarcation, where obedience ought to end and resistance must begin, is faint, obscure, and not easily definable. Burke.
demarch |March; walk; gait. [Obs.]\n\nA chief or ruler of a deme or district in Greece.
demarkation |Same as Demarcation.
dematerialize |To deprive of material or physical qualities or characteristics. Dematerializing matter by stripping if of everything which . . . has distinguished matter. Milman.
deme |1. (Gr. Antiq.)  A territorial subdivision of Attica (also of modern Greece), corresponding to a township. Jowett (Thucyd). 2. (Biol.)  An undifferentiated aggregate of cells or plastids.
demean |1. To manage; to conduct; to treat. [Our] clergy have with violence demeaned the matter. Milton. 2. To conduct; to behave; to comport; -- followed by the reflexive pronoun. They have demeaned themselves Like men born to renown by life or death. Shak. They answered . . . that they should demean themselves according to their instructions. Clarendon. 3. To debase; to lower; to degrade; -- followed by the reflexive pronoun. Her son would demean himself by a marriage with an artist's daughter. Thackeray. Note: This sense is probably due to a false etymology which regarded the word as connected with the adjective mean.\n\n1. Management; treatment. [Obs.] Vile demean and usage bad. Spenser. 2. Behavior; conduct; bearing; demeanor. [Obs.] With grave demean and solemn vanity. West.\n\n1. Demesne. [Obs.] 2. pl.  Resources; means. [Obs.] You know How narrow our demeans are. Massinger.
demeanance |Demeanor. [Obs.] Skelton.
demeanor |1. Management; treatment; conduct. [Obs.] God commits the managing so great a trust . . . wholly to the demeanor of every grown man. Milton. 2. Behavior; deportment; carriage; bearing; mien. His demeanor was singularly pleasing. Macaulay. The men, as usual, liked her artless kindness and simple refined demeanor. Thackeray.
demeanure |Behavior. [Obs.] Spenser.
demency |Dementia; loss of mental powers. See Insanity.
dement |To deprive of reason; to make mad. [R.] Bale.\n\nDemented; dementate. [R.] J. H. Newman.
dementate |Deprived of reason. Arise, thou dementate sinner! Hammond.\n\nTo deprive of reason; to dement. [R.] Burton.
dementation |The act of depriving of reason; madness. Whitlock.
demented |Insane; mad; of unsound mind. -- De*ment\"ed*ness, n.
dementia |Insanity; madness; esp. that form which consists in weakness or total loss of thought and reason; mental imbecility; idiocy.
demephitize |To purify from mephitic. -- De*meph`i*ti*za\"tion, n.
demerge |To plunge down into; to sink; to immerse. [Obs.] The water in which it was demerged. Boyle.
demerit |1. That which one merits or deserves, either of good or ill; desert. [Obs.] By many benefits and demerits whereby they obliged their adherents, [they] acquired this reputation. Holland. 2. That which deserves blame; ill desert; a fault; a vice; misconduct; -- the opposite of Ant: merit. They see no merit or demerit in any man or any action. Burke. Secure, unless forfeited by any demerit or offense. Sir W. Temple. 3. The state of one who deserves ill.\n\n1. To deserve; -- said in reference to both praise and blame. [Obs.] If I have demerited any love or thanks. Udall. Executed as a traitor . . . as he well demerited. State Trials (1645). 2. To depreciate or cry down. [R.] Bp. Woolton.\n\nTo deserve praise or blame.
demerse |To immerse. [Obs.] Boyle.
demersed |Situated or growing under water, as leaves; submersed.
demersion |1. The act of plunging into a fluid; a drowning. 2. The state of being overwhelmed in water, or as if in water. Ray.
demesmerize |To relieve from mesmeric influence. See Mesmerize.
demesne |A lord's chief manor place, with that part of the lands belonging thereto which has not been granted out in tenancy; a house, and the land adjoining, kept for the proprietor's own use. [Written also demain.] Wharton's Law Dict. Burrill. Ancient demesne. (Eng. Law) See under Ancient.
demesnial |Of or pertaining to a demesne; of the nature of a demesne.
demi |See Demy, n.
demi- |A prefix, signifying half.
demi-island |Peninsula. [Obs.] Knolles.
demi-rilievo |(a) Half relief; sculpture in relief of which the figures project from the background by one half their full roundness. (b) A work of sculpture of the above character. See Alto-rilievo.
demi-tasse |A small cup for, or of, black coffee.
demibastion |A half bastion, or that part of a bastion consisting of one face and one flank.
demibrigade |A half brigade.
demicadence |An imperfect or half cadence, falling on the dominant instead of on the key note.
demicannon |A kind of ordnance, carrying a ball weighing from thirty to thirty-six pounds. Shak.
demicircle |An instrument for measuring angles, in surveying, etc. It resembles
demiculverin |A kind of ordnance, carrying a ball weighing from nine to thirteen pounds.
demideify |To deify in part. Cowper.
demidevil |A half devil. Shak.
demigod |A half god, or an inferior deity; a fabulous hero, the offspring of a deity and a mortal.
demigoddess |A female demigod.
demigorge |Half the gorge, or entrance into a bastion, taken from the angle of the flank to the center of the bastion.
demigrate |To emigrate. [Obs.] Cockeram.
demigration |Emigration. [Obs.] Bp. Hall.
demigroat |A half groat.
demijohn |A glass vessel or bottle with a large body and small neck, inclosed in wickerwork.
demilance |A light lance; a short spear; a half pike; also, a demilancer.
demilancer |A soldier of light cavalry of the 16th century, who carried a demilance.
demilune |1. (Fort.)  A work constructed beyond the main ditch of a fortress, and in front of the curtain between two bastions, intended to defend the curtain; a ravelin. See Ravelin. 2. (Physiol.)  A crescentic mass of granular protoplasm present in the salivary glands. Note: Each crescent is made of polyhedral cells which under some circumstances are supposed to give rise to new salivary cells.
demiman |A half man. [R.] Knolles.
demimonde |Persons of doubtful reputation; esp., women who are kept as mistresses, though not public prostitutes; demireps. Literary demimonde, writers of the lowest kind.
deminatured |Having half the nature of another. [R.] Shak.
demiquaver |A note of half the length of the quaver; a semiquaver. [R.]
demirelief |Half relief. See Demi-rilievo.
demirelievo |Half relief. See Demi-rilievo.
demirep |A woman of doubtful reputation or suspected character; an adventuress. [Colloq.] De Quincey.
demisability |The state of being demisable.
demisable |Capable of being leased; as, a demisable estate.
demise |1. Transmission by formal act or conveyance to an heir or successor; transference; especially, the transfer or transmission of the crown or royal authority to a successor. 2. The decease of a royal or princely person; hence, also, the death of any illustrious person. After the demise of the Queen [of George II.], in 1737, they [drawing-rooms] were held but twice a week. P. Cunningham. 3. (Law)  The conveyance or transfer of an estate, either in fee for life or for years, most commonly the latter. Bouvier. Note: The demise of the crown is a transfer of the crown, royal authority, or kingdom, to a successor. Thus, when Edward IV. was driven from his throne for a few months by the house of Lancaster, this temporary transfer of his dignity was called a demise. Thus the natural death of a king or queen came to be denominated a demise, as by that event the crown is transferred to a successor. Blackstone. Demise and redemise, a conveyance where there are mutual leases made from one to another of the same land, or something out of it. Syn. -- Death; decease; departure. See Death.\n\n1. To transfer or transmit by succession or inheritance; to grant or bestow by will; to bequeath. \"Power to demise my lands.\" Swift. What honor Canst thou demise to any child of mine Shak. 2. To convey; to give. [R.] His soul is at his conception demised to him. Hammond. 3. (Law)  To convey, as an estate, be lease; to lease.
demisemiquaver |A short note, equal in time to the half of a semiquaver, or the thirty-second part of a whole note.
demiss |Cast down; humble; submissive. [Obs.] He down descended like a most demiss And abject thrall. Spenser.
demission |1. The act of demitting, or the state of being demitted; a letting down; a lowering; dejection. \"Demission of mind.\" Hammond. Demission of sovereign authority. L'Estrange. 2. Resignation of an office. [Scot.]
demissionary |1. Pertaining to transfer or conveyance; as, a demissionary deed. 2. Tending to lower, depress, or degrade.
demissive |Downcast; submissive; humble. [R.] They pray with demissive eyelids. Lord (1630).
demissly |In a humble manner. [Obs.]
demisuit |A suit of light armor covering less than the whole body, as having no protection for the legs below the things, no vizor to the helmet, and the like.
demit |1. To let fall; to depress. [R.] They [peacocks] demit and let fall the same [i. e., their train]. Sir T. Browne. 2. To yield or submit; to humble; to lower; as, to demit one's self to humble duties. [R.] 3. To lay down, as an office; to resign. [Scot.] General Conway demitted his office. Hume.
demitint |(a) That part of a painting, engraving, or the like, which is neither in full darkness nor full light. (b) The shade itself; neither the darkest nor the lightest in a composition. Also called half tint.
demitone |Semitone. [R.]
demiurge |1. (Gr. Antiq.)  The chief magistrate in some of the Greek states. 2. God, as the Maker of the world. 3. According to the Gnostics, an agent or one employed by the Supreme Being to create the material universe and man.
demiurgic |Pertaining to a demiurge; formative; creative. \"Demiurgic power.\" De Quincey.
demivill |A half-vill, consisting of five freemen or frankpledges. Blackstone.
demivolt |A half vault; one of the seven artificial motions of a horse, in which he raises his fore legs in a particular manner.
demiwolf |A half wolf; a mongrel dog, between a dog and a wolf.
demobilization |The disorganization or disarming of troops which have previously been mobilized or called into active service; the change from a war footing to a peace footing.
demobilize |To disorganize, or disband and send home, as troops which have been mobilized.
democracy |1. Government by the people; a form of government in which the supreme power is retained and directly exercised by the people. 2. Government by popular representation; a form of government in which the supreme power is retained by the people, but is indirectly exercised through a system of representation and delegated authority periodically renewed; a constitutional representative government; a republic. 3. Collectively, the people, regarded as the source of government. Milton. 4. The principles and policy of the Democratic party, so called. [U.S.]
democrat |1. One who is an adherent or advocate of democracy, or government by the people. Whatever they call him, what care I, Aristocrat, democrat, autocrat. Tennyson. 2. A member of the Democratic party. [U.S.]
democratic |1. Pertaining to democracy; favoring democracy, or constructed upon the principle of government by the people. 2. Relating to a political party so called. 3. Befitting the common people; -- opposed to aristocratic. The Democratic party, the name of one of the chief political parties in the United States.
democratical |Democratic. The democratical was democratically received. Algernon Sidney.
democratically |In a democratic manner.
democratism |The principles or spirit of a democracy. [R.]
democratist |A democrat. [R.] Burke.
democratize |To render democratic.
democraty |Democracy. [Obs.] Milton.
demogorgon |, A mysterious, terrible, and evil divinity, regarded by some as the author of creation, by others as a great magician who was supposed to command the spirits of the lower world. See Gorgon. Orcus and Ades, and the dreaded name Of Demogorgon. Milton.
demography |The study of races, as to births, marriages, mortality, health, etc. -- Dem`o*graph\"ic, a.
demoiselle |1. A young lady; a damsel; a lady's maid. 2. (Zoöl.)  The Numidian crane (Antropoides virgo); -- so called on account of the grace and symmetry of its form and movements. 3. (Zoöl.)  A beautiful, small dragon fly of the genus Agrion.
demolish |To throw or pull down; to raze; to destroy the fabric of; to pull to pieces; to ruin; as, to demolish an edifice, or a wall. I expected the fabric of my book would long since have been demolished, and laid even with the ground. Tillotson. Syn. -- To Demolish, Overturn, Destroy, Dismantle, Raze. That is overturned or overthrown which had stood upright; that is destroyed whose component parts are scattered; that is demolished which had formed a mass or structure; that is dismantled which is stripped of its covering, as a vessel of its sails, or a fortress of its bastions, etc.; that is razed which is brought down smooth, and level to the ground. An ancient pillar is overturned or overthrown as the result of decay; as city is destroyed by an invasion of its enemies; a monument, the walls of a castle, a church, or any structure, real or imaginary, may be demolished; a fortress may be dismantled from motives of prudence, in order to render it defenseless; a city may be razed by way of punishment, and its ruins become a memorial of vengeance.
demolisher |One who, or that which, demolishes; as, a demolisher of towns.
demolishment |Demolition.
demolition |The act of overthrowing, pulling down, or destroying a pile or structure; destruction by violence; utter overthrow; -- opposed to construction; as, the demolition of a house, of military works, of a town, or of hopes.
demolitionist |A demolisher. [R.] Carlyle.
demon |1. (Gr. Antiq.)  A spirit, or immaterial being, holding a middle place between men and deities in pagan mythology. The demon kind is of an inSydenham. 2. One's genius; a tutelary spirit or internal voice; as, the demon of Socrates. [Often written dæmon.] 3. An evil spirit; a devil. That same demon that hath gulled thee thus. Shak.
demoness |A female demon.
demonetization |The act of demonetizing, or the condition of being demonetized.
demonetize |To deprive of current value; to withdraw from use, as money. They [gold mohurs] have been completely demonetized by the [East India] Company. R. Cobden.
demoniac |1. Pertaining to, or characteristic of, a demon or evil spirit; devilish; as, a demoniac being; demoniacal practices. Sarcastic, demoniacal laughter. Thackeray. 2. Influenced or produced by a demon or evil spirit; as, demoniac or demoniacal power. \"Demoniac frenzy.\" Milton.\n\n1. A human being possessed by a demon or evil spirit; one whose faculties are directly controlled by a demon. The demoniac in the gospel was sometimes cast into the fire. Bates. 2. (Eccl. Hist.)  One of a sect of Anabaptists who maintain that the demons or devils will finally be saved.
demoniacal |1. Pertaining to, or characteristic of, a demon or evil spirit; devilish; as, a demoniac being; demoniacal practices. Sarcastic, demoniacal laughter. Thackeray. 2. Influenced or produced by a demon or evil spirit; as, demoniac or demoniacal power. \"Demoniac frenzy.\" Milton.
demoniacally |In a demoniacal manner.
demoniacism |The state of being demoniac, or the practices of demoniacs.
demonial |Of or pertaining to a demon. [Obs.] Cudworth.
demonian |Relating to, or having the nature of, a demon. \"Demonian spirits.\" Milton.
demonianism |The state of being possessed by a demon or by demons.
demoniasm |See Demonianism. [R.]
demonic |Of or pertaining to a demon or to demons; demoniac. \"Demonic ambushes.\" Lowell.
demonism |The belief in demons or false gods. The established theology of the heathen world . . . rested upon the basis of demonism. Farmer.
demonist |A believer in, or worshiper of, demons.
demonize |1. To convert into a demon; to infuse the principles or fury of a demon into. 2. To control or possess by a demon.
demonocracy |The power or government of demons. A demonocracy of unclean spirits. H. Taylor.
demonographer |A demonologist. [R.] Am. Cyc.
demonolatry |The worship of demons.
demonologer |One versed in demonology. R. North.
demonologic |Of or Pertaining to demonology.
demonological |Of or Pertaining to demonology.
demonologist |One who writes on, or is versed in, demonology.
demonology |A treatise on demons; a supposititious science which treats of demons and their manifestations. Sir W. Scott.
demonomagy |Magic in which the aid of demons is invoked; black or infernal magic. Bp. Hurd.
demonomania |A form of madness in which the patient conceives himself possessed of devils.
demonomist |One in subjection to a demon, or to demons. [R.] Sir T. Herbert.
demonomy |The dominion of demons. [R.] Sir T. Herbert.
demonry |Demoniacal influence or possession. J. Baillie.
demonship |The state of a demon. Mede.
demonstrability |The quality of being demonstrable; demonstrableness.
demonstrable |1. Capable of being demonstrated; that can be proved beyond doubt or question. The grand articles of our belief are as demonstrable as geometry. Glanvill. 2. Proved; apparent. [Obs.] Shak.
demonstrableness |The quality of being demonstrable; demonstrability.
demonstrably |In a demonstrable manner; incontrovertibly; clearly. Cases that demonstrably concerned the public cause. Clarendon.
demonstrance |Demonstration; proof. [Obs.] Holland.
demonstrate |1. To point out; to show; to exhibit; to make evident. Shak. 2. To show, or make evident, by reasoning or proof; to prove by deduction; to establish so as to exclude the possibility of doubt or denial. We can not demonstrate these things so as to show that the contrary often involves a contradiction. Tillotson. 3. (Anat.)  To exhibit and explain (a dissection or other anatomical preparation).
demonstrater |See Demonstrator.
demonstration |1. The act of demonstrating; an exhibition; proof; especially, proof beyond the possibility of doubt; indubitable evidence, to the senses or reason. Those intervening ideas which serve to show the agreement of any two others are called \"proofs;\" and where agreement or disagreement is by this means plainly and clearly perceived, it is called demonstration. Locke. 2. An expression, as of the feelings, by outward signs; a manifestation; a show. Did your letters pierce the queen to any demonstration of grief Shak. Loyal demonstrations toward the prince. Prescott. 3. (Anat.)  The exhibition and explanation of a dissection or other anatomical preparation. 4. (Mil.) a decisive exhibition of force, or a movement indicating an attack. 5. (Logic)  The act of proving by the syllogistic process, or the proof itself. 6. (Math.)  A course of reasoning showing that a certain result is a necessary consequence of assumed premises; -- these premises being definitions, axioms, and previously established propositions. Direct, or Positive, demonstration (Logic & Math.), one in which the correct conclusion is the immediate sequence of reasoning from axiomatic or established premises; -- opposed to Indirect, or Negative, demonstration (called also reductio ad absurdum), in which the correct conclusion is an inference from the demonstration that any other hypothesis must be incorrect.
demonstrative |1. Having the nature of demonstration; tending to demonstrate; making evident; exhibiting clearly or conclusively. \"Demonstrative figures.\" Dryden. An argument necessary and demonstrative. Hooker. 2. Expressing, or apt to express, much; displaying feeling or sentiment; as, her nature was demonstrative. 3. Consisting of eulogy or of invective. \"Demonstrative eloquence.\" Blair. Demonstrative pronoun (Gram.), a pronoun distinctly designating that to which it refers.\n\nA demonstrative pronoun; as, \"this\" and \"that\" are demonstratives.
demonstratively |In a manner fitted to demonstrate; clearly; convincingly; forcibly.
demonstrativeness |The state or quality of being demonstrative.
demonstrator |1. One who demonstrates; one who proves anything with certainty, or establishes it by indubitable evidence. 2. (Anat.)  A teacher of practical anatomy.
demonstratory |Tending to demonstrate; demonstrative. Johnson.
demorage |Demurrage. [Obs.] Pepys (1663).
demoralization |The act of corrupting or subverting morals. Especially: The act of corrupting or subverting discipline, courage, hope, etc., or the state of being corrupted or subverted in discipline, courage, etc.; as, the demoralization of an army or navy.
