circumvolant |Flying around. The circumvolant troubles of humanity. G. Macdonald.
clerical |1. Of or pertaining to the clergy; suitable for the clergy. \"A clerical education.\" Burke. 2. Of or relating to a clerk or copyist, or to writing. \"Clerical work.\" E. Everett. A clerical error, an error made in copying or writing.
clericalism |An excessive devotion to the interests of the sacerdotal order; undue influence of the clergy; sacerdotalism.
clericity |The state of being a clergyman.
clerisy |1. The literati, or well educated class. 2. The clergy, or their opinions, as opposed to the laity.
clerk |1. A clergyman or ecclesiastic. [Obs.] All persons were styled clerks that served in the church of Christ. Ayliffe. 2. A man who could read; a scholar; a learned person; a man of letters. [Obs.] \"Every one that could read . . . being accounted a clerk.\" Blackstone. He was no great clerk, but he was perfectly well versed in the interests of Europe. Burke. 3. A parish officer, being a layman who leads in reading the responses of the Episcopal church service, and otherwise assists in it. [Eng.] Hook. And like unlettered clerk still cry \"Amen\". Shak. 4. One employed to keep records or accounts; a scribe; an accountant; as, the clerk of a court; a town clerk. The clerk of the crown . . . withdrew the bill. Strype. Note: In some cases, clerk is synonymous with secretary. A clerk is always an officer subordinate to a higher officer, board, corporation, or person; whereas a secretary may be either a subordinate or the head of an office or department. 5. An assistant in a shop or store. [U. S.]
clerk-ale |A feast for the benefit of the parish clerk. [Eng.] T. Warton.
clerkless |Unlearned. [Obs.] E. Waterhouse.
clerklike |Scholarlike. [Obs.] Shak.
clerkliness |Scholarship. [Obs.]
clerkly |Of or pertaining to a clerk. Cranmer.\n\nIn a scholarly manner. [Obs.] Shak.
clerkship |State, quality, or business of a clerk.
cleromancy |A divination by throwing dice or casting lots.
cleronomy |Inheritance; heritage.
clerstory |See Clearstory.
clever |1. Possessing quickness of intellect, skill, dexterity, talent, or adroitness; expert. Though there were many clever men in England during the latter half of the seventeenth century, there were only two great creative minds. Macaulay. Be good, sweet maid, and let who will be clever. C. Kingsley. 2. Showing skill or adroitness in the doer or former; as, a clever speech; a clever trick. Byron. 3. Having fitness, propriety, or suitableness. \"T would sound more clever To me and to my heirs forever. Swift. 4. Well-shaped; handsome. \"The girl was a tight, clever wench as any was.\" Arbuthnot. 5. Good-natured; obliging. [U. S.] Syn. -- See Smart.
cleverish |Somewhat clever. [R.]
cleverly |In a clever manner. Never was man so clever absurd. C. Smart.
cleverness |The quality of being clever; skill; dexterity; adroitness. Syn. -- See Ingenuity.
clevis |A piece of metal bent in the form of an oxbow, with the two ends perforated to receive a pin, used on the end of the tongue of a plow, wagen, etc., to attach it to a draft chain, whiffletree, etc.; -- called also clavel, clevy.
clew |1. A ball of thread, yarn, or cord; also, The thread itself. Untwisting his deceitful clew. Spenser. 2. That which guides or directs one in anything of a doubtful or intricate nature; that which gives a hint in the solution of a mystery. The clew, without which it was perilous to enter the vast and intricate maze of countinental politics, was in his hands. Macaulay. 3. (Naut.) (a.)  A lower corner of a square sail, or the after corner of a fore- and-aft sail. (b.)  A loop and thimbles at the corner of a sail. (c.)  A combination of lines or nettles by which a hammock is suspended. Clew garnet (Naut.), one of the ropes by which the clews of the courses of square-rigged vessels are drawn up to the lower yards. -- Clew line (Naut.), a rope by which a clew of one of the smaller square sails, as topsail, topgallant sail, or royal, is run up to its yard. -- Clew-line block (Naut.), The block through which a clew line reeves. See Illust. of Block.\n\n1. To direct; to guide, as by a thread. [Obs.] Direct and clew me out the way to happiness. Beau. && Fl. 2. (Naut.)  To move of draw (a sail or yard) by means of the clew garnets, clew lines, etc.; esp. to draw up the clews of a square sail to the yard. To clew down (Naut.), to force (a yard) down by hauling on the clew lines. -- To clew up (Naut.), to draw (a sail) up to the yard, as for furling.
cliche |A stereotype plate or any similar reproduction of ornament, or lettering, in relief. Cliché casting, a mode of obtaining an impression from a die or woodcut, or the like, by striking it suddenly upon metal which has been fused and is just becoming solid; also, the casting so obtained.
click |To make a slight, sharp noise (or a succession of such noises), as by gentle striking; to tick. The varnished clock that clicked behind the door. Goldsmith.\n\n1. To more with the sound of a click. She clicked back the bolt which held the window sash. Thackeray. 2. To cause to make a clicking noise, as by striking together, or against something. [Jove] clicked all his marble thumbs. Ben Jonson. When merry milkmaids click the latch. Tennyson.\n\n1. A slight sharp noise, such as is made by the cocking of a pistol. 2. A kind of articulation used by the natives of Southern Africa, consisting in a sudden withdrawal of the end or some other portion of the tongue from a part of the mouth with which it is in contact, whereby a sharp, clicking sound is produced. The sounds are four in number, and are called cerebral, palatal, dental, and lateral clicks or clucks, the latter being the noise ordinarily used in urging a horse forward.\n\nTo snatch. [Prov. Eng.] Halliwell.\n\n1. A detent, pawl, or ratchet, as that which catches the cogs of a ratchet wheel to prevent backward motion. See Illust. of Ratched wheel. 2. The latch of a door. [Prov. Eng.]
click beetle |See Elater.
clicker |1. One who stands before a shop door to invite people to buy. [Low, Eng.] 2. (Print.)  One who as has charge of the work of a companionship.
clicket |1. The knocker of a door. [Prov. Eng.] 2. A latch key. [Eng.] Chaucer.
clicky |Resembling a click; abounding in clicks. \"Their strange clicky language.\" The Century.
clidastes |A genus of exinct marine reptiles, allied to the Mosasaurus. See Illust. in Appendix.
cliency |State of being a client.
client |1. (Rom. Antiq.)  A citizen who put himself under the protection of a man of distinction and influence, who was called his patron. 2. A dependent; one under the protection of another. I do think they are your friends and clients, And fearful to disturb you. B. Jonson. 3. (Law)  One who consults a legal adviser, or submits his cause to his management.
clientage |1. State of being client. 2. A body of clients. E. Everett.
cliental |Of or pertaining to a client. A dependent and cliental relation. Burke. I sat down in the cliental chair. Dickens.
cliented |Supplied with clients. [R.] The least cliented pettifiggers. R. Carew.
clientelage |See Clientele, n., 2.
clientele |1. The condition or position of a client; clientship. [Obs.] Bp. Hall. 2. The clients or dependents of a nobleman of patron. 3. The persons who make habitual use of the services of another person; one's clients, collectively; as, the clientele of a lawyer, doctor, notary, etc.
clientship |Condition of a client; state of being under the protection of a patron. Dryden.
cliff |A high, steep rock; a precipice. Cliff swallow (Zoöl.), a North American swallow (Petrochelidon lunifrons), which builds its nest against cliffs; the eaves swallow.\n\nSee Clef. [Obs.]
cliff limestone |A series of limestone strata found in Ohio and farther west, presenting bluffs along the rivers and valleys, formerly supposed to be of one formation, but now known to be partly Silurian and partly Devonian.
cliffy |Having cliffs; broken; craggy.
clift |A cliff. [Obs.] That gainst the craggy clifts did loudly roar. Spenser.\n\n1. A cleft of crack; a narrow opening. [Obs.] 2. The fork of the legs; the crotch. [Obs.] Chaucer.
clifted |Broken; fissured. Climb the Andeclifted side. Grainger.
climacter |See Climacteric, n.
climacteric |Relating to a climacteric; critical.\n\n1. A period in human life in which some great change is supposed to take place in the constitution. The critical periods are thought by some to be the years produced by multiplying 7 into the odd numbers 3, 5, 7, and 9; to which others add the 81st year. 2. Any critical period. It is your lot, as it was mine, to live during one of the grand climacterics of the world. Southey. Grand or Great climacteric, the sixty-third year of human life. I should hardly yield my rigid fibers to be regenerated by them; nor begin, in my grand climacteric, to squall in their new accents, or to stammer, in my second cradle, the elemental sounds of their barbarous metaphysics. Burke.
climacterical |See Climacteric. Evelyn.
climactic |Of or pertaining to a climax; forming, or of the nature of, a climax, or ascending series. A fourth kind of parallelism . . . is still sufficiently marked to be noticed by the side of those described by Lowth, viz., climactic parallelism (sometimes called \"ascending rhythm\"). S. R. Driver.
climatal |Climatic. Dunglison.
climatarchic |Presiding over, or regulating, climates.
climate |1. (Anc. Geog.)  One of thirty regions or zones, parallel to the equator, into which the surface of the earth from the equator to the pole was divided, according to the successive increase of the length of the midsummer day. 2. The condition of a place in relation to various phenomena of the atmosphere, as temperature, moisture, etc., especially as they affect animal or vegetable life.\n\nTo dwell. [Poetic] Shak.
climatic |Of or pertaining to a climate; depending on, or limited by, a climate.
climatical |Climatic.
climatize |To acclimate or become acclimated.
climatography |A description of climates.
climatological |Of or pertaining to climatology.
climatologist |One versed in, or who studies, climatology.
climatology |The science which treats of climates and investigates their phenomena and causes. Brande & C.
climature |A climate. [Obs.] Shak.
climax |1. Upward movement; steady increase; gradation; ascent. Glanvill. 2. (Rhet.)  A figure of which the parts of a sentence or paragraph are so arranged that each sicceeding one rise \"Tribulation worketh patience, patience experience, and experience hope\" -- a happy climax. J. D. Forbes. 3. The highest point; the greatest degree. We must look higher for the climax of earthly good. I. Taylor. To cap the climax, to surpass everything, as in excellence or in absurdity. [Colloq.]
climb |1. To ascend or mount laboriously, esp. by use of the hands and feet. 2. To ascend as if with effort; to rise to a higher point. Black vapors climb aloft, and cloud the day. Dryden. 3. (Bot.)  To ascend or creep upward by twining about a support, or by attaching itself by tendrills, rootlets, etc., to a support or upright surface.\n\nTo ascend, as by means of the hands and feet, or laboriously or slowly; to mount.\n\nThe act of one who climbs; ascent by climbing. Warburton.
climbable |Capable of being climbed.
climber |One who, or that which, climbs: (a) (Bot.) A plant that climbs. (b) (Zoöl.) A bird that climbs, as a woodpecker or a parrot.\n\nTo climb; to mount with effort; to clamber. [Obs.] Tusser.
climbing |p. pr. & vb. n. of Climb. Climbing fern. See under Fern. -- Climbing perch. (Zoöl.) See Anabas, and Labyrinthici.
clime |A climate; a tract or region of the earth. See Climate. Turn we to sutvey, Where rougher climes a nobler race display. Goldsmith.
clinanthium |The receptacle of the flowers in a composite plant; -- also called clinium.
clinch |1. To hold firmly; to hold fast by grasping or embracing tightly. \"Clinch the pointed spear.\" Dryden. 2. To set closely together; to close tightly; as, to clinch the teeth or the first. Swift. 3. The bend or turn over the point of (something that has been driven trough an object), so that it will hold fast; as, to clinch a nail. 4. To make conclusive; to confirm; to establish; as, to clinch an argument. South.\n\nTo hold fast; to grasp something firmly; to seize or grasp one another.\n\n1. The act or process of holding fast; that which serves to hold fast; a grip; a grasp; a clamp; a holdfast; as, to get a good clinch of an antagonist, or of a weapon; to secure anything by a clinch. 2. A pun. Pope. 3. (Naut.)  A hitch or bend by which a rope is made fast to the ring of an anchor, or the breeching of a ship's gun to the ringbolts.
clincher |1. One who, or that which, clinches; that which holds fast. Pope. 2. That which ends a dispute or controversy; a decisive argument.
clincher-built |See Clinker-built.
cling |To adhere closely; to stick; to hold fast, especially by twining round or embracing; as, the tendril of a vine clings to its support; -- usually followed by to or together. And what hath life for thee That thou shouldst cling to it thus Mrs. Hemans.\n\n1. To cause to adhere to, especially by twining round or embraching. [Obs.] I clung legs as close to his side as I could. Swift. 2. To make to dry up or wither. [Obs.] If thou speak'st false, Upon the next tree shalt thou hang alive, Till famine cling thee. Shak.\n\nAdherence; attachment; devotion. [R.] A more tenacious cling to worldly respects. Milton.
clingstone |Having the flesh attached closely to the stone, as in some kinds of peaches. -- n.  A fruit, as a peach, whose flesh adheres to the stone.
clingy |Apt to cling; adhesive. [R.]
clinic |1. One confined to the bed by sickness. 2. (Eccl.)  One who receives baptism on a sick bed. [Obs.] Hook. 3. (Med.)  A school, or a session of a school or class, in which medicine or surgery is taught by the examination and treatment of patients in the presence of the pupils.\n\n1. Of or pertaining to a bed, especially, a sick bed. 2. Of or pertaining to a clinic, or to the study of disease in the living subject. Clinical baptism, baptism administered to a person on a sick bed. -- Clinical instruction, instruction by means of clinics. -- Clinical lecture (Med.), a discourse upon medical topics illustrared by the exhibition and examination of living patients. -- Clinical medicine, Clinical surgery, that part of medicine or surgery which is occupied with the investigation of disease in the living subject.
clinical |1. Of or pertaining to a bed, especially, a sick bed. 2. Of or pertaining to a clinic, or to the study of disease in the living subject. Clinical baptism, baptism administered to a person on a sick bed. -- Clinical instruction, instruction by means of clinics. -- Clinical lecture (Med.), a discourse upon medical topics illustrared by the exhibition and examination of living patients. -- Clinical medicine, Clinical surgery, that part of medicine or surgery which is occupied with the investigation of disease in the living subject.
clinically |In a clinical manner.
clinique |A clinic.
clinium |See Clinanthium.
clink |To cause to give out a slight, sharp, tinkling, sound, as by striking metallic or other sonorous bodies together. And let me the canakin clink. Shak.\n\n1. To give out a slight, sharp, thinkling sound. \"The clinking latch.\" Tennyson. 2. To rhyme. [Humorous]. Cowper.\n\nA slight, sharp, tinkling sound, made by the collision of sonorous bodies. \"Clink and fall of swords.\" Shak.
clinkant |See Clnquant.
clinker |1. A mass composed of several bricks run together by the action of the fire in the kiln. 2. Scoria or vitrified incombustible matter, formed in a grate or furnace where anthracite coal in used; vitrified or burnt matter ejected from a volcano; slag. 3. A scale of oxide of iron, formed in forging. 4. A kind of brick. See Dutch klinker, under Dutch.
clinker-built |Having the side planks (af a boat) so arranged that the lower edge of each overlaps the upper edge of the plank next below it like clapboards on a house. See Lapstreak.
clinkstone |An igneous rock of feldspathic composition, lamellar in structure, and clinking under the hammer. See Phonolite.
clinodiagonal |That diagonal or lateral axis in a monoclinic crystal which makes an oblique angle witch the vertical axis. See Crystallization. -- a.  Pertaining to, or the direction of, the clinidiagonal.
clinodome |See under Dome.
clinographic |Pertaining to that mode of projection in drawing in which the rays of light are supposed to fall obliquely on the plane of projection.
clinoid |Like a bed; -- applied to several processes on the inner side of the sphenoid bone.
clinometer |An instrument for determining the dip of beds or strata, pr the slope of an embankment or cutting; a kind of plumb level. Dana.
clinometric |1. Pertaining to, or ascertained by, the clinometer. 2. Pertaining to the oblique crystalline forms, or to solids which have oblique angles between the axes; as, the clinometric systems.
clinometry |That art or operation of measuring the inclination of strata.
clinopinacoid |The plane in crystals of the monoclinic system which is parallel to the vertical and the inclined lateral (clinidiagonal) axes.
clinorhombic |Possessing the qualities of a prism, obliquely inclined to a rhombic base; monoclinic.
clinostat |An apparatus consisting of a slowly revolving disk, usually regulated by  clockwork, by means of wich the action of external agents, as light and gravity, on growing plants may be regulated or eliminated.
clinquant |Glittering; dressed in, or overlaid with, tinsel finery. [Obs.] Shak.\n\nTinse;l; Dutch gold.
clio |The Muse who presided over history.
clione |A genus of naked pteropods. One species (Clione papilonacea), abundant in the Arctic Ocean, constitutes a part of the food of the Greenland whale. It is sometimes incorrectly called Clio.
clip |1. To embrace, hence; to encompass. O . . . that Neptune's arms, who clippeth thee about, Would bear thee from the knowledge of thyself. Shak. 2. To cut off; as with shears or scissors; as, to clip the hair; to clip coin. Sentenced to have his ears clipped. Macaulay. 3. To curtail; to cut short. All my reports go with the modest truth; No more nor clipped, but so. Shak. In London they clip their words after one manner about the court, another in the city, and a third in the suburbs. Swift.\n\nTo move swiftly; -- usually with indefinite it. Straight flies as chek, and clips it down the wind. Dryden.\n\n1. An embrace. Sir P. Sidney. 2. A cutting; a shearing. 3. The product of a single shearing of sheep; a season's crop of wool. 4. A clasp or holder for letters, papers, etc. 5. An embracing strap for holding parts together; the iron strap, with loop, at the ends of a whiffletree. Knight. 6. (Far.)  A projecting flange on the upper edge of a horseshoe, turned up so as to embrace the lower part of the hoof; -- called also toe clip and beak. Youatt. 7. A blow or stroke with the hand; as, he hit him a clip. [Colloq. U. S.]
clipper |1. One who clips; specifically, one who clips off the edges of coin. The value is pared off from it into the clipper's pocket. Locke. 2. A machine for clipping hair, esp. the hair of horses. 3. (Naut.)  A vessel with a sharp bow, built and rigged for fast sailing. -- Clip\"per-built` (, a. Note: The name was first borne by \"Baltimore clippers\" famous as privateers in the early wars of the United States.
clipping |1. The act of embracing. [Obs.] 2. The act of cutting off, curtailing, or diminishing; the practice of clipping the edges of coins. clipping by Englishmen is robbing the honest man who receives clipped money. Locke. 3. That which is clipped off or out of something; a piece separated by clipping; as, newspaper clippings.
clique |A narrow circle of persons associated by common interests or for the accomplishment of a common purpose; -- generally used in a bad sense.\n\nTo To associate together in a clannish way; to act with others secretly to gain a desired end; to plot; -- used with together.
cliquish |Of or pertaining to a clique; disposed to from cliques; exclusive in spirit. -- Cli\"*quish*ness, n.
cliquism |The tendency to associate in cliques; the spirit of cliques.
clitellus |A thickened glandular portion of the body of the adult earthworm, consisting of several united segments modified for reproductive purposes.
clitoris |A small organ at the upper part of the vulva, homologous to the penis in the male.
clivers |See Cleavers.
clivity |Inclination; ascent or descent; a gradient. [R.]
cloaca |1. A sewer; as, the Cloaca Maxima of Rome. 2. A privy. 3. (Anat.)  The common chamber into which the intestinal, urinary, and generative canals discharge in birds, reptiles, amphibians, and many fishes.
cloacal |Of or pertaining to a cloaca.
cloak |1. A loose outer garment, extending from the neck downwards, and commonly without sleeves. It is longer than a cape, and is worn both by men and by women. 2. That which conceals; a disguise or pretext; an excuse; a fair pretense; a mask; a cover. No man is esteemed any ways considerable for policy who wears religion otherwise than as a cloak. South. Cloak bag, a bag in which a cloak or other clothes are carried; a portmanteau. Shak.\n\nTo cover with, or as with, a cloak; hence, to hide or conceal. Now glooming sadly, so to cloak her matter. Spenser. Syn. -- See Palliate.
cloakedly |In a concealed manner.
cloaking |1. The act of covering with a cloak; the act of concealing anything. To take heed of their dissembings and cloakings. Strype. 2. The material of which of which cloaks are made.
cloakroom |A room, attached to any place of public resort, where cloaks, overcoats, etc., may be deposited for a time.
cloche |An apparatus used in controlling certain kinds of aëroplanes, and consisting principally of a steering column mounted with a universal joint at the base, which is bellshaped and has attached to it the cables for controlling the wing-warping devices, elevator planes, and the like.
clock |1. A machine for measuring time, indicating the hour and other divisions by means of hands moving on a dial plate. Its works are moved by a weight or a spring, and it is often so constructed as to tell the hour by the stroke of a hammer on a bell. It is not adapted, like the watch, to be carried on the person. 2. A watcg, esp. one that strikes. [Obs.] Walton. 3. The striking of a clock. [Obs.] Dryden. 4. A figure or figured work on the ankle or side of a stocking. Swift. Note: The phrases what o'clock it is nine o'clock, etc., are contracted from what of the clock it is nine of the clock, etc. Alarm clock. See under Alarm. -- Astronomical clock. (a) A clock of superior construction, with a compensating pendulum, etc., to measure time with great accuracy, for use in astronomical observatories; -- called a regulator when used by watchmakers as a standard for regulating timepieces. (b) A clock with mechanism for indicating certain astronomical phenomena, as the phases of the moon, position of the sun in the ecliptic, equation of time, etc. -- Electric clock. (a) A clock moved or regulated by electricity or electro-magnetism. (b) A clock connected with an electro-magnetic recording apparatus. -- Ship's clock (Naut.), a clock arranged to strike from one to eight strokes, at half hourly intervals, marking the divisions of the ship's watches. -- Sidereal clock, an astronomical clock regulated to keep sidereal time.\n\nTo ornament with figured work, as the side of a stocking.\n\nTo call, as a hen. See Cluck. [R.]\n\nA large beetle, esp. the European dung beetle (Scarabæus stercorarius).
clocklike |Like a clock or like clockwork; mechanical. Their services are clocklike, to be set Blackward and vorward at their lord's command. B. Jonson.
clockwise |Like the motion of the hands of a clock; -- said of that direction of a rotation about an axis, or about a point in a plane, which is ordinarily reckoned negative.
clockwork |The machinery of a clock, or machinary resembling that of a clock; machinery which produced regularity of movement.
clod |1. A lump or mass, especially of earth, turf, or clay. \"Clods of a slimy substance.\" Carew. \"Clods of iron and brass.\" Milton. \"Clods of blood.\" E. Fairfax. The earth that casteth up from the plow a great clod, is not so good as that which casteth up a smaller clod. Bacon. 2. The ground; the earth; a spot of earth or turf. The clod Where once their sultan's horse has trod. Swift. 3. That which is earthy and of little relative value, as the body of man in comparison with the soul. This cold clod of clay which we carry about with us. T. Burnet. 4. A dull, gross, stupid fellow; a dolt Dryden. 5. A pert of the shoulder of a beef creature, or of the neck piece near the shoulder. See Illust. of Beef.\n\nTo collect into clods, or into a thick mass; to coagulate; to clot; as, clodded gore. See Clot. Clodded in lumps of clay. G. Fletcher.\n\n1. To pelt with clods. Jonson. 2. To throw violently; to hurl. [Scot.] Sir W. Scott.
cloddish |Resembling clods; gross; low; stupid; boorish. Hawthorne. -- Clod\"dish*ness, n.
cloddy |Consisting of clods; full of clods.
clodhopper |A rude, rustic fellow.
clodhopping |Boorish; rude. C. Bronté.
clodpate |A blockhead; a dolt.
clodpated |Stupid; dull; doltish.
clodpoll |A stupid fellow; a dolt. [Written also clodpole.] Shak.
cloff |Formerly an allowance of two pounds in every three hundred weight after the tare and tret are subtracted; now used only in a general sense, of small deductions from the original weight. [Written also clough.] McCulloch.
clog |1. That which hinders or impedes motion; hence, an encumbrance, restraint, or impediment, of any kind. All the ancient, honest, juridical principles and institutions of England are so many clogs to check and retard the headlong course of violence and opression. Burke. 2. A weight, as a log or block of wood, attached to a man or an animal to hinder motion. As a dog . . . but chance breaks loose, And quits his clog. Hudibras. A clog of lead was round my feet. Tennyson. 3. A shoe, or sandal, intended to protect the feet from wet, or to increase the apparent stature, and having, therefore, a very thick sole. Cf. Chopine. In France the peasantry goes barefoot; and the middle sort . . . makes use of wooden clogs. Harvey. Clog almanac, a primitive kind of almanac or calendar, formerly used in England, made by cutting notches and figures on the four edges of a clog, or square piece of wood, brass, or bone; -- called also a Runic staff, from the Runic characters used in the numerical notation. -- Clog dance, a dance performed by a person wearing clogs, or thick-soled shoes. -- Clog dancer.\n\n1. To encumber or load, especially with something that impedes motion; to hamper. The winds of birds were clogged with ace and snow. Dryden. 2. To obstruct so as to hinder motion in or through; to choke up; as, to clog a tube or a channel. 3. To burden; to trammel; to embarrass; to perplex. The commodities are clogged with impositions. Addison. You 'll rue the time That clogs me with this answer. Shak. Syn. -- Impede; hinder; obstruct; embarrass; burden; restrain; restrict.\n\n1. To become clogged; to become loaded or encumbered, as with extraneous matter. In working through the bone, the teeth of the saw will begin to clog. S. Sharp. 2. To coalesce or adhere; to unite in a mass. Move it sometimes with a broom, that the seeds clog not together. Evelyn.
clogginess |The state of being clogged.
clogging |Anything which clogs. Dr. H. More.
cloggy |Clogging, or having power to clog.
cloisonne |Inlaid between partitions: -- said of enamel when the lines which divide the different patches of fields are composed of a kind of metal wire secured to the ground; as distinguished from champlevé enamel, in which the ground is engraved or scooped out to receive the enamel. S. Wells Williams.
cloister |1. An inclosed place. [Obs.] Chaucer. 2. A covered passage or ambulatory on one side of a court; (pl.) the series of such passages on the different sides of any court, esp. that of a monastery or a college. But let my due feet never fail To walk the studious cloister's pale. Milton. 3. A monastic establishment; a place for retirement from the world for religious duties. Fitter for a cloister than a crown. Daniel. Cloister garth (Arch.), the garden or open part of a court inclosed by the cloisters. Syn. -- Cloister, Monastery, Nunnery, Convent, Abbey, Priory. Cloister and convent are generic terms, and denote a place of seclusion from the world for persons who devote their lives to religious purposes. They differ is that the distinctive idea of cloister is that of seclusion from the world, that of convent, community of living. Both terms denote houses for recluses of either sex. A cloister or convent for monks is called a monastery; for nuns, a nunnery. An abbey is a convent or monastic institution governed by an abbot or an abbess; a priory is one governed by a prior or a prioress, and is usually affiliated to an abbey.\n\nTo confine in, or as in, a cloister; to seclude from the world; to immure. None among them are throught worthy to be styled religious persons but those that cloister themselves up in a monastery. Sharp.
cloisteral |Cloistral. [Obs.] I. Walton.
cloistered |1. Dwelling in cloisters; solitary. \"Cloistered friars and vestal nuns.\" Hudibras. In cloistered state let selfish sages dwell, Proud that their heart is narrow as their cell. Shenstone. 2. Furnished with cloisters. Sir H. Wotton.
cloisterer |One belonging to, or living in, a cloister; a recluse.
cloistral |Of, pertaining to, or confined in, a cloister; recluse. [Written also cloisteral.] Best become a cloistral exercise. Daniel.
cloistress |A nun. [R.] Shak.
cloke |See Cloak. [Obs.]
clomb |imp. & p. p. of Climb (for climbed). [Obs.] The sonne, he sayde, is clomben up on hevene. Chaucer.
clomben |imp. & p. p. of Climb (for climbed). [Obs.] The sonne, he sayde, is clomben up on hevene. Chaucer.
clomp |See Clamp.
clong |imp. of Cling. [Obs.]
clonic |Having an irregular, convulsive motion. Dunglison. Clonic spasm. (Med.) See under Spasm.
clonus |A series of muscular contractions due to sudden stretching of the muscle, -- a sign of certain neuropathies.
cloom |To close with glutinous matter. [Obs.] Mortimer.
cloop |The sound made when a cork is forcibly drawn from a bottle. \"The cloop of a cork wrenched from a bottle.\" Thackeray.
cloot |1. One of the divisions of a cleft hoof, as in the ox; also, the whole hoof. 2.  The Devil; Clootie; -- usually in the pl.  Burns.
clootie |1.  A little hoof. 2.  The Devil. \"Satan, Nick, or Clootie.\"  Burns.
close |1. To stop, or fill up, as an opening; to shut; as, to close the eyes; to close a door. 2. To bring together the parts of; to consolidate; as, to close the ranks of an army; -- often used with up. 3. To bring to an end or period; to conclude; to complete; to finish; to end; to consummate; as, to close a bargain; to close a course of instruction. One frugal supper did our studies close. Dryden. 4. To come or gather around; to inclose; to encompass; to confine. The depth closed me round about. Jonah ii. 5. But now thou dost thyself immure and close In some one corner of a feeble heart. Herbert. A closed sea, a sea within the jurisdiction of some particular nation, which controls its navigation.\n\n1. To come together; to unite or coalesce, as the parts of a wound, or parts separated. What deep wounds ever closed without a scar Byron. 2. To end, terminate, or come to a period; as, the debate closed at six o'clock. 3. To grapple; to engange in hand-to-hand fight. They boldly closed in a hand-to-hand contest. Prescott. To close on or upon, to come to a mutual agreement; to agree on or join in. \"Would induce France and Holland to close upon some measures between them to our disadvantage.\" Sir W. Temple. -- To close with. (a) To accede to; to consent or agree to; as, to close with the terms proposed. (b) To make an agreement with. -- To close with the land (Naut.), to approach the land.\n\n1. The manner of shutting; the union of parts; junction. [Obs.] The doors of plank were; their close exquisite. Chapman. 2. Conclusion; cessation; ending; end. His long and troubled life was drawing to a close. Macaulay. 3. A grapple in wrestling. Bacon. 4. (Mus.) (a) The conclusion of a strain of music; cadence. (b) A double bar marking the end. At every close she made, the attending throng Replied, and bore the burden of the song. Dryden. Syn. -- Conclusion; termination; cessation; end; ending; extremity; extreme.\n\n1. An inclosed place; especially, a small field or piece of land surrounded by a wall, hedge, or fence of any kind; -- specifically, the precinct of a cathedral or abbey. Closes surrounded by the venerable abodes of deans and canons. Macaulay. 2. A narrow passage leading from a street to a court, and the houses within. [Eng.] Halliwell 3. (Law)  The interest which one may have in a piece of ground, even though it is not inclosed. Bouvier.\n\n1. Shut fast; closed; tight; as, a close box. From a close bower this dainty music flowed. Dryden. 2. Narrow; confined; as, a close alley; close quarters. \"A close prison.\" Dickens. 3. Oppressive; without motion or ventilation; causing a feeling of lassitude; -- said of the air, weather, etc. If the rooms be low-roofed, or full of windows and doors, the one maketh the air close, . . . and the other maketh it exceeding unequal. Bacon. 4. Strictly confined; carefully quarded; as, a close prisoner. 5. Out of the way observation; secluded; secret; hidden. \"He yet kept himself close because of Saul.\" 1 Chron. xii. 1 \"Her close intent.\" Spenser. 6. Disposed to keep secrets; secretive; reticent. \"For servecy, no lady closer.\" Shak. 7. Having the parts near each other; dense; solid; compact; as applied to bodies; viscous; tenacious; not volatile, as applied to liquids. The golden globe being put into a press, . . . the water made itself way through the pores of that very close metal. Locke. 8. Concise; to the point; as, close reasoning. \"Where the original is close no version can reach it in the same compass.\" Dryden. 9. Adjoining; near; either in space; time, or thought; -- often followed by to. Plant the spring crocuses close to a wall. Mortimer. The thought of the Man of sorrows seemed a very close thing -- not a faint hearsay. G. Eliot. 10. Short; as, to cut grass or hair close. 11. Intimate; familiar; confidential. League with you I seek And mutual amity, so strait, so close, That I with you must dwell, or you with me. Milton. 12. Nearly equal; almost evenly balanced; as, a close vote. \"A close contest.\" Prescott. 13. Difficult to obtain; as, money is close. Bartlett. 14. Parsimonious; stingy. \"A crusty old fellow, as close as a vise.\" Hawthorne. 15. Adhering strictly to a standard or original; exact; strict; as, a close translation. Locke. 16. Accurate; careful; precise; also, attentive; undeviating; strict; not wandering; as, a close observer. 17. (Phon.)  Uttered with a relatively contracted opening of the mouth, as certain sounds of e and o in French, Italian, and German; -- opposed to open. Close borough. See under Borough. -- Close breeding. See under Breeding. -- Close communion, communion in the Lord's supper, restricted to those who have received baptism by immersion. -- Close corporation, a body or corporation which fills its own vacancies. -- Close fertilization. (Bot.) See Fertilization. -- Close harmony (Mus.), compact harmony, in which the tones composing each chord are not widely distributed over several octaves. -- Close time, a fixed period during which killing game or catching certain fish is prohibited by law. -- Close vowel (Pron.), a vowel which is pronounced with a diminished aperture of the lips, or with contraction of the cavity of the mouth. -- Close to the wind (Naut.), directed as nearly to the point from which the wind blows as it is possible to sail; closehauled; -- said of a vessel.\n\n1. In a close manner. 2. Secretly; darkly. [Obs.] A wondrous vision which did close imply The course of all her fortune and posterity. Spenser.
close-banded |Closely united.
close-barred |Firmly barred or closed.
