mostahiba |See Mustaiba.
muff |1. A soft cover of cylindrical form, usually of fur, worn by women to shield the hands from cold. 2. (Mech.)  A short hollow cylinder surrounding an object, as a pipe. 3. (Glass Manuf.)  A blown cylinder of glass which is afterward flattened out to make a sheet. 4. Etym: [Perhaps a different word; cf. Prov. E. maffle to slammer.]  A stupid fellow; a poor-spirited person. [Colloq.] \"A muff of a curate.\" Thackeray. 5. Etym: [See 4.] (Baseball)  A failure to hold a ball when once in the hands. 6. (Zoöl.)  The whitethroat. [Prov. Eng.]\n\nTo handle awkwardly; to fumble; to fail to hold, as a ball, in catching it.
muffetee |A small muff worn over the wrist. [Prov. Eng.] Halliwell.
muffin |A light, spongy, cylindrical cake, used for breakfast and tea.
muffineer |A dish for keeping muffins hot.
muffish |Stupid; awkward. [Colloq.]
muffle |The bare end of the nose between the nostrils; -- used esp. of ruminants.\n\n1. To wrap up in something that conceals or protects; to wrap, as the face and neck, in thick and disguishing folds; hence, to conceal or cover the face of; to envelop; to inclose; -- often with up. South. The face lies muffled up within the garment. Addison. He muffled with a cloud his mournful eyes. Dryden. Muffled up in darkness and superstition. Arbuthnot. 2. To prevent seeing, or hearing, or speaking, by wraps bound about the head; to blindfold; to deafen. 3. To wrap with something that dulls or deadens the sound of; as, to muffle the strings of a drum, or that part of an oar which rests in the rowlock.\n\nTo speak indistinctly, or without clear articulation.\n\n1. Anything with which another thing, as an oar or drum, is muffled; also, a boxing glove; a muff. 2. (Metal.)  An earthenware compartment or oven, often shaped like a half cylinder, used in furnaces to protect objects heated from the direct action of the fire, as in scorification of ores, cupellation of ore buttons, etc. 3. (Ceramics)  A small oven for baking and fixing the colors of painted or printed pottery, without exposing the pottery to the flames of the furnace or kiln. 4. A pulley block containing several sheaves. Knight.
muffler |1. Anything used in muffling; esp., a scarf for protecting the head and neck in cold weather; a tippet. Fortune is painted blind, with a muffler above her eyes. Shak. 2. (Mus.)  A cushion for terminating or softening a note made by a stringed instrument with a keyboard. 3. A kind of mitten or boxing glove, esp. when stuffed. 4. One who muffles.
muflon |See Mouflon.
mufti |An official expounder of Mohammedan law.\n\nCitizen's dress when worn by a naval or military officer; -- a term derived from the British service in India. [Colloq. Eng.]
mug |1. A kind of earthen or metal drinking cup, with a handle, -- usually cylindrical and without a lip. 2. The face or mouth. [Slang] Thackeray.
muggar |The common crocodile (Crocodilus palustris) of India, the East Indies, etc. It becomes twelve feet or more long.
muggard |Sullen; displeased. [Obs.]
mugger |The common crocodile (Crocodilus palustris) of India, the East Indies, etc. It becomes twelve feet or more long.
mugget |The small entrails of a calf or a hog.
mugginess |The condition or quality of being muggy.
muggins |1. A game of dominoes in which the object is to make the sum of the two ends of the line some multiple of five. 2.  A game at cards which depends upon building in suits or matching exposed cards, the object being to get rid of one's cards.\n\nIn certain games, to score against, or take an advantage over (an opponent), as for an error, announcing the act by saying \"muggins.\",
  "silly |1. Happy; fortunate; blessed. [Obs.] Chaucer. 2. Harmless; innocent; inoffensive. [Obs.] \"This silly, innocent Custance.\" Chaucer. The silly virgin strove him to withstand. Spenser. A silly, innocent hare murdered of a dog. Robynson (More's Utopia). 3. Weak; helpless; frail. [Obs.] After long storms . . . With which my silly bark was tossed sore. Spenser. The silly buckets on the deck. Coleridge. 4. Rustic; plain; simple; humble. [Obs.] A fourth man, in a sillyhabit. Shak. All that did their silly thoughts so busy keep. Milton. 5. Weak in intellect; destitute of ordinary strength of mind; foolish; witless; simple; as, a silly woman. 6. Proceeding from want of understanding or common judgment; characterized by weakness or folly; unwise; absurd; stupid; as, silly conduct; a silly question. Syn. -- Simple; brainless; witless; shallow; foolish; unwise; indiscreet. See Simple.
muggish |See Muggy.
muggletonian |One of an extinct sect, named after Ludovic Muggleton, an English journeyman tailor, who (about 1657) claimed to be inspired. Eadie.
muggur |The common crocodile (Crocodilus palustris) of India, the East Indies, etc. It becomes twelve feet or more long.
muggy |1. Moist; damp; moldy; as, muggy straw. 2. Warm, damp, and close; as, muggy air, weather.
mughouse |An alehouse; a pothouse. Tickel.
mugiency |A bellowing. [Obs.]
mugient |Lowing; bellowing. [Obs.] Sir T. Browne.
mugil |A genus of fishes including the gray mullets. See Mullet.
mugiloid |Like or pertaining to the genus Mugil, or family Mugilidæ.
mugweed |A slender European weed (Galium Cruciata); -- called also crossweed.
mugwort |A somewhat aromatic composite weed (Artemisia vulgaris), at one time used medicinally; -- called also motherwort.
mugwump |A bolter from the Republican party in the national election of 1884; an Independent. [Political Cant, U.S.]
mugwumpery |The acts and views of the mugwumps. [Political Cant, U.S.]
mugwumpism |The acts and views of the mugwumps. [Political Cant, U.S.]
muhammadan |Mohammedan.
muhammadanism |Mohammedanism.
muhammedan |Mohammedan.
muharram |1. The first month of the Mohammedan year. Whitworth. 2. A festival of the Shiah sect of the Mohammedans held during the first ten days of the month Mohurrum.
mulada |A moor. [Scot.] Lockhart.\n\nA drove of mules. [Southwest. U.S.]
mulatto |The offspring of a negress by a white man, or of a white woman by a negro, -- usually of a brownish yellow complexion.
mulattress |A female mulatto. G. W. Gable.
mulberry |1. (Bot.)  The berry or fruit of any tree of the genus Morus; also, the tree itself. See Morus. 2. A dark pure color, like the hue of a black mulberry. Mulberry mass. (Biol.) See Morula. -- Paper mulberry, a tree (Broussonetia papyrifera), related to the true mulberry, used in Polynesia for making tapa cloth by macerating and pounding the inner bark, and in China and Japan for the manufacture of paper. It is seen as a shade tree in America.
mulberry-faced |Having a face of a mulberry color, or blotched as if with mulberry stains.
mulch |Half-rotten straw, or any like substance strewn on the ground, as over the roots of plants, to protect from heat, drought, etc., and to preserve moisture.\n\nTo cover or dress with mulch.
mulct |1. A fine or penalty, esp. a pecuniary punishment or penalty. 2. A blemish or defect. [Obs.] Syn. -- Amercement; forfeit; forfeiture; penalty.\n\n1. To punish for an offense or misdemeanor by imposing a fine or forfeiture, esp. a pecuniary fine; to fine. 2. Hence, to deprive of; to withhold by way of punishment or discipline. [Obs.]
mulctary |Imposing a pecuniary penalty; consisting of, or paid as, a fine. Fines, or some known mulctuary punishments. Sir W. Temple.
mulctuary |Imposing a pecuniary penalty; consisting of, or paid as, a fine. Fines, or some known mulctuary punishments. Sir W. Temple.
mule |1. (Zoöl.)  A hybrid animal; specifically, one generated between an ass and a mare, sometimes a horse and a she-ass. See Hinny. Note: Mules are much used as draught animals. They are hardy, and proverbial for stubbornness. 2. (Bot.)  A plant or vegetable produced by impregnating the pistil of one species with the pollen or fecundating dust of another; -- called also hybrid. 3. A very stubborn person. 4. A machine, used in factories, for spinning cotton, wool, etc., into yarn or thread and winding it into cops; -- called also jenny and mule-jenny. Mule armadillo (Zoöl.), a long-eared armadillo (Tatusia hybrida), native of Buenos Ayres; -- called also mulita. See Illust. under Armadillo. -- Mule deer (Zoöl.), a large deer (Cervus, or Cariacus, macrotis) of the Western United States. The name refers to its long ears. -- Mule pulley (Mach.), an idle pulley for guiding a belt which transmits motion between shafts that are not parallel. -- Mule twist, cotton yarn in cops, as spun on a mule; -- in distinction from yarn spun on a throstle frame.
mule killer |Any of several arthropods erroneously supposed to kill live stock, in the southern United States, by stinging or by being swallowed; as: (a) A whip scorpion. [Florida] (b) A walking-stick insect. [Texas] (c) A mantis. (d) A wheel bug.
mule-jenny |See Mule, 4.
muleteer |One who drives mules.
mulewort |A fern of the genus Hemionitis.
muley |A stiff, long saw, guided at the ends but not stretched in a gate. Muley axle (Railroad), a car axle without collars at the outer ends of the journals. Forney.\n\nSee Mulley.
muliebrity |1. The state of being a woman or of possessing full womanly powers; womanhood; -- correlate of virility. 2. Hence: Effeminancy; softness.
mulier |1. A woman. 2. (Law) (a) Lawful issue born in wedlock, in distinction from an elder brother born of the same parents before their marriage; a lawful son. (b) (Civ. Law) A woman; a wife; a mother. Blount. Cowell.
mulierly |In the manner or condition of a mulier; in wedlock; legitimately. [Obs.]
mulierose |Fond of woman. [R.] Charles Reade.
mulierosity |A fondness for women. [R.] Dr. H. More.
mulierty |Condition of being a mulier; position of one born in lawful wedlock.
mulish |Like a mule; sullen; stubborn. -- Mul\"ish*ly, adv. -- Mul\"ish*ness, n.
mull |A thin, soft kind of muslin.\n\n1. A promontory; as, the Mull of Cantyre. [Scot.] 2. A snuffbox made of the small end of a horn.\n\nDirt; rubbish. [Obs.] Gower.\n\nTo powder; to pulverize. [Prov. Eng.]\n\nTo work (over) mentally; to cogitate; to ruminate; -- usually with over; as, to mull over a thought or a problem. [Colloq. U.S.]\n\nAn inferior kind of madder prepared from the smaller roots or the peelings and refuse of the larger.\n\n1. To heat, sweeten, and enrich with spices; as, to mull wine. New cider, mulled with ginger warm. Gay. 2. To dispirit or deaden; to dull or blunt. Shak.
mulla |Same as Mollah.
mullagatawny |An East Indian curry soup.
mullah |See Mollah.
mullar |A die, cut in intaglio, for stamping an ornament in relief, as upon metal.
mullein |Any plant of the genus Verbascum. They are tall herbs having coarse leaves, and large flowers in dense spikes. The common species, with densely woolly leaves, is Verbascum Thapsus. Moth mullein. See under Moth. -- Mullein foxglove, an American herb (Seymeria macrophylla) with coarse leaves and yellow tubular flowers with a spreading border. -- Petty mullein, the cowslip. Dr. Prior.
mullen |See Mullein.
muller |1. One who, or that which, mulls. 2. A vessel in which wine, etc., is mulled over a fire.\n\nA stone or thick lump of glass, or kind of pestle, flat at the bottom, used for grinding pigments or drugs, etc., upon a slab of similar material.
mullerian |Of, pertaining to, or discovered by, Johannes Müller. Müllerian ducts (Anat.), a pair of embryonic ducts which give rise to the genital passages in the female, but disappear in the male. -- Müllerian fibers (Anat.), the sustentacular or connective-tissue fibers which form the framework of the retina.
mullet |1. (Zoöl.)  Any one of numerous fishes of the genus Mugil; -- called also gray mullets. They are found on the coasts of both continents, and are highly esteemed as food. Among the most valuable species are Mugil capito of Europe, and M. cephalus which occurs both on the European and American coasts. 2. (Zoöl.)  Any species of the genus Mullus, or family Mullidæ; called also red mullet, and surmullet, esp. the plain surmullet (Mullus barbatus), and the striped surmullet (M. surmulletus) of Southern Europe. The former is the mullet of the Romans. It is noted for the brilliancy of its colors. See Surmullet. French mullet. See Ladyfish (a).\n\nA star, usually five pointed and pierced; -- when used as a difference it indicates the third son.\n\nSmall pinchers for curling the hair. [Obs.] B. Jonson.
mulley |1. A mulley or polled animal. [U. S.] 2. A cow. [Prov. Eng.; U.S., a child's word.] Leave milking and dry up old mulley, thy cow. Tusser.\n\nDestitute of horns, although belonging to a species of animals most of which have horns; hornless; polled; as, mulley cattle; a mulley (or moolley) cow. [U. S.] [Written also muley.]
mulligatawny |See Mullagatawny.
mulligrubs |1. A griping of the intestines; colic. [Slang] Whose dog lies sick of the mulligrubs Beau. & Fl. 2. Hence, sullenness; the sulks. [Slang]
mullingong |See Duck mole, under Duck. [Written also mollingong.]
mullion |(a) A slender bar or pier which forms the division between the lights of windows, screens, etc. (b) An upright member of a framing. See Stile.\n\nTo furnish with mullions; to divide by mullions.
mullock |Rubbish; refuse; dirt. [Obs.] All this mullok [was] in a sieve ythrowe. Chaucer.
mulloid |Like or pertaining to the genus Mullus, which includes the surmullet, or red mullet.
mulmul |A fine, soft muslin; mull.
mulse |Wine boiled and mingled with honey.
mult- |See Multi-.\n\nA prefix signifying much or many; several; more than one; as, multiaxial, multocular.
multangular |Having many angles. -- Mul*tan\"gu*lar*ly, adv. -- Mul*tan\"gu*lar*ness, n.
multanimous |Many-minded; many-sided. The multanimous nature of the poet. J. R. Lowell.
multarticulate |Having many articulations or joints.
multeity |Multiplicity. [R.] Coleridge.
multi- |A prefix signifying much or many; several; more than one; as, multiaxial, multocular.
multiaxial |Having more than one axis; developing in more than a single line or plain; -- opposed to Ant: monoaxial.
multicapsular |Having many, or several, capsules.
multicarinate |Many-keeled.
multicavous |Having many cavities.
multicellular |Consisting of, or having, many cells or more than one cell.
multicentral |Having many, or several, centers; as, a multicentral cell. Multicental development (Biol.), growth, or development, from several centers. According as the insubordination to a single center is more or less pronounced, the resultant organism will be more or less irregular in form and may even discontinuous.
multicipital |Having many heads or many stems from one crown or root. Gray.
multicolor |Having many, or several, colors.
multicostate |Having numerous ribs, or costæ, as the leaf of a plant, or as certain shells and corals.
multicuspid |Multicuspidate; -- said of teeth.
multicuspidate |Having many cusps or points.
multidentate |Having many teeth, or toothlike processes.
multidigitate |Having many fingers, or fingerlike processes.
multifaced |Having many faces.
multifarious |1. Having multiplicity; having great diversity or variety; of various kinds; diversified; made up of many differing parts; manifold. There is a multifarious artifice in the structure of the meanest animal. Dr. H. More. 2. (Bot.)  Having parts, as leaves, arranged in many vertical rows.
multifariously |With great multiplicity and diversity; with variety of modes and relations.
multifariousness |1. Multiplied diversity. 2. (Law)  The fault of improperly uniting in one bill distinct and independent matters, and thereby confounding them. Burrill.
multiferous |Bearing or producing much or many. [R.]
multifid |Having many segments; cleft into several parts by linear sinuses; as, a multifid leaf or corolla.
multiflorous |Having many flowers.
multiflue |Having many flues; as, a multiflue boiler. See Boiler.
multifoil |An ornamental foliation consisting of more than five divisions or foils. [R.] See Foil.\n\nHaving more than five divisions or foils.
multifold |Many times doubled; manifold; numerous.
multiform |Having many forms, shapes, or appearances. A plastic and multiform unit. Hare.
multiformity |The quality of being multiform; diversity of forms; variety of appearances in the same thing. Purchas.
multiformous |Multiform. [Obs.]
multigenerous |Having many kinds.
multigranulate |Having, or consisting of, many grains.
multigraph |A combined rotary type-setting and printing machine for office use. The type is transferred semi-automatically by means of keys from a type-supply drum to a printing drum. The printing may be done by means of an inked ribbon to print \"typewritten\" letters, or directly from inked type or a stereotype plate, as in a printing press.
multijugate |Having many pairs of leaflets.
multijugous |1. Consisting of many parts. 2. (Bot.)  Same as Multijugate.
multilateral |Having many sides; many-sided.
multilineal |Having many lines. Steevens.
multilobar |Consisting of, or having, many lobes.
multilocular |Having many or several cells or compartments; as, a multilocular shell or capsule.
multiloquence |Quality of being multiloquent; use of many words; talkativeness.
multiloquent |Speaking much; very talkative; loquacious.
multiloquous |Speaking much; very talkative; loquacious.
multiloquy |Excess of words or talk. [R.]
multinodate |Having many knots or nodes.
multinodous |Same as Multinodate.
multinomial |Same as Polynomial.
multinominal |Having many names or terms.
multinominous |Having many names or terms.
multinuclear |Containing many nuclei; as, multinuclear cells.
multinucleate |Multinuclear.
multinucleated |Multinuclear.
multiparous |Producing many, or more than one, at a birth.
multipartite |Divided into many parts; having several parts.
multiped |An insect having many feet, as a myriapod.\n\nHaving many feet.
multiphase |Having many phases; specif. (Elec.),  pertaining to, or designating, a generator producing, or any system conveying or utilizing, two or more waves of pressure, or electromotive force, not in phase with each other; polyphase.
multiplane |Having several or many planes or plane surfaces; as, a multiplane kite.\n\nAn aëroplane with three or more superposed main planes.
multiple |Containing more than once, or more than one; consisting of more than one; manifold; repeated many times; having several, or many, parts. Law of multiple proportion (Chem.), the generalization that when the same elements unite in more than one proportion, forming two or more different compounds, the higher proportions of the elements in such compounds are simple multiplies of the lowest proportion, or the proportions are connected by some simple common factor; thus, iron and oxygen unite in the proportions FeO, Fe2O3, Fe3O4, in which compounds, considering the oxygen, 3 and 4 are simple multiplies of 1. Called also the Law of Dalton, from its discoverer. -- Multiple algebra, a branch of advanced mathematics that treats of operations upon units compounded of two or more unlike units. -- Multiple conjugation (Biol.), a coalescence of many cells (as where an indefinite number of amoeboid cells flow together into a single mass) from which conjugation proper and even fertilization may have been evolved. -- Multiple fruits. (Bot.) See Collective fruit, under Collective. -- Multiple star (Astron.), several stars in close proximity, which appear to form a single system.\n\nA quantity containing another quantity a number of times without a remainder. Note: A common multiple of two or more numbers contains each of them a number of times exactly; thus, 24 is a common multiple of 3 and 4. The least common multiple is the least number that will do this; thus, 12 is the least common multiple of 3 and 4.
multiplex |Manifold; multiple.
multipliable |Capable of being multiplied. -- Mul\"ti*pli`a*ble*ness, n.
multiplicable |Capable of being multiplied; multipliable.
multiplicand |The number which is to be multiplied by another number called the multiplier. See Note under Multiplication.
multiplicate |Consisting of many, or of more than one; multiple; multifold. Multiplicate flower (Bot.), a flower that is double, or has an unusual number of petals in consequence of the abnormal multiplication of the parts of the floral whorls.
multiplication |1. The act or process of multiplying, or of increasing in number; the state of being multiplied; as, the multiplication of the human species by natural generation. The increase and multiplication of the world. Thackeray. 2. (Math.)  The process of repeating, or adding to itself, any given number or quantity a certain number of times; commonly, the process of ascertaining by a briefer computation the result of such repeated additions; also, the rule by which the operation is performed; -- the reverse of division. Note: The word multiplication is sometimes used in mathematics, particularly in multiple algebra, to denote any distributive operation expressed by one symbol upon any quantity or any thing expressed by another symbol. Corresponding extensions of meaning are given to the words multiply, multiplier, multiplicand, and product. Thus, since f(x + y) = fx + fy (see under Distributive), where f(x + y), fx, and fy indicate the results of any distributive operation represented by the symbol f upon x + y, x, and y, severally, then because of many very useful analogies f(x + y) is called the product of f and x + y, and the operation indicated by f is called multiplication. Cf. Facient, n., 2. 3. (Bot.)  An increase above the normal number of parts, especially of petals; augmentation. 4. The art of increasing gold or silver by magic, -- attributed formerly to the alchemists. [Obs.] Chaucer. Multiplication table, a table giving the product of a set of numbers multiplied in some regular way; commonly, a table giving the products of the first ten or twelve numbers multiplied successively by 1, 2, 3, etc., up to 10 or 12.
multiplicative |Tending to multiply; having the power to multiply, or incease numbers.
multiplicatively |So as to multiply.
multiplicator |The number by which another number is multiplied; a multiplier.
multiplicious |Manifold. [Obs.]
multiplicity |The quality of being multiple, manifold, or various; a state of being many; a multitude; as, a multiplicity of thoughts or objects. \"A multiplicity of goods.\" South.
multiplier |1. One who, or that which, multiplies or increases number. 2. (Math.)  The number by which another number is multiplied. See the Note under Multiplication. 3. (Physics)  An instrument for multiplying or increasing by repetition or accumulation the intensity of a force or action, as heat or electricity. It is particularly used to render such a force or action appreciable or measurable when feeble. See Thermomultiplier.
multiply |1. To increase in number; to make more numerous; to add quantity to. Impunity will multiply motives to disobedience. Ames. 2. (Math.)  To add (any given number or quantity) to itself a certain number of times; to find the product of by multiplication; thus 7 multiplied by 8 produces the number 56; to multiply two numbers. See the Note under Multiplication. 3. To increase (the amount of gold or silver) by the arts of alchemy. [Obs.] Multiplying gear (Mach.), gear for increasing speed. -- Multiplying lens. (Opt.) See under Lens.\n\n1. To become greater in number; to become numerous. When men began to multiply on the face of the earth, and daughters were born unto them. Gen. vi. 1. 2. To increase in extent and influence; to spread. The word of God grew and multiplied. Acts xii. 24. 3. To increase amount of gold or silver by the arts of alchemy. [Obs.] Chaucer.
multipolar |Having many poles; -- applied especially to those ganglionic nerve cells which have several radiating processes.
multipotent |Having manifold power, or power to do many things. \"Jove multipotent.\" Shak.
multipresence |The state or power of being multipresent. The multipresence of Christ's body. Bp. Hall.
multipresent |Being, or having the power to be, present in two or more places at once.
multiradiate |Having many rays.
multiramified |Divided into many branches.
multiramose |Having many branches.
multiscious |Having much or varied knowledge. [Obs.]
multisect |Divided into many similar segments; -- said of an insect or myriapod.
multiseptate |Divided into many chambers by partitions, as the pith of the pokeweed.
multiserial |Arranged in many rows, or series, as the scales of a pine cone, or the leaves of the houseleek.
multisiliquous |Having many pods or seed vessels.
multisonous |Having many sounds, or sounding much.
multispiral |Having numerous spiral coils round a center or nucleus; -- said of the opercula of certain shells.
multistriate |Having many streaks.
multisulcate |Having many furrows.
multisyllable |A word of many syllables; a polysyllable. [R.] -- Mul`ti*syl*lab\"ic, a.
multititular |Having many titles.
multitubular |Having many tubes; as, a multitubular boiler.
multitude |1. A great number of persons collected together; a numerous collection of persons; a crowd; an assembly. But when he saw the multitudes, he was moved with compassion on them. Matt. ix. 36. 2. A great number of persons or things, regarded collectively; as, the book will be read by a multitude of people; the multitude of stars; a multitude of cares. It is a fault in a multitude of preachers, that they uttery neglect method in their harangues. I. Watts. A multitude of flowers As countless as the stars on high. Longfellow. 3. The state of being many; numerousness. They came as grasshoppers for multitude. Judg. vi. 5. The multitude, the populace; the mass of men. Syn. -- Throng; crowd; assembly; assemblage; commonalty; swarm; populace; vulgar. See Throng.
multitudinary |Multitudinous.
multitudinous |1. Consisting of a multitude; manifold in number or condition; as, multitudinous waves. \"The multitudinous seas.\" Shak. A renewed jingling of multitudinous chains. G. Kennan. 2. Of or pertaining to a multitude. \"The multitudinous tongue.\" Shak. -- Mul`ti*tu\"di*nous*ly, adv. -- Mul`ti*tu\"di*nous*ness, n.
multivagant |Wandering much. [Obs.]
multivagous |Wandering much. [Obs.]
multivalence |Quality, state, or degree, of a multivalent element, atom, or radical.
multivalent |(a) Having a valence greater than one, as silicon. (b) Having more than one degree of valence, as sulphur.
multivalve |Any mollusk which has a shell composed of more than two pieces.\n\n1. Having many valves. 2. (Zoöl.)  Many-valved; having more than two valves; -- said of certain shells, as the chitons.
multivalvular |1. Having many valves. 2. (Zoöl.)  Many-valved; having more than two valves; -- said of certain shells, as the chitons.
multiversant |Turning into many shapes; assuming many forms; protean.
multivious |Having many ways or roads; by many ways. [Obs.]
multivocal |Signifying many different things; of manifold meaning; equivocal. \"An ambiguous multivocal word.\" Coleridge. -- n.  A multivocal word. [R.] Fitzed. Hall.
multocular |Having many eyes, or more than two.
multum |An extract of quassia licorice, fraudulently used by brewers in order to economize malt and hops. Craig. Hard multum, a preparation made from Cocculus Indicus, etc., used to impart an intoxicating quality to beer.
multungulate |Having many hoofs.
multure |1. (Scots Law)  The toll for grinding grain. Erskine. 2. A grist or grinding; the grain ground.
mum |Silent; not speaking. Thackeray. The citizens are mum, and speak not a word. Shak.\n\nBe silent! Hush! Mum, then, and no more. Shak.\n\nSilence. [R.] Hudibras.\n\nA sort of strong beer, originally made in Brunswick, Germany. Addison. The clamorous crowd is hushed with mugs of mum. Pope.
mum-chance |1. A game of hazard played with cards in silence. [Obs. or Prov. Eng.] Decker. 2. A silent, stupid person. [Prov. Eng.] Halliwell.\n\nSilent and idle. [Colloq.] Boys can't sit mum-chance always. J. H. Ewing.
mumble |1. To speak with the lips partly closed, so as to render the sounds inarticulate and imperfect; to utter words in a grumbling indistinct manner, indicating discontent or displeasure; to mutter. Peace, you mumbling fool. Shak. A wrinkled hag, with age grown double, Picking dry sticks, and mumbling to herself. Otway. 2. To chew something gently with closed lips.\n\n1. To utter with a low, inarticulate voice. Bp. Hall. 2. To chew or bite gently, as one without teeth. Gums unarmed, to mumble meat in vain. Dryden. 3. To suppress, or utter imperfectly.
mumblenews |A talebearer. [Obs.]
mumbler |One who mumbles.
mumbling |Low; indistinct; inarticulate. -- Mum\"bling*ly, adv.
mumbo jumbo |An object of superstitious homage and fear. Carlyle. The miserable Mumbo Jumbo they paraded. Dickens.
mumm |To sport or make diversion in a mask or disguise; to mask. With mumming and with masking all around. Spenser.
mummer |One who mumms, or makes diversion in disguise; a masker; a buffon. Jugglers and dancers, antics, mummers. Milton.
mummery |1. Masking; frolic in disguise; buffoonery. The mummery of foreign strollers. Fenton. 2. Farcical show; hypocritical disguise and parade or ceremonies. Bacon.
mummichog |Any one of several species of small American cyprinodont fishes of the genus Fundulus, and of allied genera; the killifishes; -- called also minnow. [Written also mummychog, mummachog.]
mummification |The act of making a mummy.
mummified |Converted into a mummy or a mummylike substance; having the appearance of a mummy; withered.
mummiform |Having some resemblance to a mummy; -- in zoölogy, said of the pupæ of certain insects.
mummify |To embalm and dry as a mummy; to make into, or like, a mummy. Hall (1646).
mummy |1. A dead body embalmed and dried after the manner of the ancient Egyptians; also, a body preserved, by any means, in a dry state, from the process of putrefaction. Bacon. 2. Dried flesh of a mummy. [Obs.] Sir. J. Hill. 3. A gummy liquor that exudes from embalmed flesh when heated; -- formerly supposed to have magical and medicinal properties. [Obs.] Shak. Sir T. Herbert. 4. A brown color obtained from bitumen. See Mummy brown (below). 5. (Gardening)  A sort of wax used in grafting, etc. 6. One whose affections and energies are withered. Mummy brown, a brown color, nearly intermediate in tint between burnt umber and raw umber. A pigment of this color is prepared from bitumen, etc., obtained from Egyptian tombs. -- Mummy wheat (Bot.), wheat found in the ancient mummy cases of Egypt. No botanist now believes that genuine mummy wheat has been made to germinate in modern times. -- To beat to a mummy, to beat to a senseless mass; to beat soundly.\n\nTo embalm; to mummify.
mummychog |See Mummichog.
mump |1. To move the lips with the mouth closed; to mumble, as in sulkiness. He mumps, and lovers, and hangs the lip. Taylor, 1630. 2. To talk imperfectly, brokenly, or feebly; to chatter unintelligibly. 3. To cheat; to deceive; to play the beggar. And then when mumping with a sore leg, ... canting and whining. Burke. 4. To be sullen or sulky. [Prov. Eng.]\n\n1. To utter imperfectly, brokenly, or feebly. Old men who mump their passion. Goldsmith. 2. To work over with the mouth; to mumble; as, to mump food. 3. To deprive of (something) by cheating; to impose upon.
mumper |A beggar; a begging impostor. Deceived by the tales of a Lincoln's Inn mumper. Macaulay.
mumpish |Sullen, sulky. -- Mump\"ish*ly, adv. -- Mump\"ish*ness, n.
mumps |1. pl.  Sullenness; silent displeasure; the sulks. Skinner. 2. Etym: [Prob. so called from the patient's appearance.] (Med.)  A specific infectious febrile disorder characterized by a nonsuppurative inflammation of the parotid glands; epidemic or infectious parotitis.
mun |The mouth. [Obs.] One a penny, two a penny, hot cross buns, Butter them and sugar them and put them in your muns. Old Rhyme. Halliwell.
munch |To chew with a grinding, crunching sound, as a beast chews provender; to chew deliberately or in large mouthfuls. [Formerly written also maunch and mounch.] I could munch your good dry oats. Shak.
munchausenism |An extravagant fiction embodying an account of some marvelous exploit or adventure.
muncher |One who munches.
mund |See Mun.
mundane |Of or pertaining to the world; worldly; earthly; terrestrial; as, the mundane sphere. -- Mun\"dane*ly, adv. The defilement of mundane passions. I. Taylor.
mundanity |Worldliness. [Obs.]
mundation |The act of cleansing. [Obs.]
mundatory |Cleansing; having power to cleanse. [Obs.]
mundic |Iron pyrites, or arsenical pyrites; -- so called by the Cornish miners.
mundificant |Serving to cleanse and heal. -- n.  A mundificant ointment or plaster.
mundification |The act or operation of cleansing.
mundificative |Cleansing. -- n.  A detergent medicine or preparation.
mundify |To cleanse. [Obs.]
mundil |A turban ornamented with an imitation of gold or silver embroidery.
mundivagant |Wandering over the world. [R.]
mundungus |A stinking tobacco.
munerary |Having the nature of a gift. [Obs.]
munerate |To remunerate.
muneration |Remuneration. [Obs.]
mung |Green gram, a kind of pulse (Phaseolus Mungo), grown for food in British India. Balfour (Cyc. of India).
munga |See Bonnet monkey, under Bonnet.
mungcorn |Same as Mangcorn.
mungo |A fibrous material obtained by deviling rags or the remnants of woolen goods. Note: Mungo properly signifies the disintegrated rags of woolen cloth, as distinguished from those of worsted, which form shoddy. The distinction is very commonly disregarded. Beck (Draper's Dict. ).
mungoos |See Mongoose.
mungoose |See Mongoose.
mungrel |See Mongrel.
municipal |1. Of or pertaining to a city or a corporation having the right of administering local government; as, municipal rights; municipal officers. 2. Of or pertaining to a state, kingdom, or nation. Municipal law is properly defined to be a rule of civil conduct prescribed by the supreme power in a state. Blackstone.
municipalism |Municipal condition.
municipality |A municipal district; a borough, city, or incorporated town or village.
municipalize |To bring under municipal oversight or control; as, a municipalized industry. London people are now determined to centralize and to municipalize such services. The Century.
municipally |In a municipal relation or condition.
munific |Munificent; liberal. [Obs. or R.]
munificate |To enrich. [Obs.]
munificence |Means of defense; fortification. [Obs.] Spenser.\n\nThe quality or state of being munificent; a giving or bestowing with extraordinary liberality; generous bounty; lavish generosity. The virtues of liberality and munificence. Addison. Syn. -- Benevolence; beneficence; liberality; generosity; bounty; bounteousness. See Benevolence.
munificent |Very liberal in giving or bestowing; lavish; as, a munificent benefactor. -- Mu*nif\"i*cent*ly, adv. Syn. -- Bounteous; bountiful; liberal; generous.
munify |To prepare for defense; to fortify. [Obs.]
