naples yellow |See under Yellow.
necrosis |1. (med.)  Mortification or gangrene of bone, or the death of a bone or portion of a bone in mass, as opposed to its death by molecular disintegration. See Caries. 2. (Bot.)  A disease of trees, in which the branches gradually dry up from the bark to the center.
necrotic |Affected with necrosis; as, necrotic tissue; characterized by, or producing, necrosis; as, a necrotic process.
necrotomy |The dissection of dead bodies; also, excision of necrosed bone. --Nec`ro*tom\"ic (#), a. --Nec*rot\"o*mist (#), n.
nectar |1. (Myth. & Poetic)  The drink of the gods (as ambrosia was their food); hence, any delicious or inspiring beverage. 2. (Bot.)  A sweetish secretion of blossoms from which bees make honey.
nectareal |1. Nectareous. 2. (Bot.)  Of or pertaining to a nectary.
nectarean |Resembling nectar; very sweet and pleasant. \"nectarean juice.\" Talfourd.
nectared |Imbued with nectar; mingled with nectar; abounding with nectar. Milton.
nectareous |Of, pertaining to, containing, or resembling nectar; delicious; nectarean. Pope. -- Nec*ta\"re*ous*ly, adv. -- Nec*ta\"re*ous*ness, n.
nectarial |Of or pertaining to the nectary of a plant.
nectaried |Having a nectary.
nectariferous |Secreting nectar; -- said of blossoms or their parts.
nectarine |Nectareous. [R.] Milton.\n\nA smooth-skinned variety of peach. Spanish nectarine, the plumlike fruit of the West Indian tree Chrysobalanus Icaco; -- also called cocoa plum. it is made into a sweet conserve which a largely exported from Cuba.
nectarize |To mingle or infuse with nectar; to sweeten. [Obs.] Cockeram.
nectarous |Nectareous. Milton.
nectary |That part of a blossom which secretes nectar, usually the base of the corolla or petals; also, the spur of such flowers as the larkspur and columbine, whether nectariferous or not. See the Illustration of Nasturtium.
nectocalyx |(a) The swimming bell or umbrella of a jellyfish of medusa. (b) One of the zooids of certain Siphonophora, having somewhat the form, and the essential structure, of the bell of a jellyfish, and acting as a swimming organ.
nectosac |The cavity of a nectocalyx.
nectosack |The cavity of a nectocalyx.
nectostem |That portion of the axis which bears the nectocalyces in the Siphonophora.
nedder |An adder. [Obs. or Prov. Eng.] Chaucer.
neddy |A pet name for a donkey.
nee |Born; -- a term sometimes used in introducing the name of the family to which a married woman belongs by birth; as, Madame de Staël, née Necker.
need |1. A state that requires supply or relief; pressing occasion for something; necessity; urgent want. And the city had no need of the sun. Rev. xxi. 23. I have no need to beg. Shak. Be governed by your needs, not by your fancy. Jer. Taylor. 2. Want of the means of subsistence; poverty; indigence; destitution. Chaucer. Famine is in thy cheeks; Need and oppression starveth in thine eyes. Shak. 3. That which is needful; anything necessary to be done; (pl.) necessary things; business. [Obs.] Chaucer. 4. Situation of need; peril; danger. [Obs.] Chaucer. Syn. -- Exigency; emergency; strait; extremity; necessity; distress; destitution; poverty; indigence; want; penury. -- Need, Necessity. Necessity is stronger than need; it places us under positive compulsion. We are frequently under the necessity of going without that of which we stand very greatly in need. It is also with the corresponding adjectives; necessitous circumstances imply the direct pressure of suffering; needy circumstances, the want of aid or relief.\n\nTo be in want of; to have cause or occasion for; to lack; to require, as supply or relief. Other creatures all day long Rove idle, unemployed, and less need rest. Milton. Note: With another verb, need is used like an auxiliary, generally in a negative sentence expressing requirement or obligation, and in this use it undergoes no change of termination in the third person singular of the present tense. \"And the lender need not fear he shall be injured.\" Anacharsis (Trans. ).\n\nTo be wanted; to be necessary. Chaucer. When we have done it, we have done all that is in our power, and all that needs. Locke.\n\nOf necessity. See Needs. [Obs.] Chaucer.
needer |One who needs anything. Shak.
needful |1. Full of need; in need or want; needy; distressing. [Archaic] Chaucer. The needful time of trouble. Bk. of Com. Prayer. 2. Necessary for supply or relief; requisite. All things needful for defense abound. Dryden. -- Need\"ful*ly, adv. -- Need\"ful*ness, n.
needily |In a needy condition or manner; necessarily. Chaucer.
neediness |The state or quality of being needy; want; poverty; indigence.
needle |1. A small instrument of steel, sharply pointed at one end, with an eye to receive a thread, -- used in sewing. Chaucer. Note: In some needles(as for sewing machines) the eye is at the pointed end, but in ordinary needles it is at the blunt end. 2. See Magnetic needle, under Magnetic. 3. A slender rod or wire used in knitting; a knitting needle; also, a hooked instrument which carries the thread or twine, and by means of which knots or loops are formed in the process of netting, knitting, or crocheting. 4. (Bot.)  One of the needle-shaped secondary leaves of pine trees. See Pinus. 5. Any slender, pointed object, like a needle, as a pointed crystal, a sharp pinnacle of rock, an obelisk, etc. Dipping needle. See under Dipping. -- Needle bar, the reciprocating bar to which the needle of a sewing machine is attached. -- Needle beam (Arch.), to shoring, the horizontal cross timber which goes through the wall or a pier, and upon which the weight of the wall rests, when a building is shored up to allow of alterations in the lower part. -- Needle furze (Bot.), a prickly leguminous plant of Western Europe; the petty whin (Genista Anglica). -- Needle gun, a firearm loaded at the breech with a cartridge carrying its own fulminate, which is exploded by driving a slender needle, or pin, into it. -- Needle loom (Weaving), a loom in which the weft thread is carried through the shed by a long eye-pointed needle instead of by a shuttle. -- Needle ore (Min.), acicular bismuth; a sulphide of bismuth, lead, and copper occuring in acicular crystals; -- called also aikinite. -- Needle shell (Zoöl.), a sea urchin. -- Needle spar (Min.), aragonite. -- Needle telegraph, a telegraph in which the signals are given by the deflections of a magnetic needle to the right or to the left of a certain position. -- Sea needle (Zoöl.), the garfish.\n\nTo form in the shape of a needle; as, to needle crystals.\n\nTo form needles; to crystallize in the form of needles.
needle-pointed |Pointed as needles.
needlebook |A book-shaped needlecase, having leaves of cloth into which the needles are stuck.
needlecase |A case to keep needles.
needlefish |(a) The European great pipefich (Siphostoma, or Syngnathus, acus); -- called also earl, and tanglefish. (b) The garfish.
needleful |As much thread as is used in a needle at one time.
needler |One who makes or uses needles; also, a dealer in needles. Piers Plowman.
needless |1. Having no need. [Obs.] Weeping into the needless stream. Shak. 2. Not wanted; unnecessary; not requiste; as, needless labor; needless expenses. 3. Without sufficient cause; groundless; cuseless. \"Needless jealousy.\" Shak. -- Need\"less*ly, adv. -- Need\"less*ness, n.
needlestone |Natrolite; -- called also needle zeolite.
needlewoman |A woman who does needlework; a seamstress.
needlework |1. Work executed with a needle; sewed work; sewing; embroidery; also, the business of a seamstress. 2. The combination of timber and plaster making the outside framework of some houses.
needly |Like a needle or needles; as, a needly horn; a needly beard. R. D. Blackmore.\n\nNecessarily; of necessity. [Obs.] hak.
needment |Something needed or wanted. pl.  Outfit; necessary luggage. [Archaic] Spenser. Carrying each his needments. Wordsworth.
needs |Of necessity; necessarily; indispensably; -- often with must, and equivalent to of need. A man must needs love mauger his head. Chaucer. And he must needs go through Samaria. John iv. 4. He would needs know the cause of his reulse. Sir J. Davies.
needscost |Of necessity. [Obs.] Chaucer.
needsly |Of necessity. [Obs.] Drayton.
needy |1. Distressed by want of the means of living; very por; indigent; necessitous. Thou shalt open thy hand wide unto thy brother, to thy poor, and to thy needy in thy land. Deut. xv. 11. Spare the bluches of needly merit. Dr. T. Dwight. 2. Necessary; requiste. [Obs.] Corn to make your needy bread. Shak.
neeld |A needle. [Obs.] Shak.
neele |A needle. [Obs.] Shak.
neelghau |See Nylghau.
neem tree |An Asiatic name for Melia Azadirachta, and M. Azedarach. See Margosa.
neer |Nearer. [Obs.] Chaucer. NE'ER Ne'er ( or ), adv.  a contraction of Never. NE'ER-DO-WELL Ne'er\"-do-well`, n.  A person who never does, or fares, well; a good for nothing. The idle and dissolute ne'er-do-wells of their communities. Harper's Mag.
neese |To sneeze. [Obs.] [Written also neeze.]
neesing |Sneezing. [Obs.] \"By his neesings a light doth shine.\" Job xli. 18.
nef |The nave of a church. Addison.
nefand |Unfit to speak of; unmentionable; impious; execrable. [Obs.] \"Nefand adominations.\" Sheldon. \"Nefandous high treason.\" Cotton Mather.
nefandous |Unfit to speak of; unmentionable; impious; execrable. [Obs.] \"Nefand adominations.\" Sheldon. \"Nefandous high treason.\" Cotton Mather.
nefarious |Wicked in the extreme; abominable; iniquitous; atrociously villainous; execrable; detestably vile. Syn. -- Iniquitous; detestable; horrible; heinious; atrocious; infamous; impious. See Iniquitous. -- Ne*fa\"ri*ous*ly, adv. -- Ne*fa\"ri*ous*ness, n.
nefasch |Any fish of the genus Distichodus. Several large species inhabit the Nile.
nefast |Wicked. [R.]
negation |1. The act of denying; assertion of the nonreality or untruthfulness of anything; declaration that something is not, or has not been, or will not be; denial; -- the opposite of Ant: affirmation. Our assertions and negations should be yea and nay. Rogers. 2. (Logic)  Description or definition by denial, exclusion, or exception; statement of what a thing is not, or has not, from which may be inferred what it is or has.
negative |1. Denying; implying, containing, or asserting denial, negation or refusal; returning the answer no to an inquiry or request; refusing assent; as, a negative answer; a negative opinion; -- opposed to Ant: affirmative. If thou wilt confess, Or else be impudently negative. Shak. Denying me any power of a negative voice. Eikon Basilike. Something between an affirmative bow and a negative shake. Dickens. 2. Not positive; without affirmative statement or demonstration; indirect; consisting in the absence of something; privative; as, a negative argument; a negative morality; negative criticism. There in another way of denying Christ, ... which is negative, when we do not acknowledge and confess him. South. 3. (Logic)  Asserting absence of connection between a subject and a predicate; as, a negative proposition. 4. (Photog.)  Of or pertaining to a picture upon glass or other material, in which the lights and shades of the original, and the relations of right and left, are reversed. 5. (Chem.)  Metalloidal; nonmetallic; -- contracted with positive or basic; as, the nitro group is negative. Note: This word, derived from electro-negative, is now commonly used in a more general sense, when acidiferous is the intended signification. Negative crystal. (a) A cavity in a mineral mass, having the form of a crystal. (b) A crystal which has the power of negative double refraction. See refraction. -- negative electricity (Elec.), the kind of electricity which is developed upon resin or ebonite when rubbed, or which appears at that pole of a voltaic battery which is connected with the plate most attacked by the exciting liquid; -- formerly called resinous electricity. Opposed to Ant: positive electricity. Formerly, according to Franklin's theory of a single electric fluid, negative electricity was supposed to be electricity in a degree below saturation, or the natural amount for a given body. see Electricity. -- Negative eyepiece. (Opt.) see under Eyepiece. -- Negative quantity (Alg.), a quantity preceded by the negative sign, or which stands in the relation indicated by this sign to some other quantity. See Negative sign (below). -- Negative rotation, right-handed rotation. See Right-handed, 3. -- Negative sign, the sign -, or minus (opposed in signification to +, or Ant: plus), indicating that the quantity to which it is prefixed is to be subtracted from the preceding quantity, or is to be reckoned from zero or cipher in the opposite direction to that of quanties having the sign plus either expressed or understood; thus, in a - b, b is to be substracted from a, or regarded as opposite to it in value; and -10° on a thermometer means 10° below the zero of the scale.\n\n1. A proposition by which something is denied or forbidden; a conception or term formed by prefixing the negative particle to one which is positive; an opposite or contradictory term or conception. This is a known rule in divinity, that there is no command that runs in negatives but couches under it a positive duty. South. 2. A word used in denial or refusal; as, not, no. Note: In Old England two or more negatives were often joined together for the sake of emphasis, whereas now such expressions are considered ungrammatical, being chiefly heard in iliterate speech. A double negative is now sometimes used as nearly or quite equivalent to an affirmative. No wine ne drank she, neither white nor red. Chaucer. These eyes that never did nor never shall So much as frown on you. Shak. 3. The refusal or withholding of assents; veto. If a kind without his kingdom be, in a civil sense, nothing, then ... his negative is as good as nothing. Milton. 4. That side of a question which denies or refuses, or which is taken by an opposing or denying party; the relation or position of denial or opposition; as, the question was decided in the negative. 5. (Photog.)  A picture upon glass or other material, in which the light portions of the original are represented in some opaque material (usually reduced silver), and the dark portions by the uncovered and transparent or semitransparent ground of the picture. Note: A negative is chiefly used for producing photographs by means of the sun's light passing through it and acting upon sensitized paper, thus producing on the paper a positive picture. 6. (Elect.)  The negative plate of a voltaic or electrolytic cell. Negative pregnant (Law), a negation which implies an affirmation.\n\n1. To prove unreal or intrue; to disprove. The omission or infrequency of such recitals does not negative the existence of miracles. Paley. 2. To reject by vote; to refuse to enact or sanction; as, the Senate negatived the bill. 3. To neutralize the force of; to counteract.
negatively |1. In a negative manner; with or by denial. \"He answered negatively.\" Boyle. 2. In the form of speech implying the absence of something; -- opposed to positively. negatively, by showing wherein it does not consist, and positively, by showing wherein it does consist. South. Negatively charged or electrified (Elec.), having a charge of the kind of electricity called negative.
negativeness |The quality or state of being negative.
negativity |The quality or state of being negative.
negatory |Expressing denial; belonging to negation; negative. Carlyle.
neginoth |Stringed instruments. Dr. W. Smith. To the chief musician on Neginoth. Ps. iv. 9heading).
neglect |1. Not to attend to with due care or attention; to forbear one's duty in regard to; to suffer to pass unimproved, unheeded, undone, etc.; to omit; to disregard; to slight; as, to neglect duty or business; to neglect to pay debts. I hope My absence doth neglect no great designs. Shak. This, my long suffering and my day of grace, Those who neglect and scorn shall never taste. Milton. 2. To omit to notice; to forbear to treat with attention or respect; to slight; as, to neglect strangers. Syn. -- To slight; overlook; disregard; disesteem; contemn. See Slight.\n\n1. Omission of proper attention; avoidance or disregard of duty, from heedlessness, indifference, or willfulness; failure to do, use, or heed anything; culpable disregard; as, neglect of business, of health, of economy. To tell thee sadly, shepherd, without blame, Or our neglect, we lost her as we came. Milton. 2. Omission if attention or civilities; slight; as, neglect of strangers. 3. Habitual carelessness; negligence. Age breeds neglect in all. Denham. 4. The state of being disregarded, slighted, or neglected. Rescue my poor remains from vile neglect. Prior. Syn. -- Negligence; inattention; disregard; disesteem; remissness; indifference. See Negligence.
neglectedness |The state of being neglected.
neglecter |One who neglects. South.
neglectful |Full of neglect; heedless; careless; negligent; inattentive; indifferent. Pope. A cold and neglectful countenance. Locke. Though the Romans had no great genius for trade, yet they were not entirely neglectful of it. Arbuthnot. -- Neg*lect\"ful*ly, adv. -- Neg*lect\"ful*ness, n.
neglectingly |Carelessly; heedlessly. Shak.
neglection |The state of being negligent; negligence. [Obs.] Shak.
neglective |Neglectful. [R.] \"Neglective of their own children.\" Fuller.
negligee |An easy, unceremonious attire; undress; also, a kind of easy robe or dressing gown worn by women.
negligence |The quality or state of being negligent; lack of due diligence or care; omission of duty; habitual neglect; heedlessness. 2. An act or instance of negligence or carelessness. remarking his beauties, ... I must also point out his negligences and defects. Blair. 3. (Law)  The omission of the care usual under the circumstances, being convertible with the Roman culpa. A specialist is bound to higher skill and diligence in his specialty than one who is not a specialist, and liability for negligence varies acordingly. Contributory negligence. See under Contributory. Syn. -- Neglect; inattention; heedlessness; disregard; slight. -- Negligence, Neglect. These two words are freely interchanged in our older writers; but a distinction has gradually sprung up between them. As now generally used, negligence is the habit, and neglect the act, of leaving things undone or unattended to. We are negligent as a general trait of character; we are guilty of neglect in particular cases, or in reference to individuals who had a right to our attentions.
negligent |Apt to neglect; customarily neglectful; characterized by negligence; careless; heedless; culpably careless; showing lack of attention; as, disposed in negligent order. \"Be thou negligent of fame.\" Swift. He that thinks he can afford to be negligent is not far from being poor. Rambler. Syn. -- Careles; heedless; neglectful; regardless; thoughtless; indifferent; inattentive; remiss.
negligently |In a negligent manner.
negligible |That may neglicted, disregarded, or left out of consideration. Within very negligible limits of error. Sir J. Herschel.
negoce |Business; occupation. [Obs.] Bentley.
negotiability |The quality of being negotiable or transferable by indorsement.
negotiable |Capable of being negotiated; transferable by assigment or indorsement to another person; as, a negotiable note or bill of exchange. Negotiable paper, any commercial paper transferable by sale or delivery and indorsement, as bills of exchange, drafts, checks, and promissory notes.
negotiant |A negotiator. [R.] Sir W. Raleigh.
negotiate |1. To transact business; to carry on trade. [Obs.] Hammond. 2. To treat with another respecting purchase and sale or some business affair; to bargain or trade; as, to negotiate with a man for the purchase of goods or a farm. 3. To hold intercourse respecting a treaty, league, or convention; to treat with, respecting peace or commerce; to conduct communications or conferences. He that negotiates between God and man Is God's ambassador. Cowper. 4. To intrigue; to scheme. [Obs.] Bacon.\n\n1. To carry on negotiations concerning; to procure or arrange for by negotiation; as, to negotiate peace, or an exchange. Constantinople had negotiated in the isles of the Archipelago ... the most indispensable supplies. Gibbon. 2. To transfer for a valuable consideration under rules of commercial law; to sell; to pass. The notes were not negotiated to them in the usual course of business or trade. Kent.
negotiation |1. The act or process of negotiating; a treating with another respecting sale or purchase. etc. 2. Hence, mercantile business; trading. [Obs.] Who had lost, with these prizes, forty thousand pounds, after twenty years' negotiation in the East Indies. Evelyn. 3. The transaction of business between nations; the mutual intercourse of governments by diplomatic agents, in making treaties, composing difference, etc.; as, the negotiations at Ghent. An important negotiation with foreign powers. Macaulay.
negotiator |One who negotiates; a person who treats with others, either as principal or agent, in respect to purchase and sale, or public compacts.
negotiatory |Of or pertaining to negotiation.
negotiatrix |A woman who negotiates. Miss Edgeworth.
negotiosity |The state of being busy; multitude of business. [Obs.]
negotious |Very busy; attentive to business; active. [R.] D. Rogers.
negotiousness |The state of being busily occupied; activity. [R.] D. Rogers.
negress |A black woman; a female negro.
negrita |A blackish fish (Hypoplectrus nigricans), of the Sea-bass family. It is a native of the West Indies and Florida.
negritic |Of or pertaining to negroes; composed of negroes. Keary.
negritos |A degraded Papuan race, inhabiting Luzon and some of the other east Indian Islands. They resemble negroes, but are smaller in size. They are mostly nomads.
negro |A black man; especially, one of a race of black or very dark persons who inhabit the greater part of tropical Africa, and are distinguished by crisped or curly hair, flat noses, and thick protruding lips; also, any black person of unmixed African blood, wherever found.\n\nof or pertaining to negroes; black. Negro bug (Zoöl.), a minute black bug common on the raspberry and blackberry. It produced a very disagreeable flavor. -- negro corn, the Indian millet or durra; -- so called in the West Indies. see Durra. McElrath. -- Negro fly (Zoöl.), a black dipterous fly (Psila rosæ) which, in the larval state, is injurious to carrots; -- called also carrot fly. -- Negro head (Com.), Cavendish tobacco. [Cant] McElrath. -- Negro monkey (Zoöl.), the moor monkey.
negrohead |An inferior commercial variety of India rubber made up into round masses.
negroid |1. Characteristic of the negro. 2. Resembling the negro or negroes; of or pertaining to those who resemble the negro.
negroloid |See Negroid.
negus |A beverage made of wine, water, sugar, nutmeg, and lemon juice; -- so called, it is said, from its first maker, Colonel Negus.
nehiloth |A term supposed to mean, perforated wind instruments of music, as pipes or flutes. Ps. v. (heading).
nehushtan |A thing of brass; -- the name under which the Israelites worshiped the brazen serpent made by Moses. 2 Kings xviii. 4.
neif |A woman born in the state of villeinage; a female serf. Blackstone.\n\nThe first. [Obs.] \"I kiss thy neif.\" \"Give me your neaf.\" Shak.
neife |A woman born in the state of villeinage; a female serf. Blackstone.
neigh |1. To utter the cry of the horse; to whinny. 2. To scoff or sneer; to jeer. [Obs.] Neighed at his nakedness. Beau. & Fl.\n\nThe cry of a horse; a whinny.
neighbor |1. A person who lives near another; one whose abode is not far off. Chaucer. Masters, my good friends, mine honest neighbors. Shak. 2. One who is near in sympathy or confidence. Buckingham No more shall be the neighbor to my counsel. Shak. 3. One entitled to, or exhibiting, neighborly kindness; hence, one of the human race; a fellow being. Which now of these three, thinkest thou, was neighbor unto him that fell among the thieves Luke x. 36. The gospel allows no such term as \"stranger;\" makes every man my neighbor. South.\n\nNear to another; adjoining; adjacent; next; neighboring. \"The neighbor cities.\" Jer. l. 40. \"The neighbor room.\" Shak.\n\n1. To adjoin; to border on; tobe near to. Leisurely ascending hills that neighbor the shore. Sandys. 2. To associate intimately with. [Obs.] Shak.\n\nTo dwell in the vicinity; to be a neighbor, or in the neighborhood; to be near. [Obs.] A copse that neighbors by. Shak.
neighborhood |1. The quality or condition of being a neighbor; the state of being or dwelling near; proximity. Then the prison and the palace were in awful neighborhood. Ld. Lytton. 2. A place near; vicinity; adjoining district; a region the inhabitants of which may be counted as neighbors; as, he lives in my neighborhood. 3. The inhabitants who live in the vicinity of each other; as, the fire alarmed all the neiborhood. 4. The disposition becoming a neighbor; neighborly kindness or good will. [Obs.] Jer. Taylor. Syn. -- Vicinity; vicinaty; proximity. -- Neighborhood, Vicinity. Neigborhood is Anglo-Saxon, and vicinity is Latin. Vicinity does not commonly denote so close a connection as neighborhood. A neigborhood is a more immediately vicinity. The houses immediately adjoining a square are in the neighborhood of that square; those which are somewhat further removed are also in the vicinity of the square.
neighboring |Living or being near; adjacent; as, the neighboring nations or countries.
neighborliness |The quality or state of being neighborly.
neighborly |Apropriate to the relation of neighbors; having frequent or familiar intercourse; kind; civil; social; friendly. -- adv.  In a neigborly manner. Judge if this be neighborly dealing. Arbuthnot.
neighborship |The state of being neighbors. [R.] J. Bailie.
neishout |The mahogany-like wood of the South African tree Pteroxylon utile, the sawdust of which causes violent sneezing (whence the name). Also called sneezewood.
neither |Not either; not the one or the other. Which of them shall I take Both one or neither Neither can be enjoyed, If both remain alive. Shak. He neither loves, Nor either cares for him. Shak.\n\nnot either; generally used to introduce the first of two or more coördinate clauses of which those that follow begin with nor. Fight neither with small nor great, save only with the king. 1 Kings xxii. 31. Hadst thou been firm and fixed in thy dissent, Neither had I transgressed, nor thou with me. Milton. When she put it on, she made me vow That I should neither sell, nor give, nor lose it. Shak. Note: Neither was formerly often used where we now use nor. \"For neither circumcision, neither uncircumcision is anything at all.\" Tyndale. \"Ye shall not eat of it, neither shall ye touch it.\" Gen. iii. 3. Neither is sometimes used colloquially at the end of a clause to enforce a foregoing negative (nor, not, no). \"He is very tall, but not too tall neither.\" Addison. \" `I care not for his thrust' `No, nor I neither.'\" Shak. Not so neither, by no means. [Obs.] Shak.
nelumbo |A genus of great water lilies. The North American species is Nelumbo lutea, the Asiatic is the sacred lotus, N. speciosa. [Written also Nelumbium.]
nemaline |Having the form of threads; fibrous.
nemalite |A fibrous variety of brucite.
nematelmia |Same as Nemathelminthes.
nematelminthes |An order of helminths, including the Nematoidea and Gordiacea; the roundworms. [Written also Nematelminthea.]
nemathecium |A peculiar kind of fructification on certain red algæ, consisting of an external mass of filaments at length separating into tetraspores.
nemathelminthes |An order of helminths, including the Nematoidea and Gordiacea; the roundworms. [Written also Nematelminthea.]
nemato- |. A combining from Gr. nhema, nhematos, a thread.
nematoblast |A spermatocyte or spermoblast.
nematocalyx |One of a peculiar kind of cups, or calicles, found upon hydroids of the family Plumularidæ. They contain nematocysts. See Plumularia.
nematocera |A suborder of dipterous insects, having long antennæ, as the mosquito, gnat, and crane fly; -- called also Nemocera.
nematocyst |A lasso cell, or thread cell. See Lasso cell, under Lasso.
nematode |Same as Nematoid.
nematogene |One of the dimorphic forms of the species of Dicyemata, which produced vermiform embryos; -- opposed to Ant: rhombogene.
nematognath |one of the Nematognathi.
nematognathi |An order of fishes having barbels on the jaws. It includes the catfishes, or siluroids. See Siluroid.
nematoid |of or pertaining to the Nematoidea. -- n.  One of the Nematoidea. see Illustration in Appendix.
nematoidea |An order of worms, having a long, round, and generally smooth body; the roundworms. they are mostly parasites. Called also Nematodea, and Nematoda. Note: The trichina, stomach worm, and pinworm of man belong to this group. See also Vinegar eel, under Vinegar, and Gapeworm.
nematoidean |Nematoid.
nematophora |Same as Cælenterata.
nemean |Of or pertaining to Nemea, in Argolis, where the ancient Greeks celebrated games, and Hercules killed a lion.
nemertean |Of or pertaining to the Nemertina. -- n.  One of the Nemertina.
nemertes |A genus of nemertina.
nemertian |Nemertean.
nemertid |Nemertean.
nemertida |Nemertina.
nemertina |An order of helminths usually having a long, slender, smooth, often bright-colored body, covered with minute vibrating cilia; -- called also Nemertea, Nemertida, and Rhynchocæla. Note: The mouth is beneath the head, and the straight intestine at the posterior and. They have a very singular long tubular proboscis, which can be everted from a pore in the front of the head. Their nervous system and blood vessels are well developed. Some of the species become over one hundred feet long. They are mostly marine and seldom parasitic; a few inhabit fresh water. the two principal divisions are Anopla and Enopla.
nemesis |The goddess of retribution or vengeance; hence, retributive justice personified; divine vengeance. This is that ancient doctrine of nemesis who keeps watch in the universe, and lets no offense go unchastised. Emerson.
nemophilist |One who is fond of forest or forest scenery; a haunter of the woods. [R.]
nemophily |Fondness for forest scenery; love of the woods. [R.]
nemoral |Of or pertaining to a wood or grove. [R.]
nemorous |Woody. [R.] Paradise itself was but a kind of nemorous temple. Evelyn.
nempne |To name or call. [Obs.] Chaucer.
nempt |of Nempne. Called; named. [Obs.]
nems |The ichneumon.
nenia |A funeral song; an elegy.
nenuphar |The great white water lily of Europe; the Nymphæa alba.
neo- |A prefix meaning new, recent, late; and in chemistry designating specifically that variety of metameric hydrocarbons which, when the name was applied, had been recently classified, and in which at least one carbon atom in connected directly with four other carbon atoms; -- contrasted with normal and iso-; as, neopentane; the neoparaffins. Also used adjectively.
neo-christianity |Rationalism.
neo-darwinism |The theory which holds natural selection, as explained by Darwin, to be the chief factor in the evolution of plants and animals, and denies the inheritance of acquired characters; -- esp. opposed to Neo-Lamarckism. Weismannism is an example of extreme Neo- Darwinism. -- Ne`o-Dar*win\"i*an, a. & n.
neo-greek |A member of a body of French painters (F. les néo-Grecs) of the middle 19th century. The term is rather one applied by outsiders to certain artists of grave and refined style, such as Hamon and Aubert, than a name adopted by the artists themselves.
neo-hebraic |The modern Hebrew language.\n\nOf, pert. to, or designating, modern Hebrew, or Hebrew of later date than the Biblical.
neo-hegelian |An adherent of Neo-Hegelianism.\n\nOf or pertaining to Neo-Hegelianism.
neo-hegelianism |The philosophy of a school of British and American idealists who follow Hegel in dialectical or logical method and in the general outcome of their doctrine. The founders and leaders of Neo- Hegelianism include: in England, T. H. Green (1836-1882); in Scotland, J. (1820-98) and E. (1835-1908) Caird; in the United States, W. T. Harris (1835-1909) and Josiah Royce (1855- -).
neo-hellenic |Same as Romaic.
neo-hellenism |Hellenism as surviving or revival in modern times; the practice or pursuit of ancient Greek ideals in modern life, art, or literature, as in the Renaissance.
neo-kantian |An adherent of Neo-Kantianism.\n\nOf or pertaining to Neo-Kantianism.
neo-kantianism |The philosophy of modern thinkers who follow Kant in his general theory of knowledge, esp. of a group of German philosophers including F. A. Lange, H. Cohen, Paul Natorp, and others.
neo-lamarckism |Lamarckism as revived, modified, and expounded by recent biologists, esp. as maintaining that the offspring inherits characters acquired by the parent from change of environment, use or disuse of parts, etc.; -- opposed of Neo-Darwinism (which see, above). -- Ne`o-La*marck\"i*an, a. & n.
neo-latin |Applied to the Romance languages, as being mostly of Latin origin.
neo-malthusian |Designating, or pertaining to, a group of modern economists who hold to the Malthusianism doctrine that permanent betterment of the general standard of living is impossible without decrease of competition by limitation of the number of births. -- Ne`o- Mal*thu\"sian, Ne`o-Mal*thu\"sian*ism, n.
neo-scholastic |Of or pert. to Neo-Scholasticism.
neo-scholasticism |The modern revival of the Scholastic philosophy, esp. of that of Thomas Aquinas, with critical revision to suit the exigencies of the general advance in learning. The Neo-Scholastic movement received a great impetus from Leo XIII.'s interest in it.
neocarida |The modern, or true, Crustacea, as distinguished from the Merostomata.
neocene |More recent than the Eocene, that is, including both the Miocene and Pliocene divisions of the Tertiary.
neoclassic |Belonging to, or designating, the modern revival of classical, esp. Greco-Roman, taste and manner of work in architecture, etc.
neoclassic architecture |All that architecture which, since the beginning of the Italian Renaissance, about 1420, has been designed with deliberate imitation of Greco-Roman buildings.
neocomian |A term applied to the lowest deposits of the Cretaceous or chalk formation of Europe, being the lower greensand.\n\nOf or pertaining to the lower greensand.
neocosmic |of or pertaining to the universe in its present state; specifically, pertaining to the races of men known to history.
neocracy |Government by new or inexperienced hands; upstart rule; raw or untried officials.
neocriticism |The form of Neo-Kantianism developed by French idealists, following C. Renouvier.  It rejects the noumena of Kant, restricting knowledge to phenomena as constituted by a priori categories.
neodamode |In ancient Sparta, one of those Helots who were freed by the state in reward for military service. Milford.
neodymium |An elementary substance which forms one of the constituents of didymium. Symbol Nd. Atomic weight 140.8.
neogaean |Of or pertaining to the New World, or Western Hemisphere.
neogamist |A person recently married.
neogen |An alloy resembling silver, and consisting chiefly of copper, zinc, and nickel, with small proportions of tin, aluminium, and bismuth. Ure.
neogrammarian |One of a group of philologists who apply phonetic laws more widely and strictly than was formerly done, and who maintain that these laws admit of no real exceptions. --Ne`o*gram*mat\"ic*al (#), a.
neography |A new method or system of writing.
neoimpressionism |A theory or practice which is a further development, on more rigorously scientific lines, of the theory and practice of Impressionism, originated by George Seurat (1859-91), and carried on by Paul Signac (1863- -) and others. Its method is marked by the laying of pure primary colors in minute dots upon a white ground, any given line being produced by a variation in the proportionate quantity of the primary colors employed. This method is also known as Pointillism (stippling).
