bergmaster |See Barmaster.
bifarious |1. Twofold; arranged in two rows. 2. (Bot.)  Pointing two ways, as leaves that grow only on opposite sides of a branch; in two vertical rows.
bifariously |In a bifarious manner.
biferous |Bearing fruit twice a year.
biffin |1. A sort of apple peculiar to Norfolk, Eng. Note: [Sometimes called beaufin; but properly beefin (it is said), from its resemblance to raw beef.] Wright. 2. A baked apple pressed down into a flat, round cake; a dried apple. Dickens.
bifid |Cleft to the middle or slightly beyond the middle; opening with a cleft; divided by a linear sinus, with straight margins.
bifidate |See Bifid.
bifilar |Two-threaded; involving the use of two threads; as, bifilar suspension; a bifilar balance. Bifilar micrometer (often called a bifilar), an instrument form measuring minute distances or angles by means of two very minute threads (usually spider lines), one of which, at least, is movable; -- more commonly called a filar micrometer.
biflabellate |Flabellate on both sides.
biflagellate |Having two long, narrow, whiplike appendages.
biflorate |Bearing two flowers; two-flowered.
biflorous |Bearing two flowers; two-flowered.
bifocal |Having two foci, as some spectacle lenses.
bifold |Twofold; double; of two kinds, degrees, etc. Shak.
bifoliate |Having two leaves; two-leaved.
bifoliolate |Having two leaflets, as some compound leaves.
biforate |Having two perforations.
biforine |An oval sac or cell, found in the leaves of certain plants of the order Araceæ. It has an opening at each end through which raphides, generated inside, are discharged.
biforked |Bifurcate.
biform |Having two forms, bodies, or shapes. Croxall.
biformed |Having two forms. Johnson.
biformity |A double form.
biforn |Before. [Obs.]
biforous |See Biforate.
bifronted |Having two fronts. \"Bifronted Janus.\" Massinger.
bifurcate |Two-pronged; forked.\n\nTo divide into two branches.
bifurcated |Two-pronged; forked.
bifurcation |A forking, or division into two branches.
bifurcous |See Bifurcate, a. [R.] Coles.
big |1. Having largeness of size; of much bulk or magnitude; of great size; large. \"He's too big to go in there.\" Shak. 2. Great with young; pregnant; swelling; ready to give birth or produce; -- often figuratively. [Day] big with the fate of Cato and of Rome. Addison. 3. Having greatness, fullness, importance, inflation, distention, etc., whether in a good or a bad sense; as, a big heart; a big voice; big looks; to look big. As applied to looks, it indicates haughtiness or pride. God hath not in heaven a bigger argument. Jer. Taylor. Note: Big is often used in self-explaining compounds; as, big-boned; big-sounding; big-named; big-voiced. To talk big, to talk loudly, arrogantly, or pretentiously. I talked big to them at first. De Foe. Syn. -- Bulky; large; great; massive; gross.\n\nBarley, especially the hardy four-rowed kind. \"Bear interchanges in local use, now with barley, now with bigg.\" New English Dict.\n\nTo build. [Scot. & North of Eng. Dial.] Sir W. Scott.
big bend state |Tennessee; -- a nickname.
big-bellied |Having a great belly; as, a big-bellied man or flagon; advanced in pregnancy.
big-wigged |characterized by pomposity of manner. [Eng.]
biga |A two-horse chariot.
bigam |A bigamist. [Obs.]
bigamist |One who is guilty of bigamy. Ayliffe.
bigamous |Guilty of bigamy; involving bigamy; as, a bigamous marriage.
bigamy |The offense of marrying one person when already legally married to another. Wharton. Note: It is not strictly correct to call this offense bigamy: it more properly denominated polygamy, i. e., having a plurality of wives or husbands at once, and in several statutes in the United States the offense is classed under the head of polygamy. In the canon law bigamy was the marrying of two virgins successively, or one after the death of the other, or once marrying a widow. This disqualified a man for orders, and for holding ecclesiastical offices. Shakespeare uses the word in the latter sense. Blackstone. Bouvier. Base declension and loathed bigamy. Shak.
bigaroon |The large white-heart cherry.
bigarreau |The large white-heart cherry.
bigeminate |Having a forked petiole, and a pair of leaflets at the end of each division; biconjugate; twice paired; -- said of a decompound leaf.
bigential |Including two tribes or races of men.
bigeye |A fish of the genus Priacanthus, remarkable for the large size of the eye.
bigg |Barley, especially the hardy four-rowed kind. \"Bear interchanges in local use, now with barley, now with bigg.\" New English Dict.\n\nTo build. [Scot. & North of Eng. Dial.] Sir W. Scott.\n\nSee Big, n. & v.
biggen |To make or become big; to enlarge. [Obs. or Dial.] Steele.
bigger |, compar. of Big.
biggest |, superl. of Big.
biggin |A child's cap; a hood, or something worn on the head. An old woman's biggin for a nightcap. Massinger.\n\nA coffeepot with a strainer or perforated metallic vessel for holding the ground coffee, through which boiling water is poured; -- so called from Mr. Biggin, the inventor.\n\nA building. [Obs.]
bigging |A building. [Obs.]
biggon |A cap or hood with pieces covering the ears.
biggonnet |A cap or hood with pieces covering the ears.
bigha |A measure of land in India, varying from a third of an acre to an acre.
bighorn |The Rocky Mountain sheep (Ovis or Caprovis montana).
bight |1. A corner, bend, or angle; a hollow; as, the bight of a horse's knee; the bight of an elbow. 2. (Geog.)  A bend in a coast forming an open bay; as, the Bight of Benin. 3. (Naut.)  The double part of a rope when folded, in distinction from the ends; that is, a round, bend, or coil not including the ends; a loop.
biglandular |Having two glands, as a plant.
bigly |In a tumid, swelling, blustering manner; haughtily; violently. He brawleth bigly. Robynson (More's Utopia. )
bigness |The state or quality of being big; largeness; size; bulk.
bignonia |A large genus of American, mostly tropical, climbing shrubs, having compound leaves and showy somewhat tubular flowers. B. capreolata is the cross vine of the Southern United States. The trumpet creeper was formerly considered to be of this genus.
bignoniaceous |Of pertaining to, or resembling, the family of plants of which the trumpet flower is an example.
bigot |1. A hypocrite; esp., a superstitious hypocrite. [Obs.] 2. A person who regards his own faith and views in matters of religion as unquestionably right, and any belief or opinion opposed to or differing from them as unreasonable or wicked. In an extended sense, a person who is intolerant of opinions which conflict with his own, as in politics or morals; one obstinately and blindly devoted to his own church, party, belief, or opinion. To doubt, where bigots had been content to wonder and believe. Macaulay.\n\nBigoted. [Obs.] In a country more bigot than ours. Dryden.
bigoted |Obstinately and blindly attached to some creed, opinion practice, or ritual; unreasonably devoted to a system or party, and illiberal toward the opinions of others. \"Bigoted to strife.\" Byron. Syn. -- Prejudiced; intolerant; narrow-minded.
bigotedly |In the manner of a bigot.
bigotry |1. The state of mind of a bigot; obstinate and unreasoning attachment of one's own belief and opinions, with narrow-minded intolerance of beliefs opposed to them. 2. The practice or tenets of a bigot.
bigwig |A person of consequence; as, the bigwigs of society. [Jocose] In our youth we have heard him spoken of by the bigwigs with extreme condescension. Dickens.
bihydroguret |A compound of two atoms of hydrogen with some other substance. [Obs.]
bijou |A trinket; a jewel; -- a word applied to anything small and of elegant workmanship.
bijoutry |Small articles of virtu, as jewelry, trinkets, etc.
bijugate |Having two pairs, as of leaflets.
bijugous |Bijugate.
bike |A nest of wild bees, wasps, or ants; a swarm. [Scot.] Sir W. Scott.
bikh |The East Indian name of a virulent poison extracted from Aconitum ferox or other species of aconite: also, the plant itself.
bilabiate |Having two lips, as the corols of certain flowers.
bilaciniate |Doubly fringed.
bilalo |A two-masted passenger boat or small vessel, used in the bay of Manila.
bilamellate |Formed of two plates, as the stigma of the Mimulus; also, having two elevated ridges, as in the lip of certain flowers.
bilamellated |Formed of two plates, as the stigma of the Mimulus; also, having two elevated ridges, as in the lip of certain flowers.
bilaminar |Formed of, or having, two laminæ, or thin plates.
