displosive |Explosive.
distress |1. Extreme pain or suffering; anguish of body or mind; as, to suffer distress from the gout, or from the loss of friends. Not fearing death nor shrinking for distress. Shak. 2. That which occasions suffering; painful situation; misfortune; affliction; misery. Affliction's sons are brothers in distress. Burns. 3. A state of danger or necessity; as, a ship in distress, from leaking, loss of spars, want of provisions or water, etc. 4. (Law) (a) The act of distraining; the taking of a personal chattel out of the possession of a wrongdoer, by way of pledge for redress of an injury, or for the performance of a duty, as for nonpayment of rent or taxes, or for injury done by cattle, etc. (b) The thing taken by distraining; that which is seized to procure satisfaction. Bouvier. Kent. Burrill. If he were not paid, he would straight go and take a distress of goods and cattle. Spenser. The distress thus taken must be proportioned to the thing distrained for. Blackstone. Abuse of distress. (Law) See under Abuse. Syn. -- Affliction; suffering; pain; agony; misery; torment; anguish; grief; sorrow; calamity; misfortune; trouble; adversity. See Affliction.\n\n1. To cause pain or anguish to; to pain; to oppress with calamity; to afflict; to harass; to make miserable. We are troubled on every side, yet not distressed. 2 Cor. iv. 8. 2. To compel by pain or suffering. Men who can neither be distressed nor won into a sacrifice of duty. A. Hamilton. 3. (Law)  To seize for debt; to distrain. Syn. -- To pain; grieve; harass; trouble; perplex; afflict; worry; annoy.
distressedness |A state of being distressed or greatly pained.
distressful |Full of distress; causing, indicating, or attended with, distress; as, a distressful situation. \"Some distressful stroke.\" Shak. \"Distressful cries.\" Pope. -- Dis*tress\"ful*ly, adv.
distressing |Causing distress; painful; unpleasant.\n\nIn a distressing manner.
distributable |Capable of being distributed. Sir W. Jones.
distributary |Tending to distribute or be distributed; that distributes; distributive.
distribute |1. To divide among several or many; to deal out; to apportion; to allot. She did distribute her goods to all them that were nearest of kindred. Judith xvi. 24. 2. To dispense; to administer; as, to distribute justice. Shak. 3. To divide or separate, as into classes, orders, kinds, or species; to classify; to assort, as specimens, letters, etc. 4. (Printing) (a) To separate (type which has been used) and return it to the proper boxes in the cases. (b) To spread (ink) evenly, as upon a roller or a table. 5. (Logic)  To employ (a term) in its whole extent; to take as universal in one premise. A term is said to be distributed when it is taken universal, so as to stand for everything it is capable of being applied to. Whately. Syn. -- To dispense; deal out; apportion; allot; share; assign; divide.\n\nTo make distribution. Distributing to the necessity of saints. Rom. xii. 13.
distributer |One who, or that which, distributes or deals out anything; a dispenser. Addison.
distribution |1. The act of distributing or dispensing; the act of dividing or apportioning among several or many; apportionment; as, the distribution of an estate among heirs or children. The phenomena of geological distribution are exactly analogous to those of geography. A. R. Wallace. 2. Separation into parts or classes; arrangement of anything into parts; disposition; classification. 3. That which is distributed. \"Our charitable distributions.\" Atterbury. 4. (Logic)  A resolving a whole into its parts. 5. (Print.)  The sorting of types and placing them in their proper boxes in the cases. 6. (Steam Engine)  The steps or operations by which steam is supplied to and withdrawn from the cylinder at each stroke of the piston; viz., admission, suppression or cutting off, release or exhaust, and compression of exhaust steam prior to the next admission. Geographical distribution, the natural arrangements of animals and plants in particular regions or districts. Syn. -- Apportionments; allotment; dispensation; disposal; dispersion; classification; arrangement.
distributional |Of or pertaining to distribution. Huxley.
distributionist |A distributer. [R.] Dickens.
distributive |1. Tending to distribute; serving to divide and assign in portions; dealing to each his proper share. \"Distributive justice.\" Swift. 2. (Logic)  Assigning the species of a general term. 3. (Gram.)  Expressing separation; denoting a taking singly, not collectively; as, a distributive adjective or pronoun, such as each, either, every; a distributive numeral, as (Latin) bini (two by two). Distributive operation (Math.), any operation which either consists of two or more parts, or works upon two or more things, and which is such that the result of the total operation is the same as the aggregated result of the two or more partial operations. Ordinary multiplication is distributive, since a × (b + c) = ab + ac, and (a + b) × c = ac + bc. -- Distributive proportion. (Math.) See Fellowship.\n\nA distributive adjective or pronoun; also, a distributive numeral.
distributively |By distribution; singly; not collectively; in a distributive manner.
distributiveness |Quality of being distributive.
distributor |(a) A machine for distributing type. (b) An appliance, as a roller, in a printing press, for distributing ink. (c) An apparatus for distributing an electric current, either to various points in rotation, as in some motors, or along two or more lines in parallel, as in a distributing system.
district |Rigorous; stringent; harsh. [Obs.] Punishing with the rod of district severity. Foxe.\n\n1. (Feudal Law)  The territory within which the lord has the power of coercing and punishing. 2. A division of territory; a defined portion of a state, town, or city, etc., made for administrative, electoral, or other purposes; as, a congressional district, judicial district, land district, school district, etc. To exercise exclusive legislation . . . over such district not exceeding ten miles square. The Constitution of the United States. 3. Any portion of territory of undefined extent; a region; a country; a tract. These districts which between the tropics lie. Blackstone. Congressional district. See under Congressional. -- District attorney, the prosecuting officer of a district or district court. -- District court, a subordinate municipal, state, or United States tribunal, having jurisdiction in certain cases within a judicial district. -- District judge, one who presides over a district court. -- District school, a public school for the children within a school district. [U.S.] Syn. -- Division; circuit; quarter; province; tract; region; country.\n\nTo divide into districts or limited portions of territory; as, legislatures district States for the choice of representatives.
distriction |Sudden display; flash; glitter. [R.] A smile . . . breaks out with the brightest distriction. Collier.
districtly |Strictly. [Obs.] Foxe.
distringas |A writ commanding the sheriff to distrain a person by his goods or chattels, to compel a compliance with something required of him.
distrouble |To trouble. [Obs.] Spenser.
distrust |To feel absence of trust in; not to confide in or rely upon; to deem of questionable sufficiency or reality; to doubt; to be suspicious of; to mistrust. Not distrusting my health. 2 Mac. ix. 22. To distrust the justice of your cause. Dryden. He that requireth the oath doth distrust that other. Udall. Of all afraid, Distrusting all, a wise, suspicious maid. Collins. Note: Mistrust has been almost wholly driven out by distrust. T. L. K. Oliphant.\n\n1. Doubt of sufficiency, reality, or sincerity; want of confidence, faith, or reliance; as, distrust of one's power, authority, will, purposes, schemes, etc. 2. Suspicion of evil designs. Alienation and distrust . . . are the growth of false principles. D. Webster. 3. State of being suspected; loss of trust. Milton.
distruster |One who distrusts.
distrustful |1. Not confident; diffident; wanting confidence or thrust; modest; as, distrustful of ourselves, of one's powers. Distrustful sense with modest caution speaks. Pope. 2. Apt to distrust; suspicious; mistrustful. Boyle. -- Dis*trust\"ful*ly, adv. -- Dis*trust\"ful*ness, n.
distrusting |That distrusts; suspicious; lacking confidence in. -- Dis*trust\"ing*ly, adv.
distrustless |Free from distrust. Shenstone.
distune |To put out of tune. [Obs.]
disturb |1. To throw into disorder or confusion; to derange; to interrupt the settled state of; to excite from a state of rest. Preparing to disturb With all-cofounding war the realms above. Cowper. The bellow's noise disturbed his quiet rest. Spenser. The utmost which the discontented colonies could do, was to disturb authority. Burke. 2. To agitate the mind of; to deprive of tranquillity; to disquiet; to render uneasy; as, a person is disturbed by receiving an insult, or his mind is disturbed by envy. 3. To turn from a regular or designed course. [Obs.] And disturb His inmost counsels from their destined aim. Milton. Syn. -- To disorder; disquiet; agitate; discompose; molest; perplex; trouble; incommode; ruffle.\n\nDisturbance. [Obs.] Milton.
disturbance |1. An interruption of a state of peace or quiet; derangement of the regular course of things; disquiet; disorder; as, a disturbance of religious exercises; a disturbance of the galvanic current. 2. Confusion of the mind; agitation of the feelings; perplexity; uneasiness. Any man . . . in a state of disturbance and irritation. Burke. 3. Violent agitation in the body politic; public commotion; tumult. The disturbance was made to support a general accusation against the province. Bancroft. 4. (Law)  The hindering or disquieting of a person in the lawful and peaceable enjoyment of his right; the interruption of a right; as, the disturbance of a franchise, of common, of ways, and the like. Blackstone. Syn. -- Tumult; brawl; commotion; turmoil; uproar; hubbub; disorder; derangement; confusion; agitation; perturbation; annoyance.
disturbation |Act of disturbing; disturbance. [Obs.] Daniel.
disturber |1. One who, or that which, disturbs of disquiets; a violator of peace; a troubler. A needless disturber of the peace of God's church and an author of dissension. Hooker. 2. (Law)  One who interrupts or incommodes another in the peaceable enjoyment of his right.
disturn |To turn aside. [Obs.] Daniel.
distyle |Having two columns in front; -- said of a temple, portico, or the like. Distyle in antis, having columns between two antæ. See Anta.
disulphate |(a) A salt of disulphuric or pyrosulphuric acid; a pyrosulphate. (b) An acid salt of sulphuric acid, having only one equivalent of base to two of the acid.
disulphide |A binary compound of sulphur containing two atoms of sulphur in each molecule; -- formerly called disulphuret. Cf. Bisulphide.
disulphuret |See Disulphide.
disulphuric |Applied to an acid having in each molecule two atoms of sulphur in the higher state of oxidation. Disulphuric acid, a thick oily liquid, H2S2O7, called also Nordhausen acid (from Nordhausen in the Harts, where it was originally manufactured), fuming sulphuric acid, and especially pyrosulphuric acid. See under Pyrosulphuric.
disuniform |Not uniform. [Obs.]
disunion |1. The termination of union; separation; disjunction; as, the disunion of the body and the soul. 2. A breach of concord and its effect; alienation. Such a disunion between the two houses as might much clouClarendon. 3. The termination or disruption of the union of the States forming the United States. I have not accustomed myself to hang over the precipice of disunion. D. Webster.
disunionist |An advocate of disunion, specifically, of disunion of the United States.
disunite |1. To destroy the union of; to divide; to part; to sever; to disjoin; to sunder; to separate; as, to disunite particles of matter. 2. To alienate in spirit; to break the concord of. Go on both in hand, O nations, never be disunited, be the praise . . . of all posterity! Milton.\n\nTo part; to fall asunder; to become separated. The joints of the body politic do separate and disunite. South.
disuniter |One who, or that which, disjoins or causes disunion.
disunity |A state of separation or disunion; want of unity. Dr. H. More.
disusage |Gradual cessation of use or custom; neglect of use; disuse. [R.] Hooker.
disuse |1. To cease to use; to discontinue the practice of. 2. To disaccustom; -- with to or from; as, disused to toil. \"Disuse me from . . . pain.\" Donne.\n\nCessation of use, practice, or exercise; inusitation; desuetude; as, the limbs lose their strength by disuse. The disuse of the tongue in the only . . . remedy. Addison. Church discipline then fell into disuse. Southey.
disutilize |To deprive of utility; to render useless. [R.] Mrs. Browning.
disvaluation |Disesteem; depreciation; disrepute. Bacon.
disvalue |To undervalue; to depreciate. Shak.\n\nDisesteem; disregard. B. Jonson.
disvantageous |Disadvantageous. [Obs.] \"Disadvantageous ground.\" Drayton.
disvelop |To develop. [Obs.]
disventure |A disadventure. [Obs.] Shelton.
disvouch |To discredit; to contradict. [Obs.] Shak.
diswarn |To dissuade from by previous warning. [Obs.]
diswitted |Deprived of wits or understanding; distracted. [Obs.] Drayton.
diswont |To deprive of wonted usage; to disaccustom. [R.] Bp. Hall.
disworkmanship |Bad workmanship. [Obs.] Heywood.
disworship |To refuse to worship; to treat as unworthy. [Obs.] Sir T. More.\n\nA deprivation of honor; a cause of disgrace; a discredit. [Obs.] Milton.
disworth |To deprive of worth; to degrade. [Obs.] Feltham.
disyoke |To unyoke; to free from a yoke; to disjoin. [Poetic] R. Browning.
dit |1. A word; a decree. [Obs.] 2. A ditty; a song. [Obs.]\n\nTo close up. [Obs.] Dr. H. More.
ditation |The act of making rich; enrichment. [Obs.] Bp. Hall.
ditch |1. A trench made in the earth by digging, particularly a trench for draining wet land, for guarding or fencing inclosures, or for preventing an approach to a town or fortress. In the latter sense, it is called also a moat or a fosse. 2. Any long, narrow receptacle for water on the surface of the earth.\n\n1. To dig a ditch or ditches in; to drain by a ditch or ditches; as, to ditch moist land. 2. To surround with a ditch. Shak. 3. To throw into a ditch; as, the engine was ditched and turned on its side.\n\nTo dig a ditch or ditches. Swift.
ditcher |One who digs ditches.
dite |To prepare for action or use; to make ready; to dight. [Obs.] His hideous club aloft he dites. Spenser.
diterebene |See Colophene.
dithecal |Having two thecæ, cells, or compartments.
dithecous |Having two thecæ, cells, or compartments.
ditheism |The doctrine of those who maintain the existence of two gods or of two original principles (as in Manicheism), one good and one evil; dualism.
ditheist |One who holds the doctrine of ditheism; a dualist. Cudworth.
ditheistic |Pertaining to ditheism; dualistic.
ditheistical |Pertaining to ditheism; dualistic.
dithionic |Containing two equivalents of sulphur; as, dithionic acid. Dithionic acid (Chem.), an unstable substance, H2S2O6, known only in its solutions, and in certain well-defined salts.
dithyramb |A kind of lyric poetry in honor of Bacchus, usually sung by a band of revelers to a flute accompaniment; hence, in general, a poem written in a wild irregular strain. Bentley.
dithyrambic |Pertaining to, or resembling, a dithyramb; wild and boisterous. \"Dithyrambic sallies.\" Longfellow. -- n.  A dithyrambic poem; a dithyramb.
dithyrambus |See Dithyramb.
dition |Dominion; rule. [Obs.] Evelyn.
ditionary |Under rule; subject; tributary. [Obs.] Chapman.\n\nA subject; a tributary. [Obs.] Eden.
ditokous |(a) Having two kinds of young, as certain annelids. (b) Producing only two eggs for a clutch, as certain birds do.
ditolyl |A white, crystalline, aromatic hydrocarbon, C14H14, consisting of two radicals or residues of toluene.
ditone |The Greek major third, which comprehend two major tones (the modern major third contains one major and one minor whole tone).
ditrichotomous |1. Divided into twos or threes. 2. (Bot.)  Dividing into double or treble ramifications; -- said of a leaf or stem. [R.] Loudon.
ditrochean |Containing two trochees.
ditrochee |A double trochee; a foot made up of two trochees.
ditroite |An igneous rock composed of orthoclase, elæolite, and sodalite.
ditt |See Dit, n., 2. [Obs.] Spenser.
dittander |A kind of peppergrass (Lepidium latifolium).
dittany |(a) A plant of the Mint family (Origanum Dictamnus), a native of Crete. (b) The Dictamnus Fraxinella. See Dictamnus. (c) In America, the Cunila Mariana, a fragrant herb of the Mint family.
dittied |Set, sung, or composed as a ditty; -- usually in composition. Who, with his soft pipe, and smooth-dittied song. Milton.
ditto |The aforesaid thing; the same (as before). Often contracted to do., or to two \"turned commas\" (\"), or small marks. Used in bills, books of account, tables of names, etc., to save repetition. A spacious table in the center, and a variety of smaller dittos in the corners. Dickens.\n\nAs before, or aforesaid; in the same manner; also.
dittology |A double reading, or twofold interpretation, as of a Scripture text. [R.]
ditty |1. A saying or utterance; especially, one that is short and frequently repeated; a theme. O, too high ditty for my simple rhyme. Spenser. 2. A song; a lay; a little poem intended to be sung. \"Religious, martial, or civil ditties.\" Milton.ditties sing. Sandys.\n\nTo sing; to warble a little tune. Beasts fain would sing; birds ditty to their notes. Herbert.
ditty-bag |A sailor's small bag to hold thread, needles, tape, etc.; -- also called sailor's housewife.
ditty-box |A small box to hold a sailor's thread, needless, comb, etc.
diureide |One of a series of complex nitrogenous substances regarded as containing two molecules of urea or their radicals, as uric acid or allantoin. Cf. Ureide.
diuresis |Free excretion of urine.
diuretic |Tending to increase the secretion and discharge of urine. -- n.  A medicine with diuretic properties. Diuretic salt (Med.), potassium acetate; -- so called because of its diuretic properties.
diuretical |Diuretic. [Obs.] Boyle.
diureticalness |The quality of being diuretical; diuretic property.
diurna |A division of Lepidoptera, including the butterflies; -- so called because they fly only in the daytime.
diurnal |1. Relating to the daytime; belonging to the period of daylight, distinguished from the night; -- opposed to Ant: nocturnal; as, diurnal heat; diurnal hours. 2. Daily; recurring every day; performed in a day; going through its changes in a day; constituting the measure of a day; as, a diurnal fever; a diurnal task; diurnal aberration, or diurnal parallax; the diurnal revolution of the earth. Ere twice the horses of the sun shall bring Their fiery torcher his diurnal ring. Shak. 3. (Bot.)  Opening during the day, and closing at night; -- said of flowers or leaves. 4. (Zoöl.)  Active by day; -- applied especially to the eagles and hawks among raptorial birds, and to butterflies (Diurna) among insects. Diurnal aberration (Anat.), the aberration of light arising from the effect of the earth's rotation upon the apparent direction of motion of light. -- Diurnal arc, the arc described by the sun during the daytime or while above the horizon; hence, the arc described by the moon or a star from rising to setting. -- Diurnal circle, the apparent circle described by a celestial body in consequence of the earth's rotation. -- Diurnal motion of the earth, the motion of the earth upon its axis which is described in twentyfour hours. -- Diurnal motion of a heavenly body, that apparent motion of the heavenly body which is due to the earth's diurnal motion. -- Diurnal parallax. See under Parallax. -- Diurnal revolution of a planet, the motion of the planet upon its own axis which constitutes one complete revolution. Syn. -- See Daily.\n\n1. A daybook; a journal. [Obs.] Tatler. 2. (R. C. Ch.)  A small volume containing the daily service for the \"little hours,\" viz., prime, tierce, sext, nones, vespers, and compline. 3. (Zoöl.)  A diurnal bird or insect.
diurnalist |A journalist. [Obs.] Bp. Hall.
diurnally |Daily; every day.
diurnalness |The quality of being diurnal.
diurnation |1. Continuance during the day. [Obs.] 2. (Zoöl.)  The condition of sleeping or becoming dormant by day, as is the case of the bats.
diuturnal |Of long continuance; lasting. [R.] Milton.
diuturnity |Long duration; lastingness. [R.] Sir T. Browne.
diva |A prima donna.
divagation |A wandering about or going astray; digression. Let us be set down at Queen's Crawley without further divagation. Thackeray.
divalent |Having two units of combining power; bivalent. Cf. Valence.
divan |1. A book; esp., a collection of poems written by one author; as, the divan of Hafiz. [Persia] 2. In Turkey and other Oriental countries: A council of state; a royal court. Also used by the poets for a grand deliberative council or assembly. Pope. 3. A chief officer of state. [India] 4. A saloon or hall where a council is held, in Oriental countries, the state reception room in places, and in the houses of the richer citizens. Cushions on the floor or on benches are ranged round the room. 5. A cushioned seat, or a large, low sofa or couch; especially, one fixed to its place, and not movable. 6. A coffee and smoking saloon. [Colloq.]
divaricate |1. To part into two branches; to become bifid; to fork. 2. To diverge; to be divaricate. Woodward.\n\nTo divide into two branches; to cause to branch apart.\n\n1. Diverging; spreading asunder; widely diverging. 2. (Biol.)  Forking and diverging; widely diverging; as the branches of a tree, or as lines of sculpture, or color markings on animals, etc.
divaricately |With divarication.
divarication |1. A separation into two parts or branches; a forking; a divergence. 2. An ambiguity of meaning; a disagreement of difference in opinion. Sir T. Browne. 3. (Biol.)  A divergence of lines of color sculpture, or of fibers at different angles.
divaricator |One of the muscles which open the shell of brachiopods; a cardinal muscle. See Illust. of Brachiopoda.
divast |Devastated; laid waste. [Obs.]
dive |1. To plunge into water head foremost; to thrust the body under, or deeply into, water or other fluid. It is not that pearls fetch a high price because men have dived for them. Whately. Note: The colloquial form dove is common in the United States as an imperfect tense form. All [the walruses] dove down with a tremendous splash. Dr. Hayes. When closely pressed it [the loon] dove . . . and left the young bird sitting in the water. J. Burroughs. 2. Fig.: To plunge or to go deeply into any subject, question, business, etc.; to penetrate; to explore. South.\n\n1. To plunge (a person or thing) into water; to dip; to duck. [Obs.] Hooker. 2. To explore by diving; to plunge into. [R.] The Curtii bravely dived the gulf of fame. Denham. He dives the hollow, climbs the steeps. Emerson.\n\n1. A plunge headforemost into water, the act of one who dives, literally or figuratively. 2. A place of low resort. [Slang] The music halls and dives in the lower part of the city. J. Hawthorne.
divedapper |A water fowl; the didapper. See Dabchick.
divel |To rend apart. [Obs.] Sir T. Browne.
divellent |Drawing asunder. [R.]
divellicate |To pull in pieces. [Obs. or R.]
diver |1. One who, or that which, dives. Divers and fishers for pearls. Woodward. 2. Fig.: One who goes deeply into a subject, study, or business. \"A diver into causes.\" Sir H. Wotton. 3. (Zoöl.)  Any bird of certain genera, as Urinator (formerly Colymbus), or the allied genus Colymbus, or Podiceps, remarkable for their agility in diving. Note: The northern diver (Urinator imber) is the loon; the black diver or velvet scoter (Oidemia fusca) is a sea duck. See Loon, and Scoter.
diverb |A saying in which two members of the sentence are contrasted; an antithetical proverb. [Obs.] Italy, a paradise for horses, a hell for women, as the diverb goes. Burton.
diverberate |To strike or sound through. [R.] Davies (Holy Roode).
diverberation |A sounding through.
diverge |1. To extend from a common point in different directions; to tend from one point and recede from each other; to tend to spread apart; to turn aside or deviate (as from a given direction); -- opposed to converge; as, rays of light diverge as they proceed from the sun. 2. To differ from a typical form; to vary from a normal condition; to dissent from a creed or position generally held or taken.
divergement |Divergence.
divergence |1. A receding from each other in moving from a common center; the state of being divergent; as, an angle is made by the divergence of straight lines. Rays come to the eye in a state of divergency. 2. Disagreement; difference. Related with some divergence by other writers. Sir G. C. Lewis.
divergency |1. A receding from each other in moving from a common center; the state of being divergent; as, an angle is made by the divergence of straight lines. Rays come to the eye in a state of divergency. 2. Disagreement; difference. Related with some divergence by other writers. Sir G. C. Lewis.
divergent |1. Receding farther and farther from each other, as lines radiating from one point; deviating gradually from a given direction; -- opposed to convergent. 2. (Optics)  Causing divergence of rays; as, a divergent lens. 3. Fig.: Disagreeing from something given; differing; as, a divergent statement. Divergent series. (Math.) See Diverging series, under Diverging.
diverging |Tending in different directions from a common center; spreading apart; divergent. Diverging series (Math.), a series whose terms are larger as the series is extended; a series the sum of whose terms does not approach a finite limit when the series is extended indefinitely; -- opposed to a converging series.
divergingly |In a diverging manner.
divers |1. Different in kind or species; diverse. [Obs.] Every sect of them hath a divers posture. Bacon. Thou shalt not sow thy vineyard with divers seeds. Deut. xxii. 9. 2. Several; sundry; various; more than one, but not a great number; as, divers philosophers. Also used substantively or pronominally. Divers of Antonio's creditors. Shak. Note: Divers is now limited to the plural; as, divers ways (not divers way). Besides plurality it ordinarily implies variety of kind.
diverse |1. Different; unlike; dissimilar; distinct; separate. The word . . . is used in a sense very diverse from its original import. J. Edwards. Our roads are diverse: farewell, love! said she. R. Browning. 2. Capable of various forms; multiform. Eloquence is a great and diverse thing. B. Jonson.\n\nIn different directions; diversely.\n\nTo turn aside. [Obs.] The redcross knight diverst, but forth rode Britomart. Spenser.
diversely |1. In different ways; differently; variously. \"Diversely interpreted.\" Bacon. How diversely love doth his pageants play. Spenser. 2. In different directions; to different points. On life's vast ocean diversely we sail. Pope.
diverseness |The quality of being diverse.
diversifiability |The quality or capacity of being diversifiable. Earle.
diversifiable |Capable of being diversified or varied. Boyle.
diversification |1. The act of making various, or of changing form or quality. Boyle. 2. State of diversity or variation; variegation; modification; change; alternation. Infinite diversifications of tints may be produced. Adventurer.
diversified |Distinguished by various forms, or by a variety of aspects or objects; variegated; as, diversified scenery or landscape.
diversifier |One who, or that which, diversifies.
diversiform |Of a different form; of varied forms.
diversify |To make diverse or various in form or quality; to give variety to; to variegate; to distinguish by numerous differences or aspects. Separated and diversified on from another. Locke. Its seven colors, that diversify all the face of nature. I. Taylor.
diversiloquent |Speaking in different ways. [R.]
diversion |1. The act of turning aside from any course, occupation, or object; as, the diversion of a stream from its channel; diversion of the mind from business. 2. That which diverts; that which turns or draws the mind from care or study, and thus relaxes and amuses; sport; play; pastime; as, the diversions of youth. \"Public diversions.\" V. Knox. Such productions of wit and humor as expose vice and folly, furnish useful diversion to readers. Addison. 3. (Mil.)  The act of drawing the attention and force of an enemy from the point where the principal attack is to be made; the attack, alarm, or feint which diverts. Syn. -- Amusement; entertainment; pastime; recreation; sport; game; play; solace; merriment.
diversity |1. A state of difference; dissimilitude; unlikeness. They will prove opposite; and not resting in a bare diversity, rise into a contrariety. South. 2. Multiplicity of difference; multiformity; variety. \"Diversity of sounds.\" Shak. \"Diversities of opinion.\" Secker. 3. Variegation. \"Bright diversities of day.\" Pope. Syn. -- See Variety.
diversivolent |Desiring different things. [Obs.] Webster (White Devil).
diversory |Serving or tending to divert; also, distinguishing. [Obs.]\n\nA wayside inn. [Obs. or R.] Chapman.
divert |1. To turn aside; to turn off from any course or intended application; to deflect; as, to divert a river from its channel; to divert commerce from its usual course. That crude apple that diverted Eve. Milton. 2. To turn away from any occupation, business, or study; to cause to have lively and agreeable sensations; to amuse; to entertain; as, children are diverted with sports; men are diverted with works of wit and humor. We are amused by a tale, diverted by a comedy. C. J. Smith. Syn. -- To please; gratify; amuse; entertain; exhilarate; delight; recreate. See Amuse.\n\nTo turn aside; to digress. [Obs.] I diverted to see one of the prince's palaces. Evelyn.
diverter |One who, or that which, diverts, turns off, or pleases.
divertible |Capable of being diverted.
diverticle |1. A turning; a byway; a bypath. [Obs.] Hales. 2. (Anat.)  A diverticulum.
diverticular |Pertaining to a diverticulum.
diverticulum |A blind tube branching out of a longer one.
divertimento |) A light and pleasing composition.
diverting |Amusing; entertaining. -- Di*vert\"ing*ly, adv. -- Di*vert\"ing*ness, n.
divertise |To divert; to entertain. [Obs.] Dryden.
divertisement |Diversion; amusement; recreation. [R.]
divertissement |A short ballet, or other entertainment, between the acts of a play. Smart.
divertive |Tending to divert; diverting; amusing; interesting. Things of a pleasant and divertive nature. Rogers.
dives |The name popularly given to the rich man in our Lord's parable of the \"Rich Man and Lazarus\" (Luke xvi. 19-31). Hence, a name for a rich worldling.
divest |1. To unclothe; to strip, as of clothes, arms, or equipage; -- opposed to invest. 2. Fig.: To strip; to deprive; to dispossess; as, to divest one of his rights or privileges; to divest one's self of prejudices, passions, etc. Wretches divested of every moral feeling. Goldsmith. The tendency of the language to divest itself of its gutturals. Earle. 3. (Law)  See Devest. Mozley & W.
divestible |Capable of being divested.
divestiture |The act of stripping, or depriving; the state of being divested; the deprivation, or surrender, of possession of property, rights, etc.
