choregraphical |Pertaining to choregraphy.
circulatory |1. Circular; as, a circulatory letter. Johnson. 2. Circulating, or going round. T. Warton. 3. (Anat.)  Subserving the purposes of circulation; as, circulatory organs; of or pertaining to the organs of circulation; as, circulatory diseases.\n\nA chemical vessel consisting of two portions unequally exposed to the heat of the fire, and with connecting pipes or passages, through which the fluid rises from the overheated portion, and descends from the relatively colder, maintaining a circulation.
circulet |A circlet. [Obs.] Spenser.
circuline |Proceeding in a circle; circular. [Obs.] \"With motion circuline\". Dr. H. More.
circum- |A Latin preposition, used as a prefix in many English words, and signifying around or about.
circumagitate |To agitate on all sides. Jer. Taylor.
circumambage |A roundabout or indirect course; indirectness. [Obs.] S. Richardson.
circumambiency |The act of surrounding or encompassing. Sir T. Browne.
circumambient |Surrounding; inclosing or being on all sides; encompassing. \"The circumambient heaven.\" J. Armstrong.
circumambulate |To walk round about. -- Cir`cum*am`bu*la\"tion, n.
circumbendibus |A roundabout or indirect way. [Jocular] Goldsmith.
circumcenter |The center of a circle that circumscribes a triangle.
circumcise |1. To cut off the prepuce of foreskin of, in the case of males, and the internal labia of, in the case of females. 2. (Script.)  To purify spiritually.
circumciser |One who performs circumcision. Milton.
circumcision |1. The act of cutting off the prepuce or foreskin of males, or the internal labia of females. Note: The circumcision of males is practiced as a religious rite by the Jews, Mohammedans, etc. 2. (Script.) (a) The Jews, as a circumcised people. (b) Rejection of the sins of the flesh; spiritual purification, and acceptance of the Christian faith.
circumclusion |Act of inclosing on all sides. [R.]
circumcursation |The act of running about; also, rambling language. [Obs.] Barrow.
circumdenudation |Denudation around or in the neighborhood of an object. Hills of circumdenudation, hills which have been produced by surface erosion; the elevations which have been left, after denudation of a mass of high ground. Jukes.
circumduce |To declare elapsed, as the time allowed for introducing evidence. Sir W. Scott.
circumduct |1. To lead about; to lead astray. [R.] 2. (Law)  To contravene; to nullify; as, to circumduct acts of judicature. [Obs.] Ayliffe.
circumduction |1. A leading about; circumlocution. [R.] Hooker. 2. An annulling; cancellation. [R.] Ayliffe. 3. (Phisiol.)  The rotation of a limb round an imaginary axis, so as to describe a concial surface.
circumesophagal |Surrounding the esophagus; -- in Zool. said of the nerve commissures and ganglia of arthropods and mollusks.
circumesophageal |Circumesophagal.
circumfer |To bear or carry round. [Obs.] Bacon.
circumference |1. The line that goes round or encompasses a circular figure; a periphery. Millon. 2. A circle; anything circular. His ponderous shield . . . Behind him cast. The broad circumference Hung on his shoulders like the moon. Milton. 3. The external surface of a sphere, or of any orbicular body.\n\nTo include in a circular space; to bound. [Obs.] Sir T. Browne.
circumferential |Pertaining to the circumference; encompassing; encircling; circuitous. Parkhurst.
circumferentially |So as to surround or encircle.
circumferentor |1. A surveying instrument, for taking horizontal angles and bearings; a surveyor's compass. It consists of a compass whose needle plays over a circle graduated to 360º, and of a horizontal brass bar at the ends of which are standards with narrow slits for sighting, supported on a tripod by a ball and socket joint. 2. A graduated wheel for measuring tires; a tire circle.
circumflant |Blowing around. [Obs.] Evelyn.
circumflect |1. To bend around. 2. To mark with the circumflex accent, as a vowel. [R.]
circumflection |See Circumflexion.
circumflex |1. A wave of the voice embracing both a rise and fall or a fall and a rise on the same a syllable. Walker. 2. A character, or accent, denoting in Greek a rise and of the voice on the same long syllable, marked thus [~ or Accent, n., 2.\n\nTo mark or pronounce with a circumflex. Walker.\n\n1. Moving or turning round; circuitous. [R.] Swift. 2. (Anat.)  Curved circularly; -- applied to several arteries of the hip and thigh, to arteries, veins, and a nerve of the shoulder, and to other parts.
circumflexion |1. The act of bending, or causing to assume a curved form. 2. A winding about; a turning; a circuity; a fold.
circumfluence |A flowing round on all sides; an inclosing with a fluid.
circumfluent |Flowing round; surrounding in the manner of a fluid. \"The deep, circumfluent waves.\" Pope.
circumfluous |Flowing round; surrounding in the manner of a fluid. \"The deep, circumfluent waves.\" Pope.
circumforanean |Going about or abroad; walking or wandering from house to house. Addison.
circumforaneous |Going about or abroad; walking or wandering from house to house. Addison.
circumfulgent |Shining around or about.
circumfuse |To pour round; to spread round. His army circumfused on either wing. Milton.
circumfusile |Capable of being poured or spread round. \"Circumfusile gold.\" Pope.
circumfusion |The act of pouring or spreading round; the state of being spread round. Swift.
circumgestation |The act or process of carrying about. [Obs.] Circumgestation of the eucharist to be adored. Jer. Taylor.
circumgyrate |To roll or turn round; to cause to perform a rotary or circular motion. Ray.
circumgyration |The act of turning, rolling, or whirling round. A certain turbulent and irregular circumgyration. Holland.
circumgyratory |Moving in a circle; turning round. Hawthorne.
circumgyre |To circumgyrate. [Obs.]
circumincession |The reciprocal existence in each other of the three persons of the Trinity.
circumjacence |Condition of being circumjacent, or of bordering ou every side.
circumjacent |Lying round; borderong on every side. T. Fuller.
circumjovial |One of the moons or satellites of the planet Jupiter. [Obs.] Derham.
circumlittoral |Adjointing the shore.
circumlocution |The use of many words to express an idea that might be expressed by few; indirect or roundabout language; a periphrese. the plain Billingagate way of calling names . . . would save abundance of time lost by circumlocution. Swift. Circumlocution office, a term of riducle for a governmental office where business is delayed by passing through the hands of different officials.
circumlocutional |Relating to, or consisting of, circumlocutions; periphrastic; circuitous.
circumlocutory |Characterised by circumlocution; periphrastic. Shenstone. The officials set to work in regular circumlocutory order. Chambers's Journal.
circummeridian |About, or near, the meridian.
circummure |To encompass with a wall. Shak.
circumnavigable |Capable of being sailed round. Ray.
circumnavigate |To sail completely round. Having circumnavigated the whole earth. T. Fuller.
circumnavigation |The act of circumnavigating, or sailing round. Arbuthnot.
circumnavigator |One who sails round. W. Guthrie.
circumnutate |To pass through the stages of circumnutation.
circumnutation |The successive bowing or bending in different directions of the growing tip of the stems of many plants, especially seen in climbing plants.
circumpolar |About the pole; -- applied to stars that revolve around the pole without setting; as, circumpolar stars.
circumposition |The act of placing in a circle, or round about, or the state of being so placed. Evelyn.
circumrotary |turning, rolling, or whirling round.
circumrotate |To rotate about. [R.]
circumrotation |The act of rolling or revolving round, as a wheel; circumvolution; the state of being whirled round. J. Gregory.
circumrotatory |turning, rolling, or whirling round.
circumscissile |Dehiscing or opening by a transverse fissure extending around (a capsule or pod). See Illust. of Pyxidium.
circumscribable |Capable of being circumscribed.
circumscribe |1. to write or engare around. [R.] Thereon is circumscribed this epitaph. Ashmole. 2. To inclose within a certain limit; to hem in; to surround; to bound; to confine; to restrain. To circumscribe royal power. Bancroft. 3. (Geom.)  To draw a line around si as to touch at certain points without cutting. See Inscribe, 5. Syn. -- To bound; limit; restrict; confine; abridge; restrain; environ; encircle; inclose; encompass.
circumscriber |One who, or that which, circumscribes.
circumscriptible |Capable of being circumscribed or limited by bounds.
circumscription |1. An inscription written around anything. [R.] Ashmole. 2. The exterior line which determines the form or magnitude of a body; outline; periphery. Ray. 3. The act of limiting, or the state of being limited, by conditions or restraints; bound; confinement; limit. The circumscriptions of terrestrial nature. Johnson. I would not my unhoused, free condition Put into circumscription and confine. Shak.
circumscriptive |Circumscribing or tending to circumscribe; marcing the limits or form of.
circumscriptively |In a limited manner.
circumscriptly |In a literal, limited, or narrow manner. [R.] Milton.
circumspect |Attentive to all the circustances of a case or the probable consequences of an action; cautious; prudent; wary. Syn. -- See Cautious.
circumspection |Attention to all the facts and circumstances of a case; caution; watchfulness. With silent circumspection, unespied. Milton. Syn. -- Caution; prudence; watchfulness; deliberation; thoughtfulness; wariness; forecast.
circumspective |Looking around everi way; cautious; careful of consequences; watchful of danger. \"Circumspective eyes.\" Pope.
circumspectively |Circumspectly.
circumspectly |In a circumspect manner; cautiously; warily.
circumspectness |Vigilance un guarding against evil from every quarter; caution. [Travel] forces circumspectness on those abroad, who at home are nursed in security. Sir H. Wotton.
circumstance |1. That which attends, or relates to, or in some way affects, a fact or event; an attendant thing or state of things. The circumstances are well known in the country where they happened. W. Irving. 2. An event; a fact; a particular incident. The sculptor had in his thoughts the conqoeror weeping for new worlds, or the like circumstances in histery. Addison. 3. Circumlocution; detail. [Obs.] So without more circumstance at all I hold it fit that shake hands and part. Shak. 4. pl.  Condition in regard to worldly estate; state of property; situation; surroundings. When men are easy in their circumstances, they are naturally enemies to innovations. Addison. Not a circumstance, of no account. [Colloq.] -- Under the circumstances, taking all things into consideration. Syn. -- Event; occurrence; incident; situation; condition; position; fact; detail; item. See Event.\n\nTo place in a particular situation; to suppy relative incidents. The poet took the matters of fact as they came down to him and circumstanced them, after his own manner. Addison.
circumstanced |1. Placed in a particular position or condition; situated. The proposition is, that two bodies so circumstanced will balance each other. Whewell. 2. Governed by events or circumstances. [Poetic & R.] \"I must be circumstanced.\" Shak.
circumstant |Standing or placed around; surrounding. [R.] \"Circumstant bodies.\" Sir K. Digby.
circumstantiable |Capable of being circumstantiated. [Obs.] Jer Taylor.
circumstantial |1. Consisting in, or pertaining to, circumstances or particular incidents. The usual character of human testimony is substantial truth under circumstantial variety. Paley. 2. Incidental; relating to, but not essential. We must therefore distinguish between the essentials in religious worship . . . and what is merely circumstantial. Sharp. 3. Abounding with circumstances; detailing or exhibiting all the circumstances; minute; particular. Tedious and circumstantial recitals. Prior. Circumstantial evidence (Law), evidence obtained from circumstances, which necessarily or usually attend facts of a particular nature, from which arises presumption. According to some authorities circumstantial is distinguished from positive evidence in that the latter is the testimony of eyewitnesses to a fact or the admission of a party; but the prevalent opinion now is that all such testimony is dependent on circumstances for its support. All testimony is more or less circumstantial. Wharton. Syn. -- See Minute.\n\nSomething incidental to the main subject, but of less importance; opposed to an essential; -- generally in the plural; as, the circumstantials of religion. Addison.
circumstantiality |The state, characteristic, or quality of being circumstantial; particularity or minuteness of detail. \"I will endeavor to describe with sufficient circumstantiality.\" De Quincey.
circumstantially |1. In respect to circumstances; not essentially; accidentally. Of the fancy and intellect, the powers are only circumstantially different. Glanvill. 2. In every circumstance or particular; minutely. To set down somewhat circumstantially, not only the events, but the manner of my trials. Boyle.
circumstantiate |1. To place in particular circumstances; to invest with particular accidents or adjuncts. [R.] If the act were otherwise circumstantiated, it might will that freely which now it wills reluctantly. Bramhall. 2. To prove or confirm by circumstances; to entr into details concerning. Neither will time permint to circumstantiate these particulars, which I have only touched in the general. State Trials (1661).
circumterraneous |Being or dwelling around the earth. \"Circumterraneous demouns.\" H. Hallywell.
circumundulate |To flow round, as waves. [R.]
circumvallate |To surround with a rampart or wall. Johnson.\n\n1. Surrounded with a wall; inclosed with a rampart. 2. (Anat.)  Surrounded by a ridle or elevation; as, the circumvallate papillæ, near the base of the tongue.
circumvallation |(a) The act of surrounding with a wall or rampart. (b) A line of field works made around a besieged place and the besieging army, to protect the camp of the besiegers against the attack of an enemy from without.
circumvection |The act of carrying anything around, or the state of being so carried.
circumvent |To gain advantage over by arts, stratagem, or deception; to decieve; to delude; to get around. I circumvented whom I could not gain. Dryden.
circumvention |The act of prevailing over another by arts, address, or fraud; deception; fraud; imposture; delusion. A school in which he learns sly circumvention. Cowper.
circumventive |Tending to circumvent; deceiving by artifices; deluding.
circumventor |One who circumvents; one who gains his purpose by cunning.
circumvest |To cover round, as woth a garment; to invest. [Obs.] Circumvested with much prejudice. Sir H. Wotton.
