freebooty |Freebootery. [Obs.]
fructuation |Produce; fruit, [R.]
fructuous |Fruitful; productive; profitable. [Obs.] Nothing fructuous or profitable. Chaucer. -- Fruc\"tu*ous*ly, adv. -- Fruc\"tu*ous*ness, n. [Obs.]
fructure |Use; fruition; enjoyment. [Obs.] Cotgrave.
frue vanner |A moving, inclined, endless apron on which ore is concentrated by a current of water; a kind of buddle.
frugal |1. Economical in the use or appropriation of resources; not wasteful or lavish; wise in the expenditure or application of force, materials, time, etc.; characterized by frugality; sparing; economical; saving; as, a frugal housekeeper; frugal of time. I oft admire How Nature, wise and frugal, could commit Such disproportions. Milton. 2. Obtained by, or appropriate to, economy; as, a frugal fortune. \"Frugal fare.\" Dryden.
frugality |1. The quality of being frugal; prudent economy; that careful management of anything valuable which expends nothing unnecessarily, and applies what is used to a profitable purpose; thrift; --- opposed to extravagance. Frugality is founded on the principle that all riches have limits. Burke. 2. A sparing use; sparingness; as, frugality of praise. Syn. -- Economy; parsimony. See Economy.
frugally |Thriftily; prudently.
frugalness |, n. Quality of being frugal; frugality.
frugiferous |Producing fruit; fruitful; fructiferous. Dr. H. More.
frugivora |The fruit bate; a group of the Cheiroptera, comprising the bats which live on fruits. See Eruit bat, under Fruit.
frugivorous |Feeding on fruit, as birds and other animals. Pennant.
fruit |1. Whatever is produced for the nourishment or enjoyment of man or animals by the processes of vegetable growth, as corn, grass, cotton, flax, etc.; -- commonly used in the plural. Six years thou shalt sow thy land, and shalt gather in the fruits thereof. Ex. xxiii. 10. 2. (Hort.)  The pulpy, edible seed vessels of certain plants, especially those grown on branches above ground, as apples, oranges, grapes, melons, berries, etc. See 3. 3. (Bot.)  The ripened ovary of a flowering plant, with its contents and whatever parts are consolidated with it. Note: Fruits are classified as fleshy, drupaceous, and -dry. Fleshy fruits include berries, gourds, and melons, orangelike fruita and pomes; drupaceous fruits are stony within and fleshy without, as peaches, plums, and chercies;and dry fruits are further divided into achenes, follicles, legumes, capsules, nuts, and several other kinds. 4. (Bot.)  The spore cases or conceptacles of flowerless plants, as of ferns, mosses, algae, etc., with the spores contained in them. 6. The produce of animals; offspring; young; as, the fruit of the womb, of the loins, of the body. King Edward's fruit, true heir to the English crown. Shak. 6. That which is produced; the effect or consequence of any action; advantageous or desirable product or result; disadvantageous or evil consequence or effect; as, the fruits of labor, of self-denial, of intemperance. The fruit of rashness. Shak. What I obtained was the fruit of no bargain. Burke. They shall eat the fruit of their doings. Is. iii 10. The fruits of this education became visible. Macaulay. Note: Fruit is frequently used adjectively, signifying of, for, or pertaining to a fruit or fruits; as, fruit bud; fruit frame; fruit jar; fruit knife; fruit loft; fruit show; fruit stall; fruit tree; etc. Fruit bat (Zoöl.), one of the Frugivora; -- called also fruit- eating bat. -- Fruit bud (Bot.), a bud that produces fruit; -- in most oplants the same as the power bud. Fruit dot (Bot.), a collection of fruit cases, as in ferns. See Sorus. -- Fruit fly (Zoöl.), a small dipterous insect of the genus Drosophila, which lives in fruit, in the larval state. -- Fruit jar, a jar for holding preserved fruit, usually made of glass or earthenware. -- Fruit pigeon (Zoöl.), one of numerous species of pigeons of the family Carpophagidæ, inhabiting India, Australia, and the Pacific Islands. They feed largely upon fruit. and are noted for their beautiful colors. -- Fruit sugar (Chem.), a kind of sugar occurring, naturally formed, in many ripe fruits, and in honey; levulose. The name is also, though rarely, applied to invert sugar, or to the natural mixture or dextrose and levulose resembling it, and found in fruits and honey. -- Fruit tree (Hort.), a tree cultivated for its edible fruit. -- Fruit worm (Zoöl.), one of numerous species of insect larvæ: which live in the interior of fruit. They are mostly small species of Lepidoptera and Diptera. -- Small fruits (Hort.), currants, raspberries, strawberries, etc.\n\nTo bear fruit. Chesterfield.
fruitage |1. Fruit, collectively; fruit, in general; fruitery. The trees . . . ambrosial fruitage bear. Milton. 2. Product or result of any action; effect, good or ill.
fruiter |A ship for carrying fruit.
fruiterer |One who deals in fruit; a seller of fruits.
fruiteress |A woman who sells fruit.
fruitery |1. Fruit, taken collectively; fruitage. J. Philips. 2. A repository for fruit. Johnson.
fruitestere |A fruiteress. [Obs.]
fruitful |Full of fruit; producing fruit abundantly; bearing results; prolific; fertile; liberal; bountiful; as, a fruitful tree, or season, or soil; a fruitful wife. -- Fruit\"ful*ly, adv. -- Fruit\"ful*ness, n. Be fruitful and multiply and replenish the earth. Gen. i. 28. [Nature] By disburdening grows More fruitful. Milton. The great fruitfulness of the poet's fancy. Addison. Syn. -- Fertile; prolific; productive; fecund; plentiful; rich; abundant; plenteous. See Fertile.
fruiting |Pertaining to, or producing, fruit.\n\nThe bearing of fruit.
fruition |Use or possession of anything, especially such as is accompanied with pleasure or satisfaction; pleasure derived from possession or use. \"Capacity of fruition.\" Rogers. \"Godlike fruition.\" Milton. Where I may have fruition of her love. Shak.
fruitive |Eujoying; possessing. [Obs.] Boyle.
fruitless |1. Lacking, or not bearing, fruit; barren; destitute of offspring; as, a fruitless tree or shrub; a fruitless marriage. Shak. 2. Productive of no advantage or good effect; vain; idle; useless; unprofitable; as, a fruitless attempt; a fruitless controversy. They in mutual accusation spent The fruitless hours. Milton. Syn. -- Useless; barren; unprofitable; abortive; ineffectual; vain; idle; profitless. See Useless. -- Fruit\"less*ly, adv. -- Fruit\"lness*ness, n.
fruity |Having the odor, taste, or appearance of fruit; also, fruitful. Dickens.
frumentaceous |Made of, or resembling, wheat or other grain.
frumentarious |Of or pertaining to wheat or grain. [R.] Coles.
frumentation |A largess of grain bestowed upon the people, to quiet them when uneasy.
frumenty |Food made of hulled wheat boiled in milk, with sugar, plums, etc. [Written also furmenty and furmity.] Halliwell.
frump |To insult; to flout; to mock; to snub. [Obs.] Beau. & Fl.\n\n1. A contemptuous speech or piece of conduct; a gibe or flout. [Obs.] Beau. & Fl. 2. A cross, old-fashioned person; esp., an old woman; a gossip. [Colloq.] Halliwell.
frumper |A mocker. [Obs.] Cotgrave.
frumpish |1. Cross-tempered; scornful. [Obs.] 2. Old-fashioned, as a woman's dress. Our Bell . . . looked very frumpish. Foote.
frush |To batter; to break in pieces. [Obs.] I like thine armor well; I'll frush it and unlock the rivets all. Shak.\n\nEasily broken; brittle; crisp.\n\nNoise; clatter; crash. [R.] Southey.\n\n1. (Far.)  The frog of a horse's foot. 2. A discharge of a fetid or ichorous matter from the frog of a horse's foot; -- also caled thrush.
frustrable |Capable of beeing frustrated or defeated.
frustraneous |Vain; useless; unprofitable. [Obs.] South.
frustrate |Vain; ineffectual; useless; unprofitable; null; voil; nugatory; of no effect. \"Our frustrate search.\" Shak.\n\n1. To bring to nothing; to prevent from attaining a purpose; to disappoint; to defeat; to baffle; as, to frustrate a plan, design, or attempt; to frustrate the will or purpose. Shall the adversary thus obtain His end and frustrate thine Milton. 2. To make null; to nullifly; to render invalid or of no effect; as, to frustrate a conveyance or deed. Syn. -- To balk; thwart; foil; baffle; defeat.
frustrately |In vain. [Obs.] Vicars.
frustration |The act of frustrating; disappointment; defeat; as, the frustration of one's designs
frustrative |Tending to defeat; fallacious. [Obs.] Ainsworth.
frustratory |Making void; rendering null; as, a frustratory appeal. [Obs.] Ayliffe.
frustule |The siliceous shell of a diatom. It is composed of two valves, one overlapping the other, like a pill box and its cover.
frustulent |Abounding in fragments. [R.]
frustum |1. (Geom.)  The part of a solid next the base, formed by cutting off the, top; or the part of any solid, as of a cone, pyramid, etc., between two planes, which may be either parallel or inclined to each other. 2. (Arch.)  One of the drums of the shaft of a column.
frutage |1. A picture of fruit; decoration by representation of fruit. The cornices consist of frutages and festoons. Evelyn. 2. A confection of fruit. [Obs.] Nares.
frutescent |Somewhat shrubby in character; imperfectly shrubby, as the American species of Wistaria.
frutex |A plant having a woody, durable stem, but less than a tree; a shrub.
fruticant |Full of shoots. [Obs.] Evelyn.
fruticose |Pertaining to a shrub or shrubs; branching like a shrub; shrubby; shrublike; as, a fruticose stem. Gray.
fruticous |Fruticose. [R.]
fruticulose |Like, or pertaining to, a small shrub. Gray.
fry |To cook in a pan or on a griddle (esp. with the use of fat, butter, or olive oil) by heating over a fire; to cook in boiling lard or fat; as, to fry fish; to fry doughnuts.\n\n1. To undergo the process of frying; to be subject to the action of heat in a frying pan, or on a griddle, or in a kettle of hot fat. 2. To simmer; to boil. [Obs.] With crackling flames a caldron fries. Dryden The frothy billows fry. Spenser. 3. To undergo or cause a disturbing action accompanied with a sensation of heat. To keep the oil from frying in the stomach. Bacon. 4. To be agitated; to be greatly moved. [Obs.] What kindling motions in their breasts do fry. Fairfax.\n\n1. A dish of anything fried. 2. A state of excitement; as, to be in a fry. [Colloq.]\n\n1. (Zoöl.)  The young of any fish. 2. A swarm or crowd, especially of little fishes; young or small things in general. The fry of children young. Spenser. To sever . . . the good fish from the other fry. Milton. We have burned two frigates, and a hundred and twenty small fry. Walpole.
frying |The process denoted by the verb fry. Frying pan, an iron pan with a long handle, used for frying meat. vegetables, etc.
fu |A department in China comprising several hsein; also, the chief city of a department; -- often forming the last part of a name; as, Paoting-fu.
fuage |Same as Fumage.
fuar |Same as Feuar.
fub |A plump young person or child. [Obs.] Smart.\n\nTo put off by trickery; to cheat. [Obs.] I have been fubbed off, and fubbed off, and fabbed off, from this day to that day. Shak.
fubbery |Cheating; deception. Marston.
fubby |Plump; chubby; short and stuffy; as a fubsy sofa. [Eng.] A fubsy, good-humored, silly . . . old maid. Mme. D'Arblay.
fubs |A plump young person or child. [Obs.] Smart.
fubsy |Plump; chubby; short and stuffy; as a fubsy sofa. [Eng.] A fubsy, good-humored, silly . . . old maid. Mme. D'Arblay.
fucate |Painted; disguised with paint, or with false show.
fucated |Painted; disguised with paint, or with false show.
fuchs |A student of the first year.
fuchsia |A genus of flowering plants having elegant drooping flowers, with four sepals, four petals, eight stamens, and a single pistil. They are natives of Mexico and South America. Double-flowered varieties are now common in cultivation.
fuchsine |Aniline red; an artificial coal-tar dyestuff, of a metallic green color superficially, resembling cantharides, but when dissolved forming a brilliant dark red. It consists of a hydrochloride or acetate of rosaniline. See Rosaniline.
fucivorous |Eating fucus or other seaweeds.
fucoid |(a) Properly, belonging to an order of alga: (Fucoideæ) which are blackish in color, and produce oöspores which are not fertilized until they have escaped from the conceptacle. The common rockweeds and the gulfweed (Sargassum) are fucoid in character. (b) In a vague sense, resembling seaweeds, or of the nature of seaweeds.\n\nA plant, whether recent or fossil, which resembles a seaweed. See Fucoid, a.
fucoidal |1. (Bot.)  Fucoid. 2. (Geol.)  Containing impressions of fossil fucoids or seaweeds; as, fucoidal sandstone.
fucus |1. A paint; a dye; also, false show. [Obs.] 2. (Bot.)  A genus of tough, leathery seaweeds, usually of a dull brownish green color; rockweed. Note: Formerly most marine alg were called fuci.
fucusol |An oily liquid, resembling, and possibly identical with, furfurol, and obtained from fucus, and other seaweeds.
fud |1. The tail of a hare, coney, etc. [Prov. Eng. & Scot.] Burns. 2. Woolen waste, for mixing with mungo and shoddy.
fudder |See Fodder, a weight.
fuddle |To make foolish by drink; to cause to become intoxicated. [Colloq.] I am too fuddled to take care to observe your orders. Steele.\n\nTo drink to excess. [Colloq.]
fuddler |A drunkard. [Colloq.] Baxter.
fudge |A made-up story; stuff; nonsense; humbug; -- often an exclamation of contempt.\n\n1. To make up; to devise; to contrive; to fabricate. Fudged up into such a smirkish liveliness. N. Fairfax. 2. To foist; to interpolate. That last \"suppose\" is fudged in. Foote .
fudge wheel |A tool for ornamenting the edge of a sole.
fuegian |Of or pertaining to Terra del Fuego. -- n.  A native of Terra del Fuego.
fuel |1. Any matter used to produce heat by burning; that which feeds fire; combustible matter used for fires, as wood, coal, peat, etc. 2. Anything that serves to feed or increase passion or excitement. Artificial fuel, fuel consisting of small particles, as coal dust, sawdust, etc., consolidated into lumps or blocks.\n\n1. To feed with fuel. [Obs.] Never, alas I the dreadful name, That fuels the infernal flame. Cowley. 2. To store or furnish with fuel or firing. [Obs.] Well watered and well fueled. Sir H. Wotton.
fueler |One who, or that which, supplies fuel. [R.] [Written also fueller.] Donne.
fuero |(a) A code; a charter; a grant of privileges. (b) A custom having the force of law. (c) A declaration by a magistrate. (d) A place where justice is administered. (e) The jurisdiction of a tribunal. Burrill.
fuff |To puff. [Prov. Eng. A Local, U. S.] Halliwel.
fuffy |Light; puffy. [Prov. Eng. & Local, U. S.]
fuga |A fugue.
fugacious |1. Flying, or disposed to fly; fleeing away; lasting but a short time; volatile. Much of its possessions is so hid, so fugacious, and of so uncertain purchase. Jer. Taylor. 2. (Biol.)  Fleeting; lasting but a short time; -- applied particularly to organs or parts which are short-lived as compared with the life of the individual.
fugaciousness |Fugacity. [Obs.]
fugacity |1. The quality of being fugacious; fugaclousness; volatility; as, fugacity of spirits. Boyle. 2. Uncertainty; instability. Johnson.
fugacy |Banishment. [Obs.] Milton.
fugato |in the gugue style, but not strictly like a fugue. -- n.  A composition resembling a fugue.
fugh |An exclamation of disgust; foh; faugh. Dryden.
fughetta |a short, condensed fugue. Grove.
fugitive |1. Fleeing from pursuit, danger, restraint, etc., escaping, from service, duty etc.; as, a fugitive solder; a fugitive slave; a fugitive debtor. The fugitive Parthians follow. Shak. Can a fugitive daughter enjoy herself while her parents are in tear Richardson A libellous pamphlet of a fugitive physician. Sir H. Wotton. 2. Not fixed; not durable; liable to disappear or fall away; volatile; uncertain; evanescent; liable to fade; -- applied to material and immaterial things; as, fugitive colors; a fugitive idea. The me more tender and fugitive parts, the leaves . . . of vegatables. Woodward. Fugitive compositions, Such as are short and occasional, and so published that they quickly escape notice. Syn. -- Fleeting; unstable; wandering; uncertain; volatile; fugacious; fleeing; evanescent.\n\n1. One who flees from pursuit, danger, restraint, service, duty, etc.; a deserter; as, a fugitive from justice. 2. Something hard to be caught or detained. Or Catch that airy fugitive called wit. Harte. Fugitive from justice (Law), one who, having committed a crime in one jurisdiction, flees or escapes into another to avoid punishment.
fugitively |In a fugitive manner.
fugitiveness |The quality or condition of being fugitive; evanescence; volatility; fugacity; instability.
fugle |To maneuver; to move hither and thither. [Colloq.] Wooden arms with elbow joints jerking and fugling in the air. Carlyle.
fugleman |1. (Mil.)  A soldier especially expert and well drilled, who takes his place in front of a military company, as a guide for the others in their exercises; a file leader. He originally stood in front of the right wing. [Written also flugelman.] 2. Hence, one who leads the way. [Jocose]
fugue |A polyphonic composition, developed from a given theme or themes, according to strict contrapuntal rules. The theme is first given out by one voice or part, and then, while that pursues its way, it is repeated by another at the interval of a fifth or fourth, and so on, until all the parts have answered one by one, continuing their several melodies and interweaving them in one complex progressive whole, in which the theme is often lost and reappears. All parts of the scheme are eternally chasing each other, like the parts of a fugue. Jer. Taylor.
fuguist |A musician who composes or performs fugues. Busby.
fulahs |, Foo\"lahs` (, n. pl.; sing. Fulah, Foolan (. (Ethnol.) A peculiar African race of uncertain origin, but distinct from the negro tribes, inhabiting an extensive region of Western Soudan. Their color is brown or yellowish bronze. They are Mohammedans. Called also Fellatahs, Foulahs, and Fellani. Fulah is also used adjectively; as, Fulah empire, tribes, language.
fulbe |Same as Fulahs.
fulcible |Capable of being propped up. [Obs.] Cockeram.
fulciment |A prop; a fulcrum. [Obs.] Bp. Wilkins.
fulcra |See Fulcrum.
fulcrate |1. (Bot.)  Propped; supported by accessory organs. [R.] Gray. 2. Furnished with fulcrums.
fulcrum |1. A prop or support. 2. (Mech.)  That by which a lever is sustained, or about which it turns in lifting or moving a body. 3. (Bot.)  An accessory organ such as a tendril, stipule, spine, and the like. [R.] Gray. 4. (Zoöl.) (a) The horny inferior surface of the lingua of certain insects. (b) One of the small, spiniform scales found on the front edge of the dorsal and caudal fins of many ganoid fishes. 5. (Anat.)  The connective tissue supporting the framework of the retina of the eye.
fulfill |1. To fill up; to make full or complete. [Obs.] \"Fulfill her week\" Gen. xxix. 27. Suffer thou that the children be fulfilled first, for it is not good to take the bread of children and give to hounds. Wyclif (Mark vii. 27). 2. To accomplish or carry into effect, as an intention, promise, or prophecy, a desire, prayer, or requirement, etc.; to complete by performance; to answer the requisitions of; to bring to pass, as a purpose or design; to effectuate. He will, fulfill the desire of them fear him. Ps. cxlv. 199. Here Nature seems fulfilled in all her ends. Milton. Servants must their masters' minds fulfill. Shak.
fulfiller |One who fulfills. South.
fulfillment |1. The act of fulfilling; accomplishment; completion; as, the fulfillment of prophecy. 2. Execution; performance; as, the fulfillment of a promise.
fulgency |Brightness; splendor; glitter; effulgence. Bailey.
fulgent |Exquisitely bright; shining; dazzling; effulgent. Other Thracians . . . fulgent morions wore. Glower.
fulgently |Dazzlingly; glitteringly.
fulgid |Shining; glittering; dazzling. [R.] Pope.
fulgidity |Splendor; resplendence; effulgence. [R.] Bailey.
fulgor |Dazzling brightness; splendor. [R.] Sir T. Browne.
fulgurant |Lightening. [R.] Dr. H. More.
fulgurata |A spectro-electric tube in which the decomposition of a liquid by the passage of an electric spark is observed. Knight.
fulgurate |To flash as lightning. [R.]
fulgurating |Resembling lightning; -- used to describe intense lancinating painsaccompanying locomotor ataxy.
fulguration |1. The act of lightening. [R.] Donne. 2. (Assaying)  The sudden brightening of a fused globule of gold or silver, when the last film of the oxide of lead or copper leaves its surface; -- also called blick. A phenomenon called, by the old chemists, fulguration. Ure.
fulgurite |A vitrified sand tube produced by the striking of lightning on sand; a lightning tube; also, the portion of rock surface fused by a lightning discharge.
fulgury |Lightning. [Obs.]
fulham |A false die. [Cant] [Written also fullam.] Shak.
fuliginosity |The condition or quality of being fuliginous; sootiness; matter deposited by smoke. [R.]
fuliginous |1. Pertaining to soot; sooty; dark; dusky. 2. Pertaining to smoke; resembling smoke.
fuliginously |In a smoky manner.
fulimart |Same as Foumart.
full |1. Filled up, having within its limits all that it can contain; supplied; not empty or vacant; -- said primarily of hollow vessels, and hence of anything else; as, a cup full of water; a house full of people. Had the throne been full, their meeting would not have been regular. Blackstone. 2. Abundantly furnished or provided; sufficient in. quantity, quality, or degree; copious; plenteous; ample; adequate; as, a full meal; a full supply; a full voice; a full compensation; a house full of furniture. 3. Not wanting in any essential quality; complete, entire; perfect; adequate; as, a full narrative; a person of full age; a full stop; a full face; the full moon. It came to pass, at the end of two full years, that Pharaoh dreamed. Gen. xii. 1. The man commands Like a full soldier. Shak. I can not Request a fuller satisfaction Than you have freely granted. Ford. 4. Sated; surfeited. I am full of the burnt offerings of rams. Is. i. 11. 5. Having the mind filled with ideas; stocked with knowledge; stored with information. Reading maketh a full man. Bacon. 6. Having the attention, thoughts, etc., absorbed in any matter, and the feelings more or less excited by it, as, to be full of some project. Every one is full of the miracles done by cold baths on decayed and weak constitutions. Locke. 7. Filled with emotions. The heart is so full that a drop overfills it. Lowell. 8. Impregnated; made pregnant. [Obs.] Ilia, the fair, . . . full of Mars. Dryden. At full, when full or complete. Shak. -- Full age (Law) the age at which one attains full personal rights; majority; -- in England and the United States the age of 21 years. Abbott. -- Full and by (Naut.), sailing closehauled, having all the sails full, and lying as near the wind as poesible. -- Full band (Mus.), a band in which all the instruments are employed. -- Full binding, the binding of a book when made wholly of leather, as distinguished from half binding. -- Full bottom, a kind of wig full and large at the bottom. -- Full brother or sister, a brother or sister having the same parents as another. -- Full cry (Hunting), eager chase; -- said of hounds that have caught the scent, and give tongue together. -- Full dress, the dress prescribed by authority or by etiquette to be worn on occasions of ceremony. -- Full hand (Poker), three of a kind and a pair. -- Full moon. (a) The moon with its whole disk illuminated, as when opposite to the sun. (b) The time when the moon is full. -- Full organ (Mus.), the organ when all or most stops are out. -- Full score (Mus.), a score in which all the parts for voices and instruments are given. -- Full sea, high water. -- Full swing, free course; unrestrained liberty; \"Leaving corrupt nature to . . . the full swing and freedom of its own extravagant actings.\" South (Colloq.) -- In full, at length; uncontracted; unabridged; written out in words, and not indicated by figures. -- In full blast. See under Blast.\n\nComplete measure; utmost extent; the highest state or degree. The swan's-down feather, That stands upon the swell at full of tide. Shak. Full of the moon, the time of full moon.\n\nQuite; to the same degree; without abatement or diminution; with the whole force or effect; thoroughly; completely; exactly; entirely. The pawn I proffer shall be full as good. Dryden. The diapason closing full in man. Dryden. Full in the center of the sacred wood. Addison. Note: Full is placed before adjectives and adverbs to heighten or strengthen their signification. \"Full sad.\" Milton. \"Master of a full poor cell.\" Shak. \"Full many a gem of purest ray serene.\" T. Gray. Full is also prefixed to participles to express utmost extent or degree; as, full-bloomed, full-blown, full-crammed full-grown, full- laden, full-stuffed, etc. Such compounds, for the most part, are self-defining.\n\nTo become full or wholly illuminated; as, the moon fulls at midnight.\n\nTo thicken by moistening, heating, and pressing, as cloth; to mill; to make compact; to scour, cleanse, and thicken in a mill.\n\nTo become fulled or thickened; as, this material fulls well.
full house |A hand containing three of a kind and a pair, as three kings and two tens. It ranks above a flush and below four of a kind.
full-blooded |1. Having a full supply of blood. 2. Of pure blood; thoroughbred; as, a full-blooded horse.
full-bloomed |Like a perfect blossom. \"Full-bloomed lips.\" Crashaw.
full-blown |1. Fully expanded, as a blossom; as, a full-bloun rose. Denham. 2. Fully distended with wind, as a sail. Dryden.
full-bottomed |1. Full and large at the bottom, as wigs worn by certain civil officers in Great Britain. 2. (Naut.)  Of great capacity below the water line.
full-butt |With direct and violentop position; with sudden collision. [Colloq.] L'Estrange.
full-drive |With full speed. [Colloq.]
full-formed |Full in form or shape; rounded out with flesh. The full-formed maids of Afric. Thomson.
full-grown |Having reached the limits of growth; mature. \"Full-grown wings.\" Lowell.
full-hearted |Full of courage or confidence. Shak.
full-hot |Very fiery. Shak.
full-manned |Completely furnished wiith men, as a ship.
full-orbed |Having the orb or disk complete or fully illuminated; like the full moon.
full-sailed |Having all its sails set,; hence, without restriction or reservation. Massinger.
full-winged |1. Having large and strong or complete wings. Shak. 2. Beady for flight; eager. [Archaic] Beau. & Fl.
fullage |The money or price paid for fulling or cleansing cloth. Johnson.
fullam |A false die. See Fulham.
fuller |One whose occupation is to full cloth. Fuller's earth, a variety of clay, used in scouring and cleansing cloth, to imbibe grease. -- Fuller's herb (Bot.), the soapwort (Saponaria officinalis), formerly used to remove stains from cloth. -- Fuller's thistle or weed (Bot.), the teasel (Dipsacus fullonum) whose burs are used by fullers in dressing cloth. See Teasel.\n\nA die; a half-round set hammer, used for forming grooves and spreading iron; -- called also a creaser.\n\nTo form a groove or channel in, by a fuller or set hammer; as, to fuller a bayonet.
fullery |The place or the works where the fulling of cloth is carried on.
fulling |The process of cleansing, shrinking, and thickening cloth by moisture, heat, and pressure. Fulling mill, a mill for fulling cloth as by means of pesties or stampers, which alternately fall into and rise from troughs where the cloth is placed with hot water and fuller's earth, or other cleansing materials.
fullmart |See Foumart. B. Jonson.
fullness |The state of being full, or of abounding; abundance; completeness. [Written also fulness.] \"In thy presence is fullness of joy.\" Ps. xvi. 11.
fullonical |Pertaining to a fuller of cloth. [Obs.] Blount.
fully |In a full manner or degree; completely; entirely; without lack or defect; adequately; satisfactorily; as, to be fully persuaded of the truth of a proposition. Fully committed (Law), committed to prison for trial, in distinction from being detained for examination. Syn. -- Completely; entirely; maturely; plentifuly; abundantly; plenteously; copiously; largely; amply; sufficiently; perfectly.
fulmar |One of several species of sea birds, of the family procellariidæ, allied to the albatrosses and petrels. Among the well- known species are the arctic fulmar (Fulmarus glacialis) (called also fulmar petrel, malduck, and mollemock), and the giant fulmar (Ossifraga gigantea).
fulminant |Thundering; fulminating. [R.] Bailey.
fulminate |1. To thunder; hence, to make a loud, sudden noise; to detonate; to explode with a violent report. 2. To issue or send forth decrees or censures with the assumption of supreme authority; to thunder forth menaces.\n\n1. To cause to explode. Sprat. 2. To utter or send out with denunciations or censures; -- said especially of menaces or censures uttered by ecclesiastical authority. They fulminated the most hostile of all decrees. De Quincey.\n\n(a) A salt of fulminic acid. See under Fulminic. (b) A fulminating powder. Fulminate of gold, an explosive compound of gold; -- called also fulminating gold, and aurum fulminans.
fulminating |1. Thundering; exploding in a peculiarly sudden or violent manner. 2. Hurling denunciations, menaces, or censures. Fulminating oil, nitroglycerin. -- Fulminating powder (Chem.) any violently explosive powder, but especially one of the fulminates, as mercuric fulminate.
fulmination |1. The act of fulminating or exploding; detonation. 2. The act of thundering forth threats or censures, as with authority. 3. That which is fulminated or thundered forth; vehement menace or censure. The fulminations from the Vatican were turned into ridicule. Ayliffe.
fulminatory |Thundering; striking terror. Cotgrave.
fulmine |To thunder. [Obs.] Spenser. Milton.\n\nTo shoot; to dart like lightning; to fulminate; to utter with authority or vehemence. She fulmined out her scorn of laws Salique. Tennyson.
fulmineous |Of, or concerning thunder.
fulminic |Pertaining to fulmination; detonating; specifically (Chem.), pertaining to, derived from, or denoting, an acid, so called; as, fulminic acid. Fulminic acid (Chem.), a complex acid, H2C2N2O2, isomeric with cyanic and cyanuric acids, and not known in the free state, but forming a large class of highly explosive salts, the fulminates. Of these, mercuric fulminate, the most common, is used, mixed with niter, to fill percussion caps, charge cartridges, etc. -- Fulminic acid is made by the action of nitric acid on alcohol.
fulminuric |Pertaining to fulminic and cyanuric acids, and designating an acid so called. Fulminuric acid (Chem.), a white, crystalline, explosive subatance, H3C3N3O3, forming well known salts, and obtained from the fulnunates. It is isomeric with cyanuric acid, and hence is also called isocyanuric acid.
fulness |See Fullness.\n\nSee Fullness.
fulsamic |Fulsome. [Obs.]
fulsome |1. Full; abundant; plenteous; not shriveled. [Obs.] His lean, pale, hoar, and withered corpse grew fulsome, fair, and fresh. Golding. 2. Offending or disgusting by overfullness, excess, or grossness; cloying; gross; nauseous; esp., offensive from excess of praise; as, fulsome flattery. And lest the fulsome artifice should fail Themselves will hide its coarseness with a veil. Cowper. 3. Lustful; wanton; obscene; also, tending to obscenity. [Obs.] \"Fulsome ewes.\" Shak. -- Ful\"some*ly, adv. -- Ful\"some*ness, n. Dryden.
fulvid |Fulvous. [R.] Dr. H. More.
fulvous |Tawny; dull yellow, with a mixture of gray and brown. Lindley.
fum |To play upon a fiddle. [Obs.] Follow me, and fum as you go. B. Jonson.
fumacious |Smoky; hence, fond of smoking; addicted to smoking tobacco.
fumade |A salted and smoked fish, as the pilchard.
fumado |A salted and smoked fish, as the pilchard.
fumage |Hearth money. Fumage, or fuage, vulgarly called smoke farthings. Blackstone.
fumarate |A salt of fumaric acid.
fumaric |Pertaining to, or derived from, fumitory (Fumaria officinalis). Fumaric acid (Chem.), a widely occurring organic acid, exttracted from fumitory as a white crystallline substance, C2H2(CO2H)2, and produced artificially in many ways, as by the distillation of malic acid; boletic acid. It is found also in the lichen, Iceland moss, and hence was also called lichenic acid.
fumarine |An alkaloid extracted from fumitory, as a white crystalline substance.
fumarole |A hole or spot in a volcanic or other region, from which fumes issue.
fumatorium |An air-tight compartment in which vapor may be generated to destroy germs or insects; esp., the apparatus used to destroy San José scale on nursery stock, with hydrocyanic acid vapor.
fumatory |See Fumitory. [Obs.]
fumble |1. To feel or grope about; to make awkward attempts to do or find something. Adams now began to fumble in his pockets. Fielding. 2. To grope about in perplexity; to seek awkwardly; as, to fumble for an excuse. Dryden. My understanding flutters and my memory fumbles. Chesterfield. Alas! how he fumbles about the domains. Wordsworth. 3. To handle much; to play childishly; to turn over and over. I saw him fumble with the sheets, and play with flowers. Shak.\n\nTo handle or manage awkwardly; to crowd or tumble together. Shak.
fumbler |One who fumbles.
fumblingly |In the manner of one who fumbles.
