loather |One who loathes.
loose |1. Unbound; untied; unsewed; not attached, fastened, fixed, or confined; as, the loose sheets of a book. Her hair, nor loose, nor tied in formal plat. Shak. 2. Free from constraint or obligation; not bound by duty, habit, etc. ; -- with from or of. Now I stand Loose of my vow; but who knows Cato's thoughts Addison. 3. Not tight or close; as, a loose garment. 4. Not dense, close, compact, or crowded; as, a cloth of loose texture. With horse and chariots ranked in loose array. Milton. 5. Not precise or exact; vague; indeterminate; as, a loose style, or way of reasoning. The comparison employed . . . must be considered rather as a loose analogy than as an exact scientific explanation. Whewel. 6. Not strict in matters of morality; not rigid according to some standard of right. The loose morality which he had learned. Sir W. Scott. 7. Unconnected; rambling. Vario spends whole mornings in running over loose and unconnected pages. I. Watts. 8. Lax; not costive; having lax bowels. Locke. 9. Dissolute; unchaste; as, a loose man or woman. Loose ladies in delight. Spenser. 10. Containing or consisting of obscene or unchaste language; as, a loose epistle. Dryden. At loose ends, not in order; in confusion; carelessly managed. -- Fast and loose. See under Fast. -- To break loose. See under Break. -- Loose pulley. (Mach.) See Fast and loose pulleys, under Fast. -- To let loose, to free from restraint or confinement; to set at liberty.\n\n1. Freedom from restraint. [Obs.] Prior. 2. A letting go; discharge. B. Jonson. To give a loose, to give freedom. Vent all its griefs, and give a loose to sorrow. Addison.\n\n1. To untie or unbind; to free from any fastening; to remove the shackles or fastenings of; to set free; to relieve. Canst thou . . . loose the bands of Orion Job. xxxviii. 31. Ye shall find an ass tied, and a colt with her; loose them, and bring them unto me. Matt. xxi. 2. 2. To release from anything obligatory or burdensome; to disengage; hence, to absolve; to remit. Art thou loosed from a wife seek not a wife. 1 Cor. vii. 27. Whatsoever thou shalt loose on earth shall be loosed in heaven. Matt. xvi. 19. 3. To relax; to loosen; to make less strict. The joints of his loins were loosed. Dan. v. 6. 4. To solve; to interpret. [Obs.] Spenser.\n\nTo set sail. [Obs.] Acts xiii. 13.
loosely |In a loose manner.
loosen |1. To make loose; to free from tightness, tension, firmness, or fixedness; to make less dense or compact; as, to loosen a string, or a knot; to loosen a rock in the earth. After a year's rooting, then shaking doth the tree good by loosening of the earth. Bacon. 2. To free from restraint; to set at liberty.. It loosens his hands, and assists his understanding. Dryden. 3. To remove costiveness from; to facilitate or increase the alvine discharges of. Bacon.\n\nTo become loose; to become less tight, firm, or compact. S. Sharp.
loosener |One who, or that which, loosens.
looseness |The state, condition, or quality, of being loose; as, the looseness of a cord; looseness of style; looseness of morals or of principles.
loosestrife |(a) The name of several species of plants of the genus Lysimachia, having small star-shaped flowers, usually of a yellow color. (b) Any species of the genus Lythrum, having purple, or, in some species, crimson flowers. Gray. False loosestrife, a plant of the genus Ludwigia, which includes several species, most of which are found in the United States. -- Tufted loosestrife, the plant Lysimachia thyrsiflora, found in the northern parts of the United States and in Europe. Gray.
loosish |Somewhat loose.
loot |1. The act of plundering. 2. Plunder; booty; especially, the boot taken in a conquered or sacked city.\n\nTo plunder; to carry off as plunder or a prize lawfully obtained by war. Looting parties . . . ransacking the houses. L.O
looter |A plunderer.
loover |See Louver.
lop |A flea.[Obs.] Cleveland.\n\n1. To cut off as the top or extreme part of anything; to shoas, to lop a tree or its branches. \"With branches lopped, in wood or mountain felled.\" Milton. Expunge the whole, or lop the excrescent parts. Pope. 2. To cut partly off and bend down; as, to lop bushes in a hedge.\n\nThat which is lopped from anything, as branches from a tree. Shak. Mortimer.\n\nTo hang downward; to be pendent; to lean to one side.\n\nTo let hang down; as, to lop the head.\n\nHanging down; as, lop ears; -- used also in compound adjectives; as, lopeared; lopsided.
lope |of Leap. [Obs.] And, laughing, lope into a tree. Spenser.\n\n1. To leap; to dance. [Prov. Eng.] \"He that lopes on the ropes.\" Middleton. 2. To move with a lope, as a horse. [U.S.]\n\n1. A leap; a long step. [Prov. Eng.] 2. An easy gait, consisting of long running strides or leaps. [U.S.] The mustang goes rollicking ahead, with the eternal lope, . . . a mixture of two or three gaits, as easy as the motions of a crade. T. B. Thorpe.
lopeared |Having ears which lop or hang down.
lopeman |Leaper; ropedancer. [Obs.]
loper |1. One who, or that which, lopes; esp., a horse that lopes. [U.S.] 2. (Rope Making)  A swivel at one end of a ropewalk, used in laying the strands.
lophine |A nitrogenous organic base obtained by the oxidation of amarine, and regarded as a derivative of benzoic aldehyde. It is obtained in long white crystalline tufts, -- whence its name.
lophiomys |A very singular rodent (Lophiomys Imhausi) of Northeastern Africa. It is the only known representative of a special family (Lophiomyidæ), remarkable for the structure of the skull. It has handlike feet, and the hair is peculiar in structure and arrangement.
lophobranch |Of or pertaining to the Lophobranchii. -- n.  One of the Lophobranchii.
lophobranchiate |Of or pertaining to the Lophobranchii.
lophobranchii |An order of teleostean fishes, having the gills arranged in tufts on the branchial arches, as the Hippocampus and pipefishes.
lophophore |A disk which surrounds the mouth and bears the tentacles of the Bryozoa. See Phylactolemata.
lophopoda |Same as Phylactolemata.
lophosteon |The central keel-bearing part of the sternum in birds.
loppard |A tree, the top of which has been lopped off. [Eng.]
lopper |One who lops or cuts off.\n\nTo turn sour and coagulate from too long standing, as milk.
lopping |A cutting off, as of branches; that which is cut off; leavings. The loppings made from that stock whilst it stood. Burke.
loppy |Somewhat lop; inclined to lop.
lopseed |A perennial herb (Phryma Leptostachya), having slender seedlike fruits.
lopsided |1. Leaning to one side because of some defect of structure; as, a lopsided ship. Marryat. 2. Unbalanced; poorly proportioned; full of idiosyncrasies. J. S. Mill.
loquacious |1. Given to continual talking; talkative; garrulous. Loquacious, brawling, ever in the wrong. Dryden. 2. Speaking; expressive. [R.] J. Philips. 3. Apt to blab and disclose secrets. Syn. -- Garrulous; talkative. See Garrulous.
loquaciously |In a loquacious manner.
loquaciousness |Loquacity.
loquacity |The habit or practice of talking continually or excessively; inclination to talk too much; talkativeness; garrulity. Too great loquacity and too great taciturnity by fits. Arbuthnot.
loquat |The fruit of the Japanese medlar (Photinia Japonica). It is as large as a small plum, but grows in clusters, and contains four or five large seeds. Also, the tree itself.
loral |Of or pertaining to the lores.\n\nOf or pertaining to the lore; -- said of certain feathers of birds, scales of reptiles, etc.
lorate |Having the form of a thong or strap; ligulate.
lorcha |A kind of light vessel used on the coast of China, having the hull built on a European model, and the rigging like that of a Chinese junk. Admiral Foote.
lord |A hump-backed person; -- so called sportively. [Eng.] Richardson (Dict.).\n\n1. One who has power and authority; a master; a ruler; a governor; a prince; a proprietor, as of a manor. But now I was the lord Of this fair mansion. Shak. Man over men He made not lord. Milton. 2. A titled nobleman., whether a peer of the realm or not; a bishop, as a member of the House of Lords; by courtesy; the son of a duke or marquis, or the eldest son of an earl; in a restricted sense, a boron, as opposed to noblemen of higher rank. [Eng.] 3. A title bestowed on the persons above named; and also, for honor, on certain official persons; as, lord advocate, lord chamberlain, lord chancellor, lord chief justice, etc. [Eng.] 4. A husband. \"My lord being old also.\" Gen. xviii. 12. Thou worthy lord Of that unworthy wife that greeteth thee. Shak. 5. (Feudal Law)  One of whom a fee or estate is held; the male owner of feudal land; as, the lord of the soil; the lord of the manor. 6. The Supreme Being; Jehovah. Note: When Lord, in the Old Testament, is printed in small capitals, it is usually equivalent to Jehovah, and might, with more propriety, be so rendered. 7. The Savior; Jesus Christ. House of Lords, one of the constituent parts of the British Parliament, consisting of the lords spiritual and temporal. -- Lord high chancellor, Lord high constable, etc. See Chancellor, Constable, etc. -- Lord justice clerk, the second in rank of the two highest judges of the Supreme Court of Scotland. -- Lord justice general, or Lord president, the highest in rank of the judges of the Supreme Court of Scotland. -- Lord keeper, an ancient officer of the English crown, who had the custody of the king's great seal, with authority to affix it to public documents. The office is now merged in that of the chancellor. -- Lord lieutenant, a representative of British royalty: the lord lieutenant of Ireland being the representative of royalty there, and exercising supreme administrative authority; the lord lieutenant of a county being a deputy to manage its military concerns, and also to nominate to the chancellor the justices of the peace for that county. -- Lord of misrule, the master of the revels at Christmas in a nobleman's or other great house. Eng. Cyc. -- Lords spiritual, the archbishops and bishops who have seats in the House of Lords. -- Lords temporal, the peers of England; also, sixteen representative peers of Scotland, and twenty-eight representatives of the Irish peerage. -- Our lord, Jesus Christ; the Savior. -- The Lord's Day, Sunday; the Christian Sabbath, on which the Lord Jesus rose from the dead. -- The Lord's Prayer, the prayer which Jesus taught his disciples. Matt. vi. 9-13. -- The Lord's Supper. (a) The paschal supper partaken of by Jesus the night before his crucifixion. (b) The sacrament of the eucharist; the holy communion. -- The Lord's Table. (a) The altar or table from which the sacrament is dispensed. (b) The sacrament itself.\n\n1. To invest with the dignity, power, and privileges of a lord. [R.] Shak. 2. To rule or preside over as a lord. [R.]\n\nTo play the lord; to domineer; to rule with arbitrary or despotic sway; -- sometimes with over; and sometimes with it in the manner of a transitive verb. The whiles she lordeth in licentious bliss. Spenser. I see them lording it in London streets. Shak. And lorded over them whom now they serve. Milton.
lording |1. The son of a lord; a person of noble lineage. [Obs.] Spenser. 2. A little lord; a lordling; a lord, in contempt or ridicule. [Obs.] Swift. Note: In the plural, a common ancient mode of address equivalent to \"Sirs\" or \"My masters.\" Therefore, lordings all, I you beseech. Chaucer.
lordkin |A little lord. Thackeray.
lordlike |1. Befitting or like a lord; lordly. 2. Haughty; proud; insolent; arrogant.
lordliness |The state or quality of being lordly. Shak.
lordling |A little or insignificant lord. Goldsmith.
lordly |1. Suitable for a lord; of or pertaining to a lord; resembling a lord; hence, grand; noble; dignified; honorable. She brought forth butter in a lordly dish. Judges v. 25. Lordly sins require lordly estates to support them. South. The maidens gathered strength and grace And presence, lordlier than before. Tennyson. 2. Proud; haughty; imperious; insolent. Lords are lordliest in their wine. Milton. Syn. -- Imperious; haughty; overbearing; tyrannical; despotic; domineering; arrogant. See Imperious.\n\nIn a lordly manner.
lordolatry |Worship of, or reverence for, a lord as such. [Jocose] But how should it be otherwise in a country where lordolatry is part of our creed Thackeray.
lordosis |(a) A curvature of the spine forwards, usually in the lumbar region. (b) Any abnormal curvature of the bones.
lords and ladies |The European wake-robin (Arum maculatum), -- those with purplish spadix the lords, and those with pale spadix the ladies. Dr. Prior.
lordship |1. The state or condition of being a lord; hence (with his or your), a title applied to a lord (except an archbishop or duke, who is called Grace) or a judge (in Great Britain), etc. 2. Seigniory; domain; the territory over which a lord holds jurisdiction; a manor. What lands and lordships for their owner know My quondam barber. Dryden. 3. Dominion; power; authority. They which are accounted to rule over the Gentiles exercise lordship over them. Mark x. 42.
lore |(a) The space between the eye and bill, in birds, and the corresponding region in reptiles and fishes. (b) The anterior portion of the cheeks of insects.\n\nLost. Neither of them she found where she them lore. Spenser.\n\n1. That which is or may be learned or known; the knowledge gained from tradition, books, or experience; often, the whole body of knowledge possessed by a people or class of people, or pertaining to a particular subject; as, the lore of the Egyptians; priestly lore; legal lore; folklore. \"The lore of war.\" Fairfax. His fair offspring, nursed in princely lore. Milton. 2. That which is taught; hence, instruction; wisdom; advice; counsel. Chaucer. If please ye, listen to my lore. Spenser. 3. Workmanship. [Obs.] Spenser.
loreal |Of or pertaining to the lore; -- said of certain feathers of birds, scales of reptiles, etc.
lorel |A good for nothing fellow; a vagabond. [Obs.] Chaucer.
loren |of Lose. Chaucer.
loresman |An instructor. [Obs.] Gower.
loreto nuns |Members of a congregation of nuns founded by Mrs. Mary Teresa Ball, near Dublin, Ireland, in 1822, and now spread over Ireland, India, Canada, and the United States. The nuns are called also Ladies of Loreto. They are engaged in teaching girls.
lorette |In France, a name for a woman who is supported by her lovers, and devotes herself to idleness, show, and pleasure; -- so called from the church of Notre Dame de Lorette, in Paris, near which many of them resided.
lorettine |One of a order of nuns founded in 1812 at Loretto, in Kentucky. The members of the order (called also Sisters of Loretto, or Friends of Mary at the Foot of the Cross) devote themselves to the cause of education and the care of destitute orphans, their labors being chiefly confined to the Western United States.
loretto nuns |Members of a congregation of nuns founded by Mrs. Mary Teresa Ball, near Dublin, Ireland, in 1822, and now spread over Ireland, India, Canada, and the United States. The nuns are called also Ladies of Loreto. They are engaged in teaching girls.
lorgnette |An opera glass; pl.  elaborate double eyeglasses.
lori |Same as Lory.
lorica |1. (Anc. Armor)  A cuirass, originally of leather, afterward of plates of metal or horn sewed on linen or the like. 2. (Chem.)  Lute for protecting vessels from the fire. 3. (Zoöl.)  The protective case or shell of an infusorian or rotifer.
loricata |(a) A suborder of edentates, covered with bony plates, including the armadillos. (b) The crocodilia.
loricate |To cover with some protecting substance, as with lute, a crust, coating, or plates.\n\nCovered with a shell or exterior made of plates somewhat like a coat of mail, as in the armadillo.\n\nAn animal covered with bony scales, as crocodiles among reptiles, and the pangolins among mammals.
lorication |The act of loricating; the protecting substance put on; a covering of scales or plates.
lorikeet |Any one numerous species of small brush-tongued parrots or lories, found mostly in Australia, New Guinea and the adjacent islands, with some forms in the East Indies. They are arboreal in their habits and feed largely upon the honey of flowers. They belong to Trichoglossus, Loriculus, and several allied genera.
lorimer |A maker of bits, spurs, and metal mounting for bridles and saddles; hence, a saddler. [Obs.] Holinshed.
loriner |A maker of bits, spurs, and metal mounting for bridles and saddles; hence, a saddler. [Obs.] Holinshed.
loring |Instructive discourse. [Obs.] Spenser.
loriot |The golden oriole of Europe. See Oriole.
loris |Any one of several species of small lemurs of the genus Stenops. They have long, slender limbs and large eyes, and are arboreal in their habits. The slender loris (S. gracilis), of Ceylon, in one of the best known species. [Written also lori.]
lorn |1. Lost; undone; ruined. [Archaic] If thou readest, thou art lorn. Sir W. Scott. 2. Forsaken; abandoned; solitary; bereft; as, a lone, lorn woman.
lorrie |A small cart or wagon, as those used on the tramways in mines to carry coal or rubbish; also, a barrow or truck for shifting baggage, as at railway stations.
lorry |A small cart or wagon, as those used on the tramways in mines to carry coal or rubbish; also, a barrow or truck for shifting baggage, as at railway stations.
lory |Any one of many species of small parrots of the family Trichoglossidæ, generally having the tongue papillose at the tip, and the mandibles straighter and less toothed than in common parrots. They are found in the East Indies, Australia, New Guinea, and the adjacent islands. They feed mostly on soft fruits and on the honey of flowers. Note: The lory, or louri, of South Africa is the white-crested plantain eater or turacou. See Turacou.
los |Praise. See Loos. [Obs.] Chaucer.
losable |Such as can be lost.
losange |See Lozenge.
lose |1. To part with unintentionally or unwillingly, as by accident, misfortune, negligence, penalty, forfeit, etc.; to be deprived of; as, to lose money from one's purse or pocket, or in business or gaming; to lose an arm or a leg by amputation; to lose men in battle. Fair Venus wept the sad disaster Of having lost her favorite dove. Prior. 2. To cease to have; to possess no longer; to suffer diminution of; as, to lose one's relish for anything; to lose one's health. If the salt hath lost his savor, wherewith shall it be salted Matt. v. 13. 3. Not to employ; to employ ineffectually; to throw away; to waste; to squander; as, to lose a day; to lose the benefits of instruction. The unhappy have but hours, and these they lose. Dryden. 4. To wander from; to miss, so as not to be able to and; to go astray from; as, to lose one's way. He hath lost his fellows. Shak 5. To ruin; to destroy; as destroy; as, the ship was lost on the ledge. The woman that deliberates is lost. Addison. 6. To be deprived of the view of; to cease to see or know the whereabouts of; as, he lost his companion in the crowd. Like following life thro' creatures you dissect, You lose it in the moment you detect. Pope . 7. To fail to obtain or enjoy; to fail to gain or win; hence, to fail to catch with the mind or senses; to miss; as, I lost a part of what he said. He shall in no wise lose his reward. Matt. x. 42. I fought the battle bravely which I lost, And lost it but to Macedonians. Dryden. 8. To cause to part with; to deprive of. [R.] How should you go about to lose him a wife he loves with so much passion Sir W. Temple. 9. To prevent from gaining or obtaining. O false heart ! thou hadst almost betrayed me to eternal flames, and lost me this glory. Baxter. To lose ground, to fall behind; to suffer gradual loss or disadvantage. -- To lose heart, to lose courage; to become timid. \"The mutineers lost heart.\" Macaulay. -- To lose one's head, to be thrown off one's balance; to lose the use of one's good sense or judgment. In the excitement of such a discovery, many scholars lost their heads. Whitney. -- To lose one's self. (a) To forget or mistake the bearing of surrounding objects; as, to lose one's self in a great city. (b) To have the perceptive and rational power temporarily suspended; as, we lose ourselves in sleep. -- To lose sight of. (a) To cease to see; as, to lose sight of the land. (b) To overlook; to forget; to fail to perceive; as, he lost sight of the issue.\n\nTo suffer loss, disadvantage, or defeat; to be worse off, esp. as the result of any kind of contest. We 'll . . . hear poor rogues Talk of court news; and we'll talk with them too, Who loses and who wins; who's in, who's out. Shak.
losel |One who loses by sloth or neglect; a worthless person; a lorel. [Archaic] Spenser. One sad losel soils a name for aye. Byron.\n\nWasteful; slothful.
losenger |A flatterer; a deceiver; a cozener. [Obs.] Chaucer. To a fair pair of gallows, there to end their lives with shame, as a number of such other losengers had done. Holinshed.
losengerie |Flattery; deceit; trickery. [Obs.] Chaucer.
loser |One who loses. South.
losing |Given to flattery or deceit; flattering; cozening. [Obs.] Amongst the many simoniacal that swarmed in the land, Herbert, Bishop of Thetford, must not be forgotten; nick-named Losing, that is, the Fratterer. Fuller.\n\nCausing or incurring loss; as, a losing game or business. Who strive sit out losing hands are lost. Herbert.
losingly |In a manner to incur loss.
loss |1. The act of losing; failure; destruction; privation; as, the loss of property; loss of money by gaming; loss of health or reputation. Assured loss before the match be played. Shak. 2. The state of losing or having lost; the privation, defect, misfortune, harm, etc., which ensues from losing. Though thou repent, yet I have still the loss. Shak 3. That which is lost or from which one has parted; waste; -- opposed to gain or increase; as, the loss of liquor by leakage was considerable. 4. The state of being lost or destroyed; especially, the wreck or foundering of a ship or other vessel. 5. Failure to gain or win; as, loss of a race or battle. 6. Failure to use advantageously; as, loss of time. 7. (Mil.)  Killed, wounded, and captured persons, or captured property. 8. (Insurance)  Destruction or diminution of value, if brought about in a manner provided for in the insurance contract (as destruction by fire or wreck, damage by water or smoke), or the death or injury of an insured person; also, the sum paid or payable therefor; as, the losses of the company this year amount to a million of dollars. To bear a loss, to make a loss good; also, to sustain a loss without sinking under it. -- To be at a loss, to be in a state of uncertainty. Syn. -- Privation; detriment; injury; damage.
lossful |Detrimental. [Obs.] Bp. Hall.
lossless |Free from loss. [Obs.] Milton.
lost |1. Parted with unwillingly or unintentionally; not to be found; missing; as, a lost book or sheep. 2. Parted with; no longer held or possessed; as, a lost limb; lost honor. 3. Not employed or enjoyed; thrown away; employed ineffectually; wasted; squandered; as, a lost day; a lost opportunity or benefit. 5. Having wandered from, or unable to find, the way; bewildered; perplexed; as, a child lost in the woods; a stranger lost in London. 6. Ruined or destroyed, either physically or morally; past help or hope; as, a ship lost at sea; a woman lost to virtue; a lost soul. 7. Hardened beyond sensibility or recovery; alienated; insensible; as, lost to shame; lost to all sense of honor. 8. Not perceptible to the senses; no longer visible; as, an island lost in a fog; a person lost in a crowd. 9. Occupied with, or under the influence of, something, so as to be insensible of external things; as, to be lost in thought. Lost motion (Mach.), the difference between the motion of a driver and that of a follower, due to the yielding of parts or looseness of joints.
lot |1. That which happens without human design or forethought; chance; accident; hazard; fortune; fate. But save my life, which lot before your foot doth lay. Spenser. 2. Anything (as a die, pebble, ball, or slip of paper) used in determining a question by chance, or without man's choice or will; as, to cast or draw lots. The lot is cast into the lap, but the whole disposing thereof is of the Lord. Prov. xvi. 33. If we draw lots, he speeds. Shak. 3. The part, or fate, which falls to one, as it were, by chance, or without his planning. O visions ill foreseen! Each day's lot's Enough to bear. Milton. He was but born to try The lot of man -- to suffer and to die. Pope. 4. A separate portion; a number of things taken collectively; as, a lot of stationery; -- colloquially, sometimes of people; as, a sorry lot; a bad lot. I, this winter, met with a very large lot of English heads, chiefly of the reign of James I. Walpole. 5. A distinct portion or plot of land, usually smaller than a field; as, a building lot in a city. The defendants leased a house and lot in the city of New York. Kent. 6. A large quantity or number; a great deal; as, to spend a lot of money; lots of people think so. [Colloq.] He wrote to her . . . he might be detained in London by a lot of business. W. Black. 7. A prize in a lottery. [Obs.] Evelyn. To cast in one's lot with, to share the fortunes of. -- To cast lots, to use or throw a die, or some other instrument, by the unforeseen turn or position of which, an event is by previous agreement determined. -- To draw lots, to determine an event, or make a decision, by drawing one thing from a number whose marks are concealed from the drawer. -- To pay scot and lot, to pay taxes according to one's ability. See Scot.\n\nTo allot; to sort; to portion. [R.] To lot on or upon, to count or reckon upon; to expect with pleasure. [Colloq. U. S.]
lote |A large tree (Celtis australis), found in the south of Europe. It has a hard wood, and bears a cherrylike fruit. Called also nettle tree. Eng. Cyc.\n\nThe European burbot.\n\nTo lurk; to lie hid. [Obs.] Chaucer.
loth |See Loath, Loathly, etc.
lothario |A gay seducer of women; a libertine.
lothly |See Loath, Loathly, etc.
lothsome |See Loath, Loathly, etc.
lotion |1. A washing, especially of the skin for the purpose of rendering it fair. 2. A liquid preparation for bathing the skin, or an injured or diseased part, either for a medicinal purpose, or for improving its appearance.
loto |See Lotto.
lotong |An East Indian monkey (Semnopithecus femoralis).
lotophagi |A people visited by Ulysses in his wanderings. They subsisted on the lotus. See Lotus (b), and Lotus-eater.
lotos |See Lotus.
lotos-eater |One who ate the fruit or leaf of the lotus, and, as a consequence, gave himself up to indolence and daydreams; one of the Lotophagi. The mild-eyed melancholy Lotos-eaters. Tennyson.
lottery |1. A scheme for the distribution of prizes by lot or chance; esp., a gaming scheme in which one or more tickets bearing particular numbers draw prizes, and the rest of tickets are blanks. Fig. : An affair of chance. Note: The laws of the United States and of most of the States make lotteries illegal. 2. Allotment; thing allotted. [Obs.] Shak.
lotto |A game of chance, played with cards, on which are inscribed numbers, and any contrivance (as a wheel containing numbered balls) for determining a set of numbers by chance. The player holding a card having on it the set of numbers drawn from the wheel takes the stakes after a certain percentage of them has been deducted for the dealer. A variety of lotto is called keno. [Often written loto.]
loture |See Lotion. [Obs.] Holland.
lotus |1. (Bot.) (a) A name of several kinds of water lilies; as Nelumbium speciosum, used in religious ceremonies, anciently in Egypt, and to this day in Asia; Nelumbium luteum, the American lotus; and Nymphæa Lotus and N. cærulea, the respectively white-flowered and blue-flowered lotus of modern Egypt, which, with Nelumbium speciosum, are figured on its ancient monuments. (b) The lotus of the lotuseaters, probably a tree found in Northern Africa, Sicily, Portugal, and Spain (Zizyphus Lotus), the fruit of which is mildly sweet. It was fabled by the ancients to make strangers who ate of it forget their native country, or lose all desire to return to it. (c) The lote, or nettle tree. See Lote. (d) A genus (Lotus) of leguminous plants much resembling clover. [Written also lotos.] European lotus, a small tree (Diospyros Lotus) of Southern Europe and Asia; also, its rather large bluish black berry, which is called also the date plum. 2. (Arch.)  An ornament much used in Egyptian architecture, generally asserted to have been suggested by the Egyptian water lily.
lotus-eater |One who ate the fruit or leaf of the lotus, and, as a consequence, gave himself up to indolence and daydreams; one of the Lotophagi. The mild-eyed melancholy Lotos-eaters. Tennyson.
louchettes |Goggles intended to rectify strabismus by permitting vision only directly in front. Knight.
loud |1. Having, making, or being a strong or great sound; noisy; striking the ear with great force; as, a loud cry; loud thunder. They were instant with loud voices, requiring that he might be crucified. Luke xxiii. 23. 2. Clamorous; boisterous. She is loud and stubborn. Prov. vii. 11. 3. Emphatic; impressive; urgent; as, a loud call for united effort. [Colloq.] 4. Ostentatious; likely to attract attention; gaudy; as, a loud style of dress; loud colors. [Slang] Syn. -- Noisy; boisterous; vociferous; clamorous; obstreperous; turbulent; blustering; vehement.\n\nWith loudness; loudly. To speak loud in public assemblies. Addison.
loud-mouthed |Having a loud voice; talking or sounding noisily; noisily impudent.
loud-voiced |Having a loud voice; noisy; clamorous. Byron.
loudful |Noisy. [Obs.] Marsion.
loudly |In a loud manner. Denham.
loudness |The quality or state of being loud.
lough |A loch or lake; -- so spelt in Ireland.\n\nof Laugh. Chaucer. LOUIS D'OR Lou\"is d'or`. Etym: [F., gold louis.]  Formerly, a gold coin of France nominally worth twenty shillings sterling, but of varying value; -- first struck in 1640.
louis quatorze |Of, pertaining to, or resembling, the art or style of the times of Louis XIV. of France; as, Louis quatorze architecture.
louk |An accomplice; a \"pal.\" [Obs.] There is no thief without a louk. Chaucer.
lounge |To spend time lazily, whether lolling or idly sauntering; to pass time indolently; to stand, sit, or recline, in an indolent manner. We lounge over the sciences, dawdle through literature, yawn over politics. J. Hannay.\n\n1. An idle gait or stroll; the state of reclining indolently; a place of lounging. She went with Lady Stock to a bookseller's whose shop lounge. Miss Edgeworth. 2. A piece of furniture resembling a sofa, upon which one may lie or recline.
lounger |One who lounges; ar idler.
loup |See 1st Loop.
loup-cervier |The Canada lynx. See Lynx.
loup-garou |A werewolf; a lycanthrope. The superstition of the loup-garou, or werewolf, belongs to the folklore of most modern nations, and has its reflex in the story of \"Little Red Riding-hood\" and others. Brinton.
loup-loup |The Pomeranian or Spitz dog.
louping |An enzoötic, often fatal, disease of sheep and other domestic animals, of unknown cause. It is characterized by muscular tremors and spasms, followed by more or less complete paralysis. The principal lesion is an inflammation of the membranes covering the brain and spinal cord.
loups |The Pawnees, a tribe of North American Indians whose principal totem was the wolf.
lour |An Asiatic sardine (Clupea Neohowii), valued for its oil.
louri |See Lory.
louse |1. Any one of numerous species of small, wingless, suctorial, parasitic insects belonging to a tribe (Pediculina), now usually regarded as degraded Hemiptera. To this group belong of the lice of man and other mammals; as, the head louse of man (Pediculus capitis), the body louse (P. vestimenti), and the crab louse (Phthirius pubis), and many others. See Crab louse, Dog louse, Cattle louse, etc., under Crab, Dog, etc. 2. Any one of numerous small mandibulate insects, mostly parasitic on birds, and feeding on the feathers. They are known as Mallophaga, or bird lice, though some occur on the hair of mammals. They are usually regarded as degraded Pseudoneuroptera. See Mallophaga. 3. Any one of the numerous species of aphids, or plant lice. See Aphid. 4. Any small crustacean parasitic on fishes. See Branchiura, and Ichthvophthira. Note: The term is also applied to various other parasites; as, the whale louse, beelouse, horse louse. Louse fly (Zoöl.), a parasitic dipterous insect of the group Pupipara. Some of them are wingless, as the bee louse. -- Louse mite (Zoöl.), any one of numerous species of mites which infest mammals and birds, clinging to the hair and feathers like lice. They belong to Myobia, Dermaleichus, Mycoptes, and several other genera.\n\nTo clean from lice. \"You sat and loused him.\" Swift.
lousewort |Any species of Pedicularis, a genus of perennial herbs. It was said to make sheep that fed on it lousy. Yellow lousewort , a plant of the genus Rhinanthus.
lousily |In a lousy manner; in a mean, paltry manner; scurvily. [Vulgar]
lousiness |The state or quality of being lousy.
lousy |1. Infested with lice. 2. Mean; contemptible; as, lousy knave. [Vulgar] Such lousy learning as this is. Bale.
lout |To bend; to box; to stoop. [Archaic] Chaucer. Longfellow. He fair the knight saluted, louting low. Spenser.\n\nA clownish, awkward fellow; a bumpkin. Sir P. Sidney.\n\nTo treat as a lout or fool; to neglect; to disappoint. [Obs.] Shak.
loutish |Clownish; rude; awkward. \"Loutish clown.\" Sir P. Sidney. -- Lout\"ish*ly, adv. -- Lout\"*ish*ness, n.
loutou |A crested black monkey (Semnopithecus maurus) of Java.
louver |A small lantern. See Lantern, 2 (a) [Written also lover, loover, lovery, and luffer.] Louver boards or boarding, the sloping boards set to shed rainwater outward in openings which are to be left otherwise unfilled; as belfry windows, the openings of a louver, etc. -- Louver work, slatted work.
louvre |A small lantern. See Lantern, 2 (a) [Written also lover, loover, lovery, and luffer.] Louver boards or boarding, the sloping boards set to shed rainwater outward in openings which are to be left otherwise unfilled; as belfry windows, the openings of a louver, etc. -- Louver work, slatted work.
lovable |Having qualities that excite, or are fitted to excite, love; worthy of love. Elaine the fair, Elaine the lovable, Elaine, the lily maid of Astolat. Tennyson.
lovage |An umbelliferous plant (Levisticum officinale), sometimes used in medicine as an aromatic stimulant.
