resupply |To supply again.
revocation |1. The act of calling back, or the state of being recalled; recall. One that saw the people bent for the revocation of Calvin, gave him notice of their affection. Hooker. 2. The act by which one, having the right, annuls an act done, a power or authority given, or a license, gift, or benefit conferred; repeal; reversal; as, the revocation of an edict, a power, a will, or a license.
revocatory |Of or pertaining to revocation; tending to, or involving, a revocation; revoking; recalling.
revoice |To refurnish with a voice; to refit, as an organ pipe, so as to restore its tone.
revoke |1. To call or bring back; to recall. [Obs.] The faint sprite he did revoke again, To her frail mansion of morality. Spenser. 2. Hence, to annul, by recalling or taking back; to repeal; to rescind; to cancel; to reverse, as anything granted by a special act; as, , to revoke a will, a license, a grant, a permission, a law, or the like. Shak. 3. To hold back; to repress; to restrain. [Obs.] [She] still strove their sudden rages to revoke. Spenser. 4. To draw back; to withdraw. [Obs.] Spenser. 5. To call back to mind; to recollect. [Obs.] A man, by revoking and recollecting within himself former passages, will be still apt to inculcate these sad memoris to his conscience. South. Syn. -- To abolish; recall; repeal; rescind; countermand; annul; abrogate; cancel; reverse. See Abolish.\n\nTo fail to follow suit when holding a card of the suit led, in violation of the rule of the game; to renege. Hoyle.\n\nThe act of revoking. She [Sarah Battle] never made a revoke. Lamb.
revokement |Revocation. [R.] Shak.
revoker |One who revokes.
revokingly |By way of revocation.
revolt |1. To turn away; to abandon or reject something; specifically, to turn away, or shrink, with abhorrence. But this got by casting pearl to hogs, That bawl for freedom in their senseless mood, And still revolt when trith would set them free. Milton. HIs clear intelligence revolted from the dominant sophisms of that time. J. Morley. 2. Hence, to be faithless; to desert one party or leader for another; especially, to renounce allegiance or subjection; to rise against a government; to rebel. Our discontented counties do revolt. Shak. Plant those that have revolted in the van. Shak. 3. To be disgusted, shocked, or grossly offended; hence, to feel nausea; -- with at; as, the stomach revolts at such food; his nature revolts at cruelty.\n\n1. To cause to turn back; to roll or drive back; to put to flight. [Obs.] Spenser. 2. To do violence to; to cause to turn away or shrink with abhorrence; to shock; as, to revolt the feelings. This abominable medley is made rather to revolt young and ingenuous minds. Burke. To derive delight from what inflicts pain on any sentient creatuure revolted his conscience and offended his reason. J. Morley.\n\n1. The act of revolting; an uprising against legitimate authority; especially, a renunciation of allegiance and subjection to a government; rebellion; as, the revolt of a province of the Roman empire. Who first seduced them to that foul revolt Milton. 2. A revolter. [Obs.] \"Ingrate revolts.\" Shak. Syn. -- Insurrection; sedition; rebellion; mutiny. See Insurrection.
revolter |One who revolts.
revolting |Causing abhorrence mixed with disgust; exciting extreme repugnance; loathsome; as, revolting cruelty. -- Re*volt\"ing*ly, adv.
revoluble |Capable of revolving; rotatory; revolving. [Obs.] Us, then, to whom the thrice three year Hath filled his revoluble orb since our arrival here, I blame not. Chapman.
revolute |Rolled backward or downward. Note: A revolute leaf is coiled downwards, with the lower surface inside the coil. A leaf with revolute margins has the edges rolled under, as in the Andromeda polifilia.
revolution |1. The act of revolving, or turning round on an axis or a center; the motion of a body round a fixed point or line; rotation; as, the revolution of a wheel, of a top, of the earth on its axis, etc. 2. Return to a point before occupied, or to a point relatively the same; a rolling back; return; as, revolution in an ellipse or spiral. That fear Comes thundering back, with dreadful revolution, On my defenseless head. Milton. 3. The space measured by the regular return of a revolving body; the period made by the regular recurrence of a measure of time, or by a succession of similar events. \"The short revolution of a day.\" Dryden. 4. (Astron.)  The motion of any body, as a planet or satellite, in a curved line or orbit, until it returns to the same point again, or to a point relatively the same; -- designated as the annual, anomalistic, nodical, sidereal, or tropical revolution, according as the point of return or completion has a fixed relation to the year, the anomaly, the nodes, the stars, or the tropics; as, the revolution of the earth about the sun; the revolution of the moon about the earth. Note: The term is sometimes applied in astronomy to the motion of a single body, as a planet, about its own axis, but this motion is usually called rotation. 5. (Geom.)  The motion of a point, line, or surface about a point or line as its center or axis, in such a manner that a moving point generates a curve, a moving line a surface (called a surface of revolution), and a moving surface a solid (called a solid of revolution); as, the revolution of a right-angled triangle about one of its sides generates a cone; the revolution of a semicircle about the diameter generates a sphere. 6. A total or radical change; as, a revolution in one's circumstances or way of living. The ability . . . of the great philosopher speedily produced a complete revolution throughout the department. Macaulay. 7. (Politics)  A fundamental change in political organization, or in a government or constitution; the overthrow or renunciation of one government, and the substitution of another, by the governed. The violence of revolutions is generally proportioned to the degree of the maladministration which has produced them. Macaulay. Note: When used without qualifying terms, the word is often applied specifically, by way of eminence, to: (a) The English Revolution in 1689, when William of Orange and Mary became the reigning sovereigns, in place of James II. (b) The American Revolution, beginning in 1775, by which the English colonies, since known as the United States, secured their independence. (c) The revolution in France in 1789, commonly called the French Revolution, the subsequent revolutions in that country being designated by their dates, as the Revolution of 1830, of 1848, etc.
revolutionary |Of or pertaining to a revolution in government; tending to, or promoting, revolution; as, revolutionary war; revolutionary measures; revolutionary agitators.\n\nA revolutionist. [R.] Dumfries was a Tory town, and could not tolerate a revolutionary. Prof. Wilson.
revolutioner |One who is engaged in effecting a revolution; a revolutionist. Smollett.
revolutionism |The state of being in revolution; revolutionary doctrines or principles.
revolutionist |One engaged in effecting a change of government; a favorer of revolution. Burke.
revolutionize |To change completely, as by a revolution; as, to revolutionize a government. Ames. The gospel . . . has revolutionized his soul. J. M. Mason.
revolutive |Inclined to revolve things in the mind; meditative. [Obs.] Feltham.
revolvable |That may be revolved.
revolve |1. To turn or roll round on, or as on, an axis, like a wheel; to rotate, -- which is the more specific word in this sense. If the earth revolve thus, each house pear the equator must move a thousand miles an hour. I. Watts. 2. To move in a curved path round a center; as, the planets revolve round the sun. 3. To pass in cycles; as, the centuries revolve. 4. To return; to pass. [R.] Ayliffe.\n\n1. To cause to turn, as on an axis. Then in the east her turn she shines, Revolved on heaven's great axile. Milton. 2. Hence, to turn over and over in the mind; to reflect repeatedly upon; to consider all aspects of. This having heard, straight I again revolved The law and prophets. Milton.
revolvement |Act of revolving. [R.]
revolvency |The act or state of revolving; revolution. [Archaic] Its own revolvency upholds the world. Cowper.
revolver |One who, or that which, revolves; specifically, a firearm ( commonly a pistol) with several chambers or barrels so arranged as to revolve on an axis, and be discharged in succession by the same lock; a repeater.
revolving |Making a revolution or revolutions; rotating; -- used also figuratively of time, seasons, etc., depending on the revolution of the earth. But grief returns with the revolving year. Shelley. Revolving seasons, fruitless as they pass. Cowper. Revolving firearm. See Revolver. -- Revolving light, a light or lamp in a lighthouse so arranged as to appear and disappear at fixed intervals, either by being turned about an axis so as to show light only at intervals, or by having its light occasionally intercepted by a revolving screen.
revulse |To pull back with force. [R.] Cowper.
revulsion |1. A strong pulling or drawing back; withdrawal. \"Revulsions and pullbacks.\" SSir T. Brovne. 2. A sudden reaction; a sudden and complete change; -- applied to the feelings. A sudden and violent revulsion of feeling, both in the Parliament and the country, followed. Macaulay. 3. (Med.)  The act of turning or diverting any disease from one part of the body to another. It resembles derivation, but is usually applied to a more active form of counter irritation.
revulsive |Causing, or tending to, revulsion.\n\nThat which causes revulsion; specifically (Med.), a revulsive remedy or agent.
rew |A row. [Obs.] Chaucer. \"A rew of sundry colored stones.\" Chapman.
rewake |To wake again.
reward |To give in return, whether good or evil; -- commonly in a good sense; to requite; to recompense; to repay; to compensate. After the deed that is done, one doom shall reward, Mercy or no mercy as truth will accord. Piers Plowman. Thou hast rewarded me good, whereas I have rewarded thee evil. 1 Sam. xxiv. 17. I will render vengeance to mine enemies, and will reward them that hate me. Deut. xxxii. 41. God rewards those that have made use of the single talent. Hammond.\n\n1. Regard; respect; consideration. [Obs.] Take reward of thine own value. Chaucer. 2. That which is given in return for good or evil done or received; esp., that which is offered or given in return for some service or attainment, as for excellence in studies, for the return of something lost, etc.; recompense; requital. Thou returnest From flight, seditious angel, to receive Thy merited reward. Milton. Rewards and punishments do always presuppose something willingly done well or ill. Hooker. 3. Hence, the fruit of one's labor or works. The dead know not anything, neither have they any more a reward. Eccl. ix. 5. 4. (Law)  Compensation or remuneration for services; a sum of money paid or taken for doing, or forbearing to do, some act. Burrill. Syn. -- Recompense; compensation; remuneration; pay; requital; retribution; punishment.
rewardable |Worthy of reward. -- Re*ward\"a*ble*ness, n. -- Re*ward\"a*bly, adv.
rewarder |One who rewards.
rewardful |Yielding reward. [R.]
rewardless |Having, or affording, no reward.
rewe |Tu rue. [Obs.] Chaucer.
rewel bone |An obsolete phrase of disputed meaning, -- perhaps, smooth or polished bone. His saddle was of rewel boon. Chaucer.
rewet |A gunlock. [R.]
rewful |Rueful. [Obs.] Chaucer.
rewin |To win again, or win back. The Palatinate was not worth the rewinning. Fuller.
rewle |Rule. [Obs.] Chaucer.
rewme |Realm. [Obs.] Piers Plowman.
reword |1. To repeat in the same words; to reëcho. [Obs.] Shak. 2. To alter the wording of; to restate in other words; as, to reword an idea or a passage.
rewrite |To write again. Young.
rewth |Ruth. [Obs.] Chaucer.
rex |A king. To play rex, to play the king; to domineer. [Obs.]
reyn |Rain or rein. [Obs.] Chaucer.
reynard |An appelation applied after the manner of a proper name to the fox. Same as Renard.
reyse |To raise. [Obs.] Chaucer.\n\nTo go on a military expedition. [Obs.] Chaucer.
rez-de-chaussee |The ground story of a building, either on a level with the street or raised slightly above it; -- said esp. of buildings on the continent of Europe. Tier above tier of neat apartments rise over the little shops which form the rez-de-chaussée. The Century.
rhabarbarate |Impregnated or tinctured with rhubarb. Floyer.
rhabarbarin |Chrysophanic acid.
rhabarbarine |Chrysophanic acid.
rhabdite |1. (Zoöl.)  A minute smooth rodlike or fusiform structure found in the tissues of many Turbellaria. 2. (Zoöl.)  One of the hard parts forming the ovipositor of insects.
rhabdocoela |A suborder of Turbellaria including those that have a simple cylindrical, or saclike, stomach, without an intestine.
rhabdocoelous |Of or pertaining to the Rhabdocoela.
rhabdoidal |See Sagittal.
rhabdolith |A minute calcareous rodlike structure found both at the surface and the bottom of the ocean; -- supposed by some to be a calcareous alga.
rhabdology |Same as Rabdology.
rhabdom |One of numerous minute rodlike structures formed of two or more cells situated behind the retinulæ in the compound eyes of insects, etc. See Illust. under Ommatidium.
rhabdomancy |Same as Rabdomancy.
rhabdomere |One of the several parts composing a rhabdom.
rhabdophora |An extinct division of Hydrozoa which includes the graptolities.
rhabdopleura |A genus of marine Bryozoa in which the tubular cells have a centralchitinous axis and the tentacles are borne on a bilobed lophophore. It is the type of the order Pterobranchia, or Podostomata
rhabdosphere |A minute sphere composed of rhabdoliths.
rhachialgia |See Rachialgia.
rhachidian |Of or pertaining to the rhachis; as, the rhachidian teeth of a mollusk.
rhachiglossa |A division of marine gastropods having a retractile proboscis and three longitudinal rows of teeth on the radula. It includes many of the large ornamental shells, as the miters, murices, olives, purpuras, volutes, and whelks. See Illust. in Append.
rhachilla |A branch of inflorescence; the zigzag axis on which the florets are arranged in the spikelets of grasses.
rhachiodont |Having gular teeth formed by a peculiar modification of the inferior spines of some of the vertebræ, as certain South African snakes (Dasypelits) which swallow birds' eggs and use these gular teeth to crush them.
rhachis |1. (Anat.)  The spine. 2. (Bot.) (a) The continued stem or midrib of a pinnately compound leaf, as in a rose leaf or a fern. (b) The principal axis in a raceme, spike, panicle, or corymb. 3. (Zoöl.) (a) The shaft of a feather. The rhachis of the after-shaft, or plumule, is called the hyporhachis. (b) The central cord in the stem of a crinoid. (c) The median part of the radula of a mollusk. (d) A central cord of the ovary of nematodes.
rhachitis |See Rachitis.
rhadamanthine |Of or pertaining to Rhadamanthus; rigorously just; as, a Rhadamanthine judgment.
rhadamanthus |One of the three judges of the internal regions; figuratively, a strictly just judge.
rhadamanthys |One of the three judges of the internal regions; figuratively, a strictly just judge.
rhaetian |Rhetian.
rhaetic |Pertining to, or of the same horizon as, certain Mesozoic strata of the Rhetian Alps. These strata are regarded as closing the Triassic period. See the Chart of Geology.
rhaetizite |A variety of the mineral cyanite.
rhamadan |See Ramadan.
rhamnaceous |Of or pertaining to a natural order of shrubs and trees (Rhamnaceæ, or Rhamneæ) of which the buckthorn (Rhamnus) is the type. It includes also the New Jersey tea, the supple-jack, and one of the plants called lotus (Zizyphus).
rhamnus |A genus of shrubs and small trees; buckthorn. The California Rhamnus Purchianus and the European R. catharticus are used in medicine. The latter is used for hedges.
rhamphorhynchus |A genus of pterodactyls in which the elongated tail supported a leathery expansion at the tip.
rhamphotheca |The horny covering of the bill of birds.
rhaphe |The continuation of the seed stalk along the side of an anatropous ovule or seed, forming a ridge or seam. [Written also raphe.] Gray.
rhaphides |Minute transparent, often needlle-shaped, crystals found in the tissues of plants. [Written also raphides.]
rhaponticine |Chrysophanic acid.
rhapsode |A rhapsodist. [R.] Grote.
rhapsoder |A rhapsodist. [Obs.]
rhapsodic |Of or pertaining to rhapsody; consisting of rhapsody; hence, confused; unconnected. -- Rhap*sod\"ic*al*ly, adv.\n\nOf or pertaining to rhapsody; consisting of rhapsody; hence, confused; unconnected. -- Rhap*sod\"ic*al*ly, adv.
rhapsodist |1. Anciently, one who recited or composed a rhapsody; especially, one whose profession was to recite the verses of Hormer and other epic poets. 2. Hence, one who recites or sings poems for a livelihood; one who makes and repeats verses extempore. The same populace sit for hours listening to rhapsodists who recite Ariosto. Carlyle. 3. One who writes or speaks disconnectedly and with great excitement or affectation of feeling. I. Watts.
rhapsodize |To utter as a rhapsody, or in the manner of a rhapsody Sterne.\n\nTo utter rhapsodies. Jefferson.
rhapsodomancy |Divination by means of verses.
rhapsody |1. A recitation or song of a rhapsodist; a portion of an epic poem adapted for recitation, or usually recited, at one time; hence, a division of the Iliad or the Odyssey; -- called also a book. 2. A disconnected series of sentences or statements composed under excitement, and without dependence or natural connection; rambling composition. \"A rhapsody of words.\" Shak. \"A rhapsody of tales.\" Locke. 3. (Mus.)  A composition irregular in form, like an improvisation; as, Liszt's \"Hungarian Rhapsodies.\",
  "remorse |1. The anguish, like gnawing pain, excited by a sense of guilt; compunction of conscience for a crime committed, or for the sins of one's past life. \"Nero will be tainted with remorse.\" Shak. 2. Sympathetic sorrow; pity; compassion. Curse on the unpardoning prince, whom tears can draw To no remorse. Dryden. But evermore it seem'd an easier thing At once without remorse to strike her dead. Tennyson. Syn. -- Compunction; regret; anguish; grief; compassion. See Compunction.
rhatanhy |The powerfully astringent root of a half-shrubby Peruvian plant (Krameria triandra). It is used in medicine and to color port wine. [Written also ratany.] Savanilla rhatany, the root of Krameria Ixina, a native of New Granada.
rhatany |The powerfully astringent root of a half-shrubby Peruvian plant (Krameria triandra). It is used in medicine and to color port wine. [Written also ratany.] Savanilla rhatany, the root of Krameria Ixina, a native of New Granada.
rhea |The ramie or grass-cloth plant. See Grass-cloth plant, under Grass.\n\nAny one of three species of large South American ostrichlike birds of the genera Rhea and Pterocnemia. Called also the American ostrich. Note: The common rhea, or nandou (Rhea Americana), ranges from Brazil to Patagonia. Darwin's rhea (Pterocnemia Darwinii), of Patagonia, is smaller, and has the legs feathered below the knee.
rheae |A suborder of struthious birds including the rheas.
rheeboc |The peele. [Written also reebok.]
rheic |Pertaining to, or designating, an acid (commonly called chrysophanic acid) found in rhubarb (Rheum). [Obsoles.]
rhein |Chrysophanic acid.
rheinberry |One of the berries or drupes of the European buckthorn; also, the buckthorn itself.
rhematic |Having a verb for its base; derived from a verb; as, rhematic adjectives. Ftzed. Hall.\n\nThe doctrine of propositions or sentences. Coleridge.
rhemish |Of or pertaining to Rheimis, or Reima, in France. Rhemish Testament, the English version of the New Testament used by Roman Catholics. See Douay Bible.
rhenish |Of or pertaining to the river Rhine; as, Rhenish wine. -- n.  Rhine wine.
rheochord |A metallic wire used for regulating the resistance of a circuit, or varying the strength of an electric current, by inserting a greater or less length of it in the circuit.
rheocrat |A kind of motor speed controller permitting of very gradual variation in speed and of reverse. It is especially suitable for use with motor driven machine tools.
rheometer |1. (Physics)  An instrument for measuring currents, especially the force or intensity of electrical currents; a galvanometer. 2. (Physiol.)  An instrument for measuring the velocity of the blood current in the arteries.
rheometric |Of or pertaining to a rheometer or rheometry. Lardner.
rheometry |1. The measurement of the force or intensity of currents. 2. (Math.)  The calculus; fluxions. [R.]
rheomotor |Any apparatus by which an electrical current is originated. [R.]
rheophore |(a) A connecting wire of an electric or voltaic apparatus, traversed by a current. (b) One of the poles of a voltaic battery; an electrode.
rheoscope |An instrument for detecting the presence or movement of currents, as of electricity.
rheostat |A contrivance for adjusting or regulating the strength of electrical currents, operating usually by the intercalation of resistance which can be varied at will. Wheatstone. --Rhe`o*stat\"ic, a.
rheotome |An instrument which periodically or otherwise interrupts an electric current. Wheatstone.
rheotrope |An instrument for reversing the direction of an electric current. [Written also reotrope.]
rhesus |A monkey; the bhunder.
rhetian |Pertaining to the ancient Rhæti, or Rhætians, or to Rhætia, their country; as, the Rhetian Alps, now the country of Tyrol and the Grisons.
rhetic |Pertining to, or of the same horizon as, certain Mesozoic strata of the Rhetian Alps. These strata are regarded as closing the Triassic period. See the Chart of Geology.\n\nSame as Rhætic.
rhetizite |A variety of the mineral cyanite.\n\nSame as Rhætizite.
rhetor |A rhetorician. [Obs.] Hammond.
rhetoric |1. The art of composition; especially, elegant composition in prose. 2. Oratory; the art of speaking with propriety, elegance, and force. Locke. 3. Hence, artificial eloquence; fine language or declamation without conviction or earnest feeling. 4. Fig. : The power of persuasion or attraction; that which allures or charms. Sweet, silent rhetoric of persuading eyes. Daniel.
rhetorical |Of or pertaining to rhetoric; according to, or exhibiting, rhetoric; oratorical; as, the rhetorical art; a rhetorical treatise; a rhetorical flourish. They permit him to leave their poetical taste ungratified, provided that he gratifies their rhetorical sense. M. Arnold. -- Rhe*tor\"ic*al*ly, adv. -- Rhe*tor\"ic*al*ness, n.
rhetoricate |To play the orator. [Obs.] South.
rhetorication |Rhetorical amplification. [Obs.] Waterland.
rhetorician |1. One well versed in the rules and principles of rhetoric. The understanding is that by which a man becomes a mere logician and a mere rhetorician. F. W. Robertson. 2. A teacher of rhetoric. The ancient sophists and rhetoricians, which ever had young auditors, lived till they were an hundred years old. Bacon. 3. An orator; specifically, an artificial orator without genuine eloquence; a declaimer. Macaulay.\n\nSuitable to a master of rhetoric. \"With rhetorician pride.\" Blackmore.
rhetorize |To play the orator. Colgrave.\n\nTo represent by a figure of rhetoric, or by personification. Milton.
rheum |A genus of plants. See Rhubarb.\n\nA serous or mucous discharge, especially one from the eves or nose. I have a rheum in mine eyes too. Shak. Salt rheum. (Med.) See Salt rheum, in the Vocab.
rheumatic |1. Derived from, or having the character of, rheum; rheumic. [Obs.] 2. (Med.)  Of or pertaining to rheumatism; as, rheumatic pains or affections; affected with rheumatism; as, a rheumatic old man; causing rheumatism; as, a rheumatic day. That rheumatic diseases do abound. Shak.\n\nOne affected with rheumatism.
rheumatism |A general disease characterized by painful, often multiple, local inflammations, usually affecting the joints and muscles, but also extending sometimes to the deeper organs, as the heart. Inflammatory rheumatism (Med.), acute rheumatism attended with fever, and attacking usually the larger joints, which become swollen, hot, and very painful. -- Rheumatism root. (Bot.) See Twinleaf.
rheumatismal |Of or pertaining to rheumatism.
rheumatismoid |Of or resembling rheum or rheumatism.
rheumic |Pertaining to, or characterized by, rheum. Rheumic diathesis. See Dartrous diathesis, under Dartrous.
rheumides |The class of skin disease developed by the dartrous diathesis. See under Dartrous.
rheumy |Of or pertaining to rheum; abounding in, or causing, rheum; affected with rheum. His head and rheumy eyes distill in showers. Dryden. And tempt the rheumy and unpurged air To add unto his sickness. Shak.
rhigolene |A mixture of volatile hydrocarbons intermediate between gsolene and cymogene. It is obtained in the purification of crude petroleum, and is used as a refregerant.
rhime |See Rhyme. [Obs.]
rhinal |Og or pertaining to the nose or olfactory organs.
rhinaster |The borele.
rhine |A water course; a ditch. [Written also rean.] [Prov. Eng.] Macaulay.
rhinencephalic |Of or pertaining to the rhinencephalon.
rhinencephalon |The division of the brain in front of the prosencephalon, consisting of the two olfactory lobes from which the olfactory nerves arise. Note: The term is sometimes used for one of the olfactory lobes, the plural being used for the two taken together.
rhinestone |A colorless stone of high luster, made of paste. It is much used as an inexpensive ornament.
rhinitis |Infllammation of the nose; esp., inflammation of the mucous membrane of the nostrils.
rhino |Gold and silver, or money. [Cant] W. Wagstaffe. As long as the rhino lasted. Marryat.
rhino- |A combining form from Greek the nose, as in rhinolith, rhinology.
rhinocerial |Of or pertaining to the rhinoceros; resembling the rhinoceros, or his horn. Tatler.
rhinocerical |Of or pertaining to the rhinoceros; resembling the rhinoceros, or his horn. Tatler.
rhinoceros |Any pachyderm belonging to the genera Rhinoceros, Atelodus, and several allied genera of the family Rhinocerotidæ, of which several living, and many extinct, species are known. They are large and powerful, and usually have either one or two stout conical median horns on the snout. Note: The Indian, or white, and the Javan rhinoceroses (Rhinoceros Indicus and R. Sondaicus) have incisor and canine teeth, but only one horn, and the very thick skin forms shieldlike folds. The two or three African species belong to Atelodus, and have two horns, but lack the dermal folds, and the incisor and canine teeth. The two Malay, or East Indian, two-horned species belong to Ceratohinus, in which incisor and canine teeth are present. See Borele, and Keitloa. Rhinoceros auk (Zoöl.), an auk of the North Pacific (Cerorhina monocrata) which has a deciduous horn on top of the bill. -- Rhinoceros beetle (Zoöl.), a very large beetle of the genus Dynastes, having a horn on the head. -- Rhinoceros bird. (Zoöl.) (a) A large hornbill (Buceros rhinoceros), native of the East Indies. It has a large hollow hornlike process on the bill. Called also rhinoceros hornbill. See Hornbill. (b) An African beefeater (Buphaga Africana). It alights on the back of the rhinoceros in search of parasitic insects.
rhinocerote |A rhinoceros. [Obs.] B. Jonson.
rhinocerotic |Of or pertaining to the rhinoceros. [R.]
rhinolite |A concretion formed within the cavities of the nose.
rhinolith |A concretion formed within the cavities of the nose.
rhinological |Of or pertaining to rhinology.
rhinologist |One skilled in rhinology.
rhinology |The science which treats of the nose, and its diseases.
rhinolophid |Any species of the genus Rhinilophus, or family Rhinolophidæ, having a horseshoe-shaped nasal crest; a horseshoe bat.
rhinolophine |Like or pertaining to the rhinolophids, or horseshoe bats.
rhinophore |One of the two tentacle-like organs on the back of the head or neck of a nudibranch or tectibranch mollusk. They are usually retractile, and often transversely furrowed or plicate, and are regarded as olfactory organs. Called also dorsal tentacles. See Illust. under Pygobranchia, and Opisthobranchia.
rhinoplastic |Of or pertaining to rhinoplasty; as, a rhinoplastic operation.
rhinoplasty |Plastic surgery of the nose to correct deformity or to replace lost tissue. Tissue may be transplanted from the patient's cheek, forehead, arm, etc., or even from another person.
rhinopome |Any old-world bat of the genus Rhinopoma. The rhinopomes have a long tail extending beyond the web, and inhabit caves and tombs.
rhinoscleroma |A rare disease of the skin, characterized by the development of very hard, more or less flattened, prominences, appearing first upon the nose and subsequently upon the neighboring parts, esp. the lips, palate, and throat. J. V. Shoemaker.
rhinoscope |A small mirror for use in rhinoscopy.
rhinoscopic |Of or pertaining to rhinoscopy.
rhinoscopy |The examination or study of the soft palate, posterior nares, etc., by means of a laryngoscopic mirror introduced into the pharynx.
rhinotheca |The sheath of the upper mandible of a bird.
rhipidoglossa |A division of gastropod mollusks having a large number of long, divergent, hooklike, lingual teeth in each transverse row. It includes the scutibranchs. See Illustration in Appendix.
rhipipter |One of the Rhipiptera, a group of insects having wings which fold like a fan; a strepsipter.
rhipipteran |Same as Rhipipter.
rhizanthous |Producing flowers from a rootstock, or apparently from a root.
rhizine |A rootlike filament or hair growing from the stems of mosses or on lichens; a rhizoid.
rhizocarpous |Having perennial rootstocks or bulbs, but annual flowering stems; -- said of all perennial herbs.
rhizocephala |A division of Pectostraca including saclike parasites of Crustacea. They adhere by rootlike extensions of the head. See Illusration in Appendix.
rhizodont |A reptile whose teeth are rooted in sockets, as the crocodile.
rhizogan |Prodicing roots.
rhizogen |One of a proposed class of flowering plants growning on the roots of other plants and destitute of green foliage.
rhizoid |A rootlike appendage.
rhizoma |SAme as Rhizome.
rhizomatous |Having the nature or habit of a rhizome or rootstock.
rhizome |A rootstock. See Rootstock.
