murdress |A battlement in ancient fortifications with interstices for firing through.
mythology |1. The science which treats of myths; a treatise on myths. 2. A body of myths; esp., the collective myths which describe the gods of a heathen people; as, the mythology of the Greeks.
mythoplasm |A narration of mere fable.
mythopoeic |Making or producing myths; giving rise to mythical narratives. The mythopoeic fertility of the Greeks. Grote.
mythopoetic |Making or producing myths or mythical tales.
mytiloid |Like, or pertaining to, the genus Mytilus, or family Mytilidæ.
mytilotoxine |A poisonous base (leucomaine) found in the common mussel. It either causes paralysis of the muscles, or gives rise to convulsions, including death by an accumulation of carbonic acid in the blood.
mytilus |A genus of marine bivalve shells, including the common mussel. See Illust. under Byssus.
myxa |The distal end of the mandibles of a bird.
myxine |A genus of marsipobranchs, including the hagfish. See Hag, 4.
myxinoid |Like, or pertaining to, the genus Myxine. -- n.  A hagfish.
myxocystodea |A division of Infusoria including the Noctiluca. See Noctiluca.
myxoedema |A disease producing a peculiar cretinoid appearance of the face, slow speech, and dullness of intellect, and due to failure of the functions of the thyroid gland. -- Myx`o*dem\"a*tous (#), a., Myx`o*dem\"ic (#), a.
myxoma |A tumor made up of a gelatinous tissue resembling that found in the umbilical cord.
myxomycetes |A class of peculiar organisms, the slime molds, formerly regarded as animals (Mycetozoa), but now generally thought to be plants and often separated as a distinct phylum (Myxophyta). They are found on damp earth and decaying vegetable matter, and consist of naked masses of protoplasm, often of considerable size, which creep very slowly  over the surface and ingest solid food. -- Myx`o*my*ce\"tous (#), a.
myxophyta |A phylum of the vegetable kingdom consisting of the class Myxomycetes. By some botanists it is not separated from the Thallophyta.
myxopod |A rhizopod or moneran. Also used adjectively; as, a myxopod state.
myzontes |The Marsipobranchiata.
myzostomata |An order of curious parasitic worms found on crinoids. The body is short and disklike, with four pairs of suckers and five pairs of hook-bearing parapodia on the under side.
n |N, the fourteenth letter of English alphabet, is a vocal consonent, and, in allusion to its mode of formation, is called the dentinasal or linguanasal consonent. Its commoner sound is that heard in ran, done; but when immediately followed in the same word by the sound of g hard or k (as in single, sink, conquer), it usually represents the same sound as the digraph ng in sing, bring, etc. This is a simple but related sound, and is called the gutturo-nasal consonent. See Guide to Pronunciation, §§ 243-246. The letter N came into English through the Latin and Greek from the Phoenician, which probably derived it from the Egyptian as the ultimate origin. It is etymologically most closely related to M. See M.\n\nA measure of space equal to half an M (or em); an en.
na |No, not. See No. [Obs.] Chaucer.
nab |1. The summit of an eminence. [Prov. Eng.] Halliwell. 2. (Firearms)  The cock of a gunlock. Knight. 3. (Locksmithing)  The keeper, or box into which the lock is shot. Knight.\n\nTo catch or seize suddenly or unexpectedly. [Colloq.] Smollett.
nabit |Pulverized sugar candy. Crabb.
nabk |The edible berries of the Zizyphys Lotus, a tree of Northern Africa, and Southwestern Europe. [Written also nubk.] See Lotus (b), and Sadr.
nabob |1. A deputy or viceroy in India; a governor of a province of the ancient Mogul empire. 2. One who returns to Europe from the East with immense riches: hence, any man of great wealth. \" A bilious old nabob.\" Macaulay.
nacarat |1. A pale red color, with a cast of orange. Ure. 2. Fine linen or crape dyed of this color. Ure.
nacelle |1. A small boat. [Obs.] 2.  The basket suspended from a balloon; hence, the framework forming the body of a dirigible balloon, and containing the machinery, passengers, etc. 3.  A boatlike, inclosed body of an aëroplane.
nacker |See Nacre. Johnson.
nacre |A pearly substance which lines the interior of many shells, and is most perfect in the mother-of-pearl. [Written also nacker and naker.] See Pearl, and Mother-of-pearl.
nacreous |Consisting of, or resembling, nacre; pearly.
nad |Had not. [Obs.] Chaucer.
nadde |Had not. [Obs.] Chaucer.
nadder |An adder. [Obs.] Chaucer.
nadir |1. That point of the heavens, or lower hemisphere, directly opposite the zenith; the inferior pole of the horizon; the point of the celestial sphere directly under the place where we stand. 2. The lowest point; the time of greatest depression. The seventh century is the nadir of the human mind in Europe. Hallam. Nadir of the sun (Astron.), the axis of the conical shadow projected by the earth. Crabb.
naenia |See Nenia.
naeve |A nævus. [Obs.] Dryden.
naevoid |Resembling a nævus or nævi; as, nævoid elephantiasis. Dunglison.
naevose |Spotted; frecled.
naevus |A spot or mark on the skin of children when born; a birthmark; -- usually applied to vascular tumors, i. e., those consisting mainly of blood vessels, as dilated arteries, veins, or capillaries.
nag |1. A small horse; a pony; hence, any horse. 2. A paramour; -- in contempt. [Obs.] Shak.\n\nTo tease in a petty way; to scold habitually; to annoy; to fret pertinaciously. [Colloq.] \"She never nagged.\" J. Ingelow.
nagana |The disease caused by the tsetse fly. [South Africa]
nagging |Fault-finding; teasing; persistently annoying; as, a nagging toothache. [Colloq.]
naggy |Irritable; touchy. [Colloq.]
nagor |A West African gazelle (Gazella redunca).
nagyagite |A mineral of blackish lead-gray color and metallic luster, generally of a foliated massive structure; foliated tellurium. It is a telluride of lead and gold.
naiad |1. (Myth.)  A water nymph; one of the lower female divinities, fabled to preside over some body of fresh water, as a lake, river, brook, or fountain. 2. (Zoöl.)  Any species of a tribe (Naiades) of freshwater bivalves, including Unio, Anodonta, and numerous allied genera; a river mussel. 3. (Zoöl)  One of a group of butterflies. See Nymph. 4. (Bot.)  Any plant of the order Naiadaceæ, such as eelgrass, pondweed, etc.
naiant |(Her.) See Natant. Crabb.
naid |Any one of numerous species of small, fresh-water, chætopod annelids of the tribe Naidina. They belong to the Oligochæta.
naif |1. Having a true natural luster without being cut; -- applied by jewelers to a precious stone. 2. Naïve; as, a naïf remark. London Spectator.
naik |A chief; a leader; a Sepoy corporal. Balfour (Cyc. of India).
nail |1. (Anat.)  the horny scale of plate of epidermis at the end of the fingers and toes of man and many apes. His nayles like a briddes claws were. Chaucer. Note: The nails are strictly homologous with hoofs and claws. When compressed, curved, and pointed, they are called talons or claws, and the animal bearing them is said to be unguiculate; when they incase the extremities of the digits they are called hoofs, and the animal is ungulate. 2. (Zoöl.) (a) The basal thickened portion of the anterior wings of certain hemiptera. (b) The terminal horny plate on the beak of ducks, and other allied birds. 3. A slender, pointed piece of metal, usually with a head, used for fastening pieces of wood or other material together, by being driven into or through them. Note: The different sorts of nails are named either from the use to which they are applied, from their shape, from their size, or from some other characteristic, as shingle, floor, ship-carpenters', and horseshoe nails, roseheads, diamonds, fourpenny, tenpenny (see Penny), chiselpointed, cut, wrought, or wire nails, etc. 4. A measure of length, being two inches and a quarter, or the sixteenth of a yard. Nail ball (Ordnance), a round projectile with an iron bolt protruding to prevent it from turning in the gun. -- Nail plate, iron in plates from which cut nails are made. -- On the nail, in hand; on the spot; immediately; without delay or time of credit; as, to pay money on the nail. \"You shall have ten thousand pounds on the nail.\" Beaconsfield. -- To hit the nail on the head, to hit most effectively; to do or say a thing in the right way.\n\n1. To fasten with a nail or nails; to close up or secure by means of nails; as, to nail boards to the beams. He is now dead, and nailed in his chest. Chaucer. 2. To stud or boss with nails, or as with nails. The rivets of your arms were nailed with gold. Dryden. 3. To fasten, as with a nail; to bind or hold, as to a bargain or to acquiescence in an argument or assertion; hence, to catch; to trap. When they came to talk of places in town, you saw at once how I nailed them. Goldsmith. 4. To spike, as a cannon. [Obs.] Crabb. To nail a lie or an assertion, etc., to detect and expose it, so as to put a stop to its currency; -- an expression probably derived from the former practice of shopkeepers, who were accustomed to nail bad or counterfeit pieces of money to the counter.
nail-headed |Having a head like that of a nail; formed so as to resemble the head of a nail. Nail-headed characters, arrowheaded or cuneiform characters. See under Arrowheaded. -- Nail-headed molding (Arch.), an ornament consisting of a series of low four-sided pyramids resembling the heads of large nails; -- called also nail-head molding, or nail-head. It is the same as the simplest form of dogtooth. See Dogtooth.
nailbrush |A brush for cleaning the nails.
nailer |1. One whose occupation is to make nails; a nail maker. 2. One who fastens with, or drives, nails.
naileress |A women who makes nailes.
nailery |A manufactory where nails are made.
nailless |Without nails; having no nails.
nainsook |A thick sort of jaconet muslin, plain or striped, formerly made in India.
nais |See Naiad.
naissant |Same as Jessant.
naive |Having native or unaffected simplicity; ingenuous; artless; frank; as, naïve manners; a naïve person; naïve and unsophisticated remarks.
naively |In a naïve manner.
naivete |Native simplicity; unaffected plainness or ingenuousness; artlessness. A story which pleases me by its naïveté -- that is, by its unconscious ingenuousness. De Quincey.
naivety |, n. Naïveté. Carlyle.
nake |,v.t. To make naked. [Obs.] Chaucer. Come, be ready, nake your swords. Old Play.
naked |1. Having no clothes on; uncovered; nude; bare; as, a naked body; a naked limb; a naked sword. 2. Having no means of defense or protection; open; unarmed; defenseless. Thy power is full naked. Chaucer. Behold my bosom naked to your swords. Addison. 3. Unprovided with needful or desirable accessories, means of sustenance, etc.; destitute; unaided; bare. Patriots who had exposed themselves for the public, and whom they say now left naked. Milton. 4. Without addition, exaggeration, or excuses; not concealed or disguised; open to view; manifest; plain. The truth appears so naked on my side, That any purblind eye may find it out. Shak. All things are naked and opened unto the eyes of him with whom we to do. Heb. iv. 13. 5. Mere; simple; plain. The very naked name of love. Shak. 6. (Bot.)  Without pubescence; as, a naked leaf or stem; bare, or not covered by the customary parts, as a flower without a perianth, a stem without leaves, seeds without a pericarp, buds without bud scales. 7. (Mus.)  Not having the full complement of tones; -- said of a chord of only two tones, which requires a third tone to be sounded with them to make the combination pleasing to the ear; as, a naked fourth or fifth. Naked bed, a bed the occupant of which is naked, no night linen being worn in ancient times. Shak. -- Naked eye, the eye alone, unaided by glasses, or by telescope, microscope, or the like. -- Naked-eyed medusa. (Zoöl.) See Hydromedusa. -- Naked flooring (Carp.), the timberwork which supports a floor. Gwilt. -- Naked mollusk (Zoöl.), a nudibranch. -- Naked wood (Bot.), a large rhamnaceous tree (Colibrina reclinata) of Southern Florida and the West Indies, having a hard and heavy heartwood, which takes a fine polish. C. S. Sargent. Syn. -- Nude; bare; denuded; uncovered; unclothed; exposed; unarmed; plain; defenseless.
nakedly |In a naked manner; without covering or disguise; manifestly; simply; barely.
nakedness |1. The condition of being naked. 2. (Script.)  The privy parts; the genitals. Ham ... saw the nakedness of his father. Gen. ix. 22.
naker |Same as Nacre.\n\nA kind of kettledrum. [Obs.] Chaucer.
nakoo |The gavial. [Written also nako.]
nale |Ale; also, an alehouse. [Obs.] Great feasts at the nale. Chaucer.
nall |An awl. [Obs. or Prov. Eng.] Tusser.
nam |Am not. [Obs.]\n\nof Nim. Chaucer.
namable |Capable of being named.
namation |A distraining or levying of a distress; an impounding. Burrill.
namaycush |A large North American lake trout (Salvelinus namaycush). It is usually spotted with red, and sometimes weighs over forty pounds. Called also Mackinaw trout, lake trout, lake salmon, salmon trout, togue, and tuladi.
namby-pamby |Talk or writing which is weakly sentimental or affectedly pretty. Macaulay.\n\nAffectedly pretty; weakly sentimental; finical; insipid. Thackeray. Namby-pamby madrigals of love. W. Gifford.
name |1. The title by which any person or thing is known or designated; a distinctive specific appellation, whether of an individual or a class. Whatsoever Adam called every living creature, that was the name thereof. Gen. ii. 19. What's in a name That which we call a rose By any other name would smell as sweet. Shak. 2. A descriptive or qualifying appellation given to a person or thing, on account of a character or acts. His name shall be called Wonderful, Counsellor, The mighty God, The everlasting Father, The Prince of Peace. Is. ix. 6. 3. Reputed character; reputation, good or bad; estimation; fame; especially, illustrious character or fame; honorable estimation; distinction. What men of name resort to him Shak. Far above ... every name that is named, not only in this world, but also in that which is to come. Eph. i. 21. I will get me a name and honor in the kingdom. 1 Macc. iii. 14. He hath brought up an evil name upon a virgin. Deut. xxii. 19. The king's army ...had left no good name behind. Clarendon. 4. Those of a certain name; a race; a family. The ministers of the republic, mortal enemies of his name, came every day to pay their feigned civilities. Motley. 5. A person, an individual. [Poetic] They list with women each degenerate name. Dryden. Christian name. (a) The name a person receives at baptism, as distinguished from surname; baptismal name. (b) A given name, whether received at baptism or not. -- Given name. See under Given. -- In name, in profession, or by title only; not in reality; as, a friend in name. -- In the name of. (a) In behalf of; by the authority of. \" I charge you in the duke's name to obey me.\" Shak. (b) In the represented or assumed character of. \" I'll to him again in name of Brook.\" Shak. -- Name plate, a plate as of metal, glass, etc., having a name upon it, as a sign; a doorplate. -- Pen name, a name assumed by an author; a pseudonym or nom de plume. Bayard Taylor. -- Proper name (Gram.), a name applied to a particular person, place, or thing. -- To call names, to apply opprobrious epithets to; to call by reproachful appellations. -- To take a name in vain, to use a name lightly or profanely; to use a name in making flippant or dishonest oaths. Ex. xx. 7. Syn. -- Appellation; title; designation; cognomen; denomination; epithet. -- Name, Appellation, Title, Denomination. Name is generic, denoting that combination of sounds or letters by which a person or thing is known and distinguished. Appellation, although sometimes put for name simply, denotes, more properly, a descriptive term, used by way of marking some individual peculiarity or characteristic; as, Charles the Bold, Philip the Stammerer. A title is a term employed to point out one's rank, office, etc.; as, the Duke of Bedford, Paul the Apostle, etc. Denomination is to particular bodies what appellation is to individuals; thus, the church of Christ is divided into different denominations, as Congregationalists, Episcopalians, Presbyterians, etc.\n\n1. To give a distinctive name or appellation to; to entitle; to denominate; to style; to call. She named the child Ichabod. 1 Sam. iv. 21. Thus was the building left Ridiculous, and the work Confusion named. Milton. 2. To mention by name; to utter or publish the name of; to refer to by distinctive title; to mention. None named thee but to praise. Halleck. Old Yew, which graspest at the stones That name the underlying dead. Tennyson. 3. To designate by name or specifically for any purpose; to nominate; to specify; to appoint; as, to name a day for the wedding. Whom late you have named for consul. Shak. 4. (House of Commons)  To designate (a member) by name, as the Speaker does by way of reprimand. Syn. -- To denominate; style; term; call; mention; specify; designate; nominate.
nameless |1. Without a name; not having been given a name; as, a nameless star. Waller. 2. Undistinguished; not noted or famous. A nameless dwelling and an unknown name. Harte. 3. Not known or mentioned by name; anonymous; as, a nameless writer.\"Nameless pens.\" Atterbury. 4. Unnamable; indescribable; inexpressible. But what it is, that is not yet known; what I can not name; nameless woe,I wot. Shak. I have a nameless horror of the man. Hawthorne.
namelessly |In a nameless manner.
namely |1. By name; by particular mention; specifically; especially; expressly. [Obs.] Chaucer. The solitariness of man ...God hath namely and principally ordered to prevent by marriage. Milton. 2. That is to say; to wit; videlicet; -- introducing a particular or specific designation. For the excellency of the soul, namely, its power of divining dreams; that several such divinations have been made, none Addison.
namer |One who names, or calls by name.
namesake |One that has the same name as another; especially, one called after, or named out of regard to, another.
namo |No more. [Obs.] Chaucer.
nan |Anan. [Prov. Eng.]
nandine |An African carnivore (Nandinia binotata), allied to the civets. It is spotted with black.
nandou |Any one of three species of South American ostriches of the genera Rhea and Pterocnemia. See Rhea. [Written also nandow.]
nandu |Any one of three species of South American ostriches of the genera Rhea and Pterocnemia. See Rhea. [Written also nandow.]
nanism |The condition of being abnormally small in stature; dwarfishness; -- opposed to gigantism.
nankeen |1. A species of cloth, of a firm texture, originally brought from China, made of a species of cotton (Gossypium religiosum) that is naturally of a brownish yellow color quite indestructible and permanent. 2. An imitation of this cloth by artificial coloring. 3. pl.  Trousers made of nankeen. Ld. Lytton. Nankeen bird (Zoöl.), the Australian night heron (Nycticorax Caledonicus); -- called also quaker.
nanny |A diminutive of Ann or Anne, the proper name. Nanny goat, a female goat. [Colloq.]
nannyberry |See Sheepberry.
nanpie |The magpie.
naos |A term used by modern archæologists instead of cella. See Cella.
nap |1. To have a short sleep; to be drowsy; to doze. Chaucer. 2. To be in a careless, secure state. Wyclif. I took thee napping, unprepared. Hudibras.\n\nA short sleep; a doze; a siesta. Cowper.\n\n1. Woolly or villous surface of felt, cloth, plants, etc.; an external covering of down, of short fine hairs or fibers forming part of the substance of anything, and lying smoothly in one direction; the pile; -- as, the nap of cotton flannel or of broadcloth. 2. pl.  The loops which are cut to make the pile, in velvet. Knight.\n\nTo raise, or put, a nap on.
nap-taking |A taking by surprise; an unexpected onset or attack. Carew.
nape |The back part of the neck. Spenser.
nape-crest |An African bird of the genus Schizorhis, related to the plantain eaters.
naperian |Of, pertaining to, or discovered by, Napier, or Naper. Naperian logarithms. See under Logarithms. NAPIER'S BONES; NAPIER'S RODS Na\"pi*er's bones`, Na\"pi*er's rods`.  A set of rods, made of bone or other material, each divided into nine spaces, and containing the numbers of a column of the multiplication table; -- a contrivance of Baron Napier, the inventor of logarithms, for facilitating the operations of multiplication and division.
napery |Table linen; also, linen clothing, or linen in general. [Obs.] Gayton.
napha water |A perfume distilled from orange flowers.
naphew |See Navew.
naphtha |1. (Chem.)  The complex mixture of volatile, liquid, inflammable hydrocarbons, occurring naturally, and usually called crude petroleum, mineral oil, or rock oil. Specifically: That portion of the distillate obtained in the refinement of petroleum which is intermediate between the lighter gasoline and the heavier benzine, and has a specific gravity of about 0.7, -- used as a solvent for varnishes, as a carburetant, illuminant, etc. 2. (Chem.)  One of several volatile inflammable liquids obtained by the distillation of certain carbonaceous materials and resembling the naphtha from petroleum; as, Boghead naphtha, from Boghead coal (obtained at Boghead, Scotland); crude naphtha, or light oil, from coal tar; wood naphtha, from wood, etc. Note: This term was applied by the earlier chemical writers to a number of volatile, strong smelling, inflammable liquids, chiefly belonging to the ethers, as the sulphate, nitrate, or acetate of ethyl. Watts. Naphtha vitrioli Etym: [NL., naphtha of vitriol] (Old Chem.), common ethyl ether; -- formerly called sulphuric ether. See Ether.
naphthalate |A salt of naphthalic acid; a phthalate. [Obs.]
naphthalene |A white crystalline aromatic hydrocarbon, C10H8, analogous to benzene, and obtained by the distillation of certain bituminous materials, such as the heavy oil of coal tar. It is the type and basis of a large number of derivatives among organic compounds. Formerly called also naphthaline. Naphthalene red (Chem.), a dyestuff obtained from certain diazo derivatives of naphthylamine, and called also magdala red. -- Naphthalene yellow (Chem.), a yellow dyestuff obtained from certain nitro derivatives of naphthol.
naphthalenic |Pertaining to , or derived from, naphthalene; -- used specifically to designate a yellow crystalline substance, called naphthalenic acid and also hydroxy quinone, and obtained from certain derivatives of naphthol.
naphthalic |(a) Pertaining to, derived from, or related to, naphthalene; -- used specifically to denote any one of a series of acids derived from naphthalene, and called naphthalene acids. (b) Formerly, designating an acid probably identical with phthalic acid.
naphthalidine |Same as Naphthylamine.
naphthalin |See Naphthalene.
naphthaline |See Naphthalene.
naphthalize |To mingle, saturate, or impregnate, with naphtha.
naphthazarin |A dyestuff, resembling alizarin, obtained from naphthoquinone as a red crystalline substance with a bright green, metallic luster; -- called also naphthalizarin.
naphthene |A peculiar hydrocarbon occuring as an ingredient of Caucasian petroleum.
naphthide |A compound of naphthalene or its radical with a metallic element; as, mercuric naphthide.
naphthoic |Pertaining to, derived from, or related to, naphthalene; -- used specifically to designate any one of a series of carboxyl derivatives, called naphthoic acids.
naphthol |Any one of a series of hydroxyl derivatives of naphthalene, analogous to phenol. In general they are crystalline substances with a phenol (carbolic) odor. Naphthol blue, Naphthol orange, Naphthol yellow (Chem.), brilliant dyestuffs produced from certain complex nitrogenous derivatives of naphthol or naphthoquinone.
naphthoquinone |A yellow crystalline substance, C10H6O2, analogous to quinone, obtained by oxidizing naphthalene with chromic acid.
naphthyl |A hydrocarbon radical regarded as the essential residue of naphthalene.
naphthylamine |One of two basic amido derivatives of naphthalene, C10H7.NH2, forming crystalline solids.
napierian |Of, pertaining to, or discovered by, Napier, or Naper. Naperian logarithms. See under Logarithms. NAPIER'S BONES; NAPIER'S RODS Na\"pi*er's bones`, Na\"pi*er's rods`.  A set of rods, made of bone or other material, each divided into nine spaces, and containing the numbers of a column of the multiplication table; -- a contrivance of Baron Napier, the inventor of logarithms, for facilitating the operations of multiplication and division.
napiform |Turnip-shaped; large and round in the upper part, and very slender below.
napkin |1. A little towel, or small cloth, esp. one for wiping the fingers and mouth at table. 2. A handkerchief. [Obs.] Shak. Napkin pattern. See Linen scroll, under Linen. -- Napkin ring, a ring of metal, ivory, or other material, used to inclose a table napkin.
