rehire |To hire again.
remotion |1. The act of removing; removal. [Obs.] This remotion of the duke and her Is practice only. Shak. 2. The state of being remote; remoteness. [R.] The whitish gleam [of the stars] was the mask conferred by the enormity of their remotion. De Quincey.
remoulad |A kind of piquant sauce or salad dressing resembling mayonnaise.
remoulade |An ointment used in farriery.
remould |To mold or shape anew or again; to reshape.\n\nSee Remold.
remount |To mount again.\n\nThe opportunity of, or things necessary for, remounting; specifically, a fresh horse, with his equipments; as, to give one a remount.
removable |Admitting of being removed. Ayliffe. -- Re*mov`a*bil\"i*ty (-, n.
removal |The act of removing, or the state of being removed.
remove |1. To move away from the position occupied; to cause to change place; to displace; as, to remove a building. Thou shalt not remove thy neighbor's landmark. Deut. xix. 14. When we had dined, to prevent the ladies' leaving us, I generally ordered the table to be removed. Goldsmith. 2. To cause to leave a person or thing; to cause to cease to be; to take away; hence, to banish; to destroy; to put an end to; to kill; as, to remove a disease. \"King Richard thus removed.\" Shak. 3. To dismiss or discharge from office; as, the President removed many postmasters. Note: See the Note under Remove, v. i.\n\nTo change place in any manner, or to make a change in place; to move or go from one residence, position, or place to another. Till Birnam wood remove to Dunsinane, I can not taint with fear. Shak. Note: The verb remove, in some of its application, is synonymous with move, but not in all. Thus we do not apply remove to a mere change of posture, without a change of place or the seat of a thing. A man moves his head when he turns it, or his finger when he bends it, but he does not remove it. Remove usually or always denotes a change of place in a body, but we never apply it to a regular, continued course or motion. We never say the wind or water, or a ship, removes at a certain rate by the hour; but we say a ship was removed from one place in a harbor to another. Move is a generic term, including the sense of remove, which is more generally applied to a change from one station or permanent position, stand, or seat, to another station.\n\n1. The act of removing; a removal. This place should be at once both school and university, not needing a remove to any other house of scholarship. Milton. And drags at each remove a lengthening chain. Goldsmith. 2. The transfer of one's business, or of one's domestic belongings, from one location or dwelling house to another; -- in the United States usually called a move. It is an English proverb that three removes are as bad as a fire. J. H. Newman. 3. The state of being removed. Locke. 4. That which is removed, as a dish removed from table to make room for something else. 5. The distance or space through which anything is removed; interval; distance; stage; hence, a step or degree in any scale of gradation; specifically, a division in an English public school; as, the boy went up two removes last year. A freeholder is but one remove from a legislator. Addison. 6. (Far.)  The act of resetting a horse's shoe. Swift.
removed |1. Changed in place. 2. Dismissed from office. 3. Distant in location; remote. \"Something finer than you could purchase in so removed a dwelling.\" Shak. 4. Distant by degrees in relationship; as, a cousin once removed. -- Re*mov\"ed*ness (r, n. Shak.
remover |One who removes; as, a remover of landmarks. Bacon.
remuable |That may be removed; removable. [Obs.] Gower.
remue |To remove. [Obs.] Chaucer.
remugient |Rebellowing. Dr. H. More.
remunerable |Admitting, or worthy, of remuneration. -- Re*mu`ner*a*bil\"i*ty (r, n.
remunerate |To pay an equivalent to for any service, loss, expense, or other sacrifice; to recompense; to requite; as, to remunerate men for labor. Syn. -- To reward; recompense; compensate; satisfy; requite; repay; pay; reimburse.
remuneration |1. The act of remunerating. 2. That which is given to remunerate; an equivalent given, as for services, loss, or sufferings. Shak. Syn. -- Reward; recompense; compensation; pay; payment; repayment; satisfaction; requital.
remunerative |Affording remuneration; as, a remunerative payment for services; a remunerative business. -Re*mu\"ner*a*tive*ly, adv. -- Re*mu\"ner*a*tive*ness, n.
remuneratory |Remunerative. Johnson.
remurmur |To murmur again; to utter back, or reply, in murmurs. The trembling trees, in every plain and wood, Her fate remurmur to the silver flood. Pope.
ren |See Renne. [Obs.] Chaucer.\n\nA run. [Obs.] Chaucer.
renable |Reasonable; also, loquacious. [Obs.] \"Most renable of tongue.\" Piers Plowman. -- Ren\"a*bly, adv. [Obs.] Chaucer.
renaissance |A new birth, or revival. Specifically: (a) The transitional movement in Europe, marked by the revival of classical learning and art in Italy in the 15th century, and the similar revival following in other countries. (b) The style of art which prevailed at this epoch. The Renaissance was rather the last stage of the Middle Ages, emerging from ecclesiastical and feudal despotism, developing what was original in mediæval ideas by the light of classic arts and letters. J. A. Symonds (Encyc. Brit. ).
renaissant |Of or pertaining to the Renaissance.
renal |Of or pertaining to the kidneys; in the region of the kidneys. Renal calculus (Med.), a concretion formed in the excretory passages of the kidney. -- Renal capsules or glands, the suprarenal capsules. See under Capsule. -- Renal casts, Renal colic. (Med.) See under Cast, and Colic.
renal-portal |Both renal and portal. See Portal.
rename |To give a new name to.
renard |A fox; -- so called in fables or familiar tales, and in poetry. [Written also reynard.]
renardine |Of or pertaining to Renard, the fox, or the tales in which Renard is mentioned.
renascence |1. The state of being renascent. Read the Phrenascence is varied. Coleridge. 2. Same as Renaissance. The Renascence . . . which in art, in literature, and in physics, produced such splendid fruits. M. Arnold.
renascency |State of being renascent.
renascent |1. Springing or rising again into being; being born again, or reproduced. 2. See Renaissant.
renascible |Capable of being reproduced; ablle to spring again into being.
renate |Born again; regenerate; renewed. [Obs.] Beau & Fl.
renavigate |To navigate again.
renay |To deny; to disown. [Obs.]
rencontre |Same as Rencounter, n.
rencounter |1. To meet unexpectedly; to encounter. 2. To attack hand to hand. [Obs.] Spenser.\n\nTo meet unexpectedly; to encounter in a hostile manner; to come in collision; to skirmish.\n\n1. A meeting of two persons or bodies; a collision; especially, a meetingg in opposition or contest; a combat, action, or engagement. The justling chiefs in rude rencounter join. Granville. 2. A causal combat or action; a sudden contest or fight without premeditation, as between individuals or small parties. The confederates should . . . outnumber the enemy in all rencounters and engagements. Addison. Syn. -- Combat; fight; conflict; collision; clash.
rend |1. To separate into parts with force or sudden violence; to tear asunder; to split; to burst; as, powder rends a rock in blasting; lightning rends an oak. The dreadful thunder Doth rend the region. Shak. 2. To part or tear off forcibly; to take away by force. An empire from its old foundations rent. Dryden. I will surely rend the kingdom from thee. 1 Kings xi. 11. To rap and rend. See under Rap, v. t., to snatch. Syn. -- To tear; burst; break; rupture; lacerate; fracture; crack; split.\n\nTo be rent or torn; to become parted; to sepparate; to split. Jer. Taylor.
render |One who rends.\n\n1. To return; to pay back; to restore. Whose smallest minute lost, no riches render may. Spenser. 2. To inflict, as a retribution; to requite. I will render vengeance to mine enemies. Deut. xxxii. 41. 3. To give up; to yield; to surrender. I 'll make her render up her page to me. Shak. 4. Hence, to furnish; to contribute. Logic renders its daily service to wisdom and virtue. I. Watts. 5. To furnish; to state; to deliver; as, to render an account; to render judgment. 6. To cause to be, or to become; as, to render a person more safe or more unsafe; to render a fortress secure. 7. To translate from one language into another; as, to render Latin into English. 8. To interpret; to set forth, represent, or exhibit; as, an actor renders his part poorly; a singer renders a passage of music with great effect; a painter renders a scene in a felicitous manner. He did render him the most unnatural That lived amongst men. Shak. 9. To try out or extract (oil, lard, tallow, etc.) from fatty animal substances; as, to render tallow. 10. To plaster, as a wall of masonry, without the use of lath.\n\n1. To give an account; to make explanation or confession. [Obs.] 2. (Naut.)  To pass; to run; -- said of the passage of a rope through a block, eyelet, etc.; as, a rope renders well, that is, passes freely; also, to yield or give way. Totten.\n\n1. A surrender. [Obs.] Shak. 2. A return; a payment of rent. In those early times the king's household was supported by specific renders of corn and other victuals from the tenants of the demains. Blackstone. 3. An account given; a statement. [Obs.] Shak.
renderable |Capable of being rendered.
renderer |1. One who renders. 2. A vessel in which lard or tallow, etc., is rendered.
rendering |The act of one who renders, or that which is rendered. Specifically: (a) A version; translation; as, the rendering of the Hebrew text. Lowth. (b) In art, the presentation, expression, or interpretation of an idea, theme, or part. (c) The act of laying the first coat of plaster on brickwork or stonework. (d) The coat of plaster thus laid on. Gwilt. (e) The process of trying out or extracting lard, tallow, etc., from animal fat.
rendezvous |1. A place appointed for a meeting, or at which persons customarily meet. An inn, the free rendezvous of all travelers. Sir W. Scott. 2. Especially, the appointed place for troops, or for the ships of a fleet, to assemble; also, a place for enlistment. The king appointed his whole army to be drawn together to a rendezvous at Marlborough. Clarendon. 3. A meeting by appointment. Sprat. 4. Retreat; refuge. [Obs.] Shak.\n\nTo assemble or meet at a particular place.\n\nTo bring together at a certain place; to cause to be assembled. Echard.
rendible |Capable of being rent or torn.\n\nCapable, or admitting, of being rendered.
rendition |1. The act of rendering; especially, the act of surrender, as of fugitives from justice, at the claim of a foreign government; also, surrender in war. The rest of these brave men that suffered in cold blood after articles of rendition. Evelyn. 2. Translation; rendering; version. This rendition of the word seems also most naturally to agree with the genuine meaning of some other words in the same verse. South.
rendrock |A kind of dynamite used in blasting. [U.S.]
renegade |One faithless to principle or party. Specifically: (a) An apostate from Christianity or from any form of religious faith. James justly regarded these renegades as the most serviceable tools that he could employ. Macaulay. (b) One who deserts from a military or naval post; a deserter. Arbuthnot. (c) A common vagabond; a worthless or wicked fellow.
renegado |See Renegade.
renegat |A renegade. [Obs.] Chaucer.
renegation |A denial. [R.] \"Absolute renegation of Christ.\" Milman.
renege |To deny; to disown. [Obs.] Shak. All Europe high (all sorts of rights reneged) Against the trith and thee unholy leagued. Sylvester.\n\n1. To deny. [Obs.] Shak. 2. (Card Playing)  To revoke. [R.]
renerve |To nerve again; to give new vigor to; to reinvigorate.
renew |1. To make new again; to restore to freshness, perfection, or vigor; to give new life to; to rejuvenate; to re In such a night Medea gathered the enchanted herbs That did renew old Shak. 2. Specifically, to substitute for (an old obligation or right) a new one of the same nature; to continue in force; to make again; as, to renew a lease, note, or patent. 3. To begin again; to recommence. The last great age . . . renews its finished course. Dryden. 4. To repeat; to go over again. The birds-their notes renew. Milton. 5. (Theol.)  To make new spiritually; to regenerate. Be ye transformed by the renewing of your mind. Rom. xii. 2.\n\nTo become new, or as new; to grow or begin again.
renewability |The quality or state of being renewable. [R.]
renewable |Capable of being renewed; as, a lease renewable at pleasure. Swift.
renewal |The act of renewing, or the state of being renewed; as, the renewal of a treaty.
renewedly |Again; once more. [U.S.]
renewedness |The state of being renewed.
renewer |One who, or that which, renews.
reneye |To deney; to reject; to renounce. [Obs.] For he made every man reneye his law. Chaucer.
reng |1. A rank; a row. [Obs.] \"In two renges fair.\" Chaucer. 2. A rung or round of a ladder. [Obs.] Chaucer.
renidification |The act of rebuilding a nest.
reniform |Having the form or shape of a kidney; as, a reniform mineral; a reniform leaf.
renitence |The state or quality of being renitent; resistance; reluctance. Sterne. We find a renitency in ourselves to ascribe life and irritability to the cold and motionless fibers of plants. E. Darwin.
renitency |The state or quality of being renitent; resistance; reluctance. Sterne. We find a renitency in ourselves to ascribe life and irritability to the cold and motionless fibers of plants. E. Darwin.
renitent |1. Resisting pressure or the effect of it; acting against impluse by elastic force. \"[Muscles] soft and yet renitent.\" Ray. 2. Persistently opposed.
renne |To plunder; -- only in the phrase \"to rape and renne.\" See under Rap, v. t., to snatch. [Obs.] Chaucer.\n\nTo run. [Obs.] Chaucer.
renner |A runner. [Obs.] Chaucer.
rennet |A name of many different kinds of apples. Cf. Reinette. Mortimer.\n\nThe inner, or mucous, membrance of the fourth stomach of the calf, or other young ruminant; also, an infusion or preparation of it, used for coagulating milk. [Written also runnet.] Cheese rennet. (Bot.) See under Cheese. -- Rennet ferment (Physiol. Chem.), a ferment, present in rennet and in variable quantity in the gastric juice of most animals, which has the power of curdling milk. The ferment presumably acts by changing the casein of milk from a soluble to an insoluble form. -- Rennet stomach (Anat.), the fourth stomach, or abomasum, of ruminants.
renneted |Provided or treated with rennet. [R.] \"Pressed milk renneted.\" Chapman.
renneting |Same as 1st Rennet.
renning |See 2d Rennet. [Obs.] Asses' milk is holden for to be thickest, and therefore they use it instead of renning, to turn milk. Holland.
renomee |Renown. [Obs.] Chaucer.
renounce |1. To declare against; to reject or decline formally; to refuse to own or acknowledge as belonging to one; to disclaim; as, to renounce a title to land or to a throne. 2. To cast off or reject deliberately; to disown; to dismiss; to forswear. This world I do renounce, and in your sights Shake patiently my great affliction off. Shak. 3. (Card Playing)  To disclaim having a card of (the suit led) by playing a card of another suit. To renounce probate (Law), to decline to act as the executor of a will. Mozley & W. Syn. -- To cast off; disavow; disown; disclaim; deny; abjure; recant; abandon; forsake; quit; forego; resign; relinquish; give up; abdicate. -- Renounce, Abjure, Recant. -- To renounce is to make an affirmative declaration of abandonment. To abjure is to renounce with, or as with, the solemnity of an oath. To recant is to renounce or abjure some proposition previously affirmed and maintained. From Thebes my birth I own; . . . since no disgrace Can force me to renounce the honor of my race. Dryden. Either to die the death, or to abjure Forever the society of man. Shak. Ease would recant Vows made in pain, as violent and void. Milton.\n\n1. To make renunciation. [Obs.] He of my sons who fails to make it good, By one rebellious act renounces to my blood. Dryden. 2. (Law)  To decline formally, as an executor or a person entitled to letters of administration, to take out probate or letters. Dryden died without a will, and his widow having renounced, his son Charles administered on June 10. W. D. Christie.\n\nAct of renouncing.
renouncement |The act of disclaiming or rejecting; renunciation. Shak.
renouncer |One who renounces.
renovate |To make over again; to restore to freshness or vigor; to renew. All nature feels the reniovating force Of winter. Thomson.
renovation |The act or process of renovating; the state of being renovated or renewed. Thomson. There is something inexpressibly pleasing in the annual renovation of the world. Rabbler.
renovator |One who, or that which, renovates. Foster.
renovel |To renew; to renovate. [Obs.] Chaucer.
renovelance |Renewal. [Obs.] Chaucer.
renowme |Renown. [Obs.] The glory and renowme of the ancectors. Robynson (More's Utopia).
renowmed |Renowned. [Obs.]
renown |1. The state of being much known and talked of; exalted reputation derived from the extensive praise of great achievements or accomplishments; fame; celebrity; -- always in a good sense. Nor envy we Thy great renown, nor grudge thy victory. Dryden. 2. Report of nobleness or exploits; praise. This famous duke of Milan, Of whom so often I have heard renown. Shak.\n\nTo make famous; to give renown to. [Obs.] For joi to hear me so renown his son. Chapman. The bard whom pilfered pastorals renown. Pope.
renowned |Famous; celebrated for great achievements, for distinguished qualities, or for grandeur; eminent; as, a renowned king. \"Some renowned metropolis with glistering spires.\" Milton. These were the renouwned of the congregation. Num. i. 61. Syn. -- Famous; famed; distinguished; noted; eminent; celebrated; remarkable; wonderful. See Famous.
renownedly |With renown.
renowner |One who gives renown. [R.]
renownful |Having great renown; famous. \"Renownful Scipio.\" Marston.
renownless |Without renown; inglorius.
rensselaerite |A soft, compact variety of talc,, being an altered pyroxene. It is often worked in a lathe into inkstands and other articles.
rent |To rant. [R. & Obs.] Hudibras.\n\nimp. & p. p. of Rend.\n\n1. An opening made by rending; a break or breach made by force; a tear. See what a rent the envious Casca made. Shak. 2. Figuratively, a schim; a rupture of harmony; a separation; as, a rent in the church. Syn. -- Fissure; breach; disrupture; rupture; tear; diaceration; break; fracture.\n\nTo tear. See Rend. [Obs.] Chaucer.\n\n1. Incone; revenue. See Catel. [Obs.] \"Catel had they enough and rent.\" Chaucer. [Bacchus] a waster was and all his rent In wine and bordel he dispent. Gower. So bought an annual rent or two, And liv'd, just as you see I do. Pope. 2. Pay; reward; share; toll. [Obs.] Death, that taketh of high and low his rent. Chaucer. 3. (Law)  A certain periodical profit, whether in money, provisions, chattels, or labor, issuing out of lands and tenements in payment for the use; commonly, a certain pecuniary sum agreed upon between a tenant and his landlord, paid at fixed intervals by the lessee to the lessor, for the use of land or its appendages; as, rent for a farm, a house, a park, etc. Note: The term rent is also popularly applied to compensation for the use of certain personal chattles, as a piano, a sewing machine, etc. Black rent. See Blackmail, 3. -- Forehand rent, rent which is paid in advance; foregift. -- Rent arrear, rent in arrears; unpaid rent. Blackstone. -- Rent charge (Law), a rent reserved on a conveyance of land in fee simple, or granted out of lands by deed; -- so called because, by a covenant or clause in the deed of conveyance, the land is charged with a distress for the payment of it, Bouvier. -- Rent roll, a list or account of rents or income; a rental. -- Rent seck (Law), a rent reserved by deed, but without any clause of distress; barren rent. A power of distress was made incident to rent seck by Statue 4 George II. c. 28. -- Rent service (Eng. Law), rent reserved out of land held by fealty or other corporeal service; -- so called from such service being incident to it. -- White rent, a quitrent when paid in silver; -- opposed to black rent.\n\n1. To grant the possession and enjoyment of, for a rent; to lease; as, the owwner of an estate or house rents it. 2. To take and hold under an agreement to pay rent; as, the tennant rents an estate of the owner.\n\nTo be leased, or let for rent; as, an estate rents for five hundred dollars a year.
rentable |Capable of being rented, or suitable for renting.
rentage |Rent. [Obs.]
rental |1. A schedule, account, or list of rents, with the names of the tenants, etc.; a rent roll. 2. A sum total of rents; as, an estate that yields a rental of ten thousand dollars a year.
rente |In France, interest payable by government on indebtedness; the bonds, shares, stocks, etc.,, which represent government indebtedness.
renter |One who rents or leases an estate; -- usually said of a lessee or tenant.\n\n1. To sew together so that the seam is scarcely visible; to sew up with skill and nicety; to finedraw. 2. To restore the original design of, by working in new warp; -- said with reference to tapestry.
renterer |One who renters.
rentier |One who has a fixed income, as from lands, stocks, or the like.
renumerate |To recount.
renunciation |1. The act of renouncing. 2. (Law)  Formal declination to take out letters of administration, or to assume an office, privilege, or right. Syn. -- Renouncement; disownment; disavowal; disavowment; disclaimer; rejection; abjuration; recantation; denial; abandonment; relinquishment.
renunciatory |Pertaining to renunciation; containing or declaring a renunciation; as, renunciatory vows.
renverse |To reverse. [Obs.] Whose shield he bears renverst. Spenser.\n\nReversed; set with the head downward; turned contrary to the natural position.\n\nReversed; set with the head downward; turned contrary to the natural position.
renversement |A reversing. [Obs.]
renvoy |To send back. [Obs.] \"Not dismissing or renvoying her.\" Bacon.\n\nA sending back. [Obs.]
reobtain |To obtain again.
reobtainable |That may be reobtained.
reoccupy |To occupy again.
reometer |Same as Rheometer.
reopen |To open again.
reoppose |To oppose again.
reordain |To ordain again, as when the first ordination is considered defective. Bp. Burnet.
reorder |To order a second time.
reordination |A second ordination.
reorganization |The act of reorganizing; a reorganized existence; as, reorganization of the troops.
reorganize |To organize again or anew; as, to reorganize a society or an army.
reorient |Rising again. [R.] The life reorient out of dust. Tennyson.
reostat |See Rheostat.
reotrope |See Rheotrope.
rep |A fabric made of silk or wool, or of silk and wool, and having a transversely corded or ribbed surface.\n\nFormed with a surface closely corded, or ribbed transversely; - - applied to textile fabrics of silk or wool; as, rep silk.
rep-silver |Money anciently paid by servile tenants to their lord, in lieu of the customary service of reaping his corn or grain.
repace |To pace again; to walk over again in a contrary direction.
repacify |To pacify again.
repack |To pack a second time or anew; as, to repack beef; to repack a trunk.
repacker |One who repacks.
repaganize |To paganize anew; to bring back to paganism.
repaid |imp. & p. p. of Repay.
repaint |To paint anew or again; as, to repaint a house; to repaint the ground of a picture.
repair |1. To return. [Obs.] I thought . . . that he repaire should again. Chaucer. 2. To go; to betake one's self; to resort; ass, to repair to sanctuary for safety. Chaucer. Go, mount the winds, and to the shades repair. Pope.\n\n1. The act of repairing or resorting to a place. [R.] Chaucer. The king sent a proclamation for their repair to their houses. Clarendon. 2. Place to which one repairs; a haunt; a resort. [R.] There the fierce winds his tender force assail And beat him downward to his first repair. Dryden.\n\n1. To restore to a sound or good state after decay, injury, dilapidation, or partial destruction; to renew; to restore; to mend; as, to repair a house, a road, a shoe, or a ship; to repair a shattered fortune. Secret refreshings that repair his strength. Milton. Do thou, as thou art wont, repair My heart with gladness. Wordsworth. 2. To make amends for, as for an injury, by an equivalent; to indemnify for; as, to repair a loss or damage. I 'll repair the misery thou dost bear. Shak. Syn. -- To restore, recover; renew; amend; mend; retrieve; recruit.\n\n1. Restoration to a sound or good state after decay, waste, injury, or partial restruction; supply of loss; reparation; as, materials are collected for the repair of a church or of a city. Sunk down and sought repair Of sleep, which instantly fell on me. Milton. 2. Condition with respect to soundness, perfectness, etc.; as, a house in good, or bad, repair; the book is out of repair.
repairable |Reparable. Gauden.
repairer |One who, or that which, repairs, restores, or makes amends.
repairment |Act of repairing.
repand |Having a slightly undulating margin; -- said of leaves.
reparability |The quality or state of being reparable.
reparable |Capable of being repaired, restored to a sound or good state, or made good; restorable; as, a reparable injury.
reparably |In a reparable manner.
reparation |1. The act of renewing, restoring, etc., or the state of being renewed or repaired; as, the reparation of a bridge or of a highway; -- in this sense, repair is oftener used. Arbuthnot. 2. The act of making amends or giving satisfaction or compensation for a wrong, injury, etc.; also, the thing done or given; amends; satisfaction; indemnity. make reparation or reparations. I am sensible of the scandal I have given by my loose writings, and make what reparation I am able. Dryden. Syn. -- Restoration; repair; restitution; compensation; amends; satisfaction.
reparative |Repairing, or tending to repair. Jer. Taylor.\n\nThat which repairs. Sir H. Wotton.
reparel |A change of apparel; a second or different suit. [Obs.] Beau & Fl.
repartee |A smart, ready, and witty reply. Cupid was as bad as he; Hear but the youngster's repartee. Prior. Syn. -- Retort; reply. See Retort.\n\nTo make smart and witty replies. [R.] Prior.
repartimiento |A partition or distribution, especially of slaves; also, an assessment of taxes. W. Irving.
repartotion |Another, or an additional, separation into parts.
repass |To pass again; to pass or travel over in the opposite direction; to pass a second time; as, to repass a bridge or a river; to repass the sea.\n\nTo pass or go back; to move back; as, troops passing and repassing before our eyes.
repassage |The act of repassing; passage back. Hakluyt.
repassant |Counterpassant.
repast |1. The act of taking food. From dance to sweet repast they turn. Milton. 2. That which is taken as food; a meal; figuratively, any refreshment. \"Sleep . . . thy best repast.\" Denham. Go and get me some repast. Shak.\n\nTo supply food to; to feast; to take food. [Obs.] \"Repast them with my blood.\" Shak. He then, also, as before, left arbitrary the dieting and repasting of our minds. Milton.
repaster |One who takes a repast. [Obs.]
repasture |Food; entertainment. [Obs.] Food for his rage, repasture for his den. Shak.
repatriate |To restore to one's own country.
repatriation |Restoration to one's country.
repay |1. To pay back; to refund; as, to repay money borrowed or advanced. If you repay me not on such a day, In such a place, such sum or sums. Shak. 2. To make return or requital for; to recompense; -- in a good or bad sense; as, to repay kindness; to repay an injury. Benefits which can not be repaid . . . are not commonly found to increase affection. Rambler. 3. To pay anew, or a second time, as a debt. Syn. -- To refund; restore; return; recompense; compensate; remunerate; satisfy; reimburse; requite.
repayable |Capable of being, or proper to be , repaid; due; as, a loan repayable in ten days; services repayable in kind.
repayment |1. The act of repaying; reimbursement. Jer. Taylor. 2. The money or other thing repaid.
repeal |1. To recall; to summon again, as persons. [Obs.] The banished Bolingbroke repeals himself, And with uplifted arms is safe arrived. Shak. 2. To recall, as a deed, will, law, or statute; to revoke; to rescind or abrogate by authority, as by act of the legislature; as, to repeal a law. 3. To suppress; to repel. [Obs.] Whence Adam soon repealed The doubts that in his heart arose. Milton. Syn. -- To abolish; revoke; rescind; recall; annul; abrogate; cancel; reverse. See Abolish.\n\n1. Recall, as from exile. [Obs.] The tribunes are no soldiers; and their people Will be as rash in the repeal, as hassty To expel him thence. Shak. 2. Revocation; abrogation; as, the repeal of a statute; the repeal of a law or a usage.
repealability |The quality or state of being repealable.
repealable |Capable of being repealed. -- Re*peal\"a*ble*ness, n. Syn. -- Revocable; abrogable; voidable; reversible.
repealer |One who repeals; one who seeks a repeal; specifically, an advocate for the repeal of the Articles of Union between Great Britain and Ireland.
repealment |Recall, as from banishment. [Obs.]
repeat |1. To go over again; to attempt, do, make, or utter again; to iterate; to recite; as, to repeat an effort, an order, or a poem. \"I will repeat our former communication.\" Robynson (More's Utopia). Not well conceived of God; who, though his power Creation could repeat, yet would be loth Us to abolish. Milton. 2. To make trial of again; to undergo or encounter again. [Obs.] Waller. 3. (Scots Law)  To repay or refund (an excess received). To repeat one's self, to do or say what one has already done or said. -- To repeat signals, to make the same signals again; specifically, to communicate, by repeating them, the signals shown at headquarters. Syn. -- To reiterate; iterate; renew; recite; relate; rehearse; recapitulate. See Reiterate.\n\n1. The act of repeating; repetition. 2. That which is repeated; as, the repeat of a pattern; that is, the repetition of the engraved figure on a roller by which an impression is produced (as in calico printing, etc.). 3. (Mus.)  A mark, or series of dots, placed before and after, or often only at the end of, a passage to be repeated in performance.
repeatedly |More than once; again and again; indefinitely.
repeater |One who, or that which, repeats. Specifically: (a) A watch with a striking apparatus which, upon pressure of a spring, will indicate the time, usually in hours and quarters. (b) A repeating firearm. (c) (Teleg.) An instrument for resending a telegraphic message automatically at an intermediate point. (d) A person who votes more than once at an election. [U.S.] (e) See Circulating decimal, under Decimal. (f) (Naut.) A pennant used to indicate that a certain flag in a hoist of signal is duplicated. Ham. Nav. Encyc.
repeating |Doing the same thing over again; accomplishing a given result many times in succession; as, a repeating firearm; a repeating watch. Repeating circle. See the Note under Circle, n., 3. -- Repeating decimal (Arith.), a circulating decimal. See under Decimal. -- Repeating firearm, a firearm that may be discharged many times in quick succession; especially: (a) A form of firearm so constructed that by the action of the mechanism the charges are successively introduced from a chamber containing them into the breech of the barrel, and fired. (b) A form in which the charges are held in, and discharged from, a revolving chamber at the breech of the barrel. See Revolver, and Magazine gun, under Magazine. -- Repeating instruments (Astron. & Surv.), instruments for observing angles, as a circle, theodolite, etc., so constructed that the angle may be measured several times in succession, and different, but successive and contiguous, portions of the graduated limb, before reading off the aggregate result, which aggregate, divided by the number of measurements, gives the angle, freed in a measure from errors of eccentricity and graduation. -- Repeating watch. See Repeater (a)
repedation |A stepping or going back. [Obs.] Dr. H. More.
repel |1. To drive back; to force to return; to check the advance of; to repulse as, to repel an enemy or an assailant. Hippomedon repelled the hostile tide. Pope. They repelled each other strongly, and yet attracted each other strongly. Macaulay. 2. To resist or oppose effectually; as, to repel an assault, an encroachment, or an argument. [He] gently repelled their entreaties. Hawthorne. Syn. -- Tu repulse; resist; oppose; reject; refuse.\n\nTo act with force in opposition to force impressed; to exercise repulsion.
repellence |The principle of repulsion; the quality or capacity of repelling; repulsion.
repellency |The principle of repulsion; the quality or capacity of repelling; repulsion.
repellent |Driving back; able or tending to repel.\n\n1. That which repels. 2. (Med.)  A remedy to repel from a tumefied part the fluids which render it tumid. Dunglison. 3. A kind of waterproof cloth. Knight.
repeller |One who, or that which, repels.
repent |1. (Bot.)  Prostrate and rooting; -- said of stems. Gray. 2. (Zoöl.)  Same as Reptant.\n\n1. To feel pain, sorrow, or regret, for what one has done or omitted to do. First she relents With pity; of that pity then repents. Dryden. 2. To change the mind, or the course of conduct, on account of regret or dissatisfaction. Lest, peradventure, the people repent when they see war, and they return to Egypt. Ex. xiii. 17. 3. (Theol.)  To be sorry for sin as morally evil, and to seek forgiveness; to cease to love and practice sin. Except ye repent, ye shall likewise perish. Luke xii. 3.\n\n1. To feel pain on account of; to remember with sorrow. I do repent it from my very soul. Shak. 2. To feel regret or sorrow; -- used reflexively. My father has repented him ere now. Dryden. 3. To cause to have sorrow or regret; -- used impersonally. [Archaic] \"And it repented the Lord that he had made man on the earth.\" Gen. vi. 6.
repentance |The act of repenting, or the state of being penitent; sorrow for what one has done or omitted to do; especially, contrition for sin. Chaucer. Godly sorrow worketh repentance to salvation. 2. Cor. vii. 20. Repentance is a change of mind, or a conversion from sin to God. Hammond. Repentance is the relinquishment of any practice from the conviction that it has offended God. Sorrow, fear, and anxiety are properly not parts, but adjuncts, of repentance; yet they are too closely connected with it to be easily separated. Rambler. Syn. -- Contrition; regret; penitence; contriteness; compunction. See Contrition.
