cerotype |A printing process of engraving on a surface of wax spread on a steel plate, for electrotyping.
chapfallen |Having the lower chap or jaw drooping, -- an indication of humiliation and dejection; crestfallen; discouraged. See Chopfallen.
chapiter |1. (Arch.)  A capital [Obs.] See Chapital. Ex. xxxvi. 38. 2. (Old Eng. Law)  A summary in writing of such matters as are to be inquired of or presented before justices in eyre, or justices of assize, or of the peace, in their sessions; -- also called articles. Jacob.
chaplain |1. An ecclesiastic who has a chapel, or who performs religious service in a chapel. 2. A clergyman who is officially atteched to the army or navy, to some public institution, or to a family or court, for the purpose of performing divine service. 3. Any person (clergyman or layman) chosen to conduct religious exercises for a society, etc.; as, a chaplain of a Masonic or a temperance lodge.
chaplaincy |The office, position, or station of a chaplain. Swift.
chaplainship |1. The office or business of a chaplain. The Bethesda of some knight's chaplainship. Milton. 2. The possession or revenue of a chapel. Johnson.
chapless |Having no lower jaw; hence, fleshless. [R.] \"Yellow, chapless skulls.\" Shak.
chaplet |1. A garland or wreath to be worn on the head. 2. A string of beads, or part of a string, used by Roman Catholic in praying; a third of a rosary, or fifty beads. Her chaplet of beads and her missal. Longfellow. 3. (Arch.)  A small molding, carved into beads, pearls, olives, etc. 4. (Man.)  A chapelet. See Chapelet, 1. 5. (Founding)  A bent piece of sheet iron, or a pin with thin plates on its ends, for holding a core in place in the mold. 6. A tuft of feathers on a peacock's head. Johnson.\n\nA small chapel or shrine.\n\nTo adorn with a chaplet or with flowers. R. Browning.
chapman |1. One who buys and sells; a merchant; a buyer or a seller. [Obs.] The word of life is a quick commodity, and ought not, as a drug to be obtruded on those chapmen who are unwilling to buy it. T. Fuller. 2. A peddler; a hawker.
chappy |Full of chaps; cleft; gaping; open.
chaps |The jaws, or the fleshy parts about them. See Chap. \"Open your chaps again.\" Shak.
chapter |1. A division of a book or treatise; as, Genesis has fifty chapters. 2. (Eccl.) (a) An assembly of monks, or of the prebends and other clergymen connected with a cathedral, conventual, or collegiate church, or of a diocese, usually presided over by the dean. (b) A community of canons or canonesses. (c) A bishop's council. (d) A business meeting of any religious community. 3. An organized branch of some society or fraternity as of the Freemasons. Robertson. 4. A meeting of certain organized societies or orders. 5. A chapter house. [R.] Burrill. 6. A decretal epistle. Ayliffe. 7. A location or compartment. In his bosom! In what chapter of his bosom Shak. Chapter head, or Chapter heading, that which stands at the head of a chapter, as a title. -- Chapter house, a house or room where a chapter meets, esp. a cathedral chapter. -- The chapter of accidents, chance. Marryat.\n\n1. To divide into chapters, as a book. Fuller. 2. To correct; to bring to book, i. e., to demand chapter and verse. [Obs.] Dryden.
chaptrel |An impost. [Obs.]
char |One of the several species of fishes of the genus Salvelinus, allied to the spotted trout and salmon, inhabiting deep lakes in mountainous regions in Europe. In the United States, the brook trout (Salvelinus fontinalis) is sometimes called a char.\n\nA car; a chariot. [Obs.] Chaucer.\n\nWork done by the day; a single job, or task; a chore. [Written also chare.] [Eng.] When thou hast done this chare, I give thee leave To play till doomsday. Shak.\n\n1. To perform; to do; to finish. [Obs.] Nores. Thet char is chared, as the good wife said when she had hanged her husband. Old Proverb. 2. To work or hew, as stone. Oxf. Gloss.\n\nTo work by the day, without being a regularly hired servant; to do small jobs.\n\n1. To reduce to coal or carbon by exposure to heat; to reduce to charcoal; to burn to a cinder. 2. To burn slightly or partially; as, to char wood.
char-a-banc |A long, light, open vehicle, with benches or seats running lengthwise.
chara |A genus of flowerless plants, having articulated stems and whorled branches. They flourish in wet places.
charact |A distinctive mark; a character; a letter or sign. [Obs.] See Character. In all his dressings, characts, titles, forms. Shak.
character |1. A distinctive mark; a letter, figure, or symbol. It were much to be wished that there were throughout the world but one sort of character for each letter to express it to the eye. Holder. 2. Style of writing or printing; handwriting; the peculiar form of letters used by a particular person or people; as, an inscription in the Runic character. You know the character to be your brother's Shak. 3. The peculiar quality, or the sum of qualities, by which a person or a thing is distinguished from others; the stamp impressed by nature, education, or habit; that which a person or thing really is; nature; disposition. The character or that dominion. Milton. Know well each Ancient's proper character; His fable, subject, scope in every page; Religion, Country, genius of his Age. Pope. A man of . . . thoroughly subservient character. Motley. 4. Strength of mind; resolution; independence; individuality; as, he has a great deal of character. 5. Moral quality; the principles and motives that control the life; as, a man of character; his character saves him from suspicion. 6. Quality, position, rank, or capacity; quality or conduct with respect to a certain office or duty; as, in the miserable character of a slave; in his character as a magistrate; her character as a daughter. 7. The estimate, individual or general, put upon a person or thing; reputation; as, a man's character for truth and veracity; to give one a bad character. This subterraneous passage is much mended since Seneca gave so bad a character of it. Addison. 8. A written statement as to behavior, competency, etc., given to a servant. [Colloq.] 9. A unique or extraordinary individuality; a person characterized by peculiar or notable traits; a person who illustrates certain phases of character; as, Randolph was a character; Cæsar is a great historical character. 10. One of the persons of a drama or novel. Note: \"It would be well if character and reputation were used distinctively. In truth, character is what a person is; reputation is what he is supposed to be. Character is in himself, reputation is in the minds of others. Character is injured by temptations, and by wrongdoing; reputation by slanders, and libels. Character endures throughout defamation in every form, but perishes when there is a voluntary transgression; reputation may last through numerous transgressions, but be destroyed by a single, and even an unfounded, accusation or aspersion.\" Abbott.\n\n1. To engrave; to inscribe. [R.] These trees shall be my books. And in their barks my thoughts I 'll character. Shak. 2. To distinguish by particular marks or traits; to describe; to characterize. [R.] Mitford.
characterism |A distinction of character; a characteristic. [Obs.] Bp. Hall.
characteristic |Pertaining to, or serving to constitute, the character; showing the character, or distinctive qualities or traits, of a person or thing; peculiar; distinctive. Characteristic clearness of temper. Macaulay.\n\n1. A distinguishing trait, quality, or property; an element of character; that which characterized. Pope. The characteristics of a true critic. Johnson. 2. (Math.)  The integral part (whether positive or negative) of a logarithm.
characteristical |Characteristic.
characteristically |In a characteristic manner; in a way that characterizes.
characterization |The act or process of characterizing.
characterize |1. To make distinct and recognizable by peculiar marks or traits; to make with distinctive features. European, Asiatic, Chinese, African, and Grecian faces are Characterized. Arbuthot. 2. To engrave or imprint. [Obs.] Sir M. Hale. 3. To indicate the character of; to describe. Under the name of Tamerlane he intended to characterize King William. Johnson. 4. To be a characteristic of; to make, or express the character of. The softness and effeminacy which characterize the men of rank in most countries. W. Irving. Syn. -- To describe; distinguish; mark; designate; style; particularize; entitle.
characterless |Destitute of any distinguishing quality; without character or force.
charactery |1. The art or means of characterizing; a system of signs or characters; symbolism; distinctive mark. Fairies use flowers for their charactery. Shak. 2. That which is charactered; the meaning. [Obs.] I will construe to thee All the charactery of my sad brows. Shak.
charade |A verbal or acted enigma based upon a word which has two or more significant syllables or parts, each of which, as well as the word itself, is to be guessed from the descriptions or representations.
charbocle |Carbuncle. [Written also Charboncle.] [Obs.] Chaucer.
charbon |1. (Far.)  A small black spot or mark remaining in the cavity of the corner tooth of a horse after the large spot or mark has become obliterated. 2. A very contagious and fatal disease of sheep, horses, and cattle. See Maligmant pustule.
charcoal |1. Impure carbon prepared from vegetable or animal substances; esp., coal made by charring wood in a kiln, retort, etc., from which air is excluded. It is used for fuel and in various mechanical, artistic, and chemical processes. 2. (Fine Arts)  Finely prepared charcoal in small sticks, used as a drawing implement. Animal charcoal, a fine charcoal prepared by calcining bones in a closed vessel; -- used as a filtering agent in sugar refining, and as an absorbent and disinfectant. -- Charcoal blacks, the black pigment, consisting of burnt ivory, bone, cock, peach stones, and other substances. -- Charcoal drawing (Fine Arts), a drawing made with charcoal. See Charcoal, 2. Until within a few years this material has been used almost exclusively for preliminary outline, etc., but at present many finished drawings are made with it. -- Charcoal point, a carbon pencil prepared for use un an electric light apparatus. -- Mineral charcoal, a term applied to silky fibrous layers of charcoal, interlaminated in beds of ordinary bituminous coal; -- known to miners as mother of coal.
chard |1. The tender leaves or leafstalks of the artichoke, white beet, etc., blanched for table use. 2. A variety of the white beet, which produces large, succulent leaves and leafstalks.
chare |1. To perform; to do; to finish. [Obs.] Nores. Thet char is chared, as the good wife said when she had hanged her husband. Old Proverb. 2. To work or hew, as stone. Oxf. Gloss.\n\nTo work by the day, without being a regularly hired servant; to do small jobs.\n\nA narrow street. [Prov. Eng.]\n\nA chore; to chore; to do. See Char.
charge |1. To lay on or impose, as a load, tax, or burden; to load; to fill. A carte that charged was with hay. Chaucer. The charging of children's memories with rules. Locke. 2. To lay on or impose, as a task, duty, or trust; to command, instruct, or exhort with authority; to enjoin; to urge earnestly; as, to charge a jury; to charge the clergy of a diocese; to charge an agent. Moses . . . charged you to love the Lord your God. Josh. xxii. 5. Cromwell, I charge thee, fing away ambition. Shak. 3. To lay on, impose, or make subject to or liable for. When land shal be charged by any lien. Kent. 4. To fix or demand as a prince; as, he charges two dollars a barrelk for apples. 5. To place something to the account of as a debt; to debit, as to charge one with goods. Also, to enter upon the debit side of an account; as, to charge a sum to one. 6. To impute or ascribe; to lay to one's charge. No more accuse thy pen, but charge the crime On native loth and negligence of time. Dryden. 7. To accuse; to make a charge or assertion against (a) person or thing); to lay the responsibility (for something said or done) at the door of. If the did that wrong you charge with. Tennyson. 8. To place within or upon any firearm, piece of apparatus or machinery, the quantity it is intended and fitted to hold or bear; to load; to fill; as, to charge a gun; to charge an electrical machine, etc. Their battering cannon charged to the mouths. Shak. 9. To ornament with or cause to bear; as, to charge an architectural member with a molding. 10. (Her.)  To assume as a bearing; as, he charges three roses or; to add to or represent on; as, he charges his shield with three roses or. 11. To call to account; to challenge. [Obs.] To charge me to an answer. Shak. 12. To bear down upon; to rush upon; to attack. Charged our main battle's front. Shak. Syn. -- To intrust; command; exhort; instruct; accuse; impeach; arraign. See Accuse.\n\n1. To make an onset or rush; as, to charge with fixed bayonets. Like your heroes of antiquity, he charges in iron. Glanvill. \"Charge for the guns!\" he said. Tennyson. 2. To demand a price; as, to charge high for goods. 3. To debit on an account; as, to charge for purchases. 4. To squat on its belly and be still; -- a command given by a sportsman to a dog.\n\n1. A load or burder laid upon a person or thing. 2. A person or thing commited or intrusted to the care, custody, or management of another; a trust. Note: The people of a parish or church are called the charge of the clergyman who is set over them. 3. Custody or care of any person, thing, or place; office; responsibility; oversight; obigation; duty. 'Tis a great charge to come under one body's hand. Shak. 4. Heed; care; anxiety; trouble. [Obs.] Chaucer. 5. Harm. [Obs.] Chaucer. 6. An order; a mandate or command; an injunction. The king gave cherge concerning Absalom. 2. Sam. xviii. 5. 7. An address (esp. an earnest or impressive address) containing instruction or exhortation; as, the charge of a judge to a jury; the charge of a bishop to his clergy. 8. An accusation of a wrong of offense; allegation; indictment; specification of something alleged. The charge of confounding very different classes of phenomena. Whewell. 9. Whatever constitutes a burden on property, as rents, taxes, lines, etc.; costs; expense incurred; -- usually in the plural. 10. The price demanded for a thing or service. 11. An entry or a account of that which is due from one party to another; that which is debited in a business transaction; as, a charge in an account book. 12. That quantity, as of ammunition, electricity, ore, fuel, etc., which any apparatus, as a gun, battery, furnace, machine, etc., is intended to receive and fitted to hold, or which is actually in it at one time 13. The act of rushing upon, or towards, an enemy; a sudden onset or attack, as of troops, esp. cavalry; hence, the signal for attack; as, to sound the charge. Never, in any other war afore, gave the Romans a hotter charge upon the enemies. Holland. The charge of the light brigade. Tennyson. 14. A position (of a weapon) fitted for attack; as, to bring a weapon to the charge. 15. (Far.)  A soft of plaster or ointment. 16. (Her.)  A bearing. See Bearing, n., 8. 17. Etym: [Cf. Charre.]  Thirty-six pigs of lead, each pig weighing about seventy pounds; -- called also charre. 18. Weight; import; value. Many suchlike \"as's\" of great charge. Shak. Back charge. See under Back, a. -- Bursting charge. (a (Mil.) The charge which bursts a shell, etc. (b (Mining) A small quantity of fine powder to secure the ignition of a charge of coarse powder in blasting. -- Charge and discharge (Equity Practice), the old mode or form of taking an account before a master in chancery. -- Charge sheet, the paper on which are entered at a police station all arrests and accusations. -- To sound the charge, to give the signal for an attack. Syn. -- Care; custody; trust; management; office; expense; cost; price; assault; attack; onset; injunction; command; order; mandate; instruction; accusation; indictment.
chargeable |1. That may be charged, laid, imposed, or imputes; as, a duty chargeable on iron; a fault chargeable on a man. 2. Subject to be charge or accused; liable or responsible; as, revenues chargeable with a claim; a man chargeable with murder. 3. Serving to create expense; costly; burdensome. That we might not be chargeable to any of you. 2. Thess. iii. 8. For the sculptures, which are elegant, were very chargeable. Evelyn.
chargeableness |The quality of being chargeable or expensive. [Obs.] Whitelocke.
chargeably |At great cost; expensively. [Obs.]
chargeant |Burdensome; troublesome. [Obs.] Chaucer. CHARGE D'AFFAIRES Char`gé\" d'af`faires\| n.; pl. Chargés d'affaires. Etym| [F.| \"charged with affairs.\"]  A diplomatic representative| or minister of an inferior grade| accredited by the government of one state to the minister of foreign affairs of another; also| a substitute| ad interim| for an ambassador or minister plenipotentiary."
chargeful |Costly; expensive. [Obs.] The fineness of the gold and chargeful fashion. Shak.
chargehouse |A schoolhouse. [Obs.]
chargeless |Free from, or with little, charge.
chargeous |Burdensome. [Obs.] I was chargeous to no man. Wyclif, (2 Cor. xi. 9).
charger |1. One who, or that which charges. 2. An instrument for measuring or inserting a charge. 3. A large dish. [Obs.] Give me here John Baptist's head in a charger. Matt. xiv. 8. 4. A horse for battle or parade. Macaulay. And furious every charger neighed. Campbell.
chargeship |The office of a chargé d'affaires.
charily |In a chary manner; carefully; cautiously; frugally.
chariness |The quality of being chary.
chariot |1. (Antiq.)  A two-wheeled car or vehicle for war, racing, state processions, etc. First moved the chariots, after whom the foot. Cowper. 2. A four-wheeled pleasure or state carriage, having one seat. Shak.\n\nTo convey in a chariot. Milton.
chariotee |A light, covered, four-wheeled pleasure carriage with two seats.
charioteer |1. One who drives a chariot. 2. (Astron.)  A constellation. See Auriga, and Wagones.
charism |A miraculously given power, as of healing, speaking foreign languages without instruction, etc., attributed to some of the early Christians.
charismatic |Of or pertaining to a charism.
charitable |1. Full of love and good will; benevolent; kind. Be thy intents wicked or charitable, . . . . . . I will speak to thee. Shak. 2. Liberal in judging of others; disposed to look on the best side, and to avoid harsh judgment. 3. Liberal in benefactions to the poor; giving freely; generous; beneficent. What charitable men afford to beggars. Shak. 4. Of or pertaining to charity; springing from, or intended for, charity; relating to almsgiving; elemosynary; as, a charitable institution. 5. Dictated by kindness; favorable; lenient. By a charitable construction it may be a sermon. L. Andrews. Syn. -- Kind; beneficent; benevolent; generous; lenient; forgiving; helpful; liberal; favorable; indulgent.
charitableness |The quality of being charitable; the exercise of charity.
charitably |In a charitable manner.
charity |1. Love; universal benevolence; good will. Defn: Now abideth faith, hope, charity, three; but the greatest of these is charity. 1. Cor. xiii. 13. They, at least, are little to be envied, in whose hearts the great charities . . . lie dead. Ruskin. With malice towards none, with charity for all. Lincoln. 2. Liberality in judging of men and their actions; a disposition which inclines men to put the best construction on the words and actions of others. The highest exercise of charity is charity towards the uncharitable. Buckminster. 3. Liberality to the poor and the suffering, to benevolent institutions, or to worthy causes; generosity. The heathen poet, in commending the charity of Dido to the Trojans, spake like a Christian. Dryden. 4. Whatever is bestowed gratuitously on the needy or suffering for their relief; alms; any act of kindness. She did ill then to refuse her a charity. L'Estrange. 5. A charitable institution, or a gift to create and support such an institution; as, Lady Margaret's charity. 6. pl. (Law)  Eleemosynary appointments [grants or devises] including relief of the poor or friendless, education, religious culture, and public institutions. The charities that soothe, and heal, and bless, Are scattered at the feet of man like flowers. Wordsworth. Sisters of Charity (R. C. Ch.), a sisterhood of religious women engaged in works of mercy, esp. in nursing the sick; -- a popular designation. There are various orders of the Sisters of Charity. Syn. -- Love; benevolence; good will; affection; tenderness; beneficence; liberality; almsgiving.
charivari |A mock serenade of discordant noises, made with kettles, tin horns, etc., designed to annoy and insult. Note: It was at first performed before the house of any person of advanced age who married a second time.
chark |Charcoal; a cinder. [Obs.] DeFoe.\n\nTo burn to a coal; to char. [Obs.]
charlatan |One who prates much in his own favor, and makes unwarrantable pretensions; a quack; an impostor; an empiric; a mountebank.
charlatanic |Of or like a charlatan; making undue pretension; empirical; pretentious; quackish. -- Char`la*tan\"ic*al*ly, adv.
charlatanical |Of or like a charlatan; making undue pretension; empirical; pretentious; quackish. -- Char`la*tan\"ic*al*ly, adv.
charlatanism |Charlatanry.
charlatanry |Undue pretensions to skill; quackery; wheedling; empiricism. CHARLES'S WAIN Charles's Wain. Etym: [Charles + wain; cf. AS. Carles w (for wægn), Sw. karlvagnen, Dan. karlsvogn. See Churl, and Wain.] (Astron.)  The group of seven stars, commonly called the Dipper, in the constellation Ursa Major, or Great Bear. See Ursa major, under Ursa. Note: The name is sometimes also applied to the Constellation.
charlie |1. A familiar nickname or substitute for Charles. 2.  A night watchman; -- an old name. 3.  A short, pointed beard, like that worn by Charles I. 4.  As a proper name, a fox; -- so called in fables and familiar literature.
charlock |A cruciferous plant (Brassica sinapistrum) with yellow flowers; wild mustard. It is troublesome in grain fields. Called also chardock, chardlock, chedlock, and kedlock. Jointed charlock, White charlock, a troublesome weed (Raphanus Raphanistrum) with straw- colored, whitish, or purplish flowers, and jointed pods: wild radish.
charlotte |A kind of pie or pudding made by lining a dish with slices of bread, and filling it with bread soaked in milk, and baked. Charlotte Russe (, or Charlotte à la russe Etym: [F., lit., Russian charlotte] (Cookery), a dish composed of custard or whipped cream, inclosed in sponge cake.
charm |1. A melody; a song. [Obs.] With charm of earliest birds. Milton. Free liberty to chant our charms at will. Spenser. 2. A word or combination of words sung or spoken in the practice of magic; a magical combination of words, characters, etc.; an incantation. My high charms work. Shak. 3. That which exerts an irresistible power to please and attract; that which fascinates; any alluring quality. Charms strike the sight, but merit wins the soul. Pope. The charm of beauty's powerful glance. Milton. 4. Anything worn for its supposed efficacy to the wearer in averting ill or securing good fortune. 5. Any small decorative object worn on the person, as a seal, a key, a silver whistle, or the like. Bunches of charms are often worn at the watch chain. Syn. - Spell; incantation; conjuration; enchantment; fascination; attraction.\n\n1. To make music upon; to tune. [Obs. & R.] Here we our slender pipes may safely charm. Spenser. 2. To subdue, control, or summon by incantation or supernatural influence; to affect by magic. No witchcraft charm thee! Shak. 3. To subdue or overcome by some secret power, or by that which gives pleasure; to allay; to soothe. Music the fiercest grief can charm. Pope. 4. To attract irresistibly; to delight exceedingly; to enchant; to fascinate. They, on their mirth and dance Intent, with jocund music charm his ear. Milton. 5. To protect with, or make invulnerable by, spells, charms, or supernatural influences; as, a charmed life. I, in my own woe charmed, Could not find death. Shak. Syn. - To fascinate; enchant; enrapture; captivate; bewitch; allure; subdue; delight; entice; transport.\n\n1. To use magic arts or occult power; to make use of charms. The voice of charmers, charming never so wisely. Ps. lviii. 5. 2. To act as, or produce the effect of, a charm; to please greatly; to be fascinating. 3. To make a musical sound. [Obs.] Milton.
charmel |A fruitful field. Libanus shall be turned into charmel, and charmel shall be esteemed as a forest. Isa. xxix. 17 (Douay version).
charmer |1. One who charms, or has power to charm; one who uses the power of enchantment; a magician. Deut. xviii. 11. 2. One who delights and attracts the affections.
charmeress |An enchantress. Chaucer.
charmful |Abounding with charms. \"His charmful lyre.\" Cowley.
charming |Pleasing the mind or senses in a high degree; delighting; fascinating; attractive. How charming is divine philosophy. Milton. Syn. - Enchanting; bewitching; captivating; enrapturing; alluring; fascinating; delightful; pleasurable; graceful; lovely; amiable; pleasing; winning. -- Charm\"ing*ly, adv. -- Charm\"ing*ness, n.
charmless |Destitute of charms. Swift.
charneco |A sort of sweet wine. [Obs.] Shak.
charnel |Containing the bodies of the dead. \"Charnel vaults.\" Milton. Charnel house, a tomb, vault, cemetery, or other place where the bones of the dead are deposited; originally, a place for the bones thrown up when digging new graves in old burial grounds.\n\nA charnel house; a grave; a cemetery. In their proud charnel of Thermopylæ. Byron.
charnico |A sort of sweet wine. [Obs.] Shak.
charon |The son of Erebus and Nox, whose office it was to ferry the souls of the dead over the Styx, a river of the infernal regions. Shak.
charpie |Straight threads obtained by unraveling old linen cloth; -- used for surgical dressings.
charqui |Jerked beef; beef cut into long strips and dried in the wind and sun. Darwin.
charr |One of the several species of fishes of the genus Salvelinus, allied to the spotted trout and salmon, inhabiting deep lakes in mountainous regions in Europe. In the United States, the brook trout (Salvelinus fontinalis) is sometimes called a char.\n\nSee 1st Char.
charras |The gum resin of the hemp plant (Cannabis sativa). Same as Churrus. Balfour.
charre |See Charge, n., 17.
charry |Pertaining to charcoal, or partaking of its qualities.
chart |1. A sheet of paper, pasteboard, or the like, on which information is exhibited, esp. when the information is arranged in tabular form; as, an historical chart. 2. A map; esp., a hydrographic or marine map; a map on which is projected a portion of water and the land which it surrounds, or by which it is surrounded, intended especially for the use of seamen; as, the United States Coast Survey charts; the English Admiralty charts. 3. A written deed; a charter. Globular chart, a chart constructed on a globular projection. See under Globular. -- Heliographic chart, a map of the sun with its spots. -- Mercator's chart, a chart constructed on the principle of Mercator's projection. See Projection. -- Plane chart, a representation of some part of the superficies of the globe, in which its spherical form is disregarded, the meridians being drawn parallel to each other, and the parallels of latitude at equal distances. -- Selenographic chart, a map representing the surface of the moon. -- Topographic chart, a minute delineation of a limited place or region.\n\nTo lay down in a chart; to map; to delineate; as, to chart a coast.
charta |(a) Material on which instruments, books, etc., are written; parchment or paper. (b) A charter or deed; a writing by which a grant is made. See Magna Charta.
chartaceous |Resembling paper or parchment; of paper-like texture; papery.
charte |The constitution, or fundamental law, of the French monarchy, as established on the restoration of Louis XVIII., in 1814.
charter |1. A written evidence in due form of things done or granted, contracts made, etc., between man and man; a deed, or conveyance. [Archaic] 2. An instrument in writing, from the sovereign power of a state or country, executed in due form, bestowing rights, franchises, or privileges. The king [John, a.d. 1215], with a facility somewhat suspicious, signed and sealed the charter which was required of him. This famous deed, commonly called the \"Great Charter,\" either granted or secured very important liberties and privileges to every order of men in the kingdom. Hume. 3. An act of a legislative body creating a municipal or other corporation and defining its powers and privileges. Also, an instrument in writing from the constituted authorities of an order or society (as the Freemasons), creating a lodge and defining its powers. 4. A special privilege, immunity, or exemption. My mother, Who has a charter to extol her blood, When she does praise me, grieves me. Shak. 5. (Com.)  The letting or hiring a vessel by special contract, or the contract or instrument whereby a vessel is hired or let; as, a ship is offered for sale or charter. See Charter party, below. Charter land (O. Eng. Law), land held by charter, or in socage; bookland. -- Charter member, one of the original members of a society or corporation, esp. one named in a charter, or taking part in the first proceedings under it. -- Charter party Etym: [F. chartre partie, or charte partie, a divided charter; from the practice of cutting the instrument of contract in two, and giving one part to each of the contractors] (Com.), a mercantile lease of a vessel; a specific contract by which the owners of a vessel let the entire vessel, or some principal part of the vessel, to another person, to be used by the latter in transportation for his own account, either under their charge or his. -- People's Charter (Eng. Hist.), the document which embodied the demands made by the Chartists, so called, upon the English government in 1838.\n\n1. To establish by charter. 2. To hire or let by charter, as a ship. See Charter party, under Charter, n.
chartered |1. Granted or established by charter; having, or existing under, a charter; having a privilege by charter. The sufficiency of chartered rights. Palfrey. The air, a chartered libertine. Shak. 2. Hired or let by charter, as a ship.
charterer |One who charters; esp. one who hires a ship for a voyage.
charterhouse |A well known public school and charitable foundation in the building once used as a Carthusian monastery (Chartreuse) in London.
charterist |Same as Chartist.
chartism |The principles of a political party in England (1838-48), which contended for universal suffrage, the vote by ballot, annual parliaments, equal electoral districts, and other radical reforms, as set forth in a document called the People's Charter.
chartist |A supporter or partisan of chartism. [Eng.]
chartless |1. Without a chart; having no guide. 2. Not mapped; uncharted; vague. Barlow.
chartographer |Same as Cartographer, Cartographic, Cartography, etc.
chartographic |Same as Cartographer, Cartographic, Cartography, etc.
chartography |Same as Cartographer, Cartographic, Cartography, etc.
chartomancy |Divination by written paper or by cards.
chartometer |An instrument for measuring charts or maps.
chartreuse |1. A Carthusian monastery; esp. La Grande Chartreuse, mother house of the order, in the mountains near Grenoble, France. 2. An alcoholic cordial, distilled from aromatic herbs; -- made at La Grande Chartreuse.
chartreux |A Carthusian.
chartulary |See Cartulary.
charwoman |A woman hired for odd work or for single days.
chary |Careful; wary; cautious; not rash, reckless, or spendthrift; saving; frugal. His rising reputation made him more chary of his fame. Jeffrey.
charybdis |A dangerous whirlpool on the coast of Sicily opposite Scylla on the Italian coast. It is personified as a female monster. See Scylla.
chasable |Capable of being chased; fit for hunting. Gower.
chase |1. To pursue for the purpose of killing or taking, as an enemy, or game; to hunt. We are those which chased you from the field. Shak. Philologists, who chase A panting syllable through time and place. Cowper. 2. To follow as if to catch; to pursue; to compel to move on; to drive by following; to cause to fly; -- often with away or off; as, to chase the hens away. Chased by their brother's endless malice from prince to prince and from place to place. Knolles. 3. To pursue eagerly, as hunters pursue game. Chasing each other merrily. Tennyson.\n\nTo give chase; to hunt; as, to chase around after a doctor. [Colloq.]\n\n1. Vehement pursuit for the purpose of killing or capturing, as of an enemy, or game; an earnest seeking after any object greatly desired; the act or habit of hunting; a hunt. \"This mad chase of fame.\" Dryden. You see this chase is hotly followed. Shak. 2. That which is pursued or hunted. Nay, Warwick, seek thee out some other chase, For I myself must hunt this deer to death. Shak. 3. An open hunting ground to which game resorts, and which is private properly, thus differing from a forest, which is not private property, and from a park, which is inclosed. Sometimes written chace. [Eng.] 4. (Court Tennis)  A division of the floor of a gallery, marked by a figure or otherwise; the spot where a ball falls, and between which and the dedans the adversary must drive his ball in order to gain a point. Chase gun (Naut.), a cannon placed at the bow or stern of an armed vessel, and used when pursuing an enemy, or in defending the vessel when pursued. -- Chase port (Naut.), a porthole from which a chase gun is fired. -- Stern chase (Naut.), a chase in which the pursuing vessel follows directly in the wake of the vessel pursued.\n\n1. A rectangular iron frame in which pages or columns of type are imposed. 2. (Mil.)  The part of a cannon from the reënforce or the trunnions to the swell of the muzzle. See Cannon. 3. A groove, or channel, as in the face of a wall; a trench, as for the reception of drain tile. 4. (Shipbuilding)  A kind of joint by which an overlap joint is changed to a flush joint, by means of a gradually deepening rabbet, as at the ends of clinker-built boats.\n\n1. To ornament (a surface of metal) by embossing, cutting away parts, and the like. 2. To cut, so as to make a screw thread.
chaser |1. One who or that which chases; a pursuer; a driver; a hunter. 2. (Naut.)  Same as Chase gun, esp. in terms bow chaser and stern chaser. See under Bow, Stern.\n\n1. One who chases or engraves. See 5th Chase, and Enchase. 2. (Mech.)  A tool with several points, used for cutting or finishing screw threads, either external or internal, on work revolving in a lathe.
chasible |See Chasuble.
chasing |The art of ornamenting metal by means of chasing tools; also, a piece of ornamental work produced in this way.
chasm |1. A deep opening made by disruption, as a breach in the earth or a rock; a yawning abyss; a cleft; a fissure. That deep, romantic chasm which slanted down the green hill. Coleridge. 2. A void space; a gap or break, as in ranks of men. Memory . . . fills up the chasms of thought. Addison.
chasmed |Having gaps or a chasm. [R.]
chasmy |Of or pertaining to a chasm; abounding in chasms. Carlyle. They cross the chasmy torrent's foam-lit bed. Wordsworth.
chasse |A movement in dancing, as across or to the right or left.\n\nTo make the movement called chassé; as, all chassé; chassé to the right or left.
chasse-cafe |See Chasse, n., above.
chasse-maree |A French coasting lugger.
chasselas |A white grape, esteemed for the table.
chassepot |A kind of breechloading, center-fire rifle, or improved needle gun.
chasseur |1. (Mil.)  One of a body of light troops, cavalry or infantry, trained for rapid movements. 2. An attendant upon persons of rank or wealth, wearing a plume and sword. The great chasseur who had announced her arrival. W. Irving.
chassis |A traversing base frame, or movable railway, along which the carriage of a barbette or casemate gum moves backward and forward. [See Gun carriage.]
chast |to chasten. [Obs.] Chaucer.
chaste |1. Pure from unlawful sexual intercourse; virtuous; continent. \"As chaste as Diana.\" Shak. Whose bed is undefiled and chaste pronounced. Milton. 2. Pure in thought and act; innocent; free from lewdness and obscenity, or indecency in act or speech; modest; as, a chaste mind; chaste eyes. 3. Pure in design and expression; correct; free from barbarisms or vulgarisms; refined; simple; as, a chaste style in composition or art. That great model of chaste, lofty, and eloquence, the Book of Common Prayer. Macaulay. 4. Unmarried. [Obs.] Chaucer. Syn. -- Undefiled; pure; virtuous; continent; immaculate; spotless. Chaste tree. Same as Agnus castus.
chastely |In a chaste manner; with purity.
