mebles |See Moebles. [Obs.]
mendelian character |A character which obeys Mendel's law in regard to its hereditary transmission. MENDEL'S LAW Men\"del's law.  A principle governing the inheritance of many characters in animals and plants, discovered by Gregor J. Mendel (Austrian Augustinian abbot, 1822-84) in breeding experiments with peas. He showed that the height, color, and other characters depend on the presence of determinating factors behaving as units. In any given germ cell each of these is either present or absent. The following example (using letters as symbols of the determining factors and hence also of the individuals possessing them) shows the operation of the law: Tallness being due to a factor T, a tall plant, arising by the union in fertilization of two germ cells both bearing this factor, is TT; a dwarf, being without T, is tt. Crossing these, crossbreeds, Tt, result (called generation F1). In the formation of the germ cells of these crossbreeds a process of segregation occurs such that germ cells, whether male or female, are produced of two kinds, T and t, in equal numbers. The T cells bear the factor \"tallness,\" the t cells are devoid of it. The offspring, generation F2, which arise from the chance union of these germ cells in pairs, according to the law of probability, are therefore on an average in the following proportions: 1 TT : 2 Tt : 1 tt; and thus plants pure in tallness (TT) and dwarfness (tt), as well as crossbreeds (Tt), are formed by the interbreeding of crossbreeds. Frequently, as in this example, owning to what is called the dominance of a factor, the operation of Mendel's law may be complicated by the fact that when a dominant factor (as T) occurs with its allelomorph (as t), called recessive, in the crossbreed Tt, the individual Tt is itself indistinguishable from the pure form TT. Generation F1, containing only the Tt form, consists entirely of dominants (tall plants) and generation F2 consists of three dominants (2 Tt, 1 TT) to one dwarf (tt), which, displaying the feature suppressed in F1, is called recessive. Such qualitative and numerical regularity has been proved to exist in regard to very diverse qualities or characters which compose living things, both wild and domesticated, such as colors of flowers, of hair or eyes, patterns, structure, chemical composition, and power of resisting certain diseases. The diversity of forms produced in crossbreeding by horticulturists and fanciers generally results from a process of analytical variation or recombination of the factors composing the parental types. Purity of type consequently acquires a specific meaning. An individual is pure in respect of a given character when it results from the union of two sexual cells both bearing that character, or both without it.
mender |One who mends or repairs.
mendiant |See Mendinant. [Obs.]
mendicancy |The condition of being mendicant; beggary; begging. Burke.
mendicant |Practicing beggary; begging; living on alms; as, mendicant friars. Mendicant orders (R. C. Ch.), certain monastic orders which are forbidden to acquire landed property and are required to be supported by alms, esp. the Franciscans, the Dominicans, the Carmelites, and the Augustinians.\n\nA beggar; esp., one who makes a business of begging; specifically, a begging friar.
mendicate |To beg. [R.] Johnson.
mendication |The act or practice of begging; beggary; mendicancy. Sir T. Browne.
mendicity |The practice of begging; the life of a beggar; mendicancy. Rom. of R.
mendinant |A mendicant or begging friar. [Obs.] Chaucer.
mendment |Amendment. [Obs.]
mendole |The cackerel.
mendregal |Medregal.
mends |See Amends. [Obs.] Shak.
menge |To mix. [Obs.] Spenser.
menhaden |An American marine fish of the Herring familt (Brevoortia tyrannus), chiefly valuable for its oil and as a component of fertilizers; -- called also mossbunker, bony fish, chebog, pogy, hardhead, whitefish, etc.
menhir |A large stone set upright in olden times as a memorial or monument. Many, of unknown date, are found in Brittany and throughout Northern Europe.
menial |1. Belonging to a retinue or train of servants; performing servile office; serving. Two menial dogs before their master pressed. Dryden. 2. Pertaining to servants, esp. domestic servants; servile; low; mean. \" Menial offices.\" Swift.\n\n1. A domestic servant or retainer, esp. one of humble rank; one employed in low or servile offices. 2. A person of a servile character or disposition. MENIERE'S DISEASE Mé`nière's\" dis*ease\". (Med.)  A disease characterized by deafness and vertigo, resulting in incoördination of movement. It is supposed to depend upon a morbid condition of the semicircular canals of the internal ear. Named after Ménière, a French physician.
menild |Covered with spots; speckled; variegated. [Obs.]
menilite |See Opal.
meningeal |Of or pertaining to the meninges.
meninges |The three membranes that envelop the brain and spinal cord; the pia mater, dura mater, and arachnoid membrane.
meningitis |Inflammation of the membranes of the brain or spinal cord. Cerebro-spinal meningitis. See under Cerebro-spinal.
meniscal |Pertaining to, or having the form of, a meniscus.
meniscoid |Concavo-convex, like a meniscus.
meniscus |1. A crescent. 2. (Opt.)  A lens convex on one side and concave on the other. 3. (Anat.)  An interarticular synovial cartilage or membrane; esp., one of the intervertebral synovial disks in some parts of the vertebral column of birds. Converging meniscus, Diverging meniscus. See Lens.
menispermaceous |Pertaining to a natural order (Menispermaceæ) of climbing plants of which moonseed (Menispermum) is the type.
menispermic |Pertaining to, or obtained from, moonseed (Menispermum), or other plants of the same family, as the Anamirta Cocculus.
menispermine |An alkaloid distinct from picrotoxin and obtained from the cocculus indicus (the fruit of Anamirta Cocculus, formerly Menispermum Cocculus) as a white, crystalline, tasteless powder; -- called also menispermina.
meniver |Same as Miniver.
mennonist |One of a small denomination of Christians, so called from Menno Simons of Friesland, their founder. They believe that the New Testament is the only rule of faith, that there is no original sin, that infants should not be baptized, and that Christians ought not to take oath, hold office, or render military service.
mennonite |One of a small denomination of Christians, so called from Menno Simons of Friesland, their founder. They believe that the New Testament is the only rule of faith, that there is no original sin, that infants should not be baptized, and that Christians ought not to take oath, hold office, or render military service.
menobranch |A large aquatic American salamander of the genus Necturus, having permanent external gills.
menobranchus |A large aquatic American salamander of the genus Necturus, having permanent external gills.
menologium |1. A register of months. Bp. Stillingfleet. 2. (Gr. Church)  A brief calendar of the lives of the saints for each day in the year, or a simple remembrance of those whose lives are not written.
menology |1. A register of months. Bp. Stillingfleet. 2. (Gr. Church)  A brief calendar of the lives of the saints for each day in the year, or a simple remembrance of those whose lives are not written.
menopause |The period of natural cessation of menstruation. See Change of life, under Change.
menopoma |The hellbender.
menopome |The hellbender.
menorrhagia |(a) Profuse menstruation. (b) Any profuse bleeding from the uterus; Metrorrhagia.
menostasis |Stoppage of the mences.
menostation |Same as Menostasis.
menow |A minnow.
mensal |Belonging to the table; transacted at table; as, mensa conversation.\n\nOccurring once in a month; monthly.
mense |Manliness; dignity; comeliness; civility. [Prov. Eng. & Scot.] -- Mense\"ful, a. -- Mense\"less, a.\n\nTo grace. [Prov. Eng. & Scot.]
menses |The catamenial or menstrual discharge, a periodic flow of blood or bloody fluid from the uterus or female generative organs.
menstrual |1. Recurring once a month; monthly; gone through in a month; as, the menstrual revolution of the moon; pertaining to monthly changes; as, the menstrual equation of the sun's place. 2. Of or pertaining to the menses; as, menstrual discharges; the menstrual period. 3. Of or pertaining to a menstruum. Bacon.
menstruant |Subject to monthly flowing or menses.
menstruate |Menstruous. [Obs.]\n\nTo discharge the menses; to have the catamenial flow.
menstruation |The discharge of the menses; also, the state or the period of menstruating.
menstrue |The menstrual flux; menses. [Obs.]
menstruous |1. Having the monthly flow or discharge; menstruating. 2. Of or pertaining tj the monthly flow; catamenial.
menstruum |Any substance which dissolves a solid body; a solvent. The proper menstruum to dissolve metal. Bacon. All liquors are called menstruums which are used as dissolvents, or to extract the virtues of ingredients by infusion or decoction. Quincy. Note: The use is supposed to have originated in some notion of the old chemists about the influence of the moon in the preparation of dissolvents. Johnson.
mensurability |The quality of being mensurable.
mensurable |Capable of being measured; measurable.
mensurableness |The quality or state of being mensurable; measurableness.
mensural |Of or pertaining to measure.
mensurate |To measure. [Obs.]
mensuration |1. The act, process, or art, of measuring. 2. That branch of applied geometry which gives rules for finding the length of lines, the areas of surfaces, or the volumes of solids, from certain simple data of lines and angles.
ment |of Menge.
mentagra |Sycosis.
mental |Of or pertaining to the chin; genian; as, the mental nerve; the mental region.\n\nA plate or scale covering the mentum or chin of a fish or reptile.\n\nOf or pertaining to the mind; intellectual; as, mental faculties; mental operations, conditions, or exercise. What a mental power This eye shoots forth! Shak. Mental alienation, insanity. -- Mental arithmetic, the art or practice of solving arithmetical problems by mental processes, unassisted by written figures.
mentality |Quality or state of mind. \"The same hard mentality.\" Emerson.
mentally |In the mind; in thought or meditation; intellectually; in idea.
mentha |A widely distributed genus of fragrant herbs, including the peppermint, spearmint, etc. The plants have small flowers, usually arranged in dense axillary clusters.
menthene |A colorless liquid hydrocarbon resembling oil of turpentine, obtained by dehydrating menthol. It has an agreeable odor and a cooling taste.
menthol |A white, crystalline, aromatic substance resembling camphor, extracted from oil of peppermint (Mentha); -- called also mint camphor or peppermint camphor.
menthyl |A compound radical forming the base of menthol.
menticultural |Of or pertaining to mental culture; serving to improve or strengthen the mind. [R.]
mention |A speaking or notice of anything, -- usually in a brief or cursory manner. Used especially in the phrase to make mention of. I will make mention of thy righteousness. Ps. lxxi. 16. And sleep in dull, cold marble, where no mention Of me more must be heard of. Shak.\n\nTo make mention of; to speak briefly of; to name. I will mention the loving-kindnesses of the Lord. Is. lxiii. 7.
mentionable |Fit to be mentioned.
mentomeckelian |Of or pertaining to the chin and lower jaw. -- n.  The bone or cartilage forming the anterior extremity of the lower jaw in some adult animals and the young of others.
mentor |A wise and faithful counselor or monitor.
mentorial |Containing advice or admonition.
mentum |The front median plate of the labium in insects. See Labium.
menu |The details of a banquet; a bill of fare.
menuse |See Amenuse. [Obs.]
meow |See 6th and 7th Mew.
mephistophelian |Pertaining to, or resembling, the devil Mephistopheles, \"a crafty, scoffing, relentless fiend;\" devilish; crafty.
mephitic |1. Tending to destroy life; poisonous; noxious; as, mephitic exhalations; mephitic regions. 2. Offensive to the smell; as, mephitic odors. Mephitic air (Chem.), carbon dioxide; -- so called because of its deadly suffocating power. See Carbonic acid, under Carbonic.
mephitical |1. Tending to destroy life; poisonous; noxious; as, mephitic exhalations; mephitic regions. 2. Offensive to the smell; as, mephitic odors. Mephitic air (Chem.), carbon dioxide; -- so called because of its deadly suffocating power. See Carbonic acid, under Carbonic.
mephitis |1. Noxious, pestilential, or foul exhalations from decomposing substances, filth, or other source. 2. (Zoöl.)  A genus of mammals, including the skunks.
mephitism |Same as Mephitis, 1.
meracious |Being without mixture or adulteration; hence, strong; racy. [Obs.]
mercable |Capable of being bought or sold. [Obs.]
mercantile |Of or pertaining to merchants, or the business of merchants; having to do with trade, or the buying and selling of commodities; commercial. The expedition of the Argonauts was partly mercantile, partly military. Arbuthnot. Mercantile agency, an agency for procuring information of the standing and credit of merchants in different parts of the country, for the use of dealers who sell to them. -- Mercantile marine, the persons and vessels employed in commerce, taken collectively. -- Mercantile paper, the notes or acceptances given by merchants for goods bought, or received on consignment; drafts on merchants for goods sold or consigned. McElrath. Syn. -- Mercantile, Commercial. Commercial is the wider term, being sometimes used to embrace mercantile. In their stricter use, commercial relates to the shipping, freighting, forwarding, and other business connected with the commerce of a country (whether external or internal), that is, the exchange of commodities; while mercantile applies to the sale of merchandise and goods when brought to market. As the two employments are to some extent intermingled, the two words are often interchanged.
mercaptal |Any one of a series of compounds of mercaptans with aldehydes.
mercaptan |Any one of series of compounds, hydrosulphides of alcohol radicals, in composition resembling the alcohols, but containing sulphur in place of oxygen, and hence called also the sulphur alcohols. In general, they are colorless liquids having a strong, repulsive, garlic odor. The name is specifically applied to ethyl mercaptan, C2H5SH. So called from its avidity for mercury, and other metals.
mercaptide |A compound of mercaptan formed by replacing its sulphur hydrogen by a metal; as, potassium mercaptide, C2H5SK.
mercat |Market; trade. [Obs.] Bp. Sprat.
mercatante |A foreign trader. [Obs.] Shak. MERCATOR'S CHART Mer*ca\"tor's chart\".  See under Chart, and see Mercator's projection, under Projection.
mercature |Commerce; traffic; trade. [Obs.]
merce |To subject to fine or amercement; to mulct; to amerce. [Obs.]
mercenaria |The quahog.
mercenarian |A mercenary. [Obs.]
mercenarily |In a mercenary manner.
mercenariness |The quality or state of being mercenary; venality. Boyle.
mercenary |1. Acting for reward; serving for pay; paid; hired; hireling; venal; as, mercenary soldiers. 2. Hence: Moved by considerations of pay or profit; greedy of gain; sordid; selfish. Shak. For God forbid I should my papers blot With mercenary lines, with servile pen. Daniel. Syn. -- See Venal.\n\nOne who is hired; a hireling; especially, a soldier hired into foreign service. Milman.
mercer |Originally, a dealer in any kind of goods or wares; now restricted to a dealer in textile fabrics, as silks or woolens. [Eng.]
mercerize |To treat (cotton fiber or fabrics) with a solution of caustic alkali. Such treatment causes the fiber to shrink in length and become stronger and more receptive of dyes. If the yarn or cloth is kept under tension during the process, it assumes a silky luster. -- Mer`cer*i*za\"tion (#), n.
