slutch |Slush. [Prov. Eng.]
snobbish |Of or pertaining to a snob; characteristic of, or befitting, a snob; vulgarly pretentious. -- Snob\"bish*ly, adv.
snobbishness |Vulgar affectation or ostentation; mean admiration of mean things; conduct or manners of a snob.
snobbism |Snobbery.
snobby |Snobbish. [R.] E. B. Ramsay.
snobling |A little snob. [Jocose] Thackeray.
snobocracy |Snobs, collectively. [Hybrid & Recent] C. Kingsley.
snod |A fillet; a headband; a snood. [Obs. or Prov. Eng.]\n\nTrimmed; smooth; neat; trim; sly; cunning; demure. [Prov. Eng. & Scot.]
snoff |A short candle end used for igniting a fuse. Raymond.
snood |1. The fillet which binds the hair of a young unmarried woman, and is emblematic of her maiden character. [Scot.] And seldom was a snood amid Such wild, luxuriant ringlets hid. Sir W. Scott. 2. A short line (often of horsehair) connecting a fishing line with the hook; a snell; a leader.\n\nTo bind or braid up, as the hair, with a snood. [Scot.]
snooded |Wearing or having a snood. \"The snooded daughter.\" Whittier.
snook |To lurk; to lie in ambush. [Obs.]\n\n(a) A large perchlike marine food fish (Centropomus undecimalis) found both on the Atlantic and Pacific coasts of tropical America; -- called also ravallia, and robalo. (b) The cobia. (c) The garfish.
snooze |A short sleep; a nap. [Colloq.]\n\nTo doze; to drowse; to take a short nap; to slumber. [Colloq.]
snore |To breathe with a rough, hoarse, nasal voice in sleep.\n\nA harsh nasal noise made in sleep.
snorer |One who snores.
snoring |The act of respiring through the open mouth so that the currents of inspired and expired air cause a vibration of the uvula and soft palate, thus giving rise to a sound more or less harsh. It is usually unvoluntary, but may be produced voluntarily.
snort |1. To force the air with violence through the nose, so as to make a noise, as do high-spirited horsed in prancing and play. Fairfax. 2. To snore. [R.] \"The snorting citizens.\" Shak. 3. To laugh out loudly. [Colloq.] Halliwell.\n\nThe act of snorting; the sound produced in snorting.\n\nTo expel throught the nostrils with a snort; to utter with a snort. Keats.
snorter |1. One who snorts. 2. (Zoöl.)  The wheather; -- so called from its cry. [Prov. Eng.]
snot |1. Mucus secreted in, or discharged from, the nose. [Low] 2. A mean, insignificant fellow. [Low]\n\nTo blow, wipe, or clear, as the nose.
snotter |To snivel; to cry or whine. [Prov. Eng.] Grose.\n\nA rope going over a yardarm, used to bend a tripping line to, in sending down topgallant and royal yards in vessels of war; also, the short line supporting the heel of the sprit in a small boat.
snottery |Filth; abomination. [Obs.] To purge the snottery of our slimy time. Marston.
snotty |Foul with snot; hence, mean; dirty. -- Snort\"ti*ly, adb. -- Snot\"ti*ness, n.
snout |1. The long, projecting nose of a beast, as of swine. 2. The nose of a man; -- in contempt. Hudibras. 3. The nozzle of a pipe, hose, etc. 4. (Zoöl.) (a) The anterior prolongation of the head of a gastropod; -- called also rostrum. (b) The anterior prolongation of the head of weevils and allied beetles. Snout beetle (Zoöl.), any one of many species of beetles having an elongated snout and belonging to the tribe Rhynchophora; a weevil. -- Snout moth (Zoöl.), any pyralid moth. See Pyralid.\n\nTo furnish with a nozzle or point.
snouty |Resembling a beast's snout. The nose was ugly, long, and big, Broad and snouty like a pig. Otway.
snow |A square-rigged vessel, differing from a brig only in that she has a trysail mast close abaft the mainmast, on which a large trysail is hoisted.\n\n1. Watery particles congealed into white or transparent crystals or flakes in the air, and falling to the earth, exhibiting a great variety of very beautiful and perfect forms. Note: Snow is often used to form compounds, most of which are of obvious meaning; as, snow-capped, snow-clad, snow-cold, snow-crowned, snow-crust, snow-fed, snow-haired, snowlike, snow-mantled, snow- nodding, snow-wrought, and the like. 2. Fig.: Something white like snow, as the white color (argent) in heraldry; something which falls in, or as in, flakes. The field of snow with eagle of black therein. Chaucer. Red snow. See under Red. Snow bunting. (Zoöl.) See Snowbird, 1. -- Snow cock (Zoöl.), the snow pheasant. -- Snow flea (Zoöl.), a small black leaping poduran (Achorutes nivicola) often found in winter on the snow in vast numbers. -- Snow flood, a flood from melted snow. -- Snow flower (Bot.), the fringe tree. -- Snow fly, or Snow insect (Zoöl.), any one of several species of neuropterous insects of the genus Boreus. The male has rudimentary wings; the female is wingless. These insects sometimes appear creeping and leaping on the snow in great numbers. -- Snow gnat (Zoöl.), any wingless dipterous insect of the genus Chionea found running on snow in winter. -- Snow goose (Zoöl.), any one of several species of arctic geese of the genus Chen. The common snow goose (Chen hyperborea), common in the Western United States in winter, is white, with the tips of the wings black and legs and bill red. Called also white brant, wavey, and Texas goose. The blue, or blue-winged, snow goose (C. coerulescens) is varied with grayish brown and bluish gray, with the wing quills black and the head and upper part of the neck white. Called also white head, white-headed goose, and bald brant. -- Snow leopard (Zool.), the ounce. -- Snow line, lowest limit of perpetual snow. In the Alps this is at an altitude of 9,000 feet, in the Andes, at the equator, 16,000 feet. -- Snow mouse (Zoöl.), a European vole (Arvicola nivalis) which inhabits the Alps and other high mountains. -- Snow pheasant (Zoöl.), any one of several species of large, handsome gallinaceous birds of the genus Tetraogallus, native of the lofty mountains of Asia. The Himalayn snow pheasant (T.Himalayensis) in the best-known species. Called also snow cock, and snow chukor. -- Snow partridge. (Zoöl.) See under Partridge. -- Snow pigeon (Zoöl.), a pigeon (Columba leuconota) native of the Himalaya mountains. Its back, neck, and rump are white, the top of the head and the ear coverts are black. -- Snow plant (Bot.), a fleshy parasitic herb (Sarcodes sanguinea) growing in the coniferous forests of California. It is all of a bright red color, and is fabled to grow from the snow, through which it sometimes shoots up.\n\nTo fall in or as snow; -- chiefly used impersonally; as, it snows; it snowed yesterday.\n\nTo scatter like snow; to cover with, or as with, snow. Donne. Shak.
snow banner |A bannerlike stream of snow blown into the air from a mountain peak, often having a pinkish color and extending horizontally for several miles across the sky.
snow-blind |Affected with blindness by the brilliancy of snow. -- Snow\"-blind`ness, n.
snow-bound |Enveloped in, or confined by, snow. Whittier.
snow-broth |Snow and water mixed, or snow just melted; very cold liquor. Shak.
snow-capped |Having the top capped or covered with snow; as, snow-capped mountains.
snow-white |White as snow; very white. \"Snow-white and rose-red\" Chaucer.
snowball |1. A round mass of snow pressed or roller together, or anything resembling such a mass. 2. (Bot.)  The Guelder-rose. Snowball tree (Bot.), the Guelder-rose.\n\nTo pelt with snowballs; to throw snowballs at.\n\nTo throw snowballs.
snowberry |A name of several shrubs with white berries; as, the Symphoricarpus racemosus of the Northern United States, and the Chiococca racemosa of Florida and tropical America. Creeping snowberry. (Bot.) See under Creeping.
snowbird |(a) An arctic finch (Plectrophenax, or Plectrophanes, nivalis) common, in winter, both in Europe and the United States, and often appearing in large flocks during snowstorms. It is partially white, but variously marked with chestnut and brown. Called also snow bunting, snowflake, snowfleck, and snowflight. (b) Any finch of the genus Junco which appears in flocks in winter time, especially J. hyemalis in the Eastern United States; -- called also blue snowbird. See Junco. (c) The fieldfare. [Prov. Eng.]
snowcap |A very small humming bird (Microchæra albocoronata) native of New Grenada. Note: The feathers of the top of the head are white and snining, the body blue black with a purple and bronzy luster. The name is applied also to Microchæra parvirostris of Central America, which is similar in color.
snowdrift |A bank of drifted snow.
snowdrop |A bulbous plant (Galanthus nivalis) bearing white flowers, which often appear while the snow is on the ground. It is cultivated in gardens for its beauty. Snowdrop tree. See Silver-bell tree, under Silver, a.
snowflake |1. A flake, or small filmy mass, of snow. 2. (Zoöl.)  See Snowbird, 1. 3. (Bot.)  A name given to several bulbous plants of the genus Leucoium (L. vernum, æstivum, etc.) resembling the snowdrop, but having all the perianth leaves of equal size.
snowfleck |See Snowbird, 1.
snowl |The hooded merganser. [Local, U.S.]
snowless |Destitute of snow.
snowplough |An implement operating like a plow, but on a larger scale, for clearing away the snow from roads, railways, etc.
snowplow |An implement operating like a plow, but on a larger scale, for clearing away the snow from roads, railways, etc.
snowshed |A shelter to protect from snow, esp. a long roof over an exposed part of a railroad.
snowshoe |A slight frame of wood three or four feet long and about one third as wide, with thongs or cords stretched across it, and having a support and holder for the foot; -- used by persons for walking on soft snow.
snowshoeing |Traveling on snowshoes.
snowshoer |One who travels on snowshoes; an expert in using snowshoes. W. G. Beers.
snowslip |A large mass or avalanche of snow which slips down the side of a mountain, etc.
snowstorm |A storm with falling snow.
snowy |1. White like snow. \"So shows a snowy dove trooping with crows.\" Shak. 2. Abounding with snow; covered with snow. \"The snowy top of cold Olympus.\" Milton. 3. Fig.: Pure; unblemished; unstained; spotless. There did he lose his snowy innocence. J. Hall (1646). Snowy heron (Zoöl.), a white heron, or egret (Ardea candidissima), found in the Southern United States, and southward to Chili; -- called also plume bird. -- Snowy lemming (Zoöl.), the collared lemming (Cuniculus torquatus), which turns white in winter. -- Snowy owl (Zoöl.), a large arctic owl (Nyctea Scandiaca, or N. nivea) common all over the northern parts of the United States and Europe in winter time. Its plumage is sometimes nearly pure white, but it is usually more or less marked with blackish spots. Called also white owl. -- Snowy plover (Zoöl.), a small plover (Ægialitis nivosa) of the western parts of the United States and Mexico. It is light gray above, with the under parts and portions of the head white.
snub |To sob with convulsions. [Obs.] Bailey.\n\n1. To clip or break off the end of; to check or stunt the growth of; to nop. 2. To check, stop, or rebuke, with a tart, sarcastic reply or remark; to reprimand; to check. J. Foster. 3. To treat with contempt or neglect, as a forward or pretentious person; to slight designedly. To snub a cable or rope (Naut.), to check it suddenly in running out. Totten.\n\n1. A knot; a protuberance; a song. [Obs.] [A club] with ragged snubs and knotty grain. Spenser. 2. A check or rebuke; an intended slight. J. Foster. Snub nose, a short or flat nose. -- Snub post, or Snubbing post (Naut.), a post on a dock or shore, around which a rope is thrown to check the motion of a vessel.
snub-nosed |Having a short, flat nose, slightly turned up; as, the snub- nosed eel. Snub-nosed cachalot (Zoöl.), the pygmy sperm whale.
snudge |To lie snug or quiet. [Obs.] Herbert.\n\nA miser; a sneaking fellow. [Obs.]
snuff |The part of a candle wick charred by the flame, whether burning or not. If the burning snuff happens to get out of the snuffers, you have a chance that it may fall into a dish of soup. Swift.\n\nTo crop the snuff of, as a candle; to take off the end of the snuff of. To snuff out, to extinguish by snuffing.\n\n1. To draw in, or to inhale, forcibly through the nose; to sniff. He snuffs the wind, his heels the sand excite. Dryden. 2. To perceive by the nose; to scent; to smell.\n\n1. To inhale air through the nose with violence or with noise, as do dogs and horses. Dryden. 2. To turn up the nose and inhale air, as an expression of contempt; hence, to take offense. Do the enemies of the church rage and snuff Bp. Hall.\n\n1. The act of snuffing; perception by snuffing; a sniff. 2. Pulverized tobacco, etc., prepared to be taken into the nose; also, the amount taken at once. 3. Resentment, displeasure, or contempt, expressed by a snuffing of the nose. [Obs.] Snuff dipping. See Dipping, n., 5. -- Snuff taker, one who uses snuff by inhaling it through the nose. -- To take it in snuff, to be angry or offended. Shak. -- Up to snuff, not likely to be imposed upon; knowing; acute. [Slang]
snuffbox |A small box for carrying snuff about the person.
snuffer |1. One who snuffs. 2. (Zoöl.)  The common porpoise.
snuffers |An instrument for cropping and holding the snuff of a candle.
snuffingly |In a snuffing manner.
snuffle |To speak through the nose; to breathe through the nose when it is obstructed, so as to make a broken sound. One clad in purple Eats, and recites some lamentable rhyme . . . Snuffling at nose, and croaking in his throat. Dryden.\n\n1. The act of snuffing; a sound made by the air passing through the nose when obstructed. This dread sovereign, Breath, in its passage, gave a snort or snuffle. Coleridge. 2. An affected nasal twang; hence, cant; hypocrisy. 3. pl.  Obstruction of the nose by mucus; nasal catarrh of infants or children. [Colloq.]
snuffler |One who snuffles; one who uses cant.
snuffy |1. Soiled with snuff. 2. Sulky; angry; vexed. [Obs. or Scot.] Jamieson.
snug |1. Close and warm; as, an infant lies snug. 2. Close; concealed; not exposed to notice. Lie snug, and hear what critics say. Swift. 3. Compact, convenient, and comfortable; as, a snug farm, house, or property.\n\nSame as Lug, n., 3.\n\nTo lie close; to snuggle; to snudge; -- often with up, or together; as, a child snugs up to its mother.\n\n1. To place snugly. [R.] Goldsmith. 2. To rub, as twine or rope, so as to make it smooth and improve the finish.
snuggery |A snug, cozy place. [Colloq.] Dickens.
snuggle |To move one way and the other so as to get a close place; to lie close for comfort; to cuddle; to nestle.
snugly |In a snug manner; closely; safely.
snugness |The quality or state of being snug.
sny |An upward bend in a piece of timber; the sheer of a vessel.
snying |A curved plank, placed edgewise, to work in the bows of a vessel. R. H. Dana, Jr.
so |1. In that manner or degree; as, indicated (in any way), or as implied, or as supposed to be known. Why is his chariot so long in coming Judges v. 28. 2. In like manner or degree; in the same way; thus; for like reason; whith equal reason; -- used correlatively, following as, to denote comparison or resemblance; sometimes, also, following inasmuch as. As a war should be undertaken upon a just motive, so a prince ought to consider the condition he is in. Swift. 3. In such manner; to such degree; -- used correlatively with as or that following; as, he was so fortunate as to escape. I viewed in may mind, so far as I was able, the beginning and progress of a rising world. T. Burnet. He is very much in Sir Roger's esteem, so that he lives in the family rather as a relation than dependent. Addison. 4. Very; in a high degree; that is, in such a degree as can not well be expressed; as, he is so good; he planned so wisely. 5. In the same manner; as has been stated or suggested; in this or that condition or state; under these circumstances; in this way; -- with reflex reference to something just asserted or implied; used also with the verb to be, as a predicate. Use him [your tutor] with great respect yourself, and cause all your family to do so too. Locke. It concerns every man, with the greatest seriousness, to inquire into those matters, whether they be so or not. Tillotson. He is Sir Robert's son, and so art thou. Shak. 6. The case being such; therefore; on this account; for this reason; on these terms; -- used both as an adverb and a conjuction. God makes him in his own image an intellectual creature, and so capable of dominion. Locke. Here, then, exchange we mutually forgiveness; So may the guilt of all my broken vows, My perjuries to thee, be all forgotten. Rowe. 7. It is well; let it be as it is, or let it come to pass; -- used to express assent. And when 't is writ, for my sake read it over, And if it please you, so; if not, why, so. Shak. There is Percy; if your father will do me any honor, so; if not, let him kill the next Percy himself. Shak. 8. Well; the fact being as stated; -- used as an expletive; as, so the work is done, is it 9. Is it thus do you mean what you say -- with an upward tone; as, do you say he refuses So [Colloq.] 10. About the number, time, or quantity specified; thereabouts; more or less; as, I will spend a week or so in the country; I have read only a page or so. A week or so will probably reconcile us. Gay. Note: See the Note under Ill, adv. So . . . as. So is now commonly used as a demonstrative correlative of as when it is the puprpose to emphasize the equality or comparison suggested, esp. in negative assertions, and questions implying a negative answer. By Shakespeare and others so . . . as was much used where as . . . as is now common. See the Note under As, 1. So do, as thou hast said. Gen. xviii. 5. As a flower of the field, so he flourisheth. Ps. ciii. 15. Had woman been so strong as men. Shak. No country suffered so much as England. Macaulay. -- So far, to that point or extent; in that particular. \"The song was moral, and so far was right.\" Cowper. -- So far forth, as far; to such a degree. Shak. Bacon. -- So forth, further in the same or similar manner; more of the same or a similar kind. See And so forth, under And. -- So, so, well, well. \"So, so, it works; now, mistress, sit you fast.\" Dryden. Also, moderately or tolerably well; passably; as, he succeeded but so so. \"His leg is but so so.\" Shak. -- So that, to the end that; in order that; with the effect or result that. -- So then, thus then it is; therefore; the consequence is.\n\nProvided that; on condition that; in case that; if. Though all the winds of doctrine were let loose play upon the earth, so truth be in the field, we do injuriously, by licensing and prohibiting, to misdoubt her strength. Milton.\n\nBe as you are; stand still; stop; that will do; right as you are; -- a word used esp. to cows; also used by sailors.
so-called |So named; called by such a name (but perhaps called thus with doubtful propriety).
so-so |Neither very good nor very bad; middling; passable; tolerable; indifferent. In some Irish houses, where things are so-so, One gammon of bacon hangs up for a show. Goldsmith. He [Burns] certainly wrote some so-so verses to the Tree of Liberty. Prof. Wilson.\n\nTolerably; passably. H. James.
soak |1. To cause or suffer to lie in a fluid till the substance has imbibed what it can contain; to macerate in water or other liquid; to steep, as for the purpose of softening or freshening; as, to soak cloth; to soak bread; to soak salt meat, salt fish, or the like. 2. To drench; to wet thoroughly. Their land shall be soaked with blood. Isa. xxiv. 7. 3. To draw in by the pores, or through small passages; as, a sponge soaks up water; the skin soaks in moisture. 4. To make (its way) by entering pores or interstices; -- often with through. The rivulet beneath soaked its way obscurely through wreaths of snow. Sir W. Scott. 5. Fig.: To absorb; to drain. [Obs.] Sir H. Wotton.\n\n1. To lie steeping in water or other liquid; to become sturated; as, let the cloth lie and soak. 2. To enter (into something) by pores or interstices; as, water soaks into the earth or other porous matter. 3. To drink intemperately or gluttonously. [Slang]
soakage |The act of soaking, or the state of being soaked; also, the quantity that enters or issues by soaking.
soaker |1. One who, or that which, soaks. 2. A hard drinker. [Slang] South.
soaking |Wetting thoroughly; drenching; as, a soaking rain. -- Soak\"ing*ly, adv.
soaky |Full of moisture; wet; soppy.
soal |1. The sole of a shoe. [Obs. or R.] 2. (Zoöl.)  See Sole, the fish. [Obs.]\n\nA dirty pond. [Prov. Eng.] Halliwell.
soam |A chain by which a leading horse draws a plow. Knight.
soap |A substance which dissolves in water, thus forming a lather, and is used as a cleansing agent. Soap is produced by combining fats or oils with alkalies or alkaline earths, usually by boiling, and consists of salts of sodium, potassium, etc., with the fatty acids (oleic, stearic, palmitic, etc.). See the Note below, and cf. Saponification. By extension, any compound of similar composition or properties, whether used as a cleaning agent or not. Note: In general, soaps are of two classes, hard and soft. Calcium, magnesium, lead, etc., form soaps, but they are insoluble and useless. The purifying action of soap depends upon the fact that it is decomposed by a large quantity of water into free alkali and an insoluble acid salt. The first of these takes away the fatty dirt on washing, and the latter forms the soap lather which envelops the greasy matter and thus tends to remove it. Roscoe & Schorlemmer. Castile soap, a fine-grained hard soap, white or mottled, made of olive oil and soda; -- called also Marseilles, or Venetian, soap. -- Hard soap, any one of a great variety of soaps, of different ingredients and color, which are hard and compact. All solid soaps are of this class. -- Lead soap, an insoluble, white, pliable soap made by saponifying an oil (olive oil) with lead oxide; -- used externally in medicine. Called also lead plaster, diachylon, etc. -- Marine soap. See under Marine. -- Pills of soap (Med.), pills containing soap and opium. -- Potash soap, any soap made with potash, esp. the soft soaps, and a hard soap made from potash and castor oil. -- Pumice soap, any hard soap charged with a gritty powder, as silica, alumina, powdered pumice, etc., which assists mechanically in the removal of dirt. -- Resin soap, a yellow soap containing resin, -- used in bleaching. -- Silicated soap, a cheap soap containing water glass (sodium silicate). -- Soap bark. (Bot.) See Quillaia bark. -- Soap bubble, a hollow iridescent globe, formed by blowing a film of soap suds from a pipe; figuratively, something attractive, but extremely unsubstantial. This soap bubble of the metaphysicians. J. C. Shairp. -- Soap cerate, a cerate formed of soap, olive oil, white wax, and the subacetate of lead, sometimes used as an application to allay inflammation. -- Soap fat, the refuse fat of kitchens, slaughter houses, etc., used in making soap. -- Soap liniment (Med.), a liniment containing soap, camphor, and alcohol. -- Soap nut, the hard kernel or seed of the fruit of the soapberry tree, -- used for making beads, buttons, etc. -- Soap plant (Bot.), one of several plants used in the place of soap, as the Chlorogalum pomeridianum, a California plant, the bulb of which, when stripped of its husk and rubbed on wet clothes, makes a thick lather, and smells not unlike new brown soap. It is called also soap apple, soap bulb, and soap weed. -- Soap tree. (Bot.) Same as Soapberry tree. -- Soda soap, a soap containing a sodium salt. The soda soaps are all hard soaps. -- Soft soap, a soap of a gray or brownish yellow color, and of a slimy, jellylike consistence, made from potash or the lye from wood ashes. It is strongly alkaline and often contains glycerin, and is used in scouring wood, in cleansing linen, in dyehouses, etc. Figuratively, flattery; wheedling; blarney. [Colloq.] -- Toilet soap, hard soap for the toilet, usually colored and perfumed.\n\n1. To rub or wash over with soap. 2. To flatter; to wheedle. [Slang]
soapberry tree |Any tree of the genus Sapindus, esp. Sapindus saponaria, the fleshy part of whose fruit is used instead of soap in washing linen; -- also called soap tree.
soapfish |Any serranoid fish of the genus Rhypticus; -- so called from the soapy feeling of its skin.
soapiness |Quality or state of being soapy.
soaproot |A perennial herb (Gypsophila Struthium) the root of which is used in Spain as a substitute for soap.
soapstone |See Steatite, and Talc.
soapsuds |Suds made with soap.
soapwort |A common plant (Saponaria officinalis) of the Pink family; -- so called because its bruised leaves, when agitated in water, produce a lather like that from soap. Called also Bouncing Bet.
soapy |1. Resembling soap; having the qualities of, or feeling like, soap; soft and smooth. 2. Smeared with soap; covered with soap.
soar |1. To fly aloft, as a bird; to mount upward on wings, or as on wings. Chaucer. When soars Gaul's vulture with his wings unfurled. Byron. 2. Fig.: To rise in thought, spirits, or imagination; to be exalted in mood. Where the deep transported mind may soar. Milton. Valor soars above What the world calls misfortune. Addison.\n\nThe act of soaring; upward flight. This apparent soar of the hooded falcon. Coleridge.\n\nSee 3d Sore. [Obs.]\n\nSee Sore, reddish brown. Soar falcon. (Zoöl.) See Sore falcon, under Sore.
soaring |from Soar. -- Soar\"ing*ly, adv.
soave |Sweet.
soavemente |Sweetly.
sob |To soak. [Obs.] Mortimer.\n\nTo sigh with a sudden heaving of the breast, or with a kind of convulsive motion; to sigh with tears, and with a convulsive drawing in of the breath. Sobbing is the same thing [as sighing], stronger. Bacon. She sighed, she sobbed, and, furious with despair. She rent her garments, and she tore her hair. Dryden.\n\n1. The act of sobbing; a convulsive sigh, or inspiration of the breath, as in sorrow. Break, heart, or choke with sobs my hated breath. Dryden. 2. Any sorrowful cry or sound. The tremulous sob of the complaining owl. Wordsworth.
sobbing |A series of short, convulsive inspirations, the glottis being suddenly closed so that little or no air enters into the lungs.
sober |1. Temperate in the use of spirituous liquors; habitually temperate; as, a sober man. That we may hereafter live a godly, righteous, and sober life, to the glory of Thy holy name. Bk. of Com. Prayer. 2. Not intoxicated or excited by spirituous liquors; as, the sot may at times be sober. 3. Not mad or insane; not wild, visionary, or heated with passion; exercising cool, dispassionate reason; self-controlled; self- possessed. There was not a sober person to be had; all was tempestuous and blustering. Druden. No sober man would put himself into danger for the applause of escaping without breaking his neck. Dryden. 4. Not proceeding from, or attended with, passion; calm; as, sober judgment; a man in his sober senses. 5. Serious or subdued in demeanor, habit, appearance, or color; solemn; grave; sedate. What parts gay France from sober Spain Prior. See her sober over a sampler, or gay over a jointed baby. Pope. Twilight gray Had in her sober livery all things clad. Milton. Syn. -- Grave; temperate; abstinent; abstemious; moderate; regular; steady; calm; quiet; cool; collected; dispassionate; unimpassioned; sedate; staid; serious; solemn; somber. See Grave.\n\nTo make sober. There shallow draughts intoxicate the brain, And drinking largely sobers us again. Pope.\n\nTo become sober; -- often with down. Vance gradually sobered down. Ld. Lytton.
sober-minded |Having a disposition or temper habitually sober. -- So\"ber-mind`ed*ness, n.
soberize |To sober. [R.] Crabbe.
soberly |In a sober manner; temperately; cooly; calmly; gravely; seriously.\n\nGrave; serious; solemn; sad. [Obs.] [He] looked hollow and thereto soberly. Chaucer.
soberness |The quality or state of being sober.
soboles |(a) A shoot running along under ground, forming new plants at short distances. (b) A sucker, as of tree or shrub.
soboliferous |Producing soboles. See Illust. of Houseleek.
sobranje |The unicameral national assembly of Bulgaria, elected for a term of five years by universal suffrage of adult males.
sobriety |1. Habitual soberness or temperance as to the use of spirituous liquors; as, a man of sobriety. Public sobriety is a relative duty. Blackstone. 2. Habitual freedom from enthusiasm, inordinate passion, or overheated imagination; calmness; coolness; gravity; seriousness; as, the sobriety of riper years. Mirth makes them not mad, Nor sobriety sad. Denham. Syn. -- Soberness; temperance; abstinence; abstemiousness; moderation; regularity; steadness; calmness; coolness; sober-mindeness; sedateness; staidness; gravity; seriousness; solemnity.
sobriquet |An assumed name; a fanciful epithet or appellation; a nickname. [Sometimes less correctly written soubriquet.]
soc |1. (O. Eng. Law) (a) The lord's power or privilege of holding a court in a district, as in manor or lordship; jurisdiction of causes, and the limits of that jurisdiction. (b) Liberty or privilege of tenants excused from customary burdens. 2. An exclusive privilege formerly claimed by millers of grrinding all the corn used within the manor or township which the mill stands. [Eng.] Soc and sac (O. Eng. Law), the full right of administering justice in a manor or lordship.
socage |A tenure of lands and tenements by a certain or determinate service; a tenure distinct from chivalry or knight's service, in which the obligations were uncertain. The service must be certain, in order to be denominated socage, as to hold by fealty and twenty shillings rent. [Written also soccage.] Note: Socage is of two kinds; free socage, where the services are not only certain, but honorable; and villein socage, where the services, though certain, are of a baser nature. Blackstone.
socager |A tennant by socage; a socman.
sociability |The quality of being sociable; sociableness.
sociable |1. Capable of being, or fit to be, united in one body or company; associable. [R.] They are sociable parts united into one body. Hooker. 2. Inclined to, or adapted for, society; ready to unite with others; fond of companions; social. Society is no comfort to one not sociable. Shak. What can be uneasy to this sociable creature than the dry, pensive retirements of solitude South. 3. Ready to converse; inclined to talk with others; not taciturn or reserved. 4. Affording opportunites for conversation; characterized by much conversation; as, a sociable party. 5. No longer hostile; friendly. [Obs.] Beau & Fl. Sociable bird, or Sociable weaver (Zoöl.), a weaver bird which builds composite nests. See Republican, n., 3. (b). Syn. -- Social; companionable; conversible; friendly; familiar; communicative; accessible.\n\n1. A gathering of people for social purposes; an informal party or reception; as, a church sociable. [Colloq. U. S.] 2. A carriage having two double seats facing each other, and a box for the driver. Miss Edgeworth.
sociableness |The quality of being sociable.
sociably |In a sociable manner.
social |1. Of or pertaining to society; relating to men living in society, or to the public as an aggregate body; as, social interest or concerns; social pleasure; social benefits; social happiness; social duties. \"Social phenomena.\" J. S. Mill. 2. Ready or disposed to mix in friendly converse; companionable; sociable; as, a social person. 3. Consisting in union or mutual intercourse. Best with thyself accompanied, seek'st not Social communication. Milton. 4. (Bot.)  Naturally growing in groups or masses; -- said of many individual plants of the same species. 5. (Zoöl.) (a) Living in communities consisting of males, females, and neuters, as do ants and most bees. (b) Forming compound groups or colonies by budding from basal processes or stolons; as, the social ascidians. Social science, the science of all that relates to the social condition, the relations and institutions which are involved in man's existence and his well- being as a member of an organized community; sociology. It concerns itself with questions of the public health, education, labor, punishment of crime, reformation of criminals, and the like. -- Social whale (Zoöl.), the blackfish. -- The social evil, prostitution. Syn. -- Sociable; companionable; conversible; friendly; familiar; communicative; convival; festive.
socialism |A theory or system of social reform which contemplates a complete reconstruction of society, with a more just and equitable distribution of property and labor. In popular usage, the term is often employed to indicate any lawless, revolutionary social scheme. See Communism, Fourierism, Saint-Simonianism, forms of socialism. [Socialism] was first applied in England to Owen's theory of social reconstruction, and in France to those also of St. Simon and Fourier . . . The word, however, is used with a great variety of meaning, . . . even by economists and learned critics. The general tendency is to regard as socialistic any interference undertaken by society on behalf of the poor, . . . radical social reform which disturbs the present system of private property . . . The tendency of the present socialism is more and more to ally itself with the most advanced democracy. Encyc. Brit. We certainly want a true history of socialism, meaning by that a history of every systematic attempt to provide a new social existence for the mass of the workers. F. Harrison.
socialist |One who advocates or practices the doctrines of socialism.\n\nPertaining to, or of the nature of, socialism.
socialistic |Pertaining to, or of the nature of, socialism.
sociality |The quality of being social; socialness.
socialize |1. To render social. 2. To subject to, or regulate by, socialism.
socially |In a social manner; sociably.
socialness |The quality or state of being social.
sociate |Associated. [Obs.]\n\nAn associate. [Obs.] As for you, Dr. Reynolds, and your sociates. Fuller.\n\nTo associate. [Obs.] Shelford.
societarian |Of or pertaining to society; social. The all-sweeping besom of societarian reformation. Lamb.
societary |Societarian. [R.]
society |1. The relationship of men to one another when associated in any way; companionship; fellowship; company. \"Her loved society.\" Milton. There is society where none intrudes By the deep sea, and music in its roar. Byron. 2. Connection; participation; partnership. [R.] The meanest of the people and such as have the least society with the acts and crimes of kings. Jer. Taylor. 3. A number of persons associated for any temporary or permanent object; an association for mutual or joint usefulness, pleasure, or profit; a social union; a partnership; as, a missionary society. 4. The persons, collectively considered, who live in any region or at any period; any community of individuals who are united together by a common bond of nearness or intercourse; those who recognize each other as associates, friends, and acquaintances. 5. Specifically, the more cultivated portion of any community in its social relations and influences; those who mutually give receive formal entertainments. Society of Jesus. See Jesuit. -- Society verses Etym: [a translation of F. vers de société], the lightest kind of lyrical poetry; verses for the amusement of polite society.
socinian |Of or pertaining to Socinus, or the Socinians.\n\nOne of the followers of Socinus; a believer in Socinianism.
socinianism |The tenets or doctrines of Faustus Socinus, an Italian theologian of the sixteenth century, who denied the Trinity, the deity of Christ, the personality of the Devil, the native and total depravity of man, the vicarious atonement, and the eternity of future punishment. His theory was, that Christ was a man divinely commissioned, who had no existence before he was conceived by the Virgin Mary; that human sin was the imitation of Adam's sin, and that human salvation was the imitation and adoption of Christ's virtue; that the Bible was to be interpreted by human reason; and that its language was metaphorical, and not to be taken literally.
