debarrass |To disembarrass; to relieve. [R.]
dedicate |Dedicated; set apart; devoted; consecrated. \"Dedicate to nothing temporal.\" Shak. Syn. -- Devoted; consecrated; addicted.\n\n1. To set apart and consecrate, as to a divinity, or for sacred uses; to devote formally and solemnly; as, to dedicate vessels, treasures, a temple, or a church, to a religious use. Vessels of silver, and vessels of gold, . . . which also king David did dedicate unto the Lord. 2 Sam. viii. 10, 11. We have come to dedicate a portion of that field as a final resting place for those who here gave their lives that that nation might live. . . . But in a larger sense we can not dedicate, we can not consecrate, we can not hallow this ground. A. Lincoln. 2. To devote, set apart, or give up, as one's self, to a duty or service. The profession of a soldier, to which he had dedicated himself. Clarendon. 3. To inscribe or address, as to a patron. He complied ten elegant books, and dedicated them to the Lord Burghley. Peacham. Syn. -- See Addict.
dedicatee |One to whom a thing is dedicated; -- correlative to dedicator.
dedication |1. The act of setting apart or consecrating to a divine Being, or to a sacred use, often with religious solemnities; solemn appropriation; as, the dedication of Solomon's temple. 2. A devoting or setting aside for any particular purpose; as, a dedication of lands to public use. 3. An address to a patron or friend, prefixed to a book, testifying respect, and often recommending the work to his special protection and favor.
dedicator |One who dedicates; more especially, one who inscribes a book to the favor of a patron, or to one whom he desires to compliment.
dedicatorial |Dedicatory.
dedicatory |Constituting or serving as a dedication; complimental. \"An epistle dedicatory.\" Dryden.\n\nDedication. [R.] Milton.
dedimus |A writ to commission private persons to do some act in place of a judge, as to examine a witness, etc. Bouvier.
dedition |The act of yielding; surrender. [R.] Sir M. Hale.
dedolent |Feeling no compunction; apathetic. [R.] Hallywell.
deduce |1. To lead forth. [A Latinism] He should hither deduce a colony. Selden. 2. To take away; to deduct; to subtract; as, to deduce a part from the whole. [Obs.] B. Jonson. 3. To derive or draw; to derive by logical process; to obtain or arrive at as the result of reasoning; to gather, as a truth or opinion, from what precedes or from premises; to infer; -- with from or out of. O goddess, say, shall I deduce my rhymes From the dire nation in its early times Pope. Reasoning is nothing but the faculty of deducing unknown truths from principles already known. Locke. See what regard will be paid to the pedigree which deduces your descent from kings and conquerors. Sir W. Scott.
deducement |Inference; deduction; thing deduced. [R.] Dryden.
deducibility |Deducibleness.
deducible |1. Capable of being deduced or inferred; derivable by reasoning, as a result or consequence. All properties of a triangle depend on, and are deducible from, the complex idea of three lines including a space. Locke. 2. Capable of being brought down. [Obs.] As if God [were] deducible to human imbecility. State Trials (1649).
deducibleness |The quality of being deducible; deducibility.
deducibly |By deduction.
deducive |That deduces; inferential.
deduct |1. To lead forth or out. [Obs.] A people deducted out of the city of Philippos. Udall. 2. To take away, separate, or remove, in numbering, estimating, or calculating; to subtract; -- often with from or out of. Deduct what is but vanity, or dress. Pope. Two and a half per cent should be deducted out of the pay of the foreign troops. Bp. Burnet. We deduct from the computation of our years that part of our time which is spent in . . . infancy. Norris. 3. To reduce; to diminish. [Obs.] \"Do not deduct it to days.\" Massinger.
deductible |1. Capable of being deducted, taken away, or withdrawn. Not one found honestly deductible From any use that pleased him. Mrs. Browning. 2. Deducible; consequential.
deduction |1. Act or process of deducing or inferring. The deduction of one language from another. Johnson. This process, by which from two statements we deduce a third, is called deduction. J. R. Seely. 2. Act of deducting or taking away; subtraction; as, the deduction of the subtrahend from the minuend. 3. That which is deduced or drawn from premises by a process of reasoning; an inference; a conclusion. Make fair deductions; see to what they mount. Pope. 4. That which is deducted; the part taken away; abatement; as, a deduction from the yearly rent. Syn. -- See Induction.
deductive |Of or pertaining to deduction; capable of being deduced from premises; deducible. All knowledge of causes is deductive. Glanvill. Notions and ideas . . . used in a deductive process. Whewell.
deductively |By deduction; by way of inference; by consequence. Sir T. Browne.
deductor |The pilot whale or blackfish.
deduit |Delight; pleasure. [Obs.] Chaucer.
deduplication |The division of that which is morphologically one organ into two or more, as the division of an organ of a plant into a pair or cluster.
deed |Dead. [Obs.] Chaucer.\n\n1. That which is done or effected by a responsible agent; an act; an action; a thing done; -- a word of extensive application, including, whatever is done, good or bad, great or small. And Joseph said to them, What deed is this which ye have done Gen. xliv. 15. We receive the due reward of our deeds. Luke xxiii. 41. Would serve his kind in deed and word. Tennyson. 2. Illustrious act; achievement; exploit. \"Knightly deeds.\" Spenser. Whose deeds some nobler poem shall adorn. Dryden. 3. Power of action; agency; efficiency. [Obs.] To be, both will and deed, created free. Milton. 4. Fact; reality; -- whence we have indeed. 5. (Law)  A sealed instrument in writing, on paper or parchment, duly executed and delivered, containing some transfer, bargain, or contract. Note: The term is generally applied to conveyances of real estate, and it is the prevailing doctrine that a deed must be signed as well as sealed, though at common law signing was formerly not necessary. Blank deed, a printed form containing the customary legal phraseology, with blank spaces for writing in names, dates, boundaries, etc. 6. Performance; -- followed by of. [Obs.] Shak. In deed, in fact; in truth; verily. See Indeed.\n\nTo convey or transfer by deed; as, he deeded all his estate to his eldest son. [Colloq. U. S.]
deed poll |A deed of one part, or executed by only one party, and distinguished from an indenture by having the edge of the parchment or paper cut even, or polled as it was anciently termed, instead of being indented. Burrill.
deedful |Full of deeds or exploits; active; stirring. [R.] \"A deedful life.\" Tennyson.
deedless |Not performing, or not having performed, deeds or exploits; inactive. Deedless in his tongue. Shak.
deedy |Industrious; active. [R.] Cowper.
deem |1. To decide; to judge; to sentence; to condemn. [Obs.] Claudius . . . Was demed for to hang upon a tree. Chaucer. 2. To account; to esteem; to think; to judge; to hold in opinion; to regard. For never can I deem him less him less than god. Dryden.\n\n1. To be of opinion; to think; to estimate; to opine; to suppose. And deemest thou as those who pore, With aged eyes, short way before Emerson. 2. To pass judgment. [Obs.] Spenser.\n\nOpinion; judgment. [Obs.] Shak.
deemster |A judge in the Isle of Man who decides controversies without process. Cowell.
deep |1. Extending far below the surface; of great perpendicular dimension (measured from the surface downward, and distinguished from high, which is measured upward); far to the bottom; having a certain depth; as, a deep sea. The water where the brook is deep. Shak. 2. Extending far back from the front or outer part; of great horizontal dimension (measured backward from the front or nearer part, mouth, etc.); as, a deep cave or recess or wound; a gallery ten seats deep; a company of soldiers six files deep. Shadowing squadrons deep. Milton. Safely in harbor Is the king's ship in the deep nook. Shak. 3. Low in situation; lying far below the general surface; as, a deep valley. 4. Hard to penetrate or comprehend; profound; -- opposed to shallow or superficial; intricate; mysterious; not obvious; obscure; as, a deep subject or plot. Speculations high or deep. Milton. A question deep almost as the mystery of life. De Quincey. O Lord, . . . thy thought are very deep. Ps. xcii. 5. 5. Of penetrating or far-reaching intellect; not superficial; thoroughly skilled; sagacious; cunning. Deep clerks she dumbs. Shak. 6. Profound; thorough; complete; unmixed; intense; heavy; heartfelt; as, deep distress; deep melancholy; deep horror. \"Deep despair.\" Milton. \"Deep silence.\" Milton. \"Deep sleep.\" Gen. ii. 21. \"Deeper darkness.\" Hoole. \"Their deep poverty.\" 2 Cor. viii. 2. An attitude of deep respect. Motley. 7. Strongly colored; dark; intense; not light or thin; as, deep blue or crimson. 8. Of low tone; full-toned; not high or sharp; grave; heavy. \"The deep thunder.\" Byron. The bass of heaven's deep organ. Milton. 9. Muddy; boggy; sandy; -- said of roads. Chaucer. The ways in that vale were very deep. Clarendon. A deep line of operations (Military), a long line. -- Deep mourning (Costume), mourning complete and strongly marked, the garments being not only all black, but also composed of lusterless materials and of such fashion as is identified with mourning garments.\n\nTo a great depth; with depth; far down; profoundly; deeply. Deep-versed in books, and shallow in himself. Milton. Drink deep, or taste not the Pierian spring. Pope. Note: Deep, in its usual adverbial senses, is often prefixed to an adjective; as, deep-chested, deep-cut, deep-seated, deep-toned, deep- voiced, \"deep-uddered kine.\"\n\n1. That which is deep, especially deep water, as the sea or ocean; an abyss; a great depth. Courage from the deeps of knowledge springs. Cowley. The hollow deep of hell resounded. Milton. Blue Neptune storms, the bellowing deeps resound. Pope. 2. That which is profound, not easily fathomed, or incomprehensible; a moral or spiritual depth or abyss. Thy judgments are a great. Ps. xxxvi. 6. Deep of night, the most quiet or profound part of night; dead of night. The deep of night is crept upon our talk. Shak.
deep-fet |Deeply fetched or drawn. [Obs.] \"Deep-fet groans.\" Shak.
deep-laid |Laid deeply; formed with cunning and sagacity; as, deep-laid plans.
deep-mouthed |Having a loud and sonorous voice. \"Deep-mouthed dogs.\" Dryden.
deep-read |Profoundly book-learned. \"Great writers and deep-read men.\" L'Estrange.
deep-sea |Of or pertaining to the deeper parts of the sea; as, a deep-sea line (i. e., a line to take soundings at a great depth); deep-sea lead; deep-sea soundings, explorations, etc.
deep-waisted |Having a deep waist, as when, in a ship, the poop and forecastle are much elevated above the deck.
deepen |1. To make deep or deeper; to increase the depth of; to sink lower; as, to deepen a well or a channel. It would . . . deepen the bed of the Tiber. Addison. 2. To make darker or more intense; to darken; as, the event deepened the prevailing gloom. You must deepen your colors. Peacham. 3. To make more poignant or affecting; to increase in degree; as, to deepen grief or sorrow. 4. To make more grave or low in tone; as, to deepen the tones of an organ. Deepens the murmur of the falling floods. Pope.\n\nTo become deeper; as, the water deepens at every cast of the lead; the plot deepens. His blood-red tresses deepening in the sun. Byron.
deeply |1. At or to a great depth; far below the surface; as, to sink deeply. 2. Profoundly; thoroughly; not superficially; in a high degree; intensely; as, deeply skilled in ethics. He had deeply offended both his nobles and people. Bacon. He sighed deeply in his spirit. Mark viii. 12. 3. Very; with a tendency to darkness of color. The deeply red juice of buckthorn berries. Boyle. 4. Gravely; with low or deep tone; as, a deeply toned instrument. 5. With profound skill; with art or intricacy; as, a deeply laid plot or intrigue.
deepness |1. The state or quality of being deep, profound, mysterious, secretive, etc.; depth; profundity; -- opposed to shallowness. Because they had no deepness of earth. Matt. xiii. 5. 2. Craft; insidiousness. [R.] J. Gregory.
deer |1. Any animal; especially, a wild animal. [Obs.] Chaucer. Mice and rats, and such small deer. Shak. The camel, that great deer. Lindisfarne MS. 2. (Zoöl.)  A ruminant of the genus Cervus, of many species, and of related genera of the family Cervidæ. The males, and in some species the females, have solid antlers, often much branched, which are shed annually. Their flesh, for which they are hunted, is called venison. Note: The deer hunted in England is Cervus elaphus, called also stag or red deer; the fallow deer is C. dama; the common American deer is C. Virginianus; the blacktailed deer of Western North America is C. Columbianus; and the mule deer of the same region is C. macrotis. See Axis, Fallow deer, Mule deer, Reindeer. Note: Deer is much used adjectively, or as the first part of a compound; as, deerkiller, deerslayer, deerslaying, deer hunting, deer stealing, deerlike, etc. Deer mouse (Zoöl.), the white-footed mouse (Hesperomys leucopus) of America. -- Small deer, petty game, not worth pursuing; -- used metaphorically. (See citation from Shakespeare under the first definition, above.) \"Minor critics . . . can find leisure for the chase of such small deer.\" G. P. Marsh.
deer-neck |A deerlike, or thin, ill-formed neck, as of a horse.
deerberry |A shrub of the blueberry group (Vaccinium stamineum); also, its bitter, greenish white berry; -- called also squaw huckleberry.
deergrass |An American genus (Rhexia) of perennial herbs, with opposite leaves, and showy flowers (usually bright purple), with four petals and eight stamens, -- the only genus of the order Melastomaceæ inhabiting a temperate clime.
deerhound |One of a large and fleet breed of hounds used in hunting deer; a staghound.
deerlet |A chevrotain. See Kanchil, and Napu.
deerskin |The skin of a deer, or the leather which is made from it. Hakluyt. Longfellow.
deerstalker |One who practices deerstalking.
deerstalking |The hunting of deer on foot, by stealing upon them unawares. DEER'S-TONGUE Deer's\"-tongue`, n. (Bot.)  A plant (Liatris odoratissima) whose fleshy leaves give out a fragrance compared to vanilla. Wood.
dees |Dice. [Obs.] Chaucer.\n\nA dais. [Obs.] Chaucer.
deesis |An invocation of, or address to, the Supreme Being.
deess |A goddess. [Obs.] Croft.
deev |See Dev.
deface |1. To destroy or mar the face or external appearance of; to disfigure; to injure, spoil, or mar, by effacing or obliterating important features or portions of; as, to deface a monument; to deface an edifice; to deface writing; to deface a note, deed, or bond; to deface a record. \"This high face defaced.\" Emerson. So by false learning is good sense defaced. Pope. 2. Etym: [Cf. F. défaire.]  To destroy; to make null. [Obs.] [Profane scoffing] doth . . . deface the reverence of religion. Bacon. For all his power was utterly defaste [defaced]. Spenser. Syn. -- See Efface.
defacement |1. The act of defacing, or the condition of being defaced; injury to the surface or exterior; obliteration. 2. That which mars or disfigures. Bacon.
defacer |One who, or that which, defaces or disfigures.
defail |To cause fail. [Obs.]
defailance |Failure; miscarriage. [Obs.] Possibility of defailance in degree or continuance. Comber.
defailure |Failure. [Obs.] Barrow.
defalcate |To cut off; to take away or deduct a part of; -- used chiefly of money, accounts, rents, income, etc. To show what may be practicably and safely defalcated from the [the estimates]. Burke.\n\nTo commit defalcation; to embezzle money held in trust. \"Some partner defalcating, or the like.\" Carlyle.
defalcation |1. A lopping off; a diminution; abatement; deficit. Specifically: Reduction of a claim by deducting a counterclaim; set-off. Abbott. 2. That which is lopped off, diminished, or abated. 3. An abstraction of money, etc., by an officer or agent
defalcator |A defaulter or embezzler. [Modern]
defalk |To lop off; to bate. [Obs.] B. Jonson.
defamation |Act of injuring another's reputation by any slanderous communication, written or oral; the wrong of maliciously injuring the good name of another; slander; detraction; calumny; aspersion. Note: In modern usage, written defamation bears the title of libel, and oral defamation that of slander. Burrill.
defamatory |Containing defamation; injurious to reputation; calumnious; slanderous; as, defamatory words; defamatory writings.
defame |1. To harm or destroy the good fame or reputation of; to disgrace; especially, to speak evil of maliciously; to dishonor by slanderous reports; to calumniate; to asperse. 2. To render infamous; to bring into disrepute. My guilt thy growing virtues did defame; My blackness blotted thy unblemish'd name. Dryden. 3. To charge; to accuse. [R.] Rebecca is . . . defamed of sorcery practiced on the person of a noble knight. Sir W. Scott. Syn. -- To asperse; slander; calumniate; vilify. See Asperse.\n\nDishonor. [Obs.] Chaucer.
defamer |One who defames; a slanderer; a detractor; a calumniator.
defamingly |In a defamatory manner.
defamous |Defamatory. [Obs.]
defatigable |Capable of being wearied or tired out. [R.] Glanvill.
defatigate |To weary or tire out; to fatigue. [R.] Sir T. Herbert.
defatigation |Weariness; fatigue. [R.] Bacon.
default |1. A failing or failure; omission of that which ought to be done; neglect to do whaas, this evil has happened through the governor's default. 2. Fault; offense; ill deed; wrong act; failure in virtue or wisdom. And pardon craved for his so rash default. Spenser. Regardless of our merit or default. Pope. 3. (Law)  A neglect of, or failure to take, some step necessary to secure the benefit of law, as a failure to appear in court at a day assigned, especially of the defendant in a suit when called to make answer; also of jurors, witnesses, etc. In default of, in case of failure or lack of. Cooks could make artificial birds and fishes in default of the real ones. Arbuthnot. -- To suffer a default (Law), to permit an action to be called without appearing to answer.\n\n1. To fail in duty; to offend. That he gainst courtesy so foully did default. Spenser. 2. To fail in fulfilling a contract, agreement, or duty. 3. To fail to appear in court; to let a case go by default.\n\n1. To fail to perform or pay; to be guilty of neglect of; to omit; as, to default a dividend. What they have defaulted towards him as no king. Milton. 2. (Law)  To call a defendant or other party whose duty it is to be present in court, and make entry of his default, if he fails to appear; to enter a default against. 3. To leave out of account; to omit. [Obs.] Defaulting unnecessary and partial discourses. Hales.
defaulter |1. One who makes default; one who fails to appear in court when court when called. 2. One who fails to perform a duty; a delinquent; particularly, one who fails to account for public money intrusted to his care; a peculator; a defalcator.
defeasance |1. A defeat; an overthrow. [Obs.] After his foes' defeasance. Spenser. 2. A rendering null or void. 3. (Law)  A condition, relating to a deed, which being performed, the deed is defeated or rendered void; or a collateral deed, made at the same time with a feoffment, or other conveyance, containing conditions, on the performance of which the estate then created may be defeated. Note: Mortgages were usually made in this manner in former times, but the modern practice is to include the conveyance and the defeasance in the same deed.
defeasanced |Liable to defeasance; capable of being made void or forfeited.
defeasible |Capable of being annulled or made void; as, a defeasible title. -- De*fea\"si*ble*ness, n.
defeat |1. To undo; to disfigure; to destroy. [Obs.] His unkindness may defeat my life. Shak. 2. To render null and void, as a title; to frustrate, as hope; to deprive, as of an estate. He finds himself naturally to dread a superior Being that can defeat all his designs, and disappoint all his hopes. Tillotson. The escheators . . . defeated the right heir of his succession. Hallam. In one instance he defeated his own purpose. A. W. Ward. 3. To overcome or vanquish, as an army; to check, disperse, or ruin by victory; to overthrow. 4. To resist with success; as, to defeat an assault. Sharp reasons to defeat the law. Shak. Syn. -- To baffle; disappoint; frustrate.\n\n1. An undoing or annulling; destruction. [Obs.] Upon whose property and most dear life A damned defeat was made. Shak. 2. Frustration by rendering null and void, or by prevention of success; as, the defeat of a plan or design. 3. An overthrow, as of an army in battle; loss of a battle; repulse suffered; discomfiture; -- opposed to victory.
defeature |1. Overthrow; defeat. [Obs.] \"Nothing but loss in their defeature.\" Beau. & Fl. 2. Disfigurement; deformity. [Obs.] \"Strange defeatures in my face.\" Shak.
defeatured |Changed in features; deformed. [R.] Features when defeatured in the . . . way I have described. De Quincey.
defecate |Freed from anything that can pollute, as dregs, lees, etc.; refined; purified. Till the soul be defecate from the dregs of sense. Bates.\n\n1. To clear from impurities, as lees, dregs, etc.; to clarify; to purify; to refine. To defecate the dark and muddy oil of amber. Boyle. 2. To free from extraneous or polluting matter; to clear; to purify, as from that which materializes. We defecate the notion from materiality. Glanvill. Defecated from all the impurities of sense. Bp. Warburton.\n\n1. To become clear, pure, or free. Goldsmith. 2. To void excrement.
defecation |1. The act of separating from impurities, as lees or dregs; purification. 2. (Physiol.)  The act or process of voiding excrement.
defecator |That which cleanses or purifies; esp., an apparatus for removing the feculencies of juices and sirups. Knight.
defect |1. Want or absence of something necessary for completeness or perfection; deficiency; -- opposed to superfluity. Errors have been corrected, and defects supplied. Davies. 2. Failing; fault; imperfection, whether physical or moral; blemish; as, a defect in the ear or eye; a defect in timber or iron; a defect of memory or judgment. Trust not yourself; but, your defects to know, Make use of every friend -- any every foe. Pope. Among boys little tenderness is shown to personal defects. Macaulay. Syn. -- Deficiency; imperfection; blemish. See Fault.\n\nTo fail; to become deficient. [Obs.] \"Defected honor.\" Warner.\n\nTo injure; to damage. \"None can my life defect.\" [R.] Troubles of Q. Elizabeth (1639).
defectibility |Deficiency; imperfection. [R.] Ld. Digby. Jer. Taylor.
defectible |Liable to defect; imperfect. [R.] \"A defectible understanding.\" Jer. Taylor.
defection |Act of abandoning a person or cause to which one is bound by allegiance or duty, or to which one has attached himself; desertion; failure in duty; a falling away; apostasy; backsliding. \"Defection and falling away from God.\" Sir W. Raleigh. The general defection of the whole realm. Sir J. Davies.
defectionist |One who advocates or encourages defection.
defectious |Having defects; imperfect. [Obs.] \"Some one defectious piece.\" Sir P. Sidney.
defective |1. Wanting in something; incomplete; lacking a part; deficient; imperfect; faulty; -- applied either to natural or moral qualities; as, a defective limb; defective timber; a defective copy or account; a defective character; defective rules. 2. (Gram.)  Lacking some of the usual forms of declension or conjugation; as, a defective noun or verb. -- De*fect\"ive*ly, adv. -- De*fect\"ive*ness, n.
defectuosity |Great imperfection. [Obs.] W. Montagu.
defectuous |Full of defects; imperfect. [Obs.] Barrow.
defedation |The act of making foul; pollution. [Obs.]
defence |See Defense.\n\n1. The act of defending, or the state of being defended; protection, as from violence or danger. In cases of defense 't is best to weigh The enemy more mighty than he seems. Shak. 2. That which defends or protects; anything employed to oppose attack, ward off violence or danger, or maintain security; a guard; a protection. War would arise in defense of the right. Tennyson. God, the widow's champion and defense. Shak. 3. Protecting plea; vindication; justification. Men, brethren, and fathers, hear ye my defense. Acts xxii. 1. 4. (Law)  The defendant's answer or plea; an opposing or denial of the truth or validity of the plaintiff's or prosecutor's case; the method of proceeding adopted by the defendant to protect himself against the plaintiff's action. 5. Act or skill in making defense; defensive plan or policy; practice in self defense, as in fencing, boxing, etc. A man of great defense. Spenser. By how much defense is better than no skill. Shak. 6. Prohibition; a prohibitory ordinance. [Obs.] Severe defenses . . . against wearing any linen under a certain breadth. Sir W. Temple.
defend |1. To ward or fend off; to drive back or away; to repel. [A Latinism & Obs.] Th' other strove for to defend The force of Vulcan with his might and main. Spenser. 2. To prohibit; to forbid. [Obs.] Chaucer. Which God defend that I should wring from him. Shak. 3. To repel danger or harm from; to protect; to secure against; attack; to maintain against force or argument; to uphold; to guard; as, to defend a town; to defend a cause; to defend character; to defend the absent; -- sometimes followed by from or against; as, to defend one's self from, or against, one's enemies. The lord mayor craves aid . . . to defend the city. Shak. God defend the right! Shak. A village near it was defended by the river. Clarendon. 4. (Law.)  To deny the right of the plaintiff in regard to (the suit, or the wrong charged); to oppose or resist, as a claim at law; to contest, as a suit. Burrill. Syn. -- To Defend, Protect. To defend is literally to ward off; to protect is to cover so as to secure against approaching danger. We defend those who are attacked; we protect those who are liable to injury or invasion. A fortress is defended by its guns, and protected by its wall. As birds flying, so will the Lord of hosts defend Jerusalem; defending also he will deliver it. Is. xxxi. 5. Leave not the faithful side That gave thee being, still shades thee and protects. Milton.
defendable |Capable of being defended; defensible. [R.]
defendant |1. Serving, or suitable, for defense; defensive. [Obs.] With men of courage and with means defendant. Shak. 2. Making defense.\n\n1. One who defends; a defender. The rampiers and ditches which the defendants had cast up. Spotswood. 2. (Law)  A person required to make answer in an action or suit; -- opposed to plaintiff. Abbott. Note: The term is applied to any party of whom a demand is made in court, whether the party denies and defends the claim, or admits it, and suffers a default; also to a party charged with a criminal offense.
defendee |One who is defended. [R. & Ludicrous]
defender |One who defends; one who maintains, supports, protects, or vindicates; a champion; an advocate; a vindicator. Provinces . . . left without their ancient and puissant defenders. Motley.
defendress |A female defender. [R.] Defendress of the faith. Stow.
defensative |That which serves to protect or defend.
defense |1. The act of defending, or the state of being defended; protection, as from violence or danger. In cases of defense 't is best to weigh The enemy more mighty than he seems. Shak. 2. That which defends or protects; anything employed to oppose attack, ward off violence or danger, or maintain security; a guard; a protection. War would arise in defense of the right. Tennyson. God, the widow's champion and defense. Shak. 3. Protecting plea; vindication; justification. Men, brethren, and fathers, hear ye my defense. Acts xxii. 1. 4. (Law)  The defendant's answer or plea; an opposing or denial of the truth or validity of the plaintiff's or prosecutor's case; the method of proceeding adopted by the defendant to protect himself against the plaintiff's action. 5. Act or skill in making defense; defensive plan or policy; practice in self defense, as in fencing, boxing, etc. A man of great defense. Spenser. By how much defense is better than no skill. Shak. 6. Prohibition; a prohibitory ordinance. [Obs.] Severe defenses . . . against wearing any linen under a certain breadth. Sir W. Temple.\n\nTo furnish with defenses; to fortify. [Obs.] [Written also defence.] Better manned and more strongly defensed. Hales.
defenseless |Destitute of defense; unprepared to resist attack; unable to oppose; unprotected. -- De*fense\"less*ly, adv. -- De*fense\"less*ness, n.
defenser |Defender. [Obs.] Foxe.
defensibility |Capability of being defended.
defensible |1. Capable of being defended; as, a defensible city, or a defensible cause. 2. Capable of offering defense. [Obs.] Shak.
defensibleness |Capability of being defended; defensibility. Priestley.
defensive |1. Serving to defend or protect; proper for defense; opposed to offensive; as, defensive armor. A moat defensive to a house. Shak. 2. Carried on by resisting attack or aggression; -- opposed to offensive; as, defensive war. 3. In a state or posture of defense. Milton.\n\nThat which defends; a safeguard. Wars preventive, upon just fears, are true defensive. Bacon. To be on the defensive, To stand on the defensive, to be or stand in a state or posture of defense or resistance, in opposition to aggression or attack.
defensively |On the defensive.
defensor |1. A defender. Fabyan. 2. (Law)  A defender or an advocate in court; a guardian or protector. 3. (Eccl.)  The patron of a church; an officer having charge of the temporal affairs of a church.
defensory |Tending to defend; defensive; as, defensory preparations.
defer |To put off; to postpone to a future time; to delay the execution of; to delay; to withhold. Defer the spoil of the city until night. Shak. God . . . will not long defer To vindicate the glory of his name. Milton.\n\nTo put off; to delay to act; to wait. Pius was able to defer and temporize at leisure. J. A. Symonds.\n\n1. To render or offer. [Obs.] Worship deferred to the Virgin. Brevint. 2. To lay before; to submit in a respectful manner; to refer; -- with to. Hereupon the commissioners . . . deferred the matter to the Earl of Northumberland. Bacon.\n\nTo yield deference to the wishes of another; to submit to the opinion of another, or to authority; -- with to. The house, deferring to legal right, acquiesced. Bancroft.
deference |A yielding of judgment or preference from respect to the wishes or opinion of another; submission in opinion; regard; respect; complaisance. Deference to the authority of thoughtful and sagacious men. Whewell. Deference is the most complicate, the most indirect, and the most elegant of all compliments. Shenstone. Syn. -- Deference, Reverence, Respect. Deference marks an inclination to yield one's opinion, and to acquiesce in the sentiments of another in preference to one's own. Respect marks the estimation that we have for another, which makes us look to him as worthy of high confidence for the qualities of his mind and heart. Reverence denotes a mingling of fear with a high degree of respect and esteem. Age, rank, dignity, and personal merit call for deference; respect should be paid to the wise and good; reverence is due to God, to the authors of our being, and to the sanctity of the laws.
deferent |Serving to carry; bearing. [R.] \"Bodies deferent.\" Bacon.\n\n1. That which carries or conveys. Though air be the most favorable deferent of sounds. Bacon. 2. (Ptolemaic Astron.)  An imaginary circle surrounding the earth, in whose periphery either the heavenly body or the center of the heavenly body's epicycle was supposed to be carried round.
deferential |Expressing deference; accustomed to defer.
deferentially |With deference.
deferment |The act of delaying; postponement. [R.] My grief, joined with the instant business, Begs a deferment. Suckling.
deferrer |One who defers or puts off.
defervescence |1. A subsiding from a state of ebullition; loss of heat; lukewarmness. A defervescency in holy actions. Jer. Taylor. 2. (Med.)  The subsidence of a febrile process; as, the stage of defervescence in pneumonia.
defervescency |1. A subsiding from a state of ebullition; loss of heat; lukewarmness. A defervescency in holy actions. Jer. Taylor. 2. (Med.)  The subsidence of a febrile process; as, the stage of defervescence in pneumonia.
defeudalize |To deprive of the feudal character or form.
defiance |1. The act of defying, putting in opposition, or provoking to combat; a challenge; a provocation; a summons to combat. A war without a just defiance made. Dryden. Stood for her cause, and flung defiance down. Tennyson. 2. A state of opposition; willingness to flight; disposition to resist; contempt of opposition. He breathed defiance to my ears. Shak. 3. A casting aside; renunciation; rejection. [Obs.] \"Defiance to thy kindness.\" Ford. To bid defiance, To set at defiance, to defy; to disregard recklessly or contemptuously. Locke.
defiant |Full of defiance; bold; insolent; as, a defiant spirit or act. In attitude stern and defiant. Longfellow. -- De*fi\"ant*ly, adv. -- De*fi\"ant*ness, n.
