shewer |One who shews. See Shower.
shot |imp. & p. p. Shoot.\n\nWoven in such a way as to produce an effect of variegation, of changeable tints, or of being figured; as, shot silks. See Shoot, v. t., 8.\n\nA share or proportion; a reckoning; a scot. Here no shots are where all shares be. Chapman. A man is never . . . welcome to a place till some certain shot be paid and the hostess say \"Welcome.\" Shak.\n\n1. The act of shooting; discharge of a firearm or other weapon which throws a missile. He caused twenty shot of his greatest cannon to be made at the king's army. Clarendon. 2. A missile weapon, particularly a ball or bullet; specifically, whatever is discharged as a projectile from firearms or cannon by the force of an explosive. Note: Shot used in war is of various kinds, classified according to the material of which it is composed, into lead, wrought-iron, and cast-iron; according to form, into spherical and oblong; according to structure and modes of operation, into solid, hollow, and case. See Bar shot, Chain shot, etc., under Bar, Chain, etc. 3. Small globular masses of lead, of various sizes, -- used chiefly for killing game; as, bird shot; buckshot. 4. The flight of a missile, or the distance which it is, or can be, thrown; as, the vessel was distant more than a cannon shot. 5. A marksman; one who practices shooting; as, an exellent shot. Shot belt, a belt having a pouch or compartment for carrying shot. -- Shot cartridge, a cartridge containing powder and small shot, forming a charge for a shotgun. -- Shot garland (Naut.), a wooden frame to contain shot, secured to the coamings and ledges round the hatchways of a ship. -- Shot gauge, an instrument for measuring the diameter of round shot. Totten. -- shot hole, a hole made by a shot or bullet discharged. -- Shot locker (Naut.), a strongly framed compartment in the hold of a vessel, for containing shot. -- Shot of a cable (Naut.), the splicing of two or more cables together, or the whole length of the cables thus united. -- Shot prop (Naut.), a wooden prop covered with tarred hemp, to stop a hole made by the shot of an enemy in a ship's side. -- Shot tower, a lofty tower for making shot, by dropping from its summit melted lead in slender streams. The lead forms spherical drops which cool in the descent, and are received in water or other liquid. -- Shot window, a window projecting from the wall. Ritson, quoted by Halliwell, explains it as a window that opens and shuts; and Wodrow describes it as a window of shutters made of timber and a few inches of glass above them.\n\nTo load with shot, as a gun. Totten.
shot samples |Samples taken for assay from  a molten metallic mass pouring a portion into water, to granulate it.
shot-clog |A person tolerated only because he pays the shot, or reckoning, for the rest of the company, otherwise a mere clog on them. [Old Slang] Thou common shot-clog, gull of all companies. Chapman.
shot-free |Not to be injured by shot; shot-proof. [Obs.] Feltham.\n\nFree from charge or expense; hence, unpunished; scot-free. [Obs.] Shak.
shot-proof |Impenetrable by shot.
shote |1. (Zoöl.)  A fish resembling the trout. [Obs. or Prov. Eng.] Garew. 2. Etym: [Perh. a different word.]  A young hog; a shoat.
shotgun |A light, smooth-bored gun, often double-barreled, especially designed for firing small shot at short range, and killing small game.
shots |The refuse of cattle taken from a drove. [Prov. Eng.] Halliwell.
shotted |1. Loaded with shot. 2. (Med.)  Having a shot attached; as, a shotten suture.
shotten |1. Having ejected the spawn; as, a shotten herring. Shak. 2. Shot out of its socket; dislocated, as a bone.
shough |A shockdog.\n\nSee Shoo. Beau & Fl.
should |Used as an auxiliary verb, to express a conditional or contingent act or state, or as a supposition of an actual fact; also, to express moral obligation (see Shall); e. g.: they should have come last week; if I should go; I should think you could go. \"You have done that you should be sorry for.\" Shak. Syn. -- See Ought.
shoulder |1. (Anat.)  The joint, or the region of the joint, by which the fore limb is connected with the body or with the shoulder girdle; the projection formed by the bones and muscles about that joint. 2. The flesh and muscles connected with the shoulder joint; the upper part of the back; that part of the human frame on which it is most easy to carry a heavy burden; -- often used in the plural. Then by main force pulled up, and on his shoulders bore The gates of Azza. Milton. Adown her shoulders fell her length of hair. Dryden. 3. Fig.: That which supports or sustains; support. In thy shoulder do I build my seat. Shak. 4. That which resembles a human shoulder, as any protuberance or projection from the body of a thing. The north western shoulder of the mountain. Sir W. Scott. 5. The upper joint of the fore leg and adjacent parts of an animal, dressed for market; as, a shoulder of mutton. 6. (Fort.)  The angle of a bastion included between the face and flank. See Illust. of Bastion. 7. An abrupt projection which forms an abutment on an object, or limits motion, etc., as the projection around a tenon at the end of a piece of timber, the part of the top of a type which projects beyond the base of the raised character, etc. Shoulder belt, a belt that passes across the shoulder. -- Shoulder blade (Anat.), the flat bone of the shoulder, to which the humerus is articulated; the scapula. -- Shoulder block (Naut.), a block with a projection, or shoulder, near the upper end, so that it can rest against a spar without jamming the rope. -- Shoulder clapper, one who claps another on the shoulder, or who uses great familiarity. [Obs.] Shak. -- Shoulder girdle. (Anat.) See Pectoral girdle, under Pectoral. -- Shoulder knot, an ornamental knot of ribbon or lace worn on the shoulder; a kind of epaulet or braided ornament worn as part of a military uniform. -- Shoulder-of-mutton sail (Naut.), a triangular sail carried on a boat's mast; -- so called from its shape. -- Shoulder slip, dislocation of the shoulder, or of the humerous. Swift. -- Shoulder strap, a strap worn on or over the shoulder. Specifically (Mil. & Naval), a narrow strap worn on the shoulder of a commissioned officer, indicating, by a suitable device, the rank he holds in the service. See Illust. in App.\n\n1. To push or thrust with the shoulder; to push with violence; to jostle. As they the earth would shoulder from her seat. Spenser. Around her numberless the rabble flowed, Shouldering each other, crowding for a view. Rowe. 2. To take upon the shoulder or shoulders; as, to shoulder a basket; hence, to assume the burden or responsibility of; as, to shoulder blame; to shoulder a debt. As if Hercules Or burly Atlas shouldered up their state. Marston. Right shoulder arms (Mil.), a position in the Manual of Arms which the piece is placed on the right shoulder, with the lock plate up, and the muzzle elevated and inclined to the left, and held as in the illustration.
shoulder-shotten |Sprained in the shoulder, as a horse. Shak.
shouldered |Having shoulders; -- used in composition; as, a broad- shouldered man. \"He was short-shouldered.\" Chaucer.
shout |To utter a sudden and loud outcry, as in joy, triumph, or exultation, or to attract attention, to animate soldiers, etc. Shouting of the men and women eke. Chaucer. They shouted thrice: what was the last cry for Shak. To shout at, to utter shouts at; to deride or revile with shouts.\n\n1. To utter with a shout; to cry; -- sometimes with out; as, to shout, or to shout out, a man's name. 2. To treat with shouts or clamor. Bp. Hall.\n\nA loud burst of voice or voices; a vehement and sudden outcry, especially of a multitudes expressing joy, triumph, exultation, or animated courage. The Rhodians, seeing the enemy turn their backs, gave a great shout in derision. Knolles.
shouter |One who shouts.
shove |1. To drive along by the direct and continuous application of strength; to push; especially, to push (a body) so as to make it move along the surface of another body; as, to shove a boat on the water; to shove a table across the floor. 2. To push along, aside, or away, in a careless or rude manner; to jostle. And shove away the worthy bidden guest. Milton. He used to shove and elbow his fellow servants. Arbuthnot.\n\n1. To push or drive forward; to move onward by pushing or jostling. 2. To move off or along by an act pushing, as with an oar a pole used by one in a boat; sometimes with off. He grasped the oar,shoved from shore. Garth.\n\nThe act of shoving; a forcible push. I rested . . . and then gave the boat another shove. Swift. Syn. -- See Thrust.\n\np. p. of Shove. Chaucer.
shoveboard |The same as Shovelboard.
shovegroat |The same as Shovelboard.
shovel |An implement consisting of a broad scoop, or more or less hollow blade, with a handle, used for lifting and throwing earth, coal, grain, or other loose substances. Shovel hat, a broad-brimmed hat, turned up at the sides, and projecting in front like a shovel, - - worn by some clergy of the English Church. [Colloq.] -- Shovelspur (Zoöl.), a flat, horny process on the tarsus of some toads, -- used in burrowing. -- Steam shovel, a machine with a scoop or scoops, operated by a steam engine, for excavating earth, as in making railway cuttings.\n\n1. To take up and throw with a shovel; as, to shovel earth into a heap, or into a cart, or out of a pit. 2. To gather up as with a shovel.
shovel-nosed |Having a broad, flat nose; as, the shovel-nosed duck, or shoveler.
shovelard |Shoveler. [Prov. Eng.]
shovelbill |The shoveler.
shovelboard |1. A board on which a game is played, by pushing or driving pieces of metal or money to reach certain marks; also, the game itself. Called also shuffleboard, shoveboard, shovegroat, shovelpenny. 2. A game played on board ship in which the aim is to shove or drive with a cue wooden disks into divisions chalked on the deck; -- called also shuffleboard.
shoveler |1. One who, or that which, shovels. 2. (Zoöl.)  A river duck (Spatula clypeata), native of Europe and America. It has a large bill, broadest towards the tip. The male is handsomely variegated with green, blue, brown, black, and white on the body; the head and neck are dark green. Called also broadbill, spoonbill, shovelbill, and maiden duck. The Australian shoveler, or shovel-nosed duck (S. rhynchotis), is a similar species.
shovelful |As much as a shovel will hold; enough to fill a shovel.
shovelhead |A shark (Sphryna tiburio) allied to the hammerhead, and native of the warmer parts of the Atlantic and Pacific oceans; -- called also bonnet shark.
shovelnose |(a) The common sand shark. See under Snad. (b) A small California shark (Heptranchias maculatus), which is taken for its oil. (c) A Pacific Ocean shark (Hexanchus corinus). (d) A ganoid fish of the Sturgeon family (Scaphirhynchus platyrhynchus) of the Mississippi and Ohio rivers; -- called also white sturgeon.
shoven |p. p. of Shove. Chaucer.
show |1. To exhibit or present to view; to place in sight; to display; -- the thing exhibited being the object, and often with an indirect object denoting the person or thing seeing or beholding; as, to show a house; show your colors; shopkeepers show customers goods (show goods to customers). Go thy way, shew thyself to the priest. Matt. viii. 4. Nor want we skill or art from whence to raise Magnificence; and what can heaven show more Milton. 2. To exhibit to the mental view; to tell; to disclose; to reveal; to make known; as, to show one's designs. Shew them the way wherein they must walk. Ex. xviii. 20. If it please my father to do thee evil, then I will shew it thee, and send thee away. 1 Sam. xx. 13. 3. Specifically, to make known the way to (a person); hence, to direct; to guide; to asher; to conduct; as, to show a person into a parlor; to show one to the door. 4. To make apparent or clear, as by evidence, testimony, or reasoning; to prove; to explain; also, to manifest; to evince; as, to show the truth of a statement; to show the causes of an event. I 'll show my duty by my timely care. Dryden. 5. To bestow; to confer; to afford; as, to show favor. Shewing mercy unto thousands of them that love me. Ex. xx. 6. To show forth, to manifest; to publish; to proclaim. -- To show his paces, to exhibit the gait, speed, or the like; -- said especially of a horse. -- To show off, to exhibit ostentatiously. -- To show up, to expose. [Colloq.]\n\n1. To exhibit or manifest one's self or itself; to appear; to look; to be in appearance; to seem. Just such she shows before a rising storm. Dryden. All round a hedge upshoots, and shows At distance like a little wood. Tennyson. 2. To have a certain appearance, as well or ill, fit or unfit; to become or suit; to appear. My lord of York, it better showed with you. Shak. To show off, to make a show; to display one's self.\n\n1. The act of showing, or bringing to view; exposure to sight; exhibition. 2. That which os shown, or brought to view; that which is arranged to be seen; a spectacle; an exhibition; as, a traveling show; a cattle show. As for triumphs, masks, feasts, and such shows. Bacon. 3. Proud or ostentatious display; parade; pomp. I envy none their pageantry and show. Young. 4. Semblance; likeness; appearance. He through the midst unmarked, In show plebeian angel militant Of lowest order, passed. Milton. 5. False semblance; deceitful appearance; pretense. Beware of the scribes, . . . which devour widows' houses, and for a shew make long prayers. Luke xx. 46. 47. 6. (Med.)  A discharge, from the vagina, of mucus streaked with blood, occuring a short time before labor. 7. (Mining)  A pale blue flame, at the top of a candle flame, indicating the presence of fire damp. Raymond. Show bill, a broad sheet containing an advertisement in large letters. -- Show box, a box xontaining some object of curiosity carried round as a show. -- Show card, an advertising placard; also, a card for displaying samples. -- Show case, a gla -- Show glass, a glass which displays objects; a mirror. -- Show of hands, a raising of hands to indicate judgment; as, the vote was taken by a show of hands. -- Show stone, a piece of glass or crystal supposed to have the property of exhibiting images of persons or things not present, indicating in that way future events.
showbread |Bread of exhibition; loaves to set before God; -- the term used in translating the various phrases used in the Hebrew and Greek to designate the loaves of bread which the priest of the week placed before the Lord on the golden table in the sanctuary. They were made of fine flour unleavened, and were changed every Sabbath. The loaves, twelve in number, represented the twelve tribes of Israel. They were to be eaten by the priests only, and in the Holy Place. [Written also shewbread.] Mark ii. 26.
shower |1. One who shows or exhibits. 2. That which shows; a mirror. [Obs.] Wyclif.\n\n1. A fall or rain or hail of short duration; sometimes, but rarely, a like fall of snow. In drought or else showers. Chaucer. Or wet the thirsty earth with falling showers. Milton. 2. That which resembles a shower in falling or passing through the air copiously and rapidly. With showers of stones he drives them far away. Pope. 3. A copious supply bestowed. [R.] He and myself Have travail'd in the great shower of your gifts. Shak. Shower bath, a bath in which water is showered from above, and sometimes from the sides also.\n\n1. To water with a shower; to Lest it again dissolve and shower the earth. Milton. 2. To bestow liberally; to destribute or scatter in Shak. Cshowers down greatness on his friends. Addison.\n\nTo rain in showers; to fall, as in a hower or showers. Shak.
showerful |Full of showers. Tennyson.
showeriness |Quality of being showery.
showerless |Rainless; freo from showers.
showery |1. Raining in showers; abounding with frequent showers of rain. 2. Of or pertaining to a shower or showers. \"Colors of the showery arch.\" Milton.
showily |In a showy manner; pompously; with parade.
showiness |The quality or state of being showy; pompousness; great parade; ostentation.
showing |1. Appearance; display; exhibition. 2. Presentation of facts; statement. J. S. Mill.
showish |Showy; ostentatious. Swift.
showman |One who exhibits a show; a proprietor of a show.
shown |p. p. of Show.
showroom |A room or apartment where a show is exhibited. 2. A room where merchandise is exposed for sale, or where samples are displayed.
showy |, a. Etym: [Compar. Showier (; superl. Showiest.]  Making a show; attracting attention; presenting a marked appearance; ostentatious; gay; gaudy. A present of everything that was rich and showy. Addison. Syn. -- Splendid; gay; gaudy; gorgeous; fine; magnificent; grand; stately; sumptuous; pompous.
shrag |A twig of a tree cut off. [Obs.]\n\nTo trim, as trees; to lop. [Obs.]
shragger |One who lops; one who trims trees. [Obs.] Huloet.
shram |To cause to shrink or shrivel with cold; to benumb. [Prov. Eng.]
shrank |imp. of Shrink.
shrap |A place baited with chaff to entice birds. [Written also scrap.] [Obs.] Bp. Bedell.
shrape |A place baited with chaff to entice birds. [Written also scrap.] [Obs.] Bp. Bedell.
shrapnel |Applied as an appellation to a kind of shell invented by Gen. H. Shrapnel of the British army. -- n.  A shrapnel shell; shrapnel shells, collectively. Shrapnel shell (Gunnery), a projectile for a cannon, consisting of a shell filled with bullets and a small bursting charge to scatter them at any given point while in flight. See the Note under Case shot.
shred |1. A long, narrow piece cut or torn off; a strip. \"Shreds of tanned leather.\" Bacon. 2. In general, a fragment; a piece; a particle. Shak.\n\n1. To cut or tear into small pieces, particularly narrow and long pieces, as of cloth or leather. Chaucer. 2. To lop; to prune; to trim. [Obs.]
shredcook |The fieldfare; -- so called from its harsh cry before rain. [Prov. Eng.]
shredding |1. The act of cutting or tearing into shreds. 2. That which is cut or torn off; a piece. Hooker.
shreddy |Consisting of shreds.
shredless |Having no shreds; without a shred. And those which waved are shredless dust ere now. Byron.
shrew |Wicked; malicious. [Obs.] Chaucer.\n\n1. Originally, a brawling, turbulent, vexatious person of either sex, but now restricted in use to females; a brawler; a scold. A man . . . grudgeth that shrews [i. e., bad men] have prosperity, or else that good men have adversity. Chaucer. A man had got a shrew to his wife, and there could be no quiet in the house for her. L'Estrange. 2. Etym: [AS. screáwa; -- so called because supposed to be venomous. ] (Zoöl.)  Any small insectivore of the genus Sorex and several allied genera of the family Sorecidæ. In form and color they resemble mice, but they have a longer and more pointed nose. Some of them are the smallest of all mammals. Note: The common European species are the house shrew (Crocidura araneus), and the erd shrew (Sorex vulgaris) (see under Erd.). In the United States several species of Sorex and Blarina are common, as the broadnosed shrew (S. platyrhinus), Cooper's shrew (S. Cooperi), and the short-tailed, or mole, shrew (Blarina brevicauda). Th American water, or marsh, shrew (Neosorex palustris), with fringed feet, is less common. The common European water shrews are Crossopus fodiens, and the oared shrew (see under Oared). Earth shrew, any shrewlike burrowing animal of the family Centetidæ, as the tendrac. -- Elephant shrew, Jumping shrew, Mole shrew. See under Elephant, Jumping, etc. -- Musk shrew. See Desman. -- River shrew, an aquatic West African insectivore (Potamogale velox) resembling a weasel in form and size, but having a large flattened and crested tail adapted for rapid swimming. It feeds on fishes. -- Shrew mole, a common large North American mole (Scalops aquaticus). Its fine, soft fur is gray with iridescent purple tints.\n\nTo beshrew; to curse. [Obs.] \"I shrew myself.\" Chaucer.
shrewd |1. Inclining to shrew; disposing to curse or scold; hence, vicious; malicious; evil; wicked; mischievous; vexatious; rough; unfair; shrewish. [Obs.] Chaucer. [Egypt] hath many shrewd havens, because of the great rocks that ben strong and dangerous to pass by. Sir J. Mandeville. Every of this happy number That have endured shrewd days and nights with us. Shak. 2. Artful; wily; cunning; arch. These women are shrewd tempters with their tongues. Shak. 3. Able or clever in practical affairs; sharp in business; astute; sharp-witted; sagacious; keen; as, a shrewd observer; a shrewd design; a shrewd reply. Professing to despise the ill opinion of mankind creates a shrewd suspicion that we have deserved it. Secker. Syn. -- Keen; critical; subtle; artful; astute; sagacious; discerning; acute; penetrating. -- Shrewd, Sagacious. One who is shrewd is keen to detect errors, to penetrate disguises, to foresee and guard against the selfishness of others. Shrewd is a word of less dignity than sagacious, which implies a comprehensive as well as penetrating mind, whereas shrewd does not. -- Shrewd\"ly, adv. -- Shrewd\"ness, n.
shrewish |having the qualities of a shrew; having a scolding disposition; froward; peevish. My wife is shrewish when I keep not hours. Shak. -- Shrew\"ish*ly, adv. -- Shrew\"ish*ness, n.
shrewmouse |A shrew; especially, the erd shrew.
shriek |To utter a loud, sharp, shrill sound or cry, as do some birds and beasts; to scream, as in a sudden fright, in horror or anguish. It was the owl that shrieked. Shak. At this she shrieked aloud; the mournful train Echoed her grief. Dryden.\n\nTo utter sharply and shrilly; to utter in or with a shriek or shrieks. On top whereof aye dwelt the ghostly owl, Shrieking his baleful note. Spenser. She shrieked his name To the dark woods. Moore.\n\nA sharp, shrill outcry or scream; a shrill wild cry such as is caused by sudden or extreme terror, pain, or the like. Shrieks, clamors, murmurs, fill the frighted town. Dryden. Shriek owl. (Zoöl.) (a) The screech owl. (b) The swift; -- so called from its cry.
shrieker |One who utters a shriek.
shrieval |Of or pertaining to a sheriff.
shrievalty |The office, or sphere of jurisdiction, of a sheriff; sheriffalty. It was ordained by 28 Edward I that the people shall have election of sheriff in every shire where the shrievalty is not of inheritance. Blackstone.
shrieve |A sheriff. [Obs.] Shak.\n\nTo shrive; to question. [Obs.] \"She gan him soft to shrieve.\" Spenser.
shrift |1. The act of shriving. In shrift and preaching is my diligence. Chaucer. 2. Confession made to a priest, and the absolution consequent upon it. Chaucer. Have you got leave to go to shrift to-day Shak. Therefore, my lord, address you to your shrift, And be yourself; for you must die this instant. Rowe. Shrift father, a priest to whom confession is made.
shright |imp. & p. p. of Shriek. She cried alway and shright. Chaucer.\n\nA shriek; shrieking. [Obs] Spenser. \"All hoarse for shright.\" Chaucer.
shrike |Any one of numerous species of oscinine birds of the family Laniidæ, having a strong hooked bill, toothed at the tip. Most shrikes are insectivorous, but the common European gray shrike (Lanius excubitor), the great northern shrike (L. borealis), and several others, kill mice, small birds, etc., and often impale them on thorns, and are, on that account called also butcher birds. See under Butcher. Note: The ant shrikes, or bush shrikes, are clamatorial birds of the family Formicaridæ. The cuckoo shrikes of the East Indies and Australia are Oscines of the family Campephagidæ. The drongo shrikes of the same regions belong to the related family Dicruridæ. See Drongo. Crow shrike. See under Crow. -- Shrike thrush. (a) Any one of several species of Asiatic timaline birds of the genera Thamnocataphus, Gampsorhynchus, and allies. (b) Any one of several species of shrikelike Australian singing birds of the genus Colluricincla. -- Shrike tit. (a) Any one of several Australian birds of the genus Falcunculus, having a strong toothed bill and sharp claws. They creep over the bark of trees, like titmice, in search of insects. (b) Any one of several species of small Asiatic birds belonging to Allotrius, Pteruthius, Cutia, Leioptila, and allied genera, related to the true tits. Called also hill tit. -- Swallow shrike. See under Swallow.
shrill |Acute; sharp; piercing; having or emitting a sharp, piercing tone or sound; -- said a sound, or of that which produces a sound. Hear the shrill whistle which doth order give To sounds confused. Shak. Let winds be shrill, let waves roll high. Byron.\n\nA shrill sound. [Obs.] Spenser.\n\nTo utter an acute, piercing sound; to sound with a sharp, shrill tone; to become shrill. Break we our pipes, that shrilledloud as lark. Spenser. No sounds were heard but of the shrilling cock. Goldsmith. His voice shrilled with passion. L. Wallace.\n\nTo utter or express in a shrill tone; to cause to make a shrill sound. How poor Andromache shrills her dolors forth. Shak.
shrill-gorged |Having a throat which produces a shrill note. [R.] Shak.
shrill-tongued |Having a shrill voice. \"When shrill-tongued Fulvia scolds.\" Shak.
shrillness |The quality or state of being shrill.
shrilly |In a shrill manner; acutely; with a sharp sound or voice.\n\nSomewhat shrill. [Poetic] Sir W. Scott. Some kept up a shrilly mellow sound. Keats.
shrimp |To contract; to shrink. [Obs.]\n\n1. (Zoöl.) (a) Any one of numerous species of macruran Crustacea belonging to Crangon and various allied genera, having a slender body and long legs. Many of them are used as food. The larger kinds are called also prawns. See Illust. of Decapoda. (b) In a more general sense, any species of the macruran tribe Caridea, or any species of the order Schizopoda, having a similar form. (c) In a loose sense, any small crustacean, including some amphipods and even certain entomostracans; as, the fairy shrimp, and brine shrimp. See under Fairy, and Brine. 2. Figuratively, a little wrinkled man; a dwarf; -- in contempt. This weak and writhled shrimp. Shak. Opossum shrimp. (Zoöl.) See under Opossum. -- Spector shrimp, or Skeleton shrimp (Zoöl.), any slender amphipod crustacean of the genus Caprella and allied genera. See Illust. under Læmodopoda. -- Shrimp catcher (Zoöl.), the little tern (Sterna minuta). -- Shrimp net, a dredge net fixed upon a pole, or a sweep net dragged over the fishing ground.
shrimper |One who fishes for shrimps.
shrine |1. A case, box, or receptacle, especially one in which are deposited sacred relics, as the bones of a saint. 2. Any sacred place, as an altar, tromb, or the like. Too weak the sacred shrine guard. Byron. 3. A place or object hallowed from its history or associations; as, a shrine of art.\n\nTo enshrine; to place reverently, as in a shrine. \"Shrined in his sanctuary.\" Milton.
shrink |1. To wrinkle, bend, or curl; to shrivel; hence, to contract into a less extent or compass; to gather together; to become compacted. And on a broken reed he still did stay His feeble steps, which shrunk when hard thereon he lay. Spenser. I have not found that water, by mixture of ashes, will shrink or draw into less room. Bacon. Against this fire do I shrink up. Shak. And shrink like parchment in consuming fire. Dryden. All the boards did shrink. Coleridge. 2. To withdraw or retire, as from danger; to decline action from fear; to recoil, as in fear, horror, or distress. What happier natures shrink at with affright, The hard inhabitant contends is right. Pope. They assisted us against the Thebans when you shrank from the task. Jowett (Thucyd.) 3. To express fear, horror, or pain by contracting the body, or part of it; to shudder; to quake. [R.] Shak.\n\n1. To cause to contract or shrink; as, to shrink finnel by imersing it in boiling water. 2. To draw back; to withdraw. [Obs.] The Libyc Hammon shrinks his horn. Milton. To shrink on (Mach.), to fix (one piece or part) firmly around (another) by natural contraction in cooling, as a tire on a wheel, or a hoop upon a cannon, which is made slightly smaller than the part it is to fit, and expanded by heat till it can be slipped into place.\n\nThe act shrinking; shrinkage; contraction; also, recoil; withdrawal. Yet almost wish, with sudden shrink, That I had less to praise. Leigh Hunt.
shrinkage |1. The act of shrinking; a contraction into less bulk or measurement. 2. The amount of such contraction; the bulk or dimension lost by shrinking, as of grain, castings, etc. 3. Decrease in value; depreciation. [Colloq.]
shrinker |One who shrinks; one who withdraws from danger.
shrinking |from Shrink. Shrinking head (Founding), a body of molten metal connected with a mold for the purpose of supplying metal to compensate for the shrinkage of the casting; -- called also sinking head, and riser.
shrinkingly |In a shrinking manner.
shrivalty |Shrievalty. Johnson.
shrive |1. To hear or receive the confession of; to administer confession and absolution to; -- said of a priest as the agent. That they should shrive their parishioners. Piers Plowman. Doubtless he shrives this woman, . . . Else ne'er could he so long protract his speech. Shak. Till my guilty soul be shriven. Longfellow. 2. To confess, and receive absolution; -- used reflexively. Get you to the church and shrive yourself. Beau & Fl.\n\nTo receive confessions, as a priest; to administer confession and absolution. Spenser.
shrivel |To draw, or be drawn, into wrinkles; to shrink, and form corrugations; as, a leaf shriveles in the hot sun; the skin shrivels with age; -- often with up.\n\nTo cause to shrivel or contract; to cause to shrink onto corruptions.
shriven |p. p. of Shrive.
shriver |One who shrives; a confessor.
shriving |Shrift; confession. Spenser.
shroff |A banker, or changer of money. [East Indies]
shroffage |The examination of coins, and the separation of the good from the debased. [East Indies]
shrood |To trim; to lop. [Prov. Eng.]
shropshire |An English breed of black-faced hornless sheep similar to the Southdown, but larger, now extensively raised in many parts of the world.
shroud |1. That which clothes, covers, conceals, or protects; a garment. Piers Plowman. Swaddled, as new born, in sable shrouds. Sandys. 2. Especially, the dress for the dead; a winding sheet. \"A dead man in his shroud.\" Shak. 3. That which covers or shelters like a shroud. Jura answers through her misty shroud. Byron. 4. A covered place used as a retreat or shelter, as a cave or den; also, a vault or crypt. [Obs.] The shroud to which he won His fair-eyed oxen. Chapman. A vault, or shroud, as under a church. Withals. 5. The branching top of a tree; foliage. [R.] The Assyrian wad a cedar in Lebanon, with fair branches and with a shadowing shroad. Ezek. xxxi. 3. 6. pl. (Naut.)  A set of ropes serving as stays to support the masts. The lower shrouds are secured to the sides of vessels by heavy iron bolts and are passed around the head of the lower masts. 7. (Mach.)  One of the two annular plates at the periphery of a water wheel, which form the sides of the buckets; a shroud plate. Bowsprit shrouds (Naut.), ropes extending from the head of the bowsprit to the sides of the vessel. -- Futtock shrouds (Naut.), iron rods connecting the topmast rigging with the lower rigging, passing over the edge of the top. -- Shroud plate. (a) (Naut.) An iron plate extending from the dead- eyes to the ship's side. Ham. Nav. Encyc. (b) (Mach.) A shroud. See def. 7, above.\n\n1. To cover with a shroud; especially, to inclose in a winding sheet; to dress for the grave. The ancient Egyptian mummies were shrouded in a number of folds of linen besmeared with gums. Bacon. 2. To cover, as with a shroud; to protect completely; to cover so as to conceal; to hide; to veil. One of these trees, with all his young ones, may shroud four hundred horsemen. Sir W. Raleigh. Some tempest rise, And blow out all the stars that light the skies, To shroud my shame. Dryden.\n\nTo take shelter or harbor. [Obs.] If your stray attendance be yet lodged, Or shroud within these limits. Milton.\n\nTo lop. See Shrood. [Prov. Eng.]
shroud-laid |Composed of four strands, and laid right-handed with a heart, or center; -- said of rope. See Illust. under Cordage.
shrouded |Provided with a shroud or shrouds. Shrouded gear (Mach.), a cogwheel or pinion having flanges which form closed ends to the spaces between the teeth and thus strengthen the teeth by tying them together.
shrouding |The shrouds. See Shroud, n., 7.
shroudless |Without a shroud.
shroudy |Affording shelter. [R.] Milton.
shrove |imp. of Shrive. Shrove Sunday, Quinguagesima Sunday. -- Shrove Tuesday, the Tuesday following Quinguagesima Sunday, and preceding the first day of Lent, or Ash Wednesday. Note: It was formerly customary in England, on this day, for the people to confess their sins to their parish priests, after which they dined on pancakes, or fritters, and the occasion became one of merriment. The bell rung on this day is popularly called Pancake Bell, and the day itself Pancake Tuesday. P. Cyc.\n\nTo join in the festivities of Shrovetide; hence, to make merry. [Obs.] J. Fletcher.
shrovetide |The days immediately preceding Ash Widnesday, especially the period between the evening before Quinguagesima Sunday and the morning of Ash Wednesday.
shroving |The festivity of Shrovetide. [Obs.]
shrow |A shrew. [Obs.] Shak.
shrowd |See Shrood. [Prov. Eng.]
shrub |A liquor composed of vegetable acid, especially lemon juice, and sugar, with spirit to preserve it.\n\nA woody plant of less size than a tree, and usually with several stems from the same root.\n\nTo lop; to prune. [Obs.] Anderson (1573).
shrubbery |1. A collection of shrubs. 2. A place where shrubs are planted. Macaulay.
shrubbiness |Quality of being shrubby.
shrubby |1. Full of shrubs. 2. Of the nature of a shrub; resembling a shrub. \"Shrubby browse.\" J. Philips.
shrubless |having no shrubs. Byron.
shruff |Rubbish. Specifically: (a) Dross or refuse of metals. [Obs.] (b) Light, dry wood, or stuff used for fuel. [Prov. Eng.]
shrug |To draw up or contract (the shoulders), especially by way of expressing dislike, dread, doubt, or the like. He shrugs his shoulders when you talk of securities. Addison.\n\nTo raise or draw up the shoulders, as in expressing dislike, dread, doubt, or the like. They grin, they shrug. They bow, they snarl, they snatch, they hug. Swift.\n\nA drawing up of the shoulders, -- a motion usually expressing dislike, dread, or doubt. The Spaniards talk in dialogues Of heads and shoulders, nods and shrugs. Hudibras.
shrunken |from Shrink.
shuck |A shock of grain. [Prev.Eng.]\n\n1. A shell, husk, or pod; especially, the outer covering of such nuts as the hickory nut, butternut, peanut, and chestnut. 2. The shell of an oyster or clam. [U. S.]\n\nTo deprive of the shucks or husks; as, to shuck walnuts, Indian corn, oysters, etc.
shucker |One who shucks oysters or clams
shudder |To tremble or shake with fear, horrer, or aversion; to shiver with cold; to quake. \"With shuddering horror pale.\" Milton. The shuddering tennant of the frigid zone. Goldsmith.\n\nThe act of shuddering, as with fear. Shak.
shudderingly |In a shuddering manner.
shude |The husks and other refuse of rice mills, used to adulterate oil cake, or linseed cake.
