rhizophaga |A division of marsupials. The wombat is the type.
ring |1. To cause to sound, especially by striking, as a metallic body; as, to ring a bell. 2. To make (a sound), as by ringing a bell; to sound. The shard-borne beetle, with his drowsy hums, Hath rung night's yawning peal. Shak. 3. To repeat often, loudly, or earnestly. To ring a peal, to ring a set of changes on a chime of bells. -- To ring the changes upon. See under Change. -- To ring in or out, to usher, attend on, or celebrate, by the ringing of bells; as, to ring out the old year and ring in the new. Tennyson. -- To ring the bells backward, to sound the chimes, reversing the common order; -- formerly done as a signal of alarm or danger. Sir W. Scott.\n\n1. To sound, as a bell or other sonorous body, particularly a metallic one. Now ringen trompes loud and clarion. Chaucer. Why ring not out the bells Shak. 2. To practice making music with bells. Holder. 3. To sound loud; to resound; to be filled with a With sweeter notes each rising temple rung. Pope. The hall with harp and carol rang. Tennyson. My ears still ring with noise. Dryden. 4. To continue to sound or vibrate; to resound. The assertion is still ringing in our ears. Burke. 5. To be filled with report or talk; as, the whole town rings with his fame.\n\n1. A sound; especially, the sound of vibrating metals; as, the ring of a bell. 2. Any loud sound; the sound of numerous voices; a sound continued, repeated, or reverberated. The ring of acclamations fresh in his ears. Bacon 3. A chime, or set of bells harmonically tuned. As great and tunable a ring of bells as any in the world. Fuller.\n\nA circle, or a circular line, or anything in the form of a circular line or hoop. 2. Specifically, a circular ornament of gold or other precious material worn on the finger, or attached to the ear, the nose, or some other part of the person; as, a wedding ring. Upon his thumb he had of gold a ring. Chaucer. The dearest ring in Venice will I give you. Shak. 3. A circular area in which races are or run or other sports are performed; an arena. Place me. O, place me in the dusty ring, Where youthful charioteers contened for glory. E. Smith. 4. An inclosed space in which pugilists fight; hence, figuratively, prize fighting. \"The road was an institution, the ring was an institution.\" Thackeray. 5. A circular group of persons. And hears the Muses in a Aye round about Jove's alter sing. Milton. 6. (Geom.) (a) The plane figure included between the circumferences of two concentric circles. (b) The solid generated by the revolution of a circle, or other figure, about an exterior straight line (as an axis) lying in the same plane as the circle or other figure. 7. (Astron. & Navigation)  An instrument, formerly used for taking the sun's altitude, consisting of a brass ring suspended by a swivel, with a hole at one side through which a solar ray entering indicated the altitude on the graduated inner surface opposite. 8. (Bot.)  An elastic band partly or wholly encircling the spore cases of ferns. See Illust. of Sporangium. 9. A clique; an exclusive combination of persons for a selfish purpose, as to control the market, distribute offices, obtain contracts, etc. The ruling ring at Constantinople. E. A. Freeman. Ring armor, armor composed of rings of metal. See Ring mail, below, and Chain mail, under Chain. -- Ring blackbird (Zoöl.), the ring ousel. -- Ring canal (Zoöl.), the circular water tube which surrounds the esophagus of echinoderms. -- Ring dotterel, or Ringed dotterel. (Zoöl.) See Dotterel, and Illust. of Pressiroster. -- Ring dropper, a sharper who pretends to have found a ring (dropped by himself), and tries to induce another to buy it as valuable, it being worthless. -- Ring fence. See under Fence. -- Ring finger, the third finger of the left hand, or the next the little finger, on which the ring is placed in marriage. -- Ring formula (Chem.), a graphic formula in the shape of a closed ring, as in the case of benzene, pyridine, etc. See Illust. under Benzene. -- Ring mail, a kind of mail made of small steel rings sewed upon a garment of leather or of cloth. -- Ring micrometer. (Astron.) See Circular micrometer, under Micrometer. -- Saturn's rings. See Saturn. -- Ring ousel. (Zoöl.) See Ousel. -- Ring parrot (Zoöl.), any one of several species of Old World parrakeets having a red ring around the neck, especially Palæornis torquatus, common in India, and P. Alexandri of Java. -- Ring plover. (Zoöl.) (a) The ringed dotterel. (b) Any one of several small American plovers having a dark ring around the neck, as the semipalmated plover (Ægialitis semipalmata). -- Ring snake (Zoöl.), a small harmless American snake (Diadophis punctatus) having a white ring around the neck. The back is ash- colored, or sage green, the belly of an orange red. -- Ring stopper. (Naut.) See under Stopper. -- Ring thrush (Zoöl.), the ring ousel. -- The prize ring, the ring in which prize fighters contend; prize fighters, collectively. -- The ring. (a) The body of sporting men who bet on horse races. [Eng.] (b) The prize ring.\n\n1. To surround with a ring, or as with a ring; to encircle. \"Ring these fingers.\" Shak. 2. (Hort.)  To make a ring around by cutting away the bark; to girdle; as, to ring branches or roots. 3. To fit with a ring or with rings, as the fingers, or a swine's snout.\n\nTo rise in the air spirally.
ring armature |An armature for a dynamo or motor having the conductors wound on a ring.
ring winding |Armature winding in which the wire is wound round the outer and inner surfaces alternately of an annular or cylindrical core.
ring-necked |Having a well defined ring of color around the neck. Ring- necked duck (Zool.), an American scaup duck (Aythya collaris). The head, neck, and breast of the adult male are black, and a narrow, but conspicuous, red ring encircles the neck. This ring is absent in the female. Called also ring-neck, ring-necked blackhead, ringbill, tufted duck, and black jack.
ring-streaked |Having circular streaks or lines on the body; as, ring-streaked goats.
ring-tailed |Having the tail crossed by conspicuous bands of color. Ring- tailed cat (Zoöl.), the cacomixle. -- Ring-tailed eagle (Zoöl.), a young golden eagle.
ringbill |The ring-necked scaup duck; -- called also ring-billed blackhead. See Scaup.
ringbird |The reed bunting. It has a collar of white feathers. Called also ring bunting.
ringbolt |An eyebolt having a ring through the eye.
ringbone |A morbid growth or deposit of bony matter between or on the small pastern and the great pastern bones. J. H. Walsh.
ringdove |A European wild pigeon (Columba palumbus) having a white crescent on each side of the neck, whence the name. Called also wood pigeon, and cushat.
ringed |1. Encircled or marked with, or as with, a ring or rings. 2. Wearning a wedding ring; hence, lawfully wedded. \"A ringed wife.\" Tennyson. Ringed seal (Zoöl.), a North Pacific seal (Phoca foetida) having ringlike spots on the body. -- Ringed snake (Zoöl.), a harmless European snake (Tropidonotus natrix) common in England. -- Ringed worm (Zoöl.), an annelid.
ringent |Having the lips widely separated and gaping like an open mouth; as a ringent bilabiate corolla.
ringer |1. One who, or that which, rings; especially, one who rings chimes on bells. 2. (Mining)  A crowbar. Simmonds.\n\nA horse that is not entitled to take part in a race, but is fraudulently got into it.
ringhead |An instrument used for stretching woolen cloth.
ringing |a & n. from Ring, v. Ringing engine, a simple form of pile driver in which the monkey is lifted by men pulling on ropes.
ringingly |In a ringing manner.
ringleader |1. The leader of a circle of dancers; hence, the leader of a number of persons acting together; the leader of a herd of animals. A primacy of order, such an one as the ringleader hath in a dance. Barrow. 2. Opprobriously, a leader of a body of men engaged in the violation of law or in an illegal enterprise, as rioters, mutineers, or the like. The ringleaders were apprehended, tried, fined, and imprisoned. Macaulay.
ringlestone |The ringed dotterel, or ring plover. [Prov.Eng.]
ringlet |1. A small ring; a small circle; specifically, a fairy ring. You demi-puppets, that By moonshine do the green sour ringlets make, Whereof the ewe not bites. Shak. 2. A curl; especially, a curl of hair. [Her golden tresses] in wanton ringlets waved. Milton.
ringman |The ring finger. [Obs.] Ascham
ringmaster |One in charge of the performances (as of horses) within the ring in a circus.
ringneck |1. (Zoöl.)  Any one of several species of small plovers of the genus Ægialitis, having a ring around the neck. The ring is black in summer, but becomes brown or gray in winter. The semipalmated plover (Æ. semipalmata) and the piping plover (Æ. meloda) are common North American species. Called also ring plover, and ring-necked plover. 2. (Zoöl.)  The ring-necked duck.
ringsail |See Ringtail,2.
ringstraked |Ring-streaked. Cattle ringstraked, speckled, and spotted. Gen. xxx. 39.
ringtail |1. (Zoöl.)  A bird having a distinct band of color across the tail, as the hen harrier. 2. (Naut.)  A light sail set abaft and beyong the leech of a boom-and-gaff sail; -- called also ringsail. Ringtail boom (Naut.), a spar which is rigged on a boom for setting a ringtail.
ringtoss |A game in which the object is to toss a ring so that it will catch upon an upright stick.
ringworm |A contagious affection of the skin due to the presence of a vegetable parasite, and forming ring-shaped discolored patches covered with vesicles or powdery scales. It occurs either on the body, the face, or the scalp. Different varieties are distinguished as Tinea circinata, Tinea tonsurans, etc., but all are caused by the same parasite (a species of Trichophyton).
rink |1. The smooth and level extent of ice marked off for the game of curling. 2. An artificial sheet of ice, generally under cover, used for skating; also, a floor prepared for skating on with roller skates, or a building with such a floor.
rinker |One who skates at a rink. [Colloq.]
rinking |Skating in a rink. [Colloq.]
rinse |1. To wash lightly; to cleanse with a second or repeated application of water after washing. 2. To cleancse by the introduction of water; -- applied especially to hollow vessels; as, to rinse a bottle. \"Like a glass did break i' the rinsing.\" Shak.\n\nThe act of rinsing.
rinser |One who, or that which, rinses.
riot |1. Wanton or unrestrained behavior; uproar; tumult. His headstrong riot hath no curb. Shak. 2. Excessive and exxpensive feasting; wild and loose festivity; revelry. Venus loveth riot and dispense. Chaucer. The lamb thy riot dooms to bleed to-day. Pope. 3. (Law)  The tumultuous disturbance of the public peace by an unlawful assembly of three or more persons in the execution of some private object. To run riot, to act wantonly or without restraint.\n\n1. To engage in riot; to act in an unrestrained or wanton manner; to indulge in excess of luxury, feasting, or the like; to revel; to run riot; to go to excess. Now he exact of all, wastes in delight, Riots in pleasure, and neglects the law. Daniel. No pulse that riots, and no blood that glows. Pope. 2. (Law)  To disturb the peace; to raise an uproar or sedition. See Riot, n., 3. Johnson.\n\nTo spend or pass in riot. [He] had rioted his life out. Tennyson.
rioter |1. One who riots; a reveler; a roisterer. Chaucer. 2. (Law)  One who engages in a riot. See Riot, n., 3.
riotise |Excess; tumult; revelry. [Obs.] His life he led in lawless riotise. Spenser.
riotour |A rioter. [Obs.] Chaucer.
riotous |1. Involving, or engaging in, riot; wanton; unrestrained; luxurious. The younger son . . . took his journey into a far country, and there wasted his substance with riotous living. Luke xv. 13. 2. Partaking of the nature of an unlawful assembly or its acts; seditious. -- Ri\"ot*ous*ly, adv. -- Ri\"ot*ous*ness, n.
riotry |The act or practice of rioting; riot. \"Electioneering riotry.\" Walpole.
rip |A wicker fish basket.\n\n1. To divide or separate the parts of, by cutting or tearing; to tear or cut open or off; to tear off or out by violence; as, to rip a garment by cutting the stitches; to rip off the skin of a beast; to rip up a floor; -- commonly used with up, open, off. 2. To get by, or as by, cutting or tearing. He 'll rip the fatal secret from her heart. Granville. 3. To tear up for search or disclosure, or for alteration; to search to the bottom; to discover; to disclose; -- usually with up. They ripped up all that had been done from the beginning of the rebellion. Clarendon. For brethern to debate and rip up their falling out in the ear of a common enemy . . . is neither wise nor comely. Milton. 4. To saw (wood) lengthwise of the grain or fiber. Ripping chisel (Carp.), a crooked chisel for cleaning out mortises. Knight. -- Ripping iron. (Shipbuilding) Same as Ravehook. -- Ripping saw. (Carp.) See Ripsaw. -- To rip out, to rap out, to utter hastily and violently; as, to rip out an oath. [Colloq.] See To rap out, under Rap, v. t.\n\n1. A rent made by ripping, esp. by a seam giving way; a tear; a place torn; laceration. 2. Etym: [Perh. a corruption of the first syllable of reprobate.]  A term applied to a mean, worthless thing or person, as to a scamp, a debauchee, or a prostitute, or a worn-out horse. [Slang.] 3. A body of water made rough by the meeting of opposing tides or currents.
rip cord |A cord by which the gas bag of a balloon may be ripped open for a limited distance to release the gas quickly and so cause immediate descent.
riparian |Of or pertaining to the bank of a river; as, riparian rights.
riparious |Growing along the banks of rivers; riparian.
ripe |The bank of a river. [Obs.]\n\n1. Ready for reaping or gathering; having attained perfection; mature; -- said of fruits, seeds, etc.; as, ripe grain. So mayst thou live, till, like ripe fruit, thou drop Into thy mother's lap. Milton. 2. Advanced to the state of fitness for use; mellow; as, ripe cheese; ripe wine. 3. Having attained its full development; mature; perfected; consummate. \"Ripe courage.\" Chaucer. He was a scholar, and a ripe and good one. Shak. 4. Maturated or suppurated; ready to discharge; -- said of sores, tumors, etc. 5. Ready for action or effect; prepared. While things were just ripe for a war. Addison. I am not ripe to pass sentence on the gravest public bodies. Burke. 6. Like ripened fruit in ruddiness and plumpness. Those happy smilets, That played on her ripe lip. Shak. 7. Intoxicated. [Obs.] \"Reeling ripe.\" Shak. Syn. -- Mature; complete; finished. See Mature.\n\nTo ripen; to grow ripe. [Obs.]\n\nTo mature; to ripen. [Obs.] Shak.
ripely |Maturely; at the fit time. Shak.
ripen |1. To grow ripe; to become mature, as grain, fruit, flowers, and the like; as, grapes ripen in the sun. 2. To approach or come to perfection.\n\n1. To cause to mature; to make ripe; as, the warm days ripened the corn. 2. To mature; to fit or prepare; to bring to perfection; as, to ripen the judgment. When faith and love, which parted from thee never, Had ripined thy iust soul to dwell with God. Milton.
ripeness |The state or quality of being ripe; maturity;; completeness; perfection; as, the ripeness of grain; ripeness of manhood; ripeness of judgment. Time, which made them their fame outlive, To Cowley scarce did ripeness give. Denham.
ripidolite |A translucent mineral of a green color and micaceous structure, belonging to the chlorite group; a hydrous silicate of alumina, magnesia, and iron; -- called also clinochlore.
ripienist |A player in the ripieno portion of an orchestra. See Ripieno.
ripieno |Filling up; supplementary; supernumerary; -- a term applied to those instruments which only swell the mass or tutti of an orchestra, but are not obbligato.
ripler |One who brings fish from the seacoast to markets in inland towns. [Obs.] But what's the action we are for now Robbing a ripper of his fish. Beau & Fl.
ripost |1. In fencing, a return thrust after a parry. 2. A quick and sharp refort; a repartee. J. Morley.
ripper |One who brings fish from the seacoast to markets in inland towns. [Obs.] But what's the action we are for now Robbing a ripper of his fish. Beau & Fl.\n\n1. One who, or that which, rips; a ripping tool. 2. A tool for trimming the edges of roofing slates. 3. Anything huge, extreme, startling, etc. [Slang.]
ripper act |An act or a bill conferring upon a chief executive, as a governor or mayor, large powers of appointment and removal of heads of departments or other subordinate officials. [Polit. Cant, U. S.]
ripper bill |An act or a bill conferring upon a chief executive, as a governor or mayor, large powers of appointment and removal of heads of departments or other subordinate officials. [Polit. Cant, U. S.]
ripping cord |= Rip cord.
ripping panel |A long patch, on a balloon, to be ripped off, by the rip cord, at landing, in order to allow the immediate escape of gas and instant deflation of the bag.
ripping strip |= Ripping panel.
ripple |An implement, with teeth like those of a comb, for removing the seeds and seed vessels from flax, broom corn, etc.\n\n1. To remove the seeds from (the stalks of flax, etc.), by means of a ripple. 2. Hence, to scratch or tear. Holland.\n\n1. To become fretted or dimpled on the surface, as water when agitated or running over a rough bottom; to be covered with small waves or undulations, as a field of grain. 2. To make a sound as of water running gently over a rough bottom, or the breaking of ripples on the shore.\n\nTo fret or dimple, as the surface of running water; to cover with small waves or undulations; as, the breeze rippled the lake.\n\n1. The fretting or dimpling of the surface, as of running water; little curling waves. 2. A little wave or undulation; a sound such as is made by little waves; as, a ripple of laughter. Ripple grass. (Bot.) See Ribwort. -- Ripple marks, a system of parallel ridges on sand, produced by wind, by the current of a steam, or by the agitation of wind waves; also (Geol.), a system of parallel ridges on the surface of a sandstone stratum.
ripple-marked |HAving ripple marks.
ripplet |A small ripple.
ripplingly |In a rippling manner.
ripply |Having ripples; as, ripply water; hence, resembling the sound of rippling water; as, ripply laughter; a ripply cove. Keats.
riprap |A foundation or sustaining wall of stones thrown together without order, as in deep water or on a soft bottom.\n\nTo form a riprap in or upon.
ripsaw |A handsaw with coarse teeth which have but a slight set, used for cutting wood in the direction of the fiber; -- called also ripping saw.
riptowel |A gratuity given to tenants after they had reaped their lord's corn. [Obs.]
ris |A bough or branch; a twig. [Obs.] As white as is the blossom upon the ris. Chaucer.
rise |1. To move from a lower position to a higher; to ascend; to mount up. Specifically: -- (a) To go upward by walking, climbing, flying, or any other voluntary motion; as, a bird rises in the air; a fish rises to the bait. (b) To ascend or float in a fluid, as gases or vapors in air, cork in water, and the like. (c) To move upward under the influence of a projecting force; as, a bullet rises in the air. (d) To grow upward; to attain a certain heght; as, this elm rises to the height of seventy feet. (e) To reach a higher level by increase of quantity or bulk; to swell; as, a river rises in its bed; the mercury rises in the thermometer. (f) To become erect; to assume an upright position; as, to rise from a chair or from a fall. (g) To leave one's bed; to arise; as, to rise early. He that would thrive, must rise by five. Old Proverb. (h) To tower up; to be heaved up; as, the Alps rise far above the sea. (i) To slope upward; as, a path, a line, or surface rises in this direction. \"A rising ground.\" Dryden. (j) To retire; to give up a siege. He, rising with small honor from Gunza, . . . was gone. Knolles. (k) To swell or puff up in the process of fermentation; to become light, as dough, and the like. 2. To have the aspect or the effect of rising. Specifically: -- (a) To appear above the horizont, as the sun, moon, stars, and the like. \"He maketh his sun to rise on the evil and the good.\" Matt. v. 45. (b) To become apparent; to emerge into sight; to come forth; to appear; as, an eruption rises on the skin; the land rises to view to one sailing toward the shore. (c) To become perceptible to other senses than sight; as, a noise rose on the air; odor rises from the flower. (d) To have a beginning; to proceed; to originate; as, rivers rise in lakes or springs. A scepter shall rise out of Israel. Num. xxiv. 17. Honor and shame from no condition rise. Pope. 3. To increase in size, force, or value; to proceed toward a climax. Specifically: -- (a) To increase in power or fury; -- said of wind or a storm, and hence, of passion. \"High winde . . . began to rise, high passions -- anger, hate.\" Milton. (b) To become of higher value; to increase in price. Bullion is risen to six shillings . . . the ounce. Locke. (c) To become larger; to swell; -- said of a boil, tumor, and the like. (d) To increase in intensity; -- said of heat. (e) To become louder, or higher in pitch, as the voice. (f) To increase in amount; to enlarge; as, his expenses rose beyond his expectations. 4. In various figurative senses. Specifically: -- (a) To become excited, opposed, or hostile; to go to war; to take up arms; to rebel. At our heels all hell should rise With blackest insurrection. Milton. No more shall nation against nation rise. Pope. (b) To attain to a better social position; to be promoted; to excel; to succeed. Some rise by sin, and some by virtue fall. Shak. (c) To become more and more dignified or forcible; to increase in interest or power; -- said of style, thought, or discourse; as, to rise in force of expression; to rise in eloquence; a story rises in interest. (d) To come to mind; to be suggested; to occur. A thought rose in me, which often perplexes men of contemplative natures. Spectator. (e) To come; to offer itself. There chanced to the prince's hand to rise An ancient book. Spenser. 5. To ascend from the grave; to come to life. But now is Christ risen from the dead. 1. Cor. xv. 20. 6. To terminate an official sitting; to adjourn; as, the committee rose after agreeing to the report. It was near nine . . . before the House rose. Macaulay. 7. To ascend on a musical scale; to take a higher pith; as, to rise a tone or semitone. 8. (Print.)  To be lifted, or to admit of being lifted, from the imposing stone without dropping any of the type; -- said of a form. Syn. -- To arise; mount; ascend; climb; scale. -- Rise, Appreciate. Some in America use the word appreciate for \"rise in value;\" as, stocks appreciate, money appreciates, etc. This use is not unknown in England, but it is less common there. It is undesirable, because rise sufficiently expresses the idea, and appreciate has its own distinctive meaning, which ought not to be confused with one so entirely different.\n\n1. The act of rising, or the state of being risen. 2. The distance through which anything rises; as, the rise of the thermometer was ten degrees; the rise of the river was six feet; the rise of an arch or of a step. 3. Land which is somewhat higher than the rest; as, the house stood on a rise of land. [Colloq.] 4. Spring; source; origin; as, the rise of a stream. All wickednes taketh its rise from the heart. R. Nelson. 5. Appearance above the horizon; as, the rise of the sun or of a planet. Shak. 6. Increase; advance; augmentation, as of price, value, rank, property, fame, and the like. The rise or fall that may happen in his constant revenue by a Spanish war. Sir W. Temple. 7. Increase of sound; a swelling of the voice. The ordinary rises and falls of the voice. Bacon. 8. Elevation or ascent of the voice; upward change of key; as, a rise of a tone or semitone. 9. The spring of a fish to seize food (as a fly) near the surface of the water.
risen |1. p. p. & a. from Rise. \"Her risen Son and Lord.\" Keble. 2. Obs. imp. pl. of Rise. Chaucer.
riser |1. One who rises; as, an early riser. 2. (Arch.) (a) The upright piece of a step, from tread to tread. Hence: (b) Any small upright face, as of a seat, platform, veranda, or the like. 3. (Mining)  A shaft excavated from below upward. 4. (Founding)  A feed head. See under Feed, n.
rish |A rush (the plant). [Obs.] Chaucer.
risibility |The quality of being risible; as, risibility is peculiar to the human species. A strong and obvious disposition to risibility. Sir W. Scott.
risible |1. Having the faculty or power of laughing; disposed to laugh. Laughing is our busines, . . . it has been made the definition of man that he is risible. Dr. H. More. 2. Exciting laughter; worthy to be laughed at; amusing. \"Risible absurdities.\" Johnson. I hope you find nothing risible in my complaisance. Sir W. Scott. 3. Used in, or expressing, laughter; as, risible muscles. Note: Risible is sometimes used as a noun, in the plural, for the feeling of amusement and for the muscles and other organs used in laughing, collectively; as, unable to control one's risibles. Syn. -- Ludicrous; laughable; amusing; ridiculous -- Risible, Ludicrous, Ridiculous. Risible differs from ludicrous as species from genus; ludicrous expressing that which is playful and sportive; risible, that which may excite laughter. Risible differs from ridiculous, as the latter implies something contemptuous, and risible does not. --Ris\"i*ble*ness(#), n. -- Ris\"i*bly, adv.
rising |1. Attaining a higher place; taking, or moving in, an upward direction; appearing above the horizon; ascending; as, the rising moon. 2. Increasing in wealth, power, or distinction; as, a rising state; a rising character. Among the rising theologians of Germany. Hare. 3. Growing; advancing to adult years and to the state of active life; as, the rising generation.\n\nMore than; exceeding; upwards of; as, a horse rising six years of age. [Colloq. & Low, U.S.]\n\n1. The act of one who, or that which, rises (in any sense). 2. That which rises; a tumor; a boil. Lev. xiii. 10. Rising main (Waterworks), the pipe through which water from an engine is delivered to an elevated reservoir.
risk |1. Hazard; danger; peril; exposure to loss, injury, or destruction. The imminent and constant risk of assassination, a risk which has shaken very strong nerves. Macaulay. 2. (Com.)  Hazard of loss; liabillity to loss in property. To run a risk, to incur hazard; to encounter danger. Syn. -- Danger; hazard; peril; jeopardy; exposure. See Danger.\n\n1. To expose to risk, hazard, or peril; to venture; as, to risk goods on board of a ship; to risk one's person in battle; to risk one's fame by a publication. 2. To incur the risk or danger of; as, to risk a battle. Syn. -- To hazard; peril; endanger; jeopard.
risker |One who risks or hazards. Hudibras.
riskful |Risky. [R.] Geddes.
risky |Attended with risk or danger; hazardous. \"A risky matter.\" W. Collins. Generalization are always risky. Lowell.
risorial |Pertaining to, or producing, laughter; as, the risorial muscles.
risotto |A kind of pottage.
risque |Hazardous; risky; esp., fig., verging upon impropriety; dangerously close to, or suggestive of, what is indecent or of doubtful morality; as, a risqué story.  Henry Austin.
risquee |Hazardous; risky; esp., fig., verging upon impropriety; dangerously close to, or suggestive of, what is indecent or of doubtful morality; as, a risqué story.  Henry Austin.
risse |imp. of Rise. B. Jonson.
rissoid |Any one of very numerous species of small spiral gastropods of the genus Rissoa, or family Rissoidæ, found both in fresh and salt water.
rissole |A small ball of rich minced meat or fish, covered with pastry and fried.
rist |3d pers. sing. pres. of Rise, contracted from riseth. Chaucer.
rit |3d pers. ssing. pres. of Ride, contracted from rideth. Chaucer.
ritardando |Retarding; -- a direction for slower time; rallentado.
rite |The act of performing divine or solemn service, as established by law, precept, or custom; a formal act of religion or other solemn duty; a solemn observance; a ceremony; as, the rites of freemasonry. He looked with indifference on rites, names, and forms of ecclesiastical polity. Macaulay. Syn. -- Form; ceremony; observance; ordinance.
ritenuto |Held back; holding back; ritardando.
ritornelle |(a) A short return or repetition; a concluding symphony to an air, often consisting of the burden of the song. (a) A short intermediate symphony, or instrumental passage, in the course of a vocal piece; an interlude.
ritornello |(a) A short return or repetition; a concluding symphony to an air, often consisting of the burden of the song. (a) A short intermediate symphony, or instrumental passage, in the course of a vocal piece; an interlude.
ritratto |A picture. Sterne.
ritual |Of or pertaining to rites or ritual; as, ritual service or sacrifices; the ritual law.\n\n1. A prescribed form of performing divine service in a particular church or communion; as, the Jewish ritual. 2. Hence, the code of ceremonies observed by an organization; as, the ritual of the freemasons. 3. A book containing the rites to be observed.
ritualism |1. A system founded upon a ritual or prescribed form of religious worship; adherence to, or observance of, a ritual. 2. Specifically :(a) The principles and practices of those in the Church of England, who in the development of the Oxford movement, so- called, have insisted upon a return to the use in church services of the symbolic ornaments (altar cloths, encharistic vestments, candles, etc.) that were sanctioned in the second year of Edward VI., and never, as they maintain, forbidden by competennt authority, although generally disused. Schaff-Herzog Encyc. (b) Also, the principles and practices of those in the Protestant Episcopal Church who sympathize with this party in the Church of England.
ritualist |One skilled un, or attached to, a ritual; one who advocates or practices ritualism.
ritualistic |Pertaining to, or in accordance with, a ritual; adhering to ritualism.
ritually |By rites, or by a particular rite.
rivage |1. A bank, shore, or coast. [Archaic] Spenser. From the green rivage many a fall Of diamond rillets musical. Tennyson. 2. (O.Eng.Law)  A duty paid to the crown for the passage of vessels on certain rivers.
rival |1. A person having a common right or privilege with another; a partner. [Obs.] If you do meet Horatio and Marcellus, The rivals of my watch, bid them make haste. Shak. 2. One who is in pursuit of the same object as another; one striving to reach or obtain something which another is attempting to obtain, and which one only can posses; a competitor; as, rivals in love; rivals for a crown. Note: \"Rivals, in the primary sense of the word, are those who dwell on the banks of the same stream. But since, as all experience shows, there is no such fruitful source of coutention as a water right, it would continually happen that these occupants of the opposite banks would be at strife with one another in regard of the periods during which they severally had a right to the use of the stream . . . And thus 'rivals' . . . came to be used of any who were on any grounds in more or less unfriendly competition with one another.\" Trench. Syn. -- Competitor; emulator; antagonist.\n\nHaving the same pretensions or claims; standing in competition for superiority; as, rival lovers; rival claims or pretensions. The strenuous conflicts and alternate victories of two rival confederacies of statesmen. Macaulay.\n\n1. To stand in competition with; to strive to gain some object in opposition to; as, to rival one in love. 2. To strive to equal or exel; to emulate. To rival thunder in its rapid course. Dryden.\n\nTo be in rivalry. [Obs.] Shak.
rivaless |A female rival. [Obs.] Richardson.
rivality |1. Rivalry; competition. [Obs.] 2. Equality, as of right or rank. [Obs.] hak.
rivalry |The act of rivaling, or the state of being a rival; a competition. \"Keen contention and eager rivalries.\" Jeffrey. Syn. -- Emulation; competition. See Emulation.
rivalship |Rivalry. [R.] B. Jonson.
rive |To rend asunder by force; to split; to cleave; as, to rive timber for rails or shingles. I shall ryve him through the sides twain. Chaucer. The scolding winds have rived the knotty oaks. Shak. Brutus hath rived my heart. Shak.\n\nTo be split or rent asunder. Freestone rives, splits, and breaks in any direction. Woodward.\n\nA place torn; a rent; a rift. [Prov. Eng.]
rivel |To contract into wrinkles; to shrivel; to shrink; as, riveled fruit; riveled flowers. [Obs.] Pope. \"Riveled parchments.\" Walpole.\n\nA wrinkle; a rimple. [Obs.] Holland.
riven |p. p. & a. from Rive.
river |One who rives or splits.\n\n1. A large stream of water flowing in a bed or channel and emptying into the ocean, a sea, a lake, or another stream; a stream larger than a rivulet or brook. Transparent and sparkling rivers, from which it is delightful to drink as they flow. Macaulay. 2. Fig.: A large stream; copious flow; abundance; as, rivers of blood; rivers of oil. River chub (Zoöl.), the hornyhead and allied species of fresh-water fishes. -- River crab (Zoöl.), any species of fresh-water crabs of the genus Thelphusa, as T. depressa of Southern Europe. -- River dragon, a crocodile; -- applied by Milton to the king of Egypt. -- River driver, a lumberman who drives or conducts logs down rivers. Bartlett. -- River duck (Zoöl.), any species of duck belonging to Anas, Spatula, and allied genera, in which the hind toe is destitute of a membranous lobe, as in the mallard and pintail; -- opposed to sea duck. -- River god, a deity supposed to preside over a river as its tutelary divinity. -- River herring (Zoöl.), an alewife. -- River hog. (Zoöl.) (a) Any species of African wild hogs of the genus Potamochoerus. They frequent wet places along the rivers. (b) The capybara. -- River horse (Zoöl.), the hippopotamus. -- River jack (Zoöl.), an African puff adder (Clotho nasicornis) having a spine on the nose. -- River limpet (Zoöl.), a fresh-water, air-breathing mollusk of the genus Ancylus, having a limpet-shaped shell. -- River pirate (Zoöl.), the pike. -- River snail (Zoöl.), any species of fresh-water gastropods of Paludina, Melontho, and allied genera. See Pond snail, under Pond. -- River tortoise (Zoöl.), any one of numerous fresh-water tortoises inhabiting rivers, especially those of the genus Trionyx and allied genera. See Trionyx.\n\nTo hawk by the side of a river; to fly hawks at river fowl. [Obs.] Halliwell.
rivered |Supplied with rivers; as, a well rivered country.
riveret |A rivulet. [Obs.] Drayton.
riverhood |The quality or state of being a river. \"Useful riverhood.\" H. Miller.
riverling |A rivulet. [R.] Sylvester.
riverside |The side or bank of a river.
rivery |Having rivers; as, a rivery country. Drayton.
rivet |A metallic pin with a head, used for uniting two plates or pieces of material together, by passing it through them and then beating or pressing down the point so that it shall spread out and form a second head; a pin or bolt headed or clinched at both ends. With busy hammers closing rivets up. Shak. Rivet joint, or Riveted joint, a joint between two or more pieces secured by rivets.\n\n1. To fasten with a rivet, or with rivets; as, to rivet two pieces of iron. 2. To spread out the end or point of, as of a metallic pin, rod, or bolt, by beating or pressing, so as to form a sort of head. 3. Hence, to fasten firmly; to make firm, strong, or immovable; as, to rivet friendship or affection. Rivet and nail me where I stand, ye powers! Congreve. Thus his confidence was riveted and confirmed. Sir W. Scott.
riveter |One who rivets.
