glassily |So as to resemble glass.
go |Gone. Chaucer.\n\n1. To pass from one place to another; to be in motion; to be in a state not motionless or at rest; to proced; to advance; to make progress; -- used, in various applications, of the movement of both animate and inanimate beings, by whatever means, and also of the movements of the mind; also figuratively applied. 2. To move upon the feet, or step by step; to walk; also, to walk step by step, or leisurely. Note: In old writers go is much used as opposed to run, or ride. \"Whereso I go or ride.\" Chaucer. You know that love Will creep in service where it can not go. Shak. Thou must run to him; for thou hast staid so long that going will scarce serve the turn. Shak. He fell from running to going, and from going to clambering upon his hands and his knees. Bunyan. Note: In Chaucer go is used frequently with the pronoun in the objective used reflexively; as, he goeth him home. 3. To be passed on fron one to another; to pass; to circulate; hence, with for, to have currency; to be taken, accepted, or regarded. The man went among men for an old man in the days of Saul. 1 Sa. xvii. 12. [The money] should go according to its true value. Locke. 4. To proceed or happen in a given manner; to fare; to move on or be carried on; to have course; to come to an issue or result; to succeed; to turn out. How goes the night, boy Shak. I think, as the world goes, he was a good sort of man enough. Arbuthnot. Whether the cause goes for me or against me, you must pay me the reward. I Watts. 5. To proceed or tend toward a result, consequence, or product; to tend; to conduce; to be an ingredient; to avail; to apply; to contribute; -- often with the infinitive; as, this goes to show. Against right reason all your counsels go. Dryden. To master the foul flend there goeth some complement knowledge of theology. Sir W. Scott. 6. To apply one's self; to set one's self; to undertake. Seeing himself confronted by so many, like a resolute orator, he went not to denial, but to justify his cruel falsehood. Sir P. Sidney. Note: Go, in this sense, is often used in the present participle with the auxiliary verb to be, before an infinitive, to express a future of intention, or to denote design; as, I was going to say; I am going to begin harvest. 7. To proceed by a mental operation; to pass in mind or by an act of the memory or imagination; -- generally with over or through. By going over all these particulars, you may receive some tolerable satisfaction about this great subject. South. 8. To be with young; to be pregnant; to gestate. The fruit she goes with, I pray for heartily, that it may find Good time, and live. Shak. 9. To move from the person speaking, or from the point whence the action is contemplated; to pass away; to leave; to depart; -- in opposition to stay and come. I will let you go, that ye may sacrifice to the Lord your God; . . . only ye shall not go very far away. Ex. viii. 28. 10. To pass away; to depart forever; to be lost or ruined; to perish; to decline; to decease; to die. By Saint George, he's gone! That spear wound hath our master sped. Sir W. Scott. 11. To reach; to extend; to lead; as, a line goes across the street; his land goes to the river; this road goes to New York. His amorous expressions go no further than virtue may allow. Dryden. 12. To have recourse; to resort; as, to go to law. Note: Go is used, in combination with many prepositions and adverbs, to denote motion of the kind indicated by the preposition or adverb, in which, and not in the verb, lies the principal force of the expression; as, to go against to go into, to go out, to go aside, to go astray, etc. Go to, come; move; go away; -- a phrase of exclamation, serious or ironical. -- To go a-begging, not to be in demand; to be undesired. -- To go about. (a) To set about; to enter upon a scheme of action; to undertake. \"They went about to slay him.\" Acts ix. 29. They never go about . . . to hide or palliate their vices. Swift. (b) (Naut.) To tack; to turn the head of a ship; to wear. -- To go abraod. (a) To go to a foreign country. (b) To go out of doors. (c) To become public; to be published or disclosed; to be current. Then went this saying abroad among the brethren. John xxi. 23. -- To go against. (a) To march against; to attack. (b) To be in opposition to; to be disagreeable to. -- To go ahead. (a) To go in advance. (b) To go on; to make progress; to proceed. -- To go and come. See To come and go, under Come. -- To go aside. (a) To withdraw; to retire. He . . . went aside privately into a desert place. Luke. ix. 10. (b) To go from what is right; to err. Num. v. 29.-- To go back on. (a) To retrace (one's path or footsteps). (b) To abandon; to turn against; to betray. [Slang, U. S.] -- To go below (Naut), to go below deck. -- To go between, to interpose or mediate between; to be a secret agent between parties; in a bad sense, to pander. -- To go beyond. See under Beyond. -- To go by, to pass away unnoticed; to omit. -- To go by the board (Naut.), to fall or be carried overboard; as, the mast went by the board. -- To go down. (a) To descend. (b) To go below the horizon; as, the sun has gone down. (c) To sink; to founder; -- said of ships, etc. (d) To be swallowed; -- used literally or figuratively. [Colloq.] Nothing so ridiculous, . . . but it goes down whole with him for truth. L' Estrange. -- To go far. (a) To go to a distance. (b) To have much weight or influence. -- To go for. (a) To go in quest of. (b) To represent; to pass for. (c) To favor; to advocate. (d) To attack; to assault. [Low] (e) To sell for; to be parted with for (a price). -- To go for nothing, to be parted with for no compensation or result; to have no value, efficacy, or influence; to count for nothing. -- To go forth. (a) To depart from a place. (b) To be divulged or made generally known; to emanate. The law shall go forth of Zion, and the word of the Lord from Jerusalem. Micah iv. 2. -- To go hard with, to trouble, pain, or endanger. -- To go in, to engage in; to take part. [Colloq.] -- To go in and out, to do the business of life; to live; to have free access. John x. 9. -- To go in for. [Colloq.] (a) To go for; to favor or advocate (a candidate, a measure, etc.). (b) To seek to acquire or attain to (wealth, honor, preferment, etc.) (c) To complete for (a reward, election, etc.). (d) To make the object of one's labors, studies, etc. He was as ready to go in for statistics as for anything else. Dickens. -- To go in to or unto. (a) To enter the presence of. Esther iv. 16.(b) To have sexual intercourse with. [Script.] -- To go into. (a) To speak of, investigate, or discuss (a question, subject, etc.). (b) To participate in (a war, a business, etc.). -- To go large. (Naut) See under Large. -- To go off. (a) To go away; to depart. The leaders . . . will not go off until they hear you. Shak. (b) To cease; to intermit; as, this sickness went off. (c) To die. Shak. (d) To explode or be discharged; -- said of gunpowder, of a gun, a mine, etc. (e) To find a purchaser; to be sold or disposed of. (f) To pass off; to take place; to be accomplished. The wedding went off much as such affairs do. Mrs. Caskell. -- To go on. (a) To proceed; to advance further; to continue; as, to go on reading. (b) To be put or drawn on; to fit over; as, the coat will not go on. -- To go all fours, to correspond exactly, point for point. It is not easy to make a simile go on all fours. Macaulay. -- To go out. (a) To issue forth from a place. (b) To go abroad; to make an excursion or expedition. There are other men fitter to go out than I. Shak. What went ye out for to see Matt. xi. 7, 8, 9. (c) To become diffused, divulged, or spread abroad, as news, fame etc. (d) To expire; to die; to cease; to come to an end; as, the light has gone out. Life itself goes out at thy displeasure. Addison. -- To go over. (a) To traverse; to cross, as a river, boundary, etc.; to change sides. I must not go over Jordan. Deut. iv. 22. Let me go over, and see the good land that is beyond Jordan. Deut. iii. 25. Ishmael . . . departed to go over to the Ammonites. Jer. xli. 10. (b) To read, or study; to examine; to review; as, to go over one's accounts. If we go over the laws of Christianity, we shall find that . . . they enjoin the same thing. Tillotson. (c) To transcend; to surpass. (d) To be postponed; as, the bill went over for the session. (e) (Chem.) To be converted (into a specified substance or material); as, monoclinic sulphur goes over into orthorhombic, by standing; sucrose goes over into dextrose and levulose. -- To go through. (a) To accomplish; as, to go through a work. (b) To suffer; to endure to the end; as, to go through a surgical operation or a tedious illness. (c) To spend completely; to exhaust, as a fortune. (d) To strip or despoil (one) of his property. [Slang] (e) To botch or bungle a business. [Scot.] -- To go through with, to perform, as a calculation, to the end; to complete. -- To go to ground. (a) To escape into a hole; -- said of a hunted fox. (b) To fall in battle. -- To go to naught (Colloq.), to prove abortive, or unavailling. -- To go under. (a) To set; -- said of the sun. (b) To be known or recognized by (a name, title, etc.). (c) To be overwhelmed, submerged, or defeated; to perish; to succumb. -- To go up, to come to nothing; to prove abortive; to fail. [Slang] -- To go upon, to act upon, as a foundation or hypothesis. -- To go with. (a) To accompany. (b) To coincide or agree with. (c) To suit; to harmonize with. -- To go (well, ill, or hard) with, to affect (one) in such manner. -- To go without, to be, or to remain, destitute of. -- To go wrong. (a) To take a wrong road or direction; to wander or stray. (b) To depart from virtue. (c) To happen unfortunately. (d) To miss success. -- To let go, to allow to depart; to quit one's hold; to release.\n\n1. To take, as a share in an enterprise; to undertake or become responsible for; to bear a part in. They to go equal shares in the booty. L'Estrange. 2. To bet or wager; as, I'll go you a shilling. [Colloq.] To go halves, to share with another equally. -- To go it, to behave in a wild manner; to be uproarious; to carry on; also, to proceed; to make progress. [Colloq.] -- To go it alone (Card Playing), to play a hand without the assistance of one's partner. -- To go it blind. (a) To act in a rash, reckless, or headlong manner. [Slang] (b) (Card Playing) To bet without having examined the cards. -- To go one's way, to set forth; to depart.\n\n1. Act; working; operation. [Obs.] So gracious were the goes of marriage. Marston. 2. A circumstance or occurrence; an incident. [Slang] This is a pretty go. Dickens. 3. The fashion or mode; as, quite the go. [Colloq.] 4. Noisy merriment; as, a high go. [Colloq.] 5. A glass of spirits. [Slang] 6. Power of going or doing; energy; vitality; perseverance; push; as, there is no go in him. [Colloq.] 7. (Cribbage)  That condition in the course of the game when a player can not lay down a card which will not carry the aggregate count above thirty-one. Great go, Little go, the final and the preliminary examinations for a degree. [Slang, Eng. Univ.] -- No go, a failure; a fiasco. [Slang] Thackeray. -- On the go, moving about; unsettled. [Colloq.]
go-between |An intermediate agent; a broker; a procurer; -- usually in a disparaging sense. Shak.
go-by |A passing without notice; intentional neglect; thrusting away; a shifting off; adieu; as, to give a proposal the go-by. Some songs to which we have given the go-by. Prof. Wilson.
go-devil |(a) A weight which is dropped into a bore, as of an oil well, to explode a cartridge previously lowered. (b) A device, as a loosely fitted plug, which is driven through a pipe by the pressure of the contents behind the plug to clear away obstructions. (c) A rough sled or dray used for dragging logs, hauling stone, etc. [Local, U. S.]
go-out |A sluice in embankments against the sea, for letting out the land waters, when the tide is out. [Written also gowt.]
goa |A species of antelope (Procapra picticauda), inhabiting Thibet.
goa powder |A bitter powder (also called araroba) found in the interspaces of the wood of a Brazilian tree (Andira araroba) and used as a medicine. It is the material from which chrysarobin is obtained.
goad |A pointed instrument used to urge on a beast; hence, any necessity that urges or stimulates. The daily goad urging him to the daily toil. Macaulay.\n\nTo prick; to drive with a goad; hence, to urge forward, or to rouse by anything pungent, severe, irritating, or inflaming; to stimulate. That temptation that doth goad us on. Shak. Syn. -- To urge; stimulate; excite; arouse; irritate; incite; instigate.
goaf |That part of a mine from which the mineral has been partially or wholly removed; the waste left in old workings; -- called also gob . To work the goaf or gob, to remove the pillars of mineral matter previously left to support the roof, and replace them with props. Ure.
goal |1. The mark set to bound a race, and to or around which the constestants run, or from which they start to return to it again; the place at which a race or a journey is to end. Part curb their fiery steeds, or shun the goal With rapid wheels. Milton. 2. The final purpose or aim; the end to which a design tends, or which a person aims to reach or attain. Each individual seeks a several goal. Pope. 3. A base, station, or bound used in various games; in football, a line between two posts across which the ball must pass in order to score; also, the act of kicking the ball over the line between the goal posts. Goal keeper, the player charged with the defense of the goal.
goar |Same as lst Gore.
goarish |Patched; mean. [Obs.] Beau. & Fl.
goat |A hollow-horned ruminant of the genus Capra, of several species and varieties, esp. the domestic goat (C. hircus), which is raised for its milk, flesh, and skin. Note: The Cashmere and Angora varieties of the goat have long, silky hair, used in the manufacture of textile fabrics. The wild or bezoar goat (Capra ægagrus), of Asia Minor, noted for the bezoar stones found in its stomach, is supposed to be one of the ancestral species ofthe domestic goat. The Rocky Montain goat (Haplocercus montanus) is more nearly related to the antelopes. See Mazame. Goat antelope (Zoöl), one of several species of antelopes, which in some respects resemble a goat, having recurved horns, a stout body, large hoofs, and a short, flat tail, as the goral, thar, mazame, and chikara. -- Goat fig (Bot.), the wild fig. -- Goat house. (a) A place for keeping goats. (b) A brothel. [Obs.] -- Goat moth (Zoöl.), any moth of the genus Cossus, esp. the large European species (C. ligniperda), the larva of which burrows in oak and willow trees, and requires three years to mature. It exhales an odor like that of the he-goat. -- Goat weed (Bot.), a scrophulariaceous plant, of the genus Capraria (C. biflora). -- Goat's bane (Bot.), a poisonous plant (Aconitum Lucoctonum), bearing pale yellow flowers, introduced from Switzerland into England; wolfsbane. -- Goat's beard (Bot.), a plant of the genus Tragopogon; -- so named from the long silky beard of the seeds. One species is the salsify or oyster plant. -- Goat's foot (Bot.), a kind of wood sorrel (Oxalis caprina) growing at the Cape of Good Hope. -- Goat's rue (Bot.), a leguminous plant (Galega officinalis of Europe, or Tephrosia Virginiana in the United States). -- Goat's thorn (Bot.), a thorny leguminous plant (Astragalus Tragacanthus), found in the Levant. -- Goat's wheat (Bot.), the genus Tragopyrum (now referred to Atraphaxis).
goatee |A part of a man's beard on the chin or lower lip which is allowed to grow, and trimmed so as to resemble the beard of a goat.
goatfish |A fish of the genus Upeneus, inhabiting the Gulf of Mexico. It is allied to the surmullet.
goatherd |One who tends goats. Spenser.
goatish |Characteristic of a goat; goatlike. Give your chaste body up to the embraces Of goatish lust. Massinger. -- Goat\"ish*ly, adv. -- Goat\"ish*ness, n.
goatlike |Like a goat; goatish.
goatskin |The skin of a goat, or leather made from it. -- a.  Made of the skin of a goat.
goatsucker |One of several species of insectivorous birds, belonging to Caprimulgus and allied genera, esp. the European species (Caprimulgus Europæus); -- so called from the mistaken notion that it sucks goats. The European species is also goat-milker, goat owl, goat chaffer, fern owl, night hawk, nightjar, night churr, churr-owl, gnat hawk, and dorhawk .
goaves |Old workings. See Goaf. Raymond.
gob |Same as Goaf.\n\n1. A little mass or collection; a small quantity; a mouthful. [Low] L'Estrange. 2. The mouth. [Prov. Eng.or Low] Wright.
gobang |A Japanese game, played on a checkerboard, in which the object of the game is to be the first in placing five pieces, or men, in a row in any direction.
gobbet |A mouthful; a lump; a small piece. Spenser. [He] had broken the stocks to small gobbets. Wyclif.\n\nTo swallow greedily; to swallow in gobbets. [Low] L'Estrange.
gobbetly |In pieces. [Obs.] Huloet.
gobbing |(a) The refuse thrown back into the excavation after removing the coal. It is called also gob stuff. Brande & C. (b) The process of packing with waste rock; stowing.
gobble |1. To swallow or eat greedily or hastily; to gulp. Supper gobbled up in haste. Swift. 2. To utter (a sound) like a turkey cock. He . . . gobbles out a note of self-approbation. Goldsmith. To gobble up, to capture in a mass or in masses; to capture suddenly. [Slang]\n\n1. To eat greedily. 2. To make a noise like that of a turkey cock. Prior.\n\nA noise made in the throat. Ducks and geese . . . set up a discordant gobble. Mrs. Gore.
gobbler |A turkey cock; a bubbling Jock.
gobelin |Pertaining to tapestry produced in the so-called Gobelin works, which have been maintained by the French Government since 1667.
gobemouche |Literally, a fly swallower; hence, once who keeps his mouth open; a boor; a silly and credulous person.
gobet |See Gobbet. [Obs.] Chaucer.
gobioid |Like, or pertaining to, the goby, or the genus Gobius. -- n.  A gobioid fish.
goblet |A kind of cup or drinking vessel having a foot or standard, but without a handle. We love not loaded boards and goblets crowned. Denham.
goblin |An evil or mischievous spirit; a playful or malicious elf; a frightful phantom; a gnome. To whom the goblin, full of wrath, replied. Milton.
gobline |One of the ropes or chains serving as stays for the dolphin striker or the bowsprit; -- called also gobrope and gaubline.
goblinize |To transform into a goblin. [R.] Lowell.
gobstick |1. (Angling)  A stick or device for removing the hook from a fish's gullet. He . . . wrenched out the hook with the short wooden stick he called a \"gobstick.\" Kipling. 2.  A spoon. [Prov. Eng. or Slang]
goby |One of several species of small marine fishes of the genus Gobius and allied genera.
gocart |A framework moving on casters, designed to support children while learning to walk.
god |Good. [Obs.] Chaucer.\n\n1. A being conceived of as possessing supernatural power, and to be propitiated by sacrifice, worship, etc.; a divinity; a deity; an object of worship; an idol. He maketh a god, and worshipeth it. Is. xliv. 15. The race of Israel . . . bowing lowly down To bestial gods. Milton. 2. The Supreme Being; the eternal and infinite Spirit, the Creator, and the Sovereign of the universe; Jehovah. God is a Spirit; and they that worship him must worship him in spirit and in truth. John iv. 24. 3. A person or thing deified and honored as the chief good; an object of supreme regard. Whose god is their belly. Phil. iii. 19. 4. Figuratively applied to one who wields great or despotic power. [R.] Shak. Act of God. (Law) See under Act. -- Gallery gods, the occupants of the highest and cheapest gallery of a theater. [Colloq.] -- God's acre, God's field, a burial place; a churchyard. See under Acre. -- God's house. (a) An almshouse. [Obs.] (b) A church. -- God's penny, earnest penny. [Obs.] Beau. & Fl. -- God's Sunday, Easter.\n\nTo treat as a god; to idolize. [Obs.] Shak.
god-fearing |Having a reverential and loving feeling towards God; religious. A brave good-fearing man. Tennyson.
godchild |One for whom a person becomes sponsor at baptism, and whom he promises to see educated as a Christian; a godson or goddaughter. See Godfather.
goddaughter |A female for whom one becomes sponsor at baptism.
goddess |1. A female god; a divinity, or deity, of the female sex. When the daughter of Jupiter presented herself among a crowd of goddesses, she was distinguished by her graceful stature and superior beauty. Addison. 2. A woman of superior charms or excellence.
gode |Good. [Obs.] Chaucer.
gode-year |The venereal disease; -- often used as a mild oath. [Obs.] Shak.
godelich |Goodly. [Obs.] Chaucer.
godfather |A man who becomes sponsor for a child at baptism, and makes himself a surety for its Christian training and instruction. There shall be for every Male-child to be baptized, when they can be had, two Godfathers and one Godmother; and for every Female, one Godfather and two Godmothers; and Parents shall be admitted as Sponsors, if it is desired. Book of Common Prayer (Prot. Episc. Ch., U. S. ).\n\nTo act as godfather to; to take under one's fostering care. [R.] Burke.
godhead |1. Godship; deity; divinity; divine nature or essence; godhood. 2. The Deity; God; the Supreme Being. The imperial throne Of Godhead, fixed for ever. Milton. 3. A god or goddess; a divinity. [Obs.] Adoring first the genius of the place, The nymphs and native godheads yet unknown. Dryden.
godhood |Divine nature or essence; deity; godhead.
godild |A corruption of God yield, i. e., God reward or bless. Shak.
godless |Having, or acknowledging, no God; without reverence for God; impious; wicked. -- God\"less*ly, adv. -- God\"less*ness, n.
godlike |Resembling or befitting a god or God; divine; hence, preeminently good; as, godlike virtue. -- God\"like`ness, n.
godlily |Righteously. H. Wharton.
godliness |Careful observance of, or conformity to, the laws of God; the state or quality of being godly; piety. Godliness is profitable unto all things. 1 Tim. iv. 8.
godling |A diminutive god. Dryden.
godly |Pious; reverencing God, and his character and laws; obedient to the commands of God from love for, and reverence of, his character; conformed to God's law; devout; righteous; as, a godly life. For godly sorrow worketh repentance. 2 Cor. vii. 10.\n\nPiously; devoutly; righteously. All that will live godly in Christ Jesus shall suffer persecution. 2. Tim. iii. 12.
godlyhead |Goodness. [Obs.] Spenser.
godmother |A woman who becomes sponsor for a child in baptism. See Godfather
godown |A warehouse. [East Indies]
godroon |An ornament produced by notching or carving a rounded molding.
godsend |Something sent by God; an unexpected acquisiton or piece of good fortune.
godship |The rank or character of a god; deity; divinity; a god or goddess. O'er hills and dales their godships came. Prior.
godsib |A gossip. [Obs.] Chaucer.
godson |A male for whom one has stood sponsor in baptism. See Godfather.
godspeed |Success; prosperous journeying; -- a contraction of the phrase, \"God speed you.\" [Written also as two separate words.] Receive him not into house, neither bid him God speed. 2 John 10.
godward |Toward God. 2 Cor. iii. 4.
godwit |One of several species of long-billed, wading birds of the genus Limosa, and family Tringidæ. The European black-tailed godwit (Limosa limosa), the American marbled godwit (L. fedoa), the Hudsonian godwit (L. hæmastica), and others, are valued as game birds. Called also godwin.
goel |Yellow. [Obs.] Tusser.
goeland |A white tropical tern (Cygis candida).
goemin |A complex mixture of several substances extracted from Irish moss.
goen |p. p. of Go. [Obs.]
goer |One who, or that which, goes; a runner or walker; as: (a) A foot. [Obs.] Chapman. (b) A horse, considered in reference to his gait; as, a good goer; a safe goer. This antechamber has been filled with comers and goers. Macaulay.
goethite |A hydrous oxide of iron, occurring in prismatic crystals, also massive, with a fibrous, reniform, or stalactitic structure. The color varies from yellowish to blackish brown.
goety |Invocation of evil spirits; witchcraft. [Obs.] Hallywell.
goff |A silly clown. [Prov. Eng.] Halliwell.\n\nA game. See Golf. [Scot.] Halliwell.
goffer |To plait, flute, or crimp. See Gauffer. Clarke.
gog |Haste; ardent desire to go. [Obs.] Beau. & Fl.
goggle |To roll the eyes; to stare. And wink and goggle like an owl. Hudibras.\n\nFull and rolling, or staring; -- said of the eyes. The long, sallow vissage, the goggle eyes. Sir W. Scott.\n\n1. A strained or affected rolling of the eye. 2. pl. (a) A kind of spectacles with short, projecting eye tubes, in the front end of which are fixed plain glasses for protecting the eyes from cold, dust, etc. (b) Colored glasses for relief from intense light. (c) A disk with a small aperture, to direct the sight forward, and cure squinting. (d) Any screen or cover for the eyes, with or without a slit for seeing through.
goggle-eye |(a) One of two or more species of American fresh-water fishes of the family Centrarchidæ, esp. Chænobryttus antistius, of Lake Michigan and adjacent waters, and Ambloplites rupestris, of the Great Lakes and Mississippi Valley; -- so called from their prominent eyes. (b) The goggler.
goggle-eyed |Having prominent and distorted or rolling eyes. Ascham.
goggled |Prominent; staring, as the eye.
goggler |A carangoid oceanic fish (Trachurops crumenophthalmus), having very large and prominent eyes; -- called also goggle-eye, big-eyed scad, and cicharra.
goglet |See Gurglet.
going |1. The act of moving in any manner; traveling; as, the going is bad. 2. Departure. Milton. 3. Pregnancy; gestation; childbearing. Crew. 4. pl.  Course of life; behavior; doings; ways. His eyes are upon the ways of man, and he seeth all his goings. Job xxxiv. 21. Going barrel. (Horology) (a) A barrel containing the mainspring, and having teeth on its periphery to drive the train. (b) A device for maintaining a force to drive the train while the timepiece is being wound up. -- Going forth. (Script.) (a) Outlet; way of exit. \"Every going forth of the sanctuary.\" Ezek. xliv. 5. (b) A limit; a border. \"The going forth thereof shall be from the south to Kadesh-barnea.\" Num. xxxiv. 4. -- Going out, or Goings out. (Script.) (a) The utmost extremity or limit. \"The border shall go down to Jordan, and the goings out of it shall be at the salt sea.\" Num. xxxiv. 12. (b) Departure or journeying. \"And Moses wrote their goings out according to their journeys.\" Num. xxxiii. 2. -- Goings on, behavior; actions; conduct; -- usually in a bad sense.
goiter |An enlargement of the thyroid gland, on the anterior part of the neck; bronchocele. It is frequently associated with cretinism, and is most common in mountainous regions, especially in certain parts of Switzerland.
goitered |Affected with goiter.
goitre |An enlargement of the thyroid gland, on the anterior part of the neck; bronchocele. It is frequently associated with cretinism, and is most common in mountainous regions, especially in certain parts of Switzerland.
goitred |Affected with goiter.
goitrous |Pertaining to the goiter; affected with the goiter; of the nature of goiter or bronchocele. Let me not be understood as insinuating that the inhabitants in general are either goitrous or idiots. W. Coxe.
gold |An old English name of some yellow flower, -- the marigold (Calendula), according to Dr. Prior, but in Chaucer perhaps the turnsole.\n\n1. (Chem.)  A metallic element, constituting the most precious metal used as a common commercial medium of exchange. It has a characteristic yellow color, is one of the heaviest substances known (specific gravity 19.32), is soft, and very malleable and ductile. It is quite unalterable by heat, moisture, and most corrosive agents, and therefore well suited for its use in coin and jewelry. Symbol Au (Aurum). Atomic weight 196.7. Note: Native gold contains usually eight to ten per cent of silver, but often much more. As the amount of silver increases, the color becomes whiter and the specific gravity lower. Gold is very widely disseminated, as in the sands of many rivers, but in very small quantity. It usually occurs in quartz veins (gold quartz), in slate and metamorphic rocks, or in sand and alluvial soil, resulting from the disintegration of such rocks. It also occurs associated with other metallic substances, as in auriferous pyrites, and is combined with tellurium in the minerals petzite, calaverite, sylvanite, etc. Pure gold is too soft for ordinary use, and is hardened by alloying with silver and copper, the latter giving a characteristic reddish tinge. [See Carat.] Gold also finds use in gold foil, in the pigment purple of Cassius, and in the chloride, which is used as a toning agent in photography. 2. Money; riches; wealth. For me, the gold of France did not seduce. Shak. 3. A yellow color, like that of the metal; as, a flower tipped with gold. 4. Figuratively, something precious or pure; as, hearts of gold. Shak. Age of gold. See Golden age, under Golden. -- Dutch gold, Fool's gold, Gold dust, etc. See under Dutch, Dust, etc. -- Gold amalgam, a mineral, found in Columbia and California, composed of gold and mercury. -- Gold beater, one whose occupation is to beat gold into gold leaf. -- Gold beater's skin, the prepared outside membrane of the large intestine of the ox, used for separating the leaves of metal during the process of gold-beating. -- Gold beetle (Zoöl.), any small gold-colored beetle of the family Chrysomelidæ; -- called also golden beetle. -- Gold blocking, printing with gold leaf, as upon a book cover, by means of an engraved block. Knight. -- Gold cloth. See Cloth of gold, under Cloth. -- Gold Coast, a part of the coast of Guinea, in West Africa. -- Gold cradle. (Mining) See Cradle, n., 7. -- Gold diggings, the places, or region, where gold is found by digging in sand and gravel from which it is separated by washing. -- Gold end, a fragment of broken gold or jewelry. -- Gold-end man. (a) A buyer of old gold or jewelry. (b) A goldsmith's apprentice. (c) An itinerant jeweler. \"I know him not: he looks like a gold-end man.\" B. Jonson. -- Gold fever, a popular mania for gold hunting. -- Gold field, a region in which are deposits of gold. -- Gold finder. (a) One who finds gold. (b) One who empties privies. [Obs. & Low] Swift. -- Gold flower, a composite plant with dry and persistent yellow radiating involucral scales, the Helichrysum Stoechas of Southern Europe. There are many South African species of the same genus. -- Gold foil, thin sheets of gold, as used by dentists and others. See Gold leaf. -- Gold knobs or knoppes (Bot.), buttercups. -- Gold lace, a kind of lace, made of gold thread. -- Gold latten, a thin plate of gold or gilded metal. -- Gold leaf, gold beaten into a film of extreme thinness, and used for gilding, etc. It is much thinner than gold foil. -- Gold lode (Mining), a gold vein. -- Gold mine, a place where gold is obtained by mining operations, as distinguished from diggings, where it is extracted by washing. Cf. Gold diggings (above). -- Gold nugget, a lump of gold as found in gold mining or digging; - - called also a pepito. -- Gold paint. See Gold shell. -- Gold or Golden, pheasant. (Zoöl.) See under Pheasant. -- Gold plate, a general name for vessels, dishes, cups, spoons, etc., made of gold. -- Gold of pleasure. Etym: [Name perhaps translated from Sp. oro-de- alegria.] (Bot.) A plant of the genus Camelina, bearing yellow flowers. C. sativa is sometimes cultivated for the oil of its seeds. -- Gold shell. (a) A composition of powdered gold or gold leaf, ground up with gum water and spread on shells, for artists' use; -- called also gold paint. (b) (Zoöl.) A bivalve shell (Anomia glabra) of the Atlantic coast; -- called also jingle shell and silver shell. See Anomia. -- Gold size, a composition used in applying gold leaf. -- Gold solder, a kind of solder, often containing twelve parts of gold, two of silver, and four of copper. -- Gold stick, the colonel of a regiment of English lifeguards, who attends his sovereign on state occasions; -- so called from the gilt rod presented to him by the sovereign when he receives his commission as colonel of the regiment. [Eng.] -- Gold thread. (a) A thread formed by twisting flatted gold over a thread of silk, with a wheel and iron bobbins; spun gold. Ure. (b) (Bot.) A small evergreen plant (Coptis trifolia), so called from its fibrous yellow roots. It is common in marshy places in the United States. -- Gold tissue, a tissue fabric interwoven with gold thread. -- Gold tooling, the fixing of gold leaf by a hot tool upon book covers, or the ornamental impression so made. -- Gold washings, places where gold found in gravel is separated from lighter material by washing. -- Gold worm, a glowworm. [Obs.] -- Jeweler's gold, an alloy containing three parts of gold to one of copper. -- Mosaic gold. See under Mosaic.
gold-beaten |Gilded. [Obs.]
gold-beating |The art or process of reducing gold to extremely thin leaves, by beating with a hammer. Ure.
gold-bound |Encompassed with gold.
gold-hammer |The yellow-hammer.
goldcrest |The European golden-crested kinglet (Regulus cristatus, or R. regulus); -- called also golden-crested wren, and golden wren. The name is also sometimes applied to the American golden-crested kinglet. See Kinglet.
goldcup |The cuckoobud.
golde |An old English name of some yellow flower, -- the marigold (Calendula), according to Dr. Prior, but in Chaucer perhaps the turnsole.
