cystoidea |Same as Cystidea.
dash |1. To throw with violence or haste; to cause to strike violently or hastily; -- often used with against. If you dash a stone against a stone in the botton of the water, it maketh a sound. Bacon. 2. To break, as by throwing or by collision; to shatter; to crust; to frustrate; to ruin. Thou shalt dash them in pieces like a potter's vessel. Ps. ii. 9. A brave vessel, . . . Dashed all to pieces. Shak. To perplex and dash Maturest counsels. Milton. 3. To put to shame; to confound; to confuse; to abash; to depress. South. Dash the proud gamesPope. 4. To throw in or on in a rapid, careless manner; to mix, reduce, or adulterate, by throwing in something of an inferior quality; to overspread partially; to bespatter; to touch here and there; as, to dash wine with water; to dash paint upon a picture. I take care to dash the character with such particular circumstance as may prevent ill-natured applications. Addison. The very source and fount of day Is dashed with wandering isles of night. Tennyson. 5. To form or sketch rapidly or carelessly; to execute rapidly, or with careless haste; -- with off; as, to dash off a review or sermon. 6. To erase by a stroke; to strike out; knock out; -- with out; as, to dash out a word.\n\nTo rust with violence; to move impetuously; to strike violently; as, the waves dash upon rocks. [He] dashed through thick and thin. Dryden. On each hand the gushing waters play, And down the rough cascade all dashing fall. Thomson.\n\n1. Violent striking together of two bodies; collision; crash. 2. A sudden check; abashment; frustration; ruin; as, his hopes received a dash. 3. A slight admixture, infusion, or adulteration; a partial overspreading; as, wine with a dash of water; red with a dash of purple. Innocence when it has in it a dash of folly. Addison. 4. A rapid movement, esp. one of short duration; a quick stroke or blow; a sudden onset or rush; as, a bold dash at the enemy; a dash of rain. She takes upon her bravely at first dash. Shak. 5. Energy in style or action; animation; spirit. 6. A vain show; a blustering parade; a flourish; as, to make or cut a great dash. [Low] 7. (Punctuation)  A mark or line [--], in writing or printing, denoting a sudden break, stop, or transition in a sentence, or an abrupt change in its construction, a long or significant pause, or an unexpected or epigrammatic turn of sentiment. Dashes are also sometimes used instead of marks or parenthesis. John Wilson. 8. (Mus.) (a) The sign of staccato, a small mark [. (b) The line drawn through a figure in the thorough bass, as a direction to raise the interval a semitone. 9. (Racing)  A short, spirited effort or trial of speed upon a race course; -- used in horse racing, when a single trial constitutes the race.
dashboard |1. A board placed on the fore part of a carriage, sleigh, or other vechicle, to intercept water, mud, or snow, thrown up by the heels of the horses; -- in England commonly called splashboard. 2. (Naut.) (a) The float of a paddle wheel. (b) A screen at the bow af a steam launch to keep off the spray; -- called also sprayboard.
dasheen |A tropical aroid (of the genus Caladium, syn. Colocasia) having an edible farinaceous root. It is related to the taro and to the tanier, but is much superior to it in quality and is as easily cooked as the potato. It is a staple food plant of the tropics, being prepared like potatoes, and has been introduced into the Southern United States.
dasher |1. That which dashes or agitates; as, the dasher of a churn. 2. A dashboard or splashboard. [U. S.] 3. One who makes an ostentatious parade. [Low]
dashing |Bold; spirited; showy. The dashing and daring spirit is preferable to the listless. T. Campbell.
dashingly |Conspicuously; showily. [Colloq.] A dashingly dressed gentleman. Hawthorne.
dashism |The character of making ostentatious or blustering parade or show. [R. & Colloq.] He must fight a duel before his claim to . . . dashism can be universally allowed. V. Knox.
dashpot |A pneumatic or hydraulic cushion for a falling weight, as in the valve gear of a steam engine, to prevent shock. Note: It consists of a chamber, containing air or a liquid, in which a piston (a), attached to the weight, falls freely until it enters a space (as below the openings, b) from which the air or liquid can escape but slowly (as through cock c), when its fall is gradually checked. Note: A cataract of an engine is sometimes called a dashpot.
dashy |Calculated to arrest attention; ostentatiously fashionable; showy. [Colloq.]
dastard |One who meanly shrinks from danger; an arrant coward; a poltroon. You are all recreants and dashtards, and delight to live in slavery to the nobility. Shak.\n\nMeanly shrinking from danger; cowardly; dastardly. \"Their dastard souls.\" Addison.\n\nTo dastardize. [R.] Dryden.
dastardize |To make cowardly; to intimidate; to dispirit; as, to dastardize my courage. Dryden.
dastardliness |The quality of being dastardly; cowardice; base fear.
dastardly |Meanly timid; cowardly; base; as, a dastardly outrage.
dastardness |Dastardliness.
dastardy |Base timidity; cowardliness.
daswe |See Dasewe [Obs.] Chaucer.
dasymeter |An instrument for testing the density of gases, consisting of a thin glass globe, which is weighed in the gas or gases, and then in an atmosphere of known density.
dasypaedal |Dasypædic.
dasypaedes |Those birds whose young are covered with down when hatched.
dasypaedic |Pertaining to the Dasypædes; ptilopædic.
dasyure |A carnivorous marsupial quadruped of Australia, belonging to the genus Dasyurus. There are several species.
dasyurine |Pertaining to, or like, the dasyures.
data |See Datum.
datable |That may be dated; having a known or ascertainable date. \"Datable almost to a year.\" The Century.
dataria |Formerly, a part of the Roman chancery; now, a separate office from which are sent graces or favors, cognizable in foro externo, such as appointments to benefices. The name is derived from the word datum, given or dated (with the indications of the time and place of granting the gift or favor).
datary |1. (R. C. Ch.)  An officer in the pope's court, having charge of the Dataria. 2. The office or employment of a datary.
date |The fruit of the date palm; also, the date palm itself. Note: This fruit is somewhat in the shape of an olive, containing a soft pulp, sweet, esculent, and wholesome, and inclosing a hard kernel. Date palm, or Date tree (Bot.), the genus of palms which bear dates, of which common species is Phoenix dactylifera. See Illust. -- Date plum (Bot.), the fruit of several species of Diospyros, including the American and Japanese persimmons, and the European lotus (D. Lotus). -- Date shell, or Date fish (Zoöl.), a bivalve shell, or its inhabitant, of the genus Pholas, and allied genera. See Pholas.\n\n1. That addition to a writing, inscription, coin, etc., which specifies the time (as day, month, and year) when the writing or inscription was given, or executed, or made; as, the date of a letter, of a will, of a deed, of a coin. etc. And bonds without a date, they say, are void. Dryden. 2. The point of time at which a transaction or event takes place, or is appointed to take place; a given point of time; epoch; as, the date of a battle. He at once, Down the long series of eventful time, So fixed the dates of being, so disposed To every living soul of every kind The field of motion, and the hour of rest. Akenside. 3. Assigned end; conclusion. [R.] What Time would spare, from Steel receives its date. Pope. 4. Given or assigned length of life; dyration. [Obs.] Good luck prolonged hath thy date. Spenser. Through his life's whole date. Chapman. To bear date, to have the date named on the face of it; -- said of a writing.\n\n1. To note the time of writing or executing; to express in an instrument the time of its execution; as, to date a letter, a bond, a deed, or a charter. 2. To note or fix the time of, as of an event; to give the date of; as, to date the building of the pyramids. Note: We may say dated at or from a place. The letter is dated at Philadephia. G. T. Curtis. You will be suprised, I don't question, to find among your correspondencies in foreign parts, a letter dated from Blois. Addison. In the countries of his jornal seems to have been written; parts of it are dated from them. M. Arnold.\n\nTo have beginning; to begin; to be dated or reckoned; -- with from. The Batavian republic dates from the successes of the French arms. E. Everett.
date line |The hypothetical line on the surface of the earth fixed by international or general agreement as a boundary on one side of which the same day shall have a different name and date in the calendar from its name and date on the other side. Speaking generally, the date line coincides with the meridian 180º from Greenwich. It deflects between north latitudes 80º and 45º, so that all Asia lies to the west, all North America, including the Aleutian Islands, to the east of the line; and between south latitudes 12º and 56º, so that Chatham Island and the Tonga group lie to the west of it. A vessel crossing this line to the westward sets the date forward by one day, as from Sunday to Monday. A vessel crossing the line to the eastward sets the date back by one day, as from Monday to Sunday. Hawaii has the same day name as San Francisco; Manila, the same day name as Australia, and this is one day later than the day of Hawaii. Thus when it is Monday May 1st at San Francisco it is Tuesday may 2d at Manila.
dateless |Without date; having no fixed time.
dater |One who dates.
datiscin |A white crystalline glucoside extracted from the bastard hemp (Datisca cannabina).
dative |1. (Gram.)  Noting the case of a noun which expresses the remoter object, and is generally indicated in English by to or for with the objective. 2. (Law) (a) In one's gift; capable of being disposed of at will and pleasure, as an office. (b) Removable, as distinguished from perpetual; -- said of an officer. (c) Given by a magistrate, as distinguished from being cast upon a party by the law. Burril. Bouvier. Dative executor, one appointed by the judge of probate, his office answering to that of an administrator.\n\nThe dative case. See Dative, a., 1.
datively |As a gift. [R.]
datolite |A borosilicate of lime commonly occuring in glassy,, greenish crystals. [Written also datholite.]
datum |1. Something given or admitted; a fact or principle granted; that upon which an inference or an argument is based; -- used chiefly in the plural. Any writer, therefore, who . . . furnishes us with data sufficient to determine the time in which he wrote. Priestley. 2. pl. (Math.)  The quantities or relations which are assumed to be given in any problem. Datum line (Surv.), the horizontal or base line, from which the heights of points are reckoned or measured, as in the plan of a railway, etc.
datura |A genus of solanaceous plants, with large funnel-shaped flowers and a four-celled, capsular fruit. Note: The commonest species are the thorn apple (D. stramonium), with a prickly capsule (see Illust. of capsule), white flowers and green stem, and D. tatula, with a purplish tinge of the stem and flowers. Both are narcotic and dangerously poisonous.
daturine |Atropine; -- called also daturia and daturina.
daub |1. To smear with soft, adhesive matter, as pitch, slime, mud, etc.; to plaster; to bedaub; to besmear. She took for him an ark of bulrushes, and daubed it with slime and with pitch. Ex. ii. 3. 2. To paint in a coarse or unskillful manner. If a picture is daubed with many bright and glaring colors, the vulgar admire it is an excellent piece. I. Watts. A lame, imperfect piece, rudely daubed over. Dryden. 3. To cover with a specious or deceitful exterior; to disguise; to conceal. So smooth he daubed his vice with show of virtue. Shak. 4. To flatter excessively or glossy. [R.] I can safely say, however, that, without any daubing at all, I am very sincerely your very affectionate, humble servant. Smollett. 5. To put on without taste; to deck gaudily. [R.] Let him be daubed with lace. Dryden.\n\nTo smear; to play the flatterer. His conscience . . . will not daub nor flatter. South.\n\n1. A viscous, sticky application; a spot smeared or dabed; a smear. 2. (Paint.)  A picture coarsely executed. Did you . . . take a look at the grand picture . . . 'T is a melancholy daub, my lord. Sterne.
dauber |1. One who, or that which, daubs; especially, a coarse, unskillful painter. 2. (Copperplate Print.)  A pad or ball of rags, covered over with canvas, for inking plates; a dabber. 3. A low and gross flattere. 4. (Zoöl.)  The mud wasp; the mud dauber.
daubery |A daubing; specious coloring; false pretenses. She works by charms, by spells, by the figure, and such daubery as this is. Shak.
daubing |1. The act of one who daubs; that which is daubed. 2. A rough coat of mortar put upon a wall to give it the appearance of stone; rough-cast. 3. In currying, a mixture of fish oil and tallow worked into leather; -- called also dubbing. Knight.
daubreelite |A sulphide of chromium observed in some meteoric irons.
daubry |A daubing; specious coloring; false pretenses. She works by charms, by spells, by the figure, and such daubery as this is. Shak.
dauby |Smeary; viscous; glutinous; adhesive. \"Dauby wax.\",
  "dropmele |By drops or small portions. [Obs.] Distilling dropmeal, a little at once. Holland.
daughter |1. The female offspring of the human species; a female child of any age; -- applied also to the lower animals. 2. A female descendant; a woman. This woman, being a daughter of Abraham. Luke xiii. 16. Dinah, the daughter of Leah, which she bare unto Jacob, went out to see the daughter of the land. Gen. xxxiv. 1. 3. A son's wife; a daughter-in-law. And Naomi said, Turn again, my daughters. Ruth. i. 11. 4. A term of adress indicating parental interest. Daughter, be of good comfort. Matt. ix. 22. Daughter cell (Biol.), one of the cells formed by cell division. See Cell division, under Division.
daughter-in-law |The wife of one's son.
daughterliness |The state of a daughter, or the conduct becoming a daughter.
daughterly |Becoming a daughter; filial. Sir Thomas liked her natural and dear daughterly affection towards him. Cavendish.
dauk |See Dawk, v. t., to cut or gush.
daun |A variant of Dan, a title of honor. [Obs.] Chaucer.
daunt |1. To overcome; to conquer. [Obs.] 2. To repress or subdue the courage of; to check by fear of danger; to cow; to intimidate; to dishearten. Some presences daunt and discourage us. Glanvill. Syn. -- To dismay; appall. See Dismay.
daunter |One who daunts.
dauntless |Incapable of being daunted; undaunted; bold; fearless; intrepid. Dauntless he rose, and to the fight returned. Dryden. -- Daunt\"less*ly, adv. -- Daunt\"less*ness, n.
dauphin |The title of the eldest son of the king of France, and heir to the crown. Since the revolution of 1830, the title has been discontinued.
dauphine |The title of the wife of the dauphin.
dauphiness |The title of the wife of the dauphin.
dauw |The striped quagga, or Burchell's zebra, of South Africa (Asinus Burchellii); -- called also peechi, or peetsi.
davenport |A kind of small writing table, generally somewhat ornamental, and forming a piece of furniture for the parlor or boudoir. A much battered davenport in one of the windows, at which sat a lady writing. A. B. Edwards.
davidic |Of or pertaining to David, the king and psalmist of Israel, or to his family.
davit |(a) A spar formerly used on board of ships, as a crane to hoist the flukes of the anchor to the top of the bow, without injuring the sides of the ship; -- called also the fish davit. (b) pl.  Curved arms of timber or iron, projecting over a ship's side of stern, having tackle to raise or lower a boat, swing it in on deck, rig it out for lowering, etc.; -- called also boat davits. Totten.
davy jones |The spirit of the sea; sea devil; -- a term used by sailors. This same Davy Jones, according to the mythology of sailors, is the fiend that presides over all the evil spirits of the deep, and is seen in various shapes warning the devoted wretch of death and woe. Smollett. Davy Jones's Locker, the ocean, or bottom of the ocean. -- Gone to Davy Jones's Locker, dead, and buried in the sea; thrown overboard.
davy lamp |See Safety lamp, under Lamp.
davyne |A variety of nephelite from Vesuvius.
davyum |A rare metallic element found in platinum ore. It is a white malleable substance. Symbol Da. Atomic weight 154.
daw |A European bird of the Crow family (Corvus monedula), often nesting in church towers and ruins; a jackdaw. The loud daw, his throat displaying, draw The whole assembly of his fellow daws. Waller. Note: The daw was reckoned as a silly bird, and a daw meant a simpleton. See in Shakespeare: -- \"Then thou dwellest with daws too.\" (Coriolanus iv. 5, 1. 47.) Skeat.\n\nTo dawn. [Obs.] See Dawn.\n\n1. To rouse. [Obs.] 2. To daunt; to terrify. [Obs.] B. Jonson.
dawdle |To waste time in trifling employment; to trifle; to saunter. Come some evening and dawdle over a dish of tea with me. Johnson. We . . . dawdle up and down Pall Mall. Thackeray.\n\nTo waste by trifling; as, to dawdle away a whole morning.\n\nA dawdler. Colman & Carrick.
dawdler |One who wastes time in trifling employments; an idler; a trifler.
dawe |Day. [Obs.] Chaucer.
dawish |Like a daw.
dawk |See Dak.\n\nTo cut or mark with an incision; to gash. Moxon.\n\nA hollow, crack, or cut, in timber. Moxon.
dawn |1. To begin to grow light in the morning; to grow light; to break, or begin to appear; as, the day dawns; the morning dawns. In the end of the Sabbath, as it began to dawn toward the first day of the week, came Mary Magdalene . . . to see the sepulcher. Matt. xxviii. 1. 2. To began to give promise; to begin to appear or to expand. \"In dawning youth.\" Dryden. When life awakes, and dawns at every line. Pope. Dawn on our darkness and lend us thine aid. Heber,\n\n1. The break of day; the first appeareance of light in the morning; show of approaching sunrise. And oft at dawn, deep noon, or falling eve. Thomson. No sun, no moon, no morn, no noon, No dawn, no dusk, no proper time of day. Hood. 2. First opening or expansion; first appearance; beginning; rise. \"The dawn of time.\" Thomson. These tender circumstances diffuse a dawn of serenity over the soul. Pope.
dawsonite |A hydrous carbonate of alumina and soda, occuring in white, bladed crustals.
day |1. The time of light, or interval between one night and the next; the time between sunrise and sunset, or from dawn to darkness; hence, the light; sunshine. 2. The period of the earth's revolution on its axis. -- ordinarily divided into twenty-four hours. It is measured by the interval between two successive transits of a celestial body over the same meridian, and takes a specific name from that of the body. Thus, if this is the sun, the day (the interval between two successive transits of the sun's center over the same meridian) is called a solar day; if it is a star, a sidereal day; if it is the moon, a lunar day. See Civil day, Sidereal day, below. 3. Those hours, or the daily recurring period, allotted by usage or law for work. 4. A specified time or period; time, considered with reference to the existence or prominence of a person or thing; age; time. A man who was great among the Hellenes of his day. Jowett (Thucyd. ) If my debtors do not keep their day, . . . I must with patience all the terms attend. Dryden. 5. (Preceded by the) Some day in particular, as some day of contest, some anniversary, etc. The field of Agincourt, Fought on the day of Crispin Crispianus. Shak. His name struck fear, his conduct won the day. Roscommon. Note: Day is much used in self-explaining compounds; as, daybreak, daylight, workday, etc. Anniversary day. See Anniversary, n. -- Astronomical day, a period equal to the mean solar day, but beginning at noon instead of at midnight, its twenty-four hours being numbered from 1 to 24; also, the sidereal day, as that most used by astronomers. -- Born days. See under Born. -- Canicular days. See Dog day. -- Civil day, the mean solar day, used in the ordinary reckoning of time, and among most modern nations beginning at mean midnight; its hours are usually numbered in two series, each from 1 to 12. This is the period recognized by courts as constituting a day. The Babylonians and Hindoos began their day at sunrise, the Athenians and Jews at sunset, the ancient Egyptians and Romans at midnight. -- Day blindness. (Med.) See Nyctalopia. -- Day by day, or Day after day, daily; every day; continually; without intermission of a day. See under By. \"Day by day we magnify thee.\" Book of Common Prayer. -- Days in bank (Eng. Law), certain stated days for the return of writs and the appearance of parties; -- so called because originally peculiar to the Court of Common Bench, or Bench (bank) as it was formerly termed. Burrill. -- Day in court, a day for the appearance of parties in a suit. -- Days of devotion (R. C. Ch.), certain festivals on which devotion leads the faithful to attend mass. Shipley. -- Days of grace. See Grace. -- Days of obligation (R. C. Ch.), festival days when it is obligatory on the faithful to attend Mass. Shipley. -- Day owl, (Zoöl.), an owl that flies by day. See Hawk owl. -- Day rule (Eng. Law), an order of court (now abolished) allowing a prisoner, under certain circumstances, to go beyond the prison limits for a single day. -- Day school, one which the pupils attend only in daytime, in distinction from a boarding school. -- Day sight. (Med.) See Hemeralopia. -- Day's work (Naut.), the account or reckoning of a ship's course for twenty-four hours, from noon to noon. -- From day to day, as time passes; in the course of time; as, he improves from day to day. -- Jewish day, the time between sunset and sunset. -- Mean solar day (Astron.), the mean or average of all the apparent solar days of the year. -- One day, One of these days, at an uncertain time, usually of the future, rarely of the past; sooner or later. \"Well, niece, I hope to see you one day fitted with a husband.\" Shak. -- Only from day to day, without certainty of continuance; temporarily. Bacon. -- Sidereal day, the interval between two successive transits of the first point of Aries over the same meridian. The Sidereal day is 23 h. 56 m. 4.09 s. of mean solar time. -- To win the day, to gain the victory, to be successful. S. Butler. -- Week day, any day of the week except Sunday; a working day. -- Working day. (a) A day when work may be legally done, in distinction from Sundays and legal holidays. (b) The number of hours, determined by law or custom, during which a workman, hired at a stated price per day, must work to be entitled to a day's pay.
day lily |(a) A genus of plants (Hemerocallis) closely resembling true lilies, but having tuberous rootstocks instead of bulbs. The common species have long narrow leaves and either yellow or tawny-orange flowers. (b) A genus of plants (Funkia) differing from the last in having ovate veiny leaves, and large white or blue flowers.
day-coal |The upper stratum of coal, as nearest the light or surface.
day-labor |Labor hired or performed by the day. Milton.
day-laborer |One who works by the day; -- usually applied to a farm laborer, or to a workman who does not work at any particular trade. Goldsmith.
day-net |A net for catching small birds.
day-peep |The dawn. [Poetic] Milton.
day-star |1. The morning star; the star which ushers in the day. A dark place, until the day dawn, and the day-star arise in your hearts. 2 Peter i. 19. 2. The sun, as the orb of day. [Poetic] So sinks the day-star in the ocean bed, And yet anon repairs his drooping head, And tricks his beams, and with new-spangled ore Flames in the forehead of the morning sky. Milton.
dayaks |See Dyaks.
daybook |A journal of accounts; a primary record book in which are recorded the debts and credits, or accounts of the day, in their order, and from which they are transferred to the journal.
daybreak |The time of the first appearance of light in the morning.
daydream |A vain fancy speculation; a reverie; a castle in the air; unfounded hope. Mrs. Lambert's little daydream was over. Thackeray.
daydreamer |One given to draydreams.
dayflower |A genus consisting mostly of tropical perennial herbs (Commelina), having ephemeral flowers.
dayfly |A neuropterous insect of the genus Ephemera and related genera, of many species, and inhabiting fresh water in the larval state; the ephemeral fly; -- so called because it commonly lives but one day in the winged or adult state. See Ephemeral fly, under Ephemeral.
daylight |1. The light of day as opposed to the darkness of night; the light of the sun, as opposed to that of the moon or to artificial light. 2. pl.  The eyes. [Prov. Eng.] Wright.
daymaid |A dairymaid. [Obs.]
daymare |A kind of incubus which occurs during wakefulness, attended by the peculiar pressure on the chest which characterizes nightmare. Dunglison.
daysman |An umpire or arbiter; a mediator. Neither is there any daysman betwixt us. Job ix. 33.
dayspring |The beginning of the day, or first appearance of light; the dawn; hence, the beginning. Milton. The tender mercy of our God; whereby the dayspring from on high hath visited us. Luke i. 78.
daytime |The time during which there is daylight, as distinguished from the night.
daywoman |A dairymaid. [Obs.]
daze |To stupefy with excess of light; with a blow, with cold, or with fear; to confuse; to benumb. While flashing beams do daze his feeble eyen. Spenser. Such souls, Whose sudden visitations daze the world. Sir H. Taylor. He comes out of the room in a dazed state, that is an odd though a sufficient substitute for interest. Dickens.\n\n1. The state of being dazed; as, he was in a daze. [Colloq.] 2. (Mining)  A glittering stone.
dazzle |1. To overpower with light; to confuse the sight of by brilliance of light. Those heavenly shapes Will dazzle now the earthly, with their blaze Insufferably bright. Milton. An unreflected light did never yet Dazzle the vision feminine. Sir H. Taylor. 2. To bewilder or surprise with brilliancy or display of any kind. \"Dazzled and drove back his enemies.\" Shak.\n\n1. To be overpoweringly or intensely bright; to excite admiration by brilliancy. Ah, friend! to dazzle, let the vain design. Pope. 2. To be overpowered by light; to be confused by excess of brightness. An overlight maketh the eyes dazzle. Bacon. I dare not trust these eyes; They dance in mists, and dazzle with surprise. Dryden.\n\nA light of dazzling brilliancy.
dazzlement |Dazzling flash, glare, or burst of light. Donne.
dazzlingly |In a dazzling manner.
de bene esse |Of well being; of formal sufficiency for the time; conditionally; provisionally. Abbott.
de facto |Actually; in fact; in reality; as, a king de facto, -- distinguished from a king de jure, or by right.
de jure |By right; of right; by law; -- often opposed to be facto.
de rigueur |According to strictness (of etiquette, rule, or the like); obligatory; strictly required.
de- |A prefix from Latin de down, from, away; as in debark, decline, decease, deduct, decamp. In words from the French it is equivalent to Latin dis- apart, away; or sometimes to de. Cf. Dis-. It is negative and opposite in derange, deform, destroy, etc. It is intensive in deprave, despoil, declare, desolate, etc.
deacon |1. (Eccl.)  An officer in Christian churches appointed to perform certain subordinate duties varying in different communions. In the Roman Catholic and Episcopal churches, a person admitted to the lowest order in the ministry, subordinate to the bishops and priests. In Presbyterian churches, he is subordinate to the minister and elders, and has charge of certain duties connected with the communion service and the care of the poor. In Congregational churches, he is subordinate to the pastor, and has duties as in the Presbyterian church. 2. The chairman of an incorporated company. [Scot.]\n\nTo read aloud each line of (a psalm or hymn) before singing it, -- usually with off. [Colloq. New. Eng.] See Line, v. t. Note: The expression is derived from a former custom in the Congregational churches of New England. It was part of the office of a deacon to read aloud the psalm given out, one line at a time, the congregation singing each line as soon as read; -- called, also, lining out the psalm.
deaconess |A female deacon; as: (a) (Primitive Ch.) One of an order of women whose duties resembled those of deacons. (b) (Ch. of Eng. and Prot. Epis. Ch.)  A woman set apart for church work by a bishop. (c) A woman chosen as a helper in church work, as among the Congregationalists.
deaconhood |The state of being a deacon; office of a deacon; deaconship.
deaconry |See Deaconship.
deaconship |The office or ministry of a deacon or deaconess.
dead |1. Deprived of life; -- opposed to alive and living; reduced to that state of a being in which the organs of motion and life have irrevocably ceased to perform their functions; as, a dead tree; a dead man. \"The queen, my lord, is dead.\" Shak. The crew, all except himself, were dead of hunger. Arbuthnot. Seek him with candle, bring him dead or living. Shak. 2. Destitute of life; inanimate; as, dead matter. 3. Resembling death in appearance or quality; without show of life; deathlike; as, a dead sleep. 4. Still as death; motionless; inactive; useless; as, dead calm; a dead load or weight. 5. So constructed as not to transmit sound; soundless; as, a dead floor. 6. Unproductive; bringing no gain; unprofitable; as, dead capital; dead stock in trade. 7. Lacking spirit; dull; lusterless; cheerless; as, dead eye; dead fire; dead color, etc. 8. Monotonous or unvaried; as, a dead level or pain; a dead wall. \"The ground is a dead flat.\" C. Reade. 9. Sure as death; unerring; fixed; complete; as, a dead shot; a dead certainty. I had them a dead bargain. Goldsmith. 10. Bringing death; deadly. Shak. 11. Wanting in religious spirit and vitality; as, dead faith; dead works. \"Dead in trespasses.\" Eph. ii. 1. 12. (Paint.) (a) Flat; without gloss; -- said of painting which has been applied purposely to have this effect. (b) Not brilliant; not rich; thus, brown is a dead color, as compared with crimson. 13. (Law)  Cut off from the rights of a citizen; deprived of the power of enjoying the rights of property; as, one banished or becoming a monk is civilly dead. 14. (Mach.)  Not imparting motion or power; as, the dead spindle of a lathe, etc. See Spindle. Dead ahead (Naut.), directly ahead; -- said of a ship or any object, esp. of the wind when blowing from that point toward which a vessel would go. -- Dead angle (Mil.), an angle or space which can not be seen or defended from behind the parapet. -- Dead block, either of two wooden or iron blocks intended to serve instead of buffers at the end of a freight car. -- Dead calm (Naut.), no wind at all. -- Dead center, or Dead point (Mach.), either of two points in the orbit of a crank, at which the crank and connecting rod lie a straight line. It corresponds to the end of a stroke; as, A and B are dead centers of the crank mechanism in which the crank C drives, or is driven by, the lever L. -- Dead color (Paint.), a color which has no gloss upon it. -- Dead coloring (Oil paint.), the layer of colors, the preparation for what is to follow. In modern painting this is usually in monochrome. -- Dead door (Shipbuilding), a storm shutter fitted to the outside of the quarter-gallery door. -- Dead flat (Naut.), the widest or midship frame. -- Dead freight (Mar. Law), a sum of money paid by a person who charters a whole vessel but fails to make out a full cargo. The payment is made for the unoccupied capacity. Abbott. -- Dead ground (Mining), the portion of a vein in which there is no ore. -- Dead hand, a hand that can not alienate, as of a person civilly dead. \"Serfs held in dead hand.\" Morley. See Mortmain. -- Dead head (Naut.), a rough block of wood used as an anchor buoy. -- Dead heat, a heat or course between two or more race horses, boats, etc., in which they come out exactly equal, so that neither wins. -- Dead horse, an expression applied to a debt for wages paid in advance. [Law] -- Dead language, a language which is no longer spoken or in common use by a people, and is known only in writings, as the Hebrew, Greek, and Latin. -- Dead letter. (a) A letter which, after lying for a certain fixed time uncalled for at the post office to which it was directed, is then sent to the general post office to be opened. (b) That which has lost its force or authority; as, the law has become a dead letter. -- Dead-letter office, a department of the general post office where dead letters are examined and disposed of. -- Dead level, a term applied to a flat country. -- Dead lift, a direct lift, without assistance from mechanical advantage, as from levers, pulleys, etc.; hence, an extreme emergency. \"(As we say) at a dead lift.\" Robynson (More's Utopia). -- Dead line (Mil.), a line drawn within or around a military prison, to cross which involves for a prisoner the penalty of being instantly shot. -- Dead load (Civil Engin.), a constant, motionless load, as the weight of a structure, in distinction from a moving load, as a train of cars, or a variable pressure, as of wind. -- Dead march (Mus.), a piece of solemn music intended to be played as an accompaniment to a funeral procession. -- Dead nettle (Bot.), a harmless plant with leaves like a nettle (Lamium album). -- Dead oil (Chem.), the heavy oil obtained in the distillation of coal tar, and containing phenol, naphthalus, etc. -- Dead plate (Mach.), a solid covering over a part of a fire grate, to prevent the entrance of air through that part. -- Dead pledge, a mortgage. See Mortgage. -- Dead point. (Mach.) See Dead center. -- Dead reckoning (Naut.), the method of determining the place of a ship from a record kept of the courses sailed as given by compass, and the distance made on each course as found by log, with allowance for leeway, etc., without the aid of celestial observations. -- Dead rise, the transverse upward curvature of a vessel's floor. -- Dead rising, an elliptical line drawn on the sheer plan to determine the sweep of the floorheads throughout the ship's length. -- Dead-Sea apple. See under Apple. -- Dead set. See under Set. -- Dead shot. (a) An unerring marksman. (b) A shot certain to be made. -- Dead smooth, the finest cut made; -- said of files. -- Dead wall (Arch.), a blank wall unbroken by windows or other openings. -- Dead water (Naut.), the eddy water closing in under a ship's stern when sailing. -- Dead weight. (a) A heavy or oppressive burden. Dryden. (b) (Shipping) A ship's lading, when it consists of heavy goods; or, the heaviest part of a ship's cargo. (c) (Railroad) The weight of rolling stock, the live weight being the load. Knight. -- Dead wind (Naut.), a wind directly ahead, or opposed to the ship's course. -- To be dead, to die. [Obs.] I deme thee, thou must algate be dead. Chaucer. Syn. -- Inanimate; deceased; extinct. See Lifeless.\n\nTo a degree resembling death; to the last degree; completely; wholly. [Colloq.] I was tired of reading, and dead sleepy. Dickens. Dead drunk, so drunk as to be unconscious.\n\n1. The most quiet or deathlike time; the period of profoundest repose, inertness, or gloom; as, the dead of winter. When the drum beat at dead of night. Campbell. 2. One who is dead; -- commonly used collectively. And Abraham stood up from before his dead. Gen. xxiii. 3.\n\nTo make dead; to deaden; to deprive of life, force, or vigor. [Obs.] Heaven's stern decree, With many an ill, hath numbed and deaded me. Chapman.\n\nTo die; to lose life or force. [Obs.] So iron, as soon as it is out of the fire, deadeth straightway. Bacon.
dead beat |See Beat, n., 7. [Low, U.S.]
dead-eye |A round, flattish, wooden block, encircled by a rope, or an iron band, and pierced with three holes to receive the lanyard; -- used to extend the shrouds and stays, and for other purposes. Called also deadman's eye. Totten.
dead-hearted |Having a dull, faint heart; spiritless; listless. -- Dead\"*heart`ed*ness, n. Bp. Hall.
dead-pay |Pay drawn for soldiers, or others, really dead, whose names are kept on the rolls. O you commanders, That, like me, have no dead-pays. Massinger.
dead-reckoning |See under Dead, a.
dead-stroke |Making a stroke without recoil; deadbeat. Dead-stroke hammer (Mach.), a power hammer having a spring interposed between the driving mechanism and the hammer head, or helve, to lessen the recoil of the hammer and reduce the shock upon the mechanism.
