diminishable |Capable of being diminished or lessened.
discase |To strip; to undress. Shak.
discede |To yield or give up; to depart. [Obs.] I dare not discede from my copy a tittle. Fuller.
discept |To debate; to discuss. [R.] One dissertates, he is candid; Two must discept, -- has distinguished. R. Browning.
disceptation |Controversy; disputation; discussion. [Archaic] Verbose janglings and endless disceptations. Strype.
disceptator |One who arbitrates or decides. [R.] Cowley.
discern |1. To see and identify by noting a difference or differences; to note the distinctive character of; to discriminate; to distinguish. To discern such buds as are fit to produce blossoms. Boyle. A counterfeit stone which thine eye can not discern from a right stone. Robynson (More's Utopia). 2. To see by the eye or by the understanding; to perceive and recognize; as, to discern a difference. And [I] beheld among the simple ones, I discerned among the youths, a young man void of understanding. Prov. vii. 7. Our unassisted sight . . . is not acute enough to discern the minute texture of visible objects. Beattie. I wake, and I discern the truth. Tennyson. Syn. -- To perceive; distinguish; discover; penetrate; discriminate; espy; descry; detect. See Perceive.\n\n1. To see or understand the difference; to make distinction; as, to discern between good and evil, truth and falsehood. More than sixscore thousand that cannot discern between their right hand their left. Jonah iv. 11. 2. To make cognizance. [Obs.] Bacon.
discernance |Discernment. [Obs.]
discerner |One who, or that which, discerns, distinguishes, perceives, or judges; as, a discerner of truth, of right and wrong. A great observer and discerner of men's natures. Clarendon.
discernible |Capable of being discerned by the eye or the understanding; as, a star is discernible by the eye; the identity of difference of ideas is discernible by the understanding. The effect of the privations and sufferings . . . was discernible to the last in his temper and deportment. Macaulay. Syn. -- Perceptible; distinguishable; apparent; visible; evident; manifest.
discernibleness |The quality of being discernible.
discernibly |In a manner to be discerned; perceptibly; visibly. Hammond.
discerning |Acute; shrewd; sagacious; sharp-sighted. Macaulay.
discerningly |In a discerning manner; with judgment; judiciously; acutely. Garth.
discernment |1. The act of discerning. 2. The power or faculty of the mind by which it distinguishes one thing from another; power of viewing differences in objects, and their relations and tendencies; penetrative and discriminate mental vision; acuteness; sagacity; insight; as, the errors of youth often proceed from the want of discernment. Syn. -- Judgment; acuteness; discrimination; penetration; sagacity; insight. -- Discernment, Penetration, Discrimination. Discernment is keenness and accuracy of mental vision; penetration is the power of seeing deeply into a subject in spite of everything that intercepts the view; discrimination is a capacity of tracing out minute distinctions and the nicest shades of thought. A discerning man is not easily misled; one of a penetrating mind sees a multitude of things which escape others; a discriminating judgment detects the slightest differences.
discerp |1. To tear in pieces; to rend. [R.] Stukeley. 2. To separate; to disunite. [R.] Bp. Hurd.
discerpibility |Capability or liableness to be discerped. [R.] Wollaston.
discerpible |Capable of being discerped. [R.]
discerptibility |Capability or liableness to be discerped. [R.] Wollaston.
discerptible |Capable of being discerped. [R.]
discerption |The act of pulling to pieces, or of separating the parts. Bp. Hall.
discerptive |Tending to separate or disunite parts. Encys. Dict.
discession |Departure. [Obs.]
discharge |1. To relieve of a charge, load, or burden; to empty of a load or cargo; to unburden; to unload; as, to discharge a vessel. 2. To free of the missile with which anything is charged or loaded; to let go the charge of; as, to discharge a bow, catapult, etc.; especially, said of firearms, -- to fire off; to shoot off; also, to relieve from a state of tension, as a Leyden jar. The galleys also did oftentimes, out of their prows, discharge their great pieces against the city. Knolles. Feeling in other cases discharges itself in indirect muscular actions. H. Spencer. 3. To of something weighing upon or impeding over one, as a debt, claim, obligation, responsibility, accusation, etc.; to absolve; to acquit; to clear. Discharged of business, void of strife. Dryden. In one man's fault discharge another man of his duty. L'Estrange. 4. To relieve of an office or employment; to send away from service; to dismiss. Discharge the common sort With pay and thanks. Shak. Grindal . . . was discharged the government of his see. Milton. 5. To release legally from confinement; to set at liberty; as, to discharge a prisoner. 6. To put forth, or remove, as a charge or burden; to take out, as that with which anything is loaded or filled; as, to discharge a cargo. 7. To let fly, as a missile; to shoot. They do discharge their shot of courtesy. Shak. 8. To set aside; to annul; to dismiss. We say such an order was \"discharged on appeal.\" Mozley & W. The order for Daly's attendance was discharged. Macaulay. 9. To throw off the obligation of, as a duty or debt; to relieve one's self of, by fulfilling conditions, performing duty, trust, and the like; hence, to perform or ex Had I a hundred tongues, a wit so large As could their hundred offices discharge. Dryden. 10. To send away (a creditor) satisfied by payment; to pay one's debt or obligation to. [Obs.] If he had The present money to discharge the Jew. Shak. 11. To give forth; to emit or send out; as, a pipe discharges water; to let fly; to give expression to; to utter; as, to discharge a horrible oath. 12. To prohibit; to forbid. [Scot. Obs.] Sir W. Scott. Discharging arch (Arch.), an arch over a door, window, or other opening, to distribute the pressure of the wall above. See Illust. of Lintel. -- Discharging piece, Discharging strut (Arch.), a piece set to carry thrust or weight to a solid point of support. -- Discharging rod (Elec.), a bent wire, with knobs at both ends, and insulated by a glass handle. It is employed for discharging a Leyden jar or an electrical battery. See Discharger. Syn. -- See Deliver.\n\nTo throw off or deliver a load, charge, or burden; to unload; to emit or give vent to fluid or other contents; as, the water pipe discharges freely. The cloud, if it were oily or fatty, would not discharge. Bacon.\n\n1. The act of discharging; the act of relieving of a charge or load; removal of a load or burden; unloading; as, the discharge of a ship; discharge of a cargo. 2. Firing off; explosive removal of a charge; explosion; letting off; as, a discharge of arrows, of artillery. 3. Act of relieving of something which oppresses or weighs upon one, as an obligation, liability, debt, accusation, etc.; acquittance; as, the discharge of a debtor. 4. Act of removing, or getting rid of, an obligation, liability, etc.; fulfillment, as by the payment of a debt, or the performance of a trust or duty. Indefatigable in the discharge of business. Motley. Nothing can absolve us from the discharge of those duties. L'Estrange. 5. Release or dismissal from an office, employment, etc.; dismission; as, the discharge of a workman by his employer. 6. Legal release from confinement; liberation; as, the discharge of a prisoner. 7. The state of being discharged or relieved of a debt, obligation, office, and the like; acquittal. Too secure of our discharge From penalty. Milton. 8. That which discharges or releases from an obligation, liability, penalty, etc., as a price of ransom, a legal document. Death, who sets all free, Hath paid his ransom now and full discharge. Milton. 9. A flowing or issuing out; emission; vent; evacuation; also, that which is discharged or emitted; as, a rapid discharge of water from the pipe. The hemorrhage being stopped, the next occurrence is a thin serous discharge. S. Sharp. Charge and discharge. (Equity Practice) See under Charge, n. -- Paralytic discharge (Physiol.), the increased secretion from a gland resulting from the cutting of all of its nerves.
discharger |One who, or that which, discharges. Specifically, in electricity, an instrument for discharging a Leyden jar, or electrical battery, by making a connection between the two surfaces; a discharging rod.
dischevele |Disheveled. [Obs.] Chaucer.
dischurch |To deprive of status as a church, or of membership in a church. Bp. Hall.
discide |To divide; to cleave in two. [Obs.] Spenser.
disciferous |Bearing disks.
discifloral |Bearing the stamens on a discoid outgrowth of the receptacle; - - said of a subclass of plants. Cf. Calycifloral.
disciflorous |Bearing the stamens on a discoid outgrowth of the receptacle; - - said of a subclass of plants. Cf. Calycifloral.
disciform |Discoid.
discina |A genus of Branchiopoda, having a disklike shell, attached by one valve, which is perforated by the peduncle.
discinct |Ungirded; loosely dressed. [R.] Sir W. Scott.
discind |To part; to divide. [Obs.] Boyle.
disciple |One who receives instruction from another; a scholar; a learner; especially, a follower who has learned to believe in the truth of the doctrine of his teacher; an adherent in doctrine; as, the disciples of Plato; the disciples of our Savior. The disciples, or The twelve disciples, the twelve selected companions of Jesus; -- also called the apostles. -- Disciples of Christ. See Christian, n., 3, and Campbellite. Syn. -- Learner; scholar; pupil; follower; adherent.\n\n1. To teach; to train. [Obs.] That better were in virtues discipled. Spenser. 2. To punish; to discipline. [Obs.] B. Jonson. 3. To make disciples of; to convert to doctrines or principles. [R.] Sending missionaries to disciple all nations. E. D. Griffin.
discipleship |The state of being a disciple or follower in doctrines and precepts. Jer. Taylor.
discipless |A female disciple. [Obs.]
disciplinable |1. Capable of being disciplined or improved by instruction and training. 2. Liable or deserving to be disciplined; subject to disciplinary punishment; as, a disciplinable offense.
disciplinableness |The quality of being improvable by discipline. Sir M. Hale.
disciplinal |Relating to discipline. Latham.
disciplinant |A flagellant. See Flagellant.
disciplinarian |Pertaining to discipline. \"Displinarian system.\" Milman.\n\n1. One who disciplines; one who excels in training, especially with training, especially with regard to order and obedience; one who enforces rigid discipline; a stickler for the observance of rules and methods of training; as, he is a better disciplinarian than scholar. 2. A Puritan or Presbyterian; -- because of rigid adherence to religious or church discipline. [Obs.]
disciplinary |Pertaining to discipline; intended for discipline; corrective; belonging to a course of training. Those canons . . . were only disciplinary. Bp. Ferne. The evils of the . . . are disciplinary and remedial. Buckminster.
discipline |1. The treatment suited to a disciple or learner; education; development of the faculties by instruction and exercise; training, whether physical, mental, or moral. Wife and children are a kind of discipline of humanity. Bacon. Discipline aims at the removal of bad habits and the substitution of good ones, especially those of order, regularity, and obedience. C. J. Smith. 2. Training to act in accordance with established rules; accustoming to systematic and regular action; drill. Their wildness lose, and, quitting nature's part, Obey the rules and discipline of art. Dryden. 3. Subjection to rule; submissiveness to order and control; habit of obedience. The most perfect, who have their passions in the best discipline, are yet obliged to be constantly on their guard. Rogers. 4. Severe training, corrective of faults; instruction by means of misfortune, suffering, punishment, etc. A sharp discipline of half a century had sufficed to educate Macaulay. 5. Correction; chastisement; punishment inflicted by way of correction and training. Giving her the discipline of the strap. Addison. 6. The subject matter of instruction; a branch of knowledge. Bp. Wilkins. 7. (Eccl.)  The enforcement of methods of correction against one guilty of ecclesiastical offenses; reformatory or penal action toward a church member. 8. (R. C. Ch.)  Self- inflicted and voluntary corporal punishment, as penance, or otherwise; specifically, a penitential scourge. 9. (Eccl.)  A system of essential rules and duties; as, the Romish or Anglican discipline. Syn. -- Education; instruction; training; culture; correction; chastisement; punishment.\n\n1. To educate; to develop by instruction and exercise; to train. 2. To accustom to regular and systematic action; to bring under control so as to act systematically; to train to act together under orders; to teach subordination to; to form a habit of obedience in; to drill. Ill armed, and worse disciplined. Clarendon. His mind . . . imperfectly disciplined by nature. Macaulay. 3. To improve by corrective and penal methods; to chastise; to correct. Has he disciplined Aufidius soundly Shak. 4. To inflict ecclesiastical censures and penalties upon. Syn. -- To train; form; teach; instruct; bring up; regulate; correct; chasten; chastise; punish.
discipliner |One who disciplines.
disclaim |1. To renounce all claim to deny; ownership of, or responsibility for; to disown; to disavow; to reject. He calls the gods to witness their offense; Disclaims the war, asserts his innocence. Dryden. He disclaims the authority of Jesus. Farmer. 2. To deny, as a claim; to refuse. The payment was irregularly made, if not disclaimed. Milman. 3. (Law)  To relinquish or deny having a claim; to disavow another's claim; to decline accepting, as an estate, interest, or office. Burrill. Syn. -- To disown; disavow; renounce; repudiate.\n\nTo disavow or renounce all part, claim, or share. Blackstone. Disclaim in, Disclaim from, to disown; to disavow. [Obs.] \"Nature disclaims in thee.\" Shak.
disclaimer |1. One who disclaims, disowns, or renounces. 2. (Law)  A denial, disavowal, or renunciation, as of a title, claim, interest, estate, or trust; relinquishment or waiver of an interest or estate. Burrill. 3. A public disavowal, as of pretensions, claims, opinions, and the like. Burke.
disclamation |A disavowing or disowning. Bp. Hall.
disclame |To disclaim; to expel. [Obs.] \"Money did love disclame.\" Spenser.
disclaunder |To injure one's good name; to slander. [Obs.]
discloak |To take off a cloak from; to uncloak. [Obs.] B. Jonson.
disclose |1. To unclose; to open; -- applied esp. to eggs in the sense of to hatch. The ostrich layeth her eggs under sand, where the heat of the discloseth them. Bacon. 2. To remove a cover or envelope from;; to set free from inclosure; to uncover. The shells being broken, . . . the stone included in them is thereby disclosed and set at liberty. Woodward. 3. To lay open or expose to view; to cause to appear; to bring to light; to reveal. How softly on the Spanish shore she plays, Disclosing rock, and slope, and forest brown! Byron. Her lively looks a sprightly mind disclose. Pope. 4. To make known, as that which has been kept secret or hidden; to reveal; to expose; as, events have disclosed his designs. If I disclose my passion, Our friendship 's an end. Addison. Syn. -- To uncover; open; unveil; discover; reveal; divulge; tell; utter.\n\nDisclosure. [Obs.] Shak. Young.
disclosed |Represented with wings expanded; -- applied to doves and other birds not of prey. Cussans.
discloser |One who discloses.
disclosure |1. The act of disclosing, uncovering, or revealing; bringing to light; exposure. He feels it [his secret] beating at his heart, rising to his throat, and demanding disclosure. D. Webster. 2. That which is disclosed or revealed. Were the disclosures of 1695 forgotten Macaulay.
discloud |To clear from clouds. [Archaic] Fuller.
disclout |To divest of a clout. [R.]
disclusion |A shutting off; exclusion. [Obs.] Dr. H. More.
discoast |To depart; to quit the coast (that is, the side or border) of anything; to be separated. [Obs.] As far as heaven and earth discoasted lie. G. Fletcher. To discoast from the plain and simple way of speech. Barrow.
discoblastic |Applied to a form of egg cleavage seen in osseous fishes, which occurs only in a small disk that separates from the rest of the egg.
discobolus |(a) A thrower of the discus. (b) A statue of an athlete holding the discus, or about to throw it Note: The Discobolus of Myron was a famous statue of antiquity, and several copies or imitations of it have been preserved.
discodactyl |One of the tree frogs.
discodactylia |A division of amphibians having suctorial disks on the toes, as the tree frogs.
discodactylous |Having sucking disks on the toes, as the tree frogs.
discoherent |Incoherent. [R.]
discoid |Having the form of a disk, as those univalve shells which have the whorls in one plane, so as to form a disk, as the pearly nautilus. Discoid flower (Bot.), a compound flower, consisting of tubular florets only, as a tansy, lacking the rays which are seen in the daisy and sunflower.\n\nAnything having the form of a discus or disk; particularly, a discoid shell.
discoidal |Disk-shaped; discoid.
discolith |One of a species of coccoliths, having an oval discoidal body, with a thick strongly refracting rim, and a thinner central portion. One of them measures about
discolor |1. To alter the natural hue or color of; to change to a different color; to stain; to tinge; as, a drop of wine will discolor water; silver is discolored by sea water. 2. To alter the true complexion or appearance of; to put a false hue upon. To discolor all your ideas. Wat
discolorate |To discolor. [R.] Fuller.
discoloration |1. The act of discoloring, or the state of being discolored; alteration of hue or appearance. Darwin. 2. A discolored spot; a stain. Arbuthnot.
discolored |1. Altered in color; 2. Variegated; of divers colors. [R.] That ever wore discolored arms. Chapman.
discomfit |1. To scatter in fight; to put to rout; to defeat. And his proud foes discomfit in victorious field. Spenser. 2. To break up and frustrate the plans of; to balk Well, go with me and be not so discomfited. Shak. Syn. -- To defeat; overthrow; overpower; vanquish; conquer; baffle; frustrate; confound; discourage.\n\nDiscomfited; overthrown. [Obs.]\n\nRout; overthrow; discomfiture. Such as discomfort as shall quite despoil him. Milton.
discomfiture |The act of discomfiting, or the state of being discomfited; rout; overthrow; defeat; frustration; confusion and dejection. Every man's sword was against his fellow, and there was a very great discomfiture. 1 Sam. xiv. 20. A hope destined to end . . . in discomfiture and disgrace. Macaulay.
discomfort |1. To discourage; to deject. His funeral shall not be in our camp, Lest it discomfort us. Shak. 2. To destroy or disturb the comfort of; to deprive oas, a smoky chimney discomforts a family.\n\n1. Discouragement. [Obs.] Shak. 2. Want of comfort; uneasiness, mental or physical; disturbance of peace; inquietude; pain; distress; sorrow. \"An age of spiritual discomfort.\" M. Arnold. Strive against all the discomforts of thy sufferings. Bp. Hall.
discomfortable |1. Causing discomfort; occasioning uneasiness; making sad. [Obs.] Sir P. Sidney. 2. Destitute of comfort; uncomfortable. [R.] A labyrinth of little discomfortable garrets. Thackeray. -- Dis*com\"fort*a*ble*ness, n. [Obs.]
discommend |1. To mention with disapprobation; to blame; to disapprove. [R.] Spenser. By commending something in him that is good, and discommending the same fault in others. Jer. Taylor. 2. To expose to censure or ill favor; to put out of the good graces of any one. A compliance will discommend me to Mr. Coventry. Pepys.
discommendable |Deserving, disapprobation or blame. -- Dis`com*mend\"a*ble*ness, n.
discommendation |Blame; censure; reproach. [R.] Ayliffe.
discommender |One who discommends; a dispraiser. Johnson.
discommission |To deprive of a commission or trust. [R.] Laud.
discommodate |To discommode. [Obs.] Howell.
discommode |To put inconvenience; to incommode; to trouble. [R.] Syn. -- To incommode; annoy; inconvenience.
discommodious |Inconvenient; troublesome; incommodious. [R.] Spenser. -- Dis`com*mo\"di*ous*ly, adv. -- Dis`com*mo\"di*ous*ness, n.
discommodity |Disadvantage; inconvenience. Bacon.
discommon |1. To deprive of the right of common. [R.] Bp. Hall. 2. To deprive of privileges. [R.] T. Warton. 3. (Law)  To deprive of commonable quality, as lands, by inclosing or appropriating. Burrill.
discommunity |A lack of common possessions, properties, or relationship. Community of embryonic structure reveals community of descent; but dissimilarity of embryonic development does not prove discommunity of descent. Darwin.
discompany |To free from company; to dissociate. [R.] It she be alone now, and discompanied. B. Jonson.
discomplexion |To change the complexion or hue of. [Obs.] Beau. & Fl.
discompliance |Failure or refusal to comply; noncompliance. A compliance will discommend me to Mr. Coventry, and a discompliance to my lord chancellor. Pepys.
discompose |1. To disarrange; to interfere with; to disturb; to disorder; to unsettle; to break up. Or discomposed the headdress of a prude. Pope. 2. To throw into disorder; to ruffle; to destroy the composure or equanimity; to agitate. Opposition . . . discomposeth the mind's serenity. Glanvill. 3. To put out of place or service; to discharge; to displace. [Obs.] Bacon. Syn. -- To disorder; derange; unsettle; disturb; disconcert; agitate; ruffle; fret; vex.
discomposed |Disordered; disturbed; disquieted. -- Dis`com*pos\"ed*ly, adv. -- Dis`com*pos\"ed*ness, n.
discomposition |Inconsistency; discordance. [Obs.] Donne.
discomposure |1. The state of being discomposed; disturbance; disorder; agitation; perturbation. No discomposure stirred her features. Akenside. 2. Discordance; disagreement of parts. [Obs.] Boyle.
discompt |To discount. See Discount. Hudibras.
disconcert |1. To break up the harmonious progress of; to throw into disorder or confusion; as, the emperor disconcerted the plans of his enemy. 2. To confuse the faculties of; to disturb the composure of; to discompose; to abash. The embrace disconcerted the daughter-in-law somewhat, as the caresses of old gentlemen unshorn and perfumed with tobacco might well do. Thackeray. Syn. -- To discompose; derange; ruffle; confuse; disturb; defeat; frustrate.\n\nWant of concert; disagreement. Sir W. Temple.
disconcertion |The act of disconcerting, or state of being disconcerted; discomposure; perturbation. [R.] State Trials (1794).
disconducive |Not conductive; impeding; disadvantageous. [R.]
disconformable |Not conformable. Disconformable in religion from us. Stow (1603).
disconformity |Want of conformity or correspondence; inconsistency; disagreement. Those . . . in some disconformity to ourselves. Milton. Disagreement and disconformity betwixt the speech and the conception of the mind. Hakewill.
discongruity |Incongruity; disagreement; unsuitableness. Sir M. Hale.
disconnect |To dissolve the union or connection of; to disunite; to sever; to separate; to disperse. The commonwealth itself would . . . be disconnected into the dust and powder of individuality. Burke. This restriction disconnects bank paper and the precious metals. Walsh.
disconnection |The act of disconnecting, or state of being disconnected; separation; want of union. Nothing was therefore to be left in all the subordinate members but weakness, disconnection, and confusion. Burke.
disconsecrate |To deprive of consecration or sacredness. [R.]
disconsent |To differ; to disagree; to dissent. [Obs.] Milton.
disconsolacy |The state of being disconsolate. [Obs.] Barrow.
disconsolate |Disconsolateness. [Obs.] Barrow.\n\n1. Destitute of consolation; deeply dejected and dispirited; hopelessly sad; comfortless; filled with grief; as, a bereaved and disconsolate parent. One morn a Peri at the gate Of Eden stood disconsolate. Moore. The ladies and the knights, no shelter nigh, Were dropping wet, disconsolate and wan. Dryden. 2. Inspiring dejection; saddening; cheerless; as, the disconsolate darkness of the winter nights. Ray. Syn. -- Forlorn; melancholy; sorrowful; desolate; woeful; hopeless; gloomy. -- Dis*con\"so*late*ly, adv. -- Dis*con\"so*late*ness, n.
disconsolated |Disconsolate. [Obs.] A poor, disconsolated, drooping creature. Sterne.
disconsolation |Dejection; grief. [R.] Bp. Hall.
discontent |Not content; discontented; dissatisfied. Jer. Taylor. Passion seemed to be much discontent, but Patience was very quiet. Bunyan.\n\nTo deprive if content; to make uneasy; to dissatisfy. Suckling.\n\n1. Want of content; uneasiness and inquietude of mind; dissatisfaction; disquiet. Now is the winter of our discontent Made glorious summer by this sun of York. Shak. The rapacity of his father's administration had excited such universal discontent. Hallam 2. A discontented person; a malcontent. [R.] Thus was the Scotch nation full of discontents. Fuller.
discontentation |Discontent. [Obs.] Ascham.
discontented |Dissatisfied; uneasy in mind; malcontent. And every one that was in distress, and every one that was in debt, and every one that was discontented, gathered themselves unto him. 1 Sam. xxii. 2. -- Dis`con*tent\"ed*ly, adv. -- Dis`con*tent\"ed*ness, n.
discontentful |Full of discontent. [R.]
discontenting |1. Discontented. [Obs.] Shak. 2. Causing discontent; dissatisfying. Milton.
discontentive |Relating or tending to discontent. [R.] \"Pride is ever discontentive.\" Feltham.
discontentment |The state of being discontented; uneasiness; inquietude. Bacon.
discontinuable |Admitting of being discontinued. [R.]
discontinuance |1. The act of discontinuing, or the state of being discontinued; want of continued connection or continuity; breaking off; cessation; interruption; as, a discontinuance of conversation or intercourse; discontinuance of a highway or of travel. 2. (Law) (a) A breaking off or interruption of an estate, which happened when an alienation was made by a tenant in tail, or other tenant, seized in right of another, of a larger estate than the tenant was entitled to, whereby the party ousted or injured was driven to his real action, and could not enter. This effect of such alienation is now obviated by statute in both England and the United States. (b) The termination of an action in practice by the voluntary act of the plaintiff; an entry on the record that the plaintiff discontinues his action. (c) That technical interruption of the proceedings in pleading in an action, which follows where a defendant does not answer the whole of the plaintiff's declaration, and the plaintiff omits to take judgment for the part unanswered. Wharton's Law Dict. Burrill. Syn. -- Cessation; intermission; discontinuation; separation; disunion; disjunction; disruption; break.
discontinuation |Breach or interruption of continuity; separation of parts in a connected series; discontinuance. Upon any discontinuation of parts, made either by bubbles or by shaking the glass, the whole mercury falls. Sir I. Newton.
discontinue |To interrupt the continuance of; to intermit, as a practice or habit; to put an end to; to cause to cease; to cease using, to stop; to leave off. Set up their conventicles again, which had been discontinued. Bp. Burnet. I have discontinued school Above a twelvemonth. Shak. Taught the Greek tongue, discontinued before in these parts the space of seven hundred years. Daniel. They modify and discriminate the voice, without appearing to discontinue it. Holder.\n\n1. To lose continuity or cohesion of parts; to be disrupted or broken off. Bacon. 2. To be separated or severed; to part. Thyself shalt discontinue from thine heritage. Jer. xvii. 4.
discontinuee |One whose possession of an estate is broken off, or discontinued; one whose estate is subject to discontinuance.
discontinuer |One who discontinues, or breaks off or away from; an absentee. He was no gadder abroad, not discontinuer from his convent for a long time. Fuller.
discontinuity |Want of continuity or cohesion; disunion of parts. \"Discontinuity of surface.\" Boyle.
discontinuor |One who deprives another of the possession of an estate by discontinuance. See Discontinuance, 2.
discontinuous |1. Not continuous; interrupted; broken off. A path that is zigzag, discontinuous, and intersected at every turn by human negligence. De Quincey. 2. Exhibiting a dissolution of continuity; gaping. \"Discontinuous wound.\" Milton. Discontinuous function (Math.), a function which for certain values or between certain values of the variable does not vary continuously as the variable increases. The discontinuity may, for example, consist of an abrupt change in the value of the function, or an abrupt change in its law of variation, or the function may become imaginary.
disconvenience |Unsuitableness; incongruity. [Obs.] Bacon.
disconvenient |Not convenient or congruous; unsuitable; ill-adapted. [Obs.] Bp. Reynolds.
discophora |A division of acalephs or jellyfishes, including most of the large disklike species. -- Dis*coph\"o*rous, a.
discord |1. Want of concord or agreement; absence of unity or harmony in sentiment or action; variance leading to contention and strife; disagreement; -- applied to persons or to things, and to thoughts, feelings, or purposes. A false witness that speaketh lies, and he that soweth discord among brethren. Prov. vi. 19. Peace to arise out of universal discord fomented in all parts of the empire. Burke. 2. (Mus.)  Union of musical sounds which strikes the ear harshly or disagreeably, owing to the incommensurability of the vibrations which they produce; want of musical concord or harmony; a chord demanding resolution into a concord. For a discord itself is but a harshness of divers sounds mBacon. Apple of discord. See under Apple. Syn. -- Variance; difference; opposition; contrariety; clashing; dissension; contention; strife; disagreement; dissonance.\n\nTo disagree; to be discordant; to jar; to clash; not to suit. [Obs.] The one discording with the other. Bacon.
discordable |That may produce discord; disagreeing; discordant. [R.] Halliwell.
