autocratship |The office or dignity of an autocrat.
azo- |A combining form of azote; (a) Applied loosely to compounds having nitrogen variously combined, as in cyanides, nitrates, etc. (b) Now especially applied to compounds containing a two atom nitrogen group uniting two hydrocarbon radicals, as in azobenzene, azobenzoic, etc. These compounds furnish many artificial dyes. See Diazo-.
azobenzene |A substance (C6H5.N2.C6H5) derived from nitrobenzene, forming orange red crystals which are easily fusible.
azogue |Lit.: Quicksilver; hence: pl. (Mining)  Silver ores suitable for treatment by amalgamation with mercury. [Sp. Amer.]
azoic |Destitute of any vestige of organic life, or at least of animal life; anterior to the existence of animal life; formed when there was no animal life on the globe; as, the azoic. rocks. Azoic age (Geol.), the age preceding the existence of animal life, or anterior to the paleozoic tome. Azoic is also used as a noun, age being understood. See Archæan, and Eozoic.
azole |Any of a large class of compounds characterized by a five- membered ring which contains an atom of nitrogen and at least one other noncarbon atom (nitrogen, oxygen, sulphur). The prefixes furo-, thio, and pyrro-are used to distinguish three subclasses of azoles, which may be regarded as derived respectively from furfuran, thiophene, and pyrrol by replacement of the CH group by nitrogen; as, furo-monazole. Names exactly analogous to those for the azines are also used; as, oxazole, diazole, etc.
azoleic |Pertaining to an acid produced by treating oleic with nitric acid. [R.]
azonic |Confined to no zone or region; not local.
azorian |Of or pertaining to the Azores. -- n.  A native of the Azores.
azote |Same as Nitrogen. [R.]
azoted |Nitrogenized; nitrogenous.
azoth |(a) The first principle of metals, i. e., mercury, which was formerly supposed to exist in all metals, and to be extractable from them. (b) The universal remedy of Paracelsus.
azotic |Pertaining to azote, or nitrogen; formed or consisting of azote; nitric; as, azotic gas; azotic acid. [R.] Carpenter.
azotin |1.  An explosive consisting of sodium nitrate, charcoal, sulphur, and petroleum. 2.  = 1st Ammonite, 2.
azotine |1.  An explosive consisting of sodium nitrate, charcoal, sulphur, and petroleum. 2.  = 1st Ammonite, 2.
azotite |A salt formed by the combination of azotous, or nitrous, acid with a base; a nitrite. [R.]
azotize |To impregnate with azote, or nitrogen; to nitrogenize.
azotometer |An apparatus for measuring or determining the proportion of nitrogen; a nitrometer.
azotous |: Nitrous; as, azotous acid. [R.]
azoturia |Excess of urea or other nitrogenous substances in the urine.
aztec |Of or relating to one of the early races in Mexico that inhabited the great plateau of that country at the time of the Spanish conquest in 1519. -- n.  One of the Aztec race or people.
azure |Sky-blue; resembling the clear blue color of the unclouded sky; cerulean; also, cloudless. Azure stone (Min.), the lapis lazuli; also, the lazulite.\n\n1. The lapis lazuli. [Obs.] 2. The clear blue color of the sky; also, a pigment or dye of this color. \"In robes of azure.\" Wordsworth. 3. The blue vault above; the unclouded sky. Not like those steps On heaven's azure. Milton. 4. (Her.)  A blue color, represented in engraving by horizontal parallel lines.\n\nTo color blue.
azured |Of an azure color; sky-blue. \"The azured harebell.\" Shak.
azureous |Of a fine blue color; azure.
azurine |Azure.\n\nThe blue roach of Europe (Leuciscus cæruleus); -- so called from its color.
azurite |Blue carbonate of copper; blue malachite.
azurn |Azure. [Obs.] Thick set with agate, and the azurn sheen Of turkis blue, and emerald green. Milton.
azygous |Odd; having no fellow; not one of a pair; single; as, the azygous muscle of the uvula.
azym |Unleavened bread.
azyme |Unleavened bread.
azymic |Azymous.
azymite |One who administered the Eucharist with unleavened bread; -- a name of reproach given by those of the Greek church to the Latins.
azymous |Unleavened; unfermented. \"Azymous bread.\" Dunglison.
b |is the second letter of the English alphabet. (See Guide to Pronunciation, §§ 196,220.) It is etymologically related to p , v , f , w and m , letters representing sounds having a close organic affinity to its own sound; as in Eng. bursar and purser; Eng. bear and Lat. pear; Eng. silver and Ger. silber; Lat. cubitum and It. gomito; Eng. seven, Anglo-Saxon seofon, Ger. sieben, Lat. septem, Gr.ptan. The form of letter B is Roman, from Greek B (Beta), of Semitic origin. The small b was formed by gradual change from the capital B. Note: In Music, B is the nominal of the seventh tone in the model major scale (the scale of C major ), or of the second tone in it's relative minor scale (that of A minor ) . B stands for B flat, the tone a half step , or semitone, lower than B. In German, B stands for our B, while our B natural is called H (pronounced hä).
ba |To kiss. [Obs.] Chaucer.
baa |To cry baa, or bleat as a sheep. He treble baas for help, but none can get. Sir P. Sidney.\n\nThe cry or bleating of a sheep; a bleat.
baaing |The bleating of a sheep. Marryat.
baal |1. (Myth.)  The supreme male divinity of the Phoenician and Canaanitish nations. Note: The name of this god occurs in the Old Testament and elsewhere with qualifying epithets subjoined, answering to the different ideas of his character; as, Baal-berith (the Covenant Baal), Baal-zebub (Baal of the fly). 2. pl.  The whole class of divinities to whom the name Baal was applied. Judges x. 6.
baalism |Worship of Baal; idolatry.
baalist |A worshiper of Baal; a devotee of any false religion; an idolater.
baalite |A worshiper of Baal; a devotee of any false religion; an idolater.
bab |Lit., gate; -- a title given to the founder of Babism, and taken from that of Bab-ud-Din, assumed by him.
baba |A kind of plum cake.
babbitt |To line with Babbitt metal.
babbitt metal |A soft white alloy of variable composition (as a nine parts of tin to one of copper, or of fifty parts of tin to five of antimony and one of copper) used in bearings to diminish friction.
babble |1. To utter words indistinctly or unintelligibly; to utter inarticulate sounds; as a child babbles. 2. To talk incoherently; to utter unmeaning words. 3. To talk much; to chatter; to prate. 4. To make a continuous murmuring noise, as shallow water running over stones. In every babbling he finds a friend. Wordsworth. Note: Hounds are said to babble, or to be babbling, when they are too noisy after having found a good scent. Syn. -- To prate; prattle; chatter; gossip.\n\n1. To utter in an indistinct or incoherent way; to repeat,as words, in a childish way without understanding. These [words] he used to babble in all companies. Arbuthnot. 2. To disclose by too free talk, as a secret.\n\n1. Idle talk; senseless prattle; gabble; twaddle. \"This is mere moral babble.\" Milton. 2. Inarticulate speech; constant or confused murmur. The babble of our young children. Darwin. The babble of the stream. Tennyson.
babblement |Babble. Hawthorne.
babbler |1. An idle talker; an irrational prater; a teller of secrets. Great babblers, or talkers, are not fit for trust. L'Estrange. 2. A hound too noisy on finding a good scent. 3. (Zoöl.)  A name given to any one of family (Timalinæ) of thrushlike birds, having a chattering note.
babblery |Babble. [Obs.] Sir T. More
babe |1. An infant; a young child of either sex; a baby. 2. A doll for children. Spenser.
babehood |Babyhood. [R.] Udall.
babel |1. The city and tower in the land of Shinar, where the confusion of languages took place. Therefore is the name of it called Babel. Gen. xi. 9. 2. Hence: A place or scene of noise and confusion; a confused mixture of sounds, as of voices or languages. That babel of strange heathen languages. Hammond. The grinding babel of the street. R. L. Stevenson.
babery |Finery of a kind to please a child. [Obs.] \"Painted babery.\" Sir P. Sidney.
babian |A baboon. [Obs.] B. Jonson.
babiism |The doctrine of a modern religious pantheistical sect in Persia, which was founded, about 1844, by Mirza Ali Mohammed ibn Rabhik (1820 -- 1850), who assumed the title of Bab-ed-Din (Per., Gate of the Faith). Babism is a mixture of Mohammedan, Christian, Jewish, and Parsi elements. This doctrine forbids concubinage and polygamy, and frees women from many of the degradations imposed upon them among the orthodox Mohammedans. Mendicancy, the use of intoxicating liquors and drugs, and slave dealing, are forbidden; asceticism is discountenanced. --Bab\"ist, n.
babillard |The lesser whitethroat of Europe; -- called also babbling warbler.
babingtonite |A mineral occurring in triclinic crystals approaching pyroxene in angle, and of a greenish black color. It is a silicate of iron, manganese, and lime.
babion |A baboon. [Obs.] B. Jonson.
babiroussa |A large hoglike quadruped (Sus, or Porcus, babirussa) of the East Indies, sometimes domesticated; the Indian hog. Its upper canine teeth or tusks are large and recurved.
babirussa |A large hoglike quadruped (Sus, or Porcus, babirussa) of the East Indies, sometimes domesticated; the Indian hog. Its upper canine teeth or tusks are large and recurved.
babish |Like a babe; a childish; babyish. [R.] \"Babish imbecility.\" Drayton. -- Bab\"ish*ly, adv. -- Bab\"ish*ness, n. [R.]
babism |The doctrine of a modern religious sect, which originated in Persia in 1843, being a mixture of Mohammedan, Christian, Jewish and Parsee elements.\n\nThe doctrine of a modern religious pantheistical sect in Persia, which was founded, about 1844, by Mirza Ali Mohammed ibn Rabhik (1820 -- 1850), who assumed the title of Bab-ed-Din (Per., Gate of the Faith). Babism is a mixture of Mohammedan, Christian, Jewish, and Parsi elements. This doctrine forbids concubinage and polygamy, and frees women from many of the degradations imposed upon them among the orthodox Mohammedans. Mendicancy, the use of intoxicating liquors and drugs, and slave dealing, are forbidden; asceticism is discountenanced. --Bab\"ist, n.
babist |A believer in Babism.
bablah |The ring of the fruit of several East Indian species of acacia; neb-neb. It contains gallic acid and tannin, and is used for dyeing drab.
baboo |A Hindoo gentleman; native clerk who writes English; also, a Hindoo title answering to Mr. or Esquire. Whitworth.
babool |Any one of several species of Acacia, esp. A. Arabica, which yelds a gum used as a substitute for true gum arabic. In place of Putney's golden gorse The sickly babul blooms. Kipling.
baboon |One of the Old World Quadrumana, of the genera Cynocephalus and Papio; the dog-faced ape. Baboons have dog-like muzzles and large canine teeth, cheek pouches, a short tail, and naked callosities on the buttocks. They are mostly African. See Mandrill, and Chacma, and Drill an ape.
baboonery |Baboonish behavior. Marryat.
baboonish |Like a baboon.
babu |A Hindoo gentleman; native clerk who writes English; also, a Hindoo title answering to Mr. or Esquire. Whitworth.
babul |Any one of several species of Acacia, esp. A. Arabica, which yelds a gum used as a substitute for true gum arabic. In place of Putney's golden gorse The sickly babul blooms. Kipling.
baby |An infant or young child of either sex; a babe. 2. A small image of an infant; a doll. Babies in the eyes, the minute reflection which one sees of one's self in the eyes of another. She clung about his neck, gave him ten kisses, Toyed with his locks, looked babies in his eyes. Heywood.\n\nPertaining to, or resembling, an infant; young or little; as, baby swans. \"Baby figure\" Shak.\n\nTo treat like a young child; to keep dependent; to humor; to fondle. Young.
baby farm |A place where the nourishment and care of babies are offered for hire.
baby farmer |One who keeps a baby farm.
baby farming |The business of keeping a baby farm.
baby jumper |A hoop suspended by an elastic strap, in which a young child may be held secure while amusing itself by jumping on the floor.
babyhood |The state or period of infancy.
babyhouse |A place for children's dolls and dolls' furniture. Swift.
babyish |Like a baby; childish; puerile; simple. -- Ba\"by*ish*ly, adv. -- Ba\"by*ish*ness, n.
babyism |1. The state of being a baby. 2. A babyish manner of acting or speaking.
babylonian |Of or pertaining to the real or to the mystical Babylon, or to the ancient kingdom of Babylonia; Chaldean.\n\n1. An inhabitant of Babylonia (which included Chaldea); a Chaldean. 2. An astrologer; -- so called because the Chaldeans were remarkable for the study of astrology.
babylonic |1. Pertaining to Babylon, or made there; as Babylonic garments,carpets, or hangings. 2. Tumultuous; disorderly. [Obs.] Sir J. Harrington.
babylonical |1. Pertaining to Babylon, or made there; as Babylonic garments,carpets, or hangings. 2. Tumultuous; disorderly. [Obs.] Sir J. Harrington.
babylonish |1. Of or pertaining to, or made in, Babylon or Babylonia. \"A Babylonish garment.\" Josh. vii. 21. 2. Pertaining to the Babylon of Revelation xiv.8. 3. Pertaining to Rome and papal power. [Obs.] The . . . injurious nickname of Babylonish. Gape. 4. Confused; Babel-like.
babyroussa |See Babyroussa.
babyrussa |See Babyroussa.
babyship |The quality of being a baby; the personality of an infant.
bac |1. A broad, flatbottomed ferryboat, usually worked by a rope. 2. A vat or cistern. See 1st Back.
baccalaureate |1. The degree of bachelor of arts. (B.A. or A.B.), the first or lowest academical degree conferred by universities and colleges. 2. A baccalaureate sermon. [U.S.]\n\nPertaining to a bachelor of arts. Baccalaureate sermon, in some American colleges, a sermon delivered as a farewell discourse to a graduating class.
baccara |A French game of cards, played by a banker and punters.
baccarat |A French game of cards, played by a banker and punters.
baccare |Stand back! give place! -- a cant word of the Elizabethan writers, probably in ridicule of some person who pretended to a knowledge of Latin which he did not possess. Baccare! you are marvelous forward. Shak.
baccate |Pulpy throughout, like a berry; -- said of fruits. Gray.
baccated |1. Having many berries. 2. Set or adorned with pearls. [Obs.]
bacchanal |1. Relating to Bacchus or his festival. 2. Engaged in drunken revels; drunken and riotous or noisy.\n\n1. A devotee of Bacchus; one who indulges in drunken revels; one who is noisy and riotous when intoxicated; a carouser. \"Tipsy bacchanals.\" Shak. 2. pl.  The festival of Bacchus; the bacchanalia. 3. Drunken revelry; an orgy. 4. A song or dance in honor of Bacchus.
bacchanalia |1. (Myth.)  A feast or an orgy in honor of Bacchus. 2. Hence: A drunken feast; drunken reveler.
bacchanalian |Of or pertaining to the festival of Bacchus; relating to or given to reveling and drunkenness. Even bacchanalian madness has its charms. Cowper.\n\nA bacchanal; a drunken reveler.
bacchanalianism |The practice of bacchanalians; bacchanals; drunken revelry.
bacchant |1. A priest of Bacchus. 2. A bacchanal; a reveler. Croly.\n\nBacchanalian; fond of drunken revelry; wine-loving; reveling; carousing. Byron.
bacchante |1. A priestess of Bacchus. 2. A female bacchanal.
bacchantic |Bacchanalian.
bacchic |Of or relating to Bacchus; hence, jovial, or riotous,with intoxication.
bacchical |Of or relating to Bacchus; hence, jovial, or riotous,with intoxication.
bacchius |A metrical foot composed of a short syllable and two long ones; according to some, two long and a short.
bacchus |The god of wine, son of Jupiter and Semele.
bacciferous |Producing berries. \" Bacciferous trees.\" Ray.
bacciform |Having the form of a berry.
baccivorous |Eating, or subsisting on, berries; as, baccivorous birds.
bace |See Base. [Obs.] Spenser.
bacharach |A kind of wine made at Bacharach on the Rhine.
bachelor |1. A man of any age who has not been married. As merry and mellow an old bachelor as ever followed a hound. W. Irving. 2. An unmarried woman. [Obs.] B. Jonson. 3. A person who has taken the first or lowest degree in the liberal arts, or in some branch of science, at a college or university; as, a bachelor of arts. 4. A knight who had no standard of his own, but fought under the standard of another in the field; often, a young knight. 5. In the companies of London tradesmen, one not yet admitted to wear the livery; a junior member. [Obs.] 6. (Zoöl.)  A kind of bass, an edible fresh-water fish (Pomoxys annularis) of the southern United States.
bachelordom |The state of bachelorhood; the whole body of bachelors.
bachelorhood |The state or condition of being a bachelor; bachelorship.
bachelorism |Bachelorhood; also, a manner or peculiarity belonging to bachelors. W. Irving. BACHELOR'S BUTTON Bach\"e*lor's but\"ton  , (Bot.) A plant with flowers shaped like buttons; especially, several species of Ranunculus, and the cornflower (Centaures cyanus) and globe amaranth (Gomphrena). Note: Bachelor's buttons, a name given to several flowers \"from their similitude to the jagged cloathe buttons, anciently worne in this kingdom\| according to Johnson's Gerarde| p.472 (1633); but by other writers ascribed to \"a habit of country fellows to carry them in their pockets to divine their success with their sweethearts.\" Dr. Prior."
bachelorship |The state of being a bachelor.
bachelry |The body of young aspirants for knighthood. [Obs.] Chaucer.
bacillar |Shaped like a rod or staff.
bacillariae |See Diatom.
bacillary |Of or pertaining to little rods; rod-shaped.
bacilliform |Rod-shaped.
bacillus |A variety of bacterium; a microscopic, rod-shaped vegetable organism.
back |1. A large shallow vat; a cistern, tub, or trough, used by brewers, distillers, dyers, picklers, gluemakers, and others, for mixing or cooling wort, holding water, hot glue, etc. Hop back, Jack back, the cistern which receives the infusion of malt and hops from the copper. -- Wash back, a vat in which distillers ferment the wort to form wash. -- Water back, a cistern to hold a supply of water; esp. a small cistern at the back of a stove, or a group of pipes set in the fire box of a stove or furnace, through which water circulates and is heated. 2. A ferryboat. See Bac, 1\n\n1. In human beings, the hinder part of the body, extending from the neck to the end of the spine; in other animals, that part of the body which corresponds most nearly to such part of a human being; as, the back of a horse, fish, or lobster. 2. An extended upper part, as of a mountain or ridge. [The mountains] their broad bare backs upheave Into the clouds. Milton. 3. The outward or upper part of a thing, as opposed to the inner or lower part; as, the back of the hand, the back of the foot, the back of a hand rail. Methought Love pitying me, when he saw this, Gave me your hands, the backs and palms to kiss. Donne. 4. The part opposed to the front; the hinder or rear part of a thing; as, the back of a book; the back of an army; the back of a chimney. 5. The part opposite to, or most remote from, that which fronts the speaker or actor; or the part out of sight, or not generally seen; as, the back of an island, of a hill, or of a village. 6. The part of a cutting tool on the opposite side from its edge; as, the back of a knife, or of a saw. 7. A support or resource in reserve. This project Should have a back or second, that might hold, If this should blast in proof. Shak. 8. (Naut.)  The keel and keelson of a ship. 9. (Mining)  The upper part of a lode, or the roof of a horizontal underground passage. 10. A garment for the back; hence, clothing. A bak to walken inne by daylight. Chaucer. Behind one's back, when one is absent; without one's knowledge; as, to ridicule a person behind his back. -- Full back, Half back, Quarter back (Football), players stationed behind those in the front line. -- To be or lie on one's back, to be helpless. -- To put, or get, one's back up, to assume an attitude of obstinate resistance (from the action of a cat when attacked.). [Colloq.] -- To see the back of, to get rid of. -- To turn the back, to go away; to flee. -- To turn the back on one, to forsake or neglect him.\n\n1. Being at the back or in the rear; distant; remote; as, the back door; back settlements. 2. Being in arrear; overdue; as, back rent. 3. Moving or operating backward; as, back action. Back charges, charges brought forward after an account has been made up. -- Back filling (Arch.), the mass of materials used in filling up the space between two walls, or between the inner and outer faces of a wall, or upon the haunches of an arch or vault. -- Back pressure. (Steam Engine) See under Pressure. -- Back rest, a guide attached to the slide rest of a lathe, and placed in contact with the work, to steady it in turning. -- Back slang, a kind of slang in which every word is written or pronounced backwards; as, nam for man. -- Back stairs, stairs in the back part of a house; private stairs. Also used adjectively. See Back stairs, Backstairs, and Backstair, in the Vocabulary. -- Back step (Mil.), the retrograde movement of a man or body of men, without changing front. -- Back stream, a current running against the main current of a stream; an eddy. -- To take the back track, to retrace one's steps; to retreat. [Colloq.]\n\n1. To get upon the back of; to mount. I will back him [a horse] straight. Shak. 2. To place or seat upon the back. [R.] Great Jupiter, upon his eagle backed, Appeared to me. Shak. 3. To drive or force backward; to cause to retreat or recede; as, to back oxen. 4. To make a back for; to furnish with a back; as, to back books. 5. To adjoin behind; to be at the back of. A garden . . . with a vineyard backed. Shak. The chalk cliffs which back the beach. Huxley. 6. To write upon the back of; as, to back a letter; to indorse; as, to back a note or legal document. 7. To support; to maintain; to second or strengthen by aid or influence; as, to back a friend. \"Parliament would be backed by the people.\" Macaulay. Have still found it necessary to back and fortify their laws with rewards and punishments. South. The mate backed the captain manfully. Blackw. Mag. 8. To bet on the success of; -- as, to back a race horse. To back an anchor (Naut.), to lay down a small anchor ahead of a large one, the cable of the small one being fastened to the crown of the large one. -- To back the field, in horse racing, to bet against a particular horse or horses, that some one of all the other horses, collectively designated \"the field\| will win. -- To back the oars| to row backward with the oars. -- To back a rope| to put on a preventer. -- To back the sails| to arrange them so as to cause the ship to move astern. -- To back up| to support; to sustain; as| to back up one's friends. -- To back a warrant (Law)| is for a justice of the peace| in the county where the warrant is to be executed| to sign or indorse a warrant| issued in another county| to apprehend an offender. -- To back water (Naut.)| to reverse the action of the oars| paddles| or propeller| so as to force the boat or ship backward.\n\n1. To move or go backward; as| the horse refuses to back. 2. (Naut.)  To change from one quarter to another by a course opposite to that of the sun; -- used of the wind. 3. (Sporting)  To stand still behind another dog which has poined; -- said of a dog. [Eng.] To back and fill| to manage the sails of a ship so that the wind strikes them alternately in front and behind| in order to keep the ship in the middle of a river or channel while the current or tide carries the vessel against the wind. Hence| (Fig.) To take opposite positions alternately; to assert and deny. [Colloq.] -- To back out| To back down| to retreat or withdraw from a promise| engagement| or contest; to recede. [Colloq.] Cleon at first . . . was willing to go; but| finding that he [Nicias] was in earnest| he tried to back out. Jowett (Thucyd. )\n\n1. In| to| or toward| the rear; as| to stand back; to step back. 2. To the place from which one came; to the place or person from which something is taken or derived; as| to go back for something left behind; to go back to one's native place; to put a book back after reading it. 3. To a former state| condition| or station; as| to go back to private life; to go back to barbarism. 4. ( Of time) In times past; ago. \"Sixty or seventy years back.\" Gladstone. 5. Away from contact; by reverse movement. The angel of the Lord . . . came| and rolled back the stone from the door. Matt. xxvii. 2. 6. In concealment or reserve; in one's own possession; as| to keep back the truth; to keep back part of the money due to another. 7. In a state of restraint or hindrance. The Lord hath kept thee back from honor. Numb. xxiv. 11. 8. In return| repayment| or requital. What have I to give you back! Shak. 9. In withdrawal from a statement| promise| or undertaking; as| he took back0 the offensive words. 10. In arrear; as| to be back in one's rent. [Colloq.] Back and forth| backwards and forwards; to and fro. -- To go back on| to turn back from; to abandon; to betray; as| to go back on a friend; to go back on one's professions. [Colloq.]"
back door |A door in the back part of a building; hence, an indirect way. Atterbury.
back fire |(a) A fire started ahead of a forest or prairie fire to burn only against the wind, so that when the two fires meet both must go out for lack of fuel. (b) A premature explosion in the cylinder of a gas or oil engine during the exhaust or the compression stroke, tending to drive the piston in a direction reverse to that in which it should travel; also, an explosion in the exhaust passages of such ah engine.
back stairs |Stairs in the back part of a house, as distinguished from the front stairs; hence, a private or indirect way.
back-fire |1. (Engin.)  To have or experience a back fire or back fires; -- said of an internal-combustion engine. 2.  Of a Bunsen or similar air-fed burner, to light so that the flame proceeds from the internal gas jet instead of from the external jet of mixed gas and air. -- Back\"-fir`ing, n.
backarack |A kind of wine made at Bacharach on the Rhine.\n\nSee Bacharach.
backare |Stand back! give place! -- a cant word of the Elizabethan writers, probably in ridicule of some person who pretended to a knowledge of Latin which he did not possess. Baccare! you are marvelous forward. Shak.\n\nSame as Baccare.
backband |The band which passes over the back of a horse and holds up the shafts of a carriage.
backbite |To wound by clandestine detraction; to censure meanly or spitefully (as absent person); to slander or speak evil of (one absent). Spenser.\n\nTo censure or revile the absent. They are arrant knaves, and will backbite. Shak.
backbiter |One who backbites; a secret calumniator or detractor.
backbiting |Secret slander; detraction. Backbiting, and bearing of false witness. Piers Plowman.
backboard |1. A board which supports the back wen one is sitting; Note: specifically, the board athwart the after part of a boat. 2. A board serving as the back part of anything, as of a wagon. 3. A thin stuff used for the backs of framed pictures, mirrors, etc. 4. A board attached to the rim of a water wheel to prevent the water from running off the floats or paddies into the interior of the wheel. W. Nicholson. 5. A board worn across the back to give erectness to the figure. Thackeray.
backbond |An instrument which, in conjunction with another making an absolute disposition, constitutes a trust.
backbone |1. The column of bones in the back which sustains and gives firmness to the frame; the spine; the vertebral or spinal column. 2. Anything like , or serving the purpose of, a backbone. The lofty mountains on the north side compose the granitic axis, or backbone of the country. Darwin. We have now come to the backbone of our subject. Earle. 3. Firmness; moral principle; steadfastness. Shelley's thought never had any backbone. Shairp. To the backbone, through and through; thoroughly; entirely. \"Staunch to the backbone.\" Lord Lytton.
backboned |Vertebrate.
backcast |Anything which brings misfortune upon one, or causes failure in an effort or enterprise; a reverse. [Scot.]
backdoor |Acting from behind and in concealment; as backdoor intrigues.
backdown |A receding or giving up; a complete surrender. [Colloq.]
backed |Having a back; fitted with a back; as, a backed electrotype or stereotype plate. Used in composition; as, broad- backed; hump- backed.
backer |One who, or that which, backs; especially one who backs a person or thing in a contest.
backfall |A fall or throw on the back in wrestling.
backfriend |A secret enemy. [Obs.] South.
backgammon |A game of chance and skill, played by two persons on a \"board\" marked off into twenty-four spaces called \"points\". Each player has fifteen pieces, or \"men\| the movements of which from point to point are determined by throwing dice. Formerly called tables. Backgammon board | a board for playing backgammon| often made in the form of two rectangular trays hinged together| each tray containing two \"tables\".\n\nIn the game of backgammon| to beat by ending the game before the loser is clear of his first \"table\"."
background |1. Ground in the rear or behind, or in the distance, as opposed to the foreground, or the ground in front. 2. (Paint.)  The space which is behind and subordinate to a portrait or group of figures. Note: The distance in a picture is usually divided into foreground, middle distance, and background. Fairholt. 3. Anything behind, serving as a foil; as, the statue had a background of red hangings. 4. A place in obscurity or retirement, or out of sight. I fancy there was a background of grinding and waiting before Miss Torry could produce this highly finished . . . performance. Mrs. Alexander. A husband somewhere in the background. Thackeray.
backhand |A kind of handwriting in which the downward slope of the letters is from left to right.\n\n1. Sloping from left to right; -- said of handwriting. 2. Backhanded; indirect; oblique. [R.]
backhanded |1. With the hand turned backward; as, a backhanded blow. 2. Indirect; awkward; insincere; sarcastic; as, a backhanded compliment. 3. Turned back, or inclining to the left; as, a backhanded letters.
backhandedness |State of being backhanded; the using of backhanded or indirect methods.
backhander |A backhanded blow.
backheel |A method of tripping by getting the leg back of the opponent's heel on the outside and pulling forward while pushing his body back; a throw made in this way. -- v. t.  To trip (a person) in this way.
backhouse |A building behind the main building. Specifically: A privy; a necessary.
backing |1. The act of moving backward, or of putting or moving anything backward. 2. That which is behind, and forms the back of, anything, usually giving strength or stability. 3. Support or aid given to a person or cause. 4. (Bookbinding)  The preparation of the back of a book with glue, etc., before putting on the cover.
backjoint |A rebate or chase in masonry left to receive a permanent slab or other filling.
backlash |The distance through which one part of connected machinery, as a wheel, piston, or screw, can be moved without moving the connected parts, resulting from looseness in fitting or from wear; also, the jarring or reflex motion caused in badly fitting machinery by irregularities in velocity or a reverse of motion.
backless |Without a back.
backlog |A large stick of wood, forming the of a fire on the hearth. [U.S.] There was first a backlog, from fifteen to four and twenty inches in diameter and five feet long, imbedded in the ashes. S. G. Goodrich.
backpiece |A piece, or plate which forms the back of anything, or which covers the back; armor for the back.
backplate |A piece, or plate which forms the back of anything, or which covers the back; armor for the back.
backrack |See Bacharach.
backrag |See Bacharach.
backs |Among leather dealers, the thickest and stoutest tanned hides.
backsaw |A saw (as a tenon saw) whose blade is stiffened by an added metallic back.
backset |1. A check; a relapse; a discouragement; a setback. 2. Whatever is thrown back in its course, as water. Slackwater, or the backset caused by the overflow. Harper's Mag.\n\nTo plow again, in the fall; -- said of prairie land broken up in the spring. [Western U.S.]
backsettler |One living in the back or outlying districts of a community. The English backsettlers of Leinster and Munster. Macaulay.
backsheesh |In Egypt and the Turkish empire, a gratuity; a \"tip\".
backshish |In Egypt and the Turkish empire, a gratuity; a \"tip\".
backside |The hinder part, posteriors, or rump of a person or animal. Note: Backside (one word) was formerly used of the rear part or side of any thing or place, but in such senses is now two words.
backsight |The reading of the leveling staff in its unchanged position when the leveling instrument has been taken to a new position; a sight directed backwards to a station previously occupied. Cf. Foresight, n., 3.
backslide |To slide back; to fall away; esp. to abandon gradually the faith and practice of a religion that has been professed.
backslider |One who backslides.
backsliding |Slipping back; falling back into sin or error; sinning. Turn, O backsliding children, saith the Lord. Jer. iii. 14.\n\nThe act of one who backslides; abandonment of faith or duty. Our backslidings are many. Jer. xiv. 7.
backstaff |An instrument formerly used for taking the altitude of the heavenly bodies, but now superseded by the quadrant and sextant; -- so called because the observer turned his back to the body observed.
backstair |Private; indirect; secret; intriguing; as if finding access by the back stairs. A backstairs influence. Burke. Female caprice and backstairs influence. Trevelyan.
backstairs |Private; indirect; secret; intriguing; as if finding access by the back stairs. A backstairs influence. Burke. Female caprice and backstairs influence. Trevelyan.
backstay |1. (Naut.)  A rope or stay extending from the masthead to the side of a ship, slanting a little aft, to assist the shrouds in supporting the mast. [ Often used in the plural.] 2. A rope or strap used to prevent excessive forward motion.
backster |A backer. [Obs.]
backstitch |A stitch made by setting the needle back of the end of the last stitch, and bringing it out in front of the end.\n\nTo sew with backstitches; as, to backstitch a seam.
backstop |1. In baseball, a fence, prop. at least 90 feet behind the home base, to stop the balls that pass the catcher; also, the catcher himself. 2.  In rounders, the player who stands immediately behind the striking base. 3.  In cricket, the longstop; also, the wicket keeper.
backstress |A female baker. [Obs.]
backsword |1. A sword with one sharp edge. 2. In England, a stick with a basket handle, used in rustic amusements; also, the game in which the stick is used. Also called singlestick. Halliwell.
