gon |imp. & p. p. of Go. [Obs.] Chaucer.
grain |See Groan. [Obs.]\n\n1. A single small hard seed; a kernel, especially of those plants, like wheat, whose seeds are used for food. 2. The fruit of certain grasses which furnish the chief food of man, as corn, wheat, rye, oats, etc., or the plants themselves; -- used collectively. Storehouses crammed with grain. Shak. 3. Any small, hard particle, as of sand, sugar, salt, etc.; hence, any minute portion or particle; as, a grain of gunpowder, of pollen, of starch, of sense, of wit, etc. I . . . with a grain of manhood well resolved. Milton. 4. The unit of the English system of weights; -- so called because considered equal to the average of grains taken from the middle of the ears of wheat. 7,000 grains constitute the pound avoirdupois, and 5,760 grains the pound troy. A grain is equal to .0648 gram. See Gram. 5. A reddish dye made from the coccus insect, or kermes; hence, a red color of any tint or hue, as crimson, scarlet, etc.; sometimes used by the poets as equivalent to Tyrian purple. All in a robe of darkest grain. Milton. Doing as the dyers do, who, having first dipped their silks in colors of less value, then give' them the last tincture of crimson in grain. Quoted by Coleridge, preface to Aids to Reflection. 6. The composite particles of any substance; that arrangement of the particles of any body which determines its comparative roughness or hardness; texture; as, marble, sugar, sandstone, etc., of fine grain. Hard box, and linden of a softer grain. Dryden. 7. The direction, arrangement, or appearance of the fibers in wood, or of the strata in stone, slate, etc. Knots, by the conflux of meeting sap, Infect the sound pine and divert his grain Tortive and errant from his course of growth. Shak. 8. The fiber which forms the substance of wood or of any fibrous material. 9. The hair side of a piece of leather, or the marking on that side. Knight. 10. pl.  The remains of grain, etc., after brewing or distillation; hence, any residuum. Also called draff. 11. (Bot.)  A rounded prominence on the back of a sepal, as in the common dock. See Grained, a., 4. 12. Temper; natural disposition; inclination. [Obs.] Brothers . . . not united in grain. Hayward. 13. A sort of spice, the grain of paradise. [Obs.] He cheweth grain and licorice, To smellen sweet. Chaucer. Against the grain, against or across the direction of the fibers; hence, against one's wishes or tastes; unwillingly; unpleasantly; reluctantly; with difficulty. Swift.Saintsbury.-- A grain of allowance, a slight indulgence or latitude a small allowance. -- Grain binder, an attachment to a harvester for binding the grain into sheaves. -- Grain colors, dyes made from the coccus or kermes in sect. -- Grain leather. (a) Dressed horse hides. (b) Goat, seal, and other skins blacked on the grain side for women's shoes, etc. -- Grain moth (Zoöl.), one of several small moths, of the family Tineidæ (as Tinea granella and Butalis cereAlella), whose larvæ devour grain in storehouses. -- Grain side (Leather), the side of a skin or hide from which the hair has been removed; -- opposed to flesh side. -- Grains of paradise, the seeds of a species of amomum. -- grain tin, crystalline tin ore metallic tin smelted with charcoal. -- Grain weevil (Zoöl.), a small red weevil (Sitophilus granarius), which destroys stored wheat and othar grain, by eating out the interior. -- Grain worm (Zoöl.), the larva of the grain moth. See grain moth, above. -- In grain, of a fast color; deeply seated; fixed; innate; genuine. \"Anguish in grain.\" Herbert.-- To dye in grain, to dye of a fast color by means of the coccus or kermes grain [see Grain, n., 5]; hence, to dye firmly; also, to dye in the wool, or in the raw material. See under Dye. The red roses flush up in her cheeks . . . Likce crimson dyed in grain. Spenser. -- To go against the grain of (a person), to be repugnant to; to vex, irritate, mortify, or trouble.\n\n1. To paint in imitation of the grain of wood, marble, etc. 2. To form (powder, sugar, etc.) into grains. 3. To take the hair off (skins); to soften and raise the grain of (leather, etc.).\n\n1. To yield fruit. [Obs.] Gower. 2. To form grains, or to assume a granular ferm, as the result of crystallization; to granulate.\n\n1. A branch of a tree; a stalk or stem of a plant. [Obs.] G. Douglas. 2. A tine, prong, or fork. Specifically: (a) One the branches of a valley or of a river. (b) pl.  An iron first speak or harpoon, having four or more barbed points. 3. A blade of a sword, knife, etc. 4. (Founding)  A thin piece of metal, used in a mold to steady a core.
grained |1. Having a grain; divided into small particles or grains; showing the grain; hence, rough. 2. Dyed in grain; ingrained. Persons lightly dipped, not grained, in generous honesty, are but pale in goodness. Sir T. Browne. 3. Painted or stained in imitation of the grain of wood, marble, etc. 4. (Bot.)  Having tubercles or grainlike processes, as the petals or sepals of some flowers.
grainer |1. An infusion of pigeon's dung used by tanners to neutralize the effects of lime and give flexibility to skins; -- called also grains and bate. 2. A knife for taking the hair off skins. 3. One who paints in imitation of the grain of wood, marble, etc.; also, the brush or tool used in graining.
grainfield |A field where grain is grown.
graining |1. Indentation; roughening; milling, as on edges of coins. Locke. 2. A process in dressing leather, by which the skin is softened and the grain raised. 3. Painting or staining, in imitation of the grain of wood, atone, etc. 4. (Soap Making)  The process of separating soap from spent lye, as with salt.\n\nA small European fresh-water fish (Leuciscus vulgaris); - called also dobule, and dace.
grains |1. See 5th Grain, n., 2 (b). 2. Pigeon's dung used in tanning. See Grainer. n., 1.
grainy |Resembling grains; granular.
graip |A dungfork. [Scot.] Burns.
graith |See Greith. Chaucer.\n\nFurniture; apparatus or accouterments for work, traveling, war, etc. [Scot.] Jamieson.
grakle |See Grackle.
grallae |An order of birds which formerly included all the waders. By later writers it is usually restricted to the sandpipers, plovers, and allied forms; -- called also Grallatores.
grallatores |See Grallæ.
grallatorial |Of or pertaining to the Grallatores, or waders.
grallatory |Of or pertaining to the Grallatores, or waders.
grallic |Pertaining to the Grallæ.
gralline |Of or pertaining to the Grallæ.
gralloch |Offal of a deer. -- v. t.  To remove the offal from (a deer).
gram |Angry. [Obs.] Havelok, the Dane.\n\nThe East Indian name of the chick-pea (Cicer arietinum) and its seeds; also, other similar seeds there used for food.\n\nThe unit of weight in the metric system. It was intended to be exactly, and is very nearly, equivalent to the weight in a vacuum of one cubic centimeter of pure water at its maximum density. It is equal to 15.432 grains. See Grain, n., 4. Gram degree, or Gramme degree (Physics), a unit of heat, being the amount of heat necessary to raise the temperature of one gram of pure water one degree centigrade. -- Gram equivalent (Electrolysis), that quantity of the metal which will replace one gram of hydrogen.
grama grass |The name of several kinds of pasture grasses found in the Western United States, esp. the Bouteloua oligostachya.
gramarye |Necromancy; magic. Sir W. Scott.
gramashes |Gaiters reaching to the knee; leggings. Strong gramashes, or leggings of thick gray cloth. Sir W. Scott.
grame |1. Anger; wrath; scorn. [Obs.] Chaucer. 2. Sorrow; grief; misery. [Obs.] Chaucer.
gramercy |A word formerly used to express thankfulness, with surprise; many thanks. Gramercy, Mammon, said the gentle knight. Spenser.
graminaceous |Pertaining to, or resembling, the grasses; gramineous; as, graminaceous plants.
gramineal |Gramineous.
gramineous |Like, Or pertaining to, grass. See Grass, n., 2.
graminifolious |Bearing leaves resembling those of grass.
graminivorous |Feeding or subsisting on grass, and the like food; -- said of horses, cattle, and other animals.
grammalogue |Literally, a letter word; a word represented by a logogram; as, it, represented by |, that is, t. pitman.
grammar |1. The science which treats of the principles of language; the study of forms of speech, and their relations to one another; the art concerned with the right use aud application of the rules of a language, in speaking or writing. Note: The whole fabric of grammar rests upon the classifying of words according to their function in the sentence. Bain. 2. The art of speaking or writing with correctness or according to established usage; speech considered with regard to the rules of a grammar. The original bad grammar and bad spelling. Macaulay. 3. A treatise on the principles of language; a book containing the principles and rules for correctness in speaking or writing. 4. treatise on the elements or principles of any science; as, a grammar of geography. Comparative grammar, the science which determines the relations of kindred languages by examining and comparing their grammatical forms. -- Grammar school. (a) A school, usually endowed, in which Latin and Greek grammar are taught, as also other studies preparatory to colleges or universities; as, the famous Rugby Grammar School. This use of the word is more common in England than in the United States. When any town shall increase to the number of a hundred families or householders, they shall set up a grammar school, the master thereof being able to instruct youth so far as they may be fitted for the University. Mass. Records (1647). (b) In the American system of graded common schools an intermediate grade between the primary school and the high school, in which the principles of English grammar are taught.\n\nTo discourse according to the rules of grammar; to use grammar. [Obs.] Beau. & Fl.
grammarian |1. One versed in grammar, or the construction of languages; a philologist. Note: \"The term was used by the classic ancients as a term of honorable distinction for all who were considered learned in any art or faculty whatever.\" Brande & C. 2. One who writes on, or teaches, grammar.
grammarianism |The principles, practices, or peculiarities of grammarians. [R.]
grammarless |Without grammar.
grammates |Rudiments; first principles, as of grammar. [Obs.] Ford.
grammatic |Grammatical.
grammatical |1. Of or pertaining to grammar; of the nature of grammar; as, a grammatical rule. 2. According to the rules of grammar; grammatically correct; as, the sentence is not grammatical; the construction is not grammatical. -- Gram*mat\"ic*al*ly, adv. -- Gram*mat\"ic*al*ness, n.
grammaticaster |A petty grammarian; a grammatical pedant or pretender. My noble Neophite, my little grammaticaster. B. Jonson.
grammatication |A principle of grammar; a grammatical rule. [Obs.] Dalgarno.
grammaticism |A point or principle of grammar. Abp. Leighton.
grammaticize |To render grammatical. Fuller.
grammatist |A petty grammarian. [R] Tooke.
gramme |The unit of weight in the metric system. It was intended to be exactly, and is very nearly, equivalent to the weight in a vacuum of one cubic centimeter of pure water at its maximum density. It is equal to 15.432 grains. See Grain, n., 4. Gram degree, or Gramme degree (Physics), a unit of heat, being the amount of heat necessary to raise the temperature of one gram of pure water one degree centigrade. -- Gram equivalent (Electrolysis), that quantity of the metal which will replace one gram of hydrogen.\n\nSame as Gram the weight.
gramme machine |A kind of dynamo-electric machine; -- so named from its French inventor, M. Gramme. Knight.
gramophone |An instrument for recording, preserving, and reproducing sounds, the record being a tracing of a phonautograph etched in some solid material. Reproduction  is accomplished by means of a system attached to an elastic diaphragm.
grampus |1. (Zoöl.)  A toothed delphinoid cetacean, of the genus Grampus, esp. G. griseus of Europe and America, which is valued for its oil. It grows to be fifteen to twenty feet long; its color is gray with white streaks. Called also cowfish. The California grampus is G. Stearnsii. 2. A kind of tongs used in a bloomery. [U.S.]
granade |See Grenade.
granadilla |The fruit of certain species of passion flower (esp. Passiflora quadrangularis) found in Brazil and the West Indies. It is as large as a child's head, and is a good dessert fruit. The fruit of Passiflora edulis is used for flavoring ices.
granado |See Grenade.
granary |A storehouse or repository for grain, esp. after it is thrashed or husked; a cornbouse; also (Fig.), a region fertile in grain. The exhaustless granary of a world. Thomson.
granate |See Garnet.
granatin |Mannite; -- so called because found in the pomegranate.
granatite |See Staurolite.
grand |1. Of large size or extent; great; extensive; hence, relatively great; greatest; chief; principal; as, a grand mountain; a grand army; a grand mistake. \"Our grand foe, Satan.\" Milton. Making so bold . . . to unseal Their grand commission. Shak. 2. Great in size, and fine or imposing in appearance or impression; illustrious, dignifled, or noble (said of persons); majestic, splendid, magnificent, or sublime (said of things); as, a grand monarch; a grand lord; a grand general; a grand view; a grand conception. They are the highest models of expression, the unapproached masters of the grand style. M. Arnold. 3. Having higher rank or more dignity, size, or importance than other persons or things of the same name; as, a grand lodge; a grand vizier; a grand piano, etc. 4. Standing in the second or some more remote degree of parentage or descent; -- generalIy used in composition; as, grandfather, grandson, grandchild, etc. What cause Mov'd our grand parents, in that happy state, Favor'd of Heaven so highly, to fall off From their Creator. Milton. Grand action, a pianoforte action, used in grand pianos, in which special devices are employed to obtain perfect action of the hammer in striking and leaving the string. -- Grand Army of the Republic, an organized voluntary association of men who served in the Union army or navy during the civil war in the United States. The order has chapters, called Posts, throughout the country. -- Grand cross. (a) The highest rank of knighthood in the Order of the Bath. (b) A knight grand cross. -- Grand cordon, the cordon or broad ribbon, identified with the highest grade in certain honorary orders; hence, a person who holds that grade. -- Grand days (Eng. Law), certain days in the terms which are observed as holidays in the inns of court and chancery (Candlemas, Ascension, St. John Baptist's, and All Saints' Days); called also Dies non juridici. -- Grand duchess. (a) The wife or widow of a grand duke. (b) A lady having the sovereignty of a duchy in her own right. (c) In Russia, a daughter of the Czar. -- Grand duke. (a) A sovereign duke, inferior in rank to a king; as, the Grand Duke of Tuscany. (b) In Russia, a son of the Czar. (c) (Zoöl.) The European great horned owl or eagle owl (Bubo maximas). -- Grand-guard, or Grandegarde, a piece of plate armor used in tournaments as an extra protection for the left shoulder and breast. -- Grand juror, a member of a grand jury. -- Grand jury (Law), a jury of not less than twelve men, and not more than twenty-three, whose duty it is, in private session, to examine into accusations against persons charged with crime, and if they see just cause, then to find bills of indictment against them, to be presented to the court; -- called also grand inquest. -- Grand juryman, a grand juror. -- Grand larceny. (Law) See under Larceny. -- Grand lodge, the chief lodge, or governing body, among Freemasons and other secret orders. -- Grand master. (a) The head of one of the military orders of knighthood, as the Templars, Hospitallers, etc. (b) The head of the order of Freemasons or of Good Templars, etc. -- Grand paunch, a glutton or gourmand. [Obs.] Holland. -- Grand pensionary. See under Pensionary. -- Grand piano (Mus.), a large piano, usually harp-shaped, in which the wires or strings are generally triplicated, increasing the power, and all the mechanism is introduced in the most effective manner, regardless of the size of the instrument. -- Grand relief (Sculp.), alto relievo. -- Grand Seignior. See under Seignior. -- Grand stand, the principal stand, or erection for spectators, at a, race course, etc. -- Grand vicar (Eccl.), a principal vicar; an ecclesiastical delegate in France. -- Grand vizier. See under Vizier. Syn. -- Magnificent; sublime; majestic; dignified; elevated; stately; august; pompous; lofty; eralted; noble. -- Grand, Magnificent, Sublime. Grand, in reference to objects of taste, is applied to that which expands the mind by a sense of vastness and majesty; magnificent is applied to anything which is imposing from its splendor; sublime describes that which is awful and elevating. A cataract is grand; a rich and varied landscape is magnificent; an overhanging precipice is sublime. \"Grandeur admits of degrees and modifications; but magnificence is that which has already reached the highest degree of superiority naturally belonging to the object in question.\" Crabb.
grand mercy |See Gramercy. [Obs.]
grand-ducal |Of or pertaining to a grand duke. H. James.
grandam |An old woman; specifically, a grandmother. Shak.
grandaunt |The aunt of one's father or mother.
grandchild |A son's or daughter's child; a child in the second degree of descent.
granddaughter |The daughter of one's son or daughter.
grandee |A man of elevated rank or station; a nobleman. In Spain, a nobleman of the first rank, who may be covered in the king's presence.
grandeeship |The rank or estate of a grandee; lordship. H. Swinburne.
grandeur |The state or quality of being grand; vastness; greatness; splendor; magnificence; stateliness; sublimity; dignity; elevation of thought or expression; nobility of action. Nor doth this grandeur and majestic show Of luxury . . . allure mine eye. Milton. Syn. -- Sublimity; majesty; stateliness; augustness; loftiness. See Sublimity.
grandevity |Great age; long life. [Obs.] Glanvill.
grandevous |Of great age; aged; longlived. [R.] Bailey.
grandfather |A father's or mother's father; an ancestor in the next degree above the father or mother in lineal ascent. Grandfather longlegs. (Zoöl.) See Dady longlegs.
grandfatherly |Like a grandfather in age or manner; kind; benignant; indulgent. He was a grandfatherly sort of personage. Hawthorne.
grandific |Making great. [R.] Bailey.
grandiloquence |The use of lofty words or phrases; bombast; -- usually in a bad sense. The sin of grandiloquence or tall talking. Thackeray,
grandiloquent |Speaking in a lofty style; pompous; bombastic.
grandiloquous |Grandiloquent.
grandinous |Consisting of hail; abounding in hail. [R.] Bailey.
grandiose |1. Impressive or elevating in effect; vimposing; splendid; striking; -- in a good sense. The tone of the parts was to be perpetually kept down in order not to impair the grandiose effect of the whole. M. Arnold. The grandiose red tulips which grow wild. C. Kingsley. 2. Characterized by affectation of grandeur or splendor; flaunting; turgid; bombastic; -- in a bad sense; as, a grandiose style.
grandiosity |The state or quality of being grandiose,
grandity |Grandness. [Obs.] Camden.
grandly |In a grand manner.
grandma |A grand mother.
grandmamma |A grand mother.
grandmother |The mother of one's father or mother.
grandmotherly |Like a grandmother in age or manner; kind; indulgent.
grandnephew |The grandson of one's brother or sister.
grandness |Grandeur. Wollaston.
grandniece |The granddaughter of one's brother or sister.
grandpa |A grandfather.
grandpapa |A grandfather.
grandsire |Specifically, a grandfather; more generally, any ancestor.
grandson |A son's or daughter's son.
granduncle |father's or mother's uncle.
grane |See Groan. [Obs.]
grange |1. A building for storing grain; a granary. [Obs.] Milton. 2. A farmhouse, with the barns and other buildings for farming purposes. And eke an officer out for to ride, To see her granges and her bernes wide. Chaucer. Nor burnt the grange, nor bussed the milking maid. Tennyson. 3. A farmhouse of a monastery, where the rents and tithes, paid in grain, were deposited. [Obs.] 4. A farm; generally, a farm with a house at a distance from neighbors. 5. An association of farmers, designed to further their interests, aud particularly to bring producers and consumers, farmers and manufacturers, into direct commercial relations, without intervention of middlemen or traders. The first grange was organized in 1867. [U. S.]
granger |1. A farm steward. [Obs.] 2. A member of a grange. [U. S.]
granger railroads |Certain railroads whose traffic largely consists in carrying the produce of farmers or grangers; -- specifically applied to the Chicago & Alton; Chicago, Burlington & Quincey; Chicago, Rock Island & Pacific; Chicago, Milwaukee & St. Paul; and Chicago & Northwestern, railroads. [U. S.].
granger roads |Certain railroads whose traffic largely consists in carrying the produce of farmers or grangers; -- specifically applied to the Chicago & Alton; Chicago, Burlington & Quincey; Chicago, Rock Island & Pacific; Chicago, Milwaukee & St. Paul; and Chicago & Northwestern, railroads. [U. S.].
granger shares |Stocks or shares of the granger railroads.
granger stocks |Stocks or shares of the granger railroads.
grangerism |The practice of illustrating a particular book by engravings collected from other books.
grangerite |One who collects illustrations from various books for the decoration of one book.
grangerize |To collect (illustrations from books) for decoration of other books. G. A. Sala.
graniferous |Bearing grain, or seeds like grain. Humble.
graniform |Formed like of corn.
granilla |Small grains or dust of cochineal or the coccus insect.
granite |A crystalline, granular rock, consisting of quartz, feldspar, and mica, and usually of a whitish, grayish, or flesh-red color. It differs from gneiss in not having the mica in planes, and therefor in being destitute of a schistose structure. Note: Varieties containing hornblende are common. See also the Note under Mica. Gneissoid granite, granite in which the mica has traces of a regular arrangement. -- Graphic granite, granite consisting of quartz and feldspar without mica, and having the quartz crystals so arranged in the transverse section like oriental characters. -- Porphyritic granite, granite containing feldspar in distinct crystals. -- Hornblende granite, or Syenitic granite, granite containing hornblende as well as mica, or, according to some authorities hornblende replacing the mica. -- Granite ware. (a) A kind of stoneware. (b) A Kind of ironware, coated with an enamel resembling granite.
granite state |New Hampshire; -- a nickname alluding to its mountains, which are chiefly of granite.\n\nNew Hampshire; -- a nickname alluding to its mountains, which are chiefly of granite. [Webster 1913 Suppl.]
granitic |1. Like granite in composition, color, etc.; having the nature of granite; as, granitic texture. 2. Consisting of granite; as, granitic mountains.
granitical |Granitic.
granitification |The act or the process of forming into granite. Humble.
granitiform |Resembling granite in structure or shape.
granitoid |Resembling granite in granular appearance; as, granitoid gneiss; a granitoid pavement.
granivorous |Eating grain; feeding or subsisting on seeds; as, granivorous birds. Gay.
grannam |A grandam. [Colloq.]
granny |A grandmother; a grandam; familiarly, an old woman. Granny's bend, or Granny's knot (Naut.), a kind of insecure knot or hitch; a reef knot crossed the wrong way.
granolithic |A kind of hard artificial stone, used for pavements.
grant |1. To give over; to make conveyance of; to give the possession or title of; to convey; -- usually in answer to petition. Grant me the place of this threshing floor. 1 Chrcn. xxi. 22. 2. To bestow or confer, with or without compensation, particularly in answer to prayer or request; to give. Wherefore did God grant me my request. Milton. 3. To admit as true what is not yet satisfactorily proved; to yield belief to; to allow; to yield; to concede. Grant that the Fates have firmed by their decree. Dryden. Syn.-- To give; confer; bestow; convey; transfer; admit; allow; concede. See Give.\n\nTo assent; to consent. [Obs.] Chaucer.\n\n1. The act of granting; a bestowing or conferring; concession; allowance; permission. 2. The yielding or admission of something in dispute. 3. The thing or property granted; a gift; a boon. 4. (Law)  A transfer of property by deed or writing; especially, au appropriation or conveyance made by the government; as, a grant of land or of money; also, the deed or writing by which the transfer is made. Note: Formerly, in English law, the term was specifically applied to transfrrs of incorporeal hereditaments, expectant estates, and letters patent from government and such is its present application in some of the United States. But now, in England the usual mode of transferring realty is by grant; and so, in some of the United States, the term grant is applied to conveyances of every kind of real property. Bouvier. Burrill.
grantable |Capable of being granted.
grantee |The person to whom a grant or conveyance is made. His grace will not survive the poor grantee he despises. Burke.
granter |One who grants.
grantor |The person by whom a grant or conveyance is made.
granular |Consisting of, or resembling, grains; as, a granular substance. Granular limestone, crystalline limestone, or marble, having a granular structure.
granularly |In a granular form.
granulary |Granular.
granulate |1. To form into grains or small masses; as, to granulate powder, sugar, or metal. 2. To raise in granules or small asperities; to make rough on the surface.\n\nTo collect or be formed into grains; as, cane juice granulates into sugar.\n\n1. Consisting of, or resembling, grains; crystallized in grains; granular; as, granulated sugar. 2. Having numerous small elevations, as shagreen. Granulated steel, a variety of steel made by a particular process beginning with the granulation of pig iron.
granulated |1. Consisting of, or resembling, grains; crystallized in grains; granular; as, granulated sugar. 2. Having numerous small elevations, as shagreen. Granulated steel, a variety of steel made by a particular process beginning with the granulation of pig iron.
granulation |1. The act or process of forming or crystallizing into grains; as, the granulation of powder and sugar. 2. The state of being granulated. 3. (Med.) (a) One of the small, red, grainlike prominences which form on a raw surface (that of wounds or ulcers), and are the efficient agents in the process of healing. (b) The act or process of the formation of such prominences.
granule |A little grain a small particle; a pellet.
granuliferous |Full of granulations.
granuliform |Having a granular structure; granular; as, granuliform limestone.
granulite |A whitish, granular rock, consisting of feldspar and quartz intimately mixed; -- sometimes called whitestone, and leptynite.
granulose |The main constituent of the starch grain or granule, in distinction from the framework of cellulose. Unlike cellulose, it is colored blue by iodine, and is converted into dextrin and sugar by boiling acids and amylolytic ferments.
granulous |Full of grains; abounding with granular substances; granular.
grape |1. (Bot.)  A well-known edible berry growing in pendent clusters or bunches on the grapevine. The berries are smooth-skinned, have a juicy pulp, and are cultivated in great quantities for table use and for making wine and raisins. 2. (Bot.)  The plant which bears this fruit; the grapevine. 3. (Man.)  A mangy tumor on the leg of a horse. 4. (Mil.)  Grapeshot. Grape borer. (Zoöl.) See Vine borer. -- Grape curculio (Zoöl.), a minute black weevil (Craponius inæqualis) which in the larval state eats the interior of grapes. -- Grape flower, or Grape hyacinth (Bot.), a liliaceous plant (Muscari racemosum) with small blue globular flowers in a dense raceme. -- Grape fungus (Bot.), a fungus (Oidium Tuckeri) on grapevines; vine mildew. -- Grape hopper (Zoöl.), a Small yellow and red hemipterous insect, often very injurious to the leaves of the grapevine. -- Grape moth (Zoöl.), a small moth (Eudemis botrana), which in the larval state eats the interior of grapes, and often binds them together with silk. -- Grape of a cannon, the cascabel or knob at the breech. -- Grape sugar. See Glucose. -- Grape worm (Zoöl.), the larva of the grape moth. -- Soar grapes, things which persons affect to despise because they can not possess them; -- in allusion to
grape fruit |The shaddock.
grapeless |Wanting grapes or the flavor of grapes.
grapery |A building or inclosure used for the cultivation of grapes.
grapeshot |A cluster, usually nine in number, of small iron balls, put together by means of cast-iron circular plates at top and bottom, with two rings, and a central connecting rod, in order to be used as a charge for a cannon. Formerly grapeshot were inclosed in canvas bags.
grapestone |A seed of the grape.
grapevine |A vine or climbing shrub, of the genus Vitis, having small green flowers and lobed leaves, and bearing the fruit called grapes. Note: The common grapevine of the Old World is Vitis vinifera, and is a native of Central Asia. Another variety is that yielding small seedless grapes commonly called Zante currants. The northern Fox grape of the United States is the V. Labrusca, from which, by cultivation, has come the Isabella variety. The southern Fox grape, or Muscadine, is the V. vulpina. The Frost grape is V. cordifolia, which has very fragrant flowers, and ripens after the early frosts.
graphic |1. Of or pertaining to the arts of painting and drawing. 2. Of or pertaining to the art of writing. 3. Written or engraved; formed of letters or lines. The finger of God hath left an inscription upon all his works, not graphical, or composed of letters. Sir T. Browne. 4. Well delineated; clearly and vividly described. 5. Having the faculty of, or characterized by, clear and impressive description; vivid; as, a gruphic writer. Graphic algebra, a branch of algebra in which, the properties of equations are treated by the use of curves and straight lines. -- Graphic arts, a name given to those fine arts which pertain to the representation on a fiat surface of natural objects; as distinguished from music, etc., and also from sculpture. -- Graphic formula. (Chem.) See under Formula. -- Graphic granite. See under Granite. -- Graphic method, the method of scientific analysis or investigation, in which the relations or laws involved in tabular numbers are represented to the eye by means of curves or other figures; as the daily changes of weather by means of curves, the abscissas of which represent the hours of the day, and the ordinates the corresponding degrees of temperature. -- Graphical statics (Math.), a branch of statics, in which the magnitude, direction, and position of forces are represented by straight lines -- Graphic tellurium. See Sylvanite.
graphical |1. Of or pertaining to the arts of painting and drawing. 2. Of or pertaining to the art of writing. 3. Written or engraved; formed of letters or lines. The finger of God hath left an inscription upon all his works, not graphical, or composed of letters. Sir T. Browne. 4. Well delineated; clearly and vividly described. 5. Having the faculty of, or characterized by, clear and impressive description; vivid; as, a gruphic writer. Graphic algebra, a branch of algebra in which, the properties of equations are treated by the use of curves and straight lines. -- Graphic arts, a name given to those fine arts which pertain to the representation on a fiat surface of natural objects; as distinguished from music, etc., and also from sculpture. -- Graphic formula. (Chem.) See under Formula. -- Graphic granite. See under Granite. -- Graphic method, the method of scientific analysis or investigation, in which the relations or laws involved in tabular numbers are represented to the eye by means of curves or other figures; as the daily changes of weather by means of curves, the abscissas of which represent the hours of the day, and the ordinates the corresponding degrees of temperature. -- Graphical statics (Math.), a branch of statics, in which the magnitude, direction, and position of forces are represented by straight lines -- Graphic tellurium. See Sylvanite.
graphically |In a graphic manner; vividly.
graphicalness |The quality or state of being graphic.
graphicness |The quality or state of being graphic.
graphics |The art or the science of drawing; esp. of drawing according to mathematical rules, as in perspective, projection, and the like.
graphiscope |See Graphoscope.
graphite |Native carbon in hexagonal crystals, also foliated or granular massive, of black color and metallic luster, and so soft as to leave a trace on paper. It is used for pencils (improperly called lead pencils), for crucibles, and as a lubricator, etc. Often called plumbago or black lead. Graphite battery (Elec.), a voltaic battery consisting of zinc and carbon in sulphuric acid, or other exciting liquid.
graphitic |Pertaining to, containing, derived from, or resembling, graphite. Graphitic acid (Chem.), an organic acid, so called because obtained by the oxidation of graphite; -- usually called mellitic acid. -- Graphitic carbon, in iron or steel, that portion of the carbon which is present as graphite. Raymond.
graphitoid |Resembling graphite or plumbago.
graphitoidal |Resembling graphite or plumbago.
grapholite |Any species of slate suitable to be written on.
graphology |The art of judging of a person's character, disposition, and aptitude from his handwriting.
graphophone |A kind of photograph.
graphoscope |An optical instrument for magnifying engravings, photographs, etc., usually having one large lens and two smaller ones.
graphotype |A process for producing a design upon a surface in relief so that it can be printed from. Prepared chalk or oxide of zinc is pressed upon a smooth plate by a hydraulic press, and the design is drawn upon this in a peculiar ink which hardens the surface wherever it is applied. The surface is then carefully rubbed or brushed, leaving the lines in relief.
grapnel |A small anchor, with four or five flukes or claws, used to hold boats or small vessels; hence, any instrument designed to grapple or hold; a grappling iron; a grab; -- written also grapline, and crapnel.
grapple |1. To seize; to lay fast hold of; to attack at close quarters: as, to grapple an antagonist. 2. To fasten, as with a grapple; to fix; to join indissolubly. The gallies were grappled to the Centurion. Hakluyt. Grapple them to thy soul with hoops of steel. Shak.\n\nTo use a grapple; to contend in close fight; to attach one's self as if by a grapple, as in wrestling; to close; to seize one another. To grapple with, to enter into contest with, resolutely and courageously. And in my standard bear the arms of York, To grapple with the house of Lancaster. Shak.\n\n1. A seizing or seizure; close hug in contest; the wrestler's hold. Milton. 2. (a) An instrument, usually with hinged claws, for seizing and holding fast to an object; a grab. (b) (Naut.)  A grappling iron. The iron hooks and grapples keen. Spenser. Grapple plant (Bot.), a South African herb (Herpagophytum leptocarpum) having the woody fruits armed with long hooked or barbed thorns by which they adhere to cattle, causing intense annoyance. -- Grapple shot (Life-saving Service), a projectile, to which are attached hinged claws to catch in a ship's rigging or to hold in the ground; -- called also anchor shot.
grapplement |A grappling; close fight or embrace. [Obs.] Spenser.
grappling |1. A laying fast ho1d of; also, that by which anything is seized and held, a grapnel. 2. A grapple; a struggle. A match for yards in fight, in grappling for the bear. Dryden. Grappling iron, a hooked iron used for grappling and holding fast a vessel or other object. -- Grappling tongs, broad-mouthed tongs for gathering oysters.
grapsoid |Pertaining to the genus Grapsus or the family Grapsidæ. -- n.  A grapsoid crab.
graptolite |One of numerous species of slender and delicate fossils, of the genus Graptolites and allied genera, found in the Silurian rocks. They belong to an extinct group (Graptolithina) supposed to be hydroids.
graptolitic |Of or pertaining to graptolites; containing graptolites; as, a graptolitic slate.
grapy |Composed of, or resembling, grapes. The grapy clusters. Addison.
