artsman |A man skilled in an art or in arts. [Obs.] Bacon.
assistance |1. The act of assisting; help; aid; furtherance; succor; support. Without the assistance of a mortal hand. Shak. 2. An assistant or helper; a body of helpers. [Obs.] Wat Tyler [was] killed by valiant Walworth, the lord mayor of London, and his assistance, . . . John Cavendish. Fuller. 3. Persons present. [Obs. or a Gallicism]
assistant |1. Helping; lending aid or support; auxiliary. Genius and learning . . . are mutually and greatly assistant to each other. Beattie. 2. (Mil.)  Of the second grade in the staff of the army; as, an assistant surgeon. [U.S.] Note: In the English army it designates the third grade in any particular branch of the staff. Farrow.\n\n1. One who, or that which, assists; a helper; an auxiliary; a means of help. Four assistants who his labor share. Pope. Rhymes merely as assistants to memory. Mrs. Chapone. 2. An attendant; one who is present. Dryden.
assistantly |In a manner to give aid. [R.]
assister |An assistant; a helper.
assistful |Helpful.
assistive |Lending aid, helping.
assistless |Without aid or help. [R.] Pope.
assistor |A assister.
assithment |See Assythment. [Obs.]
assize |1. An assembly of knights and other substantial men, with a bailiff or justice, in a certain place and at a certain time, for public business. [Obs.] 2. (Law) (a) A special kind of jury or inquest. (b) A kind of writ or real action. (c) A verdict or finding of a jury upon such writ. (d) A statute or ordinance in general. Specifically: (1) A statute regulating the weight, measure, and proportions of ingredients and the price of articles sold in the market; as, the assize of bread and other provisions; (2) A statute fixing the standard of weights and measures. (e) Anything fixed or reduced to a certainty in point of time, number, quantity, quality, weight, measure, etc.; as, rent of assize. Glanvill. Spelman. Cowell. Blackstone. Tomlins. Burrill. Note: [This term is not now used in England in the sense of a writ or real action, and seldom of a jury of any kind, but in Scotch practice it is still technically applied to the jury in criminal cases. Stephen. Burrill. Erskine.] (f) A court, the sitting or session of a court, for the trial of processes, whether civil or criminal, by a judge and jury. Blackstone. Wharton. Encyc. Brit. (g) The periodical sessions of the judges of the superior courts in every county of England for the purpose of administering justice in the trial and determination of civil and criminal cases; -- usually in the plural. Brande. Wharton. Craig. Burrill. (h) The time or place of holding the court of assize; -- generally in the plural, assizes. 3. Measure; dimension; size. [In this sense now corrupted into size.] An hundred cubits high by just assize. Spenser. [Formerly written, as in French, assise.]\n\n1. To assess; to value; to rate. [Obs.] Gower. 2. To fix the weight, measure, or price of, by an ordinance or regulation of authority. [Obs.]
assizer |An officer who has the care or inspection of weights and measures, etc.
assizor |A juror.
assober |To make or keep sober. [Obs.] Gower.
associability |The quality of being associable, or capable of association; associableness. \"The associability of feelings.\" H. Spencer.
associable |1. Capable of being associated or joined. We know feelings to be associable only by the proved ability of one to revive another. H. Spencer. 2. Sociable; companionable. [Obs.] 3. (Med.)  Liable to be affected by sympathy with other parts; -- said of organs, nerves, muscles, etc. The stomach, the most associable of all the organs of the animal body. Med. Rep.
associableness |Associability.
associate |1. To join with one, as a friend, companion, partner, or confederate; as, to associate others with . 2. To join or connect; to combine in acting; as, particles of gold associated with other substances. 3. To connect or place together in thought. He succeeded in associating his name inseparably with some names which will last an long as our language. Macaulay. 4. To accompany; to keep company with. [Obs.] Friends should associate friends in grief and woe. Shak.\n\n1. To unite in company; to keep company, implying intimacy; as, congenial minds are disposed to associate. 2. To unite in action, or to be affected by the action of a different part of the body. E. Darwin.\n\n1. Closely connected or joined with some other, as in interest, purpose, employment, or office; sharing responsibility or authority; as, an associate judge. While I descend . . . to my associate powers. Milton. 2. Admitted to some, but not to all, rights and privileges; as, an associate member. 3. (Physiol.)  Connected by habit or sympathy; as, associate motions, such as occur sympathetically, in consequence of preceding motions. E. Darwin.\n\n1. A companion; one frequently in company with another, implying intimacy or equality; a mate; a fellow. 2. A partner in interest, as in business; or a confederate in a league. 3. One connected with an association or institution without the full rights or privileges of a regular member; as, an associate of the Royal Academy. 4. Anything closely or usually connected with another; an concomitant. The one [idea] no sooner comes into the understanding, than its associate appears with it. Locke. Syn. -- Companion; mate; fellow; friend; ally; partner; coadjutor; comrade; accomplice.
associated |Joined as a companion; brought into association; accompanying; combined. Associated movements (Physiol.), consensual movements which accompany voluntary efforts without our consciousness. Dunglison.
associateship |The state of an associate, as in Academy or an office.
association |1. The act of associating, or state of being associated; union; connection, whether of persons of things. \"Some . . . bond of association.\" Hooker. Self-denial is a kind of holy association with God. Boyle. 2. Mental connection, or that which is mentally linked or associated with a thing. Words . . . must owe their powers association. Johnson. Why should . . . the holiest words, with all their venerable associations, be profaned Coleridge. 3. Union of persons in a company or society for some particular purpose; as, the American Association for the Advancement of Science; a benevolent association. Specifically, as among the Congregationalists, a society, consisting of a number of ministers, generally the pastors of neighboring churches, united for promoting the interests of religion and the harmony of the churches. Association of ideas (Physiol.), the combination or connection of states of mind or their objects with one another, as the result of which one is said to be revived or represented by means of the other. The relations according to which they are thus connected or revived are called the law of association. Prominent among them are reckoned the relations of time and place, and of cause and effect. Porter.
associational |1. Of or pertaining to association, or to an association. 2. Pertaining to the theory held by the associationists.
associationism |The doctrine or theory held by associationists.
associationist |One who explains the higher functions and relations of the soul by the association of ideas; e. g., Hartley, J. C. Mill.
associative |Having the quality of associating; tending or leading to association; as, the associative faculty. Hugh Miller.
associator |An associate; a confederate or partner in any scheme. How Pennsylvania's air agrees with Quakers, And Carolina's with associators. Dryden.
assoil |1. To set free; to release. [Archaic] Till from her hands the spright assoiled is. Spenser. 2. To solve; to clear up. [Obs.] Any child might soon be able to assoil this riddle. Bp. Jewel. 3. To set free from guilt; to absolve. [Archaic] Acquitted and assoiled from the guilt. Dr. H. More. Many persons think themselves fairly assoiled, because they are . . . not of scandalous lives. Jer. Taylor. 4. To expiate; to atone for. [Archaic] Spenser. Let each act assoil a fault. E. Arnold. 5. To remove; to put off. [Obs.] She soundly slept, and careful thoughts did quite assoil. Spenser.\n\nTo soil; to stain. [Obs. or Poet.] Beau. & Fl. Ne'er assoil my cobwebbed shield. Wordsworth.
assoilment |Act of assoiling, or state of being assoiled; absolution; acquittal.\n\nA soiling; defilement.
assoilyie |To absolve; to acquit by sentence of court. God assoilzie him for the sin of bloodshed. Sir W. Scott.
assoilzie |To absolve; to acquit by sentence of court. God assoilzie him for the sin of bloodshed. Sir W. Scott.
assonance |1. Resemblance of sound. \"The disagreeable assonance of Steevens. 2. (Pros.)  A peculiar species of rhyme, in which the last accented vowel and those which follow it in one word correspond in sound with the vowels of another word, while the consonants of the two words are unlike in sound; as, calamo and platano, baby and chary. The assonance is peculiar to the Spaniard. Hallam. 3. Incomplete correspondence. Assonance between facts seemingly remote. Lowell.
assonant |1. Having a resemblance of sounds. 2. (Pros.)  Pertaining to the peculiar species of rhyme called assonance; not consonant.
assonantal |Assonant.
assonate |To correspond in sound.
assort |1. To separate and distribute into classes, as things of a like kind, nature, or quality, or which are suited to a like purpose; to classify; as, to assort goods. Note: [Rarely applied to persons.] They appear . . . no ways assorted to those with whom they must associate. Burke. 2. To furnish with, or make up of, various sorts or a variety of goods; as, to assort a cargo.\n\nTo agree; to be in accordance; to be adapted; to suit; to fall into a class or place. Mitford.
assorted |Selected; culled.
assortment |1. Act of assorting, or distributing into sorts, kinds, or classes. 2. A collection or quantity of things distributed into kinds or sorts; a number of things assorted. 3. A collection containing a variety of sorts or kinds adapted to various wants, demands, or purposes; as, an assortment of goods.
assot |To besot; to befool; to beguile; to infatuate. [Obs.] Some ecstasy assotted had his sense. Spenser.\n\nDazed; foolish; infatuated. [Obs.] Willie, I ween thou be assot. Spenser.
assuage |To soften, in a figurative sense; to allay, mitigate, ease, or lessen, as heat, pain, or grief; to appease or pacify, as passion or tumult; to satisfy, as appetite or desire. Refreshing winds the summer's heat assuage. Addison. To assuage the sorrows of a desolate old man Burke. The fount at which the panting mind assuages Her thirst of knowledge. Byron. Syn. -- To alleviate; mitigate; appease; soothe; calm; tranquilize; relieve. See Alleviate.\n\nTo abate or subside. [Archaic] \"The waters assuaged.\" Gen. vii. 1. The plague being come to a crisis, its fury began to assuage. De Foe.
assuagement |Mitigation; abatement.
assuager |One who, or that which, assuages.
assuasive |Mitigating; tranquilizing; soothing. [R.] Music her soft assuasive voice applies. Pope.
assubjugate |To bring into subjection. [Obs.] Shak.
assuefaction |The act of accustoming, or the state of being accustomed; habituation. [Obs.] Custom and studies efform the soul like wax, and by assuefaction introduce a nature. Jer. Taylor.
assuetude |Accustomedness; habit; habitual use. Assuetude of things hurtful doth make them lose their force to hurt. Bacon.
assumable |That may be assumed.
assumably |By way of assumption.
assume |1. To take to or upon one's self; to take formally and demonstratively; sometimes, to appropriate or take unjustly. Trembling they stand while Jove assumes the throne. Pope. The god assumed his native form again. Pope. 2. To take for granted, or without proof; to suppose as a fact; to suppose or take arbitrarily or tentatively. The consequences of assumed principles. Whewell. 3. To pretend to possess; to take in appearance. Ambition assuming the mask of religion. Porteus. Assume a virtue, if you have it not. Shak. 4. To receive or adopt. The sixth was a young knight of lesser renown and lower rank, assumed into that honorable company. Sir W. Scott. Syn. -- To arrogate; usurp; appropriate.\n\n1. To be arrogant or pretentious; to claim more than is due. Bp. Burnet. 2. (Law)  To undertake, as by a promise. Burrill.
assumed |1. Supposed. 2. Pretended; hypocritical; make-believe; as, an assumed character.
assumedly |By assumption.
assument |A patch; an addition; a piece put on. [Obs.] John Lewis (1731).
assumer |One who assumes, arrogates, pretends, or supposes. W. D. Whitney.
assuming |Pretentious; taking much upon one's self; presumptuous. Burke.
assumpsit |(a) A promise or undertaking, founded on a consideration. This promise may be oral or in writing not under seal. It may be express or implied. (b) An action to recover damages for a breach or nonperformance of a contract or promise, express or implied, oral or in writing not under seal. Common or indebitatus assumpsit is brought for the most part on an implied promise. Special assumpsit is founded on an express promise or undertaking. Wharton.
assumpt |To take up; to elevate; to assume. [Obs.] Sheldon.\n\nThat which is assumed; an assumption. [Obs.] The sun of all your assumpts is this. Chillingworth.
assumption |1. The act of assuming, or taking to or upon one's self; the act of taking up or adopting. The assumption of authority. Whewell. 2. The act of taking for granted, or supposing a thing without proof; supposition; unwarrantable claim. This gives no sanction to the unwarrantable assumption that the soul sleeps from the period of death to the resurrection of the body. Thodey. That calm assumption of the virtues. W. Black. 3. The thing supposed; a postulate, or proposition assumed; a supposition. Hold! says the Stoic; your assumption's wrong. Dryden. 4. (Logic)  The minor or second proposition in a categorical syllogism. 5. The taking of a person up into heaven. Hence: (Rom. Cath. & Greek Churches)  A festival in honor of the ascent of the Virgin Mary into heaven.
assumptive |Assumed, or capable of being assumed; characterized by assumption; making unwarranted claims. -- As*sump\"tive*ly, adv. Assumptive arms (Her.), originally, arms which a person had a right to assume, in consequence of an exploit; now, those assumed without sanction of the Heralds' College. Percy Smith.
assurance |1. The act of assuring; a declaration tending to inspire full confidence; that which is designed to give confidence. Whereof he hath given assurance unto all men, in that he hath raised him from the dead. Acts xvii. 31. Assurances of support came pouring in daily. Macaulay. 2. The state of being assured; firm persuasion; full confidence or trust; freedom from doubt; certainty. Let us draw with a true heart in full assurance of faith, having our hearts sprinkled from an evil conscience. Heb. x. 22. 3. Firmness of mind; undoubting, steadiness; intrepidity; courage; confidence; self-reliance. Brave men meet danger with assurance. Knolles. Conversation with the world will give them knowledge and assurance. Locke. 4. Excess of boldness; impudence; audacity; as, his assurance is intolerable. 5. Betrothal; affiance. [Obs.] Sir P. Sidney. 6. Insurance; a contract for the payment of a sum on occasion of a certain event, as loss or death. Note: Recently, assurance has been used, in England, in relation to life contingencies, and insurance in relation to other contingencies. It is called temporary assurance, in the time within which the contingent event must happen is limited. See Insurance. 7. (Law)  Any written or other legal evidence of the conveyance of property; a conveyance; a deed. Note: In England, the legal evidences of the conveyance of property are called the common assurances of the kingdom. Blackstone.
assure |1. To make sure or certain; to render confident by a promise, declaration, or other evidence. His promise that thy seed shall bruise our foe . . . Assures me that the bitterness of death Is past, and we shall live. Milton. 2. To declare to, solemnly; to assert to (any one) with the design of inspiring belief or confidence. I dare assure thee that no enemy Shall ever take alive the noble Brutus. Shak. 3. To confirm; to make certain or secure. And it shall be assured to him. Lev. xxvii. 19. And hereby we know that we are of the truth, and shall assure our hearts before him. 1 John iii. 19. 4. To affiance; to betroth. [Obs.] Shak. 5. (Law)  To insure; to covenant to indemnify for loss, or to pay a specified sum at death. See Insure. Syn. -- To declare; aver; avouch; vouch; assert; asseverate; protest; persuade; convince.
assured |Made sure; safe; insured; certain; indubitable; not doubting; bold to excess.\n\nOne whose life or property is insured.
assuredly |Certainly; indubitably. \"The siege assuredly I'll raise.\" Shak.
assuredness |The state of being assured; certainty; full confidence.
assurer |1. One who assures. Specifically: One who insures against loss; an insurer or underwriter. 2. One who takes out a life assurance policy.
assurgency |Act of rising. The . . . assurgency of the spirit through the body. Coleridge.
assurgent |Ascending; (Bot.)  rising obliquely; curving upward. Gray.
assuring |That assures; tending to assure; giving confidence. -- As*sur\"ing*ly, adv.
asswage |See Assuage.
assyrian |Of or pertaining to Assyria, or to its inhabitants. -- n. A native or an inhabitant of Assyria; the language of Assyria.
assyriological |Of or pertaining to Assyriology; as, Assyriological studies.
assyriologist |One versed in Assyriology; a student of Assyrian archæology.
assyriology |The science or study of the antiquities, language, etc., of ancient Assyria.
assythment |Indemnification for injury; satisfaction. [Chiefly in Scots law]
astacus |A genus of crustaceans, containing the crawfish of fresh-water lobster of Europe, and allied species of western North America. See Crawfish.
astarboard |Over to the starboard side; -- said of the tiller.
astart |Same as Astert. [Obs.]
astarte |A genus of bivalve mollusks, common on the coasts of America and Europe.
astate |Estate; state. [Obs.] Chaucer.
astatic |Having little or no tendency to take a fixed or definite position or direction: thus, a suspended magnetic needle, when rendered astatic, loses its polarity, or tendency to point in a given direction. Astatic pair (Magnetism), a pair of magnetic needles so mounted as to be nearly or quite astatic, as in some galvanometers.
astatically |In an astatic manner.
astaticism |The state of being astatic.
astatize |To render astatic.
astatki |A thick liquid residuum obtained in the distillation of Russian petroleum, much used as fuel.
astay |An anchor is said to be astay, in heaving it, an acute angle is formed between the cable and the surface of the water.
asteism |Genteel irony; a polite and ingenious manner of deriding another.
astel |An arch, or ceiling, of boards, placed over the men's heads in a mine.
aster |1. (Bot.)  A genus of herbs with compound white or bluish flowers; starwort; Michaelmas daisy. 2. (Floriculture)  A plant of the genus Callistephus. Many varieties (called China asters, German asters, etc.) are cultivated for their handsome compound flowers.
asterias |A genus of echinoderms. Note: Formerly the group of this name included nearly all starfishes and ophiurans. Now it is restricted to a genus including the commonest shore starfishes.
asteriated |Radiated, with diverging rays; as, asteriated sapphire.
asteridea |A class of Echinodermata including the true starfishes. The rays vary in number and always have ambulacral grooves below. The body is starshaped or pentagonal.
asteridian |Of or pertaining to the Asterioidea. -- n.  A starfish; one of the Asterioidea.
asterioidea |A class of Echinodermata including the true starfishes. The rays vary in number and always have ambulacral grooves below. The body is starshaped or pentagonal.
asterion |The point on the side of the skull where the lambdoid, parieto- mastoid and occipito-mastoid sutures.
asteriscus |The smaller of the two otoliths found in the inner ear of many fishes.
asterisk |The figure of a star, thus,
asterism |1. (Astron.) (a) A constellation. [Obs.] (b) A small cluster of stars. 2. (Printing) (a) An asterisk, or mark of reference. [R.] (b) Three asterisks placed in this manner, *, to direct attention to a particular passage. 3. (Crystallog.)  An optical property of some crystals which exhibit a star- shaped by reflected light, as star sapphire, or by transmitted light, as some mica.
astern |1. In or at the hinder part of a ship; toward the hinder part, or stern; backward; as, to go astern. 2. Behind a ship; in the rear. \"A gale of wind right astern.\" De Foe. \"Left this strait astern.\" Drake. To bake astern, to go stern foremost. -- To be astern of the reckoning, to be behind the position given by the reckoning. -- To drop astern, to fall or be left behind. -- To go astern, to go backward, as from the action of currents or winds.
asternal |Not sternal; -- said of ribs which do not join the sternum.
asteroid |A starlike body; esp. one of the numerous small planets whose orbits lie between those of Mars and Jupiter; -- called also planetoids and minor planets.
asteroidal |Of or pertaining to an asteroid, or to the asteroids.
asterolepis |A genus of fishes, some of which were eighteen or twenty feet long, found in a fossil state in the Old Red Sandstone. Hugh Miller.
asterope |1.  (Myth.)  One of the Pleiades; -- called also Sterope. 2.  (Astron.) A double star in the Pleiades (21 k and 22 l Pleiadum, of the 5.8 and 6.4 magnitude respectively), appearing as a single star of the 5.3 magnitude to the naked eye.
asterophyllite |A fossil plant from the coal formations of Europe and America, now regarded as the branchlets and foliage of calamites.
astert |To start up; to befall; to escape; to shun. [Obs.] Spenser.\n\nTo escape. [Obs.] Chaucer.
asthenia |Want or loss of strength; debility; diminution of the vital forces.
asthenic |Characterized by, or pertaining to, debility; weak; debilitating.
asthenopia |Weakness of sight. Quain. -- As`the*nop\"ic, a.
astheny |Want or loss of strength; debility; diminution of the vital forces.
asthma |A disease, characterized by difficulty of breathing (due to a spasmodic contraction of the bronchi), recurring at intervals, accompanied with a wheezing sound, a sense of constriction in the chest, a cough, and expectoration.
asthma paper |Paper impregnated with saltpeter. The fumes from the burning paper are often inhaled as an alleviative by asthmatics.
asthmatic |Of or pertaining to asthma; as, an asthmatic cough; liable to, or suffering from, asthma; as, an asthmatic patient. -- Asth*mat\"ic*al*ly, adv.\n\nA person affected with asthma.
asthmatical |Of or pertaining to asthma; as, an asthmatic cough; liable to, or suffering from, asthma; as, an asthmatic patient. -- Asth*mat\"ic*al*ly, adv.
astigmatic |Affected with, or pertaining to, astigmatism; as, astigmatic eyes; also, remedying astigmatism; as, astigmatic lenses.
astigmatism |A defect of the eye or of a lens, in consequence of which the rays derived from one point are not brought to a single focal point, thus causing imperfect images or indistictness of vision. Note: The term is applied especially to the defect causing images of lines having a certain direction to be indistinct, or imperfectly seen, while those of lines transverse to the former are distinct, or clearly seen.
astipulate |To assent. [Obs.] Bp. Hall.
astipulation |Stipulation; agreement. [Obs.] Bp. Hall.
astir |Stirring; in a state of activity or motion; out of bed.
astomatous |Not possessing a mouth.
astomous |Not possessing a mouth.
aston |To stun; to astonish; to stupefy. [Obs.] Chaucer.
astone |To stun; to astonish; to stupefy. [Obs.] Chaucer.
astonied |Stunned; astonished. See Astony. [Archaic] And I astonied fell and could not pray. Mrs. Browning.
astonish |1. To stun; to render senseless, as by a blow. [Obs.] Enough, captain; you have astonished him. [Fluellen had struck Pistol]. Shak. The very cramp-fish [i. e., torpedo] . . . being herself not benumbed, is able to astonish others. Holland. 2. To strike with sudden fear, terror, or wonder; to amaze; to surprise greatly, as with something unaccountable; to confound with some sudden emotion or passion. Musidorus . . . had his wits astonished with sorrow. Sidney. I, Daniel . . . was astonished at the vision. Dan. viii. 27. Syn. -- To amaze; astound; overwhelm; surprise. -- Astonished, Surprised. We are surprised at what is unexpected. We are astonished at what is above or beyond our comprehension. We are taken by surprise. We are struck with astonishment. C. J. Smith. See Amaze.
astonishedly |In an astonished manner. [R.] Bp. Hall.
astonishing |Very wonderful; of a nature to excite astonishment; as, an astonishing event. Syn. -- Amazing; surprising; wonderful; marvelous. As*ton\"ish*ing*ly, adv. -- As*ton\"ish*ing*ness, n.
astonishment |1. The condition of one who is stunned. Hence: Numbness; loss of sensation; stupor; loss of sense. [Obs.] A coldness and astonishment in his loins, as folk say. Holland. 2. Dismay; consternation. [Archaic] Spenser. 3. The overpowering emotion excited when something unaccountable, wonderful, or dreadful is presented to the mind; an intense degree of surprise; amazement. Lest the place And my quaint habits breed astonishment. Milton. 4. The object causing such an emotion. Thou shalt become an astonishment. Deut. xxviii. 37. Syn. -- Amazement; wonder; surprise.
astony |To stun; to bewilder; to astonish; to dismay. [Archaic] The captain of the Helots . . . strake Palladius upon the side of his head, that he reeled astonied. Sir P. Sidney. This sodeyn cas this man astonied so, That reed he wex, abayst, and al quaking. Chaucer.
astoop |In a stooping or inclined position. Gay.
astound |Stunned; astounded; astonished. [Archaic] Spenser. Thus Ellen, dizzy and astound. As sudden ruin yawned around. Sir W. Scott.\n\n1. To stun; to stupefy. No puissant stroke his senses once astound. Fairfax. 2. To astonish; to strike with amazement; to confound with wonder, surprise, or fear. These thoughts may startle well, but not astound The virtuous mind. Milton.
astounding |Of a nature to astound; astonishing; amazing; as, an astounding force, statement, or fact. -- As*tound\"ing*ly, adv.
astoundment |Amazement. Coleridge.
astrachan |See Astrakhan.
astraddle |In a straddling position; astride; bestriding; as, to sit astraddle a horse.
astraean |Pertaining to the genus Astræa or the family Astræidæ. -- n.  A coral of the family Astræidæ; a star coral.
astragal |1. (Arch.)  A convex molding of rounded surface, generally from half to three quarters of a circle. 2. (Gun.)  A round molding encircling a cannon near the mouth.
astragalar |Of or pertaining to the astragalus.
astragaloid |Resembling the astragalus in form.
astragalomancy |Divination by means of small bones or dice.
astragalus |1. (Anat.)  The ankle bone, or hock bone; the bone of the tarsus which articulates with the tibia at the ankle. 2. (Bot.)  A genus of papilionaceous plants, of the tribe Galegeæ, containing numerous species, two of which are called, in English, milk vetch and licorice vetch. Gum tragacanth is obtained from different oriental species, particularly the A. gummifer and A. verus. 3. (Arch.)  See Astragal, 1.
astrakhan |Of or pertaining to Astrakhan in Russia or its products; made of an Astrakhan skin. -- n.  The skin of stillborn or young lambs of that region, the curled wool of which resembles fur.
astral |Pertaining to, coming from, or resembling, the stars; starry; starlike. Shines only with an astral luster. I. Taylor. Some astral forms I must invoke by prayer. Dryden. Astral lamp, an Argand lamp so constructed that no shadow is cast upon the table by the flattened ring-shaped reservoir in which the oil is contained. -- Astral spirits, spirits formerly supposed to live in the heavenly bodies or the aërial regions, and represented in the Middle Ages as fallen angels, spirits of the dead, or spirits originating in fire.
astrand |Stranded. Sir W. Scott.
astray |Out of the right, either in a literal or in a figurative sense; wandering; as, to lead one astray. Ye were as sheep going astray. 1 Pet. ii. 25.
astrict |1. To bind up; to confine; to constrict; to contract. The solid parts were to be relaxed or astricted. Arbuthnot. 2. To bind; to constrain; to restrict; to limit. [R.] The mind is astricted to certain necessary modes or forms of thought. Sir W. Hamilton. 3. (Scots Law)  To restrict the tenure of; as, to astrict lands. See Astriction, 4. Burrill.\n\nConcise; contracted. [Obs.] Weever.
astriction |1. The act of binding; restriction; also, obligation. Milton. 2. (Med.) (a) A contraction of parts by applications; the action of an astringent substance on the animal economy. Dunglison. (b) Constipation. Arbuthnot. 3. Astringency. [Obs.] Bacon. 4. (Scots Law)  An obligation to have the grain growing on certain lands ground at a certain mill, the owner paying a toll. Bell. Note: The lands were said to be astricted to the mill.
astrictive |Binding; astringent. -- n.  An astringent. -- As*tric\"tive*ly, adv.
astrictory |Astrictive. [R.]
astride |With one leg on each side, as a man when on horseback; with the legs stretched wide apart; astraddle. Placed astride upon the bars of the palisade. Sir W. Scott. Glasses with horn bows sat astride on his nose. Longfellow.
astriferous |Bearing stars. [R.] Blount.
astringe |1. To bind fast; to constrict; to contract; to cause parts to draw together; to compress. Which contraction . . . astringeth the moistuBacon. 2. To bind by moral or legal obligation. Wolsey.
astringency |The quality of being astringent; the power of contracting the parts of the body; that quality in medicines or other substances which causes contraction of the organic textures; as, the astringency of tannin.
astringent |1. Drawing together the tissues; binding; contracting; -- opposed to laxative; as, astringent medicines; a butter and astringent taste; astringent fruit. 2. Stern; austere; as, an astringent type of virtue.\n\nA medicine or other substance that produces contraction in the soft organic textures, and checks discharges of blood, mucus, etc. External astringents are called styptics. Dunglison.
astringently |In an astringent manner.
astringer |A falconer who keeps a goschawk. [Obs.] Shak. Cowell. [Written also austringer.]
astro- |The combining form of the Greek word 'a`stron, meaning star.
astrofel |A bitter herb, probably the same as aster, or starwort. Spenser.
astrofell |A bitter herb, probably the same as aster, or starwort. Spenser.
astrogeny |The creation or evolution of the stars or the heavens. H. Spencer.
astrognosy |The science or knowledge of the stars, esp. the fixed stars. Bouvier.
astrogony |Same as Astrogeny. -- As`*tro*gon\"ic, a.
astrography |The art of describing or delineating the stars; a description or mapping of the heavens.
astroite |A radiated stone or fossil; star-stone. [Obs.] [Written also astrite and astrion.]
astrolabe |1. (Astron.)  An instrument for observing or showing the positions of the stars. It is now disused. Note: Among the ancients, it was essentially the armillary sphere. A graduated circle with sights, for taking altitudes at sea, was called an astrolabe in the 18th century. It is now superseded by the quadrant and sextant. 2. A stereographic projection of the sphere on the plane of a great circle, as the equator, or a meridian; a planisphere. Whewell.
astrolater |A worshiper of the stars. Morley.
astrolatry |The worship of the stars.
astrolithology |The science of aërolites.
astrologer |1. One who studies the stars; an astronomer. [Obs.] 2. One who practices astrology; one who professes to foretell events by the aspects and situation of the stars.
astrologian |An astrologer. [Obs.]
astrologic |Of or pertaining to astrology; professing or practicing astrology. \"Astrologi learning.\" Hudibras. \"Astrological prognostication.\" Cudworth. -- As`tro*log\"ic*al*ly, adv.
astrological |Of or pertaining to astrology; professing or practicing astrology. \"Astrologi learning.\" Hudibras. \"Astrological prognostication.\" Cudworth. -- As`tro*log\"ic*al*ly, adv.
astrologize |To apply astrology to; to study or practice astrology.
astrology |In its etymological signification, the science of the stars; among the ancients, synonymous with astronomy; subsequently, the art of judging of the influences of the stars upon human affairs, and of foretelling events by their position and aspects. Note: Astrology was much in vogue during the Middle Ages, and became the parent of modern astronomy, as alchemy did of chemistry. It was divided into two kinds: judicial astrology, which assumed to foretell the fate and acts of nations and individuals, and natural astrology, which undertook to predict events of inanimate nature, such as changes of the weather, etc.
astromantic |Of or pertaining to divination by means of the stars; astrologic. [R.] Dr. H. More.
astrometeorology |The investigation of the relation between the sun, moon, and stars, and the weather. -- As`*tro*me`te*or`o*log\"ic*al, a. -- As`tro*me`te*or*ol\"o*gist, n.
astrometer |An instrument for comparing the relative amount of the light of stars.
astrometry |The art of making measurements among the stars, or of determining their relative magnitudes.
astronomer |1. An astrologer. [Obs.] Shak. 2. One who is versed in astronomy; one who has a knowledge of the laws of the heavenly orbs, or the principles by which their motions are regulated, with their various phenomena. An undevout astronomer is mad. Young.
astronomian |An astrologer. [Obs.]
astronomic |Astronomical.
astronomical |Of or pertaining to astronomy; in accordance with the methods or principles of astronomy. -- As`tro*nom\"ic*al*ly, adv. Astronomical clock. See under Clock. -- Astronomical day. See under Day. -- Astronomical fractions, Astronomical numbers. See under Sexagesimal.
astronomize |To study or to talk astronomy. [R.] They astronomized in caves. Sir T. Browne.
astronomy |1. Astrology. [Obs.] Not from the stars do I my judgment pluck; And yet methinks I have astronomy. Shak. 2. The science which treats of the celestial bodies, of their magnitudes, motions, distances, periods of revolution, eclipses, constitution, physical condition, and of the causes of their various phenomena. 3. A treatise on, or text-book of, the science. Physical astronomy. See under Physical.
astrophel |See Astrofel. [Obs.]
astrophotography |The application of photography to the delineation of the sun, moon, and stars.
astrophotometer |A photometer for measuring the brightness of stars.
astrophotometry |The determination of the brightness of stars, and also of the sun, moon, and planets. --As`tro*pho`to*met\"ric*al (#), a.
astrophysical |Pertaining to the physics of astronomical science.
astrophysics |The science treating of the physical characteristics of the stars and other heavenly bodies, their chemical constitution, light, heat, atmospheres, etc. Its observations are made with the spectroscope, bolometer, etc., usually in connection with the telescope.
astrophyton |A genus of ophiurans having the arms much branched.
astroscope |An old astronomical instrument, formed of two cones, on whose surface the constellations were delineated.
astroscopy |Observation of the stars. [Obs.]
astrotheology |Theology founded on observation or knowledge of the celestial bodies. Derham.
astructive |Building up; constructive; -- opposed to destructive. [Obs.]
astrut |1. Sticking out, or puffed out; swelling; in a swelling manner. [Archaic] Inflated and astrut with self-conceit. Cowper. 2. In a strutting manner; with a strutting gait.
astucious |Subtle; cunning; astute. [R.] Sir W. Scott. -- As*tu\"cious*ly, adv. [R.]
astucity |Craftiness; astuteness. [R.] Carlyle.
astun |To stun. [Obs.] \"Breathless and astunned.\" Somerville.
asturian |Of or pertaining to Asturias in Spain. -- n.  A native of Asturias.
astute |Critically discerning; sagacious; shrewd; subtle; crafty. Syn. -- Keen; eagle-eyed; penetrating; skilled; discriminating; cunning; sagacious; subtle; wily; crafty. As*tute\"ly, adv. -- As*tute\"ness, n.
astylar |Without columns or pilasters. Weale.
astyllen |A small dam to prevent free passage of water in an adit or level.
