covertly |Secretly; in private; insidiously.
credit |1. Reliance on the truth of something said or done; belief; faith; trust; confidence. When Jonathan and the people heard these words they gave no credit into them, nor received them. 1 Macc. x. 46. 2. Reputation derived from the confidence of others; esteem; honor; good name; estimation. John Gilpin was a citizen Of credit and renown. Cowper. 3. A ground of, or title to, belief or confidence; authority derived from character or reputation. The things which we properly believe, be only such as are received on the credit of divine testimony. Hooker. 4. That which tends to procure, or add to, reputation or esteem; an honor. I published, because I was told I might please such as it was a credit to please. Pope. 5. Influence derived from the good opinion, confidence, or favor of others; interest. Having credit enough with his master to provide for his own interest. Clarendon. 6. (Com.)  Trust given or received; expectation of future playment for property transferred, or of fulfillment or promises given; mercantile reputation entitling one to be trusted; -- applied to individuals, corporations, communities, or nations; as, to buy goods on credit. Credit is nothing but the expectation of money, within some limited time. Locke. 7. The time given for payment for lands or goods sold on trust; as, a long credit or a short credit. 8. (Bookkeeping)  The side of an account on which are entered all items reckoned as values received from the party or the category named at the head of the account; also, any one, or the sum, of these items; -- the opposite of debit; as, this sum is carried to one's credit, and that to his debit; A has several credits on the books of B. Bank credit, or Cash credit. See under Cash. -- Bill of credit. See under Bill. -- Letter of credit, a letter or notification addressed by a banker to his correspondent, informing him that the person named therein is entitled to draw a certain sum of money; when addressed to several different correspondents, or when the money can be drawn in fractional sums in several different places, it is called a circular letter of credit. -- Public credit. (a) The reputation of, or general confidence in, the ability or readiness of a government to fulfull its pecuniary engagements. (b) The ability and fidelity of merchants or others who owe largely in a community. He touched the dead corpse of Public Credit, and it sprung upon its feet. D. Webster.\n\n1. To confide in the truth of; to give credence to; to put trust in; to believe. How shall they credit A poor unlearned virgin Shak. 2. To bring honor or repute upon; to do credit to; to raise the estimation of. You credit the church as much by your government as you did the school formerly by your wit. South. 3. (Bookkeeping)  To enter upon the credit side of an account; to give credit for; as, to credit the amount paid; to set to the credit of; as, to credit a man with the interest paid on a bond. To credit with, to give credit for; to assign as justly due to any one. Crove, Helmholtz, and Meyer, are more than any others to be credited with the clear enunciation of this doctrine. Newman.
credit foncier |A company licensed for the purpose of carrying out improvements, by means of loans and advances upon real securities. ]
credit mobilier |A joint stock company, formed for general banking business, or for the construction of public works, by means of loans on personal estate, after the manner of the crédit foncier on real estate. In practice, however, this distinction has not been strictly observed.
creditable |1. Worthy of belief. [Obs.] Divers creditable witnesses deposed. Ludlow. 2. Deserving or possessing reputation or esteem; reputable; estimable. This gentleman was born of creditable parents. Goldsmith. 3. Bringing credit, reputation, or honor; honorable; as, such conduct is highly creditable to him. Macualay. He settled him in a good creditable way of living. Arbuthnot.
creditableness |The quality of being creditable.
creditably |In a creditable manner; reputably; with credit.
creditor |1. One who credits, believes, or trusts. The easy creditors of novelties. Daniel. 2. One who gives credit in business matters; hence, one to whom money is due; -- correlative to debtor. Creditors have better memories than debtors. Franklin.
creditress |A female creditor.
creditrix |A female creditor.
credo |The creed, as sung or read in the Roman Catholic church. He repeated Aves and Credos. Macualay.
credulity |Readiness of belief; a disposition to believe on slight evidence. That implict credulity is the mark of a feeble mind will not be disputed. Sir W. Hamilton.
credulous |1. Apt to believe on slight evidence; easly imposed upon; unsuspecting. Landor. Eve, our credulous mother. Milton. 2. Believed too readily. [Obs.] Beau & Fl.
credulously |With credulity.
credulousness |Readiness to believe on slight evidence; credulity. Beyond all credulity is the credulousness of atheists. S. Clarke.
creed |1. A definite summary of what is believed; esp., a summary of the articles of Christian faith; a confession of faith for public use; esp., one which is brief and comprehensive. In the Protestant system the creed is not coördinate with, but always subordinate to, the Bible. Schaff-Herzog Encyc. 2. Any summary of principles or opinions professed or adhered to. I love him not, nor fear him; there's my creed. Shak. Apostles' creed, Athanasian creed, Nicene creed. See under Apostle, Athanasian, Nicene.\n\nTo believe; to credit. [Obs.] That part which is so creeded by the people. Milton.
creedless |Without a creed. Carlyle.
creek |1. A small inlet or bay, narrower and extending further into the land than a cove; a recess in the shore of the sea, or of a river. Each creek and cavern of the dangerous shore. Cowper. They discovered a certain creek, with a shore. Acts xxvii. 39. 2. A stream of water smaller than a river and larger than a brook. Lesser streams and rivulets are denominated creeks. Goldsmith. 3. Any turn or winding. The passages of alleys, creeks, and narrow lands. Shak.
creekfish |The chub sucker.
creeks |A tribe or confederacy of North American Indians, including the Muskogees, Seminoles, Uchees, and other subordinate tribes. They formerly inhabited Georgia, Florida, and Alabama.
creeky |Containing, or abounding in, creeks; characterized by creeks; like a creek; winding. \"The creeky shore.\" Spenser.
creel |1. An osier basket, such as anglers use. Sir W. Scott. 2. (Spinning)  A bar or set of bars with skewers for holding paying-off bobbins, as in the roving machine, throstle, and mule.
creep |1. To move along the ground, or on any other surface, on the belly, as a worm or reptile; to move as a child on the hands and knees; to crawl. Ye that walk The earth, and stately tread, or lowly creep. Milton. 2. To move slowly, feebly, or timorously, as from unwillingness, fear, or weakness. The whining schoolboy . . . creeping, like snail, Unwillingly to school. Shak. Like guilty thing, Icreep. Tennyson. 3. To move in a stealthy or secret manner; to move imperceptibly or clandestinely; to steal in; to insinuate itself or one's self; as, age creeps upon us. The sothistry which creeps into most of the books of argument. Locke. Of this sort are they which creep into houses, and lead captive silly women. 2. Tim. iii. 6. 4. To slip, or to become slightly displaced; as, the collodion on a negative, or a coat of varnish, may creep in drying; the quicksilver on a mirror may creep. 5. To move or behave with servility or exaggerated humility; to fawn; as, a creeping sycophant. To come as humbly as they used to creep. Shak. 6. To grow, as a vine, clinging to the ground or to some other support by means of roots or rootlets, or by tendrils, along its length. \"Creeping vines.\" Dryden. 7. To have a sensation as of insects creeping on the skin of the body; to crawl; as, the sight made my flesh creep. See Crawl, v. i.,4. 8. To drag in deep water with creepers, as for recovering a submarine cable.\n\n1. The act or process of creeping. 2. A distressing sensation, or sound, like that occasioned by the creeping of insects. A creep of undefinable horror. Blackwood's Mag. Out of the stillness, with gathering creep, Like rising wind in leaves. Lowell. 3. (Mining)  A slow rising of the floor of a gallery, occasioned by the pressure of incumbent strata upon the pillars or sides; a gradual movement of mining ground.
creeper |1. One who, or that which, creeps; any creeping thing. Standing waters are most unwholesome, . . . full of mites,creepers; slimy, muddy, unclean. Burton. 2. (Bot.)  A plant that clings by rootlets, or by tendrils, to the ground, or to trees, etc.; as, the Virginia creeper (Ampelopsis quinquefolia). 3. (Zoöl.)  A small bird of the genus Certhia, allied to the wrens. The brown or common European creeper is C. familiaris, a variety of which (var. Americana) inhabits America; -- called also tree creeper and creeptree. The American black and white creeper is Mniotilta varia. 4. A kind of patten mounted on short pieces of iron instead of rings; also, a fixture with iron points worn on a shoe to prevent one from slipping. 5. pl.  A spurlike device strapped to the boot, which enables one to climb a tree or pole; -- called often telegraph creepers. 6. A small, low iron, or dog, between the andirons. 7. pl.  An instrument with iron hooks or claws for dragging at the bottom of a well, or any other body of water, and bringing up what may lie there. 8. Any device for causing material to move steadily from one part of a machine to another, as an apron in a carding machine, or an inner spiral in a grain screen. 9. pl. (Arch.)  Crockets. See Crocket.
creephole |1. A hole or retreat onto which an animal may creep, to escape notice or danger. 2. A subterfuge; an excuse.
creepie |A low stool. [Scot.]
creepiness |An uneasy sensation as of insects creeping on the skin. She felt a curious, uneasy creepiness. Mrs. Alexander.
creeping |1. Crawling, or moving close to the ground. \"Every creeping thing.\" Gen. vi. 20. 2. Growing along, and clinging to, the ground, or to a wall, etc., by means of rootlets or tendrils. Casements lined with creeping herbs. Cowper. Ceeping crowfoot (Bot.), a plant, the Ranunculus repens.- Creeping snowberry, an American plant (Chiogenes hispidula) with white berries and very small round leaves having the flavor of wintergreen.
creeping charlie |The stonecrop (Sedum acre).
creepingly |by creeping slowly; in the manner of a reptile; insidiously; cunningly. How slily and creepingly did he address himself to our first parents. South.
creeple |1. A creeping creature; a reptile. [Obs.] There is one creeping beast, or long creeple (as the name is in Devonshire), that hath a rattle at his tail that doth discover his age. Morton (1632). 2. One who is lame; a cripple. [Obs.] Thou knowest how lame a creeple this world is. Donne.
creepy |Crawly; having or producing a sensation like that caused by insects creeping on the skin. [Colloq.] One's whole blood grew curdling and creepy. R. Browning.
crees |An Algonquin tribe of Indians, inhabiting a large part of British America east of the Rocky Mountains and south of Hudson's Bay.
creese |A dagger or short sword used by the Malays, commonly having a serpentine blade. [Written also crease and kris.] From a Malayan creese to a sailor's jackknife. Julian Hawthorne.
cremaillere |An indented or zigzaged line of intrenchment.
cremaster |1. (Anat.)  A thin muscle which serves to draw up the testicle. 2. (Zoöl.)  The apex of the last abdominal segment of an insect.
cremasteric |Of or pertaining to the cremaster; as, the cremasteric artery.
cremate |To burn; to reduce to ashes by the action of fire, either directly or in an oven or retort; to incremate or incinerate; as, to cremate a corpse, instead of burying it.
cremation |A burning; esp., the act or practice of cremating the dead. Without cremation . . . of their bodies. Sir T. Browne.
cremationist |One who advocates the practice of cremation.
cremator |One who, or that which, cremmates or consumes to ashes.
crematorium |A furnace for cremating corpses; a building containing such a furnace.
crematory |A furnace for cremating corpses; a building containing such a furnace.\n\nPertaining to, or employed in, cremation.
creme |Cream; -- a term used esp. in cookery, names of liqueurs, etc.
cremocarp |The peculiar fruit of fennel, carrott, parsnip, and the like, consisting of a pair of carpels pendent from a supporting axis.
cremona |A superior kind of violin, formerly made at Cremona, in Italy.
cremor |Cream; a substance resembling cream; yeast; scum.
cremosin |See Crimson. [Obs.]
crems |See Krems.
crenate |Having the margin cut into rounded teeth notches, or scallops.
crenated |Having the margin cut into rounded teeth notches, or scallops.
crenation |1. (Bot.)  A rounded tooth on the edge of a leaf. 2. The condition of being crenate.
crenature |1. (Bot.)  A rounded tooth or notch of a crenate leaf, or any part that is crenate; -- called also crenelle. 2. The state of being crenated or notched.
crenel |See Crenelle.\n\n1. An embrasure or indentation in a battlement; a loophole in a fortress; an indentation; a notch. See Merlon, and Illust. of Battlement. 2. (Bot.)  Same as Crenature.
crenelate |1. To furnish with crenelles. 2. To indent; to notch; as, a crenelated leaf. Crenelated molding (Arch.), a kind of indented molding used in Norman buildings.
crenelation |The act of crenelating, or the state of being crenelated; an indentation or an embrasure. [Written also crenellation.]
crenelle |1. An embrasure or indentation in a battlement; a loophole in a fortress; an indentation; a notch. See Merlon, and Illust. of Battlement. 2. (Bot.)  Same as Crenature.
crenelled |Same as Crenate.
crengle |See Cringle.
crenkle |See Cringle.
crenulate |Minutely crenate.
crenulated |Minutely crenate.
crenulation |1. A minute crenation. 2. The state of being minutely scalloped.
creole |One born of European parents in the American colonies of France or Spain or in the States which were once such colonies, esp. a person of French or Spanish descent, who is a native inhabitant of Louisiana, or one of the States adjoining, bordering on the Gulf of of Mexico. Note: \"The term creole negro is employed in the English West Indies to distinguish the negroes born there from the Africans imported during the time of the slave trade. The application of this term to the colored people has led to an idea common in some parts of the United States, though wholly unfounded, that it implies an admixture greater or less of African blood.\" R. Hildreth. Note: \"The title [Creole] did not first belong to the descendants of Spanish, but of French, settlers, But such a meaning implied a certain excellence of origin, and so came early to include any native of French or Spanish descent by either parent, whose nonalliance with the slave race entitled him to social rank. Later, the term was adopted by, not conceded to, the natives of mixed blood, and is still so used among themselves. . . . Besides French and Spanish, there are even, for convenience of speech, 'colored' Creoles; but there are no Italian, or Sicilian, nor any English, Scotch, Irish, or 'Yankee' Creoles, unless of parentage married into, and themselves thoroughly proselyted in, Creole society.\" G. W. Cable.\n\nOf or pertaining to a Creole or the Creoles. Note: In New Orleans the word Creole is applied to any product, or variety of manufacture, peculiar to Louisiana; as, Creole ponies, chickens, cows, shoes, eggs, wagons, baskets, etc.
creole state |Louisiana; -- a nickname. See Creole, n. & a.
creolean |Pertaining to, or characteristic of, the Creoles. -- n.  A Creole.
creolian |Pertaining to, or characteristic of, the Creoles. -- n.  A Creole.
creosol |A colorless liquid resembling phenol or carbolic acid, homologous with pyrocatechin, and obtained from beechwood tar and gum guaiacum. [Written also creasol.]
creosote |Wood-tar oil; an oily antiseptic liquid, of a burning smoky taste, colorless when pure, but usually colored yellow or brown by impurity or exposure. It is a complex mixture of various phenols and their ethers, and is obtained by the distillation of wood tar, especially that of beechwood. Note: It is remarkable as an antiseptic and deodorizer in the preservation of wood, flesh, etc., and in the prevention of putrefaction; but it is a poor germicide, and in this respect has been overrated. Smoked meat, as ham, owes its preservation and taste to a small quantity of creosote absorbed from the smoke to which it is exposed. Carbolic acid is phenol proper, while creosote is a mixture of several phenols. Coal-tar creosote (Chem.), a colorless or yellow, oily liquid, obtained in the distillation of coal tar, and resembling wood-tar oil, or creosote proper, in composition and properties.\n\nTo saturate or impregnate with creosote, as timber, for the prevention of decay.
creosote bush |A shrub (Covillea mexicana) found in desert regions from Colorado to California and southward through Mexico. It has yellow flowers and very resinous foliage with a strong odor of creosote.
crepance |An injury in a horse's leg, caused by the shoe of one hind foot striking and cutting the other leg. It sometimes forms an ulcer.
crepane |An injury in a horse's leg, caused by the shoe of one hind foot striking and cutting the other leg. It sometimes forms an ulcer.
crepe |Same as Crape.
crepitant |Having a crackling sound; crackling; rattling. Crepitant rale (Med.), a peculiar crackling sound audible with inspiration in pneumonia and other lung disease.
crepitate |To make a series of small, sharp, rapidly repeated explosions or sounds, as salt in fire; to crackle; to snap.
crepitation |1. The act of crepitating or crackling. 2. (Med.) (a) A grating or crackling sensation or sound, as that produced by rubbing two fragments of a broken bone together, or by pressing upon cellular tissue containing air. (b) A crepitant râle.
crepitus |(a) The noise produced bu a sudden discharge of wind from the bowels. (b) Same as Crepitation, 2.
crepon |A thin stuff made of the finest wool or silk, or of wool and silk.
crept |imp. & p. p. of Creep.
crepuscle |Twilight. Bailey.
crepuscular |1. Pertaining to twilight; glimmering; hence, imperfectly clear or luminous. This semihistorical and crepuscular period. Sir G. C. Lewis. 2. (Zoöl.)  Flying in the twilight or evening, or before sunrise; -- said certain birds and insects. Others feed only in the twilight, as bats and owls, and are called crepuscular. Whewell.
crepuscule |Twilight. Bailey.
crepusculine |Crepuscular. [Obs.] Sprat.
crepusculous |1. Pertaining to twilight; glimmering; hence, imperfectly clear or luminous. This semihistorical and crepuscular period. Sir G. C. Lewis. 2. (Zoöl.)  Flying in the twilight or evening, or before sunrise; -- said certain birds and insects. Others feed only in the twilight, as bats and owls, and are called crepuscular. Whewell.
crescence |Increase; enlargement. [Obs.] And toward the moon's attractive crescence bend. H. Brooke.
crescendo |With a constantly increasing volume of voice; with gradually increasing strength and fullness of tone; -- a direction for the performance of music, indicated by the mark, or by writing the word on the score.\n\n(a) A gradual increase in the strength and fullness of tone with which a passage is performed. (b) A pssage to be performed with constantly increasing volume of tone.
crescent |1. The increasing moon; the moon in her first quarter, or when defined by a concave and a convex edge; also, applied improperly to the old or decreasing moon in a like state. 2. Anything having the shape of a crescent or new moon. 3. A representation of the increasing moon, often used as an emblem or badge; as: (a) A symbol of Artemis, or Diana. (b) The ancient symbol of Byzantium or Constantinople. Hence: (c) The emblem of the Turkish Empire, adopted after the taking of Constantinople. The cross of our faith is replanted, The pale, dying crescent is daunted. Campbell. 4. Any one of three orders of knighthood; the first instituted by Charles I., king of Naples and Sicily, in 1268; the second by René of Anjou, in 1448; and the third by the Sultan Selim III., in 1801, to be conferred upon foreigners to whom Turkey might be indebted for valuable services. Brande & C. 5. (Her.)  The emblem of the increasing moon with horns directed upward, when used in a coat of arms; -- often used as a mark of cadency to distinguish a second son and his descendants.\n\n1. Shaped like a crescent. Astarte, queen of heaven, with crescent horns. Milton. 2. Increasing; growing. O, I see the crescent promise of my spirit hath not set. Tennyson.\n\n1. To form into a crescent, or something resembling a crescent. [R.] Anna Seward. 2. To adorn with crescents.
crescentic |Crescent-shaped. \"Crescentic lobes.\" R. Owen.
crescentwise |In the form of a crescent; like a crescent. Tennyson.
crescive |Increasing; growing. [R.] Unseen, yet crescive in his faculty. Shak.
cresol |Any one of three metameric substances, CH3.C6H4.OH, homologous with and resembling phenol. They are obtained from coal tar and wood tar, and are colorless, oily liquids or solids. Note: [Called also cresylic acid.]
cresorcin |Same as Isorcin.
cress |A plant of various species, chiefly cruciferous. The leaves have a moderately pungent taste, and are used as a salad and antiscorbutic. Note: The garden cress, called also peppergrass, is the Lepidium sativum; the water cress is the Nasturtium officinale. Various other plants are sometimes called cresses. To strip the brook with mantling cresses spread. Goldsmith. Bitter cress. See under Bitter. -- Not worth a cress, or \"not worth a kers.\" a common old proverb, now turned into the meaningless \"not worth a curse.\" Skeat.
cresselle |A wooden rattle sometimes used as a substitute for a bell, in the Roman Catholic church, during the latter part of Holy Week, or the last week of Lent.
cresset |1. An open frame or basket of iron, filled with combustible material, to be burned as a beacon; an open lamp or firrepan carried on a pole in nocturnal processions. Starry lamps and blazing cressets, fed With naphtha and asphaltus. Milton. As a cresset true that darts its length Of beamy luster from a tower of strength. Wordsworth. 2. (Coopering)  A small furnace or iron cage to hold fire for charring the inside of a cask, and making the staves flexible. Knight.
cressy |Abounding in cresses. The cressy islets white in flower. Tennyson.
crest |1. A tuft, or other excrescence or natural ornament, growing on animal's head; the comb of a cock; the swelling on the head of a serpent; the lengthened feathers of the crown or nape of bird, etc. Darwin. [Attack] his rising crest, and drive the serpent back. C. Pitt. 2. The plume of feathers, or other decoration, worn on a helmet; the distinctive ornament of a helmet, indicating the rank of the weare; hence, also, the helmet. Stooping low his lofty crest. Sir W. Scott. And on his head there stood upright A crest, in token of a knight. Gower. 3. (Her.)  A bearing worn, not upon the shield, but usually above it, or separately as an ornament for plate, liveries, and the like. It is a relic of the ancient cognizance. See Cognizance, 4. 4. The upper curve of a horse's neck. Throwing the base thong from his bending crest. Shak. 5. The ridge or top of wave. Like wave with crest of sparkling foam. Sir W. Scott. 6. The summit of a hill or mountain ridge. 7. The helm or head, as typical of a high spirit; pride; courage. Now the time is come That France must vail her lofty plumed crest. Shak. 8. (Arch.)  The ornamental finishing which surmounts the ridge of a roof, canopy, etc. The finials of gables and pinnacles are sometimes called crest. Parker. 9. (Engin.)  The top line of a slope or embankment. Crest tile, a tile made to cover the ridge of a roof, fitting upon it like a saddle. -- Interior crest (Fort.), the highest line of the parapet.\n\n1. To furnish with, or surmount as, a crest; to serve as a crest for. His legs bestrid the ocean, his reared arm Crested the world. Shak. Mid groves of clouds that crest the mountain's brow. Wordsworth. 2. To mark with lines or streaks, like, or regarded as like, waving plumes. Like as the shining sky in summer's night, . . . Is crested with lines of fiery light. Spenser.\n\nTo form a crest.
crested |1. Having a crest. But laced crested helm. Dryden. 2. (Zoöl.)  Having a crest of feathers or hair upon the head. \"The crested bird.\" Dryden. 3. (Bott.)  Bearing any elevated appendage like a crest, as an elevated line or ridge, or a tuft. Gray.
crestfallen |1. With hanging head; hence, dispirited; dejected; cowed. Let it make thee crestfullen; Ay, and allay this thy abortive pride. Shak. 2. Having the crest, or upper part of the neck, hanging to one side; -- said of a horse.
cresting |An ornamental finish on the top of a wall or ridge of a roof.
crestless |Without a crest or escutcheon; of low birth. \"Crestless yeomen.\" Shak.
cresylic |Pertaining to, or derived from, cresol, creosote, etc. Cresylic acid. (Chem.) See Cresol.
cretaceous |Having the qualities of chalk;abounding with chalk; chalky; as, cretaceous rocks and formations. See Chalk. Cretaceous acid, an old name for carbonic acid. -- Cretaceous formation (Geol.), the series of strata of various kinds, including beds of chalk, green sand, etc., formed in the Cretaceous period; -- called also the chalk formation. See the Diagram under Geology. -- Cretaceous period (Geol.), the time in the latter part of the Mesozoic age during which the Cretaceous formation was deposited.\n\nOf, pertaining to, or designating, the period of time following the Jurassic and preceding the Eocene.
cretaceously |In a chalky manner; as chalk.
cretacic |Of, pertaining to, or designating, the period of time following the Jurassic and preceding the Eocene.
cretan |Pertaining to Crete, or Candia. -- n.  A native or inhabitant of Crete or Candia.
crete |A Cretan
cretian |See Cretan.
cretic |A poetic foot, composed of one short syllable between two long ones (-Bentley.
creticism |Falsehood; lying; cretism.
cretin |One afflicted with cretinism.
cretinism |A condition of endemic or inherited idiocy, accompanied by physical degeneracy and deformity (usually with goiter), frequent in certain mountain valleys, esp. of the Alps.
cretinous |Having the characteristics of a cretin. \"Cretinous stupefaction.\" Ruskin.
cretism |A Cretan practice; iying; a falsehood.
cretonne |1. A strong white fabric with warp of hemp and welt of flax. 2. A fabric with cotton warp and woolen weft. 3. A kind of chintz with a glossy surface.
cretose |Chalky; cretaceous. [Obs.] Ash.
creutzer |(kroitn. See Kreutzer.
creux |Used in English only in the expression en creux. Thus, engraving en creux is engraving in intaglio, or by sinking or hollowing out the design.
crevalle |(a) The cavally or jurel. See Cavally, and Jurel. (b) The pompano (Trachynotus Carolinus).
crevasse |1. A deep crevice or fissure, as in embankment; one of the clefts or fissure by which the mass of a glacier is divided. 2. A breach in the levee or embankment of a river, caused by the pressure of the water, as on the lower Mississippi. [U.S.]
crevet |A crucible or melting pot; a cruset. Crabb.
crevice |A narrow opening resulting from a split or crack or the separation of a junction; a cleft; a fissure; a rent. The mouse, Behind the moldering wainscot, shrieked, Or from the crevice peered about. Tennyson.\n\nTo crack; to flaw. [R.] Sir H. Wotton.
creviced |Having a crevice or crevices; as, a creviced structure for storing ears of corn. Trickling through the creviced rock. J. Cunningham.
crevis |The crawfish. [Prov. Eng.]
crew |The Manx shearwater.\n\n1. A company of people associated together; an assemblage; a throng. There a noble crew Of lords and ladies stood on every side. Spenser. Faithful to whom to thy rebellious crew Milton. 2. The company of seamen who man a ship, vessel, or at; the company belonging to a vessel or a boat. Note: The word crew, in law, is ordinarily used as equivalent to ship's company, including master and other officers. When the master and other officers are excluded, the context always shows it. Story. Burrill. 3. In an extended sense, any small body of men associated for a purpose; a gang; as (Naut.), the carpenter's crew; the boatswain's crew. Syn. -- Company; band; gang; horde; mob; herd; throng; party.\n\nimp. of Crow.
crewel |Worsted yarn,, slackly twisted, used for embroidery.
crewelwork |Embroidery in crewels, commonly done upon some plain material, such as linen.
crewet |See Cruet.
crib |1. A manger or rack; a feeding place for animals. The steer lion at one crib shall meet. Pope. 2. A stall for oxen or other cattle. Where no oxen are, the crib is clean. Prov. xiv. 4. 3. A small inclosed bedstead or cot for a child. 4. A box or bin, or similar wooden structure, for storing grain, salt, etc.; as, a crib for corn or oats. 5. A hovel; a hut; a cottage. Why rather, Sleep, liest thou in smoky cribs, . . . Than in the perfumed chambers of the great Shak. 6. (Mining)  A structure or frame of timber for a foundation, or for supporting a roof, or for lining a shaft. 7. A structure of logs to be anchored with stones; -- used for docks, pier, dams, etc. 8. A small raft of timber. [Canada] 9. A small theft; anything purloined;; a plagiaris [Colloq.] The Latin version technically called a crib. Ld. Lytton. Occasional perusal of the Pagan writers, assisted by a crib. Wilkie Collins. 10. A miner's luncheon. [Cant] Raymond. 11. (Card Playing)  The discarded cards which the dealer can use in scoring points in cribbage.\n\n1. To shut up or confine in a narrow habitation; to cage; to cramp. If only the vital energy be not cribbed or cramped. I. Taylor. Now I am cabin'd, cribbed, confined. Shak. 2. To pilfer or purloin; hence, to steal from an author; to appropriate; to plagiarize; as, to crib a line from Milton. [Colloq.] Child, being fond of toys, cribbed the necklace. Dickens.\n\n1. To crowd together, or to be confined, as in a crib or in narrow accommodations. [R.] Who sought to make . . . bishops to crib in a Presbyterian trundle bed. Gauden. 2. To make notes for dishonest use in recitation or examination. [College Cant] 3. To seize the manger or other solid object with the teeth and draw in wind; -- said of a horse.
crib-biter |A horse that has the habit of cribbing.
crib-biting |Same as Cribbing, 4.
cribbage |A game of cards, played by two or four persons, in which there is a crib. (See Crib, 11.) It is characterized by a great variety of chances. A man's fancy would be summed up in cribbage. John Hall. Cribbage board, a board with holes and pegs, used by cribbage players to score their game.
cribber |A horse that has the habit of cribbing.
cribbing |1. The act of inclosing or confining in a crib or in close quarters. 2. Purloining; stealing; plagiarizing. [Colloq.] 3. (Mining)  A framework of timbers and plank backing for a shaft lining, to prevent caving, percolation of water, etc. 4. A vicious habit of a horse; crib-biting. The horse lays hold of the crib or manger with his teeth and draws air into the stomach with a grunting sound.
cribble |1. A coarse sieve or screen. 2. Coarse flour or meal. [Obs.] Johnson.\n\nTo cause to pass through a sieve or riddle; to sift.\n\nCoarse; as, cribble bread. [Obs.] Huloet.
cribellum |A peculiar perforated organ of certain spiders (Ciniflonidæ), used for spinning a special kind of silk.
cribrate |Cribriform.
cribration |The act or process of separating the finer parts of drugs from the coarser by sifting.
cribriform |Resembling, or having the form of, a sieve; pierced with hokes; as, the cribriform plate of the ethmoid bone; a cribriform compress. Cribriform cells (Bot.), those which have here and there oblique or transverse sieve plates, or places perforated with many holes.
cribrose |Perforated like a sieve; cribriform.
cric |The ring which turns inward and condenses the flame of a lamp. Knight.
crick |The creaking of a door, or a noise resembling it. [Obs.] Johnson.\n\n1. A painful, spasmodic affection of the muscles of some part of the body, as of the neck or back, rendering it difficult to move the part. To those also that, with a crick or cramp, have thei necks drawn backward. Holland. 2. Etym: [Cf. F. cric.]  A small jackscrew. Knight.
cricket |An orthopterous insect of the genus Gryllus, and allied genera. The males make chirping, musical notes by rubbing together the basal parts of the veins of the front wings. Note: The common European cricket is Gryllus domesticus; the common large black crickets of America are G. niger, G. neglectus, and others. Balm cricket. See under Balm. -- Cricket bird, a small European bird (Silvia locustella); -- called also grasshopper warbler. -- Cricket frog, a small American tree frog (Acris gryllus); -- so called from its chirping.\n\n1. A low stool. 2. A game much played in England, and sometimes in America, with a ball, bats, and wickets, the players being arranged in two contesting parties or sides. 3. (Arch.)  A small false roof, or the raising of a portion of a roof, so as to throw off water from behind an obstacle, such as a chimney.\n\nTo play at cricket. Tennyson.
cricketer |One who plays at cricket.
cricoid |Resembling a ring; -- said esp. of the cartilage at the larynx, and the adjoining parts.
cricothyroid |Of or pertaining both to the cricoid and the thyroid cartilages.
cried |imp. & p. p. of Cry.
crier |One who cries; one who makes proclamation. Specifically, an officer who proclams the orders or directions of a court, or who gives public notice by loud proclamation; as, a town-crier. He openeth his mouth like a crier. Ecclus. xx. 15.
crime |1. Any violation of law, either divine or human; an omission of a duty commanded, or the commission of an act forbidden by law. 2. Gross violation of human law, in distinction from a misdemeanor or trespass, or other slight offense. Hence, also, any aggravated offense against morality or the public welfare; any outrage or great wrong. \"To part error from crime.\" Tennyson. Note: Crimes, in the English common law, are grave offenses which were originally capitally punished (murder, rape, robbery, arson, burglary, and larceny), as distinguished from misdemeanors, which are offenses of a lighter grade. See Misdemeanors. 3. Any great wickedness or sin; iniguity. Nocrime was thine, if 'tis no crime to love. Pope. 4. That which occasion crime. [Obs.] The tree of life, the crime of our first father's fall. Spenser. Capital crime, a crime punishable with death. Syn. -- Sin; vice; iniquity; wrong. -- Crime, Sin,Vice. Sin is the generic term, embracing wickedness of every kind, but specifically denoting an offense as committed against God. Crime is strictly a violation of law either human or divine; but in present usage the term is commonly applied to actions contrary to the laws of the State. Vice is more distinctively that which springs from the inordinate indulgence of the natural appetites, which are in themselves innocent. Thus intemperance, unchastity, duplicity, etc., are vices; while murder, forgery, etc., which spring from the indulgence of selfish passions, are crimes.
crimeful |Criminal; wicked; contrary to law, right, or dury. [Obs.] Shak.
crimeless |Free from crime; innocent. Shak.
criminal |1. Guilty of crime or sin. The neglect of any of the relative duties renders us criminal in the sight of God. Rogers. 2. Involving a crime; of the nature of a crime; -- said of an act or of conduct; as, criminal carelessness. Foppish and fantastic ornaments are only indications of vice, not criminal in themselves. Addison. 3. Relating to crime; -- opposed to civil; as, the criminal code. The officers and servants of the crown, violating the personal liberty, or other right of the subject . . . were in some cases liable to criminal process. Hallam. Criminal action (Law), an action or suit instituted to secure conviction and punishment for a crime. -- Criminal conversation (Law), unlawful intercourse with a married woman; adultery; -- usually abbreviated, crim. con. -- Criminal law, the law which relates to crimes.\n\nOne who has commited a crime; especially, one who is found guilty by verdict, confession, or proof; a malefactor; a felon.
criminalist |One versed in criminal law. [R.]
criminality |The quality or state of being criminal; that which constitutes a crime; guiltiness; guilt. This is by no means the only criterion of criminality. Blackstone.
