marplot |One who, by his officious
matin |A French mastiff.\n\n1. Morning. [Obs.] Shak. 2. pl. Etym: [F. matines. See Etymol. above.]  Morning worship or service; morning prayers or songs. The winged choristers began To chirp their matins. Cleveland. 3. Time of morning service; the first canonical hour in the Roman Catholic Church.\n\nOf or pertaining to the morning, or to matins; used in the morning; matutinal.
matinal |Relating to the morning, or to matins; matutinal.
matinee |A reception, or a musical or dramatic entertainment, held in the daytime. See SoirÉe.
matrass |A round-bottomed glass flask having a long neck; a bolthead.
matress |See Matress.
matriarch |The mother and ruler of a family or of her descendants; a ruler by maternal right.
matriarchal |Of or pertaining to a matriarch; governed by a matriarch.
matriarchate |The office or jurisdiction of a matriarch; a matriarchal form of government.
matrice |See Matrix.
matricidal |Of or pertaining to matricide.
matricide |1. The murder of a mother by her son or daughter. 2. Etym: [L. matricida: cf. F. matricide.]  One who murders one's own mother.
matriculate |To enroll; to enter in a register; specifically, to enter or admit to membership in a body or society, particularly in a college or university, by enrolling the name in a register. In discovering and matriculating the arms of commissaries from North America. Sir W. Scott.\n\nTo go though the process of admission to membership, as by examination and enrollment, in a society or college.\n\nMatriculated. Skelton. -- n.  One who is matriculated. Arbuthnot.
matriculation |The act or process of matriculating; the state of being matriculated.
matrimoine |Matrimony. [Obs.]
matrimonial |Of or pertaining to marriage; derived from marriage; connubial; nuptial; hymeneal; as, matrimonial rights or duties. If he relied upon that title, he could be but a king at courtesy, and have rather a matrimonial than a regal power. Bacon. Syn. -- Connubial; conjugal; sponsal; spousal; nuptial; hymeneal.
matrimonially |In a matrimonial manner.
matrimonious |Matrimonial. [R.] Milton.
matrimony |1. The union of man and woman as husband and wife; the nuptial state; marriage; wedlock. If either of you know any impediment, why ye may not be lawfully joined together in matrimony, ye do now confessit. Book of Com. Prayer (Eng. Ed. ) 2. A kind of game at cards played by several persons. Matrimony vine (Bot.), a climbing thorny vine (Lycium barbarum) of the Potato family. Gray. Syn. -- Marriage; wedlock. See Marriage.
matrix |1. (Anat.)  The womb. All that openeth the matrix is mine. Ex. xxxiv. 19. 2. Hence, that which gives form or origin to anything; as: (a) (Mech.) The cavity in which anything is formed, and which gives it shape; a die; a mold, as for the face of a type. (b) (Min.) The earthy or stony substance in which metallic ores or crystallized minerals are found; the gangue. (c) pl. (Dyeing)  The five simple colors, black, white, blue, red, and yellow, of which all the rest are composed. 3. (Biol.)  The lifeless portion of tissue, either animal or vegetable, situated between the cells; the intercellular substance. 4. (Math.)  A rectangular arrangement of symbols in rows and columns. The symbols may express quantities or operations.
matron |1. A wife or a widow, especially, one who has borne children; a woman of staid or motherly manners. Your wives, your daughters, Your matrons, and your maids. Shak. Grave from her cradle, insomuch that she was a matron before she was a mother. Fuller. 2. A housekeeper; esp., a woman who manages the domestic economy of a public instution; a head nurse in a hospital; as, the matron of a school or hospital. Jury of matrons (Law), a jury of experienced women called to determine the question of pregnancy when set up in bar of execution, and for other cognate purposes.
matronage |1. The state of a matron. 2. The collective body of matrons. Burke. Can a politician slight the feelings and convictions of the whole matronage of his country Hare.
matronal |Of or pertaining to a matron; suitable to an elderly lady or to a married woman; grave; motherly.
matronhood |The state of being a matron.
matronize |1. To make a matron of; to make matronlike. Childbed matronizes the giddiest spirits. Richardson. 2. To act the part of a marton toward; to superintend; to chaperone; as, to matronize an assembly.
matronlike |Like a matron; sedate; grave; matronly.
matronly |1. Advanced in years; elderly. 2. Like, or befitting, a matron; grave; sedate.
matronymic |See Metronymic.
matross |Formerly, in the British service, a gunner or a gunner's mate; one of the soldiers in a train of artillery, who assisted the gunners in loading, firing, and sponging the guns. [Obs.]
matt |See Matte. Knight.
mattages |A shrike or butcher bird; -- written also matagasse. [Prov. Eng.]
mattamore |A subterranean repository for wheat.
matte |1. (Metallurgy)  A partly reduced copper sulphide, obtained by alternately roasting and melting copper ore in separating the metal from associated iron ores, and called coarse metal, fine metal, etc., according to the grade of fineness. On the exterior it is dark brown or black, but on a fresh surface is yellow or bronzy in color. 2. A dead or dull finish, as in gilding where the gold leaf is not burnished, or in painting where the surface is purposely deprived of gloss.
matted |Having a dull surface; unburnished; as, matted gold leaf or gilding. Matted glass, glass ornamented with figures on a dull ground.\n\n1. Covered with a mat or mats; as, a matted floor. 2. Tangled closely together; having its parts adhering closely together; as, matted hair.
matter |1. That of which anything is composed; constituent substance; material; the material or substantial part of anything; the constituent elements of conception; that into which a notion may be analyzed; the essence; the pith; the embodiment. He is the matter of virtue. B. Jonson. 2. That of which the sensible universe and all existent bodies are composed; anything which has extension, occupies space, or is perceptible by the senses; body; substance. Note: Matter is usually divided by philosophical writers into three kinds or classes: solid, liquid, and aëriform. Solid substances are those whose parts firmly cohere and resist impression, as wood or stone. Liquids have free motion among their parts, and easily yield to impression, as water and wine. Aëriform substances are elastic fluids, called vapors and gases, as air and oxygen gas. 3. That with regard to, or about which, anything takes place or is done; the thing aimed at, treated of, or treated; subject of action, discussion, consideration, feeling, complaint, legal action, or the like; theme. \"If the matter should be tried by duel.\" Bacon. Son of God, Savior of men ! Thy name Shall be the copious matter of my song. Milton. Every great matter they shall bring unto thee, but every small matter they shall judge. Ex. xviii. 22. 4. That which one has to treat, or with which one has to do; concern; affair; business. To help the matter, the alchemists call in many vanities out of astrology. Bacon. Some young female seems to have carried matters so far, that she is ripe for asking advice. Spectator. 5. Affair worthy of account; thing of consequence; importance; significance; moment; -- chiefly in the phrases what matter no matter, and the like. A prophet some, and some a poet, cry; No matter which, so neither of them lie. Dryden. 6. Inducing cause or occasion, especially of anything disagreeable or distressing; difficulty; trouble. And this is the matter why interpreters upon that passage in Hosea will not consent it to be a true story, that the prophet took a harlot to wife. Milton. 7. Amount; quantity; portion; space; -- often indefinite. Away he goes, . . . a matter of seven miles. L' Estrange. I have thoughts to tarry a small matter. Congreve. No small matter of British forces were commanded over sea the year before. Mi lton. 8. Substance excreted from living animal bodies; that which is thrown out or discharged in a tumor, boil, or abscess; pus; purulent substance. 9. (Metaph.)  That which is permanent, or is supposed to be given, and in or upon which changes are effected by psychological or physical processes and relations; -- opposed to form. Mansel. 10. (Print.)  Written manuscript, or anything to be set in type; copy; also, type set up and ready to be used, or which has been used, in printing. Dead matter (Print.), type which has been used, or which is not to be used, in printing, and is ready for distribution. -- Live matter (Print.), type set up, but not yet printed from. -- Matter in bar, Matter of fact. See under Bar, and Fact. -- Matter of record, anything recorded. -- Upon the matter, or Upon the whole matter, considering the whole; taking all things into view. Waller, with Sir William Balfour, exceeded in horse, but were, upon the whole matter, equal in foot. Clarendon.\n\n1. To be of importance; to import; to signify. It matters not how they were called. Locke. 2. To form pus or matter, as an abscess; to maturate. [R.] \"Each slight sore mattereth.\" Sir P. Sidney.\n\nTo regard as important; to take account of; to care for. [Obs.] He did not matter cold nor hunger. H. Brooke.
matter-of-fact |Adhering to facts; not turning aside from absolute realities; not fanciful or imaginative; commonplace; dry.
matterless |1. Not being, or having, matter; as, matterless spirits. Davies (Wit's Pilgr. ). 2. Unimportant; immaterial. [Obs.]
mattery |1. Generating or containing pus; purulent. 2. Full of substance or matter; important. B. Jonson.
matting |1. The act of interweaving or tangling together so as to make a mat; the process of becoming matted. 2. Mats, in general, or collectively; mat work; a matlike fabric, for use in covering floors, packing articles, and the like; a kind of carpeting made of straw, etc. 3. Materials for mats. 4. An ornamental border. See 3d Mat, 4.\n\nA dull, lusterless surface in certain of the arts, as gilding, metal work, glassmaking, etc.
mattock |An implement for digging and grubbing. The head has two long steel blades, one like an adz and the other like a narrow ax or the point of a pickax. 'T is you must dig with mattock and with spade. Shak.
mattoid |A person of congenitally abnormal mind bordering on insanity or degeneracy.
mattoir |A kind of coarse punch with a rasplike face, used for making a rough surface on etching ground, or on the naked copper, the effect after biting being very similar to stippled lines.
mattowacca |An American clupeoid fish (Clupea mediocris), similar to the shad in habits and appearance, but smaller and less esteemed for food; -- called also hickory shad, tailor shad, fall herring, and shad herring.
mattress |1. A quilted bed; a bed stuffed with hair, moss, or other suitable material, and quilted or otherwise fastened. [Written also matress.] 2. (Hydraulic Engin.)  A mass of interwoven brush, poles, etc., to protect a bank from being worn away by currents or waves.
maturant |A medicine, or application, which promotes suppuration.
maturate |1. To bring to ripeness or maturity; to ripen. A tree may be maturated artificially. Fuller. 2. To promote the perfect suppuration of (an abscess).\n\nTo ripen; to become mature; specif
maturation |The process of bringing, or of coming, to maturity; hence, specifically, the process of suppurating perfectly; the formation of pus or matter.
maturative |Conducing to ripeness or maturity; hence, conducing to suppuration.\n\nA remedy promoting maturation; a maturant.
mature |1. Brought by natural process to completeness of growth and development; fitted by growth and development for any function, action, or state, appropriate to its kind; full-grown; ripe. Now is love mature in ear. Tennison. How shall I meet, or how accost, the sage, Unskilled in speech, nor yet mature of age Pope. 2. Completely worked out; fully digested or prepared; ready for action; made ready for destined application or use; perfected; as, a mature plan. This lies glowing, . . . and is almost mature for the violent breaking out. Shak. 3. Of or pertaining to a condition of full development; as, a man of mature years. 4. Come to, or in a state of, completed suppuration. Syn. -- Ripe; perfect; completed; prepared; digested; ready. -- Mature, Ripe. Both words describe fullness of growth. Mature brings to view the progressiveness of the process; ripe indicates the result. We speak of a thing as mature when thinking of the successive stayes through which it has passed; as ripe, when our attention is directed merely to its state. A mature judgment; mature consideration; ripe fruit; a ripe scholar.\n\nTo bring or hasten to maturity; to promote ripeness in; to ripen; to complete; as, to mature one's plans. Bacon.\n\n1. To advance toward maturity; to become ripe; as, wine matures by age; the judgment matures by age and experience. 2. Hence, to become due, as a note.
maturely |1. In a mature manner; with ripeness; completely. 2. With caution; deliberately. Dryden. 3. Early; soon. [A Latinism, little used] Bentley.
matureness |The state or quality of being mature; maturity.
maturer |One who brings to maturity.
maturescent |Approaching maturity.
maturing |Approaching maturity; as, maturing fruits; maturing notes of hand.
maturity |1. The state or quality of being mature; ripeness; full development; as, the maturity of corn or of grass; maturity of judgment; the maturity of a plan. 2. Arrival of the time fixed for payment; a becoming due; termination of the period a note, etc., has to run.
matutinal |Of or pertaining to the morning; early.
matutinary |Matutinal. [R.]
matutine |Matutinal. [R.]
matweed |A name of several maritime grasses, as the sea sand-reed (Ammophila arundinacea) which is used in Holland to bind the sand of the seacoast dikes (see Beach grass, under Beach); also, the Lygeum Spartum, a Mediterranean grass of similar habit.
maty |A native house servant in India. Balfour (Cyc. of India).
matzoth |A cake of unleavened bread eaten by the Jews at the feast of the Passover.
maucaco |A lemur; -- applied to several species, as the White-fronted, the ruffed, and the ring-tailed lemurs.
maud |A gray plaid; -- used by shepherds in Scotland.
maudeline |An aromatic composite herb, the costmary; also, the South European Achillea Ageratum, a kind of yarrow.
maudle |To throw onto confusion or disorder; to render maudlin. [Obs.]
maudlin |1. Tearful; easily moved to tears; exciting to tears; excessively sentimental; weak and silly. \"Maudlin eyes.\" Dryden. \"Maudlin eloquence.\" Roscommon. \"A maudlin poetess.\" Pope. \"Maudlin crowd.\" Southey. 2. Drunk, or somewhat drunk; fuddled; given to drunkenness. Maudlin Clarence in his malmsey butt. Byron.\n\nAn aromatic composite herb, the costmary; also, the South European Achillea Ageratum, a kind of yarrow.
maudlinism |A maudlin state. Dickens.
maudlinwort |The oxeye daisy.
mauger |In spite of; in opposition to; notwithstanding. A man must needs love maugre his heed. Chaucer. This mauger all the world will I keep safe. Shak.
maugre |In spite of; in opposition to; notwithstanding. A man must needs love maugre his heed. Chaucer. This mauger all the world will I keep safe. Shak.\n\nTo defy. [Obs.] J. Webster.
maukin |1. See Malkin. 2. (Zoöl.)  A hare. [Scot.]
maul |A heavy wooden hammer or beetle. [Written also mall.]\n\n1. To beat and bruise with a heavy stick or cudgel; to wound in a coarse manner. Meek modern faith to murder, hack, and maul. Pope. 2. To injure greatly; to do much harm to. It mauls not only the person misrepreseted, but him also to whom he is misrepresented. South.
maul-stick |A stick used by painters as a rest for the hand while working. [Written also mahl-stick.]
maule |The common mallow.
mauling |A severe beating with a stick, cudgel, or the fist.
maumet |See Mawmet. [Obs.] Chaucer.
maunch |To munch. [Obs.]\n\nSee Manche.
maund |A hand basket. [Obs.] Herrick.\n\nAn East Indian weight, varying in different localities from 25 to about 82 pounds avoirdupois.\n\n1. To beg. [Obs.] B. Jonson. Beau. & Fl. 2. To mutter; to mumble; to grumble; to speak indistinctly or disconnectedly; to talk incoherently. He was ever maundering by the how that he met a party of scarlet devils. Sir W. Scott.
maunder |1. To beg. [Obs.] B. Jonson. Beau. & Fl. 2. To mutter; to mumble; to grumble; to speak indistinctly or disconnectedly; to talk incoherently. He was ever maundering by the how that he met a party of scarlet devils. Sir W. Scott.\n\nTo utter in a grumbling manner; to mutter.\n\nA beggar. [Obs.]
maunderer |One who maunders.
maundril |A pick with two prongs, to pry with.
maundy coins |Silver coins or money of the nominal value of 1d., 2d., 3d., and 4d., struck annually for the Maundy alms.
maundy money |Silver coins or money of the nominal value of 1d., 2d., 3d., and 4d., struck annually for the Maundy alms.
maundy thursday |The Thursday in Passion week, or next before Good Friday.
maungy |Mangy. [Obs.] Skelton.
mauresque |See Moresque.
maurist |A member of the Congregation of Saint Maur, an offshoot of the Benedictines, originating in France in the early part of the seventeenth century. The Maurists have been distinguished for their interest in literature.
mausolean |Pertaining to a mausoleum; monumental.
mausoleum |A magnificent tomb, or stately sepulchral monument.
mauther |A girl; esp., a great, awkward girl; a wench. [Prov. Eng.]
mauvaniline |See Mauve aniline, under Mauve.
mauve |A color of a delicate purple, violet, or lilac. Mauve aniline (Chem.), a dyestuff produced artificially by the oxidation of commercial aniline, and the first discovered of the so-called coal- tar, or aniline, dyes. It consists of the sulphate of mauveïne, and is a dark brown or bronze amorphous powder, which dissolves to a beatiful purple color. Called also aniline purple, violine, etc.
mauveine |An artificial organic base, obtained by oxidizing a mixture of aniline and toluidine, and valuable for the dyestuffs it forms. [Written also mauvine.]
mauvine |Mauve-colored.
maverick |In the southwestern part of the united States, a bullock or heifer that has not been branded, and is unclaimed or wild; -- said to be from Maverick, the name of a cattle owner in Texas who naglected to brand his cattle.
maverick brand |A brand originated by a dishonest cattleman, who, without owning any stock, gradually accumulates a herd by finding mavericks. [Western U. S.]
mavis |The European throstle or song thrush (Turdus musicus).
mavourneen |My darling; -- an Irish term of endearment for a girl or woman. \"Erin mavournin.\"  Campbell.
mavournin |My darling; -- an Irish term of endearment for a girl or woman. \"Erin mavournin.\"  Campbell.
maw |A gull.\n\n1. A stomach; the receptacle into which food is taken by swallowing; in birds, the craw; -- now used only of the lower animals, exept humorously or in contempt. Chaucer. Bellies and maws of living creatures. Bacon. 2. Appetite; inclination. [Obs.] Unless you had more maw to do me good. Beau. & Fl. Fish maw. (Zoöl.) See under Fish.\n\nAn old game at cards. Sir A. Weldon.
mawk |1. A maggot. [Scot.] 2. A slattern; a mawks. [Prov. Eng.]
mawkin |See Malkin, and Maukin.
mawkingly |Slatternly. [Obs.]
mawkish |1. Apt to cause satiety or loathing; nauseous; disgusting. So sweetly mawkish', and so smoothly dull. Pope. 2. Easily disgusted; squeamish; sentimentally fastidious. J. H. Newman.
mawkishly |In a mawkish way.
mawkishness |The quality or state of being mawkish. J. H. Newman.
mawks |A slattern; a mawk. [Prov. Eng.]
mawky |Maggoty. [Prov. Eng.]
mawmet |A puppet; a doll; originally, an idol, because in the Middle Ages it was generally believed that the Mohammedans worshiped images representing Mohammed. [Obs.] Wyclif. Beau. & Fl.
mawmetry |The religion of Mohammed; also, idolatry. See Mawmet. [Obs.] Chaucer.
mawmish |Nauseous. [Obs.] L' Estrange.
mawseed |The seed of the opium poppy.
mawworm |(a) Any intestinal worm found in the stomach, esp. the common round worm (Ascaris lumbricoides), and allied species. (b) One of the larvæ of botflies of horses; a bot.
maxilla |1. (Anat.) (a) The bone of either the upper or the under jaw. (b) The bone, or principal bone, of the upper jaw, the bone of the lower jaw being the mandible. [Now commonly used in this restricted sense.] 2. (Zoöl.)  One of the lower or outer jaws of arthropods. Note: There are usually two pairs in Crustacea and one pair in insects. In certain insects they are not used as jaws, but may form suctorial organs. See Illust. under Lepidoptera, and Diptera.
maxillar |1. (Anat.)  Pertaining to either the upper or the lower jaw, but now usually applied to the upper jaw only. -- n.  The principal maxillary bone; the maxilla. 2. (Zoöl.)  Of or pertaining to a maxilla.
maxillary |1. (Anat.)  Pertaining to either the upper or the lower jaw, but now usually applied to the upper jaw only. -- n.  The principal maxillary bone; the maxilla. 2. (Zoöl.)  Of or pertaining to a maxilla.
maxilliform |Having the form, or structure, of a maxilla.
maxilliped |One of the mouth appendages of Crustacea, situated next behind the maxillæ. Crabs have three pairs, but many of the lower Crustacea have but one pair of them. Called also jawfoot, and foot jaw.
maxillo-mandibular |Pertaining to the maxilla and mandible; as, the maxillo- mandibular nerve.
maxillo-palatine |Pertaining to the maxillary and palatine regions of the skull; as, the maxillo-palatine process of the maxilla. Also used as n.
maxilloturbinal |Pertaining to the maxillary and turbinal regions of the skull. -- n.  The maxillo-turbinal, or inferior turbinate, bone.
maxim |1. An established principle or proposition; a condensed proposition of important practical truth; an axiom of practical wisdom; an adage; a proverb; an aphorism. 'T is their maxim, Love is love's reward. Dryden. 2. (Mus.)  The longest note formerly used, equal to two longs, or four breves; a large. Syn. -- Axiom; aphorism; apothegm; adage; proverb; saying. See Axiom.
maxim gun |A kind of machine gun; -- named after its inventor, Hiram S. Maxim.
maximilian |A gold coin of Bavaria, of the value of about 13s. 6d. sterling, or about three dollars and a quarter.
maximization |The act or process of increasing to the highest degree. Bentham.
maximize |To increase to the highest degree. Bentham.
maximum |The greatest quantity or value attainable in a given case; or, the greatest value attained by a quantity which first increases and then begins to decrease; the highest point or degree; -- opposed to Ant: minimum. Good legislation is the art of conducting a nation to the maximum of happiness, and the minimum of misery. P. Colquhoun. Maximum thermometer, a thermometer that registers the highest degree of temperature attained in a given time, or since its last adjustment.\n\nGreatest in quantity or highest in degree attainable or attained; as, a maximum consumption of fuel; maximum pressure; maximum heat.
may |An auxiliary verb qualifyng the meaning of another verb, by expressing: (a) Ability, competency, or possibility; -- now oftener expressed by can. How may a man, said he, with idle speech, Be won to spoil the castle of his health ! Spenser. For what he [the king] may do is of two kinds; what he may do as just, and what he may do as possible. Bacon. For of all sad words of tongue or pen The saddest are these: \"It might have been.\" Whittier. (b) Liberty; permission; allowance. Thou mayst be no longer steward. Luke xvi. 2. (c) Contingency or liability; possibility or probability. Though what he learns he speaks, and may advance Some general maxims, or be right by chance. Pope. (d) Modesty, courtesy, or concession, or a desire to soften a question or remark. How old may Phillis be, you ask. Prior. (e) Desire or wish, as in prayer, imprecation, benediction, and the like. \"May you live happily.\" Dryden. May be, and It may be, are used as equivalent to possibly, perhaps, by chance, peradventure. See 1st Maybe.\n\nA maiden. [Obs.] Chaucer.\n\n1. The fifth month of the year, containing thirty-one days. Chaucer. 2. The early part or springtime of life. His May of youth, and bloom of lustihood. Shak. 3. (Bot.)  The flowers of the hawthorn; -- so called from their time of blossoming; also, the hawthorn. The palm and may make country houses gay. Nash. Plumes that micked the may. Tennyson. 4. The merrymaking of May Day. Tennyson. Italian may (Bot.), a shrubby species of Spiræa (S. hypericifolia) with many clusters of small white flowers along the slender branches. -- May apple (Bot.), the fruit of an American plant (Podophyllum peltatum). Also, the plant itself (popularly called mandrake), which has two lobed leaves, and bears a single egg-shaped fruit at the forking. The root and leaves, used in medicine, are powerfully drastic. -- May beetle, May bug (Zoöl.), any one of numerous species of large lamellicorn beetles that appear in the winged state in May. They belong to Melolontha, and allied genera. Called also June beetle. -- May Day, the first day of May; -- celebrated in the rustic parts of England by the crowning of a May queen with a garland, and by dancing about a May pole. -- May dew, the morning dew of the first day of May, to which magical properties were attributed. -- May flower (Bot.), a plant that flowers in May; also, its blossom. See Mayflower, in the vocabulary. -- May fly (Zoöl.), any species of Ephemera, and allied genera; -- so called because the mature flies of many species appear in May. See Ephemeral fly, under Ephemeral. -- May game, any May-day sport. -- May lady, the queen or lady of May, in old May games. -- May lily (Bot.), the lily of the valley (Convallaria majalis). -- May pole. See Maypole in the Vocabulary. -- May queen, a girl or young woman crowned queen in the sports of May Day. -- May thorn, the hawthorn.
may laws |1. See Kulturkampf, above. 2.  In Russia, severe oppressive laws against Jews, which have given occasion for great persecution; -- so called because they received the assent of the czar in May, 1882, and because likened to the Prussian May laws (see Kulturkampf).
maya |The name for the doctrine of the unreality of matter, called, in English, idealism; hence, nothingness; vanity; illusion.
maya arch |A form of corbel arch employing regular small corbels.
mayan |1. Designating, or pertaining to, an American Indian linguistic stock occupying the Mexican States of Veracruz, Chiapas, Tabasco, Campeche, and Yucatan, together with a part of Guatemala and a part of Salvador. The Mayan peoples are dark, short, and brachycephallic, and at the time of the discovery had attained a higher grade of culture than any other American people. They cultivated a variety of crops, were expert in the manufacture and dyeing of cotton fabrics, used cacao as a medium of exchange, and were workers of gold, silver, and copper. Their architecture comprised elaborately carved temples and places, and they possessed a superior calendar, and a developed system of hieroglyphic writing, with records said to go back to about 700 a. d. 2.  Of or pertaining to the Mayas.
mayan arch |A form of corbel arch employing regular small corbels.
maybe |Perhaps; possibly; peradventure. Maybe the amorous count solicits her. Shak. In a liberal and, maybe, somewhat reckless way. Tylor.\n\nPossible; probable, but not sure. [R.] Then add those maybe years thou hast to live. Driden.\n\nPossibility; uncertainty. [R.] What they offer is mere maybe and shift. Creech.
maybird |(a) The whimbrel; -- called also May fowl, May curlew, and May whaap. (b) The knot. [Southern U. S.] (c) The bobolink.
maybloom |The hawthorn.
maybush |The hawthorn.
mayduke |A large dark-red cherry of excellent quality.
mayfish |A common American minnow (Fundulus majalis). See Minnow.
mayflower |In England, the hawthorn; in New England, the trailing arbutus (see Arbutus); also, the blossom of these plants.
mayhap |Perhaps; peradventure. [Prov. or Dialectic]
mayhem |The maiming of a person by depriving him of the use of any of his members which are necessary for defense or protection. See Maim.
maying |The celebrating of May Day. \"He met her once a-Maying.\" Milton.
mayonnaise |A sauce compounded of raw yolks of eggs beaten up with olive oil to the consistency of a sirup, and seasoned with vinegar, pepper, salt, etc.; -- used in dressing salads, fish, etc. Also, a dish dressed with this sauce.
mayor |The chief magistrate of a city or borough; the chief officer of a municipal corporation. In some American cities there is a city court of which the major is chief judge.
mayoral |The conductir of a mule team; also, a head shepherd.
mayoralty |The office, or the term of office, of a mayor.
mayoress |The wife of a mayor.
mayorship |The office of a mayor.
maypole |A tall pole erected in an open place and wreathed with flowers, about which the rustic May-day sports were had.
maypop |The edible fruit of a passion flower, especially that of the North American Passiflora incarnata, an oval yellowish berry as large as a small apple.
mayweed |(a) A composite plant (Anthemis Cotula), having a strong odor; dog's fennel. It is a native of Europe, now common by the roadsides in the United States. (b) The feverfew.
mazama |A goatlike antelope (Haplocerus montanus) which inhabits the Rocky Mountains, frequenting the highest parts; -- called also mountain goat.
mazame |A goatlike antelope (Haplocerus montanus) which inhabits the Rocky Mountains, frequenting the highest parts; -- called also mountain goat.
mazard |A kind of small black cherry.\n\nThe jaw; the head or skull. [Obs.] Shak.\n\nTo knock on the head. [Obs.]
mazarine |Of or pertaining to Cardinal Mazarin, prime minister of France, 1643-1661. Mazarine Bible, the first Bible, and perhaps the first complete book, printed with movable metal types; -- printed by Gutenberg at Mentz, 1450-55; -- so called because a copy was found in the Mazarine Library, at Paris, about 1760. -- Mazarine blue, a deep blue color, named in honor of Cardinal Mazarin.\n\nMazarine blue.
mazdean |Of or pertaining to Ahura-Mazda, or Ormuzd, the beneficent deity in the Zoroastrian dualistic system; hence, Zoroastrian.
mazdeism |The Zoroastrian religion.
maze |1. A wild fancy; a confused notion. [Obs.] Chaucer. 2. Confusion of thought; perplexity; uncertainty; state of bewilderment. 3. A confusing and baffling network, as of paths or passages; an intricacy; a labyrinth. \"Quaint mazes on the wanton green.\" Shak. Or down the tempting maze of Shawford brook. Wordaworth. The ways of Heaven are dark and intricate, Puzzled with mazes, and perplexed with error. Addison. Syn. -- Labyrinth; intricacy. See Labyrinth.\n\nTo perplex greatly; to bewilder; to astonish and confuse; to amaze. South.\n\nTo be bewildered. [Obs.] Chaucer.
mazedness |The condition of being mazed; confusion; astonishment. [Obs.] Chaucer.
mazeful |Mazy. [Obs.] Sir P. Sidney.
mazer |A large drinking bowl; -- originally made of maple. [Obs.] Their brimful mazers to the feasting bring. Drayton.
mazily |In a mazy manner.
maziness |The state or quality of being mazy.
mazological |Of or pertaining to mazology.
mazologist |One versed in mazology or mastology.
mazology |Same as Mastology.
mazourka |A Polish dance, or the music which accompanies it, usually in 3-4 or 3-8 measure, with a strong accent on the second beat.
mazurka |A Polish dance, or the music which accompanies it, usually in 3-4 or 3-8 measure, with a strong accent on the second beat.
mazy |Perplexed with turns and windings; winding; intricate; confusing; perplexing; embarrassing; as, mazy error. Milton. To range amid the mazy thicket. Spenser. To run the ring, and trace the mazy round. Dryden.
me |One. See Men, pron. [Obs.] Chaucer.\n\nThe person speaking, regarded as an object; myself; a pronoun of the first person used as the objective and dative case of the pronoum I; as, he struck me; he gave me the money, or he gave the money to me; he got me a hat, or he got a hat for me. Note: In methinks, me is properly in the dative case, and the verb is impersonal, the construction being, it appears to me. In early use me was often placed before forms of the verb to be with an adjective; as, me were lief. Me rather had my heart might frrl your love Than my unpleased eye see your courtesy. Shak.
meach |To skulk; to cower. See Mich.
meacock |An uxorious, effeminate, or spiritless man. [Obs.] Johnson.
mead |1. A fermented drink made of water and honey with malt, yeast, etc.; metheglin; hydromel. Chaucer. 2. A drink composed of sirup of sarsaparilla or other flavoring extract, and water. It is sometimes charged with carbonic acid gas. [U. S.]\n\nA meadow. A mede All full of freshe flowers, white and reede. Chaucer. To fertile vales and dewy meads My weary, wandering steps he leads. Addison.
meadow |1. A tract of low or level land producing grass which is mown for hay; any field on which grass is grown for hay. 2. Low land covered with coarse grass or rank herbage near rives and in marshy places by the sea; as, the salt meadows near Newark Bay.\n\nOf or pertaining to a meadow; of the nature of a meadow; produced, growing, or living in, a meadow. \"Fat meadow ground.\" Milton. Note: For many names of plants compounded with meadow, see the particular word in the Vocabulary. Meadow beauty. (Bot.) Same as Deergrass. -- Meadow foxtail (Bot.), a valuable pasture grass (Alopecurus pratensis) resembling timothy, but with softer spikes. -- Meadow grass (Bot.), a name given to several grasses of the genus Poa, common in meadows, and of great value for nay and for pasture. See Grass. -- Meadow hay, a coarse grass, or true sedge, growing in uncultivated swamp or river meadow; -- used as fodder or bedding for cattle, packing for ice, etc. [Local, U. S.] -- Meadow hen. (Zoöl.) (a) The American bittern. See Stake-driver. (b) The American coot (Fulica). (c) The clapper rail. -- Meadow lark (Zoöl.), any species of Sturnella, a genus of American birds allied to the starlings. The common species (S. magna) has a yellow breast with a black crescent. -- Meadow mouse (Zoöl.), any mouse of the genus Arvicola, as the common American species A. riparia; -- called also field mouse, and field vole. -- Meadow mussel (Zoöl.), an American ribbed mussel (Modiola plicatula), very abundant in salt marshes. -- Meadow ore (Min.), bog-iron ore , a kind of limonite. -- Meadow parsnip. (Bot.) See under Parsnip. -- Meadow pink. (Bot.) See under Pink. -- Meadow pipit (Zoöl.), a small singing bird of the genus Anthus, as A. pratensis, of Europe. -- Meadow rue (Bot.), a delicate early plant, of the genus Thalictrum, having compound leaves and numerous white flowers. There are many species. -- Meadow saffron. (Bot.) See under Saffron. -- Meadow sage. (Bot.) See under Sage. -- Meadow saxifrage (Bot.), an umbelliferous plant of Europe (Silaus pratensis), somewhat resembling fennel. -- Meadow snipe (Zoöl.), the common or jack snipe.
meadowsweet |The name of several plants of the genus Spiræa, especially the white- or pink-flowered S. salicifolia, a low European and American shrub, and the herbaceous S. Ulmaria, which has fragrant white flowers in compound cymes.
meadowwort |The name of several plants of the genus Spiræa, especially the white- or pink-flowered S. salicifolia, a low European and American shrub, and the herbaceous S. Ulmaria, which has fragrant white flowers in compound cymes.
meadowy |Of or pertaining to meadows; resembling, or consisting of, meadow.
