diagraph |A drawing instrument, combining a protractor and scale.
digitalin |(a) (Med.) Any one of several extracts of foxglove (Digitalis), as the \"French extract,\" the \"German extract,\" etc., which differ among themselves in composition and properties. (b) (Chem.) A supposedly distinct vegetable principle as the essential ingredient of the extracts. It is a white, crystalline substance, and is regarded as a glucoside.
digitalis |1. (Bot.)  A genus of plants including the foxglove. 2. (Med.)  The dried leaves of the purple foxglove (Digitalis purpurea), used in heart disease, disturbance of the circulation, etc.
digitate |To point out as with the finger. [R.] Robinson (Eudoxa).\n\nHaving several leaflets arranged, like the fingers of the hand, at the extremity of a stem or petiole. Also, in general, characterized by digitation. -- Dig\"i*tate*ly, adv.
digitated |Having several leaflets arranged, like the fingers of the hand, at the extremity of a stem or petiole. Also, in general, characterized by digitation. -- Dig\"i*tate*ly, adv.
digitation |A division into fingers or fingerlike processes; also, a fingerlike process.
digitiform |Formed like a finger or fingers; finger-shaped; as, a digitiform root.
digitigrade |Walking on the toes; -- distinguished from plantigrade.\n\nAn animal that walks on its toes, as the cat, lion, wolf, etc.; -- distinguished from a plantigrade, which walks on the palm of the foot.
digitipartite |Parted like the fingers.
digitize |To finger; as, to digitize a pen. [R.] Sir T. Browne. computers to convert (information, a signal, an image) into a form expressible in binary notation
digitorium |A small dumb keyboard used by pianists for exercising the fingers; -- called also dumb piano.
digitule |A little finger or toe, or something resembling one.
digladiate |To fight like gladiators; to contend fiercely; to dispute violently. [Obs.] Digladiating like Æschines and Demosthenes. Hales.
digladiation |Act of digladiating. [Obs.] \"Sore digladiations and contest.\" Evelyn.
diglottism |Bilingualism. [R.] Earle.
diglyph |A projecting face like the triglyph, but having only two channels or grooves sunk in it.
dignation |The act of thinking worthy; honor. [Obs.] Jer. Taylor.
digne |1. Worthy; honorable; deserving. [Obs.] Chaucer. 2. Suitable; adequate; fit. [Obs.] Chaucer. 3. Haughty; disdainful. [Obs.] Chaucer.
dignification |The act of dignifying; exaltation.
dignified |Marked with dignity; stately; as, a dignified judge.
dignify |To invest with dignity or honor; to make illustrious; to give distinction to; to exalt in rank; to honor. Your worth will dignity our feast. B. Jonson. Syn. -- To exalt; elevate; prefer; advance; honor; illustrate; adorn; ennoble.
dignitary |One who possesses exalted rank or holds a position of dignity or honor; especially, one who holds an ecclesiastical rank above that of a parochial priest or clergyman.
dignity |1. The state of being worthy or honorable; elevation of mind or character; true worth; excellence. 2. Elevation; grandeur. The dignity of this act was worth the audience of kings. Shak. 3. Elevated rank; honorable station; high office, political or ecclesiastical; degree of excellence; preferment; exaltation. Macaulay. And the king said, What honor and dignity hath been done to Mordecai for this Esth. vi. 3. Reuben, thou art my firstborn, . . . the excellency of dignity, and the excellency of power. Gen. xlix. 3. 4. Quality suited to inspire respect or reverence; loftiness and grace; impressiveness; stateliness; -- said of A letter written with singular energy and dignity of thought Macaulay. 5. One holding high rank; a dignitary. These filthy dreamers . . . speak evil of dignities. Jude. 8. 6. Fundamental principle; axiom; maxim. [Obs.] Sciences concluding from dignities, and principles known by themselves. Sir T. Browne. Syn. -- See Decorum. To stand upon one's dignity, to have or to affect a high notion of one's own rank, privilege, or character. They did not stand upon their dignity, nor give their minds to being or to seeming as elegant and as fine as anybody else. R. G. White.
dignotion |Distinguishing mark; diagnostic. [Obs.] Sir T. Browne.
digonous |Having two angles. Smart.
digram |A digraph.
digraph |Two signs or characters combined to express a single articulated sound; as ea in head, or th in bath.
digraphic |Of or pertaining to a digraph. H. Sweet.
digress |1. To step or turn aside; to deviate; to swerve; especially, to turn aside from the main subject of attention, or course of argument, in writing or speaking. Moreover she beginneth to digress in latitude. Holland. In the pursuit of an argument there is hardly room to digress into a particular definition as often as a man varies the signification of any term. Locke. 2. To turn aside from the right path; to transgress; to offend. [R.] Thy abundant goodness shall excuse This deadly blot on thy digressing son. Shak.\n\nDigression. [Obs.] Fuller.
digression |1. The act of digressing or deviating, esp. from the main subject of a discourse; hence, a part of a discourse deviating from its main design or subject. The digressions I can not excuse otherwise, than by the confidence that no man will read them. Sir W. Temple. 2. A turning aside from the right path; transgression; offense. [R.] Then my digression is so vile, so base, That it will live engraven in my face. Shak. 3. (Anat.)  The elongation, or angular distance from the sun; -- said chiefly of the inferior planets. [R.]
digressional |Pertaining to, or having the character of, a digression; departing from the main purpose or subject. T. Warton.
digressive |Departing from the main subject; partaking of the nature of digression. Johnson.
digressively |By way of digression.
digue |A bank; a dike. [Obs.] Sir W. Temple.
digynia |A Linnæan order of plants having two styles.
digynian |Of or pertaining to the Digynia; having two styles.
digynous |Of or pertaining to the Digynia; having two styles.
dihedral |Having two plane faces; as, the dihedral summit of a crystal. Dihedral angle, the angular space contained between planes which intersect. It is measured by the angle made by any two lines at right angles to the two planes.
dihedron |A figure with two sides or surfaces. Buchanan.
dihexagonal |(a) Consisting of two hexagonal parts united; thus, a dihexagonal pyramid is composed of two hexagonal pyramids placed base to base. (b) Having twelve similar faces; as, a dihexagonal prism.
diiamb |A diiambus.
diiambus |A double iambus; a foot consisting of two iambuses (
diiodide |A compound of a binary type containing two atoms of iodine; -- called also biniodide.
diisatogen |A red crystalline nitrogenous substance or artificial production, which by reduction passes directly to indigo.
dijudicant |One who dijudicates. [R.] Wood.
dijudicate |To make a judicial decision; to decide; to determine. [R.] Hales.
dijudication |The act of dijudicating; judgment. [R.] Cockeram.
dika |A kind of food, made from the almondlike seeds of the Irvingia Barteri, much used by natives of the west coast of Africa; -- called also dika bread.
dike |1. A ditch; a channel for water made by digging. Little channels or dikes cut to every bed. Ray. 2. An embankment to prevent inundations; a levee. Dikes that the hands of the farmers had raised . . . Shut out the turbulent tides. Longfellow. 3. A wall of turf or stone. [Scot.] 4. (Geol.)  A wall-like mass of mineral matter, usually an intrusion of igneous rocks, filling up rents or fissures in the original strata.\n\n1. To surround or protect with a dike or dry bank; to secure with a bank. 2. To drain by a dike or ditch.\n\nTo work as a ditcher; to dig. [Obs.] He would thresh and thereto dike and delve. Chaucer.
diker |1. A ditcher. Piers Plowman. 2. One who builds stone walls; usually, one who builds them without lime. [Scot.]
dilacerate |To rend asunder; to tear to pieces. Sir T. Browne.
dilaceration |The act of rending asunder. Arbuthnot.
dilaniate |To rend in pieces; to tear. [R.] Howell.
dilaniation |A rending or tearing in pieces; dilaceration. [R.]
dilapidate |1. To bring into a condition of decay or partial ruin, by misuse or through neglect; to destroy the fairness and good condition of; -- said of a building. If the bishop, parson, or vicar, etc., dilapidates the buildings, or cuts down the timber of the patrimony. Blackstone. 2. To impair by waste and abuse; to squander. The patrimony of the bishopric of Oxon was much dilapidated. Wood.\n\nTo get out of repair; to fall into partial ruin; to become decayed; as, the church was suffered to dilapidate. Johnson.
dilapidated |Decayed; fallen into partial ruin; injured by bad usage or neglect. A deserted and dilapidated buildings. Cooper.
dilapidation |1. The act of dilapidating, or the state of being dilapidated, reduced to decay, partially ruined, or squandered. Tell the people that are relived by the dilapidation of their public estate. Burke. 2. Ecclesiastical waste; impairing of church property by an incumbent, through neglect or by intention. The business of dilapidations came on between our bishop and the Archibishop of York. Strype. 3. (Law)  The pulling down of a building, or suffering it to fall or be in a state of decay. Burrill.
dilapidator |One who causes dilapidation. Strype.
dilatability |The quality of being dilatable, or admitting expansion; -- opposed to contractibility. Ray.
dilatable |Capable of expansion; that may be dilated; -- opposed to contractible; as, the lungs are dilatable by the force of air; air is dilatable by heat.
dilatation |1. Prolixity; diffuse discourse. [Obs.] \"What needeth greater dilatation\" Chaucer. 2. The act of dilating; expansion; an enlarging on al 3. (Anat.)  A dilation or enlargement of a canal or other organ.
dilatator |A muscle which dilates any part; a dilator.
dilate |1. To expand; to distend; to enlarge or extend in all directions; to swell; -- opposed to contract; as, the air dilates the lungs; air is dilated by increase of heat. 2. To enlarge upon; to relate at large; to tell copiously or diffusely. [R.] Do me the favor to dilate at full What hath befallen of them and thee till now. Shak. Syn. -- To expand; swell; distend; enlarge; spread out; amplify; expatiate.\n\n1. To grow wide; to expand; to swell or extend in all directions. His heart dilates and glories in his strength. Addison. 2. To speak largely and copiously; to dwell in narration; to enlarge; -- with on or upon. But still on their ancient joys dilate. Crabbe.\n\nExtensive; expanded. [Obs.] B. Jonson.
dilated |1. Expanded; enlarged. Shak. 2. (Bot.)  Widening into a lamina or into lateral winglike appendages. 3. (Zoöl.)  Having the margin wide and spreading.
dilatedly |In a dilated manner. Feltham.
dilater |One who, or that which, dilates, expands, o r enlarges.
dilation |Delay. [Obs.] Bp. Hall.\n\nThe act of dilating, or the state of being dilated; expansion; dilatation. Mrs. Browning. At first her eye with slow dilation rolled. Tennyson. A gigantic dilation of the hateful figure. Dickens.
dilative |Causing dilation; tending to dilate, on enlarge; expansive. Coleridge.
dilatometer |An instrument for measuring the dilatation or expansion of a substance, especially of a fluid.
dilator |1. One who, or that which, widens or expands. 2. (Anat.)  A muscle that dilates any part. 3. (Med.)  An instrument for expanding a part; as, a urethral dilator.
dilatorily |With delay; tardily.
dilatoriness |The quality of being dilatory; lateness; slowness; tardiness; sluggishness.
dilatory |1. Inclined to defer or put off what ought to be done at once; given the procrastination; delaying; procrastinating; loitering; as, a dilatory servant. 2. Marked by procrastination or delay; tardy; slow; sluggish; -- said of actions or measures. Alva, as usual, brought his dilatory policy to bear upon hiMotley. Dilatory plea (Law), a plea designed to create delay in the trial of a cause, generally founded upon some matter not connected with the merits of the case. Syn. -- Slow; delaying; sluggish; inactive; loitering; behindhand; backward; procrastinating. See Slow.
dildo |A burden in popular songs. [Obs.] Delicate burthens of dildos and fadings. Shak.\n\nA columnar cactaceous plant of the West Indies (Cereus Swartzii).
dilection |Love; choice. [Obs.] T. Martin.
dilemma |1. (Logic)  An argument which presents an antagonist with two or more alternatives, but is equally conclusive against him, whichever alternative he chooses. Note: The following are instances of the dilemma. A young rhetorician applied to an old sophist to be taught the art of pleading, and bargained for a certain reward to be paid when he should gain a cause. The master sued for his reward, and the scholar endeavored to dilemma. \"If I gain my cause, I shall withhold your pay, because the judge's award will be against you; if I lose it, I may withhold it, because I shall not yet have gained a cause.\" \"On the contrary,\" says the master, \"if you gain your cause, you must pay me, because you are to pay me when you gain a cause; if you lose it, you must pay me, because the judge will award it.\" Johnson. 2. A state of things in which evils or obstacles present themselves on every side, and it is difficult to determine what course to pursue; a vexatious alternative or predicament; a difficult choice or position. A strong dilemma in a desperate case! To act with infamy, or quit the place. Swift. Horns of a dilemma, alternatives, each of which is equally difficult of encountering.
dilettant |Of or pertaining to dilettanteism; amateur; as, dilettant speculation. Carlyle.\n\nA dilettante. Though few art lovers can be connoisseurs, many are dilettants. Fairholt.
dilettante |An admirer or lover of the fine arts; popularly, an amateur; especially, one who follows an art or a branch of knowledge, desultorily, or for amusement only. The true poet is not an eccentric creature, not a mere artist living only for art, not a dreamer or a dilettante, sipping the nectar of existence, while he keeps aloof from its deeper interests. J. C. Shairp.
dilettanteish |Somewhat like a dilettante.
dilettanteism |The state or quality of being a dilettante; the desultory pursuit of art, science, or literature.
dilettantish |Dilettanteish.
dilettantism |Same as Dilettanteism. F. Harrison.
diligence |1. The quality of being diligent; carefulness; careful attention; -- the opposite of negligence. 2. Interested and persevering application; devoted and painstaking effort to accomplish what is undertaken; assiduity in service. That which ordinary men are fit for, I am qualified in; and the best of me is diligence. Shak. 3. (Scots Law)  Process by which persons, lands, or effects are seized for debt; process for enforcing the attendance of witnesses or the production of writings. To do one's diligence, give diligence, use diligence, to exert one's self; to make interested and earnest endeavor. And each of them doth all his diligence To do unto the festé reverence. Chaucer. Syn. -- Attention; industry; assiduity; sedulousness; earnestness; constancy; heed; heedfulness; care; caution. -- Diligence, Industry. Industry has the wider sense of the two, implying an habitual devotion to labor for some valuable end, as knowledge, property, etc. Diligence denotes earnest application to some specific object or pursuit, which more or less directly has a strong hold on one's interests or feelings. A man may be diligent for a time, or in seeking some favorite end, without meriting the title of industrious. Such was the case with Fox, while Burke was eminent not only for diligence, but industry; he was always at work, and always looking out for some new field of mental effort. The sweat of industry would dry and die, But for the end it works to. Shak. Diligence and accuracy are the only merits which an historical writer ascribe to himself. Gibbon.\n\nA four-wheeled public stagecoach, used in France.
diligency |Diligence; care; persevering endeavor. [Obs.] Milton.
diligent |1. Prosecuted with careful attention and effort; careful; painstaking; not careless or negligent. The judges shall make diligent inquisition. Deut. xix. 18. 2. Interestedly and perseveringly attentive; steady and earnest in application to a subject or pursuit; assiduous; industrious. Seest thou a man diligent in his business he shall stand before kings. Prov. xxii. 29. Diligent cultivation of elegant literature. Prescott. Syn. -- Active; assiduous; sedulous; laborious; persevering; attentive; industrious.
diligently |In a diligent manner; not carelessly; not negligently; with industry or assiduity. Ye diligently keep commandments of the Lord your God. Deut. vi. 17.
dill |An herb (Peucedanum graveolens), the seeds of which are moderately warming, pungent, and aromatic, and were formerly used as a soothing medicine for children; -- called also dill-seed. Dr. Prior.\n\nTo still; to calm; to soothe, as one in pain. [Obs.]
dilling |A darling; a favorite. [Obs.] Whilst the birds billing, Each one with his dilling. Drayton.
dilluing |A process of sorting ore by washing in a hand sieve. [Written also deluing.]
dilly |A kind of stagecoach. \"The Derby dilly.\" J. H. Frere.
dilly-dally |To loiter or trifle; to waste time.
dilogical |Ambiguous; of double meaning. [Obs.] T. Adams.
dilogy |An ambiguous speech; a figure in which a word is used an equivocal sense. [R.]
dilucid |Clear; lucid. [Obs.] Bacon. -- Di*lu\"cid*ly, adv. [Obs.] -- Di`lu*cid\"i*ty, n. [Obs.]
dilucidate |To elucidate. [Obs.] Boyle.
dilucidation |The act of making clear. [Obs.] Boyle.
diluent |Diluting; making thinner or weaker by admixture, esp. of water. Arbuthnot.\n\n1. That which dilutes. 2. (Med.)  An agent used for effecting dilution of the blood; a weak drink. There is no real diluent but water. Arbuthnot.
dilute |1. To make thinner or more liquid by admixture with something; to thin and dissolve by mixing. Mix their watery store. With the chyle's current, and dilute it more. Blackmore. 2. To diminish the strength, flavor, color, etc., of, by mixing; to reduce, especially by the addition of water; to temper; to attenuate; to weaken. Lest these colors should be diluted and weakened by the mixture of any adventitious light. Sir I. Newton.\n\nTo become attenuated, thin, or weak; as, it dilutes easily.\n\nDiluted; thin; weak. A dilute and waterish exposition. Hopkins.
diluted |Reduced in strength; thin; weak. -- Di*lut\"ed*ly, adv.
diluteness |The quality or state of being dilute. Bp. Wilkins.
diluter |One who, or that which, dilutes or makes thin, more liquid, or weaker.
dilution |The act of diluting, or the state of being diluted. Arbuthnot.
diluvial |1. Of or pertaining to a flood or deluge, esp. to the great deluge in the days of Noah; diluvian. 2. (Geol.)  Effected or produced by a flood or deluge of water; -- said of coarse and imperfectly stratified deposits along ancient or existing water courses. Similar unstratified deposits were formed by the agency of ice. The time of deposition has been called the Diluvian epoch.
diluvialist |One who explains geological phenomena by the Noachian deluge. Lyell.
diluvian |Of or pertaining to a deluge, esp. to the Noachian deluge; diluvial; as, of diluvian origin. Buckland.
diluviate |To run as a flood. [Obs.] Sir E. Sandys.
diluvium |A deposit of superficial loam, sand, gravel, stones, etc., caused by former action of flowing waters, or the melting of glacial ice. Note: The accumulation of matter by the ordinary operation of water is termed alluvium.
dim |1. Not bright or distinct; wanting luminousness or clearness; obscure in luster or sound; dusky; darkish; obscure; indistinct; overcast; tarnished. The dim magnificence of poetry. Whewell. How is the gold become dim! Lam. iv. 1. I never saw The heavens so dim by day. Shak. Three sleepless nights I passed in sounding on, Through words and things, a dim and perilous way. Wordsworth. 2. Of obscure vision; not seeing clearly; hence, dull of apprehension; of weak perception; obtuse. Mine eye also is dim by reason of sorrow. Job xvii. 7. The understanding is dim. Rogers. Note: Obvious compounds: dim-eyed; dim-sighted, etc. Syn. -- Obscure; dusky; dark; mysterious; imperfect; dull; sullied; tarnished.\n\n1. To render dim, obscure, or dark; to make less bright or distinct; to take away the luster of; to darken; to dull; to obscure; to eclipse. A king among his courtiers, who dims all his attendants. Dryden. Now set the sun, and twilight dimmed the ways. Cowper. 2. To deprive of distinct vision; to hinder from seeing clearly, either by dazzling or clouding the eyes; to darken the senses or understanding of. Her starry eyes were dimmed with streaming tears. C. Pitt.\n\nTo grow dim. J. C. Shairp.
dim-sighted |Having dim sight; lacking perception. -- Dim\"-sight`ed*ness, n.
dimble |A bower; a dingle. [Obs.] Drayton.
dime |A silver coin of the United States, of the value of ten cents; the tenth of a dollar. Dime novel, a novel, commonly sensational and trashy, which is sold for a dime, or ten cents.
dimension |1. Measure in a single line, as length, breadth, height, thickness, or circumference; extension; measurement; -- usually, in the plural, measure in length and breadth, or in length, breadth, and thickness; extent; size; as, the dimensions of a room, or of a ship; the dimensions of a farm, of a kingdom. Gentlemen of more than ordinary dimensions. W. Irving. Space of dimension, extension that has length but no breadth or thickness; a straight or curved line. -- Space of two dimensions, extension which has length and breadth, but no thickness; a plane or curved surface. -- Space of three dimensions, extension which has length, breadth, and thickness; a solid. -- Space of four dimensions, as imaginary kind of extension, which is assumed to have length, breadth, thickness, and also a fourth imaginary dimension. Space of five or six, or more dimensions is also sometimes assumed in mathematics. 2. Extent; reach; scope; importance; as, a project of large dimensions. 3. (Math.)  The degree of manifoldness of a quantity; as, time is quantity having one dimension; volume has three dimensions, relative to extension. 4. (Alg.)  A literal factor, as numbered in characterizing a term. The term dimensions forms with the cardinal numbers a phrase equivalent to degree with the ordinal; thus, a2b2c is a term of five dimensions, or of the fifth degree. 5. pl. (Phys.)  The manifoldness with which the fundamental units of time, length, and mass are involved in determining the units of other physical quantities. Thus, since the unit of velocity varies directly as the unit of length and inversely as the unit of time, the dimensions of velocity are said to be length ÷ time; the dimensions of work are mass × (length)2 ÷ (time)2; the dimensions of density are mass ÷ (length)3. Dimension lumber, Dimension scantling, or Dimension stock (Carp.), lumber for building, etc., cut to the sizes usually in demand, or to special sizes as ordered. -- Dimension stone, stone delivered from the quarry rough, but brought to such sizes as are requisite for cutting to dimensions given.
dimensional |Pertaining to dimension.
dimensioned |Having dimensions. [R.]
dimensionless |Without dimensions; having no appreciable or noteworthy extent. Milton.
dimensity |Dimension. [R.] Howell.
dimensive |Without dimensions; marking dimensions or the limits. Who can draw the soul's dimensive lines Sir J. Davies.
dimera |(a) A division of Coleoptera, having two joints to the tarsi. (b) A division of the Hemiptera, including the aphids.
dimeran |One of the Dimera.
dimerous |Composed of, or having, two parts of each kind. Note: A dimerous flower has two sepals, two petals, two stamens, and two pistils.
dimeter |Having two poetical measures or meters. -- n.  A verse of two meters.
dimethyl |Ethane; -- sometimes so called because regarded as consisting of two methyl radicals. See Ethane.
dimetric |Same as Tetragonal. Dana.
dimication |A fight; contest. [Obs.] Bp. Hall.
dimidiate |1. Divided into two equal parts; reduced to half in shape or form. 2. (Biol.) (a) Consisting of only one half of what the normal condition requires; having the appearance of lacking one half; as, a dimidiate leaf, which has only one side developed. (b) Having the organs of one side, or half, different in function from the corresponding organs on the other side; as, dimidiate hermaphroditism.\n\n1. To divide into two equal parts. [Obs.] Cockeram. 2. (Her.)  To represent the half of; to halve.
dimidiation |The act of dimidiating or halving; the state of being dimidiate.
diminish |1. To make smaller in any manner; to reduce in bulk or amount; to lessen; -- opposed to augment or increase. Not diminish, but rather increase, the debt. Barrow. 2. To lessen the authority or dignity of; to put down; to degrade; to abase; to weaken. This doth nothing diminish their opinion. Robynson (More's Utopia). I will diminish them, that they shall no more rule over the nations. Ezek. xxix. 15. O thou . . . at whose sight all the stars Hide their diminished heads. Milton. 3. (Mus.)  To make smaller by a half step; to make (an interval) less than minor; as, a diminished seventh. 4. To take away; to subtract. Neither shall ye diminish aught from it. Deut. iv. 2. Diminished column, one whose upper diameter is less than the lower. -- Diminished, or Diminishing, scale, a scale of gradation used in finding the different points for drawing the spiral curve of the volute. Gwilt. -- Diminishing rule (Arch.), a board cut with a concave edge, for fixing the entasis and curvature of a shaft. -- Diminishing stile (Arch.), a stile which is narrower in one part than in another, as in many glazed doors. Syn. -- To decrease; lessen; abate; reduce; contract; curtail; impair; degrade. See Decrease.\n\nTo become or appear less or smaller; to lessen; as, the apparent size of an object diminishes as we recede from it.
