gangliac |Relating to a ganglion; ganglionic.
gee |1. To agree; to harmonize. [Colloq. or Prov. Eng.] Forby. 2. Etym: [Cf. G. jü, interj., used in calling to a horse, It. giò, F. dia, used to turn a horse to the left.]  To turn to the off side, or from the driver (i.e., in the United States, to the right side); -- said of cattle, or a team; used most frequently in the imperative, often with off, by drivers of oxen, in directing their teams, and opposed to haw, or hoi. [Written also jee.] Note: In England, the teamster walks on the right-hand side of the cattle; in the United States, on the left-hand side. In all cases, however, gee means to turn from the driver, and haw to turn toward him. Gee ho, or Gee whoa. Same as Gee.\n\nTo cause (a team) to turn to the off side, or from the driver. [Written also jee.]
geer |See Gear, Gearing.
geering |See Gear, Gearing.
geese |pl. of Goose.
geest |Alluvial matter on the surface of land, not of recent origin. R. Jameson.
geet |Jet. [Obs.] Chaucer.
geez |The original native name for the ancient Ethiopic language or people. See Ethiopic.
geezer |A queer old fellow; an old chap; an old woman. [Contemptuous, Slang or Dial.]
gehenna |The valley of Hinnom, near Jerusalem, where some of the Israelites sacrificed their children to Moloch, which, on this account, was afterward regarded as a place of abomination, and made a receptacle for all the refuse of the city, perpetual fires being kept up in order to prevent pestilential effluvia. In the New Testament the name is transferred, by an easy metaphor, to Hell. The pleasant valley of Hinnom. Tophet thence And black Gehenna called, the type of Hell. Milton.
geic |Pertaining to, or derived from, earthy or vegetable mold. Geic acid. (Chem.) See Humin.
gein |See Humin.
geisha |A Japanese singing and dancing girl.
geissler tube |A glass tube provided with platinum electrodes, and containing some gas under very low tension, which becomes luminous when an electrical discharge is passed through it; -- so called from the name of a noted maker in germany. It is called also Plücker tube, from the German physicist who devised it.
geitonogamy |Fertilization of flowers by pollen from other flowers on the same plant.
gelable |Capable of being congealed; capable of being converted into jelly.
gelada |A baboon (Gelada Ruppelli) of Abyssinia, remarkable for the length of the hair on the neck and shoulders of the adult male.
gelastic |Pertaining to laughter; used in laughing. \"Gelastic muscles.\" Sir T. Browne.
gelatification |The formation of gelatin.
gelatigenous |Producing, or yielding, gelatin; gelatiniferous; as, the gelatigeneous tissues.
gelatin |, Gel\"a*tine (, n. Etym: [F. gélatine, fr. L. gelare to congeal. See Geal.] (Chem.) Animal jelly; glutinous material obtained from animal tissues by prolonged boiling. Specifically (Physiol. Chem.), a nitrogeneous colloid, not existing as such in the animal body, but formed by the hydrating action of boiling water on the collagen of various kinds of connective tissue (as tendons, bones, ligaments, etc.). Its distinguishing character is that of dissolving in hot water, and forming a jelly on cooling. It is an important ingredient of calf's-foot jelly, isinglass, glue, etc. It is used as food, but its nutritious qualities are of a low order. Note: Both spellings, gelatin and gelatine, are in good use, but the tendency of writers on physiological chemistry favors the form in - in, as in the United States Dispensatory, the United States Pharmacopoeia, Fownes' Watts' Chemistry, Brande & Cox's Dictionary. Blasting gelatin, an explosive, containing about ninety-five parts of nitroglycerin and five of collodion. -- Gelatin process, a name applied to a number of processes in the arts, involving the use of gelatin. Especially: (a) (Photog.) A dry- plate process in which gelatin is used as a substitute for collodion as the sensitized material. This is the dry-plate process in general use, and plates of extreme sensitiveness are produced by it. (b) (Print.) A method of producing photographic copies of drawings, engravings, printed pages, etc., and also of photographic pictures, which can be printed from in a press with ink, or (in some applications of the process) which can be used as the molds of stereotype or electrotype plates. (c) (Print. or Copying) A method of producing facsimile copies of an original, written or drawn in aniline ink upon paper, thence transferred to a cake of gelatin softened with glycerin, from which impressions are taken upon ordinary paper. -- Vegetable gelatin. See Gliadin.
gelatinate |To convert into gelatin, or into a substance resembling jelly.\n\nTo be converted into gelatin, or into a substance like jelly. Lapis lazuli, if calcined, does not effervesce, but gelatinates with the mineral acids. Kirwan.
gelatination |The act of process of converting into gelatin, or a substance like jelly.
gelatine |, Gel\"a*tine (, n. Etym: [F. gélatine, fr. L. gelare to congeal. See Geal.] (Chem.) Animal jelly; glutinous material obtained from animal tissues by prolonged boiling. Specifically (Physiol. Chem.), a nitrogeneous colloid, not existing as such in the animal body, but formed by the hydrating action of boiling water on the collagen of various kinds of connective tissue (as tendons, bones, ligaments, etc.). Its distinguishing character is that of dissolving in hot water, and forming a jelly on cooling. It is an important ingredient of calf's-foot jelly, isinglass, glue, etc. It is used as food, but its nutritious qualities are of a low order. Note: Both spellings, gelatin and gelatine, are in good use, but the tendency of writers on physiological chemistry favors the form in - in, as in the United States Dispensatory, the United States Pharmacopoeia, Fownes' Watts' Chemistry, Brande & Cox's Dictionary. Blasting gelatin, an explosive, containing about ninety-five parts of nitroglycerin and five of collodion. -- Gelatin process, a name applied to a number of processes in the arts, involving the use of gelatin. Especially: (a) (Photog.) A dry- plate process in which gelatin is used as a substitute for collodion as the sensitized material. This is the dry-plate process in general use, and plates of extreme sensitiveness are produced by it. (b) (Print.) A method of producing photographic copies of drawings, engravings, printed pages, etc., and also of photographic pictures, which can be printed from in a press with ink, or (in some applications of the process) which can be used as the molds of stereotype or electrotype plates. (c) (Print. or Copying) A method of producing facsimile copies of an original, written or drawn in aniline ink upon paper, thence transferred to a cake of gelatin softened with glycerin, from which impressions are taken upon ordinary paper. -- Vegetable gelatin. See Gliadin.\n\nSame as Gelatin.
gelatiniferous |Yielding gelatin on boiling with water; capable of gelatination.
gelatiniform |Having the form of gelatin.
gelatinization |Same as Gelatination.
gelatinize |1. To convert into gelatin or jelly. Same as Gelatinate, v. t. 2. (Photog.)  To coat, or otherwise treat, with gelatin.\n\nSame as Gelatinate, v. i.
gelatinous |Of the nature and consistence of gelatin or the jelly; resembling jelly; viscous.
gelation |The process of becoming solid by cooling; a cooling and solidifying.
geld |Money; tribute; compensation; ransom.[Obs.] Note: This word occurs in old law books in composition, as in danegeld, or danegelt, a tax imposed by the Danes; weregeld, compensation for the life of a man, etc.\n\n1. To castrate; to emasculate. 2. To deprive of anything essential. Bereft and gelded of his patrimony. Shak. 3. To deprive of anything exceptionable; as, to geld a book, or a story; to expurgate. [Obs.] Dryden.
geldable |Capable of being gelded.\n\nLiable to taxation. [Obs.] Burrill.
gelder |One who gelds or castrates.
gelder-rose |Same as Guelder-rose.
gelding |A castrated animal; -- usually applied to a horse, but formerly used also of the human male. They went down both into the water, Philip and the gelding, and Philip baptized him. Wyclif (Acts viii. 38).\n\nfrom Geld, v. t.
gelid |Cold; very cold; frozen. \"Gelid founts.\" Thompson.
gelidity |The state of being gelid.
gelidly |In a gelid manner; coldly.
gelidness |The state of being gelid; gelidity.
gelly |Jelly. [Obs.] Spenser.
geloscopy |Divination by means of laughter.
gelose |An amorphous, gummy carbohydrate, found in Gelidium, agar-agar, and other seaweeds.
gelsemic |Gelseminic.
gelsemine |An alkaloid obtained from the yellow jasmine (Gelsemium sempervirens), as a bitter white semicrystalline substance; -- called also gelsemia.
gelseminic |Pertaining to, or derived from, the yellow jasmine (Gelsemium sempervirens); as, gelseminic acid, a white crystalline substance resembling esculin.
gelsemium |1. (Bot.)  A genus of climbing plants. The yellow (false) jasmine (Gelsemium sempervirens) is a native of the Southern United States. It has showy and deliciously fragrant flowers. 2. (Med.)  The root of the yellow jasmine, used in malarial fevers, etc.
gelt |Trubute, tax. [Obs.] All these the king granted unto them . . . free from all gelts and payments, in a most full and ample manner. Fuller.\n\nA gelding. [Obs.] Mortimer.\n\nGilding; tinsel. [Obs.] Spenser.
gem |1. (Bot.)  A bud. From the joints of thy prolific stem A swelling knot is raised called a gem. Denham. 2. A precious stone of any kind, as the ruby, emerald, topaz, sapphire, beryl, spinel, etc., especially when cut and polished for ornament; a jewel. Milton. 3. Anything of small size, or expressed within brief limits, which is regarded as a gem on account of its beauty or value, as a small picture, a verse of poetry, a witty or wise saying. Artificial gem, an imitation of a gem, made of glass colored with metallic oxide. Cf. Paste, and Strass.\n\n1. To put forth in the form of buds. \"Gemmed their blossoms.\" [R.] Milton. 2. To adorn with gems or precious stones. 3. To embellish or adorn, as with gems; as, a foliage gemmed with dewdrops. England is . . . gemmed with castles and palaces. W. Irving.
gemara |The second part of the Talmud, or the commentary on the Mishna (which forms the first part or text).
gemaric |Pertaining to the Gemara.
gemarist |One versed in the Gemara, or adhering to its teachings.
gemel |Coupled; paired. Bars gemel (Her.), two barrulets placed near and parallel to each other.\n\n1. One of the twins. [Obs.] Wyclif. 2. (Heb.)  One of the barrulets placed parallel and closed to each other. Cf. Bars gemel, under Gemel, a. Two gemels silver between two griffins passant. Strype. Gemel hinge (Locksmithing), a hinge consisting of an eye or loop and a hook. -- Gemel ring, a ring with two or more links; a gimbal. See Gimbal. -- Gemel window, a window with two bays.
gemellipa-rous |Producing twins. [R.] Bailey.
geminal |A pair. [Obs.] Drayton.
geminate |In pairs or twains; two together; binate; twin; as, geminate flowers. Gray.\n\nTo double. [R.] B. Jonson.
gemination |A doubling; duplication; repetition. [R.] Boyle.
gemini |A constellation of the zodiac, containing the two bright stars Castor and Pollux; also, the third sign of the zodiac, which the sun enters about May 20th.
geminiflorous |Having the flowers arranged in pairs.
geminous |Double; in pairs. Sir T. Browne.
geminy |Twins; a pair; a couple. [Obs.] Shak.
gemitores |A division of birds including the true pigeons.
gemma |1. (Bot.)  A leaf bud, as distinguished from a flower bud. 2. (Biol.)  A bud spore; one of the small spores or buds in the reproduction of certain Protozoa, which separate one at a time from the parent cell.
gemmaceous |Of or pertaining to gems or to gemmæ; of the nature of, or resembling, gems or gemmæ.
gemmary |Of or pertaining to gems.\n\nA receptacle for jewels or gems; a jewel house; jewels or gems, collectively.
gemmate |Having buds; reproducing by buds.
gemmated |Having buds; adorned with gems or jewels.
gemmation |1. (Biol.)  The formation of a new individual, either animal or vegetable, by a process of budding; an asexual method of reproduction; gemmulation; gemmiparity. See Budding. 2. (Bot.)  The arrangement of buds on the stalk; also, of leaves in the bud.
gemmeous |Pertaining to gems; of the nature of gems; resembling gems. Pennant.
gemmiferous |Producing gems or buds; (Biol.)  multiplying by buds.
gemmification |The production of a bud or gem.
gemmiflorate |Having flowers like buds.
gemminess |The state or quality of being gemmy; spruceness; smartness.
gemmipara |Animals which increase by budding, as hydroids.
gemmipares |Animals which increase by budding, as hydroids.
gemmiparity |Reproduction by budding; gemmation. See Budding.
gemmiparous |Producing buds; reproducing by buds. See Gemmation, 1.
gemmosity |The quality or characteristics of a gem or jewel. [Obs.] Bailey.
gemmulation |See Gemmation.
gemmule |1. (Bot.) (a) A little leaf bud, as the plumule between the cotyledons. (b) One of the buds of mosses. (c) One of the reproductive spores of algæ. (d) An ovule. 2. (Biol.) (a) A bud produced in generation by gemmation. (b) One of the imaginary granules or atoms which, according to Darwin's hypothesis of pangenesis, are continually being thrown off from every cell or unit, and circulate freely throughout the system, and when supplied with proper nutriment multiply by self-division and ultimately develop into cells like those from which they were derived. They are supposed to be transmitted from the parent to the offspring, but are often transmitted in a dormant state during many generations and are then developed. See Pangenesis.
gemmuliferous |Bearing or producing gemmules or buds.
gemmy |1. Full of gems; bright; glittering like a gem. The gemmy bridle glittered free. Tennyson. 2. Spruce; smart. [Colloq. Eng.]
gemote |A meeting; -- used in combination, as, Witenagemote, an assembly of the wise men.
gems |The chamois.
gems-horn |An organ stop with conical tin pipes.
gemsbok |A South African antelope (Oryx Capensis), having long, sharp, nearly straight horns.
gemul |A small South American deer (Furcifer Chilensis), with simple forked horns. [Written also guemul.]
gena |(a) The cheek; the feathered side of the under mandible of a bird. (b) The part of the head to which the jaws of an insect are attached.
genappe |A worsted yarn or cord of peculiar smoothness, used in the manufacture of braid, fringe, etc. Simmonds.
gendarme |1. (Mil.)  One of a body of heavy cavalry. [Obs.] [France] 2. An armed policeman in France. Thackeray.
gendarmery |The body of gendarmes.
gender |1. Kind; sort. [Obs.] \"One gender of herbs.\" Shak. 2. Sex, male or female. [Obs. or Colloq.] 3. (Gram.)  A classification of nouns, primarily according to sex; and secondarily according to some fancied or imputed quality associated with sex. Gender is a grammatical distinction and applies to words only. Sex is natural distinction and applies to living objects. R. Morris. Note: Adjectives and pronouns are said to vary in gender when the form is varied according to the gender of the words to which they refer.\n\nTo beget; to engender.\n\nTo copulate; to breed. [R.] Shak.
genderless |Having no gender.
geneagenesis |Alternate generation. See under Generation.
genealogic |Genealogical.
genealogical |Of or pertaining to genealogy; as, a genealogical table; genealogical order. -- Gen`e*a*log\"ic*al*ly, adv. Genealogical tree, a family lineage or genealogy drawn out under the form of a tree and its branches.
genealogist |One who traces genealogies or the descent of persons or families.
genealogize |To investigate, or relate the history of, descents.
genealogy |1. An account or history of the descent of a person or family from an ancestor; enumeration of ancestors and their children in the natural order of succession; a pedigree. 2. Regular descent of a person or family from a progenitor; pedigree; lineage.
genearch |The chief of a family or tribe.
genera |See Genus.
generability |Capability of being generated. Johnstone.
generable |Capable of being generated or produced. Bentley.
general |1. Relating to a genus or kind; pertaining to a whole class or order; as, a general law of animal or vegetable economy. 2. Comprehending many species or individuals; not special or particular; including all particulars; as, a general inference or conclusion. 3. Not restrained or limited to a precise import; not specific; vague; indefinite; lax in signification; as, a loose and general expression. 4. Common to many, or the greatest number; widely spread; prevalent; extensive, though not universal; as, a general opinion; a general custom. This general applause and cheerful sShak. 5. Having a relation to all; common to the whole; as, Adam, our general sire. Milton. 6. As a whole; in gross; for the most part. His general behavior vain, ridiculous. Shak. 7. Usual; common, on most occasions; as, his general habit or method. Note: The word general, annexed to a name of office, usually denotes chief or superior; as, attorney-general; adjutant general; commissary general; quartermaster general; vicar-general, etc. General agent (Law), an agent whom a principal employs to transact all his business of a particular kind, or to act in his affairs generally. -- General assembly. See the Note under Assembly. -- General average, General Court. See under Average, Court. -- General court-martial (Mil.), the highest military and naval judicial tribunal. -- General dealer (Com.), a shopkeeper who deals in all articles in common use. -- General demurrer (Law), a demurrer which objects to a pleading in general terms, as insufficient, without specifying the defects. Abbott. -- General epistle, a canonical epistle. -- General guides (Mil.), two sergeants (called the right, and the left, general guide) posted opposite the right and left flanks of an infantry battalion, to preserve accuracy in marching. Farrow. -- General hospitals (Mil.), hospitals established to receive sick and wounded sent from the field hospitals. Farrow. General issue (Law), an issue made by a general plea, which traverses the whole declaration or indictment at once, without offering any special matter to evade it. Bouvier. Burrill. -- General lien (Law), a right to detain a chattel, etc., until payment is made of any balance due on a general account. -- General officer (Mil.), any officer having a rank above that of colonel. -- General orders (Mil.), orders from headquarters published to the whole command. -- General practitioner, in the United States, one who practices medicine in all its branches without confining himself to any specialty; in England, one who practices both as physician and as surgeon. -- General ship, a ship not chartered or let to particular parties. -- General term (Logic), a term which is the sign of a general conception or notion. -- General verdict (Law), the ordinary comprehensive verdict in civil actions, \"for the plaintiff\" or \"for the defendant\". Burrill. -- General warrant (Law), a warrant, now illegal, to apprehend suspected persons, without naming individuals. Syn. General, Common, Universal. Common denotes primarily that in which many share; and hence, that which is often met with. General is stronger, denoting that which pertains to a majority of the individuals which compose a genus, or whole. Universal, that which pertains to all without exception. To be able to read and write is so common an attainment in the United States, that we may pronounce it general, though by no means universal. Syn: Gen\"er*al, n. Etym: [F. général. See General., a.] 1. The whole; the total; that which comprehends or relates to all, or the chief part; -- opposed to particular. In particulars our knowledge begins, and so spreads itself by degrees to generals. Locke. 2. (Mil.)  One of the chief military officers of a government or country; the commander of an army, of a body of men not less than a brigade. In European armies, the highest military rank next below field marshal. Note: In the United States the office of General of the Army has been created by temporary laws, and has been held only by Generals U. S. Grant, W. T. Sherman, and P. H. Sheridan. Popularly, the title General is given to various general officers, as General, Lieutenant general, Major general, Brigadier general, Commissary general, etc. See Brigadier general, Lieutenant general, Major general, in the Vocabulary. 3. (Mil.)  The roll of the drum which calls the troops together; as, to beat the general. 4. (Eccl.)  The chief of an order of monks, or of all the houses or congregations under the same rule. 5. The public; the people; the vulgar. [Obs.] Shak. In general, in the main; for the most part.
generalia |Generalities; general terms. J. S. Mill.
generalissimo |The chief commander of an army; especially, the commander in chief of an army consisting of two or more grand divisions under separate commanders; -- a title used in most foreign countries.
generality |1. The state of being general; the quality of including species or particulars. Hooker. 2. That which is general; that which lacks specificalness, practicalness, or application; a general or vague statement or phrase. Let us descend from generalities to particulars. Landor. The glittering and sounding generalities of natural right which make up the Declaration of Independence. R. Choate. 3. The main body; the bulk; the greatest part; as, the generality of a nation, or of mankind.
generalizable |Capable of being generalized, or reduced to a general form of statement, or brought under a general rule. Extreme cases are . . . not generalizable. Coleridge
generalization |1. The act or process of generalizing; the act of bringing individuals or particulars under a genus or class; deduction of a general principle from particulars. Generalization is only the apprehension of the one in the many. Sir W. Hamilton. 2. A general inference.
generalize |1. To bring under a genus or under genera; to view in relation to a genus or to genera. Copernicus generalized the celestial motions by merely referring them to the moon's motion. Newton generalized them still more by referring this last to the motion of a stone through the air. W. Nicholson. 2. To apply to other genera or classes; to use with a more extensive application; to extend so as to include all special cases; to make universal in application, as a formula or rule. When a fact is generalized, our discontent is quited, and we consider the generality itself as tantamount to an explanation. Sir W. Hamilton. 3. To derive or deduce (a general conception, or a general principle) from particulars. A mere conclusion generalized from a great multitude of facts. Coleridge.\n\nTo form into a genus; to view objects in their relations to a genus or class; to take general or comprehensive views.
generalized |Comprising structural characters which are separated in more specialized forms; synthetic; as, a generalized type.
generalizer |One who takes general or comprehensive views. Tyndall.
generally |1. In general; commonly; extensively, though not universally; most frequently. 2. In a general way, or in general relation; in the main; upon the whole; comprehensively. Generally speaking, they live very quietly. Addison. 3. Collectively; as a whole; without omissions. [Obs.] I counsel that all Israel be generally gathered unto thee. 2 Sam. xvii. ll.
generalness |The condition or quality of being general; frequency; commonness. Sir P. Sidney.
generalship |1. The office of a general; the exercise of the functions of a general; -- sometimes, with the possessive pronoun, the personality of a general. Your generalship puts me in mind of Prince Eugene. Goldsmith. 2. Military skill in a general officer or commander. 3. Fig.: Leadership; management. An artful stroke of generalship in Trim to raise a dust. Sterne.
generalty |Generality. [R.] Sir M. Hale.
generant |Generative; producing; esp. (Geom.),  acting as a generant.\n\n1. That which generates. Glanvill. 2. (Geom.)  A generatrix.
generate |1. To beget; to procreate; to propagate; to produce (a being similar to the parent); to engender; as, every animal generates its own species. 2. To cause to be; to bring into life. Milton. 3. To originate, especially by a vital or chemical process; to produce; to cause. Whatever generates a quantity of good chyle must likewise generate milk. Arbuthnot. 4. (Math.)  To trace out, as a line, figure, or solid, by the motion of a point or a magnitude of inferior order.
generation |1. The act of generating or begetting; procreation, as of animals. 2. Origination by some process, mathematical, chemical, or vital; production; formation; as, the generation of sounds, of gases, of curves, etc. 3. That which is generated or brought forth; progeny; offspiring. 4. A single step or stage in the succession of natural descent; a rank or remove in genealogy. Hence: The body of those who are of the same genealogical rank or remove from an ancestor; the mass of beings living at one period; also, the average lifetime of man, or the ordinary period of time at which one rank follows another, or father is succeeded by child, usually assumed to be one third of a century; an age. This is the book of the generations of Adam. Gen. v. 1. Ye shall remain there [in Babylon] many years, and for a long season, namely, seven generations. Baruch vi. 3. All generations and ages of the Christian church. Hooker. 5. Race; kind; family; breed; stock. Thy mother's of my generation; what's she, if I be a dog Shak. 6. (Geom.)  The formation or production of any geometrical magnitude, as a line, a surface, a solid, by the motion, in accordance with a mathematical law, of a point or a magnitude; as, the generation of a line or curve by the motion of a point, of a surface by a line, a sphere by a semicircle, etc. 7. (Biol.)  The aggregate of the functions and phenomene which attend reproduction. Note: There are four modes of generation in the animal kingdom: scissiparity or by fissiparous generation, gemmiparity or by budding, germiparity or by germs, and oviparity or by ova. Alternate generation (Biol.), alternation of sexual with asexual generation, in which the products of one process differ from those of the other, -- a form of reproduction common both to animal and vegetable organisms. In the simplest form, the organism arising from sexual generation produces offspiring unlike itself, agamogenetically. These, however, in time acquire reproductive organs, and from their impregnated germs the original parent form is reproduced. In more complicated cases, the first series of organisms produced agamogenetically may give rise to others by a like process, and these in turn to still other generations. Ultimately, however, a generation is formed which develops sexual organs, and the original form is reproduced. -- Spontaneous generation (Biol.), the fancied production of living organisms without previously existing parents from inorganic matter, or from decomposing organic matter, a notion which at one time had many supporters; abiogenesis.
generative |Having the power of generating, propagating, originating, or producing. \"That generative particle.\" Bentley.
generator |1. One who, or that which, generates, begets, causes, or produces. 2. An apparatus in which vapor or gas is formed from a liquid or solid by means of heat or chemical process, as a steam boiler, gas retort, or vessel for generating carbonic acid gas, etc. 3. (Mus.)  The principal sound or sounds by which others are produced; the fundamental note or root of the common chord; -- called also generating tone.
generatrix |That which generates; the point, or the mathematical magnitude, which, by its motion, generates another magnitude, as a line, surface, or solid; -- called also describent.
generic |1. (Biol.)  Pertaining to a genus or kind; relating to a genus, as distinct from a species, or from another genus; as, a generic description; a generic difference; a generic name. 2. Very comprehensive; pertaining or appropriate to large classes or their characteristics; -- opposed to Ant: specific.
generical |1. (Biol.)  Pertaining to a genus or kind; relating to a genus, as distinct from a species, or from another genus; as, a generic description; a generic difference; a generic name. 2. Very comprehensive; pertaining or appropriate to large classes or their characteristics; -- opposed to Ant: specific.
generically |With regard to a genus, or an extensive class; as, an animal generically distinct from another, or two animals or plants generically allied.
genericalness |The quality of being generic.
generification |The act or process of generalizing. Out of this the universal is elaborated by generification. Sir W. Hamilton.
generosity |1. Noble birth. [Obs.] Harris (Voyages). 2. The quality of being noble; noble-mindedness. Generosity is in nothing more seen than in a candid estimation of other men's virtues and good qualities. Barrow. 3. Liberality in giving; munificence. Syn. -- Magnanimity; liberality.
generous |1. Of honorable birth or origin; highborn. [Obs.] The generous and gravest citizens. Shak. 2. Exhibiting those qualities which are popularly reregarded as belonging to high birth; noble; honorable; magnanimous; spirited; courageous. \"The generous critic.\" Pope. \"His generous spouse.\" Pope. \"A generous pack [of hounds].\" Addison. 3. Open-handed; free to give; not close or niggardly; munificent; as, a generous friend or father. 4. Characterized by generosity; abundant; overflowing; as, a generous table. Swift. 5. Full of spirit or strength; stimulating; exalting; as, generous wine. Syn. -- Magnanimous; bountiful. See Liberal. -- Gen\"er*ous*ly, adv. -- Gen\"er*ous*ness, n.
genesee epoch |The closing subdivision of the Hamilton period in the American Devonian system; -- so called because the formations of this period crop out in Genesee, New York.
genesial |Of or relating to generation.
genesiolgy |The doctrine or science of generation.
genesis |1. The act of producing, or giving birth or origin to anything; the process or mode of originating; production; formation; origination. The origin and genasis of poor Sterling's club. Carlyle. 2. The first book of the Old Testament; -- so called by the Greek translators, from its containing the history of the creation of the world and of the human race. 3. (Geom.)  Same as Generation.
genet |1. (Zoöl.)  One of several species of small Carnivora of the genus Genetta, allied to the civets, but having the scent glands less developed, and without a pouch. Note: The common genet (Genetta vulgaris) of Southern Europe, Asia Minor, and North Africa, is dark gray, spotted with black. The long tail is banded with black and white. The Cape genet (G. felina), and the berbe (G. pardina), are related African species. 2. The fur of the common genet (Genetta vulgaris); also, any skin dressed in imitation of this fur.\n\nA small-sized, well-proportioned, Spanish horse; a jennet. Shak.
genethliac |Pertaining to nativities; calculated by astrologers; showing position of stars at one's birth. Howell.\n\n1. A birthday poem. 2. One skilled in genethliacs.
genethliacal |Genethliac.
genethliacs |The science of calculating nativities, or predicting the future events of life from the stars which preside at birth. Jhonson.
genethlialogy |Divination as to the destinies of one newly born; the act or art of casting nativities; astrology.
genethliatic |One who calculates nativities. Sir W. Drummond.
genetic |Same as Genetical.
genetical |Pertaining to, concerned with, or determined by, the genesis of anything, or its natural mode of production or development. This historical, genetical method of viewing prior systems of philosophy. Hare.
genetically |In a genetical manner.
genette |1. (Zoöl.)  One of several species of small Carnivora of the genus Genetta, allied to the civets, but having the scent glands less developed, and without a pouch. Note: The common genet (Genetta vulgaris) of Southern Europe, Asia Minor, and North Africa, is dark gray, spotted with black. The long tail is banded with black and white. The Cape genet (G. felina), and the berbe (G. pardina), are related African species. 2. The fur of the common genet (Genetta vulgaris); also, any skin dressed in imitation of this fur.
geneva |The chief city of Switzerland. Geneva Bible, a translation of the Bible into English, made and published by English refugees in Geneva (Geneva, 1560; London, 1576). It was the first English Bible printed in Roman type instead of the ancient black letter, the first which recognized the division into verses, and the first which ommited the Apocrypha. In form it was a small quarto, and soon superseded the large folio of Cranmer's translation. Called also Genevan Bible. -- Geneva convention (Mil.), an agreement made by representatives of the great continental powers at Geneva and signed in 1864, establishing new and more humane regulation regarding the treatment of the sick and wounded and the status of those who minister to them in war. Ambulances and military hospitals are made neutral, and this condition affects physicians, chaplains, nurses, and the ambulance corps. Great Britain signed the convention in 1865. -- Geneva cross (Mil.), a red Greek cross on a white ground; -- the flag and badge adopted in the Geneva convention.\n\nA strongly alcoholic liquor, flavores with juniper berries; -- made in Holland; Holland gin; Hollands.
genevan |Of or pertaining to Geneva, in Switzerland; Genevese.\n\n1. A native or inhabitant of Geneva. 2. A supported of Genevanism.
genevanism |Strict Calvinism. Bp. Montagu.
genevese |Of or pertaining to Geneva, in Switzerland; Genevan. -- n. sing. & pl.  A native or inhabitant of Geneva; collectively, the inhabitants of Geneva; people of Geneva.
genial |Same as Genian.\n\n1. Contributing to, or concerned in, propagation or production; generative; procreative; productive. \"The genial bed.\" Milton. Creator Venus, genial power of love. Dryden. 2. Contributing to, and sympathizing with, the enjoyment of life; sympathetically cheerful and cheering; jovial and inspiring joy or happiness; exciting pleasure and sympathy; enlivening; kindly; as, she was of a cheerful and genial disposition. So much I feel my genial spirits droop. Milton. 3. Belonging to one's genius or natural character; native; natural; inborn. [Obs.] Natural incapacity and genial indisposition. Sir T. Browne. 4. Denoting or marked with genius [R.] Men of genius have often attached the highest value to their less genial works. Hare. Genial gods (Pagan Mythol.), the powers supposed to preside over marriage and generation.
geniality |The quality of being genial; sympathetic cheerfulness; warmth of disposition and manners.
genially |1. By genius or nature; naturally. [Obs.] Some men are genially disposed to some opinions. Glanvill. 2. Gayly; cheerfully. Johnson.
genialness |The quality of being genial.
genian |Of or pertaining to the chin; mental; as, the genian prominence.
geniculate |Bent abruptly at an angle, like the knee when bent; as, a geniculate stem; a geniculate ganglion; a geniculate twin crystal.\n\nTo form joints or knots on. [R.] Cockeram.
geniculated |Same as Geniculate.
geniculation |1. The act of kneeling. [R.] Bp. Hall. 2. The state of being bent abruptly at an angle.
genie |See Genius.
genio |A man of a particular turn of mind. [R.] Tatler.
geniohyoid |Of or pertaining to the chin and hyoid bone; as, the geniohyoid muscle.
genip |1. Any tree or shrub of the genus Genipa. 2.  The West Indian sapindaceous tree Melicocca bijuga, which yields the honeyberry; also, the related trees Exothea paniculata and E. trifoliata.
genip tree |1. Any tree or shrub of the genus Genipa. 2.  The West Indian sapindaceous tree Melicocca bijuga, which yields the honeyberry; also, the related trees Exothea paniculata and E. trifoliata.
genipap |The edible fruit of a West Indian tree (Genipa Americana) of the order Rubiaceæ. It is oval in shape, as a large as a small orange, of a pale greenish color, and with dark purple juice.
genista |A genus of plants including the common broom of Western Europe.
genital |Pertaining to generation, or to the generative organs. Genital cord (Anat.), a cord developed in the fetus by the union of portions of the Wolffian and Müllerian ducts and giving rise to parts of the urogenital passages in both sexes.
genitals |The organs of generation; the sexual organs; the private parts.
geniting |A species of apple that ripens very early. Bacon.
genitival |Possessing genitive from; pertaining to, or derived from, the genitive case; as, a genitival adverb. -- Gen`i*ti\"val*ly, adv.
genitive |Of or pertaining to that case (as the second case of Latin and Greek nouns) which expresses source or possession. It corresponds to the possessive case in English.\n\nThe genitive case. Genitive absolute, a construction in Greek similar to the ablative absolute in Latin. See Ablative absolute.
genitocrural |Pertaining to the genital organs and the thigh; -- applied especially to one of the lumbar nerves.
genitor |1. One who begets; a generator; an originator. Sheldon. 2. pl.  The genitals. [Obs.] Holland.
genitourinary |See Urogenital.
geniture |Generation; procreation; birth. Dryden.
