presageful |Full of presages; ominous. Dark in the glass of some presageful mood. Tennyson.
priestcraft |Priestly policy; the policy of a priesthood; esp., in an ill sense, fraud or imposition in religious concerns; management by priests to gain wealth and power by working upon the religious motives or credulity of others. It is better that men should be governed by priestcraft than by violence. Macaulay.
priestery |Priests, collectively; the priesthood; -- so called in contempt. [R.] Milton.
priestess |A woman who officiated in sacred rites among pagans. Abp. Potter.
priesthood |1. The office or character of a priest; the priestly function. Bk. of Com. Prayer. 2. Priests, taken collectively; the order of men set apart for sacred offices; the order of priests.
priesting |The office of a priest. [Obs.] Milton.
priestism |The influence, doctrines, principles, etc., of priests or the priesthood. [R.]
priestless |Without a priest. Pope.
priestlike |Priestly. B. Jonson.
priestliness |The quality or state of being priestly. R. Browning.
priestly |Of or pertaining to a priest or the priesthood; sacerdotal; befitting or becoming a priest; as, the priestly office; a priestly farewell. Shak.
prieve |To prove. [Obs. or Scot.]
prig |To haggle about the price of a commodity; to bargain hard. [Prov. Eng. & Scot.]\n\n1. To cheapen. [Scot.] 2. Etym: [Perhaps orig., to ride off with. See Prick, v. t.]  To filch or steal; as, to prig a handkerchief. [Cant]\n\n1. A pert, conceited, pragmatical fellow. The queer prig of a doctor. Macaulay. 2. A thief; a filcher. [Cant] Shak.
priggery |Priggism.
priggish |Like a prig; conceited; pragmatical. -- Prig\"gish*ly, adv. -- Prig\"gish-ness, n.
priggism |1. The quality or state of being priggish; the manners of a prig. Ed. Rev. 2. Roguery; thievery. [Obs.] Fielding.
prighte |imp. of Prick. Chaucer.
prill |The brill.\n\nTo flow. [Obs.] Stow.\n\nA stream. [Obs.] Davies (Microcosmos).\n\n1. (Mining) (a) A nugget of virgin metal. (b) Ore selected for excellence. 2. The button of metal from an assay.
prillion |Tin extracted from the slag.
prim |The privet.\n\nFormal; precise; affectedly neat or nice; as, prim regularity; a prim person. Swift.\n\nTo deck with great nicety; to arrange with affected preciseness; to prink.\n\nTo dress or act smartly. [R.]
prima donna |The first or chief female singer in an opera.
prima facie |At first view; on the first appearance. Prima facie evidence (of a fact) (Law), evidence which is sufficient to establish the fact unless rebutted. Bouvier.
primacy |1. The state or condition of being prime or first, as in time, place, rank, etc., hence, excellency; supremacy. [R.] De Quincey. 2. The office, rank, or character of a primate; the chief ecclesiastical station or dignity in a national church; the office or dignity of an archbishop; as, the primacy of England.
primage |A charge in addition to the freight; originally, a gratuity to the captain for his particular care of the goods (sometimes called hat money), but now belonging to the owners or freighters of the vessel, unless by special agreement the whole or part is assigned to the captain. Homans.
primal |First; primary; original; chief. It hath the primal eldest curse upon it. Shak. The primal duties shine aloft like stars. Wordsworth.
primality |The quality or state of being primal. [Obs.]
primarily |In a primary manner; in the first place; in the first place; in the first intention; originally.
primariness |The quality or state of being primary, or first in time, in act, or in intention. Norris.
primary |1. First in order of time or development or in intention; primitive; fundamental; original. The church of Christ, in its primary institution. Bp. Pearson. These I call original, or primary, qualities of body. Locke. 2. First in order, as being preparatory to something higher; as, primary assemblies; primary schools. 3. First in dignity or importance; chief; principal; as, primary planets; a matter of primary importance. 4. (Geol.)  Earliest formed; fundamental. 5. (Chem.)  Illustrating, possessing, or characterized by, some quality or property in the first degree; having undergone the first stage of substitution or replacement. Primary alcohol (Organic Chem.), any alcohol which possess the group CH2.OH, and can be oxidized so as to form a corresponding aldehyde and acid having the same number of carbon atoms; -- distinguished from secondary and tertiary alcohols. -- Primary amine (Chem.), an amine containing the amido group, or a derivative of ammonia in which only one atom of hydrogen has been replaced by a basic radical; -- distinguished from secondary and tertiary amines. -- Primary amputation (Surg.), an amputation for injury performed as soon as the shock due to the injury has passed away, and before symptoms of inflammation supervene. -- Primary axis (Bot.), the main stalk which bears a whole cluster of flowers. -- Primary colors. See under Color. -- Primary meeting, a meeting of citizens at which the first steps are taken towards the nomination of candidates, etc. See Caucus. -- Primary pinna (Bot.), one of those portions of a compound leaf or frond which branch off directly from the main rhachis or stem, whether simple or compounded. -- Primary planets. (Astron.) See the Note under Planet. -- Primary qualities of bodies, such are essential to and inseparable from them. -- Primary quills (Zoöl.), the largest feathers of the wing of a bird; primaries. -- Primary rocks (Geol.), a term early used for rocks supposed to have been first formed, being crystalline and containing no organic remains, as granite, gneiss, etc.; -- called also primitive rocks. The terms Secondary, Tertiary, and Quaternary rocks have also been used in like manner, but of these the last two only are now in use. -- Primary salt (Chem.), a salt derived from a polybasic acid in which only one acid hydrogen atom has been replaced by a base or basic radical. -- Primary syphilis (Med.), the initial stage of syphilis, including the period from the development of the original lesion or chancre to the first manifestation of symptoms indicative of general constitutional infection. -- Primary union (Surg.), union without suppuration; union by the first intention.\n\n1. That which stands first in order, rank, or importance; a chief matter. 2. A primary meeting; a caucus. 3. (Zoöl.)  One of the large feathers on the distal joint of a bird's wing. See Plumage, and Illust. of Bird. 4. (Astron.)  A primary planet; the brighter component of a double star. See under Planet.
primate |1. The chief ecclesiastic in a national church; one who presides over other bishops in a province; an archbishop. 2. (Zoöl.)  One of the Primates.
primates |The highest order of mammals. It includes man, together with the apes and monkeys. Cf. Pitheci.
primateship |The office, dignity, or position of a primate; primacy.
primatial |Primatical. [R.] D'Anville (Trans. ).
primatical |Of or pertaining to a primate. Barrow.
prime |1. First in order of time; original; primeval; primitive; primary. \"Prime forests.\" Tennyson. She was not the prime cause, but I myself. Milton. Note: In this sense the word is nearly superseded by primitive, except in the phrase prime cost. 2. First in rank, degree, dignity, authority, or importance; as, prime minister. \"Prime virtues.\" Dryden. 3. First in excellence; of highest quality; as, prime wheat; a prime quality of cloth. 4. Early; blooming; being in the first stage. [Poetic] His starry helm, unbuckled, showed him prime In manhood where youth ended. Milton. 5. Lecherous; lustful; lewd. [Obs.] Shak. 6. Marked or distinguished by a mark (') called a prime mark. Prime and ultimate ratio. (Math.). See Ultimate. -- Prime conductor. (Elec.) See under Conductor. -- Prime factor (Arith.), a factor which is a prime number. -- Prime figure (Geom.), a figure which can not be divided into any other figure more simple than itself, as a triangle, a pyramid, etc. -- Prime meridian (Astron.), the meridian from which longitude is reckoned, as the meridian of Greenwich or Washington. -- Prime minister, the responsible head of a ministry or executive government; applied particularly to that of England. -- Prime mover. (Mech.) (a) A natural agency applied by man to the production of power. Especially: Muscular force; the weight and motion of fluids, as water and air; heat obtained by chemical combination, and applied to produce changes in the volume and pressure of steam, air, or other fluids; and electricity, obtained by chemical action, and applied to produce alternation of magnetic force. (b) An engine, or machine, the object of which is to receive and modify force and motion as supplied by some natural source, and apply them to drive other machines; as a water wheel, a water- pressure engine, a steam engine, a hot-air engine, etc. (c) Fig.: The original or the most effective force in any undertaking or work; as, Clarkson was the prime mover in English antislavery agitation. -- Prime number (Arith.), a number which is exactly divisible by no number except itself or unity, as 5, 7, 11. -- Prime vertical (Astron.), the vertical circle which passes through the east and west points of the horizon. -- Prime-vertical dial, a dial in which the shadow is projected on the plane of the prime vertical. -- Prime-vertical transit instrument, a transit instrument the telescope of which revolves in the plane of the prime vertical, -- used for observing the transit of stars over this circle.\n\n1. The first part; the earliest stage; the beginning or opening, as of the day, the year, etc.; hence, the dawn; the spring. Chaucer. In the very prime of the world. Hooker. Hope waits upon the flowery prime. Waller. 2. The spring of life; youth; hence, full health, strength, or beauty; perfection. \"Cut off in their prime.\" Eustace. \"The prime of youth.\" Dryden. 3. That which is first in quantity; the most excellent portion; the best part. Give him always of the prime. Swift. 4. Etym: [F. prime, LL. prima (sc. hora). See Prime, a.]  The morning; specifically (R. C. Ch.), the first canonical hour, succeeding to lauds. Early and late it rung, at evening and at prime. Spenser. Note: Originally, prime denoted the first quarter of the artificial day, reckoned from 6 a. m. to 6 p. m. Afterwards, it denoted the end of the first quarter, that is, 9 a. a. Specifically, it denoted the first canonical hour, as now. Chaucer uses it in all these senses, and also in the sense of def. 1, above. They sleep till that it was pryme large. Chaucer. 5. (Fencing)  The first of the chief guards. 6. (Chem.)  Any number expressing the combining weight or equivalent of any particular element; -- so called because these numbers were respectively reduced to their lowest relative terms on the fixed standard of hydrogen as 1. [Obs. or Archaic] 7. (Arith.)  A prime number. See under Prime, a. 8. An inch, as composed of twelve seconds in the duodecimal system; - - denoted by [']. See 2d Inch, n., 1. Prime of the moon, the new moon at its first appearance.\n\n1. To apply priming to, as a musket or a cannon; to apply a primer to, as a metallic cartridge. 2. To lay the first color, coating, or preparation upon (a surface), as in painting; as, to prime a canvas, a wall. 3. To prepare; to make ready; to instruct beforehand; to post; to coach; as, to prime a witness; the boys are primed for mischief. [Colloq.] Thackeray. 4. To trim or prune, as trees. [Obs. or Prov. Eng.] 5. (Math.)  To mark with a prime mark. To prime a pump, to charge a pump with water, in order to put it in working condition.\n\n1. To be renewed, or as at first. [Obs.] Night's bashful empress, though she often wane, As oft repeats her darkness, primes again. Quarles . 2. To serve as priming for the charge of a gun. 3. To work so that foaming occurs from too violent ebullition, which causes water to become mixed with, and be carried along with, the steam that is formed; -- said of a steam boiler.
primely |1. At first; primarily. [Obs.] South. 2. In a prime manner; excellently.
primeness |1. The quality or state of being first. 2. The quality or state of being prime, or excellent.
primer |One who, or that which, primes; specifically, an instrument or device for priming; esp., a cap, tube, or water containing percussion powder or other capable for igniting a charge of gunpowder.\n\nFirst; original; primary. [Obs.] \"The primer English kings.\" Drayton. Primer fine (O. Eng. Law), a fine due to the king on the writ or commencement of a suit by fine. Blackstone. -- Primer seizin (Feudal Law), the right of the king, when a tenant in capite died seized of a knight's fee, to receive of the heir, if of full age, one year's profits of the land if in possession, and half a year's profits if the land was in reversion expectant on an estate for life; -- now abolished. Blackstone.\n\n1. Originally, a small prayer book for church service, containing the little office of the Virgin Mary; also, a work of elementary religious instruction. The primer, or office of the Blessed Virgin. Bp. Stillingfleet. 2. A small elementary book for teaching children to read; a reading or spelling book for a beginner. As he sat in the school at his prymer. Chaucer. 3. (Print.)  A kind of type, of which there are two species; one, called long primer, intermediate in size between bourgeois and small pica [see Long primer]; the other, called great primer, larger than pica. Note: Great primer type.
primero |A game at cards, now unknown. Shak.
primerole |See Primrose. [Obs.] \"She was a primerole.\" Chaucer.
primeval |Belonging to the first ages; pristine; original; primitive; primary; as, the primeval innocence of man. \"This is the forest primeval.\" Longfellow. From chaos, and primeval darkness, came Light. Keats.
primevally |In a primeval manner; in or from the earliest times; originally. Darwin.
primevous |Primeval. [Obs.]
primigenial |First born, or first of all; original; primary. See Primogenial.
primigenious |First formed or generated; original; primigenial. Bp. Hall.
primigenous |First formed or generated; original; primigenial. Bp. Hall.
primine |The outermost of the two integuments of an ovule. Note: This word has been used by some writers to denote the inner integument, which is formed earlier than the outer. Cf. Secundine.
priming |1. The powder or other combustible used to communicate fire to a charge of gunpowder, as in a firearm. 2. (Paint.)  The first coating of color, size, or the like, laid on canvas, or on a building, or other surface. 3. (Steam Eng.)  The carrying over of water, with the steam, from the boiler, as into the cylinder. Priming of the tide. See Lag of the tide, under 2d Lag. -- Priming tube, a small pipe, filled with a combustible composition for firing cannon. -- Priming valve (Steam Eng.), a spring safety valve applied to the cylinder of a steam engine for discharging water carried into the cylinder by priming. -- Priming wire, a pointed wire used to penetrate the vent of a piece, for piercing the cartridge before priming.
primipara |A woman who bears a child for the first time.
primiparous |Belonging to a first birth; bearing young for the first time.
primipilar |Of or pertaining to the captain of the vanguard of a Roman army. Barrow.
primitia |The first fruit; the first year's whole profit of an ecclesiastical preferment. The primitias of your parsonage. Spenser.
primitial |Being of the first production; primitive; original. [Obs.] Ainsworth.
primitive |1. Of or pertaining to the beginning or origin, or to early times; original; primordial; primeval; first; as, primitive innocence; the primitive church. \"Our primitive great sire.\" Milton. 2. Of or pertaining to a former time; old-fashioned; characterized by simplicity; as, a primitive style of dress. 3. Original; primary; radical; not derived; as, primitive verb in grammar. Primitive axes of coördinate (Geom.), that system of axes to which the points of a magnitude are first referred, with reference to a second set or system, to which they are afterward referred. -- Primitive chord (Mus.), that chord, the lowest note of which is of the same literal denomination as the fundamental base of the harmony; -- opposed to derivative. Moore (Encyc. of Music). -- Primitive circle (Spherical Projection), the circle cut from the sphere to be projected, by the primitive plane. -- Primitive colors (Paint.), primary colors. See under Color. -- Primitive Fathers (Eccl.), the acknowledged Christian writers who flourished before the Council of Nice, A. D. 325. Shipley. -- Primitive groove (Anat.), a depression or groove in the epiblast of the primitive streak. It is not connected with the medullary groove, which appears later and in front of it. -- Primitive plane (Spherical Projection), the plane upon which the projections are made, generally coinciding with some principal circle of the sphere, as the equator or a meridian. -- Primitive rocks (Geol.), primary rocks. See under Primary. -- Primitive sheath. (Anat.) See Neurilemma. -- Primitive streak or trace (Anat.), an opaque and thickened band where the mesoblast first appears in the vertebrate blastoderm. Syn. -- First; original; radical; pristine; ancient; primeval; antiquated; old-fashioned.\n\nAn original or primary word; a word not derived from another; - - opposed to derivative.
primitively |1. Originally; at first. 2. Primarily; not derivatively. 3. According to the original rule or ancient practice; in the ancient style. South.
primitiveness |The quality or state of being primitive; conformity to primitive style or practice.
primity |Quality of being first; primitiveness. [Obs.] Bp. Pearson.
primly |In a prim or precise manner.
primness |The quality or state of being prim; affected formality or niceness; preciseness; stiffness.
primo |First; chief.
primogenial |First born, made, or generated; original; primary; elemental; as, primogenial light. Glanvill.
primogenitive |Of or pertaining to primogeniture. [R.]\n\nPrimogeniture. [Obs.] The primogenitive and due of birth. Shak.
primogenitor |The first ancestor; a forefather.
primogeniture |1. The state of being the firstborn of the same parents; seniority by birth among children of the same family. 2. (Eng. Law)  The exclusive right of inheritance which belongs to the eldest son. Thus in England the right of inheriting the estate of the father belongs to the eldest son, and in the royal family the eldest son of the sovereign is entitled to the throne by primogeniture. In exceptional cases, among the female children, the crown descends by right of primogeniture to the eldest daughter only and her issue. Blackstone.
primogenitureship |The state or privileges of the firstborn. Burke.
primordial |1. First in order; primary; original; of earliest origin; as, primordial condition. \"The primordial facts of our intelligent nature.\" Sir W. Hamilton. 2. (Geol.)  Of or pertaining to the lowest beds of the Silurian age, corresponding to the Acadian and Potsdam periods in American geology. It is called also Cambrian, and by many geologists is separated from the Silurian. 3. (Biol.)  Originally or earliest formed in the growth of an individual or organ; as, a primordial leaf; a primordial cell. Primordial utricle (Bot.), the interior lining of a young vegetable cell.\n\nA first principle or element.
primordialism |Devotion to, or persistence in, conditions of the primordial state. H. Spencer.
primordially |At the beginning; under the first order of things; originally.
primordian |A name given to several kinds of plums; as, red primordian, amber primordian, etc.
primordiate |Primordial. [R.] Boyle.
primp |To be formal or affected in dress or manners; -- often with up. [Prov. Eng. & Scot.] Halliwell.
primrose |(a) An early flowering plant of the genus Primula (P. vulgaris) closely allied to the cowslip. There are several varieties, as the white-, the red-, the yellow-flowered, etc. Formerly called also primerole, primerolles. (b) Any plant of the genus Primula. Evening primrose, an erect biennial herb (Enothera biennis), with yellow vespertine flowers, common in the United States. The name is sometimes extended to other species of the same genus. -- Primrose peerless, the two-flowered Narcissus (N. biflorus). [Obs.]\n\nOf or pertaining to the primrose; of the color of a primrose; - - hence, flowery; gay. \"The primrose path of dalliance.\" Shak.
primrose league |A league of both sexes among the Conservatives, founded in 1883. So called because primrose was (erroneously, it is said) taken to be the favorite flower of the Conservative statesman Benjamin Disraeli, Earl of Beaconsfield.
primula |The genus of plants including the primrose (Primula vera).
primulaceous |Of or pertaining to an order of herbaceous plants (Primulaceæ), of which the primrose is the type, and the pimpernel, the cyclamen, and the water violet are other examples.
primum mobile |In the Ptolemaic system, the outermost of the revolving concentric spheres constituting the universe, the motion of which was supposed to carry with it all the inclosed spheres with their planets in a daily revolution from east to west. See Crystalline heavens, under Crystalline. The motions of the greatest persons in a government ought to be, as the motions of the planets, under primum mobile. Bacon.
primus |One of the bishops of the Episcopal Church of Scotland, who presides at the meetings of the bishops, and has certain privileges but no metropolitan authority. Internat. Cyc.
primy |Being in its prime. [Obs.] \"The youth of primy nature.\" Shak.
prince |1. The one of highest rank; one holding the highest place and authority; a sovereign; a monarch; -- originally applied to either sex, but now rarely applied to a female. Wyclif (Rev. i. 5). Go, Michael, of celestial armies prince. Milton. Queen Elizabeth, a prince admirable above her sex. Camden. 2. The son of a king or emperor, or the issue of a royal family; as, princes of the blood. Shak. 3. A title belonging to persons of high rank, differing in different countries. In England it belongs to dukes, marquises, and earls, but is given to members of the royal family only. In Italy a prince is inferior to a duke as a member of a particular order of nobility; in Spain he is always one of the royal family. 4. The chief of any body of men; one at the head of a class or profession; one who is preëminent; as, a merchant prince; a prince of players. \"The prince of learning.\" Peacham. Prince-Albert coat, a long double-breasted frock coat for men. -- Prince of the blood, Prince consort, Prince of darkness. See under Blood, Consort, and Darkness. -- Prince of Wales, the oldest son of the English sovereign. -- Prince's feather (Bot.), a name given to two annual herbs (Amarantus caudatus and Polygonum orientale), with apetalous reddish flowers arranged in long recurved panicled spikes. -- Prince's metal, Prince Rupert's metal. See under Metal. Prince's pine. (Bot.) See Pipsissewa.\n\nTo play the prince. [R.] Shak.
princedom |The jurisdiction, sovereignty, rank, or estate of a prince. Thrones, princedoms, powers, dominions, I reduce. Milton.
princehood |Princeliness. [Obs.] E. Hall.
princekin |A petty prince; a princeling. The princekins of private life. Thackeray.
princeless |Without a prince. Fuller.
princelet |A petty prince. [R.]
princelike |Princely. Shak.
princeliness |The quality of being princely; the state, manner, or dignity of a prince.
princeling |A petty prince; a young prince.
princely |1. Of or relating to a prince; regal; royal; of highest rank or authority; as, princely birth, character, fortune, etc. 2. Suitable for, or becoming to, a prince; grand; august; munificent; magnificent; as, princely virtues; a princely fortune. \"Most princely gifts.\" Shak.\n\nIn a princely manner. My appetite was not princely got. Shak.
princess |1. A female prince; a woman having sovereign power, or the rank of a prince. Dryden. So excellent a princess as the present queen. Swift. 2. The daughter of a sovereign; a female member of a royal family. Shak. 3. The consort of a prince; as, the princess of Wales. Princess royal, the eldest daughter of a sovereign.
princesse |A term applied to a lady's long, close-fitting dress made with waist and skirt in one.
princesslike |Like a princess.
princewood |The wood of two small tropical American trees (Hamelia ventricosa, and Cordia gerascanthoides). It is brownish, veined with lighter color.
princified |Imitative of a prince. [R. & Colloq.] Thackeray.
principal |1. Highest in rank, authority, character, importance, or degree; most considerable or important; chief; main; as, the principal officers of a Government; the principal men of a state; the principal productions of a country; the principal arguments in a case. Wisdom is the principal thing. Prov. iv. 7. 2. Of or pertaining to a prince; princely. [A Latinism] [Obs.] Spenser. Principal axis. See Axis of a curve, under Axis. -- Principal axes of a quadric (Geom.), three lines in which the principal planes of the solid intersect two and two, as in an ellipsoid. -- Principal challenge. (Law) See under Challenge. -- Principal plane. See Plane of projection (a), under Plane. -- Principal of a quadric (Geom.), three planes each of which is at right angles to the other two, and bisects all chords of the quadric perpendicular to the plane, as in an ellipsoid. -- Principal point (Persp.), the projection of the point of sight upon the plane of projection. -- Principal ray (Persp.), the line drawn through the point of sight perpendicular to the perspective plane. -- Principal section (Crystallog.), a plane passing through the optical axis of a crystal.\n\n1. A leader, chief, or head; one who takes the lead; one who acts independently, or who has controlling authority or influence; as, the principal of a faction, a school, a firm, etc.; -- distinguished from a subordinate, abettor, auxiliary, or assistant. 2. Hence: (Law) (a) The chief actor in a crime, or an abettor who is present at it, - - as distinguished from an accessory. (b) A chief obligor, promisor, or debtor, -- as distinguished from a surety. (c) One who employs another to act for him, -- as distinguished from an agent. Wharton. Bouvier. Burrill. 3. A thing of chief or prime importance; something fundamental or especially conspicuous. Specifically: (a) (Com.) A capital sum of money, placed out at interest, due as a debt or used as a fund; -- so called in distinction from interest or profit. (b) (Arch. & Engin.) The construction which gives shape and strength to a roof, -- generally a truss of timber or iron, but there are roofs with stone principals. Also, loosely, the most important member of a piece of framing. (c) (Mus.) In English organs the chief open metallic stop, an octave above the open diapason. On the manual it is four feet long, on the pedal eight feet. In Germany this term corresponds to the English open diapason. (d) (O. Eng. Law) A heirloom; a mortuary. Cowell. (e) pl.  The first two long feathers of a hawk's wing. Spenser. J. H. Walsh. (f) One of turrets or pinnacles of waxwork and tapers with which the posts and center of a funeral hearse were formerly crowned. Oxf. Gloss. (g) A principal or essential point or rule; a principle. [Obs.]
principality |1. Sovereignty; supreme power; hence, superiority; predominance; high, or the highest, station. Sir P. Sidney. Your principalities shall come down, even the crown of your glory. Jer. xiii. 18. The prerogative and principality above everything else. Jer. Taylor. 2. A prince; one invested with sovereignty. \"Next upstood Nisroch, of principalities the prime.\" Milton. 3. The territory or jurisdiction of a prince; or the country which gives title to a prince; as, the principality of Wales.
principally |In a principal manner; primarily; above all; chiefly; mainly.
principalness |The quality of being principal.
principate |Principality; supreme rule. [Obs.] Barrow.
principia |First principles; fundamental beginnings; elements; as. Newton's Principia.
principial |Elementary. [Obs.] Bacon.
principiant |Relating to principles or beginnings. [R.] Jer. Taylor.
principiate |To begin; to initiate. [Obs.] Sir M. Hale.
principiation |Analysis into primary or elemental parts. [Archaic] Bacon.
principle |1. Beginning; commencement. [Obs.] Doubting sad end of principle unsound. Spenser. 2. A source, or origin; that from which anything proceeds; fundamental substance or energy; primordial substance; ultimate element, or cause. The soul of man is an active principle. Tillotson. 3. An original faculty or endowment. Nature in your principles hath set [benignity]. Chaucer. Those active principles whose direct and ultimate object is the communication either of enjoyment or suffering. Stewart. 4. A fundamental truth; a comprehensive law or doctrine, from which others are derived, or on which others are founded; a general truth; an elementary proposition; a maxim; an axiom; a postulate. Therefore, leaving the principles of the doctrine of Christ, let us go on unto perfection. Heb. vi. 1. A good principle, not rightly understood, may prove as hurtful as a bad. Milton. 5. A settled rule of action; a governing law of conduct; an opinion or belief which exercises a directing influence on the life and behavior; a rule (usually, a right rule) of conduct consistently directing one's actions; as, a person of no principle. All kinds of dishonesty destroy our pretenses to an honest principle of mind. Law. 6. (Chem.)  Any original inherent constituent which characterizes a substance, or gives it its essential properties, and which can usually be separated by analysis; -- applied especially to drugs, plant extracts, etc. Cathartine is the bitter, purgative principle of senna. Gregory. Bitter principle, Principle of contradiction, etc. See under Bitter, Contradiction, etc.\n\nTo equip with principles; to establish, or fix, in certain principles; to impress with any tenet, or rule of conduct, good or ill. Governors should be well principled. L'Estrange. Let an enthusiast be principled that he or his teacher is inspired. Locke.
princock |A coxcomb; a pert boy. [Obs.]
princox |A coxcomb; a pert boy. [Obs.]
prink |To dress or adjust one's self for show; to prank.\n\nTo prank or dress up; to deck fantastically. \"And prink their hair with daisies.\" Cowper.
prinker |One who prinks.
prinpriddle |The longtailed titmouse. [Prov. Eng.]
print |1. To fix or impress, as a stamp, mark, character, idea, etc., into or upon something. A look will print a thought that never may remove. Surrey. Upon his breastplate he beholds a dint, Which in that field young Edward's sword did print. Sir John Beaumont. Perhaps some footsteps printed in the clay. Roscommon. 2. To stamp something in or upon; to make an impression or mark upon by pressure, or as by pressure. Forth on his fiery steed betimes he rode, That scarcely prints the turf on which he trod. Dryden. 3. Specifically:  To strike off an impression or impressions of, from type, or from stereotype, electrotype, or engraved plates, or the like; in a wider sense, to do the typesetting, presswork, etc., of (a book or other publication); as, to print books, newspapers, pictures; to print an edition of a book. 4. To stamp or impress with colored figures or patterns; as, to print calico. 5. (Photog.)  To take (a copy, a positive picture, etc.), from a negative, a transparent drawing, or the like, by the action of light upon a sensitized surface. Printed goods, textile fabrics printed in patterns, especially cotton cloths, or calicoes.\n\n1. To use or practice the art of typography; to take impressions of letters, figures, or electrotypes, engraved plates, or the like. 2. To publish a book or an article. From the moment he prints, he must except to hear no more truth. Pope.\n\n1. A mark made by impression; a line, character, figure, or indentation, made by the pressure of one thing on another; as, the print of teeth or nails in flesh; the print of the foot in sand or snow. Where print of human feet was never seen. Dryden. 2. A stamp or die for molding or impressing an ornamental design upon an object; as, a butter print. 3. That which receives an impression, as from a stamp or mold; as, a print of butter. 4. Printed letters; the impression taken from type, as to excellence, form, size, etc.; as, small print; large print; this line is in print. 5. That which is produced by printing. Specifically: (a) An impression taken from anything, as from an engraved plate. \"The prints which we see of antiquities.\" Dryden. (b) A printed publication, more especially a newspaper or other periodical. Addison. (c) A printed cloth; a fabric figured by stamping, especially calico or cotton cloth. (d) A photographic copy, or positive picture, on prepared paper, as from a negative, or from a drawing on transparent paper. 6. (Founding)  A core print. See under Core. Blue print, a copy in white lines on a blue ground, of a drawing, plan, tracing, etc., or a positive picture in blue and white, from a negative, produced by photographic printing on peculiarly prepared paper.blueprint for action -- In print. (a) In a printed form; issued from the press; published. Shak. (b) To the letter; with accurateness. \"All this I speak in print.\" Shak. -- Out of print. See under Out. -- Print works, a factory where cloth, as calico, is printed.
printa-ble |Worthy to be published. [R.]
printer |One who prints; especially, one who prints books, newspapers, engravings, etc., a compositor; a typesetter; a pressman. Printer's devil, Printer's gauge. See under Devil, and Gauge. -- Printer's ink. See Printing ink, below.
printery |A place where cloth is printed; print works; also, a printing office. [R.]
printing |The act, art, or practice of impressing letters, characters, or figures on paper, cloth, or other material; the business of a printer, including typesetting and presswork, with their adjuncts; typography; also, the act of producing photographic prints. Block printing. See under Block. -- Printing frame (Photog.), a shallow box, usually having a glass front, in which prints are made by exposure to light. -- Printing house, a printing office. -- Printing ink, ink used in printing books, newspapers, etc. It is composed of lampblack or ivory black mingled with linseed or nut oil, made thick by boiling and burning. Other ingredients are employed for the finer qualities. Ure. -- Printing office, a place where books, pamphlets, or newspapers, etc., are printed. -- Printing paper, paper used in the printing of books, pamphlets, newspapers, and the like, as distinguished from writing paper, wrapping paper, etc. -- Printing press, a press for printing, books, newspaper, handbills, etc. -- Printing wheel, a wheel with letters or figures on its periphery, used in machines for paging or numbering, or in ticket-printing machines, typewriters, etc.; a type wheel.
printing in |A process by which cloud effects or other features not in the original negative are introduced into a photograph. Portions, such as the sky, are covered while printing and the blank space thus reserved is filled in by printing from another negative.
printing out |A method of printing, in which the image is fully brought out by the direct actinic action of light without subsequent development by means of chemicals.
printless |Making no imprint. Milton.\n\nMaking no imprint. Milton.
printshop |A shop where prints are sold.
prior |Preceding in the order of time; former; antecedent; anterior; previous; as, a prior discovery; prior obligation; -- used elliptically in cases like the following: he lived alone [in the time] prior to his marriage.\n\nThe superior of a priory, and next below an abbot in dignity. Conventical, or Conventual, prior, a prior who is at the head of his own house. See the Note under Priory. -- Claustral prior, an official next in rank to the abbot in a monastery; prior of the cloisters.
priorate |The dignity, office, or government, of a prior. T. Warton.
prioress |A lady superior of a priory of nuns, and next in dignity to an abbess.
priority |1. The quality or state of being prior or antecedent in time, or of preceding something else; as, priority of application. 2. Precedence; superior rank. Shak. Priority of debts, a superior claim to payment, or a claim to payment before others. Syn. -- Antecedence; precedence; preëminence.
priorly |Previously. [R.] Geddes.
priorship |The state or office of prior; priorate.
priory |A religious house presided over by a prior or prioress; -- sometimes an offshoot of, an subordinate to, an abbey, and called also cell, and obedience. See Cell, 2. Note: Of such houses there were two sorts: one where the prior was chosen by the inmates, and governed as independently as an abbot in an abbey; the other where the priory was subordinate to an abbey, and the prior was placed or displaced at the will of the abbot. Alien priory, a small religious house dependent on a large monastery in some other country. Syn. -- See Cloister.
pris |See Price, and 1st Prize. [Obs.]
prisage |(a) A right belonging to the crown of England, of taking two tuns of wine from every ship importing twenty tuns or more, -- one before and one behind the mast. By charter of Edward I. butlerage was substituted for this. Blackstone. (b) The share of merchandise taken as lawful prize at sea which belongs to the king or admiral.
priscillianist |A follower of Priscillian, bishop of Avila in Spain, in the fourth century, who mixed various elements of Gnosticism and Manicheism with Christianity.
prise |An enterprise. [Obs.] Spenser.\n\nSee Prize, n., 5. Also Prize, v. t.
priser |See 1st Prizer. [Obs.]
