brigose |Contentious; quarrelsome. [Obs.] Puller.
buccinum |A genus of large univalve mollusks abundant in the arctic seas. It includes the common whelk (B. undatum).
bucentaur |1. A fabulous monster, half ox, half man. 2. Etym: [It. bucentoro.]  The state barge of Venice, used by the doge in the ceremony of espousing the Adriatic.
bucephalus |1.  The celebrated war horse of Alexander the Great. 2.  Hence, any riding horse. [Jocose] Sir W. Scott.
buceros |A genus of large perching birds; the hornbills.
bucholzite |Same as Fibrolite.
buchu |A South African shrub (Barosma) with small leaves that are dotted with oil dlands; also, the leaves themselves, which are used in medicine for diseases of the urinary organs, etc. Several species furnish the leaves.
buck |1. Lye or suds in which cloth is soaked in the operation of bleaching, or in which clothes are washed. 2. The cloth or clothes soaked or washed. [Obs.] Shak.\n\n1. To soak, steep, or boil, in lye or suds; -- a process in bleaching. 2. To wash (clothes) in lye or suds, or, in later usage, by beating them on stones in running water. 3. (Mining)  To break up or pulverize, as ores.\n\n1. The male of deer, especially fallow deer and antelopes, or of goats, sheep, hares, and rabbits. Note: A male fallow deer is called a fawn in his first year; a pricket in his second; a sorel in his third; a sore in his fourth; a buck of the first head in his fifth; and a great buck in his sixth. The female of the fallow deer is termed a doe. The male of the red deer is termed a stag or hart and not a buck, and the female is called a hind. Brande & C. 2. A gay, dashing young fellow; a fop; a dandy. The leading bucks of the day. Thackeray. 3. A male Indian or negro. [Colloq. U.S.] Note: The word buck is much used in composition for the names of antelopes; as, bush buck, spring buck. Blue buck. See under Blue. -- Water buck, a South African variety of antelope (Kobus ellipsiprymnus). See Illust. of Antelope.\n\n1. To copulate, as bucks and does. 2. To spring with quick plunging leaps, descending with the fore legs rigid and the head held as low down as possible; -- said of a vicious horse or mule.\n\n1. (Mil.)  To subject to a mode of punishment which consists in tying the wrists together, passing the arms over the bent knees, and putting a stick across the arms and in the angle formed by the knees. 2. To throw by bucking. See Buck, v. i., 2. The brute that he was riding had nearly bucked him out of the saddle. W. E. Norris.\n\nA frame on which firewood is sawed; a sawhorse; a sawbuck. Buck saw, a saw set in a frame and used for sawing wood on a sawhorse.\n\nThe beech tree. [Scot.] Buck mast, the mast or fruit of the beech tree. Johnson.
buck bean |A plant (Menyanthes trifoliata) which grows in moist and boggy places, having racems of white or reddish flowers and intensely bitter leaves, sometimes used in medicine; marsh trefoil; -- called also bog bean.
buck fever |Intense excitement at the sight of deer or other game, such as often unnerves a novice in hunting. [Colloq.]
buck-basket |A basket in which clothes are carried to the wash. Shak.
buck-eyed |Having bad or speckled eyes. \"A buck-eyed horse.\" James White.
buckboard |A four-wheeled vehicle, having a long elastic board or frame resting on the bolsters or axletrees, and a seat or seats placed transversely upon it; -- called also buck wagon.
bucker |1. One who bucks ore. 2. A broad-headed hammer used in bucking ore.\n\nA horse or mule that bucks.
bucket |1. A vessel for drawing up water from a well, or for catching, holding, or carrying water, sap, or other liquids. The old oaken bucket, the iron-bound bucket, The moss-covered bucket, which hung in the well. Wordsworth. 2. A vessel (as a tub or scoop) for hoisting and conveying coal, ore, grain, etc. 3. (Mach.)  One of the receptacles on the rim of a water wheel into which the water rushes, causing the wheel to revolve; also, a float of a paddle wheel. 4. The valved piston of a lifting pump. Fire bucket, a bucket for carrying water to put out fires. -- To kick the bucket, to die. [Low]
bucket shop |An office or a place where facilities are given for betting small sums on current prices of stocks, petroleum, etc. [Slang, U.S.]
buckety |Paste used by weavers to dress their webs. Buchanan.
buckeye |1. (Bot.)  A name given to several American trees and shrubs of the same genus (Æsculus) as the horse chestnut. The Ohio buckeye, or Fetid buckeye, is Æsculus glabra. -- Red buckeye is Æ. Pavia. -- Small buckeye is Æ. paviflora. -- Sweet buckeye, or Yellow buckeye, is Æ. flava. 2. A cant name for a native in Ohio. [U.S.] Buckeye State, Ohio; -- so called because buckeye trees abound there.
buckhound |A hound for hunting deer. Master of the buckhounds, an officer in the royal household. [Eng.]
buckie |A large spiral marine shell, esp. the common whelk. See Buccinum. [Scot.] Deil's buckie, a perverse, refractory youngster. [Slang]
bucking |1. The act or process of soaking or boiling cloth in an alkaline liquid in the operation of bleaching; also, the liquid used. Tomlinson. 2. A washing. 3. The process of breaking up or pulverizing ores. Bucking iron (Mining), a broad-faced hammer, used in bucking or breaking up ores. -- Bucking kier (Manuf.), a large circular boiler, or kier, used in bleaching. -- Bucking stool, a washing block.
buckish |Dandified; foppish.
buckle |1. A device, usually of metal, consisting of a frame with one more movable tongues or catches, used for fastening things together, as parts of dress or harness, by means of a strap passing through the frame and pierced by the tongue. 2. A distortion bulge, bend, or kink, as in a saw blade or a plate of sheet metal. Knight. 3. A curl of hair, esp. a kind of crisp curl formerly worn; also, the state of being curled. Earlocks in tight buckles on each side of a lantern face. W. Irving. Lets his wig lie in buckle for a whole half year. Addison. 4. A contorted expression, as of the face. [R.] 'Gainst nature armed by gravity, His features too in buckle see. Churchill.\n\n1. To fasten or confine with a buckle or buckles; as, to buckle a harness. 2. To bend; to cause to kink, or to become distorted. 3. To prepare for action; to apply with vigor and earnestness; -- generally used reflexively. Cartwright buckled himself to the employment. Fuller. 4. To join in marriage. [Scot.] Sir W. Scott.\n\n1. To bend permanently; to become distorted; to bow; to curl; to kink. Buckled with the heat of the fire like parchment. Pepys. 2. To bend out of a true vertical plane, as a wall. 3. To yield; to give way; to cease opposing. [Obs.] The Dutch, as high as they seem, do begin to buckle. Pepys. 4. To enter upon some labor or contest; to join in close fight; to struggle; to contend. The bishop was as able and ready to buckle with the Lord Protector as he was with him. Latimer. In single combat thou shalt buckle with me. Shak. To buckle to, to bend to; to engage with zeal. To make our sturdy humor buckle thereto. Barrow. Before buckling to my winter's work. J. D. Forbes.
buckler |1. A kind of shield, of various shapes and sizes, worn on one of the arms (usually the left) for protecting the front of the body. Note: In the sword and buckler play of the Middle Ages in England, the buckler was a small shield, used, not to cover the body, but to stop or parry blows. 2. (Zoöl.) (a) One of the large, bony, external plates found on many ganoid fishes. (b) The anterior segment of the shell of trilobites. 3. (Naut.)  A block of wood or plate of iron made to fit a hawse hole, or the circular opening in a half-port, to prevent water from entering when the vessel pitches. Blind buckler (Naut.), a solid buckler. -- Buckler mustard (Bot.), a genus of plants (Biscutella) with small bright yellow flowers. The seed vessel on bursting resembles two bucklers or shields. -- Buckler thorn, a plant with seed vessels shaped like a buckler. See Christ's thorn. -- Riding buckler (Naut.), a buckler with a hole for the passage of a cable.\n\nTo shield; to defend. [Obs.] Can Oxford, that did ever fence the right, Now buckler falsehood with a pedigree Shak.
buckler-headed |Having a head like a buckler.
buckling |Wavy; curling, as hair. Latham.
buckra |A white man; -- a term used by negroes of the African coast, West Indies, etc.\n\nWhite; white man's; strong; good; as, buckra yam, a white yam.
buckram |1. A coarse cloth of linen or hemp, stiffened with size or glue, used in garments to keep them in the form intended, and for wrappers to cover merchandise. Note: Buckram was formerly a very different material from that now known by the name. It was used for wearing apparel, etc. Beck (Draper's Dict. ). 2. (Bot.)  A plant. See Ramson. Dr. Prior.\n\n1. Made of buckram; as, a buckram suit. 2. Stiff; precise. \"Buckram dames.\" Brooke.\n\nTo strengthen with buckram; to make stiff. Cowper. BUCK'S-HORN Buck's\"-horn`, n. (Bot.)  A plant with leaves branched somewhat like a buck's horn (Plantago Coronopus); also, Lobelia coronopifolia.
buckshot |A coarse leaden shot, larger than swan shot, used in hunting deer and large game.
buckskin |1. The skin of a buck. 2. A soft strong leather, usually yellowish or grayish in color, made of deerskin. 3. A person clothed in buckskin, particularly an American soldier of the Revolutionary war. Cornwallis fought as lang's he dought, An' did the buckskins claw, man. Burns. 4. pl.  Breeches made of buckskin. I have alluded to his buckskin. Thackeray.
buckstall |A toil or net to take deer.
buckthorn |A genus (Rhamnus) of shrubs or trees. The shorter branches of some species terminate in long spines or thorns. See Rhamnus. Sea buckthorn, a plant of the genus Hippophaë.
bucktooth |Any tooth that juts out. When he laughed, two white buckteeth protruded. Thackeray.
buckwheat |1. (Bot.)  A plant (Fagopyrum esculentum) of the Polygonum family, the seed of which is used for food. 2. The triangular seed used, when ground, for griddle cakes, etc.
bucolic |Of or pertaining to the life and occupation of a shepherd; pastoral; rustic.\n\nA pastoral poem, representing rural affairs, and the life, manners, and occupation of shepherds; as, the Bucolics of Theocritus and Virgil. Dryden.
bucolical |Bucolic.
bucranium |A sculptured ornament, representing an ox skull adorned with wreaths, etc.
bud |1. (Bot.)  A small protuberance on the stem or branches of a plant, containing the rudiments of future leaves, flowers, or stems; an undeveloped branch or flower. 2. (Biol.)  A small protuberance on certain low forms of animals and vegetables which develops into a new organism, either free or attached. See Hydra. Bud moth (Zoöl.), a lepidopterous insect of several species, which destroys the buds of fruit trees; esp. Tmetocera ocellana and Eccopsis malana on the apple tree.\n\n1. To put forth or produce buds, as a plant; to grow, as a bud does, into a flower or shoot. 2. To begin to grow, or to issue from a stock in the manner of a bud, as a horn. 3. To be like a bud in respect to youth and freshness, or growth and promise; as, a budding virgin. Shak. Syn. -- To sprout; germinate; blossom.\n\nTo graft, as a plant with another or into another, by inserting a bud from the one into an opening in the bark of the other, in order to raise, upon the budded stock, fruit different from that which it would naturally bear. The apricot and the nectarine may be, and usually are, budded upon the peach; the plum and the peach are budded on each other. Farm. Dict.
buddha |The title of an incarnation of self-abnegation, virtue, and wisdom, or a deified religious teacher of the Buddhists, esp. Gautama Siddartha or Sakya Sinha (or Muni), the founder of Buddhism.
buddhism |The religion based upon the doctrine originally taught by the Hindoo sage Gautama Siddartha, surnamed Buddha, \"the awakened or enlightened,\" in the sixth century b.c., and adopted as a religion by the greater part of the inhabitants of Central and Eastern Asia and the Indian Islands. Buddha's teaching is believed to have been atheistic; yet it was characterized by elevated humanity and morality. It presents release from existence (a beatific enfranchisement, Nirvâna) as the greatest good. Buddhists believe in transmigration of souls through all phases and forms of life. Their number was estimated in 1881 at 470,000,000.
buddhist |One who accepts the teachings of Buddhism.\n\nOf or pertaining to Buddha, Buddhism, or the Buddhists.
buddhistic |Same as Buddhist, a.
budding |1. The act or process of producing buds. 2. (Biol.)  A process of asexual reproduction, in which a new organism or cell is formed by a protrusion of a portion of the animal or vegetable organism, the bud thus formed sometimes remaining attached to the parent stalk or cell, at other times becoming free; gemmation. See Hydroidea. 3. The act or process of ingrafting one kind of plant upon another stock by inserting a bud under the bark.
buddle |An apparatus, especially an inclined trough or vat, in which stamped ore is concentrated by subjecting it to the action of rynning water so as to wash out the lighter and less valuable portions.\n\nTo wash ore in a buddle.
bude burner |A burner consisting of two or more concentric Argand burners (the inner rising above the outer) and a central tube by which oxygen gas or common air is supplied.
bude light |A light in which high illuminating power is obtained by introducing a jet of oxygen gas or of common air into the center of a flame fed with coal gas or with oil.
budge |To move off; to stir; to walk away. I'll not budge an inch, boy. Shak. The mouse ne'er shunned the cat as they did budge From rascals worse than they. Shak.\n\nBrisk; stirring; jocund. [Obs.] South.\n\nA kind of fur prepared from lambskin dressed with the wool on; -- used formerly as an edging and ornament, esp. of scholastic habits.\n\n1. Lined with budge; hence, scholastic. \"Budge gowns.\" Milton. 2. Austere or stiff, like scholastics. Those budge doctors of the stoic fur. Milton. Budge bachelor, one of a company of men clothed in long gowns lined with budge, who formerly accompanied the lord mayor of London in his inaugural procession. -- Budge barrel (Mil.), a small copper-hooped barrel with only one head, the other end being closed by a piece of leather, which is drawn together with strings like a purse. It is used for carrying powder from the magazine to the battery, in siege or seacoast service.
budgeness |Sternness; severity. [Obs.] A Sara for goodness, a great Bellona for budgeness. Stanyhurst.
budger |One who budges. Shak.
budgerow |A large and commodious, but generally cumbrous and sluggish boat, used for journeys on the Ganges.
budget |1. A bag or sack with its contents; hence, a stock or store; an accumulation; as, a budget of inventions. 2. The annual financial statement which the British chancellor of the exchequer makes in the House of Commons. It comprehends a general view of the finances of the country, with the proposed plan of taxation for the ensuing year. The term is sometimes applied to a similar statement in other countries. To open the budget, to lay before a legislative body the financial estimates and plans of the executive government.
budgy |Consisting of fur. [Obs.]
budlet |A little bud springing from a parent bud. We have a criterion to distinguish one bud from another, or the parent bud from the numerous budlets which are its offspring. E. Darwin.
buff |1. A sort of leather, prepared from the skin of the buffalo, dressed with oil, like chamois; also, the skins of oxen, elks, and other animals, dressed in like manner. \"A suit of buff.\" Shak. 2. The color to buff; a light yellow, shading toward pink, gray, or brown. A visage rough, Deformed, unfeatured, and a skin of buff. Dryden. 3. A military coat, made of buff leather. Shak. 4. (Med.)  The grayish viscid substance constituting the buffy coat. See Buffy coat, under Buffy, a. 5. (Mech.)  A wheel covered with buff leather, and used in polishing cutlery, spoons, etc. 6. The bare skin; as, to strip to the buff. [Colloq.] To be in buff is equivalent to being naked. Wright.\n\n1. Made of buff leather. Goldsmith. 2. Of the color of buff. Buff coat, a close, military outer garment, with short sleeves, and laced tightly over the chest, made of buffalo skin, or other thick and elastic material, worn by soldiers in the 17th century as a defensive covering. -- Buff jerkin, originally, a leather waistcoat; afterward, one of cloth of a buff color. [Obs.] Nares. -- Buff stick (Mech.), a strip of wood covered with buff leather, used in polishing.\n\nTo polish with a buff. See Buff, n., 5.\n\nTo strike. [Obs.] B. Jonson.\n\nA buffet; a blow; -- obsolete except in the phrase \"Blindman's buff.\" Nathless so sore a buff to him it lent That made him reel. Spenser.\n\nFirm; sturdy. And for the good old cause stood buff, 'Gainst many a bitter kick and cuff. Hudibras.
buffa |The comic actress in an opera. -- a.  Comic, farcical. Aria buffa, a droll or comic air. -- Opera buffa, a comic opera. See Opera bouffe.
buffalo |1. (Zoöl.)  A species of the genus Bos or Bubalus (B. bubalus), originally from India, but now found in most of the warmer countries of the eastern continent. It is larger and less docile than the common ox, and is fond of marshy places and rivers. 2. (Zoöl.)  A very large and savage species of the same genus (B. Caffer) found in South Africa; -- called also Cape buffalo. 3. (Zoöl.)  Any species of wild ox. 4. (Zoöl.)  The bison of North America. 5. A buffalo robe. See Buffalo robe, below. 6. (Zoöl.)  The buffalo fish. See Buffalo fish, below. Buffalo berry (Bot.), a shrub of the Upper Missouri (Sherherdia argentea) with acid edible red berries. -- Buffalo bird (Zoöl.), an African bird of the genus Buphaga, of two species. These birds perch upon buffaloes and cattle, in search of parasites. -- Buffalo bug, the carpet beetle. See under Carpet. -- Buffalo chips, dry dung of the buffalo, or bison, used for fuel. [U.S.] -- Buffalo clover (Bot.), a kind of clover (Trifolium reflexum and T.soloniferum) found in the ancient grazing grounds of the American bison. -- Buffalo cod (Zoöl.), a large, edible, marine fish (Ophiodon elongatus) of the northern Pacific coast; -- called also blue cod, and cultus cod. -- Buffalo fish (Zoöl.), one of several large fresh-water fishes of the family Catostomidæ, of the Mississippi valley. The red-mouthed or brown (Ictiobus bubalus), the big-mouthed or black (Bubalichthys urus), and the small-mouthed (B. altus), are among the more important species used as food. -- Buffalo fly, or Buffalo gnat (Zoöl.), a small dipterous insect of the genus Simulium, allied to the black fly of the North. It is often extremely abundant in the lower part of the Mississippi valley and does great injury to domestic animals, often killing large numbers of cattle and horses. In Europe the Columbatz fly is a species with similar habits. -- Buffalo grass (Bot.), a species of short, sweet grass (Buchloë dactyloides), from two to four inches high, covering the prairies on which the buffaloes, or bisons, feed. [U.S.] -- Buffalo nut (Bot.), the oily and drupelike fruit of an American shrub (Pyrularia oleifera); also, the shrub itself; oilnut. -- Buffalo robe, the skin of the bison of North America, prepared with the hair on; -- much used as a lap robe in sleighs.
buffel duck |A small duck (Charitonetta albeola); the spirit duck, or butterball. The head of the male is covered with numerous elongated feathers, and thus appears large. Called also bufflehead.
buffer |1. (Mech.) (a) An elastic apparatus or fender, for deadening the jar caused by the collision of bodies; as, a buffer at the end of a railroad car. (b) A pad or cushion forming the end of a fender, which recieves the blow; -- sometimes called buffing apparatus. 2. One who polishes with a buff. 3. A wheel for buffing; a buff. 4. A good-humored, slow-witted fellow; -- usually said of an elderly man. [Colloq.] Dickens.
bufferhead |The head of a buffer, which recieves the concussion, in railroad carriages.
buffet |1. A cupboard or set of shelves, either movable or fixed at one side of a room, for the display of plate, china, etc., a sideboard. Not when a gilt buffet's reflected pride Turns you from sound philosophy aside. Pope. 2. A counter for refreshments; a restaurant at a railroad station, or place of public gathering.\n\n1. A blow with the hand; a slap on the face; a cuff. When on his cheek a buffet fell. Sir W. Scott. 2. A blow from any source, or that which affects like a blow, as the violence of winds or waves; a stroke; an adverse action; an affliction; a trial; adversity. Those planks of tough and hardy oak that used for yeas to brave the buffets of the Bay of Biscay. Burke. Fortune's buffets and rewards. Shak. 3. A small stool; a stool for a buffet or counter. Go fetch us a light buffet. Townely Myst.\n\n1. To strike with the hand or fist; to box; to beat; to cuff; to slap. They spit in his face and buffeted him. Matt. xxvi. 67. 2. To affect as with blows; to strike repeatedly; to strive with or contend against; as, to buffet the billows. The sudden hurricane in thunder roars, Buffets the bark, and whirls it from the shores. Broome. You are lucky fellows who can live in a dreamland of your own, instead of being buffeted about the world. W. Black. 3. Etym: [Cf. Buffer.]  To deaden the sound of (bells) by muffling the clapper.\n\n1. To exercise or play at boxing; to strike; to smite; to strive; to contend. If I might buffet for my love, or bound my horse for her favors, I could lay on like a butcher. Shak. 2. To make one's way by blows or struggling. Strove to buffet to land in vain. Tennyson.
buffeter |One who buffets; a boxer. Jonson.
buffeting |1. A striking with the hand. 2. A succession of blows; continued violence, as of winds or waves; afflictions; adversity. He seems to have been a plant of slow growth, but . . . fitted to endure the buffeting on the rudest storm. Wirt.
buffin |A sort of coarse stuff; as, buffin gowns. [Obs.]
buffing apparatus |See Buffer, 1.
buffle |The buffalo. [Obs.] Sir T. Herbert.\n\nTo puzzle; to be at a loss. [Obs.] Swift.
buffle-headed |Having a large head, like a buffalo; dull; stupid; blundering. [Obs.] So fell this buffle-headed giant. Gayton.
bufflehead |1. One who has a large head; a heavy, stupid fellow. [Obs.] What makes you stare so, bufflehead Plautus (trans. 1694). 2. (Zoöl.)  The buffel duck. See Buffel duck.
buffo |The comic actor in an opera.
buffoon |A man who makes a practice of amusing others by low tricks, antic gestures, etc.; a droll; a mimic; a harlequin; a clown; a merry-andrew.\n\nCharacteristic of, or like, a buffoon. \"Buffoon stories.\" Macaulay. To divert the audience with buffoon postures and antic dances. Melmoth.\n\nTo act the part of a buffoon. [R.]\n\nTo treat with buffoonery. Glanvill.
buffoonery |The arts and practices of a buffoon, as low jests, ridiculous pranks, vulgar tricks and postures. Nor that it will ever constitute a wit to conclude a tart piece of buffoonery with a \"What makes you blush\" Spectator.
buffoonish |Like a buffoon; consisting in low jests or gestures. Blair.
buffoonism |The practices of a buffoon; buffoonery.
buffoonly |Low; vulgar. [R.] Apish tricks and buffoonly discourse. Goodman.
buffy |Resembling, or characterized by, buff. Buffy coat, the coagulated plasma of blood when the red corpuscles have so settled out that the coagulum appears nearly colorless. This is common in diseased conditions where the corpuscles run together more rapidly and in denser masses than usual. Huxley.
bufo |A genus of Amphibia including various species of toads.
bufonite |An old name for a fossil consisting of the petrified teeth and palatal bones of fishes belonging to the family of Pycnodonts (thick teeth), whose remains occur in the oölite and chalk formations; toadstone; -- so named from a notion that it was originally formed in the head of a toad.
bug |1. A bugbear; anything which terrifies. [Obs.] Sir, spare your threats: The bug which you would fright me with I seek. Shak. 2. (Zoöl.)  A general name applied to various insects belonging to the Hemiptera; as, the squash bug; the chinch bug, etc. 3. (Zoöl.)  An insect of the genus Cimex, especially the bedbug (C. lectularius). See Bedbug. 4. (Zoöl.)  One of various species of Coleoptera; as, the ladybug; potato bug, etc.; loosely, any beetle. 5. (Zoöl.)  One of certain kinds of Crustacea; as, the sow bug; pill bug; bait bug; salve bug, etc. Note: According to present popular usage in England, and among housekeepers in America, bug, when not joined with some qualifying word, is used specifically for bedbug. As a general term it is used very loosely in America, and was formerly used still more loosely in England. \"God's rare workmanship in the ant, the poorest bug that creeps.\" Rogers (Naaman). \"This bug with gilded wings.\" Pope. Bait bug. See under Bait. -- Bug word, swaggering or threatening language. [Obs.] Beau. & Fl.
bugaboo |Something frightful, as a specter; anything imaginary that causes needless fright; something used to excite needless fear; also, something really dangerous, used to frighten children, etc. \"Bugaboos to fright ye.\" Lloyd. But, to the world no bugbear is so great As want of figure and a small estate. Pope. The bugaboo of the liberals is the church pray. S. B. Griffin. The great bugaboo of the birds is the owl. J. Burroughs. Syn. -- Hobgoblin; goblin; specter; ogre; scarecrow.
bugbane |A perennial white-flowered herb of the order Ranunculaceæ and genus Cimiciguga; bugwort. There are several species.
bugbear |Something frightful, as a specter; anything imaginary that causes needless fright; something used to excite needless fear; also, something really dangerous, used to frighten children, etc. \"Bugaboos to fright ye.\" Lloyd. But, to the world no bugbear is so great As want of figure and a small estate. Pope. The bugaboo of the liberals is the church pray. S. B. Griffin. The great bugaboo of the birds is the owl. J. Burroughs. Syn. -- Hobgoblin; goblin; specter; ogre; scarecrow.\n\nSame as Bugaboo. -- a.  Causing needless fright. Locke.\n\nTo alarm with idle phantoms.
bugfish |The menhaden. [U.S.]
bugger |1. One guilty of buggery or unnatural vice; a sodomite. 2. A wretch; -- sometimes used humorously or in playful disparagement. [Low]
buggery |Unnatural sexual intercourse; sodomy.
bugginess |The state of being infested with bugs.
buggy |Infested or abounding with bugs.\n\n1. A light one horse two-wheeled vehicle. [Eng.] Villebeck prevailed upon Flora to drive with him to the race in a buggy. Beaconsfield. 2. A light, four-wheeled vehicle, usually with one seat, and with or without a calash top. [U.S.] Buggy cultivator, a cultivator with a seat for the driver. -- Buggy plow, a plow, or set of plows, having a seat for the driver; -- called also sulky plow.
bugle |A sort of wild ox; a buffalo. E. Phillips.\n\n1. A horn used by hunters. 2. (Mus.)  A copper instrument of the horn quality of tone, shorter and more conical that the trumpet, sometimes keyed; formerly much used in military bands, very rarely in the orchestra; now superseded by the cornet; -- called also the Kent bugle.\n\nAn elingated glass bead, of various colors, though commonly black.\n\nJet black. \"Bugle eyeballs.\" Shak.\n\nA plant of the genus Ajuga of the Mint family, a native of the Old World. Yellow bugle, the Ajuga chamæpitys.
bugle horn |1. A bugle. One blast upon his bugle horn Were worth a thousand men. Sir W. Scott. 2. A drinking vessel made of horn. [Obs.] And drinketh of his bugle horn the wine. Chaucer.
bugled |Ornamented with bugles.
bugler |One who plays on a bugle.
bugleweed |A plant of the Mint family and genus Lycopus; esp. L. Virginicus, which has mild narcotic and astringent properties, and is sometimes used as a remedy for hemorrhage.
bugloss |A plant of the genus Anchusa, and especially the A. officinalis, sometimes called alkanet; oxtongue. Small wild bugloss, the Asperugo procumbens and the Lycopsis arvensis. -- Viper's bugloss, a species of Echium.
bugwort |Bugbane.
buhl |Decorative woodwork in which tortoise shell, yellow metal, white metal, etc., are inlaid, forming scrolls, cartouches, etc. [Written also boule, boulework.]
buhlbuhl |See Bulbul.
buhlwork |Decorative woodwork in which tortoise shell, yellow metal, white metal, etc., are inlaid, forming scrolls, cartouches, etc. [Written also boule, boulework.]
buhrstone |A cellular, flinty rock, used for mill stones. [Written also burrstone.]
build |1. To erect or construct, as an edifice or fabric of any kind; to form by uniting materials into a regular structure; to fabricate; to make; to raise. Nor aught availed him now To have built in heaven high towers. Milton. 2. To raise or place on a foundation; to form, establish, or produce by using appropriate means. Who builds his hopes in air of your good looks. Shak. 3. To increase and strengthen; to increase the power and stability of; to settle, or establish, and preserve; -- frequently with up; as, to build up one's constitution. I commend you to God, and to the word of his grace, which is able to build you up. Acts xx. 32. Syn. -- To erect; construct; raise; found; frame.\n\n1. To exercise the art, or practice the business, of building. 2. To rest or depend, as on a foundation; to ground one's self or one's hopes or opinions upon something deemed reliable; to rely; as, to build on the opinions or advice of others.\n\nForm or mode of construction; general figure; make; as, the build of a ship.
builder |One who builds; one whose occupation is to build, as a carpenter, a shipwright, or a mason. In the practice of civil architecture, the builder comes between the architect who designs the work and the artisans who execute it. Eng. Cyc.
building |1. The act of constructing, erecting, or establishing. Hence it is that the building of our Sion rises no faster. Bp. Hall. 2. The art of constructing edifices, or the practice of civil architecture. The execution of works of architecture necessarily includes building; but building is frequently employed when the result is not architectural. Hosking. 3. That which is built; a fabric or edifice constructed, as a house, a church, etc. Thy sumptuous buildings and thy wife's attire Have cost a mass of public treasury. Shak.
built |Shape; build; form of structure; as, the built of a ship. [Obs.] Dryden.\n\nFormed; shaped; constructed; made; -- often used in composition and preceded by the word denoting the form; as, frigate-built, clipper-built, etc. Like the generality of Genoese countrywomen, strongly built. Landor.
buke muslin |See Book muslin.
bukshish |See Backsheesh.
bulau |An East Indian insectivorous mammal (Gymnura Rafflesii), somewhat like a rat in appearance, but allied to the hedgehog.
bulb |1. (Bot.)  A spheroidal body growing from a plant either above or below the ground (usually below), which is strictly a bud, consisting of a cluster of partially developed leaves, and producing, as it grows, a stem above, and roots below, as in the onion, tulip, etc. It differs from a corm in not being solid. 2. (Anat.)  A name given to some parts that resemble in shape certain bulbous roots; as, the bulb of the aorta. Bulb of the eye, the eyeball. -- Bulb of a hair, the \"root,\" or part whence the hair originates. -- Bulb of the spinal cord, the medulla oblongata, often called simply bulb. -- Bulb of a tooth, the vascular and nervous papilla contained in the cavity of the tooth. 3. An expansion or protuberance on a stem or tube, as the bulb of a thermometer, which may be of any form, as spherical, cylindrical, curved, etc. Tomlinson.\n\nTo take the shape of a bulb; to swell.
bulbaceous |Bulbous. Jonson.
bulbar |Of or pertaining to bulb; especially, in medicine, pertaining to the bulb of the spinal cord, or medulla oblongata; as, bulbar paralysis.
bulbed |Having a bulb; round-headed.
bulbel |A separable bulb formed on some flowering plants.
bulbiferous |Producing bulbs.
bulbil |1. (Bot.)  A small or secondary bulb; hence, now almost exclusively: An aërial bulb or deciduous bud, produced in the leaf axils, as in the tiger lily, or relpacing the flowers, as in some onions, and capable, when separated, of propagating the plant; -- called also bulblet and brood bud. 2.  (Anat.) A small hollow bulb, such as an enlargement in a small vessel or tube.
bulblet |A small bulb, either produced on a larger bulb, or on some aërial part of a plant, as in the axils of leaves in the tiger lily, or replacing the flowers in some kinds of onion.
bulbo-tuber |A corm.
bulbose |Bulbous.
bulbous |Having or containing bulbs, or a bulb; growing from bulbs; bulblike in shape or structure.
bulbul |The Persian nightingale (Pycnonotus jocosus). The name is also applied to several other Asiatic singing birds, of the family Timaliidæ. The green bulbuls belong to the Chloropsis and allied genera. [Written also buhlbuhl.]
bulbule |A small bulb; a bulblet.
bulchin |A little bull.
bulge |1. The bilge or protuberant part of a cask. 2. A swelling, protuberant part; a bending outward, esp. when caused by pressure; as, a bulge in a wall. 3. (Naut.)  The bilge of a vessel. See Bilge, 2. Bulge ways. (Naut.) See Bilge ways.\n\n1. To swell or jut out; to bend outward, as a wall when it yields to pressure; to be protuberant; as, the wall bulges. 2. To bilge, as a ship; to founder. And scattered navies bulge on distant shores. Broome.
bulger |A driver or a brassy with a convex face.
bulgy |Bulged; bulging; bending, or tending to bend, outward. [Colloq.]
bulimia |A disease in which there is a perpetual and insatiable appetite for food; a diseased and voracious appetite.
bulimus |A genus of land snails having an elongated spiral shell, often of large size. The species are numerous ingabundant in tropical America.
bulimy |A disease in which there is a perpetual and insatiable appetite for food; a diseased and voracious appetite.
