bilaminate |Formed of, or having, two laminæ, or thin plates.
bivalve |1. (Zoöl.)  A mollusk having a shell consisting of two lateral plates or valves joined together by an elastic ligament at the hinge, which is usually strengthened by prominences called teeth. The shell is closed by the contraction of two transverse muscles attached to the inner surface, as in the clam, -- or by one, as in the oyster. See Mollusca. 2. (Bot.)  A pericarp in which the seed case opens or splits into two parts or valves.\n\nHaving two shells or valves which open and shut, as the oyster and certain seed vessels.
bivalved |Having two valves, as the oyster and some seed pods; bivalve.
bivalvous |Bivalvular.
bivalvular |Having two valves.
bivaulted |Having two vaults or arches.
bivector |A term made up of the two parts
biventral |(Anat.) Having two bellies or protuberances; as, a biventral, or digastric, muscle, or the biventral lobe of the cerebellum.
bivial |Of or relating to the bivium.
bivious |Having, or leading, two ways. Bivious theorems and Janus-faced doctrines. Sir T. Browne.
bivium |One side of an echinoderm, including a pair of ambulacra, in distinction from the opposite side (trivium), which includes three ambulacra.
bivouac |(a) The watch of a whole army by night, when in danger of surprise or attack. (b) An encampment for the night without tents or covering.\n\n(a) To watch at night or be on guard, as a whole army. (b) To encamp for the night without tents or covering.
biweekly |Occurring or appearing once every two weeks; fortnightly. -- n.  A publication issued every two weeks. -- Bi\"week\"ly, adv.
biwreye |To bewray; to reveal. [Obs.]
bizantine |See Byzantine.
bizarre |Odd in manner or appearance; fantastic; whimsical; extravagant; grotesque. C. Kingsley.
bizet |The upper faceted portion of a brilliant-cut diamond, which projects from the setting and occupies the zone between the girdle and the table. See Brilliant, n.
blab |To utter or tell unnecessarily, or in a thoughtless manner; to publish (secrets or trifles) without reserve or discretion. Udall. And yonder a vile physician blabbing The case of his patient. Tennyson.\n\nTo talk thoughtlessly or without discretion; to tattle; to tell tales. She must burst or blab. Dryden.\n\nOne who blabs; a babbler; a telltale. \"Avoided as a blab.\" Milton. For who will open himself to a blab or a babbler. Bacon.
blabber |A tattler; a telltale.
black |1. Destitute of light, or incapable of reflecting it; of the color of soot or coal; of the darkest or a very dark color, the opposite of white; characterized by such a color; as, black cloth; black hair or eyes. O night, with hue so black! Shak. 2. In a less literal sense: Enveloped or shrouded in darkness; very dark or gloomy; as, a black night; the heavens black with clouds. I spy a black, suspicious, threatening cloud. Shak. 3. Fig.: Dismal, gloomy, or forbidding, like darkness; destitute of moral light or goodness; atrociously wicked; cruel; mournful; calamitous; horrible. \"This day's black fate.\" \"Black villainy.\" \"Arise, black vengeance.\" \"Black day.\" \"Black despair.\" Shak. 4. Expressing menace, or discontent; threatening; sullen; foreboding; as, to regard one with black looks. Note: Black is often used in self-explaining compound words; as, black-eyed, black-faced, black-haired, black-visaged. Black act, the English statute 9 George I, which makes it a felony to appear armed in any park or warren, etc., or to hunt or steal deer, etc., with the face blackened or disguised. Subsequent acts inflicting heavy penalties for malicious injuries to cattle and machinery have been called black acts. -- Black angel (Zoöl.), a fish of the West Indies and Florida (Holacanthus tricolor), with the head and tail yellow, and the middle of the body black. -- Black antimony (Chem.), the black sulphide of antimony, Sb2S3, used in pyrotechnics, etc. -- Black bear (Zoöl.), the common American bear (Ursus Americanus). -- Black beast. See Bête noire. -- Black beetle (Zoöl.), the common large cockroach (Blatta orientalis). -- Black and blue, the dark color of a bruise in the flesh, which is accompanied with a mixture of blue. \"To pinch the slatterns black and blue.\" Hudibras. -- Black bonnet (Zoöl.), the black-headed bunting (Embriza Schoeniclus) of Europe. -- Black canker, a disease in turnips and other crops, produced by a species of caterpillar. -- Black cat (Zoöl.), the fisher, a quadruped of North America allied to the sable, but larger. See Fisher. -- Black cattle, any bovine cattle reared for slaughter, in distinction from dairy cattle. [Eng.] -- Black cherry. See under Cherry. -- Black cockatoo (Zoöl.), the palm cockatoo. See Cockatoo. -- Black copper. Same as Melaconite. -- Black currant. (Bot.) See Currant. -- Black diamond. (Min.) See Carbonado. -- Black draught (Med.), a cathartic medicine, composed of senna and magnesia. -- Black drop (Med.), vinegar of opium; a narcotic preparation consisting essentially of a solution of opium in vinegar. -- Black earth, mold; earth of a dark color. Woodward. -- Black flag, the flag of a pirate, often bearing in white a skull and crossbones; a signal of defiance. -- Black flea (Zoöl.), a flea beetle (Haltica nemorum) injurious to turnips. -- Black flux, a mixture of carbonate of potash and charcoal, obtained by deflagrating tartar with half its weight of niter. Brande & C. -- Black fly. (Zoöl.) (a) In the United States, a small, venomous, two-winged fly of the genus Simulium of several species, exceedingly abundant and troublesome in the northern forests. The larvæ are aquatic. (b) A black plant louse, as the bean aphis (A. fabæ). -- Black Forest Etym: [a translation of G. Schwarzwald], a forest in Baden and Würtemburg, in Germany; a part of the ancient Hercynian forest. -- Black game, or Black grouse. (Zoöl.) See Blackcock, Grouse, and Heath grouse. -- Black grass (Bot.), a grasslike rush of the species Juncus Gerardi, growing on salt marshes, and making good hay. -- Black gum (Bot.), an American tree, the tupelo or pepperidge. See Tupelo. -- Black Hamburg (grape) (Bot.), a sweet and juicy variety of dark purple or \"black\" grape. -- Black horse (Zoöl.), a fish of the Mississippi valley (Cycleptus elongatus), of the sucker family; the Missouri sucker. -- Black lemur (Zoöl.), the Lemurniger of Madagascar; the acoumbo of the natives. -- Black list, a list of persons who are for some reason thought deserving of censure or punishment; -- esp. a list of persons stigmatized as insolvent or untrustworthy, made for the protection of tradesmen or employers. See Blacklist, v. t. -- Black manganese (Chem.), the black oxide of manganese, MnO2. -- Black Maria, the close wagon in which prisoners are carried to or from jail. -- Black martin (Zoöl.), the chimney swift. See Swift. -- Black moss (Bot.), the common so-called long moss of the southern United States. See Tillandsia. -- Black oak. See under Oak. -- Black ocher. See Wad. -- Black pigment, a very fine, light carbonaceous substance, or lampblack, prepared chiefly for the manufacture of printers' ink. It is obtained by burning common coal tar. -- Black plate, sheet iron before it is tinned. Knight. -- Black quarter, malignant anthrax with engorgement of a shoulder or quarter, etc., as of an ox. -- Black rat (Zoöl.), one of the species of rats (Mus rattus), commonly infesting houses. -- Black rent. See Blackmail, n., 3. -- Black rust, a disease of wheat, in which a black, moist matter is deposited in the fissures of the grain. -- Black sheep, one in a family or company who is unlike the rest, and makes trouble. -- Black silver. (Min.) See under Silver. -- Black and tan, black mixed or spotted with tan color or reddish brown; -- used in describing certain breeds of dogs. -- Black tea. See under Tea. -- Black tin (Mining), tin ore (cassiterite), when dressed, stamped and washed, ready for smelting. It is in the form of a black powder, like fine sand. Knight. -- Black walnut. See under Walnut. -- Black warrior (Zoöl.), an American hawk (Buteo Harlani). Syn. -- Dark; murky; pitchy; inky; somber; dusky; gloomy; swart; Cimmerian; ebon; atrocious.\n\nSullenly; threateningly; maliciously; so as to produce blackness.\n\n1. That which is destitute of light or whiteness; the darkest color, or rather a destitution of all color; as, a cloth has a good black. Black is the badge of hell, The hue of dungeons, and the suit of night. Shak. 2. A black pigment or dye. 3. A negro; a person whose skin is of a black color, or shaded with black; esp. a member or descendant of certain African races. 4. A black garment or dress; as, she wears black; pl. (Obs.)  Mourning garments of a black color; funereal drapery. Friends weeping, and blacks, and obsequies, and the like show death terrible. Bacon. That was the full time they used to wear blacks for the death of their fathers. Sir T. North. 5. The part of a thing which is distinguished from the rest by being black. The black or sight of the eye. Sir K. Digby. 6. A stain; a spot; a smooch. Defiling her white lawn of chastity with ugly blacks of lust. Rowley. Black and white, writing or print; as, I must have that statement in black and white. -- Blue black, a pigment of a blue black color. -- Ivory black, a fine kind of animal charcoal prepared by calcining ivory or bones. When ground it is the chief ingredient of the ink used in copperplate printing. -- Berlin black. See under Berlin.\n\n1. To make black; to blacken; to soil; to sully. They have their teeth blacked, both men and women, for they say a dog hath his teeth white, therefore they will black theirs. Hakluyt. Sins which black thy soul. J. Fletcher. 2. To make black and shining, as boots or a stove, by applying blacking and then polishing with a brush.
black art |The art practiced by conjurers and witches; necromancy; conjuration; magic. Note: This name was given in the Middle Ages to necromancy, under the idea that the latter term was derived from niger black, instead of nekro`s, a dead person, and mantei`a, divination. Wright.
black bass |1. An edible, fresh-water fish of the United States, of the genus Micropterus. the small-mouthed kind is M. dolomiei; the largemouthed is M. salmoides. 2. The sea bass. See Blackfish, 3.
black book |1. One of several books of a political character, published at different times and for different purposes; -- so called either from the color of the binding, or from the character of the contents. 2. A book compiled in the twelfth century, containing a description of the court of exchequer of England, an official statement of the revenues of the crown, etc. 3. A book containing details of the enormities practiced in the English monasteries and religious houses, compiled by order of their visitors under Henry VIII., to hasten their dissolution. 4. A book of admiralty law, of the highest authority, compiled in the reign of Edw. III. Bouvier. Wharton. 5. A book kept for the purpose of registering the names of persons liable to censure or punishment, as in the English universities, or the English armies. 6. Any book which treats of necromancy.
black death |A pestilence which ravaged Europe and Asia in the fourteenth century.
black flags |An organization composed originally of Chinese rebels that had been driven into Tonkin by the suppression of the Taiping rebellion, but later increased by bands of pirates and adventurers. It took a prominent part in fighting the French during their hostilities with Anam, 1873-85.
black friar |A friar of the Dominican order; -- called also predicant and preaching friar; in France, Jacobin. Also, sometimes, a Benedictine.
black friday |Any Friday on which a public disaster has occurred, as: In England, December 6, 1745, when the news of the landing of the Pretender reached London, or May 11, 1866,  when a financial panic commenced. In the United States, September 24, 1869, and September 18, 1873, on which financial panics began.
black hamburg |A sweet and juicy variety of European grape, of a dark purplish black color, much grown under glass in northern latitudes.
black hand |1.  A Spanish anarchistic society, many of the members of which were imprisoned in 1883. 2.  A lawless or blackmailing secret society, esp. among Italians. [U. S.]
black hole |A dungeon or dark cell in a prison; a military lock-up or guardroom; -- now commonly with allusion to the cell (the Black Hole) in a fort at Calcutta, into which 146 English prisoners were thrust by the nabob Suraja Dowla on the night of June 20, 17656, and in which 123 of the prisoners died before morning from lack of air. A discipline of unlimited autocracy, upheld by rods, and ferules, and the black hole. H. Spencer.
black lead |Plumbago; graphite.It leaves a blackish mark somewhat like lead. See Graphite.
black letter |The old English or Gothic letter, in which the Early English manuscripts were written, and the first English books were printed. It was conspicuous for its blackness. See Type.
black monday |1. Easter Monday, so called from the severity of that day in 1360, which was so unusual that many of Edward III.'s soldiers, then before Paris, died from the cold. Stow. Then it was not for nothing that may nose fell a bleeding on Black Monday last. Shak. 2. The first Monday after the holidays; -- so called by English schoolboys. Halliwell.
black monk |A Benedictine monk.
black pudding |A kind of sausage made of blood, suet, etc., thickened with meal. And fat black puddings, -- proper food, For warriors that delight in blood. Hudibras.
black rod |(a) the usher to the Chapter of the Garter, so called from the black rod which he carries. He is of the king's chamber, and also usher to the House of Lords. [Eng.] (b) An usher in the legislature of British colonies. Cowell. Committed to the custody of the Black Rod. Macaulay.
black salts |Crude potash. De Colange.
black snake |A snake of a black color, of which two species are common in the United States, the Bascanium constrictor, or racer, sometimes six feet long, and the Scotophis Alleghaniensis, seven or eight feet long. Note: The name is also applied to various other black serpents, as Natrix atra of Jamaica.
black spanish |One of an old and well-known Mediterranean breed of domestic fowls with glossy black plumage, blue legs and feet, bright red comb and wattles, and white face. They are remarkable as egg layers.
black vomit |A copious vomiting of dark-colored matter; or the substance so discharged; -- one of the most fatal symptoms in yellow fever.
black wash |1. (Med.)  A lotion made by mixing calomel and lime water. 2. A wash that blackens, as opposed to whitewash; hence, figuratively, calumny. To remove as far as he can the modern layers of black wash, and let the man himself, fair or foul, be seen. C. Kingsley.
black-a-vised |Dark-visaged; swart.
black-browed |Having black eyebrows. Hence: Gloomy; dismal; threatening; forbidding. Shak. Dryden.
black-eyed |Having black eyes. Dryden.
black-eyed susan |(a) The coneflower, or yellow daisy (Rudbeckia hirta). (b) The bladder ketmie.
black-faced |Having a black, dark, or gloomy face or aspect.
black-hearted |Having a wicked, malignant disposition; morally bad.
black-jack |1. (Min.)  A name given by English miners to sphalerite, or zinc blende; - - called also false galena. See Blende. 2. Caramel or burnt sugar, used to color wines, spirits, ground coffee, etc. 3. A large leather vessel for beer, etc. [Obs.] 4. (Bot.)  The Quercus nigra, or barren oak. 5. The ensign of a pirate.
black-letter |1. Written or printed in black letter; as, a black-letter manuscript or book. 2. Given to the study of books in black letter; that is, of old books; out of date. Kemble, a black-letter man! J. Boaden. 3. Of or pertaining to the days in the calendar not marked with red letters as saints' days. Hence: Unlucky; inauspicious.
black-mouthed |Using foul or scurrilous language; slanderous.
blackamoor |A negro or negress. Shak.
blackball |1. A composition for blacking shoes, boots, etc.; also, one for taking impressions of engraved work. 2. A ball of black color, esp. one used as a negative in voting; -- in this sense usually two words.\n\n1. To vote against, by putting a black ball into a ballot box; to reject or exclude, as by voting against with black balls; to ostracize. He was blackballed at two clubs in succession. Thackeray. 2. To blacken (leather, shoes, etc.) with blacking.
blackband |An earthy carbonate of iron containing considerable carbonaceous matter; -- valuable as an iron ore.
blackberry |The fruit of several species of bramble (Rubus); also, the plant itself. Rubus fruticosus is the blackberry of England; R. villosus and R. Canadensis are the high blackberry and low blackberry of the United States. There are also other kinds.
blackbird |In England, a species of thrush (Turdus merula), a singing bird with a fin note; the merle. In America the name is given to several birds, as the Quiscalus versicolor, or crow blackbird; the Agelæus phoeniceus, or red-winged blackbird; the cowbird; the rusty grackle, etc. See Redwing.
blackbirder |A slave ship; a slaver. [Colloq.]  F. T. Bullen.
blackbirding |1. The kidnaping of negroes or Polynesians to be sold as slaves. 2.  The act or practice of collecting natives of the islands near Queensland for service on the Queensland sugar plantations. [Australia]
blackboard |A broad board painted black, or any black surface on which writing, drawing, or the working of mathematical problems can be done with chalk or crayons. It is much used in schools.
blackburnian warbler |A beautiful warbler of the United States (Dendroica Blackburniæ). The male is strongly marked with orange, yellow, and black on the head and neck, and has an orange-yellow breast.
blackcap |1. (Zoöl.) (a) A small European song bird (Sylvia atricapilla), with a black crown; the mock nightingale. (b) An American titmouse (Parus atricapillus); the chickadee. 2. (Cookery)  An apple roasted till black, to be served in a dish of boiled custard. 3. The black raspberry.
blackcoat |A clergyman; -- familiarly so called, as a soldier is sometimes called a redcoat or a bluecoat.
blackcock |The male of the European black grouse (Tetrao tetrix, Linn.); - - so called by sportsmen. The female is called gray hen. See Heath grouse.
blacken |1. To make or render black. While the long funerals blacken all the way. Pope 2. To make dark; to darken; to cloud. \"Blackened the whole heavens.\" South. 3. To defame; to sully, as reputation; to make infamous; as, vice blackens the character. Syn. -- To denigrate; defame; vilify; slander; calumniate; traduce; malign; asperse.\n\nTo grow black or dark.
blackener |One who blackens.
blackfeet |A tribe of North American Indians formerly inhabiting the country from the upper Missouri River to the Saskatchewan, but now much reduced in numbers.
blackfin |See Bluefin.
blackfish |1. (Zoöl.)  A small kind of whale, of the genus Globicephalus, of several species. The most common is G. melas. Also sometimes applied to other whales of larger size. 2. (Zoöl.)  The tautog of New England (Tautoga). 3. (Zoöl.)  The black sea bass (Centropristis atrarius) of the Atlantic coast. It is excellent food fish; -- locally called also black Harry. 4. (Zoöl.)  A fish of southern Europe (Centrolophus pompilus) of the Mackerel family. 5. (Zoöl.)  The female salmon in the spawning season. Note: The name is locally applied to other fishes.
blackfoot |Of or pertaining to the Blackfeet; as, a Blackfoot Indian. -- n.  A Blackfoot Indian.
blackguard |1. The scullions and lower menials of a court, or of a nobleman's household, who, in a removal from one residence to another, had charge of the kitchen utensils, and being smutted by them, were jocularly called the \"black guard\"; also, the servants and hangers-on of an army. [Obs.] A lousy slave, that . . . rode with the black guard in the duke's carriage, 'mongst spits and dripping pans. Webster (1612). 2. The criminals and vagrants or vagabonds of a town or community, collectively. [Obs.] 3. A person of stained or low character, esp. one who uses scurrilous language, or treats others with foul abuse; a scoundrel; a rough. A man whose manners and sentiments are decidedly below those of his class deserves to be called a blackguard. Macaulay. 4. A vagrant; a bootblack; a gamin. [Obs.]\n\nTo revile or abuse in scurrilous language. Southey.\n\nScurrilous; abusive; low; worthless; vicious; as, blackguard language.
blackguardism |The conduct or language of a blackguard; rufflanism.
blackguardly |In the manner of or resembling a blackguard; abusive; scurrilous; ruffianly.
blackhead |The scaup duck.
blackheart |A heart-shaped cherry with a very dark-colored skin.
blacking |1. Any preparation for making things black; esp. one for giving a black luster to boots and shoes, or to stoves. 2. The act or process of making black.
blackish |Somewhat black.
blacklead |To coat or to polish with black lead.
blackleg |1. A notorious gambler. [Colloq.] 2. A disease among calves and sheep, characterized by a settling of gelatinous matter in the legs, and sometimes in the neck. [Eng.]
blacklist |To put in a black list as deserving of suspicion, censure, or punishment; esp. to put in a list of persons stigmatized as insolvent or untrustworthy, -- as tradesmen and employers do for mutual protection; as, to blacklist a workman who has been discharged. See Black list, under Black, a. If you blacklist us, we will boycott you. John Swinton.
blackly |In a black manner; darkly, in color; gloomily; threateningly; atrociously. \"Deeds so blackly grim and horrid.\" Feltham.
blackmail |1. A certain rate of money, corn, cattle, or other thing, anciently paid, in the north of England and south of Scotland, to certain men who were allied to robbers, or moss troopers, to be by them protected from pillage. Sir W. Scott. 2. Payment of money exacted by means of intimidation; also, extortion of money from a person by threats of public accusation, exposure, or censure. 3. (Eng. Law)  Black rent, or rent paid in corn, flesh, or the lowest coin, a opposed to \"white rent\| which paid in silver. To levy blackmail| to extort money by threats| as of injury to one's reputation.\n\nTo extort money from by exciting fears of injury other than bodily harm| as injury to reputation| distress of mind| etc.; as| to blackmail a merchant by threatening to expose an alleged fraud. [U. S.]"
blackmailer |One who extorts, or endeavors to extort, money, by black mailing.
blackmailing |The act or practice of extorting money by exciting fears of injury other than bodily harm, as injury to reputation.
blackmoor |See Blackamoor.
blackness |The quality or state of being black; black color; atrociousness or enormity in wickedness. They're darker now than blackness. Donne.
blackpoll |A warbler of the United States (Dendroica striata).
blackroot |See Colicroot.
blacks |1. The name of a kind of in used in copperplate printing, prepared from the charred husks of the grape, and residue of the wine press. 2. Soot flying in the air. [Eng.] 3. Black garments, etc. See Black, n., 4.
blacksalter |One who,makes crude potash, or black salts.
blacksmith |1. A smith who works in iron with a forge, and makes iron utensils, horseshoes, etc. The blacksmith may forge what he pleases. Howell. 2. (Zoöl.)  A fish of the Pacific coast (Chromis, or Heliastes, punctipinnis), of a blackish color.
blacksnake |A snake of a black color, of which two species are common in the United States, the Bascanium constrictor, or racer, sometimes six feet long, and the Scotophis Alleghaniensis, seven or eight feet long. Note: The name is also applied to various other black serpents, as Natrix atra of Jamaica.
blackstrap |1. A mixture of spirituous liquor (usually rum) and molasses. No blackstrap to-night; switchel, or ginger pop. Judd. 2. Bad port wine; any commo wine of the Mediterranean; -- so called by sailors.
blacktail |1. (Zoöl.)  A fish; the ruff or pope. 2. (Zoöl.)  The black-tailed deer (Cervus or Cariacus Columbianus) of California and Oregon; also, the mule deer of the Rocky Mountains. See Mule deer.
blackthorn |(a) A spreading thorny shrub or small tree (Prunus spinosa), with blackish bark, and bearing little black plums, which are called sloes; the sloe. (b) A species of Cratægus or hawthorn (C. tomentosa). Both are used for hedges.
blackwash |1. (Med.)  A lotion made by mixing calomel and lime water. 2. A wash that blackens, as opposed to whitewash; hence, figuratively, calumny. To remove as far as he can the modern layers of black wash, and let the man himself, fair or foul, be seen. C. Kingsley.
blackwater state |Nebraska; -- a nickname alluding to the dark color of the water of its rivers, due to the presence of a black vegetable mold in the soil.
blackwood |A name given to several dark-colored timbers. The East Indian black wood is from the tree Dalbergia latifolia. Balfour.
blackwork |Work wrought by blacksmiths; -- so called in distinction from that wrought by whitesmiths. Knight.
bladder |1. (Anat.)  A bag or sac in animals, which serves as the receptacle of some fluid; as, the urinary bladder; the gall bladder; -- applied especially to the urinary bladder, either within the animal, or when taken out and inflated with air. 2. Any vesicle or blister, especially if filled with air, or a thin, watery fluid. 3. (Bot.)  A distended, membranaceous pericarp. 4. Anything inflated, empty, or unsound. \"To swim with bladders of philosophy.\" Rochester. Bladder nut, or Bladder tree (Bot.), a genus of plants (Staphylea) with bladderlike seed pods. -- Bladder pod (Bot.), a genus of low herbs (Vesicaria) with inflated seed pods. -- Bladdor senna (Bot.), a genus of shrubs (Colutea), with membranaceous, inflated pods. -- Bladder worm (Zoöl.), the larva of any species of tapeworm (Tænia), found in the flesh or other parts of animals. See Measle, Cysticercus. -- Bladder wrack (Bot.), the common black rock weed of the seacoast (Fucus nodosus and F. vesiculosus) -- called also bladder tangle. See Wrack.\n\n1. To swell out like a bladder with air; to inflate. [Obs.] G. Fletcher. 2. To put up in bladders; as, bladdered lard.
bladderwort |A genus (Utricularia) of aquatic or marshy plants, which usually bear numerous vesicles in the divisions of the leaves. These serve as traps for minute animals. See Ascidium.
bladdery |Having bladders; also, resembling a bladder.
blade |1. Properly, the leaf, or flat part of the leaf, of any plant, especially of gramineous plants. The term is sometimes applied to the spire of grasses. The crimson dulse . . . with its waving blade. Percival. First the blade, then ear, after that the full corn in the ear. Mark iv. 28. 2. The cutting part of an instrument; as, the blade of a knife or a sword. 3. The broad part of an oar; also, one of the projecting arms of a screw propeller. 4. The scapula or shoulder blade. 5. pl. (Arch.)  The principal rafters of a roof. Weale. 6. pl. (Com.)  The four large shell plates on the sides, and the five large ones of the middle, of the carapace of the sea turtle, which yield the best tortoise shell. De Colange. 7. A sharp-witted, dashing, wild, or reckless, fellow; -- a word of somewhat indefinite meaning. He saw a turnkey in a trice Fetter a troublesome blade. Coleridge.\n\nTo furnish with a blade.\n\nTo put forth or have a blade. As sweet a plant, as fair a flower, is faded As ever in the Muses' garden bladed. P. Fletcher.
bladebone |The scapula. See Blade, 4.
bladed |1. Having a blade or blades; as a two-bladed knife. Decking with liquid pearl the bladed grass. Shak. 2. Divested of blades; as, bladed corn. 3. (Min.)  Composed of long and narrow plates, shaped like the blade of a knife.
bladefish |A long, thin, marine fish of Europe (Trichiurus lepturus); the ribbon fish.
bladesmith |A sword cutler. [Obs.]
blady |Consisting of blades. [R.] \"Blady grass.\" Drayton.
blae |Dark blue or bluish gray; lead-colored. [Scot.]
blaeberry |The bilberry. [North of Eng. & Scot.]
blague |Mendacious boasting; falcefood; humbug.
blain |1. An inflammatory swelling or sore; a bulla, pustule, or blister. Blotches and blains must all his flesh emboss. Milton. 2. (Far.)  A bladder growing on the root of the tongue of a horse, against the windpipe, and stopping the breath.
blamable |Deserving of censure; faulty; culpable; reprehensible; censurable; blameworthy. -- Blam\"a*ble*ness, n. -- Blam\"a*bly (, adv.
blame |1. To censure; to express disapprobation of; to find fault with; to reproach. We have none to blame but ourselves. Tillotson. 2. To bring reproach upon; to blemish. [Obs.] She . . . blamed her noble blood. Spenser. To blame, to be blamed, or deserving blame; in fault; as, the conductor was to blame for the accident. You were to blame, I must be plain with you. Shak.\n\n1. An expression of disapprobation fir something deemed to be wrong; imputation of fault; censure. Let me bear the blame forever. Gen. xiiii. 9. 2. That which is deserving of censure or disapprobation; culpability; fault; crime; sin. Holy and without blame before him in love. Eph. i. 4. 3. Hurt; injury. [Obs.] Spenser. Syn. -- Censure; reprehension; condemnation; reproach; fault; sin; crime; wrongdoing.
blameful |1. Faulty; meriting blame. Shak. 2. Attributing blame or fault; implying or conveying censure; faultfinding; censorious. Chaucer. -- Blame\"ful*ly, adv. -- Blame\"ful*ness, n.
blameless |Free from blame; without fault; innocent; guiltless; -- sometimes followed by of. A bishop then must be blameless. 1 Tim. iii. 2. Blameless still of arts that polish to deprave. Mallet. We will be blameless of this thine oath. Josh. ii. 17. Syn. -- Irreproachable; sinless; unblemished; inculpable. -- Blameless, Spotless, Faultless, Stainless. We speak of a thing as blameless when it is free from blame, or the just imputation of fault; as, a blameless life or character. The others are stronger. We speak of a thing as faultless, stainless, or spotless, only when we mean that it is absolutely without fault or blemish; as, a spotless or stainless reputation; a faultless course of conduct. The last three words apply only to the general character, while blameless may be used in reverence to particular points; as, in this transaction he was wholly blameless. We also apply faultless to personal appearance; as, a faultless figure; which can not be done in respect to any of the other words.
blamelessly |In a blameless manner.
blamelessness |The quality or state of being blameless; innocence.
blamer |One who blames. Wyclif.
blameworthy |Deserving blame; culpable; reprehensible. -- Blame\"wor`thi*ness, n.
blanc |1. A white cosmetic. 2.  A white sauce of fat, broth, and vegetables, used esp. for braised meat.
blancard |A kind of linen cloth made in Normandy, the thread of which is partly blanches before it is woven.
blanch |1. To take the color out of, and make white; to bleach; as, to blanch linen; age has blanched his hair. 2. (Gardening)  To bleach by excluding the light, as the stalks or leaves of plants, by earthing them up or tying them together. 3. (Confectionery & Cookery) (a) To make white by removing the skin of, as by scalding; as, to blanch almonds. (b) To whiten, as the surface of meat, by plunging into boiling water and afterwards into cold, so as to harden the surface and retain the juices. 4. To give a white luster to (silver, before stamping, in the process of coining.). 5. To cover (sheet iron) with a coating of tin. 6. Fig.: To whiten; to give a favorable appearance to; to whitewash; to palliate. Blanch over the blackest and most absurd things. Tillotson. Syn. -- To Blanch, Whiten. To whiten is the generic term, denoting, to render white; as, to whiten the walls of a room. Usually (though not of necessity) this is supposed to be done by placing some white coloring matter in or upon the surface of the object in question. To blanch is to whiten by the removal of coloring matter; as, to blanch linen. So the cheek is blanched by fear, i. e., by the withdrawal of the blood, which leaves it white.\n\nTo grow or become white; as, his cheek blanched with fear; the rose blanches in the sun. [Bones] blanching on the grass. Tennyson.\n\n1. To avoid, as from fear; to evade; to leave unnoticed. [Obs.] Ifs and ands to qualify the words of treason, whereby every man might express his malice and blanch his danger. Bacon. I suppose you will not blanch Paris in your way. Reliq. Wot. 2. To cause to turn aside or back; as, to blanch a deer.\n\nTo use evasion. [Obs.] Books will speak plain, when counselors blanch. Bacon.\n\nOre, not in masses, but mixed with other minerals.
blanch holding |A mode of tenure by the payment of a small duty in white rent (silver) or otherwise.
blanchard lathe |A kind of wood-turning lathe for making noncircular and irregular forms, as felloes, gun stocks, lasts, spokes, etc., after a given pattern. The pattern and work rotate on parallel spindles in the same direction with the same speed, and the work is shaped by a rapidly rotating cutter whose position is varied by the pattern acting as a cam upon a follower wheel traversing slowly along the pattern.
blancher |One who, or that which, blanches or whitens; esp., one who anneals and cleanses money; also, a chemical preparation for this purpose.\n\nOne who, or that which, frightens away or turns aside. [Obs.] And Gynecia, a blancher, which kept the dearest deer from her. Sir P. Sidney. And so even now hath he divers blanchers belonging to the market, to let and stop the light of the gospel. Latimer.
blanchimeter |An instrument for measuring the bleaching power of chloride of lime and potash; a chlorometer. Ure.
blancmange |A preparation for desserts, etc., made from isinglass, sea moss, cornstarch, or other gelatinous or starchy substance, with mild, usually sweetened and flavored, and shaped in a mold.
