coincidental |Coincident.
come |1. To move hitherward; to draw near; to approach the speaker, or some place or person indicated; -- opposed to go. Look, who comes yonder Shak. I did not come to curse thee. Tennyson. 2. To complete a movement toward a place; to arrive. When we came to Rome. Acts xxviii. 16. Lately come from Italy. Acts vviii. 2. 3. To approach or arrive, as if by a journey or form a distance. \"Thy kingdom come.\" Matt. vi. 10. The hour is comming, and now is. John. v. 25. So quik bright things come to confusion. Shak. 4. To approach or arrive, as the result of a cause, or of the act of another. From whence come wars James iv. 1. Both riches and honor come of thee! Chron. xxix. 12. 5. To arrive in sight; to be manifest; to appear. Then butter does refuse to come. Hudibras. 6. To get to be, as the result of change or progress; -- with a predicate; as, to come united. How come you thus estranged Shak. How come her eyes so bright Shak. Note: Am come, is come, etc., are frequently used instead of have come, has come, etc., esp. in poetry. The verb to be gives adjectival significance to the participle as expressing a state or condition of the subject, while the auxiliary have expresses simply the completion of the action signified by the verb. Think not that I am come to destroy. Matt. v. 17. We are come off like Romans. Shak. The melancholy days are come, the saddest of the year. Bryant. Note: Come may properly be used (instead of go) in speaking of a movement hence, or away, when there is reference to an approach to the person addressed; as, I shall come home next week; he will come to your house to-day. It is used with other verbs almost as an auxiliary, indicative of approach to the action or state expressed by the verb; as, how came you to do it Come is used colloquially, with reference to a definite future time approaching, without an auxilliary; as, it will be two years, come next Christmas; i. e., when Christmas shall come. They were cried In meeting, come next Sunday. Lowell. Come, in the imperative, is used to excite attention, or to invite to motion or joint action; come, let us go. \"This is the heir; come, let us kill him.\" Matt. xxi. 38. When repeated, it sometimes expresses haste, or impatience, and sometimes rebuke. \"Come, come, no time for lamentation now.\" Milton. To come, yet to arrive, future. \"In times to come.\" Dryden. \"There's pippins and cheese to come.\" Shak. -- To come about. (a) To come to pass; to arrive; to happen; to result; as, how did these things come about (b) To change; to come round; as, the ship comes about. \"The wind is come about.\" Shak. On better thoughts, and my urged reasons, They are come about, and won to the true side. B. Jonson. -- To come abroad. (a) To move or be away from one's home or country. \"Am come abroad to see the world.\" Shak. (b) To become public or known. [Obs.] \"Neither was anything kept secret, but that it should come abroad.\" Mark. iv. 22. -- To come across, to meet; to find, esp. by chance or suddenly. \"We come across more than one incidental mention of those wars.\" E. A. Freeman. \"Wagner's was certainly one of the strongest and most independent natures I ever came across.\" H. R. Heweis. -- To come after. (a) To follow. (b) To come to take or to obtain; as, to come after a book. -- To come again, to return. \"His spirit came again and he revived.\" Judges. xv. 19. -- To come and go. (a) To appear and disappear; to change; to alternate. \"The color of the king doth come and go.\" Shak. (b) (Mech.) To play backward and forward. -- To come at. (a) To reach; to arrive within reach of; to gain; as, to come at a true knowledge of ourselves. (b) To come toward; to attack; as, he came at me with fury. -- To come away, to part or depart. -- To come between, to interverne; to separate; hence, to cause estrangement. -- To come by. (a) To obtain, gain, acquire. \"Examine how you came by all your state.\" Dryden. (b) To pass near or by way of. -- To come down. (a) To descend. (b) To be humbled. -- To come down upon, to call to account, to reprimand. [Colloq.] Dickens. -- To come home. (a) To retuen to one's house or family. (b) To come close; to press closely; to touch the feelings, interest, or reason. (b) (Naut.) To be loosened from the ground; -- said of an anchor. -- To come in. (a) To enter, as a town, house, etc. \"The thief cometh in.\" Hos. vii. 1. (b) To arrive; as, when my ship comes in. (c) To assume official station or duties; as, when Lincoln came in. (d) To comply; to yield; to surrender. \"We need not fear his coming in\" Massinger. (e) To be brought into use. \"Silken garments did not come in till late.\" Arbuthnot. (f) To be added or inserted; to be or become a part of. (g) To accrue as gain from any business or investment. (h) To mature and yield a harvest; as, the crops come in well. (i) To have sexual intercourse; -- with to or unto. Gen. xxxviii. 16. (j) To have young; to bring forth; as, the cow will come in next May. [U. S.] -- To come in for, to claim or receive. \"The rest came in for subsidies.\" Swift. -- To come into, to join with; to take part in; to agree to; to comply with; as, to come into a party or scheme. -- To come it ever, to hoodwink; to get the advantage of. [Colloq.] -- To come near or nigh, to approach in place or quality to be equal to. \"Nothing ancient or modern seems to come near it.\" Sir W. Temple. -- To come of. (a) To descend or spring from. \"Of Priam's royal race my mother came.\" Dryden. (b) To result or follow from. \"This comes of judging by the eye.\" L'Estrange. -- To come off. (a) To depart or pass off from. (b) To get free; to get away; to escape. (c) To be carried through; to pass off; as, it came off well. (d) To acquit one's self; to issue from (a contest, etc.); as, he came off with honor; hence, substantively, a come off, an escape; an excuse; an evasion. [Colloq.] (e) To pay over; to give. [Obs.] (f) To take place; to happen; as, when does the race come off (g) To be or become after some delay; as, the weather came off very fine. (h) To slip off or be taken off, as a garment; to separate. (i) To hurry away; to get through. Chaucer. -- To come off by, to suffer. [Obs.] \"To come off by the worst.\" Calamy. -- To come off from, to leave. \"To come off from these grave disquisitions.\" Felton. -- To come on. (a) To advance; to make progress; to thrive. (b) To move forward; to approach; to supervene. -- To come out. (a) To pass out or depart, as from a country, room, company, etc. \"They shall come out with great substance.\" Gen. xv. 14. (b) To become public; to appear; to be published. \"It is indeed come out at last.\" Bp. Stillingfleet. (c) To end; to result; to turn out; as, how will this affair come out he has come out well at last. (d) To be introduced into society; as, she came out two seasons ago. (e) To appear; to show itself; as, the sun came out. (f) To take sides; to take a stand; as, he came out against the tariff.(g) To publicly admit oneself to be homosexual. -- To come out with, to give publicity to; to disclose. -- To come over. (a) To pass from one side or place to another. \"Perpetually teasing their friends to come over to them.\" Addison. (b) To rise and pass over, in distillation. -- To come over to, to join. -- To come round. (a) To recur in regular course. (b) To recover. [Colloq.] (c) To change, as the wind. (d) To relent. J. H. Newman. (e) To circumvent; to wheedle. [Colloq.] -- To come short, to be deficient; to fail of attaining. \"All have sinned and come short of the glory of God.\" Rom. iii. 23. -- To come to. (a) To consent or yield. Swift. (b) (Naut.) (with the accent on to) To luff; to brin the ship's head nearer the wind; to anchor. (c) (with the accent on to) To recover, as from a swoon. (d) To arrive at; to reach. (e) To amount to; as, the taxes come to a large sum. (f) To fall to; to be received by, as an inheritance. Shak. -- To come to blows. See under Blow. -- To come to grief. See under Grief. -- To come to a head. (a) To suppurate, as a boil. (b) To mature; to culminate; as a plot. -- To come to one's self, to recover one's senses. -- To come to pass, to happen; to fall out. -- To come to the scratch. (a) (Prize Fighting) To step up to the scratch or mark made in the ring to be toed by the combatants in beginning a contest; hence: (b) To meet an antagonist or a difficulty bravely. [Colloq.] -- To come to time. (a) (Prize Fighting) To come forward in order to resume the contest when the interval allowed for rest is over and \"time\" is called; hence: (b) To keep an appointment; to meet expectations. [Colloq.] -- To come together. (a) To meet for business, worship, etc.; to assemble. Acts i. 6. (b) To live together as man and wife. Matt. i. 18. -- To come true, to happen as predicated or expected. -- To come under, to belong to, as an individual to a class. -- To come up (a) to ascend; to rise. (b) To be brought up; to arise, as a question. (c) To spring; to shoot or rise above the earth, as a plant. (d) To come into use, as a fashion. -- To come up the capstan (Naut.), to turn it the contrary way, so as to slacken the rope about it. -- To come up the tackle fall (Naut.), to slacken the tackle gently. Totten. -- To come up to, to rise to; to equal. -- To come up with, to overtake or reach by pursuit. -- To come upon. (a) To befall. (b) To attack or invade. (c) To have a claim upon; to become dependent upon for support; as, to come upon the town. (d) To light or chance upon; to find; as, to come upon hid treasure.\n\nTo carry through; to succeed in; as, you can't come any tricks here. [Slang] To come it, to succeed in a trick of any sort. [Slang]\n\nComing. Chaucer.
come-along |A gripping device, as for stretching wire, etc., consisting of two jaws so attached to a ring that they are closed by pulling on the ring.
come-outer |One who comes out or withdraws from a religious or other organization; a radical reformer. [Colloq. U. S.]
comedian |1. An actor or player in comedy. \"The famous comedian, Roscius.\" Middleton. 2. A writer of comedy. Milton.
comedienne |A women who plays in comedy.
comedietta |A dramatic sketch; a brief comedy.
comedo |A small nodule or cystic tumor, common on the nose, etc., which on pressure allows the escape of a yellow wormlike mass of retained oily secretion, with a black head (dirt).
comedown |A downfall; an humillation. [Colloq.]
comedy |A dramatic composition, or representation of a bright and amusing character, based upon the foibles of individuals, the manners of society, or the ludicrous events or accidents of life; a play in which mirth predominates and the termination of the plot is happy; -- opposed to tragedy. With all the vivacity if comedy. Macaulay. Are come to play a pleasant comedy. Shak.
comelily |In a suitable or becoming manner. [R.] Sherwood.
comeliness |The quality or state of being comely. Comeliness is a disposing fair Of things and actions in fit time and place. Sir J. Davies. Strength, comeliness of shape, or amplest merit. Milton. Comeliness signifies something less forcible than beauty, less elegant than grace, and less light than prettiness. Johnson.
comely |1. Pleasing or agreeable to the sight; well-proportioned; good- looking; handsome. He that is comely when old and decrepit, surely was very beautiful when he was young. South. Not once perceive their foul disfigurement But boast themselves more comely than before. Milton. 2. Suitable or becoming; proper; agreeable. This is a happier and more comely time Than when these fellows ran about the streets, Crying confusion. Shak. It is good to sing praises unto our God; for it is pleasant; and praise is comely. Ps. cxlvii. 1.\n\nIn a becoming manner. Ascham.
comer |One who comes, or who has come; one who has arrived, and is present. All comers, all who come, or offer, to take part in a matter, especially in a contest or controversy. \"To prove it against all comers.\" Bp. Stillingfleet.
comes |The answer to the theme (dux) in a fugue.
comessation |A reveling; a rioting. [Obs.] Bp. Hall.
comestible |Suitable to be eaten; eatable; esculent. Some herbs are most comestible. Sir T. Elyot.\n\nSomething suitable to be eaten; -- commonly in the plural. Thackeray.
comet |A member of the solar system which usually moves in an elongated orbit, approaching very near to the sun in its perihelion, and receding to a very great distance from it at its aphelion. A comet commonly consists of three parts: the nucleus, the envelope, or coma, and the tail; but one or more of these parts is frequently wanting. See Illustration in Appendix.
comet-finder |A telescope of low power, having a large field of view, used for finding comets.
comet-seeker |A telescope of low power, having a large field of view, used for finding comets.
cometarium |An instrument, intended to represent the revolution of a comet round the sun. Hutton.
cometary |Pertaining to, or resembling, a comet. Cheyne.
comether |1.  Matter; affair. 2.  Friendly communication or association. To put the, or one's, comether on, to exercise persuasion upon; to get under one's influence; to beguile; to wheedle. How does ut come about, sorr, that whin a man has put the comether on wan woman he's sure bound to put ut on another Kipling.
cometic |Relating to a comet.
cometographer |One who describes or writes about comets.
cometography |A description of, or a treatise concerning, comets.
cometology |The department of astronomy relating to comets.
comfit |A dry sweetmeat; any kind of fruit, root, or seed preserved with sugar and dried; a confection.\n\nTo preserve dry with sugar. The fruit which does so quickly waste, . . . Thou comfitest in sweets to make it last. Cowley.
comfiture |See Comfit, n.
comfort |1. To make strong; to invigorate; to fortify; to corroborate. [Obs.] Wyclif. God's own testimony . . . doth not a little comfort and confirm the same. Hooker. 2. To assist or help; to aid. [Obs.] I . . . can not help the noble chevalier: God comfort him in this necessity! Shak. 3. To impart strength and hope to; to encourage; to relieve; to console; to cheer, Light excelleth in comforting the spirits of men. Bacon. That we may be adle to comfort them that are in any affliction. 2 Cor. i. 4. (Rev. Ver. ). A perfect woman, nobly planned, To warn, to comfort, and command. Wordsworth. Syn. -- To cheer; solace; console; revive; encourage; enliven; invigorate; inspirit, gladden; recreate; exhilarate; refresh; animate; confirm; strengthen. -- To Comfort, Console, Solace. These verbs all suppose some antecedent state of suffering or sorrow. Console in confined to the act giving sympathetic relief to the mind under affliction or sorrow, and points to some definite source of that relief; as, the presence of his friend consoled him; he was much consoled by this intelligence. The act of consoling commonly implies the inculcation of resignation. Comfort points to relief afforded by the communication of positive pleasure, hope, and strength, as well as by the diminution of pain; as, \"They brought the young man alive, and were not a little comforted.\" Acts xx. 12. Note: Solace is from L. solacium, which means according to Dumesnil, consolation inwardly felt or applied to the case of the sufferer. Hence, the verb to solace denotes the using of things for the purpose of affording relief under sorrow or suffering; as, to solace one's self with reflections, with books, or with active employments.\n\n1. Assistance; relief; support. [Obs. except in the phrase \"aid and comfort.\" See 5 below.] Shak. 2. Encouragement; solace; consolation in trouble; also, that which affords consolation. In comfort of her mother's fears. Shak. Cheer thy spirit with this comfort. Shak. Speaking words of endearment where words of comfort availed not. Longfellow. 3. A state of quiet enjoyment; freedom from pain, want, or anxiety; also, whatever contributes to such a condition. I had much joy and comfort in thy love. Phil. 7 (Rev. Ver. ). He had the means of living in comfort. Macaulay. 4. A wadded bedquilt; a comfortable. [U. S.] 5. (Law)  Unlawful support, countenance, or encouragement; as, to give aid and comfort to the enemy. Syn. -- Comfort, Consolation. Comfort has two meanings: 1. Strength and relief received under affliction; 2. Positive enjoyment, of a quiet, permanent nature, together with the sources thereof; as, the comfort of love; surrounded with comforts; but it is with the former only that the word consolation is brought into comparison. As thus compared, consolation points to some specific source of relief for the afflicted mind; as, the consolations of religion. Comfort supposes the relief to be afforded by imparting positive enjoyment, as well as a diminution of pain. \"Consolation, or comfort, signifies some alleviation to that pain to which it is not in our power to afford the proper and adequate remedy; they imply rather an augmentation of the power of bearing, than a diminution of the burden.\" Johnson.
comfortable |1. Strong; vigorous; valiant. [Obs.] Wyclif. Thy conceit is nearer death than thy powers. For my sake be comfortable; hold death a while at the arm's end. Shak. 2. Serviceable; helpful. [Obs.] Be comfortable to my mother, your mistress, and make much of her. Shak. 3. Affording or imparting comfort or consolation; able to comfort; cheering; as, a comfortable hope. \"Kind words and comfortable.\" Cowper. A comfortable provision made for their subsistence. Dryden. 4. In a condition of comfort; having comforts; not suffering or anxious; hence, contented; cheerful; as, to lead a comfortable life. My lord leans wondrously to discontent; His comfortable temper has forsook him: He is much out of health. Shak. 5. Free, or comparatively free, from pain or distress; -- used of a sick person. [U. S.]\n\nA stuffed or quilted coverlet for a bed; a comforter; a comfort. [U. S.]
comfortableness |State of being comfortable or comforting manner. Speak ye comfortably to Jerusalem. Is. xl. 2.
comfortably |In a comfortable or comforting manner. Speak ye comfortably to Jerusalem. Is. xl. 2.
comforter |1. One who administers comfort or consolation. Let no comforter delight mine ear But such a one whose wrongs do suit with mine. Shak. 2. (Script.)  The Holy Spirit, -- reffering to his office of comforting believers. But the Comforter, which is the Holy Ghost, whom the Father will send in my name, he shall teach you all things. John xiv. 26. 3. A knit woolen tippet, long and narrow. [U. S.] The American schoolboy takes off his comforter and unbuttons his jacket before going in for a snowball fight. Pop. Sci. Monthly. 4. A wadded bedquilt; a comfortable. [U. S.] Job's comforter, a boil. [Colloq.]
comfortless |Without comfort or comforts; in want or distress; cheerless. Comfortless through turanny or might. Spenser. Syn. -- Forlorn; desolate; cheerless; inconsolable; disconsolate; wretched; miserable. -- Com\"fort*less*ly, adv. -- Com\"fort*less*ness, n. When all is coldly, comfortlessly costly. Milton.
comfortment |Act or process of administering comfort. [Obs.] The gentle comfortment and entertainment of the said embassador. Hakluyt.
comfortress |A woman who comforts. To be your comfortress, and to preserve you. B. Jonson.
comfrey |A rough, hairy, perennial plant of several species, of the genus Symphytum. Note: A decoction of the mucilaginous root of the \"common comfrey\" (S. officinale) is used in cough mixtures, etc.; and the gigantic \"prickly comfrey\" (S. asperrimum) is somewhat cultivated as a forage plant.
comic |1. Relating to comedy, as distinct from tragedy. I can not for the stage a drama lay, Tragic or comic, but thou writ'st the play. B. Jonson. 2. Causing mirth; ludicrous. \"Comic shows.\" Shak.\n\nA comedian. [Obs.] Steele.
comical |1. Relating to comedy. They deny it to be tragical because its catastrphe is a wedding, which hath ever been accounted comical. Gay. 2. Exciting mirth; droll; laughable; as, a comical story. \"Comical adventures.\" Dryden. Syn. -- Humorous; laughable; funny. See Droll. -- Com\"ic*al*ly, adv. -- Com\"ic*al\"ness, n.
comicality |The quality of being comical; something comical.
comicry |The power of exciting mirth; comicalness. [R.] H. Giles.
coming |1. Approaching; of the future, especially the near future; the next; as, the coming week or year; the coming exhibition. Welcome the coming, speed the parting, guest. Pope. Your coming days and years. Byron. 2. Ready to come; complaisant; fond. [Obs.] Pope.\n\n1. Approach; advent; manifestation; as, the coming of the train. 2. Specifically: The Second Advent of Christ. Coming in. (a) Entrance; entrance way; manner of entering; beginning. \"The goings out thereof, and the comings in thereof.\" Ezek. xliii. 11 (b) Income or revenue. \"What are thy comings in\" Shak.
comitia |A public assembly of the Roman people for electing officers or passing laws. Note: There were three kinds of comitia: comitia curiata, or assembly of the patricians, who voted in curiæ; comitia centuriata, or assembly of the whole Roman people, who voted by centuries; and comitia tributa, or assembly of the plebeians according to their division into tribes.
comitial |Relating to the comitia, or popular assembles of the Romans for electing officers and passing laws. Middleton.
comitiva |A body of followers; -- applied to the lawless or brigand bands in Italy and Sicily.
comity |Mildness and suavity of manners; courtesy between equals; friendly equals; friendly civility; as, comity of manners; the comity of States. Comity of nations (International Law), the courtesy by which nations recognize within their own territory, or in their courts, the peculiar institutions of another nation or the rights and privileges acquired by its citizens in their own land. By some authorities private international law rests on this comity, but the better opinion is that it is part of the common law of the land, and hence is obligatory as law. Syn. -- Civility; good breeding; courtesy; good will.
comma |1. A character or point [,] marking the smallest divisions of a sentence, written or printed. 2. (Mus.)  A small interval (the difference beyween a major and minor half step), seldom used except by tuners. Comma bacillus (Physiol.), a variety of bacillus shaped like a comma, found in the intestines of patients suffering from cholera. It is considered by some as having a special relation to the disease; -- called also cholera bacillus. -- Comma butterfly (Zoöl.), an American butterfly (Grapta comma), having a white comma-shaped marking on the under side of the wings.
command |1. To order with authority; to lay injunction upon; to direct; to bid; to charge. We are commanded to forgive our enemies, but you never read that we are commanded to forgive our friends. Bacon. Go to your mistress: Say, I command her come to me. Shak. 2. To exercise direct authority over; to have control of; to have at one's disposal; to lead. Monmouth commanded the English auxiliaries. Macaulay. Such aid as I can spare you shall command. Shak. 3. To have within a sphere of control, influence, access, or vision; to dominate by position; to guard; to overlook. Bridges commanded by a fortified house. Motley. Up to the eastern tower, Whose height commands as subject all the vale. Shak. One side commands a view of the finest garden. Addison. 4. To have power or influence of the nature of authority over; to obtain as if by ordering; to reeceive as a due; to challenge; to claim; as, justice commands the respect and affections of the people; the best goods command the best price. 'Tis not in mortals to command success. Addison. 5. To direct to come; to bestow. [Obs.] I will command my blessing upon you. Lev. xxv. 21. Syn. -- To bid; order; direct; dictate; charge; govern; rule; overlook.\n\n1. To have or to exercise direct authority; to govern; to sway; to influence; to give an order or orders. And reigned, commanding in his monarchy. Shak. For the king had so commanded concerning [Haman]. Esth. iii. 2. 2. To have a view, as from a superior position. Far and wide his eye commands. Milton.\n\n1. An authoritative order requiring obedience; a mandate; an injunction. A waiting what command their mighty chief Had to impose. Milton. 2. The possession or exercise of authority. Command and force may often create, but can never cure, an aversion. Locke. 3. Authority; power or right of control; leadership; as, the forces under his command. 4. Power to dominate, command, or overlook by means of position; scope of vision; survey. Te steepy stand Which overlooks the vale with wide command. Dryden. 5. Control; power over something; sway; influence; as, to have command over one's temper or voice; the fort has command of the bridge. He assumed an absolute command over his readers. Druden. 6. A body of troops, or any naval or military force or post, or the whole territory under the authority or control of a particular officer. Word of command (Mil.), a word or phrase of definite and established meaning, used in directing the movements of soldiers; as, aim; fire; shoulder arms, etc. Syn. -- Control; sway; power; authority; rule; dominion; sovereignty; mandate; order; injunction; charge; behest. See Direction.
commandable |Capable of being commanded.
commandant |A commander; the commanding officer of a place, or of a body of men; as, the commandant of a navy-yard.
commandatory |Mandatory; as, commandatory authority. [Obs.]
commandeer |1.  (Mil.)  To compel to perform military service; to seize for military purposes; -- orig. used of the Boers. 2.  To take arbitrary or forcible possession of. [Colloq.]
commander |1. A chief; one who has supreme authority; a leader; the chief officer of an army, or of any division of it. A leader and commander to the people. Is. lv. 4. 2. (Navy)  An officer who ranks next below a captain, -- ranking with a lieutenant colonel in the army. 3. The chief officer of a commandery. 4. A heavy beetle or wooden mallet, used in paving, in sail lofts, etc. Commander in chief, the military title of the officer who has supreme command of the land or naval forces or the united forces of a nation or state; a generalissimo. The President is commander in chief of the army and navy of the United States. Syn. -- See Chief.
commandership |The office of a commander.
commandery |1. The office or rank of a commander. [Obs.] 2. A district or a manor with lands and tenements appertaining thereto, under the control of a member of an order of knights who was called a commander; -- called also a preceptory. 3. An assembly or lodge of Knights Templars (so called) among the Freemasons. [U. S.] 4. A district under the administration of a military commander or governor. [R.] Brougham.
commanding |1. Exercising authority; actually in command; as, a commanding officer. 2. Fitted to impress or control; as, a commanding look or presence. 3. Exalted; overlooking; having superior strategic advantages; as, a commanding position. Syn. -- Authoritative; imperative; imperious.
commandingly |In a commanding manner.
commandment |1. An order or injunction given by authority; a command; a charge; a precept; a mandate. A new commandment I give unto you, that ye love one another. John xiii. 34. 2. (Script.)  One of the ten laws or precepts given by God to the Israelites at Mount Sinai. 3. The act of commanding; exercise of authority. And therefore put I on the countenance Of stern commandment. Shak. 4. (Law)  The offense of commanding or inducing another to violate the law. The Commandments, The Ten Commandments, the Decalogue, or summary of God's commands, given to Moses at Mount Sinai. (Ex. xx.)
commando |In South Africa, a military body or command; also, sometimes, an expedition or raid; as, a commando of a hundred Boers. The war bands, called commandos, have played a great part in the . . . military history of the country. James Bryce.
commandress |A woman invested with authority to command. Hooker.
commandry |See Commandery.
commark |The frontier of a country; confines. [Obs.] Shelton.
commaterial |Consisting of the same material. [Obs.] Bacon.
commatic |Having short clauses or sentences; brief; concise.
commatism |Conciseness in writing. Bp. Horsley.
commeasurable |Having the same measure; commensurate; proportional. She being now removed by death, a commeasurable grief took as full possession of him as joy had one. I. Walton.
commeasure |To be commensurate with; to equal. Tennyson.
commemorable |Worthy to be commemorated.
commemorate |To call to remembrance by a special act or observance; to celebrate with honor and solemnity; to honor, as a person or event, by some act of respect of affection, intended to preserve the remembrance of the person or event; as, to commemorate the sufferings and dying love of our Savior by the sacrament of the Lord's Supper; to commemorate the Declaration of Independence by the observance of the Fourth of July. We are called upon to commemorate a revolution. Atterbury. Syn. -- See Celebrate.
commemoration |1. The act of commemorating; an observance or celebration designed to honor the memory of some person or event. This sacrament was designed to be a standing commemoration of the death and passion of our Lord. Abp. Tillotson. The commonwealth which . . . chooses the most flagrant act of murderous regicide treason for a feast of eternal commemoration. Burke. 2. Whatever serves the purpose of commemorating; a memorial. Commemoration day, at the University of Oxford, Eng., an annual observance or ceremony in honor of the benefactors of the University, at which time honorary degrees are conferred.
commemorative |Tending or intended to commemorate. \"A sacrifice commemorative of Christ's offering up his body for us.\" Hammond. An inscription commemorative of his victory. Sir G. C. Lewis.
commemorator |One who commemorates.
commemoratory |Serving to commemorate; commomerative. Bp. Hooper.
commence |1. To have a beginning or origin; to originate; to start; to begin. Here the anthem doth commence. Shak. His heaven commences ere the world be past. Goldsmith. 2. To begin to be, or to act as. [Archaic] We commence judges ourselves. Coleridge. 3. To take a degree at a university. [Eng.] I question whether the formality of commencing was used in that age. Fuller.\n\nTo enter upon; to begin; to perform the first act of. Many a wooer doth commence his suit. Shak. Note: It is the practice of good writers to use the verbal noun (instead of the infinitive with to) after commence; as, he commenced studying, not he commenced to study.
commencement |1. The first existence of anything; act or fact of commencing; rise; origin; beginnig; start. The time of Henry VII . . . nearly coincides with the commencement of what is termed \"modern history.\" 2. The day when degrees are conferred by colleges and universities upon students and others.
commend |1. To commit, intrust, or give in charge for care or preservation. His eye commends the leading to his hand. Shak. Father, into thy hands I commend my spirit. Luke xxiii. 46. 2. To recommend as worthy of confidence or regard; to present as worthy of notice or favorable attention. Among the objects of knowlwdge, two especially commend themselves to our contemplation. Sir M. Hale. I commend unto you Phebe our sister. Rom. xvi. 1. 3. To mention with approbation; to praise; as, to commend a person or an act. Historians commend Alexander for weeping when he read the actions of Achilles. Dryden. 4. To mention by way of courtesy, implying remembrance and good will. [Archaic] Commend me to my brother. Shak.\n\n1. Commendation; praise. [Obs.] Speak in his just commend. Shak. 2. pl.  Compliments; greetings. [Obs.] Hearty commends and much endeared love to you. Howell.
commendable |Worthy of being commended or praised; laudable; praiseworthy. Order and decent ceremonies in the church are not only comely but commendable. Bacon. -- Com*mend\"a*ble*ness, n. -- Com*mend\"a*bly, adv.
commendam |A vacant living or benefice commended to a cleric (usually a bishop) who enjoyed the revenue until a pastor was provided. A living so held was said to be held in commendam. The practice was abolished by law in 1836. There was [formerly] some sense for commendams. Selden. Partnership in commendam. See under Partnership.
commendatary |One who holds a living in commendam.
commendation |1. The act of commending; praise; favorable representation in words; recommendation. Need we . . . epistles of commendatiom 2 Cor. iii. 1. By the commendation of the great officers. Bacon. 2. That which is the ground of approbation or praise. Good nature is the most godlike commendation of a man. Dryden. 3. pl.  A message of affection or respect; compliments; greeting. [Obs.] Hark you, Margaret; No princely commendations to my king Shak.
commendator |One who holds a benefice in commendam; a commendatary. Chalmers.
commendatory |1. Serving to commend; containing praise or commendation; commending; praising. \"Commendatory verses.\" Pope. 2. Holding a benefice in commendam; as, a commendatory bishop. Burke. Commendatory prayer (Book of Common Prayer), a prayer read over the dying. \"The commendatory prayer was said for him, and, as it ended, he [William III.] died.\" Bp. Burnet.\n\nA commendation; eulogy. [R.] \"Commendatories to our affection.\" Sharp.
commender |One who commends or praises.
commensal |1. One who eats at the same table. [Obs.] 2. (Zoöl.)  An animal, not truly parasitic, which lives in with, or on, another, partaking usually of the same food. Both species may be benefited by the association.\n\nHaving the character of a commensal.
commensalism |The act of eating together; table fellowship.
commensality |Fellowship at table; the act or practice of eating at the same table. [Obs.] \"Promiscuous commensality.\" Sir T. Browne.
commensation |Commensality. [Obs.] Daniel . . . declined pagan commensation. Sir T. Browne.
commensurability |The quality of being commersurable. Sir T. Browne.
commensurable |Having a common measure; capable of being exactly measured by the same number, quantity, or measure. -- Com*men\"su*ra*ble*ness, n. Commensurable numbers or quantities (Math.), those that can be exactly expressed by some common unit; thus a foot and yard are commensurable, since both can be expressed in terms of an inch, one being 12 inches, the other 36 inches. -- Numbers, or Quantities, commensurable in power, those whose squares are commensurable.
commensurably |In a commensurable manner; so as to be commensurable.
commensurate |1. To reduce to a common measure. Sir T. Browne. 2. To proportionate; to adjust. T. Puller\n\n1. Having a common measure; commensurable; reducible to a common measure; as, commensurate quantities. 2. Equal in measure or extent; proportionate. Those who are persuaded that they shall continue forever, can not choose but aspire after a hapiness commensurate to their duration. Tillotson.
commensurately |1. In a commensurate manner; so as to be equal or proportionate; adequately. 2. With equal measure or extent. Goodwin.
commensurateness |The state or quality of being commensurate. Foster.
commensuration |The act of commensurating; the state of being commensurate. All fitness lies in a particular commensuration, or proportion of one thing to another. South.
comment |To make remarks, observations, or criticism; especially, to write notes on the works of an author, with a view to illustrate his meaning, or to explain particular passages; to write annotations; -- often followed by on or upon. A physician to comment on your malady. Shak. Critics . . . proceed to comment on him. Dryden. I must translate and comment. Pope.\n\nTo comment on. [Archaic.] Fuller.\n\n1. A remark, observation, or criticism; gossip; discourse; talk. Their lavish comment when her name was named. Tennyson. 2. A note or observation intended to explain, illustrate, or criticise the meaning of a writing, book, etc.; explanation; annotation; exposition. All the volumes of philosophy, With all their comments. Prior.
commentary |1. A series of comments or annotations; esp., a book of explanations or expositions on the whole or a part of the Scriptures or of some other work. This letter . . . was published by him with a severe commentary. Hallam. 2. A brief account of transactions or events written hastily, as if for a memorandum; -- usually in the plural; as, Caesar's Commentaries on the Gallic War.
commentate |To write comments or notes upon; to make comments. [R.] Commentate upon it, and return it enriched. Lamb.
commentation |1. The act or process of commenting or criticising; exposition. [R.] The spirit of commentation. Whewell. 2. The result of the labors of a commentator.
commentator |One who writes a commentary or comments; an expositor; an annotator. The commentator's professed object is to explain, to enforce, to illustrate doctrines claimed as true. Whewell.
commentatorial |Pertaining to the making of commentaries. Whewell.
commentatorship |The office or occupation of a commentator.
commenter |One who makes or writes comments; a commentator; an annotator.
commentitious |Fictitious or imaginary; unreal; as, a commentitious system of religion. [Obs.] Warburton.
