theogonic |Of or relating to theogony.
thoroughstitch |So as to go the whole length of any business; fully; completely. [Obs.] Preservance alone can carry us thoroughstitch. L'Estrange.
thoroughwax |(a) An umbelliferous plant (Bupleurum rotundifolium) with perfoliate leaves. (b) Thoroughwort.
thoroughwort |Same as Boneset.
thorow |Through. [Obs.] \"Thorow bramble, pits, and floods.\" Beau. & Fl.\n\nThorough. [Obs.] Hakluyt.
thorp |A group of houses in the country; a small village; a hamlet; a dorp; -- now chiefly occurring in names of places and persons; as, Althorp, Mablethorpe. \"Within a little thorp I staid.\" Fairfax. Then thorpe and byre arose in fire. Tennyson.
thorpe |A group of houses in the country; a small village; a hamlet; a dorp; -- now chiefly occurring in names of places and persons; as, Althorp, Mablethorpe. \"Within a little thorp I staid.\" Fairfax. Then thorpe and byre arose in fire. Tennyson.
those |The plural of that. See That.
thoth |1. (Myth.)  The god of eloquence and letters among the ancient Egyptians, and supposed to be the inventor of writing and philosophy. He corresponded to the Mercury of the Romans, and was usually represented as a human figure with the head of an ibis or a lamb. 2. (Zoöl.)  The Egyptian sacred baboon.
thou |The second personal pronoun, in the singular number, denoting the person addressed; thyself; the pronoun which is used in addressing persons in the solemn or poetical style. Art thou he that should come Matt. xi. 3. Note: \"In Old English, generally, thou is the language of a lord to a servant, of an equal to an equal, and expresses also companionship, love, permission, defiance, scorn, threatening: whilst ye is the language of a servant to a lord, and of compliment, and further expresses honor, submission, or entreaty.\" Skeat. Note: Thou is now sometimes used by the Friends, or Quakers, in familiar discourse, though most of them corruptly say thee instead of thou.\n\nTo address as thou, esp. to do so in order to treat with insolent familiarity or contempt. If thou thouest him some thrice, it shall not be amiss. Shak.\n\nTo use the words thou and thee in discourse after the manner of the Friends. [R.]
though |Granting, admitting, or supposing that; notwithstanding that; if. Though he slay me, yet will I trust in him. Job xiii. 15. Not that I so affirm, though so it seem. Milton. Note: It is compounded with all in although. See Although. As though, as if. In the vine were three branches; and it was as though it budded. Gen. xl. 10.\n\nHowever; nevertheless; notwithstanding; -- used in familiar language, and in the middle or at the end of a sentence. I would not be as sick though for his place. Shak. A good cause would do well, though. Dryden.
thought |imp. & p. p. of Think.\n\n1. The act of thinking; the exercise of the mind in any of its higher forms; reflection; cogitation. Thought can not be superadded to matter, so as in any sense to render it true that matter can become cogitative. Dr. T. Dwight. 2. Meditation; serious consideration. Pride, of all others the most dangerous fault, Proceeds from want of sense or want of thought. Roscommon. 3. That which is thought; an idea; a mental conception, whether an opinion, judgment, fancy, purpose, or intention. Thus Bethel spoke, who always speaks his thought. Pope. Why do you keep alone, . . . Using those thoughts which should indeed have died With them they think on Shak. Thoughts come crowding in so fast upon me, that my only difficulty is to choose or to reject. Dryden. All their thoughts are against me for evil. Ps. lvi. 5. 4. Solicitude; anxious care; concern. Hawis was put in trouble, and died with thought and anguish before his business came to an end. Bacon. Take no thought for your life, what ye shall eat, or what ye shall drink. Matt. vi. 25. 5. A small degree or quantity; a trifle; as, a thought longer; a thought better. [Colloq.] If the hair were a thought browner. Shak. Note: Thought, in philosophical usage now somewhat current, denotes the capacity for, or the exercise of, the very highest intellectual functions, especially those usually comprehended under judgment. This [faculty], to which I gave the name of the \"elaborative faculty,\" -- the faculty of relations or comparison, -- constitutes what is properly denominated thought. Sir W. Hamilton. Syn. -- Idea; conception; imagination; fancy; conceit; notion; supposition; reflection; consideration; meditation; contemplation; cogitation; deliberation.
thought transference |Telepathy.
thoughtful |1. Full of thought; employed in meditation; contemplative; as, a man of thoughtful mind. War, horrid war, your thoughtful walks invades. Pope. 2. Attentive; careful; exercising the judgment; having the mind directed to an object; as, thoughtful of gain; thoughtful in seeking truth. Glanvill. 3. Anxious; solicitous; concerned. Around her crowd distrust, and doubt, and fear, And thoughtful foresight, and tormenting care. Prior. Syn. -- Considerate; deliberate; contemplative; attentive; careful; wary; circumspect; reflective; discreet. -- Thoughtful, Considerate. He who is habitually thoughtful rarely neglects his duty or his true interest; he who is considerate pauses to reflect and guard himself against error. One who is not thoughtful by nature, if he can be made considerate, will usually be guarded against serious mistakes. \"He who is thoughtful does not forget his duty; he who is considerate pauses, and considers properly what is his duty. It is a recommendation to a subordinate person to be thoughtful in doing what is wished of him; it is the recommendation of a confidential person to be considerate, as he has often Crabb. -- Thought\"ful*ly, adv. -- hought\"ful*ness, n.
thoughtless |1. Lacking thought; careless; inconsiderate; rash; as, a thoughtless person, or act. 2. Giddy; gay; dissipated. [R.] Johnson. 3. Deficient in reasoning power; stupid; dull. Thoughtless as monarch oaks that shade the plain. Dryden. -- Thought\"less*ly, adv. -- Thought\"less*ness, n.
thousand |1. The number of ten hundred; a collection or sum consisting of ten times one hundred units or objects. 2. Hence, indefinitely, a great number. A thousand shall fall at thy side, and ten thousand at thy right hand. Ps. xci. 7. Note: The word thousand often takes a plural form. See the Note under Hundred. 3. A symbol representing one thousand units; as, 1,000, M or CI.\n\n1. Consisting of ten hundred; being ten times one hundred. 2. Hence, consisting of a great number indefinitely. \"Perplexed with a thousand cares.\" Shak.
thousand legs |A millepid, or galleyworm; -- called also thousand-legged worm.
thousandfold |Multiplied by a thousand.
thousandth |1. Next in order after nine hundred and ninty-nine; coming last of a thousand successive individuals or units; -- the ordinal of thousand; as, the thousandth part of a thing. 2. Constituting, or being one of, a thousand equal parts into which anything is divided; the tenth of a hundredth. 3. Occurring as being one of, or the last one of, a very great number; very small; minute; -- used hyperbolically; as, to do a thing for the thousandth time.\n\nThe quotient of a unit divided by a thousand; one of a thousand equal parts into which a unit is divided.
thowel |(a) A thole pin. (b) A rowlock. I would sit impatiently thinking with what an unusual amount of noise the oars worked in the thowels. Dickens.
thowl |(a) A thole pin. (b) A rowlock. I would sit impatiently thinking with what an unusual amount of noise the oars worked in the thowels. Dickens.
thracian |Of or pertaining to Thrace, or its people. -- n.  A native or inhabitant of Thrace.
thrack |To load or burden; as, to thrack a man with property. [Obs.] South.
thrackscat |Metal still in the mine. [Obs.]
thraldom |The condition of a thrall; slavery; bondage; state of servitude. [Written also thralldom.] Women are born to thraldom and penance And to be under man's governance. Chaucer. He shall rule, and she in thraldom live. Dryden.
thrall |1. A slave; a bondman. Chaucer. Gurth, the born thrall of Cedric. Sir W. Scott. 2. Slavery; bondage; servitude; thraldom. Tennyson. He still in thrall Of all-subdoing sleep. Chapman. 3. A shelf; a stand for barrels, etc. [Prov. Eng.]\n\nOf or pertaining to a thrall; in the condition of a thrall; bond; enslaved. [Obs.] Spenser. The fiend that would make you thrall and bond. Chaucer.\n\nTo enslave. [Obs. or Poetic] Spenser.
thrall-less |(a) Having no thralls. (b) Not enslaved; not subject to bonds.
thrall-like |Resembling a thrall, or his condition, feelings, or the like; slavish. Servile and thrall-like fear. Milton.
thralldom |Thraldom.
thranite |One of the rowers on the topmost of the three benches in a trireme.
thrapple |Windpipe; throttle. [Prov. Eng. & Scot.]
thrash |1. To beat out grain from, as straw or husks; to beat the straw or husk of (grain) with a flail; to beat off, as the kernels of grain; as, to thrash wheat, rye, or oats; to thrash over the old straw. The wheat was reaped, thrashed, and winnowed by machines. H. Spencer. 2. To beat soundly, as with a stick or whip; to drub.\n\n1. To practice thrashing grain or the like; to perform the business of beating grain from straw; as, a man who thrashes well. 2. Hence, to labor; to toil; also, to move violently. I rather would be Mævius, thrash for rhymes, Like his, the scorn and scandal of the times. Dryden.
thrashel |An instrument to thrash with; a flail. [Obs. or Prov. Eng.] Halliwell.
thrasher |1. One who, or that which, thrashes grain; a thrashing machine. 2. (Zoöl.)  A large and voracious shark (Alopias vulpes), remarkable for the great length of the upper lobe of its tail, with which it beats, or thrashes, its prey. It is found both upon the American and the European coasts. Called also fox shark, sea ape, sea fox, slasher, swingle-tail, and thrasher shark. 3. (Zoöl.)  A name given to the brown thrush and other allied species. See Brown thrush. Sage thrasher. (Zoöl.) See under Sage. -- Thrasher whale (Zoöl.), the common killer of the Atlantic.
thrashing |a. & n. from Thrash, v. Thrashing floor, Threshing-floor, or Threshing floor, a floor or area on which grain is beaten out. -- Thrashing machine, a machine for separating grain from the straw.
thrasonical |Of or pertaining to Thraso; like, or becoming to, Thraso; bragging; boastful; vainglorious. -- Thra*son\"ic*al*ly, adv. Cæsar's thrasonical brag of 'I came, saw, and overcame.' Shak.
thraste |To thrust. [Obs.] Chaucer.
thrave |1. Twenty-four (in some places, twelve) sheaves of wheat; a shock, or stook. [Prov. Eng.] 2. The number of two dozen; also, an indefinite number; a bunch; a company; a throng. \"The worst of a thrave.\" [Obs.] Landsdowne MS. He sends forth thraves of ballads to the sale. Bp. Hall.
thraw |See Throse. [Scot.] Burns.
thread |1. A very small twist of flax, wool, cotton, silk, or other fibrous substance, drawn out to considerable length; a compound cord consisting of two or more single yarns doubled, or joined together, and twisted. 2. A filament, as of a flower, or of any fibrous substance, as of bark; also, a line of gold or silver. 3. The prominent part of the spiral of a screw or nut; the rib. See Screw, n., 1. 4. Fig.: Something continued in a long course or tenor; a,s the thread of life, or of a discourse. Bp. Burnet. 5. Fig.: Composition; quality; fineness. [Obs.] A neat courtier, Of a most elegant thread. B. Jonson. Air thread, the fine white filaments which are seen floating in the air in summer, the production of spiders; gossamer. -- Thread and thrum, the good and bad together. [Obs.] Shak. -- Thread cell (Zoöl.), a lasso cell. See under Lasso. -- Thread herring (Zoöl.), the gizzard shad. See under Gizzard. -- Thread lace, lace made of linen thread. -- Thread needle, a game in which children stand in a row, joining hands, and in which the outer one, still holding his neighbor, runs between the others; -- called also thread the needle.\n\n1. To pass a thread through the eye of; as, to thread a needle. 2. To pass or pierce through as a narrow way; also, to effect or make, as one's way, through or between obstacles; to thrid. Heavy trading ships . . . threading the Bosphorus. Mitford. They would not thread the gates. Shak. 3. To form a thread, or spiral rib, on or in; as, to thread a screw or nut.
thread-shaped |Having the form of a thread; filiform.
threadbare |1. Worn to the naked thread; having the nap worn off; threadbare clothes. \"A threadbare cope.\" Chaucer. 2. Fig.: Worn out; as, a threadbare subject; stale topics and threadbare quotations. Swift.
threadbareness |The state of being threadbare.
threaden |Made of thread; as, threaden sails; a threaden fillet. [Obs.] Shak.
threader |1. A device for assisting in threading a needle. 2. A tool or machine for forming a thread on a screw or in a nut.
threadfin |Any one of several species of fishes belonging to Polynemus and allied genera. They have numerous long pectoral filaments.
threadfish |(a) The cutlass fish. (b) A carangoid fish (Caranx gallus, or C. crinitus) having the anterior rays of the soft dorsal and anal fins prolonged in the form of long threads.
threadiness |Quality of being thready.
threadworm |Any long, slender nematode worm, especially the pinworm and filaria.
thready |1. Like thread or filaments; slender; as, the thready roots of a shrub. 2. Containing, or consisting of, thread.
threap |1. To call; to name. [Obs.] 2. To maintain obstinately against denial or contradiction; also, to contend or argue against (another) with obstinacy; to chide; as, he threaped me down that it was so. [Prov. Eng. & Scot.] Burns. 3. To beat, or thrash. [Prov. Eng.] Halliwell. 4. To cozen, or cheat. [Prov. Eng.] Halliwell.\n\nTo contend obstinately; to be pertinacious. [Prov. Eng. & Scot.] It's not for a man with a woman to threap. Percy's Reliques.\n\nAn obstinate decision or determination; a pertinacious affirmation. [Prov. Eng. & Scot.] He was taken a threap that he would have it finished before the year was done. Carlyle.
threat |The expression of an intention to inflict evil or injury on another; the declaration of an evil, loss, or pain to come; meance; threatening; denunciation. There is no terror, Cassius, in your threats. Shak.\n\nTo threaten. [Obs. or Poetic] Shak. Of all his threating reck not a mite. Chaucer. Our dreaded admiral from far they threat. Dryden.
threaten |1. To utter threats against; to menace; to inspire with apprehension; to alarm, or attempt to alarm, as with the promise of something evil or disagreeable; to warn. Let us straitly threaten them, that they speak henceforth to no man in this name. Acts iv. 17. 2. To exhibit the appearance of (something evil or unpleasant) as approaching; to indicate as impending; to announce the conditional infliction of; as, to threaten war; to threaten death. Milton. The skies look grimly And threaten present blusters. Shak. Syn. -- To menace. -- Threaten, Menace. Threaten is Anglo-Saxon, and menace is Latin. As often happens, the former is the more familiar term; the latter is more employed in formal style. We are threatened with a drought; the country is menaced with war. By turns put on the suppliant and the lord: Threatened this moment, and the next implored. Prior. Of the sharp ax Regardless, that o'er his devoted head Hangs menacing. Somerville.\n\nTo use threats, or menaces; also, to have a threatening appearance. Though the seas threaten, they are merciful. Shak.
threatener |One who threatens. Shak.
threatening |a. & n. from Threaten, v. -- Threat\"en*ing*ly, adv. Threatening letters (Law), letters containing threats, especially those designed to extort money, or to obtain other property, by menaces; blackmailing letters.
threatful |Full of threats; having a menacing appearance. Spenser. -- Threat\"ful*ly, adv.
threave |Same as Thrave. [Obs.]
three |One more than two; two and one. \"I offer thee three things.\" 2 Sam. xxiv. 12. Three solemn aisles approach the shrine. Keble. Note: Three is often joined with other words, forming compounds signifying divided into, composed of, or containing, three parts, portions, organs, or the like; as, three-branched, three-capsuled, three-celled, three-cleft, three-edged, three-foot, three-footed, three-forked, three-grained, three-headed, three-legged, three- mouthed, three-nooked, three-petaled, three-pronged, three-ribbed, three-seeded, three-stringed, three-toed, and the like.\n\n1. The number greater by a unit than two; three units or objects. 2. A symbol representing three units, as 3 or iii. Rule of three. (Arith.) See under Rule, n.
three-coat |Having or consisting of three coats; -- applied to plastering which consists of pricking-up, floating, and a finishing coat; or, as called in the United States, a scratch coat, browning, and finishing coat.
three-color |Designating, or pert. to, a photomechanical process employing printings in three colors, as red, yellow, and blue.
three-cornered |1. Having three corners, or angles; as, a three-cornered hat. 2. (Bot.)  Having three prominent longitudinal angles; as, a three- cornered stem.
three-decker |A vessel of war carrying guns on three decks.
three-flowered |Bearing three flowers together, or only three flowers.
three-handed |Said of games or contests where three persons play against each other, or two against one; as, a three-handed game of cards.
three-leafed |(a) Producing three leaves; as, three-leaved nightshade. (b) Consisting of three distinct leaflets; having the leaflets arranged in threes. Three-leaved nightshade. See Trillium.
three-leaved |(a) Producing three leaves; as, three-leaved nightshade. (b) Consisting of three distinct leaflets; having the leaflets arranged in threes. Three-leaved nightshade. See Trillium.
three-lobed |Having three lobes. Three-lobed leaf (Bot.), a leaf divided into three parts, the sinuses extending not more than half way to the middle, and either the parts of the sinuses being rounded.
three-mile |Of or pertaining to three miles; as, the three-mile limit, or the limit of the marine belt (the three-mile belt or zone) of three miles included in territorial waters (which see) of a state.
three-nerved |Having three nerves. Three-nerved leaf (Bot.), a leaf having three distinct and prominent ribs, or nerves, extending from the base.
three-parted |Divided into, or consisting of, three parts; tripartite. Three- parted leaf (Bot.), a leaf divided into three parts down to the base, but not entirely separate.
three-pile |An old name for the finest and most costly kind of velvet, having a fine, thick pile. I have served Prince Florizel and in my time wore three-pile. Shak.
three-piled |1. Having the quality of three-pile; best; most costly. [R.] Thou art good velvet; thou 'rt three-piled piece. Shak. 2. Fig.: Extravagant; exaggerated; high-flown. \"Three-piled hyperboles.\" Shak. 3. Accustomed to wearing three-pile; hence, of high rank, or wealth. [Obs.] \"Three-piled people.\" Beau. & Fl.
three-ply |Consisting of three distinct webs inwrought together in weaving, as cloth or carpeting; having three strands; threefold.
three-pointed |Having three acute or setigerous points; tricuspidate.
three-port |Having three ports; specif.: Designating a type of two-cycle internal-combustion engine in which the mixture enters the crank case through a port uncovered by the piston near the end of its stroke.
three-quarter |Measuring thirty inches by twenty-five; -- said of portraitures. Three-quarter length, a portrait showing the figure to the hips only.
three-score |Thrice twenty; sixty.
three-sided |Having three sides, especially three plane sides; as, a three- sided stem, leaf, petiole, peduncle, scape, or pericarp.
three-square |Having a cross section in the form of an equilateral triangle; -- said especially of a kind of file.
three-torque system of control |Any system of rudders by which the pilot can exert a turning moment about each of the three rectangular axes of an aëroplane or airship.
three-valved |Consisting of, or having, three valves; opening with three valves; as, a three-valved pericarp.
three-way |Connected with, or serving to connect, three channels or pipes; as, a three-way cock or valve.
threefold |Consisting of three, or thrice repeated; triple; as, threefold justice. A threefold cord is not quickly broken. Eccl. iv. 12.
threepence |A small silver coin of three times the value of a penny. [Eng.]
threepenny |Costing or worth three pence; hence, worth but little; poor; mean.
threne |Lamentation; threnody; a dirge. Shak. The threns . . . of the prophet Jeremiah. Jer. Taylor.
threnetic |Pertaining to a threne; sorrowful; mournful.
threnetical |Pertaining to a threne; sorrowful; mournful.
threnode |A threne, or threnody; a dirge; a funeral song.
threnodist |One who composes, delivers, or utters, a threnode, or threnody.
threnody |A song of lamentation; a threnode. Sir T. Herbert.
threpe |To call; to term. [Obs.] \"Luna silver we threpe.\" Chaucer.
threpsology |The doctrine of nutrition; a treatise on nutrition.
thresh |1. To beat out grain from, as straw or husks; to beat the straw or husk of (grain) with a flail; to beat off, as the kernels of grain; as, to thrash wheat, rye, or oats; to thrash over the old straw. The wheat was reaped, thrashed, and winnowed by machines. H. Spencer. 2. To beat soundly, as with a stick or whip; to drub.\n\n1. To practice thrashing grain or the like; to perform the business of beating grain from straw; as, a man who thrashes well. 2. Hence, to labor; to toil; also, to move violently. I rather would be Mævius, thrash for rhymes, Like his, the scorn and scandal of the times. Dryden.\n\nSame as Thrash. He would thresh, and thereto dike and delve. Chaucer.
thresh-fold |Threshold. [Obs.] Chaucer.
thresher |1. One who, or that which, thrashes grain; a thrashing machine. 2. (Zoöl.)  A large and voracious shark (Alopias vulpes), remarkable for the great length of the upper lobe of its tail, with which it beats, or thrashes, its prey. It is found both upon the American and the European coasts. Called also fox shark, sea ape, sea fox, slasher, swingle-tail, and thrasher shark. 3. (Zoöl.)  A name given to the brown thrush and other allied species. See Brown thrush. Sage thrasher. (Zoöl.) See under Sage. -- Thrasher whale (Zoöl.), the common killer of the Atlantic.\n\nSame as Thrasher.
threshold |1. The plank, stone, or piece of timber, which lies under a door, especially of a dwelling house, church, temple, or the like; the doorsill; hence, entrance; gate; door. 2. Fig.: The place or point of entering or beginning, entrance; outset; as, the threshold of life.
threshwold |Threshold. [Obs.]
threste |To thrust. [Obs.] Chaucer.
thretteen |Thirteen. [Obs. or Scot.]
thretty |Thirty. [Obs. or Scot.] Burns.
threw |imp. of Throw.
thribble |Triple; treble; threefold. [Prov. Eng. or Colloq.] Halliwell.
thrice |1. Three times. \"Thrice in vain.\" Spenser. Verily I say unto thee. That this night, before the cock crow, thou shalt deny me thrice. Matt. xxvi. 34. 2. In a threefold manner or degree; repeatedly; very. Thrice noble lord, let me entreat of you To pardon me. Shak. Thrice is he armed that hath his quarrel just. Shak. Note: Thrice is often used, generally with an intensive force, to form compounds which are usually of obvious meaning; as, in thrice- blessed, thrice-favored, thrice-hallowed, thrice-happy, thrice-told, and the like.
thricecock |The missel thrush. [Prov. Eng.]
thrid |Third. [Obs.] Chaucer.\n\n1. To pass through in the manner of a thread or a needle; to make or find a course through; to thread. Some thrid the mazy ringlets of her hair. Pope. And now he thrids the bramble bush. J. R. Drake. I began To thrid the musky-circled mazes. Tennyson. 2. To make or effect (a way or course) through something; as, to thrid one's way through a wood.\n\nThread; continuous line. [Archaic] I resume the thrid of my discourse. Dryden.
thrifallow |See Thryfallow, and Trifallow. [R.] Tusser.
thrift |1. A thriving state; good husbandry; economical management in regard to property; frugality. The rest, . . . willing to fall to thrift, prove very good husbands. Spenser. 2. Success and advance in the acquisition of property; increase of worldly goods; gain; prosperity. \"Your thrift is gone full clean.\" Chaucer. I have a mind presages me such thrift. Shak. 3. Vigorous growth, as of a plant. 4. (Bot.)  One of several species of flowering plants of the genera Statice and Armeria. Common thrift (Bot.), Armeria vulgaris; -- also called sea pink. Syn. -- Frugality; economy; prosperity; gain; profit.
thriftily |1. In a thrifty manner. 2. Carefully; properly; becomingly. [Obs.] A young clerk . . . in Latin thriftily them gret [greeted]. Chaucer.
thriftiness |The quality or state of being thrifty; thrift.
thriftless |Without thrift; not prudent or prosperous in money affairs. -- Thrift\"less*ly, adv. -- Thrift\"less*ness, n.
thrifty |1. Given to, or evincing, thrift; characterized by economy and good menegement of property; sparing; frugal. Her chaffer was so thrifty and so new. Chaucer. I am glad he hath so much youth and vigor left, of which he hath not been thrifty. Swift. 2. Thriving by industry and frugality; prosperous in the acquisition of worldly goods; increasing in wealth; as, a thrifty farmer or mechanic. 3. Growing rapidly or vigorously; thriving; as, a thrifty plant or colt. 4. Secured by thrift; well husbanded. [R.] I have five hundred crowns, The thrifty hire I saved under your father. Shak. 5. Well appearing; looking or being in good condition; becoming. [Obs.] I sit at home, I have no thrifty cloth. Chaucer. Syn. -- Frugal; sparing; economical; saving; careful.
thrill |A warbling; a trill.\n\nA breathing place or hole; a nostril, as of a bird.\n\n1. To perforate by a pointed instrument; to bore; to transfix; to drill. [Obs.] He pierced through his chafed chest With thrilling point of deadly iron brand. Spenser. 2. Hence, to affect, as if by something that pierces or pricks; to cause to have a shivering, throbbing, tingling, or exquisite sensation; to pierce; to penetrate. To bathe in flery floods, or to reside In thrilling region of thick- ribbed ice. Shak. Vivid and picturesque turns of expression which thrill the M. Arnold. The cruel word her tender heart so thrilled, That sudden cold did run through every vein. Spenser. 3. To hurl; to throw; to cast. [Obs.] I'll thrill my javelin. Heywood.\n\n1. To pierce, as something sharp; to penetrate; especially, to cause a tingling sensation that runs through the system with a slight shivering; as, a sharp sound thrills through the whole frame. I have a faint cold fear thrills through my veins. Shak. 2. To feel a sharp, shivering, tingling, or exquisite sensation, running through the body. To seek sweet safety out In vaults and prisons, and to thrill and shake. Shak.\n\n1. A drill. See 3d Drill, 1. 2. A sensation as of being thrilled; a tremulous excitement; as, a thrill of horror; a thrill of joy. Burns.
thrillant |Piercing; sharp; thrilling. [Obs.] \"His thrillant spear.\" Spenser.
thrilling |Causing a thrill; causing tremulous excitement; deeply moving; as, a thrilling romance. -- Thrill\"ing*ly, adv. -- Thrill\"ing*ness, n.
thring |To press, crowd, or throng. [Obs.] Chaucer.
thrips |Any one of numerous small species of Thysanoptera, especially those which attack useful plants, as the grain thrips (Thrips cerealium). Note: The term is also popularly applied to various other small injurious insects.
thrist |Thrist. [Obs.] Spenser.
thrittene |Thirteen. [Obs.] Chaucer.
thrive |1. To posper by industry, economy, and good management of property; to increase in goods and estate; as, a farmer thrives by good husbandry. Diligence and humility is the way to thrive in the riches of the understanding, as well as in gold. I. Watts. 2. To prosper in any business; to have increase or success. \"They by vices thrive.\" Sandys. O son, why sit we here, each other viewing Idly, while Satan, our great author, thrives Milton. And so she throve and prospered. Tennyson. 3. To increase in bulk or stature; to grow vigorously or luxuriantly, as a plant; to flourish; as, young cattle thrive in rich pastures; trees thrive in a good soil.
thriven |p. p. of Thrive.
thriver |One who thrives, or prospers.
thrivingly |In a thriving manner.
thrivingness |The quality or condition of one who thrives; prosperity; growth; increase. THRO' Thro'.  A contraction of Through.
throat |1. (Anat.) (a) The part of the neck in front of, or ventral to, the vertebral column. (b) Hence, the passage through it to the stomach and lungs; the pharynx; -- sometimes restricted to the fauces. I can vent clamor from my throat. Shak. 2. A contracted portion of a vessel, or of a passage way; as, the throat of a pitcher or vase. 3. (Arch.)  The part of a chimney between the gathering, or portion of the funnel which contracts in ascending, and the flue. Gwilt. 4. (Naut.) (a) The upper fore corner of a boom-and-gaff sail, or of a staysail. (b) That end of a gaff which is next the mast. (c) The angle where the arm of an anchor is joined to the shank. Totten. 5. (Shipbuilding)  The inside of a timber knee. 6. (Bot.)  The orifice of a tubular organ; the outer end of the tube of a monopetalous corolla; the faux, or fauces. Throat brails (Naut.), brails attached to the gaff close to the mast. -- Throat halyards (Naut.), halyards that raise the throat of the gaff. -- Throat pipe (Anat.), the windpipe, or trachea. -- To give one the lie in his throat, to accuse one pointedly of lying abominably. -- To lie in one's throat, to lie flatly or abominably.\n\n1. To utter in the throat; to mutter; as, to throat threats. [Obs.] Chapman. 2. To mow, as beans, in a direction against their bending. [Prov. Eng.]
throatband |Same as Throatlatch.
throatboll |The Adam's apple in the neck. [Obs. or R.] By the throatboll he caught Aleyn. Chaucer.
throating |A drip, or drip molding.
throatlatch |A strap of a bridle, halter, or the like, passing under a horse's throat.
throatwort |A plant (Campanula Trachelium) formerly considered a remedy for sore throats because of its throat-shaped corolla.
throaty |Guttural; hoarse; having a guttural voice. \"Hard, throaty words.\" Howell.
throb |To beat, or pulsate, with more than usual force or rapidity; to beat in consequence of agitation; to palpitate; -- said of the heart, pulse, etc. My heart Throbs to know one thing. Shak. Here may his head lie on my throbbing breast. Shak.\n\nA beat, or strong pulsation, as of the heart and arteries; a violent beating; a papitation: The IMPATIENT throbs and longings of a soul That pants and reaches after distant good. Addison.
throdden |To grow; to thrive. [Prov. Eng.] Grose.
throe |1. Extreme pain; violent pang; anguish; agony; especially, one of the pangs of travail in childbirth, or purturition. Prodogious motion felt, and rueful throes. Milton. 2. A tool for splitting wood into shingles; a frow.\n\nTo struggle in extreme pain; to be in agony; to agonize.\n\nTo put in agony. [R.] Shak.
thrombin |The fibrin ferment which produces the formation of fibrin from fibrinogen.
thrombosis |The obstruction of a blood vessel by a clot formed at the site of obstruction; -- distinguished from embolism, which is produced by a clot or foreign body brought from a distance. -- Throm*bot\"ic, a.
thrombus |(a) A clot of blood formed of a passage of a vessel and remaining at the site of coagulation. (b) A tumor produced by the escape of blood into the subcutaneous cellular tissue.
throne |1. A chair of state, commonly a royal seat, but sometimes the seat of a prince, bishop, or other high dignitary. The noble king is set up in his throne. Chaucer. High on a throne of royal state. Milton. 2. Hence, sovereign power and dignity; also, the one who occupies a throne, or is invested with sovereign authority; an exalted or dignified personage. Only in the throne will I be greater than thou. Gen. xli. 40. To mold a mighty state's decrees, And shape the whisper of the throne. Tennyson. 3. pl.  A high order of angels in the celestial hierarchy; -- a meaning given by the schoolmen. Milton. Great Sire! whom thrones celestial ceaseless sing. Young.\n\n1. To place on a royal seat; to enthrone. Shak. 2. To place in an elevated position; to give sovereignty or dominion to; to exalt. True image of the Father, whether throned In the bosom of bliss, and light of light. Milton.\n\nTo be in, or sit upon, a throne; to be placed as if upon a throne. Shak.
throneless |Having no throne.
throng |1. A multitude of persons or of living beings pressing or pressed into a close body or assemblage; a crowd. 2. A great multitude; as, the heavenly throng. Syn. -- Throng, Multitude, Crowd. Any great number of persons form a multitude; a throng is a large number of persons who are gathered or are moving together in a collective body; a crowd is composed of a large or small number of persons who press together so as to bring their bodies into immediate or inconvenient contact. A dispersed multitude; the throngs in the streets of a city; the crowd at a fair or a street fight. But these distinctions are not carefully observed. So, with this bold opposer rushes on This many-headed monster, multitude. Daniel. Not to know me argues yourselves unknown, The lowest of your throng. Milton. I come from empty noise, and tasteless pomp, From crowds that hide a monarch from himself. Johnson.\n\nTo crowd together; to press together into a close body, as a multitude of persons; to gather or move in multitudes. I have seen the dumb men throng to see him. Shak.\n\n1. To crowd, or press, as persons; to oppress or annoy with a crowd of living beings. Much people followed him, and thronged him. Mark v. 24. 2. To crowd into; to fill closely by crowding or pressing into, as a hall or a street. Shak.\n\nThronged; crowded; also, much occupied; busy. [Obs. or Prov. Eng.] Bp. Sanderson. To the intent the sick . . . should not lie too throng. Robynson (More's Utopia).
throngly |In throngs or crowds. [Obs.]
throp |A thorp. [Obs.] Chaucer.
thropple |The windpipe. [Prov. Eng.] Halliwell.\n\nTo throttle. [Prov. Eng.]
throstle |1. (Zoöl.)  The song thrush. See under Song. 2. A machine for spinning wool, cotton, etc., from the rove, consisting of a set of drawing rollers with bobbins and flyers, and differing from the mule in having the twisting apparatus stationary and the processes continuous; -- so called because it makes a singing noise. Throstle cock, the missel thrush. [Prov. Eng.]
throstling |A disease of bovine cattle, consisting of a swelling under the throat, which, unless checked, causes strangulation.
