mistrustless |Having no mistrust or suspicion. The swain mistrustless of his smutted face. Goldsmith.
monacid |Having one hydrogen atom replaceable by a negative or acid atom or radical; capable of neutralizing a monobasic acid; -- said of bases, and of certain metals.
monad |1. An ultimate atom, or simple, unextended point; something ultimate and indivisible. 2. (Philos. of Leibnitz)  The elementary and indestructible units which were conceived of as endowed with the power to produce all the changes they undergo, and thus determine all physical and spiritual phenomena. 3. (Zoöl.)  One of the smallest flangellate Infusoria; esp., the species of the genus Monas, and allied genera. 4. (Biol.)  A simple, minute organism; a primary cell, germ, or plastid. 5. (Chem.)  An atom or radical whose valence is one, or which can combine with, be replaced by, or exchanged for, one atom of hydrogen. Monad deme (Biol.), in tectology, a unit of the first order of individuality.
monadaria |The Infusoria.
monadelphia |A Linnæan class of plants having the stamens united into a tube, or ring, by the filaments, as in the Mallow family.
monadelphian |Of or pertaining to the Monadelphia; having the stamens united in one body by the filaments.
monadelphous |Of or pertaining to the Monadelphia; having the stamens united in one body by the filaments.
monadic |Of, pertaining to, or like, a monad, in any of its senses. See Monad, n. Dr. H. More.
monadical |Of, pertaining to, or like, a monad, in any of its senses. See Monad, n. Dr. H. More.
monadiform |Having the form of a monad; resembling a monad in having one or more filaments of vibratile protoplasm; as, monadiform young.
monadology |The doctrine or theory of monads.
monal |Any Asiatic pheasant of the genus Lophophorus, as the Impeyan pheasant.
monamide |An amido compound with only one amido group.
monamine |A basic compound containing one amido group; as, methyl amine is a monamine.
monander |One of the Monandria.
monandria |A Linnæan class of plants embracing those having but a single stamen.
monandrian |Same as Monandrous.
monandric |Of or pertaining to monandry; practicing monandry as a system of marriage.
monandrous |Of or pertaining to the monandria; having but one stamen.
monandry |The possession by a woman of only one husband at the same time; -- contrasted with polyandry.
monanthous |Having but one flower; one-flowered. Gray.
monarch |1. A sole or supreme ruler; a sovereign; the highest ruler; an emperor, king, queen, prince, or chief. He who reigns Monarch in heaven, ... upheld by old repute. Milton. 2. One superior to all others of the same kind; as, an oak is called the monarch of the forest. 3. A patron deity or presiding genius. Come, thou, monarch of the vine, Plumpy Bacchus. Shak. 4. (Zoöl.)  A very large red and black butterfly (Danais Plexippus); -- called also milkweed butterfly.\n\nSuperior to others; preëminent; supreme; ruling. \"Monarch savage.\" Pope.
monarchal |Pertaining to a monarch; suiting a monarch; sovoreign; regal; imperial. Satan, whom now transcendent glory raised Above his fellows, with monarchal pride. Milton.
monarchess |A female monarch. [Obs.]
monarchial |Monarchic. Burke.
monarchian |One of a sect in the early Christian church which rejected the doctrine of the Trinity; -- called also patripassian.
monarchic |Of or pertaining to a monarch, or to monarchy. Burke. -- Mo*nar\"chic*al*ly, adv.
monarchical |Of or pertaining to a monarch, or to monarchy. Burke. -- Mo*nar\"chic*al*ly, adv.
monarchism |The principles of, or preference for, monarchy.
monarchist |An advocate of, or believer in, monarchy.
monarchize |To play the sovereign; to act the monarch. [R.] Shak.\n\nTo rule; to govern. [R.]
monarchizer |One who monarchizes; also, a monarchist.
monarcho |The nickname of a crackbrained Italian who fancied himself an emperor. [Obs.] Shak.
monarchy |1. A state or government in which the supreme power is lodged in the hands of a monarch. 2. A system of government in which the chief ruler is a monarch. In those days he had affected zeal for monarchy. Macaulay. 3. The territory ruled over by a monarch; a kingdom. What scourage for perjury Can this dark monarchy afford false Clarence. Shak. Fifth monarchy, a universal monarchy, supposed to be the subject of prophecy in Daniel ii.; the four preceding monarchies being Assyrian, Persian, Grecian, and Roman. See Fifth Monarchy men, under Fifth.
monas |A genus of minute flagellate Infusoria of which there are many species, both free and attached. See Illust. under Monad.
monasterial |Of or pertaining to monastery, or to monastic life. -- Mon`as*te\"ri*al*ly, adv.
monastery |A house of religious retirement, or of secusion from ordinary temporal concerns, especially for monks; -- more rarely applied to such a house for females. Syn. -- Convent; abbey; priory. See Cloister.
monastic |A monk.\n\n1. Of or pertaining to monasteries, or to their occupants, rules, etc., as, monastic institutions or rules. 2. Secluded from temporal concerns and devoted to religion; recluse. \"A life monastic.\" Denham.
monastical |1. Of or pertaining to monasteries, or to their occupants, rules, etc., as, monastic institutions or rules. 2. Secluded from temporal concerns and devoted to religion; recluse. \"A life monastic.\" Denham.
monastically |In a monastic manner.
monasticism |The monastic life, system, or condition. Milman.
monasticon |A book giving an account of monasteries.
monatomic |(a) Consisting of, or containing, one atom; as, the molecule of mercury is monatomic. (b) Having the equivalence or replacing power of an atom of hydrogen; univalent; as, the methyl radical is monatomic.
monaxial |Having only one axis; developing along a single line or plane; as, monaxial development.
monazite |A mineral occurring usually in small isolated crystals, -- phosphate of the cerium metals.
monday |The second day of the week; the day following Sunday.
monde |The world; a globe as an ensign of royalty. [R.] A. Drummond. Le beau monde Etym: [F.], fashionable society. See Beau monde. -- Demi monde. See Demimonde.
mone |The moon. [Obs.] Chaucer.\n\nA moan. [Obs.] Chaucer.
monecian |See Monoecian, and Monoecious.
monecious |See Monoecian, and Monoecious.
monembryony |The condition of an ovule having but a single embryo. -- Mon*em`bry*on\"ic, a.
moner |One of the Monera.
monera |The lowest division of rhizopods, including those which resemble the amoebas, but are destitute of a nucleus.
moneral |Of or pertaining to the Monera.
moneran |Of or pertaining to the Monera. -- n.  One of the Monera.
moneron |One of the Monera.
monerula |A germ in that stage of development in which its form is simply that of a non-nucleated mass of protoplasm. It precedes the one- celled germ. So called from its likeness to a moner. Haeckel.
monesia |The bark, or a vegetable extract brought in solid cakes from South America and believed to be derived from the bark, of the tree Chrysophyllum glycyphloeum. It is used as an alterative and astringent.
monesin |The acrid principle of Monesia, sometimes used as a medicine.
monest |To warn; to admonish; to advise. [Obs.] Wyclif (2 Cor. v. 20).
monetary |Of or pertaining to money, or consisting of money; pecuniary. \"The monetary relations of Europe.\" E. Everett. Monetary unit, the standard of a national currency, as the dollar in the United States, the pound in England, the franc in France, the mark in Germany.
moneth |A month. [Obs.] Chaucer.
monetization |The act or process of converting into money, or of adopting as money; as, the monetization of silver.
monetize |To convert into money; to adopt as current money; as, to monetize silver.
money |1. A piece of metal, as gold, silver, copper, etc., coined, or stamped, and issued by the sovereign authority as a medium of exchange in financial transactions between citizens and with government; also, any number of such pieces; coin. To prevent such abuses, ... it has been found necessary ... to affix a public stamp upon certain quantities of such particular metals, as were in those countries commonly made use of to purchase goods. Hence the origin of coined money, and of those public offices called mints. A. Smith. 2. Any written or stamped promise, certificate, or order, as a government note, a bank note, a certificate of deposit, etc., which is payable in standard coined money and is lawfully current in lieu of it; in a comprehensive sense, any currency usually and lawfully employed in buying and selling. Note: Whatever, among barbarous nations, is used as a medium of effecting exchanges of property, and in the terms of which values are reckoned, as sheep, wampum, copper rings, quills of salt or of gold dust, shovel blades, etc., is, in common language, called their money. 3. In general, wealth; property; as, he has much money in land, or in stocks; to make, or lose, money. The love of money is a root of all kinds of evil. 1 Tim vi. 10 (Rev. Ver. ). Money bill (Legislation), a bill for raising revenue. -- Money broker, a broker who deals in different kinds of money; one who buys and sells bills of exchange; -- called also money changer. -- Money cowrie (Zoöl.), any one of several species of Cypræa (esp. C. moneta) formerly much used as money by savage tribes. See Cowrie. -- Money of account, a denomination of value used in keeping accounts, for which there may, or may not, be an equivalent coin; e.g., the mill is a money of account in the United States, but not a coin. -- Money order, an order for the payment of money; specifically, a government order for the payment of money, issued at one post office as payable at another; -- called also postal money order. -- Money scrivener, a person who produces the loan of money to others. [Eng.] -- Money spider, Money spinner (Zoöl.), a small spider; -- so called as being popularly supposed to indicate that the person upon whom it crawls will be fortunate in money matters. -- Money's worth, a fair or full equivalent for the money which is paid. -- A piece of money, a single coin. -- Ready money, money held ready for payment, or actually paid, at the time of a transaction; cash. -- To make money, to gain or acquire money or property; to make a profit in dealings.\n\nTo supply with money. [Obs.]
money-maker |1. One who coins or prints money; also, a counterfeiter of money. [R.] 2. One who accumulates money or wealth; specifically, one who makes money-getting his governing motive.
money-making |The act or process of making money; the acquisition and accumulation of wealth. Obstinacy in money-making. Milman.\n\n1. Affording profitable returns; lucrative; as, a money-making business. 2. Sussessful in gaining money, and devoted to that aim; as, a money- making man.
moneyage |1. A tax paid to the first two Norman kings of England to prevent them from debashing the coin. Hume. 2. Mintage; coinage. [Obs.]
moneyed |1. Supplied with money; having money; wealthy; as, moneyey men. Bacon. 2. Converted into money; coined. If exportation will not balance importation, away must your silver go again, whether moneyed or not moneyed. Locke. 3. Consisting in, or composed of, money. A. Hamilton.
moneyer |1. A person who deals in money; banker or broker. [Obs. or R.] 2. An authorized coiner of money. Sir M. Hale. The Company of Moneyers, the officials who formerly coined the money of Great Britain, and who claimed certain prescriptive rights and privileges.
moneyless |Destitute of money; penniless; impecunious. Swift.
moneywort |A trailing plant (Lysimachia Nummularia), with rounded opposite leaves and solitary yellow flowers in their axils.
mongcorn |See Mangcorn.
monger |1. A trader; a dealer; -- now used chiefly in composition; as, fishmonger, ironmonger, newsmonger. 2. A small merchant vessel. [Obs.] Blount.\n\nTo deal in; to make merchandise of; to traffic in; -- used chiefly of discreditable traffic.
mongol |One of the Mongols. -- a.  Of or pertaining to Mongolia or the Mongols.
mongolian |Of or pertaining to Mongolia or the Mongols. -- n.  One of the Mongols.
mongolians |One of the great races of man, including the greater part of the inhabitants of China, Japan, and the interior of Asia, with branches in Northern Europe and other parts of the world. By some American Indians are considered a branch of the Mongols. In a more restricted sense, the inhabitants of Mongolia and adjacent countries, including the Burats and the Kalmuks.
mongolic |See Mongolian.
mongoloid |Resembling a Mongol or the Mongols; having race characteristics, such as color, hair, and features, like those of the Mongols. Huxley.
mongols |One of the great races of man, including the greater part of the inhabitants of China, Japan, and the interior of Asia, with branches in Northern Europe and other parts of the world. By some American Indians are considered a branch of the Mongols. In a more restricted sense, the inhabitants of Mongolia and adjacent countries, including the Burats and the Kalmuks.
mongoos |A species of ichneumon (Herpestes griseus), native of India. Applied also to other allied species, as the African banded mongoose (Crossarchus fasciatus). [Written also mungoose, mungoos, mungous.]
mongoose |A species of ichneumon (Herpestes griseus), native of India. Applied also to other allied species, as the African banded mongoose (Crossarchus fasciatus). [Written also mungoose, mungoos, mungous.]
mongrel |The progeny resulting from a cross between two breeds, as of domestic animals; anything of mixed breed. Drayton.\n\n1. (Zoöl.)  Not of a pure breed. 2. Of mixed kinds; as, mongrel language.
mongrelize |To cause to be mongrel; to cross breeds, so as to produce mongrels. 'MONGST 'Mongst, prep.  See Amongst.
monied |See Moneyed.
monifier |A fossil fish.
moniliales |The largest of the three orders into which the Fungi Imperfecti are divided, including various forms.
moniliform |Joined or constricted, at regular intervals, so as to resemble a string of beads; as, a moniliform root; a moniliform antenna. See Illust. of Antenna.
moniment |Something to preserve memory; a reminder; a monument; hence, a mark; an image; a superscription; a record. [Obs.] Spenser.
monish |To admonish; to warn. See Admonish. [Archaic] Ascham.
monisher |One who monishes; an admonisher. [Archaic]
monishment |Admonition. [Archaic]
monism |1. (Metaph.)  That doctrine which refers all phenomena to a single ultimate constituent or agent; -- the opposite of dualism. Note: The doctrine has been held in three generic forms: matter and its phenomena have been explained as a modification of mind, involving an idealistic monism; or mind has been explained by and resolved into matter, giving a materialistic monism; or, thirdly, matter, mind, and their phenomena have been held to be manifestations or modifications of some one substance, like the substance of Spinoza, or a supposed unknown something of some evolutionists, which is capable of an objective and subjective aspect. 2. (Biol.)  See Monogenesis, 1.
monist |A believer in monism.
monistic |Of, pertaining to, or involving, monism.
monition |1. Instruction or advice given by way of caution; an admonition; a warning; a caution. Sage monitions from his friends. Swift. 2. Information; indication; notice; advice. We have no visible monition of ... other periods, such as we have of the day by successive light and darkness. Holder. 3. (Admiralty Practice)  A process in the nature of a summons to appear and answer. 4. (Eccl. Law)  An order monishing a party complained against to obey under pain of the law. Shipley.
monitive |Conveying admonition; admonitory. Barrow.
monitor |1. One who admonishes; one who warns of faults, informs of duty, or gives advice and instruction by way of reproof or caution. You need not be a monitor to the king. Bacon. 2. Hence, specifically, a pupil selected to look to the school in the absence of the instructor, to notice the absence or faults of the scholars, or to instruct a division or class. 3. (Zoöl.)  Any large Old World lizard of the genus Varanus; esp., the Egyptian species (V. Niloticus), which is useful because it devours the eggs and young of the crocodile. It is sometimes five or six feet long. 4. Etym: [So called from the name given by Captain Ericson, its designer, to the first ship of the kind.]  An ironclad war vessel, very low in the water, and having one or more heavily-armored revolving turrets, carrying heavy guns. 5. (Mach.)  A tool holder, as for a lathe, shaped like a low turret, and capable of being revolved on a vertical pivot so as to bring successively the several tools in holds into proper position for cutting. Monitor top, the raised central portion, or clearstory, of a car roof, having low windows along its sides.
monitor nozzle |A nozzle capable of turning completely round in a horizontal plane and having a limited play in a vertical plane, used in hydraulic mining, fire-extinguishing apparatus, etc.
monitorial |1. Of or pertaining to a monitor or monitors. 2. Done or performed by a monitor; as, monitorial work; conducted or taught by monitors; as, a monitorial school; monitorial instruction.
monitorially |In a monitorial manner.
monitorship |The post or office of a monitor.
monitory |Giving admonition; instructing by way of caution; warning. Losses, miscarriages, and disappointments, are monitory and instructive. L'Estrange.\n\nAdmonition; warning; especially, a monition proceeding from an ecclesiastical court, but not addressed to any one person.
monitress |A female monitor.
monitrix |A female monitor.
monk |1. A man who retires from the ordinary temporal concerns of the world, and devotes himself to religion; one of a religious community of men inhabiting a monastery, and bound by vows to a life of chastity, obedience, and poverty. \"A monk out of his cloister.\" Chaucer. Monks in some respects agree with regulars, as in the substantial vows of religion; but in other respects monks and regulars differ; for that regulars, vows excepted, are not tied up to so strict a rule of life as monks are. Ayliffe. 2. (Print.)  A blotch or spot of ink on a printed page, caused by the ink not being properly distributed. It is distinguished from a friar, or white spot caused by a deficiency of ink. 3. A piece of tinder made of agaric, used in firing the powder hose or train of a mine. 4. (Zoöl.) (a) A South American monkey (Pithecia monachus); also applied to other species, as Cebus xanthocephalus. (b) The European bullfinch. Monk bat (Zoöl.), a South American and West Indian bat (Molossus nasutus); -- so called because the males live in communities by themselves. -- Monk bird(Zoöl.), the friar bird. -- Monk seal (Zoöl.), a species of seal (Monachus albiventer) inhabiting the Black Sea, the Mediterranean Sea, and the adjacent parts of the Atlantic. -- Monk's rhubarb (Bot.), a kind of dock; -- also called patience (Rumex Patientia).
monkery |1. The life of monks; monastic life; monastic usage or customs; -- now usually applied by way of reproach. Miters, and wretched dead mediæval monkeries. Carlyle. 2. A collective body of monks. [Obs.] Though he have a whole monkery to sing for him. Latimer.
monkey |1. (Zoöl.) (a) In the most general sense, any one of the Quadrumana, including apes, baboons, and lemurs. (b) Any species of Quadrumana, except the lemurs. (c) Any one of numerous species of Quadrumana (esp. such as have a long tail and prehensile feet) exclusive of apes and baboons. Note: The monkeys are often divided into three groups: (a) Catarrhines, or Simidæ. These have an oblong head, with the oblique flat nostrils near together. Some have no tail, as the apes. All these are natives of the Old World. (b) Platyrhines, or Cebidæ. These have a round head, with a broad nasal septum, so that the nostrils are wide apart and directed downward. The tail is often prehensile, and the thumb is short and not opposable. These are natives of the New World. (c) Strepsorhines, or Lemuroidea. These have a pointed head with curved nostrils. They are natives of Southern Asia, Africa, and Madagascar. 2. A term of disapproval, ridicule, or contempt, as for mischievous child. This is the monkey's own giving out; she is persuaded I will marry her. Shak. 3. The weight or hammer of a pile driver, that is, a very heavy mass of iron, which, being raised on high, falls on the head of the pile, and drives it into the earth; the falling weight of a drop hammer used in forging. 4. A small trading vessel of the sixteenth century. Monkey boat. (Naut.) (a) A small boat used in docks. (b) A half-decked boat used on the River Thames. -- Monkey block (Naut.), a small single block strapped with a swivel. R. H. Dana, Jr. -- Monkey flower (Bot.), a plant of the genus Mimulus; -- so called from the appearance of its gaping corolla. Gray. -- Monkey gaff (Naut.), a light gaff attached to the topmast for the better display of signals at sea. -- Monkey jacket, a short closely fitting jacket, worn by sailors. -- Monkey rail (Naut.), a second and lighter rail raised about six inches above the quarter rail of a ship. -- Monkey shine, monkey trick. [Slang, U.S.] -- Monkey trick, a mischievous prank. Saintsbury. -- Monkey wheel. See Gin block, under 5th Gin. -- Monkey wrench, a wrench or spanner having a movable jaw.\n\nTo act or treat as a monkey does; to ape; to act in a grotesque or meddlesome manner. To monkey with, to handle in a meddlesome manner. [Colloq.]
monkey-bread |The fruit of the Adansonia digitata; also, the tree. See Adansonia.
monkey-cup |See Nepenthes.
monkey-pot |The fruit of two South American trees (Lecythis Ollaria, and L. Zabucajo), which have for their fruit large, pot-shaped, woody capsules containing delicious nuts, and opening almost explosively by a circular lid at the top. Vases and pots are made of this capsule. MONKEY'S PUZZLE Mon\"key's puz\"zle. (Bot.)  A lofty coniferous Chilian tree (Araucaria imbricata), the branches of which are so crowded and intertwisted \"as to puzzle a monkey to climb.\" The edible nuts are over an inch long, and are called piñon by the Chilians.
monkeytail |A short, round iron bar or lever used in naval gunnery. Totten.
monkfish |(a) The angel fish (Squatina). (b) The angler (Lophius).
monkflower |A name of certain curious orchids which bear three kinds of flowers formerly referred to three genera, but now ascertained to be sexually different forms of the same genus (Catasetum tridentatum, etc.).
monkhood |1. The character or condition of a monk. Atterbury. 2. Monks, regarded collectively. Longfellow.
monking |Monkish. [R.] Coleridge.
monkish |Like a monk, or pertaining to monks; monastic; as, monkish manners; monkish dress; monkish solitude. -- Monk\"ish*ness, n.
monkly |Like, or suitable to, a monk. [R.]
monkshood |A plant of the genus Aconitum; aconite. See Aconite. MONK'S SEAM Monk's\" seam`. (Naut.)  An extra middle seam made at the junction of two breadths of canvas, ordinarily joined by only two rows of stitches.
mono |The black howler of Central America (Mycetes villosus).
mono- |A prefix signifying one, single, alone; as, monocarp, monopoly; (Chem.) indicating that a compound contains one atom, radical, or group of that to the name of which it is united; as, monoxide, monosulphide, monatomic, etc.
monobasic |Capable of being neutralized by a univalent base or basic radical; having but one acid hydrogen atom to be replaced; -- said of acids; as, acetic, nitric, and hydrochloric acids are monobasic.
monocarbonic |Containing one carboxyl group; as, acetic acid is a monocarbonic acid.
monocardian |Having a single heart, as fishes and amphibians. -- n.  An animal having a single heart.
monocarp |A monocarpic plant.
monocarpellary |Consisting of a single carpel, as the fruit of the pea, cherry, and almond.
monocarpic |Bearing fruit but once, and dying after fructification, as beans, maize, mustard, etc. Note: Annual and biennual herbs are monocarpic, so also some plants of longer duration, as the century plant.
monocarpous |Bearing fruit but once, and dying after fructification, as beans, maize, mustard, etc. Note: Annual and biennual herbs are monocarpic, so also some plants of longer duration, as the century plant.
monocephalous |Having a solitary head; -- said of unbranched composite plants.
monoceros |1. A one-horned creature; a unicorn; a sea monster with one horn. Mighty monoceroses with immeasured tails. Spenser. 2. (Astron.)  The Unicorn, a constellation situated to the east Orion.
monochlamydeous |Having a single floral envelope, that is, a calyx without a corolla, or, possibly, in rare cases, a corolla without a calyx.
monochord |An instrument for experimenting upon the mathematical relations of musical sounds. It consists of a single string stretched between two bridges, one or both of which are movable, and which stand upon a graduated rule for the purpose of readily changing and measuring the length of the part of the string between them.
monochromatic |Consisting of one color, or presenting rays of light of one color only. Monochromatic lamp (Opt.),a lamp whose flame yields rays of some one homogenous light. It is of great importance in optical experiments.
monochrome |A painting or drawing in a single color; a picture made with a single color.
monochromic |Made, or done, with a single color; as, a monochromic picture.
monochromy |The art of painting or drawing in monochrome.
monochronic |Existing at the same time; contemporaneous.
monociliated |Having but one cilium.
monocle |An eyeglass for one eye. Simmonds.
monoclinal |Having one oblique inclination; -- applied to strata that dip in only one direction from the axis of elevation.
monocline |A monoclinal fold.
monoclinic |Having one oblique intersection; -- said of that system of crystallization in which the vertical axis is inclined to one, but at right angles to the other, lateral axis. See Crystallization.
monoclinous |Hermaphrodite, or having both stamens and pistils in every flower.
monocondyla |A group of vertebrates, including the birds and reptiles, or those that have only one occipital condyle; the Sauropsida.
monocotyl |Any monocotyledonous plant.
monocotyle |Monocotyledonous.
monocotyledon |A plant with only one cotyledon, or seed lobe. Note: The plural, monocotyledons, is used as the name of a large class of plants, and is generally understood to be equivalent to the term endogens.
monocotyledonous |Having only one cotyledon, seed lobe, or seminal leaf. Lindley.
monocracy |Government by a single person; undivided rule. Sydney Smith.
monocrat |One who governs alone.
monocrotic |Of, pertaining to, or showing, monocrotism; as, a monocrotic pulse; a pulse of the monocrotic type.
monocrotism |That condition of the pulse in which the pulse curve or sphygmogram shows but a single crest, the dicrotic elevation entirely disappearing.
monocular |1. Having only one eye; with one eye only; as, monocular vision. 2. Adapted to be used with only one eye at a time; as, a monocular microscope.
monocule |A small crustacean with one median eye.
monoculous |Monocular. Glanvill.
monocystic |Of or pertaining to a division (Monocystidea) of Gregarinida, in which the body consists of one sac.
monodactylous |Having but one finger or claw.
monodelph |One of the Monodelphia.
monodelphia |The group that includes all ordinary or placental mammals; the Placentalia. See Mammalia.
monodelphian |One of the Monodelphia.
monodelphic |Of or pertaining to the Monodelphia.
monodelphous |Of or pertaining to the Monodelphia.
monodic |1. Belonging to a monody. 2. (Mus.) (a) For one voice; monophonic. (b) Homophonic; -- applied to music in which the melody is confined to one part, instead of being shared by all the parts as in the style called polyphonic.
