kakistocracy |Government by the worst men.
kind |1. Characteristic of the species; belonging to one's nature; natural; native. [Obs.] Chaucer. It becometh sweeter than it should be, and loseth the kind taste. Holland. 2. Having feelings befitting our common nature; congenial; sympathetic; as, a kind man; a kind heart. Yet was he kind, or if severe in aught, The love he bore to learning was his fault. Goldsmith. 3. Showing tenderness or goodness; disposed to do good and confer happiness; averse to hurting or paining; benevolent; benignant; gracious. He is kind unto the unthankful and to evil. Luke vi 35. O cruel Death, to those you take more kind Than to the wretched mortals left behind. Waller. A fellow feeling makes one wondrous kind. Garrick. 4. Proceeding from, or characterized by, goodness, gentleness, or benevolence; as, a kind act. \"Manners so kind, yet stately.\" Tennyson. 5. Gentle; tractable; easily governed; as, a horse kind in harness. Syn. -- Benevolent; benign; beneficent; bounteous; gracious; propitious; generous; forbearing; indulgent; tender; humane; compassionate; good; lenient; clement; mild; gentle; bland; obliging; friendly; amicable. See Obliging.\n\n1. Nature; natural instinct or disposition. [Obs.] He knew by kind and by no other lore. Chaucer. Some of you, on pure instinct of nature, Are led by kind t'admire your fellow-creature. Dryden. 2. Race; genus; species; generic class; as, in mankind or humankind. \"Come of so low a kind.\" Chaucer. Every kind of beasts, and of birds. James iii.7. She follows the law of her kind. Wordsworth. Here to sow the seed of bread, That man and all the kinds be fed. Emerson. 3. Nature; style; character; sort; fashion; manner; variety; description; class; as, there are several kinds of eloquence, of style, and of music; many kinds of government; various kinds of soil, etc. How diversely Love doth his pageants play, And snows his power in variable kinds ! Spenser. There is one kind of flesh of men, another flesh of beasts, another of fishes, and another of birds. I Cor. xv. 39. Diogenes was asked in a kind of scorn: What was the matter that philosophers haunted rich men, and not rich men philosophers Bacon. A kind of, something belonging to the class of; something like to; -- said loosely or slightingly. In kind, in the produce or designated commodity itself, as distinguished from its value in money. Tax on tillage was often levied in kind upon corn. Arbuthnot. Syn. -- Sort; species; class; genus; nature; style; character; breed; set.\n\nTo beget. [Obs.] Spenser.
kind-hearted |Having kindness of nature; sympathetic; characterized by a humane disposition; as, a kind-hearted landlord. To thy self at least kind-hearted prove. Shak.
kind-heartedness |The state or quality of being kind-hearted; benevolence.
kindergarten |A school for young children, conducted on the theory that education should be begun by gratifying and cultivating the normal aptitude for exercise, play, observation, imitation, and construction; -- a name given by Friedrich Froebel, a German educator, who introduced this method of training, in rooms opening on a garden.
kindergartner |One who teaches in a kindergarten.
kindle |To bring forth young. [Obs.] Shak. The poor beast had but lately kindled. Holland.\n\n1. To set on fire; to cause to burn with flame; to ignite; to cause to begin burning; to start; to light; as, to kindle a match, or shavings. His breath kindleth coals. Job xii. 21. 2. Fig.: To inflame, as the passions; to rouse; to provoke; to excite to action; to heat; to fire; to animate; to incite; as, to kindle anger or wrath; to kindle the flame of love, or love into a flame. So is a contentious man to kindle strife. Prov. xxvi. 21. Nothing remains but that I kindle the boy thither. Shak. Kindling her undazzled eyes at the full midday beam. Milton. Could swell the soul to rage, or kindle soft desire. Dryden. Syn. -- Enkindle; light; ignite; inflame; provoke; excite; arouse; stir up.\n\n1. To take fire; to begin to burn with flame; to start as a flame. When thou walkest through the fire, thou shalt not be burned; neither shall the flame kindle upon thee. Is. xliii. 2. 2. Fig.: To begin to be excited; to grow warm or animated; to be roused or exasperated. On all occasions where forbearance might be called for, the Briton kindles, and the Christian gives way. I. Taylor.
kindler |One who, or that which, kindles, stirs up, or sets on fire.\"Kindlers of riot.\" Gay.
kindless |Destitute of kindness; unnatural.[Obs.] \"Kindless villain.\" Shak.
kindliness |1. Natural inclination; natural course. [Obs.] Milton. 2. The quality or state of being kindly; benignity; benevolence; gentleness; tenderness; as, kindliness of disposition, of treatment, or of words. In kind a father, but not in kindliness. Sackville. 3. Softness; mildness; propitiousness; as, kindliness of weather, or of a season. Fruits and corn are much advanced by temper of the air and kindliness of seasons. Whitlock.
kindling |1. The of causing to burn, or of exciting or inflaming the passions. 2. pl.  Materials, easily lighted, for starting a fire.
kindly |1. According to the kind or nature; natural. [R.] The kindly fruits of the earth. Book of Com. Prayer. An herd of bulls whom kindly rage doth sting. Spenser. Whatsoever as the Son of God he may do, it is kindly for Him as the Son of Man to save the sons of men. L. Andrews. 2. Humane; congenial; sympathetic; hence, disposed to do good to; benevolent; gracious; kind; helpful; as, kindly affections, words, acts, etc. The shade by which my life was crossed, . . . Has made me kindly with my kind. Tennyson. 3. Favorable; mild; gentle; auspicious; beneficent. In soft silence shed the kindly shower. Pope. Should e'er a kindlier time ensue. Wordsworth. Note: \"Nothing ethical was connoted in kindly once: it was simply the adjective of kind. But it is God's ordinance that kind should be kindly, in our modern sense of the word as well; and thus the word has attained this meaning.\" Trench.\n\n1. Naturally; fitly. [Obs.] Chaucer. Examine how kindly the Hebrew manners of speech mix and incorporate with the English language Addison. 2. In a kind manner; congenially; with good will; with a disposition to make others happy, or to oblige. Be kindly affectioned one to another, with brotherly love. Rom. xii. 10.
kindness |1. The state or quality of being kind, in any of its various senses; manifestation of kind feeling or disposition beneficence. I do fear thy nature; It is too full o' the milk of human kindness To catch the nearest way. Shak. Unremembered acts Of kindness and of love. Wordsworth. 2. A kind act; an act of good will; as, to do a great kindness. Syn. -- Good will; benignity; grace; tenderness; compassion; humanity; clemency; mildness; gentleness; goodness; generosity; beneficence; favor.
kindred |1. Relationship by birth or marriage; consanguinity; affinity; kin. Like her, of equal kindred to the throne. Dryden. 2. Relatives by blood or marriage, more properly the former; relations; persons related to each other. I think there's no man is secure But the queen's kindred. Shak. Syn. -- Kin; kinsfolk; relatives; kinsmen; relations; relationship; affinity.\n\nRelated; congenial; of the like nature or properties; as, kindred souls; kindred skies; kindred propositions. True to the kindred points of heaven and home. Wordsworth.
kine |Cows. \"A herd of fifty or sixty kine.\" Milton.
kinematic |Of or pertaining to kinematics. Kinematic curves, curves produced by machinery, or a combination of motions, as distinguished from mathematical curves.
kinematical |Of or pertaining to kinematics. Kinematic curves, curves produced by machinery, or a combination of motions, as distinguished from mathematical curves.
kinematics |The science which treats of motions considered in themselves, or apart from their causes; the comparison and relation of motions. Note: Kinematics forms properly an introduction to mechanics, as involving the mathematical principles which are to be applied to its data of forces. Nichol.
kinepox |See Cowpox. Kin\"e*scope (, n.  See Kinetoscope.
kinesiatrics |A mode of treating disease by appropriate muscular movements; - - also termed kinesitherapy, kinesipathy, lingism, and the movement cure.
kinesipathy |See Kinesiatrics.\n\nSee Kinesiatrics.
kinesitherapy |See Kinesiatrics.
kinesodic |Conveying motion; as; kinesodic substance; -- applied esp. to the spinal cord, because it is capable of conveying doth voluntary and reflex motor impulses, without itself being affected by motor impulses applied to it directly.
kinesthetic |Of, pertaining to, or involving, kinæsthesis.
kinetic |Moving or causing motion; motory; active, as opposed to latent. Kinetic energy. See Energy, n. 4.
kinetics |See Dynamics.
kinetogenesis |An instrument for producing curves by the combination of circular movements; -- called also kinescope.
kinetograph |(a) A camera for making chronophotographs. (b) A machine for the projection of chronophotographs upon a screen for the purpose of producing the effect of an animated picture. (c) A combined animated-picture machine and phonograph in which sounds appropriate to the scene are automatically uttered by the latter instrument.
kinetophone |A machine combining a kinetoscope and a phonograph synchronized so as to reproduce a scene and its accompanying sounds.
kinetoscope |A machine, for the production of animated pictures, in which a film carrying successive instantaneous views of a moving scene travels uniformly through the field of a magnifying glass. The observer sees each picture, momentarily, through a slit in a revolving disk, and these glimpses, blended by persistence of vision, give the impression of continuous motion.
king |A Chinese musical instrument, consisting of resonant stones or metal plates, arranged according to their tones in a frame of wood, and struck with a hammer.\n\n1. A chief ruler; a sovereign; one invested with supreme authority over a nation, country, or tribe, usually by hereditary succession; a monarch; a prince. \"Ay, every inch a king.\" Shak. Kings will be tyrants from policy, when subjects are rebels from principle. Burke. There was a State without king or nobles. R. Choate. But yonder comes the powerful King of Day, Rejoicing in the east Thomson. 2. One who, or that which, holds a supreme position or rank; a chief among competitors; as, a railroad king; a money king; the king of the lobby; the king of beasts. 3. A playing card having the picture of a king; as, the king of diamonds. 4. The chief piece in the game of chess. 5. A crowned man in the game of draughts. 6. pl.  The title of two historical books in the Old Testament. Note: King is often used adjectively, or in combination, to denote preëminence or superiority in some particular; as, kingbird; king crow; king vulture. Apostolic king.See Apostolic. -- King-at-arms, or King-of-arms, the chief heraldic officer of a country. In England the king-at-arms was formerly of great authority. His business is to direct the heralds, preside at their chapters, and have the jurisdiction of armory. There are three principal kings-at- arms, viz., Garter, Clarencieux, and Norroy. The latter (literally north roy or north king) officiates north of the Trent. -- King auk (Zoöl.), the little auk or sea dove. -- King bird of paradise. (Zoöl.), See Bird of paradise. -- King card, in whist, the best unplayed card of each suit; thus, if the ace and king of a suit have been played, the queen is the king card of the suit. -- King Cole , a legendary king of Britain, who is said to have reigned in the third century. -- King conch (Zoöl.), a large and handsome univalve shell (Cassis cameo), found in the West Indies. It is used for making cameos. See Helmet shell, under Helmet. -- King Cotton, a popular personification of the great staple production of the southern United States. -- King crab. (Zoöl.) (a) The limulus or horseshoe crab. See Limulus. (b) The large European spider crab or thornback (Maia sguinado). -- King crow. (Zoöl.) (a) A black drongo shrike (Buchanga atra) of India; -- so called because, while breeding, they attack and drive away hawks, crows, and other large birds. (b) The Dicrurus macrocercus of India, a crested bird with a long, forked tail. Its color is black, with green and blue reflections. Called also devil bird. -- King duck (Zoöl.), a large and handsome eider duck (Somateria spectabilis), inhabiting the arctic regions of both continents. -- King eagle (Zoöl.), an eagle (Aquila heliaca) found in Asia and Southeastern Europe. It is about as large as the golden eagle. Some writers believe it to be the imperial eagle of Rome. -- King hake (Zoöl.), an American hake (Phycis regius), fond in deep water along the Atlantic coast. -- King monkey (Zoöl.), an African monkey(Colobus polycomus), inhabiting Sierra Leone. -- King mullet (Zoöl.), a West Indian red mullet (Upeneus maculatus); -- so called on account of its great beauty. Called also goldfish. -- King of terrors, death. -- King parrakeet (Zoöl.), a handsome Australian parrakeet (Platycercys scapulatus), often kept in a cage. Its prevailing color is bright red, with the back and wings bright green, the rump blue, and tail black. -- King penguin (Zoöl.), any large species of penguin of the genus Aptenodytes; esp., A. longirostris, of the Falkland Islands and Kerguelen Land, and A. Patagonica , of Patagonia. -- King rail (Zoöl.), a small American rail (Rallus elegans), living in fresh-water marshes. The upper parts are fulvous brown, striped with black; the breast is deep cinnamon color. -- King salmon (Zoöl.), the quinnat. See Quinnat. -- King's, or Queen's, counsel (Eng. Law), barristers learned in the law, who have been called within the bar, and selected to be the king's or gueen's counsel. They answer in some measure to the advocates of the revenue (advocati fisci) among the Romans. They can not be employed against the crown without special license. Wharton's Law Dict. -- King's cushion, a temporary seat made by two persons crossing their hands. [Prov. Eng.] Halliwell. -- The king's English, correct or current language of good speakers; pure English. Shak. -- King's or Queen's, evidence, testimony in favor of the Crown by a witness who confesses his guilt as an accomplice. See under Evidence. [Eng.] -- King's evil, scrofula; -- so called because formerly supposed to be healed by the touch of a king. -- King snake (Zoöl.), a large, nearly black, harmless snake (Ophiobolus getulus) of the Southern United States; -- so called because it kills and eats other kinds of snakes, including even the rattlesnake. -- King's spear (Bot.), the white asphodel (Asphodelus albus). -- King's yellow, a yellow pigment, consisting essentially of sulphide and oxide of arsenic; -- called also yellow orpiment. -- King tody (Zoöl.), a small fly-catching bird (Eurylaimus serilophus) of tropical America. The head is adorned with a large, spreading, fan-shaped crest, which is bright red, edged with black. -- King vulture (Zoöl.), a large species of vulture (Sarcorhamphus papa), ranging from Mexico to Paraguay, The general color is white. The wings and tail are black, and the naked carunculated head and the neck are briliantly colored with scarlet, yellow, orange, and blue. So called because it drives away other vultures while feeding. -- King wood, a wood from Brazil, called also violet wood, beautifully streaked in violet tints, used in turning and small cabinetwork. The tree is probably a species of Dalbergia. See Jacaranda.\n\nTo supply with a king; to make a king of; to raise to royalty. [R.] Shak. Those traitorous captains of Israel who kinged themselves by slaying their masters and reigning in their stead. South.
king charles spaniel |A variety of small pet dogs, having, drooping ears, a high, dome-shaped forehead, pug nose, large, prominent eyes, and long, wavy hair. The color is usually black and tan.
king-post |A member of a common form of truss, as a roof truss. It is strictly a tie, intended to prevent the sagging of the tiebeam in the middle. If there are struts, supporting the main rafters, they often bear upon the foot of the king-post. Called also crown-post. KING'S BENCH King's Bench. (Law)  Formerly, the highest court of common law in England; -- so called because the king used to sit there in person. It consisted of a chief justice and four puisne, or junior, justices. During the reign of a queen it was called the Queen's Bench. Its jurisdiction was transferred by the judicature acts of 1873 and 1875 to the high court of justice created by that legislation.
kingbird |1. A small American bird (Tyrannus, or T. Carolinensis), noted for its courage in attacking larger birds, even hawks and eagles, especially when they approach its nest in the breeding season. It is a typical tyrant flycatcher, taking various insects upon the wing. It is dark ash above, and blackish on the bead and tail. The quills and wing coverts are whitish at the edges. It is white beneath, with a white terminal band on the tail. The feathers on the head of the adults show a bright orange basal spot when erected. Called also bee bird, and bee martin. Several Southern and Western species of Tyrannus are also called king birds. 2. The king tody. See under King.
kingbolt |A vertical iron bolt, by which the forward axle and wheels of a vehicle or the trucks of a railroad car are connected with the other parts.
kingcraft |The craft of kings; the art of governing as a sovereign; royal policy. Prescott.
kingcup |The common buttercup.
kingdom |1. The rank, quality, state, or attributes of a king; royal authority; sovereign power; rule; dominion; monarchy. Thy kingdom is an everlasting kingdom. Ps. cxiv. 13. When Jehoram was risen up to the kingdom of his father, he strengthened himself. 2 Chron. xxi. 4. 2. The territory or country subject to a king or queen; the dominion of a monarch; the sphere in which one is king or has control. Unto the kingdom of perpetual night. Shak. You're welcome, Most learned reverend sir, into our kingdom. Shak. 3. An extensive scientific division distinguished by leading or ruling characteristics; a principal division; a department; as, the mineral kingdom. \"The animal and vegetable kingdoms.\" Locke. Animal kingdom. See under Animal. -- Kingdom of God. (a) The universe. (b) That spiritual realm of which God is the acknowledged sovereign. (c) The authority or dominion of God. -- Mineral kingdom. See under Mineral. -- United Kingdom. See under United. -- Vegetable kingdom. See under Vegetable. Syn. -- Realm; empire; dominion; monarchy; sovereignty; domain.
kingdomed |Having a kingdom or the dignity of a king; like a kingdom. [R.] \"Twixt his mental and his active parts, Kingdom'd Achilles in commotion rages And batters down himself. Shak.
kingfish |(a) An American marine food fish of the genus Menticirrus, especially M. saxatilis, or M. nebulosos, of the Atlantic coast; -- called also whiting, surf whiting, and barb. (b) The opah. (c) The common cero; also, the spotted cero. See Cero. (d) The queenfish.
kingfisher |Any one of numerous species of birds constituting the family Alcedinidæ. Most of them feed upon fishes which they capture by diving and seizing then with the beak; others feed only upon reptiles, insects, etc. About one hundred and fifty species are known. They are found in nearly all parts of the world, but are particularly abundant in the East Indies. Note: The belted king-fisher of the United States (Ceryle alcyon) feeds upon fishes. It is slate-blue above, with a white belly and breast, and a broad white ring around the neck. A dark band crosses the breast. The common European species (Alcedo ispida), which is much smaller and brighter colored, is also a fisher. See Alcedo. The wood kingfishers (Halcyones), which inhabit forests, especially in Africa, feed largely upon insects, but also eat reptiles, snails, and small Crustacea, as well as fishes. The giant kingfisher of Australia feeds largely upon lizards and insects. See Laughing jackass, under Laughing.
kinghood |The state of being a king; the attributes of a king; kingship. Gower.
kingless |Having no king. F. Lieber.
kinglet |1. A little king; a weak or insignificant king. Carlyle. 2. (Zoöl.)  Any one of several species of small singing birds of the genus Regulus and family Sylviidæ. Note: The golden-crowned kinglet (Regulus satrapa), and the rubycrowned kinglet (R. calendula), are the most common American species. The common English kinglet (R. cristatus) is also called golden-crested wren, moonie, and marigold finch. The kinglets are often popularly called wrens, both in America and England.
kinglihood |King-liness. Tennyson.
kingliness |The state or quality of being kingly.
kingling |Same as Kinglet, 1. Churchill.
kingly |Belonging to, suitable to, or becoming, a king; characteristic of, resembling, a king; directed or administered by a king; monarchical; royal; sovereign; regal; august; noble; grand. \"Kingly magnificence.\" Sir P. Sidney. \"A kingly government.\" Swift. \"The kingly couch.\" Shak. The kingliest kings are crowned with thorn. G. Massey. Leave kingly backs to cope with kingly cares. Cowper. Syn. -- Regal; royal; monarchical; imperial; august; sovereign; noble; splendid. -- Kingly, Regal. Kingly is Anglo-Saxon, and refers especially to the character of a king; regal is Latin, and now relates more to his office. The former is chiefly used of dispositions, feelings, and purposes which are kinglike; as, kingly sentiments; kingly condescension; \" a kingly heart for enterprises.\" Sir P. Sidney. The latter is oftener applied to external state, pomp, etc.; as, regal state, regal title, etc. This distinction is not observed by our early writers, but is gaining ground.\n\nIn a kingly or kinglike manner. Shak. Low bowed the rest; he, kingly, did but nod. Pore. Note: Although this citation, one from Paradise Lost, and one from Shakespeare's ll4th Sonnet are given by lexicographers as examples of adverbial use, it is by no means clear that the word is not an adjective in each instance.
kingship |The state, office, or dignity of a king; royalty. Landor.
kingston |The black angel fish. See Angel fish, under Angel.
kingston metal |. An alloy of tin, copper, and mercury, sometimes used for the bearings and packings of machinery. McElrath.
kingston valve |A conical valve, opening outward, to close the mouth of a pipe which passes through the side of a vessel below the water line.
kingstone |The black angel fish. See Angel fish, under Angel.
kingtruss |A truss, framed with a king-post; -- used in roofs, bridges, etc.
kinic |See Quinic.
kinit |A unit of force equal to the force which, acting for one second, will give a pound a velocity of one foot per second; -- proposed by J.D.Everett, an English physicist.
kink |1. A twist or loop in a rope or thread, caused by a spontaneous doubling or winding upon itself; a close loop or curl; a doubling in a cord. 2. An unreasonable notion; a crotchet; a whim; a caprice. [Colloq.] Cozzens.\n\nTo wind into a kink; to knot or twist spontaneously upon itself, as a rope or thread.\n\nA fit of coughing; also, a convulsive fit of laughter. [Scot.]
kinkajou |A nocturnal carnivorous mammal (Cercoleptes caudivolvulus) of South America, about as large as a full-grown cat. It has a prehensile tail and lives in trees. It is the only representative of a distinct family (Cercoleptidæ) allied to the raccoons. Called also potto, and honey bear.
kinkhaust |Whooping cough. [Obs.or Prov. Eng.]
kinkle |Same as 3d Kink.
kinky |1. Full of kinks; liable to kink or curl; as, kinky hair. 2. Queer; eccentric; crotchety. [Colloq. U.S.]
kinnikinic |Prepared leaves or bark of certain plants; -- used by the Indians of the Northwest for smoking, either mixed with tobacco or as a substitute for it. Also, a plant so used, as the osier cornel (Cornus stolonijra), and the bearberry (Arctostaphylus Uva-ursi). [Spelled also kinnickinnick and killikinick.]
kino |The dark red dried juice of certain plants, used variously in tanning, in dyeing, and as an astringent in medicine. Note: The chief supply is from an East Indian leguminous tree, the Pterocarpus Marsupium. Other sources are the African Pterocarpus erinaceus, the tropical American sea grape (Coccoloba uvifera), and several Australian Eucalypti. See Botany bay kino, under Botany bay, Gum butea, under Gum, and Eucalyptus.
kinology |That branch of physics which treats of the laws of motion, or of moving bodies.
kinone |See Quinone.
kinoyl |See Quinoyl.
kinrede |Kindred. [Obs.] Chaucer.
kinsfolk |Relatives; kindred; kin; persons of the same family or closely or closely related families. They sought him among their kinsfolk and acquaintance. Luke ii. 44.
kinship |Family relationship.
kinsman |A man of the same race or family; one related by blood.
kinsmanship |Kinship. Thackeray.
kinswoman |A female relative. Shak.
kintlidge |See Kentledge.
kiosk |A Turkish open summer house or pavilion, supported by pillars.
kioways |A tribe of Indians distantly related to the Shoshones. They formerly inhabited the region about the head waters of the North Platte.
kip |The hide of a young or small beef creature, or leather made from it; kipskin. Kip leather. See Kipskin.
kipe |An osier basket used for catching fish. [Prov. Eng.]
kipper |1. (Zoöl.)  A salmon after spawning. 2. A salmon split open, salted, and dried or smoked; -- so called because salmon after spawning were usually so cured, not being good when fresh. [Scot.] Kipper time, the season in which fishing for salmon is forbidden. [Eng. & Scot.]\n\nTo cure, by splitting, salting, and smoking. \"Kippered salmon.\" Dickens.\n\nAmorous; also, lively; light-footed; nimble; gay; sprightly. [Prov. Eng.] Halliwell.
kippernut |A name given to earthnuts of several kinds.
kipskin |Leather prepared from the skin of young or small cattle, intermediate in grade between calfskin and cowhide.
kirk |A church or the church, in the various senses of the word; esp., the Church of Scotland as distinguished from other reformed churches, or from the Roman Catholic Church. [Scot.] Jamieson.
kirked |Turned upward; bent. [Obs.] Rom. of R.
kirkman |1. A clergyman or officer in a kirk. [Scot.] 2. A member of the Church of Scotland, as distinguished from a member of another communion. [Scot.]
kirkyard |A churchyard. [Scot.]
kirmess |In Europe, particularly in Belgium and Holland, and outdoor festival and fair; in the United States, generally an indoor entertainment and fair combined.
kirschwasser |An alcoholic liquor, obtained by distilling the fermented juice of the small black cherry.
kirsome |Christian; christened. [Obs.] I am a true kirsome woman. Beau. & Fl.
kirtle |A garment varying in form and use at different times, and worn doth by men and women. Wearing her Norman car, and her kirtle of blue. Longfellow. Note: The term is still retained in the provinces, in the sense of \" an outer petticoat.\" Halliwell.
kirtled |Wearing a kirtle. Byron.
kirumbo |A bird of Madagascar (Leptosomus discolor), the only living type of a family allied to the rollers. It has a pair of loral plumes. The male is glossy green above, with metallic reflections; the female is spotted with brown and black.
kish |A workman's name for the graphite which forms incidentally in iron smelting.
kismet |Destiny; fate. [Written also kismat.] [Oriental]
kiss |1. To salute with the lips, as a mark of affection, reverence, submission, forgiveness, etc. He . . . kissed her lips with such a clamorous smack, That at the parting all the church echoed. Shak. 2. To touch gently, as if fondly or caressingly. When the sweet wind did gently kiss the trees. Shak.\n\n1. To make or give salutation with the lips in token of love, respect, etc.; as, kiss and make friends. 2. To meet; to come in contact; to touch fondly. Like fire and powder, Which as they kiss consume. Shak. Rose, rose and clematis, Trail and twine and clasp and kiss. Tennyson. Kissing comfit, a perfumed sugarplum to sweeten the breath. [Obs or Prov. End.] Shak.\n\n1. A salutation with the lips, as a token of affection, respect, etc.; as, a parting kiss; a kiss of reconciliation. Last with a kiss, she took a long farewell. Dryden. Dear as remembered kisses after death. Tennyson. 2. A small piece of confectionery.
kisser |One who kisses. Beau. & Fl.
kissing bug |Any one of several species of blood-sucking, venomous Hemiptera that sometimes bite the lip or other parts of the human body, causing painful sores, as the cone-nose (Conorhinus sanguisuga). [U. S.]
kissing strings |Cap or bonnet strings made long to tie under the chin. One of her ladyship's kissing strings, once pink and fluttering and now faded and soiled. Pall Mall Mag.
kissingcrust |The portion of the upper crust of a loaf which has touched another loaf in baking. Lamb. A massy fragment from the rich kissingcrust that hangs like a fretted cornice from the upper half of the loaf. W. Howitt.
kist |A chest; hence, a coffin. [Scot. & Prov. End.] Jamieson. Halliwell.\n\nA stated payment, especially a payment of rent for land; hence, the time for such payment. [India]
kistvaen |A Celtic monument, commonly known as a dolmen.
kit |To cut. [Obs.] Chaucer.\n\nA kitten. Kit fox (Zoöl.), a small burrowing fox (Vulpes velox), inhabiting the region of the Rocky Mountains. It is brownish gray, reddish on the breast and flanks, and white below. Called also swift fox.\n\nA small violin. \"A dancing master's kit.\" Grew. Prince Turveydrop then tinkled the strings of his kit with his fingers, and the young ladies stood up to dance. Dickens.\n\n1. A large bottle. 2. A wooden tub or pail, smaller at the top than at the bottom; as, a kit of butter, or of mackerel. Wright. 3. straw or rush basket for fish; also, any kind of basket. [Prov. Eng.] Halliwell. 4. A box for working implements; hence, a working outfit, as of a workman, a soldier, and the like. 5. A group of separate parts, things, or individuals; -- used with whole, and generally contemptuously; as, the whole kit of them.
kitcat |1. Designating a club in London, to which Addison and Steele belonged; -- so called from Christopher Cat, a pastry cook, who served the club with mutton pies. 2. Designating a canvas used for portraits of a peculiar size, viz., twenty-right or twenty-nine inches by thirtysix; -- so called because that size was adopted by Sir Godfrey Kneller for the portraits he painted of the members of the Kitcal Club. Fairholt.\n\nA game played by striking with a stick small piece of wood, called a cat, shaped like two coned united at their bases; tipcat. Cotton. Kitcat roll (Agric.), a roller somewhat in the form of two cones set base to base. [Prov. Eng.]
kitchen |1. A cookroom; the room of a house appropriated to cookery. Cool was his kitchen, though his brains were hot. Dryden. A fat kitchen makes a lean will. Franklin. 2. A utensil for roasting meat; as, a tin kitchen. Kitchen garden. See under Garden. -- Kitchen lee, dirty soapsuds. [Obs.] \" A brazen tub of kitchen lee.\" Ford. -- Kitchen stuff, fat collected from pots and pans. Donne.\n\nTo furnish food to; to entertain with the fare of the kitchen. [Obs.] Shak.
kitchen middens |Relics of neolithic man found on the coast of Denmark, consisting of shell mounds, some of which are ten feet high, one thousand feet long, and two hundred feet wide. The name is applied also to similar mounds found on the American coast from Canada to Florida, made by the North American Indians.
kitchen-ry |The body of servants employed in the kitchen. [Obs.] Holland.
kitchener |A kitchen servant; a cook. Carlyle.
kitchenette |A room combining a very small kitchen and a pantry, with the kitchen conveniences compactly arranged, sometimes so that they fold up out of sight and allow the kitchen to be made a part of the adjoining room by opening folding doors.
kitchenmaid |A woman employed in the kitchen. Shak.
kite |1. (Zoöl.)  Any raptorial bird of the subfamily Milvinæ, of which many species are known. They have long wings, adapted for soaring, and usually a forked tail. Note: The European species are Milvus ictinus and M. govinda; the sacred or Brahmany kite of India is Haliastur Indus; the American fork-tailed kite is the Nauclerus furcatus. 2. Fig. : One who is rapacious. Detested kite, thou liest. Shak. 3. A light frame of wood or other material covered with paper or cloth, for flying in the air at the end of a string. 4. (Naut.)  A lofty sail, carried only when the wind is light. 5. (Geom.)  A quadrilateral, one of whose diagonals is an axis of symmetry. Henrici. 6. Fictitious commercial paper used for raising money or to sustain credit, as a check which represents no deposit in bank, or a bill of exchange not sanctioned by sale of goods; an accommodation check or bill. [Cant] 7. (Zoöl.)  The brill. [Prov. Eng. ] Flying kites. (Naut.) See under Flying. -- Kite falcon (Zoöl.), an African falcon of the genus Avicida, having some resemblance to a kite.\n\nTo raise money by \"kites;\" as, kiting transactions. See Kite, 6. [Cant]\n\nThe belly. [Prov. Eng. & Scot.]
kiteflier |A mode of raising money, or sustaining one's credit, by the use of paper which is merely nominal; -- called also kiting. -- Kite\"fli`er, n.  See Kite, n., 6. [Cant] McElrath. Thackeray.
kiteflying |A mode of raising money, or sustaining one's credit, by the use of paper which is merely nominal; -- called also kiting. -- Kite\"fli`er, n.  See Kite, n., 6. [Cant] McElrath. Thackeray.
kith |Acquaintance; kindred. And my near kith for sore me shend. W. Browne. The sage of his kith and the hamlet. Longfellow. Kith and kin, kindred more or less remote.
kithara |See Cithara.
kithe |See Kythe. Chaucer.\n\nTo make known; to manifest; to show; to declare. [Obs: or Scot.] For gentle hearte kytheth gentilesse. Chaucer.
kitish |Like or relating to a kite.
kitling |A young kitten; a whelp. [Obs. or Scot.] B. Jonson.
kitte |of Kit to cut. [Obs.] Chaucer.
kittel |See Kittle, v. t.
kitten |A young cat.\n\nTo bring forth young, as a cat; to bring forth, as kittens. Shak. H. Spencer.
kittenish |Resembling a kitten; playful; as, a kittenish disposition. Richardson.
kittiwake |A northern gull (Rissa tridactyla), inhabiting the coasts of Europe and America. It is white, with black tips to the wings, and has but three toes.
kittle |To bring forth young, as a cat; to kitten; to litter. [Prov. Eng. & Scot.]\n\nTo tickle. [Prov. Eng. & Scot.] [Written also kittel.] Halliwell. Jamieson.\n\nTicklish; not easily managed; troublesome; difficult; variable. [Prov. Eng. & Scot.] Halliwell. Sir W. Scott.
kittlish |Ticklish; kittle. Sir W. Scott.
kitty |1. A kitten; also, a pet name or calling name for the cat. 2.  [Etym. uncertain.] (Gaming) The percentage taken out of a pool to pay for refreshments, or for the expenses of the table.  R. F. Foster.
kittysol |The Chinese paper parasol.
kiva |A large chamber built under, or in, the houses of a Pueblo village, used as an assembly room in religious rites or as a men's dormitory. It is commonly lighted and entered from an opening in the roof.
kive |A mash vat. See Keeve. [Obs.]
kiver |To cover. -- n.  A cover. [Disused except in illiterate speech.]
kivikivi |Any species of Apteryx, esp. A. australis; -- so called in imitation of its notes. Called also kiwi. See Apteryx.
kiwikiwi |Any species of Apteryx, esp. A. australis; -- so called in imitation of its notes. Called also kiwi. See Apteryx.
kjoekken moeddings |See Kitchen middens.
klamaths |A collective name for the Indians of several tribes formerly living along the Klamath river, in California and Oregon, but now restricted to a reservation at Klamath Lake; -- called also Clamets and Hamati.
