sigillative |Fit to seal; belonging to a seal; composed of wax. [R.]
singe |1. To burn slightly or superficially; to burn the surface of; to burn the ends or outside of; as, to singe the hair or the skin. You sulphurous and thought-executing fires, . . . Singe my white head! Shak. I singed the toes of an ape through a burning glass. L'Estrange. 2. (a) To remove the nap of (cloth), by passing it rapidly over a red- hot bar, or over a flame, preliminary to dyeing it. (b) To remove the hair or down from (a plucked chicken or the like) by passing it over a flame.\n\nA burning of the surface; a slight burn.
singer |One who, or that which, singes. Specifically: (a) One employed to singe cloth. (b) A machine for singeing cloth.\n\nOne who sings; especially, one whose profession is to sing.
singeress |A songstress. [Obs.] Wyclif.
singhalese |Same as Cingalese.
singing |from Sing, v. Singing bird. (Zoöl.) (a) Popularly, any bird that sings; a song bird. (b) Specifically, any one of the Oscines. -- Singing book, a book containing music for singing; a book of tunes. -- Singing falcon or hawk. (Zoöl.) See Chanting falcon, under Chanting. -- Singing fish (Zoöl.), a California toadfish (Porichthys porosissimus). -- Singing flame (Acoustics), a flame, as of hydrogen or coal gas, burning within a tube and so adjusted as to set the air within the tube in vibration, causing sound. The apparatus is called also chemical harmonicon. -- Singing master, a man who teaches vocal music. -- Singing school, a school in which persons are instructed in singing.
singingly |With sounds like singing; with a kind of tune; in a singing tone. G. North (1575).
single |1. One only, as distinguished from more than one; consisting of one alone; individual; separate; as, a single star. No single man is born with a right of controlling the opinions of all the rest. Pope. 2. Alone; having no companion. Who single hast maintained, Against revolted multitudes, the cause Of truth. Milton. 3. Hence, unmarried; as, a single man or woman. Grows, lives, and dies in single blessedness. Shak. Single chose to live, and shunned to wed. Dryden. 4. Not doubled, twisted together, or combined with others; as, a single thread; a single strand of a rope. 5. Performed by one person, or one on each side; as, a single combat. These shifts refuted, answer thy appellant, . . . Who now defles thee thrice ti single fight. Milton. 6. Uncompounded; pure; unmixed. Simple ideas are opposed to complex, and single to compound. I. Watts. 7. Not deceitful or artful; honest; sincere. I speak it with a single heart. Shak. 8. Simple; not wise; weak; silly. [Obs.] He utters such single matter in so infantly a voice. Beau & Fl. Single ale, beer, or drink, small ale, etc., as contrasted with double ale, etc., which is stronger. [Obs.] Nares. -- Single bill (Law), a written engagement, generally under seal, for the payment of money, without a penalty. Burril. -- Single court (Lawn Tennis), a court laid out for only two players. -- Single-cut file. See the Note under 4th File. -- Single entry. See under Bookkeeping. -- Single file. See under 1st File. -- Single flower (Bot.), a flower with but one set of petals, as a wild rose. -- Single knot. See Illust. under Knot. -- Single whip (Naut.), a single rope running through a fixed block.\n\n1. To select, as an individual person or thing, from among a number; to choose out from others; to separate. Dogs who hereby can single out their master in the dark. Bacon. His blood! she faintly screamed her mind Still singling one from all mankind. More. 2. To sequester; to withdraw; to retire. [Obs.] An agent singling itself from consorts. Hooker. 3. To take alone, or one by one. Men . . . commendable when they are singled. Hooker.\n\nTo take the irrregular gait called single-foot;- said of a horse. See Single-foot. Many very fleet horses, when overdriven, adopt a disagreeable gait, which seems to be a cross between a pace and a trot, in which the two legs of one side are raised almost but not quite, simultaneously. Such horses are said to single, or to be single-footed. W. S. Clark.\n\n1. A unit; one; as, to score a single. 2. pl.  The reeled filaments of silk, twisted without doubling to give them firmness. 3. A handful of gleaned grain. [Prov. Eng. & Scot.] 4. (Law Tennis)  A game with but one player on each side; -- usually in the plural. 5. (Baseball)  A hit by a batter which enables him to reach first base only.
single tax |A tax levied upon land alone, irrespective of improvements, -- advocated by certain economists as the sole source of public revenue. Whatever may be thought of Henry George's single-tax theory as a whole, there can be little question that a relatively higher assessment of ground rent, with corresponding relief for those who have made improvements, is a much-needed reform. A. T. Hadley.
single-acting |Having simplicity of action; especially (Mach.), acting or exerting force during strokes in one direction only; -- said of a reciprocating engine, pump, etc.
single-breasted |Lapping over the breast only far enough to permit of buttoning, and having buttons on one edge only; as, a single-breasted coast.
single-foot |An irregular gait of a horse; -- called also single-footed pace. See Single, v. i. Single-foot is an irregular pace, rather rare, distinguished by the posterior extremities moving in the order of a fast walk, and the anterior extremities in that of a slow trot. Stillman (The Horse in Motion.)
single-handed |Having but one hand, or one workman; also, alone; unassisted.
single-hearted |Having an honest heart; free from duplicity. -- Sin\"gle-heart\"ed*ly, adv.
single-minded |Having a single purpose; hence, artless; guileless; single- hearted.
single-surfaced |Having one surface; -- said specif. of aëroplanes or aërocurves that are covered with fabric, etc., on only one side.
singleness |1. The quality or state of being single, or separate from all others; the opposite of doubleness, complication, or multiplicity. 2. Freedom from duplicity, or secondary and selfish ends; purity of mind or purpose; simplicity; sincerity; as, singleness of purpose; singleness of heart.
singles |See Single, n., 2.
singlestick |(a) In England and Scotland, a cudgel used in fencing or fighting; a backsword. (b) The game played with singlesticks, in which he who first brings blood from his adversary's head is pronounced victor; backsword; cudgeling.
singlet |An unlined or undyed waistcoat; a single garment; -- opposed to doublet. [Prov. Eng.]
singleton |In certain games at cards, as whist, a single card of any suit held at the deal by a player; as, to lead a singleton.
singletree |The pivoted or swinging bar to which the traces of a harnessed horse are fixed; a whiffletree. Note: When two horses draw abreast, a singletree is fixed at each end of another crosspiece, called the doubletree.
singly |1. Individually; particularly; severally; as, to make men singly and personally good. 2. Only; by one's self; alone. Look thee, 't is so! Thou singly honest man. Shak. 3. Without partners, companions, or associates; single-handed; as, to attack another singly. At omber singly to decide their doom. Pope. 4. Honestly; sincerely; simply. [R.] Johnson. 5. Singularly; peculiarly. [Obs.] Milton.
singsong |1. Bad singing or poetry. 2. A drawling or monotonous tone, as of a badly executed song.\n\nDrawling; monotonous.\n\nTo write poor poetry. [R.] Tennyson.
singspiel |A dramatic work, partly in dialogue and partly in song, of a kind popular in Germany in the latter part of the 18th century. It was often comic, had modern characters, and patterned its music on folk song with strictly subordinated accompaniment.
singster |A songstress. [Obs.] Wyclif.
singular |1. Separate or apart from others; single; distinct. [Obs.] Bacon. And God forbid that all a company Should rue a singular man's folly. Chaucer. 2. Engaged in by only one on a side; single. [Obs.] To try the matter thus together in a singular combat. Holinshed. 3. (Logic)  Existing by itself; single; individual. The idea which represents one . . . determinate thing, is called a singular idea, whether simple, complex, or compound. I. Watts. 4. (Law)  Each; individual; as, to convey several parcels of land, all and singular. 5. (Gram.)  Denoting one person or thing; as, the singular number; -- opposed to dual and Ant: plural. 6. Standing by itself; out of the ordinary course; unusual; uncommon; strange; as, a singular phenomenon. So singular a sadness Must have a cause as strange as the effect. Denham. 7. Distinguished as existing in a very high degree; rarely equaled; eminent; extraordinary; exceptional; as, a man of singular gravity or attainments. 8. Departing from general usage or expectations; odd; whimsical; -- often implying disapproval or consure. His zeal None seconded, as out of season judged, Or singular and rash. Milton. To be singular in anything that is wise and worthy, is not a disparagement, but a praise. Tillotson. 9. Being alone; belonging to, or being, that of which there is but one; unique. These busts of the emperors and empresses are all very scarce, and some of them almost singular in their kind. Addison. Singular point in a curve (Math.), a point at which the curve possesses some peculiar properties not possessed by other points of the curve, as a cusp point, or a multiple point. -- Singular proposition (Logic), a proposition having as its subject a singular term, or a common term limited to an individual by means of a singular sign. Whately. -- Singular succession (Civil Law), division among individual successors, as distinguished from universal succession, by which an estate descended in intestacy to the heirs in mass. -- Singular term (Logic), a term which represents or stands for a single individual. Syn. -- Unexampled; unprecedented; eminent; extraordinary; remarkable; uncommon; rare; unusual; peculiar; strange; odd; eccentric; fantastic.\n\n1. An individual instance; a particular. [Obs.] Dr. H. More. 2. (Gram)  The singular number, or the number denoting one person or thing; a word in the singular number.
singularist |One who affects singularity. [Obs.] A clownish singularist, or nonconformist to ordinary usage. Borrow.
singularity |1. The quality or state of being singular; some character or quality of a thing by which it is distinguished from all, or from most, others; peculiarity. Pliny addeth this singularity to that soil, that the second year the very falling down of the seeds yieldeth corn. Sir. W. Raleigh. I took notice of this little figure for the singularity of the instrument. Addison. 2. Anything singular, rare, or curious. Your gallery Have we passed through, not without much content In many singularities. Shak. 3. Possession of a particular or exclusive privilege, prerogative, or distinction. No bishop of Rome ever took upon him this name of singularity [universal bishop]. Hooker. Catholicism . . . must be understood in opposition to the legal singularity of the Jewish nation. Bp. Pearson. 4. Celibacy. [Obs.] Jer. Taylor.
singularize |To make singular or single; to distinguish. [R.]
singularly |1. In a singular manner; in a manner, or to a degree, not common to others; extraordinarily; as, to be singularly exact in one's statements; singularly considerate of others. \"Singularly handsome.\" Milman. 2. Strangely; oddly; as, to behave singularly. 3. So as to express one, or the singular number.
singult |A sigh or sobbing; also, a hiccough. [Obs.] Spenser. W. Browne.
singultous |Relating to, or affected with, hiccough. Dunglison.
singultus |Hiccough.
sinic |Of or pertaining to the Chinese and allied races; Chinese.
sinical |Of or pertaining to a sine; employing, or founded upon, sines; as, a sinical quadrant.
sinicism |Anything peculiar to the Chinese; esp., a Chinese peculiarity in manners or customs.
sinigrin |A glucoside found in the seeds of black mustard (Brassica nigra, formerly Sinapis nigra) It resembles sinalbin, and consists of a potassium salt of myronic acid.
sinister |1. On the left hand, or the side of the left hand; left; -- opposed to dexter, or right. \"Here on his sinister cheek.\" Shak. My mother's blood Runs on the dexter cheek, and this sinister Bounds in my father's Shak. Note: In heraldy the sinister side of an escutcheon is the side which would be on the left of the bearer of the shield, and opposite the right hand of the beholder. 2. Unlucky; inauspicious; disastrous; injurious; evil; -- the left being usually regarded as the unlucky side; as, sinister influences. All the several ills that visit earth, Brought forth by night, with a sinister birth. B. Jonson. 3. Wrong, as springing from indirection or obliquity; perverse; dishonest; corrupt; as, sinister aims. Nimble and sinister tricks and shifts. Bacon. He scorns to undermine another's interest by any sinister or inferior arts. South. He read in their looks . . . sinister intentions directed particularly toward himself. Sir W. Scott. 4. Indicative of lurking evil or harm; boding covert danger; as, a sinister countenance. Bar sinister. (Her.) See under Bar, n. -- Sinister aspect (Astrol.), an appearance of two planets happening according to the succession of the signs, as Saturn in Aries, and Mars in the same degree of Gemini. -- Sinister base, Sinister chief. See under Escutcheon.
sinister-handed |Left-handed; hence, unlucky. [Obs.] Lovelace.
sinisterly |In a sinister manner. Wood.
sinistrad |Toward the left side; sinistrally.
sinistral |1. Of or pertaining to the left, inclining to the left; sinistrous; - - opposed to dextral. 2. (Zoöl.)  Having the whorls of the spire revolving or rising to the left; reversed; -- said of certain spiral shells.
sinistrality |The quality or state of being sinistral.
sinistrally |Toward the left; in a sinistral manner. J. Le Conte.
sinistrin |A mucilaginous carbohydrate, resembling achroödextrin, extracted from squill as a colorless amorphous substance; -- so called because it is levorotatory.
sinistrorsal |Rising spirally from right to left (of the spectator); sinistrorse.
sinistrorse |Turning to the left (of the spectator) in the ascending line; - - the opposite of dextrorse. See Dextrorse.
sinistrous |1. Being on the left side; inclined to the left; sinistral. \"Sinistrous gravity.\" Sir T. Browne. 2. Wrong; absurd; perverse. A knave or fool can do no harm, even by the most sinistrous and absurd choice. Bentley.
sinistrously |1. In a sinistrous manner; perversely; wrongly; unluckily. 2. With a tendency to use the left hand. Many, in their infancy, are sinistrously disposed, and divers continue all their life left-handed. Sir T. Browne.
sink |1. To fall by, or as by, the force of gravity; to descend lower and lower; to decline gradually; to subside; as, a stone sinks in water; waves rise and sink; the sun sinks in the west. I sink in deep mire. Ps. lxix. 2. 2. To enter deeply; to fall or retire beneath or below the surface; to penetrate. The stone sunk into his forehead. 1 San. xvii. 49. 3. Hence, to enter so as to make an abiding impression; to enter completely. Let these sayings sink down into your ears. Luke ix. 44. 4. To be overwhelmed or depressed; to fall slowly, as so the ground, from weakness or from an overburden; to fail in strength; to decline; to decay; to decrease. I think our country sinks beneath the yoke. Shak. He sunk down in his chariot. 2 Kings ix. 24. Let not the fire sink or slacken. Mortimer. 5. To decrease in volume, as a river; to subside; to become diminished in volume or in apparent height. The Alps and Pyreneans sink before him. Addison. Syn. -- To fall; subside; drop; droop; lower; decline; decay; decrease; lessen.\n\n1. To cause to sink; to put under water; to immerse or submerge in a fluid; as, to sink a ship. [The Athenians] fell upon the wings and sank a single ship. Jowett (Thucyd.). 2. Figuratively: To cause to decline; to depress; to degrade; hence, to ruin irretrievably; to destroy, as by drowping; as, to sink one's reputation. I raise of sink, imprison or set free. Prior. If I have a conscience, let it sink me. Shak. Thy cruel and unnatural lust of power Has sunk thy father more than all his years. Rowe. 3. To make (a depression) by digging, delving, or cutting, etc.; as, to sink a pit or a well; to sink a die. 4. To bring low; to reduce in quantity; to waste. You sunk the river repeated draughts. Addison. 5. To conseal and appropriate. [Slang] If sent with ready money to buy anything, and you happen to be out of pocket, sink the money, and take up the goods on account. Swift. 6. To keep out of sight; to suppress; to ignore. A courtly willingness to sink obnoxious truths. Robertson. 7. To reduce or extinguish by payment; as, to sink the national debt.\n\n1. A drain to carry off filthy water; a jakes. 2. A shallow box or vessel of wood, stone, iron, or other material, connected with a drain, and used for receiving filthy water, etc., as in a kitchen. 3. A hole or low place in land or rock, where waters sink and are lost; -- called also sink hole. [U. S.] Sink hole. (a) The opening to a sink drain. (b) A cesspool. (c) Same as Sink, n., 3.
sinker |One who, or that which, sinks. Specifically: (a) A weight on something, as on a fish line, to sink it. (b) In knitting machines, one of the thin plates, blades, or other devices, that depress the loops upon or between the needles. Dividing sinker, in knitting machines, a sinker between two jack sinkers and acting alternately with them. -- Jack sinker. See under Jack, n. -- Sinker bar. (a) In knitting machines, a bar to which one set of the sinkers is attached. (b) In deep well boring, a heavy bar forming a connection between the lifting rope and the boring tools, above the jars.
sinking |from Sink. Sinking fund. See under Fund. -- Sinking head (Founding), a riser from which the mold is fed as the casting shrinks. See Riser, n., 4. -- Sinking pump, a pump which can be lowered in a well or a mine shaft as the level of the water sinks.
sinless |Free from sin. Piers Plowman. -- Sin\"less*ly, adv. -- Sin\"less*ness, n.
sinner |One who has sinned; especially, one who has sinned without repenting; hence, a persistent and incorrigible transgressor; one condemned by the law of God.\n\nTo act as a sinner. [Humorous] Whether the charmer sinner it or saint it. Pope.
sinneress |A woman who sins. [Obs.]
sinnet |See Sennit .
sinological |Relating to the Chinese language or literature.
sinologist |A sinilogue.
sinologue |A student of Chinese; one versed in the Chinese language, literature, and history.
sinology |That branch of systemized knowledge which treats of the Chinese, their language, literature, etc.
sinoper |Sinople.
sinopia |A red pigment made from sinopite.
sinopis |A red pigment made from sinopite.
sinopite |A brickred ferruginous clay used by the ancients for red paint.
sinople |Ferruginous quartz, of a blood-red or brownish red color, sometimes with a tinge of yellow.\n\nThe tincture vert; green.
sinque |See Cinque. [Obs.] Beau & Fl.
sinsring |Same as Banxring.
sinter |Dross, as of iron; the scale which files from iron when hammered; -- applied as a name to various minerals. Calcareous sinter, a loose banded variety of calcite formed by deposition from lime-bearing waters; calcareous tufa; travertine. -- Ceraunian sinter, fulgurite. -- Siliceous sinter, a light cellular or fibrous opal; especially, geyserite (see Geyserite). It has often a pearly luster, and is then called pearl sinter.
sinto |See Shinto, etc.
sintoc |A kind of spice used in the East Indies, consisting of the bark of a species of Cinnamomum. [Written also sindoc.]
sintoism |See Shinto, etc.
sintoist |See Shinto, etc.
sintu |See Shinto, etc.
sinuate |Having the margin alternately curved inward and outward; having rounded lobes separated by rounded sinuses; sinuous; wavy.\n\nTo bend or curve in and out; to wind; to turn; to be sinusous. Woodward.
sinuated |Same as Sinuate.
sinuation |A winding or bending in and out.
sinuose |Sinuous. Loudon.
sinuosity |1. Quality or state of being sinuous. 2. A bend, or a series of bends and turns; a winding, or a series of windings; a wave line; a curve. A line of coast certainly amounting, with its sinuosities, to more than 700 miles. Sydney Smith.
sinuous |Bending in and out; of a serpentine or undulating form; winding; crooked. -- Sin\"u*ous*ly, adv. Streaking the ground with sinuous trace. Milton. Gardens bright with sinuous rills. Coleridge.
sinupalliate |Having a pallial sinus. See under Sinus.
sinus |1. An opening; a hollow; a bending. 2. A bay of the sea; a recess in the shore. 3. (Anat. & Zoöl.)  A cavity; a depression. Specifically: (a) A cavity in a bone or other part, either closed or with a narrow opening. (b) A dilated vessel or canal. 4. (Med.)  A narrow, elongated cavity, in which pus is collected; an elongated abscess with only a small orifice. 5. (Bot.)  A depression between adjoining lobes. Note: A sinus may be rounded, as in the leaf of the white oak, or acute, as in that of the red maple. Pallial sinus. (Zoöl.) See under Pallial. -- Sinus venosus. Etym: [L., venous dilatation.] (Anat.) (a) The main part of the cavity of the right auricle of the heart in the higher vertebrates. (b) In the lower vertebrates, a distinct chamber of the heart formed by the union of the large systematic veins and opening into the auricle.
sinusoid |The curve whose ordinates are proportional to the sines of the abscissas, the equation of the curve being y = a sin x. It is also called the curve of sines.
sinusoidal |Of or pertaining to a sinusoid; like a sinusoid.
siogoon |See Shogun.
siogoonate |See Shogunate.
sioux |See Dakotas.
sioux state |North Dakota; -- a nickname.
sip |1. To drink or imbibe in small quantities; especially, to take in with the lips in small quantities, as a liquid; as, to sip tea. \"Every herb that sips the dew.\" Milton. 2. To draw into the mouth; to suck up; as, a bee sips nectar from the flowers. 3. To taste the liquor of; to drink out of. [Poetic] They skim the floods, and sip the purple flowers. Dryden.\n\nTo drink a small quantity; to take a fluid with the lips; to take a sip or sips of something. [She] raised it to her mouth with sober grace; Then, sipping, offered to the next in place. Dryden.\n\n1. The act of sipping; the taking of a liquid with the lips. 2. A small draught taken with the lips; a slight taste. One sip of this Will bathe the drooping spirits in delight Beyond the bliss of dreams. Milton. A sip is all that the public ever care to take from reservoirs of abstract philosophy. De Quincey.
sipage |Water that seeped or oozed through a porous soil. [Scot. & U. S.]\n\nSee Seepage. [Scot. & U.S.]
sipe |To run or soak through fine pores and interstices; to ooze. [Scot. & U. S.] Water seeps up through the sidewalks. G. W. Cable.\n\nSee Seep. [Scot. & U.S.]
siphilis |Syphilis.
siphoid |A siphon bottle. See under Siphon, n.
siphon |1. A device, consisting of a pipe or tube bent so as to form two branches or legs of unequal length, by which a liquid can be transferred to a lower level, as from one vessel to another, over an intermediate elevation, by the action of the pressure of the atmosphere in forcing the liquid up the shorter branch of the pipe immersed in it, while the continued excess of weight of the liquid in the longer branch (when once filled) causes a continuous flow. The flow takes place only when the discharging extremity of the pipe ia lower than the higher liquid surface, and when no part of the pipe is higher above the surface than the same liquid will rise by atmospheric pressure; that is, about 33 feet for water, and 30 inches for mercury, near the sea level. 2. (Zoöl.) (a) One of the tubes or folds of the mantle border of a bivalve or gastropod mollusk by which water is conducted into the gill cavity. See Illust. under Mya, and Lamellibranchiata. (b) The anterior prolongation of the margin of any gastropod shell for the protection of the soft siphon. (c) The tubular organ through which water is ejected from the gill cavity of a cephaloid. It serves as a locomotive organ, by guiding and confining the jet of water. Called also siphuncle. See Illust. under Loligo, and Dibranchiata. (d) The siphuncle of a cephalopod shell. (e) The sucking proboscis of certain parasitic insects and crustaceans. (f) A sproutlike prolongation in front of the mouth of many gephyreans. (g) A tubular organ connected both with the esophagus and the intestine of certain sea urchins and annelids. 3. A siphon bottle. Inverted siphon, a tube bent like a siphon, but having the branches turned upward; specifically (Hydraulic Engineering), a pipe for conducting water beneath a depressed place, as from one hill to another across an intervening valley, following the depression of the ground. -- Siphon barometer. See under Barometer. -- Siphon bottle, a bottle for holding aërated water, which is driven out through a bent tube in the neck by the gas within the bottle when a valve in the tube is opened; -- called also gazogene, and siphoid. -- Siphon condenser, a condenser for a steam engine, in which the vacuum is maintained by the downward flow of water through a vertical pipe of great height. -- Siphon cup, a cup with a siphon attached for carrying off any liquid in it; specifically (Mach.), an oil cup in which oil is carried over the edge of a tube in a cotton wick, and so reaches the surface to be lubricated. -- Siphon gauge. See under Gauge. -- Siphon pump, a jet pump. See under Jet, n.\n\nTo convey, or draw off, by means of a siphon, as a liquid from one vessel to another at a lower level.
siphonage |The action of a siphon.
siphonal |Of or pertaining to a siphon; resembling a siphon. Siphonal stomach (Zoöl.), a stomach which is tubular and bent back upon itself, like a siphon, as in the salmon.
siphonarid |Any one of numerous species of limpet-shaped pulmonate gastropods of the genus Siphonaria. They cling to rocks between high and low water marks and have both lunglike organs and gills. -- Si`pho*na\"rid, a.
siphonata |A tribe of bivalve mollusks in which the posterior mantle border is prolonged into two tubes or siphons. Called also Siphoniata. See Siphon, 2 (a), and Quahaug.
siphonate |1. Having a siphon or siphons. 2. (Zoöl.)  Belonging to the Siphonata.
siphonet |One of the two dorsal tubular organs on the hinder part of the abdomen of aphids. They give exit to the honeydew. See Illust. under Aphis.
siphonia |A former name for a euphorbiaceous genus (Hevea) of South American trees, the principal source of caoutchouc.
siphoniata |Same as Siphonata.
siphonic |Of or pertaining to a siphon.
siphonifer |Any cephalopod having a siphonate shell.
siphoniferous |Siphon-bearing, as the shell of the nautilus and other cephalopods.
siphonium |A bony tube which, in some birds, connects the tympanium with the air chambers of the articular piece of the mandible.
siphonobranchiata |A tribe of gastropods having the mantle border, on one or both sides, prolonged in the form of a spout through which water enters the gill cavity. The shell itself is not always siphonostomatous in this group.
siphonobranchiate |Having a siphon, or siphons, to convey water to the gills; belonging or pertaining to the Siphonobranchiata. -- n.  One of the Siphonobranchiata.
siphonoglyphe |A gonidium.
siphonophora |An order of pelagic Hydrozoa including species which form complex free-swimming communities composed of numerous zooids of various kinds, some of which act as floats or as swimming organs, others as feeding or nutritive zooids, and others as reproductive zooids. See Illust. under Physallia, and Porpita.
siphonophoran |Belonging to the Siphonophora. -- n.  One of the Siphonophora.
siphonophore |One of the Siphonophora.
siphonopoda |A division of Scaphopoda including those in which the foot terminates in a circular disk.
siphonostomata |(a) A tribe of parasitic copepod Crustacea including a large number of species that are parasites of fishes, as the lerneans. They have a mouth adapted to suck blood. (b) An artificial division of gastropods including those that have siphonostomatous shells.
siphonostomatous |(a) Having the front edge of the aperture of the shell prolonged in the shape of a channel for the protection of the siphon; -- said of certain gastropods. (b) Pertaining to the Siphonostomata.
siphonostome |(a) Any parasitic entomostracan of the tribe Siphonostomata. (b) A siphonostomatous shell.
siphorhinal |Having tubular nostrils, as the petrels.
siphorhinian |A siphorhinal bird.
siphuncle |The tube which runs through the partitions of chambered cephalopod shells.
siphuncled |Having a siphuncle; siphunculated.
siphuncular |Of or pertaining to the siphuncle.
siphunculated |Having a siphuncle. Huxley.
sipid |Having a taste or flavorl savory; sapid. [Obs.] Cockeram.
sipper |One whi sips.
sippet |A small sop; a small, thin piece of toasted bread soaked in milk, broth, or the like; a small piece of toasted or fried bread cut into some special shape and used for garnishing. Your sweet sippets in widows' houses. Milton.
sipple |To sip often. [Obs. or Scot.]
sippling |Sipping often. [Obs.] \"Taken after a sippling sort.\" Holland.
sipunculacea |A suborder of Gephyrea, including those which have the body unarmed and the intestine opening anteriorly.
sipunculoid |Pertaining to the Sipunculoidea. -- n.  One of the Sipunculoidea.
sipunculoidea |(a) Same as Gephyrea. (b) In a restricted sense, same as Sipunculacea.
sipy |Oozy; -- applied to land under cultivation that is not well drained.
sir |1. A man of social authority and dignity; a lord; a master; a gentleman; -- in this sense usually spelled sire. [Obs.] He was crowned lord and sire. Gower. In the election of a sir so rare. Shak. 2. A title prefixed to the Christian name of a knight or a baronet. Sir Horace Vere, his brother, was the principal in the active part. Bacon. 3. An English rendering of the LAtin Dominus, the academical title of a bachelor of arts; -- formerly colloquially, and sometimes contemptuously, applied to the clergy. Nares. Instead of a faithful and painful teacher, they hire a Sir John, which hath better skill in playing at tables, or in keeping of a garden, than in God's word. Latimer. 4. A respectful title, used in addressing a man, without being prefixed to his name; -- used especially in speaking to elders or superiors; sometimes, also, used in the way of emphatic formality. \"What's that to you, sir\" Sheridan. Note: Anciently, this title, was often used when a person was addressed as a man holding a certain office, or following a certain business. \"Sir man of law.\" \"Sir parish priest.\" Chaucer. Sir reverance. See under Reverence, n.
siraskier |See Seraskier.
siraskierate |See Seraskierate.
sirbonian |See Serbonian.
sircar |1. A Hindoo clerk or accountant. [India] 2. A district or province; a circar. [India] 3. The government; the supreme authority of the state. [India]
sirdar |A native chief in Hindostan; a headman. Malcom.
sire |1. A lord, master, or other person in authority. See Sir. [Obs.] Pain and distress, sickness and ire, And melancholy that angry sire, Be of her palace senators. Rom. of R. 2. A tittle of respect formerly used in speaking to elders and superiors, but now only in addressing a sovereign. 3. A father; the head of a family; the husband. Jankin thet was our sire [i.e., husband]. Chaucer. And raise his issue, like a loving sire. Shak. 4. A creator; a maker; an author; an originator. [He] was the sire of an immortal strain. Shelley. 5. The male parent of a beast; -- applied especially to horses; as, the horse had a good sire. Note: Sire is often used in composition; as in grandsire, grandfather; great-grandsire, great-grandfather.\n\nTo beget; to procreate; -- used of beasts, and especially of stallions.
siredon |The larval form of any salamander while it still has external gills; especially, one of those which, like the axolotl (Amblystoma Mexicanum), sometimes lay eggs while in this larval state, but which under more favorable conditions lose their gills and become normal salamanders. See also Axolotl.
siren |1. (Class. Myth.)  One of three sea nymphs, -- or, according to some writers, of two, -- said to frequent an island near the coast of Italy, and to sing with such sweetness that they lured mariners to destruction. Next where the sirens dwell you plow the seas; Their song is death, and makes destruction please. Pope. 2. An enticing, dangerous woman. Shak. 3. Something which is insidious or deceptive. Consumption is a siren. W. Irving. 4. A mermaid. [Obs.] Shak. 5. (Zoöl.)  Any long, slender amphibian of the genus Siren or family Sirenidæ, destitute of hind legs and pelvis, and having permanent external gills as well as lungs. They inhabit the swamps, lagoons, and ditches of the Southern United States. The more common species (Siren lacertina) is dull lead-gray in color, and becames two feet long. 6. Etym: [F. sirène, properly, a siren in sense 1.] (Acoustics)  An instrument for producing musical tones and for ascertaining the number of sound waves or vibrations per second which produce a note of a given pitch. The sounds are produced by a perforated rotating disk or disks. A form with two disks operated by steam or highly compressed air is used sounding an alarm to vessels in fog. [Written also sirene, and syren.]\n\nOf or pertaining to a siren; bewitching, like a siren; fascinating; alluring; as, a siren song.
sirene |See Siren, 6.
sirenia |An order of large aquatic herbivorous mammals, including the manatee, dugong, rytina, and several fossil genera. Note: The hind limbs are either rudimentary or wanting, and the front ones are changed to paddles. They have horny plates on the front part of the jaws, and usually flat-crowned molar teeth. The stomach is complex and the intestine long, as in other herbivorous mammals. See Cetacea (b).
sirenian |Any species of Sirenia.
sirenical |Like, or appropriate to, a siren; fascinating; deceptive. Here's couple of sirenical rascals shall enchant ye. Marton.
sirenize |To use the enticements of a siren; to act as a siren; to fascinate.
siriasis |(a) A sunstroke. (b) The act of exposing to a sun bath. [Obs.] Cf. Insolation.
sirius |The Dog Star. See Dog Star.
sirkeer |Any one of several species of Asiatic cuckoos of the genus Taccocua, as the Bengal sirkeer (T. sirkee).
sirloin |A loin of beef, or a part of a loin. [Written also surloin.]
sirname |See Surname.
siroc |See Sirocco. [Poetic] Emerson.
sirocco |An oppressive, relaxing wind from the Libyan deserts, chiefly experienced in Italy, Malta, and Sicily.
sirrah |A term of address implying inferiority and used in anger, contempt, reproach, or disrespectful familiarity, addressed to a man or boy, but sometimes to a woman. In sililoquies often preceded by ah. Not used in the plural. \"Ah, sirrah mistress.\" Beau & Fl. Go, sirrah, to my cell. Shak.
sirt |A quicksand. [Obs.]
sirup |1. A thick and viscid liquid made from the juice of fruits, herbs, etc., boiled with sugar. 2. A thick and viscid saccharine solution of superior quality (as sugarhouse sirup or molasses, maple sirup); specifically, in pharmacy and often in cookery, a saturated solution of sugar and water (simple sirup), or such a solution flavored or medicated. Lucent sirups tinct with cinnamon. Keats. Mixing sirup. See the Note under Dextrose.
siruped |Moistened, covered, or sweetened with sirup, or sweet juice.
sirupy |Like sirup, or partaking of its qualities. Mortimer.
sirvente |A peculiar species of poetry, for the most part devoted to moral and religious topics, and commonly satirical, -- often used by the troubadours of the Middle Ages.
sis |A colloquial abbreviation of Sister.\n\nSix. See Sise. [Obs.] Chaucer.
sisal grass |The prepared fiber of the Agave Americana, or American aloe, used for cordage; -- so called from Sisal, a port in Yucatan. See Sisal hemp, under Hemp.
sisal hemp |The prepared fiber of the Agave Americana, or American aloe, used for cordage; -- so called from Sisal, a port in Yucatan. See Sisal hemp, under Hemp.
