guld |A flower. See Gold. [Obs.] Chaucer.
  "hesitatingly |With hesitation or doubt.
haemoplastic |Same as Hæmatoplastic.
haemorrhoidal |Same as Hemorrhoidal.
haemoscope |An instrument devised by Hermann, for regulating and measuring the thickness of a layer of blood for spectroscopic examination.
haemostatic |Same Hemostatic.
haemotachometer |Same as Hæmatachometer.
haemotachometry |Same as Hæmatachometry.
haf |Hove. [Obs.] Chaucer.
haffle |To stammer; to speak unintelligibly; to prevaricate. [Prov.Eng.] Halliwell.
haft |1. A handle; that part of an instrument or vessel taken into the hand, and by which it is held and used; -- said chiefly of a knife, sword, or dagger; the hilt. This brandish'dagger I'll bury to the haft in her fair breast. Dryden. 2. A dwelling. [Scot.] Jamieson.\n\nTo set in, or furnish with, a haft; as, to haft a dagger.
hafter |A caviler; a wrangler. [Obs.] Baret.
hag |1. A witch, sorceress, or enchantress; also, a wizard. [Obs.] \"[Silenus] that old hag.\" Golding. 2. An ugly old woman. 3. A fury; a she-monster. Grashaw. 4. (Zoöl.)  An eel-like marine marsipobranch (Myxine glutinosa), allied to the lamprey. It has a suctorial mouth, with labial appendages, and a single pair of gill openings. It is the type of the order Hyperotpeta. Called also hagfish, borer, slime eel, sucker, and sleepmarken. 5. (Zoöl.)  The hagdon or shearwater. 6. An appearance of light and fire on a horse's mane or a man's hair. Blount. Hag moth (Zoöl.), a moth (Phobetron pithecium), the larva of which has curious side appendages, and feeds on fruit trees. -- Hag's tooth (Naut.), an ugly irregularity in the pattern of matting or pointing.\n\nTo harass; to weary with vexation. How are superstitious men hagged out of their wits with the fancy of omens. L'Estrange.\n\n1. A small wood, or part of a wood or copse, which is marked off or inclosed for felling, or which has been felled. This said, he led me over hoults and hags; Through thorns and bushes scant my legs I drew. Fairfax. 2. A quagmire; mossy ground where peat or turf has been cut. Dugdale.
hag-ridden |Ridden by a hag or witch; hence, afflicted with nightmare. Beattie. Cheyne.
hag-taper |The great woolly mullein (Verbascum Thapsus).
hagberry |A plant of the genus Prunus (P. Padus); the bird cherry. [Scot.]
hagborn |Born of a hag or witch. Shak.
hagbut |A harquebus, of which the but was bent down or hooked for convenience in taking aim. [Written also haguebut and hackbuss.]
hagbutter |A soldier armed with a hagbut or arquebus. [Written also hackbutter.] Froude.
hagdon |One of several species of sea birds of the genus Puffinus; esp., P. major, the greater shearwarter, and P. Stricklandi, the black hagdon or sooty shearwater; -- called also hagdown, haglin, and hag. See Shearwater.
hagfish |See Hag, 4.
haggada |A story, anecdote, or legend in the Talmud, to explain or illustrate the text of the Old Testament. [Written also hadaga.]
haggard |1. Wild or intractable; disposed to break away from duty; untamed; as, a haggard or refractory hawk. [Obs.] Shak 2. Etym: [For hagged, fr. hag a witch, influenced by haggard wild.]  Having the expression of one wasted by want or suffering; hollow-eyed; having the features distorted or wasted, or anxious in appearance; as, haggard features, eyes. Staring his eyes, and haggard was his look. Dryden.\n\n1. (Falconry)  A young or untrained hawk or falcon. 2. A fierce, intractable creature. I have loved this proud disdainful haggard. Shak. 3. Etym: [See Haggard, a., 2.]  A hag. [Obs.] Garth.\n\nA stackyard. [Prov. Eng.] Swift.
haggardly |In a haggard manner. Dryden.
hagged |Like a hag; lean; ugly. [R.]
haggis |A Scotch pudding made of the heart, liver, lights, etc., of a sheep or lamb, minced with suet, onions, oatmeal, etc., highly seasoned, and boiled in the stomach of the same animal; minced head and pluck. [Written also haggiss, haggess, and haggies.]
haggish |Like a hag; ugly; wrinkled. But on both did haggish age steal on. Shak.
haggishly |In the manner of a hag.
haggle |To cut roughly or hack; to cut into small pieces; to notch or cut in an unskillful manner; to make rough or mangle by cutting; as, a boy haggles a stick of wood. Suffolk first died, and York, all haggled o'er, Comes to him, where in gore he lay insteeped. Shak.\n\nTo be difficult in bargaining; to stick at small matters; to chaffer; to higgle. Royalty and science never haggled about the value of blood. Walpole.\n\nThe act or process of haggling. Carlyle.
haggler |1. One who haggles or is difficult in bargaining. 2. One who forestalls a market; a middleman between producer and dealer in London vegetable markets.
hagiarchy |A sacred government; by holy orders of men. Southey.
hagiocracy |Government by a priesthood; hierarchy.
hagiographa |1. The last of the three Jewish divisions of the Old Testament, or that portion not contained in the Law and the Prophets. It comprises Psalms, Proverbs, Job, Canticles, Ruth, Lamentations, Ecclesiastes, Esther, Daniel, Ezra, Nehemiah, and Chronicles. 2. (R. C. Ch.)  The lives of the saints. Brande & C.
hagiographal |, Pertaining to the hagiographa, or to sacred writings.
hagiographer |One of the writers of the hagiographa; a writer of lives of the saints. Shipley.
hagiography |Same Hagiographa.
hagiolatry |The invocation or worship of saints.
hagiologist |One who treats of the sacred writings; a writer of the lives of the saints; a hagiographer. Tylor. Hagiologists have related it without scruple. Southey.
hagiology |The history or description of the sacred writings or of sacred persons; a narrative of the lives of the saints; a catalogue of saints. J. H. Newman.
hagioscope |An opening made in the interior walls of a cruciform church to afford a view of the altar to those in the transepts; -- called, in architecture, a squint. Hook.
hagseed |The offspring of a hag. Shak.
hagship |The state or title of a hag. Middleton.
hague tribunal |The permanent court of arbitration created by the \"International Convention for the Pacific Settle of International Disputes.\| adopted by the International Peace Conference of 1899. It is composed of persons of known competency in questions of international law| nominated by the signatory powers. From these persons an arbitration tribunal is chosen by the parties to a difference submitted to the court. On the failure of the parties to agree directly on the arbitrators| each chooses two arbitrators| an umpire is selected by them| by a third power| or by two powers selected by the parties."
haguebut |See Hagbut.
hah |Same as Ha.
haidingerite |A mineral consisting of the arseniate of lime; -- so named in honor of W. Haidinger, of Vienna.
haiduck |Formerly, a mercenary foot soldier in Hungary, now, a halberdier of a Hungarian noble, or an attendant in German or Hungarian courts. [Written also hayduck, heiduc, heiduck, and heyduk.]
haik |A large piece of woolen or cotton cloth worn by Arabs as an outer garment. [Written also hyke.] Heyse.
haikal |The central chapel of the three forming the sanctuary of a Coptic church. It contains the high altar, and is usually closed by an embroidered curtain.
haikwan |Chinese maritime customs.
haikwan tael |A Chinese weight ( 1\/10 catty) equivalent to 1 1\/3 oz. or 37.801 g.
hail |Small roundish masses of ice precipitated from the clouds, where they are formed by the congelation of vapor. The separate masses or grains are called hailstones. Thunder mixed with hail, Hail mixed with fire, must rend the Egyptian sky. Milton.\n\nTo pour down particles of ice, or frozen vapors.\n\nTo pour forcibly down, as hail. Shak.\n\nHealthy. See Hale (the preferable spelling).\n\n1. To call loudly to, or after; to accost; to salute; to address. 2. To name; to designate; to call. And such a son as all men hailed me happy. Milton.\n\n1. To declare, by hailing, the port from which a vessel sails or where she is registered; hence, to sail; to come; -- used with from; as, the steamer hails from New York. 2. To report as one's home or the place from whence one comes; to come; -- with from. [Colloq.] G. G. Halpine.\n\nAn exclamation of respectful or reverent salutation, or, occasionally, of familiar greeting. \"Hail, brave friend.\" Shak. All hail. See in the Vocabulary. -- Hail Mary, a form of prayer made use of in the Roman Catholic Church in invocation of the Virgin. See Ave Maria.\n\nA wish of health; a salutation; a loud call. \"Their puissant hail.\" M. Arnold. The angel hail bestowed. Milton.
hail-fellow |An intimate companion. Hail-fellow well met. Lyly.
hailse |To greet; to salute. [Obs.] P. Plowman.
hailshot |Small shot which scatter like hailstones. [Obs.] Hayward.
hailstone |A single particle of ice falling from a cloud; a frozen raindrop; a pellet of hail.
hailstorm |A storm accompanied with hail; a shower of hail.
haily |Of hail. \"Haily showers.\" Pope.
hain |To inclose for mowing; to set aside for grass. \"A ground . . . hained in.\" Holland.\n\nTo inclose for mowing; to set aside for grass. \"A ground . . . hained in.\"  Holland. HAIN'T Hain't  . A contraction of have not or has not; as, I hain't, he hain't, we hain't. [Colloq. or illiterate speech.] [Written also han't.]
hair |1. The collection or mass of filaments growing from the skin of an animal, and forming a covering for a part of the head or for any part or the whole of the body. 2. One the above-mentioned filaments, consisting, in invertebrate animals, of a long, tubular part which is free and flexible, and a bulbous root imbedded in the skin. Then read he me how Sampson lost his hairs. Chaucer. And draweth new delights with hoary hairs. Spenser. 3. Hair (human or animal) used for various purposes; as, hair for stuffing cushions. 4. (Zoöl.)  A slender outgrowth from the chitinous cuticle of insects, spiders, crustaceans, and other invertebrates. Such hairs are totally unlike those of vertebrates in structure, composition, and mode of growth. 5. An outgrowth of the epidermis, consisting of one or of several cells, whether pointed, hooked, knobbed, or stellated. Internal hairs occur in the flower stalk of the yellow frog lily (Nuphar). 6. A spring device used in a hair-trigger firearm. 7. A haircloth. [Obc.] Chaucer. 8. Any very small distance, or degree; a hairbreadth. Note: Hairs is often used adjectively or in combination; as, hairbrush or hair brush, hair dye, hair oil, hairpin, hair powder, a brush, a dye, etc., for the hair. Against the hair, in a rough and disagreeable manner; against the grain. [Obs.] \"You go against the hair of your professions.\" Shak. -- Hair bracket (Ship Carp.), a molding which comes in at the back of, or runs aft from, the figurehead. -- Hair cells (Anat.), cells with hairlike processes in the sensory epithelium of certain parts of the internal ear. -- Hair compass, Hair divider, a compass or divider capable of delicate adjustment by means of a screw. -- Hair glove, a glove of horsehair for rubbing the skin. -- Hair lace, a netted fillet for tying up the hair of the head. Swift. -- Hair line, a line made of hair; a very slender line. -- Hair moth (Zoöl.), any moth which destroys goods made of hair, esp. Tinea biselliella. -- Hair pencil, a brush or fine hair, for painting; -- generally called by the name of the hair used; as, a camel's hair pencil, a sable's hair pencil, etc. -- Hair plate, an iron plate forming the back of the hearth of a bloomery fire. -- Hair powder, a white perfumed powder, as of flour or starch, formerly much used for sprinkling on the hair of the head, or on wigs. -- Hair seal (Zoöl.), any one of several species of eared seals which do not produce fur; a sea lion. -- Hair seating, haircloth for seats of chairs, etc. -- Hair shirt, a shirt, or a band for the loins, made of horsehair, and worn as a penance. -- Hair sieve, a strainer with a haircloth bottom. -- Hair snake. See Gordius. -- Hair space (Printing), the thinnest metal space used in lines of type. -- Hair stroke, a delicate stroke in writing. -- Hair trigger, a trigger so constructed as to discharge a firearm by a very slight pressure, as by the touch of a hair. Farrow. -- Not worth a hair, of no value. -- To a hair, with the nicest distinction. -- To split hairs, to make distinctions of useless nicety.
hair grass |A grass with very slender leaves or branches; as the Agrostis scabra, and several species of Aira or Deschampsia.
hair-brown |Of a clear tint of brown, resembling brown human hair. It is composed of equal proportions of red and green.
hair-salt |A variety of native Epsom salt occurring in silky fibers.
hairbell |See Harebell.
hairbird |The chipping sparrow.
hairbrained |See Harebrained. HAIRBREADTH; HAIR'SBREADTH Hair\"breadth`, Hair's\"breadth`, a.  The diameter or breadth of a hair; a very small distance; sometimes, definitely, the forty-eighth part of an inch. Every one could sling stones at an hairbreadth and not miss. Judg. xx. 16
hairbreadth |Having the breadth of a hair; very narrow; as, a hairbreadth escape.
hairbrush |A brush for cleansing and smoothing the hair.
haircloth |Stuff or cloth made wholly or in part of hair.
hairdresser |One who dresses or cuts hair; a barber.
haired |1. Having hair. \"A beast haired like a bear.\" Purchas. 2. In composition: Having (such) hair; as, red-haired.
hairen |Hairy. [Obc.] His hairen shirt and his ascetic diet. J. Taylor.
hairiness |The state of abounding, or being covered, with hair. Johnson.
hairless |Destitute of hair. Shak.
hairpin |A pin, usually forked, or of bent wire, for fastening the hair in place, -- used by women.
hairsplitter |One who makes excessively nice or needless distinctions in reasoning; one who quibbles. \"The caviling hairsplitter.\" De Quincey.
hairsplitting |Making excessively nice or trivial distinctions in reasoning; subtle. -- n.  The act or practice of making trivial distinctions. The ancient hairsplitting technicalities of special pleading. Charles Sumner.
hairspring |The slender recoil spring which regulates the motion of the balance in a timepiece.
hairstreak |A butterfly of the genus Thecla; as, the green hairstreak (T. rubi).
hairtail |Any species of marine fishes of the genus Trichiurus; esp., T. lepterus of Europe and America. They are long and like a band, with a slender, pointed tail. Called also bladefish.
hairworm |A nematoid worm of the genus Gordius, resembling a hair. See Gordius.
hairy |Bearing or covered with hair; made of or resembling hair; rough with hair; rough with hair; rough with hair; hirsute. His mantle hairy, and his bonnet sedge. Milton.
haitian |See Haytian.
haje |The Egyptian asp or cobra (Naja haje.) It is related to the cobra of India, and like the latter has the power of inflating its neck into a hood. Its bite is very venomous. It is supposed to be the snake by means of whose bite Cleopatra committed suicide, and hence is sometimes called Cleopatra's snake or asp. See Asp.
hake |A drying shed, as for unburned tile.\n\nOne of several species of marine gadoid fishes, of the genera Phycis, Merlucius, and allies. The common European hake is M. vulgaris; the American silver hake or whiting is M. bilinearis. Two American species (Phycis chuss and P. tenius) are important food fishes, and are also valued for their oil and sounds. Called also squirrel hake, and codling.\n\nTo loiter; to sneak. [Prov. Eng.] HAKE'S-DAME Hake's\"-dame`, n.  See Forkbeard.
haketon |Same as Acton. [Obs.]
hakim |A wise man; a physician, esp. a Mohammedan. [India]\n\nA Mohammedan title for a ruler; a judge. [India]
halacha |The general term for the Hebrew oral or traditional law; one of two branches of exposition in the Midrash. See Midrash.
halation |An appearance as of a halo of light, surround the edges of dark object
halberd |An ancient long-handled weapon, of which the head had a point and several long, sharp edges, curved or straight, and sometimes additional points. The heads were sometimes of very elaborate form. [Written also halbert.]
halberd-shaped |Hastate.
halberdier |One who is armed with a halberd. Strype.
halcyon |A kingfisher. By modern ornithologists restricted to a genus including a limited number of species having omnivorous habits, as the sacred kingfisher (Halcyon sancta) of Australia. Amidst our arms as quiet you shall be As halcyons brooding on a winter sea. Dryden.\n\n1. Pertaining to, or resembling, the halcyon, which was anciently said to lay her eggs in nests on or near the sea during the calm weather about the winter solstice. 2. Hence: Calm; quiet; peaceful; undisturbed; happy. \"Deep, halcyon repose.\" De Quincy.
halcyonian |Halcyon; calm.
halcyonoid |See Alcyonoid.
hale |Sound; entire; healthy; robust; not impaired; as, a hale body. Last year we thought him strong and hale. Swift.\n\nWelfare. [Obs.] All heedless of his dearest hale. Spenser.\n\nEtym: [OE. halen, halien; cf. AS. holian, to acquire, get. See Haul.]  To pull; to drag; to haul. See Haul. Chaucer. Easier both to freight, and to hale ashore. Milton. As some dark priest hales the reluctant victim. Shelley.
halesia |A genus of American shrubs containing several species, called snowdrop trees, or silver-bell trees. They have showy, white flowers, drooping on slender pedicels.
half |1. Consisting of a moiety, or half; as, a half bushel; a half hour; a half dollar; a half view. Note: The adjective and noun are often united to form a compound. 2. Consisting of some indefinite portion resembling a half; approximately a half, whether more or less; partial; imperfect; as, a half dream; half knowledge. Assumed from thence a half consent. Tennyson. Half ape (Zoöl.), a lemur. -- Half back. (Football) See under 2d Back. -- Half bent, the first notch, for the sear point to enter, in the tumbler of a gunlock; the halfcock notch. -- Half binding, a style of bookbinding in which only the back and corners are in leather. -- Half boarder, one who boards in part; specifically, a scholar at a boarding school who takes dinner only. -- Half-breadth plan (Shipbuilding), a horizontal plan of the half a vessel, divided lengthwise, showing the lines. -- Half cadence (Mus.), a cadence on the dominant. -- Half cap, a slight salute with the cap. [Obs.] Shak. -- A half cock, the position of the cock of a gun when retained by the first notch. -- Half hitch, a sailor's knot in a rope; half of a clove hitch. -- Half hose, short stockings; socks. -- Half measure, an imperfect or weak line of action. -- Half note (Mus.), a minim, one half of a semibreve. -- Half pay, half of the wages or salary; reduced pay; as, an officer on half pay. -- Half price, half the ordinary price; or a price much reduced. -- Half round. (a) (Arch.) A molding of semicircular section. (b) (Mech.) Having one side flat and the other rounded; -- said of a file. -- Half shift (Mus.), a position of the hand, between the open position and the first shift, in playing on the violin and kindred instruments. See Shift. -- Half step (Mus.), a semitone; the smallest difference of pitch or interval, used in music. -- Half tide, the time or state of the tide equally distant from ebb and flood. -- Half time, half the ordinary time for work or attendance; as, the half-time system. -- Half tint (Fine Arts), a middle or intermediate tint, as in drawing or painting. See Demitint. -- Half truth, a statement only partially true, or which gives only a part of the truth. Mrs. Browning. -- Half year, the space of six moths; one term of a school when there are two terms in a year.\n\nIn an equal part or degree; in some paas, half-colored, half done, half-hearted, half persuaded, half conscious. \"Half loth and half consenting.\" Dryden. Their children spoke halfin the speech of Ashdod. Neh. xiii. 24\n\n1. Part; side; behalf. [Obs.] Wyclif. The four halves of the house. Chaucer. 2. One of two equal parts into which anything may be divided, or considered as divided; -- sometimes followed by of; as, a half of an apple. Not half his riches known, and yet despised. Milton. A friendship so complete Portioned in halves between us. Tennyson. Better half. See under Better. -- In half, in two; an expression sometimes used improperly instead of in or into halves; as, to cut in half. [Colloq.] Dickens. -- In, or On, one's half, in one's behalf; on one's part. [Obs.] -- To cry halves, to claim an equal share with another. -- To go halves, to share equally between two.\n\nTo halve. [Obs.] See Halve. Sir H. Wotton.
half blood |1. The relation between persons born of the same father or of the same mother, but not of both; as, a brother or sister of the half blood. See Blood, n., 2 and 4. 2. A person so related to another. 3. A person whose father and mother are of different races; a half- breed. Note: In the 2d and 3d senses usually with a hyphen.
half nelson |A hold in which one arm is thrust under the corresponding arm of the opponent, generally behind, and the hand placed upon the back of his neck. In the full nelson both hands are so placed.
half seas over |Half drunk. [Slang: used only predicatively.] Spectator.
half tone |1. (Fine Arts) (a) An intermediate or middle tone in a painting, engraving, photograph, etc.; a middle tint, neither very dark nor very light. (b) A half-tone photo-engraving. 2.  (Music) A half step.
half-and-half |A mixture of two malt liquors, esp. porter and ale, in about equal parts. Dickens.
half-blooded |1. Proceeding from a male and female of different breeds or races; having only one parent of good stock; as, a half-blooded sheep. 2. Degenerate; mean.
half-boot |A boot with a short top covering only the ankle. See Cocker, and Congress boot, under Congress.
half-bound |Having only the back and corners in leather, as a book.
half-bred |1. Half-blooded. [Obs.] 2. Imperfectly acquainted with the rules of good-breeding; not well trained. Atterbury.
half-breed |Half-blooded.\n\nA person who is blooded; the offspring of parents of different races, especially of the American Indian and the white race.
half-brother |A brother by one parent, but not by both.
half-caste |One born of a European parent on the one side, and of a Hindoo or Mohammedan on the other. Also adjective; as, half-caste parents.
half-clammed |Half-filled. [Obs.] Lions' half-clammed entrails roar food. Marston.
half-cracked |Half-demented; half-witted. [Colloq.]
half-deck |1. (Zoöl.)  A shell of the genus Crepidula; a boat shell. See Boat shell. 2. See Half deck, under Deck.
half-decked |Partially decked. The half-decked craft . . . used by the latter Vikings. Elton.
