roger |A black flag with white skull and crossbones, formerly used by pirates; -- called also Jolly Roger.
rota |1. An ecclesiastical court of Rome, called also Rota Romana, that takes cognizance of suits by appeal. It consists of twelve members. 2. (Eng. Hist.)  A short-lived political club established in 1659 by J.Harrington to inculcate the democratic doctrine of election of the principal officers of the state by ballot, and the annual retirement of a portion of Parliament.\n\nA species of zither, played like a guitar, used in the Middle Ages in church music; -- written also rotta.
rotacism |See Rhotacism.
rotal |Relating to wheels or to rotary motion; rotary. [R.]
rotalite |Any fossil foraminifer of the genus Rotalia, abundant in the chalk formation. See Illust. under Rhizopod.
rotary |Turning, as a wheel on its axis; pertaining to, or resembling, the motion of a wheel on its axis; rotatory; as, rotary motion. Rotary engine, steam engine in which the continuous rotation of the shaft is produced by the direct action of the steam upon rotating devices which serve as pistons, instead of being derived from a reciprocating motion, as in the ordinary engine; a steam turbine; -- called also rotatory engine. -- Rotary pump, a pump in which the fluid is impelled by rotating devices which take the place of reciprocating buckets or pistons. -- Rotary shears, shears, as for cloth, metal, etc., in which revolving sharp-edged or sharp-cornered wheels do the cutting. -- Rotary valve, a valve acting by continuous or partial rotation, as in the four-way cock.
rotascope |Same as Gyroscope, 1.
rotate |Having the parts spreading out like a wheel; wheel-shaped; as, a rotate spicule or scale; a rotate corolla, i.e., a monopetalous corolla with a flattish border, and no tube or a very short one.\n\n1. To turn, as a wheel, round an axis; to revolve. 2. To perform any act, function, or operation in turn, to hold office in turn; as, to rotate in office.\n\n1. To cause to turn round or revolve, as a wheel around an axle. 2. To cause to succeed in turn; esp., to cause to succeed some one, or to be succeeded by some one, in office. [Colloq.] \"Both, after a brief service, were rotated out of office.\" Harper's Mag.
rotated |Turned round, as a wheel; also, wheel-shaped; rotate.
rotation |1. The act of turning, as a wheel or a solid body on its axis, as distinguished from the progressive motion of a revolving round another body or a distant point; thus, the daily turning of the earth on its axis is a rotation; its annual motion round the sun is a revolution. 2. Any return or succesion in a series. Moment of rotation. See Moment of inertia, under Moment. -- Rotation in office, the practice of changing public officers at frequent intervals by discharges and substitutions. -- Rotation of crops, the practices of cultivating an orderly succession of different crops on the same land.\n\nPertaining to, or resulting from, rotation; of the nature of, or characterized by, rotation; as, rotational velocity.
rotative |turning, as a wheel; rotary; rotational. This high rotative velocity of the sun must cause an equatorial rise of the solar atmosphere. Siemens. Rotative engine, a steam engine in which the reciprocating motion of the piston is transformed into a continuous rotary motion, as by means of a connecting rod, a working beam and crank, or an oscillating cylinder.
rotator |1. (Anat.)  that which gives a rotary or rolling motion, as a muscle which partially rotates or turns some part on its axis. 2. (Metal.)  A revolving reverberatory furnace.
rotatoria |Same as Rotifera.
rotatory |1. Turning as on an axis; rotary. 2. Going in a circle; following in rotation or succession; as, rotatory assembles. Burke. 3. (Opt.)  Producing rotation of the plane of polarization; as, the rotatory power of bodies on light. See the Note under polarization. Nichol.\n\nA rotifer. [R.] Kirby.
rotche |A very small arctic sea bird (Mergulus alle, or Alle alle) common on both coasts of the Atlantic in winter; -- called also little auk, dovekie, rotch, rotchie, and sea dove.
rotchet |The European red gurnard (Trigla pini).
rote |A root. [Obs.] Chaucer.\n\nA kind of guitar, the notes of which were produced by a small wheel or wheel-like arrangement; an instrument similar to the hurdy- gurdy. Well could he sing and play on a rote. Chaucer. extracting mistuned dirges from their harps, crowds, and rotes. Sir W. Scott.\n\nThe noise produced by the surf of the sea dashing upon the shore. See Rut.\n\nA frequent repetition of forms of speech without attention to the meaning; mere repetition; as, to learn rules by rote. Swift. till he the first verse could [i. e., knew] all by rote. Chaucer. Thy love did read by rote, and could not spell. Shak.\n\nTo learn or repeat by rote. [Obs.] Shak.\n\nTo go out by rotation or succession; to rotate. [Obs.] Z. Grey.
rotella |Any one of numerous species of small, polished, brightcolored gastropods of the genus Rotella, native of tropical seas.
rotgut |1. Bad small beer. [Slang] 2. Any bad spirituous liquor, especially when adulterated so as to be very deleterious. [Slang]
rother |Bovine. -- n.  A bovine beast. [Obs.] Shak. Rother beasts, cattle of the bovine genus; black cattle. [Obs.] Golding. -- Rother soil, the dung of rother beasts.\n\nA rudder. Rother nail, a nail with a very full head, used for fastening the rudder irons of ships; -- so called by shipwrights.
rotifer |One of the Rotifera. See Illust. in Appendix.
rotifera |An order of minute worms which usually have one or two groups of vibrating cilia on the head, which, when in motion, often give an appearance of rapidly revolving wheels. The species are very numerous in fresh waters, and are very diversified in form and habits.
rotiform |1. Wheel-shaped; as, rotiform appendages. 2. (Bot.)  Same as Rotate.
rotograph |A photograph printed by a process in which a strip or roll of sensitized paper is automatically fed over the negative so that a series of prints are made, and are then developed, fixed, cut apart, and washed at a very rapid rate.
rotor |The rotating part of a generator or motor.
rotta |See Rota.
rotten |Having rotted; putrid; decayed; as, a rotten apple; rotten meat. Hence: (a) Offensive to the smell; fetid; disgusting. You common cry or curs! whose breath I hate As reek of the rotten fens. Shak. (b) Not firm or trusty; unsound; defective; treacherous; unsafe; as, a rotten plank, bone, stone. \"The deepness of the rotten way.\" Knolles. Rotten borough. See under Borough. -- Rotten stone (Min.), a soft stone, called also Tripoli (from the country from which it was formerly brought), used in all sorts of finer grinding and polishing in the arts, and for cleaning metallic substances. The name is also given to other friable siliceous stones applied to like uses. Syn. -- Putrefied; decayed; carious; defective; unsound; corrupt; deceitful; treacherous. -- Rot\"ten*ly, adv. -- Rot\"ten*ness, n.
rotula |The patella, or kneepan.
rotular |Of or pertaining to the rotula, or kneepan.
rotund |1. Round; circular; spherical. 2. Hence; complete; entire. 3. (Bot.)  orbicular, or nearly so. Gray.\n\nA rotunds. [Obs.] Burke.
rotunda |A round building; especially, one that is round both on the outside and inside, like the Pantheon at Rome. Less properly, but very commonly, used for a large round room; as, the rotunda of the Capitol at Washington.
rotundate |Rounded; especially, rounded at the end or ends, or at the corners.
rotundifolious |Having round leaves.
rotundity |1. The state or quality of being rotu Smite flat the thick rotundity o'the world! Shak. 2. Hence, completeness; entirety; roundness. For the more rotundity of the number and grace of the matter, it passeth for a full thousand. Fuller. A boldness and rotundity of speech. Hawthorne.
rotundness |Roundness; rotundity.
rotundo |See Rotunda.
roture |1. The condition of being a roturier. 2.  (Fr. & Canadian Law) A feudal tenure of lands by one who has no privileges of nobility, but is permitted to discharge all his obligations to his feudal lord or superior by a payment of rent in money or kind and without rendering any personal services.
roturer |A roturier. [Obs.] Howell.
roturier |A person who is not of noble birth; specif., a freeman who during the prevalence of feudalism held allodial land.
roty |To make rotten. [Obs.] Well bet is rotten apple out of hoard, Than that it roty all the remenant. Chaucer.
rouble |A coin. See Ruble.
rouche |See Ruche.
roue |One devoted to a life of sensual pleasure; a debauchee; a rake.
rouet |A small wheel formerly fixed to the pan of firelocks for discharging them. Crabb.
rouge |red. [R.] Rouge et noir ( Etym: [F., red and black], a game at cards in which persons play against the owner of the bank; -- so called because the table around which the players sit has certain compartments colored red and black, upon which the stakes are deposited. Hoyle.\n\n1. (Chem.)  A red amorphous powder consisting of ferric oxide. It is used in polishing glass, metal, or gems, and as a cosmetic, etc. Called also crocus, jeweler's rouge, etc. 2. A cosmetic used for giving a red color to the cheeks or lips. The best is prepared from the dried flowers of the safflower, but it is often made from carmine. Ure.\n\nTo paint the face or cheeks with rouge.\n\nTo tint with rouge; as, to rouge the face or the cheeks.
rouge dragon |One of the four pursuivants of the English college of arms.
rougecroix |One of the four pursuivants of the English college of arms.
rough |1. Having inequalities, small ridges, or points, on the surface; not smooth or plain; as, a rough board; a rough stone; rough cloth. Specifically: (a) Not level; having a broken surface; uneven; -- said of a piece of land, or of a road. \"Rough, uneven ways.\" Shak. (b) Not polished; uncut; -- said of a gem; as, a rough diamond. (c) Tossed in waves; boisterous; high; -- said of a sea or other piece of water. More unequal than the roughest sea. T. Burnet. (d) Marked by coarseness; shaggy; ragged; disordered; -- said of dress, appearance, or the like; as, a rough coat. \"A visage rough.\" Dryden. \"Roughsatyrs.\" Milton. 2. Hence, figuratively, lacking refinement, gentleness, or polish. Specifically: (a) Not courteous or kind; harsh; rude; uncivil; as, a rough temper. A fiend, a fury, pitiless and rough. Shak. A surly boatman, rough as wayes or winds. Prior. (b) Marked by severity or violence; harsh; hard; as, rough measures or actions. On the rough edge of battle. Milton. A quicker and rougher remedy. Clarendon. Kind words prevent a good deal of that perverseness which rough and imperious usage often produces. Locke. (c) Loud and hoarse; offensive to the ear; harsh; grating; -- said of sound, voice, and the like; as, a rough tone; rough numbers. Pope. (d) Austere; harsh to the taste; as, rough wine. (e) Tempestuous; boisterous; stormy; as, rough weather; a rough day. He stayeth his rough wind. Isa. xxvii. 8. Time and the hour runs through the roughest day. Shak. (f) Hastily or carelessly done; wanting finish; incomplete; as, a rough estimate; a rough draught. Rough diamond, an uncut diamond; hence, colloquially, a person of intrinsic worth under a rude exterior. -- Rough and ready. (a) Acting with offhand promptness and efficiency. \"The rough and ready understanding.\" Lowell. (b) Produced offhand. \"Some rough and ready theory.\" Tylor.\n\n1. Boisterous weather. [Obs.] Fletcher. 2. A rude fellow; a coarse bully; a rowdy. In the rough, in an unwrought or rude condition; unpolished; as, a diamond or a sketch in the rough. Contemplating the people in the rough. Mrs. Browning.\n\nIn a rough manner; rudely; roughly. Sleeping rough on the trenches, and dying stubbornly in their boats. Sir W. Scott.\n\n1. To render rough; to roughen. 2. To break in, as a horse, especially for military purposes. Crabb. 3. To cut or make in a hasty, rough manner; -- with out; as, to rough out a carving, a sketch. Roughing rolls, rolls for reducing, in a rough manner, a bloom of iron to bars. -- To rough it, to endure hard conditions of living; to live without ordinary comforts.
rough-footed |Feather-footed; as, a rough-footed dove. [R.] Sherwood.
rough-grained |Having a rough grain or fiber; hence, figuratively, having coarse traits of character; not polished; brisque.
rough-legged |Having the legs covered with feathers; -- said of a bird. rough-legged hawk. (Zoöl.) See Roughleg.
roughcast |1. To form in its first rudiments, without revision, correction, or polish. Dryden. 2. To mold without nicety or elegance; to form with asperities and inequalities. 3. To plaster with a mixture of lime and shells or pebbles; as, to roughcast a building.\n\n1. A rude model; the rudimentary, unfinished form of a thing. 2. A kind of plastering made of lime, with a mixture of shells or pebbles, used for covering buildings. Shak.
roughcaster |One who roughcasts.
roughdraw |To draw or delineate rapidly and by way of a first sketch.
roughdry |in laundry work, to dry without smoothing or ironing.
roughen |To make rough.\n\nTo grow or become rough.
roughhead |The redfin.
roughhew |1. To hew coarsely, without smoothing; as, to roughhew timber. 2. To give the first form or shape to; to form rudely; to shape appromaxitely and rudely; to roughcast. There's a divinity that shapes our ends, Roughhew them how we will. Shak.
roughhewer |One who roughhews.
roughhewn |1. Hewn coarsely without smoothing; unfinished; not polished. 2. Of coarse manners; rude; uncultivated; rough-grained. \"A roughhewn seaman.\" Bacon.
roughing-in |The first coat of plaster laid on brick; also, the process of applying it.
roughings |Rowen. [Prov. Eng.]
roughish |Somewhat rough.
roughleg |Any one of several species of large hawks of the genus Archibuteo, having the legs feathered to the toes. Called also rough- legged hawk, and rough-legged buzzard. Note: The best known species is Archibuteo lagopus of Northern Europe, with its darker American variety (Sancti-johannis). The latter is often nearly or quite black. The ferruginous roughleg (Archibuteo ferrugineus) inhabits Western North America.
roughly |In a rough manner; unevenly; harshly; rudely; severely; austerely.
roughness |The quality or state of being rough.
roughrider |One who breaks horses; especially (Mil.), a noncommissioned officer in the British cavalry, whose duty is to assist the riding master.
roughscuff |A rough, coarse fellow; collectively, the lowest class of the people; the rabble; the riffraff. [Colloq. U.S.]
roughsetter |A mason who builds rough stonework.
roughshod |Shod with shoes armed with points or calks; as, a roughshod horse. To ride roughshod, to pursue a course regardless of the pain or distress it may cause others.
roughstrings |Pieces of undressed timber put under the steps of a wooden stair for their support.
rought |imp. of Reach.\n\nimp. of Reck, to care. Chaucer.
roughtail |Any species of small ground snakes of the family Uropeltidæ; -- so called from their rough tails.
roughwork |To work over coarsely, without regard to nicety, smoothness, or finish. Moxon.
roughwrought |Wrought in a rough, unfinished way; worked over coarsely.
rouk |See 5th Ruck, and Roke. [Obs.]
roulade |A smoothly running passage of short notes (as semiquavers, or sixteenths) uniformly grouped, sung upon one long syllable, as in Handel's oratorios.
rouleau |A little roll; a roll of coins put up in paper, or something resembling such a roll.
roulette |1. A game of chance, in which a small ball is made to move round rapidly on a circle divided off into numbered red and black spaces, the one on which it stops indicating the result of a variety of wagers permitted by the game. 2. (Fine Arts) (a) A small toothed wheel used by engravers to roll over a plate in order to order to produce rows of dots. (b) A similar wheel used to roughen the surface of a plate, as in making alterations in a mezzotint. 3. (Geom.)  the curve traced by any point in the plane of a given curve when the latter rolls, without sliding, over another fixed curve. See Cycloid, and Epycycloid.
rouly-pouly |See Rolly-pooly.
roumanian |Of or pertaining to Roumania.\n\nAn inhabitant of Roumania; also, the language of Roumania, one of the Romance or Romanic languages descended from Latin, but containing many words from other languages, as Slavic, Turkish, and Greek.
roun |To whisper. [obs.] Gower. Another rouned to his fellow low. Chaucer.
rounce |The handle by which the bed of a hand press, holding the form of type, etc., is run in under the platen and out again; -- sometimes applied to the whole apparatus by which the form is moved under the platen.
rounceval |Large; strong; -- from the gigantic bones shown at Roncesvalles, and alleged to be those of old heroes. [Obs.]\n\nA giant; anything large; a kind of pea called also marrowfat. [Obs.]
rouncy |A common hackney horse; a nag. [Obs.] he rode upon a rouncy as he could. Chaucer.
round |To whisper. [obs.] Shak. Holland. The Bishop of Glasgow rounding in his ear, \"Ye are not a wise man,\" . . . he rounded likewise to the bishop, and said, \"Wherefore brought ye me here\" Calderwood.\n\n1. Having every portion of the surface or of the circumference equally distant from the center; spherical; circular; having a form approaching a spherical or a circular shape; orbicular; globular; as, a round ball. \"The big, round tears.\" Shak. Upon the firm opacous globe Of this round world. Milton. 2. Having the form of a cylinder; cylindrical; as, the barrel of a musket is round. 3. Having a curved outline or form; especially, one like the arc of a circle or an ellipse, or a portion of the surface of a sphere; rotund; bulging; protuberant; not angular or pointed; as, a round arch; round hills. \"Their round haunches gored.\" Shak. 4. Full; complete; not broken; not fractional; approximately in even units, tens, hundreds, thousands, etc.; -- said of numbers. Pliny put a round number near the truth, rather than the fraction. Arbuthnot. 5. Not inconsiderable; large; hence, generous; free; as, a round price. Three thousand ducats; 'tis a good round sum. Shak. Round was their pace at first, but slackened soon. Tennyson. 6. Uttered or emitted with a full tone; as, a round voice; a round note. 7. (Phonetics)  Modified, as a vowel, by contraction of the lip opening, making the opening more or less round in shape; rounded; labialized; labial. See Guide to Pronunciation, § 11. 8. Outspoken; plain and direct; unreserved; unqualified; not mincing; as, a round answer; a round oath. \"The round assertion.\" M. Arnold. Sir Toby, I must be round with you. Shak. 9. Full and smoothly expanded; not defective or abrupt; finished; polished; -- said of style, or of authors with reference to their style. [Obs.] In his satires Horace is quick, round, and pleasant. Peacham. 10. Complete and consistent; fair; just; -- applied to conduct. Round dealing is the honor of man's nature. Bacon. At a round rate, rapidly. Dryden. -- In round numbers, approximately in even units, tens, hundreds, etc.; as, a bin holding 99 or 101 bushels may be said to hold in round numbers 100 bushels. -- Round bodies (Geom.), the sphere right cone, and right cylinder. -- Round clam (Zoöl.), the quahog. -- Round dance one which is danced by couples with a whirling or revolving motion, as the waltz, polka, etc. -- Round game, a game, as of cards, in which each plays on his own account. -- Round hand, a style of penmanship in which the letters are formed in nearly an upright position, and each separately distinct; -- distinguished from running hand. -- Round robin. Etym: [Perhaps F. round round + ruban ribbon.] (a) A written petition, memorial, remonstrance, protest, etc., the signatures to which are made in a circle so as not to indicate who signed first. \"No round robins signed by the whole main deck of the Academy or the Porch.\" De Quincey. (b) (Zoöl.) The cigar fish. -- Round shot, a solid spherical projectile for ordnance. -- Round Table, the table about which sat King Arthur and his knights. See Knights of the Round Table, under Knight. -- Round tower, one of certain lofty circular stone towers, tapering from the base upward, and usually having a conical cap or roof, which crowns the summit, -- found chiefly in Ireland. They are of great antiquity, and vary in heigh from thirty-five to one hundred and thiry feet. -- Round trot, one in which the horse throws out his feet roundly; a full, brisk, quick trot. Addison. -- Round turn (Naut.), one turn of a rope round a timber, a belaying pin, etc. -- To bring up with a round turn, to stop abruptly. [Colloq.] Syn. -- Circular; spherical; globular; globase; orbicular; orbed; cylindrical; full; plump; rotund.\n\n1. Anything round, as a circle, round\" [the crown]. Shak. In labyrinth of many a round self-rolled. Milton. 2. A series of changes or events ending where it began; a series of like events recurring in continuance; a cycle; a periodical revolution; as, the round of the seasons; a round of pleasures. 3. A course of action or conduct performed by a number of persons in turn, or one after another, as if seated in a circle. Women to cards may be compared: we play A round or two; which used, we throw away. Granville. The feast was served; the bowl was crowned; To the king's pleasure went the mirthful round. Prior. 4. A series of duties or tasks which must be performed in turn, and then repeated. the trivial round, the common task. Keble. 5. A circular dance. Come, knit hands, and beat the ground, In a light fantastic round. Milton. 6. That which goes round a whole circle or company; as, a round of applause. 7. Rotation, as in office; succession. Holyday. 8. The step of a ladder; a rundle or rung; also, a crosspiece which joins and braces the legs of a chair. All the rounds like Jacob's ladder rise. Dryden. 9. A course ending where it began; a circuit; a beat; especially, one freguently or regulary traversed; also, the act of traversing a circuit; as, a watchman's round; the rounds of the postman. 10. (Mil.) (a) A walk performed by a guard or an officer round the rampart of a garrison, or among sentinels, to see that the sentinels are faithful and all things safe; also, the guard or officer, with his attendants, who performs this duty; -- usually in the plural. (b) A general discharge of firearms by a body of troops in which each soldier fires once. (c) Ammunition for discharging a piece or pieces once; as, twenty rounds of ammunition were given out. 11. (Mus.)  A short vocal piece, resembling a catch in which three or four voices follow each other round in a species of canon in the unison. 12. The time during which prize fighters or boxers are in actual contest without an intermission, as prescribed by their rules; a bout. 13. A brewer's vessel in which the fermentation is concluded, the yeast escaping through the bunghole. 14. A vessel filled, as for drinking. [R.] 15. An assembly; a group; a circle; as, a round of politicians. Addison. 16. (Naut.)  See Roundtop. 17. Same as Round of beef, below. Gentlemen of the round. (a) Gentlemen soldiers of low rank who made the rounds. See 10 (a), above. (b) Disbanded soldiers who lived by begging. [Obs.] Worm-eaten gentlemen of the round, such as have vowed to sit on the skirts of the city, let your provost and his half dozen of halberdiers do what they can. B. Jonson. -- Round of beef, the part of the thigh below the aitchbone, or between the rump and the leg. See Illust. of beef. -- Round steak, a beefsteak cut from the round. -- Sculpture in the round, sculpture giving the full form, as of man; statuary, distinguished from relief.\n\n1. On all sides; around. Round he throws his baleful eyes. Milton. 2. Circularly; in a circular form or manner; by revolving or reversing one's position; as, to turn one's head round; a wheel turns round. 3. In circumference; as, a ball is ten inches round. 4. From one side or party to another; as to come or turn round, -- that is, to change sides or opinions. 5. By or in a circuit; by a course longer than the direct course; back to the starting point. 6. Through a circle, as of friends or houses. The invitations were sent round accordingly. Sir W. Scott. 7. Roundly; fully; vigorously. [Obs.] Chaucer. All round, over the whole place; in every direction. -- All-round, of general capacity; as, an all-round man. [Colloq.] - - To bring one round. (a) To cause one to change his opinions or line of conduct. (b) To restore one to health. [Colloq.]\n\nOn every side of, so as to encompass or encircle; around; about; as, the people atood round him; to go round the city; to wind a cable round a windlass. The serpent Error twines round human hearts. Cowper. Round about, an emphatic form for round or about. \"Moses . . . set them [The elders] round about the tabernacle.\" Num. xi. 24. -- To come round, to gain the consent of, or circumvent, (a person) by flattery or deception. [Colloq.]\n\n1. To make circular, spherical, or cylindrical; to give a round or convex figure to; as, to round a silver coin; to round the edges of anything. Worms with many feet, which round themselves into balls, are bred chiefly under logs of timber. Bacon. The figures on our modern medals are raised and rounded to a very great perfection. Addison. 2. To surround; to encircle; to encompass. The inclusive verge Of golden metal that must round my brow. Shak. 3. To bring to fullness or completeness; to complete; hence, to bring to a fit conclusion. We are such stuff As dreams are made on, and our little life Is rounded with a sleep. Shak. 4. To go round wholly or in part; to go about (a corner or point); as, to round a corner; to round Cape Horn. 5. To make full, smooth, and flowing; as, to round periods in writing. Swift. To round in (Naut.) To haul up; usually, to haul the slack of (a rope) through its leading block, or to haul up (a tackle which hangs loose) by its fall. Totten. (b) To collect together (cattle) by riding around them, as on cattle ranches. [Western U.S.]\n\n1. To grow round or full; hence, to attain to fullness, completeness, or perfection. The queen your mother rounds apace. Shak. So rounds he to a separate mind, From whence clear memory may begin. Tennyson. 2. To go round, as a guard. [Poetic] They . . . nightly rounding walk. Milton. 3. To go or turn round; to wheel about. Tennyson. To round to (Naut.), to turn the head of a ship toward the wind.
round-arm |Applied to the method delivering the ball in bowling, by swinging the arm horizontally. R. A. Proctor.
round-backed |Having a round back or shoulders; round-shouldered.
round-shouldered |Having the shoulders stooping or projecting; round-backed.
round-up |The act of collecting or gathering together scattered cattle by riding around them and driving them in. [Western U.S.]
roundabout |1. Circuitous; going round; indirect; as, roundabout speech. We have taken a terrible roundabout road. Burke. 2. Encircling; enveloping; comprehensive. \"Large, sound, roundabout sense.\" Locke.\n\n1. A horizontal wheel or frame, commonly with wooden horses, etc., on which children ride; a merry-go-round. Smart. 2. A dance performed in a circle. Goldsmith. 3. A short, close jacket worn by boys, sailors, etc. 4. A state or scene of constant change, or of recurring labor and vicissitude. Cowper.
roundaboutness |The quality of being roundabout; circuitousness.
rounded |Modified by contraction of the lip opening; labialized; labial. See Guide to Pronunciation, § 11.
roundel |1. (Mus.)  A rondelay. \"Sung all the roundel lustily.\" Chaucer. Come, now a roundel and a fairy song. Shak. 2. Anything having a round form; a round figure; a circle. The Spaniards, casting themselves into roundels, . . . made a flying march to Calais. Bacon. Specifically: (a) A small circular shield, sometimes not more than a foot in diameter, used by soldiers in the fourteenth and fifteenth centuries. (b) (Her.) A circular spot; a sharge in the form of a small circle. (c) (Fort.) A bastion of a circular form.
roundelay |1. (Poetry)  See Rondeau, and Rondel. 2. (Mus.) (a) A tune in which a simple strain is often repeated; a simple rural strain which is short and lively. Spenser. Tennyson. (b) A dance in a circle. 3. Anything having a round form; a roundel.
rounder |1. One who rounds; one who comes about frequently or regularly. 2. A tool for making an edge or surface round. 3. pl.  An English game somewhat resembling baseball; also, another English game resembling the game of fives, but played with a football. Now we play rounders, and then we played prisoner's base. Bagehot.
roundfish |(a) Any ordinary market fish, exclusive of flounders, sole, halibut, and other flatfishes. (b) A lake whitefish (Coregonus quadrilateralis), less compressed than the common species. It is very abundant in British America and Alaska.
roundhead |A nickname for a Puritan. See Roundheads, the, in the Dictionary of Noted Names in Fiction. Toone.
roundheaded |Having a round head or top.
roundhouse |1. A constable's prison; a lockup, watch-house, or station house. [Obs.] 2. (Naut.) (a) A cabin or apartament on the after part of the quarter-deck, having the poop for its roof; -- sometimes called the coach. (b) A privy near the bow of the vessel. 3. A house for locomotive engines, built circularly around a turntable.
rounding |Round or nearly round; becoming round; roundish.\n\n1. (Naut.)  Small rope, or strands of rope, or spun yarn, wound round a rope to keep it from chafing; -- called also service. 2. (Phonetics)  Modifying a speech sound by contraction of the lip opening; labializing; labialization. See Guide to Pronunciation, § 11.
roundish |Somewhat round; as, a roundish seed; a roundish figure. -- Round\"ish*ness, n.
roundlet |A little circle. J. Gregory.
roundly |1. In a round form or manner. 2. Openly; boldly; peremptorily; plumply. He affirms everything roundly. Addison. 3. Briskly; with speed. locke. Two of the outlaws walked roundly forward. Sir W. Scott. 4. Completely; vigorously; in earnest. Shak. 5. Without regard to detail; in gross; comprehensively; generally; as, to give numbers roundly. In speaking roundly of this period. H. Morley.
roundness |1. The quality or state of being round in shape; as, the roundness of the globe, of the orb of the sun, of a ball, of a bowl, a column, etc. 2. Fullness; smoothness of flow; as, the roundness of a period; the roundness of a note; roundness of tone. 3. Openess; plainess; boldness; positiveness; as, the roundness of an assertion. Syn. -- Circularity; sphericity; globosity; globularity; globularness; orbicularness; cylindricity; fullness; plumpness; rotundity.
roundridge |To form into round ridges by plowing. B. Edwards.
roundsman |A patrolman; also, a policeman who acts as an inspector over the rounds of the patrolmen.
roundtop |A top; a platform at a masthead; -- so called because formerly round in shape.
roundure |Roundness; a round or circle. [Obs.] Shak.
roundworm |A nematoid worm.
roundy |Round. [Obs.] Sir P. Sidney.
roup |To cry or shout; hence, to sell by auction. [Scot.] Jamieson.\n\n1. An outcry; hence, a sale of gods by auction. [Scot.] Jamieson. To roup, that is, the sale of his crops, was over. J. C. Shairp. 2. A disease in poultry. See Pip.
rousant |Rising; -- applied to a bird in the attitude of rising; also, sometmes, to a bird in profile with wings addorsed.
rouse |To pull or haul strongly and all together, as upon a rope, without the assistance of mechanical appliances.\n\n1. A bumper in honor of a toast or health. [Obs.] Shak. 2. A carousal; a festival; a drinking frolic. Fill the cup, and fill the can, Have a rouse before the morn. Tennyson.\n\n1. To cause to start from a covert or lurking place; as, to rouse a deer or other animal of the chase. Like wild boars late roused out of the brakes. Spenser. Rouse the fleet hart, and cheer the opening hound. Pope. 2. To wake from sleep or repose; as, to rouse one early or suddenly. 3. To excite to lively thought or action from a state of idleness, languor, stupidity, or indifference; as, to rouse the faculties, passions, or emotions. To rouse up a people, the most phlegmatic of any in Christendom. Atterbury. 4. To put in motion; to stir up; to agitate. Blustering winds, which all night long Had roused the sea. Milton. 5. To raise; to make erect. [Obs.] Spenser. Shak.\n\n1. To get or start up; to rise. [Obs.] Night's black agents to their preys do rouse. Shak. 2. To awake from sleep or repose. Morpheus rouses from his bed. Pope. 3. To be exited to thought or action from a state of indolence or inattention.
rouser |1. One who, or that which, rouses. 2. Something very exciting or great. [Colloq.] 3. (Brewing)  A stirrer in a copper for boiling wort.
rousing |1. Having power to awaken or excite; exciting. I begin to feel Some rousing motions in me. Milton. 2. Very great; violent; astounding; as, a rousing fire; a rousing lie. [Colloq.]
rousingly |In a rousing manner.
roussette |1. (Zoöl.)  A fruit bat, especially the large species (Pieropus vulgaris) inhabiting the islands of the Indian ocean. It measures about a yard across the expanded wings. 2. (Zoöl.)  Any small shark of the genus Scyllium; -- called also dogfish. See Dogfish.
roust |To rouse; to disturb; as, to roust one out. [Prov. Eng. & Local, U.S.]\n\nA strong tide or current, especially in a narrow channel. [Written also rost, and roost.] Jamieson.
roustabout |A laborer, especially a deck hand, on a river steamboat, who moves the cargo, loads and unloads wood, and the like; in an opprobrious sense, a shiftless vagrant who lives by chance jobs. [Western U.S.]
rout |To roar; to bellow; to snort; to snore loudly. [Obs. or Scot.] Chaucer.\n\nA bellowing; a shouting; noise; clamor; uproar; disturbance; tumult. Shak. This new book the whole world makes such a rout about. Sterne. \"My child, it is not well,\" I said, \"Among the graves to shout; To laugh and play among the dead, And make this noisy rout.\" Trench.\n\nTo scoop out with a gouge or other tool; to furrow. To rout out (a) To turn up to view, as if by rooting; to discover; to find. (b) To turn out by force or compulsion; as, to rout people out of bed. [Colloq.]\n\nTo search or root in the ground, as a swine. Edwards.\n\n1. A troop; a throng; a company; an assembly; especially, a traveling company or throng. [Obs.] \"A route of ratones [rats].\" Piers Plowman. \"A great solemn route.\" Chaucer. And ever he rode the hinderest of the route. Chaucer. A rout of people there assembled were. Spenser. 2. A disorderly and tumultuous crowd; a mob; hence, the rabble; the herd of common people. the endless routs of wretched thralls. Spenser. The ringleader and head of all this rout. Shak. Nor do I name of men the common rout. Milton. 3. The state of being disorganized and thrown into confusion; -- said especially of an army defeated, broken in pieces, and put to flight in disorder or panic; also, the act of defeating and breaking up an army; as, the rout of the enemy was complete. thy army . . . Dispersed in rout, betook them all to fly. Daniel. To these giad conquest, murderous rout to those. pope. 4. (Law)  A disturbance of the peace by persons assembled together with intent to do a thing which, if executed, would make them rioters, and actually making a motion toward the executing thereof. Wharton. 5. A fashionable assembly, or large evening party. \"At routs and dances.\" Landor. To put to rout, to defeat and throw into confusion; to overthrow and put to flight.\n\nTo break the ranks of, as troops, and put them to flight in disorder; to put to rout. That party . . . that charged the Scots, so totally routed and defeated their whole army, that they fied. Clarendon. Syn. -- To defeat; discomfit; overpower; overthrow.\n\nTo assemble in a crowd, whether orderly or disorderly; to collect in company. [obs.] Bacon. In all that land no Christian[s] durste route. Chaucer.
