stronghold |A fastness; a fort or fortress; fortfield place; a place of security.
subject |1. Placed or situated under; lying below, or in a lower situation. [Obs.] Spenser. 2. Placed under the power of another; specifically (International Law), owing allegiance to a particular sovereign or state; as, Jamaica is subject to Great Britain. Esau was never subject to Jacob. Locke. 3. Exposed; liable; prone; disposed; as, a country subject to extreme heat; men subject to temptation. All human things are subject to decay. Dryden. 4. Obedient; submissive. Put them in mind to be subject to principalities. Titus iii. 1. Syn. -- Liable; subordinate; inferior; obnoxious; exposed. See Liable.\n\n1. That which is placed under the authority, dominion, control, or influence of something else. 2. Specifically: One who is under the authority of a ruler and is governed by his laws; one who owes allegiance to a sovereign or a sovereign state; as, a subject of Queen Victoria; a British subject; a subject of the United States. Was never subject longed to be a king, As I do long and wish to be a subject. Shak. The subject must obey his prince, because God commands it, human laws require it. Swift. Note: In international law, the term subject is convertible with citizen. 3. That which is subjected, or submitted to, any physical operation or process; specifically (Anat.), a dead body used for the purpose of dissection. 4. That which is brought under thought or examination; that which is taken up for discussion, or concerning which anything is said or done. \"This subject for heroic song.\" Milton. Make choice of a subject, beautiful and noble, which . . . shall afford an ample field of matter wherein to expatiate. Dryden. The unhappy subject of these quarrels. Shak. 5. The person who is treated of; the hero of a piece; the chief character. Writers of particular lives . . . are apt to be prejudiced in favor of their subject. C. Middleton. 6. (Logic & Gram.)  That of which anything is affirmed or predicated; the theme of a proposition or discourse; that which is spoken of; as, the nominative case is the subject of the verb. The subject of a proposition is that concerning which anything is affirmed or denied. I. Watts. 7. That in which any quality, attribute, or relation, whether spiritual or material, inheres, or to which any of these appertain; substance; substratum. That which manifests its qualities -- in other words, that in which the appearing causes inhere, that to which they belong -- is called their subject or substance, or substratum. Sir W. Hamilton. 8. Hence, that substance or being which is conscious of its own operations; the mind; the thinking agent or principal; the ego. Cf. Object, n., 2. The philosophers of mind have, in a manner, usurped and appropriated this expression to themselves. Accordingly, in their hands, the phrases conscious or thinking subject, and subject, mean precisely the same thing. Sir W. Hamilton. 9. (Mus.)  The principal theme, or leading thought or phrase, on which a composition or a movement is based. The earliest known form of subject is the ecclesiastical cantus firmus, or plain song. Rockstro. 10. (Fine Arts)  The incident, scene, figure, group, etc., which it is the aim of the artist to represent.\n\n1. To bring under control, power, or dominion; to make subject; to subordinate; to subdue. Firmness of mind that subjects every gratification of sense to the rule of right reason. C. Middleton. In one short view subjected to our eye, Gods, emperors, heroes, sages, beauties, lie. Pope. He is the most subjected, the most Locke. 2. To expose; to make obnoxious or liable; as, credulity subjects a person to impositions. 3. To submit; to make accountable. God is not bound to subject his ways of operation to the scrutiny of our thoughts. Locke. 4. To make subservient. Subjected to his service angel wings. Milton. 5. To cause to undergo; as, to subject a substance to a white heat; to subject a person to a rigid test.
subject-matter |The matter or thought presented for consideration in some statement or discussion; that which is made the object of thought or study. As to the subject-matter, words are always to be understood as having a regard thereto. Blackstone. As science makes progress in any subject-matter, poetry recedes from it. J. H. Newman.
subjected |1. Subjacent. \"Led them direct . . . to the subjected plain.\" [Obs.] Milton. 2. Reduced to subjection; brought under the dominion of another. 3. Exposed; liable; subject; obnoxious.
subjection |1. The act of subjecting, or of bringing under the dominion of another; the act of subduing. The conquest of the kingdom, and subjection of the rebels. Sir M. Hale. 2. The state of being subject, or under the power, control, and government of another; a state of obedience or submissiveness; as, the safety of life, liberty, and property depends on our subjection to the laws. \"To be bound under subjection.\" Chaucer. Likewise, ye wives, be in subjection to your own husbands. 1 Peter iii. 1. Because the subjection of the body to the will is by natural necessity, the subjection of the will unto God voluntary, we stand in need of direction after what sort our wills and desires may be rightly conformed to His. Hooker.
subjectist |One skilled in subjective philosophy; a subjectivist.
subjective |1. Of or pertaining to a subject. 2. Especially, pertaining to, or derived from, one's own consciousness, in distinction from external observation; ralating to the mind, or intellectual world, in distinction from the outward or material excessively occupied with, or brooding over, one's own internal states. Note: In the philosophy of the mind, subjective denotes what is to be referred to the thinking subject, the ego; objective, what belongs to the object of thought, the non-ego. See Objective, a., 2. Sir W. Hamilton. 3. (Lit. & Art)  Modified by, or making prominent, the individuality of a writer or an artist; as, a subjective drama or painting; a subjective writer. Syn. -- See Objective. Subjective sensation (Physiol.), one of the sensations occurring when stimuli due to internal causes excite the nervous apparatus of the sense organs, as when a person imagines he sees figures which have no objective reality. -- Sub*jec\"tive*ly, adv. -- Sub*jec\"tive*ness, n.
subjectivism |Any philosophical doctrine which refers all knowledge to, and founds it upon, any subjective states; egoism.
subjectivist |One who holds to subjectivism; an egoist.
subjectivity |The quality or state of being subjective; character of the subject.
subjectless |Having no subject.
subjectness |Quality of being subject. [R.]
subjicible |Capable of being subjected. [Obs.] Jer. Taylor.
subjoin |To add after something else has been said or written; to ANNEX; as, to subjoin an argument or reason. Syn. -- To add; annex; join; unite.
subjoinder |An additional remark. [R.]
subjugate |To subdue, and bring under the yoke of power or dominion; to conquer by force, and compel to submit to the government or absolute control of another; to vanquish. He subjugated a king, and called him his \"vassal.\" Baker. Syn. -- To conquer; subdue; overcome. See Conquer.
subjugation |The act of subjugating, or the state of being subjugated.
subjugator |One who subjugates; a conqueror.
subjunction |1. Act of subjoining, or state of being subjoined. 2. Something subjoined; as, a subjunction to a sentence.
subjunctive |Subjoined or added to something before said or written. Subjunctive mood (Gram.), that form of a verb which express the action or state not as a fact, but only as a conception of the mind still contingent and dependent. It is commonly subjoined, or added as subordinate, to some other verb, and in English is often connected with it by if, that, though, lest, unless, except, until, etc., as in the following sentence: \"If there were no honey, they [bees] would have no object in visiting the flower.\" Lubbock. In some languages, as in Latin and Greek, the subjunctive is often independent of any other verb, being used in wishes, commands, exhortations, etc.\n\nThe subjunctive mood; also, a verb in the subjunctive mood.
subkingdom |One of the several primary divisions of either the animal, or vegetable kingdom, as, in zoölogy, the Vertebrata, Tunicata, Mollusca, Articulata, Molluscoidea, Echinodermata, Coelentera, and the Protozoa; in botany, the Phanerogamia, and the Cryptogamia.
sublapsarian |Same as Infralapsarian.
sublapsarianism |Infralapsarianism.
sublapsary |Sublapsarian. Johnson.
sublate |To take or carry away; to remove. [R.] E. Hall.
sublation |The act of taking or carrying away; removal. [R.] Bp. Hall.
sublative |Having power, or tending, to take away. [R.] Harris.
sublease |A lease by a tenant or lessee to another person; an underlease. Bouvier.
sublessee |A holder of a sublease.
sublet |To underlet; to lease, as when a lessee leases to another person.
sublevation |1. The act of raising on high; elevation. Sir T. More. 2. An uprising; an insurrection. [R.] Sir W. Temple.
sublibrarian |An under or assistant librarian.
sublieutenant |An inferior or second lieutenant; in the British service, a commissioned officer of the lowest rank.
subligation |The act of binding underneath. [R.]
sublimable |Capable of being sublimed or sublimated. -- Sub*lim\"a*ble*ness, n. Boyle.
sublimate |1. To bring by heat into the state of vapor, which, on cooling, returns again to the solid state; as, to sublimate sulphur or camphor. 2. To refine and exalt; to heighten; to elevate. The precepts of Christianity are . . . so apt to cleanse and sublimate the more gross and corrupt. Dr. H. More.\n\nA product obtained by sublimation; hence, also, a purified product so obtained. Corrosive sublimate. (Chem.) See under Corrosive.\n\nBrought into a state of vapor by heat, and again condensed as a solid.
sublimated |Refined by, or as by, sublimation; exalted; purified. [Words] whose weight best suits a sublimated strain. Dryden.
sublimation |1. (Chem.)  The act or process of subliming, or the state or result of being sublimed. 2. The act of heightening or improving; exaltation; elevation; purification. 3. That which is sublimed; the product of a purifying process. Religion is the perfection, refinement, and sublimation of morality. South.
sublimatory |Used for sublimation; as, sublimatory vessels. Boyle.\n\nA vessel used for sublimation. Vials, crosslets, and sublimatories. Chaucer.
sublime |1. Lifted up; high in place; exalted aloft; uplifted; lofty. Sublime on these a tower of steel is reared. Dryden. 2. Distinguished by lofty or noble traits; eminent; -- said of persons. \"The sublime Julian leader.\" De Quincey. 3. Awakening or expressing the emotion of awe, adoration, veneration, heroic resolve, etc.; dignified; grand; solemn; stately; -- said of an impressive object in nature, of an action, of a discourse, of a work of art, of a spectacle, etc.; as, sublime scenery; a sublime deed. Easy in words thy style, in sense sublime. Prior. Know how sublime a thing it is To suffer and be strong. Longfellow. 4. Elevated by joy; elate. [Poetic] Their hearts were jocund and sublime, Drunk with idolatry, drunk with wine. Milton. 5. Lofty of mien; haughty; proud. [Poetic] \"Countenance sublime and insolent.\" Spenser. His fair, large front and eye sublime declared Absolute rule. Milton. Syn. -- Exalted; lofty; noble; majestic. See Grand.\n\nThat which is sublime; -- with the definite article; as: (a) A grand or lofty style in speaking or writing; a style that expresses lofty conceptions. The sublime rises from the nobleness of thoughts, the magnificence of words, or the harmonious and lively turn of the phrase. Addison. (b) That which is grand in nature or art, as distinguished from the merely beautiful.\n\n1. To raise on high. [Archaic] A soul sublimed by an idea above the region of vanity and conceit. E. P. Whipple. 2. (Chem.)  To subject to the process of sublimation; to heat, volatilize, and condense in crystals or powder; to distill off, and condense in solid form; hence, also, to purify. 3. To exalt; to heighten; to improve; to purify. The sun . . . Which not alone the southern wit sublimes, But ripens spirits in cold, northern climes. Pope. 4. To dignify; to ennoble. An ordinary gift can not sublime a person to a supernatural employment. Jer. Taylor.\n\nTo pass off in vapor, with immediate condensation; specifically, to evaporate or volatilize from the solid state without apparent melting; -- said of those substances, like arsenic, benzoic acid, etc., which do not exhibit a liquid form on heating, except under increased pressure.
sublimed |Having been subjected to the process of sublimation; hence, also, purified. \"Sublimed mercurie.\" Chaucer.
sublimely |In a sublime manner.
sublimeness |The quality or state of being sublime; sublimity.
sublimification |The act of making sublime, or state of being made sublime.
subliminal |Existing in the mind, but below the surface or threshold of consciousness; that is, existing as feeling rather than as clear ideas.
sublimity |1. The quality or state of being sublime (in any sense of the adjective). 2. That which is sublime; as, the sublimities of nature. Syn. -- Grandeur; magnificence. -- Sublimity, Grandeur. The mental state indicated by these two words is the same, namely, a mingled emotion of astonishment and awe. In speaking of the quality which produces this emotion, we call it grandeur when it springs from what is vast in space, power, etc.; we call it sublimity when it springs from what is elevated far above the ordinary incidents of humanity. An immense plain is grand. The heavens are not only grand, but sublime (as the predominating emotion), from their immense height. Exalted intellect, and especially exalted virtue under severe trials, give us the sense of moral sublimity, as in the case of our Savior in his prayer for his murderers. We do not speak of Satan, when standing by the fiery gulf, with his \"unconquerable will and study of revenge,\" as a sublime object; but there is a melancholy grandeur thrown around him, as of an \"archangel ruined.\",
  "necessariness |The quality of being necessary.
sublineation |A mark of a line or lines under a word in a sentence, or under another line; underlining.
sublingua |A process or fold below the tongue in some animals.
sublingual |(a) Situated under the tongue; as, the sublingual gland. (b) Of or pertaining to the sublingual gland; as, sublingual salvia.
sublition |The act or process of laying the ground in a painting. [R.]
sublittoral |Under the shore. Smart.
sublobular |Situated under, or at the bases of, the lobules of the liver.
sublumbar |Situated under, or on the ventral side of, the lumbar region of the vertebral column.
sublunar |Situated beneath the moon; hence, of or pertaining to this world; terrestrial; earthly. All things sublunary are subject to change. Dryden. All sublunary comforts imitate the changeableness, as well as feel the influence, of the planet they are under. South.
sublunary |Situated beneath the moon; hence, of or pertaining to this world; terrestrial; earthly. All things sublunary are subject to change. Dryden. All sublunary comforts imitate the changeableness, as well as feel the influence, of the planet they are under. South.\n\nAny worldly thing. [Obs.]
subluxation |An incomplete or partial dislocation.
submammary |Situated under the mammæ; as, submammary inflammation.
submarine |Being, acting, or growing, under water in the sea; as, submarine navigators; submarine plants. Submarine armor, a waterproof dress of strong material, having a helmet into which air for breathing is pumped through a tube leading from above the surface to enable a diver to remain under water. -- Submarine cable. See Telegraph cable, under Telegraph. -- Submarine mine. See Torpedo, 2 (a).\n\nA submarine plant or animal.
submarshal |An under or deputy marshal.
submaxillary |(a) Situated under the maxilla, or lower jaw; inframaxillary; as, the submaxillary gland. (b) Of or pertaining to submaxillary gland; as, submaxillary salvia.
submedial |Lying under the middle.
submedian |Next to the median (on either side); as, the submedian teeth of mollusks.
submediant |The sixth tone of the scale; the under mediant, or third below the keynote; the superdominant.
submental |Situated under the chin; as, the submental artery.
submentum |The basal part of the labium of insects. It bears the mentum.
submerge |1. To put under water; to plunge. 2. To cover or overflow with water; to inundate; to flood; to drown. I would thou didst, So half my Egypt were submerged. Shak.\n\nTo plunge into water or other fluid; to be buried or covered, as by a fluid; to be merged; hence, to be completely included. Some say swallows submerge in ponds. Gent. Mag.
submergence |The act of submerging, or the state of being submerged; submersion.
submerse |Submersed.
submersed |Being or growing under water, as the leaves of aquatic plants.
submersion |1. The act of submerging, or putting under water or other fluid, or of causing to be overflowed; the act of plunging under water, or of drowning. 2. The state of being put under water or other fluid, or of being overflowed or drowned.
submetallic |Imperfectly metallic; as, a submetallic luster.
subminister |To supply; to afford. [Obs.] Sir M. Hale.\n\nTo be subservient; to be useful. [Obs.] \"Our passions . . . subminister to the best and worst purposes.\" L'EStrange.
subministrant |Subordinate; subservient. [Obs.] Bacon.
subministrate |To supply; to afford; to subminister. [Obs.] Harvey.
subministration |The act of subministering. [Obs.] Sir H. Wotton.
submiss |1. Submissive; humble; obsequious. [Archaic] \"Soft Silence and submiss Obedience.\" Spenser. \"Stooping and submiss.\" R. L. Stevenson. 2. Gentle; soft; calm; as, submiss voices. [R.]
submission |1. The act of submitting; the act of yielding to power or authority; surrender of the person and power to the control or government of another; obedience; compliance. Submission, dauphin! 't is a mere French word; We English warrious wot not what it means. Shak. 2. The state of being submissive; acknowledgement of inferiority or dependence; humble or suppliant behavior; meekness; resignation. In all submission and humility York doth present himself unto your highness. Shak. No duty in religion is more justly required by God . . . than a perfect submission to his will in all things. Sir W. Temple. 3. Acknowledgement of a fault; confession of error. Be not as extreme in submission As in offense. Shak. 4. (Law)  An agreement by which parties engage to submit any matter of controversy between them to the decision of arbitrators. Wharton (Law Dict.). Bouvier.
submissive |1. Inclined or ready to submit; acknowledging one's inferiority; yielding; obedient; humble. Not at his feet submissive in distress, Creature so fair his reconcilement seeking. Milton. 2. Showing a readiness to submit; expressing submission; as, a submissive demeanor. With a submissive step I hasted down. Prior. Syn. -- Obedient; compliant; yielding; obsequious; subservient; humble; modest; passive. -- Sub*mis\"sive*ly, adv. -- Sub*mis\"sive*ness, n.
submissly |In a submissive manner; with a submission. [Archaic] Jer. Taylor.
submissness |Submissiveness. [Obs.]
