mameluco |A child born of a white father and Indian mother. [S. Amer.]
maranatha |\"Our Lord cometh;\" -- an expression used by St. Paul at the conclusion of his first Epistle to the Corinthians (xvi. 22). This word has been used in anathematizing persons for great crimes; as much as to say, \"May the Lord come quickly to take vengeance of thy crimes.\" See Anathema maranatha, under Anathema.
maranta |A genus of endogenous plants found in tropical America, and some species also in India. They have tuberous roots containing a large amount of starch, and from one species (Maranta arundinacea) arrowroot is obtained. Many kinds are cultivated for ornament.
maraschino |A liqueur distilled from fermented cherry juice, and flavored with the pit of a variety of cherry which grows in Dalmatia.
marasmus |A wasting of flesh without fever or apparent disease; a kind of consumption; atrophy; phthisis. Pining atrophy, Marasmus, and wide-wasting pestilence. Milton. Marasmus senilis Etym: [L.], progressive atrophy of the aged.
marathi |A Sanskritic language of western India, prob. descended from the Maharastri Prakrit, spoken by the Marathas and neighboring peoples. It has an abundant literature dating from the 13th century. It has a book alphabet nearly the same as Devanagari and a cursive script translation between the Devanagari and the Gujarati.
maraud |To rove in quest of plunder; to make an excursion for booty; to plunder. \"Marauding hosts.\" Milman.\n\nAn excursion for plundering.
marauder |A rover in quest of booty or plunder; a plunderer; one who pillages. De Quincey.
maravedi |A small copper coin of Spain, equal to three mils American money, less than a farthing sterling. Also, an ancient Spanish gold coin.
marble |1. A massive, compact limestone; a variety of calcite, capable of being polished and used for architectural and ornamental purposes. The color varies from white to black, being sometimes yellow, red, and green, and frequently beautifully veined or clouded. The name is also given to other rocks of like use and appearance, as serpentine or verd antique marble, and less properly to polished porphyry, granite, etc. Note: Breccia marble consists of limestone fragments cemented together. -- Ruin marble, when polished, shows forms resembling ruins, due to disseminated iron oxide. -- Shell marble contains fossil shells. -- Statuary marble is a pure, white, fine-grained kind, including Parian (from Paros) and Carrara marble. If coarsely granular it is called saccharoidal. 2. A thing made of, or resembling, marble, as a work of art, or record, in marble; or, in the plural, a collection of such works; as, the Arundel or Arundelian marbles; the Elgin marbles. 3. A little ball of marble, or of some other hard substance, used as a plaything by children; or, in the plural, a child's game played with marbles. Note: Marble is also much used in self-explaining compounds; when used figuratively in compounds it commonly means, hard, cold, destitute of compassion or feeling; as, marble-breasted, marble- faced, marble-hearted.\n\n1. Made of, or resembling, marble; as, a marble mantel; marble paper. 2. Cold; hard; unfeeling; as, a marble breast or heart.\n\nTo stain or vein like marble; to variegate in color; as, to marble the edges of a book, or the surface of paper.
marble-edged |Having the edge veined or spotted with different colors like marble, as a book.
marbled |1. Made of, or faced with, marble. [Obs.] \"The marbled mansion.\" Shak. 2. Made to resemble marble; veined or spotted like marble. \"Marbled paper.\" Boyle. 3. (zoöl.)  Varied with irregular markings, or witch a confused blending of irregular spots and streaks.
marbleize |To stain or grain in imitation of marble; to cover with a surface resembling marble; as, to marbleize slate, wood, or iron.
marbler |1. One who works upon marble or other stone. [R.] Fuller. 2. One who colors or stains in imitation of marble.
marbling |1. The art or practice of variegating in color, in imitation of marble. 2. An intermixture of fat and lean in meat, giving it a marbled appearance. 3. pl. (Zoöl.)  Distinct markings resembling the variegations of marble, as on birds and insects.
marbly |Containing, or resembling, marble.
marbrinus |A cloth woven so as to imitate the appearance of marble; -- much used in the 15th and 16th centuries. Beck (Draper's Dict.).
marc |The refuse matter which remains after the pressure of fruit, particularly of grapes.\n\n1. A weight of various commodities, esp. of gold and silver, used in different European countries. In France and Holland it was equal to eight ounces. 2. A coin formerly current in England and Scotland, equal to thirteen shillings and four pence. 3. A German coin and money of account. See Mark.
marcantant |A merchant. [Obs.] Shak.
marcasite |A sulphide of iron resembling pyrite or common iron pyrites in composition, but differing in form; white iron pyrites. Golden marcasite, tin. [Obs.]
marcasitic |Containing, or having the nature of, marcasite.
marcasitical |Containing, or having the nature of, marcasite.
marcassin |A young wild boar.
marcato |In a marked emphatic manner; -- used adverbially as a direction.
marceline |A thin silk fabric used for linings, etc., in ladies' dresses.
marcescent |Withering without
marcescible |Li
march |The third month of the year, containing thirty-one days. The stormy March is come at last, With wind, and cloud, and changing skies. Bryant. As mad as a March Hare, an old English Saying derived from the fact that March is the rutting time of hares, when they are excitable and violent. Wright.\n\nA territorial border or frontier; a region adjacent to a boundary line; a confine; -- used chiefly in the plural, and in English history applied especially to the border land on the frontiers between England and Scotland, and England and Wales. Geneva is situated in the marches of several dominions -- France, Savoy, and Switzerland. Fuller. Lords of waste marches, kings of desolate isles. Tennyson.\n\nTo border; to be contiguous; to lie side by side. [Obs.] That was in a strange land Which marcheth upon Chimerie. Gower. To march with, to have the same boundary for a greater or less distance; -- said of an estate.\n\n1. To move with regular steps, as a soldier; to walk in a grave, deliberate, or stately manner; to advance steadily. Shak. 2. To proceed by walking in a body or in military order; as, the German army marched into France.\n\nTO cause to move with regular steps in the manner of a soldier; to cause to move in military array, or in a body, as troops; to cause to advance in a steady, regular, or stately manner; to cause to go by peremptory command, or by force. March them again in fair array. Prior.\n\n1. The act of marching; a movement of soldiers from one stopping place to another; military progress; advance of troops. These troops came to the army harassed with a long and wearisome march. Bacon. 2. Hence: Measured and regular advance or movement, like that of soldiers moving in order; stately or deliberate walk; steady onward movement. With solemn march Goes slow and stately by them. Shak. This happens merely because men will not bide their time, but will insist on precipitating the march of affairs. Buckle. 3. The distance passed over in marching; as, an hour's march; a march of twenty miles. 4. A piece of music designed or fitted to accompany and guide the movement of troops; a piece of music in the march form. The drums presently striking up a march. Knolles. To make a march, (Card Playing), to take all the tricks of a hand, in the game of euchre.
march-mad |Extremely rash; foolhardy. See under March, the month. Sir W. Scott.
march-ward |A warden of the marches; a marcher.
marcher |One who marches.\n\nThe lord or officer who defended the marches or borders of a territory.
marchet |In old English and in Scots law, a fine paid to the lord of the soil by a tenant upon the marriage of one the tenant's daughters.
marching |,fr. March, v. Marching money (Mil.), the additional pay of officer or soldier when his regiment is marching. -- In marching order (Mil.), equipped for a march. -- Marching regiment. (Mil.) (a) A regiment in active service. (b) In England, a regiment liable to be ordered into other quarters, at home or abroad; a regiment of the line.
marchioness |The wife or the widow of a marquis; a woman who has the rank and dignity of a marquis. Spelman.
marchman |A person living in the marches between England and Scotland or Wales.
marchpane |A kind of sweet bread or biscuit; a cake of pounded almonds and sugar. [Obs.]marzipan Shak.
marcian |Under the influence of Mars; courageous; bold. [Obs.] Chaucer.
marcid |1. Pining; lean; withered. Dryden. 2. Characterized by emaciation, as a fever. Harvey.
marcidity |The state or quality of being withered or lean. [R.]
marcionite |A follower of Marcion, a Gnostic of the second century, who adopted the Oriental notion of the two conflicting principles, and imagined that between them there existed a third power, neither wholly good nor evil, the Creator of the world and of man, and the God of the Jewish dispensation. Brande & C.
marcobrunner |A celebrated Rhine wine.
marconi |Designating, or pert. to, Marconi's system of wireless telegraphy; as, Marconi aërial, coherer, station, system, etc.
marconi system |A system or wireless telegraphy developed by G. Marconi, an Italian physicist, in which Hertzian waves are used in transmission and a coherer is used as the receiving instrument.
marconigram |A Marconi wireless message.
marconigraph |The apparatus used in Marconi wireless telegraphy. MARCONI'S LAW Mar*co\"ni's law. (Wireless Teleg.)  The law that the maximum good signaling distance varies directly as the square of the height of the transmitting antenna.
marconism |The theory or practice of Marconi's wireless telegraph system.
marcor |A wasting away of flesh; decay. [Obs.] Sir T. Browne.
marcosian |One of a Gnostic sect of the second century, so called from Marcus, an Egyptian, who was reputed to be a margician.
mardi gras |The last day of Carnival; Shrove Tuesday; -- in some cities a great day of carnival and merrymaking.
mare |The female of the horse and other equine quadrupeds.\n\nSighing, suffocative panting, intercepted utterance, with a sense of pressure across the chest, occurring during sleep; the incubus; -- obsolete, except in the compound nightmare. I will ride thee o' nights like the mare. Shak.
mare clausum |Lit., closed sea; hence, a body of water within the separate jurisdiction of the nation; -- opposed to open sea, the water open to all nations and over which no single nation has special control.
marechal niel |A kind of large yellow rose. [Written also Marshal Niel.]
mareis |A Marsh. [Obs.] Chaucer.
marena |A European whitefish of the genus Coregonus.
mareschal |A military officer of high rank; a marshal. [Obs.] MARE'S-NEST Mare's\"-nest`, n.  A supposed discovery which turns out to be a hoax; something grosaly absurd. MARE'S-TAIL Mare's\"-tail`, n. 1. A long streaky cloud, spreading out like a horse's tail, and believed to indicate rain; a cirrus cloud. See Cloud. Mackerel sky and mare's-tails Make tall ships carry low sails. Old Rhyme. 2. (Bot.)  An aquatic plant of the genus Hippuris (H.vulgaris), having narrow leaves in whorls.
margarate |A compound of the so-called margaric acid with a base.
margaric |Pertaining to, or resembling, pearl; pearly. Margaric acid. (a) (Physiol. Chem.) A fatty body, crystallizing in pearly scales, and obtained by digesting saponified fats (soaps) with an acid. It was formerly supposed to be an individual fatty acid, but is now known to be simply an intimate mixture of stearic and palmitic acids. (b) (Chem.) A white, crystalline substance, C17H34O2 of the fatty acid series, intermediate between palmitic and stearic acids, and obtained from the wax of certain lichens, from cetyl cyanide, and other sources.
margarin |A fatty substance, extracted from animal fats and certain vegetable oils, formerly supposed to be a definite compound of glycerin and margaric acid, but now known to be simply a mixture or combination of tristearin and teipalmitin.
margarine |1. Artificial butter; oleomargarine. The word margarine shall mean all substances, whether compounds or otherwise, prepared in imitation of butter, and whether mixed with butter or not. Margarine Act, 1887 (50 & 51 Vict. c. 29). 2.  Margarin.
margaritaceous |Pertaining to, or resembling, pearl; pearly.
margarite |1. A pearl. [Obs.] Peacham. 2. (Min.)  A mineral related to the micas, but low in silica and yielding brittle folia with pearly luster.
margaritic |Margaric.
margaritiferous |Producing pearls.
margarodite |A hidrous potash mica related to muscovite.
margarone |The ketone of margaric acid.
margarous |Margaric; -- formerly designating a supposed acid. [Obs.] MARGARYIZE; MARGARY'S FLUID Mar\"ga*ry*ize, v. t.  [imp. & p. p. -ized; p. pr. & vb. n. -izing.] [(J. J. Lloyd) Margary, inventor of the process + -ize.]  To impregnate (wood) with a preservative solution of copper sulphate (often called Mar\"ga*ry's flu\"id [-riz]).
margate fish |A sparoid fish (Diabasis aurolineatus) of the Gulf of Mexico, esteemed as a food fish; -- called also red-mouth grunt.
margay |An American wild cat (Felis tigrina), ranging from Mexico to Brazil. It is spotted with black. Called also long-tailed cat.
marge |Border; margin; edge; verge. [Poetic] Tennyson. Along the river's stony marge. Wordsworth.
margent |A margin; border; brink; edge. [Obs.] The beached margent of the sea. Shak.\n\nTo enter or note down upon the margin of a page; to margin. [Obs.] Mir. for Mag.
margin |1. A border; edge; brink; verge; as, the margin of a river or lake. 2. Specifically: The part of a page at the edge left uncovered in writing or printing. 3. (Com.)  The difference between the cost and the selling price of an article. 4. Something allowed, or reserved, for that which can not be foreseen or known with certainty. 5. (Brokerage)  Collateral security deposited with a broker to secure him from loss on contracts entered into by him on behalf of his principial, as in the speculative buying and selling of stocks, wheat, etc. N. Biddle. Margin draft (Masonry), a smooth cut margin on the face of hammer-dressed ashlar, adjacent to the joints. -- Margin of a course (Arch.), that part of a course, as of slates or shingles, which is not covered by the course immediately above it. See 2d Gauge. Syn. -- Border; brink; verge; brim; rim.\n\n1. To furnish with a margin. 2. To enter in the margin of a page.
marginal |1. Of or pertaining to a margin. 2. Written or printed in the margin; as, a marginal note or gloss.
marginalia |Marginal notes.
marginally |In the margin of a book.
marginate |Having a margin distinct in appearance or structure.\n\nTo furnish with a distinct margin; to margin. [R.] Cockeram.
marginated |Same as Marginate, a.
margined |1. Having a margin. Hawthorne. 2. (Zoöl.)  Bordered with a distinct line of color.
marginella |A genus of small, polished, marine univalve shells, native of all warm seas.
marginicidal |Dehiscent by the separation of united carpels; -- said of fruits.
margosa |A large tree of genus Melia (M. Azadirachta) found in India. Its bark is bitter, and used as a tonic. A valuable oil is expressed from its seeds, and a tenacious gum exudes from its trunk. The M. Azedarach is a much more showy tree, and is cultivated in the Southern United States, where it is known as Pride of India, Pride of China, or bead tree. Various parts of the tree are considered anthelmintic. The margosa oil . . . is a most valuable balsam for wounds, having a peculiar smell which prevents the attacks of flies. Sir S. Baker.
margravate |The territory or jurisdiction of a margrave.
margrave |1. Originally, a lord or keeper of the borders or marches in Germany. 2. The English equivalent of the German title of nobility, markgraf; a marquis.
margraviate |The territory or jurisdiction of a margrave.
margravine |The wife of a margrave.
marguerite |The daisy (Bellis perennis). The name is often applied also to the ox-eye daisy and to the China aster. Longfellow.
marian |Pertaining to the Virgin Mary, or sometimes to Mary, Queen of England, daughter of Henry VIII. Of all the Marian martyrs, Mr. Philpot was the best-born gentleman. Fuller. Maid Marian. See Maidmarian in the Vocabulary.
marie |Marry. [Obs.] Chaucer.
mariet |A kind of bellflower, Companula Trachelium, once called Viola Mariana; but it is not a violet.
marigenous |Produced in or by the sea.
marigold |A name for several plants with golden yellow blossoms, especially the Calendula officinalis (see Calendula), and the cultivated species of Tagetes. Note: There are several yellow-flowered plants of different genera bearing this name; as, the African or French marigold of the genus Tagetes, of which several species and many varieties are found in gardens. They are mostly strong-smelling herbs from South America and Mexico: bur marigold, of the genus Bidens; corn marigold, of the genus Chrysanthemum (C. segetum, a pest in the cornfields of Italy); fig marigold, of the genus Mesembryanthemum; marsh marigold, of the genus Caltha (C. palustris), commonly known in America as the cowslip. See Marsh Marigold. Marigold window. (Arch.) See Rose window, under Rose.
marikina |A small marmoset (Midas rosalia); the silky tamarin.
marimba |A musical istrument of percussion, consisting of bars yielding musical tones when struck. Knight.
marimonda |A spider monkey (Ateles belzebuth) of Central and South America.
marinade |A brine or pickle containing wine and spices, for enriching the flavor of meat and fish.
marinate |To salt or pickle, as fish, and then preserve in oil or vinegar; to prepare by the use of marinade.
marine |1. Of or pertaining to the sea; having to do with the ocean, or with navigation or naval affairs; nautical; as, marine productions or bodies; marine shells; a marine engine. 2. (Geol.)  Formed by the action of the currents or waves of the sea; as, marine deposits. Marine acid (Chem.), hydrochloric acid. [Obs.] -- Marine barometer. See under Barometer. -- Marine corps, a corps formed of the officers, noncommissioned officers, privates, and musicants of marines. -- Marine engine (Mech.), a steam engine for propelling a vessel. -- Marine glue. See under Glue. -- Marine insurance, insurance against the perils of the sea, including also risks of fire, piracy, and barratry. -- Marine interest, interest at any rate agreed on for money lent upon respondentia and bottomry bonds. -- Marine law. See under Law. -- Marine league, three geographical miles. -- Marine metal, an alloy of lead, antimony, and mercury, made for sheathing ships. Mc Elrath. -- Marine soap, cocoanut oil soap; -- so called because, being quite soluble in salt water, it is much used on shipboard. -- Marine store, a store where old canvas, ropes, etc., are bought and sold; a junk shop. [Eng.]\n\n1. A solider serving on shipboard; a sea soldier; one of a body of troops trained to do duty in the navy. 2. The sum of naval affairs; naval economy; the department of navigation and sea forces; the collective shipping of a country; as, the mercantile marine. 3. A picture representing some marine subject. Tell that to the marines, an expression of disbelief, the marines being regarded by sailors as credulous. [Colloq.]
marined |Having the lower part of the body like a fish. Crabb.
mariner |One whose occupation is to assist in navigating ships; a seaman or sailor. Chaucer. Mariner's compass. See under Compass.
marinership |Seamanship. [Obs.] Udalt.
marinism |A bombastic literary style marked by the use of metaphors and antitheses characteristic of the Italian poet Giambattista Marini (1569-1625). -- Ma*ri\"nist (#), n.
marinorama |A representation of a sea view.
mariolater |One who worships the Virgin Mary.
mariolatry |The worship of the Virgin Mary.
marionette |1. A puppet moved by strings, as in a puppet show. 2. (Zoöl.)  The buffel duck. MARIOTTE'S LAW Ma`ri*otte's law`. (Physics.)  See Boyle's law, under Law.
mariposa lily |One of a genus (Calochortus) of tuliplike bulbous herbs with large, and often gaycolored, blossoms. Called also butterfly lily. Most of them are natives of California.
mariput |A species of civet; the zoril.
marish |Low, wet ground; a marsh; a fen; a bog; a moor. [Archaic] Milton. Tennyson.\n\n1. Moory; fenny; boggy. [Archaic] 2. Growing in marshes. \"Marish flowers.\" Tennyson.
marital |Of or pertaining to a husband; as, marital rights, duties, authority. \"Marital affection.\" Ayliffe.
maritated |Having a husband; married. [Obs.]
maritimal |See Maritime. [Obs.]
maritimale |See Maritime. [Obs.]
maritime |1. Bordering on, or situated near, the ocean; connected with the sea by site, interest, or power; having shipping and commerce or a navy; as, maritime states. \"A maritime town.\" Addison. 2. Of or pertaining to the ocean; marine; pertaining to navigation and naval affairs, or to shipping and commerce by sea. \"Maritime service.\" Sir H. Wotton. Maritime law. See Law. -- Maritime loan, a loan secured by bottomry or respodentia bonds. -- Martime nations, nations having seaports, and using the sea more or less for war or commerce.
marjoram |A genus of mintlike plants (Origanum) comprising about twenty- five species. The sweet marjoram (O. Majorana) is pecularly aromatic and fragrant, and much used in cookery. The wild marjoram of Europe and America is O. vulgare, far less fragrant than the other.
mark |A license of reprisals. See Marque.\n\n1. An old weight and coin. See Marc. \"Lend me a mark.\" Chaucer. 2. The unit of monetary account of the German Empire, equal to 23.8 cents of United States money; the equivalent of one hundred pfennigs. Also, a silver coin of this value.\n\n1. A visible sign or impression made or left upon anything; esp., a line, point, stamp, figure, or the like, drawn or impressed, so as to attract the attention and convey some information or intimation; a token; a trace. The Lord set a mark upon Cain, lest any finding him should kill him. Gen. iv. 15. 2. Specifically: (a) A character or device put on an article of merchandise by the maker to show by whom it was made; a trade-mark. (b) A character (usually a cross) made as a substitute for a signature by one who can not write. The mark of the artisan is found upon the most ancient fabrics that have come to light. Knight. 3. A fixed object serving for guidance, as of a ship, a traveler, a surveyor, etc.; as, a seamark, a landmark. 4. A trace, dot, line, imprint, or discoloration, although not regarded as a token or sign; a scratch, scar, stain, etc.; as, this pencil makes a fine mark. I have some marks of yours upon my pate. Shak. 5. An evidence of presence, agency, or influence; a significative token; a symptom; a trace; specifically, a permanent impression of one's activity or character. The confusion of tongues was a mark of separation. Bacon. 6. That toward which a missile is directed; a thing aimed at; what one seeks to hit or reach. France was a fairer mark to shoot at than Ireland. Davies. Whate'er the motive, pleasure is the mark. Young. 7. Attention, regard, or respect. As much in mock as mark. Shak. 8. Limit or standard of action or fact; as, to be within the mark; to come up to the mark. 9. Badge or sign of honor, rank, or official station. In the official marks invested, you Anon do meet the Senate. Shak. 10. Preëminence; high position; as, particians of mark; a fellow of no mark. 11. (Logic)  A characteristic or essential attribute; a differential. 12. A number or other character used in registring; as, examination marks; a mark for tardiness. 13. Image; likeness; hence, those formed in one's image; children; descendants. [Obs.] \"All the mark of Adam.\" Chaucer. 14. (Naut.)  One of the bits of leather or colored bunting which are placed upon a sounding line at intervals of from two to five fathoms. The unmarked fathoms are called \"deeps.\" A man of mark, a conspicuous or eminent man. -- To make one's mark. (a) To sign, as a letter or other writing, by making a cross or other mark. (b) To make a distinct or lasting impression on the public mind, or on affairs; to gain distinction. Syn. -- Impress; impression; stamp; print; trace; vestige; track; characteristic; evidence; proof; token; badge; indication; symptom.\n\n1. To put a mark upon; to affix a significant mark to; to make recognizable by a mark; as, to mark a box or bale of merchandise; to mark clothing. 2. To be a mark upon; to designate; to indicate; -- used literally and figuratively; as, this monument marks the spot where Wolfe died; his courage and energy marked him for a leader. 3. To leave a trace, scratch, scar, or other mark, upon, or any evidence of action; as, a pencil marks paper; his hobnails marked the floor. 4. To keep account of; to enumerate and register; as, to mark the points in a game of billiards or cards. 5. To notice or observe; to give attention to; to take note of; to remark; to heed; to regard. \"Mark the perfect man.\" Ps. xxxvii. 37. To mark out. (a) To designate, as by a mark; to select; as, the ringleaders were marked out for punishment. (b) To obliterate or cancel with a mark; as, to mark out an item in an account. -- To mark time (Mil.), to keep the time of a marching step by moving the legs alternately without advancing. Syn. -- To note; remark; notice; observe; regard; heed; show; evince; indicate; point out; betoken; denote; characterize; stamp; imprint; impress; brand.\n\nTo take particular notice; to observe critically; to note; to remark. Mark, I pray you, and see how this man seeketh maschief. 1 Kings xx. 7.
markable |Remarkable. [Obs.] Sandys.
marked |Designated or distinguished by, or as by, a mark; hence; noticeable; conspicuous; as, a marked card; a marked coin; a marked instance. -- Mark\"ed*ly, adv. J. S. Mill. A marked man, a man who is noted by a community, or by a part of it, as, for excellence or depravity; -- usually with an unfavorable suggestion.
markee |See Marquee.
marker |One who or that which marks. Specifically: (a) One who keeps account of a game played, as of billiards. (b) A counter used in card playing and other games. (c) (Mil.) The soldier who forms the pilot of a wheeling column, or marks the direction of an alignment. (d) An attachment to a sewing machine for marking a line on the fabric by creasing it.
market |1. A meeting together of people, at a stated time and place, for the purpose of traffic (as in cattle, provisions, wares, etc.) by private purchase and sale, and not by auction; as, a market is held in the town every week. He is wit's peddler; and retails his wares At wakes, and wassails, meetings, markets, fairs. Shak. Three women and a goose make a market. Old Saying. 2. A public place (as an open space in a town) or a large building, where a market is held; a market place or market house; esp., a place where provisions are sold. There is at Jerusalem by the sheep market a pool. John v. 2. 3. An opportunity for selling anything; demand, as shown by price offered or obtainable; a town, region, or country, where the demand exists; as, to find a market for one's wares; there is no market for woolen cloths in that region; India is a market for English goods. There is a third thing to be considered: how a market can be created for produce, or how production can be limited to the capacities of the market. J. S. Mill. 4. Exchange, or purchase and sale; traffic; as, a dull market; a slow market. 5. The price for which a thing is sold in a market; market price. Hence: Value; worth. What is a man If his chief good and market of his time Be but to sleep and feed Shak. 6. (Eng. Law)  The privelege granted to a town of having a public market. Note: Market is often used adjectively, or in forming compounds of obvious meaning; as, market basket, market day, market folk, market house, marketman, market place, market price, market rate, market wagon, market woman, and the like. Market beater, a swaggering bully; a noisy braggart. [Obs.] Chaucer. -- Market bell, a bell rung to give notice that buying and selling in a market may begin. [Eng.] Shak. -- Market cross, a cross set up where a market is held. Shak. -- Market garden, a garden in which vegetables are raised for market. -- Market gardening, the raising of vegetables for market. -- Market place, an open square or place in a town where markets or public sales are held. -- Market town, a town that has the privilege of a stated public market.\n\nTo deal in a market; to buy or sell; to make bargains for provisions or goods.\n\nTo expose for sale in a market; to traffic in; to sell in a market, and in an extended sense, to sell in any manner; as, most of the farmes have marketed their crops. Industrious merchants meet, and market there The world's collected wealth. Southey.
marketable |1. Fit to be offered for sale in a market; such as may be justly and lawfully sold; as, dacayemarketable. 2. Current in market; as, marketable value. 3. Wanted by purchasers; salable; as, furs are not marketable in that country.
marketableness |Quality of being marketable.
marketer |One who attends a market to buy or sell; one who carries goods to market.
marketing |1. The act of selling or of purchasing in, or as in, a market. 2. Articles in, or from, a market; supplies.
marketstead |A market place. [Obs.] Drayton.
markhoor |A large wild goat (Capra megaceros), having huge flattened spiral horns. It inhabits the mountains of Northern India and Cashmere.
marking |The act of one who, or that which, marks; the mark or marks made; arrangement or disposition of marks or coloring; as, the marking of a bird's plumage. Marking ink, indelible ink, because used in marking linen. -- Marking nut (Bot.), the nut of the Semecarpus Anacardium, an East Indian tree. The shell of the nut yields a blackish resinous juice used for marking cotton cloth, and an oil prepared from it is used for rheumatism.
markis |A marquis. [Obs.] Chaucer.
markisesse |A marchioness. [Obs.] Chaucer.
markman |A marksman. [Obs.] Shak.
marksman |1. One skillful to hit a mark with a missile; one who shoots well. 2. (Law)  One who makes his mark, instead of writing his name, in signing documents. Burrill.
marksmanship |Skill of a marksman.
marl |To cover, as part of a rope, with marline, marking a pecular hitch at each turn to prevent unwinding. Marling spike. (Naut.) See under Marline.\n\nA mixed earthy substance, consisting of carbonate of lime, clay, and sand, in very varivble proportions, and accordingly designated as calcareous, clayey, or sandy. See Greensand.\n\nTo overspread or manure with marl; as, to marl a field.
marlaceous |Resembling marl; partaking of the qualities of marl.
marlin |The American great marbled godwit (Limosa fedoa). Applied also to the red-breasted godwit (Limosa hæmatica). Hook-billed marlin, a curlew.
marline |A small line composed of two strands a little twisted, used for winding around ropes and cables, to prevent their being weakened by fretting. Marline spike, Marling spike (Naut.), an iron tool tapering to a point, used to separate the strands of a rope in splicing and in marling. It has an eye in the thick end to which a lanyard is attached. See Fid. [Written also marlin spike] -- Marline-spike bird. Etym: [The name alludes to the long middle tail feathers.] (Zoöl.) (a) A tropic bird. (b) A jager, or skua gull.\n\nTo wind marline around; as, to marline a rope.
marlite |A variety of marl.
marlitic |Partaking of the qualites of marlite.
marlpit |Apit where marl is dug.
marlstone |A sandy calcareous straum, containing, or impregnated with, iron, and lying between the upper and lower Lias of England.
marly |Consisting or partaking of marl; resembling marl; abounding with marl.
marmalade |A preserve or confection made of the pulp of fruit, as the quince, pear, apple, orange, etc., boiled with sugar, and brought to a jamlike consistence. Marmalade tree (Bot.), a sapotaceous tree (Lucuma mammosa) of the West Indies and Tropical America. It has large obovate leaves and an egg-shaped fruit from three to five inches long, containing a pleasant-flavored pulp and a single large seed. The fruit is called marmalade, or natural marmalade, from its consistency and flavor.
marmalet |See Marmalade. [Obs.]
marmatite |A ferruginous variety of shalerite or zinc blende, nearly black in color.
marmolite |A thin, laminated variety of serpentine, usually of a pale green color.
marmoraceous |Pertaining to, or like, marble.
marmorate |Variegated like marble; covered or overlaid with marble. [R.]
marmorated |Variegated like marble; covered or overlaid with marble. [R.]
marmoratum opus |A kind of hard finish for plasterwork, made of plaster of Paris and marble dust, and capable of taking a high polish.
marmoreal |Pertaining to, or resembling, marble; made of marble.
marmorean |Pertaining to, or resembling, marble; made of marble.
marmorosis |The metamorphism of limestone, that is, its conversion into marble. Geikie.
marmose |A species of small opossum (Didelphus murina) ranging from Mexico to Brazil.
marmoset |Any one of numerous species of small South American monkeys of the genera Hapale and Midas, family Hapalidæ. They have long soft fur, and a hairy, nonprehensile tail. They are often kept as pets. Called also squirrel monkey.
marmot |1. (Zoöl.)  Any rodent of the genus Arctomys. The common European marmot (A. marmotta) is about the size of a rabbit, and inhabits the higher regions of the Alps and Pyrenees. The bobac is another European species. The common American species (A. monax) is the woodchuck. 2. Any one of several species of ground squirrels or gophers of the genus Spermophilus; also, the prairie dog. Marmot squirrel (Zoöl.), a ground squirrel or spermophile. -- Prairie marmot. See Prairie dog.
marmottes oil |. A fine oil obtained from the kernel of Prunus brigantiaca. It is used instead of olive or almond oil. De Colange.
marmozet |See Marmoset.
marone |See Maroon, the color.
maronite |One of a body of nominal Christians, who speak the Arabic language, and reside on Mount Lebanon and in different parts of Syria. They take their name from one Maron of the 6th century.
maroon |In the West Indies and Guiana, a fugitive slave, or a free negro, living in the mountains.\n\nTo put (a person) ashore on a desolate island or coast and leave him to his fate. Marooning party, a social excursion party that sojourns several days on the shore or in some retired place; a prolonged picnic. [Southern U. S.] Bartlett.\n\nHaving the color called maroon. See 4th Maroon. Maroon lake, lake prepared from madder, and distinguished for its transparency and the depth and durability of its color.\n\n1. A brownish or dull red of any description, esp. of a scarlet cast rather than approaching crimson or purple. 2. An explosive shell. See Marron, 3.
