fumishness |Choler; fretfulness; passion.
gall |1. (Physiol.)  The bitter, alkaline, viscid fluid found in the gall bladder, beneath the liver. It consists of the secretion of the liver, or bile, mixed with that of the mucous membrane of the gall bladder. 2. The gall bladder. 3. Anything extremely bitter; bitterness; rancor. He hath . . . compassed me with gall and travail. Lam. iii. 5. Comedy diverted without gall. Dryden. 4. Impudence; brazen assurance. [Slang] Gall bladder (Anat.), the membranous sac, in which the bile, or gall, is stored up, as secreted by the liver; the cholecystis. See Illust. of Digestive apparatus. -- Gall duct, a duct which conveys bile, as the cystic duct, or the hepatic duct. -- Gall sickness, a remitting bilious fever in the Netherlands. Dunglison. -- Gall of the earth (Bot.), an herbaceous composite plant with variously lobed and cleft leaves, usually the Prenanthes serpentaria.\n\nAn excrescence of any form produced on any part of a plant by insects or their larvae. They are most commonly caused by small Hymenoptera and Diptera which puncture the bark and lay their eggs in the wounds. The larvae live within the galls. Some galls are due to aphids, mites, etc. See Gallnut. Note: The galls, or gallnuts, of commerce are produced by insects of the genus Cynips, chiefly on an oak (Quercus infectoria or Lusitanica) of Western Asia and Southern Europe. They contain much tannin, and are used in the manufacture of that article and for making ink and a black dye, as well as in medicine. Gall insect (Zoöl.), any insect that produces galls. -- Gall midge (Zoöl.), any small dipterous insect that produces galls. -- Gall oak, the oak (Quercus infectoria) which yields the galls of commerce. -- Gall of glass, the neutral salt skimmed off from the surface of melted crown glass;- called also glass gall and sandiver. Ure.-- Gall wasp. (Zoöl.) See Gallfly.\n\nTo impregnate with a decoction of gallnuts. Ure.\n\n1. To fret and wear away by friction; to hurt or break the skin of by rubbing; to chafe; to injure the surface of by attrition; as, a saddle galls the back of a horse; to gall a mast or a cable. I am loth to gall a new-healed wound. Shak. 2. To fret; to vex; as, to be galled by sarcasm. They that are most galled with my folly, They most must laugh. Shak. 3. To injure; to harass; to annoy; as, the troops were galled by the shot of the enemy. In our wars against the French of old, we used to gall them with our longbows, at a greater distance than they could shoot their arrows. Addison.\n\nTo scoff; to jeer. [R.] Shak.\n\nA wound in the skin made by rubbing.
gallant |1. Showy; splendid; magnificent; gay; well-dressed. The town is built in a very gallant place. Evelyn. Our royal, good and gallant ship. Shak. 2. Noble in bearing or spirit; brave; high-spirited; courageous; heroic; magnanimous; as, a gallant youth; a gallant officer. That gallant spirit hath aspired the clouds. Shak. The gay, the wise, the gallant, and the grave. Waller. Syn. -- Gallant, Courageous, Brave. Courageous is generic, denoting an inward spirit which rises above fear; brave is more outward, marking a spirit which braves or defies danger; gallant rises still higher, denoting bravery on extraordinary occasions in a spirit of adventure. A courageous man is ready for battle; a brave man courts it; a gallant man dashes into the midst of the conflict.\n\nPolite and attentive to ladies; courteous to women; chivalrous.\n\n1. A man of mettle or spirit; a gay; fashionable man; a young blood. Shak. 2. One fond of paying attention to ladies. 3. One who wooes; a lover; a suitor; in a bad sense, a seducer. Addison. Note: In the first sense it is by some orthoëpists (as in Shakespeare) accented on the first syllable.\n\n1. To attend or wait on, as a lady; as, to gallant ladies to the play. 2. To handle with grace or in a modish manner; as, to gallant a fan. [Obs.] Addison.
gallantly |In a polite or courtly manner; like a gallant or wooer.\n\nIn a gallant manner.
gallantness |The quality of being gallant.
gallantry |1. Splendor of appearance; ostentatious finery. [Archaic] Guess the gallantry of our church by this . . . when the desk whereon the priest read was inlaid with plates of silver. Fuller. 2. Bravery; intrepidity; as, the troops behaved with great gallantry. 3. Civility or polite attention to ladies; in a bed sense, attention or courtesy designed to win criminal favors from a female; freedom of principle or practice with respect to female virtue; intrigue. 4. Gallant persons, collectively. [R.] Helenus, Antenor, and all the gallantry of Troy. Shak. Syn. -- See Courage, and Heroism.
gallate |A salt of gallic acid.
gallature |The tread, treadle, or chalasa of an egg.
galleass |A large galley, having some features of the galleon, as broadside guns; esp., such a vessel used by the southern nations of Europe in the 16th and 17th centuries. See Galleon, and Galley. [Written variously galeas, gallias, etc.] Note: \"The galleasses . . . were a third larger than the ordinary galley, and rowed each by three hundred galley slaves. They consisted of an enormous towering structure at the stern, a castellated structure almost equally massive in front, with seats for the rowers amidships.\" Motley.
gallegan |A native or inhabitant of Galicia, in Spain; a Galician.
gallego |A native or inhabitant of Galicia, in Spain; a Galician.
gallein |A red crystalline dyestuff, obtained by heating together pyrogallic and phthalic acids.
galleon |A sailing vessel of the 15th and following centuries, often having three or four decks, and used for war or commerce. The term is often rather indiscriminately applied to any large sailing vessel. The gallens . . . were huge, round-stemmed, clumsy vessels, with bulwarks three or four feet thick, and built up at stem and stern, like castels. Motley.
galleot |See Galiot.
gallery |1. A long and narrow corridor, or place for walking; a connecting passageway, as between one room and another; also, a long hole or passage excavated by a boring or burrowing animal. 2. A room for the exhibition of works of art; as, a picture gallery; hence, also, a large or important collection of paintings, sculptures, etc. 3. A long and narrow platform attached to one or more sides of public hall or the interior of a church, and supported by brackets or columns; -- sometimes intended to be occupied by musicians or spectators, sometimes designed merely to increase the capacity of the hall. 4. (Naut.)  A frame, like a balcony, projecting from the stern or quarter of a ship, and hence called stern galery or quarter gallry, -- seldom found in vessels built since 1850. 5. (Fort.)  Any communication which is covered overhead as well as at the sides. When prepared for defense, it is a defensive galery. 6. (Mining)  A working drift or level. Whispering gallery. See under Whispering.
galletyle |A little tile of glazed earthenware. [Obs.] \"The substance of galletyle.\" Bacon.
galley |1. (Naut.)  A vessel propelled by oars, whether having masts and sails or not; as: (a) A large vessel for war and national purposes; -- common in the Middle Ages, and down to the 17th century. (b) A name given by analogy to the Greek, Roman, and other ancient vessels propelled by oars. (c) A light, open boat used on the Thames by customhouse officers, press gangs, and also for pleasure. (d) One of the small boats carried by a man-of-war. Note: The typical galley of the Mediterranean was from one hundred to two hundred feet long, often having twenty oars on each side. It had two or three masts rigged with lateen sails, carried guns at prow and stern, and a complement of one thousand to twelve hundred men, and was very efficient in mediaeval walfare. Galleons, galliots, galleasses, half galleys, and quarter galleys were all modifications of this type. 2. The cookroom or kitchen and cooking apparatus of a vessel; -- sometimes on merchant vessels called the caboose. 3. (Chem.)  An oblong oven or muffle with a battery of retorts; a gallery furnace. 4. Etym: [F. galée; the same word as E. galley a vessel.] (Print.) (a) An oblong tray of wood or brass, with upright sides, for holding type which has been set, or is to be made up, etc. (b) A proof sheet taken from type while on a galley; a galley proof. Galley slave, a person condemned, often as a punishment for crime, to work at the oar on board a galley. \"To toil like a galley slave.\" Macaulay.-- Galley slice (Print.), a sliding false bottom to a large galley. Knight.
galley-bird |The European green woodpecker; also, the spotted woodpecker. [Prov. Eng.]
galley-worm |A chilognath myriapod of the genus Iulus, and allied genera, having numerous short legs along the sides; a milliped or \"thousand legs.\" See Chilognatha.
gallfly |An insect that deposits its eggs in plants, and occasions galls, esp. any small hymenopteran of the genus Cynips and allied genera. See Illust. of Gall.
galliambic |Consisting of two iambic dimeters catalectic, the last of which lacks the final syllable; -- said of a kind of verse.
gallian |Gallic; French. [Obs.] Shak.
galliard |Gay; brisk; active. [Obs.]\n\nA brisk, gay man. [Obs.] Selden is a galliard by himself. Cleveland.\n\nA gay, lively dance. Cf. Gailliarde. Never a hall such a galliard did grace. Sir. W. Scott.
galliardise |Excessive gayety; merriment. [Obs.] The mirth and galliardise of company. Sir. T. Browne.
galliardness |Gayety. [Obs.] Gayton.
galliass |Same as Galleass.
gallic |Pertaining to, or containing, gallium.\n\nPertaining to, or derived from, galls, nutgalls, and the like. Gallic acid (Chem.), an organic acid, very widely distributed in the vegetable kingdom, being found in the free state in galls, tea, etc., and produced artificially. It is a white, crystalline substance, C6H2(HO)3.CO2H, with an astringent taste, and is a strong reducing agent, as employed in photography. It is usually prepared from tannin, and both give a dark color with iron salts, forming tannate and gallate of iron, which are the essential ingredients of common black ink.\n\nPertaining to Gaul or France; Gallican.
gallican |Of or pertaining to Gaul or France; Gallic; French; as, the Gallican church or clergy.\n\nAn adherent to, and supporter of, Gallicanism. Shipley.
gallicanism |The principles, tendencies, or action of those, within the Roman Catholic Church in France, who (esp. in 1682) sought to restrict the papal authority in that country and increase the power of the national church. Schaff-Herzog Encyc.
gallicism |A mode of speech peculiar to the French; a French idiom; also, in general, a French mode or custom.
gallicize |To conform to the French mode or idiom.
gallied |Worried; flurried; frightened. Ham. Nav. Encyc.
galliform |Like the Gallinae (or Galliformes) in structure.
galligaskins |Loose hose or breeches; leather leg quards. The word is used loosely and often in a jocose sense.
gallimatia |Senseless talk. [Obs. or R.] See Galimatias.
gallimaufry |1. A hash of various kinds of meats, a ragout. Delighting in hodge-podge, gallimaufries, forced meat. King. 2. Any absurd medley; a hotchpotch. The Mahometan religion, which, being a gallimaufry made up of many, partakes much of the Jewish. South.
gallin |A substance obtained by the reduction of galleïn.
gallinaceae |Same as Gallinae.
gallinacean |One of the Gallinae or gallinaceous birds.
gallinaceous |Resembling the domestic fowls and pheasants; of or pertaining to the Gallinae.
gallinae |An order of birds, including the common domestic fowls, pheasants, grouse, quails, and allied forms; -- sometimes called Rasores.
galling |Fitted to gall or chafe; vexing; harassing; irritating. -- Gall\"ing*ly, adv.
gallinipper |A large mosquito.
gallinule |One of several wading birds, having long, webless toes, and a frontal shield, belonging to the family Rallidae. They are remarkable for running rapidly over marshes and on floating plants. The purple gallinule of America is Ionornis Martinica, that of the Old World is Porphyrio porphyrio. The common European gallinule (Gallinula chloropus) is also called moor hen, water hen, water rail, moor coot, night bird, and erroneously dabchick. Closely related to it is the Florida gallinule (Gallinula galeata). Note: The purple gallinule of Southern Europe and Asia was formerly believed to be able to detect and report adultery, and for that reason, chiefly, it was commonly domesticated by the ancients.
galliot |See Galiot.
gallipoli oil |An inferior kind of olive oil, brought from Gallipoli, in Italy.
gallipot |A glazed earthen pot or vessel, used by druggists and apothecaries for containing medicines, etc.
gallium |A rare metallic element, found in certain zinc ores. It is white, hard, and malleable, resembling aluminium, and remarcable for its low melting point (86 Note: The element was predicted with most of its properties, under the name ekaluminium, by the Russian chemist Mendelejeff, on the basis of the Periodic law. This prediction was verified in its discovery by the French chemist Lecoq de Boisbaudran by its characteristic spectrum (two violet lines), in an examination of a zinc blende from the Pyrenees.
gallivant |To play the beau; to wait upon the ladies; also, to roam about for pleasure without any definite plan. [Slang] Dickens.
gallivat |A small armed vessel, with sails and oars, -- used on the Malabar coast. A. Chalmers.
galliwasp |A West Indian lizard (Celestus occiduus), about a foot long, imagined by the natives to be venomous.
gallize |In wine making, to add water and sugar to (unfermented grape juice) so as to increase the quantity of wine produced. -- Gal`li*za\"tion (#), n.
gallnut |A round gall produced on the leaves and shoots of various species of the oak tree. See Gall, and Nutgall.
gallomania |An excessive admiration of what is French. -- Gal`lo*ma\"ni*ac, n.
gallon |A measure of capacity, containing four quarts; -- used, for the most part, in liquid measure, but sometimes in dry measure. Note: The standart gallon of the Unites States contains 231 cubic inches, or 8.3389 pounds avoirdupois of distilled water at its maximum density, and with the barometer at 30 inches. This is almost exactly equivalent to a cylinder of seven inches in diameter and six inches in height, and is the same as the old English wine gallon. The beer gallon, now little used in the United States, contains 282 cubic inches. The English imperial gallon contains 10 pounds avoirdupois of distilled water at 62
galloon |1. A narrow tapelike fabric used for binding hats, shoes, etc., -- sometimes made ornamental. 2. A similar bordering or binding of rich material, such as gold lace. Silver and gold galloons, with the like glittering gewgaws. Addison.
gallooned |Furnished or adorned with galloon.
gallop |1. To move or run in the mode called a gallop; as a horse; to go at a gallop; to run or move with speed. But gallop lively down the western hill. Donne. 2. To ride a horse at a gallop. 3. Fig.: To go rapidly or carelessly, as in making a hasty examination. Such superficial ideas he may collect in galloping over it. Locke.\n\nTo cause to gallop.\n\nA mode of running by a quadruped, particularly by a horse, by lifting alternately the fore feet and the hind feet, in successive leaps or bounds. Hand gallop, a slow or gentle gallop.
gallopade |1. I horsemanship, a sidelong or curveting kind of gallop. 2. A kind of dance; also, music to the dance; a galop.\n\n1. To gallop, as on horseback. 2. To perform the dance called gallopade.
galloper |1. One who, or that which, gallops. 2. (Mil.)  A carriage on which very small guns were formerly mounted, the gun resting on the shafts, without a limber. Farrow. Galloper gun, a light gun, supported on a galloper, -- formerly attached to British infantry regiments.
gallopin |An under servant for the kitchen; a scullion; a cook's errand boy. [Obs.] Halliwell.
galloping |Going at a gallop; progressing rapidly; as, a galloping horse.
gallotannic |Pertaining to the tannin or nutgalls. Gallotannic acid. See Tannic acid, under Tannic.
gallow |To fright or terrify. See Gally, v. t. [Obs.] Shak.
galloway |A small horse of a breed raised at Galloway, Scotland; -- called also garran, and garron.
gallowglass |A heavy-armed foot soldier from Ireland and the Western Isles in the time of Edward Shak.
gallows |1. A frame from which is suspended the rope with which criminals are executed by hanging, usually consisting of two upright posts and a crossbeam on the top; also, a like frame for suspending anything. So they hanged Haman on the gallows. Esther vii. 10. If I hang, I'll make a fat pair of gallows. Shak. O, there were desolation of gaolers and gallowses Shak. 2. A wretch who deserves the gallows. [R.] Shak. 3. (Print.)  The rest for the tympan when raised. 4. pl.  A pair of suspenders or braces. [Colloq.] Gallows bird, a person who deserves the gallows. [Colloq.] -- Gallows bitts (Naut.), one of two or more frames amidships on deck for supporting spare spars; -- called also gallows, gallows top, gallows frame, etc. -- Gallows frame. (a) The frame supporting the beam of an engine. (b) (Naut.) Gallows bitts. -- Gallows, or Gallow tree, the gallows. At length him nailéd on a gallow tree. Spenser.
gallstone |A concretion, or calculus, formed in the gall bladder or biliary passages. See Calculus, n., 1.
gally |To frighten; to worry. [Obs. or Prov. Eng.] T. Brown.\n\nLike gall; bitter as gall. Cranmer.\n\nSee Galley, n., 4.
gallygaskins |See Galligaskins.
galoche |1. A clog or patten. [Obs.] Nor were worthy [to] unbuckle his galoche. Chaucer. 2. Hence: An overshoe worn in wet weather. 3. A gaiter, or legging, covering the upper part of the shoe and part of the leg.
galoot |A noisy, swaggering, or worthless fellow; a rowdy. [Slang, U. S.]
galop |A kind of lively dance, in 2-4 time; also, the music to the dance.
galore |Plenty; abundance; in abundance.
galosh |1. Same as Galoche, Galoshe. 2.  A strip of material, as leather, running around a shoe at and above the sole, as for protection or ornament.
galoshe |1. A clog or patten. [Obs.] Nor were worthy [to] unbuckle his galoche. Chaucer. 2. Hence: An overshoe worn in wet weather. 3. A gaiter, or legging, covering the upper part of the shoe and part of the leg.\n\nSame as Galoche.
galpe |To gape,; to yawn. [Obs.] Chaucer.
galsome |Angry; malignant. [Obs.] Bp. Morton.
galt |Same as Gault.
galvanic |Of or pertaining to, or exhibiting the phenomena of, galvanism; employing or producing electrical currents. Galvanic battery (Elec.), an apparatus for generating electrical currents by the mutual action of certain liquids and metals; -- now usually called voltaic battery. See Battery. -- Galvanic circuit or circle. (Elec.) See under Circuit. -- Galvanic pile (Elec.), the voltaic pile. See under Voltaic.
galvanism |(a) Electricity excited by the mutual action of certain liquids and metals; dynamical electricity. (b) The branch of physical science which treats of dynamical elecricity, or the properties and effects of electrical currents. Note: The words galvanism and galvanic, formerly in very general use, are now rarely employed. For the latter, voltaic, from the name of Volta, is commonly used.
galvanist |One versed in galvanism.
galvanization |The act of process of galvanizing.
galvanize |1. To affect with galvanism; to subject to the action of electrical currents. 2. To plate, as with gold, silver, etc., by means of electricity. 3. To restore to consciousness by galvanic action (as from a state of suspended animation); hence, to stimulate or excite to a factitious animation or activity. 4. To coat, as iron, with zinc. See Galvanized iron. Galvanized iron, formerly, iron coated with zink by electrical deposition; now more commonly, iron coated with zink by plunging into a bath of melted zink, after its surface has been cleaned by friction with the aid of dilute acid.
galvanizer |One who, or that which, galvanize.
galvanocaustic |Relating to the use of galvanic heat as a caustic, especially in medicine.
galvanocautery |Cautery effected by a knife or needle heated by the passage of a galvanic current.
galvanoglyphy |Same as Glyphography.
galvanograph |A copperplate produced by the method of galvanography; also, a picture printed from such a plate.
galvanographic |Of or pertaining to galvanography.
galvanography |1. The art or process of depositing metals by electricity; electrotypy. 2. A method of producing by means of electrotyping process (without etching) copperplates which can be printed from in the same manner as engraved plates.
galvanologist |One who describes the phenomena of galvanism; a writer on galvanism.
galvanology |A treatise on galvanism, or a description of its phenomena.
galvanometer |An instrument or apparatus for measuring the intensity of an electric current, usually by the deflection of a magnetic needle. Differential galvanometer. See under Differental, a. -- Sine galvanometer, Cosine galvanometer, Tangent galvanometer (Elec.), a galvanometer in which the sine, cosine, or tangent respectively, of the angle through which the needle is deflected, is proportional to the strength of the current passed through the instrument.
galvanometric |Of, pertaining to, or measured by, a galvanometer.
galvanometry |The art or process of measuring the force of electric currents.
galvanoplastic |Of or pertaining to the art or process of electrotyping; employing, or produced by, the process of electolytic deposition; as, a galvano-plastic copy of a medal or the like.
galvanoplasty |The art or process of electrotypy.
galvanopuncture |Same as Electro-puncture.
galvanoscope |An instrument or apparatus for detecting the presence of electrical currents, especially such as are of feeble intensity.
galvanoscopic |Of or pertaining to a galvanoscope.
galvanoscopy |The use of galvanism in physiological experiments.
galvanotonus |Same as Electrotonus.
galvanotropism |The tendency of a root to place its axis in the line of a galvanic current.
galwes |Gallows. [Obs.] Chaucer.
gam |(a) A herd, or school, of whales. (b) A visit between whalers at sea; a holding of social intercourse between those on different vessels at sea, or (Local U. S.) between persons ashore.\n\n(a) To gather in a gam; -- said of whales. (b) To engage in a gam, or (Local, U. S.) in social intercourse anywhere.\n\nTo have a gam with; to pay a visit to, esp. among whalers at sea.
gama grass |A species of grass (Tripsacum dactyloides) tall, stout, and exceedingly productive; cultivated in the West Indies, Mexico, and the Southern States of North America as a forage grass; -- called also sesame grass.
gamashes |High boots or buskins; in Scotland, short spatterdashes or riding trousers, worn over the other clothing.
gamba |A viola da gamba.
gambadoes |Same as Gamashes. His thin legs tenanted a pair of gambadoes fastened at the side with rusty clasps. Sir W. Scott.
gambeer |To gaff, as mackerel.
gambeson |Same as Gambison.
gambet |Any bird of the genuis Totanus. See Tattler.
gambier |(a) The inspissated juice of a plant (Uncaria Gambir) growing in Malacca. It is a powerful astringent, and, under the name of Terra Japonica, is used for chewing with the Areca nut, and is exported for tanning and dyeing. (b) Catechu. [Written also gambeer and gambir.]
gambison |A defensive garment formerly in use for the body, made of cloth stuffed and quilted.
gambist |A performer upon the viola di gamba. See under Viola.
gambit |A mode of opening the game, in which a pawn is sacrificed to gain an attacking position.
gamble |To play or game for money or other stake.\n\nTo lose or squander by gaming; -- usually with away. \"Bankrupts or sots who have gambled or slept away their estates.\" Ames.
gambler |One who gambles.
gamboge |A concrete juice, or gum resin, produced by several species of trees in Siam, Ceylon, and Malabar. It is brought in masses, or cylindrical rolls, from Cambodia, or Cambogia, -- whence its name. The best kind is of a dense, compact texture, and of a beatiful reddish yellow. Taking internally, it is a strong and harsh cathartic ad emetic. [Written also camboge.] Note: There are several kinds of gamboge, but all are derived from species of Garcinia, a genus of trees of the order Guttiferæ. The best Siam gamboge is thought to come from Garcinia Hanburii. Ceylon gamboge is from G. Morella. G. pictoria, of Western India, yields gamboge, and also a kind of oil called gamboge butter.
gambogian |Pertaining to, resembling, or containing, gamboge.
gambogic |Pertaining to, resembling, or containing, gamboge.
gambol |A skipping or leaping about in frolic; a hop; a sportive prank. Dryden.\n\nTo dance and skip about in sport; to frisk; to skip; to play in frolic, like boys or lambs.
gambrel |1. The hind leg of a horse. 2. A stick crooked like a horse's hind leg; -- used by butchers in suspending slaughtered animals. Gambrel roof (Arch.), a curb roof having the same section in all parts, with a lower steeper slope and an upper and flatter one, so that each gable is pentagonal in form.\n\nTo truss or hang up by means of a gambrel. Beau. & Fl.
gambroon |A kind of twilled linen cloth for lining. Simmonds.
game |Crooked; lame; as, a game leg. [Colloq.]\n\n1. Sport of any kind; jest, frolic. We have had pastimes here, and pleasant game. Shak. 2. A contest, physical or mental, according to certain rules, for amusement, recreation, or for winning a stake; as, a game of chance; games of skill; field games, etc. But war's a game, which, were their subject wise, Kings would not play at. Cowper. Note: Among the ancients, especially the Greeks and Romans, there were regularly recurring public exhibitions of strength, agility, and skill under the patronage of the government, usually accompanied with religious ceremonies. Such were the Olympic, the Pythian, the Nemean, and the Isthmian games. 3. The use or practice of such a game; a single match at play; a single contest; as, a game at cards. Talk the game o'er between the deal. Lloyd. 4. That which is gained, as the stake in a game; also, the number of points necessary to be scored in order to win a game; as, in short whist five points are game. 5. (Card Playing)  In some games, a point credited on the score to the player whose cards counts up the highest. 6. A scheme or art employed in the pursuit of an object or purpose; method of procedure; projected line of operations; plan; project. Your murderous game is nearly up. Blackw. Mag. It was obviously Lord Macaulay's game to blacken the greatest literary champion of the cause he had set himself to attack. Saintsbury. 7. Animals pursued and taken by sportsmen; wild meats designed for, or served at, table. Those species of animals . . . distinguished from the rest by the well-known appellation of game. Blackstone. Confidence game. See under Confidence. -- To make game of, to make sport of; to mock. Milton.\n\n1. Having a resolute, unyielding spirit, like the gamecock; ready to fight to the last; plucky. I was game . . . .I felt that I could have fought even to the death. W. Irving. 2. Of or pertaining to such animals as are hunted for game, or to the act or practice of hunting. Game bag, a sportsman's bag for carrying small game captured; also, the whole quantity of game taken. -- Game bird, any bird commonly shot for food, esp. grouse, partridges, quails, pheasants, wild turkeys, and the shore or wading birds, such as plovers, snipe, woodcock, curlew, and sandpipers. The term is sometimes arbitrarily restricted to birds hunted by sportsmen, with dogs and guns. -- Game egg, an egg producing a gamecock. -- Game laws, laws regulating the seasons and manner of taking game for food or for sport. -- Game preserver, a land owner who regulates the killing of game on his estate with a view to its increase. [Eng.] -- To be game. (a) To show a brave, unyielding spirit. (b) To be victor in a game. [Colloq.] -- To die game, to maintain a bold, unyielding spirit to the last; to die fighting.\n\n1. To rejoice; to be pleased; -- often used, in Old English, impersonally with dative. [Obs.] God loved he best with all his whole hearte At alle times, though him gamed or smarte. Chaucer. 2. To play at any sport or diversion. 3. To play for a stake or prize; to use cards, dice, billiards, or other instruments, according to certain rules, with a view to win money or other thing waged upon the issue of the contest; to gamble.
game fowl |A handsome breed of the common fowl, remarkable for the great courage and pugnacity of the males.
gamecock |The male game fowl.
gameful |Full of game or games.
gamekeeper |One who has the care of game, especially in a park or preserve. Blackstone.
gameless |Destitute of game.
gamely |In a plucky manner; spiritedly.
gameness |Endurance; pluck.
gamesome |Gay; sportive; playful; frolicsome; merry. Shak. Gladness of the gamesome crowd. Byron. -- Game\"some*ly, adv. -- Game\"some*ness, n.
gamester |1. A merry, frolicsome person. [Obs.] Shak. 2. A person who plays at games; esp., one accustomed to play for a stake; a gambler; one skilled in games. When lenity and cruelty play for a kingdom, the gentlest gamester is the soonest winner. Shak. 3. A prostitute; a strumpet. [Obs.] Shak.
gamete |A sexual cell or germ cell; a conjugating cell which unites with another of like or unlike character to form a new individual. In Bot., gamete designates esp. the similar sex cells of the lower thallophytes which unite by conjugation, forming a zygospore. The gametes of higher plants are of two sorts, sperm (male) and egg (female); their union is called fertilization, and the resulting zygote an oöspore. In Zoöl., gamete is most commonly used of the sexual cells of certain Protozoa, though also extended to the germ cells of higher forms.
gametophyte |In the alternation of generations in plants, that generation or phase which bears sex organs. In the lower plants, as the algæ, the gametophyte is the conspicuous part of the plant body; in mosses it is the so-called moss plant; in ferns it is reduced to a small, early perishing body; and in seed plants it is usually microscopic or rudimentary.
gamic |Pertaining to, or resulting from, sexual connection; formed by the union of the male and female elements.
gamin |A neglected and untrained city boy; a young street Arab. In Japan, the gamins run after you, and say, 'Look at the Chinaman.' L. Oliphant.
gaming |The act or practice of playing games for stakes or wagers; gambling.
gamma |The third letter (G) of the Greek alphabet.
gamma rays |Very penetrating rays not appreciably deflected by a magnetic or electric field, emitted by radioactive substances. The prevailing view is that they are non-periodic ether pulses differing from Röntgen rays only in being more penetrating.
gammadion |A cross formed of four capital gammas, formerly used as a mysterious ornament on ecclesiastical vestments, etc. See Fylfot.
gammer |An old wife; an old woman; -- correlative of gaffer, an old man.
gammon |The buttock or tight of a hog, salted and smoked or dried; the lower end of a flitch. Goldsmith.\n\nTo make bacon of; to salt and dry in smoke.\n\n1. Backgammon. 2. An imposition or hoax; humbug. [Colloq.]\n\n1. To beat in the game of backgammon, before an antagonist has been able to get his \"men\" or counters home and withdraw any of them from the board; as, to gammon a person. 2. To impose on; to hoax; to cajole. [Colloq.] Hood.\n\nTo fasten (a bowsprit) to the stem of a vessel by lashings of rope or chain, or by a band of iron. Totten.
gammoning |The lashing or iron band by which the bowsprit of a vessel is secured to the stem to opposite the lifting action of the forestays. Gammoning fashion, in the style of gammoning lashing, that is, having the turns of rope crossed. -- Gammoning hole (Naut.), a hole cut through the knee of the head of a vessel for the purpose of gammoning the bowsprit.\n\nThe act of imposing upon or hoaxing a person. [Colloq.]
gamogenesis |The production of offspring by the union of parents of different sexes; sexual reproduction; -- the opposite of agamogenesis.
gamogenetic |Relating to gamogenesis. -- Gam`o*ge*net\"ic*al*ly, adv.
gamomorphism |That stage of growth or development in an organism, in which the reproductive elements are generated and matured in preparation for propagating the species.
gamopetalous |Having the petals united or joined so as to form a tube or cup; monopetalous.
gamophyllous |Composed of leaves united by their edges (coalescent). Gray.
gamosepalous |Formed of united sepals; monosepalous.
gamp |A large umbrella; --said to allude to Mrs. Gamp's umbrella, in Dickens's \"Martin Chuzzlewit.\",
