flabellinerved |Having many nerves diverging radiately from the base; -- said of a leaf.
fling |1. To cast, send, to throw from the hand; to hurl; to dart; to emit with violence as if thrown from the hand; as, to fing a stone into the pond. 'T is Fate that flings the dice: and, as she flings, Of kings makes peasants, and of peasants kings. Dryden. He . . . like Jove, his lighting flung. Dryden. I know thy generous temper well. Fling but the appearance of dishonor on it, It straight takes fire. Addison. 2. To shed forth; to emit; to scatter. The sun begins to fling His flaring beams. Milton. Every beam new transient colors flings. Pope. 3. To throw; to hurl; to throw off or down; to prostrate; hence, to baffle; to defeat; as, to fling a party in litigation. His horse started, flung him, and fell upon him. Walpole. To fling about, to throw on all sides; to scatter. -- To fling away, to reject; to discard. Cromwell, I charge thee, fling away ambition. Shak. --To fling down. (a) To throw to the ground; esp., to throw in defiance, as formerly knights cast a glove into the arena as a challenge. This question so flung down before the guests, . . . Was handed over by consent of all To me who had not spoken. Tennyson. (b) To overturn; to demolish; to ruin. -- To fling in, to throw in; not to charge in an account; as, in settling accounts, one party flings in a small sum, or a few days' work. -- To fling off, to baffle in the chase; to defeat of prey; also, to get rid of. Addison. -- To fling open, to throw open; to open suddenly or with violence; as, to fling open a door. -- To fling out, to utter; to speak in an abrupt or harsh manner; as, to fling out hard words against another. -- To fling up, to relinquish; to abandon; as, to fling up a design.\n\n1. To throw; to wince; to flounce; as, the horse began to kick and fling. 2. To cast in the teeth; to utter abusive language; to sneer; as, the scold began to flout and fling. 3. To throw one's self in a violent or hasty manner; to rush or spring with violence or haste. And crop-full, out of doors he flings. Milton. I flung closer to his breast, As sword that, after battle, flings to sheath. Mrs. Browning. To fling out, to become ugly and intractable; to utter sneers and insinuations.\n\n1. A cast from the hand; a throw; also, a flounce; a kick; as, the fling of a horse. 2. A severe or contemptuous remark; an expression of sarcastic scorn; a gibe; a sarcasm. I, who love to have a fling, Both at senate house and king. Swift. 3. A kind of dance; as, the Highland fling. 4. A trifing matter; an object of contempt. [Obs.] England were but a fling Save for the crooked stick and the gray goose wing. Old Proverb. To have one's fling, to enjoy one's self to the full; to have a season of dissipation. J. H. Newman. \"When I was as young as you, I had my fling. I led a life of pleasure.\" D. Jerrold.
flingdust |One who kicks up the dust; a streetwalker; a low manner. [Obs.] Beau. & Fl.
flinger |One who flings; one who jeers.
flint |1. (Min.)  A massive, somewhat impure variety of quartz, in color usually of a gray to brown or nearly black, breaking with a conchoidal fracture and sharp edge. It is very hard, and strikes fire with steel. 2. A piece of flint for striking fire; -- formerly much used, esp. in the hammers of gun locks. 3. Anything extremely hard, unimpressible, and unyielding, like flint. \"A heart of flint.\" Spenser. Flint age. (Geol.) Same as Stone age, under Stone. -- Flint brick, a fire made principially of powdered silex. -- Flint glass. See in the Vocabulary. -- Flint implements (Archæol.), tools, etc., employed by men before the use of metals, such as axes, arrows, spears, knives, wedges, etc., which were commonly made of flint, but also of granite, jade, jasper, and other hard stones. -- Flint mill. (a) (Pottery) A mill in which flints are ground. (b) (Mining) An obsolete appliance for lighting the miner at his work, in which flints on a revolving wheel were made to produce a shower of sparks, which gave light, but did not inflame the fire damp. Knight. -- Flint stone, a hard, siliceous stone; a flint. -- Flint wall, a kind of wall, common in England, on the face of which are exposed the black surfaces of broken flints set in the mortar, with quions of masonry. -- Liquor of flints, a solution of silica, or flints, in potash. -- To skin a flint, to be capable of, or guilty of, any expedient or any meanness for making money. [Colloq.]
flint glass |A soft, heavy, brilliant glass, consisting essentially of a silicate of lead and potassium. It is used for tableware, and for optical instruments, as prisms, its density giving a high degree of dispersive power; -- so called, because formerly the silica was obtained from pulverized flints. Called also crystal glass. Cf. Glass. Note: The concave or diverging half on an achromatic lens is usually made of flint glass.
flint-hearted |Hard-hearted. Shak.
flintiness |The state or quality of being flinty; hardness; cruelty. Beau. & Fl.
flintlock |1. A lock for a gun or pistol, having a flint fixed in the hammer, which on stricking the steel ignites the priming. 2. A hand firearm fitted with a flintlock; esp., the old-fashioned musket of European and other armies.
flintware |A superior kind of earthenware into whose composition flint enters largely. Knight.
flintwood |An Australian name for the very hard wood of the Eucalyptus piluralis.
flinty |Consisting of, composed of, abounding in, or resembling, flint; as, a flinty rock; flinty ground; a flinty heart. Flinty rockFlinty state, a siliceous slate; -- basanite is here included. See Basanite.
flip |A mixture of beer, spirit, etc., stirred and heated by a hot iron. Flip dog, an iron used, when heated, to warm flip.\n\nTo toss or fillip; as, to flip up a cent. As when your little ones Do 'twixt their fingers flip their cherry stones. W. Browne.
flip-flap |The repeated stroke of something long and loose. Johnson.\n\nWith repeated strokes and noise, as of something long and loose. Ash.
flipe |To turn inside out, or with the leg part back over the foot, as a stocking in pulling off or for putting on. [Scot.]
flippancy |The state or quality of being flippant. This flippancy of language. Bp. Hurd.
flippant |1. Of smooth, fluent, and rapid speech; speaking with ease and rapidity; having a voluble tongue; talkative. It becometh good men, in such cases, to be flippant and free in their speech. Barrow. 2. Speaking fluently and confidently, without knowledge or consideration; empty; trifling; inconsederate; pert; petulant. \"Flippant epilogous.\" Thomson. To put flippant scorn to the blush. I. Taylor. A sort of flippant, vain discourse. Burke.\n\nA flippant person. [R.] Tennyson.
flippantly |In a flippant manner.
flippantness |State or quality of being flippant.
flipper |1. (Zoöl.)  A broad flat limb used for swimming, as those of seals, sea turtles, whales, etc. 2. (Naut.)  The hand. [Slang]
flirt |1. To throw with a jerk or quick effort; to fling suddenly; as, they flirt water in each other's faces; he flirted a glove, or a handkerchief. 2. To toss or throw about; to move playfully to and fro; as, to flirt a fan. 3. To jeer at; to treat with contempt; to mock. [Obs.] I am ashamed; I am scorned; I am flirted. Beau. & Fl.\n\n1. To run and dart about; to act with giddiness, or from a desire to attract notice; especially, to play the coquette; to play at courtship; to coquet; as, they flirt with the young men. 2. To utter contemptious language, with an air of disdain; to jeer or gibe. [Obs.] Beau. & Fl.\n\n1. A sudden jerk; a quick throw or cast; a darting motion; hence, a jeer. Several little flirts and vibrations. Addison. With many a flirt and flutter. E. A. Poe. 2. Etym: [Cf. LG. flirtje, G. flirtchen. See Flirt, v. t.]  One who flirts; esp., a woman who acts with giddiness, or plays at courtship; a coquette; a pert girl. Several young flirts about town had a design to cast us out of the fashionable world. Addison.\n\nPert; wanton. [Obs.]
flirt-gill |A woman of light behavior; a gill-flirt. [Obs.] Shak. You heard him take me up like a flirt-gill. Beau. & Fl.
flirtation |1. Playing at courtship; coquerty. The flirtations and jealousies of our ball rooms. Macaulay.
flirtigig |A wanton, pert girl. [Obs.]
flirtingly |In a flirting manner.
flisk |To frisk; to skip; to caper. [Obs. Scot.] \"The flisking flies.\" Gosson.\n\nA caper; a spring; a whim. [Scot.]
flit |1. To move with celerity through the air; to fly away with a rapid motion; to dart along; to fleet; as, a bird flits away; a cloud flits along. A shadow flits before me. Tennyson. 2. To flutter; to rove on the wing. Dryden. 3. To pass rapidly, as a light substance, from one place to another; to remove; to migrate. It became a received opinion, that the souls of men, departing this life, did flit out of one body into some other. Hooker. 4. To remove from one place or habitation to another. [Scot. & Prov. Eng.] Wright. Jamieson. 5. To be unstable; to be easily or often moved. And the free soul to flitting air resigned. Dryden.\n\nNimble; quick; swift. [Obs.] See Fleet.
flitch |1. The side of a hog salted and cured; a side of bacon. Swift. 2. One of several planks, smaller timbers, or iron plates, which are secured together, side by side, to make a large girder or built beam. 3. The outside piece of a sawed log; a slab. [Eng.]
flite |To scold; to quarrel. [Prov. Eng.] Grose.\n\nStrife; dispute; abusive or upbraiding talk, as in fliting; wrangling. [Obs. or Scot. & Prov. Eng.] The bird of Pallas has also a good \"flyte\" on the moral side . . . in his suggestion that the principal effect of the nightingale's song is to make women false to their husbands. Saintsbury.
flitter |To flutter. [Obs.] Chaucer.\n\nTo flutter; to move quickly; as, to flitter the cards. [R.] Lowell.\n\nA rag; a tatter; a small piece or fragment.
flittermouse |A bat; -- called also flickermouse, flindermouse, and flintymouse.
flittern |A term applied to the bark obtained from young oak trees. McElrath.
flittiness |Unsteadiness; levity; lightness. [Obs.] Bp. Hopkins.
flitting |1. A flying with lightness and celerity; a fluttering. 2. A removal from one habitation to another. [Scot. & Prov. Eng.] A neighbor had lent his cart for the flitting, and it was now standing loaded at the door, ready to move away. Jeffrey.\n\nContention; strife; scolding; specif., a kind of metrical contest between two persons, popular in Scotland in the 16th century. [Obs. or Scot.] These \"flytings\" consisted of alternate torrents of sheer Billingsgate poured upon each other by the combatants. Saintsbury.
flittingly |In a flitting manner.
flitty |Unstable; fluttering. [Obs.] Dr. H. More.
flix |Down; fur. [Obs. or Eng.] J. Dyer.\n\nThe flux; dysentery. [Obs.] Udall. Flix weed (Bot.), the Sisymbrium Sophia, a kind of hedge mustard, formerly used as a remedy for dysentery.
flo |An arrow. [Obs.] Chaucer.
float |1. Anything which floats or rests on the surface of a fluid, as to sustain weight, or to indicate the height of the surface, or mark the place of, something. Specifically: (a) A mass of timber or boards fastened together, and conveyed down a stream by the current; a raft. (b) The hollow, metallic ball of a self-acting faucet, which floats upon the water in a cistern or boiler. (c) The cork or quill used in angling, to support the bait line, and indicate the bite of a fish. (d) Anything used to buoy up whatever is liable to sink; an inflated bag or pillow used by persons learning to swim; a life preserver. This reform bill . . . had been used as a float by the conservative ministry. J. P. Peters. 2. A float board. See Float board (below). 3. (Tempering)  A contrivance for affording a copious stream of water to the heated surface of an object of large bulk, as an anvil or die. Knight. 4. The act of flowing; flux; flow. [Obs.] Bacon. 5. A quantity of earth, eighteen feet square and one foot deep. [Obs.] Mortimer. 6. (Plastering)  The trowel or tool with which the floated coat of plastering is leveled and smoothed. 7. A polishing block used in marble working; a runner. Knight. 8. A single-cut file for smoothing; a tool used by shoemakers for rasping off pegs inside a shoe. 9. A coal cart. [Eng.] Simmonds. 10. The sea; a wave. See Flote, n. Float board, one of the boards fixed radially to the rim of an undershot water wheel or of a steamer's paddle wheel; -- a vane. -- Float case (Naut.), a caisson used for lifting a ship. -- Float copper or gold (Mining), fine particles of metallic copper or of gold suspended in water, and thus liable to be lost. -- Float ore, water-worn particles of ore; fragments of vein material found on the surface, away from the vein outcrop. Raymond. -- Float stone (Arch.), a siliceous stone used to rub stonework or brickwork to a smooth surface. -- Float valve, a valve or cock acted upon by a float. See Float, 1 (b).\n\n1. To rest on the surface of any fluid; to swim; to be buoyed up. The ark no more now floats, but seems on ground. Milton. Three blustering nights, borne by the southern blast, I floated. Dryden. 2. To move quietly or gently on the water, as a raft; to drift along; to move or glide without effort or impulse on the surface of a fluid, or through the air. They stretch their broad plumes and float upon the wind. Pope. There seems a floating whisper on the hills. Byron.\n\n1. To cause to float; to cause to rest or move on the surface of a fluid; as, the tide floated the ship into the harbor. Had floated that bell on the Inchcape rock. Southey. 2. To flood; to overflow; to cover with water. Proud Pactolus floats the fruitful lands. Dryden. 3. (Plastering)  To pass over and level the surface of with a float while the plastering is kept wet. 4. To support and sustain the credit of, as a commercial scheme or a joint-stock company, so as to enable
floatable |That may be floated.
floatage |Same as Flotage.
floatation |See Flotation.
floater |1. One who floats or swims. 2. A float for indicating the height of a liquid surface.
floating |1. Buoyed upon or in a fluid; a, the floating timbers of a wreck; floating motes in the air. 2. Free or lose from the usual attachment; as, the floating ribs in man and some other animals. 3. Not funded; not fixed, invested, or determined; as, floating capital; a floating debt. Trade was at an end. Floating capital had been withdrawn in great masses from the island. Macaulay. Floating anchor (Naut.), a drag or sea anchor; drag sail. -- Floating battery (Mil.), a battery erected on rafts or the hulls of ships, chiefly for the defense of a coast or the bombardment of a place. -- Floating bridge. (a) A bridge consisting of rafts or timber, with a floor of plank, supported wholly by the water; a bateau bridge. See Bateau. (b) (Mil.) A kind of double bridge, the upper one projecting beyond the lower one, and capable of being moved forward by pulleys; -- used for carrying troops over narrow moats in attacking the outworks of a fort. (c) A kind of ferryboat which is guided and impelled by means of chains which are anchored on each side of a stream, and pass over wheels on the vessel, the wheels being driven by stream power. (d) The landing platform of a ferry dock. -- Floating cartilage (Med.), a cartilage which moves freely in the cavity of a joint, and often interferes with the functions of the latter. -- Floating dam. (a) An anchored dam. (b) A caisson used as a gate for a dry dock. -- Floating derrick, a derrick on a float for river and harbor use, in raising vessels, moving stone for harbor improvements, etc. -- Floating dock. (Naut.) See under Dock. -- Floating harbor, a breakwater of cages or booms, anchored and fastened together, and used as a protection to ships riding at anchor to leeward. Knight. -- Floating heart (Bot.), a small aquatic plant (Limnanthemum lacunosum) whose heart-shaped leaves float on the water of American ponds. -- Floating island, a dish for dessert, consisting of custard with floating masses of whipped cream or white of eggs. -- Floating kidney. (Med.) See Wandering kidney, under Wandering. -- Floating light, a light shown at the masthead of a vessel moored over sunken rocks, shoals, etc., to warn mariners of danger; a light- ship; also, a light erected on a buoy or floating stage. -- Floating liver. (Med.) See Wandering liver, under Wandering. -- Floating pier, a landing stage or pier which rises and falls with the tide. -- Floating ribs (Anat.), the lower or posterior ribs which are not connected with the others in front; in man they are the last two pairs. -- Floating screed (Plastering), a strip of plastering first laid on, to serve as a guide for the thickness of the coat. -- Floating threads (Weaving), threads which span several other threads without being interwoven with them, in a woven fabric.\n\n1. (Weaving)  Floating threads. See Floating threads, above. 2. The second coat of three-coat plastering. Knight.
floating charge |A charge, lien, etc., that successively attaches to such assets as a person may have from time to time, leaving him more or less free to dispose of or encumber them as if no such charge or lien existed.
floating lien |A charge, lien, etc., that successively attaches to such assets as a person may have from time to time, leaving him more or less free to dispose of or encumber them as if no such charge or lien existed.
floatingly |In a floating manner.
floaty |Swimming on the surface; buoyant; light. Sir W. Raleigh.
flobert |A small cartridge designed for target shooting; -- sometimes called ball cap. Flobert rifle, a rifle adapted to the use of floberts.
floccillation |A delirious picking of bedclothes by a sick person, as if to pick off flocks of wool; carphology; -- an alarming symptom in acute diseases. Dunglison.
floccose |1. Spotted with small tufts like wool. Wright. 2. (Bot.)  Having tufts of soft hairs, which are often deciduous.
floccular |Of or pertaining to the flocculus.
flocculate |To aggregate into small lumps.\n\nFurnished with tufts of curly hairs, as some insects.
flocculation |The process by which small particles of fine soils and sediments aggregate into larger lumps.
floccule |1. A detached mass of loosely fibrous structure like a shredded tuft of wool. 2. (Chem.) Specif.: A small particle of an insoluble substance formed in a liquid by the union of smaller particles.
flocculence |The state of being flocculent.
flocculent |1. Clothed with small flocks or flakes; woolly. Gray. 2. (Zoöl.)  Applied to the down of newly hatched or unfledged birds.
flocculus |A small lobe in the under surface of the cerebellum, near the middle peduncle; the subpeduncular lobe.
floccus |1. (Zoöl.) (a) The tuft of hair terminating the tail of mammals. (b) A tuft of feathers on the head of young birds. 2. (Bot.)  A woolly filament sometimes occuring with the sporules of certain fungi.
flock |1. A company or collection of living creatures; -- especially applied to sheep and birds, rarely to persons or (except in the plural) to cattle and other large animals; as, a flock of ravenous fowl. Milton. The heathen . . . came to Nicanor by flocks. 2 Macc. xiv. 14. 2. A Christian church or congregation; considered in their relation to the pastor, or minister in charge. As half amazed, half frighted all his flock. Tennyson.\n\nTo gather in companies or crowds. Friends daily flock. Dryden. Flocking fowl (Zoöl.), the greater scaup duck.\n\nTo flock to; to crowd. [Obs.] Good fellows, trooping, flocked me so. Taylor (1609).\n\n1. A lock of wool or hair. I prythee, Tom, beat Cut's saddle, put a few flocks in the point [pommel]. Shak. 2. Woolen or cotton refuse (sing. or pl.), old rags, etc., reduced to a degree of fineness by machinery, and used for stuffing unpholstered furniture. 3. Very fine, sifted, woolen refuse, especially that from shearing the nap of cloths, used as a coating for wall paper to give it a velvety or clothlike appearance; also, the dust of vegetable fiber used for a similar purpose. Flock bed, a bed filled with flocks or locks of coarse wool, or pieces of cloth cut up fine. \"Once a flock bed, but repaired with straw.\" Pope. -- Flock paper, paper coated with flock fixed with glue or size.\n\nTo coat with flock, as wall paper; to roughen the surface of (as glass) so as to give an appearance of being covered with fine flock.
flockling |A lamb. [Obs.] Brome (1659).
flockly |In flocks; in crowds. [Obs.]
flockmel |In a flock; in a body. [Obs.] That flockmel on a day they to him went. Chaucer.
flocky |Abounding with flocks; floccose.
floe |A low, flat mass of floating ice. Floe rat (Zoöl.), a seal (Phoca foetida).
flog |To beat or strike with a rod or whip; to whip; to lash; to chastise with repeated blows.
flogger |1. One who flogs. 2. A kind of mallet for beating the bung stave of a cask to start the bung. Knight.
flogging |from Flog, v. t. Flogging chisel (Mach.), a large cold chisel, used in chipping castings. -- Flogging hammer, a small sledge hammer used for striking a flogging chisel.
flon |See Flo. [Obs.] Chaucer.
flong |imp. & p. p. of Fling.
flood |1. A great flow of water; a body of moving water; the flowing stream, as of a river; especially, a body of water, rising, swelling, and overflowing land not usually thus covered; a deluge; a freshet; an inundation. A covenant never to destroy The earth again by flood. Milton. 2. The flowing in of the tide; the semidiurnal swell or rise of water in the ocean; -- opposed to ebb; as, young flood; high flood. There is a tide in the affairs of men, Which, taken at the flood, leads on to fortune. Shak. 3. A great flow or stream of any fluid substance; as, a flood of light; a flood of lava; hence, a great quantity widely diffused; an overflowing; a superabundance; as, a flood of bank notes; a flood of paper currency. 4. Menstrual disharge; menses. Harvey. Flood anchor (Naut.) , the anchor by which a ship is held while the tide is rising. -- Flood fence, a fence so secured that it will not be swept away by a flood. -- Flood gate, a gate for shutting out, admitting, or releasing, a body of water; a tide gate. -- Flood mark, the mark or line to which the tide, or a flood, rises; high-water mark. -- Flood tide, the rising tide; -- opposed to ebb tide. -- The Flood, the deluge in the days of Noah.\n\n1. To overflow; to inundate; to deluge; as, the swollen river flooded the valley. 2. To cause or permit to be inundated; to fill or cover with water or other fluid; as, to flood arable land for irrigation; to fill to excess or to its full capacity; as, to flood a country with a depreciated currency.
floodage |Inundation. [R.] Carlyle.
flooder |One who floods anything.
flooding |The filling or covering with water or other fluid; overflow; inundation; the filling anything to excess. 2. (Med.)  An abnormal or excessive discharge of blood from the uterus. Dunglison.
flook |A fluke of an anchor.
flookan |See Flucan.
flooky |Fluky.
floor |1. The bottom or lower part of any room; the part upon which we stand and upon which the movables in the room are supported. 2. The structure formed of beams, girders, etc., with proper covering, which divides a building horizontally into stories. Floor in sense 1 is, then, the upper surface of floor in sense 2. 3. The surface, or the platform, of a structure on which we walk or travel; as, the floor of a bridge. 4. A story of a building. See Story. 5. (Legislative Assemblies) (a) The part of the house assigned to the members. (b) The right to speak. [U.S.] Note: Instead of he has the floor, the English say, he is in possession of the house. 6. (Naut.)  That part of the bottom of a vessel on each side of the keelson which is most nearly horizontal. 7. (Mining) (a) The rock underlying a stratified or nearly horizontal deposit. (b) A horizontal, flat ore body. Raymond. Floor cloth, a heavy fabric, painted, varnished, or saturated, with waterproof material, for covering floors; oilcloth. -- Floor cramp, an implement for tightening the seams of floor boards before nailing them in position. -- Floor light, a frame with glass panes in a floor. -- Floor plan. (a) (Shipbuilding) A longitudinal section, showing a ship as divided at the water line. (b) (Arch.) A horizontal section, showing the thickness of the walls and partitions, arrangement of passages, apartments, and openings at the level of any floor of a house.\n\n1. To cover with a floor; to furnish with a floor; as, to floor a house with pine boards. 2. To strike down or lay level with the floor; to knock down; hence, to silence by a conclusive answer or retort; as, to floor an opponent. Floored or crushed by him. Coleridge. 3. To finish or make an end of; as, to floor a college examination. [Colloq.] I've floored my little-go work. T. Hughes.
floorage |Floor space.
floorer |Anything that floors or upsets a person, as a blow that knocks him down; a conclusive answer or retort; a task that exceeds one's abilities. [Colloq.]
floorheads |The upper extermities of the floor of a vessel.
flooring |A platform; the bottom of a room; a floor; pavement. See Floor, n. Addison. 2. Material for the construction of a floor or floors.
floorless |Having no floor.
floorwalker |One who walks about in a large retail store as an overseer and director. [U.S.]
flop |1. To clap or strike, as a bird its wings, a fish its tail, etc.; to flap. 2. To turn suddenly, as something broad and flat. [Colloq.] Fielding.\n\n1. To strike about with something broad abd flat, as a fish with its tail, or a bird with its wings; to rise and fall; as, the brim of a hat flops. 2. To fall, sink, or throw one's self, heavily, clumsily, and unexpectedly on the ground. [Colloq.] Dickens.\n\nAct of flopping. [Colloq.] W. H. Russell.
floppy |Having a tendency to flop or flap; as, a floppy hat brim. G. Eliot.
flopwing |The lapwing.
flora |1. (Rom. Myth.)  The goddess of flowers and spring. 2. (Bot.)  The complete system of vegetable species growing without cultivation in a given locality, region, or period; a list or description of, or treatise on, such plants.
floral |1. Pertaining to Flora, or to flowers; made of flowers; as, floral games, wreaths. 2. (Bot.)  Containing, or belonging to, a flower; as, a floral bud; a floral leaf; floral characters. Martyn. Floral envelope (Bot.), the calyx and corolla, one or the other of which (mostly the corolla) may be wanting.
florally |In a floral manner.
floramour |The plant love-lies-bleeding. [Obs.] Prior.
floran |Tin ore scarcely perceptible in the stone; tin ore stamped very fine. Pryce.
floreal |The eight month of the French republican calendar. It began April 20, and ended May 19. See Vendémiare.
floren |A cerain gold coin; a Florence. [Obs.] Chaucer.
florence |1. An ancient gold coin of the time of Edward III., of six shillings sterling value. Camden. 2. A kind of cloth. Johnson. Florence flask. See under Flask. -- Florence oil, olive oil prepared in Florence.
florentine |Belonging or relating to Florence, in Italy. Florentine mosaic, a mosaic of hard or semiprecious stones, often so chosen and arranged that their natural colors represent leaves, flowers, and the like, inlaid in a background, usually of black or white marble.\n\n1. A native or inhabitant of Florence, a city in Italy. 2. A kind of silk. Knight. 3. A kind of pudding or tart; a kind of meat pie. [Obs.] Stealing custards, tarts, and florentines. Beau. & Fl.
florescence |A bursting into flower; a blossoming. Martyn.
florescent |Expanding into flowers; blossoming.
floret |1. (Bot.)  A little flower; one of the numerous little flowers which compose the head or anthodium in such flowers as the daisy, thistle, and dandelion. Gray. 2. Etym: [F. fleuret.]  A foil; a blunt sword used in fencing. [Obs.] Cotgrave.
floriage |Bloom; blossom. [Obs.] J. Scott.
floriated |Having floral ornaments; as, floriated capitals of Gothic pillars.
floriation |1. Ornamentation by means of flower forms, whether closely imitated or conventionalized. 2. Any floral ornament or decoration. Rock.
floricomous |Having the head adorned with flowers. [R.]
floricultural |Pertaining to the cultivation of flowering plants.
floriculture |The cultivation of flowering plants.
floriculturist |One skilled in the cultivation of flowers; a florist.
florid |1. Covered with flowers; abounding in flowers; flowery. [R.] Fruit from a pleasant and florid tree. Jer. Taylor. 2. Bright in color; flushed with red; of a lively reddish color; as, a florid countenance. 3. Embellished with flowers of rhetoric; enriched to excess with figures; excessively ornate; as, a florid style; florid eloquence. 4. (Mus.)  Flowery; ornamental; running in rapid melodic figures, divisions, or passages, as in variations; full of fioriture or little ornamentations.
florida bean |(a) The large, roundish, flattened seed of Mucuna urens. See under Bean. (b) One of the very large seeds of the Entada scandens.
florideae |A subclass of algæ including all the red or purplish seaweeds; the Rhodospermeæ of many authors; -- so called from the rosy or florid color of most of the species.
floridity |The quality of being florid; floridness. Floyer.
floridly |In a florid manner.
floridness |The quality of being florid. Boyle.
floriferous |Producing flowers. Blount.
florification |The act, process, or time of flowering; florescence.
floriform |Having the form of a flower; flower-shaped.
floriken |An Indian bustard (Otis aurita). The Bengal floriken is Sypheotides Bengalensis. [Written also florikan, floriken, florican.]
florilege |The act of gathering flowers.
florimer |See Floramour. [Obs.]
florin |A silver coin of Florence, first struck in the twelfth century, and noted for its beauty. The name is given to different coins in different countries. The florin of England, first minted in 1849, is worth two shillings, or about 48 cents; the florin of the Netherlands, about 40 cents; of Austria, about 36 cents.
florist |1. A cultivator of, or dealer in, flowers. 2. One who writes a flora, or an account of plants.
floroon |A border worked with flowers. Wright.
florulent |Flowery; blossoming. [Obs.] Blount.
flos-ferri |A variety of aragonite, occuring in delicate white coralloidal forms; -- common in beds of iron ore.
floscular |Flosculous.
floscularian |One of a group of stalked rotifers, having ciliated tentacles around the lobed disk.
floscule |A floret.
flosculous |Consisting of many gamopetalous florets.
flosh |A hopper-shaped box or Knight.
floss |1. (Bot.)  The slender styles of the pistillate flowers of maize; also called silk. 2. Untwisted filaments of silk, used in embroidering. Floss silk, silk that has been twisted, and which retains its loose and downy character. It is much used in embroidery. Called also floxed silk. -- Floss thread, a kind of soft flaxen yarn or thread, used for embroidery; -- called also linen floss, and floss yarn. McElrath.\n\n1. A small stream of water. [Eng.] 2. Fluid glass floating on iron in the puddling furnace, produced by the vitrification of oxides and earths which are present. Floss hole. (a) A hole at the back of a puddling furnace, at which the slags pass out. (b) The tap hole of a melting furnace. Knight.
flossification |A flowering; florification. [R.] Craig.
flossy |Pertaining to, made of, or resembling, floss; hence, light; downy.
flota |A fleet; especially, a
flotage |1. The state of floating. 2. That which floats on the sea or in rivers. [Written also floatage.]
flotant |Represented as flying or streaming in the air; as, a banner flotant.
flotation |1. The act, process, or state of floating. 2. The science of floating bodies. Center of flotation. (Shipbuilding) (a) The center of any given plane of flotation. (b) More commonly, the middle of the length of the load water line. Rankine. -- Plane, or Line, of flotation, the plane or line in which the horizontal surface of a fluid cuts a body floating in it. See Bearing, n., 9 (c). -- Surface of flotation (Shipbuilding), the imaginary surface which all the planes of flotation touch when a vessel rolls or pitches; the envelope of all such planes.
flotation process |A process of separating the substances contained in pulverized ore or the like by depositing the mixture on the  surface of a flowing liquid, the substances that are quickly wet readily overcoming the surface tension of the liquid and sinking, the others flowing off in a film or slime on the surface, though, perhaps, having a greater specific gravity than those that sink.
flote |To fleet; to skim. [Obs.] Tusser.\n\nA wave. [Obs.] \"The Mediterranean flote.\" Shak.
flotery |Wavy; flowing. [Obs.] With flotery beard. Chaucer.
flotilla |A little fleet, or a fleet of small vessels.
flotsam |Goods lost by shipwreck, and floating on the sea; -- in distinction from jetsam or jetson. Blackstone.
flotson |Goods lost by shipwreck, and floating on the sea; -- in distinction from jetsam or jetson. Blackstone.
flotten |Skimmed. [Obs.]
flounce |To throw the limbs and body one way and the other; to spring, turn, or twist with sudden effort or violence; to struggle, as a horse in mire; to flounder; to throw one's self with a jerk or spasm, often as in displeasure. To flutter and flounce will do nothing but batter and bruise us. Barrow. With his broad fins and forky tail he laves The rising sirge, and flounces in the waves. Addison.\n\nThe act of floucing; a sudden, jerking motion of the body.\n\nAn ornamental appendage to the skirt of a woman's dress, consisting of a strip gathered and sewed on by its upper edge around the skirt, and left hanging.\n\nTo deck with a flounce or flounces; as, to flounce a petticoat or a frock.
flounder |1. (Zoöl.)  A flatfish of the family Pleuronectidæ, of many species. Note: The common English flounder is Pleuronectes flesus. There are several common American species used as food; as the smooth flounder (P. glabra); the rough or winter flounder (P. Americanus); the summer flounder, or plaice (Paralichthys dentatus), Atlantic coast; and the starry flounder (Pleuronectes stellatus). 2. (Bootmaking)  A tool used in crimping boot fronts.\n\nTo fling the limbs and body, as in making efforts to move; to struggle, as a horse in the mire, or as a fish on land; to roll, toss, and tumble; to flounce. They have floundered on from blunder to blunder. Sir W. Hamilton.\n\nThe act of floundering.
flour |The finely ground meal of wheat, or of any other grain; especially, the finer part of meal separated by bolting; hence, the fine and soft powder of any substance; as, flour of emery; flour of mustard. Flour bolt, in milling, a gauze-covered, revolving, cylindrical frame or reel, for sifting the flour from the refuse contained in the meal yielded by the stones. -- Flour box a tin box for scattering flour; a dredging box. -- Flour dredge or dredger, a flour box. -- Flour dresser, a mashine for sorting and distributing flour according to grades of fineness. -- Flour mill, a mill for grinding and sifting flour.\n\n1. To grind and bolt; to convert into flour; as, to flour wheat. 2. To sprinkle with flour.
floured |Finely granulated; -- said of quicksilver which has been granulated by agitation during the amalgamation process. Raymond.
