cullionly |Mean; base. Shak.
cut |1. To sparate the parts of with, or as with, a sharp instrument; to make an incision in; to gash; to sever; to divide. You must cut this flesh from off his breast. Shak. Before the whistling winds the vessels fly, With rapid swiftness cut the liquid way. Pope. 2. To sever and cause to fall for the purpose of gathering; to hew; to mow or reap. Thy servants can skill to cut timer. 2. Chron. ii. 8 3. To sever and remove by cutting; to cut off; to dock; as, to cut the hair; to cut the nails. 4. To castrate or geld; as, to cut a horse. 5. To form or shape by cutting; to make by incision, hewing, etc.; to carve; to hew out. Why should a man. whose blood is warm within, Sit like his grandsire cut in alabaster Shak. Loopholes cut through thickest shade. Milton. 6. To wound or hurt deeply the snsibilities of; to pierce; to lacerate; as, sarcasm cuts to the quick. The man was cut to the heart. Addison. 7. To intersect; to cross; as, one line cuts another at right angles. 8. To refuse to recognize; to ignorre; as, to cut a person in the street; to cut one's acquaintance. [Colloq.] 9. To absent one's self from; as, to cut an appointment, a recitation. etc. [Colloq.] An English tradesman is always solicitous to cut the shop whenever he can do so with impunity. Thomas Hamilton. To cut a caper. See under Caper. -- To cut the cards, to divide a pack of cards into portions, in order to determine the deal or the trump, or to change the cards to be dealt. -- To cut a dash or a figure, to make a display. [Colloq.] -- To cut down. (a) To sever and cause to fall; to fell; to prostrate. \"Timber . . . cut down in the mountains of Cilicia.\" Knolles. (b) To put down; to abash; to humble, [Obs] \"So great is his natural eloquence, that he cuts doun the finest orator.\" Addison (c) To lessen; to retrench; to curtail; as, to cut down expenses. (d) (Naut.) To raze; as, to cut down a frigate into a sloop. -- To cut the knot or the Gordian knot, to dispose of a difficulty summarily; to solve it by prompt, arbitrary action, rather than by skill or patience. -- To cut lots, to determine lots by cuttings cards; to draw lots. -- To cut off. (a) To sever; to separate. I would to God, . . . The king had cut off my brother's. Shak. (b) To put an untimely death; to put an end to; to destroy. \"Irencut off by martyrdom.\" Addison. (c) To interrupt; as, to cut off communication; to cut off (the flow of) steam from (the boiler to) a steam engine. (d) To intercept; as,, to cut off an enemy's retreat. (e) To end; to finish; as, to cut off further debate. -- To cut out. (a) To remove by cutting or carving; as, to cut out a piece from a board. (b) To shape or form by cutting; as, to cut out a garment. \" A large forest cut out into walks.\" Addison. (c) To scheme; to contrive; to prepare; as, to cut out work for another day. \"Every man had cut out a place for himself.\" Addison. (d) To step in and take the place of; to supplant; as, to cut out a rival. [Colloq.] (e) To debar. \"I am cut out from anything but common acknowledgments.\" Pope. (f) To seize and carry off (a vessel) from a harbor, or from under the guns of an enemy. -- To cut to pieces. (a) To cut into pieces; as, to cut cloth to pieces. (b) To slaughter; as, to cut an army to pieces. -- To cut a play (Drama), to shorten it by leaving out passages, to adapt it for the stage. -- To cut rates (Railroads, etc.), to reduce the charges for transportation below the rates established between competing lines. -- To cut short, to arrest or check abruptly; to bring to a sudden termination. \"Achilles cut him short, and thus replied.\" Dryden. -- To cut stick, to make off clandestinely or precipitately. [Slang] -- To cut teeth, to put forth teeth; to have the teeth pierce through the gum and appear. -- To have cut one's eyeteeth, to be sharp and knowing. [Colloq.] -- To cut one's wisdom teeth, to come to years of discretion. -- To cut under, to undersell; as, to cut under a competitor in trade. -- To cut up. (a) To cut to pieces; as, to cut up an animal, or bushes. (b) To damage or destroy; to injure; to wound; as, to cut up a book or its author by severe criticism. \"This doctrine cuts up all government by the roots.\" Locke. (c) To afflict; to discourage; to demoralize; as, the death of his friend cut him up terribly. [Colloq.] Thackeray.\n\n1. To do the work of an edged tool; to serve in dividing or gashing; as, a knife cuts well. 2. To admit of incision or severance; to yield to a cutting instrument. Panels of white wood that cuts like cheese. Holmes. 3. To perform the operation of dividing, severing, incising, intersecting, etc.; to use a cutting instrument. He saved the lives of thousands by manner of cutting for the stone. Pope. 4. To make a stroke with a whip. 5. To interfere, as a horse. 6. To move or make off quickly. [Colloq.] 7. To divide a pack of cards into two portion to decide the deal or trump, or to schange the order of the cards to be dealt. To cut across, to pass over or through in the most direct way; as, to cut across a field. -- To cut and run, to make off suddenly and quickly; -- from the cutting of a ship's cable, when there is not time to raise the anchor. [Colloq.] -- To cut in or into, to interrupt; to jont an anything suddenly. -- To cut up. (a) To play pranks. [Colloq.] (b) To divide into portions well or ill; to have the property left at one's death turn out well or poorly when divided among heirs, legatees, etc. [Slang.] \"When I die, may I cut up as well as Morgan Pendennis.\" Thackeray.\n\n1. An opening made with an edged instrument; a cleft; a gash; a slash; a wound made by cutting; as, a sword cut. 2. A stroke or blow or cutting motion with an edged instrument; a stroke or blow with a whip. 3. That which wounds the feelings, as a harsh remark or criticism, or a sarcasm; personal discourtesy, as neglecting to recognize an acquaintance when meeting him; a slight. Rip called him by name, but the cur snarled, snapped his teeth, and passed on. This was an unkind cut indeed. W. Irving. 4. A notch, passage, or channel made by cutting or digging; a furrow; a groove; as, a cut for a railroad. This great cut or ditch Secostris . . . purposed to have made a great deal wider and deeper. Knolles. 5. The surface left by a cut; as, a smooth or clear cut. 6. A portion severed or cut off; a division; as, a cut of beef; a cut of timber. It should be understood, moreover, . . . that the group are not arbitrary cuts, but natural groups or types. Dana. 7. An engraved block or plate; the impression from such an engraving; as, a book illustrated with fine cuts. 8. (a) The act of dividing a pack cards. (b) The right to divide; as, whose cut is it 9. Manner in which a thing is cut or formed; shape; style; fashion; as, the cut of a garment. With eyes severe and beard of formal cut. Shak. 10. A common work horse; a gelding. [Obs.] He'll buy me a cut, forth for to ride. Beau. & Fl. 11. The failure of a college officer or student to be present at any appointed exercise. [College Cant] 12. A skein of yarn. Wright. A cut in rates (Railroad), a reduction in fare, freight charges, etc., below the established rates. -- A short cut, a cross route which shortens the way and cuts off a circuitous passage. -- The cut of one's jib, the general appearance of a person. [Colloq.] -- To draw cuts, to draw lots, as of paper, etc., cut unequal lengths. Now draweth cut . . . The which that hath the shortest shall begin. Chaucer.\n\n1. Gashed or divided, as by a cutting instrument. 2. Formed or shaped as by cuttting; carved. 3. Overcome by liquor; tipsy. [Slang] Cut and dried, prepered beforehand; not spontaneous. -- Cut glass, glass having a surface ground and polished in facets or figures. -- Cut nail, a nail cut by machinery from a rolled plate of iron, in distinction from a wrought nail. -- Cut stone, stone hewn or chiseled to shape after having been split from the quarry.
cut-off |1. That which cuts off or shortens, as a nearer passage or road. 2. (Mach.) (a) The valve gearing or mechanism by which steam is cut off from entering the cylinder of a steam engine after a definite point in a stroke, so as to allow the remainder of the stroke to be made by the expansive force of the steam already let in. See Expansion gear, under Expansion. (b) Any device for stopping or changing a current, as of grain or water in a spout.
cut-out |(a) (Telegraphy) A species of switch for changing the current from one circuit to another, or for shortening a circuit. (b) (Elec.) A divice for breaking or separating a portion of circuit.
cutaneous |Of pertaining to the skin; existing on, or affecting, the skin; as, a cutaneous disease; cutaneous absorption; cutaneous respiration.
cutaway |Having a part cut off or away; having the corners rounded or cut away. Cutaway coat, a coat whose skirts are cut away in front so as not to meet at the bottom.
cutch |See Catechu.\n\nSee Cultch.
cutchery |A hindoo hall of justice. Malcom.
cute |Clever; sharp; shrewd; ingenious; cunning. [Colloq.]
cuteness |Acuteness; cunning. [Colloq.]
cutgrass |A grass with leaves having edges furnished with very minute hooked prickles, which form a cutting edge; one or more species of Leersia.
cuticle |1. (Anat.)  The scarfskin or epidermis. See Skin. 2. (Bot.)  The outermost skin or pellicle of a plant, found especially in leaves and young stems. 3. A thin skin formed on the surface of a liquid.
cuticular |Pertaining to the cuticle, or external coat of the skin; epidermal.
cutin |The substance which, added to the material of a cell wall, makes it waterproof, as in cork.
cutinization |The conversion of cell walls into a material which repels water, as in cork.
cutinize |To change into cutin.
cutis |See Dermis.
cutlass |A short, heavy, curving sword, used in the navy. See Curtal ax. Cutlass fish, (Zoöl.), a peculiar, long, thin, marine fish (Trichirus lepturus) of the southern United States and West Indies; -- called also saber fish, silver eel, and, improperly, swordfish.
cutler |One who makes or deals in cutlery, or knives and other cutting instruments.
cutlery |1. The business of a cutler. 2. Edged or cutting instruments, collectively.
cutlet |A piece of meat, especially of veal or mutton, cut for broiling.
cutling |The art of making edged tools or cutlery. [Obs.] Milton.
cutose |A variety of cellulose, occuring as a fine transparent membrane covering the aerial organs of plants, and forming an essential ingredient of cork; by oxidation it passes to suberic acid.
cutpurse |One who cuts purses for the sake of stealing them or their contents (an act common when men wore purses fastened by a string to their girdles); one who steals from the person; a pickpocket To have an open ear, a quick eye, and a nimble hand, is necessary for a cutpurse. Shak.
cutter |1. One who cuts; as, a stone cutter; a die cutter; esp., one who cuts out garments. 2. That which cuts; a machine or part of a machine, or a tool or instrument used for cutting, as that part of a mower which severs the stalk, or as a paper cutter. 3. A fore tooth; an incisor. Ray. 4. (Naut.) (a) A boat used by ships of war. (b) A fast sailing vessel with one mast, rigged in most essentials like a sloop. A cutter is narrower end deeper than a sloop of the same length, and depends for stability on a deep keel, often heavily weighted with lead. (c) A small armed vessel, usually a steamer, in the revenue marine service; -- also called revenue cutter. 5. A small, light one-horse sleigh. 6. An officer in the exchequer who notes by cutting on the tallies the sums paid. 7. A ruffian; a bravo; a destroyer. [Obs.] 8. A kind of soft yellow brick, used for facework; -- so called from the facility with which it can be cut. Cutter bar.(Mach.) (a) A bar which carries a cutter or cutting tool, as in a boring machine. (b) The bar to which the triangular knives of a harvester are attached. -- Cutter head (Mach.), a rotating head, which itself forms a cutter, or a rotating stock to which cutters may be attached, as in a planing or matching machine. Knight.
cutthroat |One who cuts throats; a murderer; an assassin.\n\nMurderous; cruel; barbarous.
cutting |1. The act or process of making an incision, or of severing, felling, shaping, etc. 2. Something cut, cut off, or cut out, as a twig or\n\n1. Adapted to cut; as, a cutting tool. 2. Chilling; penetratinn; sharp; as, a cutting wind. 3. Severe; sarcastic; biting; as, a cutting reply.
cuttingly |In a cutting manner.
cuttle |A knife. [Obs.] Bale.\n\n1. (Zoöl.)  A cephalopod of the genus Sepia, having an internal shell, large eyes, and ten arms furnished with denticulated suckers, by means of which it secures its prey. The name is sometimes applied to dibranchiate cephalopods generally. Note: It has an ink bag, opening into the siphon, from which, when pursued, it throws out a dark liquid that clouds the water, enabling it to escape observation. 2. A foul-mouthed fellow. \"An you play the saucy cuttle me.\" Shak.
cuttle bone |The shell or bone of cuttlefishes, used for various purposes, as for making polishing powder, etc.
cuttlefish |1. (Zoöl.)  A cephalopod of the genus Sepia, having an internal shell, large eyes, and ten arms furnished with denticulated suckers, by means of which it secures its prey. The name is sometimes applied to dibranchiate cephalopods generally. Note: It has an ink bag, opening into the siphon, from which, when pursued, it throws out a dark liquid that clouds the water, enabling it to escape observation. 2. A foul-mouthed fellow. \"An you play the saucy cuttle me.\" Shak.
cuttoo plate |A hood over the end of a wagon wheel hub to keep dirt away from the axle.
cutty |Short; as, a cutty knife; a cutty sark. [Scot.]\n\n1. A short spoon. 2. A short tobacco pipe. Ramsay. 3. A light or unchaste woman. Sir W. Scott.
cuttystool |1. A low stool [Scot.] 2. A seat in old Scottish churches, where offenders were made to sit, for public rebuke by the minister.
cutwal |The chief police officer of a large city. [East Indies]
cutwater |1. The fore part of a ship's prow, which cuts the water. 2. A starling or other structure attached to the pier of a birdge, with an angle or edge directed up stream, in order better to resist the action of water, ice, etc.; the sharpened upper end of the pier itself. 3. (Zoöl.)  A sea bird of the Atlantic (Rhynchops nigra); -- called also black skimmer, scissorsbill, and razorbill. See Skimmer.
cutwork |An ancient term for embroidery, esp. applied to the earliest form of lace, or to that early embroidery on linen and the like, from which the manufacture of lace was developed.
cutworm |A caterpillar which at night eats off young plants of cabbage, corn, etc., usually at the ground. Some kinds ascend fruit trees and eat off the flower buds. During the day, they conceal themselves in the earth. The common cutworms are the larvæ of various species of Agrotis and related genera of noctuid moths.
cuvette |1. A pot, bucket, or basin, in which molten plate glass is carried from the melting pot to the casting table. 2. (Fort.)  A cunette. 3. (Spectrometry) (Analytical chemistry)  A small vessel with at least two flat and transparent sides, used to hold a liquid sample to be analysed in the light path of a spectrometer. Note: The shape and materials vary; for ultraviolet spectrometry, quartz is typically used. For visible-light spectrometry, plastic cuvettes may be employed. Occasionally, small vessels used for other laboratory purposes are called cuvettes. cuvette holder, (Spectrometry) A small device used to hold one or more cuvettes[3], shaped specifically to fit in the sample chamber of a particular type of spectrometer, with openings to permit light to pass through the holder and the cuvettes, and designed so as to hold the cuvette accurately and reproducibly within the light path of the spectrometer. For cuvettes with a square horizontal cross-section, the compartments will have a corresponding square cross-section, usu. slightly larger than the cuvette.
cyamelide |A white amorphous substance, regarded as a polymeric modification of isocyanic acid.
cyamellone |A complex derivative of cyanogen, regarded as an acid, and known chiefly in its salts; -- called also hydromellonic acid.
cyanate |A salt of cyanic acid. Ammonium cyanate (Chem.), a remarkable white crystalline substance, NH4.O.CN, which passes, on standing, to the organic compound, urea, CO.(NH)2.
cyanaurate |See Aurocyanide.
cyanean |Having an azure color. Pennant.
cyanic |1. Pertaining to, or containing, cyanogen. 2. Of or pertaining to a blue color. Cyanic acid (Chem.), an acid, HOCN, derived from cyanogen, well known in its salts, but never isolated in the free state. -- Cyanic colors (Bot.), those colors (of flowers) having some tinge of blue; -- opposed to xanthic colors. A color of either series may pass into red or white, but not into the opposing color. Red and pure white are more common among flowers of cyanic tendency than in those of the other class.
cyanide |A compound formed by the union of cyanogen with an element or radical.
cyanin |The blue coloring matter of flowers; -- called also anthokyan and anthocyanin.
cyanine |One of a series of artificial blue or red dyes obtained from quinoline and lepidine and used in calico printing.
cyanite |A mineral occuring in thin-bladed crystals and crystalline aggregates, of a sky-blue color. It is a silicate of aluminium. [Written also kyanite.]
cyanogen |A colorless, inflammable, poisonous gas, C2N2, with a peach- blossom odor, so called from its tendency to form blue compounds; obtained by heating ammonium oxalate, mercuric cyanide, etc. It is obtained in combination, forming an alkaline cyanide when nitrogen or a nitrogenous compound is strongly ignited with carbon and soda or potash. It conducts itself like a member of the halogen group of elements, and shows a tendency to form complex compounds. The name is also applied to the univalent radical, CN (the half molecule of cyanogen proper), which was one of the first compound radicals recognized. Note: Cyanogen is found in the commercial substances, potassium cyanide, or prussiate of potash, yellow prussiate of potash, Prussian blue, Turnbull's blue, prussic acid, etc.
cyanometer |An instrument for measuring degress of blueness.
cyanopathy |A disease in which the body is colored blue in its surface, arising usually from a malformation of the heart, which causes an imperfect arterialization of the blood; blue jaundice.
cyanophyll |A blue coloring matter supposed by some to be one of the component parts ofchlorophyll.
cyanosed |Rendered blue, as the surface of the body, from cyanosis or deficient a
cyanosis |A condition in which, from insufficient aCyanopathy.
cyanosite |Native sulphate of copper. Cf. Blue vitriol, under Blue.
cyanotic |Relating to cyanosis; affected with cyanosis; as, a cyanotic patient; having the hue caused by cyanosis; as, a cyanitic skin.
cyanotype |A photographic picture obtained by the use of a cyanide.
cyanurate |A salt of cyanuric acid.
cyanuret |A cyanide. [Obs.]
cyanuric |Pertaining to, or derived from, cyanic and uric acids.
cyanuric acid |an organic acid, C3O3N3H3, first obtained by heating uric acid or urea, and called pyrouric acid; afterwards obtained from isocyanic acid. It is a white crystalline substance, odorless and almost tasteless; -- called also tricarbimide.
cyathiform |In the form of a cup, a little widened at the top.
cyatholith |A kind of coccolith, which in shape resembles a minute cup widened at the top, and varies in size from
cyathophylloid |Like, or pertaining to, the family Cyathophyllidæ.\n\nA fossil coral of the family Cyathophyllidæ; sometimes extended to fossil corals of other related families belonging to the group Rugosa; -- also called cup corals. Thay are found in paleozoic rocks.
cycad |Any plant of the natural order Cycadeceæ, as the sago palm, etc.
cycadaceous |Pertaining to, or resembling, an order of plants like the palms, but having exogenous wood. The sago palm is an example.
cycas |A genus of trees, intermediate in character between the palms and the pines. The pith of the trunk of some species furnishes a valuable kind of sago.
cyclamen |A genus of plants of the Primrose family, having depressed rounded corms, and pretty nodding flowers with the petals so reflexed as to point upwards, whence it is called rabbit's ears. It is also called sow bread, because hogs are said to eat the corms.
cyclamin |A white amorphous substance, regarded as a glucoside, extracted from the corm of Cyclamen Europæum.
cyclas |A long gown or surcoat (cut off in front), worn in the Middle Ages. It was sometimes embroidered or interwoven with gold. Also, a rich stuff from which the gown was made.
cycle |1. An imaginary circle or orbit in the heavens; one of the celestial spheres. Milton. 2. An interval of time in which a certain succession of events or phenomena is completed, and then returns again and again, uniformly and continually in the same order; a periodical space of time marked by the recurrence of something peculiar; as, the cucle of the seasons, or of the year. Wages . . . bear a full proportion . . . to the medium of provision during the last bad cycle of twenty years. Burke. 3. An age; a long period of time. Better fifty years of Europe than a cycle of Cathay. Tennyson. 4. An orderly list for a given time; a calendar. [Obs.] We . . . present our gardeners with a complete cycle of what is requisite to be done throughout every month of the year. Evelyn. 5. The circle of subjects connected with the exploits of the hero or heroes of some particular period which have severed as a popular theme for poetry, as the legend aof Arthur and the knights of the Round Table, and that of Charlemagne and his paladins. 6. (Bot.)  One entire round in a circle or a spire; as, a cycle or set of leaves. Gray. 7. A bicycle or tricycle, or other light velocipede. Calippic cycle, a period of 76 years, or four Metonic cycles; -- so called from Calippus, who proposed it as an improvement on the Metonic cycle. -- Cycle of eclipses, a priod of about 6,586 days, the time of revolution of the moon's node; -- called Saros by the Chaldeans. -- Cycle of indiction, a period of 15 years, employed in Roman and ecclesiastical chronology, not founded on any astronomical period, but having reference to certain judicial acts which took place at stated epochs under the Greek emperors. -- Cycle of the moon, or Metonic cycle, a period of 19 years, after the lapse of which the new and full moon returns to the same day of the year; -- so called from Meton, who first proposed it. -- Cycle of the sun, Solar cycle, a period of 28 years, at the end of which time the days of the month return to the same days of the week. The dominical or Sunday letter follows the same order; hence the solar cycle is also called the cycle of the Sunday letter. In the Gregorian calendar the solar cycle is in general interrupted at the end of the century.\n\n1. To pass through a cycle of changes; to recur in cycles. Tennyson. Darwin. 2. To ride a bicycle, tricycle, or other form of cycle.
cyclic |Of or pertaining to a cycle or circle; moving in cycles; as, cyclical time. Coleridge. Cyclic chorus, the chorus which performed the songs and dances of the dithyrambic odes at Athens, dancing round the altar of Bacchus in a circle. -- Cyclic poets, certain epic poets who followed Homer, and wrote merely on the Trojan war and its heroes; -- so called because keeping within the circle of a singe subject. Also, any series or coterie of poets writing on one subject. Milman.
cyclical |Of or pertaining to a cycle or circle; moving in cycles; as, cyclical time. Coleridge. Cyclic chorus, the chorus which performed the songs and dances of the dithyrambic odes at Athens, dancing round the altar of Bacchus in a circle. -- Cyclic poets, certain epic poets who followed Homer, and wrote merely on the Trojan war and its heroes; -- so called because keeping within the circle of a singe subject. Also, any series or coterie of poets writing on one subject. Milman.
cyclide |A surface of the fourth degree, having certain special relations to spherical surfaces. The tore or anchor ring is one of the cyclides.
cycling |The act, art, or practice, of riding a cycle, esp. a bicycle or tricycle.
cyclist |A cycler.
cyclo- |A combining form meaning circular, of a circle or wheel.
cyclobranchiate |Having the gills around the margin of the body, as certain limpets.
cycloganoid |Of or pertaining to the Cycloganoidei.\n\nOne of the Cycloganoidei.
cycloganoidei |An order of ganoid fishes, having cycloid scales. The bowfin (Amia calva) is a living example.
cyclograph |See Arcograph.
cycloid |A curve generated by a point in the plane of a circle when the circle is rolled along a straight line, keeping always in the same plane. Note: The common cycloid is the curve described when the generating point (p) is on the circumference of the generating circle; the curtate cycloid, when that point lies without the circumference; the prolate or inflected cycloid, when the generating point (p) lies within that circumference.\n\nOf or pertaining to the Cycloidei. Cycloid scale (Zoöl.), a fish scale which is thin and shows concentric lines of growth, without serrations on the margin.\n\nOne of the Cycloidei.
cycloidal |Pertaining to, or resembling, a cycloid; as, the cycloidal space is the space contained between a cycloid and its base. Cycloidal engine. See Geometric lathe.
cycloidei |An order of fishes, formerly proposed by Agassiz, for those with thin, smooth scales, destitute of marginal spines, as the herring and salmon. The group is now regarded as artificial.
cycloidian |Same as 2d and 3d Cycloid.
cyclometer |A contrivance for recording the revolutions of a wheel, as of a bicycle.
cyclometry |The art of measuring circles.
cyclone |A violent storm, often of vast extent, characterized by high winds rotating about a calm center of low atmospheric pressure. This center moves onward, often with a velocity of twenty or thirty miles an hour. Note: The atmospheric disturbance usually accompanying a cyclone, marked by an onward moving area of high pressure, is called an anticyclone.
cyclone cellar |A cellar or excavation used for refuge from a cyclone, or tornado. [Middle U. S.]
cyclone pit |A cellar or excavation used for refuge from a cyclone, or tornado. [Middle U. S.]
cyclonic |Pertaining to a cyclone.
cyclonoscope |An apparatus to assist in locating the center of a cyclone.
cyclop |See Note under Cyclops, 1.
cyclopaedia |The circle or compass of the arts and sciences (originally, of the seven so-called liberal arts and sciences); circle of human knowledge. Hence, a work containing, in alphabetical order, information in all departments of knowledge, or on a particular department or branch; as, a cyclopedia of the physical sciences, or of mechanics. See Encyclopedia.
cyclopean |Pertaining to the Cyclops; characteristic of the Cyclops; huge; gigantic; vast and rough; massive; as, Cyclopean labors; Cyclopean architecture.
cyclopedia |The circle or compass of the arts and sciences (originally, of the seven so-called liberal arts and sciences); circle of human knowledge. Hence, a work containing, in alphabetical order, information in all departments of knowledge, or on a particular department or branch; as, a cyclopedia of the physical sciences, or of mechanics. See Encyclopedia.
cyclopedic |Belonging to the circle of the sciences, or to a cyclopedia; of the nature of a cyclopedia; hence, of great range, extent, or amount; as, a man of cyclopedic knowledge.
cyclopedist |A maker of, or writer for, a cyclopedia.
cyclopic |Pertaining to the Cyclops; Cyclopean.
cyclops |1. (Gr. Myth.)  One of a race of giants, sons of Neptune and Amphitrite, having but one eye, and that in the middle of the forehead. They were fabled to inhabit Sicily, and to assist in the workshops of Vulcan, under Mt. Etna. Note: Pope, in his translation of the \"Odyssey,\" uniformly spells this word Cyclop, when used in the singular. 2. (Zoöl.)  A genus of minute Entomostraca, found both in fresh and salt water. See Copepoda. 3. A portable forge, used by tinkers, etc.
cyclorama |A pictorial view which is extended circularly, so that the spectator is surrounded by the objects represented as by things in nature. The realistic effect is increased by putting, in the space between the spectator and the picture, things adapted to the scene represented, and in some places only parts of these objects, the completion of them being carried out pictorially.
cycloscope |A machine for measuring at any moment velocity of rotation, as of a wheel of a steam engine. Knight.
cyclosis |The circulation or movement of protoplasmic granules within a living vegetable cell.
cyclostome |A division of Bryozoa, in which the cells have circular apertures.\n\nPertaining to the Cyclostomi.
cyclostomi |A glass of fishes having a suckerlike mouth, without jaws, as the lamprey; the Marsipobranchii.
cyclostomous |Pertaining to the Cyclostomi.
cyclostylar |Relating to a structure composed of a circular range of columns, without a core or building within. Weale.
cyclostyle |A contrivance for producing manifold copies of writing or drawing. The writing or drawing is done with a style carrying a small wheel at the end which makes minute punctures in the paper, thus converting it into a stencil. Copies are transferred with an inked roller.
cyder |See Cider. [Archaic]
cydonin |A peculiar mucilaginous substance extracted from the seeds of the quince (Cydonia vulgaris), and regarded as a variety of amylose.
cygnet |A young swan. Shak.
cygnus |A constellation of the northern hemisphere east of, or following, Lyra; the Swan.
cylinder |1. (Geom.) (a) A solid body which may be generated by the rotation of a parallelogram round one its sides; or a body of rollerlike form, of which the longitudinal section is oblong, and the cross section is circular. (b) The space inclosed by any cylindrical surface. The space may be limited or unlimited in length. 2. Any hollow body of cylindrical form, as: (a) The chamber of a steam engine in which the piston is moved by the force of steam. (b) The barrel of an air or other pump. (c) (Print.) The revolving platen or bed which produces the impression or carries the type in a cylinder press. (d) The bore of a gun; the turning chambered breech of a revolver. 3. The revolving square prism carryng the cards in a Jacquard loom. Cylinder axis. (Anat.) SeeAxis cylinder, under Axis. -- Cylinder engine (Paper Making), a machine in which a cylinder takes up the pulp and delivers it in a continuous sheet to the dryers. -- Cylinder escapement. See Escapement. -- Cylinder glass. See Glass. -- Cylinder mill. See Roller mill. -- Cylinder press. See Press.
cylindraceous |Cylindrical, or approaching a cylindrical form.
cylindric |Having the form of a cylinder, or of a section of its convex surface; partaking of the properties of the cylinder. Cylindrical lens, a lens having one, or more than one, cylindrical surface. -- Cylindric, or Cylindrical, surface (Geom.), a surface described by a straight line that moves according to any law, but so as to be constantly parallel to a given line. -- Cylindrical vault. (Arch.) See under Vault, n.
cylindrical |Having the form of a cylinder, or of a section of its convex surface; partaking of the properties of the cylinder. Cylindrical lens, a lens having one, or more than one, cylindrical surface. -- Cylindric, or Cylindrical, surface (Geom.), a surface described by a straight line that moves according to any law, but so as to be constantly parallel to a given line. -- Cylindrical vault. (Arch.) See under Vault, n.
cylindrically |In the manner or shape of a cylinder; so as to be cylindrical.
cylindricity |The quality or condition of being cylindrical.
cylindriform |Having the form of a cylinder.
cylindroid |1. A solid body resembling a right cylinder, but having the bases or ends elliptical. 2. (Geom.)  A certain surface of the third degree, described by a moving straight line; -- used to illustrate the motions of a rigid body and also the forces acting on the body.
cylindrometric |Belonging to a scale used in measuring cylinders.
cyma |1. (Arch.)  A member or molding of the cornice, the profile of which is wavelike in form. 2. (Bot.)  A cyme. See Cyme. Cyma recta, or Cyma, a cyma, hollow in its upper part and swelling below. -- Cyma reversa, or Ogee, a cyma swelling out on the upper part and hollow below.
cymar |A sight covering; a scarf. See Simar. Her body shaded with a light cymar. Dryden.
cymatium |A capping or crowning molding in classic architecture.
cymbal |1. A musical instrument used by the ancients. It is supposed to have been similar to the modern kettle drum, though perhaps smaller. 2. A musical instrument of brass, shaped like a circular dish or a flat plate, with a handle at the back; -- used in pairs to produce a sharp ringing sound by clashing them together. Note: In orchestras, one cymbal is commonly attached to the bass drum, and the other heid in the drummer's left hand, while his right hand uses the drumstick. 3. A musical instrument used by gypsies and others, made of steel wire, in a triangular form, on which are movable rings.
cymbalist |A performer upon cymbals.
cymbiform |Shaped like a boat; (Bot.) elongated and having the upper surface decidedly concave, as the glumes of many grasses.
cymbium |A genus of marine univalve shells; the gondola.
cymbling |A scalloped or \"pattypan\" variety of summer squash.
cyme |A flattish or convex flower cluster, of the centrifugal or determinate type, differing from a corymb chiefly in the order of the opening of the blossoms.
cymene |A colorless, liquid, combustible hydrocarbon, CH3.C6H4.C3H7, of pleasant odor, obtained from oil of cumin, oil of caraway, carvacrol, camphor, etc.; -- called also paracymene, and formerly camphogen.
cymenol |See Carvacrol.
cymidine |A liquid organic base, C10H13.NH2, derived from cymene.
cymiferous |Producing cymes.
cymling |A scalloped or \"pattypan\" variety of summer squash.
cymogene |A highly volatile liquid, condensed by cold and pressure from the first products of the distillation of petroleum; -- used for producing low temperatures.
cymograph |(a) An instrument for making tracings of the outline or contour of profiles, moldings, etc. (b) Var. of Kymograph. --Cy`mo*graph\"ic (#), a.\n\nTo trace or copy with a cymograph.
cymoid |Having the form of a cyme.
cymometer |An instrument for exhibiting and measuring wave motion; specif. (Elec.),  an instrument for determining the frequency of electic wave oscillations, esp. in connection with wireless telegraphy.
cymophane |See Chrysoberyl.
cymophanous |Having a wavy, floating light; opalescent; chatoyant.
cymoscope |Any device for detecting the presence of electric waves. The influence of electric waves on the resistance of a particular kind of electric circuit, on the magnetization of steel, on the polarization of an electrolytic cell, or on the electric condition of a vacuum has been applied in the various cymoscopes.
cymose |Having the nature of a cyme, or derived from a cyme; bearing, or pertaining to, a cyme or cymes.
cymous |Having the nature of a cyme, or derived from a cyme; bearing, or pertaining to, a cyme or cymes.
cymric |Welsh. -- n.  The Welsh language. [Written also Kymric.]
cymry |A collective term for the Welsh race; -- so called by themselves . [Written also Cymri, Cwmry, Kymry, etc.]
cymule |A small cyme, or one of very few flowers.
cynanche |Any disease of the tonsils, throat, or windpipe, attended with inflammation, swelling, and difficulty of breathing and swallowing.
cynanthropy |A kind of madness in which men fancy themselves changed into dogs, and imitate the voice and habits of that animal.
cynarctomachy |Bear baiting with a dog. Hudibras.
cynarrhodium |A fruit like that of the rose, consisting of a cup formed of the calyx tube and receptacle, and containing achenes.
cynegetics |The art of hunting with dogs.
