animastic |Pertaining to mind or spirit; spiritual.\n\nPsychology. [Obs.]
antichrist |A denier or opponent of Christ. Specif.: A great antagonist, person or power, expected to precede Christ's second coming.
antichristian |Opposed to the Christian religion.
antichristianism |Opposition or contrariety to the Christian religion.
antichristianity |Opposition or contrariety to the Christian religion.
antichristianly |In an antichristian manner.
antichronical |Deviating from the proper order of time. -- An`ti*chron\"ic*al*ly, adv.
antichronism |Deviation from the true order of time; anachronism. [R.] Selden.
antichthon |1. A hypothetical earth counter to ours, or on the opposite side of the sun. Grote. 2. pl.  Inhabitants of opposite hemispheres. Whewell.
anticipant |Anticipating; expectant; -- with of. Wakening guilt, anticipant of hell. Southey.
anticipate |1. To be before in doing; to do or take before another; to preclude or prevent by prior action. To anticipate and prevent the duke's purpose. R. Hall. He would probably have died by the hand of the executioner, if indeed the executioner had not been anticipated by the populace. Macaulay. 2. To take up or introduce beforehand, or before the proper or normal time; to cause to occur earlier or prematurely; as, the advocate has anticipated a part of his argument. 3. To foresee (a wish, command, etc.) and do beforehand that which will be desired. 4. To foretaste or foresee; to have a previous view or impression of; as, to anticipate the pleasures of a visit; to anticipate the evils of life. Syn. -- To prevent; obviate; preclude; forestall; expect. -- To Anticipate, Expect. These words, as here compared, agree in regarding some future event as about to take place. Expect is the stringer. It supposes some ground or reason in the mind for considering the event as likely to happen. Anticipate is, literally, to take beforehand, and here denotes simply to take into the mind as conception of the future. Hence, to say, \"I did not anticipate a refusal,\" expresses something less definite and strong than to say, \" did not expect it.\" Still, anticipate is a convenient word to be interchanged with expect in cases where the thought will allow. Good with bad Expect to hear; supernal grace contending With sinfulness of men. Milton. I would not anticipate the relish of any happiness, nor feel the weight of any misery, before it actually arrives. Spectator. Timid men were anticipating another civil war. Macaulay.
anticipation |1. The act of anticipating, taking up, placing, or considering something beforehand, or before the proper time in natural order. So shall my anticipation prevent your discovery. Shak. 2. Previous view or impression of what is to happen; instinctive prevision; foretaste; antepast; as, the anticipation of the joys of heaven. The happy anticipation of renewed existence in company with the spirits of the just. Thodey. 3. Hasty notion; intuitive preconception. Many men give themselves up to the first anticipations of their minds. Locke. 4. (Mus.)  The commencing of one or more tones of a chord with or during the chord preceding, forming a momentary discord. Syn. -- Preoccupation; preclusion; foretaste; prelibation; antepast; pregustation; preconception; expectation; foresight; forethought.
anticipative |Anticipating, or containing anticipation. \"Anticipative of the feast to come.\" Cary. -- An*tic\"i*pa*tive*ly, adv.
anticipator |One who anticipates.
anticipatory |Forecasting; of the nature of anticipation. Owen. Here is an anticipatory glance of what was to be. J. C. Shairp.
anticivic |Opposed to citizenship.
anticivism |Opposition to the body politic of citizens. [Obs.] Carlyle.
anticlastic |Having to opposite curvatures, that is, curved longitudinally in one direction and transversely in the opposite direction, as the surface of a saddle.
anticlimax |A sentence in which the ideas fall, or become less important and striking, at the close; -- the opposite of climax. It produces a ridiculous effect. Example: Next comes Dalhousie, the great god of war, Lieutenant-colonel to the Earl ANTICLINAL An`ti*cli\"nal, a. Etym: [Pref. anti- + Gr.  Inclining or dipping in opposite directions. See Synclinal. Anticlinal line, Anticlinal axis (Geol.), a line from which strata dip in opposite directions, as from the ridge of a roof. -- Anticlinal vertebra (Anat.), one of the dorsal vertebræ, which in many animals has an upright spine toward which the spines of the neighboring vertebræ are inclined.
anticlinal |The crest or line in which strata slope or dip in opposite directions.
anticline |A structure of bedded rocks in which the beds on both sides of an axis or axial plane dip away from the axis; an anticlinal.
anticlinorium |The upward elevation of the crust of the earth, resulting from a geanticlinal.
anticly |Oddly; grotesquely.
anticness |The quality of being antic. Ford.
anticoherer |A device, one form of which consists of a scratched deposit of silver on glass, used in connection with the receiving apparatus for reading wireless signals. The electric waves falling on this contrivance increase its resistance several times. The anticoherer can be used in conjunction with a telephone.
anticonstitutional |Opposed to the constitution; unconstitutional.
anticontagious |Opposing or destroying contagion.
anticonvulsive |Good against convulsions. J. Floyer.
anticor |A dangerous inflammatory swelling of a horse's breast, just opposite the heart.
anticous |Facing toward the axis of the flower, as in the introrse anthers of the water lily.
anticyclone |A movement of the atmosphere opposite in character, as regards direction of the wind and distribution of barometric pressure, to that of a cyclone. -- An`ti*cy*clon\"ic, a. -- An`ti*cy*clon\"ic*al*ly, adv.
antidiphtheritic |Destructive to, or hindering the growth of, diphtheria bacilli. -- n.  An antidiphtheritic agent.
