mercership |The business of a mercer.
meteorometer |An apparatus which transmits automatically to a central station atmospheric changes as marked by the anemometer, barometer, thermometer, etc.
meteoroscope |(a) An astrolabe; a planisphere. [Obs.] (b) An instrument for measuring the position, length, and direction, of the apparent path of a shooting star.
meteorous |Of the nature or appearance of a meteor.
meter |1. One who, or that which, metes or measures. See Coal-meter. 2. An instrument for measuring, and usually for recording automatically, the quantity measured. Dry meter, a gas meter having measuring chambers, with flexible walls, which expand and contract like bellows and measure the gas by filling and emptying. -- W, a gas meter in which the revolution of a chambered drum in water measures the gas passing through it.\n\nA line above or below a hanging net, to which the net is attached in order to strengthen it.\n\n1. Rhythmical arrangement of syllables or words into verses, stanzas, strophes, etc.; poetical measure, depending on number, quantity, and accent of syllables; rhythm; measure; verse; also, any specific rhythmical arrangements; as, the Horatian meters; a dactylic meter. The only strict antithesis to prose is meter. Wordsworth. 2. A poem. [Obs.] Robynson (More's Utopia). 3. A measure of length, equal to 39.37 English inches, the standard of linear measure in the metric system of weights and measures. It was intended to be, and is very nearly, the ten millionth part of the distance from the equator to the north pole, as ascertained by actual measurement of an arc of a meridian. See Metric system, under Metric. Common meter (Hymnol.), four iambic verses, or lines, making a stanza, the first and third having each four feet, and the second and fourth each three feet; -- usually indicated by the initials C.M. -- Long meter (Hymnol.), iambic verses or lines of four feet each, four verses usually making a stanza; -- commonly indicated by the initials L.M. -- Short meter (Hymnol.), iambic verses or lines, the first, second, and fourth having each three feet, and the third four feet. The stanza usually consists of four lines, but is sometimes doubled. Short meter is indicated by the initials S.M.
meterage |The act of measuring, or the cost of measuring.
metergram |A measure of energy or work done; the power exerted in raising one gram through the distance of one meter against gravitation.
metewand |A measuring rod. Ascham.
meteyard |A yard, staff, or rod, used as a measure. [Obs.] Shak.
meth |See Meathe. [Obs.] Chaucer.
methaemoglobin |A stable crystalline compound obtained by the decomposition of hemoglobin. It is found in old blood stains.
methal |A white waxy substance, found in small quantities in spermaceti as an ethereal salt of several fatty acids, and regarded as an alcohol of the methane series.
methane |A light, colorless, gaseous, inflammable hydrocarbon, CH4; marsh gas. See Marsh gas, under Gas. Methane series (Chem.), a series of saturated hydrocarbons, of which methane is the first member and type, and (because of their general chemical inertness and indifference) called also the paraffin (little affinity) series. The lightest members are gases, as methane, ethane; intermediate members are liquids, as hexane, heptane, etc. (found in benzine, kerosene, etc.); while the highest members are white, waxy, or fatty solids, as paraffin proper.
methanometer |An instrument, resembling a eudiometer, to detect the presence and amount of methane, as in coal mines.
metheglin |A fermented beverage made of honey and water; mead. Gay.
methene |See Methylene.
methenyl |The hypothetical hydrocarbon radical CH, regarded as an essential residue of certain organic compounds.
methide |A binary compound of methyl with some element; as, aluminium methide, Al2(CH3)6.
methinks |It seems to me; I think. See Me. [R., except in poetry.] In all ages poets have been had in special reputation, and, methinks, not without great cause. Spenser.
methionate |A salt of methionic acid.
methionic |Of, pertaining to, or designating, a sulphonic (thionic) acid derivative of methane, obtained as a stable white crystalline substance, CH2.(SO3H)2, which forms well defined salts.
method |1. An orderly procedure or process; regular manner of doing anything; hence, manner; way; mode; as, a method of teaching languages; a method of improving the mind. Addison. 2. Orderly arrangement, elucidation, development, or classification; clear and lucid exhibition; systematic arrangement peculiar to an individual. Though this be madness, yet there's method in it. Shak. All method is a rational progress, a progress toward an end. Sir W. Hamilton. 3. (Nat. Hist.)  Classification; a mode or system of classifying natural objects according to certain common characteristics; as, the method of Theophrastus; the method of Ray; the Linnæan method. Syn. -- Order; system; rule; regularity; way; manner; mode; course; process; means. -- Method, Mode, Manner. Method implies arrangement; mode, mere action or existence. Method is a way of reaching a given end by a series of acts which tend to secmode relates to a single action, or to the form which a series of acts, viewed as a whole, exhibits. Manner is literally the handling of a thing, and has a wider sense, embracing both method and mode. An instructor may adopt a good method of teaching to write; the scholar may acquire a bad mode of holding his pen; the manner in which he is corrected will greatly affect his success or failure.
methodic |1. Arranged with regard to method; disposed in a suitable manner, or in a manner to illustrate a subject, or to facilitate practical observation; as, the methodical arrangement of arguments; a methodical treatise. \"Methodical regularity.\" Addison. 2. Proceeding with regard to method; systematic. \"Aristotle, strict, methodic, and orderly.\" Harris. 3. Of or pertaining to the ancient school of physicians called methodists. Johnson. -- Me*thod\"ic*al*ly, adv. -- Me*thod\"ic*al*ness, n.
methodical |1. Arranged with regard to method; disposed in a suitable manner, or in a manner to illustrate a subject, or to facilitate practical observation; as, the methodical arrangement of arguments; a methodical treatise. \"Methodical regularity.\" Addison. 2. Proceeding with regard to method; systematic. \"Aristotle, strict, methodic, and orderly.\" Harris. 3. Of or pertaining to the ancient school of physicians called methodists. Johnson. -- Me*thod\"ic*al*ly, adv. -- Me*thod\"ic*al*ness, n.
methodios |The art and principles of method.
methodism |The system of doctrines, polity, and worship, of the sect called Methodists. Bp. Warburton.
methodist |1. One who observes method. [Obs.] 2. One of an ancient school of physicians who rejected observation and founded their practice on reasoning and theory. Sir W. Hamilton. 3. (Theol.)  One of a sect of Christians, the outgrowth of a small association called the \"Holy Club,\" formed at Oxford University, A.D. 1729, of which the most conspicuous members were John Wesley and his brother Charles; -- originally so called from the methodical strictness of members of the club in all religious duties. 4. A person of strict piety; one who lives in the exact observance of religious duties; -- sometimes so called in contempt or ridicule.\n\nOf or pertaining to the sect of Methodists; as, Methodist hymns; a Methodist elder.
methodistic |Of or pertaining to methodists, or to the Methodists. -- Meth`o*dis\"tic*al*ly, adv.
methodistical |Of or pertaining to methodists, or to the Methodists. -- Meth`o*dis\"tic*al*ly, adv.
methodization |The act or process of methodizing, or the state of being methodized.
methodize |To reduce to method; to dispose in due order; to arrange in a convenient manner; as, to methodize one's work or thoughts. Spectator.
methodizer |One who methodizes.
methodological |Of or pertaining to methodology.
methodology |The science of method or arrangement; a treatise on method. Coleridge.
methol |The technical name of methyl alcohol or wood spirit; also, by extension, the class name of any of the series of alcohols of the methane series of which methol proper is the type. See Methyl alcohol, under Methyl.
methought |of Methinks.
methoxyl |A hypothetical radical, CH3O, analogous to hydroxyl.
methyl |A hydrocarbon radical, CH3, not existing alone but regarded as an essential residue of methane, and appearing as a component part of many derivatives; as, methyl alcohol, methyl ether, methyl amine, etc. [Formerly written also methule, methyle, etc.] Methyl alcohol (Chem.), a light, volatile, inflammable liquid, CH3.OH, obtained by the distillation of wood, and hence called wood spirit; -- called also methol, carbinol, etc. -- Methyl amine (Chem.), a colorless, inflammable, alkaline gas, CH3.NH2, having an ammoniacal, fishy odor. It is produced artificially, and also occurs naturally in herring brine and other fishy products. It is regarded as ammonia in which a third of its hydrogen is replaced by methyl, and is a type of the class of substituted ammonias. -- Methyl ether (Chem.), a light, volatile ether CH3.O.CH3, obtained by the etherification of methyl alcohol; -- called also methyl oxide. -- Methyl green. (Chem.) See under Green, n. -- Methyl orange. (Chem.) See Helianthin. -- Methyl violet (Chem.), an artificial dye, consisting of certain methyl halogen derivatives of rosaniline.
methylal |A light, volatile liquid, H2C(OCH3)2, regarded as a complex ether, and having a pleasant ethereal odor. It is obtained by the partial oxidation of methyl alcohol. Called also formal.
methylamine |See Methyl amine, under Methyl.
methylate |An alcoholate of methyl alcohol in which the hydroxyl hydrogen is replaced by a metal, after the analogy of a hydrate; as, sodium methylate, CH3ONa.\n\nTo impregnate or mix with methyl or methyl alcohol.
methylated |Impregnated with, or containing, methyl alcohol or wood spirit; as, methylated spirits.
methylene |A hydrocarbon radical, CH2, not known in the free state, but regarded as an essential residue and component of certain derivatives of methane; as, methylene bromide, CH2Br2; -- formerly called also methene. Methylene blue (Chem.), an artificial dyestuff consisting of a complex sulphur derivative of diphenyl amine; -- called also pure blue.
methylic |Pertaining to, derived from, or containing, methyl; specifically, designating methyl alcohol. See under Methyl.
methysticin |A white, silky, crystalline substance extracted from the thick rootstock of a species of pepper (Piper methysticum) of the South Sea Islands; -- called also kanakin.
metic |A sojourner; an immigrant; an alien resident in a Grecian city, but not a citizen. Mitford. The whole force of Athens, metics as well as citizens, and all the strangers who were then in the city. Jowett (Thucyd. ).
meticulous |Timid; fearful. -- Me*tic\"u*lous*ly, adv.
metier |Calling; vocation; business; trade. Not only is it the business of no one to preach the truth but it is the métier of many to conceal it. A. R. Colquhoun.
metif |See Métis.
metis |1. The offspring of a white person and an American Indian. 2. The offspring of a white person and a quadroon; an octoroon. [Local, U. S.] Bartlett.
metisse |1. The offspring of a white person and an American Indian. 2. The offspring of a white person and a quadroon; an octoroon. [Local, U. S.] Bartlett.
metive |See Métis.
metoche |(a) The space between two dentils. (b) The space between two triglyphs.
metol |A whitish soluble powder used as a developer in photography. Chemically, it is the sulphate of methyl-p-amino-m-cresol.
metonic |Pertaining to, or discovered by, Meton, the Athenian. Metonic cycle or year. (Astron.) See under Cycle.
metonymic |Used by way of metonymy. -- Met`o*nym\"ic*al*ly, adv.
metonymical |Used by way of metonymy. -- Met`o*nym\"ic*al*ly, adv.
metonymy |A trope in which one word is put for another that suggests it; as, we say, a man keeps a good table instead of good provisions; we read Virgil, that is, his poems; a man has a warm heart, that is, warm affections.
metope |1. (Arch.)  The space between two triglyphs of the Doric frieze, which, among the ancients, was often adorned with carved work. See Illust. of Entablature. 2. (Zoöl.)  The face of a crab. Note: In the Parthenon, groups of centaurs and heroes in high relief occupy the metopes.
metopic |Of or pertaining to the forehead or frontal bones; frontal; as, the metopic suture.
metopomancy |Fortune telling by physiognomy. [R.] Urquhart.
metoposcopic |Of or relating to metoposcopy.
metoposcopical |Of or relating to metoposcopy.
metoposcopist |One versed in metoposcopy.
metoposcopy |The study of physiognomy; the art of discovering the character of persons by their features, or the lines of the face.
metosteon |The postero-lateral ossification in the sternum of birds; also, the part resulting from such ossification.
metre |1. Rhythmical arrangement of syllables or words into verses, stanzas, strophes, etc.; poetical measure, depending on number, quantity, and accent of syllables; rhythm; measure; verse; also, any specific rhythmical arrangements; as, the Horatian meters; a dactylic meter. The only strict antithesis to prose is meter. Wordsworth. 2. A poem. [Obs.] Robynson (More's Utopia). 3. A measure of length, equal to 39.37 English inches, the standard of linear measure in the metric system of weights and measures. It was intended to be, and is very nearly, the ten millionth part of the distance from the equator to the north pole, as ascertained by actual measurement of an arc of a meridian. See Metric system, under Metric. Common meter (Hymnol.), four iambic verses, or lines, making a stanza, the first and third having each four feet, and the second and fourth each three feet; -- usually indicated by the initials C.M. -- Long meter (Hymnol.), iambic verses or lines of four feet each, four verses usually making a stanza; -- commonly indicated by the initials L.M. -- Short meter (Hymnol.), iambic verses or lines, the first, second, and fourth having each three feet, and the third four feet. The stanza usually consists of four lines, but is sometimes doubled. Short meter is indicated by the initials S.M.\n\nSee Meter.
metric |1. Relating to measurement; involving, or proceeding by, measurement. 2. Of or pertaining to the meter as a standard of measurement; of or pertaining to the decimal system of measurement of which a meter is the unit; as, the metric system; a metric measurement. Metric analysis (Chem.), analysis by volume; volumetric analysis. -- Metric system, a system of weights and measures originating in France, the use of which is required by law in many countries, and permitted in many others, including the United States and England. The principal unit is the meter (see Meter). From this are formed the are, the liter, the stere, the gram, etc. These units, and others derived from them, are divided decimally, and larger units are formed from multiples by 10, 100, 1,000, and 10,000. The successive multiplies are designated by the prefixes, deca-, hecto-, kilo-, and myria-; successive parts by deci-, centi-, and milli-. The prefixes mega- and micro- are sometimes used to denote a multiple by one million, and the millionth part, respectively. See the words formed with these prefixes in the Vocabulary. For metric tables, see p. 1682.
metric system |See Metric, a.
metric ton |A weight of 1,000 kilograms, or 2,204.6 pounds avoirdupois.
metrical |1. Of or pertaining to the meter; arranged in meter; consisting of verses; as, metrical compositions. 2. Of or pertaining to measurement; as, the inch, foot, yard, etc., are metrical terms; esp., of or pertaining to the metric system.
metrically |In a metrical manner.
metrician |A composer of verses. [Obs.]
metrification |Composition in metrical form; versification. [R.] Tennyson.
metrify |To make verse. [R.] Skelton.
