trimester |A term or period of three months.
truck |1. A small wheel, as of a vehicle; specifically (Ord.), a small strong wheel, as of wood or iron, for a gun carriage. 2. A low, wheeled vehicle or barrow for carrying goods, stone, and other heavy articles. Goods were conveyed about the town almost exclusively in trucks drawn by dogs. Macaulay. 3. (Railroad Mach.)  A swiveling carriage, consisting of a frame with one or more pairs of wheels and the necessary boxes, springs, etc., to carry and guide one end of a locomotive or a car; -- sometimes called bogie in England. Trucks usually have four or six wheels. 4. (Naut.) (a) A small wooden cap at the summit of a flagstaff or a masthead, having holes in it for reeving halyards through. (b) A small piece of wood, usually cylindrical or disk-shaped, used for various purposes. 5. A freight car. [Eng.] 6. A frame on low wheels or rollers; -- used for various purposes, as for a movable support for heavy bodies.\n\nTo transport on a truck or trucks.\n\nTo exchange; to give in exchange; to barter; as, to truck knives for gold dust. We will begin by supposing the international trade to be in form, what it always is in reality, an actual trucking of one commodity against another. J. S. Mill.\n\nTo exchange commodities; to barter; to trade; to deal. A master of a ship, who deceived them under color of trucking with them. Palfrey. Despotism itself is obliged to truck and huckster. Burke. To truck and higgle for a private good. Emerson.\n\n1. Exchange of commodities; barter. Hakluyt. 2. Commodities appropriate for barter, or for small trade; small commodities; esp., in the United States, garden vegetables raised for the market. [Colloq.] 3. The practice of paying wages in goods instead of money; -- called also truck system. Garden truck, vegetables raised for market. [Colloq.] [U. S.] -- Truck farming, raising vegetables for market: market gardening. [Colloq. U. S.]
truckage |The practice of bartering goods; exchange; barter; truck. The truckage of perishing coin. Milton.\n\nMoney paid for the conveyance of goods on a truck; freight.
trucker |One who trucks; a trafficker. No man having ever yet driven a saving bargain with this great trucker for souls. South.
trucking |The business of conveying goods on trucks.
truckle |A small wheel or caster. Hudibras.\n\nTo yield or bend obsequiously to the will of another; to submit; to creep. \"Small, trucking states.\" Burke. Religion itself is forced to truckle to worldly poliey. Norris.\n\nTo roll or move upon truckles, or casters; to trundle.
truckle-bed |A low bed on wheels, that may be pushed under another bed; a trundle-bed. \"His standing bed and truckle-bed.\" Shak.
truckler |One who truckles, or yields servilely to the will of another.
truckman |1. Etym: [From Truck barter.]  One who does business in the way of barter or exchange. 2. Etym: [From Truck a carriage.]  One who drives a truck, or whose business is the conveyance of goods on trucks.
truculence |The quality or state of being truculent; savageness of manners; ferociousness.
truculency |The quality or state of being truculent; savageness of manners; ferociousness.
truculent |1. Fierce; savage; ferocious; barbarous; as, the truculent inhabitants of Scythia. Ray. 2. Cruel; destructive; ruthless. More or less truculent plagues. Harvey.
truculently |In a truculent manner.
trudge |To walk or march with labor; to jog along; to move wearily. And trudged to Rome upon my naked feet. Dryden.
trudgeman |A truchman. [Obs.]
trudgen stroke |A racing stroke in which a double over-arm motion is used; -- so called from its use by an amateur named Trudgen, but often erroneously written trudgeon.
true |1. Conformable to fact; in accordance with the actual state of things; correct; not false, erroneous, inaccurate, or the like; as, a true relation or narration; a true history; a declaration is true when it states the facts. 2. Right to precision; conformable to a rule or pattern; exact; accurate; as, a true copy; a true likeness of the original. Making his eye, foot, and hand keep true time. Sir W. Scott. 3. Steady in adhering to friends, to promises, to a prince, or the like; unwavering; faithful; loyal; not false, fickle, or perfidious; as, a true friend; a wife true to her husband; an officer true to his charge. Thy so true, So faithful, love unequaled. Milton. Dare to be true: nothing can need a lie. Herbert. 4. Actual; not counterfeit, adulterated, or pretended; genuine; pure; real; as, true balsam; true love of country; a true Christian. The true light which lighteth every man that cometh into the world. John i. 9. True ease in writing comes from art, not chance. Pope. Note: True is sometimes used elliptically for It is true. Out of true, varying from correct mechanical form, alignment, adjustment, etc.; -- said of a wall that is not perpendicular, of a wheel whose circumference is not in the same plane, and the like. [Colloq.] -- A true bill (Law), a bill of indictment which is returned by the grand jury so indorsed, signifying that the charges to be true. -- True time. See under Time.\n\nIn accordance with truth; truly. Shak.
true-blue |Of inflexible honesty and fidelity; -- a term derived from the true, or Coventry, blue, formerly celebrated for its unchanging color. See True blue, under Blue.\n\nA person of inflexible integrity or fidelity.
true-born |Of genuine birth; having a right by birth to any title; as, a true-born Englishman.
true-bred |1. Of a genuine or right breed; as, a true-bred beast. Shak. 2. Being of real breeding or education; as, a true-bred gentleman.
true-hearted |Of a faithful heart; honest; sincere; not faithless or deceitful; as, a truhearted friend. -- True\"-heart`ed*ness, n.
true-penny |An honest fellow. Shak. Bacon.
truelove |1. One really beloved. 2. (Bot.)  A plant. See Paris. 3. An unexplained word occurring in Chaucer, meaning, perhaps, an aromatic sweetmeat for sweetening the breath. T. R. Lounsbury. Under his tongue a truelove he bore. Chaucer. Truelove knot, a complicated, involved knot that does not readily untie; the emblem of interwoven affection or engagement; -- called also true-lover's knot.
trueness |The quality of being true; reality; genuineness; faithfulness; sincerity; exactness; truth.
truffle |Any one of several kinds of roundish, subterranean fungi, usually of a blackish color. The French truffle (Tuber melanosporum) and the English truffle (T. æstivum) are much esteemed as articles of food. Truffle worm (Zoöl.), the larva of a fly of the genus Leiodes, injurious to truffles. Truffle pig, a pig used for finding truffles. Note: When trained, certain pigs have a peculiar ability to smell truffles which lie underground, making them useful for searching out hidden truffles.
truffled |Provided or cooked with truffles; stuffed with truffles; as, a truffled turkey.
trug |1. A trough, or tray. Specifically: (a) A hod for mortar. (b) An old measure of wheat equal to two thirds of a bushel. Bailey. 2. A concubine; a harlot. [Obs.] Taylor (1630).
trugging-house |A brothel. [Obs.] Robert Greene.
truism |An undoubted or self-evident truth; a statement which is pliantly true; a proposition needing no proof or argument; -- opposed to falsism. Trifling truisms clothed in great, swelling words. J. P. Smith.
truismatic |Of or pertaining to truisms; consisting of truisms. [R.]
truite |Having a delicately crackled surface; --applied to porcelian, etc.
trull |1. A drab; a strumpet; a harlot; a trollop. Shak. 2. A girl; a wench; a lass. [Obs.]
trullization |The act of laying on coats of plaster with a trowel.
truly |1. In a true manner; according to truth; in agreement with fact; as, to state things truly; the facts are truly represented. I can not truly say how I came here. Shak. 2. Exactly; justly; precisely; accurately; as, to estimate truly the weight of evidence. 3. Sincerely; honestly; really; faithfully; as, to be truly attached to a lover; the citizens are truly loyal to their prince or their country. Burke. 4. Conformably to law; legally; legitimately. His innocent babe [is] truly begotten. Shak. 5. In fact; in deed; in reality; in truth. Beauty is excelled by manly grace And wisdom, which alone is truly fair. Milton.
trump |A wind instrument of music; a trumpet, or sound of a trumpet; - - used chiefly in Scripture and poetry. We shall all be changed, in a moment, in the twinkling of an eye, at the last trump. 1 Cor. xv. 51, 52. The wakeful trump of doom. Milton.\n\nTo blow a trumpet. [Obs.] Wyclif (Matt. vi. 2).\n\n1. A winning card; one of a particular suit (usually determined by chance for each deal) any card of which takes any card of the other suits. 2. An old game with cards, nearly the same as whist; -- called also ruff. Decker. 3. A good fellow; an excellent person. [Slang] Alfred is a trump, I think you say. Thackeray. To put to one's trumps, or To put on one's trumps, to force to the last expedient, or to the utmost exertion. But when kings come so low as to fawn upon philosophy, which before they neither valued nor understood, it is a sign that fails not, they are then put to their last trump. Milton. Put the housekeeper to her trumps to accommodate them. W. Irving.\n\nTo play a trump card when one of another suit has been led.\n\nTo play a trump card upon; to take with a trump card; as, she trumped the first trick.\n\n1. To trick, or impose on; to deceive. [Obs.] \"To trick or trump mankind.\" B. Jonson. 2. To impose unfairly; to palm off. Authors have been trumped upon us. C. Leslie. To trump up, to devise; to collect with unfairness; to fabricate; as, to trump up a charge.
trumpery |1. Deceit; fraud. [Obs.] Grenewey. 2. Something serving to deceive by false show or pretense; falsehood; deceit; worthless but showy matter; hence, things worn out and of no value; rubbish. The trumpery in my house, go bring it hither, for state to catch these thieves. Shak. Upon the coming of Christ, very much, though not all, of this idolatrous trumpery and superstition was driven out of the world. South.\n\nWorthless or deceptive in character. \"A trumpery little ring.\" Thackeray.
trumpet |1. (Mus.)  A wind instrument of great antiquity, much used in war and military exercises, and of great value in the orchestra. In consists of a long metallic tube, curved (once or twice) into a convenient shape, and ending in a bell. Its scale in the lower octaves is limited to the first natural harmonics; but there are modern trumpets capable, by means of valves or pistons, of producing every tone within their compass, although at the expense of the true ringing quality of tone. The trumpet's loud clangor Excites us to arms. Dryden. 2. (Mil.)  A trumpeter. Clarendon. 3. One who praises, or propagates praise, or is the instrument of propagating it. Shak. That great politician was pleased to have the greatest wit of those times . . . to be the trumpet of his praises. Dryden. 4. (Mach)  A funnel, or short, fiaring pipe, used as a guide or conductor, as for yarn in a knitting machine. Ear trumpet. See under Ear. -- Sea trumpet (Bot.), a great seaweed (Ecklonia buccinalis) of the Southern Ocean. It has a long, hollow stem, enlarging upwards, which may be made into a kind of trumpet, and is used for many purposes. -- Speaking trumpet, an instrument for conveying articulate sounds with increased force. -- Trumpet animalcule (Zoöl.), any infusorian belonging to Stentor and allied genera, in which the body is trumpet-shaped. See Stentor. -- Trumpet ash (Bot.), the trumpet creeper. [Eng.] -- Trumpet conch (Zoöl.), a trumpet shell, or triton. -- Trumpet creeper (Bot.), an American climbing plant (Tecoma radicans) bearing clusters of large red trumpet-shaped flowers; -- called also trumpet flower, and in England trumpet ash. -- Trumpet fish. (Zoöl.) (a) The bellows fish. (b) The fistularia. -- Trumpet flower. (Bot.) (a) The trumpet creeper; also, its blossom. (b) The trumpet honeysuckle. (c) A West Indian name for several plants with trumpet-shaped flowers. -- Trumpet fly (Zoöl.), a botfly. -- Trumpet honeysuckle (Bot.), a twining plant (Lonicera sempervirens) with red and yellow trumpet-shaped flowers; -- called also trumpet flower. -- Trumpet leaf (Bot.), a name of several plants of the genus Sarracenia. -- Trumpet major (Mil.), the chief trumpeter of a band or regiment. -- Trumpet marine (Mus.), a monochord, having a thick string, sounded with a bow, and stopped with the thumb so as to produce the harmonic tones; -- said to be the oldest bowed instrument known, and in form the archetype of all others. It probably owes its name to \"its external resemblance to the large speaking trumpet used on board Italian vessels, which is of the same length and tapering shape.\" Grove. -- Trumpet shell (Zoöl.), any species of large marine univalve shells belonging to Triton and allied genera. See Triton, 2. -- Trumpet tree. (Bot.) See Trumpetwood.\n\nTo publish by, or as by, sound of trumpet; to noise abroad; to proclaim; as, to trumpet good tidings. They did nothing but publish and trumpet all the reproaches they could devise against the Irish. Bacon.\n\nTo sound loudly, or with a tone like a trumpet; to utter a trumplike cry.
trumpet-shaped |Tubular with one end dilated, as the flower of the trumpet creeper.
trumpet-tongued |Having a powerful, far-reaching voice or speech.
trumpeter |1. One who sounds a trumpet. 2. One who proclaims, publishes, or denounces. These men are good trumpeters. Bacon. 3. (Zoöl.) (a) Any one of several species of long-legged South American birds of the genus Psophia, especially P. crepitans, which is abundant, and often domesticated and kept with other poultry by the natives. They are allied to the cranes. So called from their loud cry. Called also agami, and yakamik. (b) A variety of the domestic pigeon. (c) An American swan (Olor buccinator) which has a very loud note. 4. (Zoöl.)  A large edible fish (Latris hecateia) of the family Cirrhitidæ, native of Tasmania and New Zealand. It sometimes weighs as much as fifty or sixty pounds, and is highly esteemed as a food fish.
trumpeting |A channel cut behind the brick lining of a shaft. Raymond.
trumpets |A plant (Sarracenia flava) with long, hollow leaves.
trumpetweed |(a) An herbaceous composite plant (Eupatorium purpureum), often having hollow stems, and bearing purplish flowers in small corymbed heads. (b) The sea trumpet.
trumpetwood |A tropical American tree (Cecropia peltata) of the Breadfruit family, having hollow stems, which are used for wind instruments; -- called also snakewood, and trumpet tree.
trumpie |The Richardson's skua (Stercorarius parasiticus).
trumplike |Resembling a trumpet, esp. in sound; as, a trumplike voice. Chapman.
truncal |Of or pertaining to the trunk, or body.
truncate |To cut off; to lop; to maim.\n\nAppearing as if cut off at the tip; as, a truncate leaf or feather.
truncated |1. Cut off; cut short; maimed. 2. (Min.)  Replaced, or cut off, by a plane, especially when equally inclined to the adjoining faces; as, a truncated edge. 3. (Zoöl.)  Lacking the apex; -- said of certain spiral shells in which the apex naturally drops off. Truncated cone or pyramid (Geom.), a cone or pyramid whose vertex is cut off by a plane, the plane being usually parallel to the base.
truncation |1. The act of truncating, lopping, or cutting off. 2. The state of being truncated. 3. (Min.)  The replacement of an edge or solid angle by a plane, especially when the plane is equally inclined to the adjoining faces.
trunch |A stake; a small post. [Obs.]
truncheon |1. A short staff, a club; a cudgel; a shaft of a spear. With his truncheon he so rudely struck. Spenser. 2. A baton, or military staff of command. The marshal's truncheon nor the judges robe. Shak. 3. A stout stem, as of a tree, with the branches lopped off, to produce rapid growth. Gardner.\n\nTo beat with a truncheon. Shak.
truncheoned |Having a truncheon.
truncheoneer |A person armed with a truncheon. [Written also truncheoner.]
truncus |The thorax of an insect. See Trunk, n., 5.
trundle |1. A round body; a little wheel. 2. A lind of low-wheeled cart; a truck. 3. A motion as of something moving upon little wheels or rollers; a rolling motion. 4. (Mach.) (a) A lantern wheel. See under Lantern. (b) One of the bars of a lantern wheel.\n\n1. To roll (a thing) on little wheels; as, to trundle a bed or a gun carriage. 2. To cause to roll or revolve; to roll along; as, to trundle a hoop or a ball. R. A. Proctor.\n\n1. To go or move on small wheels; as, a bed trundles under another. 2. To roll, or go by revolving, as a hoop.
trundle-bed |A low bed that is moved on trundles, or little wheels, so that it can be pushed under a higher bed; a truckle-bed; also, sometimes, a simiral bed without wheels. Chapman.
trundlehead |1. (Gearing)  One of the disks forming the ends of a lantern wheel or pinion. 2. The drumhead of a capstan; especially, the drumhead of the lower of two capstans on the sane axis.
trundletail |A round or curled-up tail; also, a dog with such a tail. Shak.
trunk |1. The stem, or body, of a tree, apart from its limbs and roots; the main stem, without the branches; stock; stalk. About the mossy trunk I wound me soon, For, high from ground, the branches would require Thy utmost reach. Milton. 2. The body of an animal, apart from the head and limbs. 3. The main body of anything; as, the trunk of a vein or of an artery, as distinct from the branches. 4. (Arch)  That part of a pilaster which is between the base and the capital, corresponding to the shaft of a column. 5. (Zoöl.)  That segment of the body of an insect which is between the head and abdomen, and bears the wings and legs; the thorax; the truncus. 6. (Zoöl.) (a) The proboscis of an elephant. (b) The proboscis of an insect. 7. A long tube through which pellets of clay, p He shot sugarplums them out of a trunk. Howell. 8. A box or chest usually covered with leather, metal, or cloth, or sometimes made of leather, hide, or metal, for containing clothes or other goods; especially, one used to convey the effects of a traveler. Locked up in chests and trunks. Shak. 9. (Mining)  A flume or sluice in which ores are separated from the slimes in which they are contained. 10. (Steam Engine)  A large pipe forming the piston rod of a steam engine, of sufficient diameter to allow one end of the connecting rod to be attached to the crank, and the other end to pass within the pipe directly to the piston, thus making the engine more compact. 11. A long, large box, pipe, or conductor, made of plank or metal plates, for various uses, as for conveying air to a mine or to a furnace, water to a mill, grain to an elevator, etc. Trunk engine, a marine engine, the piston rod of which is a trunk. See Trunk, 10. -- Trunk hose, large breeches formerly worn, reaching to the knees. -- Trunk line, the main line of a railway, canal, or route of conveyance. -- Trunk turtle (Zoöl.), the leatherback.\n\n1. To lop off; to curtail; to truncate; to maim. [Obs.] \"Out of the trunked stock.\" Spenser. 2. (Mining)  To extract (ores) from the slimes in which they are contained, by means of a trunk. See Trunk, n., 9. Weale.
trunk engine |An engine having a trunk piston, as most internal combustion engines.
trunk piston |In a single-acting engine, an elongated hollow piston, open at the end, in which the end of the connecting rod is pivoted. The piston rod, crosshead and stuffing box are thus dispensed with.
trunk steamer |A freight steamer having a high hatch coaming extending almost continuously fore and aft, but not of whaleback form at the sides.
trunkback |The leatherback.
trunked |Having (such) a trunk. Thickset with strong and well-trunked trees. Howell.
trunkfish |Any one of several species of plectognath fishes, belonging to the genus Ostracion, or the family Ostraciontidæ, having an angular body covered with a rigid integument consisting of bony scales. Some of the species are called also coffer fish, and boxfish.
trunkful |As much as a trunk will hold; enough to fill a trunk.
trunkwork |Work or devices suitable to be concealed; a secret stratagem. [Obs.]
trunnel |A trundle. [R.]\n\nSee Treenail.
trunnion |1. (Gun.)  A cylindrical projection on each side of a piece, whether gun, mortar, or howitzer, serving to support it on the cheeks of the carriage. See Illust. of Cannon. 2. (Steam Engine)  A gudgeon on each side of an oscillating steam cylinder, to support it. It is usually tubular, to convey steam. Trunnion plate (Gun.), a plate in the carriage of a gun, mortar, or howitzer, which covers the upper part of the cheek, and forms a bearing under the trunnion. -- Trunnion ring (Gun.), a ring on a cannon next before the trunnions. [R.]
trunnioned |Provided with trunnions; as, the trunnioned cylinder of an oscillating steam engine.
trusion |The act of pushing or thrusting. [R.] Bentley.
truss |1. A bundle; a package; as, a truss of grass. Fabyan. Bearing a truss of trifles at his back. Spenser. Note: A truss of hay in England is 56 lbs. of old and 60 lbs. of new hay; a truss of straw is 36 lbs. 2. A padded jacket or dress worn under armor, to protect the body from the effects of friction; also, a part of a woman's dress; a stomacher. [Obs.] Nares. Puts off his palmer's weed unto his truss, which bore The stains of ancient arms. Drayton. 3. (Surg.)  A bandage or apparatus used in cases of hernia, to keep up the reduced parts and hinder further protrusion, and for other purposes. 4. (Bot.)  A tuft of flowers formed at the top of the main stalk, or stem, of certain plants. 5. (Naut.)  The rope or iron used to keep the center of a yard to the mast. 6. (Arch. & Engin.)  An assemblage of members of wood or metal, supported at two points, and arranged to transmit pressure vertically to those points, with the least possible strain across the length of any member. Architectural trusses when left visible, as in open timber roofs, often contain members not needed for construction, or are built with greater massiveness than is requisite, or are composed in unscientific ways in accordance with the exigencies of style. Truss rod, a rod which forms the tension member of a trussed beam, or a tie rod in a truss.\n\n1. To bind or pack close; to make into a truss. Shak. It [his hood] was trussed up in his wallet. Chaucer. 2. To take fast hold of; to seize and hold firmly; to pounce upon. [Obs.] Who trussing me as eagle doth his prey. Spenser. 3. To strengthen or stiffen, as a beam or girder, by means of a brace or braces. 4. To skewer; to make fast, as the wings of a fowl to the body in cooking it. 5. To execute by hanging; to hang; -- usually with up. [Slang.] Sir W. Scott. To truss a person or one's self, to adjust and fasten the clothing of; especially, to draw tight and tie the laces of garments. [Obs.] \"Enter Honeysuckle, in his nightcap, trussing himself.\" J. Webster (1607). -- To truss up, to strain; to make close or tight. -- Trussed beam, a beam which is stiffened by a system of braces constituting a truss of which the beam is a chord.
trussing |1. (Arch. & Engin.)  The timbers, etc., which form a truss, taken collectively. Weale. 2. (Arch. & Engin.)  The art of stiffening or bracing a set of timbers, or the like, by putting in struts, ties, etc., till it has something of the character of a truss. 3. The act of a hawk, or other bird of prey, in seizing its quarry, and soaring with it into air. [Obs.]
trust |1. Assured resting of the mind on the integrity, veracity, justice, friendship, or other sound principle, of another person; confidence; reliance; reliance. \"O ever-failing trust in mortal strength!\" Milton. Most take things upon trust. Locke. 2. Credit given; especially, delivery of property or merchandise in reliance upon future payment; exchange without immediate receipt of an equivalent; as, to sell or buy goods on trust. 3. Assured anticipation; dependence upon something future or contingent, as if present or actual; hope; belief. \"Such trust have we through Christ.\" 2 Cor. iii. 4. His trust was with the Eternal to be deemed Equal in strength. Milton. 4. That which is committed or intrusted to one; something received in confidence; charge; deposit. 5. The condition or obligation of one to whom anything is confided; responsible charge or office. [I] serve him truly that will put me in trust. Shak. Reward them well, if they observe their trust. Denham. 6. That upon which confidence is reposed; ground of reliance; hope. O Lord God, thou art my trust from my youth. Ps. lxxi. 5. 7. (Law)  An estate devised or granted in confidence that the devisee or grantee shall convey it, or dispose of the profits, at the will, or for the benefit, of another; an estate held for the use of another; a confidence respecting property reposed in one person, who is termed the trustee, for the benefit of another, who is called the cestui que trust. 8. An organization formed mainly for the purpose of regulating the supply and price of commodities, etc.; as, a sugar trust. [Cant] Syn. -- Confidence; belief; faith; hope; expectation. Trust deed (Law), a deed conveying property to a trustee, for some specific use.\n\nHeld in trust; as, trust property; trustmoney.\n\n1. To place confidence in; to rely on, to confide, or repose faith, in; as, we can not trust those who have deceived us. I will never trust his word after. Shak. He that trusts every one without reserve will at last be deceived. Johnson. 2. To give credence to; to believe; to credit. Trust me, you look well. Shak. 3. To hope confidently; to believe; -- usually with a phrase or infinitive clause as the object. I trust to come unto you, and speak face to face. 2 John 12. We trustwe have a good conscience. Heb. xiii. 18. 4. to show confidence in a person by intrusting (him) with something. Whom, with your power and fortune, sir, you trust, Now to suspect is vain. Dryden. 5. To commit, as to one's care; to intrust. Merchants were not willing to trust precious cargoes to any custody but that of a man-of-war. Macaulay. 6. To give credit to; to sell to upon credit, or in confidence of future payment; as, merchants and manufacturers trust their customers annually with goods. 7. To risk; to venture confidently. [Beguiled] by thee to trust thee from my side. Milton.\n\n1. To have trust; to be credulous; to be won to confidence; to confide. More to know could not be more to trust. Shak. 2. To be confident, as of something future; to hope. I will trust and not be afraid. Isa. xii. 2. 3. To sell or deliver anything in reliance upon a promise of payment; to give credit. It is happier sometimes to be cheated than not to trust. Johnson. To trust in, To trust on, to place confidence in,; to rely on; to depend. \"Trust in the Lord, and do good.\" Ps. xxxvii. 3. \"A priest . . . on whom we trust.\" Chaucer. Her widening streets on new foundations trust. Dryden. To trust to or unto, to depend on; to have confidence in; to rely on. They trusted unto the liers in wait. Judges xx. 36.
trust company |Any corporation formed for the purpose of acting as trustee. Such companies usually do more or less of a banking business.
trustee |A person to whom property is legally committed in trust, to be applied either for the benefit of specified individuals, or for public uses; one who is intrusted with property for the benefit of another; also, a person in whose hands the effects of another are attached in a trustee process. Trustee process (Law), a process by which a creditor may attach his debtor's goods, effects, and credits, in the hands of a third person; -- called, in some States, the process of foreign attachment, garnishment, or factorizing process. [U. S.]\n\n1. To commit (property) to the care of a trustee; as, to trustee an estate. 2. (Law)  To attach (a debtor's wages, credits, or property in the hands of a third person) in the interest of the creditor. [U.S.]
trustee process |The process of attachment by garnishment. [U. S.]
trustee stock |High-grade stock in which trust funds may be legally invested. [Colloq.]
trusteeship |The office or duty of a trustee.
truster |1. One who trusts, or credits. 2. (Scots Law)  One who makes a trust; -- the correlative of trustee.
trustful |1. Full of trust; trusting. 2. Worthy of trust; faithful; trusty; trustworthy. -- Trust\"ful*ly,adv. -- Trust\"ful*ness, n.
trustily |In a trusty manner.
trustiness |The quality or state of being trusty.
trusting |Having or exercising trust; confiding; unsuspecting; trustful. -- Trust\"ing*ly, adv.
trustless |That may not be trusted; not worthy of trust; unfaithful. -- Trust\"less*ness, n.
trustworthy |Worthy of trust or confidence; trusty. -- Trust\"wor`thi*ness, n.
trusty |1. Admitting of being safely trusted; justly deserving confidence; fit to be confided in; trustworthy; reliable. Your trusty and most valiant servitor. Shak. 2. Hence, not liable to fail; strong; firm. His trusty sword he called to his aid. Spenser. 3. Involving trust; as, a trusty business. [R.] Shak.
truth |1. The quality or being true; as: -- (a) Conformity to fact or reality; exact accordance with that which is, or has been; or shall be. (b) Conformity to rule; exactness; close correspondence with an example, mood, object of imitation, or the like. Plows, to go true, depend much on the truth of the ironwork. Mortimer. (c) Fidelity; constancy; steadfastness; faithfulness. Alas! they had been friends in youth, But whispering tongues can poison truth. Coleridge. (d) The practice of speaking what is true; freedom from falsehood; veracity. If this will not suffice, it must appear That malice bears down truth. Shak. 2. That which is true or certain concerning any matter or subject, or generally on all subjects; real state of things; fact; verity; reality. Speak ye every man the truth to his neighbor. Zech. viii. 16. I long to know the truth here of at large. Shak. The truth depends on, or is only arrived at by, a legitimate deduction from all the facts which are truly material. Coleridge. 3. A true thing; a verified fact; a true statement or proposition; an established principle, fixed law, or the like; as, the great truths of morals. Even so our boasting . . . is found a truth. 2 Cor. vii. 14. 4. Righteousness; true religion. Grace and truth came by Jesus Christ. John i. 17. Sanctify them through thy truth; thy word is truth. John xvii. 17. In truth, in reality; in fact. -- Of a truth, in reality; certainly. -- To do truth, to practice what God commands. He that doeth truth cometh to the light. John iii. 21.\n\nTo assert as true; to declare. [R.] Had they [the ancients] dreamt this, they would have truthed it heaven. Ford.
truth-lover |One who loves the truth. Truth-lover was our English Duke. Tennyson.
truth-teller |One who tells the truth. Truth-teller was our England's Alfred named. Tennyson.
truthful |Full of truth; veracious; reliable. -- Truth\"ful*ly, adv. -- Truth\"ful*ness, n.
truthless |Devoid of truth; dishonest; dishonest; spurious; faithless. -- Truth\"less*ness, n.
truthness |Truth. [Obs. & R.] Marston.
truthy |Truthful; likely; probable. [R.] \"A more truthy import.\" W. G. Palgrave.
trutination |The act of weighing. [Obs.] Sir T. Browne.
truttaceous |Of, pertaining to, or resembling, a trout; as, fish of the truttaceous kind.
try |1. To divide or separate, as one sort from another; to winnow; to sift; to pick out; -- frequently followed by out; as, to try out the wild corn from the good. [Obs.] Sir T. Elyot. 2. To purify or refine, as metals; to melt out, and procure in a pure state, as oil, tallow, lard, etc. Shak. The words of the Lord are pure words: as silver tried in a furnace of earth, purified seven times. Ps. xii. 6. For thou, O God, hast proved us: thou hast tried us, as silver is tried. Ps. lxvi. 10. 3. To prove by experiment; to apply a test to, for the purpose of determining the quality; to examine; to prove; to test; as, to try weights or measures by a standard; to try a man's opinions. Let the end try the man. Shak. 4. To subject to severe trial; to put to the test; to cause suffering or trouble to. Thus far to try thee, Adam, I was pleased. Milton. Thomas Paine (1776) 5. To experiment with; to test by use; as, to try a remedy for disease; to try a horse. Come, try upon yourselves what you have seen me. Shak. To ease her cares the force of sleep she tries. Swift. 6. To strain; to subject to excessive tests; as, the light tries his eyes; repeated disappointments try one's patience. 7. (Law)  To examine or investigate judicially; to examine by witnesses or other judicial evidence and the principles of law; as, to try a cause, or a criminal. 8. To settle; to decide; to determine; specifically, to decide by an appeal to arms; as, to try rival claims by a duel; to try conclusions. Left I the court, to see this quarrel tried. Shak. 9. To experience; to have or gain knowledge of by experience. Milton. Or try the Libyan heat or Scythian cold. Dryden. 10. To essay; to attempt; to endeavor. Let us try . . . to found a path. Milton. To try on. (a) To put on, as a garment, to ascertain whether it fits the person. (b) To attempt; to undertake. [Slang] Dickens. Syn. -- To attempt; endeavor; strive; aim; examine. -- Try, Attempt. To try is the generic, to attempt is the specific, term. When we try, we are usually uncertain as to success; when we attempt, we have always some definite object in view which we seek to accomplish. We may be indifferent as to the result of a trial, but we rarely attempt anything without a desire to succeed. He first deceased: she for a little tried To live without him; liked it not, and died. Sir H. Wotton. Alack, I am afraid they have a waked, And 't is not done. The attempt, and not the deed, Confounds us. Shak.\n\n1. To exert strength; to endeavor; to make an effort or an attempt; as, you must try hard if you wish to learn. 2. To do; to fare; as, how do you try! [Prov. Eng.]\n\n1. A screen, or sieve, for grain. [Obs. or Prov. Eng.] Holland. 2. Act of trying; attempt; experiment; trial. This breaking of his has been but a try for his friends. Shak. Try cock, a gauge cock. See under Gauge.\n\nRefined; select; excellent; choice. [Obs.] \"Sugar that is try.\" Chaucer.
try cock |A cock for withdrawing a small quantity of liquid, as for testing.
try-square |An instrument used by carpenters, joiners, etc., for laying off right angles off right angles, and testing whether work is square.
trygon |Any one of several species of large sting rays belonging to Trygon and allied genera.
trying |Adapted to try, or put to severe trial; severe; afflictive; as, a trying occasion or position.
tryout |A test by which the fitness of a player or contestant to remain in a certain class is determined.
trypsin |A proteolytic ferment, or enzyme, present in the pancreatic juice. Unlike the pepsin of the gastric juice, it acts in a neutral or alkaline fluid, and not only converts the albuminous matter of the food into soluble peptones, but also, in part, into leucin and tyrosin.
trypsinogen |The antecedent of trypsin, a substance which is contained in the cells of the pancreas and gives rise to the trypsin.
tryptic |Relating to trypsin or to its action; produced by trypsin; as, trypsin digestion.
tryptone |The peptone formed by pancreatic digestion; -- so called because it is formed through the agency of the ferment trypsin.
trysail |A fore-and-aft sail, bent to a gaff, and hoisted on a lower mast or on a small mast, called the trysail mast, close abaft a lower mast; -- used chiefly as a storm sail. Called also spencer. Totten.
tryst |1. Trust. [Obs.] 2. An appointment to meet; also, an appointed place or time of meeting; as, to keep tryst; to break tryst. [Scot. or Poetic] To bide tryst, to wait, at the appointed time, for one with whom a tryst or engagement is made; to keep an engagement or appointment. The tenderest-hearted maid That ever bided tryst at village stile. Tennyson.\n\n1. To trust. [Obs.] 2. To agree with to meet at a certain place; to make an appointment with. [Scot.] Burns.\n\nTo mutually agree to meet at a certain place. [Scot.]
