klinometer |See Clinometer.
laborsome |1. Made with, or requiring, great labor, pains, or diligence. [Obs.] Shak. 2. (Naut.)  Likely or inclined to roll or pitch, as a ship in a heavy sea; having a tendency to labor.
labrador |A region of British America on the Atlantic coast, north of Newfoundland. Labrador duck (Zoöl.), a sea duck (Camtolaimus Labradorius) allied to the eider ducks. It was formerly common on the coast of New England, but is now supposed to be extinct, no specimens having been reported since 1878. -- Labrador feldspar. See Labradorite. -- Labrador tea (Bot.), a name of two low, evergreen shrubs of the genus Ledum (L. palustre and L. latifolium), found in Northern Europe and America. They are used as tea in British America, and in Scandinavia as a substitute for hops.
labradorite |A kind of feldspar commonly showing a beautiful play of colors, and hence much used for ornamental purposes. The finest specimens come from Labrador. See Feldspar.
labras |Lips. [Obs. & R.] Shak.
labret |A piece of wood, shell, stone, or other substance, worn in a perforation of the lip or cheek by many savages.
labroid |Like the genus Labrus; belonging to the family Labridæ, an extensive family of marine fishes, often brilliantly colored, which are very abundant in the Indian and Pacific Oceans. The tautog and cunner are American examples.
labrose |Having thick lips.
labrum |1. A lip or edge, as of a basin. 2. (Zoöl.) (a) An organ in insects and crustaceans covering the upper part of the mouth, and serving as an upper lip. See Illust. of Hymenoptera. (b) The external margin of the aperture of a shell. See Univalve.
labrus |A genus of marine fishes, including the wrasses of Europe. See Wrasse.
laburnic |Of, pertaining to, or derived from, the laburnum.
laburnine |A poisonous alkaloid found in the unripe seeds of the laburnum.
laburnum |A small leguminous tree (Cytisus Laburnum), native of the Alps. The plant is reputed to be poisonous, esp. the bark and seeds. It has handsome racemes of yellow blossoms. Note: Scotch laburnum (Cytisus alpinus) is similar, but has smooth leaves; purple laburnum is C. purpureus.
labyrinth |1. An edifice or place full of intricate passageways which render it difficult to find the way from the interior to the entrance; as, the Egyptian and Cretan labyrinths. 2. Any intricate or involved inclosure; especially, an ornamental maze or inclosure in a park or garden. 3. Any object or arrangement of an intricate or involved form, or having a very complicated nature. The serpent . . . fast sleeping soon he found, In labyrinth of many a round self-rolled. Milton. The labyrinth of the mind. Tennyson. 4. An inextricable or bewildering difficulty. I' the maze and winding labyrinths o' the world. Denham. 5. (Anat.)  The internal ear. See Note under Ear. 6. (Metal.)  A series of canals through which a stream of water is directed for suspending, carrying off, and depositing at different distances, the ground ore of a metal. Ure. 7. (Arch.)  A pattern or design representing a maze, -- often inlaid in the tiled floor of a church, etc. Syn. -- Maze; confusion; intricacy; windings. -- Labyrinth, Maze. Labyrinth, originally; the name of an edifice or excavation, carries the idea of design, and construction in a permanent form, while maze is used of anything confused or confusing, whether fixed or shifting. Maze is less restricted in its figurative uses than labyrinth. We speak of the labyrinth of the ear, or of the mind, and of a labyrinth of difficulties; but of the mazes of the dance, the mazes of political intrigue, or of the mind being in a maze.
labyrinthal |Pertaining to, or resembling, a labyrinth; intricate; labyrinthian.
labyrinthian |Intricately winding; like a labyrinth; perplexed; labyrinthal.
labyrinthibranch |Of or pertaining to the Labyrinthici. -- n.  One of the Labyrinthici.
labyrinthic |Like or pertaining to a labyrinth.
labyrinthical |Like or pertaining to a labyrinth.
labyrinthici |An order of teleostean fishes, including the Anabas, or climbing perch, and other allied fishes. Note: They have, connected with the gill chamber, a special cavity in which a labyrinthiform membrane is arranged so as to retain water to supply the gills while the fish leaves the water and travels about on land, or even climbs trees.
labyrinthiform |Having the form of a labyrinth; intricate.
labyrinthine |Pertaining to, or like, a labyrinth; labyrinthal.
labyrinthodon |A genus of very large fossil amphibians, of the Triassic period, having bony plates on the under side of the body. It is the type of the order Labyrinthodonta. Called also Mastodonsaurus.
labyrinthodont |Of or pertaining to the Labyrinthodonta. -- n.  One of the Labyrinthodonta.
labyrinthodonta |An extinct order of Amphibia, including the typical genus Labyrinthodon, and many other allied forms, from the Carboniferous, Permian, and Triassic formations. By recent writers they are divided into two or more orders. See Stegocephala.
lac |One hundred thousand; also, a vaguely great number; as, a lac of rupees. [Written also lack.] [East Indies]\n\nA resinous substance produced mainly on the banyan tree, but to some extent on other trees, by the Coccus lacca, a scale-shaped insect, the female of which fixes herself on the bark, and exudes from the margin of her body this resinous substance. Note: Stick-lac is the substance in its natural state, incrusting small twigs. When broken off, and the coloring matter partly removed, the granular residuum is called seed-lac. When melted, and reduced to a thin crust, it is called shell-lac or shellac. Lac is an important ingredient in sealing wax, dyes, varnishes, and lacquers. Ceylon lac, a resinous exudation of the tree Croton lacciferum, resembling lac. -- Lac dye, a scarlet dye obtained from stick-lac. -- Lac lake, the coloring matter of lac dye when precipitated from its solutions by alum. -- Mexican lac, an exudation of the tree Croton Draco.
laccic |Pertaining to lac, or produced from it; as, laccic acid.
laccin |A yellow amorphous substance obtained from lac.
laccolite |A mass of igneous rock intruded between sedimentary beds and resulting in a mammiform bulging of the overlying strata. -- Lac`co*lit\"ic, a.
laccolith |A mass of igneous rock intruded between sedimentary beds and resulting in a mammiform bulging of the overlying strata. -- Lac`co*lit\"ic, a.
lace |1. That which binds or holds, especially by being interwoven; a string, cord, or band, usually one passing through eyelet or other holes, and used in drawing and holding together parts of a garment, of a shoe, of a machine belt, etc. His hat hung at his back down by a lace. Chaucer. For striving more, the more in laces strong Himself he tied. Spenser. 2. A snare or gin, especially one made of interwoven cords; a net. [Obs.] Fairfax. Vulcanus had caught thee [Venus] in his lace. Chaucer. 3. A fabric of fine threads of linen, silk, cotton, etc., often ornamented with figures; a delicate tissue of thread, much worn as an ornament of dress. Our English dames are much given to the wearing of costlylaces. Bacon. 4. Spirits added to coffee or some other beverage. [Old Slang] Addison. Alencon lace, a kind of point lace, entirely of needlework, first made at Alencon in France, in the 17th century. It is very durable and of great beauty and cost. -- Bone lace, Brussels lace, etc. See under Bone, Brussels, etc. -- Gold lace, or Silver lace, lace having warp threads of silk, or silk and cotton, and a weft of silk threads covered with gold (or silver), or with gilt. -- Lace leather, thin, oil-tanned leather suitable for cutting into lacings for machine belts. -- Lace lizard (Zoöl.), a large, aquatic, Australian lizard (Hydrosaurus giganteus), allied to the monitors. -- Lace paper, paper with an openwork design in imitation of lace. -- Lace piece (Shipbuilding), the main piece of timber which supports the beak or head projecting beyond the stem of a ship. -- Lace pillow, and Pillow lace. See under Pillow.\n\n1. To fasten with a lace; to draw together with a lace passed through eyelet holes; to unite with a lace or laces, or, figuratively. with anything resembling laces. Shak. When Jenny's stays are newly laced. Prior. 2. To adorn with narrow strips or braids of some decorative material; as, cloth laced with silver. Shak. 3. To beat; to lash; to make stripes on. [Colloq.] I'll lace your coat for ye. L'Estrange. 4. To add spirits to (a beverage). [Old Slang]\n\nTo be fastened with a lace, or laces; as, these boots lace.
lace-bark |A shrub in the West Indies (Lagetta Iintearia); -- so called from the lacelike layers of its inner bark.
lace-winged |Having thin, transparent, reticulated wings; as, the lace- winged flies.
laced |1. Fastened with a lace or laces; decorated with narrow strips or braid. See Lace, v. t. 2. Decorated with the fabric lace. A shirt with laced ruffles. Fielding. Laced mutton, a prostitute. [Old slang] -- Laced stocking, a strong stocking which can be tightly laced; -- used in cases of weak legs, varicose veins, etc. Dunglison.
lacedaemonian |Of or pertaining to Lacedæmon or Sparta, the chief city of Laconia in the Peloponnesus. -- n.  A Spartan. [Written also Lacedemonian.]
laceman |A man who deals in lace.
lacerable |That can be lacerated or torn.
lacerate |To tear; to rend; to separate by tearing; to mangle; as, to lacerate the flesh. Hence: To afflict; to torture; as, to lacerate the heart.\n\n1. Rent; torn; mangled; as, a lacerated wound. By each other's fury lacerate Southey. 2. (Bot. & Zoöl.)  Jagged, or slashed irregularly, at the end, or along the edge.
lacerated |1. Rent; torn; mangled; as, a lacerated wound. By each other's fury lacerate Southey. 2. (Bot. & Zoöl.)  Jagged, or slashed irregularly, at the end, or along the edge.
laceration |1. The act of lacerating. 2. A breach or wound made by lacerating. Arbuthnot.
lacerative |Lacerating, or having the power to lacerate; as, lacerative humors. Harvey.
lacert |A muscle of the human body. [Obs.] Chaucer.
lacerta |A fathom. [Obs.] Domesday Book.\n\n1. (Zoöl.)  A genus of lizards. See Lizard. Note: Formerly it included nearly all the known lizards. It is now restricted to certain diurnal Old World species, like the green lizard (Lacerta viridis) and the sand lizard (L. agilis), of Europe. 2. (Astron.)  The Lizard, a northern constellation.
lacertian |Like a lizard; of or pertaining to the Lacertilia. -- n.  One of the Lacertilia.
lacertilia |An order of Reptilia, which includes the lizards. Note: They are closely related to the snakes, and life the latter, usually have the body covered with scales or granules. They usually have eyelids, and most of then have well-formed legs; but in some groups (amphisbæna, glass-snake, etc.) the legs are wanting and the body is serpentlike. None are venomous, unless Heloderma be an exception. The order includes the chameleons, the Cionocrania, or typical lizards, and the amphisbænas. See Amphisbæna, Gecko, Gila monster, and Lizard.
lacertilian |Same as Lacertian.
lacertiloid |Like or belonging to the Lacertilia.
lacertine |Lacertian.
lacertus |A bundle or fascicle of muscular fibers.
lacewing |Any one of several species of neuropterous insects of the genus Chrysopa and allied genera. They have delicate, lacelike wings and brilliant eyes. Their larvæ are useful in destroying aphids. Called also lace-winged fly, and goldeneyed fly.
lache |Neglect; negligence; remissness; neglect to do a thing at the proper time; delay to assert a claim. It ill became him to take advantage of such a laches with the eagerness of a shrewd attorney. Macaulay.
laches |Neglect; negligence; remissness; neglect to do a thing at the proper time; delay to assert a claim. It ill became him to take advantage of such a laches with the eagerness of a shrewd attorney. Macaulay.
lachrymable |Lamentable. Martin Parker.
lachrymae christi |A rich, sweet, red Neapolitan wine.
lachrymal |1. Of or pertaining to tears; as, lachrymal effusions. 2. (Anat.) (a) Pertaining to, or secreting, tears; as, the lachrymal gland. (b) Pertaining to the lachrymal organs; as, lachrymal bone; lachrymal duct.\n\nSee Lachrymatory.
lachrymals |Tears; also, lachrymal feelings or organs. [Colloq.] People go to the theaters to have . . . their risibles and lachrymals set agoing. The Lutheran.
lachrymary |Containing, or intended to contain, tears; lachrymal. Addison.
lachrymate |To weep. [R.] Blount.
lachrymation |The act of shedding tears; weeping.
lachrymatory |A \"tear-bottle;\" a narrow-necked vessel found in sepulchers of the ancient Romans; -- so called from a former notion that the tears of the deceased person's friends were collected in it. Called also lachrymal or lacrymal.
lachrymiform |Having the form of a tear; tear-shaped.
lachrymose |Generating or shedding tears; given to shedding tears; suffused with tears; tearful. You should have seen his lachrymose visnomy. Lamb. -- Lach\"ry*mose`ly, adv.
lacing |1. The act of securing, fastening, or tightening, with a lace or laces. 2. A lace; specifically (Mach.), a thong of thin leather for uniting the ends of belts. 3. A rope or line passing through eyelet holes in the edge of a sail or an awning to attach it to a yard, gaff, etc. 4. (Bridge Building)  A system of bracing bars, not crossing each other in the middle, connecting the channel bars of a compound strut. Waddell.
lacinia |1. (Bot.) (a) One of the narrow, jagged, irregular pieces or divisions which form a sort of fringe on the borders of the petals of some flowers. (b) A narrow, slender portion of the edge of a monophyllous calyx, or of any irregularly incised leaf. 2. (Zoöl.)  The posterior, inner process of the stipes on the maxillæ of insects.
laciniate |1. Fringed; having a fringed border. 2. (Bot. & Zoöl.)  Cut into deep, narrow, irregular lobes; slashed.
laciniated |1. Fringed; having a fringed border. 2. (Bot. & Zoöl.)  Cut into deep, narrow, irregular lobes; slashed.
laciniolate |Consisting of, or abounding in, very minute laciniæ.
lacinula |A diminutive lacinia.
lack |1. Blame; cause of blame; fault; crime; offense. [Obs.] Chaucer. 2. Deficiency; want; need; destitution; failure; as, a lack of sufficient food. She swooneth now and now for lakke of blood. Chaucer. Let his lack of years be no impediment. Shak.\n\n1. To blame; to find fault with. [Obs.] Love them and lakke them not. Piers Plowman. 2. To be without or destitute of; to want; to need. If any of you lack wisdom, let him ask of God. James i. 5.\n\n1. To be wanting; often, impersonally, with of, meaning, to be less than, short, not quite, etc. What hour now I think it lacks of twelve. Shak. Peradventure there shall lack five of the fifty. Gen. xvii. 28. 2. To be in want. The young lions do lack, and suffer hunger. Ps. xxxiv. 10.\n\nExclamation of regret or surprise. [Prov. Eng.] Cowper.
lackadaisical |Affectedly pensive; languidly sentimental. -- Lack`a*dai\"si*cal*ly, adv.
lackadaisy |An expression of languor.\n\nLackadaisical.
lackaday |Alack the day; alas; -- an expression of sorrow, regret, dissatisfaction, or surprise.
lackbrain |One who is deficient in understanding; a witless person. Shak.
lacker |One who lacks or is in want.\n\nSee Lacquer.
lackey |An attending male servant; a footman; a servile follower. Like a Christian footboy or a gentleman's lackey. Shak. Lackey caterpillar (Zoöl.), the caterpillar, or larva, of any bombycid moth of the genus Clisiocampa; -- so called from its party- colored markings. The common European species (C. neustria) is striped with blue, yellow, and red, with a white line on the back. The American species (C. Americana and C. sylvatica) are commonly called tent caterpillars. See Tent caterpillar,under Tent. -- Lackey moth (Zoöl.), the moth which produces the lackey caterpillar.\n\nTo attend as a lackey; to wait upon. A thousand liveried angels lackey her. Milton.\n\nTo act or serve as lackey; to pay servile attendance.
lackluster |A want of luster. -- a.  Wanting luster or brightness. \"Lackluster eye.\" Shak.
lacklustre |A want of luster. -- a.  Wanting luster or brightness. \"Lackluster eye.\" Shak.
lacmus |See Litmus.
laconian |Of or pertaining to Laconia, a division of ancient Greece; Spartan. -- n.  An inhabitant of Laconia; esp., a Spartan.
laconic |1. Expressing much in few words, after the manner of the Laconians or Spartans; brief and pithy; brusque; epigrammatic. In this sense laconic is the usual form. I grow laconic even beyond laconicism; for sometimes I return only yes, or no, to questionary or petitionary epistles of half a yard long. Pope. His sense was strong and his style laconic. Welwood. 2. Laconian; characteristic of, or like, the Spartans; hence, stern or severe; cruel; unflinching. His head had now felt the razor, his back the rod; all that laconical discipline pleased him well. Bp. Hall. Syn. -- Short; brief; concise; succinct; sententious; pointed; pithy. -- Laconic, Concise. Concise means without irrelevant or superfluous matter; it is the opposite of diffuse. Laconic means concise with the additional quality of pithiness, sometimes of brusqueness.\n\nLaconism. [Obs.] Addison.
laconical |1. Expressing much in few words, after the manner of the Laconians or Spartans; brief and pithy; brusque; epigrammatic. In this sense laconic is the usual form. I grow laconic even beyond laconicism; for sometimes I return only yes, or no, to questionary or petitionary epistles of half a yard long. Pope. His sense was strong and his style laconic. Welwood. 2. Laconian; characteristic of, or like, the Spartans; hence, stern or severe; cruel; unflinching. His head had now felt the razor, his back the rod; all that laconical discipline pleased him well. Bp. Hall. Syn. -- Short; brief; concise; succinct; sententious; pointed; pithy. -- Laconic, Concise. Concise means without irrelevant or superfluous matter; it is the opposite of diffuse. Laconic means concise with the additional quality of pithiness, sometimes of brusqueness.\n\nSee Laconic, a.
laconically |In a laconic manner.
laconicism |Same as Laconism. Pope.
laconism |1. A vigorous, brief manner of expression; laconic style. 2. An instance of laconic style or expression.
laconize |To imitate the manner of the Laconians, especially in brief, pithy speech, or in frugality and austerity.
lacquer |A varnish, consisting of a solution of shell-lac in alcohol, often colored with gamboge, saffron, or the like; -- used for varnishing metals, papier-maché, and wood. The name is also given to varnishes made of other ingredients, esp. the tough, solid varnish of the Japanese, with which ornamental objects are made.\n\nTo cover with lacquer. \"Lacquer'd chair.\" Pope.
lacquerer |One who lacquers, especially one who makes a business of lacquering.
lacquering |The act or business of putting on lacquer; also, the coat of lacquer put on.
lacrimoso |Plaintive; -- a term applied to a mournful or pathetic movement or style. Moore.
lacrosse |A game of ball, originating among the North American Indians, now the popular field sport of Canada, and played also in England and the United States. Each player carries a long-handled racket, called a \"crosse\". The ball is not handled but caught with the crosse and carried on it, or tossed from it, the object being to carry it or throw it through one of the goals placed at opposite ends of the field.
lacrymal |See Lachrymatory, n., and Lachrymal, a.
lacrymary |See Lachrymary, Lachrymatory, Lachrymose.
lacrymose |See Lachrymary, Lachrymatory, Lachrymose.
lacrytory |See Lachrymary, Lachrymatory, Lachrymose.
lactage |The produce of animals yielding milk; milk and that which is made from it.
lactam |One of a series of anhydrides of an amido type, analogous to the lactones, as oxindol.
lactamic |Pertaining to, or designating, an amido acid related to lactic acid, and called also amido-propionic acid.
lactamide |An acid amide derived from lactic acid, and obtained as a white crystalline substance having a neutral reaction. It is metameric with alanine.
lactant |Suckling; giving suck.
lactarene |A preparation of casein from milk, used in printing calico.
lactary |Milky; full of white juice like milk. [Obs.] \"Lactary or milky plants.\" Sir T. Browne.\n\na dairyhouse. [R.]
lactate |A salt of lactic acid.
lactation |A giving suck; the secretion and yielding of milk by the mammary gland.
lacteal |1. Pertaining to, or resembling, milk; milky; as, the lacteal fluid. 2. (Anat. & Physiol.)  Pertaining to, or containing, chyle; as, the lacteal vessels.\n\nOne of the lymphatic vessels which convey chyle from the small intestine through the mesenteric glands to the thoracic duct; a chyliferous vessel.
lacteally |Milkily; in the manner of milk.
lactean |1. Milky; consisting of, or resembling, milk. \"This lactean whiteness.\" Moxon. 2. (Anat. & Physiol.)  Lacteal; conveying chyle.
lacteous |1. Milky; resembling milk. \"The lacteous circle.\" Sir T. Browne. 2. Lacteal; conveying chyle; as, lacteous vessels.
lacteously |In a lacteous manner; after the manner of milk.
lactescence |1. The state or quality of producing milk, or milklike juice; resemblance to milk; a milky color. This lactescence does commonly ensue when . . . fair water is suddenly poured upon the solution. Boyle. 2. (Bot.)  The latex of certain plants. See Latex.
lactescent |1. Having a milky look; becoming milky. [Obs.] 2. (Bot.)  Producing milk or a milklike juice or fluid, as the milkweed. See Latex.
lactic |Of or pertaining to milk; procured from sour milk or whey; as, lactic acid; lactic fermentation, etc. Lactic acid (Physiol. Chem.), a sirupy, colorless fluid, soluble in water, with an intensely sour taste and strong acid reaction. There are at least three isomeric modifications all having the formula C3H6O3. Sarcolactic or paralactic acid occurs chiefly in dead muscle tissue, while ordinary lactic acid results from fermentation. The two acids are alike in having the same constitution (expressed by the name ethylidene lactic acid), but the latter is optically inactive, while sarcolactic acid rotates the plane of polarization to the right. The third acid, ethylene lactic acid, accompanies sarcolactic acid in the juice of flesh, and is optically inactive. -- Lactic ferment, an organized ferment (Bacterium lacticum or lactis), which produces lactic fermentation, decomposing the sugar of milk into carbonic and lactic acids, the latter, of which renders the milk sour, and precipitates the casein, thus giving rise to the so- called spontaneous coagulation of milk. -- Lactic fermentation. See under Fermentation.
lactide |A white, crystalline substance, obtained from also, by extension, any similar substance.
lactiferous |Bearing or containing milk or a milky fluid; as, the lactiferous vessels, cells, or tissue of various vascular plants.
lactific |Producing or yielding milk.
lactifical |Producing or yielding milk.
lactifuge |A medicine to check the secretion of milk, or to dispel a supposed accumulation of milk in any part of the body.
lactim |One of a series of anhydrides resembling the lactams, but of an imido type; as, isatine is a lactim. Cf. Lactam.
lactimide |A white, crystalline substance obtained as an anhydride of alanine, and regarded as an imido derivative of lactic acid.
lactin |See Lactose.
lactoabumin |The albumin present on milk, apparently identical with ordinary serum albumin. It is distinct from the casein of milk.
lactobutyrometer |An instrument for determining the amount of butter fat contained in a given sample of milk.
lactodensimeter |A form of hydrometer, specially graduated, for finding the density of milk, and thus discovering whether it has been mixed with water or some of the cream has been removed.
lactometer |An instrument for estimating the purity or richness of milk, as a measuring glass, a specific gravity bulb, or other apparatus.
lactone |One of a series of organic compounds, regarded as anhydrides of certain hydroxy acids. In general, they are colorless liquids, having a weak aromatic odor. They are so called because the typical lactone is derived from lactic acid.
lactonic |Of, pertaining to, or derived from, lactone.\n\nPertaining to, or designating, an acid obtained by the oxidation of milk sugar (lactose).
lactoprotein |A peculiar albuminous body considered a normal constituent of milk.
lactory |Lactiferous. [Obs.] \"Lactory or milky plants.\" Sir T. Browne.
lactoscope |An instrument for estimating the amount of cream contained in milk by ascertaining its relative opacity.
lactose |1. (Physiol. Chem.)  Sugar of milk or milk sugar; a crystalline sugar present in milk, and separable from the whey by evaporation and crystallization. It has a slightly sweet taste, is dextrorotary, and is much less soluble in water than either cane sugar or glucose. Formerly called lactin. 2. (Chem.)  See Galactose.
lactuca |A genus of composite herbs, several of which are cultivated foe salad; lettuce.
lactucarium |The inspissated juice of the common lettuce, sometimes used as a substitute for opium.
lactucic |Pertaining to, or derived from, the juice of the Lactuca virosa; -- said of certain acids.
lactucin |A white, crystalline substance, having a bitter taste and a neutral reaction, and forming one of the essential ingredients of lactucarium.
lactucone |A white, crystalline, tasteless substance, found in the milky sap of species of Lactuca, and constituting an essential ingredient of lactucarium.
lacturamic |Pertaining to, or designating, an organic amido acid, which is regarded as a derivative of lactic acid and urea.
lactyl |An organic residue or radical derived from lactic acid.
lacuna |1. A small opening; a small pit or depression; a small blank space; a gap or vacancy; a hiatus. 2. (Biol.)  A small opening; a small depression or cavity; a space, as a vacant space between the cells of plants, or one of the spaces left among the tissues of the lower animals, which serve in place of vessels for the circulation of the body fluids, or the cavity or sac, usually of very small size, in a mucous membrane.
lacunal |Pertaining to, or having, lacunæ; as, a lacunar circulation.
lacunar |Pertaining to, or having, lacunæ; as, a lacunar circulation.\n\n(a) The ceiling or under surface of any part, especially when it consists of compartments, sunk or hollowed without spaces or bands between the panels. Gwilt (b) One of the sunken panels in such a ceiling.
lacune |A lacuna. [R.] Landor.
lacunose |Furrowed or pitted; having shallow cavities or lacunæ; as, a lacunose leaf.
lacunous |Furrowed or pitted; having shallow cavities or lacunæ; as, a lacunose leaf.
lacustral |Found in, or pertaining to, lakes or ponds, or growing in them; as, lacustrine flowers. Lacustrine deposits (Geol.), the deposits which have been accumulated in fresh-water areas. -- Lacustrine dwellings. See Lake dwellings, under Lake.
lacustrine |Found in, or pertaining to, lakes or ponds, or growing in them; as, lacustrine flowers. Lacustrine deposits (Geol.), the deposits which have been accumulated in fresh-water areas. -- Lacustrine dwellings. See Lake dwellings, under Lake.
lacwork |Ornamentation by means of lacquer painted or carved, or simply colored, sprinkled with gold or the like; -- said especially of Oriental work of this kind.
lad |of Lead, to guide Chaucer.\n\n1. A boy; a youth; a stripling. \"Cupid is a knavish lad.\" Shak. There is a lad here, which hath fire barley loaves and two small fishes. John vi. 9. 2. A companion; a comrade; a mate. Lad's love. (Bot.) See Boy's love, under Boy.
ladanum |A gum resin gathered from certain Oriental species of Cistus. It has a pungent odor and is chiefly used in making plasters, and for fumigation. [Written also labdanum.]
ladde |of Lead, to guide. Chaucer.
ladder |1. A frame usually portable, of wood, metal, or rope, for ascent and descent, consisting of two side pieces to which are fastened cross strips or rounds forming steps. Some the engines play, And some, more bold, mount ladders to the fire. Dryden. 2. That which resembles a ladder in form or use; hence, that by means of which one attains to eminence. Lowliness is young ambition's ladder. Shak. Fish ladder. See under Fish. -- Ladder beetle (Zoöl.), an American leaf beetle (Chrysomela scalaris). The elytra are silvery white, striped and spotted with green; the under wings are rose-colored. It feeds upon the linden tree. -- Ladder handle, an iron rail at the side of a vertical fixed ladder, to grasp with the hand in climbing. -- Ladder shell (Zoöl.), a spiral marine shell of the genus Scalaria. See Scalaria.
laddie |A lad; a male sweetheart. [Scot.]
lade |1. To load; to put a burden or freight on or in; -- generally followed by that which receives the load, as the direct object. And they laded their asses with the corn. Gen. xlii. 26. 2. To throw in out. with a ladle or dipper; to dip; as, to lade water out of a tub, or into a cistern. And chides the sea that sunders him from thence, Saying, he'll lade it dry to have his way. Shak. 3. (Plate Glass Manuf.)  To transfer (the molten glass) from the pot to the forming table.\n\n1. To draw water. [Obs.] 2. (Naut.)  To admit water by leakage, as a ship, etc.\n\n1. The mouth of a river. [Obs.] Bp. Gibson. 2. A passage for water; a ditch or drain. [Prov. Eng.]
lademan |One who leads a pack horse; a miller's servant. [Obs. or Local]
laden |Loaded; freighted; burdened; as, a laden vessel; a laden heart. Ah sinful nation, a people laden with iniquity. Is. i. 4. A ship laden with gold. Shak.
ladied |Ladylike; not rough; gentle. [Obs.] \"Stroked with a ladied land.\" Feltham. LADIES' EARDROPS La\"dies' ear`drops`. (Bot.)  The small-flowered Fuchsia (F. coccinea), and other closely related species.
ladify |To make a lady of; to make ladylike. [Obs.] Massinger.
ladin |A Romansch dialect spoken in some parts of Switzerland and the Tyrol.
lading |1. The act of loading. 2. That which lades or constitutes a load or cargo; freight; burden; as, the lading of a ship. Bill of lading. See under Bill.
ladino |One of the half-breed descendants of whites and Indians; a mestizo; -- so called throughout Central America. They are usually of a yellowish orange tinge. Am. Cyc.
ladkin |A little lad. [R.] Dr. H. More.
ladle |1. A cuplike spoon, often of large size, with a long handle, used in lading or dipping. When the materials of glass have been kept long in fusion, the mixture casts up the superfluous salt, which the workmen take off with ladles. Boyle. 2. (Founding)  A vessel to carry liquid metal from the furnace to the mold. 3. The float of a mill wheel; -- called also ladle board. 4. (Gun.) (a) An instrument for drawing the charge of a cannon. (b) A ring, with a handle or handles fitted to it, for carrying shot. Ladle wood (Bot.), the wood of a South African tree (Cassine Colpoon), used for carving.\n\nTo take up and convey in a ladle; to dip with, or as with, a ladle; as, to ladle out soup; to ladle oatmeal into a kettle.
ladleful |A quantity sufficient to fill a ladle.
ladrone |A robber; a pirate; hence, loosely, a rogue or rascal.
lady |1. A woman who looks after the domestic affairs of a family; a mistress; the female head of a household. Agar, the handmaiden of Sara, whence comest thou, and whither goest thou The which answered, Fro the face of Sara my lady. Wyclif (Gen. xvi. 8.). 2. A woman having proprietary rights or authority; mistress; -- a feminine correlative of lord. \"Lord or lady of high degree.\" Lowell. Of all these bounds, even from this line to this, . . . We make thee lady. Shak. 3. A woman to whom the particular homage of a knight was paid; a woman to whom one is devoted or bound; a sweetheart. The soldier here his wasted store supplies, And takes new valor from his lady's eyes. Waller. 4. A woman of social distinction or position. In England, a title prefixed to the name of any woman whose husband is not of lower rank than a baron, or whose father was a nobleman not lower than an earl. The wife of a baronet or knight has the title of Lady by courtesy, but not by right. 5. A woman of refined or gentle manners; a well-bred woman; -- the feminine correlative of gentleman. 6. A wife; -- not now in approved usage. Goldsmith. 7. (Zoöl.)  The triturating apparatus in the stomach of a lobster; -- so called from a fancied resemblance to a seated female figure. It consists of calcareous plates. Ladies' man, a man who affects the society of ladies. -- Lady altar, an altar in a lady chapel. Shipley. -- Lady chapel, a chapel dedicated to the Virgin Mary. -- Lady court, the court of a lady of the manor. -- Lady crab (Zoöl.), a handsomely spotted swimming crab (Platyonichus ocellatus) very common on the sandy shores of the Atlantic coast of the United States. -- Lady fern. (Bot.) See Female fern, under Female, and Illust. of Fern. -- Lady in waiting, a lady of the queen's household, appointed to wait upon or attend the queen. -- Lady Mass, a Mass said in honor of the Virgin Mary. Shipley. Lady of the manor, a lady having jurisdiction of a manor; also, the wife of a manor lord. Lady's maid, a maidservant who dresses and waits upon a lady. Thackeray. -- Our Lady, the Virgin Mary.\n\nBelonging or becoming to a lady; ladylike. \"Some lady trifles.\" Shak.
lady day |The day of the annunciation of the Virgin Mary, March 25. See Annunciation.\n\nThe day of the annunciation of the Virgin Mary, March 25. See Annunciation.
