hortatory |Giving exhortation or advise; encouraging; exhortatory; inciting; as, a hortatory speech. Holland.
hundred |1. The product of ten mulitplied by ten, or the number of ten times ten; a collection or sum, consisting of ten times ten units or objects; five score. Also, a symbol representing one hundred units, as 100 or C. With many hundreds treading on his heels. Shak. Note: The word hundred, as well as thousand, million, etc., often takes a plural form. We may say hundreds, or many hundreds, meaning individual objects or units, but with an ordinal numeral adjective in constructions like five hundreds, or eight hundreds, it is usually intended to consider each hundred as a separate aggregate; as, ten hundreds are one thousand. 2. A division of a country in England, supposed to have originally contained a hundred families, or freemen. Hundred court, a court held for all the inhabitants of a hundred. [Eng.] Blackstone.\n\nTen times ten; five score; as, a hundred dollars.
hundreder |1. An inhabitant or freeholder of a hundred. 2. (Law)  A person competent to serve on a jury, in an action for land in the hundred to which he belongs. 3. One who has the jurisdiction of a hundred; and sometimes, a bailiff of a hundred. Blount. Cowell.
hundredfold |A hundred times as much or as many. He shall receive as hundredfold now in this time. Mark x. 30.
hundredth |1. Coming last of a hundred successive individuals or units. 2. Forming one of a hundred equal parts into which anything is divided; the tenth of a tenth.\n\nOne of a hundred equal parts into which one whole is, or may be, divided; the quotient of a unit divided by a hundred.
hundredweight |A denomination of weight, containing 100, 112, or 120 pounds avoirdupois, according to differing laws or customs. By the legal standard of England it is 112 pounds. In most of the United States, both in practice and by law, it is 100 pounds avoirdupois, the corresponding ton of 2,000 pounds, sometimes called the short ton, beingthe legal ton.
hung |of Hang. Hung beef, the fleshy part of beef slightly salted and hung up to dry; dried beef.
hungarian |Of or pertaining to Hungary or to the people of Hungary. -- n.  A native or one of the people of Hungary. Hungarian grass. See Italian millet, under Millet.
hungary |A country in Central Europe, now a part of the Austro-Hungarian Empire. Hungary water, a distilled \"water,\" made from dilute alcohol aromatized with rosemary flowers, etc.
hunger |1. An uneasy sensation occasioned normally by the want of food; a craving or desire for food. Note: The sensation of hunger is usually referred to the stomach, but is probably dependent on excitation of the sensory nerves, both of the stomach and intestines, and perhaps also on indirect impressions from other organs, more or less exhausted from lack of nutriment. 2. Any strong eager desire. O sacred hunger of ambitious minds! Spenser. For hunger of my gold I die. Dryden.\n\n1. To feel the craving or uneasiness occasioned by want of food; to be oppressed by hunger. 2. To have an eager desire; to long. Blessed are they which do hunger and thirst after righteouness. Matt. v. 6.\n\nTo make hungry; to famish.
hunger-bit |Pinched or weakened by hunger. [Obs.] Milton.
hunger-bitten |Pinched or weakened by hunger. [Obs.] Milton.
hunger-starve |To starve with hunger; to famish. [Obs.] Shak.
hungered |Hungry; pinched for food. [Obs.] Milton.
hungerer |One who hungers; one who longs. Lamb.
hungerly |Wanting food; starved. [Obs.] Shak.\n\nWith keen appetite. [Obs.] Shak.
hungred |Hungered; hungry. [Archaic]
hungrily |In a hungry manner; voraciously. Dryden.
hungry |1. Feeling hunger; having a keen appetite; feeling uneasiness or distress from want of food; hence, having an eager desire. 2. Showing hunger or a craving desire; voracious. The cruel, hungry foam. C. Kingsley. Cassius has a lean and hungry look. Shak. 3. Not rich or fertile; poor; barren; starved; as, a hungry soil. \"The hungry beach.\" Shak.
hunk |A large lump or piece; a hunch; as, a hunk of bread. [Colloq.]
hunker |Originally, a nickname for a member of the conservative section of the Democratic party in New York; hence, one opposed to progress in general; a fogy. [Political Cant, U.S.]
hunkerism |Excessive conservatism; hostility to progress. [Political Cant, U.S.]
hunkers |In the phrase on one's hunkers, in a squatting or crouching position. [Scot. & Local, U. S.] Sit on your hunkers -- and pray for the bridge. Kipling.
hunks |A covetous, sordid man; a miser; a niggard. Pray make your bargain with all the prudence and selfishness of an old hunks. Gray.
hunky |All right; in a good condition; also, even; square. [Slang, U. S.] He . . . began to shoot; began to get \"hunky\" with all those people who had been plugging at him. Stephen Crane.
hunt |1. To search for or follow after, as game or wild animals; to chase; to pursue for the purpose of catching or killing; to follow with dogs or guns for sport or exercise; as, to hunt a deer. Like a dog, he hunts in dreams. Tennyson. 2. To search diligently after; to seek; to pursue; to follow; -- often with out or up; as, to hunt up the facts; to hunt out evidence. Evil shall hunt the violent man to overthrow him. Ps. cxl. 11. 3. To drive; to chase; -- with down, from, away, etc.; as, to hunt down a criminal; he was hunted from the parish. 4. To use or manage in the chase, as hounds. He hunts a pack of dogs. Addison. 5. To use or traverse in pursuit of game; as, he hunts the woods, or the country.\n\n1. To follow the chase; to go out in pursuit of game; to course with hounds. Esau went to the field to hunt for venison. Gen. xxvii. 5. 2. To seek; to pursue; to search; -- with for or after. He after honor hunts, I after love. Shak. To hunt counter, to trace the scent backward in hunting, as a hound to go back on one's steps. [Obs.] Shak.\n\n1. The act or practice of chasing wild animals; chase; pursuit; search. The hunt is up; the morn is bright and gray. Shak. 2. The game secured in the hunt. [Obs.] Shak. 3. A pack of hounds. [Obs.] 4. An association of huntsmen. 5. A district of country hunted over. Every landowner within the hunt. London Field.
hunt-counter |A worthless dog that runs back on the scent; a blunderer. [Obs.] Shak.
hunte |A hunter. [Obs.] Chaucer.
hunter |1. One who hunts wild animals either for sport or for food; a huntsman. 2. A dog that scents game, or is trained to the chase; a hunting dog. Shak. 3. A horse used in the chase; especially, a thoroughbred, bred and trained for hunting. 4. One who hunts or seeks after anything, as if for game; as, a fortune hunter a place hunter. No keener hunter after glory breathes. Tennyson. 5. (Zoöl.)  A kind of spider. See Hunting spider, under Hunting. 6. A hunting watch, or one of which the crystal is protected by a metallic cover. Hunter's room, the lunation after the harvest moon. -- Hunter's screw (Mech.), a differential screw, so named from the inventor. See under Differential.
hunterian |Discovered or described by John Hunter, an English surgeon; as, the Hunterian chancre. See Chancre.
hunting |The pursuit of game or of wild animals. A. Smith. Happy hunting grounds, the region to which, according to the belief of American Indians, the souls of warriors and hunters pass after death, to be happy in hunting and feasting. Tylor. -- Hunting box. Same As Hunting lodge (below). -- Hunting cat (Zoöl.), the cheetah. -- Hunting cog (Mach.), a tooth in the larger of two geared wheels which makes its number of teeth prime to the number in the smaller wheel, thus preventing the frequent meeting of the same pairs of teeth. -- Hunting dog (Zoöl.), the hyena dog. -- Hunting ground, a region or district abounding in game; esp. (pl.), the regions roamed over by the North American Indians in search of game. -- Hunting horn, a bulge; a horn used in the chase. See Horn, and Bulge. -- Hunting leopard (Zoöl.), the cheetah. -- Hunting lodge, a temporary residence for the purpose of hunting. -- Hunting seat, a hunting lodge. Gray. -- Hunting shirt, a coarse shirt for hunting, often of leather. -- Hunting spider (Zoöl.), a spider which hunts its prey, instead of catching it in a web; a wolf spider. -- Hunting watch. See Hunter, 6.
huntress |A woman who hunts or follows the chase; as, the huntress Diana. Shak.
huntsman |1. One who hunts, or who practices hunting. 2. The person whose office it is to manage the chase or to look after the hounds. L'Estrange. Huntsman's cup (Bot.), the sidesaddle flower, or common American pitcher plant (Sarracenia purpurea).
huntsmanship |The art or practice of hunting, or the qualification of a hunter. Donne. HUNT'S-UP Hunt's\"-up`, n.  A tune played on the horn very early in the morning to call out the hunters; hence, any arousing sound or call. [Obs.] Shak. Time plays the hunt's-up to thy sleepy head. Drayton.
hurden |A coarse kind of linen; -- called also harden. [Prov. Eng.]
hurdle |1. A movable frame of wattled twigs, osiers, or withes and stakes, or sometimes of iron, used for inclosing land, for folding sheep and cattle, for gates, etc.; also, in fortification, used as revetments, and for other purposes. 2. In England, a sled or crate on which criminals were formerly drawn to the place of execution. Bacon. 3. An artificial barrier, variously constructed, over which men or horses leap in a race. Hurdle race, a race in which artificial barriers in the form of hurdles, fences, etc., must be leaped.\n\nTo hedge, cover, make, or inclose with hurdles. Milton.
hurdlework |Work after manner of a hurdle.
hurds |The coarse part of flax or hemp; hards.
hurdy-gurdy |1. A stringled instrument, lutelike in shape, in which the sound is produced by the friction of a wheel turned by a crank at the end, instead of by a bow, two of the strings being tuned as drones, while two or more, tuned in unison, are modulated by keys. 2. In California, a water wheel with radial buckets, driven by the impact of a jet.
hurkaru |In India, a running footman; a messenger. [Written also hurkaroo.]
hurl |1. To send whirling or whizzing through the air; to throw with violence; to drive with great force; as, to hurl a stone or lance. And hurl'd them headlong to their fleet and main. Pope. 2. To emit or utter with vehemence or impetuosity; as, to hurl charges or invective. Spenser. 3. Etym: [Cf. Whirl.]  To twist or turn. \"Hurled or crooked feet.\" [Obs.] Fuller.\n\n1. To hurl one's self; to go quickly. [R.] 2. To perform the act of hurling something; to throw something (at another). God shall hurl at him and not spare. Job xxvii. 22 (Rev. Ver. ). 3. To play the game of hurling. See Hurling.\n\n1. The act of hurling or throwing with violence; a cast; a fling. Congreve. 2. Tumult; riot; hurly-burly. [Obs.] Knolles. 3. (Hat Manuf.)  A table on which fiber is stirred and mixed by beating with a bowspring.
hurlbat |See Whirlbat. [Obs.] Holland.
hurlbone |1. See Whirlbone. 2. (Far.)  A bone near the middle of the buttock of a horse. Crabb.
hurler |One who hurls, or plays at hurling.
hurling |1. The act of throwing with force. 2. A kind of game at ball, formerly played. Hurling taketh its denomination from throwing the ball. Carew.
hurlwind |A whirlwind. [Obs.] Sandys.
hurly |Noise; confusion; uproar. That, with the hurly, death itself awakes. Shak.
hurly-burly |Tumult; bustle; confusion. Shak. All places were filled with tumult and hurly-burly. Knolles.
huron-iroquous |A linguistic group of warlike North American Indians, belonging to the same stock as the Algonquins, and including several tribes, among which were the Five Nations. They formerly occupied the region about Lakes Erie and Ontario, and the larger part of New York.
huronian |Of or pertaining to certain non-fossiliferous rocks on the borders of Lake Huron, which are supposed to correspond in time to the latter part of the Archæan age.
hurons |; sing. Huron. (Ethnol.) A powerful and warlike tribe of North American Indians of the Algonquin stock. They formerly occupied the country between Lakes Huron, Erie, and Ontario, but were nearly exterminated by the Five Nations about 1650.
hurr |To make a rolling or burring sound. [Obs.] R is the dog's letter, and hurreth in the sound. B. Jonson.
hurra |A word used as a shout of joy, triumph, applause, encouragement, or welcome. Hurrah! hurrah! for Ivry and Henry of Navarre. Macaulay.
hurrah |A word used as a shout of joy, triumph, applause, encouragement, or welcome. Hurrah! hurrah! for Ivry and Henry of Navarre. Macaulay.\n\nA cheer; a shout of joy, etc. Hurrah's nest, state of utmost confusion. [Colloq. U.S.] A perfect hurrah's nest in our kitchen. Mrs. Stowe.\n\nTo utter hurrahs; to huzza.\n\nTo salute, or applaud, with hurrahs.
hurricane |A violent storm, characterized by extreme fury and sudden changes of the wind, and generally accompanied by rain, thunder, and lightning; -- especially prevalent in the East and West Indies. Also used figuratively. Like the smoke in a hurricane whirl'd. Tennyson. Each guilty thought to me is A dreadful hurricane. Massinger. Hurricane bird (Zoöl.), the frigate bird. -- Hurricane deck. (Naut.) See under Deck.
hurricano |A waterspout; a hurricane. [Obs.] Drayton. \"You cataracts and hurricanoes, spout.\" Shak.
hurried |1. Urged on; hastened; going or working at speed; as, a hurried writer; a hurried life. 2. Done in a hurry; hence, imperfect; careless; as, a hurried job. \"A hurried meeting.\" Milton. -- Hur\"ried*ly, adv. -- Hur\"ried*ness, n.
hurrier |One who hurries or urges.
hurries |A staith or framework from which coal is discharged from cars into vessels.
hurry |1. To hasten; to impel to greater speed; to urge on. Impetuous lust hurries him on. South. They hurried him abroad a bark. Shak. 2. To impel to precipitate or thoughtless action; to urge to confused or irregular activity. And wild amazement hurries up and down The little number of your doubtful friends. Shak. 3. To cause to be done quickly. Syn. -- To hasten; precipitate; expedite; quicken; accelerate; urge.\n\nTo move or act with haste; to proceed with celerity or precipitation; as, let us hurry. To hurry up, to make haste. [Colloq.]\n\nThe act of hurrying in motion or business; pressure; urgency; bustle; confusion. Ambition raises a tumult in the soul, it inflames the mind, and puts into a violent hurry of thought. Addison. Syn. -- Haste; speed; dispatch. See Haste.
hurry-skurry |Confusedly; in a bustle. [Obs.] Gray.
hurryingly |In a hurrying manner.
hurst |A wood or grove; -- a word used in the composition of many names, as in Hazlehurst.
hurt |(a) A band on a trip-hammer helve, bearing the trunnions. (b) A husk. See Husk, 2.\n\n1. To cause physical pain to; to do bodily harm to; to wound or bruise painfully. The hurt lion groans within his den. Dryden. 2. To impar the value, usefulness, beauty, or pleasure of; to damage; to injure; to harm. Virtue may be assailed, but never hurt. Milton. 3. To wound the feelings of; to cause mental pain to; to offend in honor or self-respect; to annoy; to grieve. \"I am angry and hurt.\" Thackeray.
hurter |1. A bodily injury causing pain; a wound, bruise, or the like. The pains of sickness and hurts . . . all men feel. Locke. 2. An injury causing pain of mind or conscience; a slight; a stain; as of sin. But the jingling of the guinea helps the hurt that Honor feels. Tennyson. 3. Injury; damage; detriment; harm; mischief. Thou dost me yet but little hurt. Shak. Syn. -- Wound; bruise; injury; harm; damage; loss; detriment; mischief; bane; disadvantage.\n\nOne who hurts or does harm. I shall not be a hurter, if no helper. Beau. & Fl.\n\nA butting piece; a strengthening piece, esp.: (Mil.) A piece of wood at the lower end of a platform, designed to prevent the wheels of gun carriages from injuring the parapet.
hurtful |Tending to impair or damage; injurious; mischievous; occasioning loss or injury; as, hurtful words or conduct. Syn. -- Pernicious; harmful; baneful; prejudicial; detrimental; disadvantageous; mischievous; injurious; noxious; unwholesome; destructive. -- Hurt\"ful*ly, adv. -- Hurt\"ful*ness, n.
hurtle |1. To meet with violence or shock; to clash; to jostle. Together hurtled both their steeds. Fairfax. 2. To move rapidly; to wheel or rush suddenly or with violence; to whirl round rapidly; to skirmish. Now hurtling round, advantage for to take. Spenser. Down the hurtling cataract of the ages. R. L. Stevenson. 3. To make a threatening sound, like the clash of arms; to make a sound as of confused clashing or confusion; to resound. The noise of battle hurtled in the air. Shak. The earthquake sound Hurtling 'death the solid ground. Mrs. Browning.\n\n1. To move with violence or impetuosity; to whirl; to brandish. [Obs.] His harmful club he gan to hurtle high. Spenser. 2. To push; to jostle; to hurl. And he hurtleth with his horse adown. Chaucer.
hurtleberry |See Whortleberry.
hurtless |Doing no injury; harmless; also, unhurt; without injury or harm. Gentle dame so hurtless and so true. Spenser. -- Hurt\"less*ly, adv. -- Hurt\"less*ness, n.
husband |1. The male head of a household; one who orders the economy of a family. [Obs.] 2. A cultivator; a tiller; a husbandman. [Obs.] Shak. The painful husband, plowing up his ground. Hakewill. He is the neatest husband for curious ordering his domestic and field accommodations. Evelyn. 3. One who manages or directs with prudence and economy; a frugal person; an economist. [R.] God knows how little time is left me, and may I be a good husband, to improve the short remnant left me. Fuller. 4. A married man; a man who has a wife; -- the correlative to wife. The husband and wife are one person in law. Blackstone. 5. The male of a pair of animals. [R.] Dryden. A ship's husband (Naut.), an agent representing the owners of a ship, who manages its expenses and receipts.\n\n1. To direct and manage with frugality; to use or employ to good purpose and the best advantage; to spend, apply, or use, with economy. For my means, I'll husband them so well, They shall go far. Shak. 2. To cultivate, as land; to till. [R.] Land so trim and rarely husbanded. Evelyn. 3. To furnish with a husband. [R.] Shak.
husbandable |Capable of being husbanded, or managed with economy. Sherwood.
husbandage |The commission or compensation allowed to a ship's husband.
husbandless |Destitute of a husband. Shak.
husbandly |Frugal; thrifty. [R.] Tusser.
husbandman |1. The master of a family. [Obs.] Chaucer. 2. A farmer; a cultivator or tiller of the ground.
husbandry |1. Care of domestic affairs; economy; domestic management; thrift. There's husbandry in heaven; Their candles are all out. Shak. 2. The business of a husbandman, comprehending the various branches of agriculture; farming. Husbandry supplieth all things necessary for food. Spenser.
hush |1. To still; to silence; to calm; to make quiet; to repress the noise or clamor of. My tongue shall hush again this storm of war. Shak. 2. To appease; to allay; to calm; to soothe. With thou, then, Hush my cares Otway. And hush'd my deepest grief of all. Tennyson. To hush up, to procure silence concerning; to suppress; to keep secret. \"This matter is hushed up.\" Pope.\n\nTo become or to keep still or quiet; to become silent; -- esp. used in the imperative, as an exclamation; be still; be silent or quiet; make no noise. Hush, idle words, and thoughts of ill. Keble. But all these strangers' presence every one did hush. Spenser.\n\nStillness; silence; quiet. [R.] \"It is the hush of night.\" Byron. Hush money, money paid to secure silence, or to prevent the disclosure of facts. Swift.\n\nSilent; quiet. \"Hush as death.\" Shak.
husher |An usher. [Obs.] Spenser.
hushing |The process of washing ore, or of uncovering mineral veins, by a heavy discharge of water from a reservoir; flushing; -- also called booming.
husk |1. The external covering or envelope of certain fruits or seeds; glume; hull; rind; in the United States, especially applied to the covering of the ears of maize. 2. The supporting frame of a run of millstones. Husks of the prodigal son (Bot.), the pods of the carob tree. See Carob.\n\nTo strip off the external covering or envelope of; as, to husk Indian corn.
husked |1. Covered with a husk. 2. Stripped of husks; deprived of husks.
huskily |In a husky manner; dryly.
huskiness |1. The state of being husky. 2. Roughness of sound; harshness; hoarseness; as, huskiness of voice. G. Eliot.
husking |1. The act or process of stripping off husks, as from Indian corn. 2. A meeting of neighbors or friends to assist in husking maize; -- called also husking bee. [U.S.] \"A red ear in the husking.\" Longfellow.
husky |Abounding with husks; consisting of husks. Dryden.\n\nRough in tone; harsh; hoarse; raucous; as, a husky voice.
huso |(a) A large European sturgeon (Acipenser huso), inhabiting the region of the Black and Caspian Seas. It sometimes attains a length of more than twelve feet, and a weight of two thousand pounds. Called also hausen. (b) The huchen, a large salmon.
hussar |Originally, one of the national cavalry of Hungary and Croatia; now, one of the light cavalry of European armies.
hussite |A follower of John Huss, the Bohemian reformer, who was adjudged a heretic and burnt alive in 1415.
hussy |1. A housewife or housekeeper. [Obs.] 2. A worthless woman or girl; a forward wench; a jade; -- used as a term of contempt or reproach. Grew. 3. A pert girl; a frolicsome or sportive young woman; -- used jocosely. Goldsmith.\n\nA case or bag. See Housewife, 2.
hustings |1. A court formerly held in several cities of England; specif., a court held in London, before the lord mayor, recorder, and sheriffs, to determine certain classes of suits for the recovery of lands within the city. In the progress of law reform this court has become unimportant. Mozley & W. 2. Any one of the temporary courts held for the election of members of the British Parliament. 3. The platform on which candidates for Parliament formerly stood in addressing the electors. [Eng.] When the rotten hustings shake In another month to his brazen lies. Tennyson.
hustle |To shake together in confusion; to push, jostle, or crowd rudely; to handle roughly; as, to hustle a person out of a room. Macaulay.\n\nTo push or crows; to force one's way; to move hustily and with confusion; a hurry. Leaving the king, who had hustled along the floor with his dress worfully arrayed. Sir W. Scott.
huswife |1. A female housekeeper; a woman who manages domestic affairs; a thirfty woman. \"The bounteous huswife Nature.\" Shak. The huswife is she that do labor doth fall. Tusser. 2. A worthless woman; a hussy. [Obs.] Shak. 3. Etym: [See Hussy a bag.]  A case for sewing materials. See Housewife. Cowper.\n\nTo manage with frugality; -- said of a woman. Dryden.
huswifely |Like a huswife; capable; economical; prudent. -- adv.  In a huswifely manner.
huswifery |The business of a housewife; female domestic economy and skill. Tusser.
hut |A small house, hivel, or cabin; a mean lodge or dwelling; a slightly built or temporary structure. Death comes on with equal footsteps To the hall and hut. Bp. Coxe.
hutch |To place in huts; to live in huts; as, to hut troops in winter quarters. The troops hutted among the heights of Morristown. W. Irving.\n\n1. A chest, box, coffer, bin, coop, or the like, in which things may be stored, or animals kept; as, a grain hutch; a rabbit hutch. 2. A measure of two Winchester bushels. 3. (Mining)  The case of a flour bolt. 4. (Mining) (a) A car on low wheels, in which coal is drawn in the mine and hoisted out of the pit. (b) A jig for washing ore. Bolting hutch, Booby hutch, etc. See under Bolting, etc.\n\n1. To hoard or lay up, in a chest. [R.] \"She hutched the . . . ore.\" Milton. 2. (Mining)  To wash (ore) in a box or jig.
hutchunsonian |A follower of John Hutchinson of Yorkshire, England, who believed that the Hebrew Scriptures contained a complete system of natural science and of theology.
huttonian |Relating to what is now called the Plutonic theory of the earth, first advanced by Dr. James Hutton. Lyell.
huttoning |Forcible manipulation of a dislocated, stiff, or painful joint.
huxter |See Huckster.
huyghenian |Pertaining to, or invented by, Christian Huyghens, a Dutch astronomer of the seventeenth century; as, the Huyghenian telescope. Huyghenian eyepieceSee under Eyepiece.
huzz |To buzz; to murmur. [Obs.] Huzzing and burring in the preacher's ear. Latimer.
huzza |A word used as a shout of joy, exultation, approbation, or encouragement.\n\nA shout of huzza; a cheer; a hurrah. They made a great huzza or shout. Evelyn.\n\nTo shout huzza; to cheer.\n\nTo receive or attend with huzzas. He was huzzaed into the court. Addison.
hy |High. [Obs.] Chaucer.
hyacine |A hyacinth. [Obs.] Spenser.
hyacinth |1. (Bot.) (a) A bulbous plant of the genus Hyacinthus, bearing beautiful spikes of fragrant flowers. H. orientalis is a common variety. (b) A plant of the genus Camassia (C. Farseri), called also Eastern camass; wild hyacinth. (c) The name also given to Scilla Peruviana, a Mediterranean plant, one variety of which produces white, and another blue, flowers; -- called also, from a mistake as to its origin, Hyacinth of Peru. 2. (Min.)  A red variety of zircon, sometimes used as a gem. See Zircon. Hyacinth bean (Bot.), a climbing leguminous plant (Dolichos Lablab), related to the true bean. It has dark purple flowers and fruit.
hyacinthian |Hyacinthine. [R.]
hyacinthine |Belonging to the hyacinth; resemblingthe hyacinth; in color like the hyacinth. Milton. His curling locks like hyacinthine flowers. Cowper. The hyacinthine boy, for whom Morn well might break and April bloom. Emerson.
hyades |A cluster of five stars in the face of the constellation Taurus, supposed by the ancients to indicate the coming of rainy weather when they rose with the sun. Thro' scudding drifts the rainy Hyaned Vext the dim sea. Tennyson.
hyads |A cluster of five stars in the face of the constellation Taurus, supposed by the ancients to indicate the coming of rainy weather when they rose with the sun. Thro' scudding drifts the rainy Hyaned Vext the dim sea. Tennyson.
hyaena |Same as Hyena.
hyalea |A pteroid of the genus Cavolina. See Pteropoda, and Illustration in Appendix.
hyalescence |The process of becoming, or the state of being, transparent like glass.
hyaline |Glassy; resembling glass; consisting of glass; transparent, like crystal. \"Hyaline spaces.\" Carpenter.\n\n1. A poetic term for the sea or the atmosphere. \"The clear hyaline, the glassy sea.\" Milton. Our blood runs amazed 'neath the calm hyaline. Mrs. Browning. 2. (Biol.)  The pellucid substance, present in cells in process of development, from which, according to some embryologists, the cell nucleous originates. 3. (Physiol. Chem.)  The main constituent of the walls of hydatid cysts; a nitrogenous body, which, by decomposition, yields a dextrogyrate sugar, susceptible of alcoholic fermentation. Gamgee.
hyalite |A pellucid variety of opal in globules looking like colorless gum or resin; -- called also Müller's glass.
hyalograph |An instrument for tracing designs on glass.
hyalography |Art of writing or engraving on glass.
hyaloid |Resembling glass; vitriform; transparent; hyaline; as, the hyaloid membrane, a very delicate membrane inclosing the vitreous humor of the eye.
hyalonema |A genus of hexactinelline sponges, having a long stem composed of very long, slender, transparent, siliceous fibres twisted together like the strands of a color. The stem of the Japanese species (H. Sieboldii), called glass-rope, has long been in use as an ornament. See Glass-rope.
hyalophane |A species of the feldspar group containing barium. See Feldspar.
hyalospongia |An order of vitreous sponges, having glassy six-rayed, siliceous spicules; -- called also Hexactinellinæ.
hyalotype |A photographic picture copied from the negative on glass; a photographic transparency. R. Hunt.
hybernacle |See Hibernacle, Hibernate, Hibernation.
hybernate |See Hibernacle, Hibernate, Hibernation.
hybernation |See Hibernacle, Hibernate, Hibernation.
hyblaean |Pertaining to Hybla, an ancient town of Sicily, famous for its bees.
hybodont |Of, pertaining to, or resembling, an extinct genus of sharks (Hybodus), especially in the form of the teeth, which consist of a principal median cone with smaller lateral ones.
hybodus |An extinct genus of sharks having conical, compressed teeth.
hybrid |The offspring of the union of two distinct species; an animal or plant produced from the mixture of two species. See Mongrel.\n\nProduced from the mixture of two species; as, plants of hybrid nature.
hybridism |The state or quality of being hybrid.
hybridist |One who hybridizes.
hybridity |Hybridism.
hybridizable |Capable of forming a hybrid, or of being subjected to a hybridizing process; capable of producing a hybrid by union with another species or stock. Hybridizable genera are rarer than is generally supposed, even in gardens where they are so often operated upon, under circumstances most favorable to the production of hybrids. J. D. Hooker.
hybridization |The act of hybridizing, or the state of being hybridized.
hybridize |To render hybrid; to produce by mixture of stocks.
hybridizer |One who hybridizes.
hybridous |Same as Hybrid.
hydage |A land tax. See Hidage.
hydantoic |Pertaining to, or derived from, hydantoin. See Glycoluric.
hydantoin |A derivative of urea, C3H4N2O2, obtained from allantion, as a white, crystalline substance, with a sweetish taste; -- called also glycolyl urea.
hydatid |A membranous sac or bladder filled with a pellucid fluid, found in various parts of the bodies of animals, but unconnected with the tissues. It is usually formed by parasitic worms, esp. by larval tapeworms, as Echinococcus and Coenurus. See these words in the Vocabulary. Hydatid of Morgagni (Anat.), one of the small pedunculated bodies found between the testicle and the head of the epididymis, and supposed to be a remnant of the Müllerian duct.
hydatiform |Resembling a hydatid.
hydatoid |Resembling water; watery; aqueous; hyaloid.
hydr- |. See under Hydro-.\n\n1. A combining form from Gr. Hydra). 2. (Chem.)  A combining form of hydrogen, indicating hydrogen as an ingredient, as hydrochloric; or a reduction product obtained by hydrogen, as hydroquinone.
hydra |1. (Class. Myth.)  A serpent or monster in the lake or marsh of Lerna, in the Peloponnesus, represented as having many heads, one of which, when cut off, was immediately succeeded by two others, unless the wound was cauterized. It was slain by Hercules. Hence, a terrible monster. Gorgons, and Hydras, and Chimeras dire. Milton. 2. Hence: A multifarious evil, or an evil having many sources; not to be overcome by a single effort. 3. (Zoöl.)  Any small fresh-water hydroid of the genus Hydra, usually found attached to sticks, stones, etc., by a basal sucker. Note: The body is a simple tube, having a mouth at one extremity, surrounded by a circle of tentacles with which it captures its prey. Young hydras bud out from the sides of the older ones, but soon become detached and are then like their parent. Hydras are remarkable for their power of repairing injuries; for if the body be divided in pieces, each piece will grow into a complete hydra, to which fact the name alludes. The zooids or hydranths of marine hydroids are sometimes called hydras. 4. (Astron.)  A southern constellation of great length lying southerly from Cancer, Leo, and Virgo.
hydra-tainted |Dipped in the gall of the fabulous hydra; poisonous; deadly. Cowper.
hydrachnid |An aquatic mite of the genus Hydrachna. The hydrachids, while young, are parasitic on fresh-water mussels.
hydracid |An acid containing hydrogen; -- sometimes applied to distinguish acids like hydrochloric, hydrofluoric, and the like, which contain no oxygen, from the oxygen acids or oxacids. See Acid.
hydracrylic |Pertaining to, or designating, an isomeric variety of lastic acid that breaks down into acrylic acid and water.
hydractinian |Any species or marine hydroids, of the genus Hydractinia and allied genera. These hydroids form, by their rootstalks, a firm, chitinous coating on shells and stones, and esp. on spiral shells occupied by hermit crabs. See Illust. of Athecata.
hydraemia |An abnormally watery state of the blood; anæmia.
hydragogue |Causing a discharge of water; expelling serum effused into any part of the body, as in dropsy. -- n.  A hydragogue medicine, usually a cathartic or diuretic.
hydramide |One of a group of crystalline bodies produced by the action of ammonia on certain aldehydes.
hydramine |One of a series of artificial, organic bases, usually produced as thick viscous liquids by the action of ammonia on ethylene oxide. They have the properties both of alcohol and amines.
hydrangea |A genus of shrubby plants bearing opposite leaves and large heads of showy flowers, white, or of various colors. H. hortensis, the common garden species, is a native of China or Japan.
hydrant |A discharge pipe with a valve and spout at which water may be drawn from the mains of waterworks; a water plug.
hydranth |One of the nutritive zooids of a hydroid colony. Also applied to the proboscis or manubrium of a hydroid medusa. See Illust. of Hydroidea.
hydrargochloride |A compound of the bichloride of mercury with another chloride. [Obs.]
hydrargyrate |Of or pertaining to mercury; containing, or impregnated with, mercury. [R.]
hydrargyrism |A diseased condition produced by poisoning with hydrargyrum, or mercury; mercurialism.
hydrargyrum |Quicksilver; mercury.
hydrarthrosis |An effusion of watery liquid into the cavity of a joint.
hydrastine |An alkaloid, found in the rootstock of the golden seal (Hydrastis Canadensis), and extracted as a bitter, white, crystalline substance. It is used as a tonic and febrifuge.
hydrate |(a) A compound formed by the union of water with some other substance, generally forming a neutral body, as certain crystallized salts. (b) A substance which does not contain water as such, but has its constituents (hydrogen, oxygen, hydroxyl) so arranged that water may be eliminated; hence, a derivative of, or compound with, hydroxyl; hydroxide; as, ethyl hydrate, or common alcohol; calcium hydrate, or slaked lime.\n\nTo form into a hydrate; to combine with water.
hydrated |Formed into a hydrate; combined with water.
hydration |The act of becoming, or state of being, a hydrate. Water of hydration (Chem.), water chemically combined with some substance to form a hydrate; -- distinguished from water of crystallization.
