oviposit |To lay or deposit eggs; -- said esp. of insects.\n\nTo deposit or lay (an egg).
palatine |Of or pertaining to a palace, or to a high officer of a palace; hence, possessing royal privileges. Count palatine, County palatine. See under Count, and County. -- Palatine hill, or The palatine, one of the seven hills of Rome, once occupied by the palace of the Cæsars. See Palace.\n\n1. One invested with royal privileges and rights within his domains; a count palatine. See Count palatine, under 4th Count. 2. The Palatine hill in Rome.\n\nOf or pertaining to the palate. Palatine bones (Anat.), a pair of bones (often united in the adult) in the root of the mouth, back of and between the maxillaries.\n\n, (Anat.) A palatine bone.
palative |Pleasing to the taste; palatable. [Obs.] \"Palative delights.\" Sir T. Browne.
palatize |To modify, as the tones of the voice, by means of the palate; as, to palatize a letter or sound. -- Pal`a*ti*za\"tion, n. J. Peile.
palato- |A combining form used in anatomy to indicate relation to, or connection with, the palate; as in palatolingual.
palatonares |The posterior nares. See Nares.
palatopterygoid |Pertaining to the palatine and pterygoid region of the skull; as, the palatopterygoid cartilage, or rod, from which the palatine and pterygoid bones are developed.
palaver |1. Talk; conversation; esp., idle or beguiling talk; talk intended to deceive; flattery. 2. In Africa, a parley with the natives; a talk; hence, a public conference and deliberation; a debate. This epoch of parliaments and eloquent palavers. Carlyle.\n\nTo make palaver with, or to; to used palaver;to talk idly or deceitfully; to employ flattery; to cajole; as, to palaver artfully. Palavering the little language for her benefit. C. Bront
palaverer |One who palavers; a flatterer.
pale |1. Wanting in color; not ruddy; dusky white; pallid; wan; as, a pale face; a pale red; a pale blue. \"Pale as a forpined ghost.\" Chaucer. Speechless he stood and pale. Milton. They are not of complexion red or pale. T. Randolph. 2. Not bright or brilliant; of a faint luster or hue; dim; as, the pale light of the moon. The night, methinks, is but the daylight sick; It looks a little paler. Shak. Note: Pale is often used in the formation of self-explaining compounds; as, pale-colored, pale-eyed, pale-faced, pale-looking, etc.\n\nPaleness; pallor. [R.] Shak.\n\nTo turn pale; to lose color or luster. Whittier. Apt to pale at a trodden worm. Mrs. Browning.\n\nTo make pale; to diminish the brightness of. The glowpale his uneffectual fire. Shak.\n\n1. A pointed stake or slat, either driven into the ground, or fastened to a rail at the top and bottom, for fencing or inclosing; a picket. Deer creep through when a pale tumbles down. Mortimer. 2. That which incloses or fences in; a boundary; a limit; a fence; a palisade. \"Within one pale or hedge.\" Robynson (More's Utopia). 3. A space or field having bounds or limits; a limited region or place; an inclosure; -- often used figuratively. \"To walk the studious cloister's pale.\" Milton. \"Out of the pale of civilization.\" Macaulay. 4. A stripe or band, as on a garment. Chaucer. 5. (Her.)  One of the greater ordinaries, being a broad perpendicular stripe in an escutcheon, equally distant from the two edges, and occupying one third of it. 6. A cheese scoop. Simmonds. 7. (Shipbuilding)  A shore for bracing a timber before it is fastened. English pale (Hist.), the limits or territory within which alone the English conquerors of Ireland held dominion for a long period after their invasion of the country in 1172. Spencer.\n\nTo inclose with pales, or as with pales; to encircle; to encompass; to fence off. [Your isle, which stands] ribbed and paled in With rocks unscalable and roaring waters. Shak.
palea |1. (Bot.) (a) The interior chaff or husk of grasses. (b) One of the chaffy scales or bractlets growing on the receptacle of many compound flowers, as the Coreopsis, the sunflower, etc. 2. (Zoöl.)  A pendulous process of the skin on the throat of a bird, as in the turkey; a dewlap.
paleaceous |Chaffy; resembling or consisting of paleæ, or chaff; furnished with chaff; as, a paleaceous receptacle.
palearctic |Belonging to a region of the earth's surface which includes all Europe to the Azores, Iceland, and all temperate Asia.
paled |1. Striped. [Obs.] \"[Buskins] . . . paled part per part.\" Spenser. 2. Inclosed with a paling. \"A paled green.\" Spenser.
paleechinoidea |An extinct order of sea urchins found in the Paleozoic rocks. They had more than twenty vertical rows of plates. Called also Palæechini. [Written also Palæechinoidea.]
paleface |A white person; -- an appellation supposed to have been applied to the whites by the American Indians. J. F. Cooper.
paleichthyes |A comprehensive division of fishes which includes the elasmobranchs and ganoids. [Written also Palæichthyes.]
palely |In a pale manner; dimly; wanly; not freshly or ruddily. Thackeray.
palempore |A superior kind of dimity made in India, -- used for bed coverings. [Written also palampore, palampoor, etc.] De Colange.
paleness |The quality or condition of being pale; want of freshness or ruddiness; a sickly whiteness; lack of color or luster; wanness. The blood the virgin's cheek forsook; A livid paleness spreads o'er all her look. Pope.
palenque |A collective name for the Indians of Nicaragua and Honduras.
paleo- |A combining form meaning old, ancient; as, palearctic, paleontology, paleothere, paleography. [Written also palæo-.]
paleobotanist |One versed in paleobotany.
paleobotany |That branch of paleontology which treats of fossil plants.
paleocarida |Same as Merostomata. [Written also Palæocarida.]
paleocrinoidea |A suborder of Crinoidea found chiefly in the Paleozoic rocks.
paleocrystic |Of, pertaining to, or derived from, a former glacial formation.
paleogaean |Of or pertaining to the Eastern hemisphere. [Written also palæogæan.]
paleograph |An ancient manuscript.
paleographer |One skilled in paleography; a paleographist.
paleographic |Of or pertaining to paleography.
paleographical |Of or pertaining to paleography.
paleographist |One versed in paleography; a paleographer.
paleography |1. An ancient manner of writing; ancient writings, collectively; as, Punic paleography. 2. The study of ancient inscriptions and modes of writing; the art or science of deciphering ancient writings, and determining their origin, period, etc., from external characters; diplomatics.
paleola |A diminutive or secondary palea; a lodicule.
paleolith |A relic of the Paleolithic era.
paleolithic |Of or pertaining to an era marked by early stone implements. The Paleolithic era (as proposed by Lubbock) includes the earlier half of the \"Stone Age;\" the remains belonging to it are for the most part of extinct animals, with relics of human beings.
paleologist |One versed in paleology; a student of antiquity.
paleology |The study or knowledge of antiquities, esp. of prehistoric antiquities; a discourse or treatise on antiquities; archæology .
paleontographical |Of or pertaining to the description of fossil remains.
paleontography |The description of fossil remains.
paleontological |Of or pertaining to paleontology. -- Pa`le*on`to*log\"ic*al*ly, adv.
paleontologist |One versed in paleontology.
paleontology |The science which treats of the ancient life of the earth, or of fossils which are the remains of such life.
paleophytologist |A paleobotanist.
paleophytology |Paleobotany.
paleornithology |The branch of paleontology which treats of fossil birds.
paleosaurus |A genus of fossil saurians found in the Permian formation.
paleotechnic |Belonging to, or connected with, ancient art. \"The paleotechnic men of central France.\" D. Wilson.
paleothere |Any species of Paleotherium.
paleotherian |Of or pertaining to Paleotherium.
paleotherium |An extinct genus of herbivorous Tertiary mammals, once supposed to have resembled the tapir in form, but now known to have had a more slender form, with a long neck like that of a llama. [Written also Palæotherium.]
paleotheroid |Resembling Paleotherium. -- n.  An animal resembling, or allied to, the paleothere.
paleotype |See Palæotype.
paleous |Chaffy; like chaff; paleaceous. [R.] Sir T. Browne.
paleozoic |Of or pertaining to, or designating, the older division of geological time during which life is known to have existed, including the Silurian, Devonian, and Carboniferous ages, and also to the life or rocks of those ages. See Chart of Geology.
paleozoic era |The Paleozoic time or strata.
paleozooelogy |The science of extinct animals, a branch of paleontology.
paleozoology |The science of extinct animals, a branch of paleontology.
palesie |Palsy. [Obs.] Wyclif.
palestinean |Of or pertaining to Palestine.
palestinian |Of or pertaining to Palestine.
palestra |(a) A wrestling school; hence, a gymnasium, or place for athletic exercise in general. (b) A wrestling; the exercise of wrestling.
palestrian |Of or pertaining to the palestra, or to wrestling.
palestric |Of or pertaining to the palestra, or to wrestling.
palestrical |Of or pertaining to the palestra, or to wrestling.
palesy |Palsy. [Obs.] Wyclif.
palet |Same as Palea.\n\nA perpendicular band upon an escutcheon, one half the breadth of the pale.
paletot |(a) An overcoat. Dickens. (b) A lady's outer garment, -- of varying fashion.
palette |1. (Paint.)  A thin, oval or square board, or tablet, with a thumb hole at one end for holding it, on which a painter lays and mixes his pigments. [Written also pallet.] 2. (Anc. Armor)  One of the plates covering the points of junction at the bend of the shoulders and elbows. Fairholt. 3. (Mech.)  A breastplate for a breast drill. Palette knife, a knife with a very flexible steel blade and no cutting edge, rounded at the end, used by painters to mix colors on the grinding slab or palette. -- To set the palette (Paint.), to lay upon it the required pigments in a certain order, according to the intended use of them in a picture. Fairholt.
palewise |In the manner of a pale or pales; by perpendicular lines or divisions; as, to divide an escutcheon palewise.
palfrey |1. A saddle horse for the road, or for state occasions, as distinguished from a war horse. Chaucer. 2. A small saddle horse for ladies. Spenser. Call the host and bid him bring Charger and palfrey. Tennyson.
palfreyed |Mounted on a palfrey. Tickell.
palgrave |See Palsgrave.
pali |pl. of Palus.\n\nA dialect descended from Sanskrit, and like that, a dead language, except when used as the sacred language of the Buddhist religion in Farther India, etc.
palification |The act or practice of driving piles or posts into the ground to make it firm. [R.] Sir H. Wotton.
paliform |Resembling a palus; as, the paliform lobes of the septa in corals.
palilogy |The repetition of a word, or part of a sentence, for the sake of greater emphasis; as, \"The living, the living, he shall praise thee.\" Is. xxxviii. 19.
palimpsest |A parchment which has been written upon twice, the first writing having been erased to make place for the second. Longfellow.
palindrome |A word, verse, or sentence, that is the same when read backward or forward; as, madam; Hannah; or Lewd did I live, & evil I did dwel.
palindromic |Of, pertaining to, or like, a palindrome.
palindromical |Of, pertaining to, or like, a palindrome.
palindromist |A writer of palindromes.
paling |1. Pales, in general; a fence formed with pales or pickets; a limit; an inclosure. They moved within the paling of order and decorum. De Quincey. 2. The act of placing pales or stripes on cloth; also, the stripes themselves. [Obs.] Chaucer. Paling board, one of the slabs sawed from the sides of a log to fit it to be sawed into boards. [Eng.]
palingenesia |See Palingenesis.
palingenesis |1. A new birth; a re-creation; a regeneration; a continued existence in different manner or form. 2. (Biol.)  That form of evolution in which the truly ancestral characters conserved by heredity are reproduced in development; original simple descent; -- distinguished from kenogenesis. Sometimes, in zoölogy, the abrupt metamorphosis of insects, crustaceans, etc.
palingenesy |1. A new birth; a re-creation; a regeneration; a continued existence in different manner or form. 2. (Biol.)  That form of evolution in which the truly ancestral characters conserved by heredity are reproduced in development; original simple descent; -- distinguished from kenogenesis. Sometimes, in zoölogy, the abrupt metamorphosis of insects, crustaceans, etc.
palingenetic |Of or pertaining to palingenesis: as, a palingenetic process. -- Pal`in*ge*net\"ic*al*ly, adv.
palinode |1. An ode recanting, or retracting, a former one; also, a repetition of an ode. 2. A retraction; esp., a formal retraction. Sandys.
palinodial |Of or pertaining to a palinode, or retraction. J. Q. Adams.
palinody |See Palinode. [Obs.] Wood.
palinurus |An instrument for obtaining directly, without calculation, the true bearing of the sun, and thence the variation of the compass
palisade |1. (Fort.)  A strong, long stake, one end of which is set firmly in the ground, and the other is sharpened; also, a fence formed of such stakes set in the ground as a means of defense. 2. Any fence made of pales or sharp stakes. Palisade cells (Bot.), vertically elongated parenchyma cells, such as are seen beneath the epidermis of the upper surface of many leaves. -- Palisade worm (Zoöl.), a nematoid worm (Strongylus armatus), parasitic in the blood vessels of the horse, in which it produces aneurisms, often fatal.\n\nTo surround, inclose, or fortify, with palisades.
palisading |) A row of palisades set in the ground.
palisado |A palisade. [Obs.] Shak.\n\nTo palisade. [Obs.] Sterne.
palish |Somewhat pale or wan.
palissander |(a) Violet wood. (b) Rosewood.
palissy |Designating, or of the nature of, a kind of pottery made by Bernard Palissy, in France, in the 16th centry. Palissy ware, glazed pottery like that made by Bernard Palissy; especially, that having figures of fishes, reptiles, etc., in high relief.
palkee |A palanquin. Malcom.
pall |Same as Pawl.\n\n1. An outer garment; a cloak mantle. His lion's skin changed to a pall of gold. Spenser. 2. A kind of rich stuff used for garments in the Middle Ages. [Obs.] Wyclif (Esther viii. 15). 3. (R. C. Ch.)  Same as Pallium. About this time Pope Gregory sent two archbishop's palls into England, -- the one for London, the other for York. Fuller. 4. (Her.)  A figure resembling the Roman Catholic pallium, or pall, and having the form of the letter Y. 5. A large cloth, esp., a heavy black cloth, thrown over a coffin at a funeral; sometimes, also, over a tomb. Warriors carry the warrior's pall. Tennyson. 6. (Eccl.)  A piece of cardboard, covered with linen and embroidered on one side; -- used to put over the chalice.\n\nTo cloak. [R.] Shak\n\nTo become vapid, tasteless, dull, or insipid; to lose strength, life, spirit, or taste; as, the liquor palls. Beauty soon grows familiar to the lover, Fades in the eye, and palls upon the sense. Addisin.\n\n1. To make vapid or insipid; to make lifeless or spiritless; to dull; to weaken. Chaucer. Reason and reflection . . . pall all his enjoyments. Atterbury. 2. To satiate; to cloy; as, to pall the appetite.\n\nNausea. [Obs.] Shaftesbury.
pall-mall |A game formerly common in England, in which a wooden ball was driven with a mallet through an elevated hoop or ring of iron. The name was also given to the mallet used, to the place where the game was played, and to the street, in London, still called Pall Mall. [Written also pail-mail and pell-mell.] Sir K. Digby. Evelyn.
palla |An oblong rectangular piece of cloth, worn by Roman ladies, and fastened with brooches.
palladian |Of, pertaining to, or designating, a variety of the revived classic style of architecture, founded on the works of Andrea Palladio, an Italian architect of the 16th century.
palladic |Of, pertaining to, or derived from, palladium; -- used specifically to designate those compounds in which the element has a higher valence as contrasted with palladious compounds.
palladious |Of, pertaining to, or containing, palladium; -- used specifically to designate those compounds in which palladium has a lower valence as compared with palladic compounds.
palladium |1. (Gr. Antiq.)  Any statue of the goddess Pallas; esp., the famous statue on the preservation of which depended the safety of ancient Troy. 2. Hence: That which affords effectual protection or security; a sateguard; as, the trial by jury is the palladium of our civil rights. Blackstone.\n\nA rare metallic element of the light platinum group, found native, and also alloyed with platinum and gold. It is a silver-white metal resembling platinum, and like it permanent and untarnished in the air, but is more easily fusible. It is unique in its power of occluding hydrogen, which it does to the extent of nearly a thousand volumes, forming the alloy Pd2H. It is used for graduated circles and verniers, for plating certain silver goods, and somewhat in dentistry. It was so named in 1804 by Wollaston from the asteroid Pallas, which was discovered in 1802. Symbol Pd. Atomic weight, 106.2.
palladiumize |To cover or coat with palladium. [R.]
pallah |A large South African antelope (Æpyceros melampus). The male has long lyrate and annulated horns. The general color is bay, with a black crescent on the croup. Called also roodebok.
pallas |Pallas Athene, the Grecian goddess of wisdom, called also Athene, and identified, at a later period, with the Roman Minerva.
pallbearer |One of those who attend the coffin at a funeral; -- so called from the pall being formerly carried by them.
pallet |A small and mean bed; a bed of straw. Milton.\n\n1. (Paint.)  Same as Palette. 2. (Pettery) (a) A wooden implement used by potters, crucible makers, etc., for forming, beating, and rounding their works. It is oval, round, and of other forms. (b) A potter's wheel. 3. (Gilding) (a) An instrument used to take up gold leaf from the pillow, and to apply it. (b) A tool for gilding the backs of books over the bands. 4. (Brickmaking)  A board on which a newly molded brick is conveyed to the hack. Knight. 5. (Mach.) (a) A click or pawl for driving a ratchet wheel. (b) One of the series of disks or pistons in the chain pump. Knight. 6. (Horology)  One of the pieces or levers connected with the pendulum of a clock, or the balance of a watch, which receive the immediate impulse of the scape-wheel, or balance wheel. Brande & C. 7. (Mus.)  In the organ, a valve between the wind chest and the mouth of a pipe or row of pipes. 8. (Zoöl.)  One of a pair of shelly plates that protect the siphon tubes of certain bivalves, as the Teredo. See Illust. of Teredo. 9. A cup containing three ounces, --
pallial |Of or pretaining to a mantle, especially to the mantle of mollusks; produced by the mantle; as, the pallial line, or impression, which marks the attachment of the mantle on the inner surface of a bivalve shell. See Illust. of Bivalve. Pallial chamber (Zoöl.), the cavity inclosed by the mantle. -- Pallial sinus (Zoöl.), an inward bending of the pallial line, near the posterior end of certain bivalve shells, to receive the siphon. See Illust. of Bivalve.
palliament |A dress; a robe. [Obs.] Shak.
palliard |1. A born beggar; a vagabond. [Obs.] Halliwell. 2. A lecher; a lewd person. [Obs.] Dryden.
palliasse |See Paillasse.
palliate |1. Covered with a mant [Obs.] Bp. Hall. 2. Eased; mitigated; alleviated. [Obs.] Bp. Fell.\n\n1. To cover with a mantle or cloak; to cover up; to hide. [Obs.] Being palliated with a pilgrim's coat. Sir T. Herbert. 2. To cover with excuses; to conceal the enormity of, by excuses and apologies; to extenuate; as, to palliate faults. They never hide or palliate their vices. Swift. 3. To reduce in violence; to lessen or abate; to mitigate; to ease withhout curing; as, to palliate a disease. To palliate dullness, and give time a shove. Cowper. Syn. -- To cover; cloak; hide; extenuate; conceal. -- To Palliate, Extenuate, Cloak. These words, as here compared, are used in a figurative sense in reference to our treatment of wrong action. We cloak in order to conceal completely. We extenuate a crime when we endeavor to show that it is less than has been supposed; we palliate a crime when we endeavor to cover or conceal its enormity, at least in part. This naturally leads us to soften some of its features, and thus palliate approaches extenuate till they have become nearly or quite identical. \"To palliate is not now used, though it once was, in the sense of wholly cloaking or covering over, as it might be, our sins, but in that of extenuating; to palliate our faults is not to hide them altogether, but to seek to diminish their guilt in part.\" Trench.
palliation |1. The act of palliating, or state of being palliated; extenuation; excuse; as, the palliation of faults, offenses, vices. 2. Mitigation; alleviation, as of a disease. Bacon. 3. That which cloaks or covers; disguise; also, the state of being covered or disguised. [Obs.]
palliative |Serving to palliate; serving to extenuate or mitigate.\n\nThat which palliates; a palliative agent. Sir W. Scott.
palliatory |Palliative; extenuating.
pallid |Deficient in color; pale; wan; as, a pallid countenance; pallid blue. Spenser.
pallidity |Pallidness; paleness.
pallidly |In a pallid manner.
pallidness |The quality or state of being pallid; paleness; pallor; wanness.
palliobranchiata |Same as Brachiopoda.
palliobranchiate |Having the pallium, or mantle, acting as a gill, as in brachiopods.
pallium |1. (Anc. Costume)  A large, square, woolen cloak which enveloped the whole person, worn by the Greeks and by certain Romans. It is the Roman name of a Greek garment. 2. (R.C.Ch.)  A band of white wool, worn on the shoulders, with four purple crosses worked on it; a pall. Note: The wool is obtained from two lambs brought to the basilica of St. Agnes, Rome, and blessed. It is worn by the pope, and sent to patriarchs, primates, and archbishops, as a sign that they share in the plenitude of the episcopal office. Befoer it is sent, the pallium is laid on the tomb of St. Peter, where it remains all night. 3. (Zoöl.) (a) The mantle of a bivalve. See Mantle. (b) The mantle of a bird.
