blancmanger |A sort of fricassee with white sauce, variously made of capon, fish, etc. [Obs.] Chaucer.
blossom |1. The flower of a plant, or the essential organs of reproduction, with their appendages; florescence; bloom; the flowers of a plant, collectively; as, the blossoms and fruit of a tree; an apple tree in blossom. Note: The term has been applied by some botanists, and is also applied in common usage, to the corolla. It is more commonly used than flower or bloom, when we have reference to the fruit which is to succeed. Thus we use flowers when we speak of plants cultivated for ornament, and bloom in a more general sense, as of flowers in general, or in reference to the beauty of flowers. Blossoms flaunting in the eye of day. Longfellow. 2. A blooming period or stage of development; something lovely that gives rich promise. In the blossom of my youth. Massinger. 3. The color of a horse that has white hairs intermixed with sorrel and bay hairs; -- otherwise called peach color. In blossom, having the blossoms open; in bloom.\n\n1. To put forth blossoms or flowers; to bloom; to blow; to flower. The moving whisper of huge trees that branched And blossomed. Tennyson. 2. To flourish and prosper. Israel shall blossom and bud, and full the face of the world with fruit. Isa. xxvii. 6.
blossomless |Without blossoms.
blossomy |Full of blossoms; flowery.
blot |1. To spot, stain, or bespatter, as with ink. The brief was writ and blotted all with gore. Gascoigne. 2. To impair; to damage; to mar; to soil. It blots thy beauty, as frosts do bite the meads. Shak. 3. To stain with infamy; to disgrace. Blot not thy innocence with guiltless blood. Rowe. 4. To obliterate, as writing with ink; to cancel; to efface; -- generally with out; as, to blot out a word or a sentence. Often figuratively; as, to blot out offenses. One act like this blots out a thousand crimes. Dryden. 5. To obscure; to eclipse; to shadow. He sung how earth blots the moon's gilded wane. Cowley. 6. To dry, as writing, with blotting paper. Syn. -- To obliterate; expunge; erase; efface; cancel; tarnish; disgrace; blur; sully; smear; smutch.\n\nTo take a blot; as, this paper blots easily.\n\n1. A spot or stain, as of ink on paper; a blur. \"Inky blots and rotten parchment bonds.\" Shak. 2. An obliteration of something written or printed; an erasure. Dryden. 3. A spot on reputation; a stain; a disgrace; a reproach; a blemish. This deadly blot in thy digressing son. Shak.\n\n1. (Backgammon) (a) An exposure of a single man to be taken up. (b) A single man left on a point, exposed to be taken up. He is too great a master of his art to make a blot which may be so easily hit. Dryden. 2. A weak point; a failing; an exposed point or mark.
blotch |1. A blot or spot, as of color or of ink; especially a large or irregular spot. Also Fig.; as, a moral blotch. Spots and blotches . . . some red, others yellow. Harvey. 2. (Med.)  A large pustule, or a coarse eruption. Foul scurf and blotches him defile. Thomson.
blotched |Marked or covered with blotches. To give their blotched and blistered bodies ease. Drayton.
blotchy |Having blotches.
blote |To cure, as herrings, by salting and smoking them; to bloat. [Obs.]
blotless |Without blot.
blotter |1. One who, or that which blots; esp. a device for absorbing superfluous ink. 2. (Com.)  A wastebook, in which entries of transactions are made as they take place.
blottesque |Characterized by blots or heavy touches; coarsely depicted; wanting in delineation. Ruskin.
blotting paper |A kind of thick, bibulous, unsized paper, used to absorb superfluous ink from freshly written manuscript, and thus prevent blots.
blouse |A light, loose over-garment, like a smock frock, worn especially by workingmen in France; also, a loose coat of any material, as the undress uniform coat of the United States army.
blow |To flower; to blossom; to bloom. How blows the citron grove. Milton.\n\nTo cause to blossom; to put forth (blossoms or flowers). The odorous banks, that blow Flowers of more mingled hue. Milton.\n\nA blossom; a flower; also, a state of blossoming; a mass of blossoms. \"Such a blow of tulips.\" Tatler.\n\n1. A forcible stroke with the hand, fist, or some instrument, as a rod, a club, an ax, or a sword. Well struck ! there was blow for blow. Shak. 2. A sudden or forcible act or effort; an assault. A vigorous blow might win [Hanno's camp]. T. Arnold. 3. The infliction of evil; a sudden calamity; something which produces mental, physical, or financial suffering or loss (esp. when sudden); a buffet. A most poor man, made tame to fortune's blows. Shak. At a blow, suddenly; at one effort; by a single vigorous act. \"They lose a province at a blow.\" Dryden. -- To come to blows, to engage in combat; to fight; -- said of individuals, armies, and nations. Syn. -- Stroke; knock; shock; misfortune.\n\n1. To produce a current of air; to move, as air, esp. to move rapidly or with power; as, the wind blows. Hark how it rains and blows ! Walton. 2. To send forth a forcible current of air, as from the mouth or from a pair of bellows. 3. To breathe hard or quick; to pant; to puff. Here is Mistress Page at the door, sweating and blowing. Shak. 4. To sound on being blown into, as a trumpet. There let the pealing organ blow. Milton. 5. To spout water, etc., from the blowholes, as a whale. 6. To be carried or moved by the wind; as, the dust blows in from the street. The grass blows from their graves to thy own. M. Arnold. 7. To talk loudly; to boast; to storm. [Colloq.] You blow behind my back, but dare not say anything to my face. Bartlett. To blow hot and cold Etym: (a saying derived from a fable of , to favor a thing at one time and treat it coldly at another; or to appear both to favor and to oppose. -- To blow off, to let steam escape through a passage provided for the purpose; as, the engine or steamer is blowing off. -- To blow out. (a) To be driven out by the expansive force of a gas or vapor; as, a steam cock or valve sometimes blows out. (b) To talk violently or abusively. [Low] -- To blow over, to pass away without effect; to cease, or be dissipated; as, the storm and the clouds have blown over. -- To blow up, to be torn to pieces and thrown into the air as by an explosion of powder or gas or the expansive force of steam; to burst; to explode; as, a powder mill or steam boiler blows up. \"The enemy's magazines blew up.\" Tatler.\n\n1. To force a current of air upon with the mouth, or by other means; as, to blow the fire. 2. To drive by a current air; to impel; as, the tempest blew the ship ashore. Off at sea northeast winds blow Sabean odors from the spicy shore. Milton. 3. To cause air to pass through by the action of the mouth, or otherwise; to cause to sound, as a wind instrument; as, to blow a trumpet; to blow an organ. Hath she no husband That will take pains to blow a horn before her Shak. Boy, blow the pipe until the bubble rise, Then cast it off to float upon the skies. Parnell. 4. To clear of contents by forcing air through; as, to blow an egg; to blow one's nose. 5. To burst, shatter, or destroy by an explosion; -- usually with up, down, open, or similar adverb; as, to blow up a building. 6. To spread by report; to publish; to disclose. Through the court his courtesy was blown. Dryden. His language does his knowledge blow. Whiting. 7. To form by inflation; to swell by injecting air; as, to blow bubbles; to blow glass. 8. To inflate, as with pride; to puff up. Look how imagination blows him. Shak. 9. To put out of breath; to cause to blow from fatigue; as, to blow a horse. Sir W. Scott. 10. To deposit eggs or larvæ upon, or in (meat, etc.). To suffer The flesh fly blow my mouth. Shak. To blow great guns, to blow furiously and with roaring blasts; -- said of the wind at sea or along the coast. -- To blow off, to empty (a boiler) of water through the blow-off pipe, while under steam pressure; also, to eject (steam, water, sediment, etc.) from a boiler. -- To blow one's own trumpet, to vaunt one's own exploits, or sound one's own praises. -- To blow out, to extinguish by a current of air, as a candle. -- To blow up. (a) To fill with air; to swell; as, to blow up a bladder or bubble. (b) To inflate, as with pride, self-conceit, etc.; to puff up; as, to blow one up with flattery. \"Blown up with high conceits engendering pride.\" Milton. (c) To excite; as, to blow up a contention.(d) To burst, to raise into the air, or to scatter, by an explosion; as, to blow up a fort. (e) To scold violently; as, to blow up a person for some offense. [Colloq.] I have blown him up well -- nobody can say I wink at what he does. G. Eliot. To blow upon. (a) To blast; to taint; to bring into discredit; to render stale, unsavory, or worthless. (b) To inform against. [Colloq.] How far the very custom of hearing anything spouted withers and blows upon a fine passage, may be seen in those speeches from [Shakespeare's] Henry V. which are current in the mouths of schoolboys. C. Lamb. A lady's maid whose character had been blown upon. Macaulay.\n\n1. A blowing, esp., a violent blowing of the wind; a gale; as, a heavy blow came on, and the ship put back to port. 2. The act of forcing air from the mouth, or through or from some instrument; as, to give a hard blow on a whistle or horn; to give the fire a blow with the bellows. 3. The spouting of a whale. 4. (Metal.)  A single heat or operation of the Bessemer converter. Raymond. 5. An egg, or a larva, deposited by a fly on or in flesh, or the act of depositing it. Chapman.
blow valve |See Snifting valve.
blow-off |1. A blowing off steam, water, etc.; -- Also, adj.  as, a blow-off cock or pipe. 2. An outburst of temper or excitement. [Colloq.]
blow-out |The cleaning of the flues of a boiler from scale, etc., by a blast of steam.
blowball |The downy seed head of a dandelion, which children delight to blow away. B. Jonson.
blowen |A prostitute; a courtesan; a strumpet. [Low] Smart.
blower |1. One who, or that which, blows. 2. (Mech.)  A device for producing a current of air; as: (a) A metal plate temporarily placed before the upper part of a grate or open fire. (b) A machine for producing an artificial blast or current of air by pressure, as for increasing the draft of a furnace, ventilating a building or shaft, cleansing gram, etc. 3. A blowing out or excessive discharge of gas from a hole or fissure in a mine. 4. The whale; -- so called by seamen, from the circumstance of its spouting up a column of water. 5. (Zoöl.)  A small fish of the Atlantic coast (Tetrodon turgidus); the puffer. 6. A braggart, or loud talker. [Slang] Bartlett.
blowess |A prostitute; a courtesan; a strumpet. [Low] Smart.
blowfly |Any species of fly of the genus Musca that deposits its eggs or young larvæ (called flyblows and maggots) upon meat or other animal products.
blowgun |A tube, as of cane or reed, sometimes twelve feet long, through which an arrow or other projectile may be impelled by the force of the breath. It is a weapon much used by certain Indians of America and the West Indies; -- called also blowpipe, and blowtube. See Sumpitan.
blowhole |1. A cavern in a cliff, at the water level, opening to the air at its farther extremity, so that the waters rush in with each surge and rise in a lofty jet from the extremity. 2. A nostril or spiracle in the top of the head of a whale or other cetacean. Note: There are two spiracles or blowholes in the common whales, but only one in sperm whales, porpoises, etc. 3. A hole in the ice to which whales, seals, etc., come to breathe. 4. (Founding)  An air hole in a casting.
blown |1. Swollen; inflated; distended; puffed up, as cattle when gorged with green food which develops gas. 2. Stale; worthless. 3. Out of breath; tired; exhausted. \"Their horses much blown.\" Sir W. Scott. 4. Covered with the eggs and larvæ of flies; fly blown.\n\nOpened; in blossom or having blossomed, as a flower. Shak.
blowpipe |1. A tube for directing a jet of air into a fire or into the flame of a lamp or candle, so as to concentrate the heat on some object. Note: It is called a mouth blowpipe when used with the mouth; but for both chemical and industrial purposes, it is often worked by a bellows or other contrivance. The common mouth blowpipe is a tapering tube with a very small orifice at the end to be inserted in the flame. The oxyhydrogen blowpipe, invented by Dr. Hare in 1801, is an instrument in which oxygen and hydrogen, taken from separate reservoirs, in the proportions of two volumes of hydrogen to one of oxygen, are burned in a jet, under pressure. It gives a heat that will consume the diamond, fuse platinum, and dissipate in vapor, or in gaseous forms, most known substances. 2. A blowgun; a blowtube. Blowpipe analysis (Chem.), analysis by means of the blowpipe. -- Blowpipe reaction (Chem.), the characteristic behavior of a substance subjected to a test by means of the blowpipe.
blowpoint |A child's game. [Obs.]
blowse |See Blowze.
blowth |A blossoming; a bloom. [Obs. or Archaic] \"In the blowth and bud.\" Sir W. Raleigh.
blowtube |1. A blowgun. Tylor. 2. A similar instrument, commonly of tin, used by boys for discharging paper wads and other light missiles. 3. (Glassmaking)  A long wrought iron tube, on the end of which the workman gathers a quantity of \"metal\" (melted glass), and through which he blows to expand or shape it; -- called also blowing tube, and blowpipe.
blowy |Windy; as, blowy weather; a blowy upland.
blowze |A ruddy, fat-faced woman; a wench. [Obs.] Shak.
blowzed |Having high color from exposure to the weather; ruddy-faced; blowzy; disordered. Huge women blowzed with health and wind. Tennyson.
blowzy |Coarse and ruddy-faced; fat and ruddy; high colored; frowzy.
blub |To swell; to puff out, as with weeping. [Obs.]
blubber |1. A bubble. At his mouth a blubber stood of foam. Henryson. 2. The fat of whales and other large sea animals from which oil is obtained. It lies immediately under the skin and over the muscular flesh. 3. (Zoöl.)  A large sea nettle or medusa.\n\nTo weep noisily, or so as to disfigure the face; to cry in a childish manner. She wept, she blubbered, and she tore her hair. Swift.\n\n1. To swell or disfigure (the face) with weeping; to wet with tears. Dear Cloe, how blubbered is that pretty face! Prior. 2. To give vent to (tears) or utter (broken words or cries); -- with forth or out.
blubbered |Swollen; turgid; as, a blubbered lip. Spenser.
blubbering |The act of weeping noisily. He spake well save that his blubbering interrupted him. Winthrop.
blubbery |1. Swollen; protuberant. 2. Like blubber; gelatinous and quivering; as, a blubbery mass.
blucher |A kind of half boot, named from the Prussian general Blücher. Thackeray.
bludgeon |A short stick, with one end loaded, or thicker and heavier that the other, used as an offensive weapon.
blue |1. Having the color of the clear sky, or a hue resembling it, whether lighter or darker; as, the deep, blue sea; as blue as a sapphire; blue violets. \"The blue firmament.\" Milton. 2. Pale, without redness or glare, -- said of a flame; hence, of the color of burning brimstone, betokening the presence of ghosts or devils; as, the candle burns blue; the air was blue with oaths. 3. Low in spirits; melancholy; as, to feel blue. 4. Suited to produce low spirits; gloomy in prospect; as, thongs looked blue. [Colloq.] 5. Severe or over strict in morals; gloom; as, blue and sour religionists; suiting one who is over strict in morals; inculcating an impracticable, severe, or gloomy mortality; as, blue laws. 6. Literary; -- applied to women; -- an abbreviation of bluestocking. [Colloq.] The ladies were very blue and well informed. Thackeray. Blue asbestus. See Crocidolite. -- Blue black, of, or having, a very dark blue color, almost black. -- Blue blood. See under Blood. -- Blue buck (Zoöl.), a small South African antelope (Cephalophus pygmæus); also applied to a larger species (Ægoceras leucophæus); the blaubok. -- Blue cod (Zoöl.), the buffalo cod. -- Blue crab (Zoöl.), the common edible crab of the Atlantic coast of the United States (Callinectes hastatus). -- Blue curls (Bot.), a common plant (Trichostema dichotomum), resembling pennyroyal, and hence called also bastard pennyroyal. -- Blue devils, apparitions supposed to be seen by persons suffering with delirium tremens; hence, very low spirits. \"Can Gumbo shut the hall door upon blue devils, or lay them all in a red sea of claret\" Thackeray. -- Blue gage. See under Gage, a plum. -- Blue gum, an Australian myrtaceous tree (Eucalyptus globulus), of the loftiest proportions, now cultivated in tropical and warm temperate regions for its timber, and as a protection against malaria. The essential oil is beginning to be used in medicine. The timber is very useful. See Eucalyptus. -- Blue jack, Blue stone, blue vitriol; sulphate of copper. -- Blue jacket, a man-of war's man; a sailor wearing a naval uniform. -- Blue jaundice. See under Jaundice. -- Blue laws, a name first used in the eighteenth century to describe certain supposititious laws of extreme rigor reported to have been enacted in New Haven; hence, any puritanical laws. [U. S.] -- Blue light, a composition which burns with a brilliant blue flame; -- used in pyrotechnics and as a night signal at sea, and in military operations. -- Blue mantle (Her.), one of the four pursuivants of the English college of arms; -- so called from the color of his official robes. -- Blue mass, a preparation of mercury from which is formed the blue pill. McElrath. -- Blue mold, or mould, the blue fungus (Aspergillus glaucus) which grows on cheese. Brande & C. -- Blue Monday, a Monday following a Sunday of dissipation, or itself given to dissipation (as the Monday before Lent). -- Blue ointment (Med.), mercurial ointment. -- Blue Peter (British Marine), a blue flag with a white square in the center, used as a signal for sailing, to recall boats, etc. It is a corruption of blue repeater, one of the British signal flags. -- Blue pill. (Med.) (a) A pill of prepared mercury, used as an aperient, etc. (b) Blue mass. -- Blue ribbon. (a) The ribbon worn by members of the order of the Garter; -- hence, a member of that order. (b) Anything the attainment of which is an object of great ambition; a distinction; a prize. \"These [scholarships] were the blue ribbon of the college.\" Farrar. (c) The distinctive badge of certain temperance or total abstinence organizations, as of the Blue ribbon Army. -- Blue ruin, utter ruin; also, gin. [Eng. Slang] Carlyle. -- Blue spar (Min.), azure spar; lazulite. See Lazulite. -- Blue thrush (Zoöl.), a European and Asiatic thrush (Petrocossyphus cyaneas). -- Blue verditer. See Verditer. -- Blue vitriol (Chem.), sulphate of copper, a violet blue crystallized salt, used in electric batteries, calico printing, etc. -- Blue water, the open ocean. -- To look blue, to look disheartened or dejected. -- True blue, genuine and thorough; not modified, nor mixed; not spurious; specifically, of uncompromising Presbyterianism, blue being the color adopted by the Covenanters. For his religion . . . 'T was Presbyterian, true blue. Hudibras.\n\n1. One of the seven colors into which the rays of light divide themselves, when refracted through a glass prism; the color of the clear sky, or a color resembling that, whether lighter or darker; a pigment having such color. Sometimes, poetically, the sky. 2. A pedantic woman; a bluestocking. [Colloq.] 3. pl. Etym: [Short for blue devils.]  Low spirits; a fit of despondency; melancholy. [Colloq.] Berlin blue, Prussian blue. -- Mineral blue. See under Mineral. -- Prussian blue. See under Prussian.\n\nTo make blue; to dye of a blue color; to make blue by heating, as metals, etc.
blue bonnet |1. A broad, flat Scottish cap of blue woolen, or one waring such cap; a Scotchman. 2. (Bot.)  A plant. Same as Bluebottle. 3. (Zoöl.)  The European blue titmouse (Parus coeruleus); the bluecap.
blue book |1. A parliamentary publication, so called from its blue paper covers. [Eng.] 2. The United States official \"Biennial Register.\",
  "uprising |1. Act of rising; also, a steep place; an ascent. \"The steep uprising of the hill.\" Shak. 2. An insurrection; a popular revolt. J. P. Peters.
blue grass |A species of grass (Poa compressa) with bluish green stems, valuable in thin gravelly soils; wire grass. Kentucky blue grass, a species of grass (Poa pratensis) which has running rootstocks and spreads rapidly. It is valuable as a pasture grass, as it endures both winter and drought better than other kinds, and is very nutritious.
blue hen state |The State of Delaware; -- a popular sobriquet. It is said, though the story lacks proof, to have taken its origin from the insistence of a Delaware Revolutionary captain, named Caldwell, that no cock could be truly game unless the mother was a blue hen, whence Blue Hen's Chickens came to be a nickname for the people of Delaware.
blue jay |The common jay of the United States (Cyanocitta, or Cyanura, cristata). The predominant color is bright blue.
blue-bonnet |1. A broad, flat Scottish cap of blue woolen, or one waring such cap; a Scotchman. 2. (Bot.)  A plant. Same as Bluebottle. 3. (Zoöl.)  The European blue titmouse (Parus coeruleus); the bluecap.
blue-eye |The blue-cheeked honeysucker of Australia.
blue-eyed |Having blue eyes.
blue-eyed grass |a grasslike plant (Sisyrinchium anceps), with small flowers of a delicate blue color.
blue-grass state |The Sate of Kentucky; -- a nickname alluding to the blue-grass region, where fine horses are bred.
blue-john |A name given to fluor spar in Derbyshire, where it is used for ornamental purposes.
blue-skylaw |A law enacted to provide for the regulation and supervision of investment companies in order to protect the public against companies that do not intend to do a fair and honest business and that offer investments that do not promise a fair return; -- so called because the promises made by some investment companies are as boundless or alluring as the blue sky, or, perhaps, because designed to clear away the clouds and fogs from the simple investor's horizon. [Colloq.]
blue-veined |Having blue veins or blue streaks.
blueback |(a) A trout (Salmo oquassa) inhabiting some of the lakes of Maine. (b) A salmon (Oncorhynchus nerka) of the Columbia River and northward. (c) An American river herring (Clupea æstivalis), closely allied to the alewife.
bluebeard |The hero of a mediæval French nursery legend, who, leaving home, enjoined his young wife not to open a certain room in his castle. She entered it, and found the murdered bodies of his former wives. -- Also used adjectively of a subject which it is forbidden to investigate. The Bluebeard chamber of his mind, into which no eye but his own must look. Carlyle.
bluebell |(a) A plant of the genus Campanula, especially the Campanula rotundifolia, which bears blue bell-shaped flowers; the harebell. (b) A plant of the genus Scilla (Scilla nutans).
blueberry |The berry of several species of Vaccinium, and ericaceous genus, differing from the American huckleberries in containing numerous minute seeds instead of ten nutlets. The commonest species are V. Pennsylvanicum and V. vacillans. V. corymbosum is the tall blueberry.
bluebill |A duck of the genus Fuligula. Two American species (F. marila and F. affinis) are common. See Scaup duck.
bluebird |A small song bird (Sialia sialis), very common in the United States, and, in the north, one of the earliest to arrive in spring. The male is blue, with the breast reddish. It is related to the European robin. Pairy bluebird (Zoöl.), a brilliant Indian or East Indian bird of the genus Irena, of several species.
bluebottle |1. (Bot.)  A plant (Centaurea cyanus) which grows in grain fields. It receives its name from its blue bottle-shaped flowers. 2. (Zoöl.)  A large and troublesome species of blowfly (Musca vomitoria). Its body is steel blue.
bluebreast |A small European bird; the blue-throated warbler.
bluecap |1. (Zoöl.) (a) The bluepoll. (b) The blue bonnet or blue titmouse. 2. A Scot; a Scotchman; -- so named from wearing a blue bonnet. [Poetic] Shak.
bluecoat |One dressed in blue, as a soldier, a sailor, a beadle, etc.
bluefin |A species of whitefish (Coregonus nigripinnis) found in Lake Michigan.
bluefish |1. A large voracious fish (Pomatomus saitatrix), of the family Carangidæ, valued as a food fish, and widely distributed on the American coast. On the New Jersey and Rhode Island coast it is called the horse mackerel, in Virginia saltwater tailor, or skipjack. 2. A West Indian fish (Platyglossus radiatus), of the family Labridæ. Note: The name is applied locally to other species of fishes; as the cunner, sea bass, squeteague, etc.
bluegown |One of a class of paupers or pensioners, or licensed beggars, in Scotland, to whim annually on the king's birthday were distributed certain alms, including a blue gown; a beadsman.
bluely |With a blue color. Swift.
blueness |The quality of being blue; a blue color. Boyle.
bluenose |A nickname for a Nova Scotian.\n\nA Nova Scotian; also, a Nova Scotian ship (called also Blue\"nos`er); a Nova Scotian potato, etc.
bluenoser |A Nova Scotian; also, a Nova Scotian ship (called also Blue\"nos`er); a Nova Scotian potato, etc.
bluepoll |A kind of salmon (Salmo Cambricus) found in Wales.
blueprint |See under Print.
bluestocking |1. A literary lady; a female pedant. [Colloq.] Note: As explained in Boswell's \"Life of Dr. Johnson\| this term is derived from the name given to certain meetings held by ladies| in Johnson's time| for conversation with distinguished literary men. An eminent attendant of these assemblies was a Mr. Stillingfleet| who always wore blue stockings. He was so much distinguished for his conversational powers that his absence at any time was felt to be a great loss| so that the remark became common| \"We can do nothing without the blue stockings.\" Hence these meetings were sportively called bluestocking clubs| and the ladies who attended them| bluestockings. 2. (Zoöl.)  The American avocet (Recurvirostra Americana)."
bluestockingism |The character or manner of a bluestocking; female pedantry. [Colloq.]
bluestone |1. Blue vitriol. Dunglison. 2. A grayish blue building stone, as that commonly used in the eastern United States.
bluethroat |A singing bird of northern Europe and Asia (Cyanecula Suecica), related to the nightingales; -- called also blue-throated robin and blue-throated warbler.
bluets |A name given to several different species of plants having blue flowers, as the Houstonia coerulea, the Centaurea cyanus or bluebottle, and the Vaccinium angustifolium.
bluewing |The blue-winged teal. See Teal.
bluey |,a.Bluish. Southey.
bluff |1. Having a broad, flattened front; as, the bluff bows of a ship. \"Bluff visages.\" Irving. 2. Rising steeply with a flat or rounded front. \"A bluff or bold shore.\" Falconer. Its banks, if not really steep, had a bluff and precipitous aspect. Judd. 3. Surly; churlish; gruff; rough. 4. Abrupt; roughly frank; unceremonious; blunt; brusque; as, a bluff answer; a bluff manner of talking; a bluff sea captain. \"Bluff King Hal.\" Sir W. Scott. There is indeed a bluff pertinacity which is a proper defense in a moment of surprise. I. Taylor.\n\n1. A high, steep bank, as by a river or the sea, or beside a ravine or plain; a cliff with a broad face. Beach, bluff, and wave, adieu. Whittier. 2. An act of bluffing; an expression of self-confidence for the purpose of intimidation; braggadocio; as, that is only bluff, or a bluff. 3. A game at cards; poker. [U.S.] Bartlett.\n\n1. (Poker)  To deter (an opponent) from taking the risk of betting on his hand of cards, as the bluffer does by betting heavily on his own hand although it may be of less value. [U. S.] 2. To frighten or deter from accomplishing a purpose by making a show of confidence in one's strength or resources; as, he bluffed me off. [Colloq.]\n\nTo act as in the game of bluff.
bluff-bowed |Built with the stem nearly straight up and down.
bluff-headed |Built with the stem nearly straight up and down.
bluffer |One who bluffs.
bluffness |The quality or state of being bluff.
bluffy |1. Having bluffs, or bold, steep banks. 2. Inclined to bo bluff; brusque.
bluing |1. The act of rendering blue; as, the bluing of steel. Tomlinson. 2. Something to give a bluish tint, as indigo, or preparations used by washerwomen.
bluish |Somewhat blue; as, bluish veins. \"Bluish mists.\" Dryden. -- Blu\"ish*ly, adv. -- Blu\"ish*ness, n.
blunder |1. To make a gross error or mistake; as, to blunder in writing or preparing a medical prescription. Swift. 2. To move in an awkward, clumsy manner; to flounder and stumble. I was never distinguished for address, and have often even blundered in making my bow. Goldsmith. Yet knows not how to find the uncertain place, And blunders on, and staggers every pace. Dryden. To blunder on. (a) To continue blundering. (b) To find or reach as if by an accident involving more or less stupidity, -- applied to something desirable; as, to blunder on a useful discovery.\n\n1. To cause to blunder. [Obs.] \"To blunder an adversary.\" Ditton. 2. To do or treat in a blundering manner; to confuse. He blunders and confounds all these together. Stillingfleet.\n\n1. Confusion; disturbance. [Obs.] 2. A gross error or mistake, resulting from carelessness, stupidity, or culpable ignorance. Syn. -- Blunder, Error, Mistake, Bull. An error is a departure or deviation from that which is right or correct; as, an error of the press; an error of judgment. A mistake is the interchange or taking of one thing for another, through haste, inadvertence, etc.; as, a careless mistake. A blunder is a mistake or error of a gross kind. It supposes a person to flounder on in his course, from carelessness, ignorance, or stupidity. A bull is a verbal blunder containing a laughable incongruity of ideas.
blunderbuss |1. A short gun or firearm, with a large bore, capable of holding a number of balls, and intended to do execution without exact aim. 2. A stupid, blundering fellow.
blunderer |One who is apt to blunder.
blunderhead |A stupid, blundering fellow.
blundering |Characterized by blunders.
blunderingly |In a blundering manner.
blunge |To amalgamate and blend; to beat up or mix in water, as clay.
blunger |A wooden blade with a cross handle, used for mi Tomlinson.
blunging |The process of mixing clay in potteries with a blunger. Tomlinson.
blunt |1. Having a thick edge or point, as an instrument; dull; not sharp. The murderous knife was dull and blunt. Shak. 2. Dull in understanding; slow of discernment; stupid; -- opposed to acute. His wits are not so blunt. Shak. 3. Abrupt in address; plain; unceremonious; wanting the forms of civility; rough in manners or speech. \"Hiding his bitter jests in blunt behavior.\" \"A plain, blunt man.\" Shak. 4. Hard to impress or penetrate. [R.] I find my heart hardened and blunt to new impressions. Pope. Note: Blunt is much used in composition, as blunt-edged, blunt- sighted, blunt-spoken. Syn. -- Obtuse; dull; pointless; curt; short; coarse; rude; brusque; impolite; uncivil.\n\n1. To dull the edge or point of, by making it thicker; to make blunt. Shak. 2. To repress or weaken, as any appetite, desire, or power of the mind; to impair the force, keenness, or susceptibility, of; as, to blunt the feelings.\n\n1. A fencer's foil. [Obs.] 2. A short needle with a strong point. See Needle. 3. Money. [Cant] Beaconsfield.
blunt-witted |Dull; stupid. Blunt-witted lord, ignoble in demeanor! Shak.
bluntish |Somewhat blunt. -- Blunt\"ish*ness, n.
bluntly |In a blunt manner; coarsely; plainly; abruptly; without delicacy, or the usual forms of civility. Sometimes after bluntly giving his opinions, he would quietly lay himself asleep until the end of their deliberations. Jeffrey.
bluntness |1. Want of edge or point; dullness; obtuseness; want of sharpness. The multitude of elements and bluntness of angles. Holland. 2. A bruptness of address; rude plainness. \"Bluntness of speech.\" Boyle.
blur |1. To render obscure by making the form or outline of confused and uncertain, as by soiling; to smear; to make indistinct and confused; as, to blur manuscript by handling it while damp; to blur the impression of a woodcut by an excess of ink. But time hath nothing blurred those lines of favor Which then he wore. Shak. 2. To cause imperfection of vision in; to dim; to darken. Her eyes are blurred with the lightning's glare. J. R. Drake. 3. To sully; to stain; to blemish, as reputation. Sarcasms may eclipse thine own, But can not blur my lost renown. Hudibras. Syn. -- To spot; blot; disfigure; stain; sully.\n\n1. That which obscures without effacing; a stain; a blot, as upon paper or other substance. As for those who cleanse blurs with blotted fingers, they make it worse. Fuller. 2. A dim, confused appearance; indistinctness of vision; as, to see things with a blur; it was all blur. 3. A moral stain or blot. Lest she . . . will with her railing set a great blur on mine honesty and good name. Udall.
blurry |Full of blurs; blurred.
blurt |To utter suddenly and unadvisedly; to divulge inconsiderately; to ejaculate; -- commonly with out. Others . . . can not hold, but blurt out, those words which afterward they forced to eat. Hakewill. To blurt at, to speak contemptuously of. [Obs.] Shak.
blush |1. To become suffused with red in the cheeks, as from a sense of shame, modesty, or confusion; to become red from such cause, as the cheeks or face. To the nuptial bower I led her blushing like the morn. Milton. In the presence of the shameless and unblushing, the young offender is ashamed to blush. Buckminster. He would stroke The head of modest and ingenuous worth, That blushed at its own praise. Cowper. 2. To grow red; to have a red or rosy color. The sun of heaven, methought, was loth to set, But stayed, and made the western welkin blush. Shak. 3. To have a warm and delicate color, as some roses and other flowers. Full many a flower is born to blush unseen. T. Gray.\n\n1. To suffuse with a blush; to redden; to make roseate. [Obs.] To blush and beautify the cheek again. Shak. 2. To express or make known by blushing. I'll blush you thanks. Shak.\n\n1. A suffusion of the cheeks or face with red, as from a sense of shame, confusion, or modesty. The rosy blush of love. Trumbull. 2. A red or reddish color; a rosy tint. Light's last blushes tinged the distant hills. Lyttleton. At first blush, or At the first blush, at the first appearance or view. \"At the first blush, we thought they had been ships come from France.\" Hakluyt. Note: This phrase is used now more of ideas, opinions, etc., than of material things. \"All purely identical propositions, obviously, and at first blush, appear.\" etc. Locke. -- To put to the blush, to cause to blush with shame; to put to shame.
blusher |One that blushes.
blushet |A modest girl. [Obs.] B. Jonson.
blushful |Full of blushes. While from his ardent look the turning Spring Averts her blushful face. Thomson.
blushing |Showing blushes; rosy red; having a warm and delicate color like some roses and other flowers; blooming; ruddy; roseate. The dappled pink and blushing rose. Prior.\n\nThe act of turning red; the appearance of a reddish color or flush upon the cheeks.
blushingly |In a blushing manner; with a blush or blushes; as, to answer or confess blushingly.
