perfix |To fix surely; to appoint. [Obs.]
persuasibility |Capability of being persuaded. Hawthorne.
persuasible |1. Capable of being persuaded; persuadable. 2. Persuasive. [Obs.] Bale. -- Per*sua\"si*ble*ness, n. -- Per*sua\"si*bly, adv.
persuasion |1. The act of persuading; the act of influencing the mind by arguments or reasons offered, or by anything that moves the mind or passions, or inclines the will to a determination. For thou hast all the arts of fine persuasion. Otway. 2. The state of being persuaded or convinced; settled opinion or conviction, which has been induced. If the general persuasion of all men does so account it. Hooker. My firm persuasion is, at least sometimes, That Heaven will weigh man's virtues and his crimes With nice attention. Cowper. 3. A creed or belief; a sect or party adhering to a certain creed or system of opinions; as, of the same persuasion; all persuasions are agreed. Of whatever state or persuasion, religious or political. Jefferson. 4. The power or quality of persuading; persuasiveness. Is 't possible that my deserts to you Can lack persuasion Shak. 5. That which persuades; a persuasive. [R.] Syn. -- See Conviction.
persuasive |Tending to persuade; having the power of persuading; as, persuasive eloquence. \"Persuasive words.\" Milton.\n\nThat which persuades; an inducement; an incitement; an exhortation. -- Per*sua\"sive*ly, adv. -- Per*sua\"sive*ness, n.
persuasory |Persuasive. Sir T. Browne.
persulphate |A sulphate of the peroxide of any base. [R.]
persulphide |A sulphide containing more sulphur than some other compound of the same elements; as, iron pyrites is a persulphide; -- formerly called persulphuret.
persulphocyanate |A salt of persulphocyanic acid. [R.]
persulphocyanic |Pertaining to, or designating, a yellow crystalline substance (called also perthiocyanic acid), analogous to sulphocyanic acid, but containing more sulphur.
persulphocyanogen |An orange-yellow substance, produced by the action of chlorine or boiling dilute nitric acid and sulphocyanate of potassium; -- called also pseudosulphocyanogen, perthiocyanogen, and formerly sulphocyanogen.
persulphuret |A persulphide. [Obs.]
pert |1. Open; evident; apert. [Obs.] Piers Plowman. 2. Lively; brisk; sprightly; smart. [Obs.] Shak. 3. Indecorously free, or presuming; saucy; bold; impertinent. \"A very pert manner.\" Addison. The squirrel, flippant, pert, and full of play. Cowper.\n\nTo behave with pertness. [Obs.] Gauden.
pertain |1. To belong; to have connection with, or dependence on, something, as an appurtenance, attribute, etc.; to appertain; as, saltness pertains to the ocean; flowers pertain to plant life. Men hate those who affect that honor by ambition which pertaineth not to them. Hayward. 2. To have relation or reference to something. These words pertain unto us at this time as they pertained to them at their time. Latimer.
perterebration |The act of boring through. [Obs.] Ainsworth.
perthiocyanogen |Same as Persulphocyanogen.
perthite |A kind of feldspar consisting of a laminated intertexture of albite and orthoclase, usually of different colors. -- Per*thit\"ic, a.
pertinacious |1. Holding or adhering to any opinion, purpose, or design, with obstinacy; perversely persistent; obstinate; as, pertinacious plotters; a pertinacious beggar. 2. Resolute; persevering; constant; steady. Diligence is a steady, constant, and pertinacious study. South. Syn. -- Obstinate; stubborn; inflexible; unyielding; resolute; determined; firm; constant; steady. -- Per`ti*na\"cious*ly, adv. -- Per`ti*na\"cious*ness, n.
pertinacity |The quality or state of being pertinacious; obstinacy; perseverance; persistency. Macaulay. Syn. -- See Obstinacy.
pertinacy |The quality or state of being pertinent; pertinence. [Obs.]\n\nPertinacity. [Obs.] Chaucer.
pertinate |Pertinacious. [Obs.]
pertinately |Pertinaciously. [Obs.]
pertinence |The quality or state of being pertinent; justness of relation to the subject or matter in hand; fitness; appositeness; relevancy; suitableness. The fitness and pertinency of the apostle's discourse. Bentley.
pertinency |The quality or state of being pertinent; justness of relation to the subject or matter in hand; fitness; appositeness; relevancy; suitableness. The fitness and pertinency of the apostle's discourse. Bentley.
pertinent |1. Belonging or related to the subject or matter in hand; fit or appropriate in any way; adapted to the end proposed; apposite; material; relevant; as, pertinent illustrations or arguments; pertinent evidence. 2. Regarding; concerning; belonging; pertaining. [R.] \"Pertinent unto faith.\" Hooker. Syn. -- Apposite; relevant; suitable; appropriate; fit. -- Per\"ti*nent*ly, adv. -- Per\"ti*nent*ness, n.
pertly |In a pert manner.
pertness |The quality or state of being pert.
pertransient |Passing through or over. [R.]
perturb |1. To disturb; to agitate; to vex; to trouble; to disquiet. Ye that . . . perturb so my feast with crying. Chaucer. 2. To disorder; to confuse. [R.] Sir T. Browne.
perturbability |The quality or state of being perturbable.
perturbable |Liable to be perturbed or agitated; liable to be disturbed or disquieted.
perturbance |Disturbance; perturbation. [R.] \"Perturbance of the mind.\" Sharp.
perturbate |To perturb. [Obs.] Dr. H. More.\n\nPerturbed; agitated. [R.]
perturbation |1. The act of perturbing, or the state of being perturbed; esp., agitation of mind. 2. (Astron.)  A disturbance in the regular elliptic or other motion of a heavenly body, produced by some force additional to that which causes its regular motion; as, the perturbations of the planets are caused by their attraction on each other. Newcomb.
perturbational |Of or pertaining to perturbation, esp. to the perturbations of the planets. \"The perturbational theory.\" Sir J. Herschel.
perturbative |Tending to cause perturbation; disturbing. Sir J. Herschel.
perturbator |A perturber. [R.]
perturbed |Agitated; disturbed; troubled. Shak. -- Per*turb\"ed*ly, adv.
perturber |One who, or that which, perturbs, or cause perturbation.
pertusate |Pierced at the apex.
pertuse |Punched; pierced with, or having, holes.
pertused |Punched; pierced with, or having, holes.
pertusion |The act of punching or piercing with a pointed instrument; as, pertusion of a vein. [R.] Arbuthnot. 2. A punched hole; a perforation. Bacon.
pertussis |The whooping cough.
peruke |A wig; a periwig.\n\nTo dress with a peruke. [R.]
perula |1. (Bot.)  One of the scales of a leaf bud. 2. (Bot.)  A pouchlike portion of the perianth in certain orchides.
perule |Same as Perula.
perusal |1. The act of carefully viewing or examining. [R.] Tatler. 2. The act of reading, especially of reading through or with care. Woodward.
peruse |1. To observe; to examine with care. [R.] Myself I then perused, and limb by limb Surveyed. Milton. 2. To read through; to read carefully. Shak.
peruser |One who peruses.
peruvian |Of or pertaining to Peru, in South America. -- n.  A native or an inhabitant of Peru. Peruvian balsam. See Balsam of Peru, under Balsam. -- Peruvian bark, the bitter bark of trees of various species of Cinchona. It acts as a powerful tonic, and is a remedy for malarial diseases. This property is due to several alkaloids, as quinine, cinchonine, etc., and their compounds; -- called also Jesuit's bark, and cinchona. See Cinchona.
pervade |1. To pass or flow through, as an aperture, pore, or interstice; to permeate. That labyrinth is easily pervaded. Blackstone. 2. To pass or spread through the whole extent of; to be diffused throughout. A spirit of cabal, intrigue, and proselytism pervaded all their thoughts, words, and actions. Burke.
pervasion |The act of pervading, passing, or spreading through the whole extent of a thing. Boyle.
pervasive |Tending to pervade, or having power to spread throughout; of a pervading quality. \"Civilization pervasive and general.\" M. Arnold.
perverse |1. Turned aside; hence, specifically, turned away from the right; willfully erring; wicked; perverted. The only righteous in a word perverse. Milton. 2. Obstinate in the wrong; stubborn; intractable; hence, wayward; vexing; contrary. To so perverse a sex all grace is vain. Dryden. Syn. -- Froward; untoward; wayward; stubborn; ungovernable; intractable; cross; petulant; vexatious. -- Perverse, Froward. One who is froward is capricious, and reluctant to obey. One who is perverse has a settled obstinacy of will, and likes or dislikes by the rule of contradiction to the will of others.
perversed |Turned aside. [Obs.]
perversedly |Perversely. [Obs.]
perversely |In a perverse manner.
perverseness |The quality or state of being perverse. \"Virtue hath some perverseness.\" Donne.
perversion |The act of perverting, or the state of being perverted; a turning from truth or right; a diverting from the true intent or object; a change to something worse; a turning or applying to a wrong end or use. \"Violations and perversions of the laws.\" Bacon.
perversity |The quality or state of being perverse; perverseness.
perversive |Tending to pervert.
pervert |1. To turnanother way; to divert. [Obs.] Let's follow him, and pervert the present wrath. Shak. 2. To turn from truth, rectitude, or propriety; to divert from a right use, end, or way; to lead astray; to corrupt; also, to misapply; to misinterpret designedly; as, to pervert one's words. Dryden. He, in the serpent, had perverted Eve. Milton.\n\nTo become perverted; to take the wrong course. [R.] Testament of Love.\n\nOne who has been perverted; one who has turned to error, especially in religion; -- opposed to convert. See the Synonym of Convert. That notorious pervert, Henry of Navarre. Thackeray.
perverter |One who perverts (a person or thing). \"His own parents his perverters.\" South. \"A perverter of his law.\" Bp. Stillingfleet.
pervertible |Capable of being perverted.
pervestigate |To investigate thoroughly. [Obs.]
pervestigation |Thorough investigation. [Obs.] Chillingworth.
pervial |Pervious. [Obs.] -- Per\"vi*al*ly, adv. [Obs.] Chapman.
pervicacious |Obstinate; willful; refractory. [Obs.] -- Per`vi*ca\"cious*ly, adv. -- Per`vi*ca\"cious*ness, n. [Obs.]
pervicacity |Obstinacy; pervicaciousness. [Obs.] Bentley.
pervicacy |Pervicacity. [Obs.]
pervigilation |Careful watching. [Obs.]
pervious |1. Admitting passage; capable of being penetrated by another body or substance; permeable; as, a pervious soil. [Doors] . . . pervious to winds, and open every way. Pope. 2. Capable of being penetrated, or seen through, by physical or mental vision. [R.] God, whose secrets are pervious to no eye. Jer. Taylor. 3. Capable of penetrating or pervading. [Obs.] Prior. 4. (Zoöl.)  Open; -- used synonymously with perforate, as applied to the nostrils or birds.
perviousness |The quality or state of being pervious; as, the perviousness of glass. Boyle.
pervis |See Parvis.
pery |A pear tree. See Pirie. [Obs.]
pes |The distal segment of the hind limb of vertebrates, including the tarsus and foot.
pesade |The motion of a horse when, raising his fore quarters, he keeps his hind feet on the ground without advancing; rearing.
pesage |A fee, or toll, paid for the weighing of merchandise.
pesane |See Pusane.
pesanted |Made heavy or dull; debased. [Obs.] \"Pesanted to each lewd thought's control.\" Marston.
peschito |See Peshito.
pese |A pea. [Obs.] Chaucer.
peseta |A Spanish silver coin, and money of account, equal to about nineteen cents, and divided into 100 centesimos.
peshito |The earliest Syriac version of the Old Testament, translated from Hebrew; also, the incomplete Syriac version of the New Testament. [Written also peschito.]
peshitto |The earliest Syriac version of the Old Testament, translated from Hebrew; also, the incomplete Syriac version of the New Testament. [Written also peschito.]
pesky |Pestering; vexatious; troublesome. Used also as an intensive. [Colloq. & Low, U.S.] Judd.
peso |A Spanish dollar; also, an Argentine, Chilian, Colombian, etc., coin, equal to from 75 cents to a dollar; also, a pound weight.
