terebrant |Boring, or adapted for boring; -- said of certain Hymenoptera, as the sawflies.
textual |1. Of, pertaining to, or contained in, the text; as, textual criticism; a textual reading. Milton. 2. Serving for, or depending on, texts. Bp. Hall. 3. Familiar with texts or authorities so as to cite them accurately. \"I am not textuel.\" Chaucer.
textualist |A textman; a textuary. Lightfoot.
textually |In a textual manner; in the text or body of a work; in accordance with the text.
textuarist |A textuary. [R.]
textuary |1. Contained in the text; textual. Sir T. Browne. 2. Serving as a text; authoritative. Glanvill.\n\n1. One who is well versed in the Scriptures; a textman. Bp. Bull. 2. One who adheres strictly or rigidly to the text.
textuel |Textual. [Obs.] Chaucer.
textuist |A textualist; a textman. [Obs.] The crabbed textualists of his time. Milton.
textural |Of or pertaining to texture.
texture |1. The act or art of weaving. [R.] Sir T. Browne. 2. That which woven; a woven fabric; a web. Milton. Others, apart far in the grassy dale, Or roughening waste, their humble texture weave. Thomson. 3. The disposition or connection of threads, filaments, or other slender bodies, interwoven; as, the texture of cloth or of a spider's web. 4. The disposition of the several parts of any body in connection with each other, or the manner in which the constituent parts are united; structure; as, the texture of earthy substances or minerals; the texture of a plant or a bone; the texture of paper; a loose or compact texture. 5. (Biol.)  A tissue. See Tissue.\n\nTo form a texture of or with; to interweave. [R.]
textury |The art or process of weaving; texture. [Obs.] Sir T. Browne.
teyne |A thin plate of metal. [Obs.] \"A teyne of silver.\" Chaucer.
th |In Old English, the article the, when the following word began with a vowel, was often written with elision as if a part of the word. Thus in Chaucer, the forms thabsence, tharray, thegle, thend, thingot, etc., are found for the absence, the array, the eagle, the end, etc.
thack |See Thatch, Thatcher. [Obs. or Prov. Eng. & Scot.]
thacker |See Thatch, Thatcher. [Obs. or Prov. Eng. & Scot.]
thak |To thwack. [Obs.] Chaucer.
thalamencephalon |The segment of the brain next in front of the midbrain, including the thalami, pineal gland, and pituitary body; the diencephalon; the interbrain.
thalamic |Of or pertaining to a thalamus or to thalami.
thalamifloral |Bearing the stamens directly on the receptacle; -- said of a subclass of polypetalous dicotyledonous plants in the system of De Candolle.
thalamiflorous |Bearing the stamens directly on the receptacle; -- said of a subclass of polypetalous dicotyledonous plants in the system of De Candolle.
thalamocoele |The cavity or ventricle of the thalamencephalon; the third ventricle.
thalamophora |Same as Foraminifera.
thalamus |1. (Anat.)  A mass of nervous matter on either side of the third ventricle of the brain; -- called also optic thalamus. 2. (Bot.) (a) Same as Thallus. (b) The receptacle of a flower; a torus.
thalassian |Any sea tortoise.
thalassic |Of or pertaining to the sea; -- sometimes applied to rocks formed from sediments deposited upon the sea bottom.
thalassinian |Any species of Thalaassinidæ, a family of burrowing macrurous Crustacea, having a long and soft abdomen.
thalassography |The study or science of the life of marine organisms. Agassiz.
thaler |A German silver coin worth about three shillings sterling, or about 73 cents.
thalia |(a) That one of the nine Muses who presided over comedy. (b) One of the three Graces. (c) One of the Nereids.
thaliacea |A division of Tunicata comprising the free-swimming species, such as Salpa and Doliolum.
thalian |Of or pertaining to Thalia; hence, of or pertaining to comedy; comic.
thallate |A salt of a hypothetical thallic acid.
thallene |A hydrocarbon obtained from coal-tar residues, and remarkable for its intense yellowish green fluorescence.
thallic |Of or pertaining to thallium; derived from, or containing, thallium; specifically, designating those compounds in which the element has a higher valence as contrasted with the thallous compounds; as, thallic oxide.
thalline |Consisting of a thallus.\n\nAn artificial alkaloid of the quinoline series, obtained as a white crystalline substance, C10H13NO, whose salts are valuable as antipyretics; -- so called from the green color produced in its solution by certain oxidizing agents.
thallious |See Thallous.
thallium |A rare metallic element of the aluminium group found in some minerals, as certain pyrites, and also in the lead-chamber deposit in the manufacture of sulphuric acid. It is isolated as a heavy, soft, bluish white metal, easily oxidized in moist air, but preserved by keeping under water. Symbol Tl. Atomic weight 203.7.
thallogen |One of a large class or division of the vegetable kingdom, which includes those flowerless plants, such as fungi, algæ, and lichens, that consist of a thallus only, composed of cellular tissue, or of a congeries of cells, or even of separate cells, and never show a distinction into root, stem, and leaf.
thalloid |Resembling, or consisting of, thallus.
thallophyta |A phylum of plants of very diverse habit and structure, including the algæ, fungi, and lichens. The simpler forms, as many blue-green algæ, yeasts, etc., are unicellular and reproduce vegetatively or  by means of asexual spores; in the higher forms the plant body is a thallus, which may be filamentous or may consist of plates of cells; it is commonly undifferentiated into stem, leaves, and roots, and shows no distinct tissue systems; the fronds of many algæ, however, are modified to serve many of the functions of the above-named organs. Both asexual and sexual reproduction, often of a complex type, occur in these forms. The Thallophyta exist almost exclusively as gametophytes, the sporophyte being absent or rudimentary. By those who do not separate the Myxophyta from the Tallophyta as a distinct phylum the latter is treated as the lowermost group in the vegetable kingdom.
thallophyte |Same as Thallogen.
thallous |Of or pertaining to thallium; derived from, or containing, thallium; specifically, designating those compounds in which the element has a lower valence as contrasted with the thallic compounds. [Written also thallious.]
thallus |A solid mass of cellular tissue, consisting of one or more layers, usually in the form of a flat stratum or expansion, but sometimes erect or pendulous, and elongated and branching, and forming the substance of the thallogens.
thalweg |(a) A line following the lowest part of a valley, whether under water or not. (b) The line of continuous maximum descent from any point on a land surface, or that cutting all contours and angles.
thammuz |1. A deity among the ancient Syrians, in honor of whom the Hebrew idolatresses held an annual lamentation. This deity has been conjectured to be the same with the Phoenician Adon, or Adonis. Milton. 2. The fourth month of the Jewish ecclesiastical year, -- supposed to correspond nearly with our month of July.
thamnophile |A bush shrike.
thamyn |An Asiatic deer (Rucervus Eldi) resembling the swamp deer; -- called also Eld's deer.
than |A particle expressing comparison, used after certain adjectives and adverbs which express comparison or diversity, as more, better, other, otherwise, and the like. It is usually followed by the object compared in the nominative case. Sometimes, however, the object compared is placed in the objective case, and than is then considered by some grammarians as a preposition. Sometimes the object is expressed in a sentence, usually introduced by that; as, I would rather suffer than that you should want. Behold, a greater than Solomon is here. Matt. xii. 42. Which when Beelzebub perceived, than whom, Satan except, none higher sat. Milton. It's wiser being good than bad; It's safer being meek than fierce; It's fitter being sane than mad. R. Browning.\n\nThen. See Then. [Obs.] Gower. Thanne longen folk to gon on pilgrimages. Chaucer.
thana |A police station. [India] Kipling.
thanage |The district in which a thane anciently had jurisdiction; thanedom.
thanatoid |Deathlike; resembling death. Dunglison.
thanatology |A description, or the doctrine, of death. Dunglison.
thanatopsis |A view of death; a meditation on the subject of death. Bryant.
thane |A dignitary under the Anglo-Saxons and Danes in England. Of these there were two orders, the king's thanes, who attended the kings in their courts and held lands immediately of them, and the ordinary thanes, who were lords of manors and who had particular jurisdiction within their limits. After the Conquest, this title was disused, and baron took its place. Note: Among the ancient Scots, thane was a title of honor, which seems gradually to have declined in its significance. Jamieson.
thanedom |The property or jurisdiction of a thane; thanage. Sir W. Scott.
thanehood |The character or dignity of a thane; also, thanes, collectively. J. R. Green.
thaneship |The state or dignity of a thane; thanehood; also, the seignioralty of a thane.
thank |A expression of gratitude; an acknowledgment expressive of a sense of favor or kindness received; obligation, claim, or desert, or gratitude; -- now generally used in the plural. \"This ceremonial thanks.\" Massinger. If ye do good to them which do good to you, what thank have ye for sinners also do even the same. Luke vi. 33. What great thank, then, if any man, reputed wise and constant, will neither do, nor permit others under his charge to do, that which he approves not, especially in matter of sin Milton. Thanks, thanks to thee, most worthy friend, For the lesson thou hast taught. Longfellow. His thanks, Her thanks, etc., of his or her own accord; with his or her good will; voluntary. [Obs.] Full sooth is said that love ne lordship, Will not, his thanks, have no fellowship. Chaucer. -- In thank, with thanks or thankfulness. [Obs.] -- Thank offering, an offering made as an expression of thanks.\n\nTo express gratitude to (anyone) for a favor; to make acknowledgments to (anyone) for kindness bestowed; -- used also ironically for blame. \"Graunt mercy, lord, that thank I you,\" quod she. Chaucer. I thank thee for thine honest care. Shak. Weigh the danger with the doubtful bliss, And thank yourself if aught should fall amiss. Dryden.
thankful |1. Obtaining or deserving thanks; thankworthy. [R.] Ladies, look here; this is the thankful glass That mends the looker's eyes; this is the well That washes what it shows. Herbert. 2. Impressed with a sense of kindness received, and ready to acknowledge it; grateful. Be thankful unto him, and bless his name. Ps. c. 4. -- Thank\"ful*ly, adv. -- Thank\"ful*ness, n.
thankless |1. Not acknowledging favors; not expressing thankfulness; unthankful; ungrateful. That she may feel How sharper than a serpent's tooth it is To have a thankless child! Shak. 2. Not obtaining or deserving thanks; unacceptable; as, a thankless task. To shepherd thankless, but by thieves that love the night allowed. Chapman. -- Thank\"less*ly, adv. -- Thank\"less*ness, n.
thankly |Thankfully. [Obs.] Sylvester (Du Bartas).
thanksgive |To give or dedicate in token of thanks. [Obs. or R.] Mede.
thanksgiver |One who gives thanks, or acknowledges a kindness. Barrow.
thanksgiving |1. The act of rending thanks, or expressing gratitude for favors or mercies. Every creature of God is good, and nothing to be refused, if it be received with thanksgiving. 1 Tim. iv. 4. In the thanksgiving before meat. Shak. And taught by thee the Church prolongs Her hymns of high thanksgiving still. Keble. 2. A public acknowledgment or celebration of divine goodness; also, a day set apart for religious services, specially to acknowledge the goodness of God, either in any remarkable deliverance from calamities or danger, or in the ordinary dispensation of his bounties. Note: In the United States it is now customary for the President by proclamation to appoint annually a day (usually the last Thursday in November) of thanksgiving and praise to God for the mercies of the past year. This is an extension of the custom long prevailing in several States in which an annual Thanksgiving day has been appointed by proclamation of the governor.
thankworthiness |The quality or state of being thankworthy.
thankworthy |Deserving thanks; worthy of gratitude; mreitorious. For this thankworthy, if a man, for conscience toward God, endure grief, suffering wrongfully. 1 Pet. ii. 19.
thar |A goatlike animal (Capra Jemlaica) native of the Himalayas. It has small, flattened horns, curved directly backward. The hair of the neck, shoulders, and chest of the male is very long, reaching to the knees. Called also serow, and imo. [Written also thaar, and tahr.]\n\nIt needs; need. [Obs.] Piers Plowman. What thar thee reck or care Chaucer.
tharms |Twisted guts. [Obs. or Prov. Eng.] Ascham.
tharos |A small American butterfly (Phycoides tharos) having the upper surface of the wings variegated with orange and black, the outer margins black with small white crescents; -- called also pearl crescent.
that |1. As a demonstrative pronoun (pl. Those), that usually points out, or refers to, a person or thing previously mentioned, or supposed to be understood. That, as a demonstrative, may precede the noun to which it refers; as, that which he has said is true; those in the basket are good apples. The early fame of Gratian was equal to that of the most celebrated princes. Gibbon. Note: That may refer to an entire sentence or paragraph, and not merely to a word. It usually follows, but sometimes precedes, the sentence referred to. That be far from thee, to do after this manner, to slay the righteous with the wicked. Gen. xviii. 25. And when Moses heard that, he was content. Lev. x. 20. I will know your business, Harry, that I will. Shak. Note: That is often used in opposition to this, or by way of distinction, and in such cases this, like the Latin hic and French ceci, generally refers to that which is nearer, and that, like Latin ille and French cela, to that which is more remote. When they refer to foreign words or phrases, this generally refers to the latter, and that to the former. Two principles in human nature reign; Self-love, to urge, and Reason, to restrain; Nor this a good, nor that a bad we call. Pope. If the Lord will, we shall live, and do this or that. James iv. 16. 2. As an adjective, that has the same demonstrative force as the pronoun, but is followed by a noun. It shall be more tolerable for Sodom and Gomorrah in the day of judgment, than for that city. Matt. x. 15. The woman was made whole from that hour. Matt. ix. 22. Note: That was formerly sometimes used with the force of the article the, especially in the phrases that one, that other, which were subsequently corrupted into th'tone, th'tother (now written t'other). Upon a day out riden knightes two . . . That one of them came home, that other not. Chaucer. 3. As a relative pronoun, that is equivalent to who or which, serving to point out, and make definite, a person or thing spoken of, or alluded to, before, and may be either singular or plural. He that reproveth a scorner getteth to himself shame. Prov. ix. 7. A judgment that is equal and impartial must incline to the greater probabilities. Bp. Wilkins. Note: If the relative clause simply conveys an additional idea, and is not properly explanatory or restrictive, who or which (rarely that) is employed; as, the king that (or who) rules well is generally popular; Victoria, who (not that) rules well, enjoys the confidence of her subjects. Ambiguity may in some cases be avoided in the use of that (which is restrictive) instead of who or which, likely to be understood in a coördinating sense. Bain. That was formerly used for that which, as what is now; but such use is now archaic. We speak that we do know, and testify that we have seen. John iii. 11. That I have done it is thyself to wite [blame]. Chaucer. That, as a relative pronoun, cannot be governed by a preposition preceding it, but may be governed by one at the end of the sentence which it commences. The ship that somebody was sailing in. Sir W. Scott. In Old English, that was often used with the demonstratives he, his, him, etc., and the two together had the force of a relative pronoun; thus, that he = who; that his = whose; that him = whom. I saw to-day a corpse yborn to church That now on Monday last I saw him wirche [work]. Chaucer. Formerly, that was used, where we now commonly use which, as a relative pronoun with the demonstrative pronoun that as its antecedent. That that dieth, let it die; and that that is to cut off, let it be cut off. Zech. xi. 9. 4. As a conjunction, that retains much of its force as a demonstrative pronoun. It is used, specifically: -- (a) To introduce a clause employed as the object of the preceding verb, or as the subject or predicate nominative of a verb. She tells them 't is a causeless fantasy, And childish error, that they are afraid. Shak. I have shewed before, that a mere possibility to the contrary, can by no means hinder a thing from being highly credible. Bp. Wilkins. (b) To introduce, a reason or cause; -- equivalent to for that, in that, for the reason that, because. He does hear me; And that he does, I weep. Shak. (c) To introduce a purpose; -- usually followed by may, or might, and frequently preceded by so, in order, to the end, etc. These things I say, that ye might be saved. John v. 34. To the end that he may prolong his days. Deut. xvii. 20. (d) To introduce a consequence, result, or effect; -- usually preceded by so or such, sometimes by that. The birds their notes renew, and bleating herds Attest their joy, that hill and valley rings. Milton. He gazed so long That both his eyes were dazzled. Tennyson. (e) To introduce a clause denoting time; -- equivalent to in which time, at which time, when. So wept Duessa until eventide, That shining lamps in Jove's high course were lit. Spenser. Is not this the day That Hermia should give answer of her choice Shak. (f) In an elliptical sentence to introduce a dependent sentence expressing a wish, or a cause of surprise, indignation, or the like. Ha, cousin Silence, that thou hadst seen that that this knight and I have seen! Shak. O God, that right should thus overcome might! Shak. Note: That was formerly added to other conjunctions or to adverbs to make them emphatic. To try if that our own be ours or no. Shak. That is sometimes used to connect a clause with a preceding conjunction on which it depends. When he had carried Rome and that we looked For no less spoil than glory. Shak. 5. As adverb: To such a degree; so; as, he was that frightened he could say nothing. [Archaic or in illiteral use.] All that, everything of that kind; all that sort. With singing, laughing, ogling, and all that. Pope. The rank is but the guinea's stamp, The man's the gowd [gold] for a'that. Burns. -- For that. See under For, prep. -- In that. See under In, prep.
thatch |1. Straw, rushes, or the like, used for making or covering the roofs of buildings, or of stacks of hay or grain. 2. (Bot.)  A name in the West Indies for several kinds of palm, the leaves of which are used for thatching. Thatch sparrow, the house sparrow. [Prov. Eng.]\n\nTo cover with, or with a roof of, straw, reeds, or some similar substance; as, to thatch a roof, a stable, or a stack of grain.
thatcher |One who thatches.
thatching |1. The act or art of covering buildings with thatch; so as to keep out rain, snow, etc. 2. The materials used for this purpose; thatch.
thaught |See Thwart.
thaumatolatry |Worship or undue admiration of wonderful or miraculous things. [R.] The thaumatolatry by which our theology has been debased for more than a century. Hare.
thaumatrope |An optical instrument or toy for showing the presistence of an impression upon the eyes after the luminous object is withdrawn. Note: It consists of a card having on its opposite faces figures of two different objects, or halves of the same object, as a bird and a cage, which, when the card is whirled rapidlz round a diameter by the strings that hold it, appear to the eye combined in a single picture, as of a bird in its cage.
thaumaturge |A magician; a wonder worker. Lowell.
thaumaturgic |Of or pertaining to thaumaturgy; magical; wonderful. Burton.
thaumaturgical |Of or pertaining to thaumaturgy; magical; wonderful. Burton.
thaumaturgics |Feats of legerdemain, or magical performances.
thaumaturgist |One who deals in wonders, or believes in them; a wonder worker. Carlyle.
thaumaturgus |A miracle worker; -- a title given by the Roman Catholics to some saints.
thaumaturgy |The act or art of performing something wonderful; magic; legerdemain. T. Warton.
thave |Same as Theave. [Prov. Eng.]
thaw |1. To melt, dissolve, or become fluid; to soften; -- said of that which is frozen; as, the ice thaws. 2. To become so warm as to melt ice and snow; -- said in reference to the weather, and used impersonally. 3. Fig.: To grow gentle or genial.\n\nTo cause (frozen things, as earth, snow, ice) to melt, soften, or dissolve.\n\nThe melting of ice, snow, or other congealed matter; the resolution of ice, or the like, into the state of a fluid; liquefaction by heat of anything congealed by frost; also, a warmth of weather sufficient to melt that which is congealed. Dryden.
thawy |Liquefying by heat after having been frozen; thawing; melting.
the |See Thee. [Obs.] Chaucer. Milton.\n\nA word placed before nouns to limit or individualize their meaning. Note: The was originally a demonstrative pronoun, being a weakened form of that. When placed before adjectives and participles, it converts them into abstract nouns; as, the sublime and the beautiful. Burke. The is used regularly before many proper names, as of rivers, oceans, ships, etc.; as, the Nile, the Atlantic, the Great Eastern, the West Indies, The Hague. The with an epithet or ordinal number often follows a proper name; as, Alexander the Great; Napoleon the Third. The may be employed to individualize a particular kind or species; as, the grasshopper shall be a burden. Eccl. xii. 5.\n\nBy that; by how much; by so much; on that account; -- used before comparatives; as, the longer we continue in sin, the more difficult it is to reform. \"Yet not the more cease I.\" Milton. So much the rather thou, Celestial Light, Shine inward, and the mind through all her powers Irradiate. Milton.
the gapes |(a) A fit of yawning. (b) A disease of young poultry and other birds, attended with much gaping. It is caused by a parasitic nematode worm (Syngamus trachealis), in the windpipe, which obstructs the breathing. See Gapeworm.
thea |A genus of plants found in China and Japan; the tea plant. Note: It is now commonly referred to the genus camellia.
theandric |Relating to, or existing by, the union of divine and human operation in Christ, or the joint agency of the divine and human nature. Murdock.
theanthropic |Partaking of, or combining, both divinity and humanity. [R.] The gorgeous and imposing figures of his [Homer's] theanthropic sytem. Gladstone.
theanthropical |Partaking of, or combining, both divinity and humanity. [R.] The gorgeous and imposing figures of his [Homer's] theanthropic sytem. Gladstone.
theanthropism |1. A state of being God and man. [R.] Coleridge. 2. The ascription of human atributes to the Deity, or to a polytheistic deity; anthropomorphism. Gladstone.
theanthropist |One who advocates, or believes in, theanthropism.
theanthropy |Theanthropism.
thearchic |Divinely sovereign or supreme. [R.] He [Jesus] is the thearchic Intelligence. Milman.
thearchy |Government by God; divine sovereignty; theocracy.
theater |1. An edifice in which dramatic performances or spectacles are exhibited for the amusement of spectators; anciently uncovered, except the stage, but in modern times roofed. 2. Any room adapted to the exhibition of any performances before an assembly, as public lectures, scholastic exercises, anatomical demonstrations, surgical operations, etc. 3. That which resembles a theater in form, use, or the like; a place rising by steps or gradations, like the seats of a theater. Burns. Shade above shade, a woody theater Of stateliest view. Milton. 4. A sphere or scheme of operation. [Obs.] For if a man can be partaker of God's theater, he shall likewise be partaker of God's rest. Bacon. 5. A place or region where great events are enacted; as, the theater of war.
theatin |1. One of an order of Italian monks, established in 1524, expressly to oppose Reformation, and to raise the tone of piety among Roman Catholics. They hold no property, nor do they beg, but depend on what Providence sends. Their chief employment is preaching and giving religious instruction. Note: Their name is derived from Theate, or Chieti, a city of Naples, the archbishop of which was a principal founder of the order; but they bore various names; as, Regular Clerks of the Community, Pauline Monks, Apostolic Clerks, and Regular Clerks of the Divine Providence. The order never flourished much out of Italy. 2. (R. C. Ch.)  One of an order of nuns founded by Ursula Benincasa, who died in 1618.
theatine |1. One of an order of Italian monks, established in 1524, expressly to oppose Reformation, and to raise the tone of piety among Roman Catholics. They hold no property, nor do they beg, but depend on what Providence sends. Their chief employment is preaching and giving religious instruction. Note: Their name is derived from Theate, or Chieti, a city of Naples, the archbishop of which was a principal founder of the order; but they bore various names; as, Regular Clerks of the Community, Pauline Monks, Apostolic Clerks, and Regular Clerks of the Divine Providence. The order never flourished much out of Italy. 2. (R. C. Ch.)  One of an order of nuns founded by Ursula Benincasa, who died in 1618.
theatral |Of or pertaining to a theater; theatrical. [Obs.]
theatre |1. An edifice in which dramatic performances or spectacles are exhibited for the amusement of spectators; anciently uncovered, except the stage, but in modern times roofed. 2. Any room adapted to the exhibition of any performances before an assembly, as public lectures, scholastic exercises, anatomical demonstrations, surgical operations, etc. 3. That which resembles a theater in form, use, or the like; a place rising by steps or gradations, like the seats of a theater. Burns. Shade above shade, a woody theater Of stateliest view. Milton. 4. A sphere or scheme of operation. [Obs.] For if a man can be partaker of God's theater, he shall likewise be partaker of God's rest. Bacon. 5. A place or region where great events are enacted; as, the theater of war.
theatric |Theatrical. Woods over woods in gay, theatric pride. Goldsmith.
theatrical |Of or pertaining to a theater, or to the scenic representations; resembling the manner of dramatic performers; histrionic; hence, artificial; as, theatrical performances; theatrical gestures. -- The*at`ri*cal\"i*ty, n. -- The*at\"ric*al*ly, adv. No meretricious aid whatever has been called in -- no trick, no illusion of the eye, nothing theatrical. R. Jefferies.
theatricals |Dramatic performances; especially, those produced by amateurs. Such fashionable cant terms as `theatricals,' and `musicals,' invented by the flippant Topham, still survive among his confraternity of frivolity. I. Disraeli.
theave |A ewe lamb of the first year; also, a sheep three years old. [Written also thave.] [Prov. Eng.] Halliwell.
thebaic |Of or pertaining to Thebes in Egypt; specifically, designating a version of the Bible preserved by the Copts, and esteemed of great value by biblical scholars. This version is also called the Sahidic version.
thebaid |A Latin epic poem by Statius about Thebes in Boeotia.
thebaine |A poisonous alkaloid, C19H21NO3, found in opium in small quantities, having a sharp, astringent taste, and a tetanic action resembling that of strychnine.
theban |Of or pertaining to Thebes. Theban year (Anc. Chron.), the Egyptian year of 365 days and 6 hours. J. Bryant.\n\nA native or inhabitant of Thebes; also, a wise man. I'll talk a word with this same learned Theban. Shak.
theca |1. A sheath; a case; as, the theca, or cell, of an anther; the theca, or spore case, of a fungus; the theca of the spinal cord. 2. (Zoöl.) (a) The chitinous cup which protects the hydranths of certain hydroids. (b) The more or less cuplike calicle of a coral. (c) The wall forming a calicle of a coral.
thecal |Of or pertaining to a theca; as, a thecal abscess.
thecaphore |(a) A surface or organ bearing a theca, or covered with thecæ. (b) See Basigynium.
thecasporous |Having the spores in thecæ, or cases.
thecata |Same as Thecophora.
thecla |Any one of many species of small delicately colored butterflies belonging to Thecla and allied genera; -- called also hairstreak, and elfin.
thecodactyl |Any one of a group of lizards of the Gecko tribe, having the toes broad, and furnished with a groove in which the claws can be concealed.
thecodont |1. (Anat.)  Having the teeth inserted in sockets in the alveoli of the jaws. 2. (Paleon.)  Of or pertaining to the thecodonts.\n\nOne of the Thecodontia.
thecodontia |A group of fossil saurians having biconcave vertebræ and the teeth implanted in sockets.
thecophora |A division of hydroids comprising those which have the hydranths in thecæ and the gonophores in capsules. The campanularians and sertularians are examples. Called also Thecata. See Illust. under Hydroidea.
thecosomata |An order of Pteropoda comprising those species which have a shell. See Pteropoda. -- The`co*so\"ma*tous, a.
thedom |Success; fortune; luck; chance. [Obs.] Evil thedom on his monk's snout. Chaucer.
thee |To thrive; to prosper. [Obs.] \"He shall never thee.\" Chaucer. Well mote thee, as well can wish your thought. Spenser.\n\nThe objective case of thou. See Thou. Note: Thee is poetically used for thyself, as him for himself, etc. This sword hath ended him; so shall it thee, Unless thou yield thee as my prisoner. Shak.
theft |1. (Law)  The act of stealing; specifically, the felonious taking and removing of personal property, with an intent to deprive the rightful owner of the same; larceny. Note: To constitute theft there must be a taking without the owner's consent, and it must be unlawful or felonious; every part of the property stolen must be removed, however slightly, from its former position; and it must be, at least momentarily, in the complete possession of the thief. See Larceny, and the Note under Robbery. 2. The thing stolen. [R.] If the theft be certainly found in his hand alive, . . . he shall restore double. Ex. xxii. 4.
theftbote |The receiving of a man's goods again from a thief, or a compensation for them, by way of composition, with the intent that the thief shall escape punishment.
thegn |Thane. See Thane. E. A. Freeman.
thegnhood |Thanehood. E. A. Freeman.
theiform |Having the form of tea.
theine |See Caffeine. Called also theina.
their |The possessive case of the personal pronoun they; as, their houses; their country. Note: The possessive takes the form theirs (theirs is best cultivated. Nothing but the name of zeal appears 'Twixt our best actions and the worst of theirs. Denham.
theism |The belief or acknowledgment of the existence of a God, as opposed to atheism, pantheism, or polytheism.
theist |One who believes in the existence of a God; especially, one who believes in a personal God; -- opposed to atheist.
theistic |Of or pertaining to theism, or a theist; according to the doctrine of theists.
theistical |Of or pertaining to theism, or a theist; according to the doctrine of theists.
thelphusian |One of a tribe of fresh-water crabs which live in or on the banks of rivers in tropical countries.
thelytokous |Producing females only; -- said of certain female insects.
them |The objective case of they. See They. Go ye rather to them that sell, and buy for yourselves. Matt. xxv. 9. Then shall the King say unto them on his right hand, Come, ye blessed of my Father. Matt. xxv. 34. Note: Them is poetically used for themselves, as him for himself, etc. Little stars may hide them when they list. Shak.
thematic |1. (Gram.)  Of or pertaining to the theme of a word. See Theme, n., 4. 2. (Mus.)  Of or pertaining to a theme, or subject. Thematic catalogue (Mus.), a catalogue of musical works which, besides the title and other particulars, gives in notes the theme, or first few measures, of the whole work or of its several movements.
theme |1. A subject or topic on which a person writes or speaks; a proposition for discussion or argument; a text. My theme is alway one and ever was. Chaucer. And when a soldier was the theme, my name Was not far off. Shak. 2. Discourse on a certain subject. Then ran repentance and rehearsed his theme. Piers Plowman. It was the subject of my theme. Shak. 3. A composition or essay required of a pupil. Locke. 4. (Gram.)  A noun or verb, not modified by inflections; also, that part of a noun or verb which remains unchanged (except by euphonic variations) in declension or conjugation; stem. 5. That by means of which a thing is done; means; instrument. [Obs.] Swift. 6. (Mus.)  The leading subject of a composition or a movement.
themis |The goddess of law and order; the patroness of existing rights.
themselves |The plural of himself, herself, and itself. See Himself, Herself, Itself.
then |1. At that time (referring to a time specified, either past or future). And the Canaanite was then in the land. Gen. xii. 6. Now I know in part; but then shall I know even as also I am known. 1 Cor. xiii. 12. 2. Soon afterward, or immediately; next; afterward. First be reconciled to thy brother, and then come and offer thy gift. Matt. v. 24. 3. At another time; later; again. One while the master is not aware of what is done, and then in other cases it may fall out to be own act. L'Estrange. By then. (a) By that time. (b) By the time that. [Obs.] But that opinion, I trust, by then this following argument hath been well read, will be left for one of the mysteries of an indulgent Antichrist. Milton. Now and then. See under Now, adv. -- Till then, until that time; until the time mentioned. Milton. Note: Then is often used elliptically, like an adjective, for then existing; as, the then administration.\n\n1. Than. [Obs.] Spenser. 2. In that case; in consequence; as a consequence; therefore; for this reason. If all this be so, then man has a natural freedom. Locke. Now, then, be all thy weighty cares away. Dryden. Syn. -- Therefore. Then, Therefore. Both these words are used in reasoning; but therefore takes the lead, while then is rather subordinate or incidental. Therefore states reasons and draws inferences in form; then, to a great extent, takes the point as proved, and passes on to the general conclusion. \"Therefore being justified by faith, we have peace with God.\" Rom. v. 1. \"So then faith cometh by hearing, and hearing by the word of God.\" Rom. x. 17.
thenadays |At that time; then; in those days; -- correlative to nowadays. [R.]
thenal |Of or pertaining to the thenar; corresponding to thenar; palmar.
thenar |Of or pertaining to the thenar; corresponding to thenar; palmar.\n\n(a) The palm of the hand. (b) The prominence of the palm above the base of the thumb; the thenar eminence; the ball of the thumb. Sometimes applied to the corresponding part of the foot.
thenardite |Anhydrous sodium sulphate, a mineral of a white or brown color and vitreous luster.
thence |1. From that place. \"Bid him thence go.\" Chaucer. When ye depart thence, shake off the dust under your feet for a testimony against them. Mark vi. 11. Note: It is not unusual, though pleonastic, to use from before thence. Cf. Hence, Whence. Then I will send, and fetch thee from thence. Gen. xxvii. 45. 2. From that time; thenceforth; thereafter. There shall be no more thence an infant of days. Isa. lxv. 20. 3. For that reason; therefore. Not to sit idle with so great a gift Useless, and thence ridiculous, about him. Milton. 4. Not there; elsewhere; absent. [Poetic] Shak.
thenceforth |From that time; thereafter. If the salt have lost his savor, wherewith shall it be salted it is thenceforth good for nothing. Matt. v. 13. Note: This word is sometimes preceded by from, -- a redundancy sanctioned by custom. Chaucer. John. xix. 12.
thenceforward |From that time onward; thenceforth.
thencefrom |From that place. [Obs.]
theobroma |A genus of small trees. See Cacao.
theobromic |Of, pertaining to, or designating, an acid extracted from cacao butter (from the Theobroma Cacao), peanut oil (from Arachis hypogæa), etc., as a white waxy crystalline substance.
theobromine |An alkaloidal ureide, C7H8N4O2, homologous with and resembling caffeine, produced artificially, and also extracted from cacao and chocolate (from Theobroma Cacao) as a bitter white crystalline substance; -- called also dimethyl xanthine.
theochristic |Anointed by God.
theocracy |1. Government of a state by the immediate direction or administration of God; hence, the exercise of political authority by priests as representing the Deity. 2. The state thus governed, as the Hebrew commonwealth before it became a kingdom.
