half-faced |Showing only part of the face; wretched looking; meager. Shak.
happiness |1. Good luck; good fortune; prosperity. All happiness bechance to thee in Milan! Shak. 2. An agreeable feeling or condition of the soul arising from good fortune or propitious happening of any kind; the possession of those circumstances or that state of being which is attended enjoyment; the state of being happy; contentment; joyful satisfaction; felicity; blessedness. 3. Fortuitous elegance; unstudied grace; -- used especially of language. Some beauties yet no precepts can declare, For there's a happiness, as well as care. Pope. Syn. -- Happiness, Felicity, Blessedness, Bliss. Happiness is generic, and is applied to almost every kind of enjoyment except that of the animal appetites; felicity is a more formal word, and is used more sparingly in the same general sense, but with elevated associations; blessedness is applied to the most refined enjoyment arising from the purest social, benevolent, and religious affections; bliss denotes still more exalted delight, and is applied more appropriately to the joy anticipated in heaven. O happiness! our being's end and aim! Pope. Others in virtue place felicity, But virtue joined with riches and long life; In corporal pleasures he, and careless ease. Milton. His overthrow heaped happiness upon him; For then, and not till then, he felt himself, And found the blessedness of being little. Shak.
happy |1. Favored by hap, luck, or fortune; lucky; fortunate; successful; prosperous; satisfying desire; as, a happy expedient; a happy effort; a happy venture; a happy omen. Chymists have been more happy in finding experiments than the causes of them. Boyle. 2. Experiencing the effect of favorable fortune; having the feeling arising from the consciousness of well-being or of enjoyment; enjoying good of any kind, as peace, tranquillity, comfort; contented; joyous; as, happy hours, happy thoughts. Happy is that people, whose God is the Lord. Ps. cxliv. 15. The learned is happy Nature to explore, The fool is happy that he knows no more. Pope. 3. Dexterous; ready; apt; felicitous. One gentleman is happy at a reply, another excels in a in a rejoinder. Swift. Happy family, a collection of animals of different and hostile propensities living peaceably together in one cage. Used ironically of conventional alliances of persons who are in fact mutually repugnant. -- Happy-go-lucky, trusting to hap or luck; improvident; easy-going. \"Happy-go-lucky carelessness.\" W. Black.
hapuku |A large and valuable food fish (Polyprion prognathus) of New Zealand. It sometimes weighs one hundred pounds or more.
haquebut |See Hagbut.
hara-kiri |Suicide, by slashing the abdomen, formerly practiced in Japan, and commanded by the government in the cases of disgraced officials; disembowelment; -- also written, but incorrectly, hari-kari. W. E. Griffis.
harangue |A speech addressed to a large public assembly; a popular oration; a loud address a multitude; in a bad sense, a noisy or pompous speech; declamation; ranting. Gray-headed men and grave, with warriors mixed, Assemble, and harangues are heard. Milton. Syn. -- Harangue, Speech, Oration. Speech is generic; an oration is an elaborate and rhetorical speech; an harangue is a vehement appeal to the passions, or a noisy, disputatious address. A general makes an harangue to his troops on the eve of a battle; a demagogue harangues the populace on the subject of their wrongs.\n\nTo make an harangue; to declaim.\n\nTo address by an harangue.
harangueful |Full of harangue.
haranguer |One who harangues, or is fond of haranguing; a declaimer. With them join'd all th' harangues of the throng, That thought to get preferment by the tongue. Dryden.
harass |To fatigue; to tire with repeated and exhausting efforts; esp., to weary by importunity, teasing, or fretting; to cause to endure excessive burdens or anxieties; -- sometimes followed by out. [Troops] harassed with a long and wearisome march. Bacon. Nature oppressed and harass'd out with care. Addison. Vext with lawyers and harass'd with debt. Tennyson. Syn. -- To weary; jade; tire; perplex; distress; tease; worry; disquiet; chafe; gall; annoy; irritate; plague; vex; molest; trouble; disturb; torment.\n\n1. Devastation; waste. [Obs.] Milton. 2. Worry; harassment. [R.] Byron.
harasser |One who harasses.
harassment |The act of harassing, or state of being harassed; worry; annoyance; anxiety. Little harassments which I am led to suspect do occasionally molest the most fortunate. Ld. Lytton.
harberous |Harborous. [Obs.] A bishop must be faultless, the husband of one wife, honestly appareled, harberous. Tyndale (1 Tim. iii. 2)
harbinger |1. One who provides lodgings; especially, the officer of the English royal household who formerly preceded the court when traveling, to provide and prepare lodgings. Fuller. 2. A forerunner; a precursor; a messenger. I knew by these harbingers who were coming. Landor.\n\nTo usher in; to be a harbinger of. \"Thus did the star of religious freedom harbinger the day.\" Bancroft.
harbor |1. A station for rest and entertainment; a place of security and comfort; a refuge; a shelter. [A grove] fair harbour that them seems. Spenser. For harbor at a thousand doors they knocked. Dryden. 2. Specif.: A lodging place; an inn. [Obs.] Chaucer. 3. (Astrol.)  The mansion of a heavenly body. [Obs.] 4. A portion of a sea, a lake, or other large body of water, either landlocked or artificially protected so as to be a place of safety for vessels in stormy weather; a port or haven. 5. (Glass Works)  A mixing box materials. Harbor dues (Naut.), fees paid for the use of a harbor. -- Harbor seal (Zoöl.), the common seal. -- Harbor watch, a watch set when a vessel is in port; an anchor watch.\n\nTo afford lodging to; to enter as guest; to receive; to give a refuge to; indulge or cherish (a thought or feeling, esp. an ill thought). Any place that harbors men. Shak. The bare suspicion made it treason to harbor the person suspected. Bp. Burnet. Let not your gentle breast harbor one thought of outrage. Rowe.\n\nTo lodge, or abide for a time; to take shelter, as in a harbor. For this night let's harbor here in York. Shak.
harbor master |An officer charged with the duty of executing the regulations respecting the use of a harbor.
harborage |Shelter; entertainment.[R.] Where can I get me harborage for the night Tennyson.
harborer |One who, or that which, harbors. Geneva was . . . a harborer of exiles for religion. Strype.
harborless |Without a harbor; shelterless.
harborough |A shelter. [Obs]. Spenser.
harborous |Hospitable. [Obs.]
harbrough |A shelter. [Obs]. Spenser.
hard |1. Not easily penetrated, cut, or separated into parts; not yielding to pressure; firm; solid; compact; -- applied to material bodies, and opposed to soft; as, hard wood; hard flesh; a hard apple. 2. Difficult, mentally or judicially; not easily apprehended, decided, or resolved; as a hard problem. The hard causes they brought unto Moses. Ex. xviii. 26. In which are some things hard to be understood. 2 Peter iii. 16. 3. Difficult to accomplish; full of obstacles; laborious; fatiguing; arduous; as, a hard task; a disease hard to cure. 4. Difficult to resist or control; powerful. The stag was too hard for the horse. L'Estrange. A power which will be always too hard for them. Addison. 5. Difficult to bear or endure; not easy to put up with or consent to; hence, severe; rigorous; oppressive; distressing; unjust; grasping; as, a hard lot; hard times; hard fare; a hard winter; hard conditions or terms. I never could drive a hard bargain. Burke. 6. Difficult to please or influence; stern; unyielding; obdurate; unsympathetic; unfeeling; cruel; as, a hard master; a hard heart; hard words; a hard character. 7. Not easy or agreeable to the taste; stiff; rigid; ungraceful; repelling; as, a hard style. Figures harder than even the marble itself. Dryden. 8. Rough; acid; sour, as liquors; as, hard cider. 9. (Pron.) Abrupt or explosive in utterance; not aspirated, sibilated, or pronounced with a gradual change of the organs from one position to another;- said of certain consonants, as c in came, and g in go, as distinguished from the same letters in center, general, etc. 10. Wanting softness or smoothness of utterance; harsh; as, a hard tone. 11. (Painting) (a) Rigid in the drawing or distribution of the figures; formal; lacking grace of composition. (b) Having disagreeable and abrupt contrasts in the coloring or light and shade. Hard cancer, Hard case, etc. See under Cancer, Case, etc. -- Hard clam, or Hard-shelled clam (Zoöl.), the guahog. -- Hard coal, anthracite, as distinguished from bituminous or soft coal. -- Hard and fast. (Naut.) See under Fast. -- Hard finish (Arch.), a smooth finishing coat of hard fine plaster applied to the surface of rough plastering. -- Hard lines, hardship; difficult conditions. -- Hard money, coin or specie, as distinguished from paper money. -- Hard oyster (Zoöl.), the northern native oyster. [Local, U. S.] - - Hard pan, the hard stratum of earth lying beneath the soil; hence, figuratively, the firm, substantial, fundamental part or quality of anything; as, the hard pan of character, of a matter in dispute, etc. See Pan. -- Hard rubber. See under Rubber. -- Hard solder. See under Solder. -- Hard water, water, which contains lime or some mineral substance rendering it unfit for washing. See Hardness, 3.- Hard wood, wood of a solid or hard texture; as walnut, oak, ash, box, and the like, in distinction from pine, poplar, hemlock, etc.- In hard condition, in excellent condition for racing; having firm muscles;-said of race horses. Syn. -- Solid; arduous; powerful; trying; unyielding; stubborn; stern; flinty; unfeeling; harsh; difficult; severe; obdurate; rigid. See Solid, and Arduous.\n\n1. With pressure; with urgency; hence, diligently; earnestly. And prayed so hard for mercy from the prince. Dryden. My father Is hard at study; pray now, rest yourself. Shak. 2. With difficulty; as, the vehicle moves hard. 3. Uneasily; vexatiously; slowly. Shak. 4. So as to raise difficulties. \" The guestion is hard set\". Sir T. Browne. 5. With tension or strain of the powers; violently; with force; tempestuously; vehemently; vigorously; energetically; as, to press, to blow, to rain hard; hence, rapidly; as, to run hard. 6. Close or near. Whose house joined hard to the synagogue. Acts xviii.7. Hard by, near by; close at hand; not far off. \"Hard by a cottage chimney smokes.\" Milton. -- Hard pushed, Hard run, greatly pressed; as, he was hard pushed or hard run for time, money, etc. [Colloq.] -- Hard up, closely pressed by want or necessity; without money or resources; as, hard up for amusements. [Slang] Note: Hard in nautical language is often joined to words of command to the helmsman, denoting that the order should be carried out with the utmost energy, or that the helm should be put, in the direction indicated, to the extreme limit, as, Hard aport! Hard astarboard! Hard alee! Hard aweather up! Hard is also often used in composition with a participle; as, hard-baked; hard-earned; hard-working; hard- won.\n\nTo harden; to make hard. [Obs.] Chaucer.\n\nA ford or passage across a river or swamp.
hard grass |A name given to several different grasses, especially to the Roltböllia incurvata, and to the species of Ægilops, from one of which it is contended that wheat has been derived.
hard steel |Steel hardened by the addition of other elements, as manganese, phosphorus, or (usually) carbon.
hard-favored |Hard-featured; ill-looking; as, Vulcan was hard-favored. Dryden.
hard-favoredness |Coarseness of features.
hard-featured |Having coarse, unattractive or stern features. Smollett.
hard-fisted |1. Having hard or strong hands; as, a hard-fisted laborer. 2. Close-fisted; covetous; niggardly. Bp. Hall.
hard-fought |contested; as, a hard-fought battle.
hard-handed |Having hard hands, as a manual laborer. Hard-handed men that work in Athens here. Shak.
hard-headed |Having sound judgment; sagacious; shrewd. -- Hard\"-head`ed*ness, n.
hard-hearted |Unsympathetic; inexorable; cruel; pitiless. -- Hard\"-heart`ed*ness, n.
hard-labored |Wrought with severe labor; elaborate; studied. Swift.
hard-mouthed |Not sensible to the bit; not easily governed; as, a hard- mouthed horse.
hard-shell |Unyielding; insensible to argument; uncompromising; strict. [Collog., U.S.]
hard-tack |A name given by soldiers and sailors to a kind of hard biscuit or sea bread.
hard-visaged |Of a harsh or stern countenance; hard-featured. Burke.
hardbake |A sweetmeat of boiled brown sugar or molasses made with almonds, and flavored with orange or lemon juice, etc. Thackeray.
hardbeam |A tree of the genus Carpinus, of compact, horny texture; hornbeam.
harden |1. To make hard or harder; to make firm or compact; to indurate; as, to harden clay or iron. 2. To accustom by labor or suffering to endure with constancy; to strengthen; to stiffen; to inure; also, to confirm in wickedness or shame; to make unimpressionable. \"Harden not your heart.\" Ps. xcv. 8. I would harden myself in sorrow. Job vi. 10.\n\n1. To become hard or harder; to acquire solidity, or more compactness; as, mortar hardens by drying. The deliberate judgment of those who knew him [A. Lincoln] has hardened into tradition. The Century. 2. To become confirmed or strengthened, in either a good or a bad sense. They, hardened more by what might most reclaim. Milton.
hardened |Made hard, or compact; made unfeeling or callous; made obstinate or obdurate; confirmed in error or vice. Syn. -- Impenetrable; hard; obdurate; callous; unfeeling; unsusceptible; insensible. See Obdurate.
hardener |One who, or that which, hardens; specif., one who tempers tools.
hardening |1. Making hard or harder. 2. That which hardens, as a material used for converting the surface of iron into steel.
harder |A South African mullet, salted for food.
harderian |A term applied to a lachrymal gland on the inner side of the orbit of many animals which have a third eyelid, or nictitating membrane. See Nictitating membrane, under Nictitate.
hardfavoredness |Coarseness of features.
hardfern |A species of fern (Lomaria borealis), growing in Europe and Northwestern America.
hardhack |A very astringent shrub (Spiræa tomentosa), common in pastures. The Potentilla fruticosa in also called by this name.
hardhead |1. Clash or collision of heads in contest. Dryden. 2. (Zoöl.) (a) The menhaden. See Menhaden. [Local, U.S.] (b) Block's gurnard (Trigla gurnardus) of Europe. (c) A California salmon; the steelhead. (d) The gray whale. See Gray whale, under Gray. (e) A coarse American commercial sponge (Spongia dura).
hardihead |Hardihood. [Obs.]
hardihood |Boldness, united with firmness and constancy of mind; bravery; intrepidity; also, audaciousness; impudence. A bound of graceful hardihood. Wordsworth. It is the society of numbers which gives hardihood to iniquity. Buckminster. Syn. -- Intrepidity; courage; pluck; resolution; stoutness; audacity; effrontery; impudence.
hardily |1. Same as Hardly. [Obs.] Chaucer. 2. Boldly; stoutly; resolutely. Wyclif.
hardiment |Hardihood; boldness; courage; energetic action. [Obs.] Changing hardiment with great Glendower. Shak.
hardiness |1. Capability of endurance. 2. Hardihood; boldness; firmness; assurance. Spenser. Plenty and peace breeds cowards; Hardness ever Of hardiness is mother. Shak. They who were not yet grown to the hardiness of avowing the contempt of the king. Clarendon. 3. Hardship; fatigue. [Obs.] Spenser.
hardish |Somewhat hard.
hardly |1. In a hard or difficult manner; with difficulty. Recovering hardly what he lost before. Dryden. 2. Unwillingly; grudgingly. The House of Peers gave so hardly theiMilton. 3. Scarcely; barely; not guite; not wholly. Hardly shall you one so bad, but he desires the credit of being thought good. South. 4. Severely; harshly; roughly. He has in many things been hardly used. Swift. 5. Confidently; hardily. [Obs.] Holland. 6. Certainly; surely; indeed. [Obs.] Chaucer.
hardness |1. The quality or state of being hard, literally or figuratively. The habit of authority also had given his manners some peremptory hardness. Sir W. Scott. 2. (Min.)  The cohesion of the particles on the surface of a body, determined by its capacity to scratch another, or be itself scratched;-measured among minerals on a scale of which diamond and talc form the extremes. 3. (Chem.)  The peculiar quality exhibited by water which has mineral salts dissolved in it. Such water forms an insoluble compound with soap, and is hence unfit for washing purposes. Note: This quality is caused by the presence of calcium carbonate, causing temporary hardness which can be removed by boiling, or by calcium sulphate, causing permanent hardness which can not be so removed, but may be improved by the addition of sodium carbonate.
hardock |See Hordock.
hardpan |The hard substratum. Same as Hard pan, under Hard, a.
hards |The refuse or coarse part of fiax; tow.
hardship |That which is hard to hear, as toil, privation, injury, injustice, etc. Swift.
hardspun |Firmly twisted in spinning.
hardtail |See Jurel.
hardware |Ware made of metal, as cutlery, kitchen utensils, and the like; ironmongery.
hardwareman |One who makes, or deals in, hardware.
hardy |1. Bold; brave; stout; daring; resolue; intrepid. Hap helpeth hardy man alway. Chaucer. 2. Confident; full of assurance; in a bad sense, morally hardened; shameless. 3. Strong; firm; compact. [A] blast may shake in pieces his hardy fabric. South. 4. Inured to fatigue or hardships; strong; capable of endurance; as, a hardy veteran; a hardy mariner. 5. Able to withstand the cold of winter. Note: Plants which are hardy in Virginia may perish in New England. Half-hardy plants are those which are able to withstand mild winters or moderate frosts.\n\nA blacksmith's fuller or chisel, having a square shank for insertion into a square hole in an anvil, called the hardy hole.
hare |To excite; to tease, or worry; to harry. [Obs.] Locke.\n\n1. (Zoöl.)  A rodent of the genus Lepus, having long hind legs, a short tail, and a divided upper lip. It is a timid animal, moves swiftly by leaps, and is remarkable for its fecundity. Note: The species of hares are numerous. The common European hare is Lepustimidus. The northern or varying hare of America (L. Americanus), and the prairie hare (L. campestris), turn white in winter. In America, the various species of hares are commonly called rabbits. 2. (Astron.)  A small constellation situated south of and under the foot of Orion; Lepus. Hare and hounds, a game played by men and boys, two, called hares, having a few minutes' start, and scattering bits of paper to indicate their course, being chased by the others, called the hounds, through a wide circuit. -- Hare kangaroo (Zoöl.)., a small Australian kangaroo (Lagorchestes Leporoides), resembling the hare in size and color, -- Hare's lettuce (Bot.), a plant of the genus Sonchus, or sow thistle; -- so called because hares are said to eat it when fainting with heat. Dr. Prior. -- Jumping hare. (Zoöl.) See under Jumping. -- Little chief hare, or Crying hare. (Zoöl.) See Chief hare. -- Sea hare. (Zoöl.) See Aplysia.
hare brained |Wild; giddy; volatile; heedless. \"A mad hare-brained fellow.\" North (Plutarch). [Written also hairbrained.]
hare-hearted |Timorous; timid; easily frightened. Ainsworth.
harebell |A small, slender, branching plant (Campanula rotundifolia), having blue bell-shaped flowers; also, Scilla nutans, which has similar flowers; -- called also bluebell. [Written also hairbell.] E'en the light harebell raised its head. Sir W. Scott .
harebrained |Wild; giddy; volatile; heedless. \"A mad hare-brained fellow.\" North (Plutarch). [Written also hairbrained.]
harefoot |1. (Zoöl.)  A long, narrow foot, carried (that is, produced or extending) forward; -- said of dogs. 2. (Bot)  A tree (Ochroma Laqopus) of the West Indies, having the stamens united somewhat in the form of a hare's foot. Harefoot clover (Bot.), a species of clover (Trifolium arvense) with soft and silky heads.
harehound |See Harrier. A. Chalmers.
hareld |The long-tailed duck. See Old Squaw.
harelip |A lip, commonly the upper one, having a fissure of perpendicular division like that of a hare. -- Hare\"lipped`, a.
harem |1. The apartments or portion of the house allotted to females in Mohammedan families. 2. The family of wives and concubines belonging to one man, in Mohammedan countries; a seraglio.
harengiform |Herring-shaped. HARE'S-EAR Hare's\"-ear`, n. (Bot.)  An umbelliferous plant (Bupleurum rotundifolium ); -- so named from the shape of its leaves. Dr. Prior. HARE'S-FOOT FERN Hare's\"-foot` fern`. (Bot.)  A species of fern (Davallia Canariensis) with a soft, gray, hairy rootstock; -- whence the name. HARE'S-TAIL Hare's\"-tail` (-tal`), n. (Bot.)  A kind of grass (Eriophorum vaginatum). See Cotton grass, under Cotton. Hare's-tail grass (Bot.), a species of grass (Lagurus ovatus) whose head resembles a hare's tail.
harfang |The snowy owl.
hariali grass |The East Indian name of the Cynodon Dactylon; dog's-grass.
haricot |1. A ragout or stew of meat with beans and other vegetables. 2. The ripe seeds, or the unripe pod, of the common string bean (Phaseolus vulgaris), used as a vegetable. Other species of the same genus furnish different kinds of haricots.
harier |See Harrier.
harikari |See Hara-kiri.
hariolation |Prognostication; soothsaying. [Obs.] Cockeram.
harish |Like a hare. [R.] Huloet.
hark |To listen; to hearken. [Now rare, except in the imperative form used as an interjection, Hark! listen.] Hudibras. Hark away! Hark back! Hark forward! (Sporting), cries used to incite and guide hounds in hunting. -- To hark back, to go back for a fresh start, as when one has wandered from his direct course, or made a digression. He must have overshot the mark, and must hark back. Haggard. He harked back to the subject. W. E. Norris.
harken |To hearken. Tennyson.
harl |1. A filamentous substance; especially, the filaments of flax or hemp. 2. A barb, or barbs, of a fine large feather, as of a peacock or ostrich, -- used in dressing artificial flies. [Written also herl.]
harle |The red-breasted merganser.
harlech group |A minor subdivision at the base of the Cambrian system in Wales.
harlequin |A buffoon, dressed in party-colored clothes, who plays tricks, often without speaking, to divert the bystanders or an audience; a merry-andrew; originally, a droll rogue of Italian comedy. Percy Smith. As dumb harlequin is exhibited in our theaters. Johnson. Harlequin bat (Zoöl.), an Indian bat (Scotophilus ornatus), curiously variegated with white spots. -- Harlequin beetle (Zoöl.), a very large South American beetle (Acrocinus longimanus) having very long legs and antennæ. The elytra are curiously marked with red, black, and gray. -- Harlequin cabbage bug. (Zoöl.) See Calicoback. -- Harlequin caterpillar. (Zoöl.), the larva of an American bombycid moth (Euchætes egle) which is covered with black, white, yellow, and orange tufts of hair. -- Harlequin duck (Zoöl.), a North American duck (Histrionicus histrionicus). The male is dark ash, curiously streaked with white. -- Harlequin moth. (Zoöl.) See Magpie Moth. -- Harlequin opal. See Opal. -- Harlequin snake (Zoöl.), a small, poisonous snake (Elaps fulvius), ringed with red and black, found in the Southern United States.\n\nTo play the droll; to make sport by playing ludicrous tricks.\n\nToremove or conjure away, as by a harlequin's trick. And kitten,if the humor hit Has harlequined away the fit. M. Green.
harlequinade |A play or part of play in which the harlequin is conspicuous; the part of a harlequin. Macaulay.
harlock |Probably a corruption either of charlock or hardock. Drayton.
harlot |1. A churl; a common man; a person, male or female, of low birth. [Obs.] He was a gentle harlot and a kind. Chaucer. 2. A person given to low conduct; a rogue; a cheat; a rascal. [Obs.] Chaucer. 3. A woman who prostitutes her body for hire; a prostitute; a common woman; a strumpet.\n\nWanton; lewd; low; base. Shak.\n\nTo play the harlot; to practice lewdness. Milton.
harlotize |To harlot. [Obs.] Warner.
harlotry |1. Ribaldry; buffoonery; a ribald story. [Obs.] Piers Plowman. Chaucer. 2. The trade or practice of prostitution; habitual or customary lewdness. Dryden. 3. Anything meretricious; as, harlotry in art. 4. A harlot; a strumpet; a baggage. [Obs.] He sups to-night with a harlotry. Shak.
harm |1. Injury; hurt; damage; detriment; misfortune. 2. That which causes injury, damage, or loss. We, ignorant of ourselves, Beg often our own harms. Shak. Syn. -- Mischief; evil; loss; injury. See Mischief.\n\nTo hurt; to injure; to damage; to wrong. Though yet he never harmed me. Shak. No ground of enmity between us known Why he should mean me ill or seek to harm. Milton.
harmaline |An alkaloid found in the plant Peganum harmala. It forms bitter, yellow salts.
harmattan |A dry, hot wind, prevailing on the Atlantic coast of Africa, in December, January, and February, blowing from the interior or Sahara. It is usually accompanied by a haze which obscures the sun.
harmel |A kind of rue (Ruta sylvestris) growing in India. At Lahore the seeds are used medicinally and for fumigation.
harmful |Full of harm; injurious; hurtful; mischievous. \" Most harmful hazards.\" Strype. --Harm\"ful*ly, adv. -- Harm\"ful*ness, n.
harmine |An alkaloid accompanying harmaline (in the Peganum harmala), and obtained from it by oxidation. It is a white crystalline substance.
harmless |1. Free from harm; unhurt; as, to give bond to save another harmless. 2. Free from power or disposition to harm; innocent; inoffensive. \" The harmless deer.\" Drayton Syn. -- Innocent; innoxious; innocuous; inoffensive; unoffending; unhurt; uninjured; unharmed. --Harm\"less*ly, adv.- Harm\"less*ness, n.
harmonic |1. Concordant; musical; consonant; as, harmonic sounds. Harmonic twang! of leather, horn, and brass. Pope. 2. (Mus.)  Relating to harmony, -- as melodic relates to melody; harmonious; esp., relating to the accessory sounds or overtones which accompany the predominant and apparent single tone of any string or sonorous body. 3. (Math.)  Having relations or properties bearing some resemblance to those of musical consonances; -- said of certain numbers, ratios, proportions, points, lines. motions, and the like. Harmonic interval (Mus.), the distance between two notes of a chord, or two consonant notes. -- Harmonical mean (Arith. & Alg.), certain relations of numbers and quantities, which bear an analogy to musical consonances. -- Harmonic motion, the motion of the point A, of the foot of the perpendicular PA, when P moves uniformly in the circumference of a circle, and PA is drawn perpendicularly upon a fixed diameter of the circle. This is simple harmonic motion. The combinations, in any way, of two more simple harmonic motions, make other kinds of harmonic motion. The motion of the pendulum bob of a clock is approximately simple harmonic motion. -- Harmonic proportion. See under Proportion. -- Harmonic series or progression. See under Progression. -- Spherical harmonic analysis, a mathematical method, sometimes referred to as that of Laplace's Coefficients, which has for its object the expression of an arbitrary, periodic function of two independent variables, in the proper form for a large class of physical problems, involving arbitrary data, over a spherical surface, and the deduction of solutions for every point of space. The functions employed in this method are called spherical harmonic functions. Thomson & Tait. -- Harmonic suture (Anat.), an articulation by simple apposition of comparatively smooth surfaces or edges, as between the two superior maxillary bones in man; -- called also harmonic, and harmony. -- Harmonic triad (Mus.), the chord of a note with its third and fifth; the common chord.\n\nA musical note produced by a number of vibrations which is a multiple of the number producing some other; an overtone. See Harmonics.
harmonica |1. A musical instrument, consisting of a series of hemispherical glasses which, by touching the edges with the dampened finger, give forth the tones. 2. A toy instrument of strips of glass or metal hung on two tapes, and struck with hammers.
harmonical |1. Concordant; musical; consonant; as, harmonic sounds. Harmonic twang! of leather, horn, and brass. Pope. 2. (Mus.)  Relating to harmony, -- as melodic relates to melody; harmonious; esp., relating to the accessory sounds or overtones which accompany the predominant and apparent single tone of any string or sonorous body. 3. (Math.)  Having relations or properties bearing some resemblance to those of musical consonances; -- said of certain numbers, ratios, proportions, points, lines. motions, and the like. Harmonic interval (Mus.), the distance between two notes of a chord, or two consonant notes. -- Harmonical mean (Arith. & Alg.), certain relations of numbers and quantities, which bear an analogy to musical consonances. -- Harmonic motion, the motion of the point A, of the foot of the perpendicular PA, when P moves uniformly in the circumference of a circle, and PA is drawn perpendicularly upon a fixed diameter of the circle. This is simple harmonic motion. The combinations, in any way, of two more simple harmonic motions, make other kinds of harmonic motion. The motion of the pendulum bob of a clock is approximately simple harmonic motion. -- Harmonic proportion. See under Proportion. -- Harmonic series or progression. See under Progression. -- Spherical harmonic analysis, a mathematical method, sometimes referred to as that of Laplace's Coefficients, which has for its object the expression of an arbitrary, periodic function of two independent variables, in the proper form for a large class of physical problems, involving arbitrary data, over a spherical surface, and the deduction of solutions for every point of space. The functions employed in this method are called spherical harmonic functions. Thomson & Tait. -- Harmonic suture (Anat.), an articulation by simple apposition of comparatively smooth surfaces or edges, as between the two superior maxillary bones in man; -- called also harmonic, and harmony. -- Harmonic triad (Mus.), the chord of a note with its third and fifth; the common chord.
harmonically |1. In an harmonical manner; harmoniously. 2. In respect to harmony, as distinguished from melody; as, a passage harmonically correct. 3. (Math.)  In harmonical progression.
harmonicon |A small, flat, wind instrument of music, in which the notes are produced by the vibration of free metallic reeds.
harmonics |1. The doctrine or science of musical sounds. 2. pl. (Mus.)  Secondary and less distinct tones which accompany any principal, and apparently simple, tone, as the octave, the twelfth, the fifteenth, and the seventeenth. The name is also applied to the artificial tones produced by a string or column of air, when the impulse given to it suffices only to make a part of the string or column vibrate; overtones.
harmonious |1. Adapted to each other; having parts proportioned to each other; symmetrical. God hath made the intellectual world harmonious and beautiful without us. Locke. 2. Acting together to a common end; agreeing in action or feeling; living in peace and friendship; as, an harmonious family. 3. Vocally or musically concordant; agreeably consonant; symphonious. -- Har*mo\"ni*ous*ly, adv. -- Har*mo\"ni*ous*ness, n.
harmoniphon |An obsolete wind instrument with a keyboard, in which the sound, which resembled the oboe, was produced by the vibration of thin metallic plates, acted upon by blowing through a tube.
harmonist |1. One who shows the agreement or harmony of corresponding passages of different authors, as of the four evangelists. 2. (Mus.)  One who understands the principles of harmony or is skillful in applying them in composition; a musical composer.\n\nOne of a religious sect, founded in Würtemburg in the last century, composed of followers of George Rapp, a weaver. They had all their property in common. In 1803, a portion of this sect settled in Pennsylvania and called the village thus established, Harmony.
harmonite |One of a religious sect, founded in Würtemburg in the last century, composed of followers of George Rapp, a weaver. They had all their property in common. In 1803, a portion of this sect settled in Pennsylvania and called the village thus established, Harmony.
harmonium |A musical instrument, resembling a small organ and especially designed for church music, in which the tones are produced by forcing air by means of a bellows so as to cause the vibration of free metallic reeds. It is now made with one or two keyboards, and has pedals and stops.
harmonization |The act of harmonizing.
harmonize |1. To agree in action, adaptation, or effect on the mind; to agree in sense or purport; as, the parts of a mechanism harmonize. 2. To be in peace and friendship, as individuals, families, or public organizations. 3. To agree in vocal or musical effect; to form a concord; as, the tones harmonize perfectly.\n\n1. To adjust in fit proportions; to cause to agree; to show the agreement of; to reconcile the apparent contradiction of. 2. (Mus.)  To accompany with harmony; to provide with parts, as an air, or melody.
harmonizer |One who harmonizes.
harmonometer |An instrument for measuring the harmonic relations of sounds. It is often a monochord furnished with movable bridges.
harmony |1. The just adaptation of parts to each other, in any system or combination of things, or in things, or things intended to form a connected whole; such an agreement between the different parts of a design or composition as to produce unity of effect; as, the harmony of the universe. 2. Concord or agreement in facts, opinions, manners, interests, etc.; good correspondence; peace and friendship; as, good citizens live in harmony. 3. A literary work which brings together or arranges systematically parallel passages of historians respecting the same events, and shows their agreement or consistency; as, a harmony of the Gospels. 4. (Mus.) (a) A succession of chords according to the rules of progression and modulation. (b) The science which treats of their construction and progression. Ten thousand harps, that tuned Angelic harmonies. Milton. 5. (Anat.)  See Harmonic suture, under Harmonic. Close harmony, Dispersed harmony, etc. See under Close, Dispersed, etc. -- Harmony of the spheres. See Music of the spheres, under Music. Syn. -- Harmony, Melody. Harmony results from the concord of two or more strains or sounds which differ in pitch and quality. Melody denotes the pleasing alternation and variety of musical and measured sounds, as they succeed each other in a single verse or strain.
harmost |A governor or prefect appointed by the Spartans in the cities subjugated by them.
harmotome |A hydrous silicate of alumina and baryta, occurring usually in white cruciform crystals; cross-stone. Note: A related mineral, called lime harmotome, and Phillipsite, contains lime in place of baryta. Dana.
