olfactor |A smelling organ; a nose. [R.]
opiate |1. Originally, a medicine of a thicker consistence than sirup, prepared with opium. Parr. 2. Any medicine that contains opium, and has the quality of inducing sleep or repose; a narcotic. 3. Anything which induces rest or inaction; that which quiets uneasiness. They chose atheism as an opiate. Bentley.\n\nInducing sleep; somniferous; narcotic; hence, anodyne; causing rest, dullness, or inaction; as, the opiate rod of Hermes. Milton.\n\nTo subject to the influence of an opiate; to put to sleep. [R.] Fenton.
opiated |1. Mixed with opiates. 2. Under the influence of opiates.
opie |Opium. [Obs.] Chaucer.
opiferous |Bringing help. [R.]
opifice |Workmanship. [Obs.] Bailey.
opificer |An artificer; a workman. [Obs.] \"The almighty opificer.\" Bentley.
opinable |Capable of being opined or thought. Holland.
opination |The act of thinking; a supposition. [Obs.]
opinative |Obstinate in holding opinions; opinionated. [Obs.] -- O*pin\"a*tive*ly, adv. [Obs.] Burton. Sir T. More.
opinator |One fond of his own opinious; one who holds an opinion. [Obs.] Glanvill.
opine |To have an opinion; to judge; to think; to suppose. South.
opiner |One who opines. Jer. Taylor.
opiniaster |Opinionated. [Obs.] Sir W. Raleigh.
opiniastrous |See Opiniaster. [Obs.].
opiniate |To hold or maintain persistently. [Obs.] Barrow.
opiniated |Opinionated. [Obs.]
opiniative |Opinionative. Glanvill. -- O*pin\"ia*tive*ly, adv. -- O*pin\"ia*tive*ness, n.
opiniator |One who is opinionated. [Obs.] South. Barrow.
opiniatre |Opinionated. [Obs.] Sir W. Raleigh.\n\nOne who is opinionated. [Obs.] South. Barrow.\n\nSee Opiniaster. [Obs.] Locke.
opiniatrety |Obstinacy in opinious. [Written also opiniatry.] [Obs.]
opinicus |An imaginary animal borne as a charge, having wings, an eagle's head, and a short tail; -- sometimes represented without wings.
opining |Opinion. [Obs.] Jer. Taylor.
opinion |1. That which is opined; a notion or conviction founded on probable evidence; belief stronger than impression, less strong than positive knowledge; settled judgment in regard to any point of knowledge or action. Opinion is when the assent of the understanding is so far gained by evidence of probability, that it rather inclines to one persussion than to another, yet not without a mixture of incertainty or doubting. Sir M. Hale. I can not put off my opinion so easily. Shak. 2. The judgment or sentiment which the mind forms of persons or things; estimation. I have bought golden opinions from all sorts of people. Shak. Friendship . . . gives a man a peculiar right and claim to the good opinion of his friend. South. However, I have no opinion of those things. Bacon. 3. Favorable estimation; hence, consideration; reputation; fame; public sentiment or esteem. [Obs.] Thou hast redeemed thy lost opinion. Shak. This gained Agricola much opinion, who . . . had made such early progress into laborious . . . enterprises. Milton. 4. Obstinacy in holding to one's belief or impression; opiniativeness; conceitedness. [Obs.] Shak. 5. (Law.)  The formal decision, or expression of views, of a judge, an umpire, a counselor, or other party officially called upon to consider and decide upon a matter or point submitted. To be of opinion, to think; to judge. -- To hold opinion with, to agree with. [Obs.] Shak. Syn. -- Sentiment; notion; persuasion; idea; view; estimation. See Sentiment.\n\nTo opine. [Obs.]
opinionable |Being, or capable of being, a matter of opinion; that can be thought; not positively settled; as, an opinionable doctrine. C. J. Ellicott.
opinionate |Opinionated.
opinionated |Stiff in opinion; firmly or unduly adhering to one's own opinion or to preconceived notions; obstinate in opinion. Sir W. Scott.
opinionately |Conceitedly. Feltham.
opinionatist |An opinionist. [Obs.]
opinionative |1. Unduly attached to one's own opinions; opinionated. Milton. 2. Of the nature of an opinion; conjectured. [Obs.] \"Things both opinionative and practical.\" Bunyan. -- O*pin\"ion*a*tive*ly, adv. -- O*pin\"ion*a*tive*ness, n.
opinionator |An opinionated person; one given to conjecture. [Obs.] South.
opinioned |Opinionated; conceited. His opinioned zeal which he thought judicious. Milton.
opinionist |One fond of his own notions, or unduly attached to his own opinions. Glanvill.
opiparous |Sumptuous. [Obs.] -- O*pip\"a*rous*ly, adv. [Obs.] E. Waterhouse.
opisometer |An instrument with a revolving wheel for measuring a curved line, as on a map.
opisthion |The middle of the posterior, or dorsal, margin of the great foramen of the skull.
opisthobranchia |A division of gastropod Mollusca, in which the breathing organs are usually situated behind the heart. It includes the tectibranchs and nudibranchs.
opisthobranchiata |A division of gastropod Mollusca, in which the breathing organs are usually situated behind the heart. It includes the tectibranchs and nudibranchs.
opisthobranchiate |Of or pertaining to the Opisthobranchiata. -- n.  One of the Opisthobranchiata.
opisthocoelian |Concave behind; -- applied especially to vertebræ in which the anterior end of the centrum is convex and the posterior concave.
opisthocoelous |Concave behind; -- applied especially to vertebræ in which the anterior end of the centrum is convex and the posterior concave.
opisthodome |A back chamber; especially, that part of the naos, or cella, farthest from the main entrance, sometimes having an entrance of its own, and often used as a treasury.
opisthoglypha |A division of serpents which have some of the posterior maxillary teeth grooved for fangs.
opisthography |A writing upon the back of anything, as upon the back of a leaf or sheet already written upon on one side. [R.] Scudamore.
opisthomi |An order of eellike fishes having the scapular arch attached to the vertebræ, but not connected with the skull.
opisthopulmonate |Having the pulmonary sac situated posteriorly; -- said of certain air-breathing Mollusca.
opisthotic |The inferior and posterior of the three elements forming the periotic bone.
opisthotonos |A tetanic spasm in which the body is bent backwards and stiffened.
opitulation |The act of helping or aiding; help. [Obs.] Bailey.
opium |The inspissated juice of the Papaver somniferum, or white poppy. Note: Opium is obtained from incisions made in the capsules of the plant, and the best flows from the first incision. It is imported into Europe and America chiefly from the Levant, and large quantities are sent to China from India, Persia, and other countries. It is of a brownish yellow color, has a faint smell, and bitter and acrid taste. It is a stimulant narcotic poison, which may produce hallicinations, profound sleep, or death. It is much used in medicine to soothe pain and inflammation, and is smoked as an intoxicant with baneful effects. Opium joint, a low resort of opium smokers. [Slang]
ople tree |The witch-hazel. [Obs.] Ainsworth.
opobalsam |The old name of the aromatic resinous juice of the Balsamodendron opobalsamum, now commonly called balm of Gilead. See under Balm.
opobalsamum |The old name of the aromatic resinous juice of the Balsamodendron opobalsamum, now commonly called balm of Gilead. See under Balm.
opodeldoc |1. A kind of plaster, said to have been invented by Mindererus, -- used for external injuries. [Obs.] 2. A saponaceous, camphorated liniment; a solution of soap in alcohol, with the addition of camphor and essential oils; soap liniment.
opolchenie |See Army organization, above.
opopanax |The inspissated juice of an umbelliferous plant (the Opoponax Chironum), brought from Turkey and the East Indies in loose granules, or sometimes in larger masses, of a reddish yellow color, with specks of white. It has a strong smell and acrid taste, and was formerly used in medicine as an emmenagogue and antispasmodic. Dunglison.
opossum |Any American marsupial of the genera Didelphys and Chironectes. The common species of the United States is Didelphys Virginiana. Note: Several related species are found in South America. The water opossum of Brazil (Chironectes variegatus), which has the hind feet, webbed, is provided with a marsupial pouch and with cheek pouches. It is called also yapock. Opossum mouse. (Zoöl.) See Flying mouse, under Flying. -- Opossum shrimp (Zoöl.), any schizopod crustacean of the genus Mysis and allied genera. See Schizopoda.
oppidan |Of or pertaining to a town. Howell.\n\n1. An inhabitant of a town. 2. A student of Eton College, England, who is not a King's scholar, and who boards in a private family.
oppignerate |To pledge; to pawn. [Obs.] Bacon.
oppilate |To crowd together; to fill with obstructions; to block up. [Obs.] Cockeram.
oppilation |The act of filling or crowding together; a stopping by redundant matter; obstruction, particularly in the lower intestines. Jer. Taylor.
oppilative |Obstructive. [Obs.] Sherwood.
opplete |Filled; crowded. [Obs.] Johnson.
oppleted |Filled; crowded. [Obs.] Johnson.
oppletion |The act of filling up, or the state of being filled up; fullness. [Obs.]
oppone |To oppose. [Obs.] B. Jonson.
opponency |The act of opening an academical disputation; the proposition of objections to a tenet, as an exercise for a degree. [Eng.] Todd.
opponent |Situated in front; opposite; hence, opposing; adverse; antagonistic. Pope.\n\n1. One who opposes; an adversary; an antagonist; a foe. Macaulay. 2. One who opposes in a disputation, argument, or other verbal controversy; specifically, one who attacks some theirs or proposition, in distinction from the respondent, or defendant, who maintains it. How becomingly does Philopolis exercise his office, and seasonably commit the opponent with the respondent, like a long-practiced moderator! Dr. H. More. Syn. -- Antagonist; opposer; foe. See Adversary.
opportune |Convenient; ready; hence, seasonable; timely. Milton. This is most opportune to our need. Shak. -- Op`por*tune\"ly, adv. -- Op`por*tune\"ness, n.\n\nTo suit. [Obs.] Dr. Clerke(1637).
opportunism |The art or practice of taking advantage of opportunities or circumstances, or of seeking immediate advantage with little regard for ultimate consequences. [Recent]
opportunist |One who advocates or practices opportunism. [Recent]
opportunity |1. Fit or convenient time; a time or place favorable for executing a purpose; a suitable combination of conditions; suitable occasion; chance. A wise man will make more opportunities than he finds. Bacon. 2. Convenience of situation; fitness. [Obs.] Hull, a town of great strength and opportunity, both to sea and land affairs. Milton. 3. Importunity; earnestness. [Obs.] Jer. Taylor. Syn. -- Occasion; convenience; occurrence. -- Opportunity, Occasion. An occasion is that which falls in our way, or presents itself in the course of events; an opportunity is a convenience or fitness of time, place, etc., for the doing of a thing. Hence, occasions often make opportunities. The occasion of sickness may give opportunity for reflection.
opposability |The condition or quality of being opposable. In no savage have I ever seen the slightest approach to opposability of the great toe, which is the essential distinguishing feature of apes. A. R. Wallace.
opposable |1. Capable of being opposed or resisted. 2. Capable of being placed opposite something else; as, the thumb is opposable to the forefinger.
opposal |Opposition. [R.] Sir T. Herbert.
oppose |1. To place in front of, or over against; to set opposite; to exhibit. Her grace sat down . . . In a rich chair of state; opposing freely The beauty of her person to the people. Shak. 2. To put in opposition, with a view to counterbalance or countervail; to set against; to offer antagonistically. I may . . . oppose my single opinion to his. Locke. 3. To resist or antagonize by physical means, or by arguments, etc.; to contend against; to confront; to resist; to withstand; as, to oppose the king in battle; to oppose a bill in Congress. 4. To compete with; to strive against; as, to oppose a rival for a prize. I am . . . too weak To oppose your cunning. Shak. Syn. -- To combat; withstand; contradict; deny; gainsay; oppugn; contravene; check; obstruct.\n\n1. To be set opposite. Shak. 2. To act adversely or in opposition; -- with against or to; as, a servant opposed against the act. [Obs.] Shak. 3. To make objection or opposition in controversy.
opposeless |Not to be effectually opposed; irresistible. [Obs.] \"Your great opposeless wills.\" Shak.
opposer |One who opposes; an opponent; an antagonist; an adversary.
opposite |1. Placed over against; standing or situated over against or in front; facing; -- often with to; as, a house opposite to the Exchange. 2. Applied to the other of two things which are entirely different; other; as, the opposite sex; the opposite extreme. 3. Extremely different; inconsistent; contrary; repugnant; antagonistic. Novels, by which the reader is misled into another sort of pieasure opposite to that which is designed in an epic poem. Dryden. Particles of speech have divers, and sometimes almost opposite, significations. Locke. 4. (Bot.) (a) Set over against each other, but separated by the whole diameter of the stem, as two leaves at the same node. (b) Placed directly in front of another part or organ, as a stamen which stands before a petal.\n\n1. One who opposes; an opponent; an antagonist. [Obs.] The opposites of this day's strife. Shak. 2. That which is opposed or contrary; as, sweetness and its opposite. The virtuous man meets with more opposites and opponents than any other. Landor.
oppositely |In a situation to face each other; in an opposite manner or direction; adversely. Winds from all quarters oppositely blow. May.
oppositeness |The quality or state of being opposite.
oppositifolious |Placed at the same node with a leaf, but separated from it by the whole diameter of the stem; as, an oppositifolious peduncle.
opposition |1. The act of opposing; an attempt to check, restrain, or defeat; resistance. The counterpoise of so great an opposition. Shak. Virtue which breaks through all opposition. Milton. 2. The state of being placed over against; situation so as to front something else. Milton. 3. Repugnance; contrariety of sentiment, interest, or purpose; antipathy. Shak. 4. That which opposes; an obstacle; specifically, the aggregate of persons or things opposing; hence, in politics and parliamentary practice, the party opposed to the party in power. 5. (Astron.)  The situation of a heavenly body with respect to another when in the part of the heavens directly opposite to it; especially, the position of a planet or satellite when its longitude differs from that of the sun 180º; -- signified by the symbol as, . 6. (Logic)  The relation between two propositions when, having the same subject and predicate, they differ in quantity, or in quality, or in both; or between two propositions which have the same matter but a different form.
oppositionist |One who belongs to the opposition party. Praed.
oppositipetalous |Placed in front of a petal.
oppositisepalous |Placed in front of a sepal.
oppositive |Capable of being put in opposition. Bp. Hall.
oppress |1. To impose excessive burdens upon; to overload; hence, to treat with unjust rigor or with cruelty. Wyclif. For thee, oppressèd king, am I cast down. Shak. Behold the kings of the earth; how they oppress Thy chosen ! Milton. 2. To ravish; to violate. [Obs.] Chaucer. 3. To put down; to crush out; to suppress. [Obs.] The mutiny he there hastes to oppress. Shak. 4. To produce a sensation of weight in (some part of the body); as, my lungs are oppressed by the damp air; excess of food oppresses the stomach.
oppression |1. The act of oppressing, or state of being oppressed. 2. That which oppresses; a hardship or injustice; cruelty; severity; tyranny. \"The multitude of oppressions.\" Job xxxv. 9. 3. A sense of heaviness or obstruction in the body or mind; depression; dullness; lassitude; as, an oppression of spirits; an oppression of the lungs. There gentlee Sleep First found me, and with soft oppression seized My drowsed sense. Milton. 4. Ravishment; rape. [Obs.] Chaucer.
oppressive |1. Unreasonably burdensome; unjustly severe, rigorous, or harsh; as, oppressive taxes; oppressive exactions of service; an oppressive game law. Macaulay. 2. Using oppression; tyrannical; as, oppressive authority or commands. 3. Heavy; overpowering; hard to be borne; as, oppressive grief or woe. To ease the soul of one oppressive weight. Pope. -- Op*press\"ive*ly, adv. -- Op*press\"ive*ness, n.
oppressor |One who oppresses; one who imposes unjust burdens on others; one who harasses others with unjust laws or unreasonable severity. The orphan pines while the oppressor feeds. Shak. To relieve the oppressed and to punish the oppressor. Swift.
oppressure |Oppression. [Obs.]
opprobrious |1. Expressive of opprobrium; attaching disgrace; reproachful; scurrilous; as, opprobrious language. They . . . vindicate themselves in terms no less opprobrious than those by which they are attacked. Addison. 2. Infamous; despised; rendered hateful; as, an opprobrious name. This dark, opprobrious den of shame. Milton. -- Op*pro\"bri*ous*ly, adv. -- Op*pro\"bri*ous*ness, n.
opprobrium |Disgrace; infamy; reproach mingled with contempt; abusive language. Being both dramatic author and dramatic performer, he found himself heir to a twofold opprobrium. De Quincey.
opprobry |Opprobrium. [Obs.] Johnson.
