faultiness |Quality or state of being faulty. Round, even to faultiness. Shak.
fender |One who or that which defends or protects by warding off harm; as: (a) A screen to prevent coals or sparks of an open fire from escaping to the floor. (b) Anything serving as a cushion to lessen the shock when a vessel comes in contact with another vessel or a wharf. (c) A screen to protect a carriage from mud thrown off the wheels: also, a splashboard. (d) Anything set up to protect an exposed angle, as of a house, from damage by carriage wheels.
fendliche |Fiendlike. [Obs.] Chaucer.
fenerate |To put money to usury; to lend on interest. [Obs.] Cockeram.
feneration |The act of fenerating; interest. [Obs.] Sir T. Browne.
fenes-tella |Any small windowlike opening or recess, esp. one to show the relics within an altar, or the like.
fenestra |A small opening; esp., one of the apertures, closed by membranes, between the tympanum and internal ear.
fenestral |1. (Arch.)  Pertaining to a window or to windows. 2. (Anat.)  Of or pertaining to a fenestra.\n\nA casement or window sash, closed with cloth or paper instead of glass. Weale.
fenestrate |1. Having numerous openings; irregularly reticulated; as, fenestrate membranes; fenestrate fronds. 2. (Zoöl.)  Having transparent spots, as the wings of certain butterflies.
fenestrated |1. (Arch.)  Having windows; characterized by windows. 2. Same as Fenestrate.
fenestration |1. (Arch.)  The arrangement and proportioning of windows; -- used by modern writers for the decorating of an architectural composition by means of the window (and door) openings, their ornaments, and proportions. 2. (Anat.)  The state or condition of being fenestrated.
fenestrule |One of the openings in a fenestrated structure.
feng-hwang |A pheasantlike bird of rich plumage and graceful form and movement, fabled to appear in the land on the accession of a sage to the throne, or when right principles are about to prevail. It is often represented on porcelains and other works of art.
feng-shui |A system of spirit influences for good and evil believed by the Chinese to attend the natural features of landscape; also, a kind of geomancy dealing with these influences, used in determining sites for graves, houses, etc.
fengite |A kind of marble or alabaster, sometimes used for windows on account of its transparency.
fenian |A member of a secret organization, consisting mainly of Irishment, having for its aim the overthrow of English rule in ireland.\n\nPertaining to Fenians or to Fenianism.
fenianism |The principles, purposes, and methods of the Fenians.
fenks |The refuse whale blubber, used as a manure, and in the manufacture of Prussian blue. Ure.
fennec |A small, African, foxlike animal (Vulpes zerda) of a pale fawn color, remarkable for the large size of its ears.
fennel |A perennial plant of the genus Fæniculum (F.vulgare), having very finely divided leaves. It is cultivated in gardens for the agreeable aromatic flavor of its seeds. Smell of sweetest fennel. Milton. A sprig of fennel was in fact the theological smelling bottle of the tender sex. S. G. Goodrich. Azorean, or Sweet, fennel, (Fæniculum dulce). It is a smaller and stouter plant than the common fennel, and is used as a pot herb. -- Dog's fennel (Anthemis Cotula), a foul-smelling European weed; -- called also mayweed. -- Fennel flower (Bot.), an herb (Nigella) of the Buttercup family, having leaves finely divided, like those of the fennel. N.Damascena is common in gardens. N.sativa furnishes the fennel seed, used as a condiment, etc., in India. These seeds are the \"fitches\" mentioned in Isaiah (xxviii. 25). -- Fennel water (Med.), the distilled water of fennel seed. It is stimulant and carminative. -- Giant fennel (Ferula communis), has stems full of pith, which, it is said, were used to carry fire, first, by Prometheus. -- Hog's fennel, a European plant (Peucedanum officinale) looking something like fennel.
fennish |Abounding in fens; fenny.
fenny |Pertaining to, or inhabiting, a fen; abounding in fens; swampy; boggy. \"Fenny snake.\" Shak.
fenowed |Corrupted; decayed; moldy. See Vinnewed. [Obs.] Dr. Favour.
fensi-ble |Fencible. [Obs.] Spenser.
fenugreek |A plant (trigonella Foenum Græcum) cultivated for its strong- smelling seeds, which are \"now only used for giving false importance to horse medicine and damaged hay.\" J. Smith (Pop. Names of Plants, 1881).
feod |A feud. See 2d Feud. Blackstone.
feodal |Feudal. See Feudal.
feodality |Feudal tenure; the feudal system. See Feudality. Burke.
feodary |1. An accomplice. Art thou a feodary for this act Shak. 2. (Eng. Law)  An ancient officer of the court of wards. Burrill.
feodatory |See Feudatory.
feoff |, v. t. [imp. & p. p. Feoffed; p. pr. & vb. n.. Feoffing.] Etym: [OE. feffen, OF. feffer, fieffer, F. fieffer, fr. fief fief; cf. LL. feoffare, fefare. See Fief.] (Law)  To invest with a fee or feud; to give or grant a corporeal hereditament to; to enfeoff.\n\nA fief. See Fief.
feoffee |The person to whom a feoffment is made; the person enfeoffed.
feoffer |One who enfeoffs or grants a fee.
feoffment |(a) The grant of a feud or fee. (b) (Eng. Law) A gift or conveyance in fee of land or other corporeal hereditaments, accompanied by actual delivery of possession. Burrill. (c) The instrument or deed by which corporeal hereditaments are conveyed. [Obs. in the U.S., Rare in Eng.]
feofor |One who enfeoffs or grants a fee.
fer |Far. [Obs.] Chaucer.
fer-de-lance |A large, venomous serpent (Trigonocephalus lanceolatus) of Brazil and the West Indies. It is allied to the rattlesnake, but has no rattle.
feracious |Fruitful; producing abudantly. [R.] Thomson.
feracity |The state of being feracious or fruitful. [Obs.] Beattie.
ferae |A group of mammals which formerly included the Carnivora, Insectivora, Marsupialia, and lemurs, but is now often restricted to the Carnivora.
ferae naturae |Of a wild nature; -- applied to animals, as foxes, wild ducks, etc., in which no one can claim property.
feral |Wild; untamed; ferine; not domesticated; -- said of beasts, birds, and plants. feral child, not raised by humans\n\nFunereal; deadly; fatal; dangerous. [R.] \"Feral accidents.\" Burton.
ferde |imp. of Fare. Chaucer.
ferding |A measure of land mentioned in Domesday Book. It is supposed to have consisted of a few acres only. [Obs.]
ferdness |Fearfulness. [Obs.] Chaucer.
fere |A mate or companion; -- often used of a wife. [Obs.] [Written also fear and feere.] Chaucer. And Cambel took Cambrina to his fere. Spenser. In fere, together; in company. [Obs.] Chaucer.\n\nFierce. [Obs.]\n\nFire. [Obs.] Chaucer.\n\nFear. [Obs.] Chaucer.\n\nTo fear. [Obs.] Chaucer.
feretory |A portable bier or shrine, variously adorned, used for containing relics of saints. Mollett.
ferforth |Far forth. [Obs.] As ferforth as, as far as. -- So ferforth, to such a degree.
ferforthly |Ferforth. [Obs.] Chaucer.
fergusonite |A mineral of a brownish black color, essentially a tantalo- niobate of yttrium, erbium, and cerium; -- so called after Robert Ferguson.
feria |A week day, esp. a day which is neither a festival nor a fast. Shipley.
ferial |Same as Feria.\n\n1. Of or pertaining to holidays. [Obs.] J. Gregory. 2. Belonging to any week day, esp. to a day that is neither a festival nor a fast.
feriation |The act of keeping holiday; cessation from work. [Obs.] Sir T. Browne.
ferie |A holiday. [Obs.] Bullokar.
ferier |, compar. of Fere, fierce. [Obs.] Rhenus ferier than the cataract. Marston.
ferine |Wild; untamed; savage; as, lions, tigers, wolves, and bears are ferine beasts. Sir M. Hale. -- n.  A wild beast; a beast of prey. -- Fe\"rine*ly, adv. -- Fe\"rine*ness, n.
feringee |The name given to Europeans by the Hindos. [Written also Feringhee.]
ferity |Wildness; savageness; fierceness. [Obs.] Woodward.
ferly |Singular; wonderful; extraordinary. [Obs.] -- n.  A wonder; a marvel. [Obs.] Who hearkened ever such a ferly thing. Chaucer.
ferm |Rent for a farm; a farm; also, an abode; a place of residence; as, he let his land to ferm. [Obs.] Out of her fleshy ferme fled to the place of pain. Spenser.
fermacy |Medicine; pharmacy. [Obs.] Chaucer.
ferme |Rent for a farm; a farm; also, an abode; a place of residence; as, he let his land to ferm. [Obs.] Out of her fleshy ferme fled to the place of pain. Spenser.
ferment |1. That which causes fermentation, as yeast, barm, or fermenting beer. Note: Ferments are of two kinds: (a) Formed or organized ferments. (b) Unorganized or structureless ferments. The latter are also called soluble or chemical ferments, and enzymes. Ferments of the first class are as a rule simple microscopic vegetable organisms, and the fermentations which they engender are due to their growth and development; as, the acetic ferment, the butyric ferment, etc. See Fermentation. Ferments of the second class, on the other hand, are chemical substances, as a rule soluble in glycerin and precipitated by alcohol. In action they are catalytic and, mainly, hydrolytic. Good examples are pepsin of the dastric juice, ptyalin of the salvia, and disease of malt. globular proteins, capable of catalyzing a wide variety of chemical reactions, not merely hydrolytic. The full set of enzymes causing production of ethyl alcohol from sugar has been identified and individually purified and studied. See enzyme 2. Intestine motion; heat; tumult; agitation. Subdue and cool the ferment of desire. Rogers. the nation is in a ferment. Walpole. in a ferment in a state of agitation, applied to human groups. 3. A gentle internal motion of the constituent parts of a fluid; fermentation. [R.] Down to the lowest lees the ferment ran. Thomson. ferment oils, volatile oils produced by the fermentation of plants, and not originally contained in them. These were the quintessences of the alchenists. Ure.\n\nTo cause ferment of fermentation in; to set in motion; to excite internal emotion in; to heat. Ye vigorous swains! while youth ferments your blood. Pope.\n\n1. To undergo fermentation; to be in motion, or to be excited into sensible internal motion, as the constituent oarticles of an animal or vegetable fluid; to work; to effervesce. 2. To be agitated or excited by violent emotions. But finding no redress, ferment an rage. Milton. The intellect of the age was a fermenting intellect. De Quincey.
fermentability |Capability of fermentation.
fermentable |Capable of fermentation; as, cider and other vegetable liquors are fermentable.
fermental |Fermentative. [Obs.]
fermentation |1. The process of undergoing an effervescent change, as by the action of yeast; in a wider sense (Physiol. Chem.), the transformation of an organic substance into new compounds by the action of a ferment, either formed or unorganized. It differs in kind according to the nature of the ferment which causes it. 2. A state of agitation or excitement, as of the intellect or the feelings. It puts the soul to fermentation and activity. Jer. Taylor. A univesal fermentation of human thought and faith. C. Kingsley. Acetous, or Acetic, fermentation, a form of oxidation in which alcohol is converted into vinegar or acetic acid by the agency of a specific fungus or ferment (Mycoderma aceti). The process involves two distinct reactions, in which the oxygen of the air is essential. An intermediate product, aldehyde, is formed in the first process. 1. C2H6O + O = H2O + C2H4O Note: Alcohol. Water. Aldehyde. 2. C2H4O + O = C2H4O2 Note: Aldehyde. Acetic acid. -- Alcoholic fermentation, the fermentation which saccharine bodies undergo when brought in contact with the yeast plant or Torula. The sugar is converted, either directly or indirectly, into alcohol and carbonic acid, the rate of action being dependent on the rapidity with which the Torulæ develop. -- Ammoniacal fermentation, the conversion of the urea of the urine into ammonium carbonate, through the growth of the special urea ferment. CON2H4 + 2H2O = (NH4)2CO3 Note: Urea. Water. Ammonium carbonate. Note: Whenever urine is exposed to the air in open vessels for several days it undergoes this alkaline fermentation. -- Butyric fermentation, the decomposition of various forms of organic matter, through the agency of a peculiar worm-shaped vibrio, with formation of more or less butyric acid. It is one of the many forms of fermentation that collectively constitute putrefaction. See Lactic fermentation. -- Fermentation by an unorganized ferment or enzyme. Fermentations of this class are purely chemical reactions, in which the ferment acts as a simple catalytic agent. Of this nature are the decomposition or inversion of cane sugar into levulose and dextrose by boiling with dilute acids, the conversion of starch into dextrin and sugar by similar treatment, the conversion of starch into like products by the action of diastase of malt or ptyalin of saliva, the conversion of albuminous food into peptones and other like products by the action of pepsin-hydrochloric acid of the gastric juice or by the ferment of the pancreatic juice. -- Fermentation theory of disease (Biol. & Med.), the theory that most if not all, infectious or zymotic disease are caused by the introduction into the organism of the living germs of ferments, or ferments already developed (organized ferments), by which processes of fermentation are set up injurious to health. See Germ theory. -- Glycerin fermentation, the fermentation which occurs on mixing a dilute solution of glycerin with a peculiar species of schizomycetes and some carbonate of lime, and other matter favorable to the growth of the plant, the glycerin being changed into butyric acid, caproic acid, butyl, and ethyl alcohol. With another form of bacterium (Bacillus subtilis) ethyl alcohol and butyric acid are mainly formed. -- Lactic fermentation, the transformation of milk sugar or other saccharine body into lactic acid, as in the souring of milk, through the agency of a special bacterium (Bacterium lactis of Lister). In this change the milk sugar, before assuming the form of lactic acid, presumably passes through the stage of glucose. C12H22O11.H2O = 4C3H6O3 Note: Hydrated milk sugar. Lactic acid. Note: In the lactic fermentation of dextrose or glucose, the lactic acid which is formed is very prone to undergo butyric fermentation after the manner indicated in the following equation: 2C3H6O3 (lactic acid) = C4H8O2 (butyric acid) + 2CO2 (carbonic acid) + 2H2 (hydrogen gas). -- Putrefactive fermentation. See Putrefaction.
fermentation theory |The theory which likens the course of certain diseases (esp. infectious diseases) to the process of fermentation, and attributes them to the organized ferments in the body. It does not differ materially from the accepted germ theory (which see).
fermentative |Causing, or having power to cause, fermentation; produced by fermentation; fermenting; as, a fermentative process. -- Fer*ment\"a*tive*ly, adv. -- Fer*ment\"a*tive*ness, n.
fermerere |The officer in a religious house who had the care of the infirmary. [Obs.]
fermeture |The mechanism for closing the breech of a breech-loading firearm, in artillery consisting principally of the breechblock, obturator, and carrier ring.
fermillet |A buckle or clasp. [Obs.] Donne.
fern |Long ago. [Obs.] Chaucer.\n\nAncient; old. [Obs.] \"Pilgrimages to . . . ferne halwes.\" [saints]. Chaucer.\n\nAn order of cryptogamous plants, the Filices, which have their fructification on the back of the fronds or leaves. They are usually found in humid soil, sometimes grow epiphytically on trees, and in tropical climates often attain a gigantic size. Note: The plants are asexual, and bear clustered sporangia, containing minute spores, which germinate and form prothalli, on which are borne the true organs of reproduction. The brake or bracken, the maidenhair, and the polypody are all well known ferns. Christmas fern. See under Christmas. -- Climbing fern (Bot.), a delicate North American fern (Lygodium palmatum), which climbs several feet high over bushes, etc., and is much sought for purposes of decoration. -- Fern owl. (Zoöl.) (a) The European goatsucker. (b) The short- eared owl. [Prov. Eng.] -- Fern shaw, a fern thicket. [Eng.] R. Browning.
fernery |A place for rearing ferns.
fernticle |A freckle on the skin, resembling the seed of fern. [Prov. Eng.]
ferny |Abounding in ferns.
ferocious |Fierce; savage; wild; indicating cruelty; ravenous; rapacious; as, ferocious look or features; a ferocious lion. The humbled power of a ferocious enemy. Lowth. Syn. -- Ferocious, Fierce, Savage, Barbarous. When these words are applied to human feelings or conduct, ferocious describes the disposition; fierce, the haste and violence of an act; barbarous, the coarseness and brutality by which it was marked; savage, the cruel and unfeeling spirit which it showed. A man is ferocious in his temper, fierce in his actions, barbarous in the manner of carrying out his purposes, savage in the spirit and feelings expressed in his words or deeds. -- Fe*ro\"cious*ly, adv. -- Fe*ro\"cious*ness, n. It [Christianity] has adapted the ferociousness of war. Blair.
ferocity |Savage wildness or fierceness; fury; cruelty; as, ferocity of countenance. The pride and ferocity of a Highland chief. Macaulay.
feroher |A symbol of the solar deity, found on monuments exhumed in Babylon, Nineveh, etc.
ferous |Wild; savage. [R.] Arthur Wilson.
ferrandine |A stuff made of silk and wool. I did buy a colored silk ferrandine. Pepys.
ferranti cables |A form of conductor, designed by Ferranti, for currents of high potential, and consisting of concentric tubes of copper separated by an insulating material composed of paper saturated with black mineral wax.
ferranti mains |A form of conductor, designed by Ferranti, for currents of high potential, and consisting of concentric tubes of copper separated by an insulating material composed of paper saturated with black mineral wax.
ferranti phenomenon |An increase in the ratio of transformation of an alternating current converter, accompanied by other changes in electrical conditions, occurring when the secondary of the converter is connected with a condenser of moderate capacity; -- so called because first observed in connection with the Ferranti cables in London.
ferrara |A sword bearing the mark of one of the Ferrara family of Italy. These swords were highly esteemed in England and Scotland in the 16th and 17th centuries.
ferrarese |Pertaining to Ferrara, in Italy. -- n., sing. & pl.  A citizen of Ferrara; collectively, the inhabitants of Ferrara.
ferrary |The art of working in iron. [Obs.] Chapman.
ferrate |A salt of ferric acid.
ferre |compar. of Fer.
ferreous |Partaking of, made of, or pertaining to, iron; like iron. [Obs.] Sir T. Browne.
ferrer |compar. of Fer.
ferrest |superl. of Fer. Chaucer.
ferret |An animal of the Weasel family (Mustela or Putorius furo), about fourteen inches in length, of a pale yellow or white color, with red eyes. It is a native of Africa, but has been domesticated in Europe. Ferrets are used to drive rabbits and rats out of their holes.\n\nTo drive or hunt out of a lurking place, as a ferret does the cony; to search out by patient and sagacious efforts; -- often used with out; as, to ferret out a secret. Master Fer! I'll fer him, and firk him, and ferret him. Shak.\n\nA kind of narrow tape, usually made of woolen; sometimes of cotton or silk; -- called also ferreting.\n\nThe iron used for trying the melted glass to see if is fit to work, and for shaping the rings at the mouths of bottles.
ferret-eye |The spur-winged goose; -- so called from the red circle around the eyes.
ferreter |One who ferrets. Johnson.
ferretto |Copper sulphide, used to color glass. Hebert.
ferri- |A combining form indicating ferric iron as an ingredient; as, ferricyanide.
ferriage |The price or fare to be paid for passage at a ferry.
ferric |Pertaining to, derived from, or containing iron. Specifically (Chem.), denoting those compounds in which iron has a higher valence than in the ferrous compounds; as, ferric oxide; ferric acid. Ferric acid (Chem.), an acid, H2FeO4, which is not known in the free state, but forms definite salts, analogous to the chromates and sulphates. -- Ferric oxide (Chem.), sesquioxide of iron, Fe2O3; hematite. See Hematite.
ferricyanate |A salt of ferricyanic acid; a ferricyanide.
ferricyanic |Pertaining to, or derived from, a ferricyanide. Ferricyanic acid (Chem.), a brown crystalline substance, H6(CN)12Fe2, obtained from potassium ferricyanide, and regarded as the type of the ferricyanides; -- called also hydro-ferricyanic acid, hydrogen ferricyanide, etc.
ferricyanide |One of a complex series of double cyanides of ferric iron and some other base. Potassium ferricyanide (Chem.), red prussiate of potash; a dark, red, crystalline salt, K6(CN)12Fe2, consisting of the double cyanide of potassium and ferric iron. From it is derived the ferrous ferricyanate, Turnbull's blue.
ferrier |A ferryman. Calthrop.
ferriferous |Producing or yielding iron.
ferriprussiate |A ferricyanate; a ferricyanide. [R.]
ferriprussic |Ferricyanic. [R.]
ferris wheel |An amusement device consisting of a giant power-driven steel wheel, revolvable on its stationary axle, and carrying a number of balanced passenger cars around its rim; -- so called after G. W. G. Ferris, American engineer, who erected the first of its kind for the World's Columbian Exposition in Chicago in 1893.
ferro- |A prefix, or combining form, indicating ferrous iron as an ingredient; as, ferrocyanide.
ferro-concrete |Concrete strengthened by a core or foundation skeleton of iron or steel bars, strips, etc. Floors, columns, piles, water pipes, etc., have been successfully made of it. Called also armored concrete steel, and reënforced concrete.
ferrocalcite |Limestone containing a large percentage of iron carbonate, and hence turning brown on exposure.
ferrocyanate |A salt of ferrocyanic acid; a ferrocyanide.
ferrocyanic |Pertaining to, derived from, or designating, a ferrocyanide. ferrocyanic acid (Chem.), a white crystalline substance, H4(CN)6Fe, of strong acid properties, obtained from potassium ferrocyanide, and regarded as the type of the ferrocyanides; -- called also hydro- ferrocyanic acid, hydrogen ferrocyanide. etc.
ferrocyanide |One of a series of complex double cyanides of ferrous iron and some other base. Potassium ferrocyanide (Chem.), yellow prussiate of potash; a tough, yellow, crystalline salt, K4(CN)6Fe, the starting point in the manufacture of almost all cyanogen compounds, and the basis of the ferric ferrocyanate, prussian blue. It is obtained by strongly heating together potash, scrap iron, and animal matter containing nitrogen, as horn, leather, blood, etc., in iron pots.
ferroprussiate |A ferrocyanate; a ferocyanide. [R.]
ferroprussic |Ferrocyanic.
ferroso- |See Ferro-.
ferrotype |A photographic picture taken on an iron plate by a collodion process; -- familiarly called tintype.
ferrous |Pertaining to, or derived from, iron; -- especially used of compounds of iron in which the iron has its lower valence; as, ferrous sulphate.
ferruginated |Having the color or properties of the rust of iron.
ferrugineous |Ferruginous. [R.]
ferruginous |1. Partaking of iron; containing particles of iron. Boyle. 2. Resembling iron rust in appearance or color; brownish red, or yellowish red.
ferrugo |A disease of plants caused by fungi, commonly called the rust, from its resemblance to iron rust in color.
ferrule |1. A ring or cap of metal put round a cane, tool, handle, or other similar object, to strengthen it, or prevent splitting and wearing. 2. (Steam Boilers)  A bushing for expanding the end of a flue to fasten it tightly in the tube plate, or for partly filling up its mouth.
ferruminate |To solder or unite, as metals. [R.] Coleridge.
ferrumination |The soldering ir uniting of me [R.] Coleridge.
ferry |To carry or transport over a river, strait, or other narrow water, in a boat.\n\nTo pass over water in a boat or by a ferry. They ferry over this Lethean sound Both to and fro. Milton.\n\n1. A place where persons or things are carried across a river, arm of the sea, etc., in a ferryboat. It can pass the ferry backward into light. Milton. To row me o'er the ferry. Campbell. 2. A vessel in which passengers and goods are conveyed over narrow waters; a ferryboat; a wherry. 3. A franchise or right to maintain a vessel for carrying passengers and freight across a river, bay, etc., charging tolls. Ferry bridge, a ferryboat adapted in its structure for the transfer of railroad trains across a river or bay. -- Ferry railway. See under Railway.
ferryboat |A vessel for conveying passengers, merchandise, etc., across streams and other narrow waters.
ferryman |One who maintains or attends a ferry.
fers |Fierce. [Obs.] Chaucer.
ferthe |Fourth. [Obs.] Chaucer.
fertile |1. Producing fruit or vegetation in abundance; fruitful; able to produce abundantly; prolific; fecund; productive; rich; inventive; as, fertile land or fields; a fertile mind or imagination. Though he in a fertile climate dwell. Shak. 2. (Bot.) (a) Capable of producing fruit; fruit-bearing; as, fertile flowers. (b) Containing pollen; -- said of anthers. 3. produced in abundance; plenteous; ample. Henceforth, my early care . . . Shall tend thee, and the fertile burden ease Of thy full branches. Milton. Syn. -- Fertile, Fruitful. Fertile implies the inherent power of production; fruitful, the act. The prairies of the West are fertile by nature, and are turned by cultivation into fruitful fields. The same distinction prevails when these words are used figuratively. A man of fertile genius has by nature great readiness of invention; one whose mind is fruitful has resources of thought and a readiness of application which enable him to think and act effectively.
fertilely |In a fertile or fruitful manner.
fertileness |Fertility. Sir P. Sidney.
fertilitate |To fertilize; to fecundate. Sir T. Browne.
fertility |The state or quality of being fertile or fruitful; fruitfulness; productiveness; fecundity; richness; abundance of resources; fertile invention; quickness; readiness; as, the fertility of soil, or of imagination. \"fertility of resource.\" E. Everett. And all her husbandry doth lie on heaps Corrupting in its own fertility. Shak. Thy very weeds are beautiful; thy waste More rich than other climes' fertility. Byron.
fertilization |1. The act or process of rendering fertile. 2. (Biol.)  The act of fecundating or impregnating animal or vegetable germs; esp., the process by which in flowers the pollen renders the ovule fertile, or an analogous process in flowerless plants; fecundation; impregnation. Close fertilization (Bot.), the fertilization of pistils by pollen derived from the stamens of the same blossom. -- Cross fertilization, fertilization by pollen from some other blossom. See under Cross, a.
fertilize |1. To make fertile or enrich; to supply with nourishment for plants; to make fruitful or productive; as, to fertilize land, soil, ground, and meadows. And fertilize the field that each pretends to gain. Byron. 2. To fecundate; as, to fertilize flower. A. R. Wallace.
fertilizer |1. One who fertilizes; the agent that carries the fertilizing principle, as a moth to an orchid. A. R. Wallace. 2. That which renders fertile; a general name for commercial manures, as guano, phosphate of lime, etc.
ferula |1. A ferule. [Obs.] Beau. & Fl. 2. The imperial scepter in the Byzantine or Eastern Empire.
ferulaceous |Pertaining to reeds and canes; having a stalk like a reed; as, ferulaceous plants.
ferular |A ferule. [Obs.] Milton.
ferule |A flat piece of wood, used for striking, children, esp. on the hand, in punishment.\n\nTo punish with a ferule.
ferulic |Pertaining to, or derived from, asafetida (Ferula asafoetida); as, ferulic acid. [Written also ferulaic.]
fervence |Heat; fervency. [Obs.]
fervency |The state of being fervent or warm; ardor; warmth of feeling or devotion; eagerness. When you pray, let it be with attention, with fervency, and with perseverance. Wake.
fervent |1. Hot; glowing; boiling; burning; as, a fervent summer. The elements shall melt with fervent heat. 2 Pet. iii. 10. 2. Warm in feeling; ardent in temperament; earnest; full of fervor; zealous; glowing. Not slothful in business; fervent in spirit. Rom. iii. 11. So spake the fervent angel. Milton. A fervent desire to promote the happiness of mankind. Macaulay. -- Fer\"vent*ly, adv. -- Fer\"vent*ness, n. Laboring fervently for you in prayers. Col. iv. 12.
fervescent |Growing hot.
fervid |1. Very hot; burning; boiling. The mounted sun Shot down direct his fervid rays. Milton. 2. Ardent; vehement; zealous. The fervid wishes, holy fires. Parnell. -- Fer\"vid*ly, adv. -- Fer\"vid*ness, n.
fervor |1. Heat; excessive warmth. The fevor of ensuing day. Waller. 2. Intensity of feeling or expression; glowing ardor; passion; holy zeal; earnestness. Hooker. Winged with fervor of her love. Shak. Syn. -- Fervor, Ardor. Fervor is a boiling heat, and ardor is a burning heat. Hence, in metaphor, we commonly use fervor and its derivatives when we conceive of thoughts or emotions under the image of ebullition, or as pouring themselves forth. Thus we speak of the fervor of passion, fervid declamation, fervid importunity, fervent supplication, fervent desires, etc. Ardent is used when we think of anything as springing from a deepseated glow of soul; as, ardent friendship, ardent zeal, ardent devotedness; burning with ardor for the fight.
fescennine |Pertaining to, or resembling, the Fescennines. -- n.  A style of low, scurrilous, obscene poetry originating in fescennia.
fescue |1. A straw, wire, stick, etc., used chiefly to point out letters to children when learning to read. \"Pedantic fescue.' Sterne. To come under the fescue of an imprimatur. Milton. 2. An instrument for playing on the harp; a plectrum. [Obs.] Chapman. 3. The style of a dial. [Obs.] 4. (Bot.)  A grass of the genus Festuca. Fescue grass (Bot.), a genus of grasses (Festuca) containing several species of importance in agriculture. Festuca ovina is sheep's fescue; F. elatior is meadow fescue.\n\nTo use a fescue, or teach with a fescue. Milton.
fesels |See Phasel. [Obs.] May (Georgics).
fess |A band drawn horizontally across the center of an escutcheon, and containing in breadth the third part of it; one of the nine honorable ordinaries. Fess point (Her.), the exact center of the escutcheon. See Escutcheon.
fesse |A band drawn horizontally across the center of an escutcheon, and containing in breadth the third part of it; one of the nine honorable ordinaries. Fess point (Her.), the exact center of the escutcheon. See Escutcheon.
fessitude |Weariness. [Obs.] Bailey.
fesswise |In the manner of fess.
fest |The fist. [Obs.] Chaucer.\n\nA feast. [Obs.] Chaucer.
festal |Of or pertaining to a holiday or a feast; joyous; festive. You bless with choicer wine the festal day. Francis.
festally |Joyously; festively; mirthfully.
feste |A feast. [Obs.] Chaucer.
festennine |A fescennine.
fester |1. To generate pus; to become imflamed and suppurate; as, a sore or a wound festers. Wounds immedicable Rankle, and fester, and gangrene. Milton. Unkindness may give a wound that shall bleed and smart, but it is treachery that makes it fester. South. Hatred . . . festered in the hearts of the children of the soil. Macaulay. 2. To be inflamed; to grow virulent, or malignant; to grow in intensity; to rankle.\n\nTo cause to fester or rankle. For which I burnt in inward, swelt'ring hate, And fstered ranking malice in my breast. Marston.\n\n1. A small sore which becomes inflamed and discharge corrupt matter; a pustule. 2. A festering or rankling. The fester of the chain their necks. I. Taylor.
festerment |A festering. [R.] Chalmers.
festeye |To feast; to entertain. [Obs.] Chaucer.
festi-val |A time of feasting or celebration; an anniversary day of joy, civil or religious. The morning trumpets festival proclaimed. Milton. Syn. -- Feast; banquet; carousal. See Feast.
festinate |Hasty; hurried. [Obs.] -- Fes\"ti*nate*ly, adv. [Obs.] Shak.
festination |Haste; hurry. [Obs.] Sir T. Browne.
festival |Pertaining to a fest; festive; festal; appropriate to a festival; joyous; mirthful. I cannot woo in festival terms. Shak.
festive |Pertaining to, or becoming, a feast; festal; joyous; gay; mirthful; sportive. -- Fes\"tive*ly, adv. The glad circle round them yield their souls To festive mirth and wit that knows no gall. Thomson.
festivity |1. The condition of being festive; social joy or exhilaration of spirits at an entertaintment; joyfulness; gayety. The unrestrained festivity of the rustic youth. Bp. Hurd. 2. A festival; a festive celebration. Sir T. Browne.
festivous |Pertaining to a feast; festive. [R.] Sir W. Scott.
festlich |Festive; fond of festive occasions. [Obs.] \"A festlich man.\" Chaucer.
festoon |1. A garland or wreath hanging in a depending curve, used in decoration for festivals, etc.; anything arranged in this way. 2. (Arch. & Sculp.)  A carved ornament consisting of flowers, and leaves, intermixed or twisted together, wound with a ribbon, and hanging or depending in a natural curve. See Illust. of Bucranium.\n\nTo form in festoons, or to adorn with festoons.
festoony |Pertaining to, consisting of, or resembling, festoons. Sir J. Herschel.
festucine |Of a straw color; greenish yellow. [Obs.] A little insect of a festucine or pale green. Sir T. Browne.
festucous |Formed or consisting of straw. [Obs.] Sir T. Browne.
festue |A straw; a fescue. [Obs.] Holland.
fet |A piece. [Obs.] Dryton.\n\nTo fetch. [Obs.] And from the other fifty soon the prisoner fet. Spenser.\n\nFetched. [Obs.] Chaucer.
fetal |Pertaining to, or connected with, a fetus; as, fetal circulation; fetal membranes.
fetation |The formation of a fetus in the womb; pregnancy.
