stirless |Without stirring; very quiet; motionless. \"Lying helpless and stirless.\" Hare.
straight |A variant of Strait, a. [Obs. or R.] Egypt is a long country, but it is straight, that is to say, narrow. Sir J. Mandeville.\n\n1. Right, in a mathematical sense; passing from one point to another by the nearest course; direct; not deviating or crooked; as, a straight line or course; a straight piece of timber. And the crooked shall be made straight. Isa. xl. 4. There are many several sorts of crooked lines, but there is only one which is straight. Dryden. 2. (Bot.)  Approximately straight; not much curved; as, straight ribs are such as pass from the base of a leaf to the apex, with a small curve. 3. (Card Playing)  Composed of cards which constitute a regular sequence, as the ace, king, queen, jack, and ten-spot; as, a straight hand; a straight flush. 4. Conforming to justice and rectitude; not deviating from truth or fairness; upright; as, straight dealing. 5. Unmixed; undiluted; as, to take liquor straight. [Slang] 6. Making no exceptions or deviations in one's support of the organization and candidates of a political party; as, a straight Republican; a straight Democrat; also, containing the names of all the regularly nominated candidates of a party and no others; as, a straight ballot. [Political Cant, U.S.] Straight arch (Arch.), a form of arch in which the intrados is straight, but with its joints drawn radially, as in a common arch. -- A straight face, one giving no evidence of merriment or other emotion. -- A straight line. \"That which lies evenly between its extreme points.\" Euclid. \"The shortest line between two points.\" Chauvenet. \"A line which has the same direction through its whole length.\" Newcomb. -- Straight-way valve, a valve which, when opened widely, affords a straight passageway, as for water. walk the straight and narrow.\n\nIn a straight manner; directly; rightly; forthwith; immediately; as, the arrow went straight to the mark. \"Floating straight.\" Shak. I know thy generous temper well; Fling but the appearance of dishonor on it, It straight takes fire, and mounts into a blaze. Addison. Everything was going on straight. W. Black.\n\nA hand of five cards in consecutive order as to value; a sequence. When they are of one suit, it is calles straight flush.\n\nTo straighten. [R.] A Smith.
straight-joint |Having straight joints. Specifically: (a) Applied to a floor the boards of which are so laid that the joints form a continued line transverse to the length of the boards themselves. Brandle & C. (b) In the United States, applied to planking or flooring put together without the tongue and groove, the pieces being laid edge to edge.
straight-lined |Having straight lines.
straight-out |Acting without concealment, obliquity, or compromise; hence, unqualified; thoroughgoing. [Colloq. U.S.] Straight-out and generous indignation. Mrs. Stowe.
straight-pight |Straight in form or upright in position; erect. [Obs.] Shak.
straight-spoken |Speaking with directness; plain-spoken. [Colloq. U.S.] Lowell.
straightedge |A board, or piece of wood or metal, having one edge perfectly straight, -- used to ascertain whether a line is straight or a surface even, and for drawing straight lines.
straighten |1. To make straight; to reduce from a crooked to a straight form. 2. To make right or correct; to reduce to order; as, to straighten one's affairs; to straighten an account. To straighten one's face, to cease laughing or smiling, etc., and compose one's features.\n\nA variant of Straiten. [Obs. or R.]
straightener |One who, or that which, straightens.
straightforth |Straightway. [Obs.]
straightforward |Proceeding in a straight course or manner; not deviating; honest; frank. -- adv.  In a straightforward manner. -- Straight`for\"ward*ly, adv. -- Straight`for\"ward*ness, n.
straighthorn |An orthoceras.
straightly |In a right line; not crookedly.\n\nA variant of Straitly. See 1st Straight.
straightness |The quality, condition, or state, of being straight; as, the straightness of a path.\n\nA variant of Straitness.
straightway |Immediately; without loss of time; without delay. He took the damsel by the hand, and said unto her, Talitha cumi. . . . And straightway the damsel arose. Mark v. 41,42.
straightways |Straightway. [Obs.]
straik |A strake.
strain |1. Race; stock; generation; descent; family. He is of a noble strain. Shak. With animals and plants a cross between different varieties, or between individuals of the same variety but of another strain, gives vigor and fertility to the offspring. Darwin. 2. Hereditary character, quality, or disposition. Intemperance and lust breed diseases, which, propogated, spoil the strain of nation. Tillotson. 3. Rank; a sort. \"The common strain.\" Dryden.\n\n1. To draw with force; to extend with great effort; to stretch; as, to strain a rope; to strain the shrouds of a ship; to strain the cords of a musical instrument. \"To strain his fetters with a stricter care.\" Dryden. 2. (Mech.)  To act upon, in any way, so as to cause change of form or volume, as forces on a beam to bend it. 3. To exert to the utmost; to ply vigorously. He sweats, Strains his young nerves. Shak. They strain their warbling throats To welcome in the spring. Dryden. 4. To stretch beyond its proper limit; to do violence to, in the matter of intent or meaning; as, to strain the law in order to convict an accused person. There can be no other meaning in this expression, however some may pretend to strain it. Swift. 5. To injure by drawing, stretching, or the exertion of force; as, the gale strained the timbers of the ship. 6. To injure in the muscles or joints by causing to make too strong an effort; to harm by overexertion; to sprain; as, to strain a horse by overloading; to strain the wrist; to strain a muscle. Prudes decayed about may track, Strain their necks with looking back. Swift. 7. To squeeze; to press closely. Evander with a close embrace Strained his departing friend. Dryden. 8. To make uneasy or unnatural; to produce with apparent effort; to force; to constrain. He talks and plays with Fatima, but his mirth Is forced and strained. Denham. The quality of mercy is not strained. Shak. 9. To urge with importunity; to press; as, to strain a petition or invitation. Note, if your lady strain his entertainment. Shak. 10. To press, or cause to pass, through a strainer, as through a screen, a cloth, or some porous substance; to purify, or separate from extraneous or solid matter, by filtration; to filter; as, to strain milk through cloth. To strain a point, to make a special effort; especially, to do a degree of violence to some principle or to one's own feelings. -- To strain courtesy, to go beyond what courtesy requires; to insist somewhat too much upon the precedence of others; -- often used ironically. Shak.\n\n1. To make violent efforts. \"Straining with too weak a wing.\" Pope. To build his fortune I will strain a little. Shak. 2. To percolate; to be filtered; as, water straining through a sandy soil.\n\n1. The act of straining, or the state of being strained. Specifically: -- (a) A violent effort; an excessive and hurtful exertion or tension, as of the muscles; as, he lifted the weight with a strain the strain upon a ship's rigging in a gale; also, the hurt or injury resulting; a sprain. Whether any poet of our country since Shakespeare has exerted a greater variety of powers with less strain and less ostentation. Landor. Credit is gained by custom, and seldom recovers a strain. Sir W. Temple. (b) (Mech. Physics)  A change of form or dimensions of a solid or liquid mass, produced by a stress. Rankine. 2. (Mus.)  A portion of music divided off by a double bar; a complete musical period or sentence; a movement, or any rounded subdivision of a movement. Their heavenly harps a lower strain began. Dryden. 3. Any sustained note or movement; a song; a distinct portion of an ode or other poem; also, the pervading note, or burden, of a song, poem, oration, book, etc.; theme; motive; manner; style; also, a course of action or conduct; as, he spoke in a noble strain; there was a strain of woe in his story; a strain of trickery appears in his career. \"A strain of gallantry.\" Sir W. Scott. Such take too high a strain at first. Bacon. The genius and strain of the book of Proverbs. Tillotson. It [Pilgrim's Progress] seems a novelty, and yet contains Nothing but sound and honest gospel strains. Bunyan. 4. Turn; tendency; inborn disposition. Cf. 1st Strain. Because heretics have a strain of madness, he applied her with some corporal chastisements. Hayward.
strainable |1. Capable of being strained. 2. Violent in action. Holinshed.
strainably |Violently. Holinshed.
strained |1. Subjected to great or excessive tension; wrenched; weakened; as, strained relations between old friends. 2. Done or produced with straining or excessive effort; as, his wit was strained.
strainer |1. One who strains. 2. That through which any liquid is passed for purification or to separate it from solid matter; anything, as a screen or a cloth, used to strain a liquid; a device of the character of a sieve or of a filter; specifically, an openwork or perforated screen, as for the end of the suctionpipe of a pump, to prevent large solid bodies from entering with a liquid.
straining |from Strain. Straining piece (Arch.), a short piece of timber in a truss, used to maintain the ends of struts or rafters, and keep them from slipping. See Illust. of Queen-post.
straint |Overexertion; excessive tension; strain. [Obs.] Spenser.
strait |A variant of Straight. [Obs.]\n\n1. Narrow; not broad. Strait is the gate, and narrow is the way, which leadeth unto life, and few there be that find it. Matt. vii. 14. Too strait and low our cottage doors. Emerson. 2. Tight; close; closely fitting. Shak. 3. Close; intimate; near; familiar. [Obs.] \"A strait degree of favor.\" Sir P. Sidney. 4. Strict; scrupulous; rigorous. Some certain edicts and some strait decrees. Shak. The straitest sect of our religion. Acts xxvi. 5 (Rev. Ver.). 5. Difficult; distressful; straited. To make your strait circumstances yet straiter. Secker. 6. Parsimonious; niggargly; mean. [Obs.] I beg cold comfort, and you are so strait, And so ingrateful, you deny me that. Shak.\n\nStrictly; rigorously. [Obs.] Shak.\n\n1. A narrow pass or passage. He brought him through a darksome narrow strait To a broad gate all built of beaten gold. Spenser. Honor travels in a strait so narrow Where one but goes abreast. Shak. 2. Specifically: (Geog.)  A (comparatively) narrow passageway connecting two large bodies of water; -- often in the plural; as, the strait, or straits, of Gibraltar; the straits of Magellan; the strait, or straits, of Mackinaw. We steered directly through a large outlet which they call a strait, though it be fifteen miles broad. De Foe. 3. A neck of land; an isthmus. [R.] A dark strait of barren land. Tennyson. 4. Fig.: A condition of narrowness or restriction; doubt; distress; difficulty; poverty; perplexity; -- sometimes in the plural; as, reduced to great straits. For I am in a strait betwixt two. Phil. i. 23. Let no man, who owns a Providence, grow desperate under any calamity or strait whatsoever. South. Ulysses made use of the pretense of natural infirmity to conceal the straits he was in at that time in his thoughts. Broome.\n\nTo put to difficulties. [Obs.] Shak.
strait-handed |Parsimonious; sparing; niggardly. [R.] -- Strait\"-hand`ed*ness, n. [R.]
strait-jacket |A dress of strong materials for restraining maniacs or those who are violently delirious. It has long sleeves, which are closed at the ends, confining the hands, and may be tied behind the back.
strait-laced |1. Bound with stays. Let nature have scope to fashion the body as she thinks best; we have few well-shaped that are strait-laced. Locke. 2. Restricted; stiff; constrained. [R.] Fuller. 3. Rigid in opinion; strict in manners or morals.
strait-waistcoat |Same as Strait-jacket.
straiten |1. To make strait; to make narrow; hence, to contract; to confine. Waters, when straitened, as at the falls of bridges, give a roaring noise. Bacon. In narrow circuit, straitened by a foe. Milton. 2. To make tense, or tight; to tighten. They straiten at each end the cord. Pope. 3. To restrict; to distress or embarrass in respect of means or conditions of life; -- used chiefly in the past participle; -- as, a man straitened in his circumstances.
straitly |1. In a strait manner; narrowly; strictly; rigorously. Mark i. 43. 2. Closely; intimately. [Obs.]
straitness |The quality or condition of being strait; especially, a pinched condition or situation caused by poverty; as, the straitnessof their circumstances.
strake |imp. of Strike. Spenser.\n\n1. A streak. [Obs.] Spenser.\"White strake.\" Gen. xxx. 37. 2. An iron band by which the fellies of a wheel are secured to each other, being not continuous, as the tire is, but made up of separate pieces. 3. (Shipbuilding)  One breadth of planks or plates forming a continuous range on the bottom or sides of a vessel, reaching from the stem to the stern; a streak. Note: The planks or plates next the keel are called the garboard strakes; the next, or the heavy strakes at the bilge, are the bilge strakes; the next, from the water line to the lower port sill, the wales; and the upper parts of the sides, the sheer strakes. 4. (Mining)  A trough for washing broken ore, gravel, or sand; a launder.
strale |Pupil of the eye. [Prov. Eng.]
stram |To spring or recoil with violence. [Prov. Eng.]\n\nTo dash down; to beat. [Prov. Eng.]
stramash |To strike, beat, or bang; to break; to destroy. [Scot. & Prov. Eng.]\n\nA turmoil; a broil; a fray; a fight. [Scot. & Prov. Eng.] Barham.
stramazoun |A direct descending blow with the edge of a sword. [Obs.] B. Jonson.
stramineous |1. Strawy; consisting of straw. Robinson. 2. Chaffy; like straw; straw-colored. Burton.
stramonium |A poisonous plant (Datura Stramonium); stinkweed. See Datura, and Jamestown weed.
stramony |Stramonium.
strand |One of the twists, or strings, as of fibers, wires, etc., of which a rope is composed.\n\nTo break a strand of (a rope).\n\nThe shore, especially the beach of a sea, ocean, or large lake; rarely, the margin of a navigable river. Chaucer. Strand birds. (Zoöl.) See Shore birds, under Shore. -- Strand plover (Zoöl.), a black-bellied plover. See Illust. of Plover. -- Strand wolf (Zoöl.), the brown hyena.\n\nTo drive on a strand; hence, to run aground; as, to strand a ship.\n\nTo drift, or be driven, on shore to run aground; as, the ship stranded at high water.
strang |Strong. [Obs. or Prov. Eng. & Scot.] Halliwell.
strange |1. Belonging to another country; foreign. \"To seek strange strands.\" Chaucer. One of the strange queen's lords. Shak. I do not contemn the knowledge of strange and divers tongues. Ascham. 2. Of or pertaining to others; not one's own; not pertaining to one's self; not domestic. So she, impatient her own faults to see, Turns from herself, and in strange things delights. Sir J. Davies. 3. Not before known, heard, or seen; new. Here is the hand and seal of the duke; you know the character, I doubt not; and the signet is not strange to you. Shak. 4. Not according to the common way; novel; odd; unusual; irregular; extraordinary; unnatural; queer. \"He is sick of a strange fever.\" Shak. Sated at length, erelong I might perceive Strange alteration in me. Milton. 5. Reserved; distant in deportment. Shak. She may be strange and shy at first, but will soon learn to love thee. Hawthorne. 6. Backward; slow. [Obs.] Who, loving the effect, would not be strange In favoring the cause. Beau. & Fl. 7. Not familiar; unaccustomed; inexperienced. In thy fortunes am unlearned and strange. Shak. Note: Strange is often used as an exclamation. Strange! what extremes should thus preserve the snow High on the Alps, or in deep caves below. Waller. Strange sail (Naut.), an unknown vessel. -- Strange woman (Script.), a harlot. Prov. v. 3. -- To make it strange. (a) To assume ignorance, suspicion, or alarm, concerning it. Shak. (b) To make it a matter of difficulty. [Obs.] Chaucer. -- To make strange, To make one's self strange. (a) To profess ignorance or astonishment. (b) To assume the character of a stranger. Gen. xlii. 7. Syn. -- Foreign; new; outlandish; wonderful; astonishing; marvelous; unusual; odd; uncommon; irregular; queer; eccentric.\n\nStrangely. [Obs.] Most strange, but yet most truly, will I speak. Shak.\n\nTo alienate; to estrange. [Obs.]\n\n1. To be estranged or alienated. [Obs.] 2. To wonder; to be astonished. [Obs.] Glanvill.
strangely |1. As something foreign, or not one's own; in a manner adapted to something foreign and strange. [Obs.] Shak. 2. In the manner of one who does not know another; distantly; reservedly; coldly. You all look strangely on me. Shak. I do in justice charge thee . . . That thou commend it strangely to some place Where chance may nurse or end it. Shak. 3. In a strange manner; in a manner or degree to excite surprise or wonder; wonderfully. How strangely active are the arts of peace! Dryden. It would strangely delight you to see with what spirit he converses. Law.
strangeness |The state or quality of being strange (in any sense of the adjective).
stranger |1. One who is strange, foreign, or unknown. Specifically: -- (a) One who comes from a foreign land; a foreigner. I am a most poor woman and a stranger, Born out of your dominions. Shak. (b) One whose home is at a distance from the place where he is, but in the same country. (c) One who is unknown or unacquainted; as, the gentleman is a stranger to me; hence, one not admitted to communication, fellowship, or acquaintance. Melons on beds of ice are taught to bear, And strangers to the sun yet ripen here. Granville. My child is yet a stranger in the world. Shak. I was no stranger to the original. Dryden. 2. One not belonging to the family or household; a guest; a visitor. To honor and receive Our heavenly stranger. Milton. 3. (Law)  One not privy or party an act, contract, or title; a mere intruder or intermeddler; one who interferes without right; as, actual possession of land gives a good title against a stranger having no title; as to strangers, a mortgage is considered merely as a pledge; a mere stranger to the levy.\n\nTo estrange; to alienate. [Obs.] Shak.
strangle |1. To compress the windpipe of (a person or animal) until death results from stoppage of respiration; to choke to death by compressing the throat, as with the hand or a rope. Our Saxon ancestors compelled the adulteress to strangle herself. Ayliffe. 2. To stifle, choke, or suffocate in any manner. Shall I not then be stifled in the vault, . . . And there die strangled ere my Romeo comes Shak. 3. To hinder from appearance; to stifle; to suppress. \"Strangle such thoughts.\" Shak.\n\nTo be strangled, or suffocated.
strangle hold |In wrestling, a hold by which one's opponent is choked. It is usually not allowed.
strangleable |Capable of being strangled. [R.] Chesterfield.
strangler |One who, or that which, strangles. \"The very strangler of their amity.\" Shak.
strangles |A disease in horses and swine, in which the upper part of the throat, or groups of lymphatic glands elsewhere, swells.
strangulate |Strangulated.
strangulated |1. (Med.)  Having the circulation stopped by compression; attended with arrest or obstruction of circulation, caused by constriction or compression; as, a strangulated hernia. 2. (Bot.)  Contracted at irregular intervals, if tied with a ligature; constricted. Strangulated hernia. (Med.) See under Hernia.
strangulation |1. The act of strangling, or the state of being strangled. 2. (Med.)  Inordinate compression or constriction of a tube or part, as of the throat; especially, such as causes a suspension of breathing, of the passage of contents, or of the circulation, as in cases of hernia.
strangurious |Of or pertaining to strangury. Cheyne.
strangury |1. (Med.)  A painful discharge of urine, drop by drop, produced by spasmodic muscular contraction. 2. (Bot.)  A swelling or other disease in a plant, occasioned by a ligature fastened tightly about it.
strany |The guillemot. [Prov. Eng.]
strap |1. A long, narrow, pliable strip of leather, cloth, or the like; specifically, a strip of thick leather used in flogging. A lively cobbler that . . . had scarce passed a day without giving her [his wife] the discipline of the strap. Addison. 2. Something made of such a strip, or of a part of one, or a combination of two or more for a particular use; as, a boot strap, shawl strap, stirrup strap. 3. A piece of leather, or strip of wood covered with a suitable material, for sharpening a razor; a strop. 4. A narrow strip of anything, as of iron or brass. Specifically: -- (a) (Carp. & Mach.)  A band, plate, or loop of metal for clasping and holding timbers or parts of a machine. (b) (Naut.)  A piece of rope or metal passing around a block and used for fastening it to anything. 5. (Bot.) (a) The flat part of the corolla in ligulate florets, as those of the white circle in the daisy. (b) The leaf, exclusive of its sheath, in some grasses. 6. A shoulder strap. See under Shoulder. Strap bolt, a bolt of which one end is a flat bar of considerable length. -- Strap head (Mach.), a journal box, or pair of brasses, secured to the end of a connecting rod by a strap. See Illust. of Gib and key, under Gib. -- Strap hinge, a hinge with long flaps by which it is fastened, as to a door or wall. -- Strap rail (Railroads), a flat rail formerly used.\n\n1. To beat or chastise with a strap. 2. To fasten or bind with a strap. Cowper. 3. To sharpen by rubbing on a strap, or strop; as, to strap a razor.
strap-shaped |Shaped like a strap; ligulate; as, a strap-shaped corolla.
strappado |A military punishment formerly practiced, which consisted in drawing an offender to the top of a beam and letting him fall to the length of the rope, by which means a limb was often dislocated. Shak.\n\nTo punish or torture by the strappado. Milton.
strapper |1. One who uses strap. 2. A person or thing of uncommon size. [Colloq.]
strapping |Tall; strong; lusty; large; as, a strapping fellow. [Colloq.] There are five and thirty strapping officers gone. Farquhar.
strapple |To hold or bind with, or as with, a strap; to entangle. [Obs.] Chapman.
strapwork |A kind of ornament consisting of a narrow fillet or band folded, crossed, and interlaced.
strass |A brilliant glass, used in the manufacture of artificial paste gems, which consists essentially of a complex borosilicate of lead and potassium. Cf. Glass.
strata |pl. of Stratum.
stratagem |An artifice or trick in war for deceiving the enemy; hence, in general, artifice; deceptive device; secret plot; evil machination. Fit for treasons, stratagems, and spoils. Shak. Those oft are stratagems which error seem, Nor is it Homer nods, but we that dream. Pope.
stratagemical |Containing stratagem; as, a stratagemical epistle. [R.] Swift.
stratarithmetry |The art of drawing up an army, or any given number of men, in any geometrical figure, or of estimating or expressing the number of men in such a figure.
strategetic |Strategic.
strategetical |Strategic.
strategetics |Strategy.
strategic |Of or pertaining to strategy; effected by artifice. -- Stra*te\"gic*al*ly, adv. Strategic line (Mil.), a line joining strategic points. -- Strategic point (Mil.), any point or region in the theater or warlike operations which affords to its possessor an advantage over his opponent, as a mountain pass, a junction of rivers or roads, a fortress, etc.
strategical |Of or pertaining to strategy; effected by artifice. -- Stra*te\"gic*al*ly, adv. Strategic line (Mil.), a line joining strategic points. -- Strategic point (Mil.), any point or region in the theater or warlike operations which affords to its possessor an advantage over his opponent, as a mountain pass, a junction of rivers or roads, a fortress, etc.
strategics |Strategy.
strategist |One skilled in strategy, or the science of directing great military movements.
strategus |The leader or commander of an army; a general.
strategy |1. The science of military command, or the science of projecting campaigns and directing great military movements; generalship. 2. The use of stratagem or artifice.
strath |A valley of considerable size, through which a river runs; a valley bottom; -- often used in composition with the name of the river; as, Strath Spey, Strathdon, Strathmore. [Scot.] The long green strath of Napa valley. R. L. Stevenson.
strathspey |A lively Scottish dance, resembling the reel, but slower; also, the tune.
straticulate |Characterized by the presence of thin parallel strata, or layers, as in an agate.
stratification |1. The act or process of laying in strata, or the state of being laid in the form of strata, or layers. 2. (Physiol.)  The deposition of material in successive layers in the growth of a cell wall, thus giving rise to a stratified appearance.
stratified |Having its substance arranged in strata, or layers; as, stratified rock.
stratiform |Having the form of strata.
stratify |To form or deposit in strata, or layers, as substances in the earth; to arrange in strata.
stratigraphic |Pertaining to, or depended upon, the order or arrangement of strata; as, stratigraphical evidence. -- Strat`i*graph\"ic*al*ly, adv.\n\nSee Stratographic.
stratigraphical |Pertaining to, or depended upon, the order or arrangement of strata; as, stratigraphical evidence. -- Strat`i*graph\"ic*al*ly, adv.\n\nSee Stratographic.
stratigraphy |That branch of geology which treats of the arrangement and succession of strata.
strato-cirrus |An alto-stratus cloud.
strato-cumulus |Large balls or rolls of dark cloud which frequently cover the whole sky, esp. in winter, and give it at times an undulated appearance.
stratocracy |A military government; government by military chiefs and an army.
stratographic |Of or pertaining to stratography.
stratographical |Of or pertaining to stratography.
stratography |A description of an army, or of what belongs to an army.
stratonic |Of or pertaining to an army. [R.]
stratotic |Warlike; military. [R.]
stratum |1. (Geol.)  A bed of earth or rock of one kind, formed by natural causes, and consisting usually of a series of layers, which form a rock as it lies between beds of other kinds. Also used figuratively. 2. A bed or layer artificially made; a course.
stratus |A form of clouds in which they are arranged in a horizontal band or layer. See Cloud.
straught |imp. & p. p. of Stretch.\n\nTo stretch; to make straight. [Written also straucht.] [Scot.] Sir W. Scott.
straw |To spread or scatter. See Strew, and Strow. Chaucer.\n\n1. A stalk or stem of certain species of grain, pulse, etc., especially of wheat, rye, oats, barley, more rarely of buckwheat, beans, and pease. 2. The gathered and thrashed stalks of certain species of grain, etc.; as, a bundle, or a load, of rye straw. 3. Anything proverbially worthless; the least possible thing; a mere trifle. I set not a straw by thy dreamings. Chaucer. Note: Straw is often used in the formation of self-explaining compounds; as, straw-built, straw-crowned, straw-roofed, straw- stuffed, and the like. Man of straw, an effigy formed by stuffing the garments of a man with straw; hence, a fictitious person; an irresponsible person; a puppet.set up a straw man; -- used in disputation. Typically, one party accuses an opponent of setting up a straw man, meaning that the opponent is distorting his true opinion in order to make it look absurd. -- Straw bail, worthless bail, as being given by irresponsible persons. [Colloq. U.S.] -- Straw bid, a worthless bid; a bid for a contract which the bidder is unable or unwilling to fulfill. [Colloq. U.S.] -- Straw cat (Zoöl.), the pampas cat. -- Straw color, the color of dry straw, being a delicate yellow. -- Straw drain, a drain filled with straw. -- Straw plait, or Straw plat, a strip formed by plaiting straws, used for making hats, bonnets, etc. -- To be in the straw, to be brought to bed, as a pregnant woman. [Slang]
straw-colored |Being of a straw color. See Straw color, under Straw, n.
straw-cutter |An instrument to cut straw for fodder.
strawberry |A fragrant edible berry, of a delicious taste and commonly of a red color, the fruit of a plant of the genus Fragaria, of which there are many varieties. Also, the plant bearing the fruit. The common American strawberry is Fragaria virginiana; the European, F. vesca. There are also other less common species. Strawberry bass. (Zoöl.) See Calico bass, under Calico. -- Strawberry blite. (Bot.) See under Blite. -- Strawberry borer (Zoöl.), any one of several species of insects whose larvæ burrow in the crown or roots of the strawberry vine. Especially: (a) The root borer (Anarsia lineatella), a very small dark gray moth whose larvæ burrow both in the larger roots and crown, often doing great damage. (b) The crown borer (Tyloderma fragariæ), a small brown weevil whose larva burrows in the crown and kills the plant. -- Strawberry bush (Bot.), an American shrub (Euonymus Americanus), a kind of spindle tree having crimson pods and the seeds covered with a scarlet aril. -- Strawberry crab (Zoöl.), a small European spider crab (Eurynome aspera); -- so called because the back is covered with pink tubercles. -- Strawberry fish (Zoöl.), the amadavat. -- Strawberry geranium (Bot.), a kind of saxifrage (Saxifraga sarmentosa) having reniform leaves, and producing long runners like those of the strawberry. -- Strawberry leaf. (a) The leaf of the strawberry. (b) The symbol of the rank or estate of a duke, because the ducal coronet is twined with strawberry leaves. \"The strawberry leaves on her chariot panels are engraved on her ladyship's heart.\" Thackeray. -- Strawberry-leaf roller (Zoöl.), any one of several species of moths whose larvæ roll up, and feed upon, the leaves of the strawberry vine; especially, Phoxopteris fragariæ, and Eccopsis permundana. -- Strawberry moth (Zoöl.), any one of several species of moth whose larvæ feed on the strawberry vines; as: (a) The smeared dagger (Apatela oblinita), whose large hairy larva is velvety black with two rows of bright yellow spots on each side. (b) A geometrid (Angerona crocataria) which is yellow with dusky spots on the wings. Called also currant moth. -- Strawberry pear (Bot.), the red ovoid fruit of a West Indian plant of the genus Cereus (C. triangularia). It has a sweetish flavor, and is slightly acid, pleasant, and cooling. Also, the plant bearing the fruit. -- Strawberry sawfly (Zoöl.), a small black sawfly (Emphytus maculatus) whose larva eats the leaves of the strawberry vine. -- Strawberry tomato. (Bot.) See Alkekengi. -- Strawberry tree. (Bot.) See Arbutus. -- Strawberry vine (Bot.), the plant which yields the strawberry. -- Strawberry worm (Zoöl.), the larva of any moth which feeds on the strawberry vine.
strawboard |Pasteboard made of pulp of straw.
strawed |imp. & p. p. of Straw. [Obs.]
strawworm |A caddice worm.
strawy |Of or pertaining to straw; made of, or resembling, straw. Shak.
stray |1. To wander, as from a direct course; to deviate, or go out of the way. Thames among the wanton valleys strays. Denham. 2. To wander from company, or from the proper limits; to rove at large; to roam; to go astray. Now, until the break of day, Through this house each fairy stray. Shak. A sheep doth very often stray. Shak. 3. Figuratively, to wander from the path of duty or rectitude; to err. We have erred and strayed from thy ways. While meaner things, whom instinct leads, Are rarely known to stray. Cowper. Syn. -- To deviate; err; swerve; rove; roam; wander.\n\nTo cause to stray. [Obs.] Shak.\n\nHaving gone astray; strayed; wandering; as, a strayhorse or sheep. Stray line (Naut.), that portion of the log line which is veered from the reel to allow the chip to get clear of the stern eddies before the glass is turned. -- Stray mark (Naut.), the mark indicating the end of the stray line.\n\n1. Any domestic animal that has an inclosure, or its proper place and company, and wanders at large, or is lost; an estray. Used also figuratively. Seeing him wander about, I took him up for a stray. Dryden. 2. The act of wandering or going astray. [R.] Shak.
strayer |One who strays; a wanderer.
stre |Straw. [Obs.] Chaucer.
streak |To stretch; to extend; hence, to lay out, as a dead body. [Obs. or Prov. Eng. & Scot.]\n\n1. A line or long mark of a different color from the ground; a stripe; a vein. What mean those colored streaks in heaven Milton. 2. (Shipbuilding)  A strake. 3. (Min.)  The fine powder or mark yielded by a mineral when scratched or rubbed against a harder surface, the color of which is sometimes a distinguishing character. 4. The rung or round of a ladder. [Obs.]\n\n1. To form streaks or stripes in or on; to stripe; to variegate with lines of a different color, or of different colors. A mule . . . streaked and dappled with white and black. Sandys. Now streaked and glowing with the morning red. Prior. 2. With it as an object: To run swiftly. [Colloq.]
streaked |1. Marked or variegated with stripes. 2. Uncomfortable; out of sorts. [Local, U.S.]
streaky |Same as Streaked, 1. \"The streaky west.\" Cowper.
stream |1. A current water or other fluid; a liquid flowing continuously in a line or course, either on the earth, as a river, brook, etc., or from a vessel, reservoir, or fountain; specifically, any course of running water; as, many streams are blended in the Mississippi; gas and steam came from the earth in streams; a stream of molten lead from a furnace; a stream of lava from a volcano. 2. A beam or ray of light. \"Sun streams.\" Chaucer. 3. Anything issuing or moving with continued succession of parts; as, a stream of words; a stream of sand. \"The stream of beneficence.\" Atterbury. \"The stream of emigration.\" Macaulay. 4. A continued current or course; as, a stream of weather. \"The very stream of his life.\" Shak. 5. Current; drift; tendency; series of tending or moving causes; as, the stream of opinions or manners. Gulf stream. See under Gulf. -- Stream anchor, Stream cable. (Naut.) See under Anchor, and Cable. -- Stream ice, blocks of ice floating in a mass together in some definite direction. -- Stream tin, particles or masses of tin ore found in alluvial ground; -- so called because a stream of water is the principal agent used in separating the ore from the sand and gravel. -- Stream works (Cornish Mining), a place where an alluvial deposit of tin ore is worked. Ure. -- To float with the stream, figuratively, to drift with the current of opinion, custom, etc., so as not to oppose or check it. Syn. -- Current; flow; rush; tide; course. -- Stream, Current. These words are often properly interchangeable; but stream is the broader word, denoting a prevailing onward course. The stream of the Mississippi rolls steadily on to the Gulf of Mexico, but there are reflex currents in it which run for a while in a contrary direction.\n\n1. To issue or flow in a stream; to flow freely or in a current, as a fluid or whatever is likened to fluids; as, tears streamed from her eyes. Beneath those banks where rivers stream. Milton. 2. To pour out, or emit, a stream or streams. A thousand suns will stream on thee. Tennyson. 3. To issue in a stream of light; to radiate. 4. To extend; to stretch out with a wavy motion; to float in the wind; as, a flag streams in the wind.\n\nTo send forth in a current or stream; to cause to flow; to pour; as, his eyes streamed tears. It may so please that she at length will stream Some dew of grace into my withered heart. Spenser. 2. To mark with colors or embroidery in long tracts. The herald's mantle is streamed with gold. Bacon. 3. To unfurl. Shak. To stream the buoy. (Naut.) See under Buoy.
stream clock |An instrument for ascertaining the velocity of the blood in a vessel.
stream gold |Gold in alluvial deposits; placer gold.
stream line |The path of a constituent particle of a flowing fluid undisturbed by eddies or the like.
stream wheel |A wheel used for measuring, by its motion when submerged, the velocity of flowing water; a current wheel.
