yachting |Sailing for pleasure in a yacht.
za |An old solfeggio name for B flat; the seventh harmonic, as heard in the or æolian string; -- so called by Tartini. It was long considered a false, but is the true note of the chord of the flat seventh. H. W. Poole.
zabaism |See Sabianism.
zabian |See Sabian.
zabism |See Sabianism.
zacco |See Zocco.
zachun |An oil pressed by the Arabs from the fruit of a small thorny tree (Balanites Ægyptiaca), and sold to piligrims for a healing ointment. J. Smith (Dict. Econ. Plants).
zaerthe |Same as Zärthe.\n\nA European bream (Abramis vimba). [Written also zaerthe.]
zaffer |A pigment obtained, usually by roasting cobalt glance with sand or quartz, as a dark earthy powder. It consists of crude cobalt oxide, or of an impure cobalt arseniate. It is used in porcelain painting, and in enameling pottery, to produce a blue color, and is often confounded with smalt, from which, however, it is distinct, as it contains no potash. The name is often loosely applied to mixtures of zaffer proper with silica, or oxides of iron, manganese, etc. [Written also zaffre, and formerly zaffree, zaffar, zaffir.]
zaim |A Turkish chief who supports a mounted militia bearing the same name. Smart.
zaimet |A district from which a Zaim draws his revenue. Smart.
zain |A horse of a dark color, neither gray nor white, and having no spots. Smart.
zalambdodont |Of or pertaining to a tribe (Zalambdodonta) of Insectivora in which the molar teeth have but one V-shaped ridge.\n\nOne of the Zalambdodonta. The tenrec, solenodon, and golden moles are examples.
zamang |An immense leguminous tree (Pithecolobium Saman) of Venezuela. Its branches form a hemispherical mass, often one hundred and eighty feet across. The sweet pulpy pods are used commonly for feeding cattle. Also called rain tree. J. Smith (Dict. Econ. Plants).
zambo |The child of a mulatto and a negro; also, the child of an Indian and a negro; colloquially or humorously, a negro; a sambo.
zamia |A genus of cycadaceous plants, having the appearance of low palms, but with exogenous wood. See Coontie, and Illust. of Strobile.
zamindar |A landowner; also, a collector of land revenue; now, usually, a kind of feudatory recognized as an actual proprietor so long as he pays to the government a certain fixed revenue. [Written also zemindar.] [India]
zamindari |The jurisdiction of a zamindar; the land possessed by a zamindar. [Written also zemindary, zemindari.]
zamindary |The jurisdiction of a zamindar; the land possessed by a zamindar. [Written also zemindary, zemindari.]
zamite |A fossil cycad of the genus Zamia.
zamouse |A West African buffalo (Bubalus brachyceros) having short horns depressed at the base, and large ears fringed internally with three rows of long hairs. It is destitute of a dewlap. Called also short- horned buffalo, and bush cow.
zampogna |A sort of bagpipe formerly in use among Italian peasants. It is now almost obsolete. [Written also zampugna.]
zander |A European pike perch (Stizostedion lucioperca) allied to the wall-eye; -- called also sandari, sander, sannat, schill, and zant.
zandmole |The sand mole.
zante |See Zantewood.
zante currant |A kind of seedless grape or raisin; -- so called from Zante, one of the Ionian Islands.
zantewood |(a) A yellow dyewood; fustet; -- called also zante, and zante fustic. See Fustet, and the Note under Fustic. (b) Satinwood (Chloroxylon Swietenia).
zantiot |A native or inhabitant of Zante, one of the Ionian Islands.
zany |A merry-andrew; a buffoon. Then write that I may follow, and so be Thy echo, thy debtor, thy foil, thy zany. Donne. Preacher at once, and zany of thy age. Pope.\n\nTo mimic. [Obs.] Your part is acted; give me leave at distance To zany it. Massinger.
zanyism |State or character of a zany; buffoonery. Coleridge. H. Morley.
zapas |See Army organization, above.
zapatera |A cured olive which has spoiled or is on the verge of decomposition; loosely, an olive defective because of bruises, wormholes, or the like.
zaphara |Zaffer.
zaphrentis |An extinct genus of cyathophylloid corals common in the Paleozoic formations. It is cup-shaped with numerous septa, and with a deep pit in one side of the cup.
zapotilla |See Sapodilla.
zaptiah |A Turkish policeman. [Written also zaptieh.]
zarathustrian |Of or pertaining to Zarathustra, or Zoroaster; Zoroastrian. Tylor.
zarathustric |Of or pertaining to Zarathustra, or Zoroaster; Zoroastrian. Tylor.
zarathustrism |See Zoroastrianism.
zaratite |A hydrous carbonate of nickel occurring as an emerald-green incrustation on chromite; -- called also emerald nickel.
zareba |An improvised stockade; especially, one made of thorn bushes, etc. [Written also zareeba, and zeriba.] [Egypt] \"Ah,\" he moralizes, \"what wonderful instinct on the part of this little creature to surround itself with a zareba like the troops after Osman Digma.\" R. Jefferies.
zarf |A metallic cuplike stand used for holding a finjan.
zarnich |Native sulphide of arsenic, including sandarach, or realgar, and orpiment.
zarthe |A European bream (Abramis vimba). [Written also zaerthe.]
zastrugi |Grooves or furrows formed in snow by the action of the wind, and running parallel with the direction of the wind. This formation results from the erosion of transverse waves previously formed.
zati |A species of macaque (Macacus pileatus) native of India and Ceylon. It has a crown of long erect hair, and tuft of radiating hairs on the back of the head. Called also capped macaque.
zauschneria |A genus of flowering plants. Zauschneria Californica is a suffrutescent perennial, with showy red flowers much resembling those of the garden fuchsia.
zax |A tool for trimming and puncturing roofing states. [Written also sax.]
zayat |A public shed, or portico, for travelers, worshipers, etc. [Burmah]
zea |A genus of large grasses of which the Indian corn (Zea Mays) is the only species known. Its origin is not yet ascertained. See Maize.
zeal |1. Passionate ardor in the pursuit of anything; eagerness in favor of a person or cause; ardent and active interest; engagedness; enthusiasm; fervor. \"Ambition varnished o'er with zeal.\" Milton. \"Zeal, the blind conductor of the will.\" Dryden. \"Zeal's never-dying fire.\" Keble. I bear them record that they have a zeal of God, but not according to knowledge. Rom. x. 2. A zeal for liberty is sometimes an eagerness to subvert with little care what shall be established. Johnson. 2. A zealot. [Obs.] B. Jonson.\n\nTo be zealous. [Obs. & R.] Bacon.
zealant |One who is zealous; a zealot; an enthusiast. [Obs.] To certain zealants, all speech of pacification is odious. Bacon.
zealed |Full of zeal; characterized by zeal. [Obs.] \"Zealed religion.\" Beau. & Fl.
zealful |Full of zeal. [R.] Sylvester.
zealless |Wanting zeal. Hammond.
zealot |One who is zealous; one who engages warmly in any cause, and pursues his object with earnestness and ardor; especially, one who is overzealous, or carried away by his zeal; one absorbed in devotion to anything; an enthusiast; a fanatical partisan. Zealots for the one [tradition] were in hostile array against zealots for the other. Sir J. Stephen. In Ayrshire, Clydesdale, Nithisdale, Annandale, every parish was visited by these turbulent zealots. Macaulay.
zealotical |Like, or suitable to, a zealot; ardently zealous. [R.] Strype.
zealotism |The character or conduct of a zealot; zealotry.
zealotist |A zealot. [Obs.] Howell.
zealotry |The character and behavior of a zealot; excess of zeal; fanatical devotion to a cause. Enthusiasm, visionariness, seems the tendency of the German; zeal, zealotry, of the English; fanaticism, of the French. Coleridge.
zealous |1. Filled with, or characterized by, zeal; warmly engaged, or ardent, in behalf of an object. He may be zealous in the salvation of souls. Law. 2. Filled with religious zeal. [Obs.] Shak. -- Zeal\"ous*ly, adv. -- Zeal\"ous*ness, n.
zebec |See Xebec.
zebra |Either one of two species of South African wild horses remarkable for having the body white or yellowish white, and conspicuously marked with dark brown or brackish bands. Note: The true or mountain zebra (Equus, or Asinus, zebra) is nearly white, and the bands which cover the body and legs are glossy black. Its tail has a tuft of black hair at the tip. It inhabits the mountains of Central and Southern Africa, and is noted for its wariness and wildness, as well as for its swiftness. The second species (Equus, or Asinus, Burchellii), known as Burchell's zebra, and dauw, inhabits the grassy plains of South Africa, and differs from the preceding in not having dark bands on the legs, while those on the body are more irregular. It has a long tail, covered with long white flowing hair. Zebra caterpillar, the larva of an American noctuid moth (Mamestra picta). It is light yellow, with a broad black stripe on the back and one on each side; the lateral stripes are crossed with withe lines. It feeds on cabbages, beets, clover, and other cultivated plants. -- Zebra opossum, the zebra wolf. See under Wolf. -- Zebra parrakeet, an Australian grass parrakeet, often kept as a cage bird. Its upper parts are mostly pale greenish yellow, transversely barred with brownish black crescents; the under parts, rump, and upper tail coverts, are bright green; two central tail feathers and the cheek patches are blue. Called also canary parrot, scallop parrot, shell parrot, and undulated parrot. -- Zebra poison (Bot.), a poisonous tree (Euphorbia arborea) of the Spurge family, found in South Africa. Its milky juice is so poisonous that zebras have been killed by drinking water in which its branches had been placed, and it is also used as an arrow poison. J. Smith (Dict. Econ. Plants). -- Zebra shark. Same as Tiger shark, under Tiger. -- Zebra spider, a hunting spider. -- Zebra swallowtail, a very large North American swallow-tailed butterfly (Iphiclides ajax), in which the wings are yellow, barred with black; -- called also ajax. -- Zebra wolf. See under Wolf.
zebrawood |(a) A kind of cabinet wood having beautiful black, brown, and whitish stripes, the timber of a tropical American tree (Connarus Guianensis). (b) The wood of a small West Indian myrtaceous tree (Eugenia fragrans). (c) The wood of an East Indian tree of the genus Guettarda.
zebrine |Pertaining to, or resembling, the zebra.
zebrinny |A cross between a male horse and a female zebra.
zebrula |A cross between a male zebra and a female horse.
zebrule |A cross between a male zebra and a female horse.
zebu |A bovine mammal (Ros Indicus) extensively domesticated in India, China, the East Indies, and East Africa. It usually has short horns, large pendulous ears, slender legs, a large dewlap, and a large, prominent hump over the shoulders; but these characters vary in different domestic breeds, which range in size from that of the common ox to that of a large mastiff. Note: Some of the varieties are used as beasts of burden, and some fore for riding, while others are raised for their milk and flesh. The Brahmin bull, regarded as sacred by the Hindoos, also belongs to this species. The male is called also Indian bull, Indian ox, Madras ox, and sacred bull.
zebub |A large noxious fly of Abyssinia, which like the tsetse fly, is destructive to cattle.
zechin |See Sequin.
zechstein |The upper division of the Permian (Dyas) of Europe. The prevailing rock is a magnesian limestone.
zed |The letter Z; -- called also zee, and formerly izzard. \"Zed, thou unnecessary letter!\" Shak.
zedoary |A medicinal substance obtained in the East Indian, having a fragrant smell, and a warm, bitter, aromatic taste. It is used in medicine as a stimulant. Note: It is the rhizome of different species of Curcuma, esp. C. zedoaria, and comes in short, firm pieces, externally of a wrinkled gray, ash-colored appearance, but within of a brownish red color. There are two kinds, round zedoary, and long zedoary.
zeekoe |A hippopotamus.
zeeman effect |The widening and duplication, triplication, etc., of spectral lines when the radiations emanate in a strong magnetic field, first observed in 1896 by P. Zeeman, a Dutch physicist, and regarded as an important confirmation of the electromagnetic theory of light.
zehner |An Austrian silver coin equal to ten kreutzers, or about five cents.
zein |A nitrogenous substance of the nature of gluten, obtained from the seeds of Indian corn (Zea) as a soft, yellowish, amorphous substance. [Formerly written zeine.]
zeitgeist |The spirit of the time; the general intellectual and moral state or temper characteristic of any period of time.
zemindar |Same as Zamindar.
zemindari |Same as Zamindary.
zemindary |Same as Zamindary.
zemni |The blind mole rat (Spalax typhlus), native of Eastern Europe and Asia. Its eyes and ears are rudimentary, and its fur is soft and brownish, more or less tinged with gray. It constructs extensive burrows.
zemstvo |In Russia, an elective local district and provincial administrative assembly. Originally it was composed of representatives elected by the peasantry, the householders of the towns, and the landed proprietors. In the reign of Alexander III. the power of the noble landowners was increased, the peasants allowed only to elect candidates from whom the governor of the province nominated the deputy, and all acts of the zemstvo subjected to the approval of the governor. Theoretically the zemstvo has large powers relating to taxation, education, public health, etc., but practically these powers are in most cases limited to the adjustment of the state taxation.
zenana |The part of a dwelling appropriated to women. [India]
zend |Properly, the translation and exposition in the Huzvâresh, or literary Pehlevi, language, of the Avesta, the Zoroastrian sacred writings; as commonly used, the language (an ancient Persian dialect) in which the Avesta is written.
zend-avesta |The sacred writings of the ancient Persian religion, attributed to Zoroaster, but chiefly of a later date.
zendik |An atheist or unbeliever; -- name given in the East to those charged with disbelief of any revealed religion, or accused of magical heresies.
zenick |A South African burrowing mammal (Suricata tetradactyla), allied to the civets. It is grayish brown, with yellowish transverse stripes on the back. Called also suricat.
zenik |See Zenick.
zenith |1. That point in the visible celestial hemisphere which is vertical to the spectator; the point of the heavens directly overhead; -- opposed to nadir. From morn To noon he fell, from noon to dewy eve, A summer's day; and with the setting sun Dropped from the zenith, like a falling star. Milton. 2. hence, figuratively, the point of culmination; the greatest height; the height of success or prosperity. I find my zenith doth depend upon A most auspicious star. Shak. This dead of midnight is the noon of thought, And wisdom mounts her zenith with the stars. Mrs. Barbauld. It was during those civil troubles . . . this aspiring family reached the zenith. Macaulay. Zenith distance. (Astron.) See under Distance. -- Zenith sector. (Astron.) See Sector, 3. -- Zenith telescope (Geodesy), a telescope specially designed for determining the latitude by means of any two stars which pass the meridian about the same time, and at nearly equal distances from the zenith, but on opposite sides of it. It turns both on a vertical and a horizontal axis, is provided with a graduated vertical semicircle, and a level for setting it to a given zenith distance, and with a micrometer for measuring the difference of the zenith distances of the two stars.
zenithal |Of or pertaining to the zenith. \"The deep zenithal blue.\" Tyndall.
zeolite |A term now used to designate any one of a family of minerals, hydrous silicates of alumina, with lime, soda, potash, or rarely baryta. Here are included natrolite, stilbite, analcime, chabazite, thomsonite, heulandite, and others. These species occur of secondary origin in the cavities of amygdaloid, basalt, and lava, also, less frequently, in granite and gneiss. So called because many of these species intumesce before the blowpipe. Needle zeolite, needlestone; natrolite.
zeolitic |Of or pertaining to a zeolite; consisting of, or resembling, a zeolite.
zeolitiform |Having the form of a zeolite.
zephyr |The west wind; poetically, any soft, gentle breeze. \"Soft the zephyr blows.\" Gray. As gentle As zephyrs blowing below the violet. Shak. Zephyr cloth, a thin kind of cassimere made in Belgium; also, a waterproof fabric of wool. -- Zephyr shawl, a kind of thin, light, embroidered shawl made of worsted and cotton. -- Zephyr yarn, or worsted, a fine, soft kind of yarn or worsted, -- used for knitting and embroidery.
zephyrus |The west wind, or zephyr; -- usually personified, and made the most mild and gentle of all the sylvan deities. Mild as when Zephyrus on Flora breathes. Milton.
zeppelin |A dirigible balloon of the rigid type, consisting of a cylindrical trussed and covered frame supported by internal gas cells, and provided with means of propulsion and  control. It was first successfully used by Ferdinand Count von Zeppelin.
zequin |See Sequin.
zerda |The fennec.
zeriba |Same as Zareba.
zero |1. (Arith.)  A cipher; nothing; naught. 2. The point from which the graduation of a scale, as of a thermometer, commences. Note: Zero in the Centigrade, or Celsius thermometer, and in the Réaumur thermometer, is at the point at which water congeals. The zero of the Fahrenheit thermometer is fixed at the point at which the mercury stands when immersed in a mixture of snow and common salt. In Wedgwood's pyrometer, the zero corresponds with 1077° on the Fahrenheit scale. See Illust. of Thermometer. 3. Fig.: The lowest point; the point of exhaustion; as, his patience had nearly reached zero. Absolute zero. See under Absolute. -- Zero method (Physics), a method of comparing, or measuring, forces, electric currents, etc., by so opposing them that the pointer of an indicating apparatus, or the needle of a galvanometer, remains at, or is brought to, zero, as contrasted with methods in which the deflection is observed directly; -- called also null method. -- Zero point, the point indicating zero, or the commencement of a scale or reckoning.
zest |1. A piece of orange or lemon peel, or the aromatic oil which may be squeezed from such peel, used to give flavor to liquor, etc. 2. Hence, something that gives or enhances a pleasant taste, or the taste itself; an appetizer; also, keen enjoyment; relish; gusto. Almighty Vanity! to thee they owe Their zest of pleasure, and their balm of woe. Young. Liberality of disposition and conduct gives the highest zest and relish to social intercourse. Gogan. 3. The woody, thick skin inclosing the kernel of a walnut. [Obs.]\n\n1. To cut into thin slips, as the peel of an orange, lemon, etc.; to squeeze, as peel, over the surface of anything. 2. To give a relish or flavor to; to heighten the taste or relish of; as, to zest wine. Gibber.
zeta |A Greek letter [z] corresponding to our z.
zetetic |Seeking; proceeding by inquiry. Zetetic method (Math.), the method used for finding the value of unknown quantities by direct search, in investigation, or in the solution of problems. [R.] Hutton.\n\nA seeker; -- a name adopted by some of the Pyrrhonists.
zetetics |A branch of algebra which relates to the direct search for unknown quantities. [R.]
zeuglodon |A genus of extinct Eocene whales, remains of which have been found in the Gulf States. The species had very long and slender bodies and broad serrated teeth. See Phocodontia.
zeuglodont |Any species of Zeuglodonta.
zeuglodonta |Same as Phocodontia.
zeugma |A figure by which an adjective or verb, which agrees with a nearer word, is, by way of supplement, referred also to another more remote; as, \"hic illius arma, hic currus fuit;\" where fuit, which agrees directly with currus, is referred also to arma.
zeugmatic |Of or pertaining to zeugma; characterized by zeugma.
zeugobranchiata |Same as Zygobranchia.
zeus |The chief deity of the Greeks, and ruler of the upper world (cf. Hades). He was identified with Jupiter.
zeuzerian |Any one of a group of bombycid moths of which the genus Zeuzera is the type. Some of these moths are of large size. The goat moth is an example.
zeylanite |See Ceylanite.
zibet |A carnivorous mammal (Viverra zibetha) closely allied to the civet, from which it differs in having the spots on the body less distinct, the throat whiter, and the black rings on the tail more numerous. Note: It inhabits India, Southern China, and the East Indies. It yields a perfume similar to that of the civet. It is often domesticated by the natives, and then serves the same purposes as the domestic cat. Called also Asiatic, or Indian, civet.
zibeth |A carnivorous mammal (Viverra zibetha) closely allied to the civet, from which it differs in having the spots on the body less distinct, the throat whiter, and the black rings on the tail more numerous. Note: It inhabits India, Southern China, and the East Indies. It yields a perfume similar to that of the civet. It is often domesticated by the natives, and then serves the same purposes as the domestic cat. Called also Asiatic, or Indian, civet.
ziega |Curd produced from milk by adding acetic acid, after rennet has ceased to cause coagulation. Brande & C.
zietrisikite |A mineral wax, vert similar to ozocerite. It is found at Zietrisika, Moldavia, whence its name.
zif |The second month of the Jewish ecclesiastical year, corresponding to our May.
zigger |Same as Sicker. [Prov. Eng.] Raymond.
zighyr |Same as Sicker. [Prov. Eng.] Raymond.
zigzag |1. Something that has short turns or angles. The fanatics going straight forward and openly, the politicians by the surer mode of zigzag. Burke. 2. (Arch.)  A molding running in a zigzag line; a chevron, or series of chevrons. See Illust. of Chevron, 3. 3. (Fort.)  See Boyau.\n\nHaving short, sharp turns; running this way and that in an onward course.\n\nTo form with short turns.\n\nTo move in a zigzag manner; also, to have a zigzag shape. R. Browning.
zigzaggery |The quality or state of being zigzag; crookedness. [R.] The . . . zigzaggery of my father's approaches. Sterne.
zigzaggy |Having sharp turns. Barham.
zikkurat |A temple tower of the Babylonians or Assyrians, consisting of a lofty pyramidal structure, built in successive stages, with outside staircases, and a shrine at the top.
zilla |A low, thorny, suffrutescent, crucifeous plant (Zilla myagroides) found in the deserts of Egypt. Its leaves are boiled in water, and eaten, by the Arabs.
zillah |A district or local division, as of a province. [India]
zimb |A large, venomous, two-winged fly, native of Abyssinia. It is allied to the tsetse fly, and, like the latter, is destructive to cattle.
ziment-water |A kind of water found in copper mines; water impregnated with copper.
zimocca |A sponge (Euspongia zimocca) of flat form and fine quality, from the Adriatic, about the Greek islands, and the coast of Barbary.
zinc |An abundant element of the magnesium-cadmium group, extracted principally from the minerals zinc blende, smithsonite, calamine, and franklinite, as an easily fusible bluish white metal, which is malleable, especially when heated. It is not easily oxidized in moist air, and hence is used for sheeting, coating galvanized iron, etc. It is used in making brass, britannia, and other alloys, and is also largely consumed in electric batteries. Symbol Zn. Atomic weight 64.9 [Formerly written also zink.] Butter of zinc (Old Chem.), zinc chloride, ZnCl2, a deliquescent white waxy or oily substance. -- Oxide of zinc. (Chem.) See Zinc oxide, below. -- Zinc amine (Chem.), a white amorphous substance, Zn(NH2)2, obtained by the action of ammonia on zinc ethyl; -- called also zinc amide. -- Zinc amyle (Chem.), a colorless, transparent liquid, composed of zinc and amyle, which, when exposed to the atmosphere, emits fumes, and absorbs oxygen with rapidity. -- Zinc blende Etym: [cf. G. zinkblende] (Min.), a native zinc sulphide. See Blende, n. (a) -- Zinc bloom Etym: [cf. G. zinkblumen flowers of zinc, oxide of zinc] (Min.), hydrous carbonate of zinc, usually occurring in white earthy incrustations; -- called also hydrozincite. -- Zinc ethyl (Chem.), a colorless, transparent, poisonous liquid, composed of zinc and ethyl, which takes fire spontaneously on exposure to the atmosphere. -- Zinc green, a green pigment consisting of zinc and cobalt oxides; -- called also Rinmann's green. -- Zinc methyl (Chem.), a colorless mobile liquid Zn(CH3)2, produced by the action of methyl iodide on a zinc sodium alloy. It has a disagreeable odor, and is spontaneously inflammable in the air. It has been of great importance in the synthesis of organic compounds, and is the type of a large series of similar compounds, as zinc ethyl, zinc amyle, etc. -- Zinc oxide (Chem.), the oxide of zinc, ZnO, forming a light fluffy sublimate when zinc is burned; -- called also flowers of zinc, philosopher's wool, nihil album, etc. The impure oxide produced by burning the metal, roasting its ores, or in melting brass, is called also pompholyx, and tutty. -- Zinc spinel (Min.), a mineral, related to spinel, consisting essentially of the oxides of zinc and aluminium; gahnite. -- Zinc vitriol (Chem.), zinc sulphate. See White vitriol, under Vitriol. -- Zinc white, a white powder consisting of zinc oxide, used as a pigment.\n\nTo coat with zinc; to galvanize.
zincane |Zinc chloride. [Obs.]
zincic |Pertaining to, containing, or resembling, zinc; zincous.
zincide |A binary compound of zinc. [R.]
zinciferous |Containing or affording zinc.
zincification |The act or process of applying zinc; the condition of being zincified, or covered with zinc; galvanization.
zincify |To coat or impregnate with zinc.
zincing |The act or process of applying zinc; galvanization.
zincite |Native zinc oxide; a brittle, translucent mineral, of an orange-red color; -- called also red zinc ore, and red oxide of zinc.
zincking |The act or process of applying zinc; galvanization.
zincky |, Pertaining to zinc, or having its appearance. [Written also zinky.]
zinco- |A combining form from zinc; in chemistry, designating zinc as an element of certain double compounds. Also used adjectively.
zinco-polar |Electrically polarized like the surface of the zinc presented to the acid in a battery, which has zincous affinity. [Obs.]
zincode |The positive electrode of an electrolytic cell; anode. [R.] Miller.
zincograph |A zinc plate prepared for printing by zincography; also, a print from such a plate.
zincographer |Am engraver on zinc.
zincographic |Of or pertaining to zincography; as, zincographic processes.
zincographical |Of or pertaining to zincography; as, zincographic processes.
zincography |The art or process of engraving or etching on zinc, in which the design is left in relief in the style of a wood cut, the rest of the ground being eaten away by acid.
zincoid |Pertaining to, or resembling, zinc; -- said of the electricity of the zincous plate in connection with a copper plate in a voltaic circle; also, designating the positive pole. [Obs.]
zincous |1. (Chem.) (a) Of, pertaining to, or containing, zinc; zincic; as, zincous salts. (b) Hence, formerly, basic, basylous, as opposed to chlorous. 2. (Physics)  Of or pertaining to the positive pole of a galvanic battery; electro-positive.
zingaro |A gypsy.
zingel |A small, edible, freshwater European perch (Aspro zingel), having a round, elongated body and prominent snout.
zingiberaceous |Of or pertaining to ginger, or to a tribe (Zingibereæ) of endogenous plants of the order Scitamineæ. See Scitamineous.
zink |See Zinc. [Obs.]
zinkenite |A steel-gray metallic mineral, a sulphide of antimony and lead.
zinky |See Zincky. Kirwan.
zinnia |Any plant of the composite genus Zinnia, Mexican herbs with opposite leaves and large gay-colored blossoms. Zinnia elegans is the commonest species in cultivation.
zinnwaldite |A kind of mica containing lithium, often associated with tin ore.
zinsang |The delundung.
zinziberaceous |Same as Zingiberaceous.
zion |1. (Jewish Antiq.)  A hill in Jerusalem, which, after the capture of that city by the Israelites, became the royal residence of David and his successors. 2. Hence, the theocracy, or church of God. 3. The heavenly Jerusalem; heaven.
zionism |Among the Jews, a theory, plan, or movement for colonizing their own race in Palestine, the land of Zion, or, if that is impracticable, elsewhere, either for religious or nationalizing purposes; -- called also Zion movement. --Zi\"on*ist, n. -- Zi`on*is\"tic (#), a.
zip |A hissing or sibilant sound such as that made by a flying bullet.\n\nTo make, or move with, such a sound.
ziphioid |See Xiphioid.
zirco- |A combining form (also used adjectively) designating zirconium as an element of certain double compounds; zircono-; as in zircofluoric acid, sodium zircofluoride.
zircofluoride |A double fluoride of zirconium and hydrogen, or some other positive element or radical; as, zircofluoride of sodium.
zircon |A mineral occurring in tetragonal crystals, usually of a brown or gray color. It consists of silica and zirconia. A red variety, used as a gem, is called hyacinth. Colorless, pale-yellow or smoky- brown varieties from Ceylon are called jargon. Zircon syenite, a coarse-grained syenite containing zircon crystals and often also elæolite. It is largely developed in Southern Norway.
zircon light |A light, similar to the calcium light, produced by incandescent zirconia.
zircona |Zirconia.
zirconate |A salt of zirconic acid.
zirconia |The oxide of zirconium, obtained as a white powder, and possessing both acid and basic properties. On account of its infusibility, and brilliant luminosity when incandescent, it is used as an ingredient of sticks for the Drummomd light.
zirconic |Pertaining to, containing, or resembling, zirconium; as, zirconic oxide; zirconic compounds. Zirconic acid, an acid of zirconium analogous to carbonic and silicic acids, known only in its salts.
zirconium |A rare element of the carbon-silicon group, intermediate between the metals and nonmetals, obtained from the mineral zircon as a dark sooty powder, or as a gray metallic crystalline substance. Symbol Zr. Atomic weight, 90.4.
zircono |See Zirco-.
zirconoid |A double eight-sided pyramid, a form common with tetragonal crystals; -- so called because this form often occurs in crystals of zircon.
zither |An instrument of music used in Austria and Germany. It has from thirty to forty wires strung across a shallow sounding-board, which lies horizontally on a table before the performer, who uses both hands in playing on it. Note: [Not to be confounded with the old lute-shaped cittern, or cithern.]
zittern |See Cittern.
zizania |A genus of grasses including Indian rice. See Indian rice, under Rice.
zizel |The suslik. [Written also zisel.]
zizith |The tassels of twisted cords or threads on the corners of the upper garment worn by strict Jews. The Hebrew for this word is translated in both the Authorized and Revised Versions (Deut. xxii. 12) by the word \"fringes.\",
  "northwestward |Toward the northwest.
zoanthacea |A suborder of Actinaria, including Zoanthus and allied genera, which are permanently attached by their bases.
zoantharia |Same as Anthozoa.
zoantharian |Of or pertaining to the Zoantharia. -- n.  One of the Anthozoa.
zoanthodeme |The zooids of a compound anthozoan, collectively.
zoanthoid |Of or pertaining to the Zoanthacea.
zoanthropy |A kind of monomania in which the patient believes himself transformed into one of the lower animals.
zoanthus |A genus of Actinaria, including numerous species, found mostly in tropical seas. The zooids or polyps resemble small, elongated actinias united together at their bases by fleshy stolons, and thus forming extensive groups. The tentacles are small and bright colored.
zobo |A kind of domestic cattle reared in Asia for its flesh and milk. It is supposed to be a hybrid between the zebu and the yak.
zocco |Same as Socle.
zoccolo |Same as Socle.
zocle |Same as Socle.
zodiac |1. (Astron.) (a) An imaginary belt in the heavens, 16º or 18º broad, in the middle of which is the ecliptic, or sun's path. It comprises the twelve constellations, which one constituted, and from which were named, the twelve signs of the zodiac. (b) A figure representing the signs, symbols, and constellations of the zodiac. 2. A girdle; a belt. [Poetic & R.] By his side, As in a glistering zodiac, hung the sword. Milton.
zodiacal |Of or pertaining to the zodiac; situated within the zodiac; as, the zodiacal planets. Zodiacal light, a luminous tract of the sky, of an elongated, triangular figure, lying near the ecliptic, its base being on the horizon, and its apex at varying altitudes. It is to be seen only in the evening, after twilight, and in the morning before dawn. It is supposed to be due to sunlight reflected from multitudes of meteoroids revolving about the sun nearly in the plane of the ecliptic.
zoea |A peculiar larval stage of certain decapod Crustacea, especially of crabs and certain Anomura. [Written also zoæa.] Note: In this stage the anterior part of the body is relatively large, and usually bears three or four long spines. The years are conspicuous, and the antennæ and jaws are long, fringed organs used in swimming. The thoracic legs are undeveloped or rudimentary, the abdomen long, slender, and often without appendages. The zoëa, after casting its shell, changes to a megalops.
