skag |An additional piece fastened to the keel of a boat to prevent lateral motion. See Skeg.
sleep |imp. of Sleep. Slept. Chaucer.\n\n1. To take rest by a suspension of the voluntary exercise of the powers of the body and mind, and an apathy of the organs of sense; to slumber. Chaucer. Watching at the head of these that sleep. Milton. 2. Figuratively: (a) To be careless, inattentive, or uncouncerned; not to be vigilant; to live thoughtlessly. We sleep over our happiness. Atterbury. (b) To be dead; to lie in the grave. Them also which sleep in Jesus will God bring with him. 1 Thess. iv. 14. (c) To be, or appear to be, in repose; to be quiet; to be unemployed, unused, or unagitated; to rest; to lie dormant; as, a question sleeps for the present; the law sleeps. How sweet the moonlight sleep upon this bank! Shak.\n\n1. To be slumbering in; -- followed by a cognate object; as, to sleep a dreamless sleep. Tennyson. 2. To give sleep to; to furnish with accomodations for sleeping; to lodge. [R.] Blackw. Mag. To sleep away, to spend in sleep; as, to sleep away precious time. -- To sleep off, to become free from by sleep; as, to sleep off drunkeness or fatigue.\n\nA natural and healthy, but temporary and periodical, suspension of the functions of the organs of sense, as well as of those of the voluntary and rational soul; that state of the animal in which there is a lessened acuteness of sensory perception, a confusion of ideas, and a loss of mental control, followed by a more or less unconscious state. \"A man that waketh of his sleep.\" Chaucer. O sleep, thou ape of death. Shak. Note: Sleep is attended by a relaxation of the muscles, and the absence of voluntary activity for any rational objects or purpose. The pulse is slower, the respiratory movements fewer in number but more profound, and there is less blood in the cerebral vessels. It is susceptible of greater or less intensity or completeness in its control of the powers. Sleep of plants (Bot.), a state of plants, usually at night, when their leaflets approach each other, and the flowers close and droop, or are covered by the folded leaves. Syn. -- Slumber; repose; rest; nap; doze; drowse.
sleep-at-noon |A plant (Tragopogon pratensis) which closes its flowers at midday; a kind of goat's beard. Dr. Prior.
sleep-charged |Heavy with sleep.
sleeper |1. One who sleeps; a slumberer; hence, a drone, or lazy person. 2. That which lies dormant, as a law. [Obs.] Bacon. 3. A sleeping car. [Colloq. U.S.] 4. (Zoöl.)  An animal that hibernates, as the bear. 5. (Zoöl.) (a) A large fresh-water gobioid fish (Eleotris dormatrix). (b) A nurse shark. See under Nurse.\n\nSomething lying in a reclining posture or position. Specifically: -- (a) One of the pieces of timber, stone, or iron, on or near the level of the ground, for the support of some superstructure, to steady framework, to keep in place the rails of a railway, etc.; a stringpiece. (b) One of the joists, or roughly shaped timbers, laid directly upon the ground, to receive the flooring of the ground story. [U.S.] (c) (Naut.) One of the knees which connect the transoms to the after timbers on the ship's quarter. (d) (Naut. ) The lowest, or bottom, tier of casks.
sleepful |Strongly inclined to sleep; very sleepy. -- Sleep\"ful*ness, n.
sleepily |In a sleepy manner; drowsily.
sleepiness |The quality or state of being sleepy.
sleeping |from Sleep. Sleeping car, a railway car or carrriage, arranged with apartments and berths for sleeping. -- Sleeping partner (Com.), a dormant partner. See under Dormant. -- Sleeping table (Mining), a stationary inclined platform on which pulverized ore is washed; a kind of buddle.
sleepish |Disposed to sleep; sleepy; drowsy. Your sleepish, and more than sleepish, security. Ford.
sleepless |1. Having no sleep; wakeful. 2. Having no rest; perpetually agitated. \"Biscay's sleepless bay.\" Byron. -- Sleep\"less*ly, adv. -- Sleep\"less*ness, n.
sleepmarken |See 1st Hag, 4.
sleepwaker |On in a state of magnetic or mesmeric sleep.
sleepwaking |The state of one mesmerized, or in a partial and morbid sleep.
sleepwalker |One who walks in his sleep; a somnambulist.
sleepwalking |Walking in one's sleep.
sleepy |1. Drowsy; inclined to, or overcome by, sleep. Shak. She waked her sleepy crew. Dryden. 2. Tending to induce sleep; soporiferous; somniferous; as, a sleepy drink or potion. Chaucer. 3. Dull; lazy; heavy; sluggish. Shak. 'Tis not sleepy business; But must be looked to speedily and strongly. Shak. 4. Characterized by an absence of watchfulness; as, sleepy security. Sleepy duck (Zoöl.), the ruddy duck.
sleepyhead |1. A sleepy person. To bed, to bed, says Sleepyhead. Mother Goose. 2. (Zoöl.)  The ruddy duck.
sleer |A slayer. [Obs.] Chaucer.
sleet |The part of a mortar extending from the chamber to the trunnions.\n\nHail or snow, mingled with rain, usually falling, or driven by the wind, in fine particles.\n\nTo snow or hail with a mixture of rain.
sleetch |Mud or slime, such as that at the bottom of rivers. [Scot.]
sleetiness |The state of being sleety.
sleety |Of or pertaining to sleet; characterized by sleet; as, a sleety storm; sleety weather.
sleeve |See Sleave, untwisted thread.\n\n1. The part of a garment which covers the arm; as, the sleeve of a coat or a gown. Chaucer. 2. A narrow channel of water. [R.] The Celtic Sea, called oftentimes the Sleeve. Drayton. 3. (Mach.) (a) A tubular part made to cover, sustain, or steady another part, or to form a connection between two parts. (b) A long bushing or thimble, as in the nave of a wheel. (c) A short piece of pipe used for covering a joint, or forming a joint between the ends of two other pipes. Sleeve button, a detachable button to fasten the wristband or cuff. -- Sleeve links, two bars or buttons linked together, and used to fasten a cuff or wristband. -- To laugh in the sleeve, to laugh privately or unperceived, especially while apparently preserving a grave or serious demeanor toward the person or persons laughed at; that is, perhaps, originally, by hiding the face in the wide sleeves of former times. -- To pin, or hang, on the sleeve of, to be, or make, dependent upon.\n\nTo furnish with sleeves; to put sleeves into; as, to sleeve a coat.
sleeved |Having sleeves; furnished with sleeves; -- often in composition; as, long-sleeved.
sleevefish |A squid.
sleevehand |The part of a sleeve nearest the hand; a cuff or wristband. [Obs.] Shak.
sleeveless |1. Having no sleeves. 2. Wanting a cover, pretext, or palliation; unreasonable; profitless; bootless; useless. [Obs.] Shak. The vexation of a sleeveless errand. Bp. Warburton.
sleid |To sley, or prepare for use in the weaver's sley, or slaie. Shak.
sleigh |Sly. [Obs.] Chaucer.\n\nA vehicle moved on runners, and used for transporting persons or goods on snow or ice; -- in England commonly called a sledge. Sleigh bell, a small bell attached either to a horse when drawing a slegh, or to the sleigh itself; especially a globular bell with a loose ball which plays inside instead of a clapper.
sleighing |1. The act of riding in a sleigh. 2. The state of the snow or ice which admits of running sleighs.
sleight |1. Cunning; craft; artful practice. [Obs.] \"His sleight and his covin.\" Chaucer. 2. An artful trick; sly artifice; a feat so dexterous that the manner of performance escapes observation. The world hath many subtle sleights. Latimer. 3. Dexterous practice; dexterity; skill. Chaucer. \"The juggler's sleight.\" Hudibras. Sleight of hand, legerdemain; prestidigitation.
sleightful |Cunning; dexterous. [Obs.]
sleightly |Cunningly. [Obs.] Huloet.
sleighty |Cunning; sly. [Obs.] Huloet.
slender |1. Small or narrow in proportion to the length or the height; not thick; slim; as, a slender stem or stalk of a plant. \"A slender, choleric man.\" Chaucer. She, as a veil down to the slender waist, Her unadorned golden tresses wore. Milton. 2. Weak; feeble; not strong; slight; as, slender hope; a slender constitution. Mighty hearts are held in slender chains. Pope. They have inferred much from slender premises. J. H. Newman. The slender utterance of the consonants. J. Byrne. 3. Moderate; trivial; inconsiderable; slight; as, a man of slender intelligence. A slender degree of patience will enable him to enjoy both the humor and the pathos. Sir W. Scott. 4. Small; inadequate; meager; pitiful; as, slender means of support; a slender pittance. Frequent begging makes slender alms. Fuller. 5. Spare; abstemious; frugal; as, a slender diet. The good Ostorius often deigned To grace my slender table with his presence. Philips. 6. (Phon.)  Uttered with a thin tone; -- the opposite of broad; as, the slender vowels long e and i. -- Slen\"der*ly, adv. -- Slen\"der*ness, n.
slent |See Slant. [Obs.]
slep |imp. of Sleep. Slept. Chaucer.
slepez |A burrowing rodent (Spalax typhlus), native of Russia and Asia Minor. It has the general appearance of a mole, and is destitute of eyes. Called also mole rat.
slept |imp. & p. p. of Sleep.
sleuth |The track of man or beast as followed by the scent. [Scot.] Halliwell.
sleuthhound |A hound that tracks animals by the scent; specifically, a bloodhound. [Spelt variously slouthhound, sluthhound, etc.]
slew |imp. of Slay.\n\nSee Slue.
slewed |Somewhat drunk. [Slang]
slewth |Sloth; idleness. [Obs.] Chaucer.
sley |1. A weaver's reed. [Spelt also slaie.] 2. A guideway in a knitting machine. Knight.\n\nTo separate or part the threads of, and arrange them in a reed; -- a term used by weavers. See Sleave, and Sleid.
slibber |Slippery. [Obs.] Holland.
slice |1. A thin, broad piece cut off; as, a slice of bacon; a slice of cheese; a slice of bread. 2. That which is thin and broad, like a slice. Specifically: (a) A broad, thin piece of plaster. (b) A salver, platter, or tray. [Obs.] (c) A knife with a thin, broad blade for taking up or serving fish; also, a spatula for spreading anything, as paint or ink. (d) A plate of iron with a handle, forming a kind of chisel, or a spadelike implement, variously proportioned, and used for various purposes, as for stripping the planking from a vessel's side, for cutting blubber from a whale, or for stirring a fire of coals; a slice bar; a peel; a fire shovel. [Cant] (e) (Shipbuilding) One of the wedges by which the cradle and the ship are lifted clear of the building blocks to prepare for launching. (f) (Printing) A removable sliding bottom to galley. Slice bar, a kind of fire iron resembling a poker, with a broad, flat end, for stirring a fire of coals, and clearing it and the grate bars from clinkers, ashes, etc.; a slice.\n\n1. To cut into thin pieces, or to cut off a thin, broad piece from. 2. To cut into parts; to divide. 3. To clear by means of a slice bar, as a fire or the grate bars of a furnace.
slicer |One who, or that which, slices; specifically, the circular saw of the lapidary.
slich |See Schlich.
slick |See Schlich.\n\nSleek; smooth. \"Both slick and dainty.\" Chapman.\n\nTo make sleek or smoth. \"Slicked all with sweet oil.\" Chapman.\n\nA wide paring chisel.
slicken |Sleek; smooth. [Prov. Eng.]
slickens |The pulverized matter from a quartz mill, or the lighter soil of hydraulic mines. [Local, U. S.]
slickensides |1. The smooth, striated, or partially polished surfaces of a fissure or seam, supposed to have been produced by the sliding of one surface on another. 2. A variety of galena found in Derbyshire, England.
slicker |That which makes smooth or sleek. Specifically: (a) A kind of burnisher for leather. (b) (Founding) A curved tool for smoothing the surfaces of a mold after the withdrawal of the pattern.\n\nA waterproof coat. [Western U.S.]
slicking |1. The act or process of smoothing. 2. pl. (Min.)  Narrow veins of ore.
slickness |The state or quality of being slick; smoothness; sleekness.
slid |imp. & p. p. of Slide.
slidder |To slide with interruption. [Obs.] Dryden.\n\nSlippery. [Obs.] To a drunk man the way is slidder. Chaucer.
slidderly |Slippery. [Obs.] To a drunk man the way is slidder. Chaucer.
sliddery |Slippery. [Obs.] To a drunk man the way is slidder. Chaucer.
slide |1. To move along the surface of any body by slipping, or without walking or rolling; to slip; to glide; as, snow slides down the mountain's side. 2. Especially, to move over snow or ice with a smooth, uninterrupted motion, as on a sled moving by the force of gravity, or on the feet. They bathe in summer, and in winter slide. Waller. 3. To pass inadvertently. Beware thou slide not by it. Ecclus. xxviii. 26. 4. To pass along smoothly or unobservedly; to move gently onward without friction or hindrance; as, a ship or boat slides through the water. Ages shall slide away without perceiving. Dryden. Parts answering parts shall slide into a whole. Pope. 5. To slip when walking or standing; to fall. Their foot shall slide in due time. Deut. xxxii. 35. 6. (Mus.)  To pass from one note to another with no perceptible cassation of sound. 7. To pass out of one's thought as not being of any consequence. [Obs. or Colloq.] With good hope let he sorrow slide. Chaucer. With a calm carelessness letting everything slide. Sir P. Sidney.\n\n1. To cause to slide; to thrust along; as, to slide one piece of timber along another. 2. To pass or put imperceptibly; to slip; as, to slide in a word to vary the sense of a question.\n\n1. The act of sliding; as, a slide on the ice. 2. Smooth, even passage or progress. A better slide into their business. Bacon. 3. That on which anything moves by sliding. Specifically: (a) An inclined plane on which heavy bodies slide by the force of gravity, esp. one constructed on a mountain side for conveying logs by sliding them down. (b) A surface of ice or snow on which children slide for amusement. 4. That which operates by sliding. Specifically: (a) A cover which opens or closes an aperture by sliding over it. (b) (Mach.) A moving piece which is guided by a part or parts along which it slides. (c) A clasp or brooch for a belt, or the like. 5. A plate or slip of glass on which is a picture or delineation to be exhibited by means of a magic lantern, stereopticon, or the like; a plate on which is an object to be examined with a microscope. 6. The descent of a mass of earth, rock, or snow down a hill or mountain side; as, a land slide, or a snow slide; also, the track of bare rock left by a land slide. 7. (Geol.)  A small dislocation in beds of rock along a line of fissure. Dana. 8. (Mus.) (a) A grace consisting of two or more small notes moving by conjoint degrees, and leading to a principal note either above or below. (b) An apparatus in the trumpet and trombone by which the sounding tube is lengthened and shortened so as to produce the tones between the fundamental and its harmonics. 9. (Phonetics)  A sound which, by a gradual change in the position of the vocal organs, passes imperceptibly into another sound. 10. (Steam Engine) (a) Same as Guide bar, under Guide. (b) A slide valve. Slide box (Steam Engine), a steam chest. See under Steam. -- Slide lathe, an engine lathe. See under Lathe. -- Slide rail, a transfer table. See under Transfer. -- Slide rest (Turning lathes), a contrivance for holding, moving, and guiding, the cutting tool, made to slide on ways or guides by screws or otherwise, and having compound motion. -- Slide rule, a mathematical instrument consisting of two parts, one of which slides upon the other, for the mechanical performance of addition and subtraction, and, by means of logarithmic scales, of multiplication and division. -- Slide valve. (a) Any valve which opens and closes a passageway by sliding over a port. (b) A particular kind of sliding valve, often used in steam engines for admitting steam to the piston and releasing it, alternately, having a cuplike cavity in its face, through which the exhaust steam passes. It is situated in the steam chest, and moved by the valve gear. It is sometimes called a D valve, -- a name which is also applied to a semicylindrical pipe used as a sliding valve. In the illustration, a is the cylinder of a steam engine, in which plays the piston p; b the steam chest, receiving its supply from the pipe i, and containing the slide valve s, which is shown as admitting steam to one end of the cylinder through the port e, and opening communication between the exhaust passage f and the port c, for the release of steam from the opposite end of the cylinder.
slidegroat |The game of shovelboard. [Obs.]
slider |See Slidder. [Obs.] Chaucer.\n\n1. One who, or that which, slides; especially, a sliding part of an instrument or machine. 2. (Zoöl.)  The red-bellied terrapin (Pseudemys rugosa). [Local, U. S. ] Slider pump, a form of rotary pump.
slideway |A way along which something slides.
sliding |1. That slides or slips; gliding; moving smoothly. 2. Slippery; elusory. [Obs.] That sliding science hath me made so bare. Chaucer. Sliding friction (Mech.), the resistance one body meets with in sliding along the surface of another, as distinguished from rolling friction. -- Sliding gunter (Naut.), a topmast arranged with metallic fittings so as to be hoisted and lowered by means of halyards. -- Sliding keel (Naut), a movable keel, similar to a centeboard. -- Sliding pair. (Mech.) See the Note under Pair, n., 7. -- Sliding rule. Same as Slide rule, under Slide, n. -- Sliding scale. (a) A scale for raising or lowering imposts in proportion to the fall or rise of prices. (b) A variable scale of wages or of prices. (c) A slide rule. -- Sliding ways (Naut.), the timber guides used in launching a vessel.
slidometer |An instrument for indicating and recording shocks to railway cars occasioned by sudden stopping.
slight |Sleight. Spenser.\n\n1. To overthrow; to demolish. [Obs.] Clarendon. 2. To make even or level. [Obs.] Hexham. 3. To throw heedlessly. [Obs.] The rogue slighted me into the river. Shak.\n\n1. Not decidedly marked; not forcible; inconsiderable; unimportant; insignificant; not severe; weak; gentle; -- applied in a great variety of circumstances; as, a slight (i. e., feeble) effort; a slight (i. e., perishable) structure; a slight (i. e., not deep) impression; a slight (i. e., not convincing) argument; a slight (i. e., not thorough) examination; slight (i. e., not severe) pain, and the like. \"At one slight bound.\" Milton. Slight is the subject, but not so the praise. Pope. Some firmly embrace doctrines upon slight grounds. Locke. 2. Not stout or heavy; slender. His own figure, which was formerly so slight. Sir W. Scott. 3. Foolish; silly; weak in intellect. Hudibras.\n\nTo disregard, as of little value and unworthy of notice; to make light of; as, to slight the divine commands. Milton. The wretch who slights the bounty of the skies. Cowper. To slight off, to treat slightingly; to drive off; to remove. [R.] -- To slight over, to run over in haste; to perform superficially; to treat carelessly; as, to slight over a theme. \"They will but slight it over.\" Bacon. Syn. -- To neglect; disregard; disdain; scorn. -- Slight, Neglect. To slight is stronger than to neglect. We may neglect a duty or person from inconsiderateness, or from being over- occupied in other concerns. To slight is always a positive and intentional act, resulting from feelings of dislike or contempt. We ought to put a kind construction on what appears neglect on the part of a friend; but when he slights us, it is obvious that he is our friend no longer. Beware . . . lest the like befall . . . If they transgress and slight that sole command. Milton. This my long-sufferance, and my day of grace, Those who neglect and scorn shall never taste. Milton.\n\nThe act of slighting; the manifestation of a moderate degree of contempt, as by neglect or oversight; neglect; indignity. Syn. -- Neglect; disregard; inattention; contempt; disdain; scorn; disgrace; indignity; disparagement.\n\nSlightly. [Obs. or Poetic] Think not so slight of glory. Milton.
slighten |To slight. [Obs.] B. Jonson.
slighter |One who slights.
slightful |See Sleightful. [Obs.]
slighting |Characterized by neglect or disregard.
slightingly |In a slighting manner.
slightly |1. In a slight manner. 2. Slightingly; negligently. [Obs.] Shak.
slightness |The quality or state of being slight; slenderness; feebleness; superficiality; also, formerly, negligence; indifference; disregard.
slighty |Slight. [Obs.] Echard.
slik |Such. [Obs. or Scot.] Note: Used by Chaucer as of the Northern dialect.
slikensides |Same as Slickensides.
slily |See Slyly. South.
slim |1. Worthless; bad. [Prov. Eng. & Scot.] 2. Weak; slight; unsubstantial; poor; as, a slim argument. \"That was a slim excuse.\" Barrow. 3. Of small diameter or thickness in proportion to the height or length; slender; as, a slim person; a slim tree. Grose.
slime |1. Soft, moist earth or clay, having an adhesive quality; viscous mud. As it [Nilus] ebbs, the seedsman Upon the slime and ooze scatters his grain. Shak. 2. Any mucilaginous substance; any substance of a dirty nature, that is moist, soft, and adhesive. 3. (Script.)  Bitumen. [Archaic] Slime had they for mortar. Gen. xi. 3. 4. pl. (Mining)  Mud containing metallic ore, obtained in the preparatory dressing. Pryce. 5. (Physiol.)  A mucuslike substance which exudes from the bodies of certain animals. Goldsmith. Slime eel. (Zoöl.) See 1st Hag, 4. -- Slime pit, a pit for the collection of slime or bitumen.\n\nTo smear with slime. Tennyson.
slimily |In a slimy manner.
sliminess |The quality or state of being slimy.
slimly |In a state of slimness; in a slim manner; slenderly.
slimness |The quality or state of being slim.
slimsy |Flimsy; frail. [Colloq. U.S.]
slimy |Of or pertaining to slime; resembling slime; of the nature of slime; viscous; glutinous; also, covered or daubed with slime; yielding, or abounding in, slime. Slimy things did crawl with legs Upon the slimy sea. Coleridge.
sliness |See Slyness.
sling |1. An instrument for throwing stones or other missiles, consisting of a short strap with two strings fastened to its ends, or with a string fastened to one end and a light stick to the other. The missile being lodged in a hole in the strap, the ends of the string are taken in the hand, and the whole whirled rapidly round until, by loosing one end, the missile is let fly with centrifugal force. 2. The act or motion of hurling as with a sling; a throw; figuratively, a stroke. The slings and arrows of outrageous fortune. Shak. At one sling Of thy victorius arm, well-pleasing Son. Milton. 3. A contrivance for sustaining anything by suspension; as: (a) A kind of hanging bandage put around the neck, in which a wounded arm or hand is supported. (b) A loop of rope, or a rope or chain with hooks, for suspending a barrel, bale, or other heavy object, in hoisting or lowering. (c) A strap attached to a firearm, for suspending it from the shoulder. (d) (Naut.) A band of rope or iron for securing a yard to a mast; -- chiefly in the plural. Sling cart, a kind of cart used to transport cannon and their carriages, large stones, machines, etc., the objects transported being slung, or suspended by a chain attached to the axletree. -- Sling dog, one of a pair of iron hooks used as part of a sling. See def. 3 (b) above.\n\n1. To throw with a sling. \"Every one could sling stones at an hairbreadth, and not miss.\" Judg. xx. 16. 2. To throw; to hurl; to cast. Addison. 3. To hang so as to swing; as, to sling a pack. 4. (Naut)  To pass a rope round, as a cask, gun, etc., preparatory to attaching a hoisting or lowering tackle.\n\nA drink composed of spirit (usually gin) and water sweetened. sling.
slinger |One who slings, or uses a sling.
slink |1. To creep away meanly; to steal away; to sneak. \"To slink away and hide.\" Tale of Beryn. Back to the thicket slunk The guilty serpent. Milton. There were some few who slank obliquely from them as they passed. Landor. 2. To miscarry; -- said of female beasts.\n\nTo cast prematurely; -- said of female beasts; as, a cow that slinks her calf.\n\n1. Produced prematurely; as, a slink calf. 2. Thin; lean. [Scot.]\n\n1. The young of a beast brought forth prematurely, esp. a calf brought forth before its time. 2. A thievish fellow; a sneak. [Prov. Eng. & Scot.]
slinky |Thin; lank. [Prov. Eng. & U. S.]
slip |1. To move along the surface of a thing without bounding, rolling, or stepping; to slide; to glide. 2. To slide; to lose one's footing or one's hold; not to tread firmly; as, it is necessary to walk carefully lest the foot should slip. 3. To move or fly (out of place); to shoot; -- often with out, off, etc.; as, a bone may slip out of its place. 4. To depart, withdraw, enter, appear, intrude, or escape as if by sliding; to go or come in a quiet, furtive manner; as, some errors slipped into the work. Thus one tradesman slips away, To give his partner fairer play. Prior. Thrice the flitting shadow slipped away. Dryden. 5. To err; to fall into error or fault. There is one that slippeth in his speech, but not from his heart. Ecclus. xix. 16. To let slip, to loose from the slip or noose, as a hound; to allow to escape. Cry, \"Havoc,\" and let slip the dogs of war. Shak.\n\n1. To cause to move smoothly and quickly; to slide; to convey gently or secretly. He tried to slip a powder into her drink. Arbuthnot. 2. To omit; to loose by negligence. And slip no advantage That my secure you. B. Jonson. 3. To cut slips from; to cut; to take off; to make a slip or slips of; as, to slip a piece of cloth or paper. The branches also may be slipped and planted. Mortimer. 4. To let loose in pursuit of game, as a greyhound. Lucento slipped me like his greyhound. Shak. 5. To cause to slip or slide off, or out of place; as, a horse slips his bridle; a dog slips his collar. 6. To bring forth (young) prematurely; to slink. To slip a cable. (Naut.) See under Cable. -- To slip off, to take off quickly; as, to slip off a coat. -- To slip on, to put on in haste or loosely; as, to slip on a gown or coat.\n\n1. The act of slipping; as, a slip on the ice. 2. An unintentional error or fault; a false step. This good man's slip mended his pace to martyrdom. Fuller. 3. A twig separated from the main stock; a cutting; a scion; hence, a descendant; as, a slip from a vine. A native slip to us from foreign seeds. Shak. The girlish slip of a Sicilian bride. R. Browning. 4. A slender piece; a strip; as, a slip of paper. Moonlit slips of silver cloud. Tennyson. A thin slip of a girl, like a new moon Sure to be rounded into beauty soon. Longfellow. 5. A leash or string by which a dog is held; -- so called from its being made in such a manner as to slip, or become loose, by relaxation of the hand. We stalked over the extensive plains with Killbuck and Lena in the slips, in search of deer. Sir S. Baker. 6. An escape; a secret or unexpected desertion; as, to give one the slip. Shak. 7. (Print.)  A portion of the columns of a newspaper or other work struck off by itself; a proof from a column of type when set up and in the galley. 8. Any covering easily slipped on. Specifically: (a) A loose garment worn by a woman. (b) A child's pinafore. (c) An outside covering or case; as, a pillow slip. (d) The slip or sheath of a sword, and the like. [R.] 9. A counterfeit piece of money, being brass covered with silver. [Obs.] Shak 10. Matter found in troughs of grindstones after the grinding of edge tools. [Prov. Eng.] Sir W. Petty. 11. Potter's clay in a very liquid state, used for the decoration of ceramic ware, and also as a cement for handless and other applied parts. 12. A particular quantity of yarn. [Prov. Eng.] 13. An inclined plane on which a vessel is built, or upon which it is hauled for repair. 14. An opening or space for vessels to lie in, between wharves or in a dock; as, Peck slip. [U. S.] 15. A narrow passage between buildings. [Eng.] 16. A long seat or narrow pew in churches, often without a door. [U. S.] 17. (Mining.)  A dislocation of a lead, destroying continuity. Knight. 18. (Engin.)  The motion of the center of resistance of the float of a paddle wheel, or the blade of an oar, through the water horozontally, or the difference between a vessel's actual speed and the speed which she would have if the propelling instrument acted upon a solid; also, the velocity, relatively to still water, of the backward current of water produced by the propeller. 19. (Zoöl.)  A fish, the sole. 20. (Cricket)  A fielder stationed on the off side and to the rear of the batsman. There are usually two of them, called respectively short slip, and long slip. To give one the slip, to slip away from one; to elude one. -- Slip dock. See under Dock. -- Slip link (Mach.), a connecting link so arranged as to allow some play of the parts, to avoid concussion. -- Slip rope (Naut.), a rope by which a cable is secured preparatory to slipping. Totten. -- Slip stopper (Naut.), an arrangement for letting go the anchor suddenly.
slip-on |A kind of overcoat worn upon the shoulders in the manner of a cloak. [Scot.]
slipboard |A board sliding in grooves.
slipcoat cheese |A rich variety of new cheese, resembling butter, but white. Halliwell.
slipes |Sledge runners on which a skip is dragged in a mine.
slipknot |knot which slips along the rope or line around which it is made.
slippage |The act of slipping; also, the amount of slipping.
slipper |1. One who, or that which, slips. 2. A kind of light shoe, which may be slipped on with ease, and worn in undress; a slipshoe. 3. A kind of apron or pinafore for children. 4. A kind of brake or shoe for a wagon wheel. 5. (Mach.)  A piece, usually a plate, applied to a sliding piece, to receive wear and afford a means of adjustment; -- also called shoe, and gib. Slipper animalcule (Zoöl.), a ciliated infusorian of the genus Paramecium. -- Slipper flower.(Bot.) Slipperwort. -- Slipper limpet, or Slipper shell (Zoöl.), a boat shell.\n\nSlippery. [Obs.] O! trustless state of earthly things, and slipper hope Of mortal men. Spenser.
slippered |Wearing slippers. Shak.
slipperily |In a slippery manner.
slipperiness |The quality of being slippery.
slipperness |Slipperiness. [Obs.]
slipperwort |See Calceolaria.
slippery |1. Having the quality opposite to adhesiveness; allowing or causing anything to slip or move smoothly, rapidly, and easily upon the surface; smooth; glib; as, oily substances render things slippery. 2. Not affording firm ground for confidence; as, a slippery promise. The slippery tops of human state. Cowley. 3. Not easily held; liable or apt to slip away. The slippery god will try to loose his hold. Dryden. 4. Liable to slip; not standing firm. Shak. 5. Unstable; changeable; mutable; uncertain; inconstant; fickle. \"The slippery state of kings.\" Denham. 6. Uncertain in effect. L'Estrange. 7. Wanton; unchaste; loose in morals. Shak. Slippery elm. (Bot.) (a) An American tree (Ulmus fulva) with a mucilagenous and slightly aromatic inner bark which is sometimes used medicinally; also, the inner bark itself. (b) A malvaceous shrub (Fremontia Californica); -- so called on the Pacific coast.
slippiness |Slipperiness. [R.] \"The slippiness of the way.\" Sir W. Scott.
slippy |Slippery.
slipshod |1. Wearing shoes or slippers down at the heel. The shivering urchin bending as he goes, With slipshod heels. Cowper. 2. Figuratively: Careless in dress, manners, style, etc.; slovenly; shuffling; as, slipshod manners; a slipshod or loose style of writing. Thy wit shall ne'er go slipshod. Shak.
slipshoe |A slipper. Halliwell.
slipskin |Evasive. [Obs.] Milton.
slipslop |Weak, poor, or flat liquor; weak, profitless discourse or writing.
slipstring |One who has shaken off restraint; a prodigal. [Obs.] Cotgrave.
slipthrift |A spendthrift. [Obs.]
slish |A cut; as, slish and slash. [Colloq.] Shak.
slit |3d. pers. sing. pres. of Slide. Chaucer.\n\n1. To cut lengthwise; to cut into long pieces or strips; as, to slit iron bars into nail rods; to slit leather into straps. 2. To cut or make a long fissure in or upon; as, to slit the ear or the nose. 3. To cut; to sever; to divide. [Obs.] And slits the thin-spun life. Milton.\n\nA long cut; a narrow opening; as, a slit in the ear. Gill slit. (Anat.) See Gill opening, under Gill.
slit-shell |Any species of Pleurotomaria, a genus of beautiful, pearly, spiral gastropod shells having a deep slit in the outer lip. Many fossil species are known, and a few living ones are found in deep water in tropical seas.
slither |To slide; to glide. [Prov. Eng.]
slitter |One who, or that which, slits.
slitting |from Slit. Slitting file. See Illust. (i) of File. -- Slitting mill. (a) A mill where iron bars or plates are slit into narrow strips, as nail rods, and the like. (b) A machine used by lapidaries for slicing stones, usually by means of a revolving disk, called a slicer, supplied with diamond powder. -- Slitting roller, one of a pair of rollers furnished with ribs entering between similar ribs in the other roller, and cutting like shears, -- used in slitting metals.
slive |To sneak. [Prov. Eng.]\n\nTo cut; to split; to separate. [Obs.] Holland.
sliver |To cut or divide into long, thin pieces, or into very small pieces; to cut or rend lengthwise; to slit; as, to sliver wood. Shak. They 'll sliver thee like a turnip. Sir W. Scott.\n\n1. A long piece cut ot rent off; a sharp, slender fragment; a splinter. 2. A strand, or slender roll, of cotton or other fiber in a loose, untwisted state, produced by a carding machine and ready for the roving or slubbing which preceeds spinning. 3. pl.  Bait made of pieces of small fish. Cf. Kibblings. [Local, U.S.] Bartlett.
sloakan |A species of seaweed. [Spelled also slowcawn.] See 3d Laver.
sloam |A layer of earth between coal seams.
sloat |A narrow piece of timber which holds together large pieces; a slat; as, the sloats of a cart.
slobber |See Slabber.\n\n1. See Slabber. 2. (Zoöl.)  A jellyfish. [Prov. Eng.] 3. pl. (Vet.)  Salivation.
slobberer |1. One who slobbers. 2. A slovenly farmer; a jobbing tailor. [Prov. Eng.]
slobbery |Wet; sloppy, as land. Shak.
slock |To quench; to allay; to slake. See Slake. [Obs. or Scot.]
slocken |To quench; to allay; to slake. See Slake. [Obs. or Scot.]
slocking |from Slock. Slocking stone, a rich piece of ore displayed in order to tempt persons to embark in a mining enterprise.
sloe |A small, bitter, wild European plum, the fruit of the blackthorn (Prunus spinosa); also, the tree itself.
